time,WellC,WellB,WellA
615.9738546,15.47923024,26.63270081,25.79194368
601.45,37.1763094,36.44259596,49.5432147
596,42,67.09505242,54.13296832
570.8578971,48.90203649,78.16930942,59.57684787
556,60,96.76596482,56.61087212
548.3979637,70.79342343,111.6804436,60
529.2791151,73.63891138,126.1734685,68.45600313
516.6576582,77.50825185,140.7108569,79.73562769
491.5768965,81.51,157.2584698,90.53421979
467.5142983,94.11969857,174.5574907,95
452.1513418,102.8486019,181.8137077,98.42315213
437.2220476,110.8282992,192.0977385,106.9409464
415.900949,120.6109485,212.9957543,112.7954634
402.72,59.7963505,202.7588597,88.79077043
391.0351329,61.36762783,211.7951651,87.74423152
310.81,50.55925764,189.6660601,84.83926476
271.4687952,54.97228623,191.4156486,91.86937818
265,65,193.5367819,98.03832616
253,70,199.7338186,121.5643332
238.9215008,82.69851155,203.2329954,139.5103637
230,70,194.2743263,135.1411811
200.6159261,56.18297316,186.5356555,137.5205319
183,57,186.3720648,141.0285491
167,58,184.3424313,141.0285491
141.0458174,61.14342654,184.3424313,142.7790379
136,58,172.9326748,142.7790379
122.2286468,56.56972037,182.4486613,136.4622605
114.7432594,59.41894501,188.7177888,149.3961674
97.50612784,61.43488821,199.5868642,176.8079781
90,63,194.4656442,172.122018
71.82955188,65.25565174,209.0668053,180.7500978
68.08,60.26,208.237761,175.8271412
45.80981711,79.78576322,207.8523525,184.56316
35.82427252,78.0874385,207.8523525,189.3617521
13,78,205.9364007,191.2718029
0.501539815,79.06,205.1018109,189.0473211
