Nu Stable Isotope Analysis Program
Data Collected on Saturday, December 16, 2017 at 02:45 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, December 16, 2017 at 03:44 with Stable 1.69.5 on PS019

Data File = Data_3535 ETH1.txt,           Sample Weight = 425,                      Vial Location = 3,                        Initial Sam Beam = 4.6355e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.9144e-08,                Max Ref Beam = 1.0745e-07,                
Analysis undertaken at mass 45.88576
Analysis undertaken at mass 45.88576
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.21906e-08,,,,,,1.1909e-02,4.1615e-03,4.8210e-05,4.6123e-06,7.1728e-08,,,,,,,,,,,
Sam 1,4.16556e-08,1.19772e-02,4.2118e-03,4.9051e-05,4.7335e-06,7.7474e-08,,,,,,            5.6999,           11.9730,           17.2136,           24.4681,           84.8509,            2.3229,           -3.9034,           -0.5035,            0.3700,           53.3609,
Ref 2,4.13040e-08,,,,,,1.1910e-02,4.1625e-03,4.8232e-05,4.6287e-06,7.1094e-08,,,,,,,,,,,
Sam 2,4.07198e-08,1.19781e-02,4.2125e-03,4.9068e-05,4.7440e-06,7.7309e-08,,,,,,            5.6970,           11.9542,           17.2419,           24.3799,           87.8101,            2.3204,           -3.9218,           -0.4544,            0.3209,           56.2759,
Ref 3,4.03903e-08,,,,,,1.1911e-02,4.1630e-03,4.8240e-05,4.6334e-06,7.1043e-08,,,,,,,,,,,
Sam 3,3.98000e-08,1.19790e-02,4.2132e-03,4.9084e-05,4.7483e-06,7.5381e-08,,,,,,            5.7035,           11.9875,           17.3521,           24.4004,           63.7607,            2.3263,           -3.8891,           -0.3852,            0.2750,           32.8497,
Ref 4,3.95132e-08,,,,,,1.1911e-02,4.1636e-03,4.8253e-05,4.6371e-06,7.0678e-08,,,,,,,,,,,
Sam 4,3.88881e-08,1.19793e-02,4.2135e-03,4.9089e-05,4.7479e-06,7.4890e-08,,,,,,            5.6918,           11.9699,           17.2700,           23.5624,           55.3364,            2.3144,           -3.9064,           -0.4367,           -0.5083,           24.7181,
Ref 5,3.86283e-08,,,,,,1.1912e-02,4.1638e-03,4.8259e-05,4.6401e-06,7.1256e-08,,,,,,,,,,,
Sam 5,3.79940e-08,1.19798e-02,4.2137e-03,4.9090e-05,4.7484e-06,7.4417e-08,,,,,,            5.6968,           11.9447,           17.1106,           23.4996,           33.6283,            2.3206,           -3.9312,           -0.5740,           -0.5200,            3.6835,
Ref 6,3.77915e-08,,,,,,1.1912e-02,4.1641e-03,4.8269e-05,4.6387e-06,7.2753e-08,,,,,,,,,,,
Sam 6,3.71337e-08,1.19803e-02,4.2139e-03,4.9092e-05,4.7531e-06,7.3801e-08,,,,,,            5.7089,           11.9482,           17.0936,           24.4300,           22.0649,            2.3333,           -3.9278,           -0.6065,            0.3817,           -7.5642,
Ref 7,3.69704e-08,,,,,,1.1912e-02,4.1642e-03,4.8264e-05,4.6408e-06,7.1651e-08,,,,,,,,,,,
Sam 7,3.63109e-08,1.19801e-02,4.2141e-03,4.9093e-05,4.7504e-06,7.2410e-08,,,,,,            5.6968,           11.9604,           17.1511,           23.5712,           20.7504,            2.3201,           -3.9158,           -0.5495,           -0.4810,           -8.8515,
Ref 8,3.61727e-08,,,,,,1.1912e-02,4.1643e-03,4.8266e-05,4.6413e-06,7.0210e-08,,,,,,,,,,,
Sam 8,3.55074e-08,1.19800e-02,4.2140e-03,4.9099e-05,4.7498e-06,7.0584e-08,,,,,,            5.6864,           11.9197,           17.3018,           23.2212,            7.3357,            2.3104,           -3.9558,           -0.3512,           -0.7424,          -21.7891,
Ref 9,3.54012e-08,,,,,,1.1912e-02,4.1644e-03,4.8261e-05,4.6428e-06,6.9927e-08,,,,,,,,,,,
Sam 9,3.47198e-08,1.19800e-02,4.2141e-03,4.9100e-05,4.7505e-06,7.2994e-08,,,,,,            5.6719,           11.9417,           17.3649,           23.3813,           48.4932,            2.2942,           -3.9342,           -0.2957,           -0.6295,           18.1506,
Ref 10,3.46368e-08,,,,,,1.1913e-02,4.1644e-03,4.8263e-05,4.6410e-06,6.9302e-08,,,,,,,,,,,
Sam 10,3.39609e-08,1.19806e-02,4.2142e-03,4.9116e-05,4.7543e-06,7.6436e-08,,,,,,            5.7012,           11.9414,           17.5676,           24.2802,           85.1993,            2.3254,           -3.9345,           -0.1263,            0.2488,           53.7624,
Ref 11,3.39108e-08,,,,,,1.1913e-02,4.1646e-03,4.8273e-05,4.6421e-06,7.1592e-08,,,,,,,,,,,
Sam 11,3.32395e-08,1.19805e-02,4.2143e-03,4.9105e-05,4.7522e-06,7.6879e-08,,,,,,            5.6857,           11.9246,           17.1931,           23.8972,           97.9671,            2.3095,           -3.9510,           -0.4620,           -0.0919,           66.2127,
Ref 12,3.31970e-08,,,,,,1.1913e-02,4.1646e-03,4.8278e-05,4.6405e-06,6.8413e-08,,,,,,,,,,,
Sam 12,3.25185e-08,1.19810e-02,4.2145e-03,4.9109e-05,4.7529e-06,7.0864e-08,,,,,,            5.7174,           11.9565,           17.2837,           24.0537,           47.4147,            2.3421,           -3.9197,           -0.4364,           -0.0022,           17.0252,
Ref 13,3.25001e-08,,,,,,1.1913e-02,4.1647e-03,4.8271e-05,4.6420e-06,6.6882e-08,,,,,,,,,,,
Sam 13,3.18273e-08,1.19804e-02,4.2143e-03,4.9111e-05,4.7521e-06,7.2706e-08,,,,,,            5.6692,           11.9149,           17.4089,           23.8009,           70.5026,            2.2922,           -3.9605,           -0.2236,           -0.1669,           39.5801,
Ref 14,3.18273e-08,,,,,,1.1913e-02,4.1646e-03,4.8271e-05,4.6412e-06,6.8975e-08,,,,,,,,,,,
Sam 14,3.11619e-08,1.19803e-02,4.2143e-03,4.9116e-05,4.7530e-06,7.2032e-08,,,,,,            5.6905,           11.9372,           17.3128,           23.8089,            8.8752,            2.3141,           -3.9386,           -0.3615,           -0.2030,          -20.3315,
Ref 15,3.11773e-08,,,,,,1.1912e-02,4.1646e-03,4.8288e-05,4.6437e-06,7.3872e-08,,,,,,,,,,,
Sam 15,3.05134e-08,1.19802e-02,4.2143e-03,4.9110e-05,4.7499e-06,7.1582e-08,,,,,,            5.7015,           11.9566,           17.1622,           22.9431,           12.8617,            2.3251,           -3.9196,           -0.5396,           -1.0867,          -16.5089,
Ref 16,3.05408e-08,,,,,,1.1912e-02,4.1645e-03,4.8273e-05,4.6431e-06,6.7408e-08,,,,,,,,,,,
Sam 16,2.98848e-08,1.19793e-02,4.2141e-03,4.9105e-05,4.7484e-06,7.3004e-08,,,,,,            5.6489,           11.9007,           17.2567,           23.0165,           84.3252,            2.2712,           -3.9745,           -0.3386,           -0.9047,           53.0552,
Ref 17,2.99265e-08,,,,,,1.1912e-02,4.1645e-03,4.8271e-05,4.6400e-06,6.7244e-08,,,,,,,,,,,
Sam 17,2.92753e-08,1.19797e-02,4.2142e-03,4.9117e-05,4.7514e-06,7.1617e-08,,,,,,            5.6877,           11.9544,           17.4517,           23.9405,           58.9997,            2.3105,           -3.9216,           -0.2390,           -0.1086,           28.3104,
Ref 18,2.93180e-08,,,,,,1.1912e-02,4.1644e-03,4.8279e-05,4.6406e-06,6.8017e-08,,,,,,,,,,,
Sam 18,2.86642e-08,1.19797e-02,4.2141e-03,4.9120e-05,4.7501e-06,7.3462e-08,,,,,,            5.6868,           11.9309,           17.4252,           23.6318,           85.8841,            2.3104,           -3.9448,           -0.2412,           -0.3636,           54.4649,
Ref 19,2.87259e-08,,,,,,1.1912e-02,4.1644e-03,4.8278e-05,4.6404e-06,6.7278e-08,,,,,,,,,,,
Sam 19,2.80744e-08,1.19796e-02,4.2141e-03,4.9122e-05,4.7498e-06,7.2081e-08,,,,,,            5.6745,           11.9266,           17.4186,           23.6820,          111.2878,            2.2975,           -3.9491,           -0.2309,           -0.3060,           79.1567,
Ref 20,2.81525e-08,,,,,,1.1912e-02,4.1644e-03,4.8283e-05,4.6395e-06,6.2398e-08,,,,,,,,,,,
Sam 20,2.75075e-08,1.19794e-02,4.2139e-03,4.9113e-05,4.7472e-06,6.9517e-08,,,,,,            5.6702,           11.9093,           17.2986,           23.3763,           89.0292,            2.2936,           -3.9660,           -0.3277,           -0.5705,           57.5819,
Ref 21,2.75922e-08,,,,,,1.1912e-02,4.1643e-03,4.8273e-05,4.6381e-06,6.5298e-08,,,,,,,,,,,


Ref 1,2.73158e-08,,,,,,1.1911e-02,4.1642e-03,4.8279e-05,4.6385e-06,6.5069e-08,,,,,,,,,,,
Sam 1,2.66816e-08,1.19791e-02,4.2139e-03,4.9101e-05,4.7495e-06,7.0998e-08,,,,,,            5.6906,           11.9293,           17.0460,           24.0221,           89.5240,            2.3146,           -3.9464,           -0.6162,            0.0207,           57.9985,
Ref 2,2.67746e-08,,,,,,1.1911e-02,4.1642e-03,4.8277e-05,4.6376e-06,6.5262e-08,,,,,,,,,,,
Sam 2,2.61465e-08,1.19794e-02,4.2139e-03,4.9116e-05,4.7433e-06,6.7309e-08,,,,,,            5.7015,           11.9393,           17.4393,           23.0311,           20.3234,            2.3257,           -3.9366,           -0.2506,           -0.9668,           -9.2303,
Ref 3,2.62450e-08,,,,,,1.1912e-02,4.1642e-03,4.8271e-05,4.6354e-06,6.6688e-08,,,,,,,,,,,
Sam 3,2.56193e-08,1.19790e-02,4.2138e-03,4.9113e-05,4.7469e-06,7.0886e-08,,,,,,            5.6619,           11.9070,           17.3796,           24.1958,           73.7773,            2.2847,           -3.9683,           -0.2372,            0.2344,           42.7843,
Ref 4,2.57319e-08,,,,,,1.1911e-02,4.1641e-03,4.8277e-05,4.6341e-06,6.5329e-08,,,,,,,,,,,
Sam 4,2.51178e-08,1.19789e-02,4.2138e-03,4.9114e-05,4.7469e-06,7.0877e-08,,,,,,            5.6716,           11.9207,           17.3112,           24.3408,           71.4599,            2.2946,           -3.9548,           -0.3278,            0.3489,           40.4954,
Ref 5,2.52309e-08,,,,,,1.1911e-02,4.1641e-03,4.8279e-05,4.6341e-06,6.6987e-08,,,,,,,,,,,
Sam 5,2.46155e-08,1.19795e-02,4.2139e-03,4.9118e-05,4.7426e-06,6.8321e-08,,,,,,            5.6965,           11.9270,           17.4393,           23.4321,           36.7226,            2.3209,           -3.9487,           -0.2335,           -0.5509,            6.7232,
Ref 6,2.47363e-08,,,,,,1.1912e-02,4.1643e-03,4.8273e-05,4.6338e-06,6.4792e-08,,,,,,,,,,,
Sam 6,2.41355e-08,1.19804e-02,4.2140e-03,4.9115e-05,4.7440e-06,6.8109e-08,,,,,,            5.7338,           11.9385,           17.4366,           23.3590,           34.0876,            2.3601,           -3.9375,           -0.2855,           -0.6449,            4.1025,
Ref 7,2.42625e-08,,,,,,1.1912e-02,4.1643e-03,4.8274e-05,4.6376e-06,6.6956e-08,,,,,,,,,,,
Sam 7,2.36654e-08,1.19800e-02,4.2139e-03,4.9120e-05,4.7453e-06,6.7490e-08,,,,,,            5.6797,           11.8992,           17.4651,           23.9725,           40.6252,            2.3040,           -3.9760,           -0.1640,            0.0318,           10.5854,
Ref 8,2.37918e-08,,,,,,1.1913e-02,4.1644e-03,4.8279e-05,4.6306e-06,6.2712e-08,,,,,,,,,,,
Sam 8,2.32121e-08,1.19801e-02,4.2139e-03,4.9112e-05,4.7419e-06,6.7490e-08,,,,,,            5.6935,           11.9185,           17.1917,           23.7835,           68.5912,            2.3179,           -3.9570,           -0.4654,           -0.1910,           37.6901,
Ref 9,2.33365e-08,,,,,,1.1912e-02,4.1642e-03,4.8285e-05,4.6328e-06,6.3614e-08,,,,,,,,,,,
Sam 9,2.27656e-08,1.19801e-02,4.2139e-03,4.9115e-05,4.7430e-06,6.5766e-08,,,,,,            5.6859,           11.9296,           17.2831,           23.9723,           43.5197,            2.3095,           -3.9461,           -0.3786,           -0.0284,           13.3299,
Ref 10,2.28910e-08,,,,,,1.1913e-02,4.1643e-03,4.8276e-05,4.6312e-06,6.2422e-08,,,,,,,,,,,
Sam 10,2.23360e-08,1.19802e-02,4.2139e-03,4.9144e-05,4.7460e-06,7.5029e-08,,,,,,            5.6785,           11.9160,           17.9058,           25.0928,          190.0588,            2.3021,           -3.9594,            0.2540,            1.0926,          155.6690,
Ref 11,2.24603e-08,,,,,,1.1912e-02,4.1643e-03,4.8283e-05,4.6285e-06,6.3683e-08,,,,,,,,,,,
Sam 11,2.19166e-08,1.19801e-02,4.2138e-03,4.9121e-05,4.7379e-06,6.7604e-08,,,,,,            5.6877,           11.9066,           17.4482,           23.6771,           59.3548,            2.3122,           -3.9688,           -0.1959,           -0.2714,           28.7508,
Ref 12,2.20385e-08,,,,,,1.1912e-02,4.1643e-03,4.8275e-05,4.6280e-06,6.3952e-08,,,,,,,,,,,
Sam 12,2.15097e-08,1.19805e-02,4.2140e-03,4.9133e-05,4.7356e-06,7.1726e-08,,,,,,            5.7195,           11.9436,           17.5181,           23.0941,          134.8674,            2.3448,           -3.9324,           -0.1958,           -0.9138,          101.9656,
Ref 13,2.16279e-08,,,,,,1.1913e-02,4.1643e-03,4.8298e-05,4.6295e-06,6.2438e-08,,,,,,,,,,,
Sam 13,2.11131e-08,1.19801e-02,4.2139e-03,4.9127e-05,4.7359e-06,7.3302e-08,,,,,,            5.6823,           11.9176,           17.2557,           22.9031,          134.3476,            2.3061,           -3.9579,           -0.3902,           -1.0490,          101.5599,
Ref 14,2.12294e-08,,,,,,1.1912e-02,4.1642e-03,4.8290e-05,4.6303e-06,6.6844e-08,,,,,,,,,,,
Sam 14,2.07270e-08,1.19802e-02,4.2139e-03,4.9127e-05,4.7374e-06,7.1941e-08,,,,,,            5.7183,           11.9593,           17.3862,           23.8494,           96.0990,            2.3430,           -3.9169,           -0.3394,           -0.2072,           64.2900,
Ref 15,2.08409e-08,,,,,,1.1912e-02,4.1640e-03,4.8286e-05,4.6239e-06,6.4401e-08,,,,,,,,,,,
Sam 15,2.03493e-08,1.19801e-02,4.2139e-03,4.9119e-05,4.7386e-06,6.6458e-08,,,,,,            5.7091,           11.9530,           17.2702,           24.6469,           34.5229,            2.3334,           -3.9231,           -0.4378,            0.5840,            4.5230,
Ref 16,2.04638e-08,,,,,,1.1912e-02,4.1642e-03,4.8284e-05,4.6254e-06,6.4076e-08,,,,,,,,,,,
Sam 16,1.99814e-08,1.19797e-02,4.2138e-03,4.9116e-05,4.7311e-06,6.8192e-08,,,,,,            5.6808,           11.9289,           17.1570,           23.1244,           82.2217,            2.3041,           -3.9468,           -0.4967,           -0.8551,           50.9193,
Ref 17,2.00917e-08,,,,,,1.1912e-02,4.1641e-03,4.8291e-05,4.6230e-06,6.1925e-08,,,,,,,,,,,
Sam 17,1.96200e-08,1.19800e-02,4.2138e-03,4.9115e-05,4.7331e-06,6.7014e-08,,,,,,            5.6954,           11.9144,           17.1155,           23.6951,           75.9479,            2.3201,           -3.9611,           -0.5383,           -0.2692,           44.8403,
Ref 18,1.97255e-08,,,,,,1.1912e-02,4.1643e-03,4.8286e-05,4.6241e-06,6.2649e-08,,,,,,,,,,,
Sam 18,1.92617e-08,1.19807e-02,4.2140e-03,4.9123e-05,4.7299e-06,6.5708e-08,,,,,,            5.6995,           11.9077,           17.3101,           23.1170,           62.4598,            2.3248,           -3.9677,           -0.3448,           -0.8205,           31.7510,
Ref 19,1.93680e-08,,,,,,1.1913e-02,4.1645e-03,4.8289e-05,4.6220e-06,6.1027e-08,,,,,,,,,,,
Sam 19,1.89161e-08,1.19810e-02,4.2142e-03,4.9127e-05,4.7300e-06,6.3345e-08,,,,,,            5.7037,           11.9331,           17.3352,           23.8850,           31.2280,            2.3283,           -3.9427,           -0.3491,           -0.1207,            1.3681,
Ref 20,1.90168e-08,,,,,,1.1913e-02,4.1645e-03,4.8291e-05,4.6174e-06,6.1834e-08,,,,,,,,,,,
Sam 20,1.85787e-08,1.19807e-02,4.2141e-03,4.9121e-05,4.7289e-06,6.7912e-08,,,,,,            5.6872,           11.9140,           17.1532,           23.8593,           54.6372,            2.3114,           -3.9615,           -0.4925,           -0.1080,           24.1553,
Ref 21,1.86796e-08,,,,,,1.1913e-02,4.1645e-03,4.8294e-05,4.6200e-06,6.6999e-08,,,,,,,,,,,


Ref 1,1.85106e-08,,,,,,1.1913e-02,4.1645e-03,4.8281e-05,4.6173e-06,6.1767e-08,,,,,,,,,,,
Sam 1,1.80867e-08,1.19809e-02,4.2142e-03,4.9129e-05,4.7233e-06,7.0896e-08,,,,,,            5.6752,           11.9322,           17.2358,           22.7091,           58.3786,            2.2980,           -3.9435,           -0.4167,           -1.2672,           27.7653,
Ref 2,1.81809e-08,,,,,,1.1913e-02,4.1645e-03,4.8313e-05,4.6195e-06,7.2299e-08,,,,,,,,,,,
Sam 2,1.77710e-08,1.19812e-02,4.2143e-03,4.9129e-05,4.7268e-06,6.4941e-08,,,,,,            5.7070,           11.9464,           17.0106,           23.4533,          -69.5566,            2.3314,           -3.9295,           -0.6844,           -0.5686,          -96.5248,
Ref 3,1.78581e-08,,,,,,1.1913e-02,4.1646e-03,4.8302e-05,4.6174e-06,6.7248e-08,,,,,,,,,,,
Sam 3,1.74596e-08,1.19815e-02,4.2145e-03,4.9120e-05,4.7194e-06,6.8783e-08,,,,,,            5.7079,           11.9582,           16.9620,           22.4138,           33.3022,            2.3319,           -3.9179,           -0.7445,           -1.6069,            3.3288,
Ref 4,1.75416e-08,,,,,,1.1914e-02,4.1648e-03,4.8300e-05,4.6145e-06,6.5872e-08,,,,,,,,,,,
Sam 4,1.71576e-08,1.19816e-02,4.2145e-03,4.9124e-05,4.7232e-06,6.7033e-08,,,,,,            5.6980,           11.9445,           17.0910,           23.3755,           19.1869,            2.3219,           -3.9314,           -0.5943,           -0.6407,          -10.3403,
Ref 5,1.72335e-08,,,,,,1.1914e-02,4.1648e-03,4.8297e-05,4.6162e-06,6.5669e-08,,,,,,,,,,,
Sam 5,1.68629e-08,1.19818e-02,4.2145e-03,4.9127e-05,4.7254e-06,6.7547e-08,,,,,,            5.7259,           11.9499,           17.1386,           23.6886,           55.7899,            2.3514,           -3.9262,           -0.5813,           -0.3456,           25.1613,
Ref 6,1.69344e-08,,,,,,1.1913e-02,4.1648e-03,4.8302e-05,4.6159e-06,6.2257e-08,,,,,,,,,,,
Sam 6,1.65752e-08,1.19816e-02,4.2146e-03,4.9128e-05,4.7227e-06,6.5872e-08,,,,,,            5.6984,           11.9337,           17.1701,           23.2126,           72.7871,            2.3226,           -3.9421,           -0.5064,           -0.7784,           41.7285,
Ref 7,1.66370e-08,,,,,,1.1914e-02,4.1650e-03,4.8294e-05,4.6151e-06,6.0533e-08,,,,,,,,,,,
Sam 7,1.62951e-08,1.19816e-02,4.2147e-03,4.9132e-05,4.7188e-06,6.8496e-08,,,,,,            5.6852,           11.9296,           17.2423,           23.0558,          150.9363,            2.3087,           -3.9461,           -0.4180,           -0.9236,          117.6396,
Ref 8,1.63474e-08,,,,,,1.1914e-02,4.1650e-03,4.8304e-05,4.6098e-06,5.8477e-08,,,,,,,,,,,
Sam 8,1.60187e-08,1.19820e-02,4.2148e-03,4.9134e-05,4.7187e-06,6.5716e-08,,,,,,            5.7117,           11.9398,           17.1732,           24.1815,          112.6032,            2.3366,           -3.9361,           -0.5230,            0.1556,           80.3638,
Ref 9,1.60642e-08,,,,,,1.1914e-02,4.1651e-03,4.8305e-05,4.6048e-06,5.9663e-08,,,,,,,,,,,
Sam 9,1.57505e-08,1.19822e-02,4.2149e-03,4.9149e-05,4.7228e-06,6.2668e-08,,,,,,            5.6943,           11.9512,           17.4745,           25.1670,           69.9173,            2.3177,           -3.9248,           -0.2202,            1.0954,           38.9108,
Ref 10,1.57861e-08,,,,,,1.1915e-02,4.1652e-03,4.8305e-05,4.6090e-06,5.7463e-08,,,,,,,,,,,
Sam 10,1.54826e-08,1.19831e-02,4.2152e-03,4.9139e-05,4.7179e-06,6.4330e-08,,,,,,            5.7338,           11.9635,           15.7854,           22.5043,         -217.4960,            2.3593,           -3.9128,           -1.9322,           -1.5290,         -240.2230,
Ref 11,1.55153e-08,,,,,,1.1915e-02,4.1654e-03,4.8446e-05,4.6191e-06,1.0739e-07,,,,,,,,,,,
Sam 11,1.52258e-08,1.19827e-02,4.2151e-03,4.9142e-05,4.7178e-06,6.2866e-08,,,,,,            5.6996,           11.9139,           15.7720,           22.9537,         -267.3934,            2.3246,           -3.9616,           -1.8622,           -0.9922,         -288.5768,
Ref 12,1.52498e-08,,,,,,1.1915e-02,4.1655e-03,4.8310e-05,4.6047e-06,6.3858e-08,,,,,,,,,,,
Sam 12,1.49739e-08,1.19828e-02,4.2152e-03,4.9140e-05,4.7143e-06,6.4020e-08,,,,,,            5.7137,           11.9267,           17.2163,           23.0753,           28.2222,            2.3392,           -3.9490,           -0.4699,           -0.8987,           -1.5488,
Ref 13,1.49889e-08,,,,,,1.1915e-02,4.1655e-03,4.8308e-05,4.6113e-06,6.0639e-08,,,,,,,,,,,
Sam 13,1.47249e-08,1.19830e-02,4.2154e-03,4.9153e-05,4.7144e-06,6.7094e-08,,,,,,            5.7003,           11.9508,           17.4197,           23.4677,           82.2454,            2.3241,           -3.9252,           -0.2799,           -0.5632,           50.8758,
Ref 14,1.47314e-08,,,,,,1.1915e-02,4.1658e-03,4.8316e-05,4.6011e-06,6.3374e-08,,,,,,,,,,,
Sam 14,1.44812e-08,1.19833e-02,4.2154e-03,4.9157e-05,4.7136e-06,6.7309e-08,,,,,,            5.7021,           11.9189,           17.4069,           24.3286,           77.3431,            2.3271,           -3.9567,           -0.2632,            0.3407,           46.1787,
Ref 15,1.44820e-08,,,,,,1.1915e-02,4.1657e-03,4.8315e-05,4.6023e-06,6.1564e-08,,,,,,,,,,,
Sam 15,1.42437e-08,1.19831e-02,4.2155e-03,4.9148e-05,4.7069e-06,6.6724e-08,,,,,,            5.6737,           11.9241,           17.2801,           22.5575,          111.7862,            2.2967,           -3.9514,           -0.3638,           -1.3993,           79.6467,
Ref 16,1.42373e-08,,,,,,1.1916e-02,4.1658e-03,4.8311e-05,4.6038e-06,5.8440e-08,,,,,,,,,,,
Sam 16,1.40116e-08,1.19835e-02,4.2156e-03,4.9154e-05,4.7088e-06,6.7421e-08,,,,,,            5.6944,           11.9412,           17.4875,           23.1300,          140.4762,            2.3182,           -3.9347,           -0.1978,           -0.8740,          107.4464,
Ref 17,1.39960e-08,,,,,,1.1916e-02,4.1658e-03,4.8308e-05,4.6008e-06,5.9805e-08,,,,,,,,,,,
Sam 17,1.37836e-08,1.19830e-02,4.2155e-03,4.9142e-05,4.7046e-06,5.9144e-08,,,,,,            5.6703,           11.9174,           17.2509,           23.1514,           15.0079,            2.2933,           -3.9581,           -0.3824,           -0.8061,          -14.3174,
Ref 18,1.37609e-08,,,,,,1.1915e-02,4.1658e-03,4.8310e-05,4.5953e-06,5.6708e-08,,,,,,,,,,,
Sam 18,1.35615e-08,1.19831e-02,4.2155e-03,4.9152e-05,4.7062e-06,6.5281e-08,,,,,,            5.6848,           11.9111,           17.3826,           23.9423,           83.2382,            2.3090,           -3.9643,           -0.2618,           -0.0212,           51.9383,
Ref 19,1.35310e-08,,,,,,1.1916e-02,4.1661e-03,4.8314e-05,4.5969e-06,6.3882e-08,,,,,,,,,,,
Sam 19,1.33426e-08,1.19835e-02,4.2158e-03,4.9149e-05,4.7016e-06,6.3672e-08,,,,,,            5.6991,           11.9404,           17.1470,           22.8427,           25.1333,            2.3232,           -3.9355,           -0.5365,           -1.1529,           -4.5594,
Ref 20,1.33066e-08,,,,,,1.1916e-02,4.1660e-03,4.8328e-05,4.5962e-06,6.0310e-08,,,,,,,,,,,
Sam 20,1.31312e-08,1.19834e-02,4.2157e-03,4.9153e-05,4.7051e-06,6.1619e-08,,,,,,            5.6710,           11.8917,           17.1225,           23.5758,           60.8260,            2.2950,           -3.9834,           -0.4844,           -0.3408,           30.2276,
Ref 21,1.30847e-08,,,,,,1.1916e-02,4.1662e-03,4.8323e-05,4.5973e-06,5.5825e-08,,,,,,,,,,,


