Batch,20171216 clumped Oman KDB_3,Collected on,2017/12/16 22:41:17,Analysis Instrument,PS019,Acquisition Software,,Stable 1.69.5,Reanalyzed  on,2017/12/16 23:40:31,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.69.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3544 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/16 22:41:17,442,12,1.3265e-07,3.001032E-10,CF,24.322,1.000e-03,1,1.0000e-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4163e-08,1.0744e-07,5.9311e-08,5.9659e-08,5.9640e-08,5.9632e-08,0.96,2017/12/16 22:40:37,0.01,5520,8446,1.0000e-03,45.875,20,0.000,-1.0528e-13,-5.2546e-14,-5.7806e-14,-2.4980e-14,1.1290e-13,4.1074e-12,20.00,21.00,70.53,3.95521e-08,3.89334e-08,1.18904e-02,4.1968e-03,4.8529e-05,4.6671e-06,5.8774e-08,1.1907e-02,4.1613e-03,4.8206e-05,4.5888e-06,5.7053e-08,-1.4136,8.5311,6.6815,17.0489,30.5975,-5.1240,0.001,0,60,-7.2794,0.003,0,60,-0.2442,-0.0846,15.0424,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3545 KDW2 59.0.txt,KDW2 59.0,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 00:00:56,479,13,9.0168e-08,1.882424E-10,CF,17.639,1.000e-03,0,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3916e-08,1.0722e-07,8.6558e-08,8.6697e-08,8.6655e-08,8.6713e-08,0.96,2017/12/17 00:00:16,-0.07,4215,8446,1.0000e-03,45.875,20,0.000,-1.0542e-13,-5.2244e-14,-5.7804e-14,-2.2293e-14,1.1968e-13,4.5919e-12,31.00,32.00,70.53,4.22313e-08,4.07612e-08,1.19873e-02,4.2058e-03,4.9053e-05,4.6792e-06,6.1315e-08,1.1903e-02,4.1587e-03,4.8171e-05,4.5755e-06,5.9300e-08,7.0721,11.3368,18.3221,22.6399,24.4240,3.8040,0.003,0,60,-4.5332,0.006,0,60,-0.2001,-0.1586,-5.5240,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3546 ETH1.txt,ETH1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 02:28:15,457,14,1.6016e-07,3.504574E-10,CF,28.076,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3234e-08,1.0674e-07,7.1516e-08,7.1354e-08,7.1328e-08,7.1530e-08,0.96,2017/12/17 02:27:34,-0.28,4744,8446,1.0000e-03,45.875,20,0.000,-1.0574e-13,-5.2569e-14,-5.7823e-14,-2.3487e-14,1.1546e-13,4.3049e-12,21.00,22.00,70.53,4.60840e-08,4.49886e-08,1.19706e-02,4.2076e-03,4.8969e-05,4.6850e-06,6.6651e-08,1.1902e-02,4.1578e-03,4.8142e-05,4.5757e-06,6.4545e-08,5.7229,11.9752,17.1940,23.8773,33.9546,2.3473,0.002,0,60,-3.9012,0.004,0,60,-0.5484,-0.2113,3.9136,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3547 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 03:49:02,455,15,1.8898e-07,4.153393E-10,CF,31.036,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.2466e-08,1.0728e-07,8.3990e-08,8.3603e-08,8.3558e-08,8.3415e-08,0.96,2017/12/17 03:48:22,0.17,4182,8446,1.0000e-03,45.875,20,0.000,-1.0554e-13,-5.2337e-14,-5.7831e-14,-2.0844e-14,1.2281e-13,4.9201e-12,22.00,23.00,70.53,5.29394e-08,5.17197e-08,1.18270e-02,4.1372e-03,4.7564e-05,4.5259e-06,5.8923e-08,1.1902e-02,4.1577e-03,4.8134e-05,4.5706e-06,5.9305e-08,-6.3088,-4.9370,-11.8202,-9.7940,-6.1583,-9.8658,0.002,0,60,-20.5398,0.003,0,60,-0.4967,0.0561,10.3448,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3548 KDW2 64.8.txt,KDW2 64.8,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 05:15:44,525,16,1.6288e-07,3.102524E-10,CF,27.801,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.1754e-08,1.0717e-07,7.1671e-08,7.1302e-08,7.1266e-08,7.1121e-08,0.96,2017/12/17 05:15:04,0.20,4600,8446,1.0000e-03,45.875,20,0.000,-1.0562e-13,-5.2481e-14,-5.7871e-14,-2.0902e-14,1.2320e-13,4.9353e-12,21.00,22.00,70.53,4.57462e-08,4.48433e-08,1.19754e-02,4.2136e-03,4.9077e-05,4.6911e-06,6.1995e-08,1.1903e-02,4.1590e-03,4.8161e-05,4.5710e-06,6.0370e-08,6.0658,13.1282,19.0133,26.2707,27.1452,2.6724,0.002,0,60,-2.7658,0.003,0,60,-0.2337,-0.1540,-5.2906,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3549 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 07:04:10,446,17,1.5458e-07,3.466007E-10,CF,26.520,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.1026e-08,1.0730e-07,6.8698e-08,6.8374e-08,6.8331e-08,6.8221e-08,0.96,2017/12/17 07:03:30,0.16,4670,8442,1.0000e-03,45.875,20,0.000,-1.0549e-13,-5.2722e-14,-5.7778e-14,-2.2139e-14,1.2038e-13,4.6331e-12,21.00,22.00,70.51,4.41989e-08,4.34034e-08,1.18857e-02,4.1942e-03,4.8477e-05,4.6493e-06,5.8548e-08,1.1902e-02,4.1586e-03,4.8152e-05,4.5707e-06,5.7503e-08,-1.3884,8.5601,6.7322,17.1924,20.6669,-5.0982,0.001,0,60,-7.2509,0.003,0,60,-0.2488,-0.0011,5.1757,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3550 ETH3.txt,ETH3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 12:05:29,488,18,1.8900e-07,3.87305E-10,CF,31.067,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.0252e-08,1.0676e-07,8.4093e-08,8.3769e-08,8.3720e-08,8.3864e-08,0.96,2017/12/17 12:04:49,-0.17,3917,8449,1.0000e-03,45.882,20,0.000,-1.0556e-13,-5.2943e-14,-5.7839e-14,-2.4149e-14,1.1417e-13,4.3246e-12,22.00,23.00,70.40,5.32131e-08,5.17670e-08,1.19698e-02,4.2101e-03,4.8999e-05,4.6871e-06,6.1849e-08,1.1905e-02,4.1589e-03,4.8153e-05,4.5745e-06,6.0492e-08,5.4017,12.2996,17.5543,24.6096,22.6507,1.9946,0.003,0,60,-3.5809,0.007,0,60,-0.1809,-0.1375,-7.3516,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3553 KDW2 131.8A.txt,KDW2 131.8A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/17 17:06:54,2017/12/17 17:06:54,477,22,2.0465e-07,4.290265E-10,CF,33.844,1.000e-03,1,1.0000e-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.8697e-08,1.0705e-07,9.1451e-08,9.0640e-08,9.0575e-08,9.0844e-08,0.96,2017/12/17 17:06:13,-0.30,3575,8446,1.0000e-03,45.884,20,0.000,-1.0520e-13,-5.2841e-14,-5.7676e-14,-2.3056e-14,1.1601e-13,4.4310e-12,23.00,23.00,69.12,5.74784e-08,5.57413e-08,1.19350e-02,4.1966e-03,4.8690e-05,4.6547e-06,5.9325e-08,1.1904e-02,4.1569e-03,4.8117e-05,4.5670e-06,5.7936e-08,2.6439,9.5666,11.9050,19.1843,23.6108,-0.8446,0.003,0,60,-6.2679,0.007,0,60,-0.2570,-0.0396,1.7994,
