Batch,20171216 clumped Oman KDB_3,Collected on,2017/12/16 22:41:17,Analysis Instrument,PS019,Acquisition Software,Stable 1.69.5,Reanalyzed  on,2017/12/16 23:40:31,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.69.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3544 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/16 22:41:17,442,12,1.3265e-07,3.001032E-10,CF,24.322,1.000e-03,1,1.0000e-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4163e-08,1.0744e-07,5.9311e-08,5.9659e-08,5.9640e-08,5.9632e-08,0.96,2017/12/16 22:40:37,0.01,5520,8446,1.0000e-03,45.875,20,8,20,20,0.000,-1.0528e-13,-5.2546e-14,-5.7806e-14,-2.4980e-14,1.1290e-13,4.1074e-12,20.00,21.00,70.53,-1.95e02,-1.95e02,70.53,0.00,70.53,70.53,2017/12/16 21:48:52,2017/12/16 21:20:25,70,3.95521e-08,0.000,0,63,3.89334e-08,0.000,0,60,1.18904e-02,0.000,0,60,4.1968e-03,0.000,0,60,4.8529e-05,0.000,0,60,4.6671e-06,0.000,0,60,5.8774e-08,0.000,0,60,1.1907e-02,0.000,0,63,4.1613e-03,0.000,0,63,4.8206e-05,0.000,0,63,4.5888e-06,0.000,0,63,5.7053e-08,0.000,0,63,-1.4136,0.001,0,60,8.5311,0.003,0,60,6.6815,0.017,0,60,17.0489,0.057,0,60,30.5975,5.076,0,60,-5.1240,0.001,0,60,-7.2794,0.003,0,60,-0.2442,0.017,0,60,-0.0846,0.057,0,60,15.0424,5.001,0,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3545 KDW2 59.0.txt,KDW2 59.0,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 00:00:56,479,13,9.0168e-08,1.882424E-10,CF,17.639,1.000e-03,0,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3916e-08,1.0722e-07,8.6558e-08,8.6697e-08,8.6655e-08,8.6713e-08,0.96,2017/12/17 00:00:16,-0.07,4215,8446,1.0000e-03,45.875,20,8,20,20,0.000,-1.0542e-13,-5.2244e-14,-5.7804e-14,-2.2293e-14,1.1968e-13,4.5919e-12,31.00,32.00,70.53,-1.95e02,-1.95e02,70.53,0.00,70.53,70.53,2017/12/16 23:04:29,2017/12/16 22:41:03,71,4.22313e-08,0.000,0,63,4.07612e-08,0.000,0,60,1.19873e-02,0.000,0,60,4.2058e-03,0.000,0,60,4.9053e-05,0.000,0,60,4.6792e-06,0.000,0,60,6.1315e-08,0.000,0,60,1.1903e-02,0.000,0,63,4.1587e-03,0.000,0,63,4.8171e-05,0.000,0,63,4.5755e-06,0.000,0,63,5.9300e-08,0.000,1,63,7.0721,0.003,0,60,11.3368,0.006,0,60,18.3221,0.036,0,60,22.6399,0.070,0,60,24.4240,7.160,0,60,3.8040,0.003,0,60,-4.5332,0.006,0,60,-0.2001,0.034,0,60,-0.1586,0.068,0,60,-5.5240,6.947,0,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3546 ETH1.txt,ETH1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 02:28:15,457,14,1.6016e-07,3.504574E-10,CF,28.076,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3234e-08,1.0674e-07,7.1516e-08,7.1354e-08,7.1328e-08,7.1530e-08,0.96,2017/12/17 02:27:34,-0.28,4744,8446,1.0000e-03,45.875,20,8,20,20,0.000,-1.0574e-13,-5.2569e-14,-5.7823e-14,-2.3487e-14,1.1546e-13,4.3049e-12,21.00,22.00,70.53,-1.95e02,-1.95e02,70.53,0.00,70.53,70.53,2017/12/17 01:35:38,2017/12/16 23:44:34,71,4.60840e-08,0.000,0,63,4.49886e-08,0.000,0,60,1.19706e-02,0.000,0,60,4.2076e-03,0.000,0,60,4.8969e-05,0.000,0,60,4.6850e-06,0.000,0,60,6.6651e-08,0.000,0,60,1.1902e-02,0.000,0,63,4.1578e-03,0.000,0,63,4.8142e-05,0.000,0,63,4.5757e-06,0.000,0,63,6.4545e-08,0.000,0,63,5.7229,0.002,0,60,11.9752,0.004,0,60,17.1940,0.010,0,60,23.8773,0.036,0,60,33.9546,2.781,0,60,2.3473,0.002,0,60,-3.9012,0.004,0,60,-0.5484,0.010,0,60,-0.2113,0.036,0,60,3.9136,2.703,0,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3547 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 03:49:02,455,15,1.8898e-07,4.153393E-10,CF,31.036,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.2466e-08,1.0728e-07,8.3990e-08,8.3603e-08,8.3558e-08,8.3415e-08,0.96,2017/12/17 03:48:22,0.17,4182,8446,1.0000e-03,45.875,20,8,20,20,0.000,-1.0554e-13,-5.2337e-14,-5.7831e-14,-2.0844e-14,1.2281e-13,4.9201e-12,22.00,23.00,70.53,-1.95e02,-1.95e02,70.53,0.00,70.53,70.53,2017/12/17 02:51:12,2017/12/17 02:28:00,71,5.29394e-08,0.000,0,63,5.17197e-08,0.000,0,60,1.18270e-02,0.000,0,60,4.1372e-03,0.000,0,60,4.7564e-05,0.000,0,60,4.5259e-06,0.000,0,60,5.8923e-08,0.000,1,60,1.1902e-02,0.000,0,63,4.1577e-03,0.000,0,63,4.8134e-05,0.000,0,63,4.5706e-06,0.000,0,63,5.9305e-08,0.000,0,63,-6.3088,0.002,0,60,-4.9370,0.003,0,60,-11.8202,0.024,0,60,-9.7940,0.047,0,60,-6.1583,6.052,1,60,-9.8658,0.002,0,60,-20.5398,0.003,0,60,-0.4967,0.024,0,60,0.0561,0.047,0,60,10.3448,6.154,1,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3548 KDW2 64.8.txt,KDW2 64.8,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 05:15:44,525,16,1.6288e-07,3.102524E-10,CF,27.801,1.000e-03,1,1.0000e-03,6272, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.1754e-08,1.0717e-07,7.1671e-08,7.1302e-08,7.1266e-08,7.1121e-08,0.96,2017/12/17 05:15:04,0.20,4600,8446,1.0000e-03,45.875,20,8,20,20,0.000,-1.0562e-13,-5.2481e-14,-5.7871e-14,-2.0902e-14,1.2320e-13,4.9353e-12,21.00,22.00,70.53,-1.95e02,-1.95e02,70.53,0.00,70.53,70.53,2017/12/17 04:23:16,2017/12/17 04:52:13,58,4.57462e-08,0.000,0,63,4.48433e-08,0.000,0,60,1.19754e-02,0.000,0,60,4.2136e-03,0.000,0,60,4.9077e-05,0.000,0,60,4.6911e-06,0.000,0,60,6.1995e-08,0.000,0,60,1.1903e-02,0.000,0,63,4.1590e-03,0.000,0,63,4.8161e-05,0.000,0,63,4.5710e-06,0.000,0,63,6.0370e-08,0.000,0,63,6.0658,0.002,0,60,13.1282,0.003,0,60,19.0133,0.012,0,60,26.2707,0.049,0,60,27.1452,3.366,0,60,2.6724,0.002,0,60,-2.7658,0.003,0,60,-0.2337,0.012,0,60,-0.1540,0.049,0,60,-5.2906,3.261,0,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3549 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 07:04:10,446,17,1.5458e-07,3.466007E-10,CF,26.520,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.1026e-08,1.0730e-07,6.8698e-08,6.8374e-08,6.8331e-08,6.8221e-08,0.96,2017/12/17 07:03:30,0.16,4670,8442,1.0000e-03,45.875,20,8,20,20,0.000,-1.0549e-13,-5.2722e-14,-5.7778e-14,-2.2139e-14,1.2038e-13,4.6331e-12,21.00,22.00,70.51,-1.95e02,-1.95e02,70.51,0.00,70.51,70.51,2017/12/17 06:11:27,2017/12/17 06:19:10,15,4.41989e-08,0.000,0,63,4.34034e-08,0.000,0,60,1.18857e-02,0.000,0,60,4.1942e-03,0.000,0,60,4.8477e-05,0.000,0,60,4.6493e-06,0.000,0,60,5.8548e-08,0.000,2,60,1.1902e-02,0.000,0,63,4.1586e-03,0.000,0,63,4.8152e-05,0.000,0,63,4.5707e-06,0.000,0,63,5.7503e-08,0.000,0,63,-1.3884,0.001,0,60,8.5601,0.003,0,60,6.7322,0.013,1,60,17.1924,0.066,0,60,20.6669,4.066,1,60,-5.0982,0.001,0,60,-7.2509,0.003,0,60,-0.2488,0.012,1,60,-0.0011,0.065,0,60,5.1757,4.002,1,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3550 ETH3.txt,ETH3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/16 22:41:17,2017/12/17 12:05:29,488,18,1.8900e-07,3.87305E-10,CF,31.067,1.000e-03,1,1.0000e-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.0252e-08,1.0676e-07,8.4093e-08,8.3769e-08,8.3720e-08,8.3864e-08,0.96,2017/12/17 12:04:49,-0.17,3917,8449,1.0000e-03,45.882,20,8,20,20,0.000,-1.0556e-13,-5.2943e-14,-5.7839e-14,-2.4149e-14,1.1417e-13,4.3246e-12,22.00,23.00,70.40,-1.95e02,-1.95e02,70.40,0.00,70.40,70.40,2017/12/17 11:12:39,2017/12/17 06:19:10,70,5.32131e-08,0.000,0,63,5.17670e-08,0.000,0,60,1.19698e-02,0.000,0,60,4.2101e-03,0.000,0,60,4.8999e-05,0.000,0,60,4.6871e-06,0.000,0,60,6.1849e-08,0.000,0,60,1.1905e-02,0.000,0,63,4.1589e-03,0.000,0,63,4.8153e-05,0.000,0,63,4.5745e-06,0.000,0,63,6.0492e-08,0.000,0,63,5.4017,0.003,0,60,12.2996,0.007,0,60,17.5543,0.016,0,60,24.6096,0.042,0,60,22.6507,2.015,0,60,1.9946,0.003,0,60,-3.5809,0.007,0,60,-0.1809,0.010,0,60,-0.1375,0.040,0,60,-7.3516,1.954,0,60,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_3,20171216 clumped Oman KDB_3,Data_3553 KDW2 131.8A.txt,KDW2 131.8A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2017/12/17 17:06:54,2017/12/17 17:06:54,477,22,2.0465e-07,4.290265E-10,CF,33.844,1.000e-03,1,1.0000e-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.8697e-08,1.0705e-07,9.1451e-08,9.0640e-08,9.0575e-08,9.0844e-08,0.96,2017/12/17 17:06:13,-0.30,3575,8446,1.0000e-03,45.884,20,8,20,20,0.000,-1.0520e-13,-5.2841e-14,-5.7676e-14,-2.3056e-14,1.1601e-13,4.4310e-12,23.00,23.00,69.12,-1.95e02,-1.95e02,69.12,0.45,68.07,69.59,2017/12/17 16:13:39,2017/12/17 15:44:34,73,5.74784e-08,0.000,0,63,5.57413e-08,0.000,0,60,1.19350e-02,0.000,0,60,4.1966e-03,0.000,0,60,4.8690e-05,0.000,0,60,4.6547e-06,0.000,0,60,5.9325e-08,0.000,0,60,1.1904e-02,0.000,0,63,4.1569e-03,0.000,0,63,4.8117e-05,0.000,0,63,4.5670e-06,0.000,0,63,5.7936e-08,0.000,0,63,2.6439,0.003,0,60,9.5666,0.007,0,60,11.9050,0.018,0,60,19.1843,0.044,0,60,23.6108,3.762,0,60,-0.8446,0.003,0,60,-6.2679,0.007,0,60,-0.2570,0.015,0,60,-0.0396,0.040,0,60,1.7994,3.681,0,60,
