Nu Stable Isotope Analysis Program
Data Collected on Sunday, December 17, 2017 at 05:15 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, December 17, 2017 at 06:15 with Stable 1.69.5 on PS019

Data File = Data_3548 KDW2 64.8.txt,      Sample Weight = 525,                      Vial Location = 16,                       Initial Sam Beam = 1.6288e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.1754e-08,                Max Ref Beam = 1.0717e-07,                
Analysis undertaken at mass 45.87548
Analysis undertaken at mass 45.87548
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.79402e-08,,,,,,1.1906e-02,4.1595e-03,4.8134e-05,4.5661e-06,6.0424e-08,,,,,,,,,,,
Sam 1,6.74266e-08,1.19776e-02,4.2135e-03,4.9050e-05,4.6868e-06,6.0866e-08,,,,,,            6.1140,           13.1650,           19.0692,           26.3106,           11.9411,            2.7225,           -2.7297,           -0.2640,           -0.1877,          -20.1346,
Ref 2,6.72271e-08,,,,,,1.1904e-02,4.1581e-03,4.8130e-05,4.5671e-06,5.9868e-08,,,,,,,,,,,
Sam 2,6.63681e-08,1.19754e-02,4.2121e-03,4.9032e-05,4.6880e-06,6.1564e-08,,,,,,            6.0730,           13.1409,           19.0011,           26.6486,           30.2899,            2.6797,           -2.7533,           -0.2654,            0.1891,           -2.2775,
Ref 3,6.61272e-08,,,,,,1.1902e-02,4.1568e-03,4.8106e-05,4.5654e-06,5.9639e-08,,,,,,,,,,,
Sam 3,6.52356e-08,1.19741e-02,4.2112e-03,4.9019e-05,4.6866e-06,6.1454e-08,,,,,,            6.0710,           13.1531,           19.0847,           26.4639,           30.1862,            2.6771,           -2.7413,           -0.1931,           -0.0148,           -2.3994,
Ref 4,6.50750e-08,,,,,,1.1901e-02,4.1563e-03,4.8096e-05,4.5661e-06,5.9669e-08,,,,,,,,,,,
Sam 4,6.41568e-08,1.19737e-02,4.2109e-03,4.9015e-05,4.6850e-06,6.2223e-08,,,,,,            6.0960,           13.1571,           19.1272,           25.9385,           40.2720,            2.7036,           -2.7375,           -0.1809,           -0.5346,            7.3329,
Ref 5,6.40622e-08,,,,,,1.1901e-02,4.1562e-03,4.8095e-05,4.5670e-06,5.9962e-08,,,,,,,,,,,
Sam 5,6.31198e-08,1.19733e-02,4.2109e-03,4.9017e-05,4.6846e-06,6.1554e-08,,,,,,            6.0750,           13.1531,           19.1242,           25.9222,           29.2081,            2.6813,           -2.7414,           -0.1585,           -0.5426,           -3.3507,
Ref 6,6.30960e-08,,,,,,1.1901e-02,4.1562e-03,4.8099e-05,4.5654e-06,5.9650e-08,,,,,,,,,,,
Sam 6,6.21321e-08,1.19735e-02,4.2110e-03,4.9017e-05,4.6860e-06,6.2011e-08,,,,,,            6.0817,           13.1595,           19.0793,           26.2969,           40.1465,            2.6883,           -2.7350,           -0.2156,           -0.1902,            7.2219,
Ref 7,6.21560e-08,,,,,,1.1901e-02,4.1563e-03,4.8099e-05,4.5665e-06,5.9586e-08,,,,,,,,,,,
Sam 7,6.11654e-08,1.19736e-02,4.2112e-03,4.9021e-05,4.6858e-06,6.0957e-08,,,,,,            6.0815,           13.1631,           19.0375,           26.2313,           30.2346,            2.6879,           -2.7315,           -0.2598,           -0.2612,           -2.3829,
Ref 8,6.12412e-08,,,,,,1.1901e-02,4.1566e-03,4.8111e-05,4.5655e-06,5.8744e-08,,,,,,,,,,,
Sam 8,6.02244e-08,1.19738e-02,4.2114e-03,4.9022e-05,4.6871e-06,6.0849e-08,,,,,,            6.0805,           13.1701,           19.0002,           26.2531,           32.0284,            2.6867,           -2.7246,           -0.3024,           -0.2539,           -0.6587,
Ref 9,6.03480e-08,,,,,,1.1902e-02,4.1567e-03,4.8104e-05,4.5689e-06,5.9181e-08,,,,,,,,,,,
Sam 9,5.93120e-08,1.19740e-02,4.2116e-03,4.9033e-05,4.6881e-06,6.1378e-08,,,,,,            6.0738,           13.1821,           19.1666,           26.2692,            1.5407,            2.6791,           -2.7128,           -0.1437,           -0.2618,          -30.1963,
Ref 10,5.94800e-08,,,,,,1.1902e-02,4.1569e-03,4.8118e-05,4.5672e-06,6.3418e-08,,,,,,,,,,,
Sam 10,5.84156e-08,1.19742e-02,4.2117e-03,4.9031e-05,4.6862e-06,6.0738e-08,,,,,,            6.0834,           13.1699,           18.9612,           25.8729,          -18.6965,            2.6898,           -2.7248,           -0.3433,           -0.6238,          -49.7794,
Ref 11,5.86250e-08,,,,,,1.1902e-02,4.1571e-03,4.8118e-05,4.5687e-06,6.0350e-08,,,,,,,,,,,
Sam 11,5.75289e-08,1.19743e-02,4.2119e-03,4.9039e-05,4.6888e-06,6.0278e-08,,,,,,            6.0781,           13.1710,           19.0721,           26.1604,            9.3471,            2.6840,           -2.7237,           -0.2301,           -0.3458,          -22.6205,
Ref 12,5.77779e-08,,,,,,1.1902e-02,4.1572e-03,4.8123e-05,4.5698e-06,5.9081e-08,,,,,,,,,,,
Sam 12,5.66683e-08,1.19747e-02,4.2121e-03,4.9035e-05,4.6893e-06,6.2172e-08,,,,,,            6.0794,           13.1623,           18.9688,           26.1245,           48.9240,            2.6857,           -2.7323,           -0.3244,           -0.3637,           15.7184,
Ref 13,5.69554e-08,,,,,,1.1902e-02,4.1575e-03,4.8121e-05,4.5700e-06,5.9466e-08,,,,,,,,,,,
Sam 13,5.58198e-08,1.19746e-02,4.2122e-03,4.9045e-05,4.6906e-06,6.0250e-08,,,,,,            6.0635,           13.1381,           19.1612,           26.4848,           12.8534,            2.6696,           -2.7561,           -0.0958,            0.0352,          -19.1475,
Ref 14,5.61403e-08,,,,,,1.1902e-02,4.1576e-03,4.8125e-05,4.5690e-06,5.9505e-08,,,,,,,,,,,
Sam 14,5.49956e-08,1.19747e-02,4.2124e-03,4.9041e-05,4.6912e-06,6.1254e-08,,,,,,            6.0722,           13.1501,           18.9500,           26.5897,           35.9787,            2.6785,           -2.7443,           -0.3236,            0.1135,            3.2144,
Ref 15,5.53465e-08,,,,,,1.1902e-02,4.1578e-03,4.8133e-05,4.5703e-06,5.8743e-08,,,,,,,,,,,
Sam 15,5.41861e-08,1.19749e-02,4.2125e-03,4.9045e-05,4.6882e-06,6.1334e-08,,,,,,            6.0746,           13.1411,           18.9212,           25.5342,           37.4190,            2.6814,           -2.7532,           -0.3456,           -0.8969,            4.6242,
Ref 16,5.45614e-08,,,,,,1.1903e-02,4.1580e-03,4.8135e-05,4.5728e-06,5.9506e-08,,,,,,,,,,,
Sam 16,5.33866e-08,1.19748e-02,4.2127e-03,4.9049e-05,4.6924e-06,6.1502e-08,,,,,,            6.0675,           13.1458,           18.9477,           26.2706,           35.0563,            2.6737,           -2.7485,           -0.3169,           -0.1889,            2.3344,
Ref 17,5.38002e-08,,,,,,1.1903e-02,4.1581e-03,4.8138e-05,4.5717e-06,5.9331e-08,,,,,,,,,,,
Sam 17,5.26082e-08,1.19750e-02,4.2128e-03,4.9053e-05,4.6914e-06,6.0553e-08,,,,,,            6.0776,           13.1507,           19.0480,           26.2794,            9.0681,            2.6843,           -2.7437,           -0.2336,           -0.1899,          -22.8519,
Ref 18,5.30467e-08,,,,,,1.1903e-02,4.1582e-03,4.8135e-05,4.5708e-06,6.0696e-08,,,,,,,,,,,
Sam 18,5.18412e-08,1.19749e-02,4.2128e-03,4.9056e-05,4.6913e-06,6.1090e-08,,,,,,            6.0627,           13.1333,           18.9800,           26.5380,          -14.3154,            2.6690,           -2.7609,           -0.2681,            0.0965,          -45.4483,
Ref 19,5.23078e-08,,,,,,1.1903e-02,4.1583e-03,4.8151e-05,4.5693e-06,6.3276e-08,,,,,,,,,,,
Sam 19,5.10879e-08,1.19747e-02,4.2130e-03,4.9060e-05,4.6901e-06,6.1637e-08,,,,,,            6.0580,           13.1409,           18.9596,           26.0103,          -11.1507,            2.6637,           -2.7533,           -0.2908,           -0.4327,          -42.3931,
Ref 20,5.15889e-08,,,,,,1.1903e-02,4.1584e-03,4.8144e-05,4.5730e-06,6.1375e-08,,,,,,,,,,,
Sam 20,5.03498e-08,1.19749e-02,4.2131e-03,4.9059e-05,4.6912e-06,6.2083e-08,,,,,,            6.0679,           13.1392,           18.9041,           26.0421,           15.7279,            2.6743,           -2.7550,           -0.3537,           -0.3984,          -16.3707,
Ref 21,5.08818e-08,,,,,,1.1903e-02,4.1585e-03,4.8154e-05,4.5712e-06,6.0864e-08,,,,,,,,,,,


Ref 1,5.05229e-08,,,,,,1.1903e-02,4.1584e-03,4.8150e-05,4.5715e-06,5.9750e-08,,,,,,,,,,,
Sam 1,4.92521e-08,1.19751e-02,4.2132e-03,4.9058e-05,4.6933e-06,6.1001e-08,,,,,,            6.0719,           13.1482,           18.8766,           26.3652,           19.1727,            2.6783,           -2.7461,           -0.3935,           -0.1014,          -13.0562,
Ref 2,4.98340e-08,,,,,,1.1903e-02,4.1586e-03,4.8148e-05,4.5741e-06,5.9959e-08,,,,,,,,,,,
Sam 2,4.85420e-08,1.19750e-02,4.2133e-03,4.9065e-05,4.6893e-06,6.1625e-08,,,,,,            6.0651,           13.1295,           18.9998,           25.4085,           31.0034,            2.6717,           -2.7646,           -0.2474,           -0.9965,           -1.5561,
Ref 3,4.91499e-08,,,,,,1.1903e-02,4.1587e-03,4.8152e-05,4.5721e-06,5.9582e-08,,,,,,,,,,,
Sam 3,4.78357e-08,1.19750e-02,4.2133e-03,4.9062e-05,4.6930e-06,6.1140e-08,,,,,,            6.0599,           13.1274,           18.8856,           26.4205,           29.5901,            2.6662,           -2.7666,           -0.3522,           -0.0065,           -2.9153,
Ref 4,4.84792e-08,,,,,,1.1903e-02,4.1588e-03,4.8153e-05,4.5723e-06,5.9181e-08,,,,,,,,,,,
Sam 4,4.71460e-08,1.19751e-02,4.2134e-03,4.9070e-05,4.6932e-06,6.2323e-08,,,,,,            6.0626,           13.1296,           19.0333,           26.4925,           57.1572,            2.6690,           -2.7645,           -0.2121,            0.0594,           23.7742,
Ref 5,4.78204e-08,,,,,,1.1903e-02,4.1589e-03,4.8154e-05,4.5717e-06,5.8722e-08,,,,,,,,,,,
Sam 5,4.64784e-08,1.19752e-02,4.2135e-03,4.9074e-05,4.6943e-06,6.0071e-08,,,,,,            6.0600,           13.1188,           18.9846,           26.7045,           -5.1855,            2.6666,           -2.7751,           -0.2469,            0.2873,          -36.5770,
Ref 6,4.71716e-08,,,,,,1.1903e-02,4.1589e-03,4.8166e-05,4.5727e-06,6.2069e-08,,,,,,,,,,,
Sam 6,4.58207e-08,1.19752e-02,4.2136e-03,4.9071e-05,4.6930e-06,6.0332e-08,,,,,,            6.0611,           13.1235,           18.8450,           26.5918,          -14.5130,            2.6676,           -2.7705,           -0.3894,            0.1682,          -45.6199,
Ref 7,4.65338e-08,,,,,,1.1903e-02,4.1590e-03,4.8161e-05,4.5702e-06,6.0361e-08,,,,,,,,,,,
Sam 7,4.51789e-08,1.19752e-02,4.2137e-03,4.9073e-05,4.6916e-06,6.2214e-08,,,,,,            6.0611,           13.1226,           18.9442,           26.2075,           29.2233,            2.6677,           -2.7713,           -0.2913,           -0.2045,           -3.2625,
Ref 8,4.59114e-08,,,,,,1.1903e-02,4.1591e-03,4.8160e-05,4.5735e-06,6.0536e-08,,,,,,,,,,,
Sam 8,4.45446e-08,1.19753e-02,4.2137e-03,4.9084e-05,4.6968e-06,6.5364e-08,,,,,,            6.0619,           13.1255,           19.1304,           26.8981,           84.9161,            2.6684,           -2.7685,           -0.1122,            0.4626,           50.6657,
Ref 9,4.52938e-08,,,,,,1.1903e-02,4.1592e-03,4.8165e-05,4.5740e-06,5.9956e-08,,,,,,,,,,,
Sam 9,4.39315e-08,1.19752e-02,4.2138e-03,4.9085e-05,4.6926e-06,6.3265e-08,,,,,,            6.0500,           13.1150,           19.1690,           26.0681,           45.3361,            2.6561,           -2.7788,           -0.0519,           -0.3253,           12.3686,
Ref 10,4.46912e-08,,,,,,1.1903e-02,4.1592e-03,4.8159e-05,4.5728e-06,6.1093e-08,,,,,,,,,,,
Sam 10,4.33270e-08,1.19753e-02,4.2138e-03,4.9084e-05,4.6955e-06,6.2653e-08,,,,,,            6.0570,           13.1207,           19.2238,           26.7700,           37.2403,            2.6634,           -2.7733,           -0.0109,            0.3473,            4.5096,
Ref 11,4.40945e-08,,,,,,1.1903e-02,4.1592e-03,4.8157e-05,4.5734e-06,5.9705e-08,,,,,,,,,,,
Sam 11,4.27338e-08,1.19753e-02,4.2138e-03,4.9082e-05,4.6935e-06,6.2615e-08,,,,,,            6.0613,           13.1154,           19.0910,           26.2712,           46.1396,            2.6681,           -2.7785,           -0.1404,           -0.1282,           13.1339,
Ref 12,4.35121e-08,,,,,,1.1903e-02,4.1593e-03,4.8167e-05,4.5734e-06,6.0003e-08,,,,,,,,,,,
Sam 12,4.21497e-08,1.19753e-02,4.2140e-03,4.9084e-05,4.6920e-06,6.2015e-08,,,,,,            6.0635,           13.1313,           19.0413,           25.9745,           41.6278,            2.6699,           -2.7628,           -0.2068,           -0.4486,            8.7310,
Ref 13,4.29360e-08,,,,,,1.1903e-02,4.1594e-03,4.8166e-05,4.5730e-06,5.9063e-08,,,,,,,,,,,
Sam 13,4.15771e-08,1.19754e-02,4.2140e-03,4.9084e-05,4.6927e-06,6.2968e-08,,,,,,            6.0656,           13.1271,           19.0662,           26.0812,           55.4891,            2.6723,           -2.7669,           -0.1806,           -0.3365,           22.1604,
Ref 14,4.23715e-08,,,,,,1.1903e-02,4.1594e-03,4.8164e-05,4.5738e-06,6.0260e-08,,,,,,,,,,,
Sam 14,4.10175e-08,1.19755e-02,4.2141e-03,4.9082e-05,4.6918e-06,6.1765e-08,,,,,,            6.0605,           13.1261,           19.0215,           25.9589,            4.5927,            2.6669,           -2.7679,           -0.2182,           -0.4536,          -27.1216,
Ref 15,4.18115e-08,,,,,,1.1903e-02,4.1595e-03,4.8168e-05,4.5724e-06,6.2722e-08,,,,,,,,,,,
Sam 15,4.04669e-08,1.19755e-02,4.2141e-03,4.9088e-05,4.6934e-06,6.1602e-08,,,,,,            6.0570,           13.1095,           19.0511,           26.3765,           -3.0567,            2.6637,           -2.7842,           -0.1695,           -0.0140,          -34.4949,
Ref 16,4.12652e-08,,,,,,1.1903e-02,4.1596e-03,4.8173e-05,4.5732e-06,6.0848e-08,,,,,,,,,,,
Sam 16,3.99284e-08,1.19755e-02,4.2141e-03,4.9090e-05,4.6923e-06,6.0695e-08,,,,,,            6.0544,           13.0965,           18.9964,           26.2451,           11.9381,            2.6614,           -2.7971,           -0.2078,           -0.1163,          -19.9454,
Ref 17,4.07345e-08,,,,,,1.1903e-02,4.1596e-03,4.8176e-05,4.5715e-06,5.9099e-08,,,,,,,,,,,
Sam 17,3.93987e-08,1.19756e-02,4.2142e-03,4.9091e-05,4.6938e-06,6.2809e-08,,,,,,            6.0640,           13.1087,           18.9953,           26.4069,           59.1728,            2.6712,           -2.7851,           -0.2306,            0.0173,           25.7664,
Ref 18,4.02077e-08,,,,,,1.1903e-02,4.1596e-03,4.8175e-05,4.5746e-06,5.9504e-08,,,,,,,,,,,
Sam 18,3.88800e-08,1.19754e-02,4.2142e-03,4.9092e-05,4.6936e-06,6.2539e-08,,,,,,            6.0479,           13.1144,           19.0224,           26.3838,           47.1215,            2.6538,           -2.7794,           -0.1930,           -0.0165,           14.1011,
Ref 19,3.96926e-08,,,,,,1.1903e-02,4.1597e-03,4.8176e-05,4.5712e-06,5.9948e-08,,,,,,,,,,,
Sam 19,3.83677e-08,1.19754e-02,4.2143e-03,4.9093e-05,4.6915e-06,6.3612e-08,,,,,,            6.0394,           13.1058,           18.9786,           26.3908,           51.5685,            2.6451,           -2.7879,           -0.2190,            0.0072,           18.4341,
Ref 20,3.91819e-08,,,,,,1.1904e-02,4.1598e-03,4.8180e-05,4.5704e-06,6.1044e-08,,,,,,,,,,,
Sam 20,3.78631e-08,1.19758e-02,4.2144e-03,4.9099e-05,4.6948e-06,6.1390e-08,,,,,,            6.0664,           13.1137,           19.0421,           26.8856,           16.7513,            2.6735,           -2.7802,           -0.1920,            0.4737,          -15.3292,
Ref 21,3.86776e-08,,,,,,1.1904e-02,4.1598e-03,4.8182e-05,4.5734e-06,5.9704e-08,,,,,,,,,,,


Ref 1,3.84237e-08,,,,,,1.1904e-02,4.1598e-03,4.8173e-05,4.5705e-06,5.9158e-08,,,,,,,,,,,
Sam 1,3.71220e-08,1.19759e-02,4.2144e-03,4.9099e-05,4.6908e-06,6.1907e-08,,,,,,            6.0600,           13.1152,           19.1946,           26.3088,           42.4411,            2.6667,           -2.7787,           -0.0372,           -0.0911,            9.5540,
Ref 2,3.79385e-08,,,,,,1.1904e-02,4.1599e-03,4.8176e-05,4.5706e-06,5.9618e-08,,,,,,,,,,,
Sam 2,3.66475e-08,1.19760e-02,4.2145e-03,4.9100e-05,4.6919e-06,6.1791e-08,,,,,,            6.0603,           13.1146,           19.1295,           26.3461,           28.9812,            2.6671,           -2.7793,           -0.1009,           -0.0536,           -3.4806,
Ref 3,3.74657e-08,,,,,,1.1904e-02,4.1600e-03,4.8180e-05,4.5723e-06,6.0490e-08,,,,,,,,,,,
Sam 3,3.61785e-08,1.19760e-02,4.2146e-03,4.9105e-05,4.6942e-06,5.6656e-08,,,,,,            6.0661,           13.1136,           19.1175,           26.6783,          -64.2095,            2.6733,           -2.7802,           -0.1176,            0.2719,          -93.7352,
Ref 4,3.69940e-08,,,,,,1.1904e-02,4.1600e-03,4.8188e-05,4.5721e-06,6.0599e-08,,,,,,,,,,,
Sam 4,3.57155e-08,1.19760e-02,4.2146e-03,4.9103e-05,4.6912e-06,6.4726e-08,,,,,,            6.0609,           13.1094,           18.9485,           26.2337,           77.5274,            2.6679,           -2.7843,           -0.2740,           -0.1529,           43.5440,
Ref 5,3.65308e-08,,,,,,1.1904e-02,4.1602e-03,4.8192e-05,4.5705e-06,5.9532e-08,,,,,,,,,,,
Sam 5,3.52637e-08,1.19762e-02,4.2147e-03,4.9104e-05,4.6921e-06,6.1301e-08,,,,,,            6.0708,           13.1046,           18.9210,           26.2095,           37.4755,            2.6785,           -2.7891,           -0.3064,           -0.1669,            4.7542,
Ref 6,3.60767e-08,,,,,,1.1904e-02,4.1602e-03,4.8192e-05,4.5739e-06,5.8635e-08,,,,,,,,,,,
Sam 6,3.48157e-08,1.19762e-02,4.2148e-03,4.9109e-05,4.6922e-06,6.3512e-08,,,,,,            6.0593,           13.1184,           19.0604,           26.2901,           74.1945,            2.6659,           -2.7755,           -0.1713,           -0.1157,           40.2997,
Ref 7,3.56240e-08,,,,,,1.1904e-02,4.1602e-03,4.8189e-05,4.5701e-06,5.9621e-08,,,,,,,,,,,
Sam 7,3.43762e-08,1.19761e-02,4.2148e-03,4.9109e-05,4.6933e-06,6.1723e-08,,,,,,            6.0528,           13.1061,           19.0401,           26.6364,           26.9160,            2.6594,           -2.7876,           -0.1726,            0.2460,           -5.4563,
Ref 8,3.51841e-08,,,,,,1.1904e-02,4.1603e-03,4.8193e-05,4.5731e-06,6.0596e-08,,,,,,,,,,,
Sam 8,3.39453e-08,1.19761e-02,4.2149e-03,4.9110e-05,4.6918e-06,6.2654e-08,,,,,,            6.0465,           13.1033,           19.0513,           25.9621,           32.3060,            2.6528,           -2.7904,           -0.1525,           -0.4055,           -0.2241,
Ref 9,3.47496e-08,,,,,,1.1904e-02,4.1604e-03,4.8191e-05,4.5731e-06,6.0792e-08,,,,,,,,,,,
Sam 9,3.35200e-08,1.19763e-02,4.2150e-03,4.9115e-05,4.6937e-06,6.3017e-08,,,,,,            6.0633,           13.1137,           19.1671,           26.5327,           30.2402,            2.6703,           -2.7801,           -0.0662,            0.1298,           -2.2628,
Ref 10,3.43147e-08,,,,,,1.1904e-02,4.1605e-03,4.8191e-05,4.5716e-06,6.1547e-08,,,,,,,,,,,
Sam 10,3.30996e-08,1.19764e-02,4.2150e-03,4.9108e-05,4.6919e-06,6.1505e-08,,,,,,            6.0706,           13.1092,           18.9162,           26.3675,           16.2445,            2.6782,           -2.7846,           -0.3153,           -0.0220,          -15.8158,
Ref 11,3.38934e-08,,,,,,1.1904e-02,4.1605e-03,4.8203e-05,4.5712e-06,5.9484e-08,,,,,,,,,,,
Sam 11,3.26906e-08,1.19765e-02,4.2150e-03,4.9114e-05,4.6874e-06,6.3407e-08,,,,,,            6.0584,           13.1005,           18.9328,           25.3319,           58.6839,            2.6655,           -2.7931,           -0.2783,           -1.0140,           25.3152,
Ref 12,3.34796e-08,,,,,,1.1905e-02,4.1605e-03,4.8201e-05,4.5720e-06,6.0305e-08,,,,,,,,,,,
Sam 12,3.22810e-08,1.19766e-02,4.2152e-03,4.9114e-05,4.6933e-06,6.3142e-08,,,,,,            6.0596,           13.1247,           18.9580,           26.4884,           26.5610,            2.6660,           -2.7693,           -0.2783,            0.0650,           -5.8432,
Ref 13,3.30705e-08,,,,,,1.1905e-02,4.1606e-03,4.8201e-05,4.5725e-06,6.2727e-08,,,,,,,,,,,
Sam 13,3.18842e-08,1.19765e-02,4.2151e-03,4.9115e-05,4.6928e-06,6.4865e-08,,,,,,            6.0532,           13.1010,           18.8742,           26.4047,           58.7682,            2.6600,           -2.7926,           -0.3308,            0.0303,           25.4015,
Ref 14,3.26680e-08,,,,,,1.1904e-02,4.1607e-03,4.8209e-05,4.5717e-06,5.9783e-08,,,,,,,,,,,
Sam 14,3.14939e-08,1.19764e-02,4.2152e-03,4.9120e-05,4.6914e-06,6.2824e-08,,,,,,            6.0627,           13.1162,           18.9708,           26.3680,           35.6039,            2.6695,           -2.7777,           -0.2605,           -0.0355,            2.9275,
Ref 15,3.22734e-08,,,,,,1.1904e-02,4.1607e-03,4.8202e-05,4.5700e-06,6.1556e-08,,,,,,,,,,,
Sam 15,3.11108e-08,1.19765e-02,4.2152e-03,4.9121e-05,4.6905e-06,6.2247e-08,,,,,,            6.0704,           13.1045,           19.0525,           25.9187,            2.3621,            2.6781,           -2.7892,           -0.1769,           -0.4501,          -29.2512,
Ref 16,3.18834e-08,,,,,,1.1904e-02,4.1607e-03,4.8205e-05,4.5741e-06,6.2651e-08,,,,,,,,,,,
Sam 16,3.07323e-08,1.19765e-02,4.2153e-03,4.9122e-05,4.6913e-06,6.2065e-08,,,,,,            6.0614,           13.1130,           18.9326,           25.6328,          -11.3836,            2.6683,           -2.7809,           -0.2935,           -0.7454,          -42.5700,
Ref 17,3.14991e-08,,,,,,1.1904e-02,4.1607e-03,4.8214e-05,4.5740e-06,6.2910e-08,,,,,,,,,,,
Sam 17,3.03582e-08,1.19766e-02,4.2153e-03,4.9123e-05,4.6874e-06,6.3289e-08,,,,,,            6.0653,           13.1123,           18.9381,           25.0795,           17.5351,            2.6725,           -2.7816,           -0.2916,           -1.2831,          -14.5664,
Ref 18,3.11187e-08,,,,,,1.1904e-02,4.1608e-03,4.8205e-05,4.5714e-06,6.1479e-08,,,,,,,,,,,
Sam 18,2.99911e-08,1.19766e-02,4.2154e-03,4.9120e-05,4.6927e-06,6.2127e-08,,,,,,            6.0632,           13.1077,           18.8953,           26.7641,            0.2020,            2.6703,           -2.7860,           -0.3269,            0.3672,          -31.3418,
Ref 19,3.07439e-08,,,,,,1.1904e-02,4.1609e-03,4.8213e-05,4.5693e-06,6.2757e-08,,,,,,,,,,,
Sam 19,2.96285e-08,1.19767e-02,4.2154e-03,4.9119e-05,4.6943e-06,6.4432e-08,,,,,,            6.0646,           13.0958,           18.7859,           27.2461,           39.3645,            2.6723,           -2.7978,           -0.4241,            0.8603,            6.6074,
Ref 20,3.03813e-08,,,,,,1.1904e-02,4.1609e-03,4.8214e-05,4.5702e-06,6.1217e-08,,,,,,,,,,,
Sam 20,2.92755e-08,1.19766e-02,4.2155e-03,4.9128e-05,4.6899e-06,6.4757e-08,,,,,,            6.0568,           13.1142,           18.9524,           26.3004,           47.5508,            2.6633,           -2.7796,           -0.2706,           -0.0974,           14.5077,
Ref 21,3.00196e-08,,,,,,1.1905e-02,4.1609e-03,4.8213e-05,4.5693e-06,6.2425e-08,,,,,,,,,,,


