Nu Stable Isotope Analysis Program
Data Collected on Tuesday, December 26, 2017 at 15:14 with Stable 1.69.5 on PS019,Reanalyzed on Tuesday, December 26, 2017 at 16:13 with Stable 1.69.5 on PS019

Data File = Data_3689 MDE 293.4.txt,      Sample Weight = 431,                      Vial Location = 24,                       Initial Sam Beam = 3.8822e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.7866e-08,                Max Ref Beam = 1.0737e-07,                
Analysis undertaken at mass 45.81382
Analysis undertaken at mass 45.81382
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.74765e-08,,,,,,1.1943e-02,4.1754e-03,4.8396e-05,4.6219e-06,7.0373e-08,,,,,,,,,,,
Sam 1,3.38487e-08,1.19026e-02,4.2156e-03,4.8660e-05,4.7120e-06,7.4038e-08,,,,,,           -3.6007,            9.2622,            4.9266,           18.0947,           69.1208,           -7.4751,           -6.5542,           -0.4427,           -0.5061,           53.9376,
Ref 2,3.66740e-08,,,,,,1.1948e-02,4.1784e-03,4.8447e-05,4.6347e-06,6.8105e-08,,,,,,,,,,,
Sam 2,3.31045e-08,1.19037e-02,4.2164e-03,4.8672e-05,4.7183e-06,7.2467e-08,,,,,,           -3.7846,            8.9917,            4.5956,           17.6540,           39.7634,           -7.6614,           -6.8204,           -0.3181,           -0.4030,           25.7391,
Ref 3,3.58905e-08,,,,,,1.1949e-02,4.1792e-03,4.8452e-05,4.6381e-06,7.1320e-08,,,,,,,,,,,
Sam 3,3.23770e-08,1.19055e-02,4.2173e-03,4.8692e-05,4.7247e-06,7.4222e-08,,,,,,           -3.8067,            8.9438,            4.7171,           18.5801,           56.4767,           -7.6832,           -6.8676,           -0.1277,            0.6017,           42.3488,
Ref 4,3.51116e-08,,,,,,1.1953e-02,4.1807e-03,4.8474e-05,4.6389e-06,6.9164e-08,,,,,,,,,,,
Sam 4,3.16715e-08,1.19061e-02,4.2177e-03,4.8685e-05,4.7233e-06,6.9693e-08,,,,,,           -3.8884,            8.8361,            4.3414,           17.8498,            5.3310,           -7.7665,           -6.9735,           -0.3120,            0.0977,           -7.8181,
Ref 5,3.43600e-08,,,,,,1.1953e-02,4.1807e-03,4.8476e-05,4.6422e-06,6.9486e-08,,,,,,,,,,,
Sam 5,3.09917e-08,1.19078e-02,4.2185e-03,4.8699e-05,4.7229e-06,7.1908e-08,,,,,,           -3.8221,            8.9226,            4.4373,           17.6965,           46.2104,           -7.6989,           -6.8884,           -0.3695,           -0.2242,           32.2795,
Ref 6,3.36227e-08,,,,,,1.1954e-02,4.1816e-03,4.8493e-05,4.6395e-06,6.7962e-08,,,,,,,,,,,
Sam 6,3.03232e-08,1.19096e-02,4.2193e-03,4.8726e-05,4.7246e-06,7.2155e-08,,,,,,           -3.8280,            8.9019,            4.7198,           18.4343,           68.0760,           -7.7045,           -6.9088,           -0.0620,            0.5415,           53.9030,
Ref 7,3.28913e-08,,,,,,1.1956e-02,4.1825e-03,4.8502e-05,4.6388e-06,6.7141e-08,,,,,,,,,,,
Sam 7,2.96672e-08,1.19112e-02,4.2201e-03,4.8723e-05,4.7215e-06,7.2334e-08,,,,,,           -3.7935,            8.9596,            4.5160,           17.6499,           71.0067,           -7.6698,           -6.8520,           -0.3568,           -0.3436,           56.6370,
Ref 8,3.22025e-08,,,,,,1.1957e-02,4.1827e-03,4.8506e-05,4.6405e-06,6.7944e-08,,,,,,,,,,,
Sam 8,2.90482e-08,1.19118e-02,4.2204e-03,4.8738e-05,4.7235e-06,7.2318e-08,,,,,,           -3.8258,            8.9140,            4.5946,           17.9496,           14.7732,           -7.7025,           -6.8968,           -0.2007,            0.0413,            1.2816,
Ref 9,3.15272e-08,,,,,,1.1958e-02,4.1835e-03,4.8526e-05,4.6399e-06,7.4657e-08,,,,,,,,,,,
Sam 9,2.84465e-08,1.19131e-02,4.2210e-03,4.8740e-05,4.7226e-06,6.9466e-08,,,,,,           -3.8328,            8.8964,            4.3922,           18.0706,          -35.8284,           -7.7094,           -6.9142,           -0.3778,            0.1952,          -48.6073,
Ref 10,3.08798e-08,,,,,,1.1960e-02,4.1842e-03,4.8529e-05,4.6377e-06,6.9384e-08,,,,,,,,,,,
Sam 10,2.78722e-08,1.19134e-02,4.2213e-03,4.8748e-05,4.7238e-06,7.0057e-08,,,,,,           -3.8741,            8.8485,            4.5447,           18.3484,           21.1465,           -7.7516,           -6.9613,           -0.1365,            0.5631,            7.7509,
Ref 11,3.02500e-08,,,,,,1.1960e-02,4.1844e-03,4.8526e-05,4.6397e-06,6.7813e-08,,,,,,,,,,,
Sam 11,2.73102e-08,1.19131e-02,4.2212e-03,4.8748e-05,4.7229e-06,6.9050e-08,,,,,,           -3.9535,            8.7368,            4.4109,           18.2527,           18.3031,           -7.8323,           -7.0712,           -0.0786,            0.6907,            5.2489,
Ref 12,2.96287e-08,,,,,,1.1961e-02,4.1849e-03,4.8542e-05,4.6367e-06,6.7805e-08,,,,,,,,,,,
Sam 12,2.67606e-08,1.19134e-02,4.2213e-03,4.8747e-05,4.7185e-06,7.2306e-08,,,,,,           -3.9896,            8.6594,            4.1301,           17.0895,           65.9823,           -7.8680,           -7.1474,           -0.2453,           -0.2991,           52.5163,
Ref 13,2.90372e-08,,,,,,1.1961e-02,4.1852e-03,4.8550e-05,4.6417e-06,6.7856e-08,,,,,,,,,,,
Sam 13,2.62278e-08,1.19158e-02,4.2225e-03,4.8769e-05,4.7236e-06,6.8136e-08,,,,,,           -3.8241,            8.8778,            4.5759,           17.6564,            8.8451,           -7.6995,           -6.9326,           -0.1857,           -0.1749,           -4.4991,
Ref 14,2.84575e-08,,,,,,1.1962e-02,4.1856e-03,4.8544e-05,4.6415e-06,6.7215e-08,,,,,,,,,,,
Sam 14,2.57150e-08,1.19152e-02,4.2223e-03,4.8766e-05,4.7238e-06,7.0246e-08,,,,,,           -3.9726,            8.6742,            4.4009,           17.6025,           59.5564,           -7.8504,           -7.1328,           -0.0079,            0.1757,           46.1222,
Ref 15,2.78775e-08,,,,,,1.1964e-02,4.1864e-03,4.8562e-05,4.6428e-06,6.5361e-08,,,,,,,,,,,
Sam 15,2.52006e-08,1.19167e-02,4.2230e-03,4.8823e-05,4.7302e-06,9.0029e-08,,,,,,           -3.9647,            8.6868,            5.2251,           19.1653,          367.8096,           -7.8424,           -7.1204,            0.7923,            1.6867,          350.4224,
Ref 16,2.73043e-08,,,,,,1.1965e-02,4.1869e-03,4.8576e-05,4.6397e-06,6.6288e-08,,,,,,,,,,,
Sam 16,2.46928e-08,1.19183e-02,4.2237e-03,4.8795e-05,4.7169e-06,7.2828e-08,,,,,,           -3.8538,            8.8274,            4.5207,           16.5344,           98.7178,           -7.7294,           -6.9821,           -0.1609,           -1.1776,           84.3256,
Ref 17,2.67702e-08,,,,,,1.1964e-02,4.1866e-03,4.8574e-05,4.6406e-06,6.6282e-08,,,,,,,,,,,
Sam 17,2.42207e-08,1.19175e-02,4.2234e-03,4.8793e-05,4.7171e-06,7.1834e-08,,,,,,           -3.9130,            8.7535,            4.6003,           16.6805,           83.3597,           -7.7897,           -7.0548,            0.0517,           -0.8875,           69.3904,
Ref 18,2.62432e-08,,,,,,1.1964e-02,4.1868e-03,4.8565e-05,4.6388e-06,6.6332e-08,,,,,,,,,,,
Sam 18,2.37607e-08,1.19160e-02,4.2227e-03,4.8772e-05,4.7144e-06,6.8882e-08,,,,,,           -4.0787,            8.5386,            4.0709,           17.0519,           58.4641,           -7.9586,           -7.2662,           -0.0943,           -0.0966,           45.4387,
Ref 19,2.57244e-08,,,,,,1.1965e-02,4.1871e-03,4.8585e-05,4.6318e-06,6.3798e-08,,,,,,,,,,,
Sam 19,2.33017e-08,1.19161e-02,4.2227e-03,4.8774e-05,4.7178e-06,6.8612e-08,,,,,,           -4.0421,            8.5816,            3.9710,           18.2855,           70.0100,           -7.9211,           -7.2239,           -0.2737,            1.0307,           56.7124,
Ref 20,2.52237e-08,,,,,,1.1964e-02,4.1866e-03,4.8577e-05,4.6344e-06,6.4454e-08,,,,,,,,,,,
Sam 20,2.28562e-08,1.19155e-02,4.2224e-03,4.8769e-05,4.7150e-06,6.6296e-08,,,,,,           -4.0298,            8.5755,            4.0157,           17.5858,           35.9459,           -7.9079,           -7.2300,           -0.2358,            0.3551,           23.0706,
Ref 21,2.47387e-08,,,,,,1.1964e-02,4.1864e-03,4.8571e-05,4.6326e-06,6.3528e-08,,,,,,,,,,,


Ref 1,2.44916e-08,,,,,,1.1963e-02,4.1864e-03,4.8575e-05,4.6327e-06,6.3161e-08,,,,,,,,,,,
Sam 1,2.22090e-08,1.19155e-02,4.2224e-03,4.8766e-05,4.7153e-06,6.7036e-08,,,,,,           -3.9502,            8.6730,            4.1069,           17.8460,           71.7756,           -7.8266,           -7.1340,           -0.3225,            0.4174,           58.1637,
Ref 2,2.40380e-08,,,,,,1.1962e-02,4.1858e-03,4.8558e-05,4.6326e-06,6.1921e-08,,,,,,,,,,,
Sam 2,2.17960e-08,1.19137e-02,4.2215e-03,4.8761e-05,4.7158e-06,6.4795e-08,,,,,,           -4.0987,            8.4637,            4.0402,           17.8988,           43.9222,           -7.9773,           -7.3400,           -0.0311,            0.8847,           31.2485,
Ref 3,2.35689e-08,,,,,,1.1963e-02,4.1863e-03,4.8571e-05,4.6332e-06,6.2220e-08,,,,,,,,,,,
Sam 3,2.13782e-08,1.19162e-02,4.2226e-03,4.8772e-05,4.7103e-06,6.5493e-08,,,,,,           -4.0822,            8.4911,            3.9679,           17.1505,           60.8600,           -7.9607,           -7.3130,           -0.1468,            0.0945,           47.9061,
Ref 4,2.31076e-08,,,,,,1.1967e-02,4.1878e-03,4.8587e-05,4.6285e-06,6.1241e-08,,,,,,,,,,,
Sam 4,2.09684e-08,1.19185e-02,4.2237e-03,4.8786e-05,4.7105e-06,6.5042e-08,,,,,,           -4.1075,            8.4694,            4.0071,           17.7711,           60.5415,           -7.9869,           -7.3343,           -0.0604,            0.7477,           47.6642,
Ref 5,2.26627e-08,,,,,,1.1969e-02,4.1887e-03,4.8596e-05,4.6279e-06,6.1418e-08,,,,,,,,,,,
Sam 5,2.05717e-08,1.19201e-02,4.2245e-03,4.8795e-05,4.7065e-06,6.4774e-08,,,,,,           -4.0265,            8.5776,            4.1061,           16.4832,           55.2370,           -7.9044,           -7.2279,           -0.1513,           -0.7330,           42.1140,
Ref 6,2.22391e-08,,,,,,1.1968e-02,4.1884e-03,4.8595e-05,4.6325e-06,6.1349e-08,,,,,,,,,,,
Sam 6,2.02009e-08,1.19192e-02,4.2240e-03,4.8791e-05,4.7106e-06,6.3591e-08,,,,,,           -4.1110,            8.4250,            3.9891,           16.7269,           50.8127,           -7.9890,           -7.3781,           -0.0315,           -0.1909,           38.1473,
Ref 7,2.18229e-08,,,,,,1.1969e-02,4.1889e-03,4.8599e-05,4.6336e-06,5.9668e-08,,,,,,,,,,,
Sam 7,1.98262e-08,1.19210e-02,4.2249e-03,4.8803e-05,4.7127e-06,6.3305e-08,,,,,,           -4.0222,            8.5659,            4.0695,           17.6367,           70.5869,           -7.8995,           -7.2394,           -0.1807,            0.4242,           57.2923,
Ref 8,2.14116e-08,,,,,,1.1969e-02,4.1892e-03,4.8611e-05,4.6284e-06,5.8584e-08,,,,,,,,,,,
Sam 8,1.94632e-08,1.19214e-02,4.2252e-03,4.8808e-05,4.7099e-06,6.4780e-08,,,,,,           -4.0719,            8.5216,            3.9198,           17.3981,           67.4866,           -7.9508,           -7.2829,           -0.2352,            0.2774,           54.3775,
Ref 9,2.10081e-08,,,,,,1.1971e-02,4.1898e-03,4.8625e-05,4.6303e-06,6.2825e-08,,,,,,,,,,,
Sam 9,1.91191e-08,1.19214e-02,4.2251e-03,4.8809e-05,4.7080e-06,6.5216e-08,,,,,,           -4.1266,            8.4405,            3.8191,           17.3215,           22.0151,           -8.0062,           -7.3627,           -0.1998,            0.3630,            9.6830,
Ref 10,2.06274e-08,,,,,,1.1971e-02,4.1897e-03,4.8621e-05,4.6254e-06,6.4816e-08,,,,,,,,,,,
Sam 10,1.87739e-08,1.19219e-02,4.2253e-03,4.8814e-05,4.7076e-06,6.6205e-08,,,,,,           -4.0193,            8.5756,            4.0353,           17.6831,           -3.8412,           -7.8967,           -7.2298,           -0.2272,            0.4505,          -16.2333,
Ref 11,2.02551e-08,,,,,,1.1969e-02,4.1891e-03,4.8615e-05,4.6262e-06,6.8136e-08,,,,,,,,,,,
Sam 11,1.84466e-08,1.19209e-02,4.2249e-03,4.8815e-05,4.7054e-06,6.5626e-08,,,,,,           -4.0022,            8.6016,            4.1170,           17.2100,          -12.4892,           -7.8794,           -7.2043,           -0.1890,           -0.0661,          -24.8408,
Ref 12,1.98878e-08,,,,,,1.1968e-02,4.1887e-03,4.8615e-05,4.6252e-06,6.4745e-08,,,,,,,,,,,
Sam 12,1.81178e-08,1.19214e-02,4.2251e-03,4.8813e-05,4.7032e-06,6.8712e-08,,,,,,           -3.9780,            8.6299,            4.0257,           17.0101,           62.0869,           -7.8546,           -7.1764,           -0.3326,           -0.3187,           48.7173,
Ref 13,1.95206e-08,,,,,,1.1970e-02,4.1892e-03,4.8619e-05,4.6238e-06,6.4644e-08,,,,,,,,,,,
Sam 13,1.78012e-08,1.19218e-02,4.2254e-03,4.8818e-05,4.7057e-06,6.7603e-08,,,,,,           -3.9799,            8.6439,            4.0924,           17.6591,           46.6589,           -7.8572,           -7.1627,           -0.2777,            0.2915,           33.4575,
Ref 14,1.91715e-08,,,,,,1.1969e-02,4.1890e-03,4.8620e-05,4.6243e-06,6.4534e-08,,,,,,,,,,,
Sam 14,1.74935e-08,1.19187e-02,4.2238e-03,4.8795e-05,4.7002e-06,6.7474e-08,,,,,,           -4.2694,            8.2485,            3.5817,           16.7305,           53.4596,           -8.1514,           -7.5517,           -0.1011,            0.1627,           41.2969,
Ref 15,1.88167e-08,,,,,,1.1970e-02,4.1895e-03,4.8622e-05,4.6215e-06,6.3556e-08,,,,,,,,,,,
Sam 15,1.71845e-08,1.19201e-02,4.2244e-03,4.8800e-05,4.7030e-06,6.0810e-08,,,,,,           -4.1114,            8.4526,            3.8287,           18.2522,          -38.5089,           -7.9904,           -7.3509,           -0.2178,            1.2541,          -50.1484,
Ref 16,1.84838e-08,,,,,,1.1968e-02,4.1885e-03,4.8606e-05,4.6159e-06,6.2930e-08,,,,,,,,,,,
Sam 16,1.68879e-08,1.19193e-02,4.2241e-03,4.8865e-05,4.7061e-06,9.1028e-08,,,,,,           -4.0829,            8.4871,            5.3076,           19.3775,          410.0151,           -7.9613,           -7.3170,            1.1920,            2.2922,          392.8096,
Ref 17,1.81555e-08,,,,,,1.1968e-02,4.1885e-03,4.8608e-05,4.6173e-06,6.6215e-08,,,,,,,,,,,
Sam 17,1.65990e-08,1.19202e-02,4.2246e-03,4.8805e-05,4.7027e-06,6.9322e-08,,,,,,           -3.9979,            8.6478,            4.1072,           17.9721,           88.5481,           -7.8764,           -7.1588,           -0.2482,            0.5914,           74.8308,
Ref 18,1.78418e-08,,,,,,1.1968e-02,4.1884e-03,4.8603e-05,4.6221e-06,6.1105e-08,,,,,,,,,,,
Sam 18,1.63179e-08,1.19191e-02,4.2241e-03,4.8817e-05,4.6989e-06,6.5212e-08,,,,,,           -4.0212,            8.5801,            4.5734,           16.9064,           72.4437,           -7.8989,           -7.2254,            0.3061,           -0.3220,           59.0955,
Ref 19,1.75288e-08,,,,,,1.1967e-02,4.1879e-03,4.8587e-05,4.6194e-06,6.0503e-08,,,,,,,,,,,
Sam 19,1.60391e-08,1.19181e-02,4.2238e-03,4.8798e-05,4.6995e-06,6.4027e-08,,,,,,           -4.1165,            8.4871,            3.9959,           17.1601,           -9.2585,           -7.9970,           -7.3169,           -0.0796,            0.1120,          -21.3126,
Ref 20,1.72129e-08,,,,,,1.1968e-02,4.1885e-03,4.8620e-05,4.6210e-06,6.8823e-08,,,,,,,,,,,
Sam 20,1.57625e-08,1.19194e-02,4.2244e-03,4.8804e-05,4.6904e-06,6.7192e-08,,,,,,           -4.2028,            8.3924,            3.7820,           15.2633,           26.9164,           -8.0856,           -7.4100,           -0.1109,           -1.5655,           14.7031,
Ref 21,1.69041e-08,,,,,,1.1971e-02,4.1900e-03,4.8620e-05,4.6187e-06,6.1978e-08,,,,,,,,,,,


Ref 1,1.67548e-08,,,,,,1.1971e-02,4.1899e-03,4.8633e-05,4.6137e-06,6.3437e-08,,,,,,,,,,,
Sam 1,1.53572e-08,1.19216e-02,4.2254e-03,4.8818e-05,4.6938e-06,6.4157e-08,,,,,,           -4.0640,            8.5470,            3.9018,           17.1449,           50.5633,           -7.9432,           -7.2579,           -0.2862,           -0.0219,           37.6018,
Ref 2,1.64672e-08,,,,,,1.1970e-02,4.1893e-03,4.8623e-05,4.6156e-06,5.8659e-08,,,,,,,,,,,
Sam 2,1.51033e-08,1.19204e-02,4.2248e-03,4.8820e-05,4.6964e-06,7.1226e-08,,,,,,           -4.0438,            8.5700,            4.1019,           18.0668,          183.8281,           -7.9226,           -7.2354,           -0.1302,            0.8389,          169.1447,
Ref 3,1.61835e-08,,,,,,1.1968e-02,4.1885e-03,4.8617e-05,4.6105e-06,6.1699e-08,,,,,,,,,,,
Sam 3,1.48520e-08,1.19202e-02,4.2247e-03,4.8818e-05,4.6884e-06,6.1415e-08,,,,,,           -4.0742,            8.5373,            4.0535,           17.0660,           21.0457,           -7.9538,           -7.2675,           -0.1149,           -0.0801,            8.4786,
Ref 4,1.58997e-08,,,,,,1.1970e-02,4.1895e-03,4.8625e-05,4.6090e-06,5.8571e-08,,,,,,,,,,,
Sam 4,1.46076e-08,1.19201e-02,4.2247e-03,4.8815e-05,4.6861e-06,6.5001e-08,,,,,,           -4.1317,            8.4663,            3.9648,           16.1930,          113.5368,           -8.0124,           -7.3374,           -0.0745,           -0.7978,          100.0511,
Ref 5,1.56276e-08,,,,,,1.1969e-02,4.1890e-03,4.8620e-05,4.6138e-06,5.8172e-08,,,,,,,,,,,
Sam 5,1.43672e-08,1.19200e-02,4.2248e-03,4.8807e-05,4.6881e-06,6.3699e-08,,,,,,           -4.2056,            8.4021,            3.6505,           16.4425,           89.4004,           -8.0889,           -7.4004,           -0.2485,           -0.4251,           76.4268,
Ref 6,1.53546e-08,,,,,,1.1972e-02,4.1902e-03,4.8638e-05,4.6107e-06,5.8775e-08,,,,,,,,,,,
Sam 6,1.41302e-08,1.19217e-02,4.2255e-03,4.8817e-05,4.6897e-06,6.0540e-08,,,,,,           -4.1002,            8.5133,            3.7726,           17.1302,           10.8056,           -7.9806,           -7.2911,           -0.3445,            0.0305,           -1.5611,
Ref 7,1.50951e-08,,,,,,1.1970e-02,4.1895e-03,4.8629e-05,4.6108e-06,6.1030e-08,,,,,,,,,,,
Sam 7,1.39005e-08,1.19205e-02,4.2249e-03,4.8817e-05,4.6873e-06,6.2943e-08,,,,,,           -4.1386,            8.4205,            3.8423,           17.1308,           18.2694,           -8.0183,           -7.3825,           -0.1446,            0.2152,            6.0348,
Ref 8,1.48338e-08,,,,,,1.1970e-02,4.1897e-03,4.8631e-05,4.6059e-06,6.2611e-08,,,,,,,,,,,
Sam 8,1.36660e-08,1.19238e-02,4.2265e-03,4.8845e-05,4.6834e-06,6.5829e-08,,,,,,           -3.9602,            8.6793,            4.4542,           16.4969,           93.0392,           -7.8374,           -7.1279,            0.0275,           -0.9209,           79.1557,
Ref 9,1.45750e-08,,,,,,1.1972e-02,4.1906e-03,4.8626e-05,4.6089e-06,5.7797e-08,,,,,,,,,,,
Sam 9,1.34466e-08,1.19227e-02,4.2259e-03,4.8825e-05,4.6882e-06,6.1317e-08,,,,,,           -4.1222,            8.4728,            3.9254,           17.9129,           25.9417,           -8.0026,           -7.3310,           -0.1299,            0.8805,           13.4937,
Ref 10,1.43294e-08,,,,,,1.1972e-02,4.1902e-03,4.8643e-05,4.6024e-06,6.1770e-08,,,,,,,,,,,
Sam 10,1.32305e-08,1.19225e-02,4.2259e-03,4.8836e-05,4.6841e-06,6.2008e-08,,,,,,           -4.1051,            8.5099,            4.0556,           18.0612,           34.4269,           -7.9857,           -7.2944,           -0.0542,            0.9526,           21.7833,
Ref 11,1.40866e-08,,,,,,1.1972e-02,4.1902e-03,4.8635e-05,4.5995e-06,5.8087e-08,,,,,,,,,,,
Sam 11,1.30181e-08,1.19225e-02,4.2260e-03,4.8819e-05,4.6800e-06,6.4971e-08,,,,,,           -4.1158,            8.5262,            3.7234,           17.0240,          125.2348,           -7.9976,           -7.2783,           -0.3899,           -0.0995,          111.4586,
Ref 12,1.38476e-08,,,,,,1.1972e-02,4.1904e-03,4.8640e-05,4.6039e-06,5.7386e-08,,,,,,,,,,,
Sam 12,1.28102e-08,1.19220e-02,4.2257e-03,4.8835e-05,4.6751e-06,6.0455e-08,,,,,,           -4.0806,            8.5371,            4.1638,           15.8822,           71.1697,           -7.9606,           -7.2677,            0.0017,           -1.2436,           57.9932,
Ref 13,1.36185e-08,,,,,,1.1970e-02,4.1894e-03,4.8625e-05,4.6001e-06,5.5475e-08,,,,,,,,,,,
Sam 13,1.26111e-08,1.19198e-02,4.2246e-03,4.8819e-05,4.6704e-06,6.2785e-08,,,,,,           -4.1300,            8.4423,            3.9967,           16.3131,          143.4413,           -8.0099,           -7.3610,           -0.0211,           -0.6321,          129.6442,
Ref 14,1.33914e-08,,,,,,1.1969e-02,4.1891e-03,4.8624e-05,4.5906e-06,5.4333e-08,,,,,,,,,,,
Sam 14,1.24047e-08,1.19227e-02,4.2260e-03,4.8825e-05,4.6785e-06,5.9044e-08,,,,,,           -3.9808,            8.6398,            4.0317,           18.8309,          133.3854,           -7.8580,           -7.1667,           -0.3333,            1.4514,          119.1001,
Ref 15,1.31620e-08,,,,,,1.1972e-02,4.1904e-03,4.8634e-05,4.5936e-06,4.9818e-08,,,,,,,,,,,
Sam 15,1.22085e-08,1.19224e-02,4.2260e-03,4.8823e-05,4.6748e-06,6.4299e-08,,,,,,           -4.0767,            8.5487,            3.8715,           17.3190,          170.4872,           -7.9569,           -7.2562,           -0.3048,            0.1459,          156.0579,
Ref 16,1.29438e-08,,,,,,1.1971e-02,4.1899e-03,4.8636e-05,4.5970e-06,6.0135e-08,,,,,,,,,,,
Sam 16,1.20181e-08,1.19214e-02,4.2254e-03,4.8830e-05,4.6674e-06,6.5749e-08,,,,,,           -4.1623,            8.3949,            3.8859,           15.0289,          100.2992,           -8.0426,           -7.4076,           -0.0517,           -1.8012,           87.1607,
Ref 17,1.27252e-08,,,,,,1.1972e-02,4.1905e-03,4.8647e-05,4.5996e-06,5.9370e-08,,,,,,,,,,,
Sam 17,1.18260e-08,1.19228e-02,4.2261e-03,4.8842e-05,4.6702e-06,5.5205e-08,,,,,,           -4.1096,            8.4792,            4.0626,           15.8500,          -28.3647,           -7.9894,           -7.3247,           -0.0126,           -1.1606,          -40.1787,
Ref 18,1.25125e-08,,,,,,1.1972e-02,4.1907e-03,4.8642e-05,4.5951e-06,5.4219e-08,,,,,,,,,,,
Sam 18,1.16430e-08,1.19219e-02,4.2257e-03,4.8846e-05,4.6642e-06,6.1878e-08,,,,,,           -4.1672,            8.4016,            4.1934,           16.1104,          180.7410,           -8.0481,           -7.4011,            0.2532,           -0.7507,          166.6330,
Ref 19,1.23071e-08,,,,,,1.1971e-02,4.1903e-03,4.8642e-05,4.5854e-06,5.0562e-08,,,,,,,,,,,
Sam 19,1.14616e-08,1.19221e-02,4.2259e-03,4.8830e-05,4.6717e-06,5.8848e-08,,,,,,           -4.0825,            8.5228,            4.0624,           18.4960,          143.3691,           -7.9621,           -7.2818,           -0.0834,            1.3546,          129.3383,
Ref 20,1.21063e-08,,,,,,1.1971e-02,4.1900e-03,4.8624e-05,4.5883e-06,5.2391e-08,,,,,,,,,,,
Sam 20,1.12838e-08,1.19221e-02,4.2258e-03,4.8838e-05,4.6644e-06,5.6099e-08,,,,,,           -4.1687,            8.3959,            4.2002,           16.8889,          103.7847,           -8.0494,           -7.4066,            0.2669,            0.0260,           90.6097,
Ref 21,1.19028e-08,,,,,,1.1973e-02,4.1912e-03,4.8645e-05,4.5855e-06,4.9230e-08,,,,,,,,,,,


