Nu Stable Isotope Analysis Program
Data Collected on Wednesday, December 27, 2017 at 01:59 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, December 27, 2017 at 02:58 with Stable 1.69.5 on PS019

Data File = Data_3697 KDW2 59.0.txt,      Sample Weight = 436,                      Vial Location = 32,                       Initial Sam Beam = 3.9829e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.6487e-08,                Max Ref Beam = 1.0690e-07,                
Analysis undertaken at mass 45.79738
Analysis undertaken at mass 45.79738
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.68247e-08,,,,,,1.1908e-02,4.1628e-03,4.8226e-05,4.5812e-06,6.0300e-08,,,,,,,,,,,
Sam 1,3.63190e-08,1.19918e-02,4.2091e-03,4.9096e-05,4.6876e-06,6.4787e-08,,,,,,            7.1066,           11.2849,           18.2915,           23.2042,           73.4743,            3.8425,           -4.5844,           -0.2150,            0.4957,           42.1612,
Ref 2,3.59801e-08,,,,,,1.1906e-02,4.1614e-03,4.8202e-05,4.5814e-06,6.0408e-08,,,,,,,,,,,
Sam 2,3.54720e-08,1.19897e-02,4.2075e-03,4.9072e-05,4.6830e-06,6.3663e-08,,,,,,            7.0751,           11.2274,           18.2499,           21.9052,           51.5753,            3.8110,           -4.6410,           -0.1676,           -0.6608,           21.0492,
Ref 3,3.51522e-08,,,,,,1.1905e-02,4.1601e-03,4.8183e-05,4.5839e-06,6.0676e-08,,,,,,,,,,,
Sam 3,3.46508e-08,1.19887e-02,4.2066e-03,4.9061e-05,4.6866e-06,6.4439e-08,,,,,,            7.0910,           11.2423,           18.2996,           22.7842,           67.5579,            3.8274,           -4.6264,           -0.1495,            0.1695,           36.5206,
Ref 4,3.43669e-08,,,,,,1.1904e-02,4.1595e-03,4.8176e-05,4.5804e-06,6.0038e-08,,,,,,,,,,,
Sam 4,3.38752e-08,1.19880e-02,4.2062e-03,4.9057e-05,4.6846e-06,6.2858e-08,,,,,,            7.0885,           11.2529,           18.3538,           22.3434,           35.9732,            3.8244,           -4.6159,           -0.1042,           -0.2827,            5.8358,
Ref 5,3.36223e-08,,,,,,1.1903e-02,4.1592e-03,4.8169e-05,4.5842e-06,6.1326e-08,,,,,,,,,,,
Sam 5,3.31341e-08,1.19874e-02,4.2059e-03,4.9053e-05,4.6835e-06,6.3913e-08,,,,,,            7.0839,           11.2370,           18.3635,           21.9757,           43.5959,            3.8201,           -4.6316,           -0.0744,           -0.6107,           13.2732,
Ref 6,3.29072e-08,,,,,,1.1903e-02,4.1591e-03,4.8168e-05,4.5814e-06,6.1158e-08,,,,,,,,,,,
Sam 6,3.24217e-08,1.19870e-02,4.2057e-03,4.9057e-05,4.6869e-06,6.4484e-08,,,,,,            7.0815,           11.2258,           18.4955,           23.4133,           57.9256,            3.8179,           -4.6426,            0.0686,            0.8173,           27.2115,
Ref 7,3.22159e-08,,,,,,1.1903e-02,4.1590e-03,4.8164e-05,4.5778e-06,6.0745e-08,,,,,,,,,,,
Sam 7,3.17316e-08,1.19869e-02,4.2058e-03,4.9053e-05,4.6850e-06,6.5994e-08,,,,,,            7.0825,           11.2538,           18.4285,           23.2757,           82.9555,            3.8180,           -4.6150,           -0.0255,            0.6272,           51.4563,
Ref 8,3.15442e-08,,,,,,1.1903e-02,4.1589e-03,4.8168e-05,4.5790e-06,6.1137e-08,,,,,,,,,,,
Sam 8,3.10655e-08,1.19868e-02,4.2057e-03,4.9057e-05,4.6841e-06,6.4629e-08,,,,,,            7.0853,           11.2542,           18.4334,           23.2036,           76.1655,            3.8209,           -4.6146,           -0.0239,            0.5559,           44.8598,
Ref 9,3.08975e-08,,,,,,1.1902e-02,4.1589e-03,4.8171e-05,4.5767e-06,5.8950e-08,,,,,,,,,,,
Sam 9,3.04188e-08,1.19867e-02,4.2057e-03,4.9057e-05,4.6800e-06,6.7202e-08,,,,,,            7.0839,           11.2337,           18.3485,           21.8368,          137.4480,            3.8202,           -4.6348,           -0.0860,           -0.7400,          104.4053,
Ref 10,3.02667e-08,,,,,,1.1902e-02,4.1590e-03,4.8175e-05,4.5834e-06,5.9215e-08,,,,,,,,,,,
Sam 10,2.97938e-08,1.19866e-02,4.2057e-03,4.9056e-05,4.6829e-06,6.3180e-08,,,,,,            7.0728,           11.2285,           18.3477,           22.1466,           61.6671,            3.8086,           -4.6399,           -0.0704,           -0.4269,           30.8483,
Ref 11,2.96512e-08,,,,,,1.1902e-02,4.1590e-03,4.8170e-05,4.5794e-06,5.9811e-08,,,,,,,,,,,
Sam 11,2.91844e-08,1.19866e-02,4.2058e-03,4.9064e-05,4.6849e-06,6.3213e-08,,,,,,            7.0778,           11.2396,           18.5181,           22.8444,           55.4373,            3.8135,           -4.6290,            0.0810,            0.2335,           24.7718,
Ref 12,2.90543e-08,,,,,,1.1902e-02,4.1591e-03,4.8173e-05,4.5811e-06,5.9975e-08,,,,,,,,,,,
Sam 12,2.85938e-08,1.19867e-02,4.2058e-03,4.9057e-05,4.6848e-06,6.5006e-08,,,,,,            7.0848,           11.2206,           18.3101,           22.6653,           79.9685,            3.8216,           -4.6477,           -0.1119,            0.0960,           48.6213,
Ref 13,2.84704e-08,,,,,,1.1902e-02,4.1592e-03,4.8177e-05,4.5809e-06,6.0414e-08,,,,,,,,,,,
Sam 13,2.80184e-08,1.19868e-02,4.2059e-03,4.9062e-05,4.6848e-06,6.3878e-08,,,,,,            7.1025,           11.2387,           18.4395,           22.7097,           46.6684,            3.8397,           -4.6299,           -0.0204,            0.1037,           16.2331,
Ref 14,2.79049e-08,,,,,,1.1902e-02,4.1592e-03,4.8171e-05,4.5808e-06,6.1658e-08,,,,,,,,,,,
Sam 14,2.74593e-08,1.19867e-02,4.2060e-03,4.9056e-05,4.6858e-06,6.4488e-08,,,,,,            7.0986,           11.2433,           18.3441,           22.8701,           77.4451,            3.8354,           -4.6254,           -0.1145,            0.2515,           46.1099,
Ref 15,2.73473e-08,,,,,,1.1902e-02,4.1593e-03,4.8175e-05,4.5813e-06,5.8011e-08,,,,,,,,,,,
Sam 15,2.69132e-08,1.19867e-02,4.2061e-03,4.9068e-05,4.6858e-06,6.3830e-08,,,,,,            7.0929,           11.2450,           18.4290,           22.5961,           74.0781,            3.8294,           -4.6237,           -0.0272,           -0.0199,           42.8435,
Ref 16,2.68106e-08,,,,,,1.1902e-02,4.1593e-03,4.8186e-05,4.5832e-06,6.0873e-08,,,,,,,,,,,
Sam 16,2.63810e-08,1.19869e-02,4.2062e-03,4.9072e-05,4.6811e-06,6.4874e-08,,,,,,            7.0871,           11.2525,           18.3908,           21.4476,           81.2537,            3.8229,           -4.6164,           -0.0659,           -1.1577,           49.8016,
Ref 17,2.62806e-08,,,,,,1.1903e-02,4.1595e-03,4.8185e-05,4.5824e-06,5.9107e-08,,,,,,,,,,,
Sam 17,2.58616e-08,1.19870e-02,4.2062e-03,4.9075e-05,4.6850e-06,6.7442e-08,,,,,,            7.0845,           11.2240,           18.3820,           22.7899,          120.7079,            3.8211,           -4.6444,           -0.0441,            0.2113,           88.1715,
Ref 18,2.57698e-08,,,,,,1.1903e-02,4.1596e-03,4.8192e-05,4.5788e-06,6.1270e-08,,,,,,,,,,,
Sam 18,2.53583e-08,1.19869e-02,4.2063e-03,4.9083e-05,4.6847e-06,6.6623e-08,,,,,,            7.0685,           11.2109,           18.4692,           23.2933,           77.9945,            3.8046,           -4.6573,            0.0705,            0.7295,           46.7426,
Ref 19,2.52684e-08,,,,,,1.1903e-02,4.1597e-03,4.8194e-05,4.5773e-06,6.2345e-08,,,,,,,,,,,
Sam 19,2.48688e-08,1.19872e-02,4.2064e-03,4.9076e-05,4.6808e-06,6.7416e-08,,,,,,            7.0800,           11.2351,           18.3301,           22.4661,           87.9794,            3.8159,           -4.6335,           -0.1013,           -0.1274,           56.3753,
Ref 20,2.47819e-08,,,,,,1.1903e-02,4.1597e-03,4.8191e-05,4.5786e-06,6.1577e-08,,,,,,,,,,,
Sam 20,2.43891e-08,1.19870e-02,4.2064e-03,4.9082e-05,4.6830e-06,6.5458e-08,,,,,,            7.0620,           11.2122,           18.4282,           22.7892,           46.1938,            3.7976,           -4.6559,            0.0357,            0.2338,           15.8680,
Ref 21,2.43033e-08,,,,,,1.1903e-02,4.1598e-03,4.8196e-05,4.5787e-06,6.3577e-08,,,,,,,,,,,


Ref 1,2.40671e-08,,,,,,1.1903e-02,4.1597e-03,4.8193e-05,4.5785e-06,6.2938e-08,,,,,,,,,,,
Sam 1,2.36875e-08,1.19875e-02,4.2065e-03,4.9081e-05,4.6849e-06,6.5751e-08,,,,,,            7.0989,           11.2399,           18.4122,           23.1969,           54.3248,            3.8359,           -4.6288,           -0.0448,            0.5777,           23.6683,
Ref 2,2.36079e-08,,,,,,1.1903e-02,4.1598e-03,4.8194e-05,4.5789e-06,6.1776e-08,,,,,,,,,,,
Sam 2,2.32374e-08,1.19875e-02,4.2066e-03,4.9090e-05,4.6817e-06,6.5862e-08,,,,,,            7.0872,           11.2332,           18.4916,           22.5859,           72.7347,            3.8236,           -4.6353,            0.0517,           -0.0065,           41.5694,
Ref 3,2.31600e-08,,,,,,1.1903e-02,4.1599e-03,4.8203e-05,4.5777e-06,6.1010e-08,,,,,,,,,,,
Sam 3,2.35198e-08,1.19750e-02,4.1994e-03,4.8929e-05,4.6660e-06,6.6577e-08,,,,,,            6.0342,            9.4958,           15.0520,           19.0244,           92.1924,            2.7635,           -6.3451,           -0.5606,           -0.0562,           65.2395,
Ref 4,2.28158e-08,,,,,,1.1903e-02,4.1600e-03,4.8203e-05,4.5801e-06,6.0904e-08,,,,,,,,,,,
Sam 4,2.24559e-08,1.19876e-02,4.2068e-03,4.9090e-05,4.6820e-06,6.6546e-08,,,,,,            7.0777,           11.2466,           18.3991,           22.2726,          101.9748,            3.8131,           -4.6221,           -0.0424,           -0.3394,           69.9427,
Ref 5,2.23882e-08,,,,,,1.1903e-02,4.1601e-03,4.8204e-05,4.5800e-06,5.9862e-08,,,,,,,,,,,
Sam 5,2.20319e-08,1.19881e-02,4.2070e-03,4.9093e-05,4.6820e-06,6.4637e-08,,,,,,            7.0994,           11.2331,           18.4657,           22.5241,           64.5777,            3.8366,           -4.6355,            0.0140,           -0.0667,           33.6364,
Ref 6,2.19649e-08,,,,,,1.1904e-02,4.1604e-03,4.8201e-05,4.5778e-06,6.1586e-08,,,,,,,,,,,
Sam 6,2.16170e-08,1.19880e-02,4.2071e-03,4.9084e-05,4.6867e-06,6.6448e-08,,,,,,            7.0796,           11.2297,           18.2758,           23.6050,           83.6770,            3.8157,           -4.6388,           -0.1489,            0.9971,           52.2095,
Ref 7,2.15536e-08,,,,,,1.1904e-02,4.1605e-03,4.8205e-05,4.5794e-06,6.1044e-08,,,,,,,,,,,
Sam 7,2.12121e-08,1.19881e-02,4.2071e-03,4.9100e-05,4.6819e-06,6.4766e-08,,,,,,            7.0839,           11.2113,           18.5376,           22.6776,           51.8328,            3.8209,           -4.6570,            0.1216,            0.1266,           21.3219,
Ref 8,2.11500e-08,,,,,,1.1904e-02,4.1606e-03,4.8208e-05,4.5766e-06,6.2116e-08,,,,,,,,,,,
Sam 8,2.08175e-08,1.19885e-02,4.2074e-03,4.9100e-05,4.6818e-06,6.6647e-08,,,,,,            7.0922,           11.2386,           18.3995,           22.9255,           83.0431,            3.8289,           -4.6301,           -0.0491,            0.3150,           51.5617,
Ref 9,2.07577e-08,,,,,,1.1904e-02,4.1607e-03,4.8219e-05,4.5771e-06,6.0947e-08,,,,,,,,,,,
Sam 9,2.04357e-08,1.19885e-02,4.2075e-03,4.9103e-05,4.6832e-06,6.7839e-08,,,,,,            7.0802,           11.2447,           18.3949,           22.8548,           93.3193,            3.8158,           -4.6240,           -0.0473,            0.2337,           61.5400,
Ref 10,2.03746e-08,,,,,,1.1904e-02,4.1608e-03,4.8213e-05,4.5801e-06,6.3172e-08,,,,,,,,,,,
Sam 10,2.00595e-08,1.19889e-02,4.2077e-03,4.9123e-05,4.6855e-06,7.2570e-08,,,,,,            7.1011,           11.2432,           18.8349,           22.9911,          177.5012,            3.8381,           -4.6255,            0.3648,            0.3699,          143.2531,
Ref 11,1.99981e-08,,,,,,1.1904e-02,4.1610e-03,4.8217e-05,4.5803e-06,6.0061e-08,,,,,,,,,,,
Sam 11,1.96967e-08,1.19889e-02,4.2078e-03,4.9118e-05,4.6837e-06,7.0194e-08,,,,,,            7.0755,           11.2236,           18.5901,           22.9362,          144.3364,            3.8116,           -4.6448,            0.1697,            0.3551,          111.1254,
Ref 12,1.96299e-08,,,,,,1.1905e-02,4.1611e-03,4.8225e-05,4.5770e-06,6.2645e-08,,,,,,,,,,,
Sam 12,1.93415e-08,1.19891e-02,4.2080e-03,4.9127e-05,4.6851e-06,6.7961e-08,,,,,,            7.0721,           11.2510,           18.5742,           23.6145,           59.1929,            3.8070,           -4.6177,            0.1309,            0.9640,           28.4017,
Ref 13,1.92750e-08,,,,,,1.1905e-02,4.1613e-03,4.8237e-05,4.5770e-06,6.5709e-08,,,,,,,,,,,
Sam 13,1.89956e-08,1.19896e-02,4.2082e-03,4.9130e-05,4.6759e-06,7.2503e-08,,,,,,            7.0874,           11.2492,           18.5922,           21.2179,          101.3553,            3.8233,           -4.6196,            0.1348,           -1.3759,           69.3251,
Ref 14,1.89269e-08,,,,,,1.1905e-02,4.1615e-03,4.8229e-05,4.5805e-06,6.5954e-08,,,,,,,,,,,
Sam 14,1.86614e-08,1.19898e-02,4.2084e-03,4.9124e-05,4.6827e-06,7.1731e-08,,,,,,            7.0810,           11.2631,           18.3431,           22.4709,          112.6146,            3.8161,           -4.6059,           -0.1168,           -0.1781,           80.2349,
Ref 15,1.85856e-08,,,,,,1.1906e-02,4.1617e-03,4.8250e-05,4.5791e-06,6.2960e-08,,,,,,,,,,,
Sam 15,1.83303e-08,1.19900e-02,4.2085e-03,4.9123e-05,4.6822e-06,6.8520e-08,,,,,,            7.0796,           11.2227,           18.1572,           23.0174,           58.4526,            3.8160,           -4.6457,           -0.2587,            0.4363,           27.7315,
Ref 16,1.82539e-08,,,,,,1.1906e-02,4.1619e-03,4.8243e-05,4.5747e-06,6.6544e-08,,,,,,,,,,,
Sam 16,1.80073e-08,1.19903e-02,4.2086e-03,4.9129e-05,4.6812e-06,7.2827e-08,,,,,,            7.0893,           11.2201,           18.3776,           22.7239,          115.6691,            3.8263,           -4.6483,           -0.0496,            0.1544,           83.2817,
Ref 17,1.79271e-08,,,,,,1.1906e-02,4.1620e-03,4.8242e-05,4.5797e-06,6.3986e-08,,,,,,,,,,,
Sam 17,1.76909e-08,1.19906e-02,4.2089e-03,4.9130e-05,4.6784e-06,6.7812e-08,,,,,,            7.0932,           11.2619,           18.3803,           21.1913,           31.7833,            3.8291,           -4.6070,           -0.0917,           -1.4271,            1.7454,
Ref 18,1.76080e-08,,,,,,1.1906e-02,4.1621e-03,4.8244e-05,4.5828e-06,6.7492e-08,,,,,,,,,,,
Sam 18,1.73798e-08,1.19908e-02,4.2090e-03,4.9142e-05,4.6779e-06,6.8419e-08,,,,,,            7.0949,           11.2425,           18.5161,           21.5724,           54.2188,            3.8315,           -4.6262,            0.0588,           -1.0159,           23.5647,
Ref 19,1.72950e-08,,,,,,1.1906e-02,4.1624e-03,4.8254e-05,4.5753e-06,6.2262e-08,,,,,,,,,,,
Sam 19,1.70759e-08,1.19908e-02,4.2091e-03,4.9135e-05,4.6791e-06,6.8045e-08,,,,,,            7.0835,           11.2322,           18.2387,           22.5750,           67.5023,            3.8197,           -4.6363,           -0.1918,           -0.0151,           36.4951,
Ref 20,1.69882e-08,,,,,,1.1907e-02,4.1624e-03,4.8256e-05,4.5764e-06,6.5250e-08,,,,,,,,,,,
Sam 20,1.67763e-08,1.19910e-02,4.2093e-03,4.9145e-05,4.6806e-06,6.3729e-08,,,,,,            7.0971,           11.2494,           18.4687,           22.5686,            7.2924,            3.8336,           -4.6194,            0.0033,           -0.0555,          -22.0127,
Ref 21,1.66876e-08,,,,,,1.1907e-02,4.1625e-03,4.8251e-05,4.5782e-06,6.1249e-08,,,,,,,,,,,


Ref 1,1.65403e-08,,,,,,1.1907e-02,4.1626e-03,4.8259e-05,4.5749e-06,6.3492e-08,,,,,,,,,,,
Sam 1,1.63378e-08,1.19918e-02,4.2096e-03,4.9150e-05,4.6804e-06,7.0507e-08,,,,,,            7.1117,           11.2458,           18.4073,           23.0109,           63.5225,            3.8493,           -4.6230,           -0.0684,            0.3843,           32.5729,
Ref 2,1.62472e-08,,,,,,1.1907e-02,4.1629e-03,4.8264e-05,4.5754e-06,6.9149e-08,,,,,,,,,,,
Sam 2,1.60552e-08,1.19919e-02,4.2098e-03,4.9145e-05,4.6710e-06,6.8874e-08,,,,,,            7.0801,           11.2290,           18.2596,           21.1866,           48.9610,            3.8163,           -4.6395,           -0.1647,           -1.3665,           18.5024,
Ref 3,1.59619e-08,,,,,,1.1908e-02,4.1631e-03,4.8263e-05,4.5729e-06,6.2107e-08,,,,,,,,,,,
Sam 3,1.57797e-08,1.19922e-02,4.2099e-03,4.9147e-05,4.6722e-06,7.4655e-08,,,,,,            7.0834,           11.2264,           18.2130,           21.9347,          180.8619,            3.8199,           -4.6420,           -0.2114,           -0.6299,          146.5749,
Ref 4,1.56824e-08,,,,,,1.1908e-02,4.1632e-03,4.8272e-05,4.5710e-06,6.4354e-08,,,,,,,,,,,
Sam 4,1.55122e-08,1.19922e-02,4.2100e-03,4.9150e-05,4.6768e-06,6.0553e-08,,,,,,            7.0778,           11.2422,           18.3133,           23.6025,          -31.3506,            3.8134,           -4.6264,           -0.1225,            0.9698,          -59.4992,
Ref 5,1.54106e-08,,,,,,1.1908e-02,4.1633e-03,4.8259e-05,4.5668e-06,6.0639e-08,,,,,,,,,,,
Sam 5,1.52476e-08,1.19924e-02,4.2102e-03,4.9158e-05,4.6769e-06,7.0071e-08,,,,,,            7.0737,           11.2300,           18.4882,           22.9633,           86.9373,            3.8094,           -4.6384,            0.0653,            0.3688,           55.3809,
Ref 6,1.51424e-08,,,,,,1.1908e-02,4.1636e-03,4.8271e-05,4.5772e-06,6.8361e-08,,,,,,,,,,,
Sam 6,1.49917e-08,1.19924e-02,4.2103e-03,4.9163e-05,4.6747e-06,6.6520e-08,,,,,,            7.0630,           11.2224,           18.4826,           22.0020,          -34.3483,            3.7983,           -4.6459,            0.0782,           -0.5561,          -62.3589,
Ref 7,1.48806e-08,,,,,,1.1908e-02,4.1636e-03,4.8271e-05,4.5709e-06,6.9420e-08,,,,,,,,,,,
Sam 7,1.47402e-08,1.19927e-02,4.2105e-03,4.9163e-05,4.6764e-06,7.3563e-08,,,,,,            7.0857,           11.2372,           18.4330,           22.9812,          126.2080,            3.8219,           -4.6314,           -0.0081,            0.3722,           93.4825,
Ref 8,1.46221e-08,,,,,,1.1909e-02,4.1638e-03,4.8274e-05,4.5718e-06,6.1145e-08,,,,,,,,,,,
Sam 8,1.44955e-08,1.19928e-02,4.2106e-03,4.9169e-05,4.6712e-06,7.0117e-08,,,,,,            7.0769,           11.2461,           18.4046,           22.3102,           72.3225,            3.8123,           -4.6227,           -0.0357,           -0.3015,           41.1544,
Ref 9,1.43736e-08,,,,,,1.1909e-02,4.1638e-03,4.8286e-05,4.5667e-06,6.9704e-08,,,,,,,,,,,
Sam 9,1.42557e-08,1.19929e-02,4.2108e-03,4.9175e-05,4.6740e-06,7.2488e-08,,,,,,            7.0789,           11.2451,           18.6426,           23.1167,           71.0884,            3.8144,           -4.6236,            0.1969,            0.4890,           39.9559,
Ref 10,1.41248e-08,,,,,,1.1909e-02,4.1641e-03,4.8264e-05,4.5700e-06,6.5615e-08,,,,,,,,,,,
Sam 10,1.40195e-08,1.19933e-02,4.2110e-03,4.9169e-05,4.6676e-06,6.7804e-08,,,,,,            7.0842,           11.2496,           18.5786,           21.2805,           12.8339,            3.8199,           -4.6192,            0.1242,           -1.3155,          -16.6194,
Ref 11,1.38841e-08,,,,,,1.1909e-02,4.1642e-03,4.8280e-05,4.5707e-06,6.8298e-08,,,,,,,,,,,
Sam 11,1.37887e-08,1.19935e-02,4.2110e-03,4.9168e-05,4.6723e-06,6.8044e-08,,,,,,            7.0842,           11.2293,           18.3949,           22.2520,           46.1676,            3.8206,           -4.6391,           -0.0364,           -0.3254,           15.7849,
Ref 12,1.36468e-08,,,,,,1.1909e-02,4.1643e-03,4.8279e-05,4.5704e-06,6.1728e-08,,,,,,,,,,,
Sam 12,1.35626e-08,1.19936e-02,4.2111e-03,4.9176e-05,4.6732e-06,6.6278e-08,,,,,,            7.0951,           11.2419,           18.5717,           22.7686,           45.2341,            3.8318,           -4.6268,            0.1138,            0.1551,           14.8422,
Ref 13,1.34166e-08,,,,,,1.1909e-02,4.1644e-03,4.8279e-05,4.5679e-06,6.5120e-08,,,,,,,,,,,
Sam 13,1.33412e-08,1.19935e-02,4.2113e-03,4.9204e-05,4.6748e-06,8.1317e-08,,,,,,            7.0769,           11.2422,           19.1472,           23.6197,          232.4067,            3.8124,           -4.6265,            0.6973,            0.9867,          196.5947,
Ref 14,1.31879e-08,,,,,,1.1909e-02,4.1646e-03,4.8280e-05,4.5660e-06,6.6859e-08,,,,,,,,,,,
Sam 14,1.31235e-08,1.19936e-02,4.2113e-03,4.9193e-05,4.6736e-06,6.9422e-08,,,,,,            7.0738,           11.2015,           18.7578,           23.5979,           48.7001,            3.8106,           -4.6666,            0.3577,            1.0460,           18.3103,
Ref 15,1.29651e-08,,,,,,1.1909e-02,4.1647e-03,4.8294e-05,4.5657e-06,6.5526e-08,,,,,,,,,,,
Sam 15,1.29108e-08,1.19939e-02,4.2114e-03,4.9191e-05,4.6676e-06,7.4111e-08,,,,,,            7.0963,           11.2080,           18.6292,           22.5004,          148.2921,            3.8342,           -4.6602,            0.2021,           -0.0402,          114.9757,
Ref 16,1.27458e-08,,,,,,1.1909e-02,4.1647e-03,4.8289e-05,4.5641e-06,6.3538e-08,,,,,,,,,,,
Sam 16,1.27025e-08,1.19943e-02,4.2115e-03,4.9173e-05,4.6586e-06,7.0582e-08,,,,,,            7.1129,           11.2134,           18.2838,           20.8372,           66.7990,            3.8517,           -4.6549,           -0.1593,           -1.6775,           35.8179,
Ref 17,1.25319e-08,,,,,,1.1910e-02,4.1649e-03,4.8290e-05,4.5629e-06,6.8832e-08,,,,,,,,,,,
Sam 17,1.24966e-08,1.19943e-02,4.2116e-03,4.9185e-05,4.6620e-06,6.9842e-08,,,,,,            7.0862,           11.1979,           18.4916,           22.1031,           90.9430,            3.8238,           -4.6701,            0.0871,           -0.4088,           59.3226,
Ref 18,1.23211e-08,,,,,,1.1910e-02,4.1651e-03,4.8294e-05,4.5595e-06,5.9125e-08,,,,,,,,,,,
Sam 18,1.22966e-08,1.19943e-02,4.2117e-03,4.9187e-05,4.6670e-06,6.7721e-08,,,,,,            7.0663,           11.1963,           18.4537,           23.1713,           91.5417,            3.8027,           -4.6717,            0.0718,            0.6390,           59.9294,
Ref 19,1.21138e-08,,,,,,1.1910e-02,4.1651e-03,4.8298e-05,4.5632e-06,6.5008e-08,,,,,,,,,,,
Sam 19,1.20985e-08,1.19947e-02,4.2119e-03,4.9195e-05,4.6619e-06,7.0914e-08,,,,,,            7.0758,           11.2440,           18.6006,           21.6199,           59.9600,            3.8111,           -4.6247,            0.1599,           -0.9725,           29.1567,
Ref 20,1.19117e-08,,,,,,1.1910e-02,4.1651e-03,4.8295e-05,4.5633e-06,6.8828e-08,,,,,,,,,,,
Sam 20,1.19068e-08,1.19949e-02,4.2120e-03,4.9184e-05,4.6605e-06,6.8526e-08,,,,,,            7.0919,           11.2371,           18.4472,           22.4966,            4.2559,            3.8286,           -4.6315,           -0.0005,           -0.1016,          -24.9322,
Ref 21,1.17151e-08,,,,,,1.1911e-02,4.1653e-03,4.8292e-05,4.5524e-06,6.7633e-08,,,,,,,,,,,


