Nu Stable Isotope Analysis Program
Data Collected on Wednesday, December 27, 2017 at 11:25 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, December 27, 2017 at 12:24 with Stable 1.69.5 on PS019

Data File = Data_3704 ETH4.txt,           Sample Weight = 449,                      Vial Location = 39,                       Initial Sam Beam = 4.5406e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.3582e-08,                Max Ref Beam = 1.0723e-07,                
Analysis undertaken at mass 45.79944
Analysis undertaken at mass 45.79944
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.01328e-08,,,,,,1.1907e-02,4.1628e-03,4.8212e-05,4.5751e-06,6.2146e-08,,,,,,,,,,,
Sam 1,3.93669e-08,1.18310e-02,4.1413e-03,4.7644e-05,4.5320e-06,6.1557e-08,,,,,,           -6.2714,           -4.9246,          -11.5085,           -9.5496,           -3.8241,           -9.8264,          -20.5276,           -0.2325,            0.2779,           12.6503,
Ref 2,3.91796e-08,,,,,,1.1904e-02,4.1608e-03,4.8184e-05,4.5763e-06,6.1431e-08,,,,,,,,,,,
Sam 2,3.83915e-08,1.18280e-02,4.1394e-03,4.7617e-05,4.5307e-06,5.9856e-08,,,,,,           -6.3335,           -4.9990,          -11.6056,           -9.5234,          -21.3274,           -9.8898,          -20.6009,           -0.1927,            0.4541,           -4.9298,
Ref 3,3.82433e-08,,,,,,1.1902e-02,4.1596e-03,4.8168e-05,4.5722e-06,6.0882e-08,,,,,,,,,,,
Sam 3,3.74587e-08,1.18266e-02,4.1384e-03,4.7600e-05,4.5271e-06,6.1188e-08,,,,,,           -6.3166,           -5.0004,          -11.6416,           -9.8944,           14.0328,           -9.8719,          -20.6022,           -0.2452,            0.0821,           31.0070,
Ref 4,3.73550e-08,,,,,,1.1901e-02,4.1588e-03,4.8153e-05,4.5724e-06,5.9788e-08,,,,,,,,,,,
Sam 4,3.65890e-08,1.18259e-02,4.1379e-03,4.7597e-05,4.5304e-06,5.9329e-08,,,,,,           -6.3101,           -4.9927,          -11.5621,           -9.1087,            2.8205,           -9.8653,          -20.5946,           -0.1792,            0.8603,           19.5844,
Ref 5,3.65282e-08,,,,,,1.1901e-02,4.1585e-03,4.8154e-05,4.5717e-06,5.8523e-08,,,,,,,,,,,
Sam 5,3.57638e-08,1.18256e-02,4.1377e-03,4.7596e-05,4.5268e-06,5.9728e-08,,,,,,           -6.3119,           -4.9915,          -11.4905,           -9.8301,           23.7647,           -9.8671,          -20.5936,           -0.1061,            0.1294,           40.8782,
Ref 6,3.57245e-08,,,,,,1.1901e-02,4.1583e-03,4.8146e-05,4.5717e-06,5.8157e-08,,,,,,,,,,,
Sam 6,3.49598e-08,1.18254e-02,4.1375e-03,4.7597e-05,4.5304e-06,5.9476e-08,,,,,,           -6.3110,           -4.9936,          -11.3633,           -8.8869,            1.3687,           -9.8662,          -20.5955,            0.0237,            1.0861,           18.1111,
Ref 7,3.49531e-08,,,,,,1.1900e-02,4.1582e-03,4.8143e-05,4.5703e-06,6.0658e-08,,,,,,,,,,,
Sam 7,3.41936e-08,1.18252e-02,4.1374e-03,4.7592e-05,4.5299e-06,6.0714e-08,,,,,,           -6.3075,           -4.9818,          -11.4947,           -9.1468,            5.6425,           -9.8628,          -20.5839,           -0.1246,            0.7999,           22.4287,
Ref 8,3.42081e-08,,,,,,1.1900e-02,4.1581e-03,4.8148e-05,4.5732e-06,6.0082e-08,,,,,,,,,,,
Sam 8,3.34555e-08,1.18250e-02,4.1375e-03,4.7599e-05,4.5299e-06,5.9034e-08,,,,,,           -6.3042,           -4.9674,          -11.4301,           -9.2180,          -27.6916,           -9.8598,          -20.5698,           -0.0767,            0.6991,          -11.4932,
Ref 9,3.34860e-08,,,,,,1.1900e-02,4.1581e-03,4.8150e-05,4.5709e-06,6.1362e-08,,,,,,,,,,,
Sam 9,3.27411e-08,1.18249e-02,4.1375e-03,4.7599e-05,4.5272e-06,6.1490e-08,,,,,,           -6.3129,           -4.9859,          -11.4259,           -9.5321,           27.6044,           -9.8684,          -20.5879,           -0.0454,            0.4189,           44.7715,
Ref 10,3.27879e-08,,,,,,1.1900e-02,4.1583e-03,4.8148e-05,4.5707e-06,5.8283e-08,,,,,,,,,,,
Sam 10,3.20481e-08,1.18248e-02,4.1375e-03,4.7595e-05,4.5276e-06,6.2497e-08,,,,,,           -6.3207,           -4.9931,          -11.6021,           -9.6797,           45.2135,           -9.8765,          -20.5950,           -0.2083,            0.2843,           62.6988,
Ref 11,3.21039e-08,,,,,,1.1900e-02,4.1583e-03,4.8159e-05,4.5730e-06,6.1335e-08,,,,,,,,,,,
Sam 11,3.13757e-08,1.18249e-02,4.1376e-03,4.7594e-05,4.5277e-06,6.3232e-08,,,,,,           -6.3183,           -4.9878,          -11.6961,          -10.0058,           29.3340,           -9.8741,          -20.5899,           -0.3110,           -0.0556,           46.5402,
Ref 12,3.14433e-08,,,,,,1.1900e-02,4.1584e-03,4.8155e-05,4.5739e-06,6.1526e-08,,,,,,,,,,,
Sam 12,3.07201e-08,1.18252e-02,4.1377e-03,4.7606e-05,4.5273e-06,6.1211e-08,,,,,,           -6.3009,           -4.9927,          -11.4426,          -10.1373,           -8.2950,           -9.8554,          -20.5947,           -0.0679,           -0.1787,            8.2731,
Ref 13,3.07967e-08,,,,,,1.1900e-02,4.1585e-03,4.8159e-05,4.5734e-06,6.1924e-08,,,,,,,,,,,
Sam 13,3.00847e-08,1.18252e-02,4.1379e-03,4.7605e-05,4.5286e-06,6.1161e-08,,,,,,           -6.3148,           -4.9680,          -11.5282,           -9.4644,           -1.8618,           -9.8711,          -20.5703,           -0.1645,            0.4513,           14.7794,
Ref 14,3.01711e-08,,,,,,1.1900e-02,4.1586e-03,4.8162e-05,4.5702e-06,6.0612e-08,,,,,,,,,,,
Sam 14,2.94692e-08,1.18252e-02,4.1379e-03,4.7604e-05,4.5267e-06,6.1127e-08,,,,,,           -6.3131,           -4.9753,          -11.6416,           -9.7057,           16.6528,           -9.8690,          -20.5776,           -0.2737,            0.2224,           33.6157,
Ref 15,2.95585e-08,,,,,,1.1900e-02,4.1587e-03,4.8168e-05,4.5719e-06,5.9630e-08,,,,,,,,,,,
Sam 15,2.88666e-08,1.18251e-02,4.1380e-03,4.7613e-05,4.5263e-06,5.9603e-08,,,,,,           -6.3112,           -4.9728,          -11.4876,           -9.6916,           15.3269,           -9.8671,          -20.5751,           -0.1224,            0.2316,           32.2605,
Ref 16,2.89622e-08,,,,,,1.1900e-02,4.1587e-03,4.8165e-05,4.5692e-06,5.7758e-08,,,,,,,,,,,
Sam 16,2.82809e-08,1.18252e-02,4.1379e-03,4.7621e-05,4.5285e-06,5.7993e-08,,,,,,           -6.3007,           -5.0033,          -11.3670,           -8.9310,           -0.8195,           -9.8549,          -20.6051,            0.0189,            1.0610,           15.8946,
Ref 17,2.83821e-08,,,,,,1.1900e-02,4.1588e-03,4.8172e-05,4.5693e-06,5.8328e-08,,,,,,,,,,,
Sam 17,2.77136e-08,1.18254e-02,4.1381e-03,4.7615e-05,4.5246e-06,6.1586e-08,,,,,,           -6.2942,           -4.9766,          -11.5410,          -10.2794,           52.3027,           -9.8489,          -20.5788,           -0.1902,           -0.3546,           69.8414,
Ref 18,2.78176e-08,,,,,,1.1900e-02,4.1588e-03,4.8169e-05,4.5739e-06,5.8727e-08,,,,,,,,,,,
Sam 18,2.71587e-08,1.18253e-02,4.1382e-03,4.7621e-05,4.5274e-06,6.0705e-08,,,,,,           -6.3087,           -4.9680,          -11.4348,           -9.6762,            7.8696,           -9.8645,          -20.5704,           -0.0764,            0.2375,           24.6664,
Ref 19,2.72687e-08,,,,,,1.1900e-02,4.1589e-03,4.8174e-05,4.5694e-06,6.1765e-08,,,,,,,,,,,
Sam 19,2.66198e-08,1.18255e-02,4.1382e-03,4.7612e-05,4.5232e-06,5.8085e-08,,,,,,           -6.2969,           -4.9877,          -11.6953,          -10.5273,          -48.0832,           -9.8513,          -20.5898,           -0.3325,           -0.5826,          -32.1932,
Ref 20,2.67341e-08,,,,,,1.1901e-02,4.1590e-03,4.8178e-05,4.5733e-06,6.0258e-08,,,,,,,,,,,
Sam 20,2.60932e-08,1.18256e-02,4.1383e-03,4.7633e-05,4.5307e-06,6.6158e-08,,,,,,           -6.3123,           -4.9904,          -11.3482,           -8.9524,          109.8432,           -9.8677,          -20.5924,            0.0372,            1.0134,          128.3933,
Ref 21,2.62109e-08,,,,,,1.1901e-02,4.1591e-03,4.8183e-05,4.5700e-06,5.8950e-08,,,,,,,,,,,


Ref 1,2.59498e-08,,,,,,1.1901e-02,4.1591e-03,4.8175e-05,4.5670e-06,6.0163e-08,,,,,,,,,,,
Sam 1,2.53203e-08,1.18256e-02,4.1385e-03,4.7636e-05,4.5260e-06,6.3531e-08,,,,,,           -6.3075,           -4.9600,          -11.2657,           -9.2961,           64.1030,           -9.8636,          -20.5624,            0.0855,            0.6051,           81.8181,
Ref 2,2.54481e-08,,,,,,1.1901e-02,4.1591e-03,4.8183e-05,4.5699e-06,5.9234e-08,,,,,,,,,,,
Sam 2,2.48216e-08,1.18258e-02,4.1385e-03,4.7623e-05,4.5281e-06,6.0672e-08,,,,,,           -6.2964,           -4.9596,          -11.5963,           -9.5830,           -6.2583,           -9.8518,          -20.5621,           -0.2607,            0.3146,           10.2729,
Ref 3,2.49563e-08,,,,,,1.1901e-02,4.1592e-03,4.8181e-05,4.5739e-06,6.2909e-08,,,,,,,,,,,
Sam 3,2.43366e-08,1.18259e-02,4.1387e-03,4.7628e-05,4.5265e-06,5.8104e-08,,,,,,           -6.2996,           -4.9483,          -11.4466,          -10.1384,          -63.8469,           -9.8556,          -20.5510,           -0.1171,           -0.2690,          -48.2914,
Ref 4,2.44755e-08,,,,,,1.1901e-02,4.1593e-03,4.8178e-05,4.5717e-06,6.1208e-08,,,,,,,,,,,
Sam 4,2.38653e-08,1.18259e-02,4.1388e-03,4.7631e-05,4.5288e-06,5.9701e-08,,,,,,           -6.3045,           -4.9495,          -11.4814,           -9.3994,          -37.8007,           -9.8607,          -20.5521,           -0.1462,            0.4797,          -21.8052,
Ref 5,2.40043e-08,,,,,,1.1901e-02,4.1594e-03,4.8192e-05,4.5719e-06,6.2901e-08,,,,,,,,,,,
Sam 5,2.34059e-08,1.18260e-02,4.1389e-03,4.7630e-05,4.5256e-06,6.2011e-08,,,,,,           -6.2984,           -4.9458,          -11.6234,           -9.7462,            2.4846,           -9.8544,          -20.5485,           -0.2997,            0.1222,           19.1357,
Ref 6,2.35453e-08,,,,,,1.1901e-02,4.1595e-03,4.8189e-05,4.5684e-06,6.0794e-08,,,,,,,,,,,
Sam 6,2.29573e-08,1.18264e-02,4.1390e-03,4.7631e-05,4.5279e-06,6.0232e-08,,,,,,           -6.2804,           -4.9410,          -11.5799,           -9.3261,           -1.8999,           -9.8355,          -20.5438,           -0.2791,            0.5368,           14.6492,
Ref 7,2.30969e-08,,,,,,1.1901e-02,4.1597e-03,4.8189e-05,4.5727e-06,5.9892e-08,,,,,,,,,,,
Sam 7,2.25209e-08,1.18265e-02,4.1391e-03,4.7641e-05,4.5247e-06,5.9414e-08,,,,,,           -6.2921,           -4.9453,          -11.3545,          -10.3505,          -15.2875,           -9.8477,          -20.5480,           -0.0347,           -0.4892,            1.0608,
Ref 8,2.26582e-08,,,,,,1.1902e-02,4.1598e-03,4.8187e-05,4.5715e-06,6.0791e-08,,,,,,,,,,,
Sam 8,2.20973e-08,1.18267e-02,4.1393e-03,4.7641e-05,4.5281e-06,5.9874e-08,,,,,,           -6.2912,           -4.9428,          -11.4395,           -9.4319,            1.6766,           -9.8469,          -20.5455,           -0.1241,            0.4335,           18.3003,
Ref 9,2.22298e-08,,,,,,1.1902e-02,4.1599e-03,4.8198e-05,4.5709e-06,5.8736e-08,,,,,,,,,,,
Sam 9,2.16860e-08,1.18265e-02,4.1394e-03,4.7646e-05,4.5265e-06,6.3928e-08,,,,,,           -6.3036,           -4.9455,          -11.3846,           -9.7392,           91.0072,           -9.8600,          -20.5482,           -0.0531,            0.1285,          109.1337,
Ref 10,2.18150e-08,,,,,,1.1902e-02,4.1600e-03,4.8191e-05,4.5712e-06,5.8452e-08,,,,,,,,,,,
Sam 10,2.12837e-08,1.18269e-02,4.1395e-03,4.7646e-05,4.5249e-06,6.2608e-08,,,,,,           -6.2863,           -4.9414,          -11.4535,           -9.9063,           66.7607,           -9.8417,          -20.5442,           -0.1448,           -0.0484,           84.4557,
Ref 11,2.14067e-08,,,,,,1.1902e-02,4.1602e-03,4.8204e-05,4.5691e-06,5.8932e-08,,,,,,,,,,,
Sam 11,2.08904e-08,1.18272e-02,4.1397e-03,4.7657e-05,4.5304e-06,6.2340e-08,,,,,,           -6.2791,           -4.9450,          -11.4164,           -8.5547,            5.1293,           -9.8339,          -20.5477,           -0.1112,            1.3238,           21.8015,
Ref 12,2.10093e-08,,,,,,1.1902e-02,4.1604e-03,4.8209e-05,4.5699e-06,6.5170e-08,,,,,,,,,,,
Sam 12,2.05086e-08,1.18272e-02,4.1398e-03,4.7648e-05,4.5277e-06,6.0789e-08,,,,,,           -6.2955,           -4.9685,          -11.6262,           -9.4607,          -31.6065,           -9.8505,          -20.5708,           -0.2832,            0.4561,          -15.4805,
Ref 13,2.06228e-08,,,,,,1.1902e-02,4.1606e-03,4.8208e-05,4.5719e-06,6.0331e-08,,,,,,,,,,,
Sam 13,2.01343e-08,1.18276e-02,4.1401e-03,4.7656e-05,4.5283e-06,6.2780e-08,,,,,,           -6.2798,           -4.9283,          -11.4874,           -9.1489,            7.5962,           -9.8352,          -20.5313,           -0.1987,            0.6902,           24.2764,
Ref 14,2.02416e-08,,,,,,1.1902e-02,4.1607e-03,4.8212e-05,4.5683e-06,6.4320e-08,,,,,,,,,,,
Sam 14,1.97686e-08,1.18277e-02,4.1402e-03,4.7664e-05,4.5279e-06,5.9681e-08,,,,,,           -6.2897,           -4.9417,          -11.3914,           -9.2041,          -43.1287,           -9.8453,          -20.5445,           -0.0781,            0.6613,          -27.2520,
Ref 15,1.98725e-08,,,,,,1.1903e-02,4.1608e-03,4.8214e-05,4.5716e-06,6.0386e-08,,,,,,,,,,,
Sam 15,1.94101e-08,1.18281e-02,4.1404e-03,4.7657e-05,4.5237e-06,5.8158e-08,,,,,,           -6.2782,           -4.9357,          -11.6005,          -10.6163,          -43.6951,           -9.8332,          -20.5386,           -0.3076,           -0.7770,          -27.8515,
Ref 16,1.95095e-08,,,,,,1.1903e-02,4.1610e-03,4.8219e-05,4.5728e-06,6.1253e-08,,,,,,,,,,,
Sam 16,1.90579e-08,1.18283e-02,4.1406e-03,4.7660e-05,4.5249e-06,6.0762e-08,,,,,,           -6.2773,           -4.9219,          -11.6545,          -10.0561,           12.6307,           -9.8328,          -20.5250,           -0.3767,           -0.2390,           29.3782,
Ref 17,1.91531e-08,,,,,,1.1903e-02,4.1612e-03,4.8226e-05,4.5689e-06,5.8733e-08,,,,,,,,,,,
Sam 17,1.87129e-08,1.18284e-02,4.1407e-03,4.7665e-05,4.5255e-06,6.0029e-08,,,,,,           -6.2932,           -4.9440,          -11.6774,           -9.8990,           -1.9484,           -9.8489,          -20.5467,           -0.3615,           -0.0358,           14.6198,
Ref 18,1.88062e-08,,,,,,1.1903e-02,4.1614e-03,4.8231e-05,4.5725e-06,6.1585e-08,,,,,,,,,,,
Sam 18,1.83785e-08,1.18288e-02,4.1409e-03,4.7662e-05,4.5258e-06,5.8076e-08,,,,,,           -6.2842,           -4.9299,          -11.8240,          -10.2032,          -29.0810,           -9.8398,          -20.5329,           -0.5331,           -0.3714,          -13.0002,
Ref 19,1.84693e-08,,,,,,1.1904e-02,4.1615e-03,4.8234e-05,4.5725e-06,5.8013e-08,,,,,,,,,,,
Sam 19,1.80520e-08,1.18289e-02,4.1411e-03,4.7676e-05,4.5277e-06,6.1038e-08,,,,,,           -6.2832,           -4.9229,          -11.5504,           -9.1592,           36.8000,           -9.8390,          -20.5260,           -0.2643,            0.6690,           53.9561,
Ref 20,1.81372e-08,,,,,,1.1904e-02,4.1616e-03,4.8232e-05,4.5665e-06,5.9745e-08,,,,,,,,,,,
Sam 20,1.77291e-08,1.18291e-02,4.1412e-03,4.7679e-05,4.5271e-06,5.9709e-08,,,,,,           -6.2764,           -4.9197,          -11.4700,           -8.4225,           22.4960,           -9.8319,          -20.5228,           -0.1931,            1.4065,           39.4013,
Ref 21,1.78123e-08,,,,,,1.1904e-02,4.1618e-03,4.8233e-05,4.5646e-06,5.7020e-08,,,,,,,,,,,


Ref 1,1.76517e-08,,,,,,1.1904e-02,4.1619e-03,4.8232e-05,4.5701e-06,5.6445e-08,,,,,,,,,,,
Sam 1,1.72644e-08,1.18294e-02,4.1414e-03,4.7680e-05,4.5306e-06,5.4894e-08,,,,,,           -6.2886,           -4.9405,          -11.4557,           -8.4036,          -48.3581,           -9.8441,          -20.5433,           -0.1455,            1.4675,          -32.5716,
Ref 2,1.73370e-08,,,,,,1.1904e-02,4.1621e-03,4.8234e-05,4.5678e-06,5.8945e-08,,,,,,,,,,,
Sam 2,1.69657e-08,1.18296e-02,4.1417e-03,4.7687e-05,4.5260e-06,5.1434e-08,,,,,,           -6.2884,           -4.9177,          -11.3586,           -9.3094,          -89.6822,           -9.8448,          -20.5208,           -0.0701,            0.5066,          -74.6230,
Ref 3,1.70295e-08,,,,,,1.1904e-02,4.1622e-03,4.8235e-05,4.5693e-06,5.4013e-08,,,,,,,,,,,
Sam 3,1.66709e-08,1.18298e-02,4.1418e-03,4.7684e-05,4.5255e-06,5.7278e-08,,,,,,           -6.2790,           -4.9248,          -11.5164,           -9.7759,           68.8270,           -9.8345,          -20.5279,           -0.2324,            0.0500,           86.5121,
Ref 4,1.67285e-08,,,,,,1.1905e-02,4.1624e-03,4.8245e-05,4.5711e-06,5.3158e-08,,,,,,,,,,,
Sam 4,1.63850e-08,1.18299e-02,4.1420e-03,4.7697e-05,4.5198e-06,5.5799e-08,,,,,,           -6.2922,           -4.9124,          -11.3130,          -11.1515,           21.6884,           -9.8490,          -20.5156,           -0.0252,           -1.3642,           38.5829,
Ref 5,1.64315e-08,,,,,,1.1905e-02,4.1625e-03,4.8241e-05,4.5704e-06,5.6099e-08,,,,,,,,,,,
Sam 5,1.61007e-08,1.18302e-02,4.1421e-03,4.7681e-05,4.5215e-06,5.4675e-08,,,,,,           -6.2871,           -4.9178,          -11.7056,          -10.5233,          -20.8934,           -9.8433,          -20.5209,           -0.4223,           -0.7189,           -4.6977,
Ref 6,1.61410e-08,,,,,,1.1905e-02,4.1627e-03,4.8251e-05,4.5689e-06,5.5580e-08,,,,,,,,,,,
Sam 6,1.58269e-08,1.18304e-02,4.1422e-03,4.7687e-05,4.5207e-06,5.3937e-08,,,,,,           -6.2865,           -4.9412,          -11.6716,          -10.1365,          -76.0211,           -9.8420,          -20.5440,           -0.3653,           -0.2813,          -60.6941,
Ref 7,1.58572e-08,,,,,,1.1905e-02,4.1629e-03,4.8248e-05,4.5650e-06,6.1220e-08,,,,,,,,,,,
Sam 7,1.55594e-08,1.18307e-02,4.1424e-03,4.7695e-05,4.5202e-06,5.8117e-08,,,,,,           -6.2758,           -4.9407,          -11.4706,          -10.3200,          -30.5689,           -9.8305,          -20.5436,           -0.1736,           -0.4676,          -14.5005,
Ref 8,1.55809e-08,,,,,,1.1905e-02,4.1631e-03,4.8249e-05,4.5697e-06,5.8656e-08,,,,,,,,,,,
Sam 8,1.52975e-08,1.18307e-02,4.1426e-03,4.7699e-05,4.5219e-06,5.5301e-08,,,,,,           -6.2800,           -4.9326,          -11.4564,          -10.1936,           11.9158,           -9.8353,          -20.5356,           -0.1630,           -0.3562,           28.6764,
Ref 9,1.53099e-08,,,,,,1.1906e-02,4.1631e-03,4.8254e-05,4.5672e-06,5.0573e-08,,,,,,,,,,,
Sam 9,1.50403e-08,1.18310e-02,4.1426e-03,4.7700e-05,4.5169e-06,5.6996e-08,,,,,,           -6.2831,           -4.9505,          -11.5246,          -11.1842,           41.5635,           -9.8379,          -20.5531,           -0.2111,           -1.3208,           58.8559,
Ref 10,1.50439e-08,,,,,,1.1906e-02,4.1633e-03,4.8258e-05,4.5687e-06,5.8943e-08,,,,,,,,,,,
Sam 10,1.47884e-08,1.18312e-02,4.1429e-03,4.7699e-05,4.5159e-06,5.3046e-08,,,,,,           -6.2836,           -4.9209,          -11.6503,          -11.0283,          -64.3373,           -9.8396,          -20.5240,           -0.3669,           -1.2228,          -48.8577,
Ref 11,1.47842e-08,,,,,,1.1906e-02,4.1635e-03,4.8266e-05,4.5637e-06,5.4403e-08,,,,,,,,,,,
Sam 11,1.45426e-08,1.18315e-02,4.1432e-03,4.7709e-05,4.5198e-06,5.3573e-08,,,,,,           -6.2772,           -4.8934,          -11.5614,           -9.1952,           -1.5551,           -9.8337,          -20.4969,           -0.3108,            0.5733,           14.9008,
Ref 12,1.45291e-08,,,,,,1.1906e-02,4.1636e-03,4.8269e-05,4.5598e-06,5.2897e-08,,,,,,,,,,,
Sam 12,1.42988e-08,1.18317e-02,4.1431e-03,4.7710e-05,4.5184e-06,5.3886e-08,,,,,,           -6.2745,           -4.9459,          -11.5643,           -9.4402,           36.4579,           -9.8290,          -20.5487,           -0.2646,            0.4315,           53.6464,
Ref 13,1.42788e-08,,,,,,1.1907e-02,4.1638e-03,4.8268e-05,4.5632e-06,5.1069e-08,,,,,,,,,,,
Sam 13,1.40607e-08,1.18318e-02,4.1433e-03,4.7698e-05,4.5154e-06,5.2128e-08,,,,,,           -6.2902,           -4.9314,          -11.8488,          -10.7170,          -72.4682,           -9.8462,          -20.5343,           -0.5505,           -0.8874,          -57.0971,
Ref 14,1.40319e-08,,,,,,1.1907e-02,4.1639e-03,4.8271e-05,4.5654e-06,6.1423e-08,,,,,,,,,,,
Sam 14,1.38297e-08,1.18321e-02,4.1435e-03,4.7718e-05,4.5213e-06,5.7524e-08,,,,,,           -6.2915,           -4.9089,          -11.6264,           -9.6772,          -77.0972,           -9.8484,          -20.5122,           -0.3463,            0.1177,          -61.8430,
Ref 15,1.37931e-08,,,,,,1.1907e-02,4.1640e-03,4.8288e-05,4.5656e-06,6.3252e-08,,,,,,,,,,,
Sam 15,1.36022e-08,1.18322e-02,4.1436e-03,4.7714e-05,4.5211e-06,6.2036e-08,,,,,,           -6.2900,           -4.9203,          -11.6722,           -9.5729,           99.2949,           -9.8464,          -20.5234,           -0.3830,            0.2459,          117.4872,
Ref 16,1.35586e-08,,,,,,1.1907e-02,4.1641e-03,4.8268e-05,4.5639e-06,4.9495e-08,,,,,,,,,,,
Sam 16,1.33800e-08,1.18323e-02,4.1436e-03,4.7717e-05,4.5151e-06,5.8442e-08,,,,,,           -6.2938,           -4.9609,          -11.4838,          -10.8266,          180.4498,           -9.8490,          -20.5634,           -0.1484,           -0.9388,          200.0861,
Ref 17,1.33275e-08,,,,,,1.1907e-02,4.1643e-03,4.8275e-05,4.5651e-06,4.9522e-08,,,,,,,,,,,
Sam 17,1.31606e-08,1.18324e-02,4.1439e-03,4.7725e-05,4.5206e-06,5.5530e-08,,,,,,           -6.3054,           -4.9215,          -11.3417,           -9.9240,           36.6814,           -9.8627,          -20.5246,           -0.0316,           -0.1063,           53.8576,
Ref 18,1.31012e-08,,,,,,1.1907e-02,4.1644e-03,4.8271e-05,4.5667e-06,5.7679e-08,,,,,,,,,,,
Sam 18,1.29504e-08,1.18326e-02,4.1440e-03,4.7724e-05,4.5152e-06,6.4371e-08,,,,,,           -6.2892,           -4.9026,          -11.3027,          -11.0961,          129.4670,           -9.8462,          -20.5060,           -0.0276,           -1.3279,          148.1175,
Ref 19,1.28835e-08,,,,,,1.1907e-02,4.1645e-03,4.8268e-05,4.5650e-06,5.6295e-08,,,,,,,,,,,
Sam 19,1.27424e-08,1.18326e-02,4.1440e-03,4.7716e-05,4.5203e-06,5.3073e-08,,,,,,           -6.2842,           -4.9229,          -11.5930,           -9.7157,          -51.9270,           -9.8401,          -20.5260,           -0.3063,            0.1069,          -36.2378,
Ref 20,1.26673e-08,,,,,,1.1907e-02,4.1646e-03,4.8283e-05,4.5642e-06,5.5660e-08,,,,,,,,,,,
Sam 20,1.25358e-08,1.18328e-02,4.1442e-03,4.7727e-05,4.5180e-06,5.5289e-08,,,,,,           -6.2734,           -4.9087,          -11.3031,           -9.6584,           -4.1626,           -9.8291,          -20.5120,           -0.0383,            0.1363,           12.2768,
Ref 21,1.24544e-08,,,,,,1.1908e-02,4.1647e-03,4.8261e-05,4.5600e-06,5.5377e-08,,,,,,,,,,,


