Nu Stable Isotope Analysis Program
Data Collected on Wednesday, December 27, 2017 at 15:26 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, December 27, 2017 at 16:25 with Stable 1.69.5 on PS019

Data File = Data_3707 MDE 293.4.txt,      Sample Weight = 461,                      Vial Location = 42,                       Initial Sam Beam = 4.4108e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.2423e-08,                Max Ref Beam = 1.0692e-07,                
Analysis undertaken at mass 45.8015
Analysis undertaken at mass 45.8015
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.88265e-08,,,,,,1.1907e-02,4.1628e-03,4.8214e-05,4.5734e-06,6.2395e-08,,,,,,,,,,,
Sam 1,3.80830e-08,1.18560e-02,4.1968e-03,4.8385e-05,4.6530e-06,6.3317e-08,,,,,,           -4.1789,            8.3845,            3.7797,           17.3230,           32.6160,           -8.0599,           -7.4179,           -0.1302,            0.4757,           20.3246,
Ref 2,3.78902e-08,,,,,,1.1904e-02,4.1610e-03,4.8192e-05,4.5741e-06,6.0213e-08,,,,,,,,,,,
Sam 2,3.71353e-08,1.18534e-02,4.1949e-03,4.8360e-05,4.6511e-06,6.2549e-08,,,,,,           -4.2074,            8.3180,            3.6323,           16.6506,           28.7486,           -8.0879,           -7.4833,           -0.1827,           -0.0538,           16.6659,
Ref 3,3.69834e-08,,,,,,1.1903e-02,4.1597e-03,4.8177e-05,4.5757e-06,6.1404e-08,,,,,,,,,,,
Sam 3,3.62474e-08,1.18518e-02,4.1939e-03,4.8342e-05,4.6507e-06,6.2863e-08,,,,,,           -4.2219,            8.3121,            3.6020,           16.5907,           30.8522,           -8.1032,           -7.4891,           -0.1921,           -0.1010,           18.7724,
Ref 4,3.61440e-08,,,,,,1.1902e-02,4.1589e-03,4.8160e-05,4.5740e-06,6.0550e-08,,,,,,,,,,,
Sam 4,3.54130e-08,1.18510e-02,4.1933e-03,4.8335e-05,4.6504e-06,6.2931e-08,,,,,,           -4.2112,            8.3188,            3.6650,           16.8995,           31.9445,           -8.0919,           -7.4825,           -0.1470,            0.1894,           19.8268,
Ref 5,3.53464e-08,,,,,,1.1901e-02,4.1585e-03,4.8156e-05,4.5723e-06,6.1425e-08,,,,,,,,,,,
Sam 5,3.46232e-08,1.18507e-02,4.1931e-03,4.8329e-05,4.6487e-06,6.3101e-08,,,,,,           -4.1998,            8.3358,            3.6384,           16.7480,           20.4515,           -8.0804,           -7.4658,           -0.2018,            0.0068,            8.4232,
Ref 6,3.45788e-08,,,,,,1.1901e-02,4.1584e-03,4.8152e-05,4.5719e-06,6.2256e-08,,,,,,,,,,,
Sam 6,3.38626e-08,1.18504e-02,4.1929e-03,4.8328e-05,4.6512e-06,6.2696e-08,,,,,,           -4.2072,            8.3127,            3.6173,           17.3144,           28.3127,           -8.0875,           -7.4885,           -0.1927,            0.6097,           16.2455,
Ref 7,3.38408e-08,,,,,,1.1900e-02,4.1583e-03,4.8156e-05,4.5721e-06,5.9656e-08,,,,,,,,,,,
Sam 7,3.31286e-08,1.18504e-02,4.1930e-03,4.8332e-05,4.6489e-06,6.2536e-08,,,,,,           -4.2025,            8.3339,            3.6650,           17.0887,           32.8959,           -8.0832,           -7.4677,           -0.1707,            0.3457,           20.7276,
Ref 8,3.31282e-08,,,,,,1.1900e-02,4.1583e-03,4.8156e-05,4.5694e-06,6.1452e-08,,,,,,,,,,,
Sam 8,3.24183e-08,1.18504e-02,4.1929e-03,4.8333e-05,4.6510e-06,6.5192e-08,,,,,,           -4.2078,            8.3280,            3.6305,           17.4551,           50.3777,           -8.0887,           -7.4734,           -0.1938,            0.7176,           38.0212,
Ref 9,3.24364e-08,,,,,,1.1900e-02,4.1584e-03,4.8161e-05,4.5730e-06,6.2691e-08,,,,,,,,,,,
Sam 9,3.17332e-08,1.18504e-02,4.1930e-03,4.8336e-05,4.6508e-06,6.2520e-08,,,,,,           -4.2059,            8.3230,            3.6416,           17.3762,           -0.9577,           -8.0865,           -7.4784,           -0.1798,            0.6501,          -12.7026,
Ref 10,3.17635e-08,,,,,,1.1900e-02,4.1585e-03,4.8160e-05,4.5698e-06,6.2465e-08,,,,,,,,,,,
Sam 10,3.10654e-08,1.18505e-02,4.1931e-03,4.8339e-05,4.6474e-06,6.3092e-08,,,,,,           -4.2016,            8.3103,            3.7197,           17.0845,           19.3506,           -8.0815,           -7.4909,           -0.0941,            0.3882,            7.3872,
Ref 11,3.11074e-08,,,,,,1.1900e-02,4.1585e-03,4.8159e-05,4.5690e-06,6.1311e-08,,,,,,,,,,,
Sam 11,3.04227e-08,1.18504e-02,4.1931e-03,4.8339e-05,4.6490e-06,6.6365e-08,,,,,,           -4.2127,            8.3184,            3.6879,           17.1777,           66.9762,           -8.0935,           -7.4829,           -0.1222,            0.4638,           54.4496,
Ref 12,3.04754e-08,,,,,,1.1901e-02,4.1585e-03,4.8164e-05,4.5719e-06,6.3105e-08,,,,,,,,,,,
Sam 12,2.97953e-08,1.18505e-02,4.1932e-03,4.8346e-05,4.6498e-06,6.6304e-08,,,,,,           -4.2073,            8.3370,            3.7708,           16.9530,           65.7692,           -8.0884,           -7.4645,           -0.0634,            0.2059,           53.2125,
Ref 13,2.98583e-08,,,,,,1.1901e-02,4.1586e-03,4.8165e-05,4.5727e-06,6.1301e-08,,,,,,,,,,,
Sam 13,2.91841e-08,1.18504e-02,4.1933e-03,4.8350e-05,4.6519e-06,6.4947e-08,,,,,,           -4.2168,            8.3336,            3.7561,           17.0765,           56.6028,           -8.0984,           -7.4679,           -0.0649,            0.3341,           44.1716,
Ref 14,2.92538e-08,,,,,,1.1901e-02,4.1587e-03,4.8173e-05,4.5750e-06,6.1639e-08,,,,,,,,,,,
Sam 14,2.85917e-08,1.18504e-02,4.1933e-03,4.8522e-05,4.6823e-06,1.2339e-07,,,,,,           -4.2124,            8.3323,            7.2783,           23.8061,          985.4160,           -8.0937,           -7.4692,            3.4407,            6.9556,          962.0527,
Ref 15,2.86634e-08,,,,,,1.1900e-02,4.1587e-03,4.8169e-05,4.5718e-06,6.2671e-08,,,,,,,,,,,
Sam 15,2.80142e-08,1.18504e-02,4.1934e-03,4.8372e-05,4.6528e-06,6.9192e-08,,,,,,           -4.2096,            8.3165,            4.1581,           17.8111,          100.8880,           -8.0902,           -7.4847,            0.3448,            1.0906,           87.9637,
Ref 16,2.80927e-08,,,,,,1.1901e-02,4.1588e-03,4.8173e-05,4.5708e-06,6.3034e-08,,,,,,,,,,,
Sam 16,2.74523e-08,1.18506e-02,4.1934e-03,4.8364e-05,4.6506e-06,6.8302e-08,,,,,,           -4.2086,            8.2980,            3.8903,           17.2879,           99.7210,           -8.0885,           -7.5030,            0.0951,            0.6127,           86.8485,
Ref 17,2.75337e-08,,,,,,1.1901e-02,4.1590e-03,4.8180e-05,4.5723e-06,6.1164e-08,,,,,,,,,,,
Sam 17,2.69046e-08,1.18506e-02,4.1935e-03,4.8364e-05,4.6455e-06,6.3445e-08,,,,,,           -4.2121,            8.3119,            3.8380,           15.8595,           56.0029,           -8.0927,           -7.4893,            0.0331,           -0.8197,           43.6179,
Ref 18,2.69884e-08,,,,,,1.1901e-02,4.1590e-03,4.8178e-05,4.5736e-06,5.8974e-08,,,,,,,,,,,
Sam 18,2.63703e-08,1.18507e-02,4.1936e-03,4.8365e-05,4.6509e-06,6.5374e-08,,,,,,           -4.2136,            8.3180,            3.8490,           16.6289,           75.3362,           -8.0945,           -7.4833,            0.0396,           -0.0752,           62.7134,
Ref 19,2.64578e-08,,,,,,1.1901e-02,4.1591e-03,4.8180e-05,4.5761e-06,6.2651e-08,,,,,,,,,,,
Sam 19,2.58559e-08,1.18510e-02,4.1938e-03,4.8362e-05,4.6511e-06,6.6648e-08,,,,,,           -4.1966,            8.3371,            3.6885,           16.5011,           61.4737,           -8.0771,           -7.4645,           -0.1565,           -0.2386,           48.9557,
Ref 20,2.59380e-08,,,,,,1.1901e-02,4.1592e-03,4.8188e-05,4.5752e-06,6.2927e-08,,,,,,,,,,,
Sam 20,2.53499e-08,1.18510e-02,4.1938e-03,4.8362e-05,4.6497e-06,6.6497e-08,,,,,,           -4.2049,            8.3114,            3.5670,           16.3492,           54.7840,           -8.0850,           -7.4898,           -0.2440,           -0.3372,           42.4062,
Ref 21,2.54375e-08,,,,,,1.1901e-02,4.1593e-03,4.8193e-05,4.5747e-06,6.3161e-08,,,,,,,,,,,


Ref 1,2.51872e-08,,,,,,1.1901e-02,4.1592e-03,4.8188e-05,4.5729e-06,6.0806e-08,,,,,,,,,,,
Sam 1,2.46166e-08,1.18511e-02,4.1939e-03,4.8360e-05,4.6523e-06,6.5811e-08,,,,,,           -4.1936,            8.3319,            3.4717,           17.4292,           75.5610,           -8.0736,           -7.4697,           -0.3705,            0.6845,           62.8841,
Ref 2,2.47034e-08,,,,,,1.1901e-02,4.1593e-03,4.8198e-05,4.5723e-06,6.1577e-08,,,,,,,,,,,
Sam 2,2.41464e-08,1.18514e-02,4.1941e-03,4.8362e-05,4.6502e-06,6.5953e-08,,,,,,           -4.1904,            8.3315,            3.3719,           16.7964,           43.8560,           -8.0703,           -7.4700,           -0.4729,            0.0628,           31.5499,
Ref 3,2.42327e-08,,,,,,1.1901e-02,4.1595e-03,4.8201e-05,4.5744e-06,6.4817e-08,,,,,,,,,,,
Sam 3,2.36840e-08,1.18515e-02,4.1942e-03,4.8367e-05,4.6492e-06,6.6938e-08,,,,,,           -4.2020,            8.3246,            3.4731,           16.3302,           63.6699,           -8.0823,           -7.4768,           -0.3533,           -0.3819,           51.1575,
Ref 4,2.37671e-08,,,,,,1.1902e-02,4.1596e-03,4.8199e-05,4.5746e-06,6.1009e-08,,,,,,,,,,,
Sam 4,2.32321e-08,1.18518e-02,4.1943e-03,4.8363e-05,4.6512e-06,6.5577e-08,,,,,,           -4.1891,            8.3339,            3.3925,           16.7164,           65.9819,           -8.0690,           -7.4677,           -0.4560,           -0.0206,           53.4087,
Ref 5,2.33155e-08,,,,,,1.1902e-02,4.1597e-03,4.8201e-05,4.5748e-06,6.2037e-08,,,,,,,,,,,
Sam 5,2.27906e-08,1.18519e-02,4.1944e-03,4.8374e-05,4.6502e-06,6.4353e-08,,,,,,           -4.1945,            8.3166,            3.6352,           16.3625,           46.6425,           -8.0741,           -7.4847,           -0.1917,           -0.3343,           34.3384,
Ref 6,2.28737e-08,,,,,,1.1902e-02,4.1599e-03,4.8197e-05,4.5759e-06,6.0922e-08,,,,,,,,,,,
Sam 6,2.23623e-08,1.18520e-02,4.1947e-03,4.8380e-05,4.6514e-06,6.5425e-08,,,,,,           -4.1903,            8.3382,            3.7609,           17.0326,           42.8478,           -8.0704,           -7.4635,           -0.0919,            0.2820,           30.5402,
Ref 7,2.24449e-08,,,,,,1.1902e-02,4.1600e-03,4.8200e-05,4.5711e-06,6.4587e-08,,,,,,,,,,,
Sam 7,2.19425e-08,1.18524e-02,4.1948e-03,4.8385e-05,4.6470e-06,6.5617e-08,,,,,,           -4.1766,            8.3460,            3.8085,           16.0000,           27.5315,           -8.0561,           -7.4557,           -0.0664,           -0.7492,           15.3742,
Ref 8,2.20212e-08,,,,,,1.1902e-02,4.1602e-03,4.8202e-05,4.5765e-06,6.3118e-08,,,,,,,,,,,
Sam 8,2.15336e-08,1.18524e-02,4.1949e-03,4.8384e-05,4.6525e-06,6.7843e-08,,,,,,           -4.1985,            8.3264,            3.7165,           16.7523,           42.2495,           -8.0787,           -7.4750,           -0.1163,            0.0297,           29.9816,
Ref 9,2.16102e-08,,,,,,1.1903e-02,4.1604e-03,4.8207e-05,4.5752e-06,6.7106e-08,,,,,,,,,,,
Sam 9,2.11352e-08,1.18528e-02,4.1951e-03,4.8387e-05,4.6532e-06,6.7650e-08,,,,,,           -4.1823,            8.3385,            3.6857,           16.5976,           35.3062,           -8.0619,           -7.4631,           -0.1755,           -0.1465,           23.0782,
Ref 10,2.12057e-08,,,,,,1.1903e-02,4.1605e-03,4.8212e-05,4.5792e-06,6.3546e-08,,,,,,,,,,,
Sam 10,2.07461e-08,1.18530e-02,4.1953e-03,4.8394e-05,4.6579e-06,6.8876e-08,,,,,,           -4.1781,            8.3547,            3.7372,           17.0784,           76.0217,           -8.0580,           -7.4472,           -0.1443,            0.2943,           63.2745,
Ref 11,2.08149e-08,,,,,,1.1903e-02,4.1606e-03,4.8216e-05,4.5801e-06,6.4482e-08,,,,,,,,,,,
Sam 11,2.03668e-08,1.18532e-02,4.1955e-03,4.8398e-05,4.6567e-06,6.6137e-08,,,,,,           -4.1856,            8.3578,            3.6761,           17.0300,           29.3558,           -8.0660,           -7.4442,           -0.2005,            0.2405,           17.1634,
Ref 12,2.04327e-08,,,,,,1.1903e-02,4.1609e-03,4.8226e-05,4.5773e-06,6.4016e-08,,,,,,,,,,,
Sam 12,1.99967e-08,1.18534e-02,4.1956e-03,4.8412e-05,4.6535e-06,6.5198e-08,,,,,,           -4.1901,            8.3348,            3.8325,           16.1221,           50.8223,           -8.0700,           -7.4668,           -0.0176,           -0.6069,           38.4272,
Ref 13,2.00570e-08,,,,,,1.1903e-02,4.1610e-03,4.8228e-05,4.5821e-06,6.0036e-08,,,,,,,,,,,
Sam 13,1.96345e-08,1.18537e-02,4.1958e-03,4.8395e-05,4.6549e-06,6.3941e-08,,,,,,           -4.1709,            8.3433,            3.3685,           16.6116,           32.1233,           -8.0499,           -7.4585,           -0.5079,           -0.1422,           19.9110,
Ref 14,1.96912e-08,,,,,,1.1903e-02,4.1611e-03,4.8238e-05,4.5756e-06,6.3902e-08,,,,,,,,,,,
Sam 14,1.92831e-08,1.18539e-02,4.1958e-03,4.8407e-05,4.6558e-06,6.4207e-08,,,,,,           -4.1826,            8.3215,            3.7285,           16.9783,          -16.2600,           -8.0616,           -7.4799,           -0.1159,            0.2617,          -27.8463,
Ref 15,1.93328e-08,,,,,,1.1904e-02,4.1613e-03,4.8217e-05,4.5807e-06,6.6659e-08,,,,,,,,,,,
Sam 15,1.89370e-08,1.18541e-02,4.1961e-03,4.8411e-05,4.6575e-06,6.7401e-08,,,,,,           -4.1920,            8.3367,            3.8082,           17.0749,           -5.5904,           -8.0721,           -7.4649,           -0.0416,            0.3266,          -17.3216,
Ref 16,1.89837e-08,,,,,,1.1904e-02,4.1615e-03,4.8238e-05,4.5779e-06,6.8921e-08,,,,,,,,,,,
Sam 16,1.85999e-08,1.18542e-02,4.1963e-03,4.8419e-05,4.6604e-06,6.9363e-08,,,,,,           -4.1909,            8.3487,            3.8086,           17.9550,           30.1190,           -8.0714,           -7.4531,           -0.0541,            1.1683,           17.9414,
Ref 17,1.86407e-08,,,,,,1.1904e-02,4.1617e-03,4.8233e-05,4.5785e-06,6.5719e-08,,,,,,,,,,,
Sam 17,1.82705e-08,1.18546e-02,4.1965e-03,4.8426e-05,4.6555e-06,6.5857e-08,,,,,,           -4.1919,            8.3582,            3.8669,           16.4852,           11.9726,           -8.0728,           -7.4437,           -0.0043,           -0.2962,           -0.0080,
Ref 18,1.83048e-08,,,,,,1.1905e-02,4.1618e-03,4.8246e-05,4.5814e-06,6.4424e-08,,,,,,,,,,,
Sam 18,1.79456e-08,1.18548e-02,4.1966e-03,4.8430e-05,4.6585e-06,6.5007e-08,,,,,,           -4.1956,            8.3413,            3.7902,           16.9203,           44.7193,           -8.0761,           -7.4604,           -0.0603,            0.1654,           32.3892,
Ref 19,1.79757e-08,,,,,,1.1905e-02,4.1620e-03,4.8247e-05,4.5805e-06,5.9984e-08,,,,,,,,,,,
Sam 19,1.76284e-08,1.18552e-02,4.1968e-03,4.8434e-05,4.6509e-06,6.1044e-08,,,,,,           -4.1861,            8.3446,            3.8645,           15.7220,           -6.7463,           -8.0661,           -7.4571,            0.0005,           -1.0199,          -18.4854,
Ref 20,1.76544e-08,,,,,,1.1905e-02,4.1622e-03,4.8248e-05,4.5772e-06,6.2959e-08,,,,,,,,,,,
Sam 20,1.73212e-08,1.18555e-02,4.1970e-03,4.8428e-05,4.6561e-06,6.5451e-08,,,,,,           -4.1910,            8.3371,            3.6552,           17.0629,           64.3553,           -8.0711,           -7.4645,           -0.1955,            0.3139,           51.7969,
Ref 21,1.73419e-08,,,,,,1.1906e-02,4.1624e-03,4.8255e-05,4.5788e-06,6.0000e-08,,,,,,,,,,,


Ref 1,1.71879e-08,,,,,,1.1906e-02,4.1625e-03,4.8250e-05,4.5809e-06,6.1349e-08,,,,,,,,,,,
Sam 1,1.74407e-08,1.18843e-02,4.1749e-03,4.8304e-05,4.6082e-06,6.3761e-08,,,,,,           -1.7906,            2.9863,            1.0668,            6.3654,           17.9365,           -5.3342,          -12.7422,           -0.0216,            0.3816,           13.9128,
Ref 2,1.69632e-08,,,,,,1.1906e-02,4.1625e-03,4.8254e-05,4.5773e-06,6.3944e-08,,,,,,,,,,,
Sam 2,1.66541e-08,1.18560e-02,4.1974e-03,4.8437e-05,4.6530e-06,6.3616e-08,,,,,,           -4.1923,            8.3560,            3.8042,           16.0557,          -18.9590,           -8.0732,           -7.4459,           -0.0641,           -0.7142,          -30.5687,
Ref 3,1.66621e-08,,,,,,1.1906e-02,4.1627e-03,4.8253e-05,4.5817e-06,6.5764e-08,,,,,,,,,,,
Sam 3,1.63648e-08,1.18562e-02,4.1976e-03,4.8437e-05,4.6602e-06,6.5615e-08,,,,,,           -4.1771,            8.3477,            3.5973,           17.4030,            6.3281,           -8.0567,           -7.4541,           -0.2779,            0.6273,           -5.5810,
Ref 4,1.63679e-08,,,,,,1.1906e-02,4.1629e-03,4.8274e-05,4.5791e-06,6.4631e-08,,,,,,,,,,,
Sam 4,1.60824e-08,1.18563e-02,4.1977e-03,4.8437e-05,4.6539e-06,6.2042e-08,,,,,,           -4.1739,            8.3378,            3.5264,           16.2587,          -14.9516,           -8.0530,           -7.4639,           -0.3421,           -0.4785,          -26.5933,
Ref 5,1.60798e-08,,,,,,1.1906e-02,4.1630e-03,4.8259e-05,4.5798e-06,6.1307e-08,,,,,,,,,,,
Sam 5,1.58064e-08,1.18565e-02,4.1979e-03,4.8439e-05,4.6578e-06,6.2616e-08,,,,,,           -4.1740,            8.3601,            3.7673,           16.9555,           44.6675,           -8.0538,           -7.4419,           -0.1238,            0.1627,           32.2764,
Ref 6,1.57995e-08,,,,,,1.1906e-02,4.1631e-03,4.8254e-05,4.5804e-06,5.8547e-08,,,,,,,,,,,
Sam 6,1.55359e-08,1.18569e-02,4.1981e-03,4.8445e-05,4.6591e-06,6.3695e-08,,,,,,           -4.1598,            8.3534,            3.8269,           17.3184,           77.5845,           -8.0385,           -7.4485,           -0.0727,            0.5328,           64.8006,
Ref 7,1.55230e-08,,,,,,1.1907e-02,4.1634e-03,4.8266e-05,4.5791e-06,5.9682e-08,,,,,,,,,,,
Sam 7,1.52729e-08,1.18570e-02,4.1983e-03,4.8447e-05,4.6573e-06,6.3094e-08,,,,,,           -4.1862,            8.3542,            3.6853,           16.9903,           61.1633,           -8.0665,           -7.4477,           -0.1871,            0.2086,           48.6022,
Ref 8,1.52520e-08,,,,,,1.1907e-02,4.1636e-03,4.8272e-05,4.5798e-06,5.9230e-08,,,,,,,,,,,
Sam 8,1.50149e-08,1.18571e-02,4.1983e-03,4.8452e-05,4.6548e-06,6.5024e-08,,,,,,           -4.2023,            8.3322,            3.6559,           16.5101,           87.7651,           -8.0829,           -7.4693,           -0.1783,           -0.2202,           74.9536,
Ref 9,1.49874e-08,,,,,,1.1907e-02,4.1637e-03,4.8280e-05,4.5786e-06,6.0335e-08,,,,,,,,,,,
Sam 9,1.47612e-08,1.18573e-02,4.1985e-03,4.8466e-05,4.6472e-06,6.4361e-08,,,,,,           -4.1981,            8.3598,            3.9059,           15.3937,           76.8838,           -8.0794,           -7.4421,            0.0394,           -1.3728,           64.1385,
Ref 10,1.47284e-08,,,,,,1.1907e-02,4.1638e-03,4.8274e-05,4.5749e-06,5.9186e-08,,,,,,,,,,,
Sam 10,1.45154e-08,1.18578e-02,4.1986e-03,4.8449e-05,4.6570e-06,6.0856e-08,,,,,,           -4.1806,            8.3424,            3.6156,           17.1824,           -1.3969,           -8.0603,           -7.4593,           -0.2508,            0.4208,          -13.2006,
Ref 11,1.44760e-08,,,,,,1.1908e-02,4.1640e-03,4.8275e-05,4.5819e-06,6.2726e-08,,,,,,,,,,,
Sam 11,1.42730e-08,1.18578e-02,4.1988e-03,4.8457e-05,4.6473e-06,6.1188e-08,,,,,,           -4.1897,            8.3448,            3.6071,           15.1770,          -13.4633,           -8.0700,           -7.4569,           -0.2523,           -1.5562,          -25.1196,
Ref 12,1.42276e-08,,,,,,1.1908e-02,4.1641e-03,4.8291e-05,4.5737e-06,6.1307e-08,,,,,,,,,,,
Sam 12,1.40359e-08,1.18583e-02,4.1989e-03,4.8464e-05,4.6508e-06,6.2845e-08,,,,,,           -4.1599,            8.3364,            3.6563,           17.2268,            6.3505,           -8.0380,           -7.4652,           -0.2259,            0.4764,           -5.5552,
Ref 13,1.39825e-08,,,,,,1.1908e-02,4.1643e-03,4.8284e-05,4.5703e-06,6.3610e-08,,,,,,,,,,,
Sam 13,1.38047e-08,1.18584e-02,4.1991e-03,4.8468e-05,4.6536e-06,6.3211e-08,,,,,,           -4.1768,            8.3375,            3.8755,           18.1143,            9.2450,           -8.0560,           -7.4642,            0.0090,            1.3472,           -2.6789,
Ref 14,1.37453e-08,,,,,,1.1908e-02,4.1644e-03,4.8278e-05,4.5713e-06,6.1637e-08,,,,,,,,,,,
Sam 14,1.35777e-08,1.18585e-02,4.1991e-03,4.8462e-05,4.6446e-06,6.3833e-08,,,,,,           -4.1767,            8.3159,            3.6630,           17.0646,           11.2407,           -8.0552,           -7.4855,           -0.1818,            0.3577,           -0.6649,
Ref 15,1.35116e-08,,,,,,1.1908e-02,4.1646e-03,4.8292e-05,4.5620e-06,6.4636e-08,,,,,,,,,,,
Sam 15,1.33557e-08,1.18586e-02,4.1993e-03,4.8474e-05,4.6468e-06,6.0382e-08,,,,,,           -4.1900,            8.3299,            3.7343,           17.1242,          -14.7255,           -8.0698,           -7.4717,           -0.1107,            0.3885,          -26.3381,
Ref 16,1.32822e-08,,,,,,1.1909e-02,4.1647e-03,4.8296e-05,4.5753e-06,5.7876e-08,,,,,,,,,,,
Sam 16,1.31358e-08,1.18587e-02,4.1995e-03,4.8463e-05,4.6540e-06,6.1053e-08,,,,,,           -4.1940,            8.3478,            3.4779,           17.0473,           46.2470,           -8.0746,           -7.4539,           -0.3795,            0.2773,           33.8838,
Ref 17,1.30584e-08,,,,,,1.1909e-02,4.1648e-03,4.8295e-05,4.5767e-06,5.8841e-08,,,,,,,,,,,
Sam 17,1.29229e-08,1.18588e-02,4.1996e-03,4.8465e-05,4.6504e-06,5.8724e-08,,,,,,           -4.2045,            8.3371,            3.5924,           15.8388,          -48.7417,           -8.0854,           -7.4645,           -0.2441,           -0.8901,          -59.9521,
Ref 18,1.28370e-08,,,,,,1.1909e-02,4.1649e-03,4.8288e-05,4.5791e-06,6.4675e-08,,,,,,,,,,,
Sam 18,1.27123e-08,1.18590e-02,4.1996e-03,4.8473e-05,4.6521e-06,6.2974e-08,,,,,,           -4.1941,            8.3324,            3.7516,           16.7006,           32.0880,           -8.0742,           -7.4691,           -0.0917,           -0.0331,           19.9230,
Ref 19,1.26211e-08,,,,,,1.1909e-02,4.1649e-03,4.8296e-05,4.5722e-06,5.7295e-08,,,,,,,,,,,
Sam 19,1.25070e-08,1.18592e-02,4.1998e-03,4.8472e-05,4.6442e-06,5.7417e-08,,,,,,           -4.1754,            8.3442,            3.5922,           15.5411,          -32.4269,           -8.0547,           -7.4575,           -0.2814,           -1.1970,          -43.8727,
Ref 20,1.24104e-08,,,,,,1.1909e-02,4.1651e-03,4.8301e-05,4.5740e-06,6.1423e-08,,,,,,,,,,,
Sam 20,1.23065e-08,1.18593e-02,4.1999e-03,4.8480e-05,4.6508e-06,6.7797e-08,,,,,,           -4.1802,            8.3501,            3.7898,           16.5572,           86.1004,           -8.0600,           -7.4518,           -0.0852,           -0.2092,           73.2458,
Ref 21,1.22020e-08,,,,,,1.1909e-02,4.1651e-03,4.8292e-05,4.5762e-06,6.3439e-08,,,,,,,,,,,


