Nu Stable Isotope Analysis Program
Data Collected on Wednesday, December 27, 2017 at 18:05 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, December 27, 2017 at 19:04 with Stable 1.69.5 on PS019

Data File = Data_3709 KDW2 131.8A.txt,    Sample Weight = 504,                      Vial Location = 44,                       Initial Sam Beam = 5.0613e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.1655e-08,                Max Ref Beam = 1.0687e-07,                
Analysis undertaken at mass 45.79944
Analysis undertaken at mass 45.79944
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.64202e-08,,,,,,1.1907e-02,4.1617e-03,4.8191e-05,4.5683e-06,6.2646e-08,,,,,,,,,,,
Sam 1,4.58919e-08,1.19370e-02,4.2008e-03,4.8756e-05,4.6602e-06,6.2460e-08,,,,,,            2.6322,            9.5952,           11.9294,           19.8265,           16.3382,           -0.8580,           -6.2397,           -0.2487,            0.5338,           -5.3609,
Ref 2,4.53297e-08,,,,,,1.1904e-02,4.1600e-03,4.8171e-05,4.5708e-06,6.0236e-08,,,,,,,,,,,
Sam 2,4.47023e-08,1.19341e-02,4.1989e-03,4.8729e-05,4.6581e-06,6.1882e-08,,,,,,            2.5829,            9.5107,           11.7833,           19.2697,           32.8883,           -0.9074,           -6.3228,           -0.2602,            0.1550,           11.0551,
Ref 3,4.41798e-08,,,,,,1.1902e-02,4.1587e-03,4.8152e-05,4.5692e-06,5.9578e-08,,,,,,,,,,,
Sam 3,4.35513e-08,1.19327e-02,4.1979e-03,4.8709e-05,4.6540e-06,6.1468e-08,,,,,,            2.5955,            9.5209,           11.7610,           18.8558,           28.2213,           -0.8944,           -6.3128,           -0.3052,           -0.2715,            6.4533,
Ref 4,4.31108e-08,,,,,,1.1901e-02,4.1579e-03,4.8134e-05,4.5665e-06,5.9989e-08,,,,,,,,,,,
Sam 4,4.24816e-08,1.19318e-02,4.1974e-03,4.8703e-05,4.6525e-06,6.0992e-08,,,,,,            2.5931,            9.5339,           11.8722,           18.6439,           21.6008,           -0.8975,           -6.3000,           -0.2054,           -0.5051,           -0.0498,
Ref 5,4.21093e-08,,,,,,1.1901e-02,4.1576e-03,4.8130e-05,4.5682e-06,5.9408e-08,,,,,,,,,,,
Sam 5,4.14721e-08,1.19315e-02,4.1971e-03,4.8709e-05,4.6555e-06,6.0096e-08,,,,,,            2.6005,            9.5171,           12.1068,           19.2564,            9.4041,           -0.8889,           -6.3166,            0.0352,            0.1292,          -11.9634,
Ref 6,4.11585e-08,,,,,,1.1900e-02,4.1575e-03,4.8123e-05,4.5669e-06,5.9668e-08,,,,,,,,,,,
Sam 6,4.05031e-08,1.19311e-02,4.1971e-03,4.8703e-05,4.6530e-06,6.3993e-08,,,,,,            2.5935,            9.5312,           11.9611,           18.8021,           68.5189,           -0.8969,           -6.3026,           -0.1154,           -0.3446,           45.8789,
Ref 7,4.02329e-08,,,,,,1.1900e-02,4.1575e-03,4.8132e-05,4.5675e-06,6.0116e-08,,,,,,,,,,,
Sam 7,3.95721e-08,1.19310e-02,4.1971e-03,4.8706e-05,4.6546e-06,6.1111e-08,,,,,,            2.5931,            9.5255,           11.9339,           18.9811,           31.0183,           -0.8971,           -6.3082,           -0.1363,           -0.1577,            9.1845,
Ref 8,3.93510e-08,,,,,,1.1900e-02,4.1576e-03,4.8130e-05,4.5683e-06,5.8410e-08,,,,,,,,,,,
Sam 8,3.86724e-08,1.19308e-02,4.1972e-03,4.8708e-05,4.6543e-06,6.1714e-08,,,,,,            2.5841,            9.5271,           11.9666,           18.8349,           61.0064,           -0.9067,           -6.3067,           -0.0963,           -0.3043,           38.5443,
Ref 9,3.84882e-08,,,,,,1.1900e-02,4.1575e-03,4.8135e-05,4.5681e-06,5.7916e-08,,,,,,,,,,,
Sam 9,3.78030e-08,1.19310e-02,4.1973e-03,4.8708e-05,4.6550e-06,5.9742e-08,,,,,,            2.5935,            9.5369,           11.9206,           18.9677,           25.1307,           -0.8971,           -6.2971,           -0.1609,           -0.1933,            3.3990,
Ref 10,3.76524e-08,,,,,,1.1900e-02,4.1577e-03,4.8134e-05,4.5685e-06,5.8646e-08,,,,,,,,,,,
Sam 10,3.69641e-08,1.19310e-02,4.1973e-03,4.8714e-05,4.6560e-06,5.9782e-08,,,,,,            2.5875,            9.5184,           12.0023,           19.1599,           -0.5390,           -0.9028,           -6.3153,           -0.0560,            0.0320,          -21.6850,
Ref 11,3.68429e-08,,,,,,1.1900e-02,4.1578e-03,4.8139e-05,4.5685e-06,6.1008e-08,,,,,,,,,,,
Sam 11,3.61496e-08,1.19310e-02,4.1974e-03,4.8712e-05,4.6552e-06,6.2366e-08,,,,,,            2.5979,            9.5166,           11.8514,           18.9490,           46.1057,           -0.8918,           -6.3171,           -0.2140,           -0.1714,           23.9652,
Ref 12,3.60542e-08,,,,,,1.1900e-02,4.1580e-03,4.8144e-05,4.5688e-06,5.8196e-08,,,,,,,,,,,
Sam 12,3.53551e-08,1.19311e-02,4.1976e-03,4.8716e-05,4.6546e-06,6.0555e-08,,,,,,            2.5978,            9.5320,           11.8790,           18.6626,           46.4685,           -0.8924,           -6.3019,           -0.2016,           -0.4830,           24.2895,
Ref 13,3.52842e-08,,,,,,1.1900e-02,4.1581e-03,4.8145e-05,4.5698e-06,5.7530e-08,,,,,,,,,,,
Sam 13,3.45884e-08,1.19311e-02,4.1977e-03,4.8718e-05,4.6568e-06,5.9995e-08,,,,,,            2.5848,            9.5218,           11.8414,           19.3337,           56.5036,           -0.9058,           -6.3119,           -0.2156,            0.1956,           34.1467,
Ref 14,3.45423e-08,,,,,,1.1900e-02,4.1582e-03,4.8151e-05,4.5670e-06,5.6027e-08,,,,,,,,,,,
Sam 14,3.38463e-08,1.19314e-02,4.1979e-03,4.8729e-05,4.6557e-06,5.9044e-08,,,,,,            2.5883,            9.5221,           11.8727,           19.1924,           40.6173,           -0.9021,           -6.3116,           -0.1885,            0.0565,           18.5923,
Ref 15,3.38167e-08,,,,,,1.1901e-02,4.1584e-03,4.8164e-05,4.5692e-06,5.7467e-08,,,,,,,,,,,
Sam 15,3.31241e-08,1.19315e-02,4.1980e-03,4.8727e-05,4.6562e-06,6.0779e-08,,,,,,            2.5923,            9.5128,           11.7202,           18.8500,           41.9450,           -0.8976,           -6.3208,           -0.3342,           -0.2611,           19.9061,
Ref 16,3.31136e-08,,,,,,1.1901e-02,4.1585e-03,4.8161e-05,4.5711e-06,5.9217e-08,,,,,,,,,,,
Sam 16,3.24230e-08,1.19315e-02,4.1981e-03,4.8733e-05,4.6572e-06,6.0792e-08,,,,,,            2.5847,            9.5246,           11.8896,           18.5319,           38.9690,           -0.9061,           -6.3092,           -0.1704,           -0.5966,           16.9778,
Ref 17,3.24257e-08,,,,,,1.1901e-02,4.1586e-03,4.8160e-05,4.5738e-06,5.7793e-08,,,,,,,,,,,
Sam 17,3.17424e-08,1.19316e-02,4.1983e-03,4.8736e-05,4.6597e-06,6.2321e-08,,,,,,            2.5778,            9.5198,           11.8560,           19.2295,           90.9014,           -0.9132,           -6.3139,           -0.1919,            0.0974,           67.8289,
Ref 18,3.17591e-08,,,,,,1.1901e-02,4.1588e-03,4.8170e-05,4.5698e-06,5.6450e-08,,,,,,,,,,,
Sam 18,3.10802e-08,1.19320e-02,4.1984e-03,4.8744e-05,4.6582e-06,6.1451e-08,,,,,,            2.5962,            9.5112,           11.8804,           19.2233,           67.7321,           -0.8934,           -6.3224,           -0.1784,            0.1084,           45.1466,
Ref 19,3.11070e-08,,,,,,1.1901e-02,4.1588e-03,4.8174e-05,4.5709e-06,5.8679e-08,,,,,,,,,,,
Sam 19,3.04348e-08,1.19318e-02,4.1984e-03,4.8742e-05,4.6592e-06,6.1562e-08,,,,,,            2.5852,            9.5021,           11.8653,           19.1182,           50.4303,           -0.9047,           -6.3313,           -0.1731,            0.0233,           28.2411,
Ref 20,3.04737e-08,,,,,,1.1901e-02,4.1590e-03,4.8167e-05,4.5728e-06,5.8531e-08,,,,,,,,,,,
Sam 20,2.98057e-08,1.19321e-02,4.1986e-03,4.8745e-05,4.6589e-06,6.4565e-08,,,,,,            2.5940,            9.5161,           11.9334,           18.9874,          100.4108,           -0.8959,           -6.3176,           -0.1284,           -0.1328,           77.1264,
Ref 21,2.98571e-08,,,,,,1.1901e-02,4.1590e-03,4.8173e-05,4.5713e-06,5.8818e-08,,,,,,,,,,,


Ref 1,2.95538e-08,,,,,,1.1901e-02,4.1590e-03,4.8164e-05,4.5716e-06,5.9119e-08,,,,,,,,,,,
Sam 1,2.88959e-08,1.19318e-02,4.1985e-03,4.8743e-05,4.6545e-06,5.9760e-08,,,,,,            2.5803,            9.5002,           11.9511,           18.4923,           22.4549,           -0.9098,           -6.3331,           -0.0815,           -0.5872,            0.8654,
Ref 2,2.89606e-08,,,,,,1.1901e-02,4.1591e-03,4.8171e-05,4.5683e-06,5.7761e-08,,,,,,,,,,,
Sam 2,2.83046e-08,1.19320e-02,4.1987e-03,4.8749e-05,4.6552e-06,5.9359e-08,,,,,,            2.5834,            9.4972,           11.9130,           18.8670,           41.8720,           -0.9064,           -6.3361,           -0.1194,           -0.2136,           19.8751,
Ref 3,2.83838e-08,,,,,,1.1901e-02,4.1592e-03,4.8179e-05,4.5698e-06,5.6170e-08,,,,,,,,,,,
Sam 3,2.77260e-08,1.19320e-02,4.1988e-03,4.8752e-05,4.6600e-06,5.8921e-08,,,,,,            2.5747,            9.5043,           11.8970,           19.6991,           28.1306,           -0.9160,           -6.3291,           -0.1332,            0.5888,            6.4192,
Ref 4,2.78169e-08,,,,,,1.1901e-02,4.1592e-03,4.8178e-05,4.5702e-06,5.8471e-08,,,,,,,,,,,
Sam 4,2.71634e-08,1.19322e-02,4.1988e-03,4.8751e-05,4.6573e-06,6.0945e-08,,,,,,            2.5898,            9.5174,           11.8700,           19.2313,           33.4508,           -0.9004,           -6.3162,           -0.1881,            0.1038,           11.5851,
Ref 5,2.72658e-08,,,,,,1.1901e-02,4.1593e-03,4.8180e-05,4.5687e-06,5.9483e-08,,,,,,,,,,,
Sam 5,2.66145e-08,1.19321e-02,4.1990e-03,4.8755e-05,4.6582e-06,6.1886e-08,,,,,,            2.5776,            9.5278,           11.8878,           19.2941,           57.4380,           -0.9137,           -6.3060,           -0.1681,            0.1450,           35.0571,
Ref 6,2.67290e-08,,,,,,1.1901e-02,4.1594e-03,4.8183e-05,4.5715e-06,5.7546e-08,,,,,,,,,,,
Sam 6,2.60812e-08,1.19321e-02,4.1990e-03,4.8764e-05,4.6571e-06,6.1711e-08,,,,,,            2.5775,            9.5127,           12.0853,           18.7354,           78.9808,           -0.9133,           -6.3208,            0.0418,           -0.3734,           56.1752,
Ref 7,2.62016e-08,,,,,,1.1901e-02,4.1594e-03,4.8180e-05,4.5715e-06,5.6835e-08,,,,,,,,,,,
Sam 7,2.55615e-08,1.19325e-02,4.1991e-03,4.8755e-05,4.6588e-06,6.4057e-08,,,,,,            2.6042,            9.5160,           11.8497,           18.7231,           82.3549,           -0.8850,           -6.3176,           -0.2216,           -0.3921,           59.4411,
Ref 8,2.56874e-08,,,,,,1.1902e-02,4.1596e-03,4.8187e-05,4.5749e-06,6.1579e-08,,,,,,,,,,,
Sam 8,2.50601e-08,1.19324e-02,4.1991e-03,4.8756e-05,4.6618e-06,6.4219e-08,,,,,,            2.5827,            9.4985,           11.7702,           19.2009,           72.2545,           -0.9073,           -6.3348,           -0.2610,            0.1115,           49.6143,
Ref 9,2.51880e-08,,,,,,1.1902e-02,4.1596e-03,4.8189e-05,4.5731e-06,5.8171e-08,,,,,,,,,,,
Sam 9,2.45694e-08,1.19325e-02,4.1992e-03,4.8759e-05,4.6563e-06,6.1695e-08,,,,,,            2.5782,            9.5214,           11.8201,           18.5136,           42.3400,           -0.9129,           -6.3123,           -0.2294,           -0.6082,           20.2909,
Ref 10,2.46991e-08,,,,,,1.1902e-02,4.1597e-03,4.8189e-05,4.5701e-06,6.0227e-08,,,,,,,,,,,
Sam 10,2.40964e-08,1.19325e-02,4.1993e-03,4.8765e-05,4.6575e-06,6.1830e-08,,,,,,            2.5723,            9.5118,           11.8772,           18.7924,           60.6827,           -0.9187,           -6.3217,           -0.1576,           -0.3156,           38.2714,
Ref 11,2.42249e-08,,,,,,1.1902e-02,4.1597e-03,4.8197e-05,4.5731e-06,5.6320e-08,,,,,,,,,,,
Sam 11,2.36294e-08,1.19328e-02,4.1995e-03,4.8772e-05,4.6600e-06,6.3233e-08,,,,,,            2.5920,            9.5401,           11.8939,           19.0325,           78.7040,           -0.8988,           -6.2939,           -0.1889,           -0.1360,           55.8318,
Ref 12,2.37549e-08,,,,,,1.1902e-02,4.1599e-03,4.8200e-05,4.5730e-06,6.0965e-08,,,,,,,,,,,
Sam 12,2.31787e-08,1.19330e-02,4.1996e-03,4.8772e-05,4.6553e-06,6.2449e-08,,,,,,            2.5887,            9.5145,           11.8423,           18.0952,           33.9683,           -0.9014,           -6.3191,           -0.2115,           -1.0050,           12.0986,
Ref 13,2.33039e-08,,,,,,1.1902e-02,4.1601e-03,4.8202e-05,4.5721e-06,5.9820e-08,,,,,,,,,,,
Sam 13,2.27407e-08,1.19331e-02,4.1997e-03,4.8774e-05,4.6600e-06,6.0366e-08,,,,,,            2.5925,            9.5216,           11.8536,           19.5279,           27.1655,           -0.8977,           -6.3121,           -0.2112,            0.3865,            5.4216,
Ref 14,2.28623e-08,,,,,,1.1902e-02,4.1601e-03,4.8204e-05,4.5694e-06,5.7698e-08,,,,,,,,,,,
Sam 14,2.23145e-08,1.19331e-02,4.1998e-03,4.8785e-05,4.6592e-06,5.9563e-08,,,,,,            2.5767,            9.5211,           11.9820,           19.0065,           34.1449,           -0.9144,           -6.3125,           -0.0676,           -0.1241,           12.2712,
Ref 15,2.24307e-08,,,,,,1.1903e-02,4.1603e-03,4.8210e-05,4.5752e-06,5.7493e-08,,,,,,,,,,,
Sam 15,2.18958e-08,1.19335e-02,4.2000e-03,4.8783e-05,4.6564e-06,6.1070e-08,,,,,,            2.5919,            9.5220,           11.8944,           18.2737,           81.4013,           -0.8983,           -6.3117,           -0.1707,           -0.8448,           58.5091,
Ref 16,2.20094e-08,,,,,,1.1903e-02,4.1605e-03,4.8210e-05,4.5705e-06,5.5433e-08,,,,,,,,,,,
Sam 16,2.14858e-08,1.19339e-02,4.2002e-03,4.8785e-05,4.6584e-06,5.8906e-08,,,,,,            2.6111,            9.5305,           11.8764,           19.0644,           50.2730,           -0.8782,           -6.3033,           -0.2164,           -0.0858,           28.0018,
Ref 17,2.15986e-08,,,,,,1.1903e-02,4.1606e-03,4.8215e-05,4.5719e-06,5.6752e-08,,,,,,,,,,,
Sam 17,2.10860e-08,1.19341e-02,4.2003e-03,4.8796e-05,4.6561e-06,6.0286e-08,,,,,,            2.6060,            9.5377,           12.1546,           18.4382,           48.9508,           -0.8838,           -6.2963,            0.0566,           -0.7144,           26.6989,
Ref 18,2.11972e-08,,,,,,1.1903e-02,4.1607e-03,4.8204e-05,4.5716e-06,5.8207e-08,,,,,,,,,,,
Sam 18,2.06928e-08,1.19344e-02,4.2005e-03,4.8802e-05,4.6599e-06,5.7163e-08,,,,,,            2.6182,            9.5403,           12.1811,           19.8384,          -16.0398,           -0.8709,           -6.2937,            0.0677,            0.6542,          -36.9304,
Ref 19,2.08082e-08,,,,,,1.1903e-02,4.1609e-03,4.8225e-05,4.5669e-06,5.7980e-08,,,,,,,,,,,
Sam 19,2.03089e-08,1.19344e-02,4.2006e-03,4.8800e-05,4.6605e-06,5.8050e-08,,,,,,            2.6091,            9.5172,           12.0037,           19.8919,           45.8093,           -0.8799,           -6.3165,           -0.0756,            0.7525,           23.6616,
Ref 20,2.04235e-08,,,,,,1.1903e-02,4.1611e-03,4.8218e-05,4.5724e-06,5.2987e-08,,,,,,,,,,,
Sam 20,1.99345e-08,1.19345e-02,4.2008e-03,4.8796e-05,4.6579e-06,6.1122e-08,,,,,,            2.5950,            9.5186,           11.8878,           18.5789,          126.5185,           -0.8949,           -6.3151,           -0.1770,           -0.5386,          102.6750,
Ref 21,2.00471e-08,,,,,,1.1904e-02,4.1613e-03,4.8228e-05,4.5734e-06,5.5552e-08,,,,,,,,,,,


Ref 1,1.98629e-08,,,,,,1.1904e-02,4.1613e-03,4.8226e-05,4.5757e-06,5.2097e-08,,,,,,,,,,,
Sam 1,1.93910e-08,1.19351e-02,4.2010e-03,4.8794e-05,4.6590e-06,5.8409e-08,,,,,,            2.5971,            9.5308,           11.7954,           19.4890,          110.7730,           -0.8931,           -6.3030,           -0.2824,            0.3302,           87.2345,
Ref 2,1.95017e-08,,,,,,1.1904e-02,4.1615e-03,4.8225e-05,4.5640e-06,5.3080e-08,,,,,,,,,,,
Sam 2,1.90399e-08,1.19355e-02,4.2013e-03,4.8802e-05,4.6647e-06,5.4377e-08,,,,,,            2.6184,            9.5468,           11.9097,           21.3691,            8.5634,           -0.8709,           -6.2873,           -0.2070,            2.1432,          -12.8623,
Ref 3,1.91462e-08,,,,,,1.1904e-02,4.1617e-03,4.8229e-05,4.5703e-06,5.4766e-08,,,,,,,,,,,
Sam 3,1.86979e-08,1.19354e-02,4.2014e-03,4.8814e-05,4.6622e-06,5.7456e-08,,,,,,            2.5956,            9.5309,           12.0360,           20.1930,           53.2016,           -0.8946,           -6.3029,           -0.0432,            1.0208,           30.8846,
Ref 4,1.87969e-08,,,,,,1.1905e-02,4.1618e-03,4.8237e-05,4.5696e-06,5.4338e-08,,,,,,,,,,,
Sam 4,1.83631e-08,1.19357e-02,4.2016e-03,4.8810e-05,4.6596e-06,5.8553e-08,,,,,,            2.6083,            9.5397,           11.8753,           19.3923,           72.4723,           -0.8814,           -6.2943,           -0.2237,            0.2177,           49.7147,
Ref 5,1.84555e-08,,,,,,1.1905e-02,4.1620e-03,4.8237e-05,4.5722e-06,5.4859e-08,,,,,,,,,,,
Sam 5,1.80362e-08,1.19360e-02,4.2017e-03,4.8817e-05,4.6625e-06,6.0298e-08,,,,,,            2.6116,            9.5304,           11.6492,           19.8239,          -13.6145,           -0.8777,           -6.3035,           -0.4413,            0.6596,          -34.5311,
Ref 6,1.81234e-08,,,,,,1.1905e-02,4.1622e-03,4.8273e-05,4.5715e-06,6.7516e-08,,,,,,,,,,,
Sam 6,1.77188e-08,1.19361e-02,4.2020e-03,4.8819e-05,4.6580e-06,5.5606e-08,,,,,,            2.5934,            9.5382,           11.5685,           19.0437,         -132.3438,           -0.8972,           -6.2958,           -0.5100,           -0.1214,         -150.7392,
Ref 7,1.77972e-08,,,,,,1.1905e-02,4.1624e-03,4.8247e-05,4.5705e-06,6.0595e-08,,,,,,,,,,,
Sam 7,1.74060e-08,1.19364e-02,4.2021e-03,4.8818e-05,4.6604e-06,5.8927e-08,,,,,,            2.6095,            9.5292,           11.8002,           19.6619,          -43.2818,           -0.8799,           -6.3046,           -0.2888,            0.5031,          -63.5650,
Ref 8,1.74793e-08,,,,,,1.1905e-02,4.1625e-03,4.8249e-05,4.5706e-06,6.2608e-08,,,,,,,,,,,
Sam 8,1.71046e-08,1.19367e-02,4.2023e-03,4.8817e-05,4.6579e-06,6.1209e-08,,,,,,            2.6155,            9.5546,           11.7645,           19.0099,            4.9253,           -0.8743,           -6.2796,           -0.3550,           -0.1871,          -16.4351,
Ref 9,1.71686e-08,,,,,,1.1906e-02,4.1626e-03,4.8250e-05,4.5714e-06,5.9179e-08,,,,,,,,,,,
Sam 9,1.68069e-08,1.19370e-02,4.2024e-03,4.8855e-05,4.6616e-06,7.2380e-08,,,,,,            2.6114,            9.5504,           12.4833,           19.7766,          260.0896,           -0.8786,           -6.2838,            0.3636,            0.5737,          233.3211,
Ref 10,1.68634e-08,,,,,,1.1906e-02,4.1628e-03,4.8255e-05,4.5711e-06,5.5669e-08,,,,,,,,,,,
Sam 10,1.65185e-08,1.19371e-02,4.2026e-03,4.8845e-05,4.6594e-06,6.5070e-08,,,,,,            2.6046,            9.5413,           12.1977,           19.3465,          128.9306,           -0.8855,           -6.2928,            0.0972,            0.1697,          104.9760,
Ref 11,1.65676e-08,,,,,,1.1906e-02,4.1630e-03,4.8258e-05,4.5707e-06,5.9642e-08,,,,,,,,,,,
Sam 11,1.62359e-08,1.19373e-02,4.2028e-03,4.8838e-05,4.6596e-06,5.7997e-08,,,,,,            2.6146,            9.5369,           12.0355,           19.1819,           31.7802,           -0.8746,           -6.2970,           -0.0691,            0.0168,            9.8848,
Ref 12,1.62745e-08,,,,,,1.1906e-02,4.1631e-03,4.8255e-05,4.5731e-06,5.2717e-08,,,,,,,,,,,
Sam 12,1.59566e-08,1.19375e-02,4.2029e-03,4.8842e-05,4.6551e-06,5.5807e-08,,,,,,            2.6141,            9.5351,           12.0777,           18.4774,           -5.5971,           -0.8751,           -6.2988,           -0.0251,           -0.6709,          -26.6953,
Ref 13,1.59889e-08,,,,,,1.1906e-02,4.1634e-03,4.8264e-05,4.5681e-06,5.9587e-08,,,,,,,,,,,
Sam 13,1.56842e-08,1.19377e-02,4.2032e-03,4.8834e-05,4.6534e-06,5.5237e-08,,,,,,            2.6151,            9.5570,           11.8475,           18.7396,          -27.3582,           -0.8748,           -6.2772,           -0.2750,           -0.4570,          -48.0364,
Ref 14,1.57084e-08,,,,,,1.1907e-02,4.1635e-03,4.8261e-05,4.5675e-06,5.3946e-08,,,,,,,,,,,
Sam 14,1.54190e-08,1.19376e-02,4.2032e-03,4.8838e-05,4.6569e-06,5.8924e-08,,,,,,            2.5991,            9.5272,           12.1013,           20.0346,          117.6616,           -0.8908,           -6.3066,            0.0214,            0.8728,           93.9826,
Ref 15,1.54342e-08,,,,,,1.1907e-02,4.1635e-03,4.8247e-05,4.5634e-06,5.1475e-08,,,,,,,,,,,
Sam 15,1.51585e-08,1.19380e-02,4.2034e-03,4.8838e-05,4.6569e-06,5.8533e-08,,,,,,            2.6098,            9.5649,           11.9926,           19.6839,          128.8982,           -0.8807,           -6.2694,           -0.1339,            0.4538,          104.8872,
Ref 16,1.51661e-08,,,,,,1.1907e-02,4.1637e-03,4.8272e-05,4.5707e-06,5.2231e-08,,,,,,,,,,,
Sam 16,1.49013e-08,1.19384e-02,4.2036e-03,4.8846e-05,4.6559e-06,5.6160e-08,,,,,,            2.6065,            9.5519,           11.8522,           18.7870,           63.8050,           -0.8837,           -6.2823,           -0.2565,           -0.4003,           41.2086,
Ref 17,1.49020e-08,,,,,,1.1907e-02,4.1639e-03,4.8275e-05,4.5694e-06,5.3361e-08,,,,,,,,,,,
Sam 17,1.46543e-08,1.19386e-02,4.2037e-03,4.8843e-05,4.6582e-06,5.8802e-08,,,,,,            2.6141,            9.5445,           11.6814,           19.7166,           60.3513,           -0.8755,           -6.2896,           -0.4258,            0.5265,           37.8350,
Ref 18,1.46469e-08,,,,,,1.1908e-02,4.1639e-03,4.8283e-05,4.5669e-06,5.7587e-08,,,,,,,,,,,
Sam 18,1.44093e-08,1.19390e-02,4.2038e-03,4.8851e-05,4.6555e-06,5.8623e-08,,,,,,            2.6233,            9.5306,           11.9035,           19.1988,           11.2275,           -0.8652,           -6.3033,           -0.2023,            0.0458,          -10.2286,
Ref 19,1.43934e-08,,,,,,1.1908e-02,4.1642e-03,4.8269e-05,4.5687e-06,5.8365e-08,,,,,,,,,,,
Sam 19,1.41695e-08,1.19390e-02,4.2040e-03,4.8850e-05,4.6541e-06,5.3103e-08,,,,,,            2.6057,            9.5408,           11.9871,           18.1477,          -48.9675,           -0.8842,           -6.2932,           -0.1116,           -1.0057,          -69.1476,
Ref 20,1.41464e-08,,,,,,1.1908e-02,4.1643e-03,4.8273e-05,4.5735e-06,5.3266e-08,,,,,,,,,,,
Sam 20,1.39367e-08,1.19389e-02,4.2040e-03,4.8851e-05,4.6508e-06,6.0329e-08,,,,,,            2.5904,            9.5170,           11.9140,           17.8617,          115.0981,           -0.8997,           -6.3166,           -0.1449,           -1.2392,           91.5050,
Ref 21,1.39043e-08,,,,,,1.1908e-02,4.1645e-03,4.8279e-05,4.5647e-06,5.4952e-08,,,,,,,,,,,


