Nu Stable Isotope Analysis Program
Data Collected on Thursday, December 28, 2017 at 00:46 with Stable 1.69.5 on PS019,Reanalyzed on Thursday, December 28, 2017 at 01:45 with Stable 1.69.5 on PS019

Data File = Data_3714 ETH4.txt,           Sample Weight = 493,                      Vial Location = 49,                       Initial Sam Beam = 5.3216e-08,            ColdFinger Status = CF,                   Min Ref Beam = 2.9730e-08,                Max Ref Beam = 1.0666e-07,                
Analysis undertaken at mass 45.79944
Analysis undertaken at mass 45.79944
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.89182e-08,,,,,,1.1907e-02,4.1612e-03,4.8176e-05,4.5677e-06,5.8625e-08,,,,,,,,,,,
Sam 1,4.82958e-08,1.18308e-02,4.1404e-03,4.7624e-05,4.5262e-06,5.8399e-08,,,,,,           -6.2658,           -4.8282,          -11.3298,           -9.3963,           -3.7067,           -9.8238,          -20.4327,           -0.1530,            0.2389,           12.5706,
Ref 2,4.77608e-08,,,,,,1.1904e-02,4.1597e-03,4.8164e-05,4.5706e-06,5.8608e-08,,,,,,,,,,,
Sam 2,4.70076e-08,1.18280e-02,4.1386e-03,4.7598e-05,4.5250e-06,5.9239e-08,,,,,,           -6.3042,           -4.8906,          -11.5185,           -9.7784,           12.1533,           -9.8625,          -20.4941,           -0.2421,           -0.0214,           28.8590,
Ref 3,4.65324e-08,,,,,,1.1902e-02,4.1583e-03,4.8142e-05,4.5688e-06,5.8445e-08,,,,,,,,,,,
Sam 3,4.57789e-08,1.18264e-02,4.1376e-03,4.7580e-05,4.5232e-06,6.0032e-08,,,,,,           -6.2858,           -4.8865,          -11.4861,           -9.6948,           15.8160,           -9.8431,          -20.4901,           -0.2326,            0.0547,           32.5534,
Ref 4,4.53963e-08,,,,,,1.1901e-02,4.1576e-03,4.8123e-05,4.5661e-06,5.9766e-08,,,,,,,,,,,
Sam 4,4.46361e-08,1.18255e-02,4.1371e-03,4.7573e-05,4.5205e-06,5.9846e-08,,,,,,           -6.2937,           -4.8742,          -11.4269,           -9.7026,           19.1822,           -9.8518,          -20.4780,           -0.1767,            0.0223,           35.9587,
Ref 5,4.43337e-08,,,,,,1.1900e-02,4.1572e-03,4.8123e-05,4.5634e-06,5.7649e-08,,,,,,,,,,,
Sam 5,4.35573e-08,1.18250e-02,4.1369e-03,4.7565e-05,4.5236e-06,5.8011e-08,,,,,,           -6.2998,           -4.8923,          -11.5859,           -8.8471,          -11.8851,           -9.8577,          -20.4958,           -0.3133,            0.9226,            4.4225,
Ref 6,4.33172e-08,,,,,,1.1900e-02,4.1572e-03,4.8123e-05,4.5646e-06,5.9794e-08,,,,,,,,,,,
Sam 6,4.25220e-08,1.18247e-02,4.1368e-03,4.7568e-05,4.5207e-06,5.9394e-08,,,,,,           -6.3052,           -4.8927,          -11.5606,           -9.9253,           -5.3322,           -9.8635,          -20.4961,           -0.2817,           -0.1655,           11.0902,
Ref 7,4.23335e-08,,,,,,1.1900e-02,4.1572e-03,4.8126e-05,4.5674e-06,5.9629e-08,,,,,,,,,,,
Sam 7,4.15201e-08,1.18247e-02,4.1369e-03,4.7567e-05,4.5223e-06,6.0190e-08,,,,,,           -6.2931,           -4.8800,          -11.5416,           -9.6505,           11.4425,           -9.8510,          -20.4837,           -0.2876,            0.0865,           28.1027,
Ref 8,4.13865e-08,,,,,,1.1899e-02,4.1572e-03,4.8119e-05,4.5653e-06,5.9386e-08,,,,,,,,,,,
Sam 8,4.05606e-08,1.18248e-02,4.1370e-03,4.7574e-05,4.5196e-06,5.7514e-08,,,,,,           -6.2932,           -4.8950,          -11.4171,           -9.9349,          -32.1187,           -9.8507,          -20.4985,           -0.1466,           -0.1705,          -16.1465,
Ref 9,4.04693e-08,,,,,,1.1900e-02,4.1574e-03,4.8129e-05,4.5646e-06,5.9460e-08,,,,,,,,,,,
Sam 9,3.96306e-08,1.18247e-02,4.1371e-03,4.7584e-05,4.5232e-06,5.8178e-08,,,,,,           -6.2957,           -4.8932,          -11.3022,           -9.1669,          -16.8447,           -9.8533,          -20.4966,           -0.0297,            0.6013,           -0.6216,
Ref 10,3.95750e-08,,,,,,1.1899e-02,4.1574e-03,4.8127e-05,4.5656e-06,5.8883e-08,,,,,,,,,,,
Sam 10,3.87261e-08,1.18245e-02,4.1371e-03,4.7582e-05,4.5241e-06,5.8341e-08,,,,,,           -6.3055,           -4.8921,          -11.3289,           -9.0834,          -12.5825,           -9.8638,          -20.4955,           -0.0476,            0.6835,            3.7193,
Ref 11,3.87062e-08,,,,,,1.1900e-02,4.1575e-03,4.8127e-05,4.5656e-06,5.9290e-08,,,,,,,,,,,
Sam 11,3.78528e-08,1.18248e-02,4.1373e-03,4.7583e-05,4.5237e-06,6.0344e-08,,,,,,           -6.2944,           -4.8837,          -11.4108,           -9.0873,           35.1944,           -9.8523,          -20.4873,           -0.1503,            0.6627,           52.2549,
Ref 12,3.78630e-08,,,,,,1.1900e-02,4.1577e-03,4.8137e-05,4.5649e-06,5.7272e-08,,,,,,,,,,,
Sam 12,3.70090e-08,1.18248e-02,4.1374e-03,4.7582e-05,4.5209e-06,5.9284e-08,,,,,,           -6.2998,           -4.8796,          -11.5657,           -9.7776,           14.6466,           -9.8582,          -20.4833,           -0.3054,           -0.0426,           31.3662,
Ref 13,3.70494e-08,,,,,,1.1900e-02,4.1578e-03,4.8141e-05,4.5663e-06,5.9610e-08,,,,,,,,,,,
Sam 13,3.61922e-08,1.18248e-02,4.1375e-03,4.7584e-05,4.5250e-06,5.9748e-08,,,,,,           -6.3029,           -4.9008,          -11.5935,           -9.1410,           14.6050,           -9.8608,          -20.5042,           -0.3092,            0.6429,           31.3706,
Ref 14,3.62555e-08,,,,,,1.1900e-02,4.1579e-03,4.8144e-05,4.5672e-06,5.8149e-08,,,,,,,,,,,
Sam 14,3.54013e-08,1.18249e-02,4.1377e-03,4.7585e-05,4.5226e-06,6.0092e-08,,,,,,           -6.2974,           -4.8855,          -11.5948,          -10.0039,           27.7603,           -9.8554,          -20.4890,           -0.3315,           -0.2594,           44.7053,
Ref 15,3.54850e-08,,,,,,1.1900e-02,4.1580e-03,4.8144e-05,4.5694e-06,5.8797e-08,,,,,,,,,,,
Sam 15,3.46308e-08,1.18250e-02,4.1378e-03,4.7595e-05,4.5262e-06,5.9571e-08,,,,,,           -6.2985,           -4.8938,          -11.4141,           -9.4022,           11.2604,           -9.8563,          -20.4973,           -0.1393,            0.3650,           27.9515,
Ref 16,3.47356e-08,,,,,,1.1900e-02,4.1582e-03,4.8146e-05,4.5688e-06,5.9020e-08,,,,,,,,,,,
Sam 16,3.38805e-08,1.18251e-02,4.1379e-03,4.7602e-05,4.5266e-06,6.0763e-08,,,,,,           -6.2991,           -4.8909,          -11.3400,           -9.4684,           30.7648,           -9.8571,          -20.4944,           -0.0667,            0.2922,           47.7725,
Ref 17,3.40061e-08,,,,,,1.1900e-02,4.1583e-03,4.8150e-05,4.5710e-06,5.8877e-08,,,,,,,,,,,
Sam 17,3.31609e-08,1.18250e-02,4.1381e-03,4.7600e-05,4.5251e-06,6.0610e-08,,,,,,           -6.3242,           -4.8868,          -11.4888,          -10.0721,           48.6623,           -9.8839,          -20.4903,           -0.1952,           -0.3256,           65.9851,
Ref 18,3.32939e-08,,,,,,1.1900e-02,4.1585e-03,4.8156e-05,4.5714e-06,5.6694e-08,,,,,,,,,,,
Sam 18,3.24568e-08,1.18252e-02,4.1382e-03,4.7603e-05,4.5240e-06,6.0360e-08,,,,,,           -6.3063,           -4.9047,          -11.4845,           -9.9306,           38.7054,           -9.8643,          -20.5080,           -0.1917,           -0.1468,           55.8810,
Ref 19,3.26059e-08,,,,,,1.1900e-02,4.1587e-03,4.8155e-05,4.5673e-06,5.9557e-08,,,,,,,,,,,
Sam 19,3.17731e-08,1.18254e-02,4.1384e-03,4.7602e-05,4.5268e-06,5.7196e-08,,,,,,           -6.2967,           -4.8941,          -11.5640,           -9.0995,          -26.3846,           -9.8544,          -20.4976,           -0.2925,            0.6713,          -10.3158,
Ref 20,3.19300e-08,,,,,,1.1900e-02,4.1588e-03,4.8162e-05,4.5694e-06,5.7917e-08,,,,,,,,,,,
Sam 20,3.11068e-08,1.18255e-02,4.1384e-03,4.7607e-05,4.5271e-06,5.7967e-08,,,,,,           -6.2976,           -4.8938,          -11.5715,           -9.1746,            8.3494,           -9.8553,          -20.4973,           -0.2995,            0.5948,           24.9915,
Ref 21,3.12757e-08,,,,,,1.1900e-02,4.1588e-03,4.8166e-05,4.5685e-06,5.7048e-08,,,,,,,,,,,


Ref 1,3.09540e-08,,,,,,1.1900e-02,4.1589e-03,4.8158e-05,4.5711e-06,5.4637e-08,,,,,,,,,,,
Sam 1,3.01412e-08,1.18256e-02,4.1386e-03,4.7616e-05,4.5267e-06,5.5173e-08,,,,,,           -6.2981,           -4.8911,          -11.3898,           -9.6715,           -1.5513,           -9.8560,          -20.4946,           -0.1179,            0.0875,           14.9226,
Ref 2,3.03221e-08,,,,,,1.1901e-02,4.1590e-03,4.8170e-05,4.5707e-06,5.5893e-08,,,,,,,,,,,
Sam 2,2.95240e-08,1.18257e-02,4.1386e-03,4.7615e-05,4.5263e-06,5.7925e-08,,,,,,           -6.2997,           -4.8988,          -11.5801,           -9.7859,           39.2921,           -9.8574,          -20.5022,           -0.3010,           -0.0124,           56.4577,
Ref 3,2.97082e-08,,,,,,1.1901e-02,4.1590e-03,4.8176e-05,4.5714e-06,5.5574e-08,,,,,,,,,,,
Sam 3,2.89199e-08,1.18255e-02,4.1387e-03,4.7619e-05,4.5257e-06,5.6526e-08,,,,,,           -6.3121,           -4.9018,          -11.5808,           -9.7913,           17.0514,           -9.8705,          -20.5051,           -0.2860,           -0.0120,           33.8694,
Ref 4,2.91081e-08,,,,,,1.1901e-02,4.1591e-03,4.8177e-05,4.5694e-06,5.5583e-08,,,,,,,,,,,
Sam 4,2.83332e-08,1.18257e-02,4.1389e-03,4.7621e-05,4.5277e-06,5.5216e-08,,,,,,           -6.3014,           -4.8668,          -11.4701,           -9.1575,          -21.8036,           -9.8603,          -20.4706,           -0.2196,            0.5578,           -5.7080,
Ref 5,2.85244e-08,,,,,,1.1901e-02,4.1592e-03,4.8170e-05,4.5697e-06,5.7328e-08,,,,,,,,,,,
Sam 5,2.77621e-08,1.18256e-02,4.1388e-03,4.7621e-05,4.5235e-06,5.4948e-08,,,,,,           -6.3053,           -4.8895,          -11.4580,          -10.3165,          -43.4189,           -9.8637,          -20.4930,           -0.1811,           -0.5671,          -27.6314,
Ref 6,2.79573e-08,,,,,,1.1901e-02,4.1592e-03,4.8176e-05,4.5716e-06,5.7557e-08,,,,,,,,,,,
Sam 6,2.72069e-08,1.18255e-02,4.1390e-03,4.7629e-05,4.5266e-06,6.1491e-08,,,,,,           -6.3101,           -4.8779,          -11.4028,           -9.6610,           67.2666,           -9.8692,          -20.4816,           -0.1315,            0.0718,           84.8614,
Ref 7,2.74011e-08,,,,,,1.1901e-02,4.1593e-03,4.8181e-05,4.5700e-06,5.7675e-08,,,,,,,,,,,
Sam 7,2.66650e-08,1.18257e-02,4.1390e-03,4.7625e-05,4.5275e-06,5.9193e-08,,,,,,           -6.3016,           -4.8913,          -11.5992,           -9.0637,          -18.1030,           -9.8597,          -20.4947,           -0.3258,            0.7017,           -1.8980,
Ref 8,2.68618e-08,,,,,,1.1901e-02,4.1594e-03,4.8186e-05,4.5678e-06,6.2947e-08,,,,,,,,,,,
Sam 8,2.61412e-08,1.18259e-02,4.1391e-03,4.7630e-05,4.5254e-06,6.0886e-08,,,,,,           -6.2940,           -4.8855,          -11.4803,           -9.8125,          -28.5179,           -9.8518,          -20.4891,           -0.2192,           -0.0660,          -12.5041,
Ref 9,2.63376e-08,,,,,,1.1901e-02,4.1595e-03,4.8180e-05,4.5727e-06,6.2394e-08,,,,,,,,,,,
Sam 9,2.56297e-08,1.18261e-02,4.1392e-03,4.7625e-05,4.5272e-06,6.2436e-08,,,,,,           -6.2918,           -4.8969,          -11.5324,           -9.9163,           22.1940,           -9.8491,          -20.5003,           -0.2629,           -0.1480,           39.0645,
Ref 10,2.58195e-08,,,,,,1.1901e-02,4.1596e-03,4.8182e-05,4.5724e-06,5.9740e-08,,,,,,,,,,,
Sam 10,2.51274e-08,1.18260e-02,4.1392e-03,4.7631e-05,4.5269e-06,6.0908e-08,,,,,,           -6.3037,           -4.9133,          -11.4966,           -9.6005,           40.8206,           -9.8611,          -20.5165,           -0.1981,            0.2040,           58.0463,
Ref 11,2.53165e-08,,,,,,1.1901e-02,4.1597e-03,4.8188e-05,4.5691e-06,5.7275e-08,,,,,,,,,,,
Sam 11,2.46385e-08,1.18261e-02,4.1393e-03,4.7634e-05,4.5266e-06,5.7915e-08,,,,,,           -6.2971,           -4.9043,          -11.4849,           -9.3831,            4.7579,           -9.8545,          -20.5076,           -0.2019,            0.4055,           21.3615,
Ref 12,2.48249e-08,,,,,,1.1901e-02,4.1597e-03,4.8188e-05,4.5699e-06,5.8013e-08,,,,,,,,,,,
Sam 12,2.41620e-08,1.18262e-02,4.1395e-03,4.7635e-05,4.5287e-06,6.1869e-08,,,,,,           -6.3003,           -4.8750,          -11.4805,           -8.9753,           72.4379,           -9.8588,          -20.4788,           -0.2233,            0.7583,           90.1002,
Ref 13,2.43464e-08,,,,,,1.1901e-02,4.1598e-03,4.8188e-05,4.5695e-06,5.7361e-08,,,,,,,,,,,
Sam 13,2.36987e-08,1.18265e-02,4.1395e-03,4.7645e-05,4.5260e-06,5.8801e-08,,,,,,           -6.2859,           -4.8862,          -11.3745,           -9.0123,           -1.5045,           -9.8432,          -20.4898,           -0.1198,            0.7435,           14.9472,
Ref 14,2.38785e-08,,,,,,1.1901e-02,4.1599e-03,4.8199e-05,4.5647e-06,6.0447e-08,,,,,,,,,,,
Sam 14,2.32473e-08,1.18266e-02,4.1398e-03,4.7649e-05,4.5258e-06,5.9519e-08,,,,,,           -6.2875,           -4.8502,          -11.4371,           -9.3339,           -3.8992,           -9.8461,          -20.4544,           -0.2172,            0.3464,           12.4426,
Ref 15,2.34223e-08,,,,,,1.1901e-02,4.1600e-03,4.8202e-05,4.5723e-06,5.9044e-08,,,,,,,,,,,
Sam 15,2.28066e-08,1.18267e-02,4.1398e-03,4.7644e-05,4.5268e-06,6.0544e-08,,,,,,           -6.2834,           -4.8636,          -11.5840,           -9.3736,           -5.6190,           -9.8413,          -20.4675,           -0.3567,            0.3331,           10.7170,
Ref 16,2.29771e-08,,,,,,1.1902e-02,4.1601e-03,4.8203e-05,4.5670e-06,6.2764e-08,,,,,,,,,,,
Sam 16,2.23756e-08,1.18269e-02,4.1400e-03,4.7656e-05,4.5331e-06,6.0280e-08,,,,,,           -6.2843,           -4.8602,          -11.4572,           -7.7957,          -54.4227,           -9.8423,          -20.4641,           -0.2310,            1.9196,          -38.8940,
Ref 17,2.25419e-08,,,,,,1.1902e-02,4.1603e-03,4.8214e-05,4.5705e-06,6.4753e-08,,,,,,,,,,,
Sam 17,2.19558e-08,1.18270e-02,4.1401e-03,4.7657e-05,4.5273e-06,6.1058e-08,,,,,,           -6.2919,           -4.8733,          -11.4767,           -9.7576,          -42.1404,           -9.8500,          -20.4770,           -0.2299,           -0.0352,          -26.3769,
Ref 18,2.21169e-08,,,,,,1.1902e-02,4.1604e-03,4.8207e-05,4.5733e-06,6.2715e-08,,,,,,,,,,,
Sam 18,2.15470e-08,1.18274e-02,4.1403e-03,4.7657e-05,4.5261e-06,6.0457e-08,,,,,,           -6.2813,           -4.8455,          -11.5065,          -10.2647,          -26.7429,           -9.8396,          -20.4497,           -0.2984,           -0.6030,          -10.7915,
Ref 19,2.17016e-08,,,,,,1.1902e-02,4.1605e-03,4.8216e-05,4.5729e-06,6.1509e-08,,,,,,,,,,,
Sam 19,2.11479e-08,1.18277e-02,4.1405e-03,4.7694e-05,4.5300e-06,7.5371e-08,,,,,,           -6.2852,           -4.8450,          -10.7599,           -9.2708,          202.5414,           -9.8439,          -20.4492,            0.4603,            0.3996,          222.2538,
Ref 20,2.12953e-08,,,,,,1.1903e-02,4.1608e-03,4.8210e-05,4.5719e-06,6.3867e-08,,,,,,,,,,,
Sam 20,2.07575e-08,1.18279e-02,4.1406e-03,4.7672e-05,4.5272e-06,6.6969e-08,,,,,,           -6.2922,           -4.8560,          -11.2467,          -10.0817,           74.1829,           -9.8509,          -20.4601,           -0.0139,           -0.3971,           91.8236,
Ref 21,2.08988e-08,,,,,,1.1903e-02,4.1609e-03,4.8218e-05,4.5748e-06,6.0792e-08,,,,,,,,,,,


Ref 1,2.07057e-08,,,,,,1.1903e-02,4.1610e-03,4.8216e-05,4.5735e-06,5.9554e-08,,,,,,,,,,,
Sam 1,2.01903e-08,1.18283e-02,4.1408e-03,4.7673e-05,4.5335e-06,6.4448e-08,,,,,,           -6.2620,           -4.8562,          -11.3857,           -8.5105,           44.1988,           -9.8188,          -20.4603,           -0.1857,            1.1899,           61.3132,
Ref 2,2.03211e-08,,,,,,1.1903e-02,4.1611e-03,4.8229e-05,4.5713e-06,6.3928e-08,,,,,,,,,,,
Sam 2,1.98229e-08,1.18283e-02,4.1410e-03,4.7671e-05,4.5312e-06,6.5543e-08,,,,,,           -6.2797,           -4.8462,          -11.4567,           -9.3694,           52.3510,           -9.8379,          -20.4504,           -0.2490,            0.3024,           69.5980,
Ref 3,1.99475e-08,,,,,,1.1903e-02,4.1613e-03,4.8219e-05,4.5768e-06,6.0607e-08,,,,,,,,,,,
Sam 3,1.94661e-08,1.18285e-02,4.1412e-03,4.7679e-05,4.5343e-06,6.1160e-08,,,,,,           -6.2775,           -4.8318,          -11.2473,           -9.1801,           29.0448,           -9.8361,          -20.4362,           -0.0538,            0.4646,           45.8777,
Ref 4,1.95829e-08,,,,,,1.1903e-02,4.1614e-03,4.8223e-05,4.5757e-06,5.8238e-08,,,,,,,,,,,
Sam 4,1.91158e-08,1.18289e-02,4.1413e-03,4.7678e-05,4.5282e-06,5.9063e-08,,,,,,           -6.2672,           -4.8577,          -11.3421,           -9.9849,           23.9847,           -9.8243,          -20.4617,           -0.1347,           -0.2960,           40.7767,
Ref 5,1.92246e-08,,,,,,1.1904e-02,4.1617e-03,4.8226e-05,4.5721e-06,5.7110e-08,,,,,,,,,,,
Sam 5,1.87718e-08,1.18292e-02,4.1416e-03,4.7679e-05,4.5293e-06,5.9450e-08,,,,,,           -6.2710,           -4.8377,          -11.4749,           -9.4439,           13.5236,           -9.8290,          -20.4421,           -0.2848,            0.2101,           30.1076,
Ref 6,1.88755e-08,,,,,,1.1904e-02,4.1618e-03,4.8239e-05,4.5729e-06,6.0231e-08,,,,,,,,,,,
Sam 6,1.84396e-08,1.18296e-02,4.1418e-03,4.7689e-05,4.5283e-06,5.7883e-08,,,,,,           -6.2577,           -4.8300,          -11.3006,           -9.3126,          -61.5310,           -9.8152,          -20.4345,           -0.1299,            0.3271,          -46.2030,
Ref 7,1.85351e-08,,,,,,1.1904e-02,4.1620e-03,4.8230e-05,4.5688e-06,6.3152e-08,,,,,,,,,,,
Sam 7,1.81129e-08,1.18294e-02,4.1420e-03,4.7684e-05,4.5226e-06,6.1830e-08,,,,,,           -6.2880,           -4.8218,          -11.3889,          -10.6278,           11.6149,           -9.8476,          -20.4264,           -0.1960,           -1.0172,           28.1540,
Ref 8,1.81992e-08,,,,,,1.1904e-02,4.1621e-03,4.8236e-05,4.5737e-06,5.9050e-08,,,,,,,,,,,
Sam 8,1.77923e-08,1.18299e-02,4.1421e-03,4.7688e-05,4.5285e-06,6.1024e-08,,,,,,           -6.2633,           -4.8270,          -11.3732,           -9.5330,           22.6059,           -9.8212,          -20.4316,           -0.2005,            0.0987,           39.3080,
Ref 9,1.78721e-08,,,,,,1.1905e-02,4.1623e-03,4.8237e-05,4.5705e-06,6.0311e-08,,,,,,,,,,,
Sam 9,1.74814e-08,1.18301e-02,4.1423e-03,4.7697e-05,4.5266e-06,5.9634e-08,,,,,,           -6.2704,           -4.8257,          -11.3616,           -9.4470,           10.1745,           -9.8287,          -20.4302,           -0.1828,            0.1828,           26.6786,
Ref 10,1.75523e-08,,,,,,1.1905e-02,4.1625e-03,4.8254e-05,4.5690e-06,5.7732e-08,,,,,,,,,,,
Sam 10,1.71775e-08,1.18301e-02,4.1425e-03,4.7702e-05,4.5341e-06,6.0252e-08,,,,,,           -6.2833,           -4.8208,          -11.3091,           -7.7152,           23.2424,           -9.8427,          -20.4254,           -0.1211,            1.9216,           39.9642,
Ref 11,1.72397e-08,,,,,,1.1905e-02,4.1626e-03,4.8242e-05,4.5698e-06,6.0055e-08,,,,,,,,,,,
Sam 11,1.68788e-08,1.18303e-02,4.1426e-03,4.7705e-05,4.5314e-06,5.9464e-08,,,,,,           -6.2821,           -4.8330,          -11.2593,           -9.1872,           -4.6375,           -9.8409,          -20.4373,           -0.0600,            0.4597,           11.6518,
Ref 12,1.69330e-08,,,,,,1.1905e-02,4.1629e-03,4.8254e-05,4.5770e-06,5.9422e-08,,,,,,,,,,,
Sam 12,1.65871e-08,1.18305e-02,4.1429e-03,4.7702e-05,4.5305e-06,6.0100e-08,,,,,,           -6.2870,           -4.8166,          -11.3534,           -9.6146,           23.3056,           -9.8468,          -20.4212,           -0.1663,           -0.0048,           40.0239,
Ref 13,1.66337e-08,,,,,,1.1905e-02,4.1630e-03,4.8245e-05,4.5720e-06,5.8029e-08,,,,,,,,,,,
Sam 13,1.63023e-08,1.18308e-02,4.1431e-03,4.7699e-05,4.5336e-06,6.3695e-08,,,,,,           -6.2770,           -4.8099,          -11.4863,           -8.3509,           81.2975,           -9.8364,          -20.4147,           -0.3176,            1.2579,           98.9369,
Ref 14,1.63389e-08,,,,,,1.1906e-02,4.1632e-03,4.8262e-05,4.5717e-06,5.9798e-08,,,,,,,,,,,
Sam 14,1.60240e-08,1.18311e-02,4.1432e-03,4.7709e-05,4.5320e-06,6.3149e-08,,,,,,           -6.2771,           -4.8154,          -11.5193,           -8.9286,           38.2142,           -9.8363,          -20.4201,           -0.3454,            0.6855,           55.1625,
Ref 15,1.60519e-08,,,,,,1.1906e-02,4.1634e-03,4.8268e-05,4.5741e-06,6.1870e-08,,,,,,,,,,,
Sam 15,1.57504e-08,1.18313e-02,4.1433e-03,4.7711e-05,4.5313e-06,6.3928e-08,,,,,,           -6.2732,           -4.8238,          -11.4370,           -9.1287,           24.3115,           -9.8318,          -20.4283,           -0.2580,            0.5004,           41.0457,
Ref 16,1.57708e-08,,,,,,1.1906e-02,4.1635e-03,4.8258e-05,4.5721e-06,6.2962e-08,,,,,,,,,,,
Sam 16,1.54841e-08,1.18314e-02,4.1435e-03,4.7711e-05,4.5303e-06,6.4751e-08,,,,,,           -6.2808,           -4.8331,          -11.3837,           -9.2884,           52.8157,           -9.8396,          -20.4375,           -0.1870,            0.3579,           70.0439,
Ref 17,1.54955e-08,,,,,,1.1906e-02,4.1637e-03,4.8263e-05,4.5734e-06,6.0018e-08,,,,,,,,,,,
Sam 17,1.52219e-08,1.18316e-02,4.1435e-03,4.7716e-05,4.5272e-06,6.0251e-08,,,,,,           -6.2812,           -4.8616,          -11.3816,          -10.1479,          -18.8536,           -9.8390,          -20.4655,           -0.1563,           -0.4528,           -2.7414,
Ref 18,1.52245e-08,,,,,,1.1907e-02,4.1639e-03,4.8268e-05,4.5738e-06,6.2825e-08,,,,,,,,,,,
Sam 18,1.49650e-08,1.18319e-02,4.1437e-03,4.7726e-05,4.5312e-06,6.0676e-08,,,,,,           -6.2759,           -4.8390,          -11.2912,           -9.2276,          -44.3487,           -9.8341,          -20.4433,           -0.0927,            0.4312,          -28.7039,
Ref 19,1.49608e-08,,,,,,1.1907e-02,4.1639e-03,4.8274e-05,4.5729e-06,6.4171e-08,,,,,,,,,,,
Sam 19,1.47154e-08,1.18321e-02,4.1440e-03,4.7722e-05,4.5292e-06,6.2750e-08,,,,,,           -6.2714,           -4.8212,          -11.3896,           -9.6809,          -41.1476,           -9.8301,          -20.4257,           -0.2145,           -0.0624,          -25.4894,
Ref 20,1.47017e-08,,,,,,1.1907e-02,4.1642e-03,4.8270e-05,4.5740e-06,6.6737e-08,,,,,,,,,,,
Sam 20,1.44705e-08,1.18322e-02,4.1440e-03,4.7732e-05,4.5264e-06,6.9768e-08,,,,,,           -6.2717,           -4.8527,          -11.2546,          -10.0784,           41.0580,           -9.8293,          -20.4568,           -0.0465,           -0.4004,           58.1246,
Ref 21,1.44484e-08,,,,,,1.1907e-02,4.1641e-03,4.8280e-05,4.5710e-06,6.7301e-08,,,,,,,,,,,


