Nu Stable Isotope Analysis Program
Data Collected on Friday, December 29, 2017 at 15:20 with Stable 1.69.5 on PS019,Reanalyzed on Friday, December 29, 2017 at 16:20 with Stable 1.69.5 on PS019

Data File = Data_3766 ETH4.txt,           Sample Weight = 480,                      Vial Location = 4,                        Initial Sam Beam = 1.8073e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0081e-08,                Max Ref Beam = 1.0702e-07,                
Analysis undertaken at mass 45.8015
Analysis undertaken at mass 45.8015
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.61018e-08,,,,,,1.1906e-02,4.1583e-03,4.8110e-05,4.5618e-06,5.9914e-08,,,,,,,,,,,
Sam 1,7.56658e-08,1.18291e-02,4.1363e-03,4.7536e-05,4.5183e-06,6.0406e-08,,,,,,           -6.3324,           -5.0171,          -11.8142,           -9.8151,           11.3746,           -9.8881,          -20.6186,           -0.3870,            0.1958,           28.3555,
Ref 2,7.55680e-08,,,,,,1.1903e-02,4.1561e-03,4.8098e-05,4.5645e-06,5.9538e-08,,,,,,,,,,,
Sam 2,7.45655e-08,1.18279e-02,4.1354e-03,4.7530e-05,4.5202e-06,5.9398e-08,,,,,,           -6.3236,           -4.9451,          -11.7607,           -9.8025,          -10.0706,           -9.8812,          -20.5477,           -0.4132,            0.0638,            6.3977,
Ref 3,7.43588e-08,,,,,,1.1903e-02,4.1558e-03,4.8093e-05,4.5655e-06,6.0475e-08,,,,,,,,,,,
Sam 3,7.33088e-08,1.18278e-02,4.1353e-03,4.7533e-05,4.5200e-06,6.0714e-08,,,,,,           -6.3210,           -4.9291,          -11.6132,           -9.8025,           13.4577,           -9.8791,          -20.5320,           -0.2825,            0.0317,           30.2819,
Ref 4,7.31962e-08,,,,,,1.1903e-02,4.1558e-03,4.8090e-05,4.5639e-06,5.9332e-08,,,,,,,,,,,
Sam 4,7.21079e-08,1.18279e-02,4.1354e-03,4.7530e-05,4.5219e-06,6.0185e-08,,,,,,           -6.3149,           -4.9241,          -11.6436,           -9.4426,           13.4222,           -9.8727,          -20.5271,           -0.3244,            0.3851,           30.2289,
Ref 5,7.20731e-08,,,,,,1.1903e-02,4.1559e-03,4.8089e-05,4.5660e-06,5.9445e-08,,,,,,,,,,,
Sam 5,7.09477e-08,1.18282e-02,4.1355e-03,4.7533e-05,4.5211e-06,6.0267e-08,,,,,,           -6.2977,           -4.9184,          -11.5588,           -9.7227,            9.0025,           -9.8546,          -20.5215,           -0.2623,            0.0907,           25.7054,
Ref 6,7.09768e-08,,,,,,1.1903e-02,4.1559e-03,4.8089e-05,4.5649e-06,6.0018e-08,,,,,,,,,,,
Sam 6,6.98186e-08,1.18282e-02,4.1355e-03,4.7531e-05,4.5210e-06,6.0770e-08,,,,,,           -6.3164,           -4.9385,          -11.6244,           -9.9298,           15.3250,           -9.8738,          -20.5413,           -0.2893,           -0.0780,           32.1943,
Ref 7,6.99219e-08,,,,,,1.1903e-02,4.1562e-03,4.8092e-05,4.5679e-06,5.9686e-08,,,,,,,,,,,
Sam 7,6.87506e-08,1.18291e-02,4.1362e-03,4.7547e-05,4.5234e-06,6.0578e-08,,,,,,           -6.2666,           -4.8287,          -11.4591,           -9.6176,           15.0907,           -9.8246,          -20.4332,           -0.2824,            0.0166,           31.6771,
Ref 8,6.88933e-08,,,,,,1.1904e-02,4.1565e-03,4.8104e-05,4.5667e-06,5.9668e-08,,,,,,,,,,,
Sam 8,6.76562e-08,1.18287e-02,4.1359e-03,4.7538e-05,4.5228e-06,6.0749e-08,,,,,,           -6.3147,           -4.9320,          -11.6940,           -9.7067,           24.8688,           -9.8722,          -20.5348,           -0.3680,            0.1342,           41.8811,
Ref 9,6.78594e-08,,,,,,1.1904e-02,4.1564e-03,4.8097e-05,4.5675e-06,5.8875e-08,,,,,,,,,,,
Sam 9,6.66006e-08,1.18289e-02,4.1360e-03,4.7536e-05,4.5229e-06,6.0861e-08,,,,,,           -6.3024,           -4.9141,          -11.6348,           -9.6598,           29.0829,           -9.8597,          -20.5172,           -0.3384,            0.1456,           46.1144,
Ref 10,6.68542e-08,,,,,,1.1904e-02,4.1564e-03,4.8094e-05,4.5665e-06,5.9410e-08,,,,,,,,,,,
Sam 10,6.55629e-08,1.18289e-02,4.1361e-03,4.7542e-05,4.5234e-06,6.0558e-08,,,,,,           -6.3113,           -4.9133,          -11.5665,           -9.6511,           23.6205,           -9.8693,          -20.5164,           -0.2610,            0.1529,           40.5700,
Ref 11,6.58666e-08,,,,,,1.1904e-02,4.1565e-03,4.8102e-05,4.5684e-06,5.8908e-08,,,,,,,,,,,
Sam 11,6.45534e-08,1.18292e-02,4.1362e-03,4.7547e-05,4.5226e-06,5.9445e-08,,,,,,           -6.3121,           -4.9146,          -11.5689,           -9.9355,            5.9396,           -9.8701,          -20.5178,           -0.2611,           -0.1317,           22.6000,
Ref 12,6.49026e-08,,,,,,1.1905e-02,4.1567e-03,4.8105e-05,4.5677e-06,5.9282e-08,,,,,,,,,,,
Sam 12,6.35625e-08,1.18293e-02,4.1364e-03,4.7545e-05,4.5216e-06,5.9609e-08,,,,,,           -6.3108,           -4.8976,          -11.6431,          -10.2158,            4.9924,           -9.8693,          -20.5010,           -0.3544,           -0.4490,           21.6013,
Ref 13,6.39574e-08,,,,,,1.1904e-02,4.1568e-03,4.8104e-05,4.5688e-06,5.9344e-08,,,,,,,,,,,
Sam 13,6.25950e-08,1.18293e-02,4.1365e-03,4.7548e-05,4.5222e-06,6.0656e-08,,,,,,           -6.3110,           -4.9059,          -11.5733,          -10.1696,           25.8959,           -9.8691,          -20.5091,           -0.2755,           -0.3857,           42.8674,
Ref 14,6.30320e-08,,,,,,1.1905e-02,4.1570e-03,4.8106e-05,4.5684e-06,5.8902e-08,,,,,,,,,,,
Sam 14,6.16529e-08,1.18295e-02,4.1367e-03,4.7557e-05,4.5249e-06,6.1020e-08,,,,,,           -6.3070,           -4.9102,          -11.4345,           -9.3604,           33.1867,           -9.8648,          -20.5134,           -0.1350,            0.4402,           50.2833,
Ref 15,6.21194e-08,,,,,,1.1905e-02,4.1571e-03,4.8109e-05,4.5668e-06,5.9221e-08,,,,,,,,,,,
Sam 15,6.07150e-08,1.18296e-02,4.1368e-03,4.7555e-05,4.5216e-06,6.1977e-08,,,,,,           -6.3178,           -4.9076,          -11.6033,           -9.9918,           14.9765,           -9.8764,          -20.5108,           -0.2970,           -0.2027,           31.7786,
Ref 16,6.12289e-08,,,,,,1.1905e-02,4.1572e-03,4.8117e-05,4.5676e-06,6.2932e-08,,,,,,,,,,,
Sam 16,5.98066e-08,1.18298e-02,4.1369e-03,4.7558e-05,4.5248e-06,6.1301e-08,,,,,,           -6.3057,           -4.9152,          -11.6852,           -9.5115,           -7.1233,           -9.8632,          -20.5184,           -0.3849,            0.2977,            9.3150,
Ref 17,6.03562e-08,,,,,,1.1905e-02,4.1574e-03,4.8124e-05,4.5689e-06,6.0533e-08,,,,,,,,,,,
Sam 17,5.89172e-08,1.18298e-02,4.1370e-03,4.7562e-05,4.5235e-06,6.0448e-08,,,,,,           -6.3113,           -4.9276,          -11.6186,          -10.0565,            5.3243,           -9.8687,          -20.5305,           -0.2996,           -0.2279,           21.9997,
Ref 18,5.94973e-08,,,,,,1.1905e-02,4.1575e-03,4.8118e-05,4.5700e-06,5.9718e-08,,,,,,,,,,,
Sam 18,5.80414e-08,1.18298e-02,4.1371e-03,4.7565e-05,4.5246e-06,6.0920e-08,,,,,,           -6.3178,           -4.9173,          -11.5219,           -9.7981,           27.6484,           -9.8760,          -20.5204,           -0.2051,            0.0124,           44.6800,
Ref 19,5.86518e-08,,,,,,1.1905e-02,4.1576e-03,4.8121e-05,4.5687e-06,5.8838e-08,,,,,,,,,,,
Sam 19,5.71802e-08,1.18300e-02,4.1372e-03,4.7566e-05,4.5235e-06,5.9586e-08,,,,,,           -6.3131,           -4.9189,          -11.6011,          -10.1286,            1.1179,           -9.8709,          -20.5219,           -0.2886,           -0.3182,           17.7080,
Ref 20,5.78224e-08,,,,,,1.1905e-02,4.1577e-03,4.8129e-05,4.5708e-06,6.0210e-08,,,,,,,,,,,
Sam 20,5.63304e-08,1.18302e-02,4.1374e-03,4.7567e-05,4.5249e-06,5.9542e-08,,,,,,           -6.3049,           -4.9091,          -11.6798,           -9.8520,           14.8597,           -9.8626,          -20.5123,           -0.3864,           -0.0586,           31.6485,
Ref 21,5.70064e-08,,,,,,1.1905e-02,4.1578e-03,4.8130e-05,4.5690e-06,5.7107e-08,,,,,,,,,,,


Ref 1,5.65979e-08,,,,,,1.1905e-02,4.1579e-03,4.8124e-05,4.5688e-06,5.7080e-08,,,,,,,,,,,
Sam 1,5.50837e-08,1.18302e-02,4.1375e-03,4.7574e-05,4.5254e-06,5.8763e-08,,,,,,           -6.3136,           -4.9359,          -11.4656,           -9.4021,           10.1172,           -9.8709,          -20.5387,           -0.1341,            0.4498,           26.8916,
Ref 2,5.58091e-08,,,,,,1.1905e-02,4.1580e-03,4.8127e-05,4.5678e-06,5.9284e-08,,,,,,,,,,,
Sam 2,5.42802e-08,1.18301e-02,4.1376e-03,4.7570e-05,4.5264e-06,6.0018e-08,,,,,,           -6.3235,           -4.9262,          -11.6232,           -9.1578,           16.3664,           -9.8818,          -20.5291,           -0.2929,            0.6769,           33.2356,
Ref 3,5.50367e-08,,,,,,1.1906e-02,4.1581e-03,4.8132e-05,4.5685e-06,5.8817e-08,,,,,,,,,,,
Sam 3,5.34820e-08,1.18302e-02,4.1377e-03,4.7576e-05,4.5244e-06,5.9410e-08,,,,,,           -6.3320,           -4.9238,          -11.5585,           -9.7070,            5.1234,           -9.8909,          -20.5267,           -0.2210,            0.1174,           21.8104,
Ref 4,5.42723e-08,,,,,,1.1906e-02,4.1583e-03,4.8134e-05,4.5690e-06,5.9401e-08,,,,,,,,,,,
Sam 4,5.26939e-08,1.18306e-02,4.1379e-03,4.7574e-05,4.5259e-06,5.9582e-08,,,,,,           -6.3127,           -4.9151,          -11.6421,           -9.0454,           13.1808,           -9.8706,          -20.5182,           -0.3343,            0.7681,           29.9627,
Ref 5,5.35112e-08,,,,,,1.1906e-02,4.1583e-03,4.8136e-05,4.5655e-06,5.8204e-08,,,,,,,,,,,
Sam 5,5.19185e-08,1.18304e-02,4.1379e-03,4.7579e-05,4.5236e-06,6.0624e-08,,,,,,           -6.3258,           -4.9373,          -11.5149,           -9.3760,           36.3924,           -9.8839,          -20.5401,           -0.1700,            0.4789,           53.6198,
Ref 6,5.27690e-08,,,,,,1.1906e-02,4.1585e-03,4.8130e-05,4.5673e-06,5.8789e-08,,,,,,,,,,,
Sam 6,5.11665e-08,1.18304e-02,4.1380e-03,4.7579e-05,4.5254e-06,5.9578e-08,,,,,,           -6.3328,           -4.9323,          -11.5114,           -9.4461,            9.1382,           -9.8914,          -20.5351,           -0.1642,            0.3980,           25.9100,
Ref 7,5.20408e-08,,,,,,1.1906e-02,4.1585e-03,4.8135e-05,4.5698e-06,5.9292e-08,,,,,,,,,,,
Sam 7,5.04224e-08,1.18306e-02,4.1381e-03,4.7575e-05,4.5249e-06,5.9880e-08,,,,,,           -6.3288,           -4.9346,          -11.6801,           -9.9443,           24.2278,           -9.8871,          -20.5374,           -0.3366,           -0.1005,           41.2507,
Ref 8,5.13238e-08,,,,,,1.1906e-02,4.1587e-03,4.8140e-05,4.5709e-06,5.7623e-08,,,,,,,,,,,
Sam 8,4.97021e-08,1.18306e-02,4.1382e-03,4.7579e-05,4.5246e-06,5.8366e-08,,,,,,           -6.3309,           -4.9326,          -11.6693,           -9.8776,            4.5763,           -9.8894,          -20.5354,           -0.3256,           -0.0371,           21.2709,
Ref 9,5.06222e-08,,,,,,1.1906e-02,4.1587e-03,4.8141e-05,4.5685e-06,5.8584e-08,,,,,,,,,,,
Sam 9,4.89906e-08,1.18306e-02,4.1383e-03,4.7586e-05,4.5244e-06,5.7801e-08,,,,,,           -6.3220,           -4.9284,          -11.4921,           -9.7244,          -11.8996,           -9.8801,          -20.5313,           -0.1597,            0.1091,            4.5034,
Ref 10,4.99284e-08,,,,,,1.1906e-02,4.1588e-03,4.8138e-05,4.5691e-06,5.8409e-08,,,,,,,,,,,
Sam 10,4.82943e-08,1.18306e-02,4.1383e-03,4.7588e-05,4.5241e-06,6.0530e-08,,,,,,           -6.3193,           -4.9266,          -11.5486,           -9.6621,           41.7138,           -9.8772,          -20.5296,           -0.2214,            0.1685,           58.9997,
Ref 11,4.92491e-08,,,,,,1.1906e-02,4.1588e-03,4.8150e-05,4.5674e-06,5.7799e-08,,,,,,,,,,,
Sam 11,4.76113e-08,1.18305e-02,4.1383e-03,4.7593e-05,4.5237e-06,5.8627e-08,,,,,,           -6.3381,           -4.9502,          -11.5646,           -9.6289,           11.8709,           -9.8965,          -20.5528,           -0.1947,            0.2495,           28.7305,
Ref 12,4.85946e-08,,,,,,1.1906e-02,4.1589e-03,4.8150e-05,4.5679e-06,5.8081e-08,,,,,,,,,,,
Sam 12,4.69497e-08,1.18305e-02,4.1384e-03,4.7592e-05,4.5238e-06,5.9102e-08,,,,,,           -6.3351,           -4.9257,          -11.6027,           -9.8300,           27.0365,           -9.8942,          -20.5286,           -0.2605,           -0.0028,           44.0948,
Ref 13,4.79523e-08,,,,,,1.1906e-02,4.1589e-03,4.8152e-05,4.5696e-06,5.7005e-08,,,,,,,,,,,
Sam 13,4.62930e-08,1.18305e-02,4.1385e-03,4.7590e-05,4.5260e-06,5.8029e-08,,,,,,           -6.3394,           -4.9415,          -11.6581,           -9.5542,           20.0604,           -9.8981,          -20.5441,           -0.2967,            0.3073,           37.0399,
Ref 14,4.73114e-08,,,,,,1.1906e-02,4.1591e-03,4.8152e-05,4.5696e-06,5.6768e-08,,,,,,,,,,,
Sam 14,4.56523e-08,1.18308e-02,4.1386e-03,4.7596e-05,4.5238e-06,5.7856e-08,,,,,,           -6.3305,           -4.9264,          -11.5928,           -9.9956,           18.6646,           -9.8892,          -20.5293,           -0.2547,           -0.1688,           35.5802,
Ref 15,4.66765e-08,,,,,,1.1906e-02,4.1592e-03,4.8156e-05,4.5694e-06,5.6824e-08,,,,,,,,,,,
Sam 15,4.50069e-08,1.18307e-02,4.1386e-03,4.7600e-05,4.5239e-06,5.7677e-08,,,,,,           -6.3389,           -4.9587,          -11.5365,           -9.7211,            8.4190,           -9.8970,          -20.5611,           -0.1571,            0.1734,           25.2391,
Ref 16,4.60490e-08,,,,,,1.1906e-02,4.1592e-03,4.8155e-05,4.5672e-06,5.7571e-08,,,,,,,,,,,
Sam 16,4.43845e-08,1.18308e-02,4.1387e-03,4.7597e-05,4.5197e-06,5.8530e-08,,,,,,           -6.3255,           -4.9483,          -11.6751,          -10.4215,            4.8126,           -9.8831,          -20.5509,           -0.3214,           -0.5548,           21.5370,
Ref 17,4.54404e-08,,,,,,1.1906e-02,4.1593e-03,4.8163e-05,4.5673e-06,5.8936e-08,,,,,,,,,,,
Sam 17,4.37697e-08,1.18307e-02,4.1388e-03,4.7602e-05,4.5240e-06,5.8645e-08,,,,,,           -6.3311,           -4.9260,          -11.5720,           -9.5973,           11.6225,           -9.8899,          -20.5290,           -0.2334,            0.2327,           28.4211,
Ref 18,4.48407e-08,,,,,,1.1906e-02,4.1592e-03,4.8156e-05,4.5683e-06,5.6993e-08,,,,,,,,,,,
Sam 18,4.31642e-08,1.18307e-02,4.1387e-03,4.7599e-05,4.5218e-06,5.8639e-08,,,,,,           -6.3362,           -4.9663,          -11.6435,          -10.2228,            7.3813,           -9.8939,          -20.5686,           -0.2605,           -0.3181,           24.1967,
Ref 19,4.42507e-08,,,,,,1.1906e-02,4.1595e-03,4.8163e-05,4.5686e-06,5.9442e-08,,,,,,,,,,,
Sam 19,4.25660e-08,1.18311e-02,4.1389e-03,4.7601e-05,4.5258e-06,5.8447e-08,,,,,,           -6.3236,           -4.9472,          -11.6486,           -9.2050,            7.9748,           -9.8811,          -20.5499,           -0.2977,            0.6716,           24.7476,
Ref 20,4.36696e-08,,,,,,1.1906e-02,4.1595e-03,4.8160e-05,4.5670e-06,5.6507e-08,,,,,,,,,,,
Sam 20,4.19809e-08,1.18309e-02,4.1389e-03,4.7602e-05,4.5245e-06,5.8959e-08,,,,,,           -6.3407,           -4.9631,          -11.5815,           -9.1762,           33.4325,           -9.8988,          -20.5654,           -0.1963,            0.7326,           50.6810,
Ref 21,4.30992e-08,,,,,,1.1906e-02,4.1596e-03,4.8159e-05,4.5658e-06,5.7603e-08,,,,,,,,,,,


Ref 1,4.28042e-08,,,,,,1.1906e-02,4.1596e-03,4.8161e-05,4.5679e-06,5.8025e-08,,,,,,,,,,,
Sam 1,4.11205e-08,1.18311e-02,4.1390e-03,4.7603e-05,4.5237e-06,5.8731e-08,,,,,,           -6.3241,           -4.9549,          -11.6118,           -9.3220,           10.8928,           -9.8815,          -20.5574,           -0.2523,            0.5687,           27.7301,
Ref 2,4.22471e-08,,,,,,1.1906e-02,4.1596e-03,4.8165e-05,4.5645e-06,5.8173e-08,,,,,,,,,,,
Sam 2,4.05636e-08,1.18311e-02,4.1391e-03,4.7605e-05,4.5234e-06,5.9066e-08,,,,,,           -6.3333,           -4.9415,          -11.6657,           -9.1912,           25.4587,           -9.8917,          -20.5442,           -0.3106,            0.6741,           42.5214,
Ref 3,4.16999e-08,,,,,,1.1907e-02,4.1597e-03,4.8169e-05,4.5663e-06,5.7019e-08,,,,,,,,,,,
Sam 3,4.00237e-08,1.18314e-02,4.1393e-03,4.7608e-05,4.5226e-06,5.8603e-08,,,,,,           -6.3161,           -4.9277,          -11.6780,           -9.5818,           31.9672,           -9.8738,          -20.5307,           -0.3545,            0.2518,           49.0902,
Ref 4,4.11614e-08,,,,,,1.1907e-02,4.1598e-03,4.8171e-05,4.5664e-06,5.6553e-08,,,,,,,,,,,
Sam 4,3.94882e-08,1.18310e-02,4.1392e-03,4.7611e-05,4.5238e-06,5.5775e-08,,,,,,           -6.3509,           -4.9572,          -11.6266,           -9.3221,          -14.9288,           -9.9099,          -20.5596,           -0.2373,            0.5733,            1.5118,
Ref 5,4.06341e-08,,,,,,1.1907e-02,4.1599e-03,4.8171e-05,4.5663e-06,5.6688e-08,,,,,,,,,,,
Sam 5,3.89640e-08,1.18314e-02,4.1394e-03,4.7611e-05,4.5208e-06,5.8389e-08,,,,,,           -6.3383,           -4.9345,          -11.6443,           -9.9602,           34.7627,           -9.8972,          -20.5373,           -0.2907,           -0.1167,           51.9711,
Ref 6,4.01138e-08,,,,,,1.1907e-02,4.1600e-03,4.8173e-05,4.5662e-06,5.6162e-08,,,,,,,,,,,
Sam 6,3.84510e-08,1.18317e-02,4.1395e-03,4.7615e-05,4.5243e-06,5.6903e-08,,,,,,           -6.3334,           -4.9491,          -11.6352,           -8.7648,           -1.1437,           -9.8915,          -20.5517,           -0.2720,            1.1199,           15.4918,
Ref 7,3.95974e-08,,,,,,1.1907e-02,4.1601e-03,4.8178e-05,4.5624e-06,5.7784e-08,,,,,,,,,,,
Sam 7,3.79471e-08,1.18315e-02,4.1395e-03,4.7625e-05,4.5224e-06,5.7135e-08,,,,,,           -6.3480,           -4.9569,          -11.4897,           -9.3076,           20.7599,           -9.9068,          -20.5594,           -0.1021,            0.5875,           37.7924,
Ref 8,3.90927e-08,,,,,,1.1907e-02,4.1601e-03,4.8179e-05,4.5674e-06,5.4139e-08,,,,,,,,,,,
Sam 8,3.74501e-08,1.18316e-02,4.1396e-03,4.7627e-05,4.5247e-06,5.6743e-08,,,,,,           -6.3242,           -4.9372,          -11.4045,           -9.3820,           37.2068,           -9.8822,          -20.5399,           -0.0601,            0.4726,           54.4455,
Ref 9,3.85943e-08,,,,,,1.1907e-02,4.1601e-03,4.8174e-05,4.5676e-06,5.5283e-08,,,,,,,,,,,
Sam 9,3.69658e-08,1.18310e-02,4.1394e-03,4.7614e-05,4.5209e-06,5.7094e-08,,,,,,           -6.3359,           -4.9574,          -11.6284,          -10.1829,           42.5634,           -9.8939,          -20.5598,           -0.2544,           -0.2957,           59.9468,
Ref 10,3.81052e-08,,,,,,1.1906e-02,4.1600e-03,4.8174e-05,4.5671e-06,5.4237e-08,,,,,,,,,,,
Sam 10,3.64867e-08,1.18304e-02,4.1394e-03,4.7622e-05,4.5217e-06,5.5761e-08,,,,,,           -6.3487,           -4.9522,          -11.4476,           -9.9086,           22.7365,           -9.9077,          -20.5547,           -0.0634,           -0.0290,           39.7929,
Ref 11,3.76227e-08,,,,,,1.1906e-02,4.1601e-03,4.8174e-05,4.5668e-06,5.4810e-08,,,,,,,,,,,
Sam 11,3.60168e-08,1.18302e-02,4.1394e-03,4.7616e-05,4.5217e-06,5.7695e-08,,,,,,           -6.3488,           -4.9686,          -11.5627,           -9.5735,           38.7429,           -9.9072,          -20.5708,           -0.1635,            0.3423,           56.1005,
Ref 12,3.71469e-08,,,,,,1.1906e-02,4.1601e-03,4.8172e-05,4.5640e-06,5.6287e-08,,,,,,,,,,,
Sam 12,3.55502e-08,1.18302e-02,4.1394e-03,4.7620e-05,4.5217e-06,5.7457e-08,,,,,,           -6.3464,           -4.9681,          -11.4864,           -9.3013,           16.8740,           -9.9046,          -20.5704,           -0.0893,            0.6163,           33.8626,
Ref 13,3.66818e-08,,,,,,1.1906e-02,4.1601e-03,4.8174e-05,4.5644e-06,5.6722e-08,,,,,,,,,,,
Sam 13,3.50952e-08,1.18303e-02,4.1395e-03,4.7620e-05,4.5217e-06,5.8813e-08,,,,,,           -6.3369,           -4.9685,          -11.6021,           -9.5062,           42.8918,           -9.8945,          -20.5708,           -0.2159,            0.4102,           60.3051,
Ref 14,3.62210e-08,,,,,,1.1906e-02,4.1602e-03,4.8184e-05,4.5659e-06,5.6062e-08,,,,,,,,,,,
Sam 14,3.46501e-08,1.18304e-02,4.1395e-03,4.7621e-05,4.5187e-06,5.7324e-08,,,,,,           -6.3316,           -4.9655,          -11.6490,          -10.1981,           26.4976,           -9.8891,          -20.5679,           -0.2716,           -0.2946,           43.6253,
Ref 15,3.57705e-08,,,,,,1.1906e-02,4.1602e-03,4.8180e-05,4.5646e-06,5.5623e-08,,,,,,,,,,,
Sam 15,3.42115e-08,1.18303e-02,4.1396e-03,4.7624e-05,4.5204e-06,5.6767e-08,,,,,,           -6.3316,           -4.9567,          -11.5369,           -9.8164,           32.1208,           -9.8893,          -20.5591,           -0.1671,            0.0731,           49.3238,
Ref 16,3.53283e-08,,,,,,1.1906e-02,4.1602e-03,4.8180e-05,4.5658e-06,5.4371e-08,,,,,,,,,,,
Sam 16,3.37833e-08,1.18303e-02,4.1396e-03,4.7624e-05,4.5198e-06,5.5417e-08,,,,,,           -6.3409,           -4.9685,          -11.5797,          -10.0655,           29.5530,           -9.8988,          -20.5707,           -0.1891,           -0.1549,           46.7480,
Ref 17,3.48928e-08,,,,,,1.1906e-02,4.1604e-03,4.8183e-05,4.5657e-06,5.3276e-08,,,,,,,,,,,
Sam 17,3.33563e-08,1.18309e-02,4.1398e-03,4.7624e-05,4.5220e-06,5.3452e-08,,,,,,           -6.3281,           -4.9481,          -11.5999,           -9.3742,          -14.0865,           -9.8859,          -20.5507,           -0.2430,            0.5024,            2.3257,
Ref 18,3.44618e-08,,,,,,1.1906e-02,4.1604e-03,4.8183e-05,4.5639e-06,5.5167e-08,,,,,,,,,,,
Sam 18,3.29388e-08,1.18311e-02,4.1399e-03,4.7625e-05,4.5222e-06,5.5340e-08,,,,,,           -6.3378,           -4.9611,          -11.6675,           -9.0405,           10.9376,           -9.8958,          -20.5635,           -0.2884,            0.8656,           27.8034,
Ref 19,3.40374e-08,,,,,,1.1907e-02,4.1606e-03,4.8191e-05,4.5631e-06,5.4310e-08,,,,,,,,,,,
Sam 19,3.25278e-08,1.18312e-02,4.1400e-03,4.7628e-05,4.5195e-06,5.6171e-08,,,,,,           -6.3537,           -4.9633,          -11.6125,           -9.5839,            6.7216,           -9.9126,          -20.5656,           -0.2141,            0.3212,           23.5389,
Ref 20,3.36218e-08,,,,,,1.1907e-02,4.1607e-03,4.8183e-05,4.5635e-06,5.7300e-08,,,,,,,,,,,
Sam 20,3.21274e-08,1.18315e-02,4.1401e-03,4.7630e-05,4.5175e-06,5.8006e-08,,,,,,           -6.3435,           -4.9575,          -11.6682,          -10.4536,            2.1415,           -9.9019,          -20.5599,           -0.2868,           -0.5688,           18.8595,
Ref 21,3.32142e-08,,,,,,1.1907e-02,4.1608e-03,4.8201e-05,4.5671e-06,5.8472e-08,,,,,,,,,,,


