Nu Stable Isotope Analysis Program
Data Collected on Friday, December 29, 2017 at 16:41 with Stable 1.69.5 on PS019,Reanalyzed on Friday, December 29, 2017 at 17:40 with Stable 1.69.5 on PS019

Data File = Data_3767 KDW2 64.8.txt,      Sample Weight = 435,                      Vial Location = 5,                        Initial Sam Beam = 1.0216e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9327e-08,                Max Ref Beam = 1.0718e-07,                
Analysis undertaken at mass 45.8015
Analysis undertaken at mass 45.8015
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.94115e-08,,,,,,1.1903e-02,4.1559e-03,4.8067e-05,4.5537e-06,6.0125e-08,,,,,,,,,,,
Sam 1,8.80777e-08,1.19748e-02,4.2099e-03,4.8984e-05,4.6758e-06,6.1667e-08,,,,,,            6.0779,           13.1920,           19.1351,           26.5069,           37.3405,            2.6831,           -2.7030,           -0.1886,           -0.0498,            4.4453,
Ref 2,8.78382e-08,,,,,,1.1901e-02,4.1544e-03,4.8062e-05,4.5565e-06,5.8757e-08,,,,,,,,,,,
Sam 2,8.57066e-08,1.19734e-02,4.2088e-03,4.8979e-05,4.6784e-06,6.1520e-08,,,,,,            6.0683,           13.1745,           19.1820,           26.5877,           42.3346,            2.6735,           -2.7203,           -0.1157,            0.0635,            9.3257,
Ref 3,8.53905e-08,,,,,,1.1901e-02,4.1539e-03,4.8053e-05,4.5580e-06,5.9294e-08,,,,,,,,,,,
Sam 3,8.31400e-08,1.19735e-02,4.2088e-03,4.8975e-05,4.6776e-06,6.1262e-08,,,,,,            6.0893,           13.2160,           19.1979,           26.1898,           35.4292,            2.6944,           -2.6794,           -0.1619,           -0.4060,            2.5358,
Ref 4,8.30301e-08,,,,,,1.1901e-02,4.1539e-03,4.8053e-05,4.5584e-06,5.9035e-08,,,,,,,,,,,
Sam 4,8.07112e-08,1.19738e-02,4.2091e-03,4.8982e-05,4.6810e-06,6.1375e-08,,,,,,            6.1114,           13.2531,           19.3128,           27.0661,           50.0579,            2.7166,           -2.6428,           -0.1079,            0.3742,           16.6028,
Ref 5,8.07886e-08,,,,,,1.1901e-02,4.1541e-03,4.8055e-05,4.5568e-06,5.7848e-08,,,,,,,,,,,
Sam 5,7.83846e-08,1.19741e-02,4.2093e-03,4.8983e-05,4.6784e-06,6.1621e-08,,,,,,            6.1125,           13.2539,           19.2311,           26.3799,           59.2384,            2.7178,           -2.6421,           -0.1900,           -0.2957,           25.4881,
Ref 6,7.86250e-08,,,,,,1.1902e-02,4.1544e-03,4.8062e-05,4.5595e-06,5.8510e-08,,,,,,,,,,,
Sam 6,7.61425e-08,1.19744e-02,4.2095e-03,4.8987e-05,4.6817e-06,6.1162e-08,,,,,,            6.1040,           13.2422,           19.1852,           26.7006,           41.0412,            2.7091,           -2.6536,           -0.2149,            0.0398,            7.9027,
Ref 7,7.65255e-08,,,,,,1.1902e-02,4.1547e-03,4.8067e-05,4.5604e-06,5.8998e-08,,,,,,,,,,,
Sam 7,7.39895e-08,1.19747e-02,4.2099e-03,4.8997e-05,4.6826e-06,6.1799e-08,,,,,,            6.0894,           13.2338,           19.2556,           26.6231,           53.9345,            2.6939,           -2.6618,           -0.1228,           -0.0191,           20.4179,
Ref 8,7.45097e-08,,,,,,1.1902e-02,4.1551e-03,4.8075e-05,4.5620e-06,5.8264e-08,,,,,,,,,,,
Sam 8,7.19354e-08,1.19754e-02,4.2103e-03,4.9000e-05,4.6830e-06,6.1562e-08,,,,,,            6.1149,           13.2559,           19.1419,           26.6214,           57.5016,            2.7202,           -2.6401,           -0.2818,           -0.0644,           23.8001,
Ref 9,7.25688e-08,,,,,,1.1903e-02,4.1554e-03,4.8084e-05,4.5611e-06,5.8164e-08,,,,,,,,,,,
Sam 9,6.99584e-08,1.19758e-02,4.2108e-03,4.9012e-05,4.6829e-06,6.0391e-08,,,,,,            6.1228,           13.2954,           19.3266,           26.4744,           41.5602,            2.7273,           -2.6013,           -0.1471,           -0.2854,            8.2811,
Ref 10,7.06988e-08,,,,,,1.1903e-02,4.1557e-03,4.8081e-05,4.5632e-06,5.7793e-08,,,,,,,,,,,
Sam 10,6.80444e-08,1.19759e-02,4.2110e-03,4.9011e-05,4.6846e-06,6.1348e-08,,,,,,            6.1015,           13.2566,           19.1825,           26.5784,           53.2234,            2.7060,           -2.6394,           -0.2289,           -0.1076,           19.6713,
Ref 11,6.88910e-08,,,,,,1.1903e-02,4.1561e-03,4.8096e-05,4.5635e-06,5.8715e-08,,,,,,,,,,,
Sam 11,6.62095e-08,1.19764e-02,4.2113e-03,4.9020e-05,4.6839e-06,6.0396e-08,,,,,,            6.1076,           13.2449,           19.1888,           26.1434,           30.2973,            2.7129,           -2.6509,           -0.2177,           -0.5083,           -2.5084,
Ref 12,6.71343e-08,,,,,,1.1904e-02,4.1563e-03,4.8097e-05,4.5656e-06,5.8523e-08,,,,,,,,,,,
Sam 12,6.44340e-08,1.19767e-02,4.2116e-03,4.9028e-05,4.6865e-06,6.1656e-08,,,,,,            6.1002,           13.2489,           19.3000,           26.6539,           55.9016,            2.7048,           -2.6470,           -0.1048,           -0.0188,           22.2809,
Ref 13,6.54434e-08,,,,,,1.1904e-02,4.1567e-03,4.8102e-05,4.5640e-06,5.8256e-08,,,,,,,,,,,
Sam 13,6.27329e-08,1.19770e-02,4.2119e-03,4.9033e-05,4.6859e-06,6.2863e-08,,,,,,            6.0983,           13.2507,           19.2615,           26.5361,           84.1733,            2.7028,           -2.6453,           -0.1425,           -0.1371,           49.6508,
Ref 14,6.38139e-08,,,,,,1.1905e-02,4.1570e-03,4.8111e-05,4.5656e-06,5.7701e-08,,,,,,,,,,,
Sam 14,6.10835e-08,1.19772e-02,4.2122e-03,4.9039e-05,4.6875e-06,6.1598e-08,,,,,,            6.0932,           13.2354,           19.2268,           26.6879,           69.7389,            2.6979,           -2.6603,           -0.1564,            0.0409,           35.7124,
Ref 15,6.22211e-08,,,,,,1.1905e-02,4.1574e-03,4.8118e-05,4.5657e-06,5.7460e-08,,,,,,,,,,,
Sam 15,5.94888e-08,1.19773e-02,4.2125e-03,4.9042e-05,4.6885e-06,6.0859e-08,,,,,,            6.0884,           13.2368,           19.2159,           26.8035,           51.0540,            2.6928,           -2.6589,           -0.1636,            0.1507,           17.6241,
Ref 16,6.06813e-08,,,,,,1.1905e-02,4.1576e-03,4.8117e-05,4.5665e-06,5.8358e-08,,,,,,,,,,,
Sam 16,5.79493e-08,1.19775e-02,4.2127e-03,4.9048e-05,4.6882e-06,6.0671e-08,,,,,,            6.0942,           13.2305,           19.2887,           26.6234,           41.8997,            2.6992,           -2.6652,           -0.0919,           -0.0122,            8.7673,
Ref 17,5.91952e-08,,,,,,1.1905e-02,4.1579e-03,4.8124e-05,4.5668e-06,5.8101e-08,,,,,,,,,,,
Sam 17,5.64672e-08,1.19777e-02,4.2131e-03,4.9054e-05,4.6888e-06,6.2336e-08,,,,,,            6.0956,           13.2477,           19.2296,           26.7515,           72.4707,            2.7000,           -2.6481,           -0.1681,            0.0784,           38.3298,
Ref 18,5.77552e-08,,,,,,1.1905e-02,4.1582e-03,4.8133e-05,4.5665e-06,5.8147e-08,,,,,,,,,,,
Sam 18,5.50298e-08,1.19777e-02,4.2133e-03,4.9061e-05,4.6891e-06,6.1040e-08,,,,,,            6.0848,           13.2181,           19.2663,           26.8646,           58.7850,            2.6896,           -2.6773,           -0.0923,            0.2471,           25.1504,
Ref 19,5.63581e-08,,,,,,1.1905e-02,4.1584e-03,4.8135e-05,4.5663e-06,5.7143e-08,,,,,,,,,,,
Sam 19,5.36453e-08,1.19779e-02,4.2135e-03,4.9064e-05,4.6867e-06,6.1029e-08,,,,,,            6.0802,           13.2153,           19.2706,           26.3429,           65.8075,            2.6848,           -2.6800,           -0.0807,           -0.2556,           31.9603,
Ref 20,5.49983e-08,,,,,,1.1906e-02,4.1586e-03,4.8138e-05,4.5666e-06,5.7382e-08,,,,,,,,,,,
Sam 20,5.23058e-08,1.19778e-02,4.2136e-03,4.9068e-05,4.6896e-06,5.9474e-08,,,,,,            6.0689,           13.1971,           19.2325,           26.8526,           42.2560,            2.6734,           -2.6980,           -0.0887,            0.2769,            9.2046,
Ref 21,5.36860e-08,,,,,,1.1905e-02,4.1588e-03,4.8147e-05,4.5674e-06,5.6736e-08,,,,,,,,,,,


Ref 1,5.30329e-08,,,,,,1.1906e-02,4.1588e-03,4.8145e-05,4.5678e-06,5.7219e-08,,,,,,,,,,,
Sam 1,5.03632e-08,1.19779e-02,4.2139e-03,4.9070e-05,4.6887e-06,6.0866e-08,,,,,,            6.0584,           13.1928,           19.1900,           26.4316,           69.8815,            2.6624,           -2.7021,           -0.1155,           -0.1248,           35.9740,
Ref 2,5.17904e-08,,,,,,1.1906e-02,4.1592e-03,4.8146e-05,4.5680e-06,5.6554e-08,,,,,,,,,,,
Sam 2,4.91279e-08,1.19781e-02,4.2141e-03,4.9073e-05,4.6900e-06,6.1246e-08,,,,,,            6.0558,           13.1892,           19.2099,           26.6466,           91.2102,            2.6597,           -2.7058,           -0.0898,            0.0919,           56.6373,
Ref 3,5.05785e-08,,,,,,1.1906e-02,4.1593e-03,4.8150e-05,4.5684e-06,5.5689e-08,,,,,,,,,,,
Sam 3,4.79327e-08,1.19780e-02,4.2141e-03,4.9076e-05,4.6882e-06,5.9875e-08,,,,,,            6.0617,           13.1769,           19.1915,           26.1595,           55.3545,            2.6664,           -2.7178,           -0.1020,           -0.3585,           21.9355,
Ref 4,4.94020e-08,,,,,,1.1906e-02,4.1594e-03,4.8155e-05,4.5689e-06,5.7805e-08,,,,,,,,,,,
Sam 4,4.67669e-08,1.19781e-02,4.2143e-03,4.9079e-05,4.6878e-06,5.9888e-08,,,,,,            6.0575,           13.1614,           19.1333,           26.0315,           34.8030,            2.6625,           -2.7331,           -0.1397,           -0.4525,            2.0695,
Ref 5,4.82491e-08,,,,,,1.1906e-02,4.1596e-03,4.8160e-05,4.5689e-06,5.7944e-08,,,,,,,,,,,
Sam 5,4.56337e-08,1.19781e-02,4.2145e-03,4.9086e-05,4.6897e-06,5.9600e-08,,,,,,            6.0511,           13.1688,           19.1622,           26.4983,            2.9441,            2.6554,           -2.7258,           -0.1120,           -0.0124,          -28.7891,
Ref 6,4.71387e-08,,,,,,1.1906e-02,4.1597e-03,4.8167e-05,4.5685e-06,6.0940e-08,,,,,,,,,,,
Sam 6,4.45383e-08,1.19782e-02,4.2145e-03,4.9089e-05,4.6875e-06,6.0094e-08,,,,,,            6.0590,           13.1629,           19.1139,           25.9361,           33.2700,            2.6640,           -2.7317,           -0.1617,           -0.5484,            0.5805,
Ref 7,4.60544e-08,,,,,,1.1906e-02,4.1599e-03,4.8169e-05,4.5695e-06,5.5312e-08,,,,,,,,,,,
Sam 7,4.34751e-08,1.19781e-02,4.2147e-03,4.9091e-05,4.6873e-06,5.9269e-08,,,,,,            6.0508,           13.1609,           19.1250,           25.9893,           56.9732,            2.6554,           -2.7336,           -0.1405,           -0.4927,           23.5466,
Ref 8,4.50014e-08,,,,,,1.1906e-02,4.1600e-03,4.8170e-05,4.5677e-06,5.6853e-08,,,,,,,,,,,
Sam 8,4.24500e-08,1.19784e-02,4.2148e-03,4.9091e-05,4.6899e-06,5.9040e-08,,,,,,            6.0613,           13.1685,           19.0856,           26.6539,           27.7975,            2.6663,           -2.7261,           -0.1972,            0.1398,           -4.7321,
Ref 9,4.39769e-08,,,,,,1.1906e-02,4.1601e-03,4.8173e-05,4.5686e-06,5.8048e-08,,,,,,,,,,,
Sam 9,4.14588e-08,1.19786e-02,4.2149e-03,4.9096e-05,4.6897e-06,5.9520e-08,,,,,,            6.0643,           13.1556,           19.1153,           26.3593,           34.9210,            2.6699,           -2.7389,           -0.1587,           -0.1217,            2.1879,
Ref 10,4.29836e-08,,,,,,1.1906e-02,4.1603e-03,4.8178e-05,4.5699e-06,5.6964e-08,,,,,,,,,,,
Sam 10,4.04994e-08,1.19785e-02,4.2150e-03,4.9093e-05,4.6902e-06,5.7703e-08,,,,,,            6.0674,           13.1496,           18.9802,           26.5155,           23.3367,            2.6734,           -2.7448,           -0.2886,            0.0424,           -9.0217,
Ref 11,4.20239e-08,,,,,,1.1906e-02,4.1603e-03,4.8180e-05,4.5683e-06,5.5796e-08,,,,,,,,,,,
Sam 11,3.95663e-08,1.19785e-02,4.2151e-03,4.9103e-05,4.6904e-06,5.9095e-08,,,,,,            6.0641,           13.1462,           19.0831,           26.5878,           59.2744,            2.6700,           -2.7481,           -0.1809,            0.1195,           25.7899,
Ref 12,4.10877e-08,,,,,,1.1906e-02,4.1605e-03,4.8188e-05,4.5697e-06,5.5780e-08,,,,,,,,,,,
Sam 12,3.86640e-08,1.19788e-02,4.2153e-03,4.9116e-05,4.6889e-06,6.3804e-08,,,,,,            6.0620,           13.1374,           19.2685,           26.2860,          152.4416,            2.6680,           -2.7567,            0.0117,           -0.1572,          116.0335,
Ref 13,4.01864e-08,,,,,,1.1907e-02,4.1607e-03,4.8188e-05,4.5679e-06,5.4939e-08,,,,,,,,,,,
Sam 13,3.77984e-08,1.19788e-02,4.2154e-03,4.9115e-05,4.6888e-06,6.1050e-08,,,,,,            6.0457,           13.1143,           19.2017,           26.2774,          101.8147,            2.6515,           -2.7795,           -0.0147,           -0.1199,           67.0724,
Ref 14,3.93187e-08,,,,,,1.1907e-02,4.1609e-03,4.8192e-05,4.5696e-06,5.5888e-08,,,,,,,,,,,
Sam 14,3.69641e-08,1.19790e-02,4.2156e-03,4.9119e-05,4.6893e-06,5.9380e-08,,,,,,            6.0533,           13.1375,           19.1701,           26.0032,           71.2534,            2.6588,           -2.7567,           -0.0760,           -0.4328,           37.4197,
Ref 15,3.84643e-08,,,,,,1.1907e-02,4.1610e-03,4.8197e-05,4.5713e-06,5.4963e-08,,,,,,,,,,,
Sam 15,3.61474e-08,1.19790e-02,4.2158e-03,4.9117e-05,4.6907e-06,5.7249e-08,,,,,,            6.0480,           13.1507,           19.1409,           26.2149,           47.7981,            2.6527,           -2.7437,           -0.1121,           -0.2526,           14.6848,
Ref 16,3.76361e-08,,,,,,1.1907e-02,4.1611e-03,4.8192e-05,4.5704e-06,5.4305e-08,,,,,,,,,,,
Sam 16,3.53487e-08,1.19795e-02,4.2159e-03,4.9119e-05,4.6900e-06,5.8017e-08,,,,,,            6.0555,           13.1146,           19.1058,           26.1534,           87.6130,            2.6619,           -2.7793,           -0.1191,           -0.2413,           53.3069,
Ref 17,3.68384e-08,,,,,,1.1908e-02,4.1615e-03,4.8205e-05,4.5704e-06,5.2360e-08,,,,,,,,,,,
Sam 17,3.45859e-08,1.19797e-02,4.2162e-03,4.9125e-05,4.6906e-06,5.7053e-08,,,,,,            6.0511,           13.1410,           19.0572,           26.3727,           87.0334,            2.6564,           -2.7532,           -0.1881,           -0.0799,           52.6964,
Ref 18,3.60538e-08,,,,,,1.1908e-02,4.1615e-03,4.8208e-05,4.5697e-06,5.2612e-08,,,,,,,,,,,
Sam 18,3.38254e-08,1.19795e-02,4.2162e-03,4.9122e-05,4.6935e-06,5.8208e-08,,,,,,            6.0481,           13.1385,           18.9711,           27.1783,          102.8603,            2.6533,           -2.7557,           -0.2669,            0.7100,           68.0321,
Ref 19,3.52829e-08,,,,,,1.1907e-02,4.1615e-03,4.8206e-05,4.5690e-06,5.2951e-08,,,,,,,,,,,
Sam 19,3.30862e-08,1.19797e-02,4.2162e-03,4.9136e-05,4.6905e-06,5.6828e-08,,,,,,            6.0660,           13.1348,           19.3048,           26.6343,           66.1740,            2.6724,           -2.7593,            0.0456,            0.1872,           32.4921,
Ref 20,3.45304e-08,,,,,,1.1908e-02,4.1616e-03,4.8205e-05,4.5687e-06,5.3659e-08,,,,,,,,,,,
Sam 20,3.23581e-08,1.19793e-02,4.2162e-03,4.9143e-05,4.6893e-06,6.3302e-08,,,,,,            6.0131,           13.0830,           19.3585,           26.2757,          170.3272,            2.6180,           -2.8103,            0.2028,           -0.0599,          133.5324,
Ref 21,3.38133e-08,,,,,,1.1908e-02,4.1619e-03,4.8214e-05,4.5698e-06,5.4527e-08,,,,,,,,,,,


Ref 1,3.34568e-08,,,,,,1.1908e-02,4.1619e-03,4.8213e-05,4.5671e-06,5.3922e-08,,,,,,,,,,,
Sam 1,3.13390e-08,1.19800e-02,4.2166e-03,4.9137e-05,4.6919e-06,5.9848e-08,,,,,,            6.0412,           13.1186,           19.0988,           26.8011,          100.7664,            2.6466,           -2.7752,           -0.1153,            0.3817,           66.0531,
Ref 2,3.27612e-08,,,,,,1.1908e-02,4.1621e-03,4.8220e-05,4.5719e-06,5.4827e-08,,,,,,,,,,,
Sam 2,3.06789e-08,1.19806e-02,4.2169e-03,4.9146e-05,4.6900e-06,5.8379e-08,,,,,,            6.0687,           13.1479,           19.1468,           26.0483,           88.3124,            2.6749,           -2.7465,           -0.1249,           -0.4095,           53.9014,
Ref 3,3.20818e-08,,,,,,1.1908e-02,4.1623e-03,4.8225e-05,4.5700e-06,5.2432e-08,,,,,,,,,,,
Sam 3,3.00350e-08,1.19806e-02,4.2170e-03,4.9144e-05,4.6907e-06,5.7987e-08,,,,,,            6.0590,           13.1339,           19.0927,           26.4601,          110.1068,            2.6650,           -2.7602,           -0.1543,            0.0193,           75.0469,
Ref 4,3.14186e-08,,,,,,1.1908e-02,4.1623e-03,4.8221e-05,4.5696e-06,5.2036e-08,,,,,,,,,,,
Sam 4,2.93998e-08,1.19807e-02,4.2169e-03,4.9151e-05,4.6913e-06,5.5944e-08,,,,,,            6.0909,           13.1340,           19.3201,           27.0909,           75.4471,            2.6989,           -2.7602,            0.0360,            0.6337,           41.4466,
Ref 5,3.07584e-08,,,,,,1.1908e-02,4.1621e-03,4.8219e-05,4.5656e-06,5.2002e-08,,,,,,,,,,,
Sam 5,2.87812e-08,1.19802e-02,4.2166e-03,4.9135e-05,4.6894e-06,5.4263e-08,,,,,,            6.0526,           13.0773,           18.8594,           26.8152,           29.0942,            2.6601,           -2.8160,           -0.3217,            0.4770,           -3.2909,
Ref 6,3.01302e-08,,,,,,1.1908e-02,4.1623e-03,4.8233e-05,4.5684e-06,5.3472e-08,,,,,,,,,,,
Sam 6,2.81938e-08,1.19800e-02,4.2168e-03,4.9142e-05,4.6867e-06,5.5559e-08,,,,,,            6.0240,           13.0726,           18.8799,           25.7337,           44.6446,            2.6299,           -2.8206,           -0.2678,           -0.5673,           11.8101,
Ref 7,2.95279e-08,,,,,,1.1908e-02,4.1624e-03,4.8229e-05,4.5698e-06,5.2891e-08,,,,,,,,,,,
Sam 7,2.76291e-08,1.19805e-02,4.2171e-03,4.9163e-05,4.6868e-06,5.9186e-08,,,,,,            6.0687,           13.1380,           19.3838,           26.0730,          129.5717,            2.6751,           -2.7562,            0.1174,           -0.3658,           93.8773,
Ref 8,2.89213e-08,,,,,,1.1908e-02,4.1624e-03,4.8226e-05,4.5655e-06,5.1892e-08,,,,,,,,,,,
Sam 8,2.70581e-08,1.19801e-02,4.2168e-03,4.9156e-05,4.6881e-06,5.5657e-08,,,,,,            6.0376,           13.0819,           19.3143,           27.0047,           80.1963,            2.6440,           -2.8114,            0.1355,            0.6526,           46.2104,
Ref 9,2.83271e-08,,,,,,1.1908e-02,4.1623e-03,4.8223e-05,4.5641e-06,5.1150e-08,,,,,,,,,,,
Sam 9,2.65125e-08,1.19803e-02,4.2169e-03,4.9145e-05,4.6872e-06,5.8124e-08,,,,,,            6.0404,           13.0751,           18.9878,           26.4822,          118.4498,            2.6473,           -2.8181,           -0.1812,            0.1569,           83.2713,
Ref 10,2.77719e-08,,,,,,1.1908e-02,4.1626e-03,4.8235e-05,4.5684e-06,5.2803e-08,,,,,,,,,,,
Sam 10,2.59877e-08,1.19807e-02,4.2171e-03,4.9160e-05,4.6867e-06,5.4867e-08,,,,,,            6.0717,           13.1048,           19.1991,           26.2083,           35.1690,            2.6795,           -2.7889,           -0.0347,           -0.1686,            2.5191,
Ref 11,2.72054e-08,,,,,,1.1908e-02,4.1625e-03,4.8233e-05,4.5656e-06,5.3206e-08,,,,,,,,,,,
Sam 11,2.54711e-08,1.19809e-02,4.2172e-03,4.9155e-05,4.6856e-06,5.5320e-08,,,,,,            6.0763,           13.1156,           19.0591,           26.3485,           45.2402,            2.6840,           -2.7783,           -0.1872,           -0.0533,           12.2464,
Ref 12,2.66800e-08,,,,,,1.1909e-02,4.1627e-03,4.8237e-05,4.5650e-06,5.2639e-08,,,,,,,,,,,
Sam 12,2.49702e-08,1.19809e-02,4.2174e-03,4.9154e-05,4.6865e-06,5.9115e-08,,,,,,            6.0565,           13.1203,           18.9883,           26.7006,          138.0837,            2.6628,           -2.7737,           -0.2410,            0.2805,          102.1723,
Ref 13,2.61493e-08,,,,,,1.1909e-02,4.1628e-03,4.8239e-05,4.5642e-06,5.1232e-08,,,,,,,,,,,
Sam 13,2.44815e-08,1.19810e-02,4.2174e-03,4.9167e-05,4.6844e-06,5.8995e-08,,,,,,            6.0540,           13.1188,           19.2866,           26.5341,          140.3193,            2.6602,           -2.7751,            0.0557,            0.1211,          104.3434,
Ref 14,2.56367e-08,,,,,,1.1909e-02,4.1629e-03,4.8235e-05,4.5624e-06,5.2249e-08,,,,,,,,,,,
Sam 14,2.40042e-08,1.19811e-02,4.2176e-03,4.9174e-05,4.6843e-06,5.7732e-08,,,,,,            6.0751,           13.1371,           19.4068,           26.9028,           96.0397,            2.6821,           -2.7571,            0.1342,            0.4443,           61.3994,
Ref 15,2.51392e-08,,,,,,1.1909e-02,4.1629e-03,4.8241e-05,4.5607e-06,5.3105e-08,,,,,,,,,,,
Sam 15,2.35394e-08,1.19810e-02,4.2176e-03,4.9175e-05,4.6844e-06,5.7034e-08,,,,,,            6.0741,           13.1694,           19.3356,           26.7883,           92.6718,            2.6799,           -2.7253,            0.0340,            0.2690,           58.0728,
Ref 16,2.46376e-08,,,,,,1.1909e-02,4.1627e-03,4.8243e-05,4.5636e-06,5.1269e-08,,,,,,,,,,,
Sam 16,2.30730e-08,1.19811e-02,4.2175e-03,4.9165e-05,4.6841e-06,5.7985e-08,,,,,,            6.0790,           13.1618,           19.1257,           26.5676,           85.0608,            2.6853,           -2.7328,           -0.1695,            0.0690,           50.7128,
Ref 17,2.41521e-08,,,,,,1.1909e-02,4.1627e-03,4.8241e-05,4.5621e-06,5.5653e-08,,,,,,,,,,,
Sam 17,2.26270e-08,1.19814e-02,4.2176e-03,4.9161e-05,4.6812e-06,5.8748e-08,,,,,,            6.1011,           13.1728,           19.0541,           26.1108,           83.0926,            2.7084,           -2.7220,           -0.2731,           -0.3977,           48.7600,
Ref 18,2.36853e-08,,,,,,1.1909e-02,4.1628e-03,4.8243e-05,4.5621e-06,5.2802e-08,,,,,,,,,,,
Sam 18,2.21959e-08,1.19814e-02,4.2176e-03,4.9168e-05,4.6860e-06,5.8778e-08,,,,,,            6.0926,           13.1601,           19.1738,           27.2171,          133.1965,            2.6999,           -2.7345,           -0.1346,            0.7052,           97.3127,
Ref 19,2.32305e-08,,,,,,1.1909e-02,4.1629e-03,4.8243e-05,4.5615e-06,5.0918e-08,,,,,,,,,,,
Sam 19,2.17778e-08,1.19815e-02,4.2178e-03,4.9169e-05,4.6806e-06,5.6655e-08,,,,,,            6.0931,           13.1775,           19.1703,           26.2487,          113.5845,            2.6998,           -2.7173,           -0.1555,           -0.2727,           78.2846,
Ref 20,2.27873e-08,,,,,,1.1909e-02,4.1629e-03,4.8245e-05,4.5603e-06,5.0833e-08,,,,,,,,,,,
Sam 20,2.13688e-08,1.19816e-02,4.2179e-03,4.9169e-05,4.6795e-06,5.8174e-08,,,,,,            6.1004,           13.2085,           19.1488,           26.1789,          153.9297,            2.7065,           -2.6868,           -0.2142,           -0.4018,          117.2750,
Ref 21,2.23542e-08,,,,,,1.1909e-02,4.1630e-03,4.8246e-05,4.5599e-06,4.9987e-08,,,,,,,,,,,


