Nu Stable Isotope Analysis Program
Data Collected on Saturday, December 30, 2017 at 00:05 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, December 30, 2017 at 01:04 with Stable 1.69.5 on PS019

Data File = Data_3772 MDE 293.4.txt,      Sample Weight = 466,                      Vial Location = 10,                       Initial Sam Beam = 1.7940e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5439e-08,                Max Ref Beam = 1.0701e-07,                
Analysis undertaken at mass 45.79739
Analysis undertaken at mass 45.79739
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.58399e-08,,,,,,1.1906e-02,4.1592e-03,4.8116e-05,4.5560e-06,5.6129e-08,,,,,,,,,,,
Sam 1,7.51484e-08,1.18555e-02,4.1940e-03,4.8294e-05,4.6342e-06,5.8307e-08,,,,,,           -4.1878,            8.4644,            3.7489,           16.7295,           35.1635,           -8.0721,           -7.3391,           -0.2297,           -0.2665,           22.6920,
Ref 2,7.51703e-08,,,,,,1.1905e-02,4.1584e-03,4.8110e-05,4.5600e-06,5.6525e-08,,,,,,,,,,,
Sam 2,7.41472e-08,1.18534e-02,4.1926e-03,4.8276e-05,4.6340e-06,5.8170e-08,,,,,,           -4.2550,            8.3463,            3.5628,           16.2847,           39.5524,           -8.1395,           -7.4553,           -0.2302,           -0.4697,           27.3385,
Ref 3,7.40331e-08,,,,,,1.1903e-02,4.1573e-03,4.8098e-05,4.5595e-06,5.5381e-08,,,,,,,,,,,
Sam 3,7.29418e-08,1.18524e-02,4.1918e-03,4.8261e-05,4.6318e-06,5.7024e-08,,,,,,           -4.2437,            8.3766,            3.5128,           16.1753,           32.4710,           -8.1286,           -7.4254,           -0.3213,           -0.6374,           20.2675,
Ref 4,7.29062e-08,,,,,,1.1902e-02,4.1567e-03,4.8085e-05,4.5566e-06,5.5077e-08,,,,,,,,,,,
Sam 4,7.17682e-08,1.18518e-02,4.1913e-03,4.8256e-05,4.6330e-06,5.6541e-08,,,,,,           -4.2439,            8.3715,            3.5401,           16.9248,           26.9400,           -8.1285,           -7.4305,           -0.2890,            0.1099,           14.8123,
Ref 5,7.17982e-08,,,,,,1.1902e-02,4.1563e-03,4.8087e-05,4.5552e-06,5.5038e-08,,,,,,,,,,,
Sam 5,7.06180e-08,1.18514e-02,4.1910e-03,4.8251e-05,4.6318e-06,5.6813e-08,,,,,,           -4.2426,            8.3798,            3.2948,           16.5650,          -30.1101,           -8.1274,           -7.4223,           -0.5428,           -0.2604,          -41.5810,
Ref 6,7.07103e-08,,,,,,1.1902e-02,4.1561e-03,4.8099e-05,4.5574e-06,6.2171e-08,,,,,,,,,,,
Sam 6,6.95004e-08,1.18512e-02,4.1909e-03,4.8249e-05,4.6326e-06,5.7596e-08,,,,,,           -4.2393,            8.3830,            3.3029,           16.7298,          -34.8022,           -8.1241,           -7.4192,           -0.5412,           -0.1047,          -46.2268,
Ref 7,6.96440e-08,,,,,,1.1902e-02,4.1561e-03,4.8080e-05,4.5554e-06,5.7136e-08,,,,,,,,,,,
Sam 7,6.84023e-08,1.18512e-02,4.1909e-03,4.8253e-05,4.6324e-06,5.7953e-08,,,,,,           -4.2407,            8.3813,            3.5712,           16.7132,           21.3844,           -8.1254,           -7.4209,           -0.2709,           -0.1177,            9.2995,
Ref 8,6.85955e-08,,,,,,1.1902e-02,4.1560e-03,4.8082e-05,4.5570e-06,5.6338e-08,,,,,,,,,,,
Sam 8,6.73248e-08,1.18512e-02,4.1909e-03,4.8248e-05,4.6327e-06,5.6307e-08,,,,,,           -4.2302,            8.3872,            3.4510,           16.7626,            3.3686,           -8.1146,           -7.4150,           -0.4073,           -0.0810,           -8.5257,
Ref 9,6.75719e-08,,,,,,1.1902e-02,4.1561e-03,4.8083e-05,4.5556e-06,5.5895e-08,,,,,,,,,,,
Sam 9,6.62602e-08,1.18512e-02,4.1910e-03,4.8249e-05,4.6325e-06,5.7886e-08,,,,,,           -4.2437,            8.3821,            3.4853,           16.7822,           30.8909,           -8.1288,           -7.4200,           -0.3541,           -0.0515,           18.6952,
Ref 10,6.65582e-08,,,,,,1.1902e-02,4.1562e-03,4.8080e-05,4.5566e-06,5.6413e-08,,,,,,,,,,,
Sam 10,6.52258e-08,1.18513e-02,4.1912e-03,4.8255e-05,4.6334e-06,5.6606e-08,,,,,,           -4.2392,            8.3999,            3.5797,           16.8882,           22.4629,           -8.1246,           -7.4025,           -0.2821,            0.0174,           10.3269,
Ref 11,6.55704e-08,,,,,,1.1902e-02,4.1563e-03,4.8086e-05,4.5564e-06,5.4296e-08,,,,,,,,,,,
Sam 11,6.42170e-08,1.18513e-02,4.1913e-03,4.8254e-05,4.6346e-06,5.6000e-08,,,,,,           -4.2489,            8.3829,            3.4788,           17.0888,           23.6781,           -8.1343,           -7.4192,           -0.3560,            0.2485,           11.5718,
Ref 12,6.46037e-08,,,,,,1.1902e-02,4.1565e-03,4.8088e-05,4.5571e-06,5.5119e-08,,,,,,,,,,,
Sam 12,6.32217e-08,1.18515e-02,4.1915e-03,4.8262e-05,4.6315e-06,5.6225e-08,,,,,,           -4.2336,            8.3963,            3.5584,           16.4657,           25.6910,           -8.1184,           -7.4061,           -0.3056,           -0.3908,           13.5178,
Ref 13,6.36626e-08,,,,,,1.1902e-02,4.1566e-03,4.8095e-05,4.5559e-06,5.4510e-08,,,,,,,,,,,
Sam 13,6.22596e-08,1.18516e-02,4.1916e-03,4.8262e-05,4.6340e-06,5.6821e-08,,,,,,           -4.2409,            8.3919,            3.5209,           16.9621,           32.4584,           -8.1261,           -7.4104,           -0.3311,            0.1061,           20.2216,
Ref 14,6.27279e-08,,,,,,1.1902e-02,4.1568e-03,4.8091e-05,4.5575e-06,5.5567e-08,,,,,,,,,,,
Sam 14,6.13060e-08,1.18516e-02,4.1918e-03,4.8258e-05,4.6340e-06,5.7081e-08,,,,,,           -4.2533,            8.3969,            3.4047,           16.6693,           20.1469,           -8.1394,           -7.4055,           -0.4389,           -0.1918,            8.0595,
Ref 15,6.18174e-08,,,,,,1.1902e-02,4.1570e-03,4.8099e-05,4.5586e-06,5.6345e-08,,,,,,,,,,,
Sam 15,6.03730e-08,1.18517e-02,4.1920e-03,4.8268e-05,4.6361e-06,5.8114e-08,,,,,,           -4.2425,            8.3824,            3.5089,           17.1076,           28.6189,           -8.1275,           -7.4198,           -0.3321,            0.2680,           16.4482,
Ref 16,6.09187e-08,,,,,,1.1902e-02,4.1572e-03,4.8100e-05,4.5576e-06,5.6651e-08,,,,,,,,,,,
Sam 16,5.94683e-08,1.18518e-02,4.1921e-03,4.8271e-05,4.6346e-06,5.7852e-08,,,,,,           -4.2497,            8.3710,            3.5680,           16.6500,           26.7343,           -8.1347,           -7.4309,           -0.2547,           -0.1595,           14.6161,
Ref 17,6.00488e-08,,,,,,1.1903e-02,4.1574e-03,4.8099e-05,4.5598e-06,5.6036e-08,,,,,,,,,,,
Sam 17,5.85703e-08,1.18520e-02,4.1924e-03,4.8277e-05,4.6365e-06,5.8834e-08,,,,,,           -4.2517,            8.3913,            3.5805,           16.8033,           40.7774,           -8.1375,           -7.4110,           -0.2599,           -0.0488,           28.4552,
Ref 18,5.91861e-08,,,,,,1.1903e-02,4.1576e-03,4.8110e-05,4.5599e-06,5.7029e-08,,,,,,,,,,,
Sam 18,5.76952e-08,1.18522e-02,4.1926e-03,4.8282e-05,4.6380e-06,5.9020e-08,,,,,,           -4.2525,            8.3871,            3.5959,           16.9497,           50.1215,           -8.1382,           -7.4151,           -0.2396,            0.1034,           37.6980,
Ref 19,5.83387e-08,,,,,,1.1903e-02,4.1578e-03,4.8107e-05,4.5615e-06,5.5365e-08,,,,,,,,,,,
Sam 19,5.68303e-08,1.18524e-02,4.1928e-03,4.8285e-05,4.6360e-06,5.7895e-08,,,,,,           -4.2427,            8.3862,            3.6108,           16.4242,           39.9868,           -8.1277,           -7.4160,           -0.2341,           -0.4115,           27.6742,
Ref 20,5.75059e-08,,,,,,1.1903e-02,4.1580e-03,4.8115e-05,4.5606e-06,5.5977e-08,,,,,,,,,,,
Sam 20,5.59812e-08,1.18526e-02,4.1930e-03,4.8286e-05,4.6375e-06,5.7607e-08,,,,,,           -4.2398,            8.3790,            3.5322,           16.6611,           33.8136,           -8.1244,           -7.4231,           -0.3084,           -0.1644,           21.5853,
Ref 21,5.66861e-08,,,,,,1.1903e-02,4.1582e-03,4.8117e-05,4.5624e-06,5.5465e-08,,,,,,,,,,,


Ref 1,5.62737e-08,,,,,,1.1903e-02,4.1582e-03,4.8115e-05,4.5605e-06,5.6767e-08,,,,,,,,,,,
Sam 1,5.47311e-08,1.18527e-02,4.1931e-03,4.8291e-05,4.6359e-06,5.7776e-08,,,,,,           -4.2392,            8.3746,            3.5602,           16.4316,           12.7852,           -8.1236,           -7.4275,           -0.2768,           -0.3813,            0.8135,
Ref 2,5.54877e-08,,,,,,1.1903e-02,4.1584e-03,4.8124e-05,4.5614e-06,5.7330e-08,,,,,,,,,,,
Sam 2,5.39219e-08,1.18528e-02,4.1933e-03,4.8296e-05,4.6356e-06,5.8023e-08,,,,,,           -4.2425,            8.3694,            3.6061,           16.1307,           13.7870,           -8.1270,           -7.4326,           -0.2226,           -0.6669,            1.8172,
Ref 3,5.47116e-08,,,,,,1.1904e-02,4.1586e-03,4.8121e-05,4.5626e-06,5.7136e-08,,,,,,,,,,,
Sam 3,5.31320e-08,1.18529e-02,4.1935e-03,4.8295e-05,4.6394e-06,5.7085e-08,,,,,,           -4.2592,            8.3609,            3.4781,           17.0954,           21.3699,           -8.1444,           -7.4409,           -0.3246,            0.2985,            9.3452,
Ref 4,5.39449e-08,,,,,,1.1904e-02,4.1588e-03,4.8134e-05,4.5602e-06,5.4627e-08,,,,,,,,,,,
Sam 4,5.23468e-08,1.18530e-02,4.1937e-03,4.8300e-05,4.6388e-06,5.8402e-08,,,,,,           -4.2544,            8.3684,            3.4781,           17.2031,           48.1290,           -8.1396,           -7.4335,           -0.3368,            0.3897,           35.7688,
Ref 5,5.31946e-08,,,,,,1.1904e-02,4.1589e-03,4.8132e-05,4.5606e-06,5.6830e-08,,,,,,,,,,,
Sam 5,5.15844e-08,1.18531e-02,4.1938e-03,4.8307e-05,4.6372e-06,5.7564e-08,,,,,,           -4.2533,            8.3758,            3.6039,           16.6965,           31.6296,           -8.1387,           -7.4263,           -0.2198,           -0.1231,           19.4482,
Ref 6,5.24522e-08,,,,,,1.1904e-02,4.1591e-03,4.8135e-05,4.5615e-06,5.4753e-08,,,,,,,,,,,
Sam 6,5.08306e-08,1.18530e-02,4.1939e-03,4.8309e-05,4.6396e-06,5.6711e-08,,,,,,           -4.2631,            8.3506,            3.6166,           17.2101,           26.1276,           -8.1483,           -7.4511,           -0.1724,            0.4319,           14.0716,
Ref 7,5.17260e-08,,,,,,1.1904e-02,4.1592e-03,4.8135e-05,4.5607e-06,5.5788e-08,,,,,,,,,,,
Sam 7,5.00874e-08,1.18532e-02,4.1940e-03,4.8312e-05,4.6387e-06,5.7017e-08,,,,,,           -4.2558,            8.3546,            3.6096,           16.7867,           18.2139,           -8.1406,           -7.4472,           -0.1909,            0.0076,            6.2352,
Ref 8,5.10046e-08,,,,,,1.1904e-02,4.1593e-03,4.8141e-05,4.5635e-06,5.6209e-08,,,,,,,,,,,
Sam 8,4.93647e-08,1.18531e-02,4.1942e-03,4.8308e-05,4.6396e-06,5.8866e-08,,,,,,           -4.2734,            8.3639,            3.4265,           16.7123,           45.8466,           -8.1596,           -7.4380,           -0.3642,           -0.0840,           33.5435,
Ref 9,5.03005e-08,,,,,,1.1904e-02,4.1595e-03,4.8144e-05,4.5633e-06,5.6363e-08,,,,,,,,,,,
Sam 9,4.86633e-08,1.18532e-02,4.1943e-03,4.8317e-05,4.6403e-06,5.7547e-08,,,,,,           -4.2688,            8.3619,            3.5691,           16.9696,           22.1582,           -8.1547,           -7.4399,           -0.2249,            0.1729,           10.1327,
Ref 10,4.96178e-08,,,,,,1.1904e-02,4.1596e-03,4.8147e-05,4.5625e-06,5.6234e-08,,,,,,,,,,,
Sam 10,4.79678e-08,1.18534e-02,4.1944e-03,4.8314e-05,4.6395e-06,5.7073e-08,,,,,,           -4.2640,            8.3531,            3.4140,           16.6301,           20.2190,           -8.1493,           -7.4486,           -0.3758,           -0.1434,            8.2286,
Ref 11,4.89383e-08,,,,,,1.1904e-02,4.1597e-03,4.8152e-05,4.5647e-06,5.5645e-08,,,,,,,,,,,
Sam 11,4.72902e-08,1.18535e-02,4.1945e-03,4.8320e-05,4.6397e-06,5.6102e-08,,,,,,           -4.2598,            8.3425,            3.4888,           16.6358,           -0.9566,           -8.1445,           -7.4591,           -0.2952,           -0.1168,          -12.6822,
Ref 12,4.82678e-08,,,,,,1.1904e-02,4.1598e-03,4.8152e-05,4.5628e-06,5.6673e-08,,,,,,,,,,,
Sam 12,4.66219e-08,1.18535e-02,4.1946e-03,4.8324e-05,4.6378e-06,5.7420e-08,,,,,,           -4.2632,            8.3575,            3.5551,           16.0327,           13.4159,           -8.1486,           -7.4443,           -0.2404,           -0.7397,            1.4959,
Ref 13,4.76124e-08,,,,,,1.1904e-02,4.1599e-03,4.8154e-05,4.5665e-06,5.6646e-08,,,,,,,,,,,
Sam 13,4.59767e-08,1.18534e-02,4.1946e-03,4.8326e-05,4.6404e-06,5.7039e-08,,,,,,           -4.2691,            8.3354,            3.5100,           16.3588,           11.2582,           -8.1541,           -7.4660,           -0.2577,           -0.3754,           -0.5872,
Ref 14,4.69741e-08,,,,,,1.1904e-02,4.1600e-03,4.8160e-05,4.5649e-06,5.6160e-08,,,,,,,,,,,
Sam 14,4.53328e-08,1.18534e-02,4.1947e-03,4.8338e-05,4.6438e-06,6.3475e-08,,,,,,           -4.2762,            8.3276,            3.7041,           17.4134,          139.5418,           -8.1614,           -7.4737,           -0.0493,            0.6775,          126.2197,
Ref 15,4.63368e-08,,,,,,1.1904e-02,4.1601e-03,4.8158e-05,4.5638e-06,5.5238e-08,,,,,,,,,,,
Sam 15,4.47068e-08,1.18536e-02,4.1948e-03,4.8335e-05,4.6407e-06,5.9472e-08,,,,,,           -4.2691,            8.3327,            3.6441,           16.5332,           66.0382,           -8.1540,           -7.4687,           -0.1215,           -0.1983,           53.5568,
Ref 16,4.57152e-08,,,,,,1.1905e-02,4.1602e-03,4.8161e-05,4.5667e-06,5.6345e-08,,,,,,,,,,,
Sam 16,4.40887e-08,1.18536e-02,4.1949e-03,4.8335e-05,4.6413e-06,5.8971e-08,,,,,,           -4.2725,            8.3439,            3.5882,           16.6128,           60.3615,           -8.1581,           -7.4577,           -0.1845,           -0.1422,           47.9276,
Ref 17,4.51064e-08,,,,,,1.1904e-02,4.1602e-03,4.8163e-05,4.5643e-06,5.4874e-08,,,,,,,,,,,
Sam 17,4.34876e-08,1.18536e-02,4.1949e-03,4.8332e-05,4.6419e-06,5.7891e-08,,,,,,           -4.2702,            8.3327,            3.4859,           16.9395,           52.7934,           -8.1552,           -7.4686,           -0.2779,            0.2012,           40.4682,
Ref 18,4.45094e-08,,,,,,1.1904e-02,4.1603e-03,4.8166e-05,4.5650e-06,5.5103e-08,,,,,,,,,,,
Sam 18,4.28938e-08,1.18535e-02,4.1950e-03,4.8335e-05,4.6427e-06,5.9980e-08,,,,,,           -4.2685,            8.3314,            3.5252,           16.9684,           84.1574,           -8.1533,           -7.4699,           -0.2393,            0.2321,           71.4657,
Ref 19,4.39245e-08,,,,,,1.1904e-02,4.1603e-03,4.8165e-05,4.5655e-06,5.5548e-08,,,,,,,,,,,
Sam 19,4.23161e-08,1.18536e-02,4.1951e-03,4.8344e-05,4.6409e-06,5.7934e-08,,,,,,           -4.2586,            8.3395,            3.6414,           16.1002,           37.1197,           -8.1430,           -7.4620,           -0.1417,           -0.6378,           24.9517,
Ref 20,4.33435e-08,,,,,,1.1904e-02,4.1604e-03,4.8173e-05,4.5693e-06,5.6177e-08,,,,,,,,,,,
Sam 20,4.17436e-08,1.18537e-02,4.1951e-03,4.8340e-05,4.6393e-06,5.8454e-08,,,,,,           -4.2511,            8.3226,            3.5264,           15.7727,           35.1588,           -8.1345,           -7.4787,           -0.2475,           -0.9264,           23.0394,
Ref 21,4.27655e-08,,,,,,1.1904e-02,4.1606e-03,4.8167e-05,4.5652e-06,5.6765e-08,,,,,,,,,,,


Ref 1,4.24809e-08,,,,,,1.1904e-02,4.1605e-03,4.8168e-05,4.5647e-06,5.5251e-08,,,,,,,,,,,
Sam 1,4.09024e-08,1.18535e-02,4.1952e-03,4.8342e-05,4.6430e-06,5.6684e-08,,,,,,           -4.2704,            8.3194,            3.6140,           16.9043,           25.8363,           -8.1549,           -7.4818,           -0.1371,            0.1930,           13.8532,
Ref 2,4.19325e-08,,,,,,1.1904e-02,4.1606e-03,4.8168e-05,4.5669e-06,5.5262e-08,,,,,,,,,,,
Sam 2,4.03621e-08,1.18535e-02,4.1952e-03,4.8350e-05,4.6420e-06,5.6973e-08,,,,,,           -4.2789,            8.3200,            3.7623,           16.4754,           34.9528,           -8.1640,           -7.4812,            0.0188,           -0.2300,           22.8714,
Ref 3,4.13923e-08,,,,,,1.1905e-02,4.1607e-03,4.8169e-05,4.5666e-06,5.4834e-08,,,,,,,,,,,
Sam 3,3.98248e-08,1.18537e-02,4.1953e-03,4.8342e-05,4.6410e-06,5.8029e-08,,,,,,           -4.2714,            8.3180,            3.5251,           16.5944,           65.3325,           -8.1560,           -7.4831,           -0.2232,           -0.1091,           52.8922,
Ref 4,4.08543e-08,,,,,,1.1905e-02,4.1608e-03,4.8174e-05,4.5639e-06,5.4102e-08,,,,,,,,,,,
Sam 4,3.93005e-08,1.18538e-02,4.1953e-03,4.8343e-05,4.6410e-06,5.8130e-08,,,,,,           -4.2661,            8.3136,            3.5035,           16.8306,           46.7057,           -8.1502,           -7.4875,           -0.2460,            0.1320,           34.4858,
Ref 5,4.03295e-08,,,,,,1.1905e-02,4.1607e-03,4.8175e-05,4.5646e-06,5.6988e-08,,,,,,,,,,,
Sam 5,3.87905e-08,1.18538e-02,4.1955e-03,4.8343e-05,4.6428e-06,5.9715e-08,,,,,,           -4.2617,            8.3386,            3.4441,           16.9738,           65.2170,           -8.1464,           -7.4629,           -0.3341,            0.2233,           52.7248,
Ref 6,3.98135e-08,,,,,,1.1904e-02,4.1608e-03,4.8179e-05,4.5660e-06,5.5117e-08,,,,,,,,,,,
Sam 6,3.82812e-08,1.18538e-02,4.1955e-03,4.8345e-05,4.6421e-06,5.7211e-08,,,,,,           -4.2586,            8.3236,            3.4419,           16.8308,           48.3710,           -8.1425,           -7.4777,           -0.3248,            0.1125,           36.1033,
Ref 7,3.93055e-08,,,,,,1.1904e-02,4.1608e-03,4.8180e-05,4.5645e-06,5.4019e-08,,,,,,,,,,,
Sam 7,3.84201e-08,1.18537e-02,4.1952e-03,4.8315e-05,4.6374e-06,5.8512e-08,,,,,,           -4.2676,            8.2580,            2.8540,           15.6861,           80.5198,           -8.1498,           -7.5423,           -0.8373,           -0.8835,           68.0227,
Ref 8,3.88810e-08,,,,,,1.1905e-02,4.1609e-03,4.8175e-05,4.5670e-06,5.4287e-08,,,,,,,,,,,
Sam 8,3.73709e-08,1.18536e-02,4.1955e-03,4.8350e-05,4.6449e-06,5.7815e-08,,,,,,           -4.2702,            8.3087,            3.6016,           17.4892,           59.8152,           -8.1543,           -7.4923,           -0.1392,            0.7895,           47.4569,
Ref 9,3.83909e-08,,,,,,1.1904e-02,4.1610e-03,4.8178e-05,4.5630e-06,5.4821e-08,,,,,,,,,,,
Sam 9,3.68889e-08,1.18536e-02,4.1956e-03,4.8353e-05,4.6445e-06,5.7092e-08,,,,,,           -4.2656,            8.3200,            3.5427,           17.4055,           46.1713,           -8.1498,           -7.4812,           -0.2137,            0.6848,           33.9442,
Ref 10,3.79020e-08,,,,,,1.1904e-02,4.1609e-03,4.8187e-05,4.5671e-06,5.4321e-08,,,,,,,,,,,
Sam 10,3.64163e-08,1.18537e-02,4.1956e-03,4.8357e-05,4.6417e-06,5.6154e-08,,,,,,           -4.2703,            8.3135,            3.5387,           16.7469,           27.6584,           -8.1546,           -7.4876,           -0.2065,            0.0499,           15.6657,
Ref 11,3.74293e-08,,,,,,1.1905e-02,4.1611e-03,4.8187e-05,4.5634e-06,5.4968e-08,,,,,,,,,,,
Sam 11,3.59522e-08,1.18538e-02,4.1957e-03,4.8360e-05,4.6422e-06,5.9391e-08,,,,,,           -4.2707,            8.3203,            3.5709,           17.2246,           58.9635,           -8.1553,           -7.4809,           -0.1806,            0.5063,           46.5919,
Ref 12,3.69612e-08,,,,,,1.1905e-02,4.1611e-03,4.8189e-05,4.5637e-06,5.7213e-08,,,,,,,,,,,
Sam 12,3.54960e-08,1.18538e-02,4.1958e-03,4.8373e-05,4.6452e-06,6.3997e-08,,,,,,           -4.2713,            8.3179,            3.8122,           17.5450,          133.4825,           -8.1558,           -7.4833,            0.0628,            0.8263,          120.2464,
Ref 13,3.64984e-08,,,,,,1.1905e-02,4.1612e-03,4.8190e-05,4.5665e-06,5.5699e-08,,,,,,,,,,,
Sam 13,3.50485e-08,1.18539e-02,4.1958e-03,4.8357e-05,4.6410e-06,5.7264e-08,,,,,,           -4.2707,            8.3049,            3.4262,           16.4219,           17.6354,           -8.1548,           -7.4961,           -0.3097,           -0.2527,            5.7770,
Ref 14,3.60456e-08,,,,,,1.1905e-02,4.1612e-03,4.8194e-05,4.5655e-06,5.6850e-08,,,,,,,,,,,
Sam 14,3.46034e-08,1.18540e-02,4.1959e-03,4.8359e-05,4.6451e-06,5.8176e-08,,,,,,           -4.2670,            8.3343,            3.4900,           17.4389,           24.4170,           -8.1518,           -7.4671,           -0.2786,            0.6894,           12.4176,
Ref 15,3.55973e-08,,,,,,1.1905e-02,4.1613e-03,4.8188e-05,4.5655e-06,5.6728e-08,,,,,,,,,,,
Sam 15,3.41730e-08,1.18539e-02,4.1959e-03,4.8362e-05,4.6428e-06,5.8631e-08,,,,,,           -4.2662,            8.3135,            3.5731,           16.8200,           47.7258,           -8.1502,           -7.4876,           -0.1765,            0.1218,           35.4944,
Ref 16,3.51575e-08,,,,,,1.1905e-02,4.1613e-03,4.8192e-05,4.5666e-06,5.5184e-08,,,,,,,,,,,
Sam 16,3.37461e-08,1.18540e-02,4.1960e-03,4.8362e-05,4.6426e-06,5.9469e-08,,,,,,           -4.2565,            8.3360,            3.5364,           17.0830,           50.0025,           -8.1407,           -7.4655,           -0.2450,            0.3359,           37.6882,
Ref 17,3.47244e-08,,,,,,1.1905e-02,4.1613e-03,4.8191e-05,4.5627e-06,5.8107e-08,,,,,,,,,,,
Sam 17,3.33235e-08,1.18538e-02,4.1960e-03,4.8365e-05,4.6421e-06,5.9777e-08,,,,,,           -4.2728,            8.3208,            3.5275,           17.1031,           41.2201,           -8.1575,           -7.4804,           -0.2222,            0.3858,           29.0572,
Ref 18,3.42961e-08,,,,,,1.1905e-02,4.1615e-03,4.8198e-05,4.5654e-06,5.6706e-08,,,,,,,,,,,
Sam 18,3.29088e-08,1.18538e-02,4.1961e-03,4.8372e-05,4.6423e-06,5.8015e-08,,,,,,           -4.2782,            8.3239,            3.6508,           16.8727,           25.8190,           -8.1634,           -7.4773,           -0.0968,            0.1529,           13.8357,
Ref 19,3.38753e-08,,,,,,1.1905e-02,4.1614e-03,4.8194e-05,4.5652e-06,5.6402e-08,,,,,,,,,,,
Sam 19,3.25025e-08,1.18538e-02,4.1960e-03,4.8375e-05,4.6416e-06,5.8960e-08,,,,,,           -4.2780,            8.3129,            3.7368,           16.7865,           61.0478,           -8.1628,           -7.4882,           -0.0004,            0.0901,           48.6755,
Ref 20,3.34602e-08,,,,,,1.1905e-02,4.1615e-03,4.8196e-05,4.5647e-06,5.4723e-08,,,,,,,,,,,
Sam 20,3.20973e-08,1.18539e-02,4.1961e-03,4.8368e-05,4.6424e-06,5.8646e-08,,,,,,           -4.2676,            8.3102,            3.4772,           16.6140,           69.4032,           -8.1516,           -7.4908,           -0.2674,           -0.0744,           56.9270,
Ref 21,3.30507e-08,,,,,,1.1905e-02,4.1615e-03,4.8204e-05,4.5683e-06,5.4958e-08,,,,,,,,,,,


