Nu Stable Isotope Analysis Program
Data Collected on Saturday, December 30, 2017 at 06:07 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, December 30, 2017 at 07:06 with Stable 1.69.5 on PS019

Data File = Data_3776 KDW2 64.8.txt,      Sample Weight = 478,                      Vial Location = 14,                       Initial Sam Beam = 1.2692e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.2096e-08,                Max Ref Beam = 1.0715e-07,                
Analysis undertaken at mass 45.79739
Analysis undertaken at mass 45.79739
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.40921e-08,,,,,,1.1910e-02,4.1635e-03,4.8198e-05,4.5654e-06,5.7916e-08,,,,,,,,,,,
Sam 1,5.35877e-08,1.19817e-02,4.2179e-03,4.9115e-05,4.6891e-06,6.0187e-08,,,,,,            6.0845,           13.1762,           19.0989,           26.4370,           42.9102,            2.6906,           -2.7186,           -0.2155,           -0.0868,            9.8624,
Ref 2,5.33815e-08,,,,,,1.1909e-02,4.1627e-03,4.8191e-05,4.5712e-06,5.7502e-08,,,,,,,,,,,
Sam 2,5.27564e-08,1.19797e-02,4.2167e-03,4.9101e-05,4.6883e-06,5.9451e-08,,,,,,            6.0495,           13.1185,           19.0387,           26.0201,           23.1041,            2.6554,           -2.7754,           -0.1827,           -0.3789,           -9.1684,
Ref 3,5.25412e-08,,,,,,1.1907e-02,4.1614e-03,4.8177e-05,4.5676e-06,5.8724e-08,,,,,,,,,,,
Sam 3,5.18963e-08,1.19778e-02,4.2155e-03,4.9090e-05,4.6866e-06,5.9581e-08,,,,,,            6.0312,           13.1162,           19.0993,           26.2869,           26.1936,            2.6361,           -2.7776,           -0.1023,           -0.1145,           -6.1528,
Ref 4,5.17341e-08,,,,,,1.1905e-02,4.1605e-03,4.8164e-05,4.5655e-06,5.7387e-08,,,,,,,,,,,
Sam 4,5.10969e-08,1.19769e-02,4.2149e-03,4.9076e-05,4.6879e-06,6.0482e-08,,,,,,            6.0346,           13.1286,           19.0019,           26.6167,           44.8752,            2.6392,           -2.7654,           -0.2133,            0.1824,           11.9121,
Ref 5,5.09865e-08,,,,,,1.1905e-02,4.1600e-03,4.8159e-05,4.5671e-06,5.8389e-08,,,,,,,,,,,
Sam 5,5.03388e-08,1.19764e-02,4.2146e-03,4.9067e-05,4.6858e-06,6.1055e-08,,,,,,            6.0504,           13.1331,           18.9626,           26.1408,           55.6299,            2.6558,           -2.7610,           -0.2724,           -0.2902,           22.3014,
Ref 6,5.02618e-08,,,,,,1.1904e-02,4.1598e-03,4.8148e-05,4.5658e-06,5.7278e-08,,,,,,,,,,,
Sam 6,4.96118e-08,1.19761e-02,4.2143e-03,4.9062e-05,4.6857e-06,6.0343e-08,,,,,,            6.0465,           13.1187,           18.9605,           26.2795,           46.5722,            2.6522,           -2.7752,           -0.2564,           -0.1266,           13.5622,
Ref 7,4.95634e-08,,,,,,1.1904e-02,4.1597e-03,4.8149e-05,4.5656e-06,5.8042e-08,,,,,,,,,,,
Sam 7,4.89026e-08,1.19759e-02,4.2143e-03,4.9062e-05,4.6841e-06,6.0183e-08,,,,,,            6.0438,           13.1150,           18.9981,           26.1608,           33.0515,            2.6495,           -2.7788,           -0.2132,           -0.2350,            0.4779,
Ref 8,4.88869e-08,,,,,,1.1904e-02,4.1598e-03,4.8144e-05,4.5638e-06,5.8476e-08,,,,,,,,,,,
Sam 8,4.82146e-08,1.19758e-02,4.2143e-03,4.9062e-05,4.6859e-06,6.0393e-08,,,,,,            6.0332,           13.1031,           19.0203,           26.6083,           28.1221,            2.6386,           -2.7906,           -0.1690,            0.2246,           -4.2618,
Ref 9,4.82236e-08,,,,,,1.1904e-02,4.1597e-03,4.8149e-05,4.5652e-06,5.9009e-08,,,,,,,,,,,
Sam 9,4.75413e-08,1.19759e-02,4.2143e-03,4.9067e-05,4.6858e-06,6.0466e-08,,,,,,            6.0435,           13.1081,           19.0493,           26.2549,           31.9627,            2.6494,           -2.7856,           -0.1560,           -0.1296,           -0.5627,
Ref 10,4.75726e-08,,,,,,1.1904e-02,4.1598e-03,4.8151e-05,4.5668e-06,5.8171e-08,,,,,,,,,,,
Sam 10,4.68807e-08,1.19759e-02,4.2144e-03,4.9068e-05,4.6865e-06,6.0410e-08,,,,,,            6.0449,           13.1163,           19.0330,           26.4533,           40.7280,            2.6506,           -2.7776,           -0.1814,            0.0475,            7.9087,
Ref 11,4.69270e-08,,,,,,1.1904e-02,4.1598e-03,4.8153e-05,4.5646e-06,5.7919e-08,,,,,,,,,,,
Sam 11,4.62288e-08,1.19757e-02,4.2144e-03,4.9069e-05,4.6891e-06,5.9981e-08,,,,,,            6.0330,           13.1325,           18.9942,           26.9694,           26.7635,            2.6374,           -2.7616,           -0.2229,            0.5183,           -5.6341,
Ref 12,4.62971e-08,,,,,,1.1904e-02,4.1598e-03,4.8156e-05,4.5673e-06,5.8923e-08,,,,,,,,,,,
Sam 12,4.55879e-08,1.19757e-02,4.2144e-03,4.9068e-05,4.6863e-06,6.1766e-08,,,,,,            6.0379,           13.1239,           18.9698,           26.1957,           53.1698,            2.6430,           -2.7700,           -0.2437,           -0.2186,           19.9506,
Ref 13,4.56806e-08,,,,,,1.1904e-02,4.1598e-03,4.8153e-05,4.5662e-06,5.8368e-08,,,,,,,,,,,
Sam 13,4.49678e-08,1.19755e-02,4.2144e-03,4.9071e-05,4.6857e-06,6.0363e-08,,,,,,            6.0351,           13.1188,           19.0121,           26.3007,           37.0132,            2.6401,           -2.7750,           -0.1942,           -0.1062,            4.3166,
Ref 14,4.50771e-08,,,,,,1.1904e-02,4.1598e-03,4.8158e-05,4.5651e-06,5.8047e-08,,,,,,,,,,,
Sam 14,4.43549e-08,1.19756e-02,4.2145e-03,4.9072e-05,4.6858e-06,6.0206e-08,,,,,,            6.0426,           13.1249,           18.9612,           26.3110,           39.8624,            2.6478,           -2.7691,           -0.2578,           -0.1082,            7.0561,
Ref 15,4.44789e-08,,,,,,1.1904e-02,4.1599e-03,4.8161e-05,4.5662e-06,5.7746e-08,,,,,,,,,,,
Sam 15,4.37532e-08,1.19756e-02,4.2145e-03,4.9075e-05,4.6874e-06,5.9852e-08,,,,,,            6.0455,           13.1073,           18.9339,           26.6155,           48.6822,            2.6516,           -2.7864,           -0.2705,            0.2232,           15.6292,
Ref 16,4.38914e-08,,,,,,1.1904e-02,4.1600e-03,4.8166e-05,4.5656e-06,5.6393e-08,,,,,,,,,,,
Sam 16,4.31606e-08,1.19755e-02,4.2145e-03,4.9079e-05,4.6871e-06,6.1925e-08,,,,,,            6.0242,           13.1058,           18.9993,           26.3854,           84.5673,            2.6289,           -2.7878,           -0.1830,            0.0020,           50.4100,
Ref 17,4.33127e-08,,,,,,1.1904e-02,4.1601e-03,4.8162e-05,4.5677e-06,5.7811e-08,,,,,,,,,,,
Sam 17,4.25779e-08,1.19755e-02,4.2146e-03,4.9076e-05,4.6876e-06,6.0253e-08,,,,,,            6.0201,           13.1097,           18.9302,           26.3077,           33.9120,            2.6245,           -2.7840,           -0.2504,           -0.0813,            1.3468,
Ref 18,4.27426e-08,,,,,,1.1904e-02,4.1601e-03,4.8166e-05,4.5672e-06,5.8749e-08,,,,,,,,,,,
Sam 18,4.20100e-08,1.19758e-02,4.2147e-03,4.9080e-05,4.6873e-06,6.0523e-08,,,,,,            6.0390,           13.1126,           18.9834,           26.2282,           24.6119,            2.6445,           -2.7812,           -0.2204,           -0.1645,           -7.6857,
Ref 19,4.21890e-08,,,,,,1.1904e-02,4.1602e-03,4.8165e-05,4.5679e-06,5.9393e-08,,,,,,,,,,,
Sam 19,4.14537e-08,1.19758e-02,4.2148e-03,4.9082e-05,4.6853e-06,6.2763e-08,,,,,,            6.0327,           13.1154,           18.9841,           25.6304,           56.0495,            2.6377,           -2.7784,           -0.2160,           -0.7524,           22.7621,
Ref 20,4.16464e-08,,,,,,1.1904e-02,4.1602e-03,4.8169e-05,4.5686e-06,5.9471e-08,,,,,,,,,,,
Sam 20,4.08990e-08,1.19758e-02,4.2147e-03,4.9087e-05,4.6874e-06,6.2053e-08,,,,,,            6.0433,           13.1077,           19.0508,           26.2449,           54.3068,            2.6492,           -2.7860,           -0.1539,           -0.1387,           21.0781,
Ref 21,4.11059e-08,,,,,,1.1904e-02,4.1602e-03,4.8169e-05,4.5664e-06,5.8234e-08,,,,,,,,,,,


Ref 1,4.08384e-08,,,,,,1.1904e-02,4.1602e-03,4.8169e-05,4.5676e-06,5.8598e-08,,,,,,,,,,,
Sam 1,4.00878e-08,1.19755e-02,4.2148e-03,4.9084e-05,4.6861e-06,6.1730e-08,,,,,,            6.0300,           13.1110,           18.9602,           25.8209,           48.8847,            2.6349,           -2.7827,           -0.2324,           -0.5582,           15.8347,
Ref 2,4.03185e-08,,,,,,1.1904e-02,4.1603e-03,4.8172e-05,4.5688e-06,5.9110e-08,,,,,,,,,,,
Sam 2,3.95570e-08,1.19757e-02,4.2148e-03,4.9087e-05,4.6863e-06,6.1496e-08,,,,,,            6.0376,           13.1117,           18.9763,           26.0113,           48.2062,            2.6430,           -2.7820,           -0.2251,           -0.3741,           15.1680,
Ref 3,3.98022e-08,,,,,,1.1904e-02,4.1603e-03,4.8173e-05,4.5663e-06,5.8219e-08,,,,,,,,,,,
Sam 3,3.90342e-08,1.19757e-02,4.2149e-03,4.9083e-05,4.6856e-06,5.8155e-08,,,,,,            6.0390,           13.1027,           18.8524,           25.7731,            0.7578,            2.6449,           -2.7909,           -0.3394,           -0.5885,          -30.7695,
Ref 4,3.92916e-08,,,,,,1.1904e-02,4.1604e-03,4.8176e-05,4.5696e-06,5.8002e-08,,,,,,,,,,,
Sam 4,3.85157e-08,1.19757e-02,4.2150e-03,4.9085e-05,4.6878e-06,5.8571e-08,,,,,,            6.0367,           13.1102,           18.9483,           25.8246,            5.8944,            2.6421,           -2.7835,           -0.2502,           -0.5530,          -25.8064,
Ref 5,3.87865e-08,,,,,,1.1904e-02,4.1605e-03,4.8169e-05,4.5701e-06,5.8457e-08,,,,,,,,,,,
Sam 5,3.80145e-08,1.19758e-02,4.2149e-03,4.9087e-05,4.6883e-06,6.0929e-08,,,,,,            6.0414,           13.0931,           18.9660,           26.2172,           38.0303,            2.6477,           -2.8004,           -0.2210,           -0.1368,            5.3451,
Ref 6,3.83000e-08,,,,,,1.1904e-02,4.1605e-03,4.8178e-05,4.5670e-06,5.8939e-08,,,,,,,,,,,
Sam 6,3.75118e-08,1.19757e-02,4.2150e-03,4.9090e-05,4.6876e-06,6.1707e-08,,,,,,            6.0327,           13.1011,           18.9307,           26.3689,           50.2996,            2.6382,           -2.7924,           -0.2546,           -0.0048,           17.2215,
Ref 7,3.78099e-08,,,,,,1.1904e-02,4.1606e-03,4.8177e-05,4.5673e-06,5.8563e-08,,,,,,,,,,,
Sam 7,3.70258e-08,1.19756e-02,4.2151e-03,4.9085e-05,4.6869e-06,6.1571e-08,,,,,,            6.0179,           13.0998,           18.8495,           26.1194,           67.8103,            2.6225,           -2.7938,           -0.3178,           -0.2452,           34.1996,
Ref 8,3.73340e-08,,,,,,1.1904e-02,4.1606e-03,4.8178e-05,4.5678e-06,5.6747e-08,,,,,,,,,,,
Sam 8,3.65462e-08,1.19759e-02,4.2151e-03,4.9092e-05,4.6861e-06,5.9786e-08,,,,,,            6.0336,           13.0967,           18.9735,           25.8040,           48.7702,            2.6392,           -2.7968,           -0.2092,           -0.5465,           15.7481,
Ref 9,3.68668e-08,,,,,,1.1904e-02,4.1606e-03,4.8177e-05,4.5686e-06,5.7267e-08,,,,,,,,,,,
Sam 9,3.60801e-08,1.19759e-02,4.2152e-03,4.9094e-05,4.6875e-06,6.1133e-08,,,,,,            6.0343,           13.1122,           18.9795,           25.9196,           54.0731,            2.6395,           -2.7816,           -0.2190,           -0.4644,           20.8526,
Ref 10,3.64020e-08,,,,,,1.1904e-02,4.1607e-03,4.8182e-05,4.5696e-06,5.8735e-08,,,,,,,,,,,
Sam 10,3.56160e-08,1.19760e-02,4.2152e-03,4.9103e-05,4.6857e-06,6.1673e-08,,,,,,            6.0414,           13.0974,           19.0700,           25.8062,           42.4266,            2.6475,           -2.7962,           -0.1231,           -0.5457,            9.5946,
Ref 11,3.59480e-08,,,,,,1.1904e-02,4.1607e-03,4.8185e-05,4.5661e-06,5.9596e-08,,,,,,,,,,,
Sam 11,3.51624e-08,1.19760e-02,4.2153e-03,4.9095e-05,4.6873e-06,6.2209e-08,,,,,,            6.0378,           13.1084,           18.8696,           26.4474,           56.0983,            2.6433,           -2.7853,           -0.3268,            0.0572,           22.8176,
Ref 12,3.55109e-08,,,,,,1.1904e-02,4.1608e-03,4.8186e-05,4.5670e-06,5.8205e-08,,,,,,,,,,,
Sam 12,3.47245e-08,1.19760e-02,4.2154e-03,4.9096e-05,4.6858e-06,6.0826e-08,,,,,,            6.0379,           13.1100,           18.9032,           25.5064,           43.1518,            2.6434,           -2.7838,           -0.2954,           -0.8625,           10.2760,
Ref 13,3.50766e-08,,,,,,1.1904e-02,4.1608e-03,4.8184e-05,4.5715e-06,5.8416e-08,,,,,,,,,,,
Sam 13,3.42870e-08,1.19759e-02,4.2153e-03,4.9103e-05,4.6885e-06,6.0314e-08,,,,,,            6.0243,           13.1006,           18.9448,           25.8948,           19.5775,            2.6293,           -2.7930,           -0.2316,           -0.4657,          -12.5232,
Ref 14,3.46495e-08,,,,,,1.1904e-02,4.1608e-03,4.8195e-05,4.5688e-06,5.9905e-08,,,,,,,,,,,
Sam 14,3.38569e-08,1.19761e-02,4.2153e-03,4.9100e-05,4.6917e-06,6.1450e-08,,,,,,            6.0323,           13.0938,           18.8084,           26.7395,           28.8042,            2.6379,           -2.7997,           -0.3670,            0.3707,           -3.5822,
Ref 15,3.42243e-08,,,,,,1.1904e-02,4.1609e-03,4.8193e-05,4.5702e-06,5.9552e-08,,,,,,,,,,,
Sam 15,3.34335e-08,1.19760e-02,4.2155e-03,4.9105e-05,4.6887e-06,6.1982e-08,,,,,,            6.0254,           13.0993,           18.9971,           26.3367,           38.9632,            2.6304,           -2.7943,           -0.1801,           -0.0326,            6.2536,
Ref 16,3.38064e-08,,,,,,1.1904e-02,4.1610e-03,4.8186e-05,4.5665e-06,5.9764e-08,,,,,,,,,,,
Sam 16,3.30188e-08,1.19761e-02,4.2154e-03,4.9104e-05,4.6897e-06,6.2641e-08,,,,,,            6.0362,           13.0874,           18.9210,           26.8356,           32.3447,            2.6424,           -2.8060,           -0.2543,            0.4769,           -0.1450,
Ref 17,3.34006e-08,,,,,,1.1904e-02,4.1610e-03,4.8198e-05,4.5679e-06,6.1604e-08,,,,,,,,,,,
Sam 17,3.26045e-08,1.19760e-02,4.2155e-03,4.9105e-05,4.6908e-06,6.0969e-08,,,,,,            6.0225,           13.0925,           18.8345,           27.0978,           11.7034,            2.6276,           -2.8010,           -0.3300,            0.7225,          -20.1320,
Ref 18,3.29959e-08,,,,,,1.1904e-02,4.1611e-03,4.8197e-05,4.5662e-06,5.8908e-08,,,,,,,,,,,
Sam 18,3.21974e-08,1.19761e-02,4.2155e-03,4.9103e-05,4.6872e-06,6.1368e-08,,,,,,            6.0237,           13.0787,           18.7973,           26.1213,           54.9774,            2.6294,           -2.8146,           -0.3544,           -0.2017,           21.8062,
Ref 19,3.25998e-08,,,,,,1.1904e-02,4.1612e-03,4.8197e-05,4.5696e-06,5.7424e-08,,,,,,,,,,,
Sam 19,3.17944e-08,1.19763e-02,4.2156e-03,4.9113e-05,4.6885e-06,5.9463e-08,,,,,,            6.0357,           13.0843,           18.9846,           26.0358,           23.4324,            2.6420,           -2.8090,           -0.1884,           -0.2962,           -8.7704,
Ref 20,3.22051e-08,,,,,,1.1904e-02,4.1611e-03,4.8199e-05,4.5695e-06,5.8788e-08,,,,,,,,,,,
Sam 20,3.13982e-08,1.19762e-02,4.2156e-03,4.9105e-05,4.6878e-06,5.9861e-08,,,,,,            6.0288,           13.0926,           18.8538,           25.7780,           35.8609,            2.6344,           -2.8009,           -0.3178,           -0.5637,            3.2584,
Ref 21,3.18159e-08,,,,,,1.1904e-02,4.1612e-03,4.8195e-05,4.5705e-06,5.6776e-08,,,,,,,,,,,


Ref 1,3.16197e-08,,,,,,1.1904e-02,4.1611e-03,4.8195e-05,4.5690e-06,5.6970e-08,,,,,,,,,,,
Sam 1,3.08145e-08,1.19760e-02,4.2156e-03,4.9115e-05,4.6902e-06,6.2254e-08,,,,,,            6.0234,           13.0822,           19.1013,           26.2685,           96.2724,            2.6289,           -2.8111,           -0.0593,           -0.0653,           61.7959,
Ref 2,3.12412e-08,,,,,,1.1904e-02,4.1612e-03,4.8195e-05,4.5714e-06,5.6601e-08,,,,,,,,,,,
Sam 2,3.04386e-08,1.19763e-02,4.2157e-03,4.9113e-05,4.6900e-06,6.0361e-08,,,,,,            6.0347,           13.1045,           18.9634,           26.1725,           38.4663,            2.6401,           -2.7892,           -0.2278,           -0.2028,            5.7523,
Ref 3,3.08671e-08,,,,,,1.1905e-02,4.1612e-03,4.8204e-05,4.5694e-06,5.9668e-08,,,,,,,,,,,
Sam 3,3.00677e-08,1.19765e-02,4.2157e-03,4.9118e-05,4.6885e-06,6.2046e-08,,,,,,            6.0300,           13.0989,           19.0284,           26.0978,           59.2210,            2.6354,           -2.7946,           -0.1538,           -0.2646,           25.8694,
Ref 4,3.05003e-08,,,,,,1.1905e-02,4.1613e-03,4.8198e-05,4.5691e-06,5.7472e-08,,,,,,,,,,,
Sam 4,2.97041e-08,1.19764e-02,4.2158e-03,4.9117e-05,4.6897e-06,6.0469e-08,,,,,,            6.0216,           13.0787,           19.0294,           26.2701,           40.1354,            2.6271,           -2.8146,           -0.1245,           -0.0568,            7.4332,
Ref 5,3.01388e-08,,,,,,1.1905e-02,4.1614e-03,4.8201e-05,4.5701e-06,5.8808e-08,,,,,,,,,,,
Sam 5,2.93441e-08,1.19764e-02,4.2159e-03,4.9121e-05,4.6902e-06,6.2930e-08,,,,,,            6.0312,           13.0966,           18.9392,           26.3714,           84.7811,            2.6367,           -2.7969,           -0.2402,            0.0065,           50.6281,
Ref 6,2.97800e-08,,,,,,1.1905e-02,4.1614e-03,4.8215e-05,4.5692e-06,5.7205e-08,,,,,,,,,,,
Sam 6,2.89900e-08,1.19764e-02,4.2159e-03,4.9118e-05,4.6885e-06,6.4099e-08,,,,,,            6.0334,           13.0906,           18.8066,           25.8564,          112.6244,            2.6392,           -2.8029,           -0.3668,           -0.4834,           77.6048,
Ref 7,2.94285e-08,,,,,,1.1905e-02,4.1615e-03,4.8208e-05,4.5715e-06,5.8022e-08,,,,,,,,,,,
Sam 7,2.86428e-08,1.19765e-02,4.2159e-03,4.9127e-05,4.6905e-06,5.8739e-08,,,,,,            6.0321,           13.0842,           19.0435,           26.2339,           23.5743,            2.6381,           -2.8091,           -0.1269,           -0.1029,           -8.6288,
Ref 8,2.90767e-08,,,,,,1.1905e-02,4.1615e-03,4.8209e-05,4.5696e-06,5.6744e-08,,,,,,,,,,,
Sam 8,2.83018e-08,1.19764e-02,4.2159e-03,4.9121e-05,4.6884e-06,5.8436e-08,,,,,,            6.0305,           13.0681,           18.9555,           25.8361,           17.4938,            2.6370,           -2.8250,           -0.1959,           -0.4587,          -14.4855,
Ref 9,2.87351e-08,,,,,,1.1904e-02,4.1615e-03,4.8206e-05,4.5711e-06,5.8128e-08,,,,,,,,,,,
Sam 9,2.79664e-08,1.19765e-02,4.2161e-03,4.9128e-05,4.6899e-06,6.0723e-08,,,,,,            6.0343,           13.1008,           19.1036,           26.3296,           54.2915,            2.6399,           -2.7928,           -0.0862,           -0.0425,           21.0868,
Ref 10,2.83996e-08,,,,,,1.1905e-02,4.1616e-03,4.8208e-05,4.5681e-06,5.7058e-08,,,,,,,,,,,
Sam 10,2.76358e-08,1.19766e-02,4.2161e-03,4.9130e-05,4.6906e-06,6.2918e-08,,,,,,            6.0262,           13.0799,           19.1447,           26.6511,          102.8334,            2.6320,           -2.8134,           -0.0173,            0.3121,           68.1522,
Ref 11,2.80674e-08,,,,,,1.1905e-02,4.1617e-03,4.8207e-05,4.5696e-06,5.7045e-08,,,,,,,,,,,
Sam 11,2.73077e-08,1.19767e-02,4.2162e-03,4.9121e-05,4.6892e-06,5.9470e-08,,,,,,            6.0355,           13.1000,           18.9628,           26.1743,           42.5377,            2.6411,           -2.7935,           -0.2248,           -0.1922,            9.7033,
Ref 12,2.77332e-08,,,,,,1.1905e-02,4.1617e-03,4.8207e-05,4.5696e-06,5.7042e-08,,,,,,,,,,,
Sam 12,2.69867e-08,1.19766e-02,4.2161e-03,4.9127e-05,4.6886e-06,5.7699e-08,,,,,,            6.0385,           13.0843,           19.0804,           26.2435,           15.1075,            2.6449,           -2.8091,           -0.0973,           -0.0938,          -16.8360,
Ref 13,2.74142e-08,,,,,,1.1905e-02,4.1617e-03,4.8206e-05,4.5678e-06,5.6636e-08,,,,,,,,,,,
Sam 13,2.66717e-08,1.19766e-02,4.2161e-03,4.9127e-05,4.6897e-06,6.3141e-08,,,,,,            6.0322,           13.0797,           19.0171,           26.4946,          107.7589,            2.6383,           -2.8136,           -0.1483,            0.1600,           72.9166,
Ref 14,2.70972e-08,,,,,,1.1905e-02,4.1617e-03,4.8215e-05,4.5695e-06,5.7365e-08,,,,,,,,,,,
Sam 14,2.63582e-08,1.19765e-02,4.2162e-03,4.9123e-05,4.6930e-06,5.9312e-08,,,,,,            6.0332,           13.0838,           18.7544,           26.7732,           30.7403,            2.6393,           -2.8095,           -0.4113,            0.4232,           -1.6888,
Ref 15,2.67799e-08,,,,,,1.1905e-02,4.1618e-03,4.8223e-05,4.5717e-06,5.7724e-08,,,,,,,,,,,
Sam 15,2.60498e-08,1.19764e-02,4.2163e-03,4.9125e-05,4.6891e-06,5.9397e-08,,,,,,            6.0318,           13.1013,           18.8272,           25.8730,           19.2892,            2.6372,           -2.7923,           -0.3554,           -0.4883,          -12.8116,
Ref 16,2.64688e-08,,,,,,1.1905e-02,4.1618e-03,4.8212e-05,4.5699e-06,5.8828e-08,,,,,,,,,,,
Sam 16,2.57470e-08,1.19764e-02,4.2163e-03,4.9127e-05,4.6908e-06,6.1443e-08,,,,,,            6.0319,           13.0935,           18.8787,           26.5971,           39.4460,            2.6376,           -2.7999,           -0.2974,            0.2324,            6.7255,
Ref 17,2.61610e-08,,,,,,1.1905e-02,4.1619e-03,4.8222e-05,4.5688e-06,5.9397e-08,,,,,,,,,,,
Sam 17,2.54477e-08,1.19765e-02,4.2164e-03,4.9139e-05,4.6923e-06,6.0486e-08,,,,,,            6.0283,           13.0956,           19.0852,           27.1508,           61.1993,            2.6337,           -2.7979,           -0.0931,            0.7680,           27.7939,
Ref 18,2.58601e-08,,,,,,1.1905e-02,4.1620e-03,4.8216e-05,4.5678e-06,5.4571e-08,,,,,,,,,,,
Sam 18,2.51523e-08,1.19765e-02,4.2164e-03,4.9134e-05,4.6900e-06,5.8566e-08,,,,,,            6.0299,           13.0774,           19.1394,           26.3848,           64.3446,            2.6360,           -2.8158,           -0.0239,            0.0574,           30.8747,
Ref 19,2.55626e-08,,,,,,1.1905e-02,4.1620e-03,4.8207e-05,4.5710e-06,5.5486e-08,,,,,,,,,,,
Sam 19,2.48646e-08,1.19766e-02,4.2165e-03,4.9142e-05,4.6881e-06,6.4421e-08,,,,,,            6.0471,           13.1087,           19.3023,           25.5807,          134.1014,            2.6532,           -2.7850,            0.0879,           -0.7877,           98.3512,
Ref 20,2.52699e-08,,,,,,1.1905e-02,4.1619e-03,4.8216e-05,4.5713e-06,5.8138e-08,,,,,,,,,,,
Sam 20,2.45805e-08,1.19767e-02,4.2165e-03,4.9135e-05,4.6931e-06,6.0256e-08,,,,,,            6.0502,           13.1112,           19.0689,           26.8424,           45.7382,            2.6565,           -2.7825,           -0.1468,            0.4366,           12.7652,
Ref 21,2.49821e-08,,,,,,1.1905e-02,4.1620e-03,4.8215e-05,4.5694e-06,5.7097e-08,,,,,,,,,,,


