Nu Stable Isotope Analysis Program
Data Collected on Saturday, December 30, 2017 at 07:29 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, December 30, 2017 at 08:28 with Stable 1.69.5 on PS019

Data File = Data_3777 ETH3.txt,           Sample Weight = 462,                      Vial Location = 15,                       Initial Sam Beam = 1.6150e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.1638e-08,                Max Ref Beam = 1.0640e-07,                
Analysis undertaken at mass 45.79739
Analysis undertaken at mass 45.79739
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.82481e-08,,,,,,1.1907e-02,4.1604e-03,4.8141e-05,4.5560e-06,5.7956e-08,,,,,,,,,,,
Sam 1,6.77026e-08,1.19721e-02,4.2121e-03,4.9003e-05,4.6741e-06,6.0454e-08,,,,,,            5.4871,           12.4731,           17.8589,           25.3729,           48.9161,            2.0794,           -3.4101,           -0.1377,            0.2645,           17.7084,
Ref 2,6.73799e-08,,,,,,1.1906e-02,4.1600e-03,4.8146e-05,4.5609e-06,5.7309e-08,,,,,,,,,,,
Sam 2,6.65605e-08,1.19700e-02,4.2108e-03,4.8985e-05,4.6739e-06,5.8990e-08,,,,,,            5.4476,           12.3954,           17.6878,           24.9027,           35.9744,            2.0401,           -3.4866,           -0.1898,           -0.0408,            5.3455,
Ref 3,6.62404e-08,,,,,,1.1904e-02,4.1585e-03,4.8121e-05,4.5598e-06,5.6567e-08,,,,,,,,,,,
Sam 3,6.54052e-08,1.19682e-02,4.2096e-03,4.8969e-05,4.6725e-06,6.0248e-08,,,,,,            5.4462,           12.3782,           17.7501,           24.9829,           73.3473,            2.0392,           -3.5035,           -0.1105,            0.0714,           41.6498,
Ref 4,6.51779e-08,,,,,,1.1903e-02,4.1577e-03,4.8108e-05,4.5575e-06,5.5687e-08,,,,,,,,,,,
Sam 4,6.43388e-08,1.19673e-02,4.2091e-03,4.8950e-05,4.6726e-06,6.0885e-08,,,,,,            5.4429,           12.4126,           17.5544,           25.3375,           82.1506,            2.0345,           -3.4696,           -0.3328,            0.3495,           50.1266,
Ref 5,6.41802e-08,,,,,,1.1902e-02,4.1573e-03,4.8103e-05,4.5567e-06,5.6848e-08,,,,,,,,,,,
Sam 5,6.33217e-08,1.19670e-02,4.2089e-03,4.8952e-05,4.6697e-06,6.0124e-08,,,,,,            5.4510,           12.4164,           17.6869,           24.9964,           55.6423,            2.0430,           -3.4659,           -0.2147,            0.0092,           24.3864,
Ref 6,6.32339e-08,,,,,,1.1902e-02,4.1573e-03,4.8099e-05,4.5549e-06,5.7063e-08,,,,,,,,,,,
Sam 6,6.23395e-08,1.19671e-02,4.2089e-03,4.8954e-05,4.6694e-06,5.9924e-08,,,,,,            5.4506,           12.4127,           17.7124,           24.8418,           47.7063,            2.0427,           -3.4695,           -0.1856,           -0.1344,           16.6931,
Ref 7,6.22909e-08,,,,,,1.1902e-02,4.1574e-03,4.8106e-05,4.5576e-06,5.7329e-08,,,,,,,,,,,
Sam 7,6.13870e-08,1.19672e-02,4.2091e-03,4.8963e-05,4.6693e-06,6.0489e-08,,,,,,            5.4571,           12.4295,           17.8590,           24.5633,           54.3475,            2.0491,           -3.4530,           -0.0645,           -0.4392,           23.0972,
Ref 8,6.13832e-08,,,,,,1.1902e-02,4.1575e-03,4.8103e-05,4.5572e-06,5.7414e-08,,,,,,,,,,,
Sam 8,6.04466e-08,1.19673e-02,4.2092e-03,4.9003e-05,4.6790e-06,7.5251e-08,,,,,,            5.4566,           12.4200,           18.6969,           26.6820,          312.0915,            2.0488,           -3.4624,            0.7684,            1.6466,          273.2262,
Ref 9,6.04866e-08,,,,,,1.1902e-02,4.1577e-03,4.8104e-05,4.5576e-06,5.7289e-08,,,,,,,,,,,
Sam 9,5.95334e-08,1.19673e-02,4.2093e-03,4.8966e-05,4.6718e-06,6.0375e-08,,,,,,            5.4443,           12.3977,           17.8435,           24.7033,           64.9802,            2.0365,           -3.4843,           -0.0357,           -0.2398,           33.4926,
Ref 10,5.96240e-08,,,,,,1.1902e-02,4.1578e-03,4.8111e-05,4.5609e-06,5.6085e-08,,,,,,,,,,,
Sam 10,5.86396e-08,1.19674e-02,4.2095e-03,4.8965e-05,4.6724e-06,6.0170e-08,,,,,,            5.4515,           12.4155,           17.7098,           24.7557,           61.0385,            2.0436,           -3.4668,           -0.1917,           -0.2238,           29.6241,
Ref 11,5.87659e-08,,,,,,1.1903e-02,4.1580e-03,4.8115e-05,4.5582e-06,5.7342e-08,,,,,,,,,,,
Sam 11,5.77629e-08,1.19674e-02,4.2096e-03,4.8968e-05,4.6734e-06,5.9248e-08,,,,,,            5.4441,           12.4043,           17.7228,           25.2316,           30.5876,            2.0361,           -3.4778,           -0.1605,            0.2626,            0.1043,
Ref 12,5.79297e-08,,,,,,1.1903e-02,4.1581e-03,4.8115e-05,4.5586e-06,5.7639e-08,,,,,,,,,,,
Sam 12,5.69069e-08,1.19674e-02,4.2097e-03,4.8972e-05,4.6722e-06,5.7858e-08,,,,,,            5.4404,           12.3988,           17.7344,           24.8356,            6.6911,            2.0323,           -3.4833,           -0.1400,           -0.1128,          -23.0710,
Ref 13,5.71029e-08,,,,,,1.1903e-02,4.1582e-03,4.8122e-05,4.5594e-06,5.7305e-08,,,,,,,,,,,
Sam 13,5.60637e-08,1.19677e-02,4.2099e-03,4.8972e-05,4.6718e-06,5.9532e-08,,,,,,            5.4517,           12.4017,           17.6400,           24.6912,           46.3439,            2.0443,           -3.4804,           -0.2470,           -0.2594,           15.3916,
Ref 14,5.62922e-08,,,,,,1.1903e-02,4.1584e-03,4.8125e-05,4.5591e-06,5.6479e-08,,,,,,,,,,,
Sam 14,5.52342e-08,1.19676e-02,4.2100e-03,4.8981e-05,4.6735e-06,5.8920e-08,,,,,,            5.4384,           12.3994,           17.7644,           25.0033,           29.9526,            2.0302,           -3.4826,           -0.1090,            0.0495,           -0.4964,
Ref 15,5.54970e-08,,,,,,1.1903e-02,4.1585e-03,4.8128e-05,4.5598e-06,5.7945e-08,,,,,,,,,,,
Sam 15,5.44314e-08,1.19678e-02,4.2102e-03,4.8980e-05,4.6748e-06,6.1120e-08,,,,,,            5.4465,           12.4044,           17.7217,           25.0313,           67.9713,            2.0386,           -3.4777,           -0.1641,            0.0669,           36.3794,
Ref 16,5.47195e-08,,,,,,1.1903e-02,4.1586e-03,4.8126e-05,4.5615e-06,5.6504e-08,,,,,,,,,,,
Sam 16,5.36367e-08,1.19678e-02,4.2103e-03,4.8982e-05,4.6741e-06,6.1115e-08,,,,,,            5.4458,           12.4053,           17.7480,           24.7073,           71.8451,            2.0378,           -3.4768,           -0.1385,           -0.2509,           40.1376,
Ref 17,5.39605e-08,,,,,,1.1903e-02,4.1587e-03,4.8130e-05,4.5613e-06,5.7541e-08,,,,,,,,,,,
Sam 17,5.28623e-08,1.19678e-02,4.2103e-03,4.8985e-05,4.6729e-06,5.9034e-08,,,,,,            5.4399,           12.3777,           17.7496,           24.5516,           27.0661,            2.0326,           -3.5040,           -0.1040,           -0.3483,           -3.2570,
Ref 18,5.32100e-08,,,,,,1.1903e-02,4.1588e-03,4.8132e-05,4.5604e-06,5.7415e-08,,,,,,,,,,,
Sam 18,5.21022e-08,1.19680e-02,4.2104e-03,4.8982e-05,4.6760e-06,6.0444e-08,,,,,,            5.4380,           12.3872,           17.6504,           25.1845,           62.7761,            2.0302,           -3.4947,           -0.2088,            0.2504,           31.3816,
Ref 19,5.24772e-08,,,,,,1.1903e-02,4.1590e-03,4.8133e-05,4.5619e-06,5.6325e-08,,,,,,,,,,,
Sam 19,5.13535e-08,1.19679e-02,4.2105e-03,4.8985e-05,4.6744e-06,5.8369e-08,,,,,,            5.4305,           12.3852,           17.7494,           24.5548,           33.8327,            2.0223,           -3.4966,           -0.1018,           -0.3600,            3.3052,
Ref 20,5.17569e-08,,,,,,1.1903e-02,4.1590e-03,4.8129e-05,4.5629e-06,5.6594e-08,,,,,,,,,,,
Sam 20,5.06258e-08,1.19680e-02,4.2106e-03,4.8989e-05,4.6746e-06,5.8851e-08,,,,,,            5.4323,           12.3928,           17.7250,           24.6113,           39.0383,            2.0240,           -3.4891,           -0.1350,           -0.3198,            8.3402,
Ref 21,5.10449e-08,,,,,,1.1903e-02,4.1591e-03,4.8142e-05,4.5617e-06,5.6687e-08,,,,,,,,,,,


Ref 1,5.06832e-08,,,,,,1.1903e-02,4.1590e-03,4.8133e-05,4.5590e-06,5.7169e-08,,,,,,,,,,,
Sam 1,4.95361e-08,1.19679e-02,4.2107e-03,4.8993e-05,4.6761e-06,6.2052e-08,,,,,,            5.4290,           12.4013,           17.7735,           25.5292,           80.1174,            2.0202,           -3.4807,           -0.0923,            0.5589,           48.1919,
Ref 2,5.00016e-08,,,,,,1.1903e-02,4.1591e-03,4.8142e-05,4.5604e-06,5.7734e-08,,,,,,,,,,,
Sam 2,4.88254e-08,1.19680e-02,4.2108e-03,4.8988e-05,4.6741e-06,6.0846e-08,,,,,,            5.4306,           12.4057,           17.5547,           24.8065,           52.4610,            2.0217,           -3.4764,           -0.3132,           -0.1548,           21.3426,
Ref 3,4.93172e-08,,,,,,1.1903e-02,4.1592e-03,4.8144e-05,4.5616e-06,5.7893e-08,,,,,,,,,,,
Sam 3,4.81347e-08,1.19681e-02,4.2108e-03,4.8996e-05,4.6749e-06,5.9282e-08,,,,,,            5.4379,           12.3975,           17.7187,           24.8624,           33.1505,            2.0297,           -3.4845,           -0.1515,           -0.0840,            2.6113,
Ref 4,4.86479e-08,,,,,,1.1903e-02,4.1593e-03,4.8142e-05,4.5614e-06,5.6859e-08,,,,,,,,,,,
Sam 4,4.74485e-08,1.19681e-02,4.2108e-03,4.8994e-05,4.6748e-06,5.7995e-08,,,,,,            5.4332,           12.3846,           17.6671,           24.7009,           25.2669,            2.0251,           -3.4972,           -0.1849,           -0.2162,           -5.0094,
Ref 5,4.79894e-08,,,,,,1.1903e-02,4.1593e-03,4.8146e-05,4.5628e-06,5.6268e-08,,,,,,,,,,,
Sam 5,4.67809e-08,1.19681e-02,4.2109e-03,4.8994e-05,4.6734e-06,5.8700e-08,,,,,,            5.4447,           12.3861,           17.6436,           24.4635,           31.8328,            2.0373,           -3.4957,           -0.2212,           -0.4509,            1.3475,
Ref 6,4.73470e-08,,,,,,1.1903e-02,4.1594e-03,4.8143e-05,4.5608e-06,5.7519e-08,,,,,,,,,,,
Sam 6,4.61236e-08,1.19679e-02,4.2109e-03,4.8993e-05,4.6744e-06,5.8505e-08,,,,,,            5.4259,           12.3639,           17.5962,           24.7286,           23.8740,            2.0182,           -3.5176,           -0.2270,           -0.1484,           -6.3136,
Ref 7,4.67114e-08,,,,,,1.1903e-02,4.1595e-03,4.8149e-05,4.5623e-06,5.6759e-08,,,,,,,,,,,
Sam 7,4.54813e-08,1.19680e-02,4.2110e-03,4.9001e-05,4.6762e-06,5.9387e-08,,,,,,            5.4331,           12.3773,           17.6606,           24.9857,           44.7434,            2.0253,           -3.5044,           -0.1840,            0.0760,           13.9065,
Ref 8,4.60908e-08,,,,,,1.1903e-02,4.1595e-03,4.8152e-05,4.5622e-06,5.6929e-08,,,,,,,,,,,
Sam 8,4.48474e-08,1.19680e-02,4.2111e-03,4.9004e-05,4.6747e-06,5.8556e-08,,,,,,            5.4366,           12.3951,           17.6881,           24.6566,           38.0876,            2.0285,           -3.4869,           -0.1780,           -0.2801,            7.4085,
Ref 9,4.54702e-08,,,,,,1.1903e-02,4.1596e-03,4.8153e-05,4.5623e-06,5.5878e-08,,,,,,,,,,,
Sam 9,4.42307e-08,1.19679e-02,4.2111e-03,4.9008e-05,4.6764e-06,5.8624e-08,,,,,,            5.4230,           12.3628,           17.7299,           24.7932,           50.1155,            2.0150,           -3.5187,           -0.0915,           -0.0831,           19.1596,
Ref 10,4.48684e-08,,,,,,1.1903e-02,4.1597e-03,4.8156e-05,4.5643e-06,5.5774e-08,,,,,,,,,,,
Sam 10,4.36185e-08,1.19680e-02,4.2112e-03,4.9007e-05,4.6769e-06,5.8602e-08,,,,,,            5.4335,           12.3796,           17.6509,           24.7604,           39.2609,            2.0257,           -3.5022,           -0.1962,           -0.1483,            8.5809,
Ref 11,4.42714e-08,,,,,,1.1903e-02,4.1597e-03,4.8158e-05,4.5635e-06,5.7011e-08,,,,,,,,,,,
Sam 11,4.30267e-08,1.19680e-02,4.2112e-03,4.9011e-05,4.6760e-06,5.9001e-08,,,,,,            5.4234,           12.3667,           17.6991,           24.7219,           38.0283,            2.0153,           -3.5148,           -0.1260,           -0.1605,            7.4207,
Ref 12,4.36985e-08,,,,,,1.1903e-02,4.1598e-03,4.8159e-05,4.5629e-06,5.6666e-08,,,,,,,,,,,
Sam 12,4.24487e-08,1.19680e-02,4.2112e-03,4.9012e-05,4.6773e-06,5.8448e-08,,,,,,            5.4241,           12.3689,           17.6956,           25.1400,           49.8821,            2.0160,           -3.5126,           -0.1323,            0.2431,           18.9197,
Ref 13,4.31307e-08,,,,,,1.1903e-02,4.1598e-03,4.8162e-05,4.5622e-06,5.4663e-08,,,,,,,,,,,
Sam 13,4.18783e-08,1.19679e-02,4.2112e-03,4.9014e-05,4.6751e-06,5.9108e-08,,,,,,            5.4135,           12.3613,           17.7270,           24.4645,           75.4397,            2.0050,           -3.5201,           -0.0832,           -0.4010,           43.7507,
Ref 14,4.25784e-08,,,,,,1.1903e-02,4.1598e-03,4.8159e-05,4.5647e-06,5.5263e-08,,,,,,,,,,,
Sam 14,4.13129e-08,1.19679e-02,4.2113e-03,4.9008e-05,4.6779e-06,5.6056e-08,,,,,,            5.4204,           12.3551,           17.5865,           25.1096,           12.4767,            2.0126,           -3.5263,           -0.2222,            0.2409,          -17.3522,
Ref 15,4.20247e-08,,,,,,1.1903e-02,4.1599e-03,4.8164e-05,4.5620e-06,5.5468e-08,,,,,,,,,,,
Sam 15,4.07598e-08,1.19680e-02,4.2113e-03,4.9011e-05,4.6771e-06,5.6948e-08,,,,,,            5.4194,           12.3344,           17.5780,           24.9853,           28.2691,            2.0122,           -3.5466,           -0.2095,            0.1604,           -1.9840,
Ref 16,4.14862e-08,,,,,,1.1903e-02,4.1600e-03,4.8165e-05,4.5642e-06,5.5296e-08,,,,,,,,,,,
Sam 16,4.02146e-08,1.19680e-02,4.2114e-03,4.9017e-05,4.6770e-06,5.7320e-08,,,,,,            5.4231,           12.3540,           17.6683,           24.6993,           34.1860,            2.0155,           -3.5273,           -0.1436,           -0.1574,            3.7167,
Ref 17,4.09506e-08,,,,,,1.1904e-02,4.1600e-03,4.8167e-05,4.5642e-06,5.5556e-08,,,,,,,,,,,
Sam 17,3.96760e-08,1.19682e-02,4.2114e-03,4.9020e-05,4.6765e-06,5.7512e-08,,,,,,            5.4280,           12.3591,           17.7185,           24.7751,           50.9443,            2.0205,           -3.5224,           -0.1042,           -0.0934,           19.9660,
Ref 18,4.04279e-08,,,,,,1.1904e-02,4.1601e-03,4.8166e-05,4.5627e-06,5.3881e-08,,,,,,,,,,,
Sam 18,3.91457e-08,1.19682e-02,4.2114e-03,4.9019e-05,4.6770e-06,5.7944e-08,,,,,,            5.4305,           12.3381,           17.6258,           24.9926,           77.3765,            2.0239,           -3.5431,           -0.1774,            0.1603,           45.6589,
Ref 19,3.99085e-08,,,,,,1.1903e-02,4.1601e-03,4.8173e-05,4.5632e-06,5.3682e-08,,,,,,,,,,,
Sam 19,3.86262e-08,1.19681e-02,4.2114e-03,4.9026e-05,4.6783e-06,5.8145e-08,,,,,,            5.4302,           12.3413,           17.7473,           25.0141,           60.3732,            2.0235,           -3.5399,           -0.0609,            0.1749,           29.1500,
Ref 20,3.94056e-08,,,,,,1.1903e-02,4.1601e-03,4.8169e-05,4.5651e-06,5.6001e-08,,,,,,,,,,,
Sam 20,3.81113e-08,1.19681e-02,4.2115e-03,4.9018e-05,4.6773e-06,5.8592e-08,,,,,,            5.4231,           12.3376,           17.6172,           24.5863,           35.9565,            2.0160,           -3.5435,           -0.1779,           -0.2353,            5.4671,
Ref 21,3.89063e-08,,,,,,1.1904e-02,4.1603e-03,4.8170e-05,4.5651e-06,5.7124e-08,,,,,,,,,,,


Ref 1,3.86509e-08,,,,,,1.1903e-02,4.1601e-03,4.8169e-05,4.5659e-06,5.3611e-08,,,,,,,,,,,
Sam 1,3.73578e-08,1.19680e-02,4.2115e-03,4.9018e-05,4.6781e-06,5.5490e-08,,,,,,            5.4238,           12.3292,           17.5898,           25.0299,           21.1734,            2.0170,           -3.5518,           -0.1972,            0.2143,           -8.8653,
Ref 2,3.81633e-08,,,,,,1.1903e-02,4.1603e-03,4.8173e-05,4.5618e-06,5.5078e-08,,,,,,,,,,,
Sam 2,3.68730e-08,1.19679e-02,4.2117e-03,4.9024e-05,4.6762e-06,5.7888e-08,,,,,,            5.4156,           12.3427,           17.6904,           24.6854,           41.0820,            2.0079,           -3.5385,           -0.1032,           -0.1485,           10.4398,
Ref 3,3.76861e-08,,,,,,1.1904e-02,4.1603e-03,4.8170e-05,4.5654e-06,5.6136e-08,,,,,,,,,,,
Sam 3,3.63934e-08,1.19681e-02,4.2117e-03,4.9023e-05,4.6784e-06,5.9226e-08,,,,,,            5.4240,           12.3506,           17.6937,           25.0592,           67.1423,            2.0166,           -3.5307,           -0.1163,            0.2005,           35.7080,
Ref 4,3.72104e-08,,,,,,1.1904e-02,4.1604e-03,4.8172e-05,4.5627e-06,5.4855e-08,,,,,,,,,,,
Sam 4,3.59270e-08,1.19681e-02,4.2117e-03,4.9024e-05,4.6799e-06,5.8138e-08,,,,,,            5.4207,           12.3284,           17.6187,           25.2269,           54.0738,            2.0138,           -3.5526,           -0.1650,            0.4080,           23.0721,
Ref 5,3.67458e-08,,,,,,1.1904e-02,4.1604e-03,4.8178e-05,4.5668e-06,5.5461e-08,,,,,,,,,,,
Sam 5,3.54657e-08,1.19681e-02,4.2118e-03,4.9028e-05,4.6806e-06,5.6953e-08,,,,,,            5.4165,           12.3467,           17.6559,           25.1233,           17.9106,            2.0087,           -3.5345,           -0.1419,            0.2708,          -12.0583,
Ref 6,3.62902e-08,,,,,,1.1904e-02,4.1605e-03,4.8176e-05,4.5650e-06,5.6448e-08,,,,,,,,,,,
Sam 6,3.50144e-08,1.19683e-02,4.2119e-03,4.9028e-05,4.6768e-06,5.7258e-08,,,,,,            5.4315,           12.3554,           17.7062,           24.5775,           30.4216,            2.0244,           -3.5260,           -0.1164,           -0.2790,            0.0515,
Ref 7,3.58336e-08,,,,,,1.1904e-02,4.1605e-03,4.8174e-05,4.5642e-06,5.4677e-08,,,,,,,,,,,
Sam 7,3.45720e-08,1.19682e-02,4.2119e-03,4.9031e-05,4.6777e-06,5.6957e-08,,,,,,            5.4347,           12.3538,           17.7282,           24.9217,           52.1125,            2.0278,           -3.5276,           -0.0965,            0.0601,           21.1030,
Ref 8,3.53942e-08,,,,,,1.1903e-02,4.1605e-03,4.8180e-05,4.5636e-06,5.3587e-08,,,,,,,,,,,
Sam 8,3.41356e-08,1.19682e-02,4.2119e-03,4.9030e-05,4.6779e-06,5.6108e-08,,,,,,            5.4265,           12.3416,           17.6170,           25.2532,           56.7440,            2.0195,           -3.5395,           -0.1854,            0.4076,           25.6311,
Ref 9,3.49560e-08,,,,,,1.1904e-02,4.1606e-03,4.8182e-05,4.5617e-06,5.2597e-08,,,,,,,,,,,
Sam 9,3.37045e-08,1.19681e-02,4.2120e-03,4.9029e-05,4.6759e-06,5.5149e-08,,,,,,            5.4126,           12.3368,           17.6047,           24.9653,           49.4116,            2.0049,           -3.5443,           -0.1786,            0.1362,           18.5391,
Ref 10,3.45283e-08,,,,,,1.1904e-02,4.1607e-03,4.8180e-05,4.5623e-06,5.2508e-08,,,,,,,,,,,
Sam 10,3.32817e-08,1.19682e-02,4.2120e-03,4.9041e-05,4.6806e-06,5.5183e-08,,,,,,            5.4197,           12.3357,           17.8278,           25.8908,           34.9672,            2.0125,           -3.5454,            0.0344,            1.0415,            4.5143,
Ref 11,3.41012e-08,,,,,,1.1904e-02,4.1607e-03,4.8184e-05,4.5626e-06,5.4141e-08,,,,,,,,,,,
Sam 11,3.28625e-08,1.19682e-02,4.2120e-03,4.9041e-05,4.6745e-06,5.7133e-08,,,,,,            5.4210,           12.3383,           17.8271,           24.5603,           55.4298,            2.0138,           -3.5428,            0.0298,           -0.2620,           24.3682,
Ref 12,3.36814e-08,,,,,,1.1904e-02,4.1607e-03,4.8181e-05,4.5623e-06,5.4125e-08,,,,,,,,,,,
Sam 12,3.24493e-08,1.19684e-02,4.2121e-03,4.9041e-05,4.6784e-06,5.7464e-08,,,,,,            5.4252,           12.3523,           17.7396,           25.0315,           62.0070,            2.0178,           -3.5290,           -0.0741,            0.1701,           30.7191,
Ref 13,3.32718e-08,,,,,,1.1904e-02,4.1607e-03,4.8192e-05,4.5660e-06,5.4093e-08,,,,,,,,,,,
Sam 13,3.20502e-08,1.19683e-02,4.2121e-03,4.9040e-05,4.6796e-06,5.5742e-08,,,,,,            5.4119,           12.3336,           17.6584,           25.0800,           38.5507,            2.0043,           -3.5474,           -0.1221,            0.2544,            8.0046,
Ref 14,3.28666e-08,,,,,,1.1904e-02,4.1609e-03,4.8187e-05,4.5642e-06,5.3247e-08,,,,,,,,,,,
Sam 14,3.16526e-08,1.19684e-02,4.2122e-03,4.9039e-05,4.6800e-06,5.8385e-08,,,,,,            5.4164,           12.3406,           17.6734,           25.2189,           88.6581,            2.0088,           -3.5406,           -0.1187,            0.3762,           56.6190,
Ref 15,3.24668e-08,,,,,,1.1904e-02,4.1608e-03,4.8189e-05,4.5656e-06,5.4019e-08,,,,,,,,,,,
Sam 15,3.12603e-08,1.19685e-02,4.2123e-03,4.9045e-05,4.6742e-06,5.7768e-08,,,,,,            5.4141,           12.3514,           17.6919,           23.8598,           73.7267,            2.0060,           -3.5299,           -0.1087,           -0.9713,           42.1076,
Ref 16,3.20742e-08,,,,,,1.1904e-02,4.1610e-03,4.8197e-05,4.5650e-06,5.3581e-08,,,,,,,,,,,
Sam 16,3.08753e-08,1.19686e-02,4.2123e-03,4.9045e-05,4.6768e-06,5.7127e-08,,,,,,            5.4246,           12.3317,           17.6072,           24.2884,           59.8231,            2.0179,           -3.5494,           -0.1835,           -0.5142,           28.6415,
Ref 17,3.16854e-08,,,,,,1.1904e-02,4.1610e-03,4.8195e-05,4.5669e-06,5.4228e-08,,,,,,,,,,,
Sam 17,3.04941e-08,1.19686e-02,4.2123e-03,4.9047e-05,4.6782e-06,5.6352e-08,,,,,,            5.4258,           12.3302,           17.6986,           24.7302,           34.4316,            2.0191,           -3.5508,           -0.0935,           -0.0803,            3.9987,
Ref 18,3.13042e-08,,,,,,1.1904e-02,4.1610e-03,4.8193e-05,4.5636e-06,5.4728e-08,,,,,,,,,,,
Sam 18,3.01230e-08,1.19687e-02,4.2124e-03,4.9047e-05,4.6801e-06,5.8020e-08,,,,,,            5.4271,           12.3544,           17.6591,           25.2242,           86.4342,            2.0197,           -3.5270,           -0.1571,            0.3540,           54.4204,
Ref 19,3.09281e-08,,,,,,1.1904e-02,4.1611e-03,4.8199e-05,4.5662e-06,5.2063e-08,,,,,,,,,,,
Sam 19,2.97600e-08,1.19687e-02,4.2124e-03,4.9043e-05,4.6755e-06,5.7412e-08,,,,,,            5.4263,           12.3305,           17.5486,           24.3624,           88.4082,            2.0197,           -3.5505,           -0.2417,           -0.4397,           56.3861,
Ref 20,3.05589e-08,,,,,,1.1904e-02,4.1611e-03,4.8196e-05,4.5623e-06,5.3441e-08,,,,,,,,,,,
Sam 20,2.94003e-08,1.19687e-02,4.2125e-03,4.9052e-05,4.6783e-06,5.6593e-08,,,,,,            5.4223,           12.3416,           17.7108,           25.1118,           51.9189,            2.0150,           -3.5395,           -0.0890,            0.2695,           20.9527,
Ref 21,3.01911e-08,,,,,,1.1904e-02,4.1611e-03,4.8201e-05,4.5652e-06,5.4163e-08,,,,,,,,,,,


