Nu Stable Isotope Analysis Program
Data Collected on Sunday, December 31, 2017 at 09:18 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, December 31, 2017 at 10:17 with Stable 1.69.5 on PS019

Data File = Data_3796 KDW2 59.0.txt,      Sample Weight = 506,                      Vial Location = 34,                       Initial Sam Beam = 2.1593e-07,            ColdFinger Status = CF,                   Min Ref Beam = 1.8953e-08,                Max Ref Beam = 1.0662e-07,                
Analysis undertaken at mass 45.79122
Analysis undertaken at mass 45.79122
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.15482e-08,,,,,,1.1904e-02,4.1569e-03,4.8063e-05,4.5431e-06,5.6151e-08,,,,,,,,,,,
Sam 1,9.04285e-08,1.19887e-02,4.2051e-03,4.8980e-05,4.6538e-06,5.6748e-08,,,,,,            7.1236,           11.5226,           18.7508,           23.5205,           20.2760,            3.8525,           -4.3503,           -0.0128,            0.3348,           -9.9609,
Ref 2,9.00277e-08,,,,,,1.1904e-02,4.1576e-03,4.8093e-05,4.5508e-06,5.5080e-08,,,,,,,,,,,
Sam 2,8.86506e-08,1.19876e-02,4.2043e-03,4.8962e-05,4.6528e-06,5.7585e-08,,,,,,            7.0676,           11.3529,           18.2194,           22.6406,           43.6127,            3.7987,           -4.5173,           -0.3120,           -0.1898,           13.0783,
Ref 3,8.84567e-08,,,,,,1.1903e-02,4.1565e-03,4.8077e-05,4.5488e-06,5.5280e-08,,,,,,,,,,,
Sam 3,8.70861e-08,1.19866e-02,4.2034e-03,4.8948e-05,4.6513e-06,5.7106e-08,,,,,,            7.0627,           11.3465,           18.1995,           22.6861,           37.2283,            3.7938,           -4.5237,           -0.3203,           -0.1325,            6.8986,
Ref 4,8.70097e-08,,,,,,1.1902e-02,4.1560e-03,4.8069e-05,4.5475e-06,5.4830e-08,,,,,,,,,,,
Sam 4,8.55716e-08,1.19863e-02,4.2032e-03,4.8940e-05,4.6509e-06,5.6216e-08,,,,,,            7.0800,           11.3830,           18.1381,           22.7461,           27.8733,            3.8109,           -4.4878,           -0.4338,           -0.1460,           -2.2719,
Ref 5,8.55885e-08,,,,,,1.1902e-02,4.1558e-03,4.8067e-05,4.5475e-06,5.4550e-08,,,,,,,,,,,
Sam 5,8.40871e-08,1.19861e-02,4.2031e-03,4.8939e-05,4.6504e-06,5.6891e-08,,,,,,            7.0753,           11.3766,           18.1725,           22.3735,           29.9415,            3.8061,           -4.4940,           -0.3891,           -0.4978,           -0.2471,
Ref 6,8.42059e-08,,,,,,1.1902e-02,4.1558e-03,4.8065e-05,4.5497e-06,5.5936e-08,,,,,,,,,,,
Sam 6,8.26506e-08,1.19861e-02,4.2031e-03,4.8942e-05,4.6505e-06,5.7752e-08,,,,,,            7.0679,           11.3709,           18.2507,           22.2257,           36.8412,            3.7984,           -4.4996,           -0.2991,           -0.6310,            6.4695,
Ref 7,8.28417e-08,,,,,,1.1902e-02,4.1559e-03,4.8066e-05,4.5490e-06,5.5461e-08,,,,,,,,,,,
Sam 7,8.12441e-08,1.19863e-02,4.2033e-03,4.8945e-05,4.6526e-06,5.7090e-08,,,,,,            7.0767,           11.3742,           18.2498,           22.7664,           26.1043,            3.8077,           -4.4964,           -0.3122,           -0.1088,           -3.9685,
Ref 8,8.15195e-08,,,,,,1.1902e-02,4.1561e-03,4.8070e-05,4.5491e-06,5.5818e-08,,,,,,,,,,,
Sam 8,7.98763e-08,1.19863e-02,4.2034e-03,4.8948e-05,4.6519e-06,5.7206e-08,,,,,,            7.0651,           11.3727,           18.2335,           22.6464,           26.5480,            3.7954,           -4.4979,           -0.3148,           -0.2232,           -3.5227,
Ref 9,8.02216e-08,,,,,,1.1902e-02,4.1563e-03,4.8073e-05,4.5486e-06,5.5634e-08,,,,,,,,,,,
Sam 9,7.85438e-08,1.19865e-02,4.2036e-03,4.8954e-05,4.6532e-06,5.8459e-08,,,,,,            7.0750,           11.3773,           18.2950,           22.8602,           44.7596,            3.8058,           -4.4933,           -0.2691,           -0.0232,           14.1358,
Ref 10,7.89630e-08,,,,,,1.1902e-02,4.1564e-03,4.8075e-05,4.5499e-06,5.6280e-08,,,,,,,,,,,
Sam 10,7.72417e-08,1.19866e-02,4.2038e-03,4.8956e-05,4.6523e-06,5.8032e-08,,,,,,            7.0744,           11.3729,           18.2791,           22.4817,           36.0378,            3.8053,           -4.4976,           -0.2799,           -0.3847,            5.6787,
Ref 11,7.77197e-08,,,,,,1.1902e-02,4.1566e-03,4.8080e-05,4.5502e-06,5.5743e-08,,,,,,,,,,,
Sam 11,7.59566e-08,1.19867e-02,4.2039e-03,4.8959e-05,4.6555e-06,5.7891e-08,,,,,,            7.0700,           11.3654,           18.2514,           23.0246,           33.8965,            3.8008,           -4.5050,           -0.2952,            0.1610,            3.6196,
Ref 12,7.65006e-08,,,,,,1.1903e-02,4.1568e-03,4.8083e-05,4.5513e-06,5.6248e-08,,,,,,,,,,,
Sam 12,7.47152e-08,1.19869e-02,4.2041e-03,4.8965e-05,4.6544e-06,5.7790e-08,,,,,,            7.0725,           11.3681,           18.2903,           22.6606,           30.5989,            3.8034,           -4.5024,           -0.2621,           -0.2002,            0.4108,
Ref 13,7.53178e-08,,,,,,1.1903e-02,4.1570e-03,4.8088e-05,4.5514e-06,5.5899e-08,,,,,,,,,,,
Sam 13,7.34994e-08,1.19871e-02,4.2044e-03,4.8967e-05,4.6543e-06,5.8416e-08,,,,,,            7.0628,           11.3803,           18.2373,           22.6334,           47.4778,            3.7927,           -4.4903,           -0.3162,           -0.2509,           16.7813,
Ref 14,7.41616e-08,,,,,,1.1903e-02,4.1572e-03,4.8092e-05,4.5513e-06,5.5635e-08,,,,,,,,,,,
Sam 14,7.23081e-08,1.19872e-02,4.2045e-03,4.8969e-05,4.6562e-06,5.8164e-08,,,,,,            7.0603,           11.3694,           18.2480,           22.8528,           49.2893,            3.7904,           -4.5011,           -0.2926,           -0.0148,           18.5641,
Ref 15,7.30116e-08,,,,,,1.1903e-02,4.1573e-03,4.8091e-05,4.5531e-06,5.5225e-08,,,,,,,,,,,
Sam 15,7.11445e-08,1.19877e-02,4.2048e-03,4.8981e-05,4.6572e-06,5.8238e-08,,,,,,            7.0774,           11.3871,           18.4335,           22.8733,           49.8041,            3.8079,           -4.4836,           -0.1451,           -0.0300,           19.0103,
Ref 16,7.19092e-08,,,,,,1.1904e-02,4.1576e-03,4.8098e-05,4.5531e-06,5.5729e-08,,,,,,,,,,,
Sam 16,7.00020e-08,1.19878e-02,4.2050e-03,4.8982e-05,4.6566e-06,5.8723e-08,,,,,,            7.0681,           11.3876,           18.3546,           22.7468,           57.3201,            3.7981,           -4.4832,           -0.2136,           -0.1544,           26.3150,
Ref 17,7.08139e-08,,,,,,1.1904e-02,4.1578e-03,4.8100e-05,4.5530e-06,5.5348e-08,,,,,,,,,,,
Sam 17,6.88932e-08,1.19879e-02,4.2052e-03,4.8985e-05,4.6587e-06,5.8031e-08,,,,,,            7.0656,           11.3922,           18.3254,           23.1938,           37.5128,            3.7953,           -4.4786,           -0.2442,            0.2734,            7.0820,
Ref 18,6.97403e-08,,,,,,1.1904e-02,4.1580e-03,4.8107e-05,4.5532e-06,5.6526e-08,,,,,,,,,,,
Sam 18,6.78025e-08,1.19880e-02,4.2053e-03,4.8992e-05,4.6602e-06,5.8039e-08,,,,,,            7.0669,           11.3695,           18.3660,           23.3392,           39.0823,            3.7974,           -4.5009,           -0.1836,            0.4603,            8.6487,
Ref 19,6.86963e-08,,,,,,1.1904e-02,4.1581e-03,4.8111e-05,4.5546e-06,5.5175e-08,,,,,,,,,,,
Sam 19,6.67410e-08,1.19880e-02,4.2055e-03,4.8987e-05,4.6590e-06,5.8262e-08,,,,,,            7.0528,           11.3686,           18.2386,           22.9429,           62.6161,            3.7824,           -4.5018,           -0.2933,            0.0747,           31.5104,
Ref 20,6.76747e-08,,,,,,1.1904e-02,4.1583e-03,4.8109e-05,4.5545e-06,5.4478e-08,,,,,,,,,,,
Sam 20,6.56955e-08,1.19882e-02,4.2057e-03,4.8995e-05,4.6595e-06,5.7772e-08,,,,,,            7.0722,           11.3920,           18.3793,           22.9377,           49.2211,            3.8023,           -4.4788,           -0.1978,            0.0234,           18.4403,
Ref 21,6.66730e-08,,,,,,1.1904e-02,4.1584e-03,4.8113e-05,4.5554e-06,5.5653e-08,,,,,,,,,,,


Ref 1,6.61626e-08,,,,,,1.1904e-02,4.1585e-03,4.8119e-05,4.5553e-06,5.4850e-08,,,,,,,,,,,
Sam 1,6.41547e-08,1.19885e-02,4.2060e-03,4.9001e-05,4.6601e-06,5.8309e-08,,,,,,            7.0664,           11.3864,           18.3224,           22.8288,           48.2266,            3.7963,           -4.4844,           -0.2422,           -0.0719,           17.4924,
Ref 2,6.52037e-08,,,,,,1.1904e-02,4.1587e-03,4.8120e-05,4.5568e-06,5.6414e-08,,,,,,,,,,,
Sam 2,6.31603e-08,1.19885e-02,4.2060e-03,4.9001e-05,4.6586e-06,5.8913e-08,,,,,,            7.0610,           11.3666,           18.2372,           22.2406,           50.8599,            3.7913,           -4.5038,           -0.3012,           -0.6079,           20.0934,
Ref 3,6.42562e-08,,,,,,1.1905e-02,4.1588e-03,4.8126e-05,4.5577e-06,5.5704e-08,,,,,,,,,,,
Sam 3,6.21873e-08,1.19885e-02,4.2062e-03,4.9001e-05,4.6598e-06,5.8175e-08,,,,,,            7.0548,           11.3774,           18.1522,           22.5846,           39.6877,            3.7843,           -4.4932,           -0.3888,           -0.2929,            9.2337,
Ref 4,6.33130e-08,,,,,,1.1905e-02,4.1590e-03,4.8128e-05,4.5561e-06,5.6209e-08,,,,,,,,,,,
Sam 4,6.12278e-08,1.19888e-02,4.2063e-03,4.9008e-05,4.6600e-06,5.8129e-08,,,,,,            7.0699,           11.3667,           18.2741,           22.7949,           37.7887,            3.8007,           -4.5038,           -0.2740,           -0.0661,            7.3954,
Ref 5,6.23911e-08,,,,,,1.1905e-02,4.1591e-03,4.8128e-05,4.5562e-06,5.5813e-08,,,,,,,,,,,
Sam 5,6.02831e-08,1.19888e-02,4.2065e-03,4.9009e-05,4.6621e-06,5.7726e-08,,,,,,            7.0595,           11.3789,           18.2697,           23.1057,           26.9221,            3.7892,           -4.4917,           -0.2796,            0.2135,           -3.1658,
Ref 6,6.14815e-08,,,,,,1.1905e-02,4.1592e-03,4.8132e-05,4.5575e-06,5.6618e-08,,,,,,,,,,,
Sam 6,5.93657e-08,1.19887e-02,4.2066e-03,4.9011e-05,4.6620e-06,5.8067e-08,,,,,,            7.0510,           11.3860,           18.2189,           22.9340,           44.3721,            3.7799,           -4.4847,           -0.3278,            0.0316,           13.7680,
Ref 7,6.06112e-08,,,,,,1.1905e-02,4.1593e-03,4.8137e-05,4.5575e-06,5.4567e-08,,,,,,,,,,,
Sam 7,5.84661e-08,1.19889e-02,4.2067e-03,4.9018e-05,4.6623e-06,5.7269e-08,,,,,,            7.0735,           11.3626,           18.2919,           22.9279,           27.8094,            3.8047,           -4.5078,           -0.2563,            0.0720,           -2.2875,
Ref 8,5.97429e-08,,,,,,1.1905e-02,4.1595e-03,4.8139e-05,4.5580e-06,5.6889e-08,,,,,,,,,,,
Sam 8,5.75835e-08,1.19888e-02,4.2068e-03,4.9018e-05,4.6631e-06,5.8144e-08,,,,,,            7.0604,           11.3547,           18.3180,           22.9163,           29.0727,            3.7910,           -4.5156,           -0.2095,            0.0763,           -1.0319,
Ref 9,5.88863e-08,,,,,,1.1905e-02,4.1596e-03,4.8134e-05,4.5592e-06,5.6107e-08,,,,,,,,,,,
Sam 9,5.67155e-08,1.19887e-02,4.2068e-03,4.9018e-05,4.6640e-06,5.8201e-08,,,,,,            7.0463,           11.3402,           18.3281,           23.1725,           46.1933,            3.7765,           -4.5299,           -0.1711,            0.3555,           15.6315,
Ref 10,5.80456e-08,,,,,,1.1905e-02,4.1597e-03,4.8137e-05,4.5575e-06,5.5149e-08,,,,,,,,,,,
Sam 10,5.58658e-08,1.19887e-02,4.2069e-03,4.9026e-05,4.6624e-06,5.9006e-08,,,,,,            7.0456,           11.3480,           18.3931,           22.6363,           70.7156,            3.7755,           -4.5221,           -0.1142,           -0.1842,           39.4224,
Ref 11,5.72263e-08,,,,,,1.1905e-02,4.1598e-03,4.8144e-05,4.5609e-06,5.5069e-08,,,,,,,,,,,
Sam 11,5.50362e-08,1.19888e-02,4.2070e-03,4.9027e-05,4.6624e-06,5.8674e-08,,,,,,            7.0467,           11.3419,           18.3353,           22.1709,           71.9911,            3.7769,           -4.5282,           -0.1661,           -0.6272,           40.6718,
Ref 12,5.64188e-08,,,,,,1.1905e-02,4.1599e-03,4.8145e-05,4.5617e-06,5.4393e-08,,,,,,,,,,,
Sam 12,5.42180e-08,1.19889e-02,4.2071e-03,4.9022e-05,4.6651e-06,5.6763e-08,,,,,,            7.0455,           11.3245,           18.1861,           22.7863,           35.2140,            3.7762,           -4.5453,           -0.2945,            0.0089,            5.0044,
Ref 13,5.56270e-08,,,,,,1.1905e-02,4.1600e-03,4.8149e-05,4.5606e-06,5.5277e-08,,,,,,,,,,,
Sam 13,5.34241e-08,1.19888e-02,4.2072e-03,4.9021e-05,4.6627e-06,5.7724e-08,,,,,,            7.0324,           11.3391,           18.1085,           22.5015,           41.3358,            3.7617,           -4.5308,           -0.3714,           -0.2985,           10.9328,
Ref 14,5.48508e-08,,,,,,1.1905e-02,4.1600e-03,4.8149e-05,4.5596e-06,5.5590e-08,,,,,,,,,,,
Sam 14,5.26444e-08,1.19887e-02,4.2072e-03,4.9156e-05,4.6830e-06,9.8645e-08,,,,,,            7.0304,           11.3294,           20.8475,           26.9486,          801.2388,            3.7599,           -4.5405,            2.3294,            4.0689,          748.6863,
Ref 15,5.40893e-08,,,,,,1.1905e-02,4.1601e-03,4.8154e-05,4.5606e-06,5.3929e-08,,,,,,,,,,,
Sam 15,5.18732e-08,1.19889e-02,4.2073e-03,4.9041e-05,4.6651e-06,5.9298e-08,,,,,,            7.0396,           11.3207,           18.4290,           23.0422,           99.8214,            3.7700,           -4.5491,           -0.0461,            0.2667,           67.7411,
Ref 16,5.33402e-08,,,,,,1.1905e-02,4.1603e-03,4.8152e-05,4.5594e-06,5.3902e-08,,,,,,,,,,,
Sam 16,5.11184e-08,1.19888e-02,4.2074e-03,4.9027e-05,4.6665e-06,5.7826e-08,,,,,,            7.0278,           11.3193,           18.0861,           23.4609,           86.7194,            3.7575,           -4.5504,           -0.3695,            0.6788,           55.0372,
Ref 17,5.26009e-08,,,,,,1.1905e-02,4.1603e-03,4.8161e-05,4.5595e-06,5.2511e-08,,,,,,,,,,,
Sam 17,5.03699e-08,1.19888e-02,4.2074e-03,4.9037e-05,4.6660e-06,5.4653e-08,,,,,,            7.0249,           11.3225,           18.3232,           23.0752,           28.1981,            3.7543,           -4.5472,           -0.1368,            0.2953,           -1.7811,
Ref 18,5.18745e-08,,,,,,1.1905e-02,4.1603e-03,4.8148e-05,4.5619e-06,5.3805e-08,,,,,,,,,,,
Sam 18,4.96398e-08,1.19889e-02,4.2074e-03,4.9033e-05,4.6659e-06,5.4559e-08,,,,,,            7.0293,           11.3177,           18.2837,           22.4898,           14.4871,            3.7592,           -4.5519,           -0.1755,           -0.2676,          -15.0878,
Ref 19,5.11709e-08,,,,,,1.1905e-02,4.1604e-03,4.8158e-05,4.5646e-06,5.3755e-08,,,,,,,,,,,
Sam 19,4.89286e-08,1.19888e-02,4.2074e-03,4.9035e-05,4.6657e-06,5.5455e-08,,,,,,            7.0221,           11.2976,           18.2236,           22.5388,           31.0145,            3.7523,           -4.5718,           -0.2076,           -0.1799,            1.0046,
Ref 20,5.04727e-08,,,,,,1.1905e-02,4.1604e-03,4.8157e-05,4.5610e-06,5.3818e-08,,,,,,,,,,,
Sam 20,4.82279e-08,1.19889e-02,4.2075e-03,4.9037e-05,4.6649e-06,5.6146e-08,,,,,,            7.0386,           11.3097,           18.3131,           22.7736,           49.6582,            3.7693,           -4.5598,           -0.1483,            0.0257,           19.0639,
Ref 21,4.97868e-08,,,,,,1.1905e-02,4.1605e-03,4.8153e-05,4.5610e-06,5.3156e-08,,,,,,,,,,,


Ref 1,4.94289e-08,,,,,,1.1905e-02,4.1604e-03,4.8157e-05,4.5602e-06,5.3689e-08,,,,,,,,,,,
Sam 1,4.71943e-08,1.19888e-02,4.2075e-03,4.9037e-05,4.6655e-06,5.5587e-08,,,,,,            7.0327,           11.3103,           18.2223,           23.1417,           50.1698,            3.7630,           -4.5592,           -0.2320,            0.3843,           19.5657,
Ref 2,4.87696e-08,,,,,,1.1905e-02,4.1605e-03,4.8161e-05,4.5598e-06,5.2163e-08,,,,,,,,,,,
Sam 2,4.65298e-08,1.19889e-02,4.2075e-03,4.9036e-05,4.6635e-06,5.5166e-08,,,,,,            7.0383,           11.2847,           18.1882,           22.5804,           60.0110,            3.7699,           -4.5845,           -0.2463,           -0.1138,           29.1652,
Ref 3,4.81120e-08,,,,,,1.1905e-02,4.1606e-03,4.8159e-05,4.5612e-06,5.1921e-08,,,,,,,,,,,
Sam 3,4.58750e-08,1.19887e-02,4.2076e-03,4.9041e-05,4.6642e-06,5.4605e-08,,,,,,            7.0175,           11.2661,           18.2513,           22.3680,           45.7070,            3.7485,           -4.6028,           -0.1450,           -0.2846,           15.3366,
Ref 4,4.74685e-08,,,,,,1.1905e-02,4.1607e-03,4.8165e-05,4.5631e-06,5.2520e-08,,,,,,,,,,,
Sam 4,4.52382e-08,1.19888e-02,4.2077e-03,4.9040e-05,4.6655e-06,5.3136e-08,,,,,,            7.0151,           11.2805,           18.1433,           22.3363,            3.5313,            3.7453,           -4.5886,           -0.2625,           -0.3440,          -25.6389,
Ref 5,4.68294e-08,,,,,,1.1905e-02,4.1607e-03,4.8167e-05,4.5642e-06,5.3385e-08,,,,,,,,,,,
Sam 5,4.46090e-08,1.19886e-02,4.2077e-03,4.9039e-05,4.6653e-06,5.3665e-08,,,,,,            7.0075,           11.2824,           18.0603,           22.4068,           20.7076,            3.7372,           -4.5867,           -0.3382,           -0.2789,           -8.9577,
Ref 6,4.62019e-08,,,,,,1.1905e-02,4.1608e-03,4.8170e-05,4.5620e-06,5.1757e-08,,,,,,,,,,,
Sam 6,4.39909e-08,1.19887e-02,4.2077e-03,4.9039e-05,4.6658e-06,5.5676e-08,,,,,,            7.0169,           11.2652,           17.9839,           22.5560,           76.2528,            3.7478,           -4.6036,           -0.4061,           -0.0991,           44.9977,
Ref 7,4.55852e-08,,,,,,1.1905e-02,4.1608e-03,4.8175e-05,4.5638e-06,5.1704e-08,,,,,,,,,,,
Sam 7,4.33848e-08,1.19887e-02,4.2077e-03,4.9043e-05,4.6652e-06,5.3968e-08,,,,,,            7.0183,           11.2773,           18.0122,           22.3712,           27.8170,            3.7489,           -4.5917,           -0.3915,           -0.3036,           -2.0565,
Ref 8,4.49772e-08,,,,,,1.1905e-02,4.1608e-03,4.8174e-05,4.5623e-06,5.3322e-08,,,,,,,,,,,
Sam 8,4.27927e-08,1.19885e-02,4.2077e-03,4.9047e-05,4.6629e-06,5.3474e-08,,,,,,            7.0114,           11.2643,           18.1321,           22.0735,            1.5180,            3.7420,           -4.6045,           -0.2541,           -0.5691,          -27.5595,
Ref 9,4.43852e-08,,,,,,1.1905e-02,4.1608e-03,4.8173e-05,4.5621e-06,5.3465e-08,,,,,,,,,,,
Sam 9,4.22080e-08,1.19885e-02,4.2078e-03,4.9049e-05,4.6654e-06,5.5058e-08,,,,,,            7.0220,           11.2714,           18.1933,           22.4671,           36.9327,            3.7530,           -4.5975,           -0.2117,           -0.1983,            6.8019,
Ref 10,4.37986e-08,,,,,,1.1905e-02,4.1609e-03,4.8173e-05,4.5637e-06,5.2723e-08,,,,,,,,,,,
Sam 10,4.16314e-08,1.19886e-02,4.2078e-03,4.9045e-05,4.6647e-06,5.4192e-08,,,,,,            7.0350,           11.2734,           18.0153,           22.2859,           40.1534,            3.7667,           -4.5956,           -0.4017,           -0.3794,            9.9114,
Ref 11,4.32229e-08,,,,,,1.1905e-02,4.1609e-03,4.8181e-05,4.5623e-06,5.1469e-08,,,,,,,,,,,
Sam 11,4.10683e-08,1.19884e-02,4.2078e-03,4.9051e-05,4.6667e-06,5.6054e-08,,,,,,            7.0195,           11.2688,           18.1187,           23.0548,           73.3931,            3.7505,           -4.6001,           -0.2799,            0.3816,           42.2109,
Ref 12,4.26546e-08,,,,,,1.1905e-02,4.1609e-03,4.8174e-05,4.5607e-06,5.2984e-08,,,,,,,,,,,
Sam 12,4.05194e-08,1.19885e-02,4.2078e-03,4.9053e-05,4.6669e-06,5.3980e-08,,,,,,            7.0264,           11.2708,           18.2243,           23.0122,           28.0373,            3.7577,           -4.5982,           -0.1851,            0.3361,           -1.8383,
Ref 13,4.21002e-08,,,,,,1.1905e-02,4.1609e-03,4.8175e-05,4.5631e-06,5.2026e-08,,,,,,,,,,,
Sam 13,3.99745e-08,1.19884e-02,4.2078e-03,4.9049e-05,4.6668e-06,5.4873e-08,,,,,,            7.0252,           11.2704,           18.1869,           22.6774,           37.4209,            3.7564,           -4.5985,           -0.2203,            0.0093,            7.2745,
Ref 14,4.15573e-08,,,,,,1.1905e-02,4.1609e-03,4.8171e-05,4.5635e-06,5.3772e-08,,,,,,,,,,,
Sam 14,3.94442e-08,1.19883e-02,4.2079e-03,4.9054e-05,4.6642e-06,5.5842e-08,,,,,,            7.0230,           11.2733,           18.2592,           22.2122,           38.9549,            3.7541,           -4.5957,           -0.1499,           -0.4512,            8.7605,
Ref 15,4.10230e-08,,,,,,1.1905e-02,4.1610e-03,4.8177e-05,4.5621e-06,5.3723e-08,,,,,,,,,,,
Sam 15,3.89211e-08,1.19884e-02,4.2079e-03,4.9053e-05,4.6634e-06,5.5141e-08,,,,,,            7.0318,           11.2665,           18.1957,           21.9738,           44.6643,            3.7636,           -4.6024,           -0.2146,           -0.6708,           14.3081,
Ref 16,4.04923e-08,,,,,,1.1905e-02,4.1611e-03,4.8176e-05,4.5642e-06,5.1831e-08,,,,,,,,,,,
Sam 16,3.84048e-08,1.19884e-02,4.2080e-03,4.9049e-05,4.6662e-06,5.4145e-08,,,,,,            7.0250,           11.2715,           18.0955,           22.4826,           56.2400,            3.7562,           -4.5974,           -0.3109,           -0.1833,           25.5447,
Ref 17,3.99709e-08,,,,,,1.1905e-02,4.1611e-03,4.8178e-05,4.5629e-06,5.0686e-08,,,,,,,,,,,
Sam 17,3.78977e-08,1.19884e-02,4.2079e-03,4.9050e-05,4.6655e-06,5.3152e-08,,,,,,            7.0287,           11.2525,           18.0972,           22.4769,           32.2229,            3.7608,           -4.6162,           -0.2945,           -0.1512,            2.2588,
Ref 18,3.94581e-08,,,,,,1.1905e-02,4.1611e-03,4.8179e-05,4.5629e-06,5.2310e-08,,,,,,,,,,,
Sam 18,3.74038e-08,1.19884e-02,4.2080e-03,4.9056e-05,4.6677e-06,5.5192e-08,,,,,,            7.0266,           11.2703,           18.2172,           22.8475,           66.4426,            3.7579,           -4.5986,           -0.1919,            0.1759,           35.4515,
Ref 19,3.89553e-08,,,,,,1.1905e-02,4.1610e-03,4.8178e-05,4.5639e-06,5.1190e-08,,,,,,,,,,,
Sam 19,3.69079e-08,1.19883e-02,4.2079e-03,4.9054e-05,4.6672e-06,5.5619e-08,,,,,,            7.0209,           11.2461,           18.0378,           22.4338,           42.8178,            3.7528,           -4.6225,           -0.3387,           -0.1806,           12.5671,
Ref 20,3.84605e-08,,,,,,1.1905e-02,4.1611e-03,4.8193e-05,4.5656e-06,5.5508e-08,,,,,,,,,,,
Sam 20,3.64345e-08,1.19882e-02,4.2079e-03,4.9058e-05,4.6658e-06,5.3441e-08,,,,,,            7.0146,           11.2566,           18.0255,           22.2788,          -20.5774,            3.7457,           -4.6121,           -0.3545,           -0.3530,          -49.0022,
Ref 21,3.79690e-08,,,,,,1.1905e-02,4.1611e-03,4.8185e-05,4.5625e-06,5.3608e-08,,,,,,,,,,,


