Nu Stable Isotope Analysis Program
Data Collected on Sunday, December 31, 2017 at 22:56 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, December 31, 2017 at 23:55 with Stable 1.69.5 on PS019

Data File = Data_3806 NCM.txt,            Sample Weight = 457,                      Vial Location = 43,                       Initial Sam Beam = 2.0104e-07,            ColdFinger Status = CF,                   Min Ref Beam = 1.3563e-08,                Max Ref Beam = 9.2811e-08,                
Analysis undertaken at mass 45.78917
Analysis undertaken at mass 45.78917
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.89184e-08,,,,,,1.1910e-02,4.1653e-03,4.8244e-05,4.5656e-06,5.8080e-08,,,,,,,,,,,
Sam 1,3.85077e-08,1.19777e-02,4.2155e-03,4.9083e-05,4.6803e-06,5.7952e-08,,,,,,            5.7997,           12.2638,           17.6466,           24.9086,           17.6968,            2.4191,           -3.6170,           -0.4630,            0.2250,          -12.5066,
Ref 2,3.83201e-08,,,,,,1.1907e-02,4.1635e-03,4.8219e-05,4.5674e-06,5.5791e-08,,,,,,,,,,,
Sam 2,3.78908e-08,1.19755e-02,4.2140e-03,4.9070e-05,4.6818e-06,6.2114e-08,,,,,,            5.7832,           12.2457,           17.8029,           25.3085,           99.4260,            2.4021,           -3.6348,           -0.2749,            0.6510,           66.8532,
Ref 3,3.77450e-08,,,,,,1.1906e-02,4.1625e-03,4.8204e-05,4.5650e-06,5.7214e-08,,,,,,,,,,,
Sam 3,3.73416e-08,1.19747e-02,4.2133e-03,4.9051e-05,4.6772e-06,5.6597e-08,,,,,,            5.8009,           12.2773,           17.6651,           24.4165,            7.7954,            2.4199,           -3.6037,           -0.4591,           -0.2818,          -22.1410,
Ref 4,3.72275e-08,,,,,,1.1905e-02,4.1619e-03,4.8195e-05,4.5664e-06,5.5089e-08,,,,,,,,,,,
Sam 4,3.68269e-08,1.19740e-02,4.2128e-03,4.9037e-05,4.6807e-06,5.7009e-08,,,,,,            5.7980,           12.2727,           17.5506,           25.3679,           29.6042,            2.4170,           -3.6083,           -0.5641,            0.6558,           -0.9679,
Ref 5,3.67305e-08,,,,,,1.1905e-02,4.1615e-03,4.8188e-05,4.5633e-06,5.5654e-08,,,,,,,,,,,
Sam 5,3.63352e-08,1.19736e-02,4.2126e-03,4.9037e-05,4.6786e-06,5.6141e-08,,,,,,            5.7920,           12.2801,           17.6681,           25.1907,            0.3553,            2.4104,           -3.6010,           -0.4498,            0.4682,          -29.3562,
Ref 6,3.62494e-08,,,,,,1.1905e-02,4.1615e-03,4.8184e-05,4.5640e-06,5.6595e-08,,,,,,,,,,,
Sam 6,3.58635e-08,1.19734e-02,4.2125e-03,4.9032e-05,4.6730e-06,5.7503e-08,,,,,,            5.7908,           12.2709,           17.5799,           24.2421,            8.1840,            2.4094,           -3.6100,           -0.5262,           -0.4393,          -21.7413,
Ref 7,3.57888e-08,,,,,,1.1904e-02,4.1613e-03,4.8186e-05,4.5608e-06,5.7483e-08,,,,,,,,,,,
Sam 7,3.54089e-08,1.19732e-02,4.2124e-03,4.9027e-05,4.6707e-06,5.9221e-08,,,,,,            5.7868,           12.2708,           17.4023,           23.7041,           38.0154,            2.4051,           -3.6101,           -0.6965,           -0.9642,            7.2091,
Ref 8,3.53392e-08,,,,,,1.1904e-02,4.1613e-03,4.8190e-05,4.5644e-06,5.6616e-08,,,,,,,,,,,
Sam 8,3.49589e-08,1.19732e-02,4.2123e-03,4.9033e-05,4.6768e-06,5.9063e-08,,,,,,            5.7913,           12.2622,           17.5450,           24.7239,           44.2080,            2.4102,           -3.6186,           -0.5526,            0.0480,           13.2300,
Ref 9,3.48938e-08,,,,,,1.1904e-02,4.1612e-03,4.8185e-05,4.5635e-06,5.6508e-08,,,,,,,,,,,
Sam 9,3.45186e-08,1.19732e-02,4.2123e-03,4.9031e-05,4.6754e-06,5.5884e-08,,,,,,            5.7947,           12.2792,           17.6115,           24.4228,           -1.0945,            2.4133,           -3.6019,           -0.5073,           -0.2794,          -30.7641,
Ref 10,3.44610e-08,,,,,,1.1904e-02,4.1612e-03,4.8180e-05,4.5644e-06,5.5376e-08,,,,,,,,,,,
Sam 10,3.40858e-08,1.19732e-02,4.2123e-03,4.9032e-05,4.6745e-06,5.6431e-08,,,,,,            5.8011,           12.2852,           17.6623,           24.2650,           20.7921,            2.4198,           -3.5960,           -0.4697,           -0.4452,           -9.5457,
Ref 11,3.40316e-08,,,,,,1.1904e-02,4.1612e-03,4.8182e-05,4.5631e-06,5.5186e-08,,,,,,,,,,,
Sam 11,3.36620e-08,1.19731e-02,4.2122e-03,4.9033e-05,4.6733e-06,5.4571e-08,,,,,,            5.8017,           12.2659,           17.6752,           24.2550,           13.7117,            2.4211,           -3.6150,           -0.4389,           -0.4170,          -16.3795,
Ref 12,3.36109e-08,,,,,,1.1904e-02,4.1612e-03,4.8180e-05,4.5623e-06,5.2462e-08,,,,,,,,,,,
Sam 12,3.32431e-08,1.19730e-02,4.2122e-03,4.9037e-05,4.6763e-06,5.7496e-08,,,,,,            5.7936,           12.2605,           17.7078,           24.3627,           81.3887,            2.4127,           -3.6203,           -0.3934,           -0.3011,           49.3086,
Ref 13,3.31981e-08,,,,,,1.1904e-02,4.1613e-03,4.8188e-05,4.5680e-06,5.3884e-08,,,,,,,,,,,
Sam 13,3.28306e-08,1.19732e-02,4.2123e-03,4.9039e-05,4.6783e-06,5.5767e-08,,,,,,            5.8049,           12.2767,           17.6513,           24.3554,           50.7673,            2.4242,           -3.6043,           -0.4763,           -0.3404,           19.5512,
Ref 14,3.27913e-08,,,,,,1.1904e-02,4.1612e-03,4.8189e-05,4.5661e-06,5.2252e-08,,,,,,,,,,,
Sam 14,3.24288e-08,1.19730e-02,4.2123e-03,4.9040e-05,4.6761e-06,5.4043e-08,,,,,,            5.7942,           12.2736,           17.7006,           24.1847,           31.7348,            2.4129,           -3.6073,           -0.4139,           -0.5008,            1.1014,
Ref 15,3.23937e-08,,,,,,1.1904e-02,4.1613e-03,4.8186e-05,4.5653e-06,5.2512e-08,,,,,,,,,,,
Sam 15,3.20354e-08,1.19730e-02,4.2124e-03,4.9041e-05,4.6761e-06,5.5494e-08,,,,,,            5.7898,           12.2793,           17.7105,           24.2327,           43.4057,            2.4080,           -3.6018,           -0.4051,           -0.4651,           12.4195,
Ref 16,3.20038e-08,,,,,,1.1904e-02,4.1613e-03,4.8189e-05,4.5658e-06,5.3867e-08,,,,,,,,,,,
Sam 16,3.16480e-08,1.19730e-02,4.2123e-03,4.9042e-05,4.6780e-06,5.4326e-08,,,,,,            5.7969,           12.2566,           17.6513,           24.6069,            3.1826,            2.4164,           -3.6241,           -0.4485,           -0.0552,          -26.5736,
Ref 17,3.16189e-08,,,,,,1.1904e-02,4.1613e-03,4.8193e-05,4.5656e-06,5.4443e-08,,,,,,,,,,,
Sam 17,3.12635e-08,1.19730e-02,4.2123e-03,4.9041e-05,4.6752e-06,5.4633e-08,,,,,,            5.7897,           12.2514,           17.5828,           24.2921,           -7.6588,            2.4089,           -3.6293,           -0.5033,           -0.3520,          -37.0762,
Ref 18,3.12380e-08,,,,,,1.1904e-02,4.1614e-03,4.8194e-05,4.5631e-06,5.5674e-08,,,,,,,,,,,
Sam 18,3.08790e-08,1.19730e-02,4.2124e-03,4.9039e-05,4.6783e-06,5.4520e-08,,,,,,            5.7983,           12.2651,           17.4946,           25.1417,           -2.3000,            2.4175,           -3.6157,           -0.6122,            0.4499,          -31.9110,
Ref 19,3.08557e-08,,,,,,1.1904e-02,4.1613e-03,4.8198e-05,4.5640e-06,5.3605e-08,,,,,,,,,,,
Sam 19,3.05005e-08,1.19729e-02,4.2124e-03,4.9042e-05,4.6732e-06,5.6053e-08,,,,,,            5.7939,           12.2708,           17.6015,           23.4097,           33.2860,            2.4127,           -3.6101,           -0.5082,           -1.2515,            2.6125,
Ref 20,3.04913e-08,,,,,,1.1904e-02,4.1614e-03,4.8189e-05,4.5687e-06,5.4897e-08,,,,,,,,,,,
Sam 20,3.01332e-08,1.19729e-02,4.2124e-03,4.9052e-05,4.6717e-06,5.7015e-08,,,,,,            5.7939,           12.2769,           17.8430,           22.7350,           50.9208,            2.4125,           -3.6041,           -0.2768,           -1.9220,           19.7116,
Ref 21,3.01313e-08,,,,,,1.1904e-02,4.1613e-03,4.8195e-05,4.5669e-06,5.3600e-08,,,,,,,,,,,


Ref 1,2.99524e-08,,,,,,1.1904e-02,4.1612e-03,4.8192e-05,4.5661e-06,5.3276e-08,,,,,,,,,,,
Sam 1,2.95858e-08,1.19727e-02,4.2124e-03,4.9035e-05,4.6788e-06,5.6891e-08,,,,,,            5.7911,           12.2774,           17.4571,           24.7378,           62.8187,            2.4095,           -3.6036,           -0.6535,            0.0315,           31.2582,
Ref 2,2.95957e-08,,,,,,1.1904e-02,4.1614e-03,4.8195e-05,4.5655e-06,5.3785e-08,,,,,,,,,,,
Sam 2,2.92297e-08,1.19730e-02,4.2124e-03,4.9042e-05,4.6766e-06,5.5333e-08,,,,,,            5.8048,           12.2523,           17.5684,           23.9826,           26.8066,            2.4248,           -3.6284,           -0.5337,           -0.6558,           -3.6502,
Ref 3,2.92429e-08,,,,,,1.1904e-02,4.1614e-03,4.8196e-05,4.5687e-06,5.3994e-08,,,,,,,,,,,
Sam 3,2.88792e-08,1.19728e-02,4.2124e-03,4.9047e-05,4.6782e-06,5.8290e-08,,,,,,            5.7836,           12.2463,           17.6938,           24.0668,           87.9860,            2.4025,           -3.6343,           -0.3830,           -0.5619,           55.7505,
Ref 4,2.88948e-08,,,,,,1.1904e-02,4.1615e-03,4.8194e-05,4.5678e-06,5.3153e-08,,,,,,,,,,,
Sam 4,2.85346e-08,1.19731e-02,4.2124e-03,4.9046e-05,4.6780e-06,5.6443e-08,,,,,,            5.8151,           12.2585,           17.6426,           24.2470,           59.6129,            2.4356,           -3.6223,           -0.4774,           -0.4101,           28.1594,
Ref 5,2.85552e-08,,,,,,1.1904e-02,4.1614e-03,4.8198e-05,4.5666e-06,5.3384e-08,,,,,,,,,,,
Sam 5,2.81988e-08,1.19730e-02,4.2125e-03,4.9050e-05,4.6775e-06,5.7470e-08,,,,,,            5.8124,           12.2731,           17.6694,           24.5777,           73.1770,            2.4322,           -3.6079,           -0.4626,           -0.1162,           41.2943,
Ref 6,2.82196e-08,,,,,,1.1904e-02,4.1615e-03,4.8198e-05,4.5639e-06,5.3721e-08,,,,,,,,,,,
Sam 6,2.78653e-08,1.19729e-02,4.2124e-03,4.9048e-05,4.6791e-06,5.9634e-08,,,,,,            5.7949,           12.2500,           17.6146,           24.7397,           93.2455,            2.4145,           -3.6306,           -0.4761,            0.0875,           60.8337,
Ref 7,2.78921e-08,,,,,,1.1904e-02,4.1614e-03,4.8200e-05,4.5685e-06,5.5384e-08,,,,,,,,,,,
Sam 7,2.75351e-08,1.19729e-02,4.2124e-03,4.9058e-05,4.6802e-06,6.0459e-08,,,,,,            5.7987,           12.2525,           17.8301,           25.1177,           88.9302,            2.4184,           -3.6281,           -0.2708,            0.4514,           56.6369,
Ref 8,2.75667e-08,,,,,,1.1904e-02,4.1615e-03,4.8196e-05,4.5625e-06,5.5662e-08,,,,,,,,,,,
Sam 8,2.72178e-08,1.19728e-02,4.2126e-03,4.9051e-05,4.6806e-06,5.9056e-08,,,,,,            5.7946,           12.2803,           17.6715,           25.4714,           58.5779,            2.4131,           -3.6007,           -0.4493,            0.7417,           27.1339,
Ref 9,2.72529e-08,,,,,,1.1904e-02,4.1615e-03,4.8202e-05,4.5661e-06,5.5915e-08,,,,,,,,,,,
Sam 9,2.69066e-08,1.19729e-02,4.2125e-03,4.9059e-05,4.6764e-06,5.8908e-08,,,,,,            5.7970,           12.2587,           17.7101,           24.1571,           56.9392,            2.4164,           -3.6220,           -0.3929,           -0.4983,           25.5841,
Ref 10,2.69421e-08,,,,,,1.1904e-02,4.1615e-03,4.8208e-05,4.5661e-06,5.5552e-08,,,,,,,,,,,
Sam 10,2.65949e-08,1.19729e-02,4.2125e-03,4.9054e-05,4.6772e-06,5.6687e-08,,,,,,            5.7961,           12.2608,           17.5692,           24.2400,            0.5355,            2.4154,           -3.6199,           -0.5325,           -0.4216,          -29.1493,
Ref 11,2.66327e-08,,,,,,1.1904e-02,4.1615e-03,4.8206e-05,4.5669e-06,5.7775e-08,,,,,,,,,,,
Sam 11,2.62874e-08,1.19729e-02,4.2126e-03,4.9054e-05,4.6791e-06,5.6901e-08,,,,,,            5.7883,           12.2777,           17.6257,           24.4619,           -3.0986,            2.4065,           -3.6033,           -0.4853,           -0.2383,          -32.6993,
Ref 12,2.63273e-08,,,,,,1.1904e-02,4.1616e-03,4.8203e-05,4.5680e-06,5.6373e-08,,,,,,,,,,,
Sam 12,2.59859e-08,1.19730e-02,4.2127e-03,4.9051e-05,4.6778e-06,5.8573e-08,,,,,,            5.7918,           12.2779,           17.5852,           24.2014,           15.4950,            2.4102,           -3.6031,           -0.5290,           -0.4929,          -14.6619,
Ref 13,2.60282e-08,,,,,,1.1904e-02,4.1615e-03,4.8204e-05,4.5665e-06,5.9000e-08,,,,,,,,,,,
Sam 13,2.56848e-08,1.19730e-02,4.2126e-03,4.9061e-05,4.6773e-06,5.7804e-08,,,,,,            5.7977,           12.2620,           17.7124,           24.0345,            8.5567,            2.4170,           -3.6188,           -0.3946,           -0.6245,          -21.3700,
Ref 14,2.57309e-08,,,,,,1.1904e-02,4.1615e-03,4.8210e-05,4.5685e-06,5.5609e-08,,,,,,,,,,,
Sam 14,2.53887e-08,1.19730e-02,4.2126e-03,4.9051e-05,4.6772e-06,5.9232e-08,,,,,,            5.7947,           12.2594,           17.4698,           23.7358,           57.5862,            2.4139,           -3.6214,           -0.6272,           -0.9107,           26.2133,
Ref 15,2.54388e-08,,,,,,1.1904e-02,4.1616e-03,4.8208e-05,4.5689e-06,5.6409e-08,,,,,,,,,,,
Sam 15,2.50962e-08,1.19731e-02,4.2127e-03,4.9063e-05,4.6779e-06,5.6702e-08,,,,,,            5.7961,           12.2615,           17.7139,           23.6761,           12.6370,            2.4153,           -3.6193,           -0.3909,           -0.9731,          -17.4080,
Ref 16,2.51516e-08,,,,,,1.1904e-02,4.1617e-03,4.8210e-05,4.5705e-06,5.5575e-08,,,,,,,,,,,
Sam 16,2.48057e-08,1.19732e-02,4.2128e-03,4.9059e-05,4.6777e-06,5.7618e-08,,,,,,            5.7949,           12.2855,           17.6301,           23.4782,           26.9351,            2.4133,           -3.5957,           -0.4954,           -1.2137,           -3.5794,
Ref 17,2.48654e-08,,,,,,1.1904e-02,4.1617e-03,4.8209e-05,4.5702e-06,5.6646e-08,,,,,,,,,,,
Sam 17,2.45221e-08,1.19731e-02,4.2128e-03,4.9052e-05,4.6806e-06,5.3618e-08,,,,,,            5.7931,           12.2794,           17.4440,           24.5855,           11.8663,            2.4115,           -3.6017,           -0.6703,           -0.1210,          -18.1869,
Ref 18,2.45853e-08,,,,,,1.1904e-02,4.1617e-03,4.8213e-05,4.5664e-06,4.9291e-08,,,,,,,,,,,
Sam 18,2.42415e-08,1.19733e-02,4.2128e-03,4.9062e-05,4.6798e-06,5.3287e-08,,,,,,            5.8086,           12.2685,           17.6815,           24.7215,           44.4690,            2.4284,           -3.6124,           -0.4423,            0.0332,           13.4523,
Ref 19,2.43048e-08,,,,,,1.1904e-02,4.1617e-03,4.8206e-05,4.5674e-06,5.2765e-08,,,,,,,,,,,
Sam 19,2.39652e-08,1.19732e-02,4.2128e-03,4.9063e-05,4.6783e-06,5.8356e-08,,,,,,            5.7914,           12.2636,           17.7017,           24.6032,          100.0011,            2.4103,           -3.6172,           -0.4002,           -0.0726,           67.3648,
Ref 20,2.40336e-08,,,,,,1.1904e-02,4.1618e-03,4.8213e-05,4.5646e-06,5.3339e-08,,,,,,,,,,,
Sam 20,2.36944e-08,1.19735e-02,4.2130e-03,4.9064e-05,4.6806e-06,5.3612e-08,,,,,,            5.8058,           12.2919,           17.7087,           25.1569,           28.6374,            2.4246,           -3.5894,           -0.4355,            0.4119,           -1.9516,
Ref 21,2.37620e-08,,,,,,1.1904e-02,4.1618e-03,4.8208e-05,4.5669e-06,5.0885e-08,,,,,,,,,,,


Ref 1,2.36280e-08,,,,,,1.1904e-02,4.1619e-03,4.8216e-05,4.5653e-06,5.3149e-08,,,,,,,,,,,
Sam 1,2.32987e-08,1.19734e-02,4.2130e-03,4.9068e-05,4.6796e-06,5.4607e-08,,,,,,            5.7981,           12.2829,           17.6120,           24.6250,           15.0504,            2.4167,           -3.5982,           -0.5139,           -0.0895,          -15.1095,
Ref 2,2.33616e-08,,,,,,1.1904e-02,4.1620e-03,4.8221e-05,4.5690e-06,5.4452e-08,,,,,,,,,,,
Sam 2,2.30386e-08,1.19734e-02,4.2131e-03,4.9059e-05,4.6791e-06,5.5735e-08,,,,,,            5.7962,           12.2716,           17.4174,           24.5322,           37.3289,            2.4151,           -3.6093,           -0.6921,           -0.1576,            6.5314,
Ref 3,2.31045e-08,,,,,,1.1904e-02,4.1620e-03,4.8218e-05,4.5650e-06,5.2999e-08,,,,,,,,,,,
Sam 3,2.27827e-08,1.19735e-02,4.2131e-03,4.9069e-05,4.6814e-06,5.6000e-08,,,,,,            5.7905,           12.2635,           17.6004,           25.1970,           46.3352,            2.4093,           -3.6173,           -0.4986,            0.5070,           15.2923,
Ref 4,2.28448e-08,,,,,,1.1905e-02,4.1621e-03,4.8223e-05,4.5678e-06,5.4048e-08,,,,,,,,,,,
Sam 4,2.25305e-08,1.19738e-02,4.2132e-03,4.9071e-05,4.6790e-06,5.6453e-08,,,,,,            5.8140,           12.2920,           17.5284,           24.1638,           38.0083,            2.4333,           -3.5893,           -0.6211,           -0.5575,            7.1317,
Ref 5,2.25907e-08,,,,,,1.1905e-02,4.1621e-03,4.8227e-05,4.5696e-06,5.4727e-08,,,,,,,,,,,
Sam 5,2.22816e-08,1.19737e-02,4.2133e-03,4.9072e-05,4.6815e-06,5.6337e-08,,,,,,            5.8038,           12.2838,           17.5646,           24.3409,           30.7093,            2.4227,           -3.5974,           -0.5671,           -0.3683,            0.0767,
Ref 6,2.23399e-08,,,,,,1.1905e-02,4.1622e-03,4.8223e-05,4.5710e-06,5.4589e-08,,,,,,,,,,,
Sam 6,2.20366e-08,1.19738e-02,4.2134e-03,4.9071e-05,4.6834e-06,5.5641e-08,,,,,,            5.7995,           12.2742,           17.5924,           24.7064,           40.9766,            2.4185,           -3.6068,           -0.5261,            0.0072,           10.0621,
Ref 7,2.20940e-08,,,,,,1.1905e-02,4.1624e-03,4.8223e-05,4.5698e-06,5.2299e-08,,,,,,,,,,,
Sam 7,2.17939e-08,1.19739e-02,4.2134e-03,4.9070e-05,4.6883e-06,5.4504e-08,,,,,,            5.7991,           12.2619,           17.4987,           26.1195,            0.7287,            2.4185,           -3.6189,           -0.6058,            1.4105,          -28.9669,
Ref 8,2.18506e-08,,,,,,1.1905e-02,4.1624e-03,4.8230e-05,4.5681e-06,5.6654e-08,,,,,,,,,,,
Sam 8,2.15541e-08,1.19738e-02,4.2135e-03,4.9077e-05,4.6811e-06,5.4497e-08,,,,,,            5.7860,           12.2629,           17.5092,           24.9361,           -2.8678,            2.4046,           -3.6179,           -0.5830,            0.2537,          -32.4452,
Ref 9,2.16083e-08,,,,,,1.1905e-02,4.1624e-03,4.8235e-05,4.5663e-06,5.2631e-08,,,,,,,,,,,
Sam 9,2.13206e-08,1.19741e-02,4.2136e-03,4.9079e-05,4.6826e-06,5.8239e-08,,,,,,            5.8044,           12.2780,           17.5374,           25.3129,           82.1161,            2.4236,           -3.6031,           -0.5888,            0.5916,           49.9667,
Ref 10,2.13715e-08,,,,,,1.1905e-02,4.1625e-03,4.8230e-05,4.5677e-06,5.5021e-08,,,,,,,,,,,
Sam 10,2.10884e-08,1.19741e-02,4.2137e-03,4.9123e-05,4.6828e-06,7.2218e-08,,,,,,            5.8013,           12.2777,           18.5708,           25.2788,          322.3506,            2.4203,           -3.6033,            0.4297,            0.5589,          283.0688,
Ref 11,2.11373e-08,,,,,,1.1905e-02,4.1626e-03,4.8224e-05,4.5670e-06,5.4201e-08,,,,,,,,,,,
Sam 11,2.08588e-08,1.19743e-02,4.2137e-03,4.9097e-05,4.6785e-06,6.3352e-08,,,,,,            5.8040,           12.2738,           18.1217,           24.3904,          153.2751,            2.4233,           -3.6072,           -0.0104,           -0.3004,          119.0211,
Ref 12,2.09068e-08,,,,,,1.1905e-02,4.1626e-03,4.8223e-05,4.5673e-06,5.5671e-08,,,,,,,,,,,
Sam 12,2.06329e-08,1.19745e-02,4.2139e-03,4.9096e-05,4.6781e-06,6.0804e-08,,,,,,            5.8204,           12.3129,           17.9222,           24.0212,           94.6922,            2.4395,           -3.5687,           -0.2613,           -0.7380,           62.0790,
Ref 13,2.06802e-08,,,,,,1.1905e-02,4.1626e-03,4.8240e-05,4.5695e-06,5.5416e-08,,,,,,,,,,,
Sam 13,2.04111e-08,1.19746e-02,4.2139e-03,4.9096e-05,4.6832e-06,5.8223e-08,,,,,,            5.8087,           12.2897,           17.8058,           24.9370,          103.7355,            2.4278,           -3.5915,           -0.3411,            0.2015,           70.9144,
Ref 14,2.04547e-08,,,,,,1.1906e-02,4.1629e-03,4.8235e-05,4.5690e-06,5.0056e-08,,,,,,,,,,,
Sam 14,2.01914e-08,1.19747e-02,4.2139e-03,4.9094e-05,4.6773e-06,5.7741e-08,,,,,,            5.7998,           12.2703,           17.7708,           23.7665,          104.5399,            2.4190,           -3.6106,           -0.3475,           -0.9024,           71.7454,
Ref 15,2.02367e-08,,,,,,1.1906e-02,4.1629e-03,4.8238e-05,4.5685e-06,5.4519e-08,,,,,,,,,,,
Sam 15,1.99763e-08,1.19749e-02,4.2140e-03,4.9088e-05,4.6816e-06,5.6572e-08,,,,,,            5.8106,           12.2774,           17.6287,           24.9754,           46.9608,            2.4302,           -3.6037,           -0.5048,            0.2634,           15.8504,
Ref 16,2.00203e-08,,,,,,1.1906e-02,4.1630e-03,4.8238e-05,4.5666e-06,5.3545e-08,,,,,,,,,,,
Sam 16,1.97655e-08,1.19750e-02,4.2142e-03,4.9096e-05,4.6804e-06,5.6389e-08,,,,,,            5.8183,           12.2817,           17.7241,           24.3962,           62.3567,            2.4383,           -3.5994,           -0.4233,           -0.3104,           30.7717,
Ref 17,1.98062e-08,,,,,,1.1906e-02,4.1631e-03,4.8244e-05,4.5713e-06,5.2607e-08,,,,,,,,,,,
Sam 17,1.95562e-08,1.19751e-02,4.2142e-03,4.9091e-05,4.6777e-06,5.1698e-08,,,,,,            5.8211,           12.2788,           17.4817,           23.5757,          -21.0536,            2.4413,           -3.6023,           -0.6615,           -1.1054,          -50.1562,
Ref 18,1.95934e-08,,,,,,1.1906e-02,4.1632e-03,4.8250e-05,4.5686e-06,5.3014e-08,,,,,,,,,,,
Sam 18,1.93470e-08,1.19752e-02,4.2143e-03,4.9092e-05,4.6790e-06,5.6342e-08,,,,,,            5.8083,           12.2899,           17.5788,           24.3448,           43.8734,            2.4273,           -3.5913,           -0.5638,           -0.3768,           12.8325,
Ref 19,1.93769e-08,,,,,,1.1906e-02,4.1631e-03,4.8237e-05,4.5669e-06,5.4945e-08,,,,,,,,,,,
Sam 19,1.91413e-08,1.19751e-02,4.2144e-03,4.9093e-05,4.6850e-06,5.4565e-08,,,,,,            5.7921,           12.2945,           17.6688,           25.4874,           11.9492,            2.4100,           -3.5868,           -0.4632,            0.7293,          -18.1343,
Ref 20,1.91675e-08,,,,,,1.1906e-02,4.1633e-03,4.8245e-05,4.5702e-06,5.2886e-08,,,,,,,,,,,
Sam 20,1.89397e-08,1.19755e-02,4.2146e-03,4.9105e-05,4.6799e-06,5.4004e-08,,,,,,            5.8186,           12.2886,           17.7586,           24.2030,            9.2386,            2.4384,           -3.5926,           -0.3964,           -0.5125,          -20.7806,
Ref 21,1.89582e-08,,,,,,1.1906e-02,4.1635e-03,4.8251e-05,4.5684e-06,5.4140e-08,,,,,,,,,,,


