Nu Stable Isotope Analysis Program
Data Collected on Monday, January 01, 2018 at 03:04 with Stable 1.69.5 on PS019,Reanalyzed on Monday, January 01, 2018 at 04:03 with Stable 1.69.5 on PS019

Data File = Data_3809 NCM.txt,            Sample Weight = 489,                      Vial Location = 46,                       Initial Sam Beam = 1.7889e-07,            ColdFinger Status = CF,                   Min Ref Beam = 1.2231e-08,                Max Ref Beam = 8.3185e-08,                
Analysis undertaken at mass 45.79327
Analysis undertaken at mass 45.79327
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.46678e-08,,,,,,1.1911e-02,4.1658e-03,4.8251e-05,4.5699e-06,5.4014e-08,,,,,,,,,,,
Sam 1,3.43398e-08,1.19779e-02,4.2154e-03,4.9076e-05,4.6796e-06,5.8727e-08,,,,,,            5.7417,           12.1044,           17.3306,           24.2070,           79.8805,            2.3628,           -3.7739,           -0.5591,           -0.1449,           48.2205,
Ref 2,3.41714e-08,,,,,,1.1908e-02,4.1641e-03,4.8229e-05,4.5682e-06,5.4757e-08,,,,,,,,,,,
Sam 2,3.38378e-08,1.19759e-02,4.2138e-03,4.9056e-05,4.6745e-06,5.7352e-08,,,,,,            5.7271,           12.0721,           17.3412,           23.3470,           19.4773,            2.3484,           -3.8058,           -0.5023,           -0.9206,          -10.3342,
Ref 3,3.36876e-08,,,,,,1.1907e-02,4.1630e-03,4.8210e-05,4.5676e-06,5.7778e-08,,,,,,,,,,,
Sam 3,3.33741e-08,1.19750e-02,4.2130e-03,4.9048e-05,4.6764e-06,5.9328e-08,,,,,,            5.7395,           12.0770,           17.3855,           24.2036,           20.1301,            2.3614,           -3.8010,           -0.4762,           -0.0940,           -9.7230,
Ref 4,3.32421e-08,,,,,,1.1906e-02,4.1625e-03,4.8210e-05,4.5642e-06,5.8541e-08,,,,,,,,,,,
Sam 4,3.29359e-08,1.19745e-02,4.2127e-03,4.9043e-05,4.6751e-06,5.7022e-08,,,,,,            5.7472,           12.0912,           17.2931,           24.4140,           -7.4774,            2.3692,           -3.7869,           -0.5887,            0.0833,          -36.5571,
Ref 5,3.28189e-08,,,,,,1.1906e-02,4.1622e-03,4.8209e-05,4.5631e-06,5.6349e-08,,,,,,,,,,,
Sam 5,3.25193e-08,1.19741e-02,4.2124e-03,4.9035e-05,4.6706e-06,5.6285e-08,,,,,,            5.7403,           12.0861,           17.2483,           23.3667,           24.2538,            2.3620,           -3.7920,           -0.6207,           -0.9289,           -5.7384,
Ref 6,3.24077e-08,,,,,,1.1906e-02,4.1620e-03,4.8199e-05,4.5648e-06,5.3538e-08,,,,,,,,,,,
Sam 6,3.21090e-08,1.19739e-02,4.2122e-03,4.9035e-05,4.6714e-06,5.6057e-08,,,,,,            5.7474,           12.0873,           17.3832,           23.2936,           27.7198,            2.3695,           -3.7908,           -0.4966,           -1.0027,           -2.3837,
Ref 7,3.20005e-08,,,,,,1.1905e-02,4.1618e-03,4.8196e-05,4.5653e-06,5.5566e-08,,,,,,,,,,,
Sam 7,3.17119e-08,1.19737e-02,4.2122e-03,4.9033e-05,4.6729e-06,5.7960e-08,,,,,,            5.7408,           12.0990,           17.3547,           23.9934,           70.3403,            2.3621,           -3.7793,           -0.5293,           -0.3427,           38.9719,
Ref 8,3.16050e-08,,,,,,1.1905e-02,4.1618e-03,4.8197e-05,4.5614e-06,5.2719e-08,,,,,,,,,,,
Sam 8,3.13204e-08,1.19737e-02,4.2121e-03,4.9031e-05,4.6733e-06,5.6784e-08,,,,,,            5.7399,           12.0922,           17.3281,           23.8620,           57.4471,            2.3614,           -3.7859,           -0.5479,           -0.4575,           26.4711,
Ref 9,3.12177e-08,,,,,,1.1905e-02,4.1618e-03,4.8195e-05,4.5675e-06,5.4691e-08,,,,,,,,,,,
Sam 9,3.09404e-08,1.19736e-02,4.2121e-03,4.9034e-05,4.6749e-06,5.7672e-08,,,,,,            5.7385,           12.0858,           17.4212,           24.1794,           37.0954,            2.3601,           -3.7923,           -0.4488,           -0.1350,            6.7296,
Ref 10,3.08395e-08,,,,,,1.1905e-02,4.1618e-03,4.8194e-05,4.5614e-06,5.6538e-08,,,,,,,,,,,
Sam 10,3.05672e-08,1.19735e-02,4.2120e-03,4.9035e-05,4.6722e-06,5.7077e-08,,,,,,            5.7293,           12.0762,           17.3483,           24.0631,           41.2496,            2.3507,           -3.8017,           -0.5016,           -0.2295,           10.7909,
Ref 11,3.04713e-08,,,,,,1.1905e-02,4.1618e-03,4.8203e-05,4.5635e-06,5.3073e-08,,,,,,,,,,,
Sam 11,3.02021e-08,1.19736e-02,4.2120e-03,4.9035e-05,4.6740e-06,5.4007e-08,,,,,,            5.7411,           12.0768,           17.3597,           24.1822,           37.3370,            2.3632,           -3.8011,           -0.5031,           -0.1145,            6.9789,
Ref 12,3.01070e-08,,,,,,1.1905e-02,4.1618e-03,4.8194e-05,4.5637e-06,5.1042e-08,,,,,,,,,,,
Sam 12,2.98402e-08,1.19736e-02,4.2120e-03,4.9039e-05,4.6761e-06,5.4519e-08,,,,,,            5.7464,           12.0882,           17.5445,           24.6086,           61.2259,            2.3684,           -3.7900,           -0.3379,            0.2794,           30.1403,
Ref 13,2.97467e-08,,,,,,1.1905e-02,4.1617e-03,4.8192e-05,4.5639e-06,5.1709e-08,,,,,,,,,,,
Sam 13,2.94862e-08,1.19736e-02,4.2121e-03,4.9036e-05,4.6732e-06,5.2475e-08,,,,,,            5.7632,           12.1127,           17.4540,           23.7759,           -7.4067,            2.3854,           -3.7658,           -0.4679,           -0.5820,          -36.5449,
Ref 14,2.93911e-08,,,,,,1.1905e-02,4.1617e-03,4.8198e-05,4.5655e-06,5.4038e-08,,,,,,,,,,,
Sam 14,2.91347e-08,1.19734e-02,4.2121e-03,4.9042e-05,4.6751e-06,5.8705e-08,,,,,,            5.7439,           12.0980,           17.5670,           24.1093,           87.3461,            2.3654,           -3.7803,           -0.3228,           -0.2275,           55.4780,
Ref 15,2.90528e-08,,,,,,1.1905e-02,4.1617e-03,4.8192e-05,4.5646e-06,5.3941e-08,,,,,,,,,,,
Sam 15,2.88041e-08,1.19733e-02,4.2121e-03,4.9043e-05,4.6729e-06,5.6710e-08,,,,,,            5.7406,           12.1006,           17.4851,           23.4102,           64.0196,            2.3618,           -3.7777,           -0.4024,           -0.9151,           32.8335,
Ref 16,2.87172e-08,,,,,,1.1905e-02,4.1617e-03,4.8208e-05,4.5673e-06,5.2647e-08,,,,,,,,,,,
Sam 16,2.84679e-08,1.19732e-02,4.2120e-03,4.9045e-05,4.6741e-06,5.3661e-08,,,,,,            5.7419,           12.0846,           17.4022,           23.6882,           -8.7619,            2.3637,           -3.7935,           -0.4697,           -0.6122,          -37.7861,
Ref 17,2.83804e-08,,,,,,1.1905e-02,4.1617e-03,4.8205e-05,4.5646e-06,5.5641e-08,,,,,,,,,,,
Sam 17,2.81328e-08,1.19731e-02,4.2120e-03,4.9034e-05,4.6750e-06,5.7618e-08,,,,,,            5.7235,           12.0996,           17.1542,           24.2087,           53.0473,            2.3437,           -3.7786,           -0.7092,           -0.1337,           22.2032,
Ref 18,2.80496e-08,,,,,,1.1905e-02,4.1616e-03,4.8209e-05,4.5644e-06,5.3779e-08,,,,,,,,,,,
Sam 18,2.78008e-08,1.19731e-02,4.2120e-03,4.9041e-05,4.6726e-06,5.6267e-08,,,,,,            5.7448,           12.1027,           17.2961,           23.6252,           33.5376,            2.3662,           -3.7757,           -0.5944,           -0.7093,            3.2365,
Ref 19,2.77220e-08,,,,,,1.1905e-02,4.1616e-03,4.8205e-05,4.5650e-06,5.5111e-08,,,,,,,,,,,
Sam 19,2.74758e-08,1.19730e-02,4.2119e-03,4.9044e-05,4.6742e-06,5.5436e-08,,,,,,            5.7514,           12.0816,           17.4021,           24.1479,           -4.3505,            2.3740,           -3.7965,           -0.4766,           -0.1574,          -33.5080,
Ref 20,2.74017e-08,,,,,,1.1904e-02,4.1617e-03,4.8206e-05,4.5629e-06,5.6251e-08,,,,,,,,,,,
Sam 20,2.71572e-08,1.19729e-02,4.2120e-03,4.9041e-05,4.6732e-06,5.6395e-08,,,,,,            5.7462,           12.0877,           17.3023,           23.4183,           16.7679,            2.3682,           -3.7904,           -0.5753,           -0.8818,          -13.0144,
Ref 21,2.70820e-08,,,,,,1.1905e-02,4.1617e-03,4.8208e-05,4.5697e-06,5.4670e-08,,,,,,,,,,,


Ref 1,2.69245e-08,,,,,,1.1905e-02,4.1617e-03,4.8202e-05,4.5671e-06,5.1749e-08,,,,,,,,,,,
Sam 1,2.66817e-08,1.19728e-02,4.2119e-03,4.9031e-05,4.6721e-06,5.3346e-08,,,,,,            5.7282,           12.0663,           17.1032,           23.6125,           17.9793,            2.3498,           -3.8115,           -0.7315,           -0.6499,          -11.7784,
Ref 2,2.66136e-08,,,,,,1.1905e-02,4.1617e-03,4.8211e-05,4.5615e-06,5.3066e-08,,,,,,,,,,,
Sam 2,2.63726e-08,1.19731e-02,4.2120e-03,4.9044e-05,4.6753e-06,5.6181e-08,,,,,,            5.7441,           12.0936,           17.3101,           24.6235,           17.3482,            2.3658,           -3.7846,           -0.5711,            0.2832,          -12.4601,
Ref 3,2.63084e-08,,,,,,1.1905e-02,4.1617e-03,4.8209e-05,4.5644e-06,5.7406e-08,,,,,,,,,,,
Sam 3,2.60690e-08,1.19731e-02,4.2120e-03,4.9041e-05,4.6742e-06,5.7131e-08,,,,,,            5.7434,           12.0781,           17.3007,           24.0043,           20.6615,            2.3656,           -3.7999,           -0.5645,           -0.2906,           -9.2133,
Ref 4,2.60059e-08,,,,,,1.1905e-02,4.1617e-03,4.8206e-05,4.5648e-06,5.4526e-08,,,,,,,,,,,
Sam 4,2.57680e-08,1.19729e-02,4.2120e-03,4.9043e-05,4.6727e-06,5.8180e-08,,,,,,            5.7206,           12.0747,           17.3773,           23.6652,           44.6491,            2.3415,           -3.8032,           -0.4628,           -0.6151,           14.1032,
Ref 5,2.57089e-08,,,,,,1.1905e-02,4.1617e-03,4.8204e-05,4.5645e-06,5.6874e-08,,,,,,,,,,,
Sam 5,2.54747e-08,1.19731e-02,4.2121e-03,4.9051e-05,4.6761e-06,5.7460e-08,,,,,,            5.7419,           12.0896,           17.5415,           24.3680,            7.6293,            2.3635,           -3.7885,           -0.3377,            0.0416,          -21.8845,
Ref 6,2.54159e-08,,,,,,1.1905e-02,4.1618e-03,4.8206e-05,4.5652e-06,5.7178e-08,,,,,,,,,,,
Sam 6,2.51865e-08,1.19731e-02,4.2121e-03,4.9045e-05,4.6752e-06,6.1688e-08,,,,,,            5.7400,           12.0827,           17.3266,           23.8835,           74.9661,            2.3618,           -3.7953,           -0.5402,           -0.4178,           43.4961,
Ref 7,2.51281e-08,,,,,,1.1905e-02,4.1619e-03,4.8213e-05,4.5671e-06,5.7598e-08,,,,,,,,,,,
Sam 7,2.49004e-08,1.19731e-02,4.2121e-03,4.9055e-05,4.6744e-06,5.8993e-08,,,,,,            5.7362,           12.0684,           17.4569,           23.8349,           36.0153,            2.3583,           -3.8094,           -0.3944,           -0.4370,            5.7176,
Ref 8,2.48427e-08,,,,,,1.1905e-02,4.1619e-03,4.8214e-05,4.5642e-06,5.6280e-08,,,,,,,,,,,
Sam 8,2.46204e-08,1.19732e-02,4.2121e-03,4.9050e-05,4.6749e-06,5.7042e-08,,,,,,            5.7420,           12.0580,           17.2120,           23.9373,          -29.2277,            2.3647,           -3.8197,           -0.6308,           -0.3164,          -57.6041,
Ref 9,2.45627e-08,,,,,,1.1905e-02,4.1620e-03,4.8226e-05,4.5670e-06,6.1268e-08,,,,,,,,,,,
Sam 9,2.43441e-08,1.19733e-02,4.2123e-03,4.9051e-05,4.6751e-06,6.0224e-08,,,,,,            5.7442,           12.0881,           17.1234,           23.7767,           -3.6530,            2.3661,           -3.7900,           -0.7494,           -0.5326,          -32.8358,
Ref 10,2.42879e-08,,,,,,1.1905e-02,4.1619e-03,4.8224e-05,4.5661e-06,5.9612e-08,,,,,,,,,,,
Sam 10,2.40711e-08,1.19733e-02,4.2123e-03,4.9043e-05,4.6723e-06,5.8448e-08,,,,,,            5.7358,           12.0896,           17.0498,           23.0266,            9.9407,            2.3571,           -3.7886,           -0.8145,           -1.2678,          -19.6343,
Ref 11,2.40146e-08,,,,,,1.1905e-02,4.1620e-03,4.8217e-05,4.5682e-06,5.6114e-08,,,,,,,,,,,
Sam 11,2.38015e-08,1.19736e-02,4.2123e-03,4.9053e-05,4.6768e-06,5.9298e-08,,,,,,            5.7632,           12.0887,           17.3159,           24.0057,           54.8428,            2.3863,           -3.7895,           -0.5803,           -0.3104,           23.9248,
Ref 12,2.37466e-08,,,,,,1.1905e-02,4.1620e-03,4.8219e-05,4.5660e-06,5.6317e-08,,,,,,,,,,,
Sam 12,2.35377e-08,1.19735e-02,4.2124e-03,4.9060e-05,4.6757e-06,5.8580e-08,,,,,,            5.7480,           12.0940,           17.4903,           24.4091,           36.9256,            2.3699,           -3.7842,           -0.3986,            0.0730,            6.5385,
Ref 13,2.34812e-08,,,,,,1.1905e-02,4.1621e-03,4.8214e-05,4.5626e-06,5.6672e-08,,,,,,,,,,,
Sam 13,2.32738e-08,1.19735e-02,4.2125e-03,4.9061e-05,4.6755e-06,6.0112e-08,,,,,,            5.7349,           12.0897,           17.5479,           24.2446,           57.7707,            2.3561,           -3.7884,           -0.3243,           -0.0790,           26.7957,
Ref 14,2.32226e-08,,,,,,1.1905e-02,4.1621e-03,4.8217e-05,4.5670e-06,5.6988e-08,,,,,,,,,,,
Sam 14,2.30172e-08,1.19736e-02,4.2125e-03,4.9061e-05,4.6736e-06,6.1326e-08,,,,,,            5.7420,           12.0809,           17.4158,           22.9149,           64.8227,            2.3640,           -3.7971,           -0.4528,           -1.3598,           33.6511,
Ref 15,2.29643e-08,,,,,,1.1905e-02,4.1623e-03,4.8225e-05,4.5709e-06,5.8205e-08,,,,,,,,,,,
Sam 15,2.27627e-08,1.19739e-02,4.2126e-03,4.9067e-05,4.6741e-06,5.8446e-08,,,,,,            5.7497,           12.0694,           17.4989,           22.9870,           -9.2080,            2.3726,           -3.8085,           -0.3679,           -1.2666,          -38.1987,
Ref 16,2.27148e-08,,,,,,1.1905e-02,4.1623e-03,4.8222e-05,4.5672e-06,5.9781e-08,,,,,,,,,,,
Sam 16,2.25109e-08,1.19740e-02,4.2126e-03,4.9057e-05,4.6715e-06,5.8130e-08,,,,,,            5.7540,           12.0909,           17.3501,           23.1363,           20.8392,            2.3764,           -3.7873,           -0.5394,           -1.1632,           -9.0766,
Ref 17,2.24633e-08,,,,,,1.1906e-02,4.1623e-03,4.8218e-05,4.5645e-06,5.4074e-08,,,,,,,,,,,
Sam 17,2.22612e-08,1.19740e-02,4.2127e-03,4.9068e-05,4.6737e-06,5.6638e-08,,,,,,            5.7457,           12.1131,           17.5522,           23.6289,           30.8289,            2.3668,           -3.7654,           -0.3539,           -0.7263,            0.5860,
Ref 18,2.22177e-08,,,,,,1.1906e-02,4.1623e-03,4.8225e-05,4.5673e-06,5.5823e-08,,,,,,,,,,,
Sam 18,2.20171e-08,1.19742e-02,4.2127e-03,4.9063e-05,4.6782e-06,5.9580e-08,,,,,,            5.7574,           12.1009,           17.4068,           24.7639,           46.5046,            2.3797,           -3.7775,           -0.4969,            0.4058,           15.8133,
Ref 19,2.19736e-08,,,,,,1.1906e-02,4.1624e-03,4.8222e-05,4.5629e-06,5.8054e-08,,,,,,,,,,,
Sam 19,2.17744e-08,1.19743e-02,4.2127e-03,4.9068e-05,4.6766e-06,5.8881e-08,,,,,,            5.7508,           12.0778,           17.4302,           24.8010,           24.0643,            2.3735,           -3.8002,           -0.4447,            0.4877,           -5.9174,
Ref 20,2.17306e-08,,,,,,1.1906e-02,4.1625e-03,4.8232e-05,4.5639e-06,5.6934e-08,,,,,,,,,,,
Sam 20,2.15366e-08,1.19742e-02,4.2128e-03,4.9062e-05,4.6730e-06,5.9822e-08,,,,,,            5.7354,           12.0702,           17.2917,           23.6976,           46.4460,            2.3574,           -3.8076,           -0.5577,           -0.5746,           15.8405,
Ref 21,2.14916e-08,,,,,,1.1906e-02,4.1626e-03,4.8224e-05,4.5657e-06,5.7401e-08,,,,,,,,,,,


Ref 1,2.13728e-08,,,,,,1.1906e-02,4.1626e-03,4.8223e-05,4.5653e-06,5.7268e-08,,,,,,,,,,,
Sam 1,2.11868e-08,1.19742e-02,4.2129e-03,4.9076e-05,4.6750e-06,5.7079e-08,,,,,,            5.7294,           12.0727,           17.6570,           23.5361,            1.1771,            2.3508,           -3.8051,           -0.1950,           -0.7372,          -28.1029,
Ref 2,2.11384e-08,,,,,,1.1906e-02,4.1628e-03,4.8226e-05,4.5696e-06,5.6753e-08,,,,,,,,,,,
Sam 2,2.09597e-08,1.19743e-02,4.2131e-03,4.9067e-05,4.6770e-06,6.1076e-08,,,,,,            5.7222,           12.0951,           17.3824,           23.5849,           46.9658,            2.3425,           -3.7831,           -0.4792,           -0.7336,           16.3102,
Ref 3,2.09074e-08,,,,,,1.1906e-02,4.1628e-03,4.8231e-05,4.5688e-06,5.9937e-08,,,,,,,,,,,
Sam 3,2.07359e-08,1.19746e-02,4.2130e-03,4.9071e-05,4.6725e-06,6.2192e-08,,,,,,            5.7396,           12.0865,           17.3935,           22.9581,           72.2377,            2.3613,           -3.7916,           -0.4777,           -1.3286,           40.8403,
Ref 4,2.06808e-08,,,,,,1.1906e-02,4.1627e-03,4.8233e-05,4.5665e-06,5.6046e-08,,,,,,,,,,,
Sam 4,2.05140e-08,1.19746e-02,4.2131e-03,4.9059e-05,4.6803e-06,6.0258e-08,,,,,,            5.7375,           12.0815,           17.1214,           24.7860,           59.8361,            2.3592,           -3.7965,           -0.7380,            0.4658,           28.8142,
Ref 5,2.04560e-08,,,,,,1.1906e-02,4.1629e-03,4.8233e-05,4.5678e-06,5.7676e-08,,,,,,,,,,,
Sam 5,2.02931e-08,1.19749e-02,4.2133e-03,4.9070e-05,4.6746e-06,6.2404e-08,,,,,,            5.7501,           12.0901,           17.2834,           23.3791,           81.7634,            2.3723,           -3.7881,           -0.6001,           -0.9248,           50.0681,
Ref 6,2.02341e-08,,,,,,1.1907e-02,4.1629e-03,4.8241e-05,4.5678e-06,5.7698e-08,,,,,,,,,,,
Sam 6,2.00779e-08,1.19750e-02,4.2133e-03,4.9070e-05,4.6749e-06,6.0187e-08,,,,,,            5.7484,           12.0882,           17.1675,           23.6034,           55.5483,            2.3705,           -3.7900,           -0.7104,           -0.7020,           24.6268,
Ref 7,2.00167e-08,,,,,,1.1907e-02,4.1630e-03,4.8244e-05,4.5663e-06,5.6333e-08,,,,,,,,,,,
Sam 7,1.98639e-08,1.19750e-02,4.2133e-03,4.9083e-05,4.6716e-06,5.8837e-08,,,,,,            5.7469,           12.0740,           17.4824,           22.7806,           58.7273,            2.3694,           -3.8039,           -0.3857,           -1.4773,           27.7426,
Ref 8,1.98015e-08,,,,,,1.1907e-02,4.1632e-03,4.8235e-05,4.5689e-06,5.4805e-08,,,,,,,,,,,
Sam 8,1.96518e-08,1.19752e-02,4.2136e-03,4.9076e-05,4.6782e-06,5.7434e-08,,,,,,            5.7535,           12.1101,           17.3983,           24.4104,           54.6596,            2.3752,           -3.7684,           -0.5102,            0.0424,           23.7150,
Ref 9,1.95883e-08,,,,,,1.1907e-02,4.1632e-03,4.8238e-05,4.5646e-06,5.4105e-08,,,,,,,,,,,
Sam 9,1.94453e-08,1.19751e-02,4.2135e-03,4.9083e-05,4.6760e-06,6.1317e-08,,,,,,            5.7478,           12.0756,           17.5075,           24.1417,          106.9411,            2.3703,           -3.8023,           -0.3635,           -0.1516,           74.5410,
Ref 10,1.93811e-08,,,,,,1.1907e-02,4.1632e-03,4.8239e-05,4.5670e-06,5.6695e-08,,,,,,,,,,,
Sam 10,1.92412e-08,1.19750e-02,4.2136e-03,4.9069e-05,4.6776e-06,5.8306e-08,,,,,,            5.7341,           12.0955,           17.2065,           23.9294,           46.7321,            2.3550,           -3.7827,           -0.6645,           -0.3981,           16.0699,
Ref 11,1.91726e-08,,,,,,1.1907e-02,4.1632e-03,4.8239e-05,4.5695e-06,5.4700e-08,,,,,,,,,,,
Sam 11,1.90375e-08,1.19751e-02,4.2136e-03,4.9085e-05,4.6794e-06,5.9193e-08,,,,,,            5.7331,           12.0728,           17.3546,           24.1373,           90.9914,            2.3548,           -3.8051,           -0.4960,           -0.1505,           59.0803,
Ref 12,1.89657e-08,,,,,,1.1907e-02,4.1634e-03,4.8255e-05,4.5688e-06,5.3807e-08,,,,,,,,,,,
Sam 12,1.88370e-08,1.19753e-02,4.2137e-03,4.9089e-05,4.6771e-06,6.0108e-08,,,,,,            5.7527,           12.0811,           17.3848,           23.7069,           53.1544,            2.3754,           -3.7969,           -0.4945,           -0.5870,           22.3124,
Ref 13,1.87651e-08,,,,,,1.1907e-02,4.1634e-03,4.8246e-05,4.5689e-06,6.0376e-08,,,,,,,,,,,
Sam 13,1.86412e-08,1.19755e-02,4.2137e-03,4.9090e-05,4.6784e-06,6.0116e-08,,,,,,            5.7567,           12.0677,           17.3994,           24.3624,           31.4188,            2.3800,           -3.8102,           -0.4711,            0.0795,            1.2353,
Ref 14,1.85658e-08,,,,,,1.1907e-02,4.1635e-03,4.8255e-05,4.5653e-06,5.6170e-08,,,,,,,,,,,
Sam 14,1.84511e-08,1.19754e-02,4.2139e-03,4.9082e-05,4.6780e-06,5.7624e-08,,,,,,            5.7300,           12.0709,           17.2370,           24.5887,           39.2311,            2.3515,           -3.8069,           -0.6065,            0.2941,            8.8411,
Ref 15,1.83717e-08,,,,,,1.1907e-02,4.1636e-03,4.8246e-05,4.5661e-06,5.4720e-08,,,,,,,,,,,
Sam 15,1.82573e-08,1.19757e-02,4.2140e-03,4.9087e-05,4.6770e-06,5.6855e-08,,,,,,            5.7468,           12.0865,           17.3740,           23.7195,           17.7803,            2.3689,           -3.7916,           -0.5043,           -0.5853,          -12.0300,
Ref 16,1.81807e-08,,,,,,1.1907e-02,4.1637e-03,4.8252e-05,4.5712e-06,5.7016e-08,,,,,,,,,,,
Sam 16,1.80702e-08,1.19757e-02,4.2141e-03,4.9088e-05,4.6778e-06,6.0363e-08,,,,,,            5.7329,           12.0739,           17.2947,           23.4388,           42.0964,            2.3546,           -3.8040,           -0.5557,           -0.8346,           11.6135,
Ref 17,1.79900e-08,,,,,,1.1908e-02,4.1638e-03,4.8255e-05,4.5701e-06,5.8843e-08,,,,,,,,,,,
Sam 17,1.78859e-08,1.19760e-02,4.2142e-03,4.9094e-05,4.6781e-06,6.0625e-08,,,,,,            5.7397,           12.0890,           17.3610,           24.1158,           23.1255,            2.3613,           -3.7892,           -0.5122,           -0.2033,           -6.8386,
Ref 18,1.78002e-08,,,,,,1.1908e-02,4.1639e-03,4.8257e-05,4.5657e-06,5.9671e-08,,,,,,,,,,,
Sam 18,1.77010e-08,1.19759e-02,4.2142e-03,4.9087e-05,4.6760e-06,6.0025e-08,,,,,,            5.7309,           12.0807,           17.2558,           24.1609,            1.4023,            2.3522,           -3.7972,           -0.5985,           -0.1431,          -27.9010,
Ref 19,1.76097e-08,,,,,,1.1908e-02,4.1639e-03,4.8251e-05,4.5658e-06,6.0215e-08,,,,,,,,,,,
Sam 19,1.75161e-08,1.19761e-02,4.2143e-03,4.9087e-05,4.6806e-06,5.9036e-08,,,,,,            5.7569,           12.0813,           17.2792,           24.4382,            2.3076,            2.3798,           -3.7967,           -0.6027,            0.1265,          -27.0500,
Ref 20,1.74245e-08,,,,,,1.1908e-02,4.1640e-03,4.8256e-05,4.5721e-06,5.7571e-08,,,,,,,,,,,
Sam 20,1.73362e-08,1.19761e-02,4.2143e-03,4.9094e-05,4.6772e-06,5.8349e-08,,,,,,            5.7375,           12.0779,           17.3545,           23.4203,            7.8619,            2.3593,           -3.8001,           -0.5055,           -0.8604,          -21.6318,
Ref 21,1.72393e-08,,,,,,1.1908e-02,4.1640e-03,4.8257e-05,4.5681e-06,5.8220e-08,,,,,,,,,,,


