Batch,201806015 clumped Tufas OmanSval CYC KDB ABJ,Collected on,2018/06/15 18:32:39,Analysis Instrument,PS019,Acquisition Software,,Stable 1.69.5,Reanalyzed  on,2018/06/15 19:32:43,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.69.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5952 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/15 18:32:39,425,1,1.1153e-07,2.624346E-10,CF,27.862,3.555e-02,1,3.4756e-02,14944, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9952e-08,1.0628e-07,5.2433e-08,5.2657e-08,5.2615e-08,5.2540e-08,0.96,2018/06/15 18:31:59,0.14,6910,8447,3.5546e-02,46.017,20,0.000,-1.0454e-13,-5.4080e-14,-5.7236e-14,-1.1750e-14,1.4613e-13,6.9353e-12,16.00,17.00,70.03,3.73205e-08,3.76344e-08,1.20024e-02,4.2381e-03,4.9568e-05,4.7405e-06,6.1369e-08,1.1941e-02,4.1873e-03,4.8762e-05,4.6291e-06,6.3774e-08,5.1338,12.1438,16.5170,24.0575,-37.7933,2.1541,0.001,0,60,6.1738,0.001,0,60,-0.7741,-0.3685,-65.4740,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5953 ETH-04.txt,ETH-04,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/15 19:53:39,429,2,1.1702e-07,2.727633E-10,CF,28.534,3.398e-02,1,3.4756e-02,14912, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9337e-08,1.0637e-07,5.4885e-08,5.5106e-08,3.5912e-08,3.5440e-08,0.96,2018/06/15 19:52:59,1.33,6627,8446,3.3983e-02,46.012,20,0.000,-1.0473e-13,-5.2683e-14,-5.7332e-14,-1.2916e-14,1.4294e-13,6.6412e-12,17.00,17.00,70.03,2.53659e-08,2.61872e-08,1.18314e-02,4.1479e-03,4.7818e-05,4.4927e-06,5.8768e-08,1.1914e-02,4.1672e-03,4.8408e-05,4.5330e-06,6.2881e-08,-6.8982,-4.6228,-12.1808,-8.8616,-65.9063,-10.0708,0.001,0,60,-10.4853,0.002,0,60,-0.5617,0.3659,-50.3891,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5954 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/15 21:14:14,402,3,6.7814e-08,1.686919E-10,CF,26.550,3.476e-02,0,3.4756e-02,14912, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.5445e-08,1.0680e-07,6.5091e-08,6.5778e-08,6.5727e-08,6.5599e-08,0.96,2018/06/15 21:13:32,0.19,4373,8446,3.4756e-02,46.012,20,0.000,-1.0488e-13,-5.4252e-14,-5.7319e-14,-1.3327e-14,1.4196e-13,6.5786e-12,27.00,28.00,70.03,3.38823e-08,3.51581e-08,1.19711e-02,4.2198e-03,4.9233e-05,4.6985e-06,6.2973e-08,1.1914e-02,4.1673e-03,4.8411e-05,4.5835e-06,6.4805e-08,4.8147,12.5948,17.0013,25.0829,-28.0914,1.7989,0.001,0,60,6.6234,0.003,0,60,-0.4093,-0.2588,-56.5601,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5955 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/15 22:34:13,442,4,7.9550e-08,1.799774E-10,CF,30.304,3.398e-02,0,3.5546e-02,14944, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.4923e-08,1.0643e-07,7.6366e-08,7.7249e-08,7.7153e-08,7.7042e-08,0.96,2018/06/15 22:33:33,0.14,3863,8442,3.3983e-02,46.015,20,0.000,-1.0487e-13,-5.4413e-14,-5.7407e-14,-1.2156e-14,1.4534e-13,6.7359e-12,28.00,29.00,70.03,3.86340e-08,4.03930e-08,1.18326e-02,4.1484e-03,4.7820e-05,4.5440e-06,5.9243e-08,1.1914e-02,4.1674e-03,4.8414e-05,4.5874e-06,6.3112e-08,-6.8445,-4.5634,-12.2718,-9.4560,-60.8600,-10.0157,0.001,0,60,-10.4263,0.002,0,60,-0.7681,-0.3533,-45.4259,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5956 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/16 00:32:41,428,5,7.5305e-08,1.759452E-10,CF,28.351,3.476e-02,0,3.3227e-02,14880, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.4513e-08,1.0605e-07,7.2279e-08,7.3257e-08,7.3227e-08,7.2958e-08,0.96,2018/06/16 00:32:01,0.37,3971,8448,3.4756e-02,46.015,20,0.000,-1.0491e-13,-5.4456e-14,-5.7452e-14,-1.4057e-14,1.4091e-13,6.4418e-12,28.00,29.00,70.03,3.69180e-08,3.84887e-08,1.19801e-02,4.2178e-03,4.9235e-05,4.6947e-06,6.1873e-08,1.1914e-02,4.1675e-03,4.8416e-05,4.5857e-06,6.3927e-08,5.5321,12.0630,16.9040,23.7765,-32.4392,2.5807,0.001,0,60,6.0925,0.002,0,60,-0.7232,-0.4832,-60.5222,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5957 CYC17-36A E.txt,CYC17-36A E,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/16 01:52:43,457,6,7.4781e-08,1.636353E-10,CF,28.534,3.398e-02,0,6.2364e-02,15712, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.3948e-08,1.0667e-07,7.1810e-08,7.2783e-08,7.2687e-08,7.2492e-08,0.96,2018/06/16 01:52:03,0.27,3914,8449,3.3983e-02,46.017,20,0.000,-1.0491e-13,-5.4453e-14,-5.7386e-14,-1.2322e-14,1.4452e-13,6.8092e-12,28.00,29.00,70.03,3.67533e-08,3.83933e-08,1.20255e-02,4.2421e-03,4.9695e-05,4.7607e-06,6.5063e-08,1.1914e-02,4.1680e-03,4.8418e-05,4.5893e-06,6.5750e-08,9.3241,17.7750,26.3620,37.3386,-10.7278,6.4197,0.001,0,60,11.7686,0.023,0,60,-0.8826,1.4215,-53.8127,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5958 KG92 24.txt,KG92 24,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/16 03:13:06,488,7,8.2781e-08,1.696334E-10,CF,31.525,3.398e-02,0,3.6354e-02,14976, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.3471e-08,1.0654e-07,7.9476e-08,8.0253e-08,8.0169e-08,7.9934e-08,0.96,2018/06/16 03:12:26,0.29,3611,8447,3.3983e-02,46.017,20,0.000,-1.0500e-13,-5.4485e-14,-5.7475e-14,-1.1020e-14,1.4564e-13,6.9103e-12,28.00,29.00,70.03,3.97928e-08,4.17097e-08,1.19363e-02,4.2056e-03,4.8918e-05,4.6695e-06,6.3914e-08,1.1915e-02,4.1677e-03,4.8419e-05,4.5866e-06,6.6170e-08,1.8297,9.1031,10.3122,18.0703,-34.6973,-1.2575,0.001,0,60,3.1551,0.003,0,60,-0.5429,-0.2148,-53.5950,
C:\Nu Stable\Results\2018\201806015 clumped Tufas OmanSval CYC KDB ABJ,201806015 clumped Tufas OmanSval CYC KDB ABJ,Data_5959 CYC17-49B A.txt,CYC17-49B A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/15 18:32:39,2018/06/16 04:33:37,415,8,6.5237e-08,1.571979E-10,CF,26.062,3.476e-02,0,3.5546e-02,14912, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,2.3057e-08,1.0600e-07,6.2644e-08,6.3136e-08,6.3060e-08,6.2914e-08,0.96,2018/06/16 04:32:57,0.23,4191,8446,3.4756e-02,46.015,20,0.000,-1.0487e-13,-5.4495e-14,-5.7443e-14,-1.2485e-14,1.4366e-13,6.6447e-12,27.00,28.00,70.03,3.28240e-08,3.39392e-08,1.20212e-02,4.2371e-03,4.9647e-05,4.7380e-06,5.8501e-08,1.1914e-02,4.1673e-03,4.8413e-05,4.5851e-06,5.9954e-08,9.0196,16.7502,25.4961,33.3504,-24.1094,6.1310,0.001,0,60,10.7494,0.003,0,60,-0.4247,-0.4165,-64.4584,
