Nu Stable Isotope Analysis Program
Data Collected on Friday, June 15, 2018 at 19:53 with Stable 1.69.5 on PS019,Reanalyzed on Friday, June 15, 2018 at 20:53 with Stable 1.69.5 on PS019

Data File = Data_5953 ETH-04.txt,         Sample Weight = 429,                      Vial Location = 2,                        Initial Sam Beam = 1.1702e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9337e-08,                Max Ref Beam = 1.0637e-07,                
Analysis undertaken at mass 46.01241
Analysis undertaken at mass 46.01241
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.43722e-08,,,,,,1.1914e-02,4.1675e-03,4.8405e-05,4.5884e-06,6.5096e-08,,,,,,,,,,,
Sam 1,3.49802e-08,1.18321e-02,4.1484e-03,4.7822e-05,4.5430e-06,6.0831e-08,,,,,,           -6.8901,           -4.6066,          -12.1624,           -9.2193,          -60.4247,          -10.0628,          -10.4692,           -0.5674,           -0.0277,          -44.8553,
Ref 2,3.40012e-08,,,,,,1.1914e-02,4.1676e-03,4.8416e-05,4.5821e-06,6.4386e-08,,,,,,,,,,,
Sam 2,3.46424e-08,1.18320e-02,4.1483e-03,4.7816e-05,4.5310e-06,5.9943e-08,,,,,,           -6.8960,           -4.6069,          -12.3537,           -9.8379,          -56.0036,          -10.0690,          -10.4695,           -0.7546,           -0.6513,          -40.3544,
Ref 3,3.36675e-08,,,,,,1.1914e-02,4.1674e-03,4.8412e-05,4.5699e-06,6.2603e-08,,,,,,,,,,,
Sam 3,3.42712e-08,1.18319e-02,4.1483e-03,4.7819e-05,4.5275e-06,6.0874e-08,,,,,,           -6.8944,           -4.5878,          -12.2551,           -8.9257,          -49.8735,          -10.0680,          -10.4505,           -0.6752,            0.2310,          -34.1607,
Ref 4,3.32956e-08,,,,,,1.1914e-02,4.1674e-03,4.8412e-05,4.5667e-06,6.5552e-08,,,,,,,,,,,
Sam 4,3.39179e-08,1.18318e-02,4.1483e-03,4.7817e-05,4.5226e-06,5.9784e-08,,,,,,           -6.8914,           -4.5802,          -12.2302,           -9.6415,          -77.5039,          -10.0650,          -10.4430,           -0.6608,           -0.5067,          -62.2651,
Ref 5,3.29194e-08,,,,,,1.1914e-02,4.1674e-03,4.8406e-05,4.5666e-06,6.4053e-08,,,,,,,,,,,
Sam 5,3.35687e-08,1.18319e-02,4.1482e-03,4.7815e-05,4.5197e-06,6.0022e-08,,,,,,           -6.8905,           -4.6134,          -12.1659,           -9.7428,          -63.6426,          -10.0629,          -10.4760,           -0.5639,           -0.5424,          -48.1134,
Ref 6,3.25340e-08,,,,,,1.1914e-02,4.1675e-03,4.8402e-05,4.5617e-06,6.4152e-08,,,,,,,,,,,
Sam 6,3.32380e-08,1.18317e-02,4.1481e-03,4.7814e-05,4.5186e-06,5.9086e-08,,,,,,           -6.9100,           -4.6411,          -12.1387,           -9.0952,          -84.7536,          -10.0827,          -10.5036,           -0.4886,            0.1670,          -69.5040,
Ref 7,3.21747e-08,,,,,,1.1914e-02,4.1675e-03,4.8402e-05,4.5584e-06,6.4968e-08,,,,,,,,,,,
Sam 7,3.28684e-08,1.18318e-02,4.1481e-03,4.7819e-05,4.5213e-06,6.1345e-08,,,,,,           -6.9014,           -4.6440,          -12.0467,           -8.1565,          -45.4960,          -10.0735,          -10.5065,           -0.4016,            1.1204,          -29.5956,
Ref 8,3.17872e-08,,,,,,1.1914e-02,4.1675e-03,4.8402e-05,4.5586e-06,6.3561e-08,,,,,,,,,,,
Sam 8,3.25188e-08,1.18318e-02,4.1481e-03,4.7819e-05,4.5170e-06,6.0778e-08,,,,,,           -6.8975,           -4.6407,          -12.0850,           -9.0163,          -55.0594,          -10.0695,          -10.5031,           -0.4477,            0.2457,          -39.3288,
Ref 9,3.14709e-08,,,,,,1.1914e-02,4.1675e-03,4.8406e-05,4.5576e-06,6.5086e-08,,,,,,,,,,,
Sam 9,3.22073e-08,1.18315e-02,4.1480e-03,4.7826e-05,4.5131e-06,6.0644e-08,,,,,,           -6.9160,           -4.6527,          -11.9993,           -9.2808,          -60.4198,          -10.0887,          -10.5151,           -0.3299,            0.0030,          -44.7368,
Ref 10,3.11268e-08,,,,,,1.1914e-02,4.1674e-03,4.8409e-05,4.5531e-06,6.3996e-08,,,,,,,,,,,
Sam 10,3.18601e-08,1.18314e-02,4.1481e-03,4.7821e-05,4.5132e-06,6.0514e-08,,,,,,           -6.9111,           -4.6192,          -12.1147,           -8.7820,          -57.2260,          -10.0847,          -10.4817,           -0.4849,            0.4391,          -41.5581,
Ref 11,3.08135e-08,,,,,,1.1914e-02,4.1673e-03,4.8407e-05,4.5534e-06,6.4380e-08,,,,,,,,,,,
Sam 11,3.15273e-08,1.18316e-02,4.1481e-03,4.7818e-05,4.5116e-06,5.8113e-08,,,,,,           -6.8941,           -4.6281,          -12.1352,           -9.2629,         -110.8408,          -10.0663,          -10.4906,           -0.5145,           -0.0285,          -96.0645,
Ref 12,3.04749e-08,,,,,,1.1914e-02,4.1674e-03,4.8405e-05,4.5542e-06,6.6345e-08,,,,,,,,,,,
Sam 12,3.12140e-08,1.18315e-02,4.1480e-03,4.7818e-05,4.5114e-06,6.0088e-08,,,,,,           -6.9036,           -4.6386,          -12.1835,           -9.3235,          -86.4984,          -10.0760,          -10.5010,           -0.5432,           -0.0686,          -71.2889,
Ref 13,3.01443e-08,,,,,,1.1914e-02,4.1673e-03,4.8410e-05,4.5536e-06,6.5204e-08,,,,,,,,,,,
Sam 13,3.08991e-08,1.18314e-02,4.1480e-03,4.7823e-05,4.5082e-06,6.3385e-08,,,,,,           -6.8982,           -4.6265,          -12.0383,           -9.8186,          -20.6162,          -10.0707,          -10.4890,           -0.4138,           -0.5925,           -4.3394,
Ref 14,2.98355e-08,,,,,,1.1914e-02,4.1673e-03,4.8401e-05,4.5522e-06,6.4231e-08,,,,,,,,,,,
Sam 14,3.05872e-08,1.18313e-02,4.1479e-03,4.7812e-05,4.5095e-06,5.8671e-08,,,,,,           -6.9070,           -4.6295,          -12.2683,           -9.1892,          -67.4878,          -10.0799,          -10.4920,           -0.6344,            0.0489,          -51.9754,
Ref 15,2.95124e-08,,,,,,1.1914e-02,4.1672e-03,4.8412e-05,4.5505e-06,6.1589e-08,,,,,,,,,,,
Sam 15,3.02679e-08,1.18314e-02,4.1480e-03,4.7816e-05,4.5092e-06,6.0773e-08,,,,,,           -6.8857,           -4.6091,          -12.2498,           -8.5680,          -26.3649,          -10.0580,          -10.4717,           -0.6580,            0.6347,          -10.2309,
Ref 16,2.91810e-08,,,,,,1.1913e-02,4.1672e-03,4.8406e-05,4.5457e-06,6.3257e-08,,,,,,,,,,,
Sam 16,2.99621e-08,1.18313e-02,4.1480e-03,4.7811e-05,4.5052e-06,6.0689e-08,,,,,,           -6.8969,           -4.6171,          -12.2506,           -9.1037,          -44.6633,          -10.0696,          -10.4797,           -0.6393,            0.1101,          -28.8056,
Ref 17,2.88748e-08,,,,,,1.1914e-02,4.1672e-03,4.8402e-05,4.5475e-06,6.3798e-08,,,,,,,,,,,
Sam 17,2.96520e-08,1.18314e-02,4.1480e-03,4.7821e-05,4.5068e-06,5.9520e-08,,,,,,           -6.8979,           -4.6148,          -11.9547,           -8.6127,          -53.3665,          -10.0708,          -10.4774,           -0.3411,            0.6011,          -37.6565,
Ref 18,2.85756e-08,,,,,,1.1914e-02,4.1673e-03,4.8397e-05,4.5444e-06,6.1944e-08,,,,,,,,,,,
Sam 18,2.93490e-08,1.18316e-02,4.1480e-03,4.7815e-05,4.5019e-06,6.0348e-08,,,,,,           -6.8886,           -4.6260,          -12.0998,           -9.3475,          -37.3119,          -10.0604,          -10.4886,           -0.4864,           -0.1179,          -21.3236,
Ref 19,2.82661e-08,,,,,,1.1914e-02,4.1672e-03,4.8404e-05,4.5445e-06,6.3438e-08,,,,,,,,,,,
Sam 19,2.90506e-08,1.18316e-02,4.1480e-03,4.7819e-05,4.5029e-06,6.2057e-08,,,,,,           -6.8837,           -4.6109,          -12.0685,           -9.1300,          -18.2446,          -10.0558,          -10.4736,           -0.4748,            0.0712,           -1.9746,
Ref 20,2.79689e-08,,,,,,1.1913e-02,4.1673e-03,4.8402e-05,4.5443e-06,6.2981e-08,,,,,,,,,,,
Sam 20,2.87499e-08,1.18315e-02,4.1479e-03,4.7817e-05,4.5060e-06,6.1096e-08,,,,,,           -6.8872,           -4.6374,          -12.2570,           -8.2281,          -29.3054,          -10.0585,          -10.4999,           -0.6357,            1.0348,          -13.1634,
Ref 21,2.76782e-08,,,,,,1.1914e-02,4.1672e-03,4.8419e-05,4.5423e-06,6.2899e-08,,,,,,,,,,,


Ref 1,2.75315e-08,,,,,,1.1913e-02,4.1672e-03,4.8407e-05,4.5436e-06,6.1689e-08,,,,,,,,,,,
Sam 1,2.83081e-08,1.18313e-02,4.1479e-03,4.7813e-05,4.5020e-06,6.1114e-08,,,,,,           -6.9059,           -4.6329,          -12.2494,           -8.3843,          -20.6690,          -10.0787,          -10.4954,           -0.6130,            0.8680,           -4.3723,
Ref 2,2.72212e-08,,,,,,1.1914e-02,4.1673e-03,4.8405e-05,4.5364e-06,6.3128e-08,,,,,,,,,,,
Sam 2,2.80218e-08,1.18314e-02,4.1479e-03,4.7814e-05,4.4997e-06,6.0105e-08,,,,,,           -6.9091,           -4.6574,          -12.1518,           -8.3753,          -58.8265,          -10.0813,          -10.5198,           -0.4868,            0.9264,          -43.1151,
Ref 3,2.69340e-08,,,,,,1.1914e-02,4.1673e-03,4.8400e-05,4.5389e-06,6.4604e-08,,,,,,,,,,,
Sam 3,2.77383e-08,1.18314e-02,4.1479e-03,4.7821e-05,4.4979e-06,6.1499e-08,,,,,,           -6.9085,           -4.6539,          -12.1217,           -9.1336,          -37.4406,          -10.0807,          -10.5163,           -0.4604,            0.1539,          -21.3796,
Ref 4,2.66306e-08,,,,,,1.1914e-02,4.1673e-03,4.8416e-05,4.5397e-06,6.3171e-08,,,,,,,,,,,
Sam 4,2.74275e-08,1.18316e-02,4.1480e-03,4.7822e-05,4.4968e-06,6.1160e-08,,,,,,           -6.8869,           -4.6288,          -12.2482,           -9.2698,          -52.0368,          -10.0586,          -10.4914,           -0.6356,           -0.0339,          -36.2894,
Ref 5,2.63427e-08,,,,,,1.1914e-02,4.1673e-03,4.8414e-05,4.5380e-06,6.5878e-08,,,,,,,,,,,
Sam 5,2.71707e-08,1.18313e-02,4.1479e-03,4.7822e-05,4.4956e-06,6.1514e-08,,,,,,           -6.9135,           -4.6514,          -12.1762,           -9.1402,          -61.3135,          -10.0861,          -10.5138,           -0.5129,            0.1422,          -45.6505,
Ref 6,2.60857e-08,,,,,,1.1914e-02,4.1673e-03,4.8409e-05,4.5360e-06,6.5183e-08,,,,,,,,,,,
Sam 6,2.68564e-08,1.18313e-02,4.1480e-03,4.7821e-05,4.4969e-06,6.0403e-08,,,,,,           -6.9100,           -4.6206,          -12.1279,           -8.5912,          -73.9514,          -10.0834,          -10.4831,           -0.4980,            0.6344,          -58.5601,
Ref 7,2.58317e-08,,,,,,1.1914e-02,4.1672e-03,4.8407e-05,4.5356e-06,6.5270e-08,,,,,,,,,,,
Sam 7,2.66305e-08,1.18312e-02,4.1478e-03,4.7821e-05,4.4919e-06,6.0754e-08,,,,,,           -6.9128,           -4.6668,          -12.1407,           -9.4913,          -78.7324,          -10.0848,          -10.5291,           -0.4625,           -0.1813,          -63.3323,
Ref 8,2.55490e-08,,,,,,1.1914e-02,4.1672e-03,4.8410e-05,4.5343e-06,6.6629e-08,,,,,,,,,,,
Sam 8,2.63268e-08,1.18313e-02,4.1479e-03,4.7821e-05,4.4922e-06,5.6184e-08,,,,,,           -6.8993,           -4.6199,          -12.1279,           -9.2371,         -127.0504,          -10.0720,          -10.4825,           -0.5098,           -0.0188,         -112.5529,
Ref 9,2.52881e-08,,,,,,1.1913e-02,4.1672e-03,4.8407e-05,4.5338e-06,6.2070e-08,,,,,,,,,,,
Sam 9,2.60680e-08,1.18313e-02,4.1479e-03,4.7823e-05,4.4906e-06,6.0275e-08,,,,,,           -6.8954,           -4.6346,          -12.0826,           -9.5291,          -61.2541,          -10.0675,          -10.4971,           -0.4534,           -0.2840,          -45.6401,
Ref 10,2.50411e-08,,,,,,1.1913e-02,4.1672e-03,4.8410e-05,4.5338e-06,6.6367e-08,,,,,,,,,,,
Sam 10,2.57967e-08,1.18312e-02,4.1478e-03,4.7814e-05,4.4915e-06,5.9224e-08,,,,,,           -6.9032,           -4.6469,          -12.2880,           -8.7032,         -108.9929,          -10.0753,          -10.5093,           -0.6411,            0.5743,          -94.1434,
Ref 11,2.47786e-08,,,,,,1.1913e-02,4.1672e-03,4.8409e-05,4.5279e-06,6.6572e-08,,,,,,,,,,,
Sam 11,2.55329e-08,1.18312e-02,4.1479e-03,4.7824e-05,4.4943e-06,6.0942e-08,,,,,,           -6.9022,           -4.6238,          -12.1122,           -7.6835,          -47.9491,          -10.0750,          -10.4863,           -0.4871,            1.5570,          -32.1276,
Ref 12,2.45371e-08,,,,,,1.1913e-02,4.1672e-03,4.8413e-05,4.5302e-06,6.1426e-08,,,,,,,,,,,
Sam 12,2.52947e-08,1.18314e-02,4.1479e-03,4.7817e-05,4.4899e-06,5.6830e-08,,,,,,           -6.8978,           -4.6187,          -12.2339,           -9.1874,          -85.4714,          -10.0705,          -10.4813,           -0.6198,            0.0289,          -70.2871,
Ref 13,2.42808e-08,,,,,,1.1914e-02,4.1672e-03,4.8407e-05,4.5328e-06,6.2863e-08,,,,,,,,,,,
Sam 13,2.50450e-08,1.18315e-02,4.1479e-03,4.7814e-05,4.4906e-06,6.1373e-08,,,,,,           -6.8944,           -4.6316,          -12.3431,           -8.5708,          -37.9839,          -10.0665,          -10.4941,           -0.7211,            0.6772,          -21.9898,
Ref 14,2.40439e-08,,,,,,1.1914e-02,4.1672e-03,4.8416e-05,4.5260e-06,6.4739e-08,,,,,,,,,,,
Sam 14,2.47994e-08,1.18314e-02,4.1479e-03,4.7818e-05,4.4885e-06,5.5405e-08,,,,,,           -6.8999,           -4.6203,          -12.2724,           -8.1838,         -118.4870,          -10.0727,          -10.4829,           -0.6550,            1.0451,         -103.8460,
Ref 15,2.38147e-08,,,,,,1.1914e-02,4.1671e-03,4.8407e-05,4.5250e-06,6.0947e-08,,,,,,,,,,,
Sam 15,2.45470e-08,1.18316e-02,4.1480e-03,4.7814e-05,4.4859e-06,5.6076e-08,,,,,,           -6.8827,           -4.5999,          -12.2805,           -8.9148,          -96.8659,          -10.0552,          -10.4626,           -0.7011,            0.2663,          -81.9197,
Ref 16,2.35736e-08,,,,,,1.1914e-02,4.1672e-03,4.8409e-05,4.5275e-06,6.3247e-08,,,,,,,,,,,
Sam 16,2.42949e-08,1.18313e-02,4.1480e-03,4.7813e-05,4.4848e-06,5.8329e-08,,,,,,           -6.9024,           -4.5965,          -12.2728,           -9.3725,          -75.4721,          -10.0761,          -10.4592,           -0.6763,           -0.2024,          -60.1584,
Ref 17,2.33443e-08,,,,,,1.1913e-02,4.1671e-03,4.8405e-05,4.5270e-06,6.2933e-08,,,,,,,,,,,
Sam 17,2.40654e-08,1.18314e-02,4.1479e-03,4.7818e-05,4.4834e-06,5.8737e-08,,,,,,           -6.8917,           -4.6295,          -12.1700,           -9.2434,          -64.1745,          -10.0636,          -10.4920,           -0.5509,           -0.0059,          -48.6226,
Ref 18,2.31222e-08,,,,,,1.1914e-02,4.1672e-03,4.8410e-05,4.5234e-06,6.2594e-08,,,,,,,,,,,
Sam 18,2.38315e-08,1.18313e-02,4.1480e-03,4.7814e-05,4.4826e-06,5.7693e-08,,,,,,           -6.8981,           -4.6080,          -12.3234,           -9.2376,          -55.3370,          -10.0712,          -10.4706,           -0.7207,           -0.0433,          -39.6725,
Ref 19,2.28900e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5254e-06,5.9534e-08,,,,,,,,,,,
Sam 19,2.36006e-08,1.18314e-02,4.1480e-03,4.7822e-05,4.4855e-06,5.7371e-08,,,,,,           -6.8943,           -4.6162,          -12.1504,           -8.9150,          -57.4293,          -10.0668,          -10.4787,           -0.5415,            0.2987,          -41.7879,
Ref 20,2.26669e-08,,,,,,1.1913e-02,4.1672e-03,4.8408e-05,4.5263e-06,6.2211e-08,,,,,,,,,,,
Sam 20,2.33753e-08,1.18315e-02,4.1479e-03,4.7820e-05,4.4836e-06,5.8413e-08,,,,,,           -6.8840,           -4.6278,          -12.2598,           -8.5035,          -47.3817,          -10.0555,          -10.4904,           -0.6512,            0.7375,          -31.5618,
Ref 21,2.24461e-08,,,,,,1.1913e-02,4.1672e-03,4.8418e-05,4.5177e-06,6.0417e-08,,,,,,,,,,,


Ref 1,2.23411e-08,,,,,,1.1914e-02,4.1672e-03,4.8406e-05,4.5212e-06,5.8372e-08,,,,,,,,,,,
Sam 1,2.30341e-08,1.18314e-02,4.1479e-03,4.7820e-05,4.4819e-06,5.7850e-08,,,,,,           -6.8917,           -4.6196,          -12.1353,           -8.2772,          -11.8028,          -10.0640,          -10.4822,           -0.5254,            0.9494,            4.5998,
Ref 2,2.21296e-08,,,,,,1.1913e-02,4.1671e-03,4.8409e-05,4.5174e-06,5.8711e-08,,,,,,,,,,,
Sam 2,2.28077e-08,1.18312e-02,4.1479e-03,4.7823e-05,4.4791e-06,5.5508e-08,,,,,,           -6.9122,           -4.6336,          -12.1924,           -8.3609,          -74.9261,          -10.0853,          -10.4961,           -0.5482,            0.8931,          -59.5246,
Ref 3,2.19007e-08,,,,,,1.1914e-02,4.1672e-03,4.8418e-05,4.5163e-06,6.1309e-08,,,,,,,,,,,
Sam 3,2.25908e-08,1.18314e-02,4.1479e-03,4.7816e-05,4.4799e-06,5.6595e-08,,,,,,           -6.8993,           -4.6179,          -12.3614,           -8.5965,          -85.7276,          -10.0722,          -10.4805,           -0.7479,            0.6238,          -70.5474,
Ref 4,2.17041e-08,,,,,,1.1914e-02,4.1671e-03,4.8410e-05,4.5213e-06,6.2499e-08,,,,,,,,,,,
Sam 4,2.23764e-08,1.18312e-02,4.1478e-03,4.7823e-05,4.4797e-06,5.6266e-08,,,,,,           -6.9090,           -4.6270,          -12.1334,           -8.8870,         -102.1310,          -10.0822,          -10.4895,           -0.4982,            0.3488,          -87.1972,
Ref 5,2.14941e-08,,,,,,1.1913e-02,4.1671e-03,4.8409e-05,4.5186e-06,6.2835e-08,,,,,,,,,,,
Sam 5,2.21459e-08,1.18314e-02,4.1478e-03,4.7815e-05,4.4792e-06,5.9992e-08,,,,,,           -6.8820,           -4.6319,          -12.2237,           -8.1125,          -40.4315,          -10.0533,          -10.4945,           -0.6128,            1.1404,          -24.4904,
Ref 6,2.12872e-08,,,,,,1.1913e-02,4.1671e-03,4.8404e-05,4.5132e-06,6.2202e-08,,,,,,,,,,,
Sam 6,2.19337e-08,1.18313e-02,4.1478e-03,4.7810e-05,4.4750e-06,5.5592e-08,,,,,,           -6.8838,           -4.6220,          -12.2814,           -8.4964,          -93.6135,          -10.0556,          -10.4845,           -0.6791,            0.7329,          -78.5722,
Ref 7,2.10858e-08,,,,,,1.1913e-02,4.1670e-03,4.8405e-05,4.5135e-06,6.0456e-08,,,,,,,,,,,
Sam 7,2.17269e-08,1.18312e-02,4.1479e-03,4.7817e-05,4.4713e-06,5.5569e-08,,,,,,           -6.8880,           -4.5972,          -12.2683,           -9.3049,          -92.9282,          -10.0608,          -10.4599,           -0.6861,           -0.1328,          -77.9166,
Ref 8,2.08926e-08,,,,,,1.1913e-02,4.1670e-03,4.8416e-05,4.5131e-06,6.2076e-08,,,,,,,,,,,
Sam 8,2.15162e-08,1.18312e-02,4.1479e-03,4.7816e-05,4.4730e-06,5.5100e-08,,,,,,           -6.8901,           -4.5953,          -12.3231,           -9.0222,         -100.0342,          -10.0631,          -10.4580,           -0.7412,            0.1487,          -85.1415,
Ref 9,2.06885e-08,,,,,,1.1913e-02,4.1671e-03,4.8408e-05,4.5143e-06,6.0364e-08,,,,,,,,,,,
Sam 9,2.13208e-08,1.18313e-02,4.1478e-03,4.7819e-05,4.4766e-06,5.5210e-08,,,,,,           -6.9010,           -4.6133,          -12.0982,           -8.3725,          -65.3689,          -10.0741,          -10.4759,           -0.4845,            0.8406,          -49.8577,
Ref 10,2.05097e-08,,,,,,1.1914e-02,4.1670e-03,4.8401e-05,4.5145e-06,5.7769e-08,,,,,,,,,,,
Sam 10,2.11298e-08,1.18313e-02,4.1478e-03,4.7823e-05,4.4718e-06,5.5887e-08,,,,,,           -6.9017,           -4.6179,          -12.0692,           -8.7820,          -68.5186,          -10.0747,          -10.4804,           -0.4499,            0.4364,          -53.0505,
Ref 11,2.03087e-08,,,,,,1.1913e-02,4.1670e-03,4.8414e-05,4.5083e-06,6.2250e-08,,,,,,,,,,,
Sam 11,2.09168e-08,1.18311e-02,4.1478e-03,4.7823e-05,4.4720e-06,5.7867e-08,,,,,,           -6.9125,           -4.6114,          -12.0794,           -8.3644,          -58.5218,          -10.0865,          -10.4739,           -0.4554,            0.8448,          -42.8889,
Ref 12,2.01212e-08,,,,,,1.1913e-02,4.1670e-03,4.8402e-05,4.5112e-06,6.0670e-08,,,,,,,,,,,
Sam 12,2.07216e-08,1.18312e-02,4.1478e-03,4.7816e-05,4.4711e-06,5.5806e-08,,,,,,           -6.8942,           -4.6195,          -12.0714,           -8.5339,          -93.4648,          -10.0667,          -10.4820,           -0.4583,            0.6900,          -78.4153,
Ref 13,1.99379e-08,,,,,,1.1913e-02,4.1670e-03,4.8398e-05,4.5079e-06,6.2457e-08,,,,,,,,,,,
Sam 13,2.05169e-08,1.18313e-02,4.1478e-03,4.7815e-05,4.4703e-06,5.3016e-08,,,,,,           -6.8895,           -4.6244,          -12.1679,           -8.4329,         -120.1521,          -10.0615,          -10.4870,           -0.5560,            0.8020,         -105.5414,
Ref 14,1.97414e-08,,,,,,1.1913e-02,4.1670e-03,4.8411e-05,4.5087e-06,5.8033e-08,,,,,,,,,,,
Sam 14,2.03355e-08,1.18313e-02,4.1478e-03,4.7814e-05,4.4691e-06,5.6496e-08,,,,,,           -6.8922,           -4.6193,          -12.3367,           -8.4079,          -65.4944,          -10.0645,          -10.4818,           -0.7291,            0.8168,          -49.9831,
Ref 15,1.95585e-08,,,,,,1.1913e-02,4.1670e-03,4.8411e-05,4.5053e-06,6.2901e-08,,,,,,,,,,,
Sam 15,2.01391e-08,1.18313e-02,4.1478e-03,4.7814e-05,4.4645e-06,6.0430e-08,,,,,,           -6.8920,           -4.6166,          -12.3786,           -9.1039,          -33.9183,          -10.0644,          -10.4792,           -0.7743,            0.1090,          -17.8882,
Ref 16,1.93878e-08,,,,,,1.1913e-02,4.1671e-03,4.8415e-05,4.5058e-06,6.2200e-08,,,,,,,,,,,
Sam 16,1.99639e-08,1.18312e-02,4.1477e-03,4.7822e-05,4.4673e-06,5.8435e-08,,,,,,           -6.9026,           -4.6491,          -12.1408,           -8.0214,          -50.6948,          -10.0746,          -10.5115,           -0.4907,            1.2668,          -34.8702,
Ref 17,1.92131e-08,,,,,,1.1913e-02,4.1670e-03,4.8403e-05,4.5010e-06,6.0904e-08,,,,,,,,,,,
Sam 17,1.97714e-08,1.18311e-02,4.1478e-03,4.7808e-05,4.4645e-06,5.4111e-08,,,,,,           -6.9059,           -4.6021,          -12.3232,           -8.3382,          -95.2262,          -10.0798,          -10.4647,           -0.7181,            0.8525,          -80.2261,
Ref 18,1.90309e-08,,,,,,1.1913e-02,4.1669e-03,4.8406e-05,4.5030e-06,5.8697e-08,,,,,,,,,,,
Sam 18,1.95854e-08,1.18311e-02,4.1478e-03,4.7818e-05,4.4643e-06,5.5839e-08,,,,,,           -6.9100,           -4.5951,          -12.1109,           -8.6725,          -89.3648,          -10.0843,          -10.4577,           -0.5060,            0.5011,          -74.2763,
Ref 19,1.88703e-08,,,,,,1.1913e-02,4.1669e-03,4.8404e-05,4.5037e-06,6.3963e-08,,,,,,,,,,,
Sam 19,1.94060e-08,1.18312e-02,4.1478e-03,4.7826e-05,4.4641e-06,5.9543e-08,,,,,,           -6.8979,           -4.6114,          -11.9216,           -8.6733,          -63.6652,          -10.0709,          -10.4740,           -0.3109,            0.5332,          -48.1324,
Ref 20,1.86938e-08,,,,,,1.1913e-02,4.1671e-03,4.8402e-05,4.5025e-06,6.3218e-08,,,,,,,,,,,
Sam 20,1.92293e-08,1.18311e-02,4.1478e-03,4.7821e-05,4.4625e-06,5.9030e-08,,,,,,           -6.9018,           -4.6258,          -12.0420,           -8.9882,          -76.4701,          -10.0746,          -10.4883,           -0.4145,            0.2441,          -61.1192,
Ref 21,1.85247e-08,,,,,,1.1913e-02,4.1671e-03,4.8406e-05,4.5034e-06,6.4625e-08,,,,,,,,,,,


