Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 01:52 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 02:52 with Stable 1.69.5 on PS019

Data File = Data_5957 CYC17-36A E.txt,    Sample Weight = 457,                      Vial Location = 6,                        Initial Sam Beam = 7.4781e-08,            ColdFinger Status = CF,                   Min Ref Beam = 2.3948e-08,                Max Ref Beam = 1.0667e-07,                
Analysis undertaken at mass 46.0174
Analysis undertaken at mass 46.0174
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.62968e-08,,,,,,1.1915e-02,4.1683e-03,4.8433e-05,4.5873e-06,6.3281e-08,,,,,,,,,,,
Sam 1,6.64697e-08,1.20265e-02,4.2428e-03,4.9706e-05,4.7636e-06,6.2853e-08,,,,,,            9.3203,           17.8401,           26.3509,           37.9766,          -11.2170,            6.4136,           11.8334,           -0.9525,            1.9095,          -54.3935,
Ref 2,6.46169e-08,,,,,,1.1916e-02,4.1685e-03,4.8426e-05,4.5913e-06,6.3858e-08,,,,,,,,,,,
Sam 2,6.50148e-08,1.20266e-02,4.2431e-03,4.9709e-05,4.7640e-06,6.4174e-08,,,,,,            9.3208,           17.8935,           26.4388,           37.9401,           13.6755,            6.4122,           11.8865,           -0.9190,            1.7692,          -30.6885,
Ref 3,6.31152e-08,,,,,,1.1915e-02,4.1685e-03,4.8432e-05,4.5884e-06,6.2745e-08,,,,,,,,,,,
Sam 3,6.34915e-08,1.20267e-02,4.2433e-03,4.9708e-05,4.7652e-06,6.4303e-08,,,,,,            9.3376,           17.9528,           26.3326,           38.4266,           21.6830,            6.4281,           11.9455,           -1.0968,            2.1218,          -23.1607,
Ref 4,6.15469e-08,,,,,,1.1915e-02,4.1685e-03,4.8433e-05,4.5894e-06,6.3136e-08,,,,,,,,,,,
Sam 4,6.21238e-08,1.20264e-02,4.2433e-03,4.9714e-05,4.7641e-06,6.3534e-08,,,,,,            9.3181,           17.9600,           26.4754,           37.9915,           -1.8809,            6.4071,           11.9527,           -0.9449,            1.6878,          -45.6840,
Ref 5,6.00398e-08,,,,,,1.1915e-02,4.1684e-03,4.8432e-05,4.5901e-06,6.4184e-08,,,,,,,,,,,
Sam 5,6.07167e-08,1.20265e-02,4.2433e-03,4.9707e-05,4.7671e-06,6.5330e-08,,,,,,            9.3362,           17.9781,           26.3678,           38.2457,           14.6727,            6.4257,           11.9707,           -1.0855,            1.8975,          -29.9093,
Ref 6,5.85984e-08,,,,,,1.1915e-02,4.1684e-03,4.8429e-05,4.5929e-06,6.4591e-08,,,,,,,,,,,
Sam 6,5.93900e-08,1.20264e-02,4.2434e-03,4.9709e-05,4.7673e-06,6.4242e-08,,,,,,            9.3413,           17.9917,           26.4663,           38.3478,           -2.3121,            6.4306,           11.9842,           -1.0079,            1.9693,          -46.1779,
Ref 7,5.72076e-08,,,,,,1.1915e-02,4.1684e-03,4.8426e-05,4.5896e-06,6.4186e-08,,,,,,,,,,,
Sam 7,5.80770e-08,1.20264e-02,4.2435e-03,4.9708e-05,4.7654e-06,6.4996e-08,,,,,,            9.3421,           18.0177,           26.4684,           38.4411,            1.2336,            6.4306,           12.0101,           -1.0319,            2.0080,          -42.8371,
Ref 8,5.58474e-08,,,,,,1.1915e-02,4.1684e-03,4.8427e-05,4.5884e-06,6.5663e-08,,,,,,,,,,,
Sam 8,5.68513e-08,1.20263e-02,4.2434e-03,4.9710e-05,4.7650e-06,6.4740e-08,,,,,,            9.3364,           17.9976,           26.5408,           38.3799,           -6.3695,            6.4252,           11.9900,           -0.9361,            1.9886,          -50.0628,
Ref 9,5.45374e-08,,,,,,1.1915e-02,4.1683e-03,4.8423e-05,4.5894e-06,6.4634e-08,,,,,,,,,,,
Sam 9,5.56206e-08,1.20261e-02,4.2435e-03,4.9708e-05,4.7673e-06,6.5011e-08,,,,,,            9.3283,           18.0464,           26.5647,           38.5422,            4.7028,            6.4150,           12.0387,           -0.9519,            2.0491,          -39.5600,
Ref 10,5.32836e-08,,,,,,1.1915e-02,4.1682e-03,4.8420e-05,4.5914e-06,6.4782e-08,,,,,,,,,,,
Sam 10,5.44016e-08,1.20261e-02,4.2433e-03,4.9707e-05,4.7678e-06,6.4690e-08,,,,,,            9.3306,           17.9949,           26.5272,           38.6173,            0.4860,            6.4192,           11.9874,           -0.9409,            2.2231,          -43.4980,
Ref 11,5.20409e-08,,,,,,1.1915e-02,4.1683e-03,4.8426e-05,4.5897e-06,6.4532e-08,,,,,,,,,,,
Sam 11,5.32747e-08,1.20261e-02,4.2433e-03,4.9706e-05,4.7655e-06,6.4810e-08,,,,,,            9.3238,           17.9875,           26.4708,           38.1354,            8.5006,            6.4122,           11.9800,           -0.9817,            1.7725,          -35.8151,
Ref 12,5.08622e-08,,,,,,1.1915e-02,4.1683e-03,4.8423e-05,4.5912e-06,6.3988e-08,,,,,,,,,,,
Sam 12,5.21618e-08,1.20259e-02,4.2433e-03,4.9706e-05,4.7664e-06,6.3296e-08,,,,,,            9.3217,           18.0154,           26.5278,           38.3948,          -14.5112,            6.4089,           12.0078,           -0.9510,            1.9680,          -57.8643,
Ref 13,4.97341e-08,,,,,,1.1915e-02,4.1681e-03,4.8419e-05,4.5891e-06,6.4473e-08,,,,,,,,,,,
Sam 13,5.10380e-08,1.20260e-02,4.2431e-03,4.9701e-05,4.7653e-06,6.4833e-08,,,,,,            9.3353,           17.9891,           26.5241,           38.2968,            6.4925,            6.4244,           11.9817,           -0.9432,            1.9251,          -37.7497,
Ref 14,4.85964e-08,,,,,,1.1915e-02,4.1681e-03,4.8414e-05,4.5900e-06,6.4356e-08,,,,,,,,,,,
Sam 14,4.99824e-08,1.20259e-02,4.2433e-03,4.9699e-05,4.7655e-06,6.6907e-08,,,,,,            9.3301,           18.0389,           26.4754,           38.2039,           35.9803,            6.4172,           12.0312,           -1.0333,            1.7375,           -9.6480,
Ref 15,4.75256e-08,,,,,,1.1915e-02,4.1682e-03,4.8421e-05,4.5903e-06,6.4816e-08,,,,,,,,,,,
Sam 15,4.89961e-08,1.20259e-02,4.2429e-03,4.9697e-05,4.7661e-06,6.5626e-08,,,,,,            9.3353,           17.9502,           26.3670,           38.2619,           -3.9930,            6.4257,           11.9429,           -1.0585,            1.9680,          -47.7026,
Ref 16,4.65093e-08,,,,,,1.1915e-02,4.1681e-03,4.8419e-05,4.5906e-06,6.6986e-08,,,,,,,,,,,
Sam 16,4.79523e-08,1.20258e-02,4.2433e-03,4.9703e-05,4.7649e-06,6.5735e-08,,,,,,            9.3398,           18.0544,           26.5706,           37.9117,          -15.6063,            6.4269,           12.0466,           -0.9655,            1.4251,          -59.0001,
Ref 17,4.55154e-08,,,,,,1.1914e-02,4.1680e-03,4.8414e-05,4.5910e-06,6.6563e-08,,,,,,,,,,,
Sam 17,4.70023e-08,1.20258e-02,4.2428e-03,4.9702e-05,4.7640e-06,6.6942e-08,,,,,,            9.3406,           17.9355,           26.5168,           37.7661,           -1.0421,            6.4319,           11.9282,           -0.9039,            1.5185,          -44.8593,
Ref 18,4.45354e-08,,,,,,1.1914e-02,4.1680e-03,4.8423e-05,4.5902e-06,6.7470e-08,,,,,,,,,,,
Sam 18,4.60630e-08,1.20256e-02,4.2429e-03,4.9699e-05,4.7650e-06,6.6179e-08,,,,,,            9.3233,           17.9565,           26.4031,           38.0505,           -6.0833,            6.4127,           11.9492,           -1.0170,            1.7518,          -49.7005,
Ref 19,4.35148e-08,,,,,,1.1915e-02,4.1681e-03,4.8417e-05,4.5905e-06,6.5678e-08,,,,,,,,,,,
Sam 19,4.51462e-08,1.20256e-02,4.2427e-03,4.9700e-05,4.7641e-06,6.6252e-08,,,,,,            9.3241,           17.8989,           26.4767,           37.6780,           -0.5498,            6.4156,           11.8919,           -0.8907,            1.5055,          -44.3045,
Ref 20,4.26602e-08,,,,,,1.1914e-02,4.1681e-03,4.8418e-05,4.5919e-06,6.6910e-08,,,,,,,,,,,
Sam 20,4.42494e-08,1.20257e-02,4.2427e-03,4.9696e-05,4.7660e-06,6.3889e-08,,,,,,            9.3307,           17.9107,           26.4228,           38.3090,          -47.1183,            6.4221,           11.9036,           -0.9613,            2.0913,          -88.8613,
Ref 21,4.17380e-08,,,,,,1.1915e-02,4.1680e-03,4.8415e-05,4.5885e-06,6.7189e-08,,,,,,,,,,,


Ref 1,4.13364e-08,,,,,,1.1914e-02,4.1678e-03,4.8418e-05,4.5905e-06,6.3888e-08,,,,,,,,,,,
Sam 1,4.29217e-08,1.20255e-02,4.2429e-03,4.9700e-05,4.7644e-06,6.4361e-08,,,,,,            9.3227,           17.9974,           26.4993,           38.0426,           -6.2564,            6.4107,           11.9899,           -0.9624,            1.6636,          -49.9406,
Ref 2,4.04580e-08,,,,,,1.1914e-02,4.1680e-03,4.8416e-05,4.5891e-06,6.5664e-08,,,,,,,,,,,
Sam 2,4.20647e-08,1.20254e-02,4.2425e-03,4.9697e-05,4.7608e-06,6.5018e-08,,,,,,            9.3235,           17.8812,           26.4425,           37.3789,            0.2422,            6.4155,           11.8743,           -0.9062,            1.2516,          -43.5137,
Ref 3,3.96260e-08,,,,,,1.1914e-02,4.1680e-03,4.8417e-05,4.5895e-06,6.4326e-08,,,,,,,,,,,
Sam 3,4.12461e-08,1.20256e-02,4.2427e-03,4.9697e-05,4.7655e-06,6.5545e-08,,,,,,            9.3369,           17.9290,           26.4799,           38.4106,           -1.3538,            6.4281,           11.9218,           -0.9296,            2.1534,          -45.1416,
Ref 4,3.88096e-08,,,,,,1.1914e-02,4.1680e-03,4.8413e-05,4.5890e-06,6.6970e-08,,,,,,,,,,,
Sam 4,4.04433e-08,1.20254e-02,4.2424e-03,4.9693e-05,4.7603e-06,6.5166e-08,,,,,,            9.3194,           17.8529,           26.4033,           37.3781,          -29.4191,            6.4121,           11.8461,           -0.9130,            1.3065,          -71.8228,
Ref 5,3.80463e-08,,,,,,1.1914e-02,4.1679e-03,4.8418e-05,4.5885e-06,6.7317e-08,,,,,,,,,,,
Sam 5,3.96821e-08,1.20254e-02,4.2425e-03,4.9698e-05,4.7634e-06,6.5299e-08,,,,,,            9.3229,           17.8803,           26.4671,           38.3063,           -6.2816,            6.4148,           11.8734,           -0.8808,            2.1484,          -49.7500,
Ref 6,3.72683e-08,,,,,,1.1914e-02,4.1680e-03,4.8415e-05,4.5868e-06,6.4073e-08,,,,,,,,,,,
Sam 6,3.88645e-08,1.20255e-02,4.2423e-03,4.9693e-05,4.7602e-06,6.4920e-08,,,,,,            9.3356,           17.8448,           26.3832,           37.7601,          -21.3623,            6.4296,           11.8380,           -0.9411,            1.6913,          -64.1192,
Ref 7,3.65251e-08,,,,,,1.1914e-02,4.1679e-03,4.8417e-05,4.5871e-06,6.8647e-08,,,,,,,,,,,
Sam 7,3.81631e-08,1.20254e-02,4.2424e-03,4.9695e-05,4.7632e-06,6.6305e-08,,,,,,            9.3259,           17.8585,           26.3425,           38.1282,           -6.7843,            6.4188,           11.8517,           -0.9841,            2.0195,          -50.1937,
Ref 8,3.57932e-08,,,,,,1.1914e-02,4.1680e-03,4.8422e-05,4.5895e-06,6.4830e-08,,,,,,,,,,,
Sam 8,3.74428e-08,1.20254e-02,4.2421e-03,4.9691e-05,4.7625e-06,6.3430e-08,,,,,,            9.3261,           17.7882,           26.2578,           37.8201,          -32.1111,            6.4215,           11.7817,           -0.9989,            1.8605,          -74.2879,
Ref 9,3.50998e-08,,,,,,1.1914e-02,4.1679e-03,4.8417e-05,4.5883e-06,6.6253e-08,,,,,,,,,,,
Sam 9,3.67099e-08,1.20254e-02,4.2423e-03,4.9695e-05,4.7599e-06,6.5715e-08,,,,,,            9.3315,           17.8438,           26.4198,           37.0493,          -10.3615,            6.4253,           11.8370,           -0.9003,            1.0072,          -53.5931,
Ref 10,3.44031e-08,,,,,,1.1914e-02,4.1679e-03,4.8415e-05,4.5915e-06,6.6555e-08,,,,,,,,,,,
Sam 10,3.60448e-08,1.20254e-02,4.2420e-03,4.9686e-05,4.7641e-06,6.6620e-08,,,,,,            9.3307,           17.7581,           26.2665,           37.7306,            3.5786,            6.4274,           11.7518,           -0.9661,            1.8333,          -40.1024,
Ref 11,3.37531e-08,,,,,,1.1914e-02,4.1680e-03,4.8413e-05,4.5904e-06,6.6205e-08,,,,,,,,,,,
Sam 11,3.53639e-08,1.20254e-02,4.2422e-03,4.9691e-05,4.7606e-06,6.4515e-08,,,,,,            9.3261,           17.7980,           26.3641,           36.9885,          -41.0347,            6.4211,           11.7915,           -0.9049,            1.0385,          -82.8401,
Ref 12,3.31076e-08,,,,,,1.1914e-02,4.1680e-03,4.8417e-05,4.5912e-06,6.8366e-08,,,,,,,,,,,
Sam 12,3.47163e-08,1.20253e-02,4.2419e-03,4.9692e-05,4.7615e-06,6.5368e-08,,,,,,            9.3179,           17.7488,           26.3394,           37.5513,          -21.3444,            6.4141,           11.7426,           -0.8730,            1.6786,          -63.9111,
Ref 13,3.24843e-08,,,,,,1.1914e-02,4.1679e-03,4.8416e-05,4.5872e-06,6.5191e-08,,,,,,,,,,,
Sam 13,3.40854e-08,1.20253e-02,4.2420e-03,4.9688e-05,4.7611e-06,6.5770e-08,,,,,,            9.3301,           17.7870,           26.2778,           37.4291,           -3.2768,            6.4257,           11.7805,           -0.9823,            1.4854,          -46.7120,
Ref 14,3.18725e-08,,,,,,1.1914e-02,4.1679e-03,4.8415e-05,4.5915e-06,6.6796e-08,,,,,,,,,,,
Sam 14,3.34678e-08,1.20251e-02,4.2417e-03,4.9692e-05,4.7607e-06,6.6364e-08,,,,,,            9.3146,           17.7265,           26.3930,           36.8988,           -9.0813,            6.4113,           11.7203,           -0.7959,            1.0925,          -52.1372,
Ref 15,3.12780e-08,,,,,,1.1914e-02,4.1678e-03,4.8414e-05,4.5910e-06,6.7151e-08,,,,,,,,,,,
Sam 15,3.28434e-08,1.20252e-02,4.2419e-03,4.9688e-05,4.7614e-06,6.6264e-08,,,,,,            9.3180,           17.7570,           26.3114,           37.4530,           -4.3954,            6.4139,           11.7507,           -0.9083,            1.5675,          -47.7145,
Ref 16,3.06973e-08,,,,,,1.1914e-02,4.1679e-03,4.8413e-05,4.5879e-06,6.5951e-08,,,,,,,,,,,
Sam 16,3.22447e-08,1.20253e-02,4.2417e-03,4.9691e-05,4.7598e-06,6.2919e-08,,,,,,            9.3324,           17.6920,           26.3997,           36.9274,          -54.5466,            6.4315,           11.6860,           -0.7743,            1.1880,          -95.5838,
Ref 17,3.01267e-08,,,,,,1.1914e-02,4.1679e-03,4.8412e-05,4.5926e-06,6.7159e-08,,,,,,,,,,,
Sam 17,3.16384e-08,1.20254e-02,4.2417e-03,4.9689e-05,4.7600e-06,6.5742e-08,,,,,,            9.3375,           17.7124,           26.3696,           36.9635,           -9.0380,            6.4362,           11.7063,           -0.8284,            1.1828,          -52.0928,
Ref 18,2.95539e-08,,,,,,1.1914e-02,4.1678e-03,4.8411e-05,4.5880e-06,6.5508e-08,,,,,,,,,,,
Sam 18,3.10726e-08,1.20250e-02,4.2415e-03,4.9693e-05,4.7603e-06,6.5863e-08,,,,,,            9.3039,           17.6734,           26.4560,           37.2812,          -14.5725,            6.4018,           11.6675,           -0.6723,            1.5663,          -57.2823,
Ref 19,2.90209e-08,,,,,,1.1914e-02,4.1678e-03,4.8413e-05,4.5905e-06,6.8190e-08,,,,,,,,,,,
Sam 19,3.05099e-08,1.20253e-02,4.2415e-03,4.9683e-05,4.7577e-06,6.4170e-08,,,,,,            9.3261,           17.6961,           26.2286,           37.1602,          -48.7135,            6.4246,           11.6900,           -0.9383,            1.4048,          -90.0048,
Ref 20,2.84937e-08,,,,,,1.1914e-02,4.1678e-03,4.8414e-05,4.5839e-06,6.6709e-08,,,,,,,,,,,
Sam 20,2.99568e-08,1.20249e-02,4.2413e-03,4.9689e-05,4.7588e-06,6.7218e-08,,,,,,            9.3065,           17.6368,           26.3425,           37.1907,            1.5916,            6.4058,           11.6311,           -0.7502,            1.5508,          -41.7538,
Ref 21,2.79742e-08,,,,,,1.1914e-02,4.1678e-03,4.8413e-05,4.5926e-06,6.7520e-08,,,,,,,,,,,


Ref 1,2.77029e-08,,,,,,1.1914e-02,4.1676e-03,4.8414e-05,4.5869e-06,6.3785e-08,,,,,,,,,,,
Sam 1,2.91644e-08,1.20251e-02,4.2415e-03,4.9681e-05,4.7582e-06,6.6230e-08,,,,,,            9.3181,           17.6971,           26.1217,           36.8553,           20.3221,            6.4161,           11.6911,           -1.0352,            1.1084,          -23.9596,
Ref 2,2.71860e-08,,,,,,1.1914e-02,4.1678e-03,4.8419e-05,4.5912e-06,6.6057e-08,,,,,,,,,,,
Sam 2,2.86467e-08,1.20251e-02,4.2413e-03,4.9689e-05,4.7598e-06,6.5697e-08,,,,,,            9.3062,           17.6224,           26.1760,           36.8592,           -6.1109,            6.4060,           11.6168,           -0.8980,            1.2592,          -49.0961,
Ref 3,2.67086e-08,,,,,,1.1914e-02,4.1679e-03,4.8424e-05,4.5900e-06,6.6147e-08,,,,,,,,,,,
Sam 3,2.81496e-08,1.20250e-02,4.2413e-03,4.9686e-05,4.7565e-06,6.5238e-08,,,,,,            9.3007,           17.6204,           26.1408,           36.0077,          -38.8977,            6.4002,           11.6147,           -0.9247,            0.4409,          -80.4560,
Ref 4,2.62283e-08,,,,,,1.1914e-02,4.1679e-03,4.8416e-05,4.5925e-06,6.9642e-08,,,,,,,,,,,
Sam 4,2.75890e-08,1.20253e-02,4.2413e-03,4.9692e-05,4.7568e-06,6.4697e-08,,,,,,            9.3146,           17.6123,           26.3132,           35.8592,          -49.7812,            6.4153,           11.6066,           -0.7632,            0.3134,          -90.8679,
Ref 5,2.57563e-08,,,,,,1.1914e-02,4.1679e-03,4.8419e-05,4.5917e-06,6.6503e-08,,,,,,,,,,,
Sam 5,2.71108e-08,1.20252e-02,4.2413e-03,4.9688e-05,4.7551e-06,6.5271e-08,,,,,,            9.3074,           17.5996,           26.1912,           35.9373,            0.5249,            6.4081,           11.5940,           -0.8624,            0.4137,          -42.7063,
Ref 6,2.53197e-08,,,,,,1.1914e-02,4.1679e-03,4.8420e-05,4.5886e-06,6.3949e-08,,,,,,,,,,,
Sam 6,2.66414e-08,1.20254e-02,4.2412e-03,4.9694e-05,4.7584e-06,6.5521e-08,,,,,,            9.3292,           17.5836,           26.3168,           37.0075,           16.4720,            6.4319,           11.5781,           -0.7470,            1.4787,          -27.4406,
Ref 7,2.48794e-08,,,,,,1.1914e-02,4.1679e-03,4.8419e-05,4.5885e-06,6.4980e-08,,,,,,,,,,,
Sam 7,2.61815e-08,1.20254e-02,4.2412e-03,4.9681e-05,4.7578e-06,6.3237e-08,,,,,,            9.3206,           17.5825,           26.0410,           36.8209,          -32.3518,            6.4227,           11.5770,           -1.0057,            1.3007,          -74.1448,
Ref 8,2.44488e-08,,,,,,1.1914e-02,4.1679e-03,4.8422e-05,4.5891e-06,6.5729e-08,,,,,,,,,,,
Sam 8,2.57302e-08,1.20253e-02,4.2413e-03,4.9690e-05,4.7546e-06,6.4603e-08,,,,,,            9.3129,           17.6173,           26.2569,           36.0762,          -15.6113,            6.4133,           11.6116,           -0.8211,            0.5132,          -58.1829,
Ref 9,2.40257e-08,,,,,,1.1914e-02,4.1679e-03,4.8416e-05,4.5889e-06,6.5525e-08,,,,,,,,,,,
Sam 9,2.52896e-08,1.20253e-02,4.2411e-03,4.9690e-05,4.7543e-06,6.5064e-08,,,,,,            9.3312,           17.5705,           26.4573,           35.9612,            9.8956,            6.4344,           11.5650,           -0.5995,            0.4940,          -33.7104,
Ref 10,2.36289e-08,,,,,,1.1914e-02,4.1679e-03,4.8403e-05,4.5896e-06,6.3310e-08,,,,,,,,,,,
Sam 10,2.48538e-08,1.20253e-02,4.2410e-03,4.9690e-05,4.7612e-06,6.4176e-08,,,,,,            9.3263,           17.5380,           26.3705,           37.5553,           -3.4528,            6.4303,           11.5327,           -0.6477,            2.0976,          -46.4177,
Ref 11,2.32219e-08,,,,,,1.1914e-02,4.1679e-03,4.8425e-05,4.5881e-06,6.5506e-08,,,,,,,,,,,
Sam 11,2.44335e-08,1.20252e-02,4.2410e-03,4.9686e-05,4.7566e-06,6.3926e-08,,,,,,            9.3119,           17.5412,           26.0765,           36.4417,          -43.6055,            6.4148,           11.5359,           -0.9222,            1.0158,          -84.8308,
Ref 12,2.28401e-08,,,,,,1.1914e-02,4.1678e-03,4.8422e-05,4.5905e-06,6.8198e-08,,,,,,,,,,,
Sam 12,2.40141e-08,1.20252e-02,4.2410e-03,4.9696e-05,4.7558e-06,6.3978e-08,,,,,,            9.3204,           17.5452,           26.3329,           36.1079,          -64.5287,            6.4238,           11.5399,           -0.6852,            0.6854,         -104.8672,
Ref 13,2.24394e-08,,,,,,1.1914e-02,4.1679e-03,4.8421e-05,4.5896e-06,6.8587e-08,,,,,,,,,,,
Sam 13,2.36182e-08,1.20250e-02,4.2408e-03,4.9686e-05,4.7557e-06,6.5883e-08,,,,,,            9.3018,           17.4888,           26.2302,           36.4519,          -16.5874,            6.4059,           11.4838,           -0.7116,            1.1288,          -58.8720,
Ref 14,2.20890e-08,,,,,,1.1914e-02,4.1679e-03,4.8411e-05,4.5871e-06,6.5377e-08,,,,,,,,,,,
Sam 14,2.32298e-08,1.20252e-02,4.2408e-03,4.9681e-05,4.7490e-06,6.8270e-08,,,,,,            9.3134,           17.5220,           26.2045,           35.1938,           23.7583,            6.4171,           11.5168,           -0.7806,           -0.1517,          -20.3362,
Ref 15,2.17258e-08,,,,,,1.1914e-02,4.1678e-03,4.8414e-05,4.5879e-06,6.8017e-08,,,,,,,,,,,
Sam 15,2.28242e-08,1.20253e-02,4.2410e-03,4.9689e-05,4.7504e-06,6.5958e-08,,,,,,            9.3259,           17.5794,           26.2952,           35.3828,          -62.3514,            6.4285,           11.5740,           -0.7606,           -0.0822,         -102.8483,
Ref 16,2.13891e-08,,,,,,1.1914e-02,4.1677e-03,4.8418e-05,4.5883e-06,7.2707e-08,,,,,,,,,,,
Sam 16,2.24607e-08,1.20251e-02,4.2407e-03,4.9681e-05,4.7505e-06,6.6754e-08,,,,,,            9.3144,           17.5051,           26.1149,           35.8708,          -15.7779,            6.4188,           11.5000,           -0.8526,            0.5352,          -58.1397,
Ref 17,2.10335e-08,,,,,,1.1914e-02,4.1678e-03,4.8416e-05,4.5837e-06,6.2859e-08,,,,,,,,,,,
Sam 17,2.20736e-08,1.20252e-02,4.2409e-03,4.9683e-05,4.7511e-06,6.3915e-08,,,,,,            9.3173,           17.5534,           26.1885,           36.1575,           -3.3492,            6.4202,           11.5481,           -0.8306,            0.7172,          -46.3379,
Ref 18,2.06767e-08,,,,,,1.1914e-02,4.1678e-03,4.8415e-05,4.5870e-06,6.5423e-08,,,,,,,,,,,
Sam 18,2.17245e-08,1.20250e-02,4.2406e-03,4.9688e-05,4.7558e-06,6.2605e-08,,,,,,            9.3169,           17.4817,           26.4152,           36.9303,          -28.5086,            6.4222,           11.4767,           -0.5401,            1.6047,          -70.2827,
Ref 19,2.03571e-08,,,,,,1.1914e-02,4.1677e-03,4.8405e-05,4.5858e-06,6.3446e-08,,,,,,,,,,,
Sam 19,2.13673e-08,1.20250e-02,4.2405e-03,4.9685e-05,4.7526e-06,6.3241e-08,,,,,,            9.3245,           17.4686,           26.4523,           36.3997,          -15.7740,            6.4308,           11.4637,           -0.4990,            1.1180,          -58.0795,
Ref 20,2.00309e-08,,,,,,1.1914e-02,4.1677e-03,4.8405e-05,4.5855e-06,6.5077e-08,,,,,,,,,,,
Sam 20,2.09906e-08,1.20251e-02,4.2406e-03,4.9681e-05,4.7558e-06,6.4598e-08,,,,,,            9.3247,           17.5010,           26.2931,           36.6750,           -0.1771,            6.4298,           11.4959,           -0.6855,            1.3201,          -43.2131,
Ref 21,1.97205e-08,,,,,,1.1914e-02,4.1677e-03,4.8412e-05,4.5897e-06,6.4134e-08,,,,,,,,,,,


