Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 08:35 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 09:35 with Stable 1.69.5 on PS019

Data File = Data_5962 PK99 KT3A.txt,      Sample Weight = 451,                      Vial Location = 11,                       Initial Sam Beam = 7.5125e-08,            ColdFinger Status = CF,                   Min Ref Beam = 2.2011e-08,                Max Ref Beam = 1.0633e-07,                
Analysis undertaken at mass 46.0149
Analysis undertaken at mass 46.0149
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.60814e-08,,,,,,1.1915e-02,4.1679e-03,4.8424e-05,4.5860e-06,6.2389e-08,,,,,,,,,,,
Sam 1,6.59249e-08,1.19141e-02,4.2047e-03,4.8820e-05,4.6673e-06,5.9494e-08,,,,,,           -0.0558,            8.8393,            8.1941,           17.5026,          -35.3479,           -3.2550,            2.8967,           -0.4430,           -0.2497,          -51.8486,
Ref 2,6.44654e-08,,,,,,1.1915e-02,4.1678e-03,4.8423e-05,4.5881e-06,6.0940e-08,,,,,,,,,,,
Sam 2,6.44119e-08,1.19140e-02,4.2047e-03,4.8817e-05,4.6672e-06,5.9334e-08,,,,,,           -0.0639,            8.8382,            8.1391,           17.2278,          -45.4078,           -3.2636,            2.8957,           -0.4882,           -0.5176,          -61.7264,
Ref 3,6.28298e-08,,,,,,1.1915e-02,4.1679e-03,4.8422e-05,4.5882e-06,6.3403e-08,,,,,,,,,,,
Sam 3,6.28682e-08,1.19142e-02,4.2047e-03,4.8814e-05,4.6672e-06,6.0970e-08,,,,,,           -0.0461,            8.8519,            8.0714,           17.6262,          -19.1675,           -3.2452,            2.9092,           -0.5869,           -0.1532,          -35.9785,
Ref 4,6.12991e-08,,,,,,1.1915e-02,4.1678e-03,4.8423e-05,4.5845e-06,6.0888e-08,,,,,,,,,,,
Sam 4,6.14632e-08,1.19142e-02,4.2047e-03,4.8814e-05,4.6670e-06,6.0277e-08,,,,,,           -0.0506,            8.8607,            8.1140,           17.8630,          -23.6616,           -3.2503,            2.9180,           -0.5486,            0.0620,          -40.4074,
Ref 5,5.98077e-08,,,,,,1.1915e-02,4.1678e-03,4.8419e-05,4.5858e-06,6.2610e-08,,,,,,,,,,,
Sam 5,6.01338e-08,1.19142e-02,4.2046e-03,4.8820e-05,4.6672e-06,6.0998e-08,,,,,,           -0.0490,            8.8378,            8.3203,           17.8412,          -16.2482,           -3.2477,            2.8952,           -0.3235,            0.0859,          -33.0798,
Ref 6,5.83443e-08,,,,,,1.1915e-02,4.1678e-03,4.8415e-05,4.5849e-06,6.1385e-08,,,,,,,,,,,
Sam 6,5.88114e-08,1.19138e-02,4.2046e-03,4.8812e-05,4.6662e-06,6.0219e-08,,,,,,           -0.0704,            8.8321,            8.1350,           17.6900,          -18.3736,           -3.2703,            2.8896,           -0.4795,           -0.0513,          -35.1361,
Ref 7,5.69600e-08,,,,,,1.1915e-02,4.1677e-03,4.8421e-05,4.5853e-06,6.1307e-08,,,,,,,,,,,
Sam 7,5.75597e-08,1.19139e-02,4.2045e-03,4.8808e-05,4.6675e-06,6.0283e-08,,,,,,           -0.0574,            8.8375,            7.9934,           17.8075,          -24.3677,           -3.2567,            2.8949,           -0.6386,            0.0534,          -41.0512,
Ref 8,5.56032e-08,,,,,,1.1914e-02,4.1677e-03,4.8421e-05,4.5863e-06,6.2282e-08,,,,,,,,,,,
Sam 8,5.63113e-08,1.19138e-02,4.2045e-03,4.8813e-05,4.6676e-06,6.0724e-08,,,,,,           -0.0556,            8.8403,            8.0704,           17.6606,          -25.3425,           -3.2549,            2.8977,           -0.5668,           -0.0965,          -42.0164,
Ref 9,5.43145e-08,,,,,,1.1914e-02,4.1676e-03,4.8423e-05,4.5868e-06,6.2325e-08,,,,,,,,,,,
Sam 9,5.51092e-08,1.19136e-02,4.2044e-03,4.8813e-05,4.6661e-06,6.0219e-08,,,,,,           -0.0662,            8.8470,            8.1160,           17.2620,          -39.9275,           -3.2664,            2.9044,           -0.5172,           -0.5013,          -56.3536,
Ref 10,5.30824e-08,,,,,,1.1914e-02,4.1675e-03,4.8417e-05,4.5870e-06,6.3131e-08,,,,,,,,,,,
Sam 10,5.39409e-08,1.19137e-02,4.2044e-03,4.8811e-05,4.6649e-06,6.0167e-08,,,,,,           -0.0538,            8.8443,            8.1215,           17.0768,          -44.6855,           -3.2531,            2.9017,           -0.5220,           -0.6781,          -61.0377,
Ref 11,5.18667e-08,,,,,,1.1914e-02,4.1675e-03,4.8418e-05,4.5862e-06,6.2829e-08,,,,,,,,,,,
Sam 11,5.28250e-08,1.19135e-02,4.2043e-03,4.8812e-05,4.6649e-06,6.0971e-08,,,,,,           -0.0660,            8.8247,            8.1598,           17.1767,          -28.4127,           -3.2654,            2.8822,           -0.4522,           -0.5410,          -44.9944,
Ref 12,5.07074e-08,,,,,,1.1914e-02,4.1675e-03,4.8416e-05,4.5860e-06,6.2678e-08,,,,,,,,,,,
Sam 12,5.16370e-08,1.19137e-02,4.2045e-03,4.8806e-05,4.6657e-06,6.0611e-08,,,,,,           -0.0470,            8.8739,            8.0740,           17.3193,          -23.1372,           -3.2469,            2.9311,           -0.6049,           -0.4983,          -39.9205,
Ref 13,4.95516e-08,,,,,,1.1914e-02,4.1674e-03,4.8415e-05,4.5865e-06,6.1401e-08,,,,,,,,,,,
Sam 13,5.06169e-08,1.19136e-02,4.2044e-03,4.8801e-05,4.6653e-06,6.1522e-08,,,,,,           -0.0561,            8.8512,            7.9320,           17.3271,           -6.0798,           -3.2557,            2.9086,           -0.7143,           -0.4458,          -23.1036,
Ref 14,4.84640e-08,,,,,,1.1914e-02,4.1675e-03,4.8418e-05,4.5852e-06,6.2406e-08,,,,,,,,,,,
Sam 14,4.95951e-08,1.19135e-02,4.2042e-03,4.8806e-05,4.6661e-06,6.0630e-08,,,,,,           -0.0595,            8.8199,            8.0203,           17.5522,          -23.6666,           -3.2582,            2.8774,           -0.5927,           -0.1624,          -40.3270,
Ref 15,4.73940e-08,,,,,,1.1914e-02,4.1674e-03,4.8416e-05,4.5860e-06,6.1785e-08,,,,,,,,,,,
Sam 15,4.85853e-08,1.19135e-02,4.2043e-03,4.8810e-05,4.6609e-06,6.0086e-08,,,,,,           -0.0575,            8.8380,            8.2177,           16.6379,          -44.3496,           -3.2568,            2.8954,           -0.4165,           -1.0967,          -60.6921,
Ref 16,4.63629e-08,,,,,,1.1914e-02,4.1675e-03,4.8409e-05,4.5833e-06,6.3989e-08,,,,,,,,,,,
Sam 16,4.75776e-08,1.19134e-02,4.2043e-03,4.8808e-05,4.6668e-06,6.1712e-08,,,,,,           -0.0562,            8.8337,            8.2030,           17.9545,          -29.1665,           -3.2553,            2.8911,           -0.4282,            0.2055,          -45.7620,
Ref 17,4.53559e-08,,,,,,1.1914e-02,4.1674e-03,4.8412e-05,4.5857e-06,6.3135e-08,,,,,,,,,,,
Sam 17,4.66331e-08,1.19134e-02,4.2042e-03,4.8804e-05,4.6669e-06,6.1823e-08,,,,,,           -0.0563,            8.8418,            8.0609,           17.4937,          -22.3105,           -3.2556,            2.8992,           -0.5770,           -0.2635,          -39.0385,
Ref 18,4.43844e-08,,,,,,1.1914e-02,4.1673e-03,4.8415e-05,4.5875e-06,6.3336e-08,,,,,,,,,,,
Sam 18,4.56873e-08,1.19135e-02,4.2042e-03,4.8802e-05,4.6662e-06,6.0172e-08,,,,,,           -0.0483,            8.8334,            8.0316,           17.3119,          -43.6095,           -3.2468,            2.8908,           -0.6061,           -0.4254,          -59.9656,
Ref 19,4.34174e-08,,,,,,1.1914e-02,4.1674e-03,4.8411e-05,4.5861e-06,6.2486e-08,,,,,,,,,,,
Sam 19,4.47900e-08,1.19133e-02,4.2042e-03,4.8800e-05,4.6655e-06,6.1717e-08,,,,,,           -0.0699,            8.8195,            8.0233,           17.4613,          -13.8872,           -3.2693,            2.8770,           -0.5786,           -0.2510,          -30.7030,
Ref 20,4.25130e-08,,,,,,1.1914e-02,4.1674e-03,4.8412e-05,4.5847e-06,6.2688e-08,,,,,,,,,,,
Sam 20,4.38855e-08,1.19133e-02,4.2042e-03,4.8804e-05,4.6644e-06,6.0470e-08,,,,,,           -0.0623,            8.8271,            8.0618,           17.0629,          -42.7985,           -3.2615,            2.8846,           -0.5556,           -0.6576,          -59.1429,
Ref 21,4.16460e-08,,,,,,1.1914e-02,4.1674e-03,4.8415e-05,4.5876e-06,6.3671e-08,,,,,,,,,,,


Ref 1,4.12056e-08,,,,,,1.1914e-02,4.1673e-03,4.8415e-05,4.5863e-06,6.0307e-08,,,,,,,,,,,
Sam 1,4.26078e-08,1.19134e-02,4.2042e-03,4.8803e-05,4.6676e-06,6.0013e-08,,,,,,           -0.0548,            8.8320,            8.0800,           17.8384,          -37.8461,           -3.2537,            2.8895,           -0.5500,            0.0947,          -54.2916,
Ref 2,4.03521e-08,,,,,,1.1914e-02,4.1674e-03,4.8410e-05,4.5853e-06,6.4485e-08,,,,,,,,,,,
Sam 2,4.17576e-08,1.19133e-02,4.2042e-03,4.8806e-05,4.6669e-06,6.0285e-08,,,,,,           -0.0599,            8.8427,            8.1139,           17.8053,          -45.3073,           -3.2595,            2.9001,           -0.5217,            0.0409,          -61.6398,
Ref 3,3.95123e-08,,,,,,1.1914e-02,4.1673e-03,4.8417e-05,4.5852e-06,6.1778e-08,,,,,,,,,,,
Sam 3,4.09360e-08,1.19132e-02,4.2041e-03,4.8802e-05,4.6658e-06,6.2023e-08,,,,,,           -0.0594,            8.8343,            8.0139,           17.6437,           -8.3137,           -3.2587,            2.8917,           -0.6130,           -0.1011,          -25.2635,
Ref 4,3.87199e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5846e-06,6.3324e-08,,,,,,,,,,,
Sam 4,4.01458e-08,1.19132e-02,4.2041e-03,4.8801e-05,4.6658e-06,6.0086e-08,,,,,,           -0.0613,            8.8301,            8.0901,           17.7211,          -34.0881,           -3.2606,            2.8875,           -0.5315,           -0.0168,          -50.5877,
Ref 5,3.79206e-08,,,,,,1.1914e-02,4.1673e-03,4.8408e-05,4.5845e-06,6.1066e-08,,,,,,,,,,,
Sam 5,3.93745e-08,1.19132e-02,4.2041e-03,4.8802e-05,4.6631e-06,5.8879e-08,,,,,,           -0.0515,            8.8353,            8.1020,           17.2347,          -42.7950,           -3.2503,            2.8927,           -0.5349,           -0.5050,          -59.1653,
Ref 6,3.71648e-08,,,,,,1.1914e-02,4.1673e-03,4.8411e-05,4.5837e-06,6.1966e-08,,,,,,,,,,,
Sam 6,3.86132e-08,1.19133e-02,4.2041e-03,4.8800e-05,4.6666e-06,5.8979e-08,,,,,,           -0.0432,            8.8346,            8.0459,           17.8188,          -54.6358,           -3.2414,            2.8920,           -0.5984,            0.0702,          -70.8105,
Ref 7,3.64385e-08,,,,,,1.1914e-02,4.1673e-03,4.8410e-05,4.5862e-06,6.2818e-08,,,,,,,,,,,
Sam 7,3.78767e-08,1.19130e-02,4.2041e-03,4.8799e-05,4.6662e-06,5.9158e-08,,,,,,           -0.0632,            8.8309,            8.0816,           17.6010,          -60.4724,           -3.2626,            2.8884,           -0.5389,           -0.1364,          -76.5210,
Ref 8,3.57137e-08,,,,,,1.1914e-02,4.1673e-03,4.8406e-05,4.5848e-06,6.3117e-08,,,,,,,,,,,
Sam 8,3.71702e-08,1.19129e-02,4.2040e-03,4.8799e-05,4.6657e-06,5.9013e-08,,,,,,           -0.0694,            8.8141,            8.1116,           17.5081,          -34.3400,           -3.2686,            2.8717,           -0.4863,           -0.1944,          -50.7976,
Ref 9,3.50087e-08,,,,,,1.1914e-02,4.1672e-03,4.8407e-05,4.5861e-06,5.9065e-08,,,,,,,,,,,
Sam 9,3.64728e-08,1.19131e-02,4.2040e-03,4.8798e-05,4.6632e-06,5.8778e-08,,,,,,           -0.0550,            8.8403,            8.0568,           16.5749,          -31.0897,           -3.2543,            2.8977,           -0.5809,           -1.1633,          -47.6659,
Ref 10,3.43366e-08,,,,,,1.1914e-02,4.1671e-03,4.8409e-05,4.5882e-06,6.2294e-08,,,,,,,,,,,
Sam 10,3.58026e-08,1.19130e-02,4.2040e-03,4.8797e-05,4.6640e-06,5.9629e-08,,,,,,           -0.0621,            8.8354,            7.9841,           16.8320,          -44.1622,           -3.2616,            2.8928,           -0.6410,           -0.9009,          -60.4987,
Ref 11,3.36678e-08,,,,,,1.1914e-02,4.1672e-03,4.8412e-05,4.5854e-06,6.2475e-08,,,,,,,,,,,
Sam 11,3.51175e-08,1.19131e-02,4.2039e-03,4.8797e-05,4.6646e-06,5.7813e-08,,,,,,           -0.0628,            8.8168,            8.0397,           17.3965,          -73.7767,           -3.2617,            2.8744,           -0.5670,           -0.3094,          -89.5733,
Ref 12,3.30270e-08,,,,,,1.1914e-02,4.1672e-03,4.8403e-05,4.5843e-06,6.2361e-08,,,,,,,,,,,
Sam 12,3.44730e-08,1.19129e-02,4.2040e-03,4.8798e-05,4.6648e-06,6.0279e-08,,,,,,           -0.0732,            8.8157,            8.1434,           17.6491,          -32.6992,           -3.2728,            2.8732,           -0.4523,           -0.0590,          -49.1838,
Ref 13,3.23991e-08,,,,,,1.1914e-02,4.1673e-03,4.8404e-05,4.5836e-06,6.2272e-08,,,,,,,,,,,
Sam 13,3.38397e-08,1.19129e-02,4.2040e-03,4.8791e-05,4.6650e-06,5.8279e-08,,,,,,           -0.0659,            8.8191,            7.9825,           17.8343,          -67.0350,           -3.2651,            2.8767,           -0.6228,            0.1162,          -82.9477,
Ref 14,3.17911e-08,,,,,,1.1914e-02,4.1672e-03,4.8405e-05,4.5829e-06,6.2664e-08,,,,,,,,,,,
Sam 14,3.32212e-08,1.19129e-02,4.2039e-03,4.8800e-05,4.6635e-06,6.0214e-08,,,,,,           -0.0600,            8.8140,            8.0530,           17.4266,          -22.6519,           -3.2587,            2.8716,           -0.5539,           -0.2743,          -39.3181,
Ref 15,3.12046e-08,,,,,,1.1914e-02,4.1672e-03,4.8415e-05,4.5844e-06,6.0536e-08,,,,,,,,,,,
Sam 15,3.26170e-08,1.19129e-02,4.2039e-03,4.8799e-05,4.6665e-06,5.9636e-08,,,,,,           -0.0606,            8.8145,            8.0044,           17.6016,           -1.4344,           -3.2593,            2.8721,           -0.6019,           -0.1034,          -18.4627,
Ref 16,3.06183e-08,,,,,,1.1914e-02,4.1672e-03,4.8408e-05,4.5871e-06,5.8892e-08,,,,,,,,,,,
Sam 16,3.20196e-08,1.19129e-02,4.2039e-03,4.8800e-05,4.6641e-06,5.9358e-08,,,,,,           -0.0773,            8.7994,            8.0645,           16.9998,           -1.7522,           -3.2765,            2.8570,           -0.5104,           -0.6646,          -18.7287,
Ref 17,3.00008e-08,,,,,,1.1914e-02,4.1673e-03,4.8412e-05,4.5853e-06,6.0044e-08,,,,,,,,,,,
Sam 17,3.14484e-08,1.19127e-02,4.2039e-03,4.8801e-05,4.6613e-06,5.8224e-08,,,,,,           -0.0914,            8.7889,            8.0926,           16.4767,          -40.4929,           -3.2912,            2.8467,           -0.4578,           -1.1580,          -56.7772,
Ref 18,2.95064e-08,,,,,,1.1914e-02,4.1672e-03,4.8407e-05,4.5862e-06,6.1329e-08,,,,,,,,,,,
Sam 18,3.08749e-08,1.19131e-02,4.2039e-03,4.8796e-05,4.6639e-06,5.8518e-08,,,,,,           -0.0470,            8.8008,            7.9960,           17.3362,          -43.7879,           -3.2443,            2.8584,           -0.6110,           -0.3369,          -60.0825,
Ref 19,2.89668e-08,,,,,,1.1914e-02,4.1673e-03,4.8411e-05,4.5826e-06,6.1064e-08,,,,,,,,,,,
Sam 19,3.03131e-08,1.19129e-02,4.2039e-03,4.8795e-05,4.6583e-06,6.0216e-08,,,,,,           -0.0738,            8.7858,            7.8391,           16.3516,          -22.4253,           -3.2723,            2.8435,           -0.7243,           -1.2747,          -39.0284,
Ref 20,2.83867e-08,,,,,,1.1914e-02,4.1673e-03,4.8421e-05,4.5842e-06,6.2142e-08,,,,,,,,,,,
Sam 20,2.97787e-08,1.19129e-02,4.2038e-03,4.8796e-05,4.6626e-06,5.6793e-08,,,,,,           -0.0789,            8.7701,            7.8718,           16.7787,          -84.1395,           -3.2772,            2.8279,           -0.6714,           -0.8240,          -99.6621,
Ref 21,2.78956e-08,,,,,,1.1914e-02,4.1672e-03,4.8409e-05,4.5871e-06,6.1877e-08,,,,,,,,,,,


Ref 1,2.76404e-08,,,,,,1.1914e-02,4.1672e-03,4.8410e-05,4.5859e-06,6.3632e-08,,,,,,,,,,,
Sam 1,2.89470e-08,1.19131e-02,4.2039e-03,4.8799e-05,4.6614e-06,5.8876e-08,,,,,,           -0.0557,            8.7957,            7.9995,           16.7959,          -59.5579,           -3.2534,            2.8533,           -0.5935,           -0.8577,          -75.5660,
Ref 2,2.71341e-08,,,,,,1.1914e-02,4.1673e-03,4.8413e-05,4.5829e-06,6.1557e-08,,,,,,,,,,,
Sam 2,2.84422e-08,1.19127e-02,4.2038e-03,4.8800e-05,4.6635e-06,6.1002e-08,,,,,,           -0.0834,            8.7766,            8.0235,           17.4811,           -9.9020,           -3.2823,            2.8343,           -0.5226,           -0.1465,          -26.6903,
Ref 3,2.66446e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5839e-06,6.1668e-08,,,,,,,,,,,
Sam 3,2.79320e-08,1.19130e-02,4.2039e-03,4.8808e-05,4.6631e-06,5.9850e-08,,,,,,           -0.0499,            8.8002,            8.1969,           17.5312,          -34.8799,           -3.2474,            2.8577,           -0.4081,           -0.1441,          -51.3222,
Ref 4,2.61924e-08,,,,,,1.1914e-02,4.1672e-03,4.8413e-05,4.5816e-06,6.2364e-08,,,,,,,,,,,
Sam 4,2.74329e-08,1.19129e-02,4.2039e-03,4.8806e-05,4.6630e-06,5.9668e-08,,,,,,           -0.0616,            8.8057,            8.0478,           17.6186,          -27.9621,           -3.2601,            2.8633,           -0.5493,           -0.0691,          -44.5206,
Ref 5,2.57236e-08,,,,,,1.1914e-02,4.1672e-03,4.8420e-05,4.5829e-06,6.0386e-08,,,,,,,,,,,
Sam 5,2.69475e-08,1.19130e-02,4.2040e-03,4.8802e-05,4.6622e-06,5.9489e-08,,,,,,           -0.0587,            8.8227,            7.9526,           16.9701,          -41.9854,           -3.2575,            2.8802,           -0.6634,           -0.7400,          -58.3392,
Ref 6,2.52808e-08,,,,,,1.1914e-02,4.1672e-03,4.8414e-05,4.5858e-06,6.3835e-08,,,,,,,,,,,
Sam 6,2.64847e-08,1.19129e-02,4.2040e-03,4.8805e-05,4.6625e-06,6.1122e-08,,,,,,           -0.0663,            8.8213,            8.0867,           16.9302,          -44.9598,           -3.2655,            2.8789,           -0.5212,           -0.7765,          -61.2528,
Ref 7,2.48460e-08,,,,,,1.1914e-02,4.1672e-03,4.8414e-05,4.5839e-06,6.4167e-08,,,,,,,,,,,
Sam 7,2.60201e-08,1.19129e-02,4.2039e-03,4.8810e-05,4.6653e-06,5.9520e-08,,,,,,           -0.0683,            8.8089,            8.0910,           17.8736,          -74.3558,           -3.2673,            2.8664,           -0.5027,            0.1752,          -90.1232,
Ref 8,2.44204e-08,,,,,,1.1914e-02,4.1672e-03,4.8423e-05,4.5829e-06,6.4436e-08,,,,,,,,,,,
Sam 8,2.55782e-08,1.19129e-02,4.2039e-03,4.8802e-05,4.6604e-06,6.1708e-08,,,,,,           -0.0638,            8.7972,            8.0499,           16.5987,          -20.6995,           -3.2621,            2.8548,           -0.5366,           -1.0544,          -37.3635,
Ref 9,2.40000e-08,,,,,,1.1914e-02,4.1673e-03,4.8401e-05,4.5857e-06,6.1564e-08,,,,,,,,,,,
Sam 9,2.51365e-08,1.19128e-02,4.2039e-03,4.8800e-05,4.6655e-06,6.2971e-08,,,,,,           -0.0708,            8.7861,            8.1398,           17.5976,           -0.8731,           -3.2692,            2.8438,           -0.4295,           -0.0508,          -17.8458,
Ref 10,2.35932e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5839e-06,6.4513e-08,,,,,,,,,,,
Sam 10,2.47040e-08,1.19129e-02,4.2038e-03,4.8800e-05,4.6616e-06,6.1532e-08,,,,,,           -0.0633,            8.7939,            7.9560,           17.1307,          -53.2372,           -3.2615,            2.8515,           -0.6271,           -0.5251,          -69.3420,
Ref 11,2.31899e-08,,,,,,1.1914e-02,4.1672e-03,4.8419e-05,4.5823e-06,6.5481e-08,,,,,,,,,,,
Sam 11,2.42789e-08,1.19128e-02,4.2038e-03,4.8800e-05,4.6613e-06,6.0518e-08,,,,,,           -0.0643,            8.8071,            7.8778,           17.0800,          -71.5863,           -3.2630,            2.8647,           -0.7165,           -0.6011,          -87.4015,
Ref 12,2.28272e-08,,,,,,1.1914e-02,4.1671e-03,4.8418e-05,4.5837e-06,6.4884e-08,,,,,,,,,,,
Sam 12,2.38657e-08,1.19129e-02,4.2039e-03,4.8803e-05,4.6656e-06,6.0457e-08,,,,,,           -0.0514,            8.8403,            8.0893,           18.2347,          -62.0830,           -3.2504,            2.8977,           -0.5524,            0.4677,          -78.1324,
Ref 13,2.24486e-08,,,,,,1.1914e-02,4.1671e-03,4.8405e-05,4.5804e-06,6.4026e-08,,,,,,,,,,,
Sam 13,2.34634e-08,1.19130e-02,4.2038e-03,4.8798e-05,4.6635e-06,5.9108e-08,,,,,,           -0.0385,            8.8073,            8.1098,           17.6118,          -98.1637,           -3.2355,            2.8648,           -0.5133,           -0.0790,         -113.5509,
Ref 14,2.20871e-08,,,,,,1.1913e-02,4.1670e-03,4.8406e-05,4.5853e-06,6.7082e-08,,,,,,,,,,,
Sam 14,2.30872e-08,1.19129e-02,4.2038e-03,4.8795e-05,4.6613e-06,6.3983e-08,,,,,,           -0.0477,            8.8139,            7.9848,           16.6551,          -82.0659,           -3.2455,            2.8715,           -0.6342,           -1.0322,          -97.7307,
Ref 15,2.16986e-08,,,,,,1.1914e-02,4.1671e-03,4.8410e-05,4.5845e-06,7.2371e-08,,,,,,,,,,,
Sam 15,2.27036e-08,1.19128e-02,4.2038e-03,4.8799e-05,4.6668e-06,6.4977e-08,,,,,,           -0.0613,            8.8121,            8.1238,           18.0462,          -61.4374,           -3.2599,            2.8696,           -0.4805,            0.3384,          -77.4374,
Ref 16,2.13606e-08,,,,,,1.1914e-02,4.1670e-03,4.8402e-05,4.5836e-06,6.6040e-08,,,,,,,,,,,
Sam 16,2.23407e-08,1.19126e-02,4.2037e-03,4.8797e-05,4.6631e-06,6.3087e-08,,,,,,           -0.0810,            8.7883,            8.0831,           17.3254,          -29.4507,           -3.2801,            2.8460,           -0.4774,           -0.3227,          -45.9318,
Ref 17,2.09899e-08,,,,,,1.1914e-02,4.1671e-03,4.8409e-05,4.5838e-06,6.3944e-08,,,,,,,,,,,
Sam 17,2.19471e-08,1.19127e-02,4.2038e-03,4.8802e-05,4.6626e-06,6.4121e-08,,,,,,           -0.0646,            8.8206,            8.0687,           17.5816,           -8.9964,           -3.2637,            2.8781,           -0.5401,           -0.1350,          -25.9032,
Ref 18,2.06772e-08,,,,,,1.1913e-02,4.1670e-03,4.8414e-05,4.5802e-06,6.5473e-08,,,,,,,,,,,
Sam 18,2.15852e-08,1.19127e-02,4.2037e-03,4.8810e-05,4.6645e-06,6.3431e-08,,,,,,           -0.0575,            8.8255,            8.1932,           17.8337,          -32.1973,           -3.2564,            2.8830,           -0.4288,            0.1029,          -48.7246,
Ref 19,2.03393e-08,,,,,,1.1913e-02,4.1670e-03,4.8414e-05,4.5854e-06,6.5611e-08,,,,,,,,,,,
Sam 19,2.12331e-08,1.19127e-02,4.2037e-03,4.8797e-05,4.6629e-06,6.3944e-08,,,,,,           -0.0652,            8.8078,            7.9350,           17.3951,          -23.8246,           -3.2640,            2.8654,           -0.6594,           -0.2929,          -40.4538,
Ref 20,2.00287e-08,,,,,,1.1913e-02,4.1669e-03,4.8413e-05,4.5809e-06,6.5397e-08,,,,,,,,,,,
Sam 20,2.08898e-08,1.19127e-02,4.2037e-03,4.8796e-05,4.6633e-06,6.1657e-08,,,,,,           -0.0690,            8.8122,            7.9844,           17.9860,          -66.8196,           -3.2681,            2.8698,           -0.6110,            0.2790,          -82.7207,
Ref 21,1.97035e-08,,,,,,1.1914e-02,4.1669e-03,4.8406e-05,4.5809e-06,6.6757e-08,,,,,,,,,,,


