Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 09:55 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 10:55 with Stable 1.69.5 on PS019

Data File = Data_5963 CYC17-49B B.txt,    Sample Weight = 485,                      Vial Location = 12,                       Initial Sam Beam = 7.8015e-08,            ColdFinger Status = CF,                   Min Ref Beam = 2.1553e-08,                Max Ref Beam = 1.0615e-07,                
Analysis undertaken at mass 46.0149
Analysis undertaken at mass 46.0149
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.88436e-08,,,,,,1.1915e-02,4.1680e-03,4.8426e-05,4.5863e-06,6.2197e-08,,,,,,,,,,,
Sam 1,6.89622e-08,1.20236e-02,4.2377e-03,4.9671e-05,4.7401e-06,6.0690e-08,,,,,,            9.1193,           16.7384,           25.7182,           33.4992,          -24.1275,            6.2375,           10.7375,           -0.2985,           -0.2494,          -64.5519,
Ref 2,6.71072e-08,,,,,,1.1915e-02,4.1680e-03,4.8425e-05,4.5866e-06,6.2184e-08,,,,,,,,,,,
Sam 2,6.73216e-08,1.20238e-02,4.2377e-03,4.9668e-05,4.7409e-06,6.1202e-08,,,,,,            9.1359,           16.7416,           25.7136,           33.5641,          -21.5097,            6.2550,           10.7406,           -0.3230,           -0.1929,          -62.0646,
Ref 3,6.54089e-08,,,,,,1.1915e-02,4.1680e-03,4.8419e-05,4.5874e-06,6.2921e-08,,,,,,,,,,,
Sam 3,6.58091e-08,1.20237e-02,4.2377e-03,4.9667e-05,4.7400e-06,6.1864e-08,,,,,,            9.1304,           16.7198,           25.7003,           33.3735,          -13.4245,            6.2499,           10.7189,           -0.3092,           -0.3343,          -54.2691,
Ref 4,6.37551e-08,,,,,,1.1915e-02,4.1680e-03,4.8426e-05,4.5865e-06,6.2486e-08,,,,,,,,,,,
Sam 4,6.43180e-08,1.20237e-02,4.2377e-03,4.9668e-05,4.7424e-06,6.2896e-08,,,,,,            9.1286,           16.7257,           25.6506,           33.7937,           14.7143,            6.2479,           10.7248,           -0.3616,            0.0605,          -27.3047,
Ref 5,6.22126e-08,,,,,,1.1915e-02,4.1679e-03,4.8425e-05,4.5883e-06,6.1469e-08,,,,,,,,,,,
Sam 5,6.28219e-08,1.20237e-02,4.2377e-03,4.9664e-05,4.7406e-06,6.2412e-08,,,,,,            9.1419,           16.7546,           25.6391,           33.2552,           20.3416,            6.2609,           10.7535,           -0.4143,           -0.5171,          -21.9786,
Ref 6,6.06987e-08,,,,,,1.1915e-02,4.1679e-03,4.8421e-05,4.5877e-06,6.0860e-08,,,,,,,,,,,
Sam 6,6.14828e-08,1.20235e-02,4.2376e-03,4.9665e-05,4.7404e-06,6.2410e-08,,,,,,            9.1272,           16.7441,           25.6828,           33.0771,           19.0008,            6.2457,           10.7431,           -0.3465,           -0.6688,          -23.2290,
Ref 7,5.92138e-08,,,,,,1.1915e-02,4.1678e-03,4.8422e-05,4.5897e-06,6.1643e-08,,,,,,,,,,,
Sam 7,6.01242e-08,1.20235e-02,4.2376e-03,4.9668e-05,4.7425e-06,6.2819e-08,,,,,,            9.1336,           16.7521,           25.6939,           33.4669,           18.7178,            6.2522,           10.7511,           -0.3500,           -0.3075,          -23.5220,
Ref 8,5.78191e-08,,,,,,1.1915e-02,4.1677e-03,4.8425e-05,4.5882e-06,6.1686e-08,,,,,,,,,,,
Sam 8,5.87936e-08,1.20234e-02,4.2375e-03,4.9658e-05,4.7424e-06,6.1956e-08,,,,,,            9.1311,           16.7525,           25.5246,           33.6981,           -0.0958,            6.2495,           10.7515,           -0.5129,           -0.0848,          -41.5538,
Ref 9,5.64524e-08,,,,,,1.1915e-02,4.1677e-03,4.8419e-05,4.5874e-06,6.2245e-08,,,,,,,,,,,
Sam 9,5.75022e-08,1.20235e-02,4.2376e-03,4.9662e-05,4.7422e-06,6.1009e-08,,,,,,            9.1501,           16.7678,           25.6685,           33.6961,           -9.0595,            6.2692,           10.7666,           -0.4068,           -0.1166,          -50.1927,
Ref 10,5.51460e-08,,,,,,1.1914e-02,4.1677e-03,4.8418e-05,4.5877e-06,6.0873e-08,,,,,,,,,,,
Sam 10,5.62814e-08,1.20234e-02,4.2375e-03,4.9663e-05,4.7432e-06,6.2587e-08,,,,,,            9.1444,           16.7542,           25.7420,           34.0420,           22.9533,            6.2636,           10.7531,           -0.3162,            0.2447,          -19.4772,
Ref 11,5.38687e-08,,,,,,1.1914e-02,4.1677e-03,4.8415e-05,4.5863e-06,6.1499e-08,,,,,,,,,,,
Sam 11,5.51149e-08,1.20232e-02,4.2374e-03,4.9661e-05,4.7411e-06,6.3025e-08,,,,,,            9.1219,           16.7280,           25.7046,           33.6788,           14.7760,            6.2406,           10.7271,           -0.3044,           -0.0551,          -27.2430,
Ref 12,5.26348e-08,,,,,,1.1915e-02,4.1677e-03,4.8418e-05,4.5870e-06,6.2730e-08,,,,,,,,,,,
Sam 12,5.39008e-08,1.20234e-02,4.2375e-03,4.9658e-05,4.7410e-06,6.2780e-08,,,,,,            9.1404,           16.7571,           25.6438,           33.6723,            6.9937,            6.2593,           10.7560,           -0.4107,           -0.1187,          -34.7762,
Ref 13,5.14234e-08,,,,,,1.1914e-02,4.1676e-03,4.8415e-05,4.5861e-06,6.1948e-08,,,,,,,,,,,
Sam 13,5.27797e-08,1.20232e-02,4.2374e-03,4.9657e-05,4.7398e-06,6.1671e-08,,,,,,            9.1446,           16.7531,           25.7054,           33.3116,          -16.3881,            6.2640,           10.7520,           -0.3510,           -0.4597,          -57.1849,
Ref 14,5.02814e-08,,,,,,1.1914e-02,4.1675e-03,4.8411e-05,4.5880e-06,6.3465e-08,,,,,,,,,,,
Sam 14,5.16618e-08,1.20231e-02,4.2374e-03,4.9654e-05,4.7407e-06,6.1015e-08,,,,,,            9.1333,           16.7574,           25.6676,           33.5223,          -33.8066,            6.2517,           10.7563,           -0.3804,           -0.2642,          -73.8775,
Ref 15,4.91444e-08,,,,,,1.1914e-02,4.1676e-03,4.8412e-05,4.5859e-06,6.2827e-08,,,,,,,,,,,
Sam 15,5.06249e-08,1.20231e-02,4.2373e-03,4.9659e-05,4.7411e-06,6.3232e-08,,,,,,            9.1327,           16.7381,           25.7381,           33.7627,            4.1204,            6.2517,           10.7371,           -0.2925,            0.0062,          -37.4871,
Ref 16,4.80502e-08,,,,,,1.1914e-02,4.1675e-03,4.8413e-05,4.5865e-06,6.3122e-08,,,,,,,,,,,
Sam 16,4.95472e-08,1.20231e-02,4.2373e-03,4.9662e-05,4.7407e-06,6.1616e-08,,,,,,            9.1352,           16.7457,           25.7732,           33.4645,          -16.4662,            6.2541,           10.7447,           -0.2682,           -0.2972,          -57.2369,
Ref 17,4.69520e-08,,,,,,1.1914e-02,4.1676e-03,4.8415e-05,4.5879e-06,6.2161e-08,,,,,,,,,,,
Sam 17,4.85512e-08,1.20231e-02,4.2373e-03,4.9657e-05,4.7399e-06,6.1978e-08,,,,,,            9.1303,           16.7441,           25.6692,           33.1770,           -1.9654,            6.2490,           10.7431,           -0.3630,           -0.5721,          -43.3294,
Ref 18,4.59512e-08,,,,,,1.1914e-02,4.1675e-03,4.8413e-05,4.5876e-06,6.2037e-08,,,,,,,,,,,
Sam 18,4.75760e-08,1.20229e-02,4.2372e-03,4.9658e-05,4.7416e-06,6.1271e-08,,,,,,            9.1297,           16.7259,           25.7328,           33.4794,          -22.3265,            6.2490,           10.7250,           -0.2828,           -0.2438,          -62.8130,
Ref 19,4.49621e-08,,,,,,1.1914e-02,4.1675e-03,4.8411e-05,4.5884e-06,6.3318e-08,,,,,,,,,,,
Sam 19,4.66210e-08,1.20230e-02,4.2372e-03,4.9655e-05,4.7392e-06,6.2668e-08,,,,,,            9.1395,           16.7312,           25.7485,           33.0980,            6.5936,            6.2592,           10.7302,           -0.2826,           -0.6231,          -35.1103,
Ref 20,4.40292e-08,,,,,,1.1914e-02,4.1674e-03,4.8407e-05,4.5864e-06,6.1175e-08,,,,,,,,,,,
Sam 20,4.56722e-08,1.20229e-02,4.2372e-03,4.9655e-05,4.7394e-06,6.3610e-08,,,,,,            9.1354,           16.7543,           25.7137,           33.0370,           26.6447,            6.2541,           10.7532,           -0.3347,           -0.7277,          -15.9298,
Ref 21,4.30938e-08,,,,,,1.1914e-02,4.1675e-03,4.8413e-05,4.5892e-06,6.2760e-08,,,,,,,,,,,


Ref 1,4.26363e-08,,,,,,1.1914e-02,4.1673e-03,4.8415e-05,4.5883e-06,6.4289e-08,,,,,,,,,,,
Sam 1,4.43321e-08,1.20228e-02,4.2371e-03,4.9655e-05,4.7400e-06,6.3290e-08,,,,,,            9.1280,           16.7442,           25.6774,           33.1557,           -5.3899,            6.2466,           10.7432,           -0.3527,           -0.5929,          -46.6098,
Ref 2,4.17423e-08,,,,,,1.1914e-02,4.1674e-03,4.8408e-05,4.5875e-06,6.2963e-08,,,,,,,,,,,
Sam 2,4.34287e-08,1.20228e-02,4.2371e-03,4.9651e-05,4.7414e-06,6.1572e-08,,,,,,            9.1255,           16.7417,           25.6000,           33.4987,          -26.8425,            6.2440,           10.7407,           -0.4232,           -0.2562,          -67.1663,
Ref 3,4.08815e-08,,,,,,1.1914e-02,4.1674e-03,4.8415e-05,4.5879e-06,6.3584e-08,,,,,,,,,,,
Sam 3,4.25791e-08,1.20229e-02,4.2372e-03,4.9654e-05,4.7402e-06,6.2175e-08,,,,,,            9.1343,           16.7415,           25.7003,           33.6718,          -22.4563,            6.2534,           10.7405,           -0.3342,           -0.0883,          -62.9702,
Ref 4,4.00113e-08,,,,,,1.1914e-02,4.1674e-03,4.8405e-05,4.5835e-06,6.3622e-08,,,,,,,,,,,
Sam 4,4.17478e-08,1.20227e-02,4.2371e-03,4.9652e-05,4.7388e-06,6.3378e-08,,,,,,            9.1288,           16.7263,           25.6881,           33.2732,           -4.0961,            6.2480,           10.7254,           -0.3258,           -0.4441,          -45.3373,
Ref 5,3.92143e-08,,,,,,1.1914e-02,4.1673e-03,4.8412e-05,4.5889e-06,6.3657e-08,,,,,,,,,,,
Sam 5,4.09453e-08,1.20227e-02,4.2370e-03,4.9653e-05,4.7388e-06,6.2328e-08,,,,,,            9.1325,           16.7226,           25.7205,           33.0016,          -32.2065,            6.2521,           10.7217,           -0.2945,           -0.6996,          -72.2807,
Ref 6,3.84034e-08,,,,,,1.1914e-02,4.1674e-03,4.8404e-05,4.5858e-06,6.5164e-08,,,,,,,,,,,
Sam 6,4.01208e-08,1.20225e-02,4.2371e-03,4.9647e-05,4.7394e-06,6.2682e-08,,,,,,            9.1178,           16.7287,           25.6482,           33.6382,          -38.6570,            6.2362,           10.7278,           -0.3557,           -0.0957,          -78.4606,
Ref 7,3.76256e-08,,,,,,1.1914e-02,4.1674e-03,4.8406e-05,4.5846e-06,6.5242e-08,,,,,,,,,,,
Sam 7,3.93730e-08,1.20225e-02,4.2370e-03,4.9647e-05,4.7392e-06,6.4299e-08,,,,,,            9.1197,           16.7134,           25.6257,           33.5013,          -13.9501,            6.2388,           10.7125,           -0.3649,           -0.1980,          -54.7507,
Ref 8,3.68876e-08,,,,,,1.1914e-02,4.1673e-03,4.8408e-05,4.5866e-06,6.5175e-08,,,,,,,,,,,
Sam 8,3.86182e-08,1.20226e-02,4.2370e-03,4.9649e-05,4.7387e-06,6.2847e-08,,,,,,            9.1239,           16.7256,           25.6388,           33.2257,          -31.7362,            6.2429,           10.7247,           -0.3682,           -0.4886,          -71.8269,
Ref 9,3.61676e-08,,,,,,1.1914e-02,4.1673e-03,4.8407e-05,4.5859e-06,6.4633e-08,,,,,,,,,,,
Sam 9,3.78785e-08,1.20225e-02,4.2370e-03,4.9653e-05,4.7399e-06,6.2592e-08,,,,,,            9.1272,           16.7156,           25.7091,           33.4410,          -17.2564,            6.2467,           10.7148,           -0.2934,           -0.2609,          -57.9317,
Ref 10,3.54382e-08,,,,,,1.1914e-02,4.1673e-03,4.8409e-05,4.5870e-06,6.2729e-08,,,,,,,,,,,
Sam 10,3.71826e-08,1.20225e-02,4.2370e-03,4.9642e-05,4.7400e-06,6.2436e-08,,,,,,            9.1239,           16.7121,           25.4697,           33.5338,           -9.7325,            6.2433,           10.7113,           -0.5200,           -0.1641,          -50.7094,
Ref 11,3.47575e-08,,,,,,1.1914e-02,4.1673e-03,4.8408e-05,4.5853e-06,6.3377e-08,,,,,,,,,,,
Sam 11,3.64991e-08,1.20226e-02,4.2369e-03,4.9650e-05,4.7394e-06,6.2391e-08,,,,,,            9.1338,           16.7015,           25.7460,           33.4662,          -40.8696,            6.2542,           10.7007,           -0.2505,           -0.2087,          -80.5488,
Ref 12,3.40834e-08,,,,,,1.1914e-02,4.1673e-03,4.8399e-05,4.5865e-06,6.6755e-08,,,,,,,,,,,
Sam 12,3.57898e-08,1.20225e-02,4.2369e-03,4.9651e-05,4.7378e-06,6.4296e-08,,,,,,            9.1275,           16.6980,           25.7715,           33.1176,          -30.7179,            6.2476,           10.6973,           -0.2158,           -0.5391,          -70.8046,
Ref 13,3.34321e-08,,,,,,1.1914e-02,4.1673e-03,4.8409e-05,4.5853e-06,6.5905e-08,,,,,,,,,,,
Sam 13,3.51480e-08,1.20224e-02,4.2369e-03,4.9648e-05,4.7376e-06,6.4499e-08,,,,,,            9.1266,           16.7137,           25.6146,           33.2718,          -27.2163,            6.2461,           10.7129,           -0.3830,           -0.4208,          -67.4752,
Ref 14,3.27959e-08,,,,,,1.1914e-02,4.1673e-03,4.8406e-05,4.5848e-06,6.6709e-08,,,,,,,,,,,
Sam 14,3.44855e-08,1.20225e-02,4.2370e-03,4.9653e-05,4.7410e-06,6.5054e-08,,,,,,            9.1257,           16.7317,           25.8082,           33.6813,          -21.9860,            6.2445,           10.7308,           -0.2108,           -0.0601,          -62.4932,
Ref 15,3.21800e-08,,,,,,1.1914e-02,4.1673e-03,4.8402e-05,4.5882e-06,6.6319e-08,,,,,,,,,,,
Sam 15,3.38443e-08,1.20225e-02,4.2369e-03,4.9647e-05,4.7409e-06,6.6080e-08,,,,,,            9.1198,           16.7067,           25.6874,           33.2553,          -11.7795,            6.2391,           10.7059,           -0.2984,           -0.4229,          -52.6577,
Ref 16,3.15743e-08,,,,,,1.1914e-02,4.1673e-03,4.8406e-05,4.5885e-06,6.7427e-08,,,,,,,,,,,
Sam 16,3.32303e-08,1.20223e-02,4.2369e-03,4.9647e-05,4.7404e-06,6.6999e-08,,,,,,            9.1118,           16.6946,           25.6397,           33.2570,            7.5766,            6.2311,           10.6939,           -0.3250,           -0.3975,          -34.0716,
Ref 17,3.09959e-08,,,,,,1.1914e-02,4.1672e-03,4.8407e-05,4.5871e-06,6.5547e-08,,,,,,,,,,,
Sam 17,3.26174e-08,1.20224e-02,4.2369e-03,4.9643e-05,4.7388e-06,6.3889e-08,,,,,,            9.1214,           16.7058,           25.5524,           33.2884,          -37.0845,            6.2409,           10.7050,           -0.4307,           -0.3891,          -76.9159,
Ref 18,3.04210e-08,,,,,,1.1914e-02,4.1673e-03,4.8406e-05,4.5852e-06,6.7168e-08,,,,,,,,,,,
Sam 18,3.20228e-08,1.20223e-02,4.2368e-03,4.9650e-05,4.7391e-06,6.6360e-08,,,,,,            9.1194,           16.6846,           25.6812,           33.4103,          -18.7252,            6.2395,           10.6839,           -0.2827,           -0.2295,          -59.2756,
Ref 19,2.98553e-08,,,,,,1.1914e-02,4.1673e-03,4.8407e-05,4.5866e-06,6.8093e-08,,,,,,,,,,,
Sam 19,3.14350e-08,1.20223e-02,4.2368e-03,4.9644e-05,4.7358e-06,6.5758e-08,,,,,,            9.1200,           16.6911,           25.5672,           32.4718,          -30.4570,            6.2399,           10.6904,           -0.4006,           -1.1502,          -70.5348,
Ref 20,2.93151e-08,,,,,,1.1914e-02,4.1673e-03,4.8407e-05,4.5871e-06,6.7548e-08,,,,,,,,,,,
Sam 20,3.08747e-08,1.20223e-02,4.2368e-03,4.9649e-05,4.7368e-06,6.2752e-08,,,,,,            9.1208,           16.6805,           25.5621,           32.8327,          -62.0870,            6.2411,           10.6799,           -0.3962,           -0.7803,         -100.8397,
Ref 21,2.87610e-08,,,,,,1.1914e-02,4.1673e-03,4.8415e-05,4.5853e-06,6.6251e-08,,,,,,,,,,,


Ref 1,2.84831e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5855e-06,6.5818e-08,,,,,,,,,,,
Sam 1,3.00542e-08,1.20224e-02,4.2368e-03,4.9649e-05,4.7381e-06,6.5727e-08,,,,,,            9.1222,           16.6928,           25.5584,           32.9588,           -2.3314,            6.2422,           10.6921,           -0.4131,           -0.6825,          -43.5772,
Ref 2,2.79703e-08,,,,,,1.1914e-02,4.1673e-03,4.8413e-05,4.5883e-06,6.5944e-08,,,,,,,,,,,
Sam 2,2.95102e-08,1.20224e-02,4.2368e-03,4.9649e-05,4.7382e-06,6.4472e-08,,,,,,            9.1173,           16.6746,           25.4774,           32.6988,          -33.9882,            6.2376,           10.6739,           -0.4694,           -0.8981,          -73.8878,
Ref 3,2.74687e-08,,,,,,1.1914e-02,4.1674e-03,4.8419e-05,4.5881e-06,6.7552e-08,,,,,,,,,,,
Sam 3,2.89835e-08,1.20224e-02,4.2368e-03,4.9647e-05,4.7410e-06,6.4656e-08,,,,,,            9.1170,           16.6631,           25.4391,           33.6468,          -22.3089,            6.2377,           10.6625,           -0.4953,            0.0416,          -62.6697,
Ref 4,2.69637e-08,,,,,,1.1914e-02,4.1673e-03,4.8412e-05,4.5852e-06,6.4685e-08,,,,,,,,,,,
Sam 4,2.84767e-08,1.20222e-02,4.2368e-03,4.9653e-05,4.7397e-06,6.5418e-08,,,,,,            9.1044,           16.6714,           25.6218,           33.4258,          -22.1912,            6.2239,           10.6708,           -0.3124,           -0.1885,          -62.5595,
Ref 5,2.64942e-08,,,,,,1.1914e-02,4.1673e-03,4.8413e-05,4.5875e-06,6.9159e-08,,,,,,,,,,,
Sam 5,2.79487e-08,1.20222e-02,4.2368e-03,4.9657e-05,4.7392e-06,6.4671e-08,,,,,,            9.1042,           16.6781,           25.6961,           32.9460,          -56.7144,            6.2235,           10.6775,           -0.2463,           -0.6659,          -95.6690,
Ref 6,2.60217e-08,,,,,,1.1914e-02,4.1672e-03,4.8413e-05,4.5887e-06,6.7948e-08,,,,,,,,,,,
Sam 6,2.74464e-08,1.20224e-02,4.2368e-03,4.9653e-05,4.7373e-06,6.5066e-08,,,,,,            9.1324,           16.6895,           25.6475,           32.3852,          -29.2369,            6.2531,           10.6887,           -0.3334,           -1.2308,          -69.3743,
Ref 7,2.55748e-08,,,,,,1.1914e-02,4.1673e-03,4.8410e-05,4.5888e-06,6.6087e-08,,,,,,,,,,,
Sam 7,2.69593e-08,1.20223e-02,4.2368e-03,4.9652e-05,4.7395e-06,6.3555e-08,,,,,,            9.1278,           16.6949,           25.6170,           33.0303,          -29.5094,            6.2481,           10.6942,           -0.3638,           -0.6174,          -69.6409,
Ref 8,2.51336e-08,,,,,,1.1914e-02,4.1673e-03,4.8415e-05,4.5871e-06,6.4878e-08,,,,,,,,,,,
Sam 8,2.64812e-08,1.20222e-02,4.2368e-03,4.9648e-05,4.7401e-06,6.2177e-08,,,,,,            9.1107,           16.6915,           25.4965,           33.5369,          -39.2426,            6.2300,           10.6908,           -0.4605,           -0.1206,          -78.9489,
Ref 9,2.46949e-08,,,,,,1.1914e-02,4.1673e-03,4.8413e-05,4.5854e-06,6.4553e-08,,,,,,,,,,,
Sam 9,2.60282e-08,1.20224e-02,4.2368e-03,4.9654e-05,4.7375e-06,6.4729e-08,,,,,,            9.1195,           16.6827,           25.5917,           32.6654,          -17.5784,            6.2396,           10.6820,           -0.3681,           -0.9464,          -58.1726,
Ref 10,2.42752e-08,,,,,,1.1914e-02,4.1672e-03,4.8416e-05,4.5899e-06,6.7245e-08,,,,,,,,,,,
Sam 10,2.55757e-08,1.20224e-02,4.2368e-03,4.9649e-05,4.7419e-06,6.4378e-08,,,,,,            9.1204,           16.6988,           25.5346,           33.5248,          -32.8237,            6.2400,           10.6981,           -0.4402,           -0.1467,          -72.8178,
Ref 11,2.38647e-08,,,,,,1.1914e-02,4.1672e-03,4.8410e-05,4.5863e-06,6.5869e-08,,,,,,,,,,,
Sam 11,2.51345e-08,1.20224e-02,4.2368e-03,4.9650e-05,4.7377e-06,6.5366e-08,,,,,,            9.1237,           16.6793,           25.7628,           33.2810,          -32.4075,            6.2442,           10.6786,           -0.2023,           -0.3442,          -72.3870,
Ref 12,2.34624e-08,,,,,,1.1914e-02,4.1673e-03,4.8395e-05,4.5840e-06,6.9270e-08,,,,,,,,,,,
Sam 12,2.47034e-08,1.20225e-02,4.2368e-03,4.9653e-05,4.7365e-06,6.4408e-08,,,,,,            9.1354,           16.6781,           25.8197,           33.6343,          -54.6436,            6.2567,           10.6774,           -0.1578,           -0.0001,          -93.7136,
Ref 13,2.30740e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5807e-06,6.6972e-08,,,,,,,,,,,
Sam 13,2.42939e-08,1.20224e-02,4.2368e-03,4.9646e-05,4.7406e-06,6.7621e-08,,,,,,            9.1357,           16.7239,           25.5047,           34.9896,           22.8326,            6.2555,           10.7230,           -0.5093,            1.2209,          -19.5265,
Ref 14,2.26958e-08,,,,,,1.1914e-02,4.1671e-03,4.8411e-05,4.5799e-06,6.5236e-08,,,,,,,,,,,
Sam 14,2.38821e-08,1.20222e-02,4.2368e-03,4.9653e-05,4.7355e-06,6.4197e-08,,,,,,            9.1208,           16.7372,           25.6310,           33.3959,          -44.6288,            6.2391,           10.7363,           -0.3839,           -0.3469,          -84.2032,
Ref 15,2.23272e-08,,,,,,1.1914e-02,4.1671e-03,4.8412e-05,4.5850e-06,6.9188e-08,,,,,,,,,,,
Sam 15,2.34888e-08,1.20224e-02,4.2367e-03,4.9649e-05,4.7398e-06,6.2927e-08,,,,,,            9.1387,           16.7140,           25.6120,           33.5155,         -100.5411,            6.2590,           10.7131,           -0.3982,           -0.1856,         -137.7770,
Ref 16,2.19438e-08,,,,,,1.1914e-02,4.1671e-03,4.8407e-05,4.5872e-06,7.0747e-08,,,,,,,,,,,
Sam 16,2.31000e-08,1.20221e-02,4.2366e-03,4.9655e-05,4.7405e-06,6.0433e-08,,,,,,            9.1104,           16.6764,           25.7823,           33.5616,         -119.1422,            6.2302,           10.6757,           -0.1669,           -0.0669,         -155.5213,
Ref 17,2.16109e-08,,,,,,1.1913e-02,4.1671e-03,4.8407e-05,4.5860e-06,6.6434e-08,,,,,,,,,,,
Sam 17,2.27054e-08,1.20221e-02,4.2367e-03,4.9653e-05,4.7371e-06,6.5713e-08,,,,,,            9.1147,           16.6877,           25.6769,           32.9727,           -9.8617,            6.2343,           10.6871,           -0.2850,           -0.6591,          -50.7794,
Ref 18,2.12558e-08,,,,,,1.1914e-02,4.1671e-03,4.8413e-05,4.5859e-06,6.6299e-08,,,,,,,,,,,
Sam 18,2.23422e-08,1.20222e-02,4.2366e-03,4.9651e-05,4.7335e-06,6.4508e-08,,,,,,            9.1180,           16.6926,           25.7054,           32.3933,            6.3019,            6.2377,           10.6919,           -0.2654,           -1.2292,          -35.2963,
Ref 19,2.09124e-08,,,,,,1.1913e-02,4.1670e-03,4.8401e-05,4.5840e-06,6.1872e-08,,,,,,,,,,,
Sam 19,2.19572e-08,1.20223e-02,4.2367e-03,4.9653e-05,4.7402e-06,6.3375e-08,,,,,,            9.1255,           16.6998,           25.7691,           33.8968,            6.4669,            6.2455,           10.6991,           -0.2179,            0.2112,          -35.1591,
Ref 20,2.05513e-08,,,,,,1.1914e-02,4.1672e-03,4.8411e-05,4.5856e-06,6.4082e-08,,,,,,,,,,,
Sam 20,2.15948e-08,1.20221e-02,4.2367e-03,4.9652e-05,4.7345e-06,6.5366e-08,,,,,,            9.1151,           16.6785,           25.7067,           32.0998,          -20.2675,            6.2351,           10.6778,           -0.2475,           -1.4853,          -60.7387,
Ref 21,2.02326e-08,,,,,,1.1913e-02,4.1672e-03,4.8404e-05,4.5890e-06,6.9395e-08,,,,,,,,,,,


