Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 14:36 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 15:36 with Stable 1.69.5 on PS019

Data File = Data_5966 ETH-01.txt,         Sample Weight = 462,                      Vial Location = 15,                       Initial Sam Beam = 8.7603e-08,            ColdFinger Status = CF,                   Min Ref Beam = 2.0427e-08,                Max Ref Beam = 1.0581e-07,                
Analysis undertaken at mass 46.0174
Analysis undertaken at mass 46.0174
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.27654e-08,,,,,,1.1916e-02,4.1684e-03,4.8431e-05,4.5867e-06,6.2212e-08,,,,,,,,,,,
Sam 1,7.23619e-08,1.19768e-02,4.2190e-03,4.9226e-05,4.6971e-06,6.1694e-08,,,,,,            5.1238,           12.1417,           16.4105,           24.2036,          -22.7201,            2.1435,            6.1717,           -0.8664,           -0.2217,          -50.8204,
Ref 2,7.09279e-08,,,,,,1.1916e-02,4.1683e-03,4.8431e-05,4.5854e-06,6.4068e-08,,,,,,,,,,,
Sam 2,7.06673e-08,1.19768e-02,4.2189e-03,4.9232e-05,4.6984e-06,6.1602e-08,,,,,,            5.1323,           12.1533,           16.5672,           24.2972,          -31.7763,            2.1521,            6.1833,           -0.7324,           -0.1532,          -59.6459,
Ref 3,6.90944e-08,,,,,,1.1916e-02,4.1683e-03,4.8428e-05,4.5884e-06,6.3167e-08,,,,,,,,,,,
Sam 3,6.89403e-08,1.19769e-02,4.2189e-03,4.9229e-05,4.6979e-06,6.2631e-08,,,,,,            5.1410,           12.1655,           16.5181,           23.9746,           -7.9871,            2.1610,            6.1954,           -0.8015,           -0.4923,          -36.5733,
Ref 4,6.73224e-08,,,,,,1.1916e-02,4.1682e-03,4.8430e-05,4.5874e-06,6.3103e-08,,,,,,,,,,,
Sam 4,6.73538e-08,1.19768e-02,4.2189e-03,4.9230e-05,4.6986e-06,6.3546e-08,,,,,,            5.1349,           12.1599,           16.5931,           24.2486,            8.0644,            2.1547,            6.1899,           -0.7161,           -0.2139,          -20.9673,
Ref 5,6.55697e-08,,,,,,1.1916e-02,4.1682e-03,4.8423e-05,4.5873e-06,6.2971e-08,,,,,,,,,,,
Sam 5,6.58175e-08,1.19767e-02,4.2189e-03,4.9230e-05,4.6978e-06,6.2677e-08,,,,,,            5.1369,           12.1707,           16.6245,           23.9243,          -15.1040,            2.1565,            6.2006,           -0.6978,           -0.5516,          -43.4905,
Ref 6,6.39760e-08,,,,,,1.1915e-02,4.1681e-03,4.8427e-05,4.5888e-06,6.4322e-08,,,,,,,,,,,
Sam 6,6.43915e-08,1.19766e-02,4.2188e-03,4.9233e-05,4.6977e-06,6.2202e-08,,,,,,            5.1325,           12.1621,           16.6635,           23.8212,          -27.5133,            2.1521,            6.1921,           -0.6466,           -0.6353,          -55.5220,
Ref 7,6.24099e-08,,,,,,1.1915e-02,4.1681e-03,4.8425e-05,4.5879e-06,6.3592e-08,,,,,,,,,,,
Sam 7,6.29528e-08,1.19765e-02,4.2187e-03,4.9226e-05,4.6999e-06,6.2018e-08,,,,,,            5.1277,           12.1380,           16.5419,           24.5633,          -18.7566,            2.1478,            6.1681,           -0.7377,            0.1367,          -46.9680,
Ref 8,6.08907e-08,,,,,,1.1915e-02,4.1681e-03,4.8426e-05,4.5865e-06,6.2806e-08,,,,,,,,,,,
Sam 8,6.14718e-08,1.19765e-02,4.2188e-03,4.9224e-05,4.6971e-06,6.2681e-08,,,,,,            5.1450,           12.1768,           16.4744,           24.0187,           -8.8402,            2.1648,            6.2067,           -0.8596,           -0.4717,          -37.4271,
Ref 9,5.94221e-08,,,,,,1.1915e-02,4.1680e-03,4.8426e-05,4.5875e-06,6.3684e-08,,,,,,,,,,,
Sam 9,6.02224e-08,1.19764e-02,4.2187e-03,4.9224e-05,4.6973e-06,6.2122e-08,,,,,,            5.1423,           12.1487,           16.5629,           23.8865,          -21.6256,            2.1629,            6.1787,           -0.7425,           -0.5452,          -49.7890,
Ref 10,5.80069e-08,,,,,,1.1915e-02,4.1680e-03,4.8417e-05,4.5880e-06,6.3302e-08,,,,,,,,,,,
Sam 10,5.89325e-08,1.19762e-02,4.2186e-03,4.9221e-05,4.6976e-06,6.1643e-08,,,,,,            5.1295,           12.1429,           16.5676,           23.9238,          -33.6060,            2.1495,            6.1730,           -0.7191,           -0.4973,          -61.4013,
Ref 11,5.66260e-08,,,,,,1.1915e-02,4.1679e-03,4.8421e-05,4.5876e-06,6.4283e-08,,,,,,,,,,,
Sam 11,5.76560e-08,1.19762e-02,4.2186e-03,4.9220e-05,4.6964e-06,6.2574e-08,,,,,,            5.1272,           12.1442,           16.4865,           23.7998,          -25.4738,            2.1470,            6.1742,           -0.7977,           -0.6208,          -53.5030,
Ref 12,5.53225e-08,,,,,,1.1915e-02,4.1679e-03,4.8422e-05,4.5868e-06,6.4134e-08,,,,,,,,,,,
Sam 12,5.64007e-08,1.19762e-02,4.2185e-03,4.9229e-05,4.6975e-06,6.2676e-08,,,,,,            5.1324,           12.1417,           16.6992,           24.0560,          -27.8146,            2.1527,            6.1717,           -0.5916,           -0.3658,          -55.7770,
Ref 13,5.40141e-08,,,,,,1.1915e-02,4.1679e-03,4.8418e-05,4.5876e-06,6.4813e-08,,,,,,,,,,,
Sam 13,5.52220e-08,1.19762e-02,4.2185e-03,4.9217e-05,4.6964e-06,6.3146e-08,,,,,,            5.1278,           12.1383,           16.4910,           23.7420,          -23.8199,            2.1479,            6.1684,           -0.7881,           -0.6656,          -51.8864,
Ref 14,5.27709e-08,,,,,,1.1915e-02,4.1679e-03,4.8418e-05,4.5873e-06,6.4558e-08,,,,,,,,,,,
Sam 14,5.40531e-08,1.19762e-02,4.2185e-03,4.9224e-05,4.6976e-06,6.2537e-08,,,,,,            5.1325,           12.1569,           16.6329,           23.9876,          -18.5747,            2.1523,            6.1869,           -0.6716,           -0.4627,          -46.8313,
Ref 15,5.15930e-08,,,,,,1.1915e-02,4.1678e-03,4.8418e-05,4.5878e-06,6.2864e-08,,,,,,,,,,,
Sam 15,5.28818e-08,1.19761e-02,4.2184e-03,4.9215e-05,4.6973e-06,6.2099e-08,,,,,,            5.1400,           12.1521,           16.4640,           23.9721,          -11.6232,            2.1603,            6.1821,           -0.8407,           -0.4684,          -40.0786,
Ref 16,5.04425e-08,,,,,,1.1915e-02,4.1678e-03,4.8418e-05,4.5868e-06,6.2795e-08,,,,,,,,,,,
Sam 16,5.17800e-08,1.19760e-02,4.2184e-03,4.9217e-05,4.6948e-06,6.2644e-08,,,,,,            5.1401,           12.1542,           16.4965,           23.5942,          -17.0947,            2.1604,            6.1841,           -0.8108,           -0.8413,          -45.3964,
Ref 17,4.92823e-08,,,,,,1.1915e-02,4.1678e-03,4.8418e-05,4.5863e-06,6.4694e-08,,,,,,,,,,,
Sam 17,5.07116e-08,1.19759e-02,4.2184e-03,4.9217e-05,4.6974e-06,6.3117e-08,,,,,,            5.1271,           12.1500,           16.5092,           24.0960,          -29.3977,            2.1467,            6.1800,           -0.7810,           -0.3432,          -57.3246,
Ref 18,4.82107e-08,,,,,,1.1915e-02,4.1676e-03,4.8417e-05,4.5874e-06,6.5371e-08,,,,,,,,,,,
Sam 18,4.96953e-08,1.19759e-02,4.2183e-03,4.9216e-05,4.6979e-06,6.2530e-08,,,,,,            5.1414,           12.1448,           16.4996,           24.1658,          -32.1976,            2.1622,            6.1748,           -0.8000,           -0.2648,          -60.0487,
Ref 19,4.71578e-08,,,,,,1.1915e-02,4.1677e-03,4.8418e-05,4.5867e-06,6.3832e-08,,,,,,,,,,,
Sam 19,4.86856e-08,1.19758e-02,4.2183e-03,4.9221e-05,4.6957e-06,6.2027e-08,,,,,,            5.1371,           12.1430,           16.6161,           23.9219,          -27.1025,            2.1576,            6.1730,           -0.6792,           -0.4994,          -55.0926,
Ref 20,4.61329e-08,,,,,,1.1915e-02,4.1677e-03,4.8415e-05,4.5853e-06,6.3676e-08,,,,,,,,,,,
Sam 20,4.76971e-08,1.19758e-02,4.2183e-03,4.9218e-05,4.6970e-06,6.1633e-08,,,,,,            5.1368,           12.1500,           16.5921,           24.0413,          -36.3233,            2.1571,            6.1800,           -0.7094,           -0.3965,          -64.0605,
Ref 21,4.51420e-08,,,,,,1.1915e-02,4.1677e-03,4.8415e-05,4.5883e-06,6.4242e-08,,,,,,,,,,,


Ref 1,4.46619e-08,,,,,,1.1915e-02,4.1676e-03,4.8416e-05,4.5859e-06,6.4444e-08,,,,,,,,,,,
Sam 1,4.62523e-08,1.19757e-02,4.2182e-03,4.9212e-05,4.6965e-06,6.3802e-08,,,,,,            5.1253,           12.1188,           16.4549,           24.3246,          -22.0862,            2.1459,            6.1490,           -0.8023,           -0.0585,          -50.1642,
Ref 2,4.36810e-08,,,,,,1.1915e-02,4.1677e-03,4.8415e-05,4.5841e-06,6.6059e-08,,,,,,,,,,,
Sam 2,4.53014e-08,1.19756e-02,4.2181e-03,4.9208e-05,4.6948e-06,6.2295e-08,,,,,,            5.1323,           12.1291,           16.3813,           23.9293,          -35.8613,            2.1530,            6.1592,           -0.8917,           -0.4647,          -63.5694,
Ref 3,4.27953e-08,,,,,,1.1914e-02,4.1675e-03,4.8415e-05,4.5861e-06,6.3135e-08,,,,,,,,,,,
Sam 3,4.44018e-08,1.19757e-02,4.2182e-03,4.9213e-05,4.6954e-06,6.3239e-08,,,,,,            5.1467,           12.1602,           16.4582,           23.7401,          -23.4971,            2.1673,            6.1901,           -0.8611,           -0.7108,          -51.6322,
Ref 4,4.18977e-08,,,,,,1.1915e-02,4.1676e-03,4.8418e-05,4.5870e-06,6.6421e-08,,,,,,,,,,,
Sam 4,4.35291e-08,1.19756e-02,4.2182e-03,4.9210e-05,4.6956e-06,6.3180e-08,,,,,,            5.1331,           12.1340,           16.4898,           23.6305,          -36.5497,            2.1537,            6.1641,           -0.7906,           -0.7660,          -64.2477,
Ref 5,4.09832e-08,,,,,,1.1914e-02,4.1676e-03,4.8405e-05,4.5874e-06,6.4714e-08,,,,,,,,,,,
Sam 5,4.27007e-08,1.19755e-02,4.2181e-03,4.9212e-05,4.6951e-06,6.3509e-08,,,,,,            5.1272,           12.1160,           16.6267,           23.6294,          -25.2559,            2.1480,            6.1462,           -0.6325,           -0.7315,          -53.2394,
Ref 6,4.01372e-08,,,,,,1.1914e-02,4.1676e-03,4.8409e-05,4.5861e-06,6.5605e-08,,,,,,,,,,,
Sam 6,4.18439e-08,1.19754e-02,4.2181e-03,4.9214e-05,4.6964e-06,6.1626e-08,,,,,,            5.1270,           12.1285,           16.5203,           24.1948,          -50.7250,            2.1474,            6.1586,           -0.7490,           -0.2043,          -77.9996,
Ref 7,3.93468e-08,,,,,,1.1914e-02,4.1676e-03,4.8419e-05,4.5847e-06,6.4219e-08,,,,,,,,,,,
Sam 7,4.10515e-08,1.19755e-02,4.2181e-03,4.9206e-05,4.6967e-06,6.4876e-08,,,,,,            5.1298,           12.1281,           16.3706,           24.2778,            8.9031,            2.1503,            6.1582,           -0.8986,           -0.1224,          -20.0868,
Ref 8,3.85567e-08,,,,,,1.1914e-02,4.1676e-03,4.8408e-05,4.5860e-06,6.4390e-08,,,,,,,,,,,
Sam 8,4.02392e-08,1.19754e-02,4.2181e-03,4.9207e-05,4.6940e-06,6.3990e-08,,,,,,            5.1179,           12.1439,           16.4637,           23.4982,          -14.2850,            2.1372,            6.1740,           -0.8103,           -0.9147,          -42.6261,
Ref 9,3.77833e-08,,,,,,1.1914e-02,4.1674e-03,4.8412e-05,4.5864e-06,6.5457e-08,,,,,,,,,,,
Sam 9,3.94609e-08,1.19754e-02,4.2180e-03,4.9203e-05,4.6975e-06,6.3676e-08,,,,,,            5.1278,           12.1357,           16.3230,           24.4485,          -44.4186,            2.1480,            6.1658,           -0.9508,            0.0291,          -71.8883,
Ref 10,3.70290e-08,,,,,,1.1914e-02,4.1675e-03,4.8414e-05,4.5844e-06,6.7838e-08,,,,,,,,,,,
Sam 10,3.87164e-08,1.19753e-02,4.2180e-03,4.9207e-05,4.6956e-06,6.2628e-08,,,,,,            5.1259,           12.1308,           16.3952,           23.9610,          -64.1630,            2.1462,            6.1610,           -0.8732,           -0.4371,          -91.0547,
Ref 11,3.62932e-08,,,,,,1.1914e-02,4.1675e-03,4.8413e-05,4.5871e-06,6.5986e-08,,,,,,,,,,,
Sam 11,3.79761e-08,1.19753e-02,4.2180e-03,4.9204e-05,4.6952e-06,6.3378e-08,,,,,,            5.1297,           12.1274,           16.4002,           23.9417,          -32.6841,            2.1502,            6.1576,           -0.8688,           -0.4493,          -60.4778,
Ref 12,3.56017e-08,,,,,,1.1914e-02,4.1675e-03,4.8408e-05,4.5838e-06,6.5043e-08,,,,,,,,,,,
Sam 12,3.72787e-08,1.19752e-02,4.2180e-03,4.9207e-05,4.6961e-06,6.4415e-08,,,,,,            5.1226,           12.1292,           16.5324,           24.1014,          -16.5495,            2.1426,            6.1593,           -0.7333,           -0.2968,          -44.8028,
Ref 13,3.49126e-08,,,,,,1.1914e-02,4.1674e-03,4.8405e-05,4.5875e-06,6.5963e-08,,,,,,,,,,,
Sam 13,3.65680e-08,1.19752e-02,4.2180e-03,4.9207e-05,4.6966e-06,6.4239e-08,,,,,,            5.1204,           12.1364,           16.5145,           24.1451,          -35.2133,            2.1400,            6.1665,           -0.7556,           -0.2685,          -62.9414,
Ref 14,3.42140e-08,,,,,,1.1914e-02,4.1675e-03,4.8410e-05,4.5843e-06,6.7216e-08,,,,,,,,,,,
Sam 14,3.58718e-08,1.19752e-02,4.2180e-03,4.9204e-05,4.6930e-06,6.3397e-08,,,,,,            5.1227,           12.1190,           16.3524,           23.4260,          -50.0271,            2.1432,            6.1492,           -0.9005,           -0.9360,          -77.3005,
Ref 15,3.35680e-08,,,,,,1.1914e-02,4.1674e-03,4.8414e-05,4.5869e-06,6.6245e-08,,,,,,,,,,,
Sam 15,3.52146e-08,1.19753e-02,4.2179e-03,4.9207e-05,4.6947e-06,6.4301e-08,,,,,,            5.1219,           12.1127,           16.4502,           23.3569,          -24.8716,            2.1425,            6.1430,           -0.7974,           -0.9911,          -52.8549,
Ref 16,3.29266e-08,,,,,,1.1914e-02,4.1675e-03,4.8407e-05,4.5883e-06,6.5630e-08,,,,,,,,,,,
Sam 16,3.45494e-08,1.19753e-02,4.2180e-03,4.9213e-05,4.6951e-06,6.3608e-08,,,,,,            5.1213,           12.1204,           16.6221,           23.8019,          -45.0878,            2.1416,            6.1506,           -0.6353,           -0.5718,          -72.5042,
Ref 17,3.23130e-08,,,,,,1.1914e-02,4.1674e-03,4.8410e-05,4.5836e-06,6.7612e-08,,,,,,,,,,,
Sam 17,3.39074e-08,1.19753e-02,4.2179e-03,4.9206e-05,4.6945e-06,6.3304e-08,,,,,,            5.1263,           12.1218,           16.4008,           24.0122,          -44.4568,            2.1468,            6.1520,           -0.8593,           -0.3693,          -71.8987,
Ref 18,3.17069e-08,,,,,,1.1914e-02,4.1674e-03,4.8414e-05,4.5852e-06,6.4861e-08,,,,,,,,,,,
Sam 18,3.32815e-08,1.19753e-02,4.2180e-03,4.9210e-05,4.6962e-06,6.6203e-08,,,,,,            5.1267,           12.1257,           16.4591,           24.2681,           -5.0023,            2.1471,            6.1558,           -0.8061,           -0.1271,          -33.5850,
Ref 19,3.11181e-08,,,,,,1.1914e-02,4.1674e-03,4.8413e-05,4.5847e-06,6.8243e-08,,,,,,,,,,,
Sam 19,3.26851e-08,1.19752e-02,4.2180e-03,4.9208e-05,4.6965e-06,6.4391e-08,,,,,,            5.1302,           12.1184,           16.5093,           24.4497,          -58.8410,            2.1511,            6.1486,           -0.7533,            0.0645,          -85.8676,
Ref 20,3.05337e-08,,,,,,1.1914e-02,4.1675e-03,4.8405e-05,4.5842e-06,6.8595e-08,,,,,,,,,,,
Sam 20,3.20815e-08,1.19751e-02,4.2179e-03,4.9201e-05,4.6955e-06,6.4706e-08,,,,,,            5.1267,           12.1076,           16.3785,           24.7114,          -46.8774,            2.1478,            6.1379,           -0.8678,            0.3412,          -74.2247,
Ref 21,2.99789e-08,,,,,,1.1914e-02,4.1674e-03,4.8411e-05,4.5804e-06,6.7168e-08,,,,,,,,,,,


Ref 1,2.97030e-08,,,,,,1.1914e-02,4.1674e-03,4.8414e-05,4.5856e-06,6.6070e-08,,,,,,,,,,,
Sam 1,3.12206e-08,1.19751e-02,4.2179e-03,4.9203e-05,4.6950e-06,6.3300e-08,,,,,,            5.1181,           12.1288,           16.3644,           23.7059,          -37.7124,            2.1378,            6.1590,           -0.8934,           -0.6822,          -65.3526,
Ref 2,2.91629e-08,,,,,,1.1914e-02,4.1674e-03,4.8406e-05,4.5869e-06,6.5485e-08,,,,,,,,,,,
Sam 2,3.06596e-08,1.19752e-02,4.2179e-03,4.9208e-05,4.6917e-06,6.2691e-08,,,,,,            5.1226,           12.1222,           16.5266,           23.3059,          -37.2038,            2.1429,            6.1523,           -0.7322,           -1.0595,          -64.8510,
Ref 3,2.86364e-08,,,,,,1.1914e-02,4.1674e-03,4.8410e-05,4.5827e-06,6.4734e-08,,,,,,,,,,,
Sam 3,3.01050e-08,1.19752e-02,4.2179e-03,4.9207e-05,4.6964e-06,6.4594e-08,,,,,,            5.1176,           12.1165,           16.4415,           24.7079,          -21.7017,            2.1377,            6.1467,           -0.8052,            0.3203,          -49.7785,
Ref 4,2.81140e-08,,,,,,1.1914e-02,4.1675e-03,4.8412e-05,4.5836e-06,6.7343e-08,,,,,,,,,,,
Sam 4,2.95710e-08,1.19753e-02,4.2179e-03,4.9208e-05,4.6942e-06,6.4642e-08,,,,,,            5.1195,           12.0989,           16.4132,           24.4252,          -40.0315,            2.1404,            6.1292,           -0.8179,            0.0792,          -67.5523,
Ref 5,2.75638e-08,,,,,,1.1914e-02,4.1675e-03,4.8415e-05,4.5808e-06,6.7332e-08,,,,,,,,,,,
Sam 5,2.89942e-08,1.19754e-02,4.2180e-03,4.9215e-05,4.6921e-06,6.4929e-08,,,,,,            5.1298,           12.1119,           16.4394,           23.8752,          -22.9967,            2.1509,            6.1421,           -0.8154,           -0.4836,          -51.0402,
Ref 6,2.70784e-08,,,,,,1.1914e-02,4.1674e-03,4.8423e-05,4.5846e-06,6.5567e-08,,,,,,,,,,,
Sam 6,2.84983e-08,1.19753e-02,4.2179e-03,4.9210e-05,4.6933e-06,6.6033e-08,,,,,,            5.1212,           12.1188,           16.4290,           23.5841,          -12.8381,            2.1416,            6.1490,           -0.8234,           -0.7814,          -41.1775,
Ref 7,2.65935e-08,,,,,,1.1914e-02,4.1674e-03,4.8407e-05,4.5856e-06,6.8242e-08,,,,,,,,,,,
Sam 7,2.79824e-08,1.19753e-02,4.2179e-03,4.9212e-05,4.6942e-06,6.7059e-08,,,,,,            5.1264,           12.1104,           16.6034,           23.8346,          -12.7933,            2.1474,            6.1406,           -0.6491,           -0.5202,          -41.1235,
Ref 8,2.61256e-08,,,,,,1.1914e-02,4.1675e-03,4.8410e-05,4.5841e-06,6.7609e-08,,,,,,,,,,,
Sam 8,2.74720e-08,1.19752e-02,4.2179e-03,4.9216e-05,4.6921e-06,6.6697e-08,,,,,,            5.1212,           12.0972,           16.5459,           23.4374,          -20.3745,            2.1423,            6.1275,           -0.6875,           -0.8818,          -48.4575,
Ref 9,2.56714e-08,,,,,,1.1914e-02,4.1675e-03,4.8420e-05,4.5852e-06,6.8568e-08,,,,,,,,,,,
Sam 9,2.70035e-08,1.19753e-02,4.2180e-03,4.9209e-05,4.6927e-06,6.5941e-08,,,,,,            5.1313,           12.1259,           16.3345,           23.8009,          -24.3607,            2.1520,            6.1560,           -0.9335,           -0.5836,          -52.3923,
Ref 10,2.52342e-08,,,,,,1.1914e-02,4.1675e-03,4.8417e-05,4.5821e-06,6.6589e-08,,,,,,,,,,,
Sam 10,2.65284e-08,1.19752e-02,4.2180e-03,4.9203e-05,4.6971e-06,6.7378e-08,,,,,,            5.1185,           12.1240,           16.2710,           24.5595,           -3.3117,            2.1385,            6.1542,           -0.9810,            0.1607,          -31.9314,
Ref 11,2.48060e-08,,,,,,1.1914e-02,4.1674e-03,4.8414e-05,4.5871e-06,6.8632e-08,,,,,,,,,,,
Sam 11,2.60738e-08,1.19752e-02,4.2179e-03,4.9211e-05,4.6977e-06,6.3683e-08,,,,,,            5.1183,           12.1075,           16.4618,           24.5753,          -63.7296,            2.1389,            6.1378,           -0.7773,            0.2086,          -90.5852,
Ref 12,2.43759e-08,,,,,,1.1914e-02,4.1674e-03,4.8415e-05,4.5829e-06,6.7393e-08,,,,,,,,,,,
Sam 12,2.56219e-08,1.19753e-02,4.2179e-03,4.9214e-05,4.6929e-06,6.5009e-08,,,,,,            5.1218,           12.1146,           16.5190,           23.9671,          -31.4871,            2.1423,            6.1448,           -0.7315,           -0.3991,          -59.2839,
Ref 13,2.39597e-08,,,,,,1.1914e-02,4.1675e-03,4.8415e-05,4.5832e-06,6.6847e-08,,,,,,,,,,,
Sam 13,2.51655e-08,1.19752e-02,4.2179e-03,4.9221e-05,4.6964e-06,6.4077e-08,,,,,,            5.1212,           12.1187,           16.6857,           24.4584,          -37.0697,            2.1416,            6.1489,           -0.5710,            0.0723,          -64.7132,
Ref 14,2.35679e-08,,,,,,1.1914e-02,4.1674e-03,4.8413e-05,4.5854e-06,6.6236e-08,,,,,,,,,,,
Sam 14,2.47664e-08,1.19750e-02,4.2178e-03,4.9211e-05,4.6968e-06,6.8547e-08,,,,,,            5.1152,           12.1009,           16.5131,           24.0708,           17.7531,            2.1358,            6.1312,           -0.7172,           -0.2708,          -11.4237,
Ref 15,2.31885e-08,,,,,,1.1914e-02,4.1673e-03,4.8411e-05,4.5874e-06,6.8484e-08,,,,,,,,,,,
Sam 15,2.43234e-08,1.19752e-02,4.2179e-03,4.9209e-05,4.6952e-06,6.6847e-08,,,,,,            5.1386,           12.1209,           16.5256,           23.9541,          -28.4717,            2.1600,            6.1510,           -0.7483,           -0.4242,          -56.3833,
Ref 16,2.27895e-08,,,,,,1.1914e-02,4.1674e-03,4.8407e-05,4.5833e-06,6.9134e-08,,,,,,,,,,,
Sam 16,2.39073e-08,1.19753e-02,4.2179e-03,4.9211e-05,4.6922e-06,6.5116e-08,,,,,,            5.1510,           12.1334,           16.6572,           23.9769,          -77.9047,            2.1728,            6.1634,           -0.6438,           -0.4267,         -104.4296,
Ref 17,2.24295e-08,,,,,,1.1914e-02,4.1673e-03,4.8404e-05,4.5814e-06,7.2125e-08,,,,,,,,,,,
Sam 17,2.35123e-08,1.19751e-02,4.2179e-03,4.9210e-05,4.6923e-06,7.0370e-08,,,,,,            5.1361,           12.1376,           16.5408,           23.8343,           -7.0345,            2.1567,            6.1677,           -0.7470,           -0.5742,          -35.5908,
Ref 18,2.20540e-08,,,,,,1.1914e-02,4.1673e-03,4.8414e-05,4.5847e-06,6.9591e-08,,,,,,,,,,,
Sam 18,2.31145e-08,1.19752e-02,4.2178e-03,4.9206e-05,4.6960e-06,6.8510e-08,,,,,,            5.1417,           12.1299,           16.3436,           24.1892,          -47.9957,            2.1630,            6.1600,           -0.9392,           -0.2125,          -75.3656,
Ref 19,2.16879e-08,,,,,,1.1914e-02,4.1673e-03,4.8415e-05,4.5854e-06,7.4377e-08,,,,,,,,,,,
Sam 19,2.27322e-08,1.19751e-02,4.2178e-03,4.9201e-05,4.6922e-06,6.7641e-08,,,,,,            5.1244,           12.1192,           16.2689,           23.2549,          -69.1862,            2.1449,            6.1494,           -0.9845,           -1.1034,          -95.9115,
Ref 20,2.13373e-08,,,,,,1.1914e-02,4.1673e-03,4.8412e-05,4.5857e-06,7.0931e-08,,,,,,,,,,,
Sam 20,2.23564e-08,1.19750e-02,4.2178e-03,4.9203e-05,4.6961e-06,6.6506e-08,,,,,,            5.1196,           12.1093,           16.2761,           24.2706,          -49.3140,            2.1402,            6.1396,           -0.9629,           -0.0925,          -76.5875,
Ref 21,2.09968e-08,,,,,,1.1914e-02,4.1674e-03,4.8419e-05,4.5839e-06,6.8965e-08,,,,,,,,,,,


