Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 15:59 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 16:59 with Stable 1.69.5 on PS019

Data File = Data_5967 CYC17-49B C.txt,    Sample Weight = 465,                      Vial Location = 16,                       Initial Sam Beam = 1.1966e-07,            ColdFinger Status = CF,                   Min Ref Beam = 1.9875e-08,                Max Ref Beam = 1.0650e-07,                
Analysis undertaken at mass 46.01241
Analysis undertaken at mass 46.01241
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.37170e-08,,,,,,1.1941e-02,4.1871e-03,4.8751e-05,4.6267e-06,6.2528e-08,,,,,,,,,,,
Sam 1,5.28316e-08,1.20501e-02,4.2636e-03,5.0074e-05,4.7943e-06,6.0781e-08,,,,,,            9.1201,           18.2369,           27.0311,           36.2049,          -33.9199,            6.1868,           12.2287,           -0.4695,           -0.5801,          -76.6184,
Ref 2,5.31369e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6270e-06,6.3305e-08,,,,,,,,,,,
Sam 2,5.25698e-08,1.20501e-02,4.2637e-03,5.0073e-05,4.7968e-06,6.1750e-08,,,,,,            9.1082,           18.2410,           26.9521,           36.5769,          -21.6860,            6.1740,           12.2328,           -0.5382,           -0.2294,          -64.9209,
Ref 3,5.25386e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6282e-06,6.2930e-08,,,,,,,,,,,
Sam 3,5.21308e-08,1.20501e-02,4.2636e-03,5.0081e-05,4.7964e-06,6.1282e-08,,,,,,            9.1076,           18.2240,           27.1381,           36.2386,          -27.1836,            6.1740,           12.2159,           -0.3402,           -0.5223,          -70.1445,
Ref 4,5.19686e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6292e-06,6.3060e-08,,,,,,,,,,,
Sam 4,5.16237e-08,1.20501e-02,4.2636e-03,5.0076e-05,4.7988e-06,6.1704e-08,,,,,,            9.1093,           18.2361,           27.0640,           36.8542,          -20.3823,            6.1753,           12.2279,           -0.4256,            0.0478,          -63.6670,
Ref 5,5.13888e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6272e-06,6.2915e-08,,,,,,,,,,,
Sam 5,5.11053e-08,1.20500e-02,4.2636e-03,5.0077e-05,4.7952e-06,6.1501e-08,,,,,,            9.1082,           18.2397,           27.0657,           35.9841,          -24.5397,            6.1740,           12.2315,           -0.4264,           -0.7986,          -67.6462,
Ref 6,5.08264e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6301e-06,6.3182e-08,,,,,,,,,,,
Sam 6,5.05929e-08,1.20500e-02,4.2636e-03,5.0077e-05,4.7968e-06,6.3442e-08,,,,,,            9.1160,           18.2384,           27.0682,           36.3407,            3.4194,            6.1824,           12.2302,           -0.4307,           -0.4521,          -40.9281,
Ref 7,5.02529e-08,,,,,,1.1941e-02,4.1872e-03,4.8755e-05,4.6271e-06,6.3270e-08,,,,,,,,,,,
Sam 7,5.00681e-08,1.20500e-02,4.2636e-03,5.0071e-05,4.7955e-06,6.0743e-08,,,,,,            9.1055,           18.2378,           26.9658,           36.2343,          -44.6574,            6.1713,           12.2296,           -0.5190,           -0.5535,          -86.8689,
Ref 8,4.96777e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6285e-06,6.3898e-08,,,,,,,,,,,
Sam 8,4.95472e-08,1.20500e-02,4.2636e-03,5.0072e-05,4.7991e-06,6.2807e-08,,,,,,            9.1050,           18.2374,           26.9763,           36.6593,           -4.8677,            6.1707,           12.2292,           -0.5079,           -0.1428,          -48.8360,
Ref 9,4.91354e-08,,,,,,1.1941e-02,4.1872e-03,4.8755e-05,4.6302e-06,6.2322e-08,,,,,,,,,,,
Sam 9,4.90387e-08,1.20499e-02,4.2636e-03,5.0084e-05,4.7967e-06,6.2736e-08,,,,,,            9.1038,           18.2316,           27.2582,           35.9654,           -0.6038,            6.1696,           12.2234,           -0.2266,           -0.8006,          -44.7485,
Ref 10,4.85865e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6301e-06,6.3232e-08,,,,,,,,,,,
Sam 10,4.85240e-08,1.20500e-02,4.2636e-03,5.0083e-05,4.7949e-06,6.1740e-08,,,,,,            9.1051,           18.2359,           27.2126,           35.8075,          -19.2235,            6.1709,           12.2277,           -0.2766,           -0.9614,          -62.5549,
Ref 11,4.80446e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6282e-06,6.2665e-08,,,,,,,,,,,
Sam 11,4.80327e-08,1.20501e-02,4.2636e-03,5.0082e-05,4.7972e-06,6.1932e-08,,,,,,            9.1121,           18.2179,           27.1522,           36.3966,          -17.0280,            6.1789,           12.2097,           -0.3250,           -0.3578,          -60.4306,
Ref 12,4.75146e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6293e-06,6.3348e-08,,,,,,,,,,,
Sam 12,4.75512e-08,1.20499e-02,4.2636e-03,5.0079e-05,4.7983e-06,6.2837e-08,,,,,,            9.1025,           18.2219,           27.1358,           36.5586,           -2.7852,            6.1686,           12.2138,           -0.3351,           -0.2094,          -46.8144,
Ref 13,4.69993e-08,,,,,,1.1941e-02,4.1873e-03,4.8754e-05,4.6288e-06,6.2673e-08,,,,,,,,,,,
Sam 13,4.70570e-08,1.20499e-02,4.2636e-03,5.0079e-05,4.7980e-06,6.1210e-08,,,,,,            9.1062,           18.2312,           27.1492,           36.5657,          -29.8680,            6.1722,           12.2230,           -0.3349,           -0.2209,          -72.7217,
Ref 14,4.64917e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6288e-06,6.3519e-08,,,,,,,,,,,
Sam 14,4.65783e-08,1.20499e-02,4.2636e-03,5.0080e-05,4.7980e-06,6.0261e-08,,,,,,            9.1069,           18.2312,           27.1718,           36.5857,          -44.4709,            6.1729,           12.2231,           -0.3135,           -0.2016,          -86.6802,
Ref 15,4.59871e-08,,,,,,1.1941e-02,4.1873e-03,4.8754e-05,4.6285e-06,6.2606e-08,,,,,,,,,,,
Sam 15,4.61083e-08,1.20499e-02,4.2636e-03,5.0075e-05,4.7975e-06,6.0437e-08,,,,,,            9.1078,           18.2264,           27.0349,           36.4832,          -34.3628,            6.1740,           12.2182,           -0.4431,           -0.2910,          -77.0109,
Ref 16,4.54921e-08,,,,,,1.1941e-02,4.1873e-03,4.8760e-05,4.6288e-06,6.2568e-08,,,,,,,,,,,
Sam 16,4.56357e-08,1.20499e-02,4.2636e-03,5.0080e-05,4.7967e-06,6.2438e-08,,,,,,            9.1027,           18.2200,           27.0983,           36.2906,           -5.6520,            6.1688,           12.2119,           -0.3700,           -0.4643,          -49.5514,
Ref 17,4.50043e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6286e-06,6.3020e-08,,,,,,,,,,,
Sam 17,4.51715e-08,1.20499e-02,4.2636e-03,5.0081e-05,4.7944e-06,6.2221e-08,,,,,,            9.1135,           18.2224,           27.0719,           35.7533,          -18.8499,            6.1802,           12.2142,           -0.4090,           -0.9871,          -62.1816,
Ref 18,4.45239e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6292e-06,6.3816e-08,,,,,,,,,,,
Sam 18,4.47113e-08,1.20500e-02,4.2636e-03,5.0079e-05,4.7982e-06,6.2133e-08,,,,,,            9.1179,           18.2210,           27.0540,           36.9326,          -12.6820,            6.1850,           12.2129,           -0.4296,            0.1530,          -56.2880,
Ref 19,4.40488e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6254e-06,6.2037e-08,,,,,,,,,,,
Sam 19,4.42435e-08,1.20500e-02,4.2637e-03,5.0076e-05,4.7946e-06,6.1982e-08,,,,,,            9.1089,           18.2198,           26.9803,           36.4807,           -7.8496,            6.1754,           12.2117,           -0.4910,           -0.2805,          -51.6578,
Ref 20,4.35490e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6263e-06,6.2913e-08,,,,,,,,,,,
Sam 20,4.37785e-08,1.20500e-02,4.2636e-03,5.0080e-05,4.7983e-06,6.2460e-08,,,,,,            9.1104,           18.2171,           27.0210,           36.7456,           -7.6135,            6.1772,           12.2090,           -0.4503,           -0.0197,          -51.4288,
Ref 21,4.31055e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6302e-06,6.2967e-08,,,,,,,,,,,


Ref 1,4.28683e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6280e-06,6.2168e-08,,,,,,,,,,,
Sam 1,4.31216e-08,1.20498e-02,4.2637e-03,5.0082e-05,4.7974e-06,6.1504e-08,,,,,,            9.0945,           18.2081,           27.1475,           36.5093,          -21.2810,            6.1605,           12.2001,           -0.3022,           -0.2299,          -64.4607,
Ref 2,4.24046e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6289e-06,6.3523e-08,,,,,,,,,,,
Sam 2,4.26673e-08,1.20499e-02,4.2637e-03,5.0082e-05,4.7958e-06,6.1920e-08,,,,,,            9.1005,           18.1916,           27.0697,           36.3208,          -20.7773,            6.1675,           12.1837,           -0.3682,           -0.3794,          -63.9555,
Ref 3,4.19460e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6265e-06,6.2943e-08,,,,,,,,,,,
Sam 3,4.22052e-08,1.20501e-02,4.2637e-03,5.0085e-05,4.7969e-06,6.2471e-08,,,,,,            9.1191,           18.2030,           27.0492,           36.5433,          -22.7733,            6.1869,           12.1950,           -0.4182,           -0.1872,          -65.9024,
Ref 4,4.15043e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6292e-06,6.4922e-08,,,,,,,,,,,
Sam 4,4.17687e-08,1.20500e-02,4.2637e-03,5.0094e-05,4.7935e-06,6.2358e-08,,,,,,            9.1044,           18.2234,           27.2166,           35.3266,          -22.5624,            6.1706,           12.2153,           -0.2599,           -1.4007,          -65.7230,
Ref 5,4.10592e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6307e-06,6.2660e-08,,,,,,,,,,,
Sam 5,4.13352e-08,1.20501e-02,4.2638e-03,5.0087e-05,4.8008e-06,6.1463e-08,,,,,,            9.1122,           18.2257,           27.1118,           36.7026,          -18.9778,            6.1787,           12.2175,           -0.3720,           -0.0780,          -62.3085,
Ref 6,4.06359e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6309e-06,6.2644e-08,,,,,,,,,,,
Sam 6,4.09243e-08,1.20501e-02,4.2637e-03,5.0078e-05,4.7988e-06,6.3496e-08,,,,,,            9.1056,           18.2120,           26.9758,           36.5959,           19.2471,            6.1722,           12.2039,           -0.4844,           -0.1541,          -25.7395,
Ref 7,4.02162e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6280e-06,6.1946e-08,,,,,,,,,,,
Sam 7,4.05083e-08,1.20500e-02,4.2638e-03,5.0082e-05,4.7990e-06,6.1093e-08,,,,,,            9.1048,           18.2099,           27.0620,           36.6821,          -34.4330,            6.1715,           12.2018,           -0.3978,           -0.0668,          -77.0458,
Ref 8,3.98026e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6305e-06,6.4611e-08,,,,,,,,,,,
Sam 8,4.01006e-08,1.20501e-02,4.2638e-03,5.0084e-05,4.7980e-06,6.2758e-08,,,,,,            9.1036,           18.2055,           27.1037,           36.2409,          -31.9915,            6.1704,           12.1975,           -0.3517,           -0.4836,          -74.7030,
Ref 9,3.93829e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6299e-06,6.5055e-08,,,,,,,,,,,
Sam 9,3.96951e-08,1.20501e-02,4.2638e-03,5.0085e-05,4.7978e-06,6.3390e-08,,,,,,            9.1036,           18.1992,           27.1124,           36.3668,          -18.5736,            6.1706,           12.1912,           -0.3372,           -0.3499,          -61.8658,
Ref 10,3.89813e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6289e-06,6.4120e-08,,,,,,,,,,,
Sam 10,3.93142e-08,1.20500e-02,4.2637e-03,5.0083e-05,4.7957e-06,6.2144e-08,,,,,,            9.1079,           18.1939,           27.0906,           36.2078,          -26.3929,            6.1753,           12.1859,           -0.3575,           -0.4928,          -69.3347,
Ref 11,3.85917e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6274e-06,6.3534e-08,,,,,,,,,,,
Sam 11,3.89171e-08,1.20499e-02,4.2638e-03,5.0080e-05,4.7981e-06,6.3770e-08,,,,,,            9.1088,           18.2163,           27.0125,           36.8868,           -2.3016,            6.1755,           12.2083,           -0.4562,            0.1180,          -46.3483,
Ref 12,3.81962e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6275e-06,6.4305e-08,,,,,,,,,,,
Sam 12,3.85398e-08,1.20500e-02,4.2637e-03,5.0086e-05,4.7963e-06,6.6019e-08,,,,,,            9.1078,           18.2038,           27.1168,           36.1717,            9.8548,            6.1748,           12.1957,           -0.3415,           -0.5470,          -34.7042,
Ref 13,3.78021e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6302e-06,6.6456e-08,,,,,,,,,,,
Sam 13,3.81660e-08,1.20500e-02,4.2638e-03,5.0082e-05,4.7985e-06,6.3540e-08,,,,,,            9.1016,           18.2116,           27.1335,           36.4231,          -50.1466,            6.1680,           12.2036,           -0.3266,           -0.3200,          -92.0659,
Ref 14,3.74393e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6294e-06,6.7338e-08,,,,,,,,,,,
Sam 14,3.77931e-08,1.20500e-02,4.2637e-03,5.0084e-05,4.7963e-06,6.5279e-08,,,,,,            9.1134,           18.2023,           27.1386,           36.2550,          -10.6478,            6.1809,           12.1943,           -0.3246,           -0.4638,          -54.3050,
Ref 15,3.70656e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6275e-06,6.4611e-08,,,,,,,,,,,
Sam 15,3.74173e-08,1.20499e-02,4.2637e-03,5.0082e-05,4.7972e-06,6.3206e-08,,,,,,            9.1087,           18.2089,           26.9636,           36.4471,          -22.1326,            6.1756,           12.2009,           -0.4966,           -0.2916,          -65.2903,
Ref 16,3.66938e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6296e-06,6.4662e-08,,,,,,,,,,,
Sam 16,3.70563e-08,1.20499e-02,4.2637e-03,5.0079e-05,4.7979e-06,6.4121e-08,,,,,,            9.1142,           18.2058,           26.9292,           36.6337,          -12.3414,            6.1816,           12.1978,           -0.5326,           -0.1056,          -55.9311,
Ref 17,3.63416e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6271e-06,6.5185e-08,,,,,,,,,,,
Sam 17,3.67138e-08,1.20498e-02,4.2636e-03,5.0088e-05,4.7987e-06,6.2152e-08,,,,,,            9.1075,           18.1910,           27.1078,           37.2566,          -46.2635,            6.1750,           12.1830,           -0.3377,            0.5245,          -88.3234,
Ref 18,3.59774e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6255e-06,6.5149e-08,,,,,,,,,,,
Sam 18,3.63352e-08,1.20498e-02,4.2637e-03,5.0087e-05,4.7972e-06,6.6107e-08,,,,,,            9.1096,           18.2220,           27.0732,           36.6684,           17.5082,            6.1762,           12.2139,           -0.4035,           -0.1038,          -27.4247,
Ref 19,3.56231e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6296e-06,6.4788e-08,,,,,,,,,,,
Sam 19,3.59781e-08,1.20497e-02,4.2637e-03,5.0084e-05,4.7995e-06,6.3871e-08,,,,,,            9.1013,           18.2105,           27.0619,           36.7684,          -10.7205,            6.1677,           12.2025,           -0.3949,            0.0152,          -54.3775,
Ref 20,3.52792e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6290e-06,6.4335e-08,,,,,,,,,,,
Sam 20,3.56279e-08,1.20498e-02,4.2637e-03,5.0085e-05,4.7974e-06,6.5126e-08,,,,,,            9.1155,           18.2213,           27.1291,           36.6213,          -13.3357,            6.1824,           12.2132,           -0.3543,           -0.1479,          -56.9110,
Ref 21,3.49315e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6268e-06,6.7694e-08,,,,,,,,,,,


Ref 1,3.47541e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6285e-06,6.7818e-08,,,,,,,,,,,
Sam 1,3.51232e-08,1.20497e-02,4.2636e-03,5.0082e-05,4.7983e-06,6.3190e-08,,,,,,            9.1058,           18.2088,           26.9763,           36.6259,          -59.5150,            6.1725,           12.2007,           -0.4810,           -0.1188,         -101.0197,
Ref 2,3.44041e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6290e-06,6.6554e-08,,,,,,,,,,,
Sam 2,3.48009e-08,1.20497e-02,4.2636e-03,5.0083e-05,4.7938e-06,6.4181e-08,,,,,,            9.1051,           18.2032,           26.9946,           35.5222,          -37.8850,            6.1720,           12.1952,           -0.4571,           -1.1724,          -80.3338,
Ref 3,3.40808e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6297e-06,6.6865e-08,,,,,,,,,,,
Sam 3,3.44683e-08,1.20496e-02,4.2636e-03,5.0082e-05,4.7975e-06,6.5672e-08,,,,,,            9.0964,           18.2039,           27.0401,           36.6491,          -11.3302,            6.1627,           12.1959,           -0.4047,           -0.0869,          -54.9433,
Ref 4,3.37516e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6261e-06,6.5981e-08,,,,,,,,,,,
Sam 4,3.41250e-08,1.20497e-02,4.2637e-03,5.0083e-05,4.7966e-06,6.5379e-08,,,,,,            9.1036,           18.2318,           26.9786,           36.6089,          -23.9887,            6.1695,           12.2237,           -0.4989,           -0.1805,          -67.1009,
Ref 5,3.34270e-08,,,,,,1.1941e-02,4.1874e-03,4.8772e-05,4.6283e-06,6.8001e-08,,,,,,,,,,,
Sam 5,3.38086e-08,1.20497e-02,4.2636e-03,5.0088e-05,4.8002e-06,6.5235e-08,,,,,,            9.0997,           18.1938,           27.1370,           37.4063,          -51.6952,            6.1666,           12.1858,           -0.3039,            0.6635,          -93.5130,
Ref 6,3.31043e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6258e-06,6.9588e-08,,,,,,,,,,,
Sam 6,3.34839e-08,1.20498e-02,4.2636e-03,5.0084e-05,4.7981e-06,6.4276e-08,,,,,,            9.1173,           18.2043,           27.1632,           37.1144,          -60.7939,            6.1850,           12.1963,           -0.3066,            0.3611,         -102.2454,
Ref 7,3.27997e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6269e-06,6.7274e-08,,,,,,,,,,,
Sam 7,3.31525e-08,1.20496e-02,4.2637e-03,5.0082e-05,4.7994e-06,6.7389e-08,,,,,,            9.1061,           18.2161,           26.9986,           37.1284,           12.5521,            6.1727,           12.2080,           -0.4668,            0.3516,          -32.1471,
Ref 8,3.24675e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6282e-06,6.5825e-08,,,,,,,,,,,
Sam 8,3.28575e-08,1.20495e-02,4.2636e-03,5.0080e-05,4.7947e-06,6.3096e-08,,,,,,            9.1039,           18.1857,           26.9590,           35.6549,          -63.3788,            6.1714,           12.1778,           -0.4738,           -1.0102,         -104.6715,
Ref 9,3.21722e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6311e-06,6.8920e-08,,,,,,,,,,,
Sam 9,3.25326e-08,1.20495e-02,4.2636e-03,5.0086e-05,4.7960e-06,6.4446e-08,,,,,,            9.1119,           18.2084,           27.1075,           35.7678,          -60.4961,            6.1791,           12.2004,           -0.3593,           -0.9458,         -101.9628,
Ref 10,3.18634e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6297e-06,6.8269e-08,,,,,,,,,,,
Sam 10,3.22308e-08,1.20495e-02,4.2636e-03,5.0080e-05,4.7979e-06,6.6453e-08,,,,,,            9.1110,           18.1971,           26.9947,           36.2281,          -12.0660,            6.1785,           12.1891,           -0.4572,           -0.4795,          -55.6487,
Ref 11,3.15652e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6307e-06,6.6251e-08,,,,,,,,,,,
Sam 11,3.19232e-08,1.20494e-02,4.2636e-03,5.0079e-05,4.7968e-06,6.4074e-08,,,,,,            9.1072,           18.2015,           26.9229,           36.1471,          -45.0125,            6.1743,           12.1935,           -0.5275,           -0.5664,          -87.1459,
Ref 12,3.12677e-08,,,,,,1.1941e-02,4.1873e-03,4.8770e-05,4.6281e-06,6.7945e-08,,,,,,,,,,,
Sam 12,3.16419e-08,1.20494e-02,4.2635e-03,5.0076e-05,4.7992e-06,6.5661e-08,,,,,,            9.1061,           18.1935,           26.7841,           36.5438,          -29.0698,            6.1734,           12.1856,           -0.6538,           -0.1681,          -71.8912,
Ref 13,3.09618e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6318e-06,6.7306e-08,,,,,,,,,,,
Sam 13,3.13336e-08,1.20494e-02,4.2636e-03,5.0085e-05,4.7983e-06,6.6746e-08,,,,,,            9.1060,           18.2058,           27.0941,           36.0398,            7.7660,            6.1729,           12.1978,           -0.3638,           -0.6783,          -36.7028,
Ref 14,3.06883e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6310e-06,6.5149e-08,,,,,,,,,,,
Sam 14,3.10384e-08,1.20493e-02,4.2635e-03,5.0086e-05,4.8003e-06,6.4967e-08,,,,,,            9.0973,           18.1989,           27.1287,           36.8031,          -19.8998,            6.1638,           12.1909,           -0.3145,            0.0715,          -63.1266,
Ref 15,3.03932e-08,,,,,,1.1941e-02,4.1873e-03,4.8766e-05,4.6289e-06,6.7435e-08,,,,,,,,,,,
Sam 15,3.07546e-08,1.20493e-02,4.2635e-03,5.0083e-05,4.7977e-06,6.6468e-08,,,,,,            9.1031,           18.2051,           26.9794,           36.4301,          -12.6919,            6.1698,           12.1971,           -0.4717,           -0.3004,          -56.2537,
Ref 16,3.01254e-08,,,,,,1.1941e-02,4.1873e-03,4.8769e-05,4.6293e-06,6.7209e-08,,,,,,,,,,,
Sam 16,3.04866e-08,1.20493e-02,4.2634e-03,5.0084e-05,4.7988e-06,6.5340e-08,,,,,,            9.1066,           18.1906,           26.9844,           36.5183,          -24.6184,            6.1740,           12.1827,           -0.4564,           -0.1869,          -67.6313,
Ref 17,2.98566e-08,,,,,,1.1940e-02,4.1872e-03,4.8768e-05,4.6301e-06,6.6766e-08,,,,,,,,,,,
Sam 17,3.01768e-08,1.20495e-02,4.2635e-03,5.0088e-05,4.7950e-06,6.6129e-08,,,,,,            9.1252,           18.2188,           27.1133,           35.5105,           -8.4885,            6.1928,           12.2106,           -0.3771,           -1.2142,          -52.2829,
Ref 18,2.95557e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6310e-06,6.6623e-08,,,,,,,,,,,
Sam 18,2.98987e-08,1.20495e-02,4.2635e-03,5.0083e-05,4.7986e-06,6.5781e-08,,,,,,            9.1097,           18.1885,           27.0526,           36.1527,          -25.6412,            6.1774,           12.1805,           -0.3912,           -0.5354,          -68.6082,
Ref 19,2.92804e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6314e-06,6.8410e-08,,,,,,,,,,,
Sam 19,2.96257e-08,1.20493e-02,4.2634e-03,5.0086e-05,4.7993e-06,6.6725e-08,,,,,,            9.0965,           18.1903,           27.1171,           36.4247,          -28.9884,            6.1633,           12.1824,           -0.3167,           -0.2765,          -71.7981,
Ref 20,2.90289e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6299e-06,6.9027e-08,,,,,,,,,,,
Sam 20,2.93732e-08,1.20492e-02,4.2633e-03,5.0082e-05,4.7978e-06,6.4694e-08,,,,,,            9.1109,           18.1753,           27.0327,           36.5125,          -65.5843,            6.1791,           12.1674,           -0.3990,           -0.1624,         -106.7682,
Ref 21,2.87729e-08,,,,,,1.1940e-02,4.1871e-03,4.8765e-05,4.6277e-06,6.9443e-08,,,,,,,,,,,


