Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 18:00 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 19:00 with Stable 1.69.5 on PS019

Data File = Data_5968 PK99 KT4CA.txt,     Sample Weight = 436,                      Vial Location = 17,                       Initial Sam Beam = 1.1093e-07,            ColdFinger Status = CF,                   Min Ref Beam = 2.9834e-08,                Max Ref Beam = 1.0563e-07,                
Analysis undertaken at mass 46.01491
Analysis undertaken at mass 46.01491
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.02591e-08,,,,,,1.1941e-02,4.1872e-03,4.8751e-05,4.6235e-06,6.1714e-08,,,,,,,,,,,
Sam 1,5.00272e-08,1.19407e-02,4.2250e-03,4.9163e-05,4.7097e-06,5.8265e-08,,,,,,           -0.0493,            9.0243,            8.3835,           18.3603,          -60.0194,           -3.2545,            3.0808,           -0.4423,            0.2261,          -76.4377,
Ref 2,4.97182e-08,,,,,,1.1941e-02,4.1872e-03,4.8757e-05,4.6261e-06,6.2260e-08,,,,,,,,,,,
Sam 2,4.95109e-08,1.19408e-02,4.2250e-03,4.9167e-05,4.7091e-06,6.0495e-08,,,,,,           -0.0439,            9.0139,            8.3715,           17.7293,          -37.2213,           -3.2484,            3.0704,           -0.4496,           -0.3729,          -54.0240,
Ref 3,4.91780e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6281e-06,6.3413e-08,,,,,,,,,,,
Sam 3,4.89797e-08,1.19408e-02,4.2250e-03,4.9166e-05,4.7080e-06,6.0691e-08,,,,,,           -0.0415,            9.0233,            8.3138,           17.5509,          -41.9098,           -3.2462,            3.0798,           -0.5184,           -0.5668,          -58.6503,
Ref 4,4.86562e-08,,,,,,1.1941e-02,4.1872e-03,4.8762e-05,4.6255e-06,6.3277e-08,,,,,,,,,,,
Sam 4,4.84687e-08,1.19408e-02,4.2250e-03,4.9163e-05,4.7105e-06,5.9106e-08,,,,,,           -0.0449,            9.0235,            8.2101,           18.3246,          -65.1711,           -3.2498,            3.0800,           -0.6180,            0.1926,          -81.5023,
Ref 5,4.80922e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6260e-06,6.3175e-08,,,,,,,,,,,
Sam 5,4.79617e-08,1.19408e-02,4.2250e-03,4.9159e-05,4.7098e-06,6.0625e-08,,,,,,           -0.0463,            9.0145,            8.1518,           17.9761,          -42.6765,           -3.2510,            3.0711,           -0.6655,           -0.1319,          -59.3828,
Ref 6,4.75946e-08,,,,,,1.1941e-02,4.1872e-03,4.8760e-05,4.6272e-06,6.3482e-08,,,,,,,,,,,
Sam 6,4.74630e-08,1.19409e-02,4.2250e-03,4.9162e-05,4.7101e-06,6.0456e-08,,,,,,           -0.0416,            9.0080,            8.2697,           18.0601,          -42.0774,           -3.2457,            3.0646,           -0.5472,           -0.0364,          -58.7868,
Ref 7,4.70772e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6258e-06,6.2737e-08,,,,,,,,,,,
Sam 7,4.69729e-08,1.19408e-02,4.2250e-03,4.9164e-05,4.7082e-06,5.8849e-08,,,,,,           -0.0577,            9.0079,            8.3634,           17.5090,          -61.2952,           -3.2629,            3.0645,           -0.4376,           -0.5775,          -77.6534,
Ref 8,4.65667e-08,,,,,,1.1941e-02,4.1873e-03,4.8756e-05,4.6285e-06,6.2645e-08,,,,,,,,,,,
Sam 8,4.64854e-08,1.19409e-02,4.2250e-03,4.9169e-05,4.7107e-06,5.9147e-08,,,,,,           -0.0446,            9.0088,            8.5259,           17.7711,          -59.9658,           -3.2490,            3.0654,           -0.2909,           -0.3218,          -76.3616,
Ref 9,4.60667e-08,,,,,,1.1941e-02,4.1874e-03,4.8752e-05,4.6285e-06,6.3197e-08,,,,,,,,,,,
Sam 9,4.60074e-08,1.19408e-02,4.2250e-03,4.9166e-05,4.7095e-06,6.2789e-08,,,,,,           -0.0453,            9.0030,            8.4334,           17.8268,          -14.2732,           -3.2495,            3.0596,           -0.3763,           -0.2556,          -31.4544,
Ref 10,4.55697e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6256e-06,6.4204e-08,,,,,,,,,,,
Sam 10,4.55249e-08,1.19408e-02,4.2251e-03,4.9159e-05,4.7107e-06,6.0654e-08,,,,,,           -0.0449,            9.0223,            8.2171,           17.9499,          -55.9019,           -3.2498,            3.0788,           -0.6099,           -0.1731,          -72.3928,
Ref 11,4.50717e-08,,,,,,1.1941e-02,4.1873e-03,4.8760e-05,4.6297e-06,6.4287e-08,,,,,,,,,,,
Sam 11,4.50597e-08,1.19406e-02,4.2251e-03,4.9161e-05,4.7104e-06,6.1292e-08,,,,,,           -0.0541,            9.0242,            8.2209,           17.5969,          -32.2576,           -3.2596,            3.0807,           -0.5986,           -0.5235,          -49.1558,
Ref 12,4.45970e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6282e-06,6.2373e-08,,,,,,,,,,,
Sam 12,4.45994e-08,1.19407e-02,4.2250e-03,4.9160e-05,4.7095e-06,5.9406e-08,,,,,,           -0.0405,            9.0154,            8.1658,           17.5321,          -52.4647,           -3.2448,            3.0719,           -0.6586,           -0.5697,          -69.0074,
Ref 13,4.41232e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6285e-06,6.3022e-08,,,,,,,,,,,
Sam 13,4.41356e-08,1.19406e-02,4.2250e-03,4.9163e-05,4.7102e-06,6.0148e-08,,,,,,           -0.0544,            9.0066,            8.2294,           17.8738,          -29.0990,           -3.2593,            3.0632,           -0.5725,           -0.2166,          -46.0192,
Ref 14,4.36489e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6266e-06,6.0868e-08,,,,,,,,,,,
Sam 14,4.36985e-08,1.19404e-02,4.2249e-03,4.9158e-05,4.7106e-06,5.9530e-08,,,,,,           -0.0640,            8.9927,            8.1814,           17.8395,          -32.4614,           -3.2690,            3.0494,           -0.5967,           -0.2227,          -49.2875,
Ref 15,4.31868e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6295e-06,6.2194e-08,,,,,,,,,,,
Sam 15,4.32507e-08,1.19407e-02,4.2250e-03,4.9165e-05,4.7108e-06,5.9002e-08,,,,,,           -0.0446,            9.0134,            8.2980,           17.7794,          -56.0430,           -3.2491,            3.0699,           -0.5213,           -0.3227,          -72.5156,
Ref 16,4.27093e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6275e-06,6.2818e-08,,,,,,,,,,,
Sam 16,4.27856e-08,1.19407e-02,4.2251e-03,4.9165e-05,4.7106e-06,5.9388e-08,,,,,,           -0.0423,            9.0205,            8.3334,           18.0035,          -46.4779,           -3.2470,            3.0770,           -0.4954,           -0.1167,          -63.1326,
Ref 17,4.22839e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6272e-06,6.1742e-08,,,,,,,,,,,
Sam 17,4.23858e-08,1.19405e-02,4.2250e-03,4.9165e-05,4.7103e-06,5.9699e-08,,,,,,           -0.0430,            9.0112,            8.2926,           17.8968,          -35.5294,           -3.2473,            3.0677,           -0.5262,           -0.2031,          -52.3575,
Ref 18,4.18475e-08,,,,,,1.1941e-02,4.1872e-03,4.8765e-05,4.6277e-06,6.2057e-08,,,,,,,,,,,
Sam 18,4.19524e-08,1.19406e-02,4.2250e-03,4.9163e-05,4.7107e-06,5.8918e-08,,,,,,           -0.0424,            9.0135,            8.1680,           17.8534,          -68.9659,           -3.2468,            3.0701,           -0.6525,           -0.2504,          -85.2154,
Ref 19,4.14050e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6284e-06,6.4521e-08,,,,,,,,,,,
Sam 19,4.14757e-08,1.19408e-02,4.2252e-03,4.9164e-05,4.7116e-06,5.9815e-08,,,,,,           -0.0329,            9.0433,            8.2066,           17.9016,          -59.2626,           -3.2377,            3.0997,           -0.6531,           -0.2621,          -75.7444,
Ref 20,4.09585e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6291e-06,6.2635e-08,,,,,,,,,,,
Sam 20,4.10997e-08,1.19406e-02,4.2250e-03,4.9162e-05,4.7112e-06,5.9470e-08,,,,,,           -0.0585,            8.9945,            8.1774,           17.8353,          -56.7553,           -3.2633,            3.0512,           -0.6081,           -0.2305,          -73.1676,
Ref 21,4.05009e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6282e-06,6.3467e-08,,,,,,,,,,,


Ref 1,4.02957e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6267e-06,6.1695e-08,,,,,,,,,,,
Sam 1,4.04515e-08,1.19408e-02,4.2251e-03,4.9174e-05,4.7078e-06,5.9720e-08,,,,,,           -0.0417,            9.0218,            8.3958,           17.2932,          -45.8607,           -3.2463,            3.0783,           -0.4356,           -0.8171,          -62.5294,
Ref 2,3.98825e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6289e-06,6.3496e-08,,,,,,,,,,,
Sam 2,4.00538e-08,1.19407e-02,4.2252e-03,4.9169e-05,4.7107e-06,5.9394e-08,,,,,,           -0.0472,            9.0144,            8.3018,           17.7060,          -69.4664,           -3.2519,            3.0709,           -0.5158,           -0.3969,          -85.7040,
Ref 3,3.94706e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6287e-06,6.4163e-08,,,,,,,,,,,
Sam 3,3.96576e-08,1.19406e-02,4.2252e-03,4.9171e-05,4.7095e-06,6.1953e-08,,,,,,           -0.0528,            9.0203,            8.3209,           17.5059,          -13.4036,           -3.2581,            3.0768,           -0.4969,           -0.6051,          -30.6250,
Ref 4,3.90720e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6283e-06,6.1412e-08,,,,,,,,,,,
Sam 4,3.92623e-08,1.19408e-02,4.2251e-03,4.9163e-05,4.7124e-06,6.1233e-08,,,,,,           -0.0350,            9.0080,            8.1240,           18.0672,           -9.2898,           -3.2387,            3.0645,           -0.6984,           -0.0294,          -26.5779,
Ref 5,3.86768e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6292e-06,6.2206e-08,,,,,,,,,,,
Sam 5,3.88742e-08,1.19408e-02,4.2251e-03,4.9168e-05,4.7136e-06,5.9761e-08,,,,,,           -0.0395,            9.0116,            8.2367,           18.2725,          -44.2693,           -3.2436,            3.0681,           -0.5855,            0.1652,          -60.9491,
Ref 6,3.82864e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6288e-06,6.2855e-08,,,,,,,,,,,
Sam 6,3.84911e-08,1.19407e-02,4.2252e-03,4.9171e-05,4.7090e-06,6.1108e-08,,,,,,           -0.0450,            9.0208,            8.3664,           17.6451,          -35.3099,           -3.2498,            3.0773,           -0.4603,           -0.4693,          -52.1576,
Ref 7,3.78971e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6258e-06,6.3840e-08,,,,,,,,,,,
Sam 7,3.81121e-08,1.19407e-02,4.2251e-03,4.9168e-05,4.7120e-06,6.0168e-08,,,,,,           -0.0417,            9.0105,            8.3222,           18.4722,          -76.1539,           -3.2459,            3.0670,           -0.4975,            0.3635,          -92.2732,
Ref 8,3.75083e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6273e-06,6.6428e-08,,,,,,,,,,,
Sam 8,3.77532e-08,1.19405e-02,4.2251e-03,4.9167e-05,4.7100e-06,6.0389e-08,,,,,,           -0.0528,            9.0001,            8.2613,           18.0240,          -86.1029,           -3.2573,            3.0568,           -0.5363,           -0.0563,         -102.0200,
Ref 9,3.71526e-08,,,,,,1.1941e-02,4.1873e-03,4.8765e-05,4.6259e-06,6.5726e-08,,,,,,,,,,,
Sam 9,3.73725e-08,1.19406e-02,4.2251e-03,4.9171e-05,4.7127e-06,6.0253e-08,,,,,,           -0.0411,            9.0119,            8.3527,           18.3896,          -69.9741,           -3.2453,            3.0684,           -0.4692,            0.2795,          -86.2043,
Ref 10,3.67783e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6293e-06,6.3837e-08,,,,,,,,,,,
Sam 10,3.70104e-08,1.19405e-02,4.2250e-03,4.9168e-05,4.7105e-06,6.2137e-08,,,,,,           -0.0450,            9.0000,            8.2798,           17.8686,          -38.8164,           -3.2491,            3.0566,           -0.5259,           -0.2086,          -55.5645,
Ref 11,3.64107e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6262e-06,6.5464e-08,,,,,,,,,,,
Sam 11,3.66413e-08,1.19405e-02,4.2250e-03,4.9175e-05,4.7087e-06,6.0763e-08,,,,,,           -0.0408,            9.0028,            8.3840,           17.5988,          -60.7585,           -3.2447,            3.0594,           -0.4297,           -0.4791,          -77.1335,
Ref 12,3.60484e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6283e-06,6.3915e-08,,,,,,,,,,,
Sam 12,3.62939e-08,1.19405e-02,4.2250e-03,4.9167e-05,4.7096e-06,6.1388e-08,,,,,,           -0.0471,            9.0088,            8.2255,           17.8579,          -67.5598,           -3.2516,            3.0653,           -0.5861,           -0.2365,          -83.8207,
Ref 13,3.56877e-08,,,,,,1.1941e-02,4.1873e-03,4.8768e-05,4.6257e-06,6.7777e-08,,,,,,,,,,,
Sam 13,3.59501e-08,1.19405e-02,4.2250e-03,4.9169e-05,4.7069e-06,5.9926e-08,,,,,,           -0.0453,            9.0093,            8.3512,           17.5347,          -95.6667,           -3.2497,            3.0658,           -0.4638,           -0.5550,         -111.4400,
Ref 14,3.53407e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6258e-06,6.4739e-08,,,,,,,,,,,
Sam 14,3.55993e-08,1.19404e-02,4.2250e-03,4.9165e-05,4.7073e-06,6.1787e-08,,,,,,           -0.0461,            9.0194,            8.2940,           17.4999,          -62.8233,           -3.2509,            3.0759,           -0.5296,           -0.6092,          -79.1869,
Ref 15,3.50058e-08,,,,,,1.1941e-02,4.1872e-03,4.8766e-05,4.6268e-06,6.7131e-08,,,,,,,,,,,
Sam 15,3.52588e-08,1.19405e-02,4.2250e-03,4.9163e-05,4.7117e-06,6.0822e-08,,,,,,           -0.0414,            9.0165,            8.1249,           18.3851,          -73.7723,           -3.2459,            3.0730,           -0.6992,            0.2659,          -89.9441,
Ref 16,3.46473e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6265e-06,6.4187e-08,,,,,,,,,,,
Sam 16,3.49117e-08,1.19404e-02,4.2251e-03,4.9165e-05,4.7097e-06,6.1678e-08,,,,,,           -0.0453,            9.0267,            8.1185,           17.9483,          -53.4169,           -3.2503,            3.0832,           -0.7115,           -0.1833,          -69.9588,
Ref 17,3.43251e-08,,,,,,1.1941e-02,4.1872e-03,4.8770e-05,4.6268e-06,6.6139e-08,,,,,,,,,,,
Sam 17,3.45671e-08,1.19405e-02,4.2250e-03,4.9168e-05,4.7103e-06,6.0963e-08,,,,,,           -0.0373,            9.0193,            8.1573,           17.7212,          -91.5316,           -3.2415,            3.0758,           -0.6740,           -0.3916,         -107.4021,
Ref 18,3.39677e-08,,,,,,1.1941e-02,4.1873e-03,4.8771e-05,4.6298e-06,6.8082e-08,,,,,,,,,,,
Sam 18,3.42544e-08,1.19402e-02,4.2249e-03,4.9169e-05,4.7118e-06,6.1243e-08,,,,,,           -0.0585,            8.9912,            8.2727,           17.8068,         -100.3577,           -3.2631,            3.0479,           -0.5104,           -0.2519,         -116.0057,
Ref 19,3.36625e-08,,,,,,1.1941e-02,4.1872e-03,4.8760e-05,4.6290e-06,6.8067e-08,,,,,,,,,,,
Sam 19,3.39206e-08,1.19405e-02,4.2250e-03,4.9163e-05,4.7124e-06,6.4355e-08,,,,,,           -0.0348,            9.0285,            8.2331,           18.2821,          -47.5719,           -3.2392,            3.0850,           -0.6104,            0.1409,          -64.2297,
Ref 20,3.33252e-08,,,,,,1.1941e-02,4.1872e-03,4.8764e-05,4.6265e-06,6.7066e-08,,,,,,,,,,,
Sam 20,3.36098e-08,1.19403e-02,4.2250e-03,4.9162e-05,4.7119e-06,6.3115e-08,,,,,,           -0.0431,            9.0072,            8.1724,           18.2133,          -56.5124,           -3.2473,            3.0638,           -0.6413,            0.1156,          -72.9670,
Ref 21,3.30254e-08,,,,,,1.1941e-02,4.1872e-03,4.8763e-05,4.6287e-06,6.6722e-08,,,,,,,,,,,


Ref 1,3.28447e-08,,,,,,1.1941e-02,4.1873e-03,4.8768e-05,4.6299e-06,6.5276e-08,,,,,,,,,,,
Sam 1,3.31054e-08,1.19404e-02,4.2250e-03,4.9172e-05,4.7113e-06,6.1305e-08,,,,,,           -0.0347,            9.0077,            8.3264,           17.9127,          -73.2613,           -3.2384,            3.0643,           -0.4979,           -0.1806,          -89.4330,
Ref 2,3.25214e-08,,,,,,1.1941e-02,4.1873e-03,4.8765e-05,4.6269e-06,6.7036e-08,,,,,,,,,,,
Sam 2,3.28004e-08,1.19403e-02,4.2251e-03,4.9169e-05,4.7106e-06,6.1974e-08,,,,,,           -0.0427,            9.0263,            8.2581,           18.0595,          -72.8542,           -3.2476,            3.0827,           -0.5753,           -0.0732,          -89.0581,
Ref 3,3.22352e-08,,,,,,1.1941e-02,4.1872e-03,4.8768e-05,4.6271e-06,6.6649e-08,,,,,,,,,,,
Sam 3,3.24902e-08,1.19403e-02,4.2250e-03,4.9172e-05,4.7111e-06,6.1404e-08,,,,,,           -0.0453,            9.0102,            8.2639,           17.8542,          -79.1643,           -3.2497,            3.0668,           -0.5513,           -0.2430,          -95.2272,
Ref 4,3.19077e-08,,,,,,1.1941e-02,4.1874e-03,4.8770e-05,4.6298e-06,6.6717e-08,,,,,,,,,,,
Sam 4,3.21825e-08,1.19404e-02,4.2250e-03,4.9170e-05,4.7105e-06,6.2769e-08,,,,,,           -0.0481,            8.9970,            8.2624,           17.7432,          -61.7235,           -3.2523,            3.0536,           -0.5370,           -0.3258,          -78.0641,
Ref 5,3.16091e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6271e-06,6.7081e-08,,,,,,,,,,,
Sam 5,3.18872e-08,1.19402e-02,4.2250e-03,4.9162e-05,4.7110e-06,6.1601e-08,,,,,,           -0.0459,            9.0029,            8.1727,           18.0512,          -79.3212,           -3.2501,            3.0595,           -0.6340,           -0.0351,          -95.3679,
Ref 6,3.13214e-08,,,,,,1.1941e-02,4.1872e-03,4.8762e-05,4.6279e-06,6.6733e-08,,,,,,,,,,,
Sam 6,3.15866e-08,1.19402e-02,4.2249e-03,4.9176e-05,4.7135e-06,6.0625e-08,,,,,,           -0.0441,            9.0015,            8.4530,           18.6188,         -105.4794,           -3.2481,            3.0581,           -0.3567,            0.5253,         -121.0694,
Ref 7,3.10271e-08,,,,,,1.1941e-02,4.1873e-03,4.8766e-05,4.6268e-06,6.8824e-08,,,,,,,,,,,
Sam 7,3.12966e-08,1.19401e-02,4.2249e-03,4.9168e-05,4.7094e-06,6.5271e-08,,,,,,           -0.0431,            9.0042,            8.2502,           17.5658,          -45.3146,           -3.2472,            3.0608,           -0.5612,           -0.5143,          -61.9591,
Ref 8,3.07540e-08,,,,,,1.1940e-02,4.1871e-03,4.8765e-05,4.6294e-06,6.7912e-08,,,,,,,,,,,
Sam 8,3.10203e-08,1.19399e-02,4.2248e-03,4.9167e-05,4.7136e-06,6.5138e-08,,,,,,           -0.0411,            8.9999,            8.2483,           18.3949,          -29.0557,           -3.2449,            3.0565,           -0.5611,            0.3085,          -45.9777,
Ref 9,3.04755e-08,,,,,,1.1940e-02,4.1871e-03,4.8766e-05,4.6275e-06,6.6255e-08,,,,,,,,,,,
Sam 9,3.06982e-08,1.19402e-02,4.2250e-03,4.9166e-05,4.7124e-06,6.4377e-08,,,,,,           -0.0258,            9.0305,            8.1955,           18.1479,          -32.0952,           -3.2297,            3.0869,           -0.6590,            0.0052,          -49.0365,
Ref 10,3.01655e-08,,,,,,1.1941e-02,4.1872e-03,4.8766e-05,4.6294e-06,6.6770e-08,,,,,,,,,,,
Sam 10,3.04186e-08,1.19402e-02,4.2249e-03,4.9164e-05,4.7108e-06,6.4722e-08,,,,,,           -0.0402,            8.9971,            8.1465,           17.8999,          -58.1837,           -3.2439,            3.0537,           -0.6601,           -0.1722,          -74.5939,
Ref 11,2.98849e-08,,,,,,1.1941e-02,4.1872e-03,4.8767e-05,4.6264e-06,7.0688e-08,,,,,,,,,,,
Sam 11,3.01514e-08,1.19400e-02,4.2248e-03,4.9167e-05,4.7115e-06,6.4002e-08,,,,,,           -0.0437,            8.9891,            8.2417,           18.1627,          -76.9182,           -3.2473,            3.0458,           -0.5543,            0.1018,          -92.9844,
Ref 12,2.96325e-08,,,,,,1.1940e-02,4.1871e-03,4.8763e-05,4.6284e-06,6.7971e-08,,,,,,,,,,,
Sam 12,2.98441e-08,1.19402e-02,4.2250e-03,4.9167e-05,4.7090e-06,6.4619e-08,,,,,,           -0.0268,            9.0274,            8.2199,           17.4587,          -53.0691,           -3.2307,            3.0838,           -0.6307,           -0.6656,          -69.6366,
Ref 13,2.93356e-08,,,,,,1.1941e-02,4.1872e-03,4.8770e-05,4.6280e-06,6.8513e-08,,,,,,,,,,,
Sam 13,2.95769e-08,1.19401e-02,4.2249e-03,4.9170e-05,4.7135e-06,6.6128e-08,,,,,,           -0.0388,            9.0122,            8.2468,           18.0683,          -16.9768,           -3.2429,            3.0687,           -0.5769,           -0.0367,          -34.1349,
Ref 14,2.90665e-08,,,,,,1.1940e-02,4.1871e-03,4.8766e-05,4.6318e-06,6.6016e-08,,,,,,,,,,,
Sam 14,2.93165e-08,1.19399e-02,4.2248e-03,4.9163e-05,4.7111e-06,6.2092e-08,,,,,,           -0.0420,            9.0132,            8.1581,           17.3526,          -80.0276,           -3.2464,            3.0697,           -0.6624,           -0.7415,          -96.0837,
Ref 15,2.88165e-08,,,,,,1.1940e-02,4.1870e-03,4.8764e-05,4.6297e-06,6.8984e-08,,,,,,,,,,,
Sam 15,2.90355e-08,1.19401e-02,4.2249e-03,4.9174e-05,4.7123e-06,6.3709e-08,,,,,,           -0.0331,            9.0247,            8.3633,           18.4354,          -90.7477,           -3.2373,            3.0811,           -0.4794,            0.2992,         -106.6452,
Ref 16,2.85376e-08,,,,,,1.1941e-02,4.1872e-03,4.8767e-05,4.6242e-06,7.1162e-08,,,,,,,,,,,
Sam 16,2.87609e-08,1.19401e-02,4.2249e-03,4.9167e-05,4.7116e-06,6.4548e-08,,,,,,           -0.0373,            9.0072,            8.1752,           18.8862,          -88.5843,           -3.2411,            3.0637,           -0.6445,            0.7767,         -104.4852,
Ref 17,2.82794e-08,,,,,,1.1941e-02,4.1871e-03,4.8769e-05,4.6243e-06,7.0477e-08,,,,,,,,,,,
Sam 17,2.85108e-08,1.19398e-02,4.2248e-03,4.9163e-05,4.7094e-06,6.4092e-08,,,,,,           -0.0479,            8.9962,            8.0836,           17.8442,          -73.5999,           -3.2521,            3.0528,           -0.7136,           -0.2250,          -89.7323,
Ref 18,2.80346e-08,,,,,,1.1940e-02,4.1870e-03,4.8769e-05,4.6295e-06,6.7878e-08,,,,,,,,,,,
Sam 18,2.82579e-08,1.19398e-02,4.2246e-03,4.9161e-05,4.7099e-06,6.4589e-08,,,,,,           -0.0398,            8.9847,            8.1618,           17.5851,          -49.0080,           -3.2430,            3.0413,           -0.6333,           -0.4568,          -65.5558,
Ref 19,2.77834e-08,,,,,,1.1940e-02,4.1870e-03,4.8757e-05,4.6276e-06,6.7958e-08,,,,,,,,,,,
Sam 19,2.79988e-08,1.19397e-02,4.2246e-03,4.9171e-05,4.7135e-06,6.3878e-08,,,,,,           -0.0418,            8.9996,            8.4475,           18.6256,          -59.8408,           -3.2456,            3.0562,           -0.3626,            0.5356,          -76.2252,
Ref 20,2.75373e-08,,,,,,1.1940e-02,4.1870e-03,4.8761e-05,4.6269e-06,6.7929e-08,,,,,,,,,,,
Sam 20,2.77469e-08,1.19397e-02,4.2246e-03,4.9162e-05,4.7105e-06,6.3961e-08,,,,,,           -0.0425,            8.9962,            8.2280,           18.0017,          -39.5896,           -3.2463,            3.0528,           -0.5760,           -0.0703,          -56.3197,
Ref 21,2.72899e-08,,,,,,1.1940e-02,4.1870e-03,4.8761e-05,4.6274e-06,6.5255e-08,,,,,,,,,,,


