Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 20:39 with Stable 1.69.5 on PS019,Reanalyzed on Saturday, June 16, 2018 at 21:39 with Stable 1.69.5 on PS019

Data File = Data_5969 CYC17-49B D.txt,    Sample Weight = 407,                      Vial Location = 18,                       Initial Sam Beam = 7.0465e-08,            ColdFinger Status = CF,                   Min Ref Beam = 4.2536e-08,                Max Ref Beam = 1.0612e-07,                
Analysis undertaken at mass 46.01241
Analysis undertaken at mass 46.01241
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.32776e-08,,,,,,1.1942e-02,4.1872e-03,4.8761e-05,4.6239e-06,6.4365e-08,,,,,,,,,,,
Sam 1,6.32246e-08,1.20298e-02,4.2427e-03,4.9753e-05,4.7481e-06,6.2798e-08,,,,,,            7.3844,           13.2595,           20.3553,           26.5313,          -17.1046,            4.5108,            7.2792,           -0.3943,           -0.1592,          -49.7090,
Ref 2,6.20189e-08,,,,,,1.1942e-02,4.1872e-03,4.8759e-05,4.6269e-06,6.3408e-08,,,,,,,,,,,
Sam 2,6.19767e-08,1.20300e-02,4.2428e-03,4.9751e-05,4.7488e-06,6.2248e-08,,,,,,            7.3857,           13.2664,           20.3396,           26.3689,          -29.0907,            4.5120,            7.2861,           -0.4178,           -0.3310,          -61.3115,
Ref 3,6.07550e-08,,,,,,1.1942e-02,4.1873e-03,4.8760e-05,4.6267e-06,6.4833e-08,,,,,,,,,,,
Sam 3,6.07433e-08,1.20302e-02,4.2429e-03,4.9758e-05,4.7490e-06,6.3506e-08,,,,,,            7.3899,           13.2727,           20.4449,           26.5633,          -19.0403,            4.5163,            7.2923,           -0.3251,           -0.1541,          -51.6105,
Ref 4,5.95067e-08,,,,,,1.1942e-02,4.1874e-03,4.8761e-05,4.6256e-06,6.4642e-08,,,,,,,,,,,
Sam 4,5.95869e-08,1.20301e-02,4.2429e-03,4.9755e-05,4.7469e-06,6.2620e-08,,,,,,            7.3869,           13.2687,           20.3310,           25.9611,          -29.6220,            4.5132,            7.2883,           -0.4297,           -0.7327,          -61.8305,
Ref 5,5.83038e-08,,,,,,1.1942e-02,4.1873e-03,4.8766e-05,4.6281e-06,6.4418e-08,,,,,,,,,,,
Sam 5,5.84425e-08,1.20301e-02,4.2429e-03,4.9755e-05,4.7510e-06,6.3873e-08,,,,,,            7.3881,           13.2769,           20.3072,           26.6093,          -17.6948,            4.5142,            7.2965,           -0.4621,           -0.1176,          -50.3155,
Ref 6,5.71126e-08,,,,,,1.1942e-02,4.1874e-03,4.8763e-05,4.6276e-06,6.5643e-08,,,,,,,,,,,
Sam 6,5.73188e-08,1.20301e-02,4.2429e-03,4.9752e-05,4.7498e-06,6.3550e-08,,,,,,            7.3788,           13.2586,           20.3384,           26.3344,          -27.4792,            4.5049,            7.2783,           -0.4043,           -0.3492,          -59.7323,
Ref 7,5.59729e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6282e-06,6.5043e-08,,,,,,,,,,,
Sam 7,5.62228e-08,1.20300e-02,4.2429e-03,4.9751e-05,4.7508e-06,6.4131e-08,,,,,,            7.3848,           13.2633,           20.3633,           26.6549,           -9.7799,            4.5112,            7.2830,           -0.3907,           -0.0464,          -42.6350,
Ref 8,5.48484e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6266e-06,6.4479e-08,,,,,,,,,,,
Sam 8,5.51548e-08,1.20300e-02,4.2429e-03,4.9749e-05,4.7473e-06,6.3398e-08,,,,,,            7.3884,           13.2587,           20.2585,           26.0707,          -24.6382,            4.5152,            7.2784,           -0.4925,           -0.6062,          -56.9954,
Ref 9,5.37612e-08,,,,,,1.1942e-02,4.1874e-03,4.8763e-05,4.6267e-06,6.5530e-08,,,,,,,,,,,
Sam 9,5.41338e-08,1.20300e-02,4.2428e-03,4.9759e-05,4.7496e-06,6.3269e-08,,,,,,            7.3792,           13.2340,           20.4196,           26.5672,          -28.1102,            4.5063,            7.2539,           -0.3014,           -0.0740,          -60.2981,
Ref 10,5.27265e-08,,,,,,1.1942e-02,4.1874e-03,4.8764e-05,4.6267e-06,6.4659e-08,,,,,,,,,,,
Sam 10,5.31071e-08,1.20300e-02,4.2429e-03,4.9761e-05,4.7497e-06,6.4287e-08,,,,,,            7.3867,           13.2629,           20.4050,           26.3394,          -11.1039,            4.5132,            7.2826,           -0.3514,           -0.3528,          -43.9162,
Ref 11,5.17032e-08,,,,,,1.1942e-02,4.1874e-03,4.8768e-05,4.6290e-06,6.5365e-08,,,,,,,,,,,
Sam 11,5.21403e-08,1.20299e-02,4.2429e-03,4.9759e-05,4.7512e-06,6.4169e-08,,,,,,            7.3814,           13.2431,           20.4087,           26.3220,          -18.6991,            4.5082,            7.2629,           -0.3231,           -0.3308,          -51.2176,
Ref 12,5.06820e-08,,,,,,1.1942e-02,4.1874e-03,4.8760e-05,4.6297e-06,6.5419e-08,,,,,,,,,,,
Sam 12,5.11591e-08,1.20299e-02,4.2428e-03,4.9757e-05,4.7511e-06,6.3414e-08,,,,,,            7.3899,           13.2430,           20.4150,           26.6010,          -31.7392,            4.5173,            7.2627,           -0.3255,           -0.0587,          -63.8336,
Ref 13,4.97292e-08,,,,,,1.1942e-02,4.1874e-03,4.8763e-05,4.6263e-06,6.5569e-08,,,,,,,,,,,
Sam 13,5.02232e-08,1.20298e-02,4.2429e-03,4.9757e-05,4.7500e-06,6.4130e-08,,,,,,            7.3817,           13.2589,           20.3713,           26.6625,          -26.3917,            4.5080,            7.2786,           -0.3754,           -0.0302,          -58.6843,
Ref 14,4.87775e-08,,,,,,1.1942e-02,4.1874e-03,4.8764e-05,4.6271e-06,6.6173e-08,,,,,,,,,,,
Sam 14,4.93180e-08,1.20297e-02,4.2428e-03,4.9756e-05,4.7505e-06,6.3207e-08,,,,,,            7.3739,           13.2427,           20.3490,           26.6125,          -35.7962,            4.5003,            7.2625,           -0.3735,           -0.0469,          -67.7399,
Ref 15,4.78526e-08,,,,,,1.1942e-02,4.1874e-03,4.8763e-05,4.6277e-06,6.4923e-08,,,,,,,,,,,
Sam 15,4.84142e-08,1.20297e-02,4.2429e-03,4.9756e-05,4.7509e-06,6.4269e-08,,,,,,            7.3804,           13.2509,           20.2885,           26.5354,          -11.9974,            4.5069,            7.2706,           -0.4473,           -0.1382,          -44.7513,
Ref 16,4.69592e-08,,,,,,1.1942e-02,4.1874e-03,4.8770e-05,4.6285e-06,6.5179e-08,,,,,,,,,,,
Sam 16,4.75405e-08,1.20297e-02,4.2428e-03,4.9752e-05,4.7487e-06,6.3137e-08,,,,,,            7.3866,           13.2532,           20.1975,           26.0065,          -31.7090,            4.5135,            7.2729,           -0.5452,           -0.6580,          -63.8199,
Ref 17,4.60832e-08,,,,,,1.1942e-02,4.1873e-03,4.8765e-05,4.6282e-06,6.5231e-08,,,,,,,,,,,
Sam 17,4.66878e-08,1.20296e-02,4.2429e-03,4.9760e-05,4.7498e-06,6.4290e-08,,,,,,            7.3803,           13.2406,           20.3845,           26.3863,          -10.9265,            4.5072,            7.2604,           -0.3434,           -0.2632,          -43.6969,
Ref 18,4.52267e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6273e-06,6.4766e-08,,,,,,,,,,,
Sam 18,4.58590e-08,1.20296e-02,4.2429e-03,4.9762e-05,4.7515e-06,6.4727e-08,,,,,,            7.3799,           13.2401,           20.4265,           26.6218,           -5.1204,            4.5067,            7.2599,           -0.3012,           -0.0329,          -38.0818,
Ref 19,4.43974e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6293e-06,6.5360e-08,,,,,,,,,,,
Sam 19,4.50394e-08,1.20296e-02,4.2428e-03,4.9760e-05,4.7462e-06,6.4480e-08,,,,,,            7.3787,           13.2425,           20.3953,           25.4720,           -6.0071,            4.5053,            7.2623,           -0.3328,           -1.1574,          -38.9423,
Ref 20,4.35882e-08,,,,,,1.1941e-02,4.1873e-03,4.8766e-05,4.6273e-06,6.4370e-08,,,,,,,,,,,
Sam 20,4.42356e-08,1.20295e-02,4.2428e-03,4.9760e-05,4.7511e-06,6.4350e-08,,,,,,            7.3768,           13.2430,           20.3824,           26.5169,          -16.5162,            4.5034,            7.2628,           -0.3440,           -0.1406,          -49.1022,
Ref 21,4.27850e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6294e-06,6.6510e-08,,,,,,,,,,,


Ref 1,4.23658e-08,,,,,,1.1942e-02,4.1875e-03,4.8772e-05,4.6288e-06,6.5484e-08,,,,,,,,,,,
Sam 1,4.30611e-08,1.20295e-02,4.2428e-03,4.9762e-05,4.7505e-06,6.6769e-08,,,,,,            7.3783,           13.2229,           20.2911,           26.0666,            7.5237,            4.5057,            7.2428,           -0.4156,           -0.5397,          -25.8224,
Ref 2,4.16304e-08,,,,,,1.1941e-02,4.1873e-03,4.8773e-05,4.6308e-06,6.7071e-08,,,,,,,,,,,
Sam 2,4.22992e-08,1.20294e-02,4.2427e-03,4.9752e-05,4.7526e-06,6.5325e-08,,,,,,            7.3882,           13.2104,           20.1032,           26.6519,          -35.8322,            4.5166,            7.2303,           -0.5975,            0.0553,          -67.7303,
Ref 3,4.08657e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6275e-06,6.8448e-08,,,,,,,,,,,
Sam 3,4.15160e-08,1.20295e-02,4.2428e-03,4.9766e-05,4.7520e-06,6.4680e-08,,,,,,            7.3770,           13.2082,           20.4622,           26.9026,          -52.2122,            4.5047,            7.2282,           -0.2323,            0.3036,          -83.5537,
Ref 4,4.01159e-08,,,,,,1.1942e-02,4.1875e-03,4.8767e-05,4.6275e-06,6.8034e-08,,,,,,,,,,,
Sam 4,4.07702e-08,1.20296e-02,4.2429e-03,4.9765e-05,4.7536e-06,6.4688e-08,,,,,,            7.3810,           13.2348,           20.4673,           27.1463,          -49.9556,            4.5081,            7.2547,           -0.2573,            0.4884,          -81.4231,
Ref 5,3.94153e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6284e-06,6.8145e-08,,,,,,,,,,,
Sam 5,4.00605e-08,1.20296e-02,4.2429e-03,4.9766e-05,4.7520e-06,6.5311e-08,,,,,,            7.3827,           13.2335,           20.4925,           26.4175,          -32.1005,            4.5099,            7.2534,           -0.2330,           -0.2188,          -64.1587,
Ref 6,3.87169e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6310e-06,6.6798e-08,,,,,,,,,,,
Sam 6,3.93680e-08,1.20295e-02,4.2429e-03,4.9762e-05,4.7487e-06,6.4743e-08,,,,,,            7.3800,           13.2485,           20.3178,           25.4626,          -42.3137,            4.5065,            7.2682,           -0.4159,           -1.1784,          -74.0578,
Ref 7,3.80497e-08,,,,,,1.1941e-02,4.1874e-03,4.8774e-05,4.6306e-06,6.8424e-08,,,,,,,,,,,
Sam 7,3.86887e-08,1.20294e-02,4.2429e-03,4.9759e-05,4.7523e-06,6.6777e-08,,,,,,            7.3773,           13.2388,           20.1900,           26.4649,          -11.2797,            4.5040,            7.2587,           -0.5290,           -0.1832,          -44.0320,
Ref 8,3.73878e-08,,,,,,1.1941e-02,4.1874e-03,4.8775e-05,4.6290e-06,6.6637e-08,,,,,,,,,,,
Sam 8,3.80215e-08,1.20295e-02,4.2429e-03,4.9766e-05,4.7535e-06,6.5489e-08,,,,,,            7.3867,           13.2465,           20.3198,           26.8524,          -22.0122,            4.5138,            7.2663,           -0.4190,            0.1792,          -54.4324,
Ref 9,3.67463e-08,,,,,,1.1941e-02,4.1874e-03,4.8774e-05,4.6294e-06,6.7294e-08,,,,,,,,,,,
Sam 9,3.73710e-08,1.20295e-02,4.2429e-03,4.9766e-05,4.7534e-06,6.5031e-08,,,,,,            7.3892,           13.2395,           20.4046,           27.0509,          -36.1757,            4.5166,            7.2593,           -0.3315,            0.3864,          -68.1161,
Ref 10,3.61214e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6269e-06,6.7652e-08,,,,,,,,,,,
Sam 10,3.67438e-08,1.20294e-02,4.2429e-03,4.9760e-05,4.7507e-06,6.5640e-08,,,,,,            7.3842,           13.2330,           20.2876,           26.3307,          -39.2571,            4.5115,            7.2528,           -0.4347,           -0.3023,          -71.0787,
Ref 11,3.55020e-08,,,,,,1.1941e-02,4.1875e-03,4.8774e-05,4.6307e-06,6.9003e-08,,,,,,,,,,,
Sam 11,3.61247e-08,1.20293e-02,4.2428e-03,4.9765e-05,4.7503e-06,6.6027e-08,,,,,,            7.3810,           13.2289,           20.3752,           26.1346,          -29.5779,            4.5083,            7.2488,           -0.3418,           -0.4852,          -61.7096,
Ref 12,3.49151e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6280e-06,6.7059e-08,,,,,,,,,,,
Sam 12,3.55173e-08,1.20293e-02,4.2428e-03,4.9767e-05,4.7515e-06,6.4518e-08,,,,,,            7.3878,           13.2295,           20.4154,           26.6014,          -48.8704,            4.5155,            7.2493,           -0.3099,           -0.0317,          -80.3709,
Ref 13,3.43218e-08,,,,,,1.1941e-02,4.1874e-03,4.8773e-05,4.6288e-06,6.8620e-08,,,,,,,,,,,
Sam 13,3.49265e-08,1.20291e-02,4.2427e-03,4.9763e-05,4.7545e-06,6.4032e-08,,,,,,            7.3709,           13.2297,           20.2911,           27.1964,          -55.7223,            4.4976,            7.2496,           -0.4146,            0.5474,          -86.9801,
Ref 14,3.37483e-08,,,,,,1.1941e-02,4.1873e-03,4.8773e-05,4.6284e-06,6.6988e-08,,,,,,,,,,,
Sam 14,3.43408e-08,1.20293e-02,4.2428e-03,4.9762e-05,4.7512e-06,6.7046e-08,,,,,,            7.3964,           13.2465,           20.3363,           26.5508,          -11.9004,            4.5241,            7.2663,           -0.4127,           -0.1147,          -44.6656,
Ref 15,3.32067e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6283e-06,6.8733e-08,,,,,,,,,,,
Sam 15,3.37854e-08,1.20292e-02,4.2427e-03,4.9757e-05,4.7489e-06,6.6867e-08,,,,,,            7.3850,           13.2291,           20.2121,           26.1245,          -18.3635,            4.5126,            7.2490,           -0.5058,           -0.4956,          -50.8709,
Ref 16,3.26482e-08,,,,,,1.1941e-02,4.1873e-03,4.8775e-05,4.6277e-06,6.7493e-08,,,,,,,,,,,
Sam 16,3.32171e-08,1.20291e-02,4.2428e-03,4.9765e-05,4.7482e-06,6.6310e-08,,,,,,            7.3748,           13.2379,           20.3601,           25.9124,          -21.9216,            4.5014,            7.2578,           -0.3589,           -0.7195,          -54.3172,
Ref 17,3.21160e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6289e-06,6.8105e-08,,,,,,,,,,,
Sam 17,3.26490e-08,1.20291e-02,4.2428e-03,4.9763e-05,4.7513e-06,6.5301e-08,,,,,,            7.3877,           13.2374,           20.4132,           26.3378,          -52.4968,            4.5151,            7.2572,           -0.3195,           -0.3040,          -83.8911,
Ref 18,3.16066e-08,,,,,,1.1941e-02,4.1873e-03,4.8766e-05,4.6298e-06,6.9746e-08,,,,,,,,,,,
Sam 18,3.21179e-08,1.20291e-02,4.2428e-03,4.9752e-05,4.7504e-06,6.7210e-08,,,,,,            7.3905,           13.2494,           20.1634,           26.0723,          -20.8364,            4.5177,            7.2691,           -0.5789,           -0.5863,          -53.3047,
Ref 19,3.10848e-08,,,,,,1.1941e-02,4.1873e-03,4.8771e-05,4.6296e-06,6.7517e-08,,,,,,,,,,,
Sam 19,3.15871e-08,1.20290e-02,4.2427e-03,4.9764e-05,4.7494e-06,6.6488e-08,,,,,,            7.3766,           13.2249,           20.2761,           25.7986,          -26.5482,            4.5037,            7.2448,           -0.4304,           -0.8047,          -58.7686,
Ref 20,3.05746e-08,,,,,,1.1941e-02,4.1874e-03,4.8780e-05,4.6304e-06,6.9099e-08,,,,,,,,,,,
Sam 20,3.10756e-08,1.20290e-02,4.2427e-03,4.9759e-05,4.7526e-06,6.7577e-08,,,,,,            7.3735,           13.2085,           20.1848,           27.0845,          -16.7712,            4.5011,            7.2284,           -0.5008,            0.4804,          -49.2817,
Ref 21,3.00763e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6241e-06,6.8354e-08,,,,,,,,,,,


Ref 1,2.98390e-08,,,,,,1.1941e-02,4.1872e-03,4.8770e-05,4.6284e-06,6.7153e-08,,,,,,,,,,,
Sam 1,3.03208e-08,1.20289e-02,4.2426e-03,4.9765e-05,4.7492e-06,6.7112e-08,,,,,,            7.3758,           13.2140,           20.3890,           26.0135,          -16.9154,            4.5033,            7.2339,           -0.3083,           -0.5737,          -49.4335,
Ref 2,2.93709e-08,,,,,,1.1941e-02,4.1872e-03,4.8771e-05,4.6292e-06,6.9399e-08,,,,,,,,,,,
Sam 2,2.98383e-08,1.20286e-02,4.2426e-03,4.9759e-05,4.7515e-06,6.4476e-08,,,,,,            7.3632,           13.2278,           20.2207,           26.7130,          -79.3545,            4.4894,            7.2477,           -0.4738,            0.0804,         -109.8193,
Ref 3,2.88971e-08,,,,,,1.1941e-02,4.1873e-03,4.8775e-05,4.6266e-06,7.0679e-08,,,,,,,,,,,
Sam 3,2.93528e-08,1.20285e-02,4.2425e-03,4.9760e-05,4.7499e-06,6.9649e-08,,,,,,            7.3701,           13.2148,           20.2798,           25.9640,          -10.2308,            4.4972,            7.2347,           -0.4103,           -0.6235,          -42.9658,
Ref 4,2.84659e-08,,,,,,1.1940e-02,4.1871e-03,4.8768e-05,4.6328e-06,7.0054e-08,,,,,,,,,,,
Sam 4,2.88662e-08,1.20287e-02,4.2426e-03,4.9770e-05,4.7494e-06,6.6511e-08,,,,,,            7.4003,           13.2429,           20.5432,           25.6203,          -72.0352,            4.5284,            7.2626,           -0.2104,           -1.0137,         -102.8037,
Ref 5,2.80142e-08,,,,,,1.1940e-02,4.1871e-03,4.8768e-05,4.6287e-06,7.3321e-08,,,,,,,,,,,
Sam 5,2.84263e-08,1.20286e-02,4.2424e-03,4.9757e-05,4.7517e-06,6.6628e-08,,,,,,            7.3889,           13.2051,           20.2482,           26.4300,          -82.9014,            4.5175,            7.2251,           -0.4511,           -0.1506,         -113.2339,
Ref 6,2.75882e-08,,,,,,1.1940e-02,4.1871e-03,4.8771e-05,4.6300e-06,7.1971e-08,,,,,,,,,,,
Sam 6,2.79452e-08,1.20287e-02,4.2426e-03,4.9763e-05,4.7497e-06,6.7116e-08,,,,,,            7.3949,           13.2541,           20.3035,           25.9752,          -66.3122,            4.5222,            7.2738,           -0.4507,           -0.6903,          -97.2849,
Ref 7,2.71408e-08,,,,,,1.1940e-02,4.1871e-03,4.8774e-05,4.6288e-06,7.1794e-08,,,,,,,,,,,
Sam 7,2.75029e-08,1.20286e-02,4.2425e-03,4.9764e-05,4.7506e-06,7.0049e-08,,,,,,            7.3797,           13.2278,           20.3364,           26.4998,          -36.4321,            4.5070,            7.2477,           -0.3773,           -0.1274,          -68.3336,
Ref 8,2.67170e-08,,,,,,1.1940e-02,4.1872e-03,4.8771e-05,4.6270e-06,7.3615e-08,,,,,,,,,,,
Sam 8,2.70738e-08,1.20285e-02,4.2424e-03,4.9759e-05,4.7502e-06,6.7018e-08,,,,,,            7.3781,           13.2082,           20.1827,           26.7038,          -83.8420,            4.5059,            7.2281,           -0.5072,            0.1101,         -114.1385,
Ref 9,2.63033e-08,,,,,,1.1940e-02,4.1871e-03,4.8778e-05,4.6262e-06,7.2679e-08,,,,,,,,,,,
Sam 9,2.66426e-08,1.20285e-02,4.2424e-03,4.9767e-05,4.7502e-06,6.9592e-08,,,,,,            7.3817,           13.2230,           20.3363,           26.2967,          -36.3738,            4.5093,            7.2429,           -0.3748,           -0.3157,          -68.2706,
Ref 10,2.59054e-08,,,,,,1.1940e-02,4.1870e-03,4.8772e-05,4.6308e-06,7.1752e-08,,,,,,,,,,,
Sam 10,2.62262e-08,1.20286e-02,4.2425e-03,4.9766e-05,4.7511e-06,6.5311e-08,,,,,,            7.3992,           13.2405,           20.3941,           26.0282,         -108.1112,            4.5273,            7.2603,           -0.3531,           -0.6117,         -137.6785,
Ref 11,2.55159e-08,,,,,,1.1940e-02,4.1870e-03,4.8770e-05,4.6303e-06,7.4726e-08,,,,,,,,,,,
Sam 11,2.58216e-08,1.20284e-02,4.2424e-03,4.9767e-05,4.7504e-06,6.8080e-08,,,,,,            7.3890,           13.2280,           20.3896,           26.3329,          -77.7706,            4.5169,            7.2478,           -0.3349,           -0.2902,         -108.3125,
Ref 12,2.51315e-08,,,,,,1.1940e-02,4.1870e-03,4.8775e-05,4.6267e-06,7.2902e-08,,,,,,,,,,,
Sam 12,2.54143e-08,1.20283e-02,4.2424e-03,4.9756e-05,4.7551e-06,6.6553e-08,,,,,,            7.3795,           13.2275,           20.1076,           27.3087,          -77.4133,            4.5067,            7.2473,           -0.6009,            0.6613,         -107.9571,
Ref 13,2.47492e-08,,,,,,1.1940e-02,4.1870e-03,4.8775e-05,4.6306e-06,7.1362e-08,,,,,,,,,,,
Sam 13,2.50213e-08,1.20282e-02,4.2423e-03,4.9763e-05,4.7507e-06,6.7734e-08,,,,,,            7.3746,           13.2124,           20.3088,           25.9521,          -49.9627,            4.5020,            7.2323,           -0.3842,           -0.6304,          -81.3838,
Ref 14,2.43807e-08,,,,,,1.1940e-02,4.1869e-03,4.8770e-05,4.6305e-06,7.1230e-08,,,,,,,,,,,
Sam 14,2.46305e-08,1.20283e-02,4.2423e-03,4.9756e-05,4.7510e-06,6.9339e-08,,,,,,            7.3901,           13.2336,           20.2169,           26.4736,           -9.1464,            4.5178,            7.2534,           -0.5107,           -0.1643,          -41.9726,
Ref 15,2.40184e-08,,,,,,1.1940e-02,4.1868e-03,4.8770e-05,4.6264e-06,6.8709e-08,,,,,,,,,,,
Sam 15,2.42547e-08,1.20282e-02,4.2422e-03,4.9758e-05,4.7504e-06,6.6794e-08,,,,,,            7.3788,           13.2089,           20.2557,           26.5332,          -52.1421,            4.5066,            7.2289,           -0.4371,           -0.0575,          -83.4889,
Ref 16,2.36643e-08,,,,,,1.1940e-02,4.1869e-03,4.8770e-05,4.6289e-06,7.2253e-08,,,,,,,,,,,
Sam 16,2.38796e-08,1.20280e-02,4.2422e-03,4.9758e-05,4.7484e-06,6.9370e-08,,,,,,            7.3776,           13.1962,           20.2764,           25.9933,          -43.0003,            4.5058,            7.2162,           -0.4033,           -0.5583,          -74.6255,
Ref 17,2.33141e-08,,,,,,1.1940e-02,4.1869e-03,4.8767e-05,4.6274e-06,7.2725e-08,,,,,,,,,,,
Sam 17,2.35092e-08,1.20282e-02,4.2423e-03,4.9758e-05,4.7468e-06,6.6006e-08,,,,,,            7.3942,           13.2295,           20.2724,           25.7948,          -90.1985,            4.5223,            7.2493,           -0.4565,           -0.8174,         -120.3362,
Ref 18,2.29706e-08,,,,,,1.1940e-02,4.1869e-03,4.8772e-05,4.6275e-06,7.2372e-08,,,,,,,,,,,
Sam 18,2.31516e-08,1.20281e-02,4.2422e-03,4.9762e-05,4.7512e-06,6.7095e-08,,,,,,            7.3887,           13.2200,           20.3014,           26.6007,          -60.6758,            4.5168,            7.2399,           -0.4132,           -0.0136,          -91.7695,
Ref 19,2.26334e-08,,,,,,1.1940e-02,4.1869e-03,4.8772e-05,4.6288e-06,7.0472e-08,,,,,,,,,,,
Sam 19,2.27963e-08,1.20279e-02,4.2420e-03,4.9757e-05,4.7489e-06,6.6901e-08,,,,,,            7.3775,           13.1775,           20.1970,           26.0981,          -58.4707,            4.5063,            7.1976,           -0.4627,           -0.4194,          -89.5514,
Ref 20,2.23015e-08,,,,,,1.1940e-02,4.1869e-03,4.8771e-05,4.6274e-06,7.1649e-08,,,,,,,,,,,
Sam 20,2.24477e-08,1.20280e-02,4.2421e-03,4.9761e-05,4.7514e-06,6.7526e-08,,,,,,            7.3751,           13.2008,           20.2723,           26.8696,          -76.4788,            4.5030,            7.2208,           -0.4091,            0.2862,         -107.0032,
Ref 21,2.19800e-08,,,,,,1.1940e-02,4.1868e-03,4.8774e-05,4.6268e-06,7.4609e-08,,,,,,,,,,,


