Nu Stable Isotope Analysis Program
Data Collected on Saturday, June 16, 2018 at 23:25 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, June 17, 2018 at 00:25 with Stable 1.69.5 on PS019

Data File = Data_5971 ETH-03.txt,         Sample Weight = 507,                      Vial Location = 20,                       Initial Sam Beam = 1.4556e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1396e-08,                Max Ref Beam = 1.0637e-07,                
Analysis undertaken at mass 46.01243
Analysis undertaken at mass 46.01243
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.39068e-08,,,,,,1.1942e-02,4.1874e-03,4.8751e-05,4.6249e-06,6.1938e-08,,,,,,,,,,,
Sam 1,6.37614e-08,1.19999e-02,4.2405e-03,4.9588e-05,4.7427e-06,6.0570e-08,,,,,,            4.8475,           12.6647,           17.1274,           25.1945,          -21.0314,            1.8314,            6.6929,           -0.3869,           -0.2880,          -49.8685,
Ref 2,6.31797e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6274e-06,6.1804e-08,,,,,,,,,,,
Sam 2,6.30097e-08,1.20000e-02,4.2407e-03,4.9594e-05,4.7445e-06,6.0657e-08,,,,,,            4.8524,           12.6984,           17.1547,           25.4499,          -15.1206,            1.8355,            6.7263,           -0.3978,           -0.1053,          -44.1993,
Ref 3,6.24527e-08,,,,,,1.1942e-02,4.1875e-03,4.8759e-05,4.6260e-06,6.1370e-08,,,,,,,,,,,
Sam 3,6.23576e-08,1.19998e-02,4.2406e-03,4.9596e-05,4.7447e-06,6.0996e-08,,,,,,            4.8473,           12.6838,           17.1740,           25.6315,          -13.8667,            1.8305,            6.7119,           -0.3594,            0.1005,          -42.9501,
Ref 4,6.17156e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6263e-06,6.2343e-08,,,,,,,,,,,
Sam 4,6.16451e-08,1.19999e-02,4.2406e-03,4.9593e-05,4.7436e-06,6.0367e-08,,,,,,            4.8546,           12.6738,           17.1488,           25.2573,          -34.6727,            1.8387,            6.7019,           -0.3819,           -0.2446,          -63.1315,
Ref 5,6.09486e-08,,,,,,1.1942e-02,4.1876e-03,4.8757e-05,4.6271e-06,6.2729e-08,,,,,,,,,,,
Sam 5,6.09612e-08,1.20000e-02,4.2406e-03,4.9593e-05,4.7442e-06,6.0665e-08,,,,,,            4.8459,           12.6588,           17.1517,           25.2964,          -23.9096,            1.8299,            6.6870,           -0.3556,           -0.1770,          -52.6495,
Ref 6,6.02109e-08,,,,,,1.1942e-02,4.1877e-03,4.8757e-05,4.6271e-06,6.1567e-08,,,,,,,,,,,
Sam 6,6.02868e-08,1.19999e-02,4.2407e-03,4.9597e-05,4.7424e-06,5.9704e-08,,,,,,            4.8449,           12.6746,           17.2173,           25.0130,          -39.4047,            1.8283,            6.7027,           -0.3054,           -0.4845,          -67.7159,
Ref 7,5.95070e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6263e-06,6.2746e-08,,,,,,,,,,,
Sam 7,5.96208e-08,1.19999e-02,4.2406e-03,4.9593e-05,4.7415e-06,6.0521e-08,,,,,,            4.8399,           12.6676,           17.1243,           24.6830,          -33.6501,            1.8232,            6.6957,           -0.3849,           -0.7924,          -62.1132,
Ref 8,5.88058e-08,,,,,,1.1942e-02,4.1875e-03,4.8759e-05,4.6283e-06,6.2509e-08,,,,,,,,,,,
Sam 8,5.89416e-08,1.19999e-02,4.2406e-03,4.9586e-05,4.7436e-06,6.1142e-08,,,,,,            4.8408,           12.6793,           16.9743,           25.1235,          -14.6244,            1.8237,            6.7074,           -0.5446,           -0.3859,          -43.6705,
Ref 9,5.80884e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6264e-06,6.1585e-08,,,,,,,,,,,
Sam 9,5.82971e-08,1.19999e-02,4.2407e-03,4.9596e-05,4.7454e-06,6.0340e-08,,,,,,            4.8548,           12.6883,           17.1528,           25.5912,          -22.8888,            1.8383,            6.7164,           -0.3923,            0.0522,          -51.7220,
Ref 10,5.74442e-08,,,,,,1.1942e-02,4.1875e-03,4.8760e-05,4.6275e-06,6.1924e-08,,,,,,,,,,,
Sam 10,5.76547e-08,1.19999e-02,4.2407e-03,4.9591e-05,4.7443e-06,6.0993e-08,,,,,,            4.8506,           12.6959,           17.0663,           25.3287,          -18.1104,            1.8337,            6.7239,           -0.4804,           -0.2187,          -47.0944,
Ref 11,5.67555e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6266e-06,6.2316e-08,,,,,,,,,,,
Sam 11,5.70199e-08,1.19999e-02,4.2407e-03,4.9591e-05,4.7450e-06,6.2090e-08,,,,,,            4.8442,           12.6783,           17.1363,           25.4141,          -13.9540,            1.8274,            6.7064,           -0.3880,           -0.1007,          -43.0216,
Ref 12,5.60849e-08,,,,,,1.1942e-02,4.1876e-03,4.8754e-05,4.6283e-06,6.3628e-08,,,,,,,,,,,
Sam 12,5.64097e-08,1.19998e-02,4.2407e-03,4.9596e-05,4.7425e-06,6.1376e-08,,,,,,            4.8421,           12.6857,           17.1934,           24.7541,          -28.7599,            1.8250,            6.7138,           -0.3368,           -0.7589,          -57.4024,
Ref 13,5.54338e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6277e-06,6.2753e-08,,,,,,,,,,,
Sam 13,5.57995e-08,1.19999e-02,4.2406e-03,4.9592e-05,4.7422e-06,6.0387e-08,,,,,,            4.8516,           12.6814,           17.0352,           24.9025,          -40.4582,            1.8352,            6.7095,           -0.4980,           -0.6057,          -68.7573,
Ref 14,5.47926e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6263e-06,6.3116e-08,,,,,,,,,,,
Sam 14,5.51987e-08,1.19998e-02,4.2407e-03,4.9598e-05,4.7459e-06,6.0776e-08,,,,,,            4.8494,           12.6909,           17.1540,           25.5799,          -27.3685,            1.8326,            6.7189,           -0.3882,            0.0361,          -56.0689,
Ref 15,5.41631e-08,,,,,,1.1942e-02,4.1875e-03,4.8762e-05,4.6288e-06,6.1848e-08,,,,,,,,,,,
Sam 15,5.45852e-08,1.19997e-02,4.2406e-03,4.9593e-05,4.7450e-06,6.0479e-08,,,,,,            4.8482,           12.6693,           17.0858,           25.2321,          -19.6809,            1.8320,            6.6974,           -0.4329,           -0.2603,          -48.5669,
Ref 16,5.35515e-08,,,,,,1.1942e-02,4.1875e-03,4.8757e-05,4.6276e-06,6.1536e-08,,,,,,,,,,,
Sam 16,5.40053e-08,1.19996e-02,4.2405e-03,4.9599e-05,4.7443e-06,6.0248e-08,,,,,,            4.8508,           12.6653,           17.3136,           25.0327,          -31.6569,            1.8349,            6.6935,           -0.2078,           -0.4469,          -60.1854,
Ref 17,5.29310e-08,,,,,,1.1942e-02,4.1874e-03,4.8752e-05,4.6293e-06,6.2906e-08,,,,,,,,,,,
Sam 17,5.34014e-08,1.19997e-02,4.2406e-03,4.9600e-05,4.7467e-06,6.1127e-08,,,,,,            4.8518,           12.7011,           17.3454,           25.5526,          -27.6134,            1.8348,            6.7291,           -0.2124,           -0.0107,          -56.3276,
Ref 18,5.23279e-08,,,,,,1.1942e-02,4.1875e-03,4.8756e-05,4.6276e-06,6.2818e-08,,,,,,,,,,,
Sam 18,5.28490e-08,1.19997e-02,4.2406e-03,4.9598e-05,4.7437e-06,6.0781e-08,,,,,,            4.8508,           12.6782,           17.2190,           24.9320,          -28.7601,            1.8344,            6.7062,           -0.3133,           -0.5705,          -57.3974,
Ref 19,5.17474e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6289e-06,6.2341e-08,,,,,,,,,,,
Sam 19,5.22543e-08,1.19997e-02,4.2405e-03,4.9593e-05,4.7452e-06,6.1100e-08,,,,,,            4.8574,           12.6721,           17.1099,           25.2631,          -21.8938,            1.8417,            6.7002,           -0.4214,           -0.2356,          -50.7290,
Ref 20,5.11571e-08,,,,,,1.1942e-02,4.1875e-03,4.8757e-05,4.6276e-06,6.2595e-08,,,,,,,,,,,
Sam 20,5.17139e-08,1.19996e-02,4.2405e-03,4.9591e-05,4.7463e-06,6.1223e-08,,,,,,            4.8551,           12.6738,           17.1155,           25.6009,          -17.7637,            1.8392,            6.7019,           -0.4152,            0.0904,          -46.7216,
Ref 21,5.05941e-08,,,,,,1.1942e-02,4.1874e-03,4.8756e-05,4.6281e-06,6.2062e-08,,,,,,,,,,,


Ref 1,5.03176e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6278e-06,6.2911e-08,,,,,,,,,,,
Sam 1,5.08666e-08,1.19996e-02,4.2406e-03,4.9595e-05,4.7443e-06,6.0489e-08,,,,,,            4.8594,           12.6824,           17.1406,           24.7684,          -48.8952,            1.8435,            6.7105,           -0.4033,           -0.7384,          -76.9549,
Ref 2,4.97280e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6315e-06,6.4294e-08,,,,,,,,,,,
Sam 2,5.03346e-08,1.19995e-02,4.2405e-03,4.9593e-05,4.7447e-06,6.1501e-08,,,,,,            4.8494,           12.6567,           17.0828,           24.8713,          -32.3672,            1.8337,            6.6849,           -0.4249,           -0.5874,          -60.8577,
Ref 3,4.91767e-08,,,,,,1.1942e-02,4.1875e-03,4.8759e-05,4.6276e-06,6.2815e-08,,,,,,,,,,,
Sam 3,4.97894e-08,1.19996e-02,4.2406e-03,4.9594e-05,4.7446e-06,6.1097e-08,,,,,,            4.8567,           12.6764,           17.0647,           25.3133,          -33.6234,            1.8408,            6.7045,           -0.4693,           -0.1952,          -62.1200,
Ref 4,4.86322e-08,,,,,,1.1942e-02,4.1875e-03,4.8766e-05,4.6272e-06,6.3636e-08,,,,,,,,,,,
Sam 4,4.92600e-08,1.19995e-02,4.2406e-03,4.9596e-05,4.7432e-06,6.0686e-08,,,,,,            4.8524,           12.6825,           17.0980,           24.8754,          -38.7857,            1.8361,            6.7105,           -0.4381,           -0.6341,          -67.1368,
Ref 5,4.81059e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6289e-06,6.2629e-08,,,,,,,,,,,
Sam 5,4.87401e-08,1.19996e-02,4.2405e-03,4.9597e-05,4.7450e-06,6.0380e-08,,,,,,            4.8612,           12.6597,           17.1456,           25.3297,          -40.5323,            1.8461,            6.6878,           -0.3781,           -0.1463,          -68.7993,
Ref 6,4.75713e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6267e-06,6.3235e-08,,,,,,,,,,,
Sam 6,4.82308e-08,1.19995e-02,4.2406e-03,4.9596e-05,4.7432e-06,6.2493e-08,,,,,,            4.8560,           12.6713,           17.1446,           24.8439,          -16.5551,            1.8402,            6.6994,           -0.3850,           -0.6428,          -45.5448,
Ref 7,4.70486e-08,,,,,,1.1942e-02,4.1875e-03,4.8756e-05,4.6298e-06,6.3858e-08,,,,,,,,,,,
Sam 7,4.77397e-08,1.19993e-02,4.2405e-03,4.9590e-05,4.7424e-06,6.0814e-08,,,,,,            4.8384,           12.6547,           17.1022,           24.7366,          -39.5659,            1.8221,            6.6830,           -0.3926,           -0.7148,          -67.8299,
Ref 8,4.65367e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6261e-06,6.2774e-08,,,,,,,,,,,
Sam 8,4.72383e-08,1.19993e-02,4.2405e-03,4.9592e-05,4.7441e-06,6.0142e-08,,,,,,            4.8452,           12.6590,           17.0787,           25.2257,          -41.1542,            1.8292,            6.6872,           -0.4269,           -0.2463,          -69.3860,
Ref 9,4.60416e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6287e-06,6.2672e-08,,,,,,,,,,,
Sam 9,4.67404e-08,1.19995e-02,4.2406e-03,4.9599e-05,4.7439e-06,6.0381e-08,,,,,,            4.8588,           12.6832,           17.1174,           24.8218,          -32.9818,            1.8428,            6.7113,           -0.4263,           -0.6880,          -61.5119,
Ref 10,4.55387e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6293e-06,6.2206e-08,,,,,,,,,,,
Sam 10,4.62579e-08,1.19992e-02,4.2405e-03,4.9595e-05,4.7459e-06,5.9692e-08,,,,,,            4.8359,           12.6565,           17.0209,           25.4386,          -43.0752,            1.8194,            6.6847,           -0.4717,           -0.0337,          -71.2368,
Ref 11,4.50502e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6269e-06,6.2555e-08,,,,,,,,,,,
Sam 11,4.57810e-08,1.19994e-02,4.2405e-03,4.9595e-05,4.7451e-06,6.1556e-08,,,,,,            4.8512,           12.6591,           17.1120,           25.6201,          -26.2165,            1.8356,            6.6872,           -0.4003,            0.1382,          -54.8942,
Ref 12,4.45725e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6262e-06,6.3879e-08,,,,,,,,,,,
Sam 12,4.53026e-08,1.19993e-02,4.2405e-03,4.9594e-05,4.7444e-06,6.1105e-08,,,,,,            4.8524,           12.6615,           17.1457,           25.5337,          -35.4660,            1.8367,            6.6896,           -0.3708,            0.0492,          -63.8768,
Ref 13,4.41006e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6264e-06,6.2819e-08,,,,,,,,,,,
Sam 13,4.48310e-08,1.19993e-02,4.2405e-03,4.9594e-05,4.7439e-06,5.9889e-08,,,,,,            4.8537,           12.6766,           17.1337,           25.2138,          -50.6469,            1.8376,            6.7047,           -0.3986,           -0.2927,          -78.6389,
Ref 14,4.36366e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6281e-06,6.3352e-08,,,,,,,,,,,
Sam 14,4.43654e-08,1.19993e-02,4.2405e-03,4.9588e-05,4.7427e-06,5.8369e-08,,,,,,            4.8488,           12.6515,           16.9355,           24.6340,          -64.3750,            1.8332,            6.6797,           -0.5639,           -0.8084,          -91.9132,
Ref 15,4.31714e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6292e-06,6.1409e-08,,,,,,,,,,,
Sam 15,4.39007e-08,1.19992e-02,4.2405e-03,4.9604e-05,4.7454e-06,5.9615e-08,,,,,,            4.8468,           12.6682,           17.1990,           25.3272,          -43.9467,            1.8306,            6.6963,           -0.3191,           -0.1653,          -72.1143,
Ref 16,4.27099e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6272e-06,6.3311e-08,,,,,,,,,,,
Sam 16,4.34513e-08,1.19993e-02,4.2405e-03,4.9597e-05,4.7474e-06,6.0194e-08,,,,,,            4.8523,           12.6725,           17.0708,           26.0194,          -52.6879,            1.8363,            6.7006,           -0.4550,            0.5011,          -80.6110,
Ref 17,4.22648e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6269e-06,6.3775e-08,,,,,,,,,,,
Sam 17,4.30036e-08,1.19992e-02,4.2405e-03,4.9596e-05,4.7444e-06,6.0430e-08,,,,,,            4.8440,           12.6491,           17.0609,           25.0311,          -54.1322,            1.8282,            6.6773,           -0.4334,           -0.4164,          -81.9629,
Ref 18,4.17792e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6302e-06,6.4003e-08,,,,,,,,,,,
Sam 18,4.25582e-08,1.19993e-02,4.2405e-03,4.9597e-05,4.7455e-06,6.2012e-08,,,,,,            4.8391,           12.6488,           17.0560,           24.8573,          -21.1957,            1.8230,            6.6771,           -0.4330,           -0.5854,          -49.9902,
Ref 19,4.13411e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6306e-06,6.2700e-08,,,,,,,,,,,
Sam 19,4.21097e-08,1.19993e-02,4.2405e-03,4.9599e-05,4.7454e-06,6.1704e-08,,,,,,            4.8366,           12.6566,           17.0144,           25.2641,          -31.6294,            1.8201,            6.6848,           -0.4789,           -0.2041,          -60.1287,
Ref 20,4.08992e-08,,,,,,1.1942e-02,4.1875e-03,4.8772e-05,4.6263e-06,6.4750e-08,,,,,,,,,,,
Sam 20,4.16499e-08,1.19995e-02,4.2406e-03,4.9604e-05,4.7453e-06,6.1767e-08,,,,,,            4.8448,           12.6684,           17.0860,           25.4851,          -29.0428,            1.8284,            6.6965,           -0.4284,           -0.0118,          -57.6479,
Ref 21,4.04816e-08,,,,,,1.1942e-02,4.1876e-03,4.8769e-05,4.6286e-06,6.2468e-08,,,,,,,,,,,


Ref 1,4.02767e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6278e-06,6.3136e-08,,,,,,,,,,,
Sam 1,4.10128e-08,1.19993e-02,4.2406e-03,4.9601e-05,4.7455e-06,6.2265e-08,,,,,,            4.8398,           12.6623,           17.1337,           25.2694,          -24.7877,            1.8233,            6.6905,           -0.3705,           -0.2101,          -53.5020,
Ref 2,3.98557e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6292e-06,6.4566e-08,,,,,,,,,,,
Sam 2,4.06009e-08,1.19994e-02,4.2407e-03,4.9598e-05,4.7465e-06,6.1095e-08,,,,,,            4.8466,           12.6786,           17.0175,           25.3789,          -63.1050,            1.8300,            6.7067,           -0.5074,           -0.1356,          -90.7264,
Ref 3,3.94548e-08,,,,,,1.1942e-02,4.1875e-03,4.8770e-05,4.6288e-06,6.5861e-08,,,,,,,,,,,
Sam 3,4.01885e-08,1.19992e-02,4.2406e-03,4.9594e-05,4.7437e-06,6.2322e-08,,,,,,            4.8383,           12.6740,           16.9203,           24.8644,          -55.8247,            1.8213,            6.7021,           -0.5900,           -0.6281,          -83.6444,
Ref 4,3.90467e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6284e-06,6.6155e-08,,,,,,,,,,,
Sam 4,3.97782e-08,1.19991e-02,4.2405e-03,4.9597e-05,4.7453e-06,6.2098e-08,,,,,,            4.8388,           12.6538,           16.9889,           24.9687,          -51.6619,            1.8225,            6.6820,           -0.5035,           -0.4866,          -79.5687,
Ref 5,3.86471e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6311e-06,6.4799e-08,,,,,,,,,,,
Sam 5,3.93800e-08,1.19994e-02,4.2406e-03,4.9600e-05,4.7443e-06,6.1613e-08,,,,,,            4.8641,           12.6571,           17.0489,           24.6862,          -40.9720,            1.8493,            6.6853,           -0.4736,           -0.7686,          -69.2243,
Ref 6,3.82442e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6290e-06,6.3686e-08,,,,,,,,,,,
Sam 6,3.89835e-08,1.19991e-02,4.2406e-03,4.9599e-05,4.7457e-06,6.0653e-08,,,,,,            4.8428,           12.6555,           16.9283,           25.2393,          -37.8695,            1.8268,            6.6837,           -0.5689,           -0.2261,          -66.1893,
Ref 7,3.78652e-08,,,,,,1.1941e-02,4.1876e-03,4.8778e-05,4.6288e-06,6.2387e-08,,,,,,,,,,,
Sam 7,3.85904e-08,1.19992e-02,4.2405e-03,4.9596e-05,4.7471e-06,6.0631e-08,,,,,,            4.8470,           12.6454,           16.8578,           25.6887,          -33.6643,            1.8315,            6.6736,           -0.6325,            0.2322,          -62.0935,
Ref 8,3.74726e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6276e-06,6.3103e-08,,,,,,,,,,,
Sam 8,3.82095e-08,1.19992e-02,4.2406e-03,4.9601e-05,4.7439e-06,6.0103e-08,,,,,,            4.8414,           12.6537,           17.0946,           24.8954,          -49.9462,            1.8253,            6.6820,           -0.4021,           -0.5580,          -77.9059,
Ref 9,3.70997e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6297e-06,6.3424e-08,,,,,,,,,,,
Sam 9,3.78214e-08,1.19991e-02,4.2406e-03,4.9600e-05,4.7441e-06,6.1770e-08,,,,,,            4.8353,           12.6663,           17.1274,           24.9001,          -18.9643,            1.8184,            6.6944,           -0.3759,           -0.5781,          -47.8529,
Ref 10,3.67336e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6279e-06,6.2498e-08,,,,,,,,,,,
Sam 10,3.74416e-08,1.19991e-02,4.2406e-03,4.9608e-05,4.7439e-06,6.0371e-08,,,,,,            4.8444,           12.6746,           17.2690,           25.2350,          -29.5270,            1.8277,            6.7028,           -0.2541,           -0.2681,          -58.1289,
Ref 11,3.63610e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6263e-06,6.1914e-08,,,,,,,,,,,
Sam 11,3.70658e-08,1.19991e-02,4.2405e-03,4.9604e-05,4.7492e-06,6.1451e-08,,,,,,            4.8573,           12.6659,           17.1587,           26.1599,            4.4322,            1.8418,            6.6941,           -0.3673,            0.6510,          -25.1673,
Ref 12,3.60153e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6300e-06,6.0438e-08,,,,,,,,,,,
Sam 12,3.67027e-08,1.19991e-02,4.2405e-03,4.9597e-05,4.7454e-06,6.2308e-08,,,,,,            4.8535,           12.6652,           17.0128,           25.0641,            2.9557,            1.8378,            6.6934,           -0.5062,           -0.4162,          -26.5952,
Ref 13,3.56468e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6287e-06,6.3827e-08,,,,,,,,,,,
Sam 13,3.63490e-08,1.19991e-02,4.2405e-03,4.9599e-05,4.7465e-06,6.2274e-08,,,,,,            4.8432,           12.6512,           16.9900,           25.3013,          -35.2121,            1.8273,            6.6795,           -0.5044,           -0.1572,          -63.6028,
Ref 14,3.52947e-08,,,,,,1.1941e-02,4.1875e-03,4.8774e-05,4.6300e-06,6.5274e-08,,,,,,,,,,,
Sam 14,3.59870e-08,1.19989e-02,4.2405e-03,4.9601e-05,4.7456e-06,6.1037e-08,,,,,,            4.8376,           12.6576,           17.0733,           25.0104,          -51.0373,            1.8211,            6.6858,           -0.4230,           -0.4534,          -78.9681,
Ref 15,3.49576e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6297e-06,6.3357e-08,,,,,,,,,,,
Sam 15,3.56325e-08,1.19990e-02,4.2405e-03,4.9596e-05,4.7459e-06,6.0817e-08,,,,,,            4.8452,           12.6613,           16.9668,           24.9740,          -49.9421,            1.8291,            6.6895,           -0.5390,           -0.4962,          -77.9192,
Ref 16,3.46030e-08,,,,,,1.1941e-02,4.1876e-03,4.8775e-05,4.6309e-06,6.4678e-08,,,,,,,,,,,
Sam 16,3.52781e-08,1.19990e-02,4.2405e-03,4.9599e-05,4.7468e-06,6.1326e-08,,,,,,            4.8438,           12.6375,           16.9102,           25.0440,          -50.7947,            1.8284,            6.6658,           -0.5701,           -0.3809,          -78.7027,
Ref 17,3.42651e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6308e-06,6.4538e-08,,,,,,,,,,,
Sam 17,3.49373e-08,1.19990e-02,4.2405e-03,4.9601e-05,4.7433e-06,6.2554e-08,,,,,,            4.8472,           12.6573,           17.0295,           24.6603,          -21.8870,            1.8313,            6.6854,           -0.4755,           -0.7942,          -50.6849,
Ref 18,3.39347e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6275e-06,6.3364e-08,,,,,,,,,,,
Sam 18,3.45954e-08,1.19988e-02,4.2405e-03,4.9603e-05,4.7441e-06,6.1864e-08,,,,,,            4.8373,           12.6518,           17.1799,           24.9528,          -42.4329,            1.8211,            6.6801,           -0.3123,           -0.4982,          -70.6063,
Ref 19,3.36099e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6298e-06,6.5860e-08,,,,,,,,,,,
Sam 19,3.42626e-08,1.19990e-02,4.2405e-03,4.9598e-05,4.7438e-06,6.3165e-08,,,,,,            4.8473,           12.6523,           17.1288,           24.8258,          -21.6046,            1.8316,            6.6806,           -0.3733,           -0.6231,          -50.4018,
Ref 20,3.32880e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6280e-06,6.3247e-08,,,,,,,,,,,
Sam 20,3.39221e-08,1.19988e-02,4.2405e-03,4.9608e-05,4.7444e-06,5.9555e-08,,,,,,            4.8444,           12.6674,           17.2612,           24.8922,          -58.8272,            1.8280,            6.6955,           -0.2548,           -0.5881,          -86.5527,
Ref 21,3.29698e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6302e-06,6.3309e-08,,,,,,,,,,,


