Nu Stable Isotope Analysis Program
Data Collected on Sunday, June 17, 2018 at 00:45 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, June 17, 2018 at 01:45 with Stable 1.69.5 on PS019

Data File = Data_5972 KG92 21.txt,        Sample Weight = 412,                      Vial Location = 21,                       Initial Sam Beam = 8.6945e-08,            ColdFinger Status = CF,                   Min Ref Beam = 4.0733e-08,                Max Ref Beam = 1.0637e-07,                
Analysis undertaken at mass 46.01491
Analysis undertaken at mass 46.01491
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.78421e-08,,,,,,1.1942e-02,4.1874e-03,4.8754e-05,4.6255e-06,6.1809e-08,,,,,,,,,,,
Sam 1,7.79738e-08,1.19652e-02,4.2272e-03,4.9282e-05,4.7137e-06,6.0739e-08,,,,,,            1.9309,            9.4929,           10.7850,           18.9416,          -14.5896,           -1.1632,            3.5428,           -0.5592,           -0.1319,          -34.7179,
Ref 2,7.61900e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6267e-06,6.1464e-08,,,,,,,,,,,
Sam 2,7.63070e-08,1.19656e-02,4.2273e-03,4.9292e-05,4.7152e-06,5.9931e-08,,,,,,            1.9505,            9.5280,           10.9801,           19.2448,          -32.9299,           -1.1436,            3.5777,           -0.4206,            0.0962,          -52.7679,
Ref 3,7.45147e-08,,,,,,1.1942e-02,4.1874e-03,4.8755e-05,4.6257e-06,6.2491e-08,,,,,,,,,,,
Sam 3,7.47709e-08,1.19655e-02,4.2273e-03,4.9288e-05,4.7139e-06,6.0452e-08,,,,,,            1.9432,            9.5252,           10.9330,           18.8002,          -35.9400,           -1.1513,            3.5749,           -0.4569,           -0.3346,          -55.7038,
Ref 4,7.28664e-08,,,,,,1.1942e-02,4.1874e-03,4.8755e-05,4.6281e-06,6.2925e-08,,,,,,,,,,,
Sam 4,7.32299e-08,1.19655e-02,4.2273e-03,4.9284e-05,4.7145e-06,6.0242e-08,,,,,,            1.9482,            9.5266,           10.7414,           18.7953,          -28.9433,           -1.1459,            3.5763,           -0.6530,           -0.3421,          -48.8583,
Ref 5,7.12567e-08,,,,,,1.1942e-02,4.1875e-03,4.8765e-05,4.6269e-06,6.1130e-08,,,,,,,,,,,
Sam 5,7.17340e-08,1.19654e-02,4.2273e-03,4.9292e-05,4.7143e-06,6.0220e-08,,,,,,            1.9365,            9.5252,           10.8551,           18.7704,          -23.1407,           -1.1584,            3.5750,           -0.5272,           -0.3638,          -43.1602,
Ref 6,6.97123e-08,,,,,,1.1942e-02,4.1874e-03,4.8761e-05,4.6281e-06,6.2174e-08,,,,,,,,,,,
Sam 6,7.02643e-08,1.19654e-02,4.2273e-03,4.9288e-05,4.7137e-06,6.0418e-08,,,,,,            1.9476,            9.5325,           10.8525,           18.6966,          -23.1245,           -1.1469,            3.5822,           -0.5482,           -0.4507,          -43.1692,
Ref 7,6.82142e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6262e-06,6.1515e-08,,,,,,,,,,,
Sam 7,6.88551e-08,1.19653e-02,4.2273e-03,4.9287e-05,4.7147e-06,6.1096e-08,,,,,,            1.9448,            9.5234,           10.8192,           19.0783,          -11.7084,           -1.1495,            3.5731,           -0.5694,           -0.0581,          -31.9673,
Ref 8,6.67352e-08,,,,,,1.1942e-02,4.1874e-03,4.8762e-05,4.6267e-06,6.2131e-08,,,,,,,,,,,
Sam 8,6.74617e-08,1.19652e-02,4.2273e-03,4.9289e-05,4.7172e-06,6.1393e-08,,,,,,            1.9475,            9.5234,           10.8780,           19.4718,          -16.6745,           -1.1466,            3.5731,           -0.5141,            0.3281,          -36.8344,
Ref 9,6.53025e-08,,,,,,1.1942e-02,4.1874e-03,4.8756e-05,4.6274e-06,6.2744e-08,,,,,,,,,,,
Sam 9,6.61117e-08,1.19652e-02,4.2273e-03,4.9289e-05,4.7170e-06,6.1192e-08,,,,,,            1.9494,            9.5215,           10.8951,           19.3839,          -20.5552,           -1.1445,            3.5712,           -0.4973,            0.2455,          -40.6339,
Ref 10,6.39369e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6272e-06,6.2202e-08,,,,,,,,,,,
Sam 10,6.48209e-08,1.19653e-02,4.2273e-03,4.9293e-05,4.7150e-06,5.9944e-08,,,,,,            1.9477,            9.5165,           10.9310,           19.0625,          -29.8462,           -1.1461,            3.5663,           -0.4552,           -0.0599,          -49.7235,
Ref 11,6.25764e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6263e-06,6.1366e-08,,,,,,,,,,,
Sam 11,6.35300e-08,1.19652e-02,4.2274e-03,4.9285e-05,4.7168e-06,6.1179e-08,,,,,,            1.9376,            9.5346,           10.7135,           19.3722,          -14.0021,           -1.1575,            3.5843,           -0.6776,            0.2080,          -34.2278,
Ref 12,6.12894e-08,,,,,,1.1942e-02,4.1874e-03,4.8764e-05,4.6280e-06,6.2745e-08,,,,,,,,,,,
Sam 12,6.22973e-08,1.19651e-02,4.2273e-03,4.9292e-05,4.7137e-06,6.0125e-08,,,,,,            1.9346,            9.5117,           10.8877,           18.5922,          -28.6328,           -1.1599,            3.5614,           -0.4797,           -0.5118,          -48.5127,
Ref 13,5.99832e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6273e-06,6.1031e-08,,,,,,,,,,,
Sam 13,6.11071e-08,1.19650e-02,4.2272e-03,4.9289e-05,4.7137e-06,5.9929e-08,,,,,,            1.9306,            9.4951,           10.8536,           18.6712,          -27.0156,           -1.1636,            3.5450,           -0.4933,           -0.4016,          -46.8939,
Ref 14,5.88073e-08,,,,,,1.1942e-02,4.1874e-03,4.8761e-05,4.6273e-06,6.2167e-08,,,,,,,,,,,
Sam 14,5.99274e-08,1.19650e-02,4.2272e-03,4.9289e-05,4.7138e-06,6.0387e-08,,,,,,            1.9406,            9.5033,           10.8605,           18.6176,          -21.4029,           -1.1532,            3.5531,           -0.5047,           -0.4704,          -41.4213,
Ref 15,5.75983e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6280e-06,6.1239e-08,,,,,,,,,,,
Sam 15,5.88001e-08,1.19648e-02,4.2272e-03,4.9288e-05,4.7153e-06,6.0188e-08,,,,,,            1.9306,            9.5029,           10.9216,           18.8038,          -16.4145,           -1.1639,            3.5528,           -0.4336,           -0.2869,          -36.5240,
Ref 16,5.64322e-08,,,,,,1.1942e-02,4.1874e-03,4.8753e-05,4.6285e-06,6.1146e-08,,,,,,,,,,,
Sam 16,5.76675e-08,1.19650e-02,4.2273e-03,4.9290e-05,4.7144e-06,6.0056e-08,,,,,,            1.9473,            9.5156,           10.9919,           18.6139,          -27.1566,           -1.1466,            3.5654,           -0.3937,           -0.4984,          -47.0869,
Ref 17,5.52986e-08,,,,,,1.1942e-02,4.1874e-03,4.8755e-05,4.6280e-06,6.2331e-08,,,,,,,,,,,
Sam 17,5.65849e-08,1.19648e-02,4.2272e-03,4.9286e-05,4.7132e-06,5.9416e-08,,,,,,            1.9337,            9.4863,           10.8300,           18.3075,          -40.2965,           -1.1600,            3.5362,           -0.5112,           -0.7409,          -59.8902,
Ref 18,5.42032e-08,,,,,,1.1942e-02,4.1874e-03,4.8762e-05,4.6290e-06,6.1483e-08,,,,,,,,,,,
Sam 18,5.54927e-08,1.19650e-02,4.2273e-03,4.9293e-05,4.7163e-06,6.0405e-08,,,,,,            1.9474,            9.5264,           10.8426,           18.9715,          -40.0754,           -1.1468,            3.5761,           -0.5519,           -0.1688,          -59.7609,
Ref 19,5.31500e-08,,,,,,1.1942e-02,4.1874e-03,4.8767e-05,4.6279e-06,6.4400e-08,,,,,,,,,,,
Sam 19,5.44548e-08,1.19649e-02,4.2272e-03,4.9287e-05,4.7161e-06,6.2588e-08,,,,,,            1.9430,            9.5071,           10.7249,           19.0770,           -8.6576,           -1.1509,            3.5569,           -0.6449,           -0.0270,          -28.9463,
Ref 20,5.21118e-08,,,,,,1.1942e-02,4.1874e-03,4.8761e-05,4.6278e-06,6.1843e-08,,,,,,,,,,,
Sam 20,5.34515e-08,1.19647e-02,4.2272e-03,4.9290e-05,4.7143e-06,6.2458e-08,,,,,,            1.9338,            9.4968,           10.7770,           18.6366,           -4.3389,           -1.1603,            3.5467,           -0.5740,           -0.4389,          -24.6870,
Ref 21,5.11147e-08,,,,,,1.1942e-02,4.1874e-03,4.8767e-05,4.6284e-06,6.3634e-08,,,,,,,,,,,


Ref 1,5.06252e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6273e-06,6.1367e-08,,,,,,,,,,,
Sam 1,5.19370e-08,1.19649e-02,4.2272e-03,4.9290e-05,4.7151e-06,6.0733e-08,,,,,,            1.9527,            9.5152,           10.7825,           18.8014,          -26.5366,           -1.1408,            3.5649,           -0.6058,           -0.3135,          -46.4843,
Ref 2,4.96439e-08,,,,,,1.1942e-02,4.1874e-03,4.8763e-05,4.6289e-06,6.3430e-08,,,,,,,,,,,
Sam 2,5.09772e-08,1.19647e-02,4.2272e-03,4.9289e-05,4.7153e-06,6.2388e-08,,,,,,            1.9379,            9.4950,           10.7774,           18.8319,          -21.7705,           -1.1559,            3.5449,           -0.5760,           -0.2436,          -41.7631,
Ref 3,4.86973e-08,,,,,,1.1942e-02,4.1874e-03,4.8764e-05,4.6273e-06,6.4131e-08,,,,,,,,,,,
Sam 3,5.00447e-08,1.19647e-02,4.2272e-03,4.9293e-05,4.7152e-06,6.1568e-08,,,,,,            1.9381,            9.4992,           10.9087,           18.8525,          -31.2298,           -1.1557,            3.5490,           -0.4504,           -0.2317,          -51.0371,
Ref 4,4.77711e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6286e-06,6.2963e-08,,,,,,,,,,,
Sam 4,4.91075e-08,1.19645e-02,4.2272e-03,4.9285e-05,4.7159e-06,6.2073e-08,,,,,,            1.9275,            9.4962,           10.7624,           18.8784,          -22.3452,           -1.1669,            3.5461,           -0.5813,           -0.2004,          -42.3178,
Ref 5,4.68693e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6285e-06,6.4030e-08,,,,,,,,,,,
Sam 5,4.82188e-08,1.19646e-02,4.2272e-03,4.9290e-05,4.7139e-06,6.3799e-08,,,,,,            1.9385,            9.4935,           10.8011,           18.4796,           -0.4260,           -1.1551,            3.5433,           -0.5517,           -0.5863,          -20.8525,
Ref 6,4.59944e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6282e-06,6.3619e-08,,,,,,,,,,,
Sam 6,4.84253e-08,1.19577e-02,4.2155e-03,4.9062e-05,4.6813e-06,6.4672e-08,,,,,,            1.3633,            6.6846,            6.1735,           11.4403,           10.6793,           -1.6703,            0.7493,           -1.8048,           -1.9475,           -3.9247,
Ref 7,4.53513e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6285e-06,6.4363e-08,,,,,,,,,,,
Sam 7,4.66968e-08,1.19645e-02,4.2271e-03,4.9295e-05,4.7121e-06,6.1720e-08,,,,,,            1.9330,            9.4657,           10.8912,           18.0927,          -34.9505,           -1.1601,            3.5157,           -0.4298,           -0.9110,          -54.6148,
Ref 8,4.45125e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6282e-06,6.3540e-08,,,,,,,,,,,
Sam 8,4.58492e-08,1.19646e-02,4.2272e-03,4.9291e-05,4.7144e-06,6.2448e-08,,,,,,            1.9420,            9.5149,           10.7700,           18.5763,          -15.8940,           -1.1522,            3.5646,           -0.6069,           -0.5337,          -36.0482,
Ref 9,4.36941e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6286e-06,6.3371e-08,,,,,,,,,,,
Sam 9,4.50233e-08,1.19646e-02,4.2272e-03,4.9293e-05,4.7152e-06,6.1520e-08,,,,,,            1.9411,            9.5083,           10.8302,           18.9335,          -33.5308,           -1.1529,            3.5581,           -0.5400,           -0.1703,          -53.3108,
Ref 10,4.28977e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6265e-06,6.3943e-08,,,,,,,,,,,
Sam 10,4.42271e-08,1.19645e-02,4.2271e-03,4.9287e-05,4.7123e-06,6.1609e-08,,,,,,            1.9286,            9.4684,           10.6459,           18.3060,          -32.2654,           -1.1648,            3.5184,           -0.6706,           -0.7070,          -51.9850,
Ref 11,4.20761e-08,,,,,,1.1942e-02,4.1875e-03,4.8769e-05,4.6287e-06,6.3377e-08,,,,,,,,,,,
Sam 11,4.34484e-08,1.19645e-02,4.2272e-03,4.9292e-05,4.7128e-06,6.0034e-08,,,,,,            1.9178,            9.4685,           10.7715,           18.2527,          -63.4279,           -1.1763,            3.5186,           -0.5353,           -0.7595,          -82.5022,
Ref 12,4.13427e-08,,,,,,1.1942e-02,4.1875e-03,4.8764e-05,4.6280e-06,6.4834e-08,,,,,,,,,,,
Sam 12,4.26559e-08,1.19645e-02,4.2272e-03,4.9296e-05,4.7161e-06,6.1899e-08,,,,,,            1.9264,            9.4766,           10.8368,           18.8890,          -37.0221,           -1.1674,            3.5266,           -0.4875,           -0.1511,          -56.6577,
Ref 13,4.05825e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6294e-06,6.3713e-08,,,,,,,,,,,
Sam 13,4.19392e-08,1.19644e-02,4.2271e-03,4.9292e-05,4.7148e-06,6.1298e-08,,,,,,            1.9179,            9.4567,           10.7152,           18.8884,          -35.5644,           -1.1758,            3.5068,           -0.5797,           -0.1124,          -55.1846,
Ref 14,3.98881e-08,,,,,,1.1942e-02,4.1875e-03,4.8768e-05,4.6255e-06,6.3402e-08,,,,,,,,,,,
Sam 14,4.11904e-08,1.19645e-02,4.2272e-03,4.9294e-05,4.7151e-06,6.1458e-08,,,,,,            1.9267,            9.4844,           10.7310,           18.8678,          -34.7436,           -1.1673,            3.5344,           -0.6001,           -0.1874,          -54.4404,
Ref 15,3.91784e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6301e-06,6.3943e-08,,,,,,,,,,,
Sam 15,4.04423e-08,1.19645e-02,4.2272e-03,4.9295e-05,4.7165e-06,6.2891e-08,,,,,,            1.9344,            9.4744,           10.7668,           18.9812,          -25.4491,           -1.1588,            3.5244,           -0.5628,           -0.0563,          -45.3246,
Ref 16,3.84895e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6272e-06,6.5134e-08,,,,,,,,,,,
Sam 16,3.97283e-08,1.19646e-02,4.2273e-03,4.9296e-05,4.7155e-06,6.2365e-08,,,,,,            1.9365,            9.4832,           10.8454,           18.8463,          -41.0017,           -1.1569,            3.5331,           -0.4959,           -0.2062,          -60.5783,
Ref 17,3.78302e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6293e-06,6.4927e-08,,,,,,,,,,,
Sam 17,3.90403e-08,1.19646e-02,4.2272e-03,4.9302e-05,4.7171e-06,6.2649e-08,,,,,,            1.9392,            9.4725,           10.9182,           18.8393,          -33.7477,           -1.1537,            3.5225,           -0.4162,           -0.1918,          -53.4554,
Ref 18,3.71603e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6304e-06,6.4745e-08,,,,,,,,,,,
Sam 18,3.83661e-08,1.19644e-02,4.2272e-03,4.9298e-05,4.7139e-06,6.2179e-08,,,,,,            1.9334,            9.4742,           10.8882,           18.3705,          -30.9051,           -1.1599,            3.5242,           -0.4415,           -0.6552,          -50.6680,
Ref 19,3.65288e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6273e-06,6.3568e-08,,,,,,,,,,,
Sam 19,3.77085e-08,1.19645e-02,4.2272e-03,4.9302e-05,4.7145e-06,6.2282e-08,,,,,,            1.9372,            9.4683,           11.0316,           18.8656,          -34.6653,           -1.1557,            3.5183,           -0.2979,           -0.1577,          -54.3445,
Ref 20,3.58996e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6272e-06,6.5484e-08,,,,,,,,,,,
Sam 20,3.70619e-08,1.19644e-02,4.2272e-03,4.9291e-05,4.7152e-06,6.3653e-08,,,,,,            1.9355,            9.4722,           10.7487,           18.7737,           -3.5133,           -1.1576,            3.5222,           -0.5797,           -0.2555,          -23.8331,
Ref 21,3.52932e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6294e-06,6.2242e-08,,,,,,,,,,,


Ref 1,3.50078e-08,,,,,,1.1941e-02,4.1874e-03,4.8773e-05,4.6281e-06,6.3725e-08,,,,,,,,,,,
Sam 1,3.61155e-08,1.19643e-02,4.2272e-03,4.9293e-05,4.7156e-06,6.2766e-08,,,,,,            1.9420,            9.4991,           10.8228,           18.7664,          -26.1266,           -1.1516,            3.5489,           -0.5393,           -0.3160,          -46.0419,
Ref 2,3.44176e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6293e-06,6.5187e-08,,,,,,,,,,,
Sam 2,3.55110e-08,1.19643e-02,4.2272e-03,4.9294e-05,4.7151e-06,6.0280e-08,,,,,,            1.9462,            9.5167,           10.9000,           18.8111,          -74.4908,           -1.1478,            3.5664,           -0.4844,           -0.3069,          -93.4521,
Ref 3,3.38506e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6267e-06,6.5074e-08,,,,,,,,,,,
Sam 3,3.49127e-08,1.19642e-02,4.2272e-03,4.9294e-05,4.7167e-06,6.1348e-08,,,,,,            1.9426,            9.5166,           10.8212,           19.2964,          -38.6131,           -1.1515,            3.5664,           -0.5587,            0.1692,          -58.3060,
Ref 4,3.32674e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6281e-06,6.2528e-08,,,,,,,,,,,
Sam 4,3.43319e-08,1.19642e-02,4.2271e-03,4.9293e-05,4.7172e-06,6.0397e-08,,,,,,            1.9387,            9.4959,           10.8361,           19.3429,          -40.3818,           -1.1551,            3.5457,           -0.5196,            0.2561,          -59.9964,
Ref 5,3.27203e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6272e-06,6.3355e-08,,,,,,,,,,,
Sam 5,3.37608e-08,1.19641e-02,4.2271e-03,4.9300e-05,4.7150e-06,6.3637e-08,,,,,,            1.9396,            9.4924,           10.8756,           18.7635,          -13.2624,           -1.1539,            3.5423,           -0.4781,           -0.3056,          -33.4257,
Ref 6,3.21923e-08,,,,,,1.1941e-02,4.1874e-03,4.8775e-05,4.6292e-06,6.5649e-08,,,,,,,,,,,
Sam 6,3.31857e-08,1.19642e-02,4.2271e-03,4.9288e-05,4.7143e-06,6.0785e-08,,,,,,            1.9540,            9.5019,           10.5924,           18.7599,          -75.0651,           -1.1390,            3.5517,           -0.7821,           -0.3278,          -93.9960,
Ref 7,3.16674e-08,,,,,,1.1941e-02,4.1873e-03,4.8768e-05,4.6258e-06,6.5789e-08,,,,,,,,,,,
Sam 7,3.26453e-08,1.19641e-02,4.2271e-03,4.9298e-05,4.7130e-06,5.9442e-08,,,,,,            1.9488,            9.4893,           10.8665,           18.5826,          -85.6189,           -1.1440,            3.5392,           -0.4936,           -0.4770,         -104.3071,
Ref 8,3.11469e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6283e-06,6.4213e-08,,,,,,,,,,,
Sam 8,3.21041e-08,1.19642e-02,4.2272e-03,4.9298e-05,4.7145e-06,6.3457e-08,,,,,,            1.9520,            9.5093,           10.7996,           19.1080,          -25.2372,           -1.1414,            3.5590,           -0.5824,           -0.0010,          -45.1998,
Ref 9,3.06415e-08,,,,,,1.1941e-02,4.1873e-03,4.8776e-05,4.6239e-06,6.6002e-08,,,,,,,,,,,
Sam 9,3.15734e-08,1.19641e-02,4.2271e-03,4.9295e-05,4.7178e-06,6.1318e-08,,,,,,            1.9463,            9.5075,           10.7216,           19.9674,          -53.8998,           -1.1474,            3.5573,           -0.6520,            0.8458,          -73.2666,
Ref 10,3.01583e-08,,,,,,1.1941e-02,4.1873e-03,4.8768e-05,4.6270e-06,6.3602e-08,,,,,,,,,,,
Sam 10,3.10661e-08,1.19639e-02,4.2270e-03,4.9293e-05,4.7144e-06,6.0748e-08,,,,,,            1.9377,            9.4911,           10.7168,           18.4957,          -39.4717,           -1.1559,            3.5410,           -0.6319,           -0.5658,          -59.0953,
Ref 11,2.96601e-08,,,,,,1.1941e-02,4.1873e-03,4.8772e-05,4.6307e-06,6.2880e-08,,,,,,,,,,,
Sam 11,3.05633e-08,1.19638e-02,4.2269e-03,4.9299e-05,4.7166e-06,6.2040e-08,,,,,,            1.9253,            9.4588,           10.8183,           19.0527,          -44.5302,           -1.1680,            3.5089,           -0.4873,            0.0447,          -63.9792,
Ref 12,2.91906e-08,,,,,,1.1941e-02,4.1873e-03,4.8771e-05,4.6261e-06,6.7016e-08,,,,,,,,,,,
Sam 12,3.00522e-08,1.19638e-02,4.2270e-03,4.9299e-05,4.7146e-06,6.4720e-08,,,,,,            1.9330,            9.5055,           10.8061,           19.3106,          -11.6511,           -1.1614,            3.5553,           -0.5527,            0.2054,          -31.8652,
Ref 13,2.87388e-08,,,,,,1.1941e-02,4.1872e-03,4.8774e-05,4.6244e-06,6.3925e-08,,,,,,,,,,,
Sam 13,2.95921e-08,1.19636e-02,4.2268e-03,4.9294e-05,4.7156e-06,6.1816e-08,,,,,,            1.9277,            9.4671,           10.7052,           19.5949,          -43.3969,           -1.1658,            3.5171,           -0.6097,            0.5604,          -62.8864,
Ref 14,2.83030e-08,,,,,,1.1940e-02,4.1871e-03,4.8769e-05,4.6257e-06,6.5327e-08,,,,,,,,,,,
Sam 14,2.91173e-08,1.19637e-02,4.2268e-03,4.9295e-05,4.7123e-06,6.2241e-08,,,,,,            1.9463,            9.4780,           10.7515,           18.5854,          -27.2061,           -1.1463,            3.5279,           -0.5937,           -0.4517,          -47.0645,
Ref 15,2.78554e-08,,,,,,1.1941e-02,4.1872e-03,4.8772e-05,4.6270e-06,6.2615e-08,,,,,,,,,,,
Sam 15,2.86159e-08,1.19638e-02,4.2270e-03,4.9295e-05,4.7146e-06,6.0719e-08,,,,,,            1.9489,            9.5096,           10.7639,           19.1029,          -45.0362,           -1.1446,            3.5594,           -0.6149,           -0.0066,          -64.5909,
Ref 16,2.74063e-08,,,,,,1.1941e-02,4.1872e-03,4.8767e-05,4.6253e-06,6.4567e-08,,,,,,,,,,,
Sam 16,2.81623e-08,1.19639e-02,4.2269e-03,4.9304e-05,4.7112e-06,5.9018e-08,,,,,,            1.9597,            9.4883,           10.9231,           18.5836,          -85.8015,           -1.1324,            3.5381,           -0.4478,           -0.4739,         -104.4943,
Ref 17,2.69857e-08,,,,,,1.1940e-02,4.1872e-03,4.8775e-05,4.6251e-06,6.4546e-08,,,,,,,,,,,
Sam 17,2.77242e-08,1.19637e-02,4.2268e-03,4.9298e-05,4.7166e-06,5.9873e-08,,,,,,            1.9408,            9.4711,           10.7920,           19.4585,          -63.0506,           -1.1519,            3.5210,           -0.5413,            0.4187,          -82.1596,
Ref 18,2.65784e-08,,,,,,1.1940e-02,4.1871e-03,4.8767e-05,4.6281e-06,6.3248e-08,,,,,,,,,,,
Sam 18,2.72927e-08,1.19634e-02,4.2268e-03,4.9294e-05,4.7152e-06,6.0879e-08,,,,,,            1.9237,            9.4915,           10.7559,           18.9059,          -54.1643,           -1.1708,            3.5414,           -0.5792,           -0.1640,          -73.4746,
Ref 19,2.61783e-08,,,,,,1.1940e-02,4.1870e-03,4.8771e-05,4.6273e-06,6.5499e-08,,,,,,,,,,,
Sam 19,2.68648e-08,1.19633e-02,4.2267e-03,4.9293e-05,4.7130e-06,6.3785e-08,,,,,,            1.9380,            9.5012,           10.8373,           19.0404,          -30.2809,           -1.1560,            3.5511,           -0.5229,           -0.0514,          -50.1111,
Ref 20,2.57857e-08,,,,,,1.1940e-02,4.1870e-03,4.8757e-05,4.6226e-06,6.6059e-08,,,,,,,,,,,
Sam 20,2.64463e-08,1.19633e-02,4.2267e-03,4.9289e-05,4.7137e-06,5.9771e-08,,,,,,            1.9399,            9.4810,           10.7505,           19.0694,          -79.3293,           -1.1533,            3.5309,           -0.5909,            0.0172,          -98.1228,
Ref 21,2.53927e-08,,,,,,1.1940e-02,4.1870e-03,4.8773e-05,4.6284e-06,6.3765e-08,,,,,,,,,,,


