Nu Stable Isotope Analysis Program
Data Collected on Sunday, June 17, 2018 at 02:08 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, June 17, 2018 at 03:08 with Stable 1.69.5 on PS019

Data File = Data_5973 CYC18-14B A.txt,    Sample Weight = 488,                      Vial Location = 22,                       Initial Sam Beam = 1.3113e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0190e-08,                Max Ref Beam = 1.0633e-07,                
Analysis undertaken at mass 46.01241
Analysis undertaken at mass 46.01241
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.85038e-08,,,,,,1.1941e-02,4.1873e-03,4.8751e-05,4.6271e-06,6.2954e-08,,,,,,,,,,,
Sam 1,5.82858e-08,1.20486e-02,4.2542e-03,4.9956e-05,4.7737e-06,6.1588e-08,,,,,,            8.9755,           15.9510,           24.6887,           31.6516,          -29.1855,            6.1115,            9.9542,           -0.3933,           -0.4890,          -67.8397,
Ref 2,5.78365e-08,,,,,,1.1942e-02,4.1874e-03,4.8754e-05,4.6273e-06,6.3931e-08,,,,,,,,,,,
Sam 2,5.76577e-08,1.20486e-02,4.2542e-03,4.9961e-05,4.7749e-06,6.0581e-08,,,,,,            8.9708,           15.9632,           24.7585,           31.7196,          -43.3728,            6.1062,            9.9663,           -0.3323,           -0.4471,          -81.4793,
Ref 3,5.71788e-08,,,,,,1.1941e-02,4.1873e-03,4.8754e-05,4.6288e-06,6.2718e-08,,,,,,,,,,,
Sam 3,5.70215e-08,1.20487e-02,4.2542e-03,4.9956e-05,4.7759e-06,6.1759e-08,,,,,,            8.9798,           15.9577,           24.6389,           31.8032,          -21.6214,            6.1159,            9.9608,           -0.4528,           -0.3554,          -60.5932,
Ref 4,5.65201e-08,,,,,,1.1941e-02,4.1873e-03,4.8756e-05,4.6286e-06,6.3534e-08,,,,,,,,,,,
Sam 4,5.63905e-08,1.20487e-02,4.2542e-03,4.9956e-05,4.7735e-06,6.1121e-08,,,,,,            8.9791,           15.9553,           24.6566,           31.4644,          -43.2201,            6.1152,            9.9585,           -0.4325,           -0.6789,          -81.3267,
Ref 5,5.58483e-08,,,,,,1.1941e-02,4.1874e-03,4.8752e-05,4.6271e-06,6.4234e-08,,,,,,,,,,,
Sam 5,5.57793e-08,1.20486e-02,4.2542e-03,4.9953e-05,4.7756e-06,6.2567e-08,,,,,,            8.9709,           15.9570,           24.5686,           32.1918,           -2.6634,            6.1064,            9.9602,           -0.5116,            0.0224,          -42.3802,
Ref 6,5.52080e-08,,,,,,1.1942e-02,4.1874e-03,4.8759e-05,4.6262e-06,6.1216e-08,,,,,,,,,,,
Sam 6,5.51954e-08,1.20486e-02,4.2541e-03,4.9952e-05,4.7728e-06,6.0760e-08,,,,,,            8.9675,           15.9368,           24.5666,           31.6145,          -19.4745,            6.1035,            9.9401,           -0.4906,           -0.4971,          -58.4816,
Ref 7,5.45796e-08,,,,,,1.1942e-02,4.1874e-03,4.8751e-05,4.6270e-06,6.2726e-08,,,,,,,,,,,
Sam 7,5.45698e-08,1.20487e-02,4.2542e-03,4.9960e-05,4.7748e-06,6.1407e-08,,,,,,            8.9734,           15.9535,           24.7607,           31.7458,          -17.1421,            6.1092,            9.9567,           -0.3234,           -0.4027,          -56.2784,
Ref 8,5.39255e-08,,,,,,1.1942e-02,4.1874e-03,4.8755e-05,4.6288e-06,6.2227e-08,,,,,,,,,,,
Sam 8,5.40111e-08,1.20487e-02,4.2542e-03,4.9956e-05,4.7754e-06,6.2079e-08,,,,,,            8.9739,           15.9369,           24.6482,           31.8567,           -6.0302,            6.1103,            9.9401,           -0.4175,           -0.2626,          -45.5787,
Ref 9,5.33279e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6272e-06,6.2686e-08,,,,,,,,,,,
Sam 9,5.34251e-08,1.20485e-02,4.2542e-03,4.9957e-05,4.7744e-06,6.1213e-08,,,,,,            8.9657,           15.9423,           24.6780,           31.6807,          -33.9661,            6.1014,            9.9455,           -0.3853,           -0.4437,          -72.4048,
Ref 10,5.27206e-08,,,,,,1.1941e-02,4.1874e-03,4.8753e-05,4.6283e-06,6.4053e-08,,,,,,,,,,,
Sam 10,5.28490e-08,1.20485e-02,4.2541e-03,4.9957e-05,4.7741e-06,6.1986e-08,,,,,,            8.9639,           15.9397,           24.6927,           31.5183,          -24.1536,            6.0995,            9.9430,           -0.3666,           -0.5960,          -62.9762,
Ref 11,5.21275e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6281e-06,6.2981e-08,,,,,,,,,,,
Sam 11,5.22891e-08,1.20485e-02,4.2541e-03,4.9954e-05,4.7755e-06,6.1846e-08,,,,,,            8.9708,           15.9364,           24.5350,           31.9532,          -13.3324,            6.1070,            9.9397,           -0.5244,           -0.1682,          -52.5865,
Ref 12,5.15385e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6271e-06,6.2379e-08,,,,,,,,,,,
Sam 12,5.17208e-08,1.20485e-02,4.2542e-03,4.9958e-05,4.7748e-06,6.2470e-08,,,,,,            8.9739,           15.9595,           24.6114,           32.0123,           -9.2328,            6.1096,            9.9626,           -0.4754,           -0.1563,          -48.6956,
Ref 13,5.09482e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6264e-06,6.3733e-08,,,,,,,,,,,
Sam 13,5.11861e-08,1.20484e-02,4.2541e-03,4.9957e-05,4.7737e-06,6.2288e-08,,,,,,            8.9623,           15.9258,           24.6189,           31.8332,          -16.7445,            6.0984,            9.9291,           -0.4236,           -0.2635,          -55.8349,
Ref 14,5.03845e-08,,,,,,1.1941e-02,4.1875e-03,4.8758e-05,4.6265e-06,6.2959e-08,,,,,,,,,,,
Sam 14,5.06308e-08,1.20484e-02,4.2542e-03,4.9957e-05,4.7741e-06,6.2656e-08,,,,,,            8.9623,           15.9366,           24.6214,           31.6430,           -6.8509,            6.0980,            9.9399,           -0.4316,           -0.4691,          -46.3546,
Ref 15,4.98092e-08,,,,,,1.1941e-02,4.1875e-03,4.8754e-05,4.6288e-06,6.3220e-08,,,,,,,,,,,
Sam 15,5.01171e-08,1.20484e-02,4.2541e-03,4.9955e-05,4.7735e-06,6.2307e-08,,,,,,            8.9596,           15.9168,           24.6158,           31.1936,           -7.2677,            6.0958,            9.9202,           -0.4151,           -0.8655,          -46.7156,
Ref 16,4.92549e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6294e-06,6.2301e-08,,,,,,,,,,,
Sam 16,4.95715e-08,1.20486e-02,4.2542e-03,4.9957e-05,4.7737e-06,6.2116e-08,,,,,,            8.9833,           15.9470,           24.6242,           31.1532,           -9.0196,            6.1200,            9.9501,           -0.4603,           -0.9640,          -48.4772,
Ref 17,4.87286e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6295e-06,6.3066e-08,,,,,,,,,,,
Sam 17,4.90682e-08,1.20482e-02,4.2541e-03,4.9958e-05,4.7743e-06,6.1066e-08,,,,,,            8.9537,           15.9146,           24.6994,           31.2792,          -32.8904,            6.0896,            9.9180,           -0.3254,           -0.7782,          -71.3103,
Ref 18,4.81737e-08,,,,,,1.1941e-02,4.1875e-03,4.8750e-05,4.6295e-06,6.3220e-08,,,,,,,,,,,
Sam 18,4.85503e-08,1.20483e-02,4.2541e-03,4.9955e-05,4.7743e-06,6.2027e-08,,,,,,            8.9613,           15.9225,           24.7040,           31.2703,          -24.8933,            6.0974,            9.9258,           -0.3363,           -0.8023,          -63.6527,
Ref 19,4.76566e-08,,,,,,1.1941e-02,4.1874e-03,4.8752e-05,4.6296e-06,6.4004e-08,,,,,,,,,,,
Sam 19,4.80296e-08,1.20483e-02,4.2541e-03,4.9959e-05,4.7752e-06,6.2770e-08,,,,,,            8.9594,           15.9319,           24.6678,           31.8617,          -17.1516,            6.0951,            9.9352,           -0.3788,           -0.2478,          -56.2340,
Ref 20,4.71387e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6258e-06,6.3725e-08,,,,,,,,,,,
Sam 20,4.75205e-08,1.20484e-02,4.2542e-03,4.9958e-05,4.7722e-06,6.2787e-08,,,,,,            8.9794,           15.9379,           24.6265,           31.3280,           -3.2170,            6.1161,            9.9412,           -0.4454,           -0.7769,          -42.8849,
Ref 21,4.66201e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6287e-06,6.2247e-08,,,,,,,,,,,


Ref 1,4.63817e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6269e-06,6.2656e-08,,,,,,,,,,,
Sam 1,4.67765e-08,1.20484e-02,4.2541e-03,4.9962e-05,4.7733e-06,6.2525e-08,,,,,,            8.9737,           15.9440,           24.7169,           31.5115,           -9.3300,            6.1099,            9.9472,           -0.3573,           -0.6110,          -48.7602,
Ref 2,4.58792e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6281e-06,6.3576e-08,,,,,,,,,,,
Sam 2,4.62878e-08,1.20484e-02,4.2541e-03,4.9959e-05,4.7761e-06,6.3641e-08,,,,,,            8.9748,           15.9378,           24.6284,           32.0203,           -0.3403,            6.1112,            9.9410,           -0.4386,           -0.1058,          -40.1178,
Ref 3,4.53644e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6278e-06,6.3750e-08,,,,,,,,,,,
Sam 3,4.58181e-08,1.20481e-02,4.2541e-03,4.9958e-05,4.7740e-06,6.2443e-08,,,,,,            8.9471,           15.9202,           24.5995,           31.4917,          -19.6701,            6.0824,            9.9236,           -0.4216,           -0.5833,          -58.6189,
Ref 4,4.48818e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6287e-06,6.3642e-08,,,,,,,,,,,
Sam 4,4.53288e-08,1.20484e-02,4.2541e-03,4.9959e-05,4.7755e-06,6.4009e-08,,,,,,            8.9696,           15.9309,           24.6137,           31.7884,           20.4910,            6.1060,            9.9342,           -0.4410,           -0.3169,          -20.0969,
Ref 5,4.43949e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6280e-06,6.1795e-08,,,,,,,,,,,
Sam 5,4.48637e-08,1.20483e-02,4.2542e-03,4.9962e-05,4.7752e-06,6.2823e-08,,,,,,            8.9710,           15.9535,           24.6930,           31.5753,          -11.0570,            6.1066,            9.9566,           -0.3869,           -0.5678,          -50.4331,
Ref 6,4.39351e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6301e-06,6.5274e-08,,,,,,,,,,,
Sam 6,4.44133e-08,1.20482e-02,4.2541e-03,4.9957e-05,4.7750e-06,6.4402e-08,,,,,,            8.9638,           15.9288,           24.5574,           31.6668,           -3.3170,            6.0999,            9.9321,           -0.4880,           -0.4307,          -42.9484,
Ref 7,4.34568e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6267e-06,6.3952e-08,,,,,,,,,,,
Sam 7,4.39433e-08,1.20482e-02,4.2542e-03,4.9958e-05,4.7738e-06,6.0704e-08,,,,,,            8.9655,           15.9445,           24.5323,           31.6077,          -53.1124,            6.1011,            9.9477,           -0.5294,           -0.5188,          -90.7929,
Ref 8,4.30002e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6284e-06,6.4269e-08,,,,,,,,,,,
Sam 8,4.35072e-08,1.20480e-02,4.2540e-03,4.9961e-05,4.7733e-06,6.1650e-08,,,,,,            8.9564,           15.9162,           24.6475,           31.3209,          -26.1466,            6.0924,            9.9196,           -0.3804,           -0.7411,          -64.8401,
Ref 9,4.25413e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6282e-06,6.2331e-08,,,,,,,,,,,
Sam 9,4.30510e-08,1.20480e-02,4.2541e-03,4.9960e-05,4.7753e-06,6.3533e-08,,,,,,            8.9616,           15.9348,           24.6548,           31.9925,           -5.5852,            6.0973,            9.9381,           -0.3966,           -0.1270,          -45.1353,
Ref 10,4.21058e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6264e-06,6.5464e-08,,,,,,,,,,,
Sam 10,4.26005e-08,1.20481e-02,4.2541e-03,4.9968e-05,4.7747e-06,6.2580e-08,,,,,,            8.9691,           15.9343,           24.7894,           31.7097,          -32.2252,            6.1053,            9.9376,           -0.2724,           -0.3998,          -70.7220,
Ref 11,4.16410e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6296e-06,6.3855e-08,,,,,,,,,,,
Sam 11,4.21887e-08,1.20479e-02,4.2541e-03,4.9956e-05,4.7743e-06,6.3543e-08,,,,,,            8.9440,           15.9121,           24.5029,           31.2364,           -3.4003,            6.0793,            9.9155,           -0.5048,           -0.8148,          -42.9774,
Ref 12,4.12016e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6297e-06,6.3663e-08,,,,,,,,,,,
Sam 12,4.17319e-08,1.20482e-02,4.2542e-03,4.9964e-05,4.7755e-06,6.1796e-08,,,,,,            8.9538,           15.9237,           24.6195,           31.5898,          -37.6772,            6.0894,            9.9270,           -0.4123,           -0.4952,          -75.9233,
Ref 13,4.07576e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6288e-06,6.4773e-08,,,,,,,,,,,
Sam 13,4.12822e-08,1.20482e-02,4.2542e-03,4.9966e-05,4.7762e-06,6.3140e-08,,,,,,            8.9536,           15.9160,           24.5828,           31.8916,          -22.5445,            6.0895,            9.9194,           -0.4404,           -0.1876,          -61.3779,
Ref 14,4.03412e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6284e-06,6.4418e-08,,,,,,,,,,,
Sam 14,4.08727e-08,1.20483e-02,4.2542e-03,4.9969e-05,4.7761e-06,6.2237e-08,,,,,,            8.9584,           15.9157,           24.6503,           32.0712,          -32.3815,            6.0945,            9.9191,           -0.3792,           -0.0130,          -70.8281,
Ref 15,3.99192e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6269e-06,6.4221e-08,,,,,,,,,,,
Sam 15,4.04496e-08,1.20482e-02,4.2542e-03,4.9964e-05,4.7745e-06,6.1067e-08,,,,,,            8.9604,           15.9159,           24.5893,           31.6692,          -48.3526,            6.0967,            9.9193,           -0.4409,           -0.4029,          -86.1670,
Ref 16,3.95122e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6289e-06,6.4118e-08,,,,,,,,,,,
Sam 16,4.00327e-08,1.20482e-02,4.2543e-03,4.9970e-05,4.7755e-06,6.1649e-08,,,,,,            8.9600,           15.9312,           24.7467,           31.7162,          -42.9669,            6.0957,            9.9345,           -0.3017,           -0.3875,          -81.0221,
Ref 17,3.91005e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6284e-06,6.4720e-08,,,,,,,,,,,
Sam 17,3.96362e-08,1.20483e-02,4.2543e-03,4.9965e-05,4.7759e-06,6.2645e-08,,,,,,            8.9623,           15.9191,           24.6602,           31.8013,          -34.5013,            6.0986,            9.9225,           -0.3768,           -0.2814,          -72.8738,
Ref 18,3.87046e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6290e-06,6.5049e-08,,,,,,,,,,,
Sam 18,3.92277e-08,1.20483e-02,4.2543e-03,4.9965e-05,4.7728e-06,6.1023e-08,,,,,,            8.9749,           15.9294,           24.6243,           31.1582,          -64.3373,            6.1117,            9.9326,           -0.4346,           -0.9245,         -101.5537,
Ref 19,3.83142e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6281e-06,6.5390e-08,,,,,,,,,,,
Sam 19,3.88420e-08,1.20482e-02,4.2542e-03,4.9960e-05,4.7756e-06,6.4175e-08,,,,,,            8.9708,           15.9277,           24.4796,           31.7810,          -19.7786,            6.1074,            9.9310,           -0.5700,           -0.3179,          -58.7603,
Ref 20,3.79288e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6289e-06,6.5550e-08,,,,,,,,,,,
Sam 20,3.84493e-08,1.20482e-02,4.2542e-03,4.9960e-05,4.7769e-06,6.3691e-08,,,,,,            8.9620,           15.9208,           24.4108,           31.7714,          -18.7088,            6.0982,            9.9242,           -0.6214,           -0.3136,          -57.7117,
Ref 21,3.75449e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6307e-06,6.4253e-08,,,,,,,,,,,


Ref 1,3.73545e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6293e-06,6.5562e-08,,,,,,,,,,,
Sam 1,3.78696e-08,1.20483e-02,4.2542e-03,4.9969e-05,4.7792e-06,6.2366e-08,,,,,,            8.9586,           15.9172,           24.6962,           32.4377,          -43.9602,            6.0947,            9.9206,           -0.3360,            0.3390,          -81.9497,
Ref 2,3.69877e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6288e-06,6.4902e-08,,,,,,,,,,,
Sam 2,3.75010e-08,1.20482e-02,4.2542e-03,4.9968e-05,4.7744e-06,6.4152e-08,,,,,,            8.9514,           15.9072,           24.6362,           31.4320,          -26.1596,            6.0874,            9.9106,           -0.3775,           -0.6156,          -64.8313,
Ref 3,3.66196e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6290e-06,6.6858e-08,,,,,,,,,,,
Sam 3,3.71371e-08,1.20483e-02,4.2543e-03,4.9964e-05,4.7768e-06,6.4333e-08,,,,,,            8.9640,           15.9324,           24.6177,           32.0700,          -41.1927,            6.0999,            9.9357,           -0.4329,           -0.0472,          -79.3246,
Ref 4,3.62555e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6278e-06,6.7337e-08,,,,,,,,,,,
Sam 4,3.67793e-08,1.20481e-02,4.2542e-03,4.9963e-05,4.7765e-06,6.4040e-08,,,,,,            8.9461,           15.9238,           24.5827,           31.8994,          -43.1517,            6.0812,            9.9272,           -0.4404,           -0.1954,          -81.1730,
Ref 5,3.58789e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6300e-06,6.6514e-08,,,,,,,,,,,
Sam 5,3.64155e-08,1.20481e-02,4.2542e-03,4.9962e-05,4.7773e-06,6.4356e-08,,,,,,            8.9563,           15.9215,           24.5875,           31.8055,           -3.5734,            6.0921,            9.9249,           -0.4439,           -0.2819,          -43.1734,
Ref 6,3.55373e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6301e-06,6.2640e-08,,,,,,,,,,,
Sam 6,3.60580e-08,1.20481e-02,4.2542e-03,4.9972e-05,4.7754e-06,6.1929e-08,,,,,,            8.9540,           15.9246,           24.7583,           31.4579,          -29.8283,            6.0896,            9.9279,           -0.2779,           -0.6248,          -68.3882,
Ref 7,3.51922e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6294e-06,6.5038e-08,,,,,,,,,,,
Sam 7,3.57046e-08,1.20480e-02,4.2542e-03,4.9963e-05,4.7753e-06,6.1650e-08,,,,,,            8.9536,           15.9283,           24.4751,           31.5479,          -57.6816,            6.0891,            9.9316,           -0.5574,           -0.5448,          -95.1406,
Ref 8,3.48365e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6292e-06,6.5815e-08,,,,,,,,,,,
Sam 8,3.53498e-08,1.20481e-02,4.2542e-03,4.9967e-05,4.7774e-06,6.0888e-08,,,,,,            8.9677,           15.9207,           24.6264,           32.1223,          -58.5234,            6.1043,            9.9240,           -0.4168,            0.0266,          -95.9491,
Ref 9,3.45015e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6283e-06,6.3520e-08,,,,,,,,,,,
Sam 9,3.50085e-08,1.20479e-02,4.2541e-03,4.9967e-05,4.7775e-06,6.2825e-08,,,,,,            8.9515,           15.9223,           24.7459,           32.2178,          -21.6077,            6.0870,            9.9257,           -0.2852,            0.1160,          -60.4877,
Ref 10,3.41864e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6285e-06,6.4911e-08,,,,,,,,,,,
Sam 10,3.46569e-08,1.20481e-02,4.2542e-03,4.9965e-05,4.7748e-06,6.3395e-08,,,,,,            8.9698,           15.9390,           24.7385,           31.4252,          -33.2911,            6.1059,            9.9422,           -0.3273,           -0.6847,          -71.7546,
Ref 11,3.38232e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6301e-06,6.6253e-08,,,,,,,,,,,
Sam 11,3.43219e-08,1.20480e-02,4.2541e-03,4.9959e-05,4.7762e-06,6.3498e-08,,,,,,            8.9655,           15.9066,           24.5295,           31.5867,          -37.6961,            6.1024,            9.9101,           -0.4954,           -0.4647,          -75.9224,
Ref 12,3.35012e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6298e-06,6.5716e-08,,,,,,,,,,,
Sam 12,3.39772e-08,1.20480e-02,4.2541e-03,4.9970e-05,4.7727e-06,6.4222e-08,,,,,,            8.9642,           15.9083,           24.6845,           30.7461,          -28.7020,            6.1009,            9.9117,           -0.3445,           -1.2824,          -67.2872,
Ref 13,3.31789e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6309e-06,6.6527e-08,,,,,,,,,,,
Sam 13,3.36642e-08,1.20479e-02,4.2541e-03,4.9966e-05,4.7747e-06,6.4027e-08,,,,,,            8.9642,           15.9229,           24.5427,           31.3894,          -33.0419,            6.1005,            9.9262,           -0.4970,           -0.6878,          -71.4810,
Ref 14,3.28620e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6279e-06,6.5900e-08,,,,,,,,,,,
Sam 14,3.33377e-08,1.20477e-02,4.2541e-03,4.9963e-05,4.7740e-06,6.2664e-08,,,,,,            8.9530,           15.9187,           24.5043,           31.3644,          -49.7694,            6.0887,            9.9221,           -0.5191,           -0.7039,          -87.5255,
Ref 15,3.25477e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6298e-06,6.5993e-08,,,,,,,,,,,
Sam 15,3.30142e-08,1.20478e-02,4.2541e-03,4.9959e-05,4.7786e-06,6.4795e-08,,,,,,            8.9617,           15.9247,           24.4894,           32.0553,          -26.5801,            6.0977,            9.9281,           -0.5482,           -0.0462,          -65.2770,
Ref 16,3.22388e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6306e-06,6.7141e-08,,,,,,,,,,,
Sam 16,3.26896e-08,1.20478e-02,4.2541e-03,4.9970e-05,4.7757e-06,6.4826e-08,,,,,,            8.9682,           15.9330,           24.7734,           31.6581,          -21.0034,            6.1044,            9.9363,           -0.2858,           -0.4473,          -59.9434,
Ref 17,3.19348e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6278e-06,6.5283e-08,,,,,,,,,,,
Sam 17,3.23763e-08,1.20477e-02,4.2540e-03,4.9961e-05,4.7770e-06,6.6905e-08,,,,,,            8.9564,           15.9176,           24.5411,           32.4697,           10.6675,            6.0923,            9.9210,           -0.4855,            0.3693,          -29.4912,
Ref 18,3.16179e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6257e-06,6.7125e-08,,,,,,,,,,,
Sam 18,3.20742e-08,1.20476e-02,4.2540e-03,4.9954e-05,4.7744e-06,6.6187e-08,,,,,,            8.9602,           15.9014,           24.3936,           31.8347,          -12.5701,            6.0969,            9.9048,           -0.6175,           -0.2140,          -51.7795,
Ref 19,3.13241e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6285e-06,6.6932e-08,,,,,,,,,,,
Sam 19,3.17762e-08,1.20476e-02,4.2540e-03,4.9966e-05,4.7752e-06,6.4146e-08,,,,,,            8.9605,           15.9117,           24.6333,           31.5229,          -39.7922,            6.0970,            9.9151,           -0.3941,           -0.5365,          -77.9395,
Ref 20,3.10323e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6300e-06,6.6674e-08,,,,,,,,,,,
Sam 20,3.14672e-08,1.20477e-02,4.2540e-03,4.9968e-05,4.7786e-06,6.3224e-08,,,,,,            8.9542,           15.9066,           24.6267,           32.0575,          -51.7428,            6.0904,            9.9100,           -0.3891,           -0.0084,          -89.4001,
Ref 21,3.07456e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6304e-06,6.6674e-08,,,,,,,,,,,


