Nu Stable Isotope Analysis Program
Data Collected on Sunday, June 17, 2018 at 11:43 with Stable 1.69.5 on PS019,Reanalyzed on Sunday, June 17, 2018 at 12:43 with Stable 1.69.5 on PS019

Data File = Data_5980 ETH-03.txt,         Sample Weight = 447,                      Vial Location = 29,                       Initial Sam Beam = 1.2258e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6265e-08,                Max Ref Beam = 1.0662e-07,                
Analysis undertaken at mass 46.01241
Analysis undertaken at mass 46.01241
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.50496e-08,,,,,,1.1941e-02,4.1873e-03,4.8752e-05,4.6258e-06,6.5735e-08,,,,,,,,,,,
Sam 1,5.48109e-08,1.19996e-02,4.2407e-03,4.9591e-05,4.7443e-06,6.1754e-08,,,,,,            4.8687,           12.7510,           17.1440,           25.4644,          -54.8751,            1.8510,            6.7787,           -0.4762,           -0.1952,          -82.8897,
Ref 2,5.44270e-08,,,,,,1.1942e-02,4.1874e-03,4.8758e-05,4.6271e-06,6.4939e-08,,,,,,,,,,,
Sam 2,5.42387e-08,1.19997e-02,4.2408e-03,4.9597e-05,4.7440e-06,6.3295e-08,,,,,,            4.8709,           12.7476,           17.2149,           25.3045,          -26.7806,            1.8535,            6.7753,           -0.4055,           -0.3443,          -55.6238,
Ref 3,5.38066e-08,,,,,,1.1942e-02,4.1874e-03,4.8757e-05,4.6267e-06,6.5136e-08,,,,,,,,,,,
Sam 3,5.36688e-08,1.19996e-02,4.2408e-03,4.9598e-05,4.7448e-06,6.4167e-08,,,,,,            4.8629,           12.7533,           17.2077,           25.2535,           -3.2058,            1.8448,            6.7810,           -0.4098,           -0.4053,          -32.7502,
Ref 4,5.32203e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6291e-06,6.3603e-08,,,,,,,,,,,
Sam 4,5.30730e-08,1.19997e-02,4.2408e-03,4.9596e-05,4.7447e-06,6.3200e-08,,,,,,            4.8727,           12.7477,           17.1724,           25.0284,          -17.8946,            1.8553,            6.7754,           -0.4491,           -0.6138,          -47.0032,
Ref 5,5.26129e-08,,,,,,1.1942e-02,4.1875e-03,4.8757e-05,4.6286e-06,6.5108e-08,,,,,,,,,,,
Sam 5,5.25401e-08,1.19994e-02,4.2407e-03,4.9597e-05,4.7471e-06,6.3722e-08,,,,,,            4.8493,           12.7336,           17.2396,           25.6617,          -24.8070,            1.8310,            6.7614,           -0.3454,            0.0315,          -53.6614,
Ref 6,5.20252e-08,,,,,,1.1941e-02,4.1873e-03,4.8756e-05,4.6281e-06,6.5579e-08,,,,,,,,,,,
Sam 6,5.19738e-08,1.19994e-02,4.2407e-03,4.9592e-05,4.7462e-06,6.4134e-08,,,,,,            4.8588,           12.7364,           17.1592,           25.4245,          -12.5419,            1.8410,            6.7642,           -0.4369,           -0.2052,          -41.7740,
Ref 7,5.14391e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6289e-06,6.4310e-08,,,,,,,,,,,
Sam 7,5.14249e-08,1.19994e-02,4.2407e-03,4.9597e-05,4.7451e-06,6.4248e-08,,,,,,            4.8717,           12.7354,           17.2236,           25.1218,           -9.8851,            1.8547,            6.7631,           -0.3858,           -0.4983,          -39.2069,
Ref 8,5.08653e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6286e-06,6.5475e-08,,,,,,,,,,,
Sam 8,5.08979e-08,1.19994e-02,4.2407e-03,4.9594e-05,4.7450e-06,6.4695e-08,,,,,,            4.8645,           12.7498,           17.1770,           25.3060,          -14.1223,            1.8466,            6.7775,           -0.4383,           -0.3473,          -43.3383,
Ref 9,5.02885e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6271e-06,6.5771e-08,,,,,,,,,,,
Sam 9,5.03646e-08,1.19993e-02,4.2407e-03,4.9597e-05,4.7441e-06,6.4489e-08,,,,,,            4.8500,           12.7288,           17.2176,           25.0968,          -18.4157,            1.8318,            6.7566,           -0.3629,           -0.5097,          -47.4509,
Ref 10,4.97234e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6287e-06,6.5627e-08,,,,,,,,,,,
Sam 10,4.98301e-08,1.19993e-02,4.2407e-03,4.9591e-05,4.7479e-06,6.2874e-08,,,,,,            4.8633,           12.7475,           17.1120,           25.7807,          -36.6419,            1.8454,            6.7752,           -0.4986,            0.1201,          -65.1851,
Ref 11,4.91756e-08,,,,,,1.1941e-02,4.1873e-03,4.8753e-05,4.6284e-06,6.4899e-08,,,,,,,,,,,
Sam 11,4.93187e-08,1.19992e-02,4.2407e-03,4.9598e-05,4.7452e-06,6.3750e-08,,,,,,            4.8525,           12.7324,           17.2871,           25.1031,          -15.8712,            1.8344,            6.7602,           -0.3007,           -0.5107,          -44.9909,
Ref 12,4.86333e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6297e-06,6.4656e-08,,,,,,,,,,,
Sam 12,4.87945e-08,1.19992e-02,4.2407e-03,4.9597e-05,4.7460e-06,6.2816e-08,,,,,,            4.8474,           12.7255,           17.3042,           25.1682,          -21.6314,            1.8293,            6.7534,           -0.2722,           -0.4337,          -50.5629,
Ref 13,4.80952e-08,,,,,,1.1941e-02,4.1874e-03,4.8749e-05,4.6292e-06,6.3747e-08,,,,,,,,,,,
Sam 13,4.82930e-08,1.19994e-02,4.2407e-03,4.9598e-05,4.7440e-06,6.3360e-08,,,,,,            4.8612,           12.7201,           17.3817,           24.8479,          -20.2449,            1.8441,            6.7480,           -0.2049,           -0.7353,          -49.2213,
Ref 14,4.75724e-08,,,,,,1.1941e-02,4.1874e-03,4.8753e-05,4.6287e-06,6.5602e-08,,,,,,,,,,,
Sam 14,4.77797e-08,1.19994e-02,4.2407e-03,4.9593e-05,4.7472e-06,6.3674e-08,,,,,,            4.8634,           12.7295,           17.2339,           25.6179,          -24.2875,            1.8461,            6.7573,           -0.3615,           -0.0031,          -53.1638,
Ref 15,4.70472e-08,,,,,,1.1941e-02,4.1875e-03,4.8754e-05,4.6285e-06,6.4913e-08,,,,,,,,,,,
Sam 15,4.72936e-08,1.19992e-02,4.2407e-03,4.9598e-05,4.7443e-06,6.2287e-08,,,,,,            4.8468,           12.7208,           17.2822,           25.0171,          -28.8210,            1.8288,            6.7487,           -0.2886,           -0.5718,          -57.5308,
Ref 16,4.65426e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6285e-06,6.3350e-08,,,,,,,,,,,
Sam 16,4.67961e-08,1.19992e-02,4.2407e-03,4.9590e-05,4.7450e-06,6.3660e-08,,,,,,            4.8529,           12.7390,           17.1076,           25.1802,          -13.0008,            1.8346,            6.7668,           -0.4840,           -0.4486,          -42.2181,
Ref 17,4.60464e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6285e-06,6.5660e-08,,,,,,,,,,,
Sam 17,4.63240e-08,1.19993e-02,4.2407e-03,4.9599e-05,4.7452e-06,6.2749e-08,,,,,,            4.8663,           12.7200,           17.2864,           25.2215,          -46.0195,            1.8495,            6.7479,           -0.3036,           -0.3708,          -74.2384,
Ref 18,4.55431e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6284e-06,6.5894e-08,,,,,,,,,,,
Sam 18,4.58463e-08,1.19990e-02,4.2407e-03,4.9592e-05,4.7443e-06,6.2725e-08,,,,,,            4.8354,           12.7181,           17.1335,           24.7937,          -41.1703,            1.8167,            6.7460,           -0.4203,           -0.7840,          -69.4987,
Ref 19,4.50532e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6307e-06,6.4936e-08,,,,,,,,,,,
Sam 19,4.53680e-08,1.19992e-02,4.2407e-03,4.9593e-05,4.7457e-06,6.4521e-08,,,,,,            4.8576,           12.7256,           17.0895,           25.1177,          -10.0680,            1.8400,            6.7534,           -0.4936,           -0.4831,          -39.3519,
Ref 20,4.45552e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6281e-06,6.5421e-08,,,,,,,,,,,
Sam 20,4.48913e-08,1.19990e-02,4.2407e-03,4.9595e-05,4.7468e-06,6.2661e-08,,,,,,            4.8455,           12.7257,           17.0818,           25.4705,          -42.7967,            1.8271,            6.7536,           -0.4888,           -0.1393,          -71.1007,
Ref 21,4.40921e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6298e-06,6.5504e-08,,,,,,,,,,,


Ref 1,4.38637e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6286e-06,6.4312e-08,,,,,,,,,,,
Sam 1,4.41900e-08,1.19990e-02,4.2406e-03,4.9597e-05,4.7462e-06,6.3688e-08,,,,,,            4.8542,           12.7201,           17.1789,           25.6528,          -24.5808,            1.8367,            6.7479,           -0.3969,            0.0497,          -53.4218,
Ref 2,4.33790e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6263e-06,6.6284e-08,,,,,,,,,,,
Sam 2,4.37406e-08,1.19992e-02,4.2407e-03,4.9596e-05,4.7448e-06,6.2212e-08,,,,,,            4.8547,           12.7198,           17.0509,           25.3379,          -55.6828,            1.8372,            6.7477,           -0.5229,           -0.2568,          -83.6041,
Ref 3,4.29333e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6289e-06,6.5473e-08,,,,,,,,,,,
Sam 3,4.32891e-08,1.19991e-02,4.2407e-03,4.9598e-05,4.7443e-06,6.4315e-08,,,,,,            4.8537,           12.7242,           17.1057,           24.9054,           -9.5060,            1.8360,            6.7521,           -0.4724,           -0.6873,          -38.8000,
Ref 4,4.24721e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6292e-06,6.4386e-08,,,,,,,,,,,
Sam 4,4.28422e-08,1.19991e-02,4.2407e-03,4.9599e-05,4.7476e-06,6.1046e-08,,,,,,            4.8560,           12.7230,           17.2481,           25.5265,          -47.3412,            1.8385,            6.7509,           -0.3337,           -0.0794,          -75.5163,
Ref 5,4.20244e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6297e-06,6.3770e-08,,,,,,,,,,,
Sam 5,4.23779e-08,1.19991e-02,4.2408e-03,4.9604e-05,4.7468e-06,6.3732e-08,,,,,,            4.8711,           12.7497,           17.3441,           25.4046,          -11.6720,            1.8536,            6.7774,           -0.2807,           -0.2509,          -40.9671,
Ref 6,4.15951e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6286e-06,6.5206e-08,,,,,,,,,,,
Sam 6,4.19786e-08,1.19990e-02,4.2406e-03,4.9597e-05,4.7440e-06,6.3822e-08,,,,,,            4.8595,           12.7117,           17.1490,           24.9166,          -31.6056,            1.8426,            6.7396,           -0.4236,           -0.6517,          -60.2289,
Ref 7,4.11439e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6288e-06,6.6612e-08,,,,,,,,,,,
Sam 7,4.15537e-08,1.19992e-02,4.2407e-03,4.9593e-05,4.7453e-06,6.2754e-08,,,,,,            4.8687,           12.7213,           17.0814,           25.1300,          -57.4800,            1.8520,            6.7491,           -0.5087,           -0.4626,          -85.3645,
Ref 8,4.07181e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6293e-06,6.6549e-08,,,,,,,,,,,
Sam 8,4.11115e-08,1.19991e-02,4.2407e-03,4.9600e-05,4.7464e-06,6.3829e-08,,,,,,            4.8570,           12.7190,           17.2470,           25.2936,          -23.8765,            1.8397,            6.7469,           -0.3319,           -0.2985,          -52.7393,
Ref 9,4.02526e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6294e-06,6.4218e-08,,,,,,,,,,,
Sam 9,4.06784e-08,1.19992e-02,4.2408e-03,4.9606e-05,4.7465e-06,6.2249e-08,,,,,,            4.8603,           12.7275,           17.2484,           25.4335,          -41.7887,            1.8429,            6.7553,           -0.3420,           -0.1788,          -70.1403,
Ref 10,3.98432e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6282e-06,6.5717e-08,,,,,,,,,,,
Sam 10,4.02664e-08,1.19992e-02,4.2407e-03,4.9602e-05,4.7437e-06,6.4107e-08,,,,,,            4.8649,           12.7072,           17.1658,           24.7863,          -10.9505,            1.8484,            6.7351,           -0.4082,           -0.7698,          -40.1813,
Ref 11,3.94407e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6297e-06,6.3908e-08,,,,,,,,,,,
Sam 11,3.98779e-08,1.19992e-02,4.2408e-03,4.9603e-05,4.7460e-06,6.2265e-08,,,,,,            4.8663,           12.7181,           17.3136,           25.1258,          -38.1685,            1.8496,            6.7459,           -0.2750,           -0.4603,          -66.6162,
Ref 12,3.90305e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6297e-06,6.5574e-08,,,,,,,,,,,
Sam 12,3.94724e-08,1.19991e-02,4.2407e-03,4.9595e-05,4.7438e-06,6.3141e-08,,,,,,            4.8514,           12.7165,           17.0752,           24.7395,          -39.9427,            1.8338,            6.7444,           -0.4925,           -0.8338,          -68.3202,
Ref 13,3.86343e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6289e-06,6.5964e-08,,,,,,,,,,,
Sam 13,3.90798e-08,1.19991e-02,4.2407e-03,4.9597e-05,4.7458e-06,6.1688e-08,,,,,,            4.8544,           12.7097,           17.0416,           25.1477,          -64.2498,            1.8372,            6.7376,           -0.5220,           -0.4223,          -91.8997,
Ref 14,3.82467e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6299e-06,6.5884e-08,,,,,,,,,,,
Sam 14,3.86795e-08,1.19991e-02,4.2407e-03,4.9597e-05,4.7465e-06,5.9895e-08,,,,,,            4.8548,           12.7109,           17.0620,           25.4663,          -87.2387,            1.8376,            6.7388,           -0.5034,           -0.1141,         -114.2118,
Ref 15,3.78627e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6273e-06,6.5353e-08,,,,,,,,,,,
Sam 15,3.82997e-08,1.19992e-02,4.2407e-03,4.9604e-05,4.7470e-06,6.3655e-08,,,,,,            4.8622,           12.7036,           17.2087,           25.7421,          -27.6759,            1.8457,            6.7315,           -0.3598,            0.1692,          -56.4033,
Ref 16,3.74744e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6285e-06,6.5581e-08,,,,,,,,,,,
Sam 16,3.79158e-08,1.19990e-02,4.2407e-03,4.9602e-05,4.7464e-06,6.5445e-08,,,,,,            4.8458,           12.7041,           17.1194,           25.2642,          -11.9501,            1.8283,            6.7320,           -0.4312,           -0.2978,          -41.1264,
Ref 17,3.71054e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6303e-06,6.6899e-08,,,,,,,,,,,
Sam 17,3.75375e-08,1.19991e-02,4.2408e-03,4.9600e-05,4.7485e-06,6.4499e-08,,,,,,            4.8606,           12.7231,           17.1300,           25.7686,          -38.0916,            1.8434,            6.7509,           -0.4544,            0.1565,          -66.5450,
Ref 18,3.67287e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6280e-06,6.7210e-08,,,,,,,,,,,
Sam 18,3.71666e-08,1.19991e-02,4.2407e-03,4.9601e-05,4.7470e-06,6.3868e-08,,,,,,            4.8576,           12.7230,           17.1158,           25.6084,          -43.6546,            1.8402,            6.7509,           -0.4653,            0.0005,          -71.9403,
Ref 19,3.63650e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6289e-06,6.6353e-08,,,,,,,,,,,
Sam 19,3.67873e-08,1.19990e-02,4.2407e-03,4.9601e-05,4.7448e-06,6.2918e-08,,,,,,            4.8559,           12.7292,           17.0546,           25.2549,          -65.3009,            1.8381,            6.7570,           -0.5297,           -0.3564,          -92.9557,
Ref 20,3.60178e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6269e-06,6.8283e-08,,,,,,,,,,,
Sam 20,3.64426e-08,1.19989e-02,4.2407e-03,4.9607e-05,4.7469e-06,6.3007e-08,,,,,,            4.8574,           12.7316,           17.3040,           25.8984,          -66.6943,            1.8397,            6.7594,           -0.2884,            0.2664,          -94.3134,
Ref 21,3.56563e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6273e-06,6.6729e-08,,,,,,,,,,,


Ref 1,3.54731e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6269e-06,6.5536e-08,,,,,,,,,,,
Sam 1,3.59084e-08,1.19989e-02,4.2407e-03,4.9595e-05,4.7475e-06,6.4786e-08,,,,,,            4.8559,           12.7151,           17.0978,           25.9843,            0.1844,            1.8386,            6.7430,           -0.4735,            0.3827,          -29.3812,
Ref 2,3.51339e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6276e-06,6.4005e-08,,,,,,,,,,,
Sam 2,3.55518e-08,1.19992e-02,4.2408e-03,4.9607e-05,4.7437e-06,6.5632e-08,,,,,,            4.8759,           12.7410,           17.3321,           24.9589,            4.6950,            1.8590,            6.7687,           -0.2889,           -0.6682,          -25.0736,
Ref 3,3.47842e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6287e-06,6.6659e-08,,,,,,,,,,,
Sam 3,3.52004e-08,1.19991e-02,4.2408e-03,4.9600e-05,4.7434e-06,6.3549e-08,,,,,,            4.8571,           12.7340,           17.1225,           24.8987,          -56.9507,            1.8393,            6.7618,           -0.4689,           -0.7132,          -84.8623,
Ref 4,3.44437e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6277e-06,6.8123e-08,,,,,,,,,,,
Sam 4,3.48797e-08,1.19990e-02,4.2407e-03,4.9598e-05,4.7455e-06,6.5861e-08,,,,,,            4.8523,           12.7289,           17.1076,           25.3175,          -30.9508,            1.8344,            6.7567,           -0.4736,           -0.2947,          -59.6177,
Ref 5,3.41141e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6289e-06,6.7806e-08,,,,,,,,,,,
Sam 5,3.45298e-08,1.19990e-02,4.2407e-03,4.9601e-05,4.7436e-06,6.5477e-08,,,,,,            4.8641,           12.7312,           17.2350,           24.5889,          -32.2062,            1.8468,            6.7590,           -0.3627,           -1.0097,          -60.8519,
Ref 6,3.37812e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6306e-06,6.7505e-08,,,,,,,,,,,
Sam 6,3.41926e-08,1.19990e-02,4.2407e-03,4.9607e-05,4.7446e-06,6.4256e-08,,,,,,            4.8689,           12.7197,           17.3551,           24.6053,          -47.3804,            1.8523,            6.7476,           -0.2385,           -0.9711,          -75.5610,
Ref 7,3.34529e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6307e-06,6.7398e-08,,,,,,,,,,,
Sam 7,3.38643e-08,1.19989e-02,4.2407e-03,4.9598e-05,4.7497e-06,6.5074e-08,,,,,,            4.8586,           12.7126,           17.1758,           25.7838,          -13.4765,            1.8416,            6.7405,           -0.3972,            0.1920,          -42.6365,
Ref 8,3.31326e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6300e-06,6.4515e-08,,,,,,,,,,,
Sam 8,3.35390e-08,1.19990e-02,4.2407e-03,4.9599e-05,4.7447e-06,6.4016e-08,,,,,,            4.8581,           12.7216,           17.1107,           24.9294,          -35.0907,            1.8407,            6.7495,           -0.4694,           -0.6588,          -63.6276,
Ref 9,3.28126e-08,,,,,,1.1941e-02,4.1874e-03,4.8770e-05,4.6285e-06,6.8190e-08,,,,,,,,,,,
Sam 9,3.32208e-08,1.19989e-02,4.2407e-03,4.9600e-05,4.7434e-06,6.3735e-08,,,,,,            4.8573,           12.7200,           17.0691,           24.9496,          -48.8621,            1.8400,            6.7479,           -0.5080,           -0.6359,          -76.9881,
Ref 10,3.25040e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6273e-06,6.5817e-08,,,,,,,,,,,
Sam 10,3.28970e-08,1.19990e-02,4.2407e-03,4.9598e-05,4.7449e-06,6.4363e-08,,,,,,            4.8683,           12.7288,           17.1425,           25.3190,          -35.6424,            1.8513,            6.7566,           -0.4556,           -0.2931,          -64.1861,
Ref 11,3.21881e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6282e-06,6.7675e-08,,,,,,,,,,,
Sam 11,3.25813e-08,1.19989e-02,4.2407e-03,4.9599e-05,4.7469e-06,6.4432e-08,,,,,,            4.8693,           12.7263,           17.2588,           25.6624,          -47.7119,            1.8525,            6.7542,           -0.3400,            0.0466,          -75.8951,
Ref 12,3.18925e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6281e-06,6.7646e-08,,,,,,,,,,,
Sam 12,3.22779e-08,1.19989e-02,4.2407e-03,4.9601e-05,4.7485e-06,6.5176e-08,,,,,,            4.8677,           12.7219,           17.1718,           26.0023,          -52.2760,            1.8510,            6.7498,           -0.4196,            0.3867,          -80.3146,
Ref 13,3.15844e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6282e-06,6.9908e-08,,,,,,,,,,,
Sam 13,3.19642e-08,1.19990e-02,4.2407e-03,4.9597e-05,4.7444e-06,6.3891e-08,,,,,,            4.8696,           12.7169,           17.0172,           25.3892,          -71.7119,            1.8532,            6.7447,           -0.5685,           -0.2011,          -99.1685,
Ref 14,3.12773e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6256e-06,6.7736e-08,,,,,,,,,,,
Sam 14,3.16576e-08,1.19987e-02,4.2406e-03,4.9608e-05,4.7468e-06,6.5628e-08,,,,,,            4.8521,           12.7130,           17.3063,           26.1541,          -38.5875,            1.8347,            6.7409,           -0.2627,            0.5524,          -66.9995,
Ref 15,3.09961e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6260e-06,6.8794e-08,,,,,,,,,,,
Sam 15,3.13551e-08,1.19989e-02,4.2406e-03,4.9605e-05,4.7465e-06,6.7419e-08,,,,,,            4.8699,           12.7234,           17.2722,           25.7396,          -12.6440,            1.8533,            6.7512,           -0.3245,            0.1278,          -41.8600,
Ref 16,3.06985e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6288e-06,6.7766e-08,,,,,,,,,,,
Sam 16,3.10591e-08,1.19990e-02,4.2406e-03,4.9604e-05,4.7476e-06,6.4400e-08,,,,,,            4.8849,           12.7258,           17.1834,           25.6640,          -48.4933,            1.8692,            6.7536,           -0.4296,            0.0492,          -76.6676,
Ref 17,3.04178e-08,,,,,,1.1941e-02,4.1872e-03,4.8770e-05,4.6288e-06,6.7598e-08,,,,,,,,,,,
Sam 17,3.07709e-08,1.19987e-02,4.2406e-03,4.9599e-05,4.7461e-06,6.5823e-08,,,,,,            4.8636,           12.7305,           17.0006,           25.5123,          -25.4233,            1.8463,            6.7583,           -0.5919,           -0.1079,          -54.2680,
Ref 18,3.01314e-08,,,,,,1.1941e-02,4.1873e-03,4.8769e-05,4.6273e-06,6.7481e-08,,,,,,,,,,,
Sam 18,3.04767e-08,1.19989e-02,4.2406e-03,4.9602e-05,4.7447e-06,6.6071e-08,,,,,,            4.8737,           12.7297,           17.1226,           25.1597,          -16.9772,            1.8571,            6.7575,           -0.4816,           -0.4501,          -46.0806,
Ref 19,2.98511e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6291e-06,6.6940e-08,,,,,,,,,,,
Sam 19,3.01824e-08,1.19988e-02,4.2406e-03,4.9601e-05,4.7464e-06,6.4399e-08,,,,,,            4.8621,           12.7215,           17.1593,           25.3819,          -43.1695,            1.8450,            6.7494,           -0.4257,           -0.2174,          -71.4713,
Ref 20,2.95736e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6286e-06,6.7672e-08,,,,,,,,,,,
Sam 20,2.99096e-08,1.19987e-02,4.2406e-03,4.9598e-05,4.7448e-06,6.4914e-08,,,,,,            4.8568,           12.7213,           17.0653,           25.1734,          -28.6480,            1.8394,            6.7491,           -0.5124,           -0.4202,          -57.3736,
Ref 21,2.92838e-08,,,,,,1.1941e-02,4.1873e-03,4.8768e-05,4.6279e-06,6.5978e-08,,,,,,,,,,,


