Nu Stable Isotope Analysis Program
Data Collected on Sunday, June 17, 2018 at 23:11 with Stable 1.69.5 on PS019,Reanalyzed on Monday, June 18, 2018 at 00:11 with Stable 1.69.5 on PS019

Data File = Data_5987 CYC16-045B B.txt,   Sample Weight = 478,                      Vial Location = 36,                       Initial Sam Beam = 1.2480e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9869e-08,                Max Ref Beam = 1.0657e-07,                
Analysis undertaken at mass 46.01242
Analysis undertaken at mass 46.01242
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.58463e-08,,,,,,1.1941e-02,4.1872e-03,4.8745e-05,4.6280e-06,6.3205e-08,,,,,,,,,,,
Sam 1,5.56028e-08,1.20135e-02,4.2490e-03,4.9750e-05,4.7623e-06,6.0540e-08,,,,,,            6.0414,           14.7385,           20.5001,           28.9501,          -44.0661,            3.0306,            8.7539,           -0.3134,           -0.7225,          -77.1165,
Ref 2,5.52392e-08,,,,,,1.1942e-02,4.1874e-03,4.8756e-05,4.6286e-06,6.3457e-08,,,,,,,,,,,
Sam 2,5.50042e-08,1.20136e-02,4.2491e-03,4.9747e-05,4.7629e-06,6.0516e-08,,,,,,            6.0389,           14.7312,           20.3125,           29.0654,          -50.4430,            3.0282,            8.7467,           -0.4875,           -0.5962,          -83.2576,
Ref 3,5.45986e-08,,,,,,1.1942e-02,4.1874e-03,4.8757e-05,4.6282e-06,6.4008e-08,,,,,,,,,,,
Sam 3,5.44138e-08,1.20136e-02,4.2490e-03,4.9754e-05,4.7643e-06,6.1840e-08,,,,,,            6.0290,           14.7251,           20.4799,           29.4120,          -39.1444,            3.0179,            8.7407,           -0.3075,           -0.2478,          -72.3288,
Ref 4,5.39643e-08,,,,,,1.1942e-02,4.1874e-03,4.8753e-05,4.6281e-06,6.4714e-08,,,,,,,,,,,
Sam 4,5.38321e-08,1.20136e-02,4.2491e-03,4.9755e-05,4.7637e-06,6.2166e-08,,,,,,            6.0264,           14.7221,           20.5924,           29.2595,          -28.6587,            3.0152,            8.7377,           -0.1917,           -0.3899,          -62.1972,
Ref 5,5.33608e-08,,,,,,1.1942e-02,4.1875e-03,4.8749e-05,4.6286e-06,6.3278e-08,,,,,,,,,,,
Sam 5,5.32540e-08,1.20136e-02,4.2491e-03,4.9749e-05,4.7639e-06,6.1746e-08,,,,,,            6.0388,           14.7254,           20.4554,           29.2421,          -14.5461,            3.0283,            8.7409,           -0.3418,           -0.4132,          -48.5904,
Ref 6,5.27566e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6286e-06,6.2030e-08,,,,,,,,,,,
Sam 6,5.26927e-08,1.20135e-02,4.2490e-03,4.9751e-05,4.7641e-06,6.0639e-08,,,,,,            6.0311,           14.7123,           20.4602,           29.3760,          -20.1074,            3.0206,            8.7279,           -0.3165,           -0.2574,          -53.9278,
Ref 7,5.21510e-08,,,,,,1.1942e-02,4.1874e-03,4.8753e-05,4.6277e-06,6.1735e-08,,,,,,,,,,,
Sam 7,5.21294e-08,1.20136e-02,4.2491e-03,4.9748e-05,4.7630e-06,6.1699e-08,,,,,,            6.0410,           14.7397,           20.3190,           29.0128,           -1.9516,            3.0301,            8.7552,           -0.4915,           -0.6641,          -36.4599,
Ref 8,5.15834e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6297e-06,6.1905e-08,,,,,,,,,,,
Sam 8,5.15787e-08,1.20135e-02,4.2490e-03,4.9750e-05,4.7655e-06,6.1765e-08,,,,,,            6.0356,           14.7325,           20.2903,           29.3285,           -7.8802,            3.0246,            8.7480,           -0.5071,           -0.3434,          -42.1647,
Ref 9,5.09995e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6297e-06,6.2610e-08,,,,,,,,,,,
Sam 9,5.10395e-08,1.20135e-02,4.2490e-03,4.9755e-05,4.7648e-06,6.0329e-08,,,,,,            6.0334,           14.7166,           20.4634,           29.2402,          -34.8394,            3.0228,            8.7322,           -0.3199,           -0.3976,          -68.1612,
Ref 10,5.04296e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6292e-06,6.2403e-08,,,,,,,,,,,
Sam 10,5.05005e-08,1.20134e-02,4.2490e-03,4.9755e-05,4.7626e-06,6.0623e-08,,,,,,            6.0306,           14.7107,           20.4572,           29.0990,          -28.6297,            3.0201,            8.7264,           -0.3175,           -0.5233,          -62.1527,
Ref 11,4.98659e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6267e-06,6.2416e-08,,,,,,,,,,,
Sam 11,4.99614e-08,1.20136e-02,4.2491e-03,4.9752e-05,4.7624e-06,6.2555e-08,,,,,,            6.0370,           14.7273,           20.3748,           29.1216,           -2.7899,            3.0264,            8.7428,           -0.4208,           -0.5339,          -37.2421,
Ref 12,4.93076e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6286e-06,6.3047e-08,,,,,,,,,,,
Sam 12,4.94287e-08,1.20135e-02,4.2491e-03,4.9753e-05,4.7636e-06,6.1583e-08,,,,,,            6.0351,           14.7267,           20.4776,           29.0416,          -21.0118,            3.0243,            8.7423,           -0.3176,           -0.6106,          -54.8315,
Ref 13,4.87546e-08,,,,,,1.1941e-02,4.1874e-03,4.8753e-05,4.6298e-06,6.2761e-08,,,,,,,,,,,
Sam 13,4.89284e-08,1.20134e-02,4.2491e-03,4.9752e-05,4.7650e-06,6.0414e-08,,,,,,            6.0252,           14.7195,           20.4285,           29.1371,          -40.4237,            3.0140,            8.7351,           -0.3485,           -0.5035,          -73.5500,
Ref 14,4.82223e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6303e-06,6.3160e-08,,,,,,,,,,,
Sam 14,4.84164e-08,1.20135e-02,4.2491e-03,4.9750e-05,4.7644e-06,6.1164e-08,,,,,,            6.0395,           14.7235,           20.3780,           29.1458,          -26.5019,            3.0291,            8.7391,           -0.4165,           -0.5031,          -60.1304,
Ref 15,4.76779e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6286e-06,6.2494e-08,,,,,,,,,,,
Sam 15,4.79232e-08,1.20134e-02,4.2491e-03,4.9753e-05,4.7658e-06,6.0827e-08,,,,,,            6.0356,           14.7280,           20.5118,           29.8556,          -43.2836,            3.0248,            8.7436,           -0.2858,            0.1774,          -76.3367,
Ref 16,4.71700e-08,,,,,,1.1941e-02,4.1874e-03,4.8751e-05,4.6267e-06,6.4676e-08,,,,,,,,,,,
Sam 16,4.74200e-08,1.20133e-02,4.2490e-03,4.9748e-05,4.7625e-06,6.2204e-08,,,,,,            6.0220,           14.7215,           20.3768,           29.2429,          -28.0053,            3.0105,            8.7371,           -0.3979,           -0.4048,          -61.5609,
Ref 17,4.66513e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6278e-06,6.3309e-08,,,,,,,,,,,
Sam 17,4.69181e-08,1.20133e-02,4.2490e-03,4.9753e-05,4.7612e-06,6.2065e-08,,,,,,            6.0187,           14.7086,           20.4561,           28.5859,          -27.4780,            3.0074,            8.7243,           -0.3043,           -1.0175,          -61.0251,
Ref 18,4.61473e-08,,,,,,1.1941e-02,4.1874e-03,4.8753e-05,4.6301e-06,6.4334e-08,,,,,,,,,,,
Sam 18,4.64190e-08,1.20134e-02,4.2491e-03,4.9753e-05,4.7628e-06,6.2401e-08,,,,,,            6.0408,           14.7273,           20.4876,           28.7644,          -17.7487,            3.0303,            8.7429,           -0.3142,           -0.8810,          -51.6880,
Ref 19,4.56480e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6292e-06,6.2715e-08,,,,,,,,,,,
Sam 19,4.59529e-08,1.20131e-02,4.2490e-03,4.9759e-05,4.7641e-06,6.1598e-08,,,,,,            6.0169,           14.7095,           20.5671,           29.2087,          -26.9759,            3.0055,            8.7252,           -0.1946,           -0.4144,          -60.5402,
Ref 20,4.51626e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6285e-06,6.3904e-08,,,,,,,,,,,
Sam 20,4.54743e-08,1.20133e-02,4.2491e-03,4.9753e-05,4.7658e-06,6.2192e-08,,,,,,            6.0339,           14.7339,           20.4350,           29.3761,          -21.6320,            3.0228,            8.7494,           -0.3650,           -0.2999,          -55.4421,
Ref 21,4.46738e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6310e-06,6.3226e-08,,,,,,,,,,,


Ref 1,4.44440e-08,,,,,,1.1941e-02,4.1873e-03,4.8752e-05,4.6297e-06,6.2426e-08,,,,,,,,,,,
Sam 1,4.47654e-08,1.20132e-02,4.2490e-03,4.9756e-05,4.7649e-06,6.0528e-08,,,,,,            6.0256,           14.7233,           20.5145,           29.3464,          -35.2833,            3.0143,            8.7389,           -0.2683,           -0.3078,          -68.5944,
Ref 2,4.39512e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6285e-06,6.3061e-08,,,,,,,,,,,
Sam 2,4.42931e-08,1.20132e-02,4.2491e-03,4.9753e-05,4.7643e-06,6.2352e-08,,,,,,            6.0306,           14.7276,           20.3982,           29.3326,          -13.7431,            3.0195,            8.7432,           -0.3916,           -0.3298,          -47.8110,
Ref 3,4.34883e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6285e-06,6.3383e-08,,,,,,,,,,,
Sam 3,4.38425e-08,1.20132e-02,4.2490e-03,4.9753e-05,4.7649e-06,6.1431e-08,,,,,,            6.0241,           14.7246,           20.4250,           29.7141,          -31.2779,            3.0127,            8.7402,           -0.3558,            0.0468,          -64.7281,
Ref 4,4.30303e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6263e-06,6.3447e-08,,,,,,,,,,,
Sam 4,4.33935e-08,1.20132e-02,4.2490e-03,4.9758e-05,4.7647e-06,6.1737e-08,,,,,,            6.0274,           14.7106,           20.5590,           29.6393,          -20.7585,            3.0167,            8.7263,           -0.2144,            0.0016,          -54.5498,
Ref 5,4.25706e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6288e-06,6.2641e-08,,,,,,,,,,,
Sam 5,4.29490e-08,1.20132e-02,4.2491e-03,4.9753e-05,4.7656e-06,6.1377e-08,,,,,,            6.0212,           14.7223,           20.3772,           29.2441,          -35.1320,            3.0096,            8.7379,           -0.3974,           -0.4051,          -68.4421,
Ref 6,4.21171e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6316e-06,6.4593e-08,,,,,,,,,,,
Sam 6,4.25153e-08,1.20133e-02,4.2490e-03,4.9751e-05,4.7628e-06,6.2264e-08,,,,,,            6.0328,           14.7045,           20.2710,           28.5535,          -41.6501,            3.0226,            8.7201,           -0.4961,           -1.0408,          -74.7147,
Ref 7,4.16755e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6297e-06,6.5351e-08,,,,,,,,,,,
Sam 7,4.20987e-08,1.20131e-02,4.2489e-03,4.9752e-05,4.7665e-06,6.2786e-08,,,,,,            6.0225,           14.6913,           20.2454,           29.4074,          -32.8622,            3.0121,            8.7071,           -0.4978,           -0.1856,          -66.1960,
Ref 8,4.12423e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6310e-06,6.4485e-08,,,,,,,,,,,
Sam 8,4.16731e-08,1.20130e-02,4.2489e-03,4.9758e-05,4.7654e-06,6.2741e-08,,,,,,            6.0182,           14.6863,           20.3965,           29.5556,          -32.2127,            3.0077,            8.7021,           -0.3406,           -0.0318,          -65.5555,
Ref 9,4.08258e-08,,,,,,1.1941e-02,4.1875e-03,4.8758e-05,4.6261e-06,6.5178e-08,,,,,,,,,,,
Sam 9,4.12408e-08,1.20131e-02,4.2490e-03,4.9758e-05,4.7647e-06,6.3152e-08,,,,,,            6.0275,           14.7084,           20.4720,           29.5208,          -22.8407,            3.0169,            8.7241,           -0.2975,           -0.1091,          -56.5560,
Ref 10,4.03890e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6300e-06,6.4072e-08,,,,,,,,,,,
Sam 10,4.07987e-08,1.20134e-02,4.2491e-03,4.9757e-05,4.7654e-06,6.2057e-08,,,,,,            6.0399,           14.7244,           20.3907,           29.0776,          -41.1035,            3.0295,            8.7399,           -0.4054,           -0.5710,          -74.2296,
Ref 11,3.99351e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6315e-06,6.5369e-08,,,,,,,,,,,
Sam 11,4.03766e-08,1.20132e-02,4.2491e-03,4.9755e-05,4.7656e-06,6.2887e-08,,,,,,            6.0177,           14.7023,           20.2998,           29.0658,          -36.1169,            3.0066,            8.7180,           -0.4502,           -0.5389,          -69.3535,
Ref 12,3.95268e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6305e-06,6.5117e-08,,,,,,,,,,,
Sam 12,3.99756e-08,1.20134e-02,4.2491e-03,4.9760e-05,4.7658e-06,6.3518e-08,,,,,,            6.0286,           14.7099,           20.4080,           29.2241,          -16.3551,            3.0179,            8.7256,           -0.3628,           -0.4002,          -50.2981,
Ref 13,3.91250e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6303e-06,6.4026e-08,,,,,,,,,,,
Sam 13,3.95637e-08,1.20134e-02,4.2492e-03,4.9762e-05,4.7658e-06,6.2660e-08,,,,,,            6.0378,           14.7219,           20.4460,           29.2961,          -23.2698,            3.0273,            8.7375,           -0.3466,           -0.3540,          -57.0054,
Ref 14,3.87270e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6299e-06,6.4282e-08,,,,,,,,,,,
Sam 14,3.91821e-08,1.20132e-02,4.2491e-03,4.9764e-05,4.7668e-06,6.1514e-08,,,,,,            6.0348,           14.6979,           20.4606,           29.4091,          -57.0916,            3.0249,            8.7136,           -0.3059,           -0.1968,          -89.6136,
Ref 15,3.83264e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6313e-06,6.6204e-08,,,,,,,,,,,
Sam 15,3.87827e-08,1.20132e-02,4.2491e-03,4.9763e-05,4.7641e-06,6.3203e-08,,,,,,            6.0302,           14.7067,           20.4382,           28.8063,          -42.7095,            3.0198,            8.7223,           -0.3317,           -0.7996,          -75.7389,
Ref 16,3.79439e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6302e-06,6.5840e-08,,,,,,,,,,,
Sam 16,3.84031e-08,1.20132e-02,4.2491e-03,4.9759e-05,4.7664e-06,6.2752e-08,,,,,,            6.0260,           14.7111,           20.3628,           29.3052,          -42.0755,            3.0152,            8.7267,           -0.4056,           -0.3237,          -75.1305,
Ref 17,3.75579e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6311e-06,6.5174e-08,,,,,,,,,,,
Sam 17,3.80204e-08,1.20131e-02,4.2491e-03,4.9761e-05,4.7675e-06,6.4009e-08,,,,,,            6.0140,           14.6964,           20.3906,           29.8505,          -22.5967,            3.0029,            8.7121,           -0.3518,            0.2349,          -56.2851,
Ref 18,3.71824e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6275e-06,6.5808e-08,,,,,,,,,,,
Sam 18,3.76521e-08,1.20133e-02,4.2491e-03,4.9768e-05,4.7683e-06,6.2484e-08,,,,,,            6.0356,           14.7178,           20.5040,           30.4948,          -50.1070,            3.0252,            8.7334,           -0.2836,            0.8184,          -82.9061,
Ref 19,3.68114e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6268e-06,6.5752e-08,,,,,,,,,,,
Sam 19,3.72852e-08,1.20131e-02,4.2491e-03,4.9756e-05,4.7651e-06,6.2269e-08,,,,,,            6.0219,           14.7060,           20.3053,           29.4279,          -54.2790,            3.0110,            8.7217,           -0.4528,           -0.1947,          -86.9001,
Ref 20,3.64517e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6310e-06,6.5935e-08,,,,,,,,,,,
Sam 20,3.69175e-08,1.20131e-02,4.2491e-03,4.9757e-05,4.7635e-06,6.3645e-08,,,,,,            6.0262,           14.7127,           20.3914,           28.9103,          -27.4505,            3.0154,            8.7283,           -0.3793,           -0.7104,          -61.0134,
Ref 21,3.60778e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6283e-06,6.4943e-08,,,,,,,,,,,


Ref 1,3.59026e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6319e-06,6.5967e-08,,,,,,,,,,,
Sam 1,3.63644e-08,1.20132e-02,4.2491e-03,4.9764e-05,4.7653e-06,6.4834e-08,,,,,,            6.0290,           14.7191,           20.5128,           28.8052,           -9.5479,            3.0181,            8.7347,           -0.2695,           -0.8252,          -43.7433,
Ref 2,3.55389e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6317e-06,6.4947e-08,,,,,,,,,,,
Sam 2,3.60356e-08,1.20130e-02,4.2490e-03,4.9755e-05,4.7661e-06,6.3595e-08,,,,,,            6.0161,           14.6807,           20.2665,           29.1079,          -26.5161,            3.0057,            8.6965,           -0.4603,           -0.4555,          -60.0428,
Ref 3,3.51877e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6308e-06,6.5712e-08,,,,,,,,,,,
Sam 3,3.56875e-08,1.20130e-02,4.2491e-03,4.9762e-05,4.7659e-06,6.3198e-08,,,,,,            6.0208,           14.6981,           20.3231,           28.9528,          -28.5163,            3.0101,            8.7139,           -0.4266,           -0.6405,          -62.0106,
Ref 4,3.48584e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6328e-06,6.4388e-08,,,,,,,,,,,
Sam 4,3.53298e-08,1.20131e-02,4.2491e-03,4.9760e-05,4.7668e-06,6.2552e-08,,,,,,            6.0334,           14.7123,           20.3170,           29.4149,          -47.2775,            3.0230,            8.7279,           -0.4592,           -0.2196,          -80.1624,
Ref 5,3.45276e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6284e-06,6.6937e-08,,,,,,,,,,,
Sam 5,3.50083e-08,1.20131e-02,4.2490e-03,4.9764e-05,4.7680e-06,6.4659e-08,,,,,,            6.0338,           14.7107,           20.5188,           29.8664,          -28.9618,            3.0234,            8.7264,           -0.2603,            0.2220,          -62.4764,
Ref 6,3.41835e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6312e-06,6.6235e-08,,,,,,,,,,,
Sam 6,3.46671e-08,1.20130e-02,4.2490e-03,4.9762e-05,4.7648e-06,6.3898e-08,,,,,,            6.0379,           14.6982,           20.5250,           29.0898,          -25.9666,            3.0283,            8.7139,           -0.2464,           -0.5077,          -59.5661,
Ref 7,3.38600e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6291e-06,6.4961e-08,,,,,,,,,,,
Sam 7,3.43404e-08,1.20128e-02,4.2490e-03,4.9756e-05,4.7644e-06,6.5203e-08,,,,,,            6.0229,           14.6948,           20.3671,           29.2281,          -11.2399,            3.0124,            8.7105,           -0.3823,           -0.3665,          -45.3257,
Ref 8,3.35147e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6291e-06,6.6938e-08,,,,,,,,,,,
Sam 8,3.40031e-08,1.20129e-02,4.2490e-03,4.9759e-05,4.7642e-06,6.3305e-08,,,,,,            6.0203,           14.6891,           20.4252,           29.0065,          -50.4840,            3.0098,            8.7048,           -0.3172,           -0.5704,          -83.2042,
Ref 9,3.32147e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6307e-06,6.6401e-08,,,,,,,,,,,
Sam 9,3.36785e-08,1.20130e-02,4.2490e-03,4.9760e-05,4.7636e-06,6.2938e-08,,,,,,            6.0325,           14.7174,           20.4215,           28.6640,          -50.1219,            3.0218,            8.7330,           -0.3609,           -0.9590,          -82.9168,
Ref 10,3.28902e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6309e-06,6.6116e-08,,,,,,,,,,,
Sam 10,3.33595e-08,1.20128e-02,4.2490e-03,4.9756e-05,4.7639e-06,6.2988e-08,,,,,,            6.0276,           14.7099,           20.2348,           28.5219,          -42.4012,            3.0169,            8.7256,           -0.5314,           -1.0823,          -75.4446,
Ref 11,3.25711e-08,,,,,,1.1941e-02,4.1874e-03,4.8772e-05,4.6327e-06,6.5435e-08,,,,,,,,,,,
Sam 11,3.30472e-08,1.20129e-02,4.2490e-03,4.9752e-05,4.7651e-06,6.3670e-08,,,,,,            6.0360,           14.6940,           20.1802,           28.8737,          -25.4344,            3.0264,            8.7097,           -0.5782,           -0.7092,          -59.0425,
Ref 12,3.22555e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6301e-06,6.5227e-08,,,,,,,,,,,
Sam 12,3.27383e-08,1.20127e-02,4.2489e-03,4.9755e-05,4.7670e-06,6.5259e-08,,,,,,            6.0207,           14.6822,           20.3489,           29.4798,          -22.9812,            3.0105,            8.6980,           -0.3857,           -0.0973,          -56.6371,
Ref 13,3.19546e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6309e-06,6.8376e-08,,,,,,,,,,,
Sam 13,3.24093e-08,1.20128e-02,4.2490e-03,4.9758e-05,4.7658e-06,6.5430e-08,,,,,,            6.0333,           14.7193,           20.3937,           29.0409,          -38.6804,            3.0227,            8.7349,           -0.3907,           -0.5966,          -71.8745,
Ref 14,3.16678e-08,,,,,,1.1941e-02,4.1873e-03,4.8765e-05,4.6317e-06,6.7747e-08,,,,,,,,,,,
Sam 14,3.21056e-08,1.20128e-02,4.2490e-03,4.9755e-05,4.7666e-06,6.2474e-08,,,,,,            6.0355,           14.7178,           20.2444,           29.1443,          -56.9548,            3.0251,            8.7334,           -0.5378,           -0.4932,          -89.5173,
Ref 15,3.13479e-08,,,,,,1.1941e-02,4.1874e-03,4.8770e-05,4.6316e-06,6.4731e-08,,,,,,,,,,,
Sam 15,3.17962e-08,1.20129e-02,4.2490e-03,4.9757e-05,4.7640e-06,6.4757e-08,,,,,,            6.0401,           14.7055,           20.2912,           29.0228,          -30.4922,            3.0304,            8.7211,           -0.4847,           -0.5870,          -63.9507,
Ref 16,3.10604e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6277e-06,6.8877e-08,,,,,,,,,,,
Sam 16,3.15087e-08,1.20128e-02,4.2489e-03,4.9759e-05,4.7673e-06,6.3175e-08,,,,,,            6.0309,           14.6953,           20.4213,           30.0085,          -70.9800,            3.0209,            8.7110,           -0.3380,            0.3905,         -103.0148,
Ref 17,3.07553e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6292e-06,6.7118e-08,,,,,,,,,,,
Sam 17,3.12292e-08,1.20125e-02,4.2488e-03,4.9757e-05,4.7660e-06,6.5441e-08,,,,,,            6.0008,           14.6792,           20.2842,           29.7164,          -15.6044,            2.9894,            8.6951,           -0.4259,            0.1384,          -49.4889,
Ref 18,3.04729e-08,,,,,,1.1941e-02,4.1873e-03,4.8773e-05,4.6278e-06,6.5833e-08,,,,,,,,,,,
Sam 18,3.09222e-08,1.20127e-02,4.2489e-03,4.9758e-05,4.7622e-06,6.3731e-08,,,,,,            6.0170,           14.7054,           20.2661,           28.6258,          -33.8839,            3.0058,            8.7211,           -0.4856,           -0.9725,          -67.2026,
Ref 19,3.01868e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6317e-06,6.6101e-08,,,,,,,,,,,
Sam 19,3.06302e-08,1.20125e-02,4.2488e-03,4.9757e-05,4.7624e-06,6.5349e-08,,,,,,            6.0124,           14.6741,           20.3120,           28.3377,          -23.6673,            3.0020,            8.6899,           -0.4055,           -1.1905,          -57.2764,
Ref 20,2.99122e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6306e-06,6.7772e-08,,,,,,,,,,,
Sam 20,3.03456e-08,1.20126e-02,4.2489e-03,4.9754e-05,4.7666e-06,6.4612e-08,,,,,,            6.0268,           14.6955,           20.3148,           29.2741,          -34.1688,            3.0166,            8.7113,           -0.4383,           -0.3233,          -67.4694,
Ref 21,2.96273e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6314e-06,6.6016e-08,,,,,,,,,,,


