Nu Stable Isotope Analysis Program
Data Collected on Monday, June 18, 2018 at 01:13 with Stable 1.69.5 on PS019,Reanalyzed on Monday, June 18, 2018 at 02:13 with Stable 1.69.5 on PS019

Data File = Data_5988 CYC15-025B A.txt,   Sample Weight = 430,                      Vial Location = 37,                       Initial Sam Beam = 1.0863e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9281e-08,                Max Ref Beam = 1.0583e-07,                
Analysis undertaken at mass 46.01491
Analysis undertaken at mass 46.01491
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.92956e-08,,,,,,1.1941e-02,4.1871e-03,4.8754e-05,4.6260e-06,6.4742e-08,,,,,,,,,,,
Sam 1,4.90718e-08,1.20182e-02,4.2641e-03,4.9951e-05,4.7944e-06,6.2191e-08,,,,,,            6.4479,           18.3491,           24.5443,           36.2193,          -28.9304,            3.3390,           12.3463,           -0.2701,           -0.7866,          -69.4312,
Ref 2,4.87617e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6276e-06,6.3338e-08,,,,,,,,,,,
Sam 2,4.85678e-08,1.20184e-02,4.2642e-03,4.9950e-05,4.7972e-06,6.2752e-08,,,,,,            6.4507,           18.3543,           24.4717,           36.7450,          -14.7087,            3.3418,           12.3514,           -0.3487,           -0.2896,          -55.8148,
Ref 3,4.82366e-08,,,,,,1.1941e-02,4.1873e-03,4.8760e-05,4.6267e-06,6.4043e-08,,,,,,,,,,,
Sam 3,4.80742e-08,1.20184e-02,4.2641e-03,4.9945e-05,4.7942e-06,6.4761e-08,,,,,,            6.4489,           18.3404,           24.3408,           36.0612,           10.9374,            3.3404,           12.3376,           -0.4612,           -0.9219,          -31.2109,
Ref 4,4.77072e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6279e-06,6.4078e-08,,,,,,,,,,,
Sam 4,4.75744e-08,1.20183e-02,4.2642e-03,4.9957e-05,4.7963e-06,6.3927e-08,,,,,,            6.4472,           18.3444,           24.6337,           36.5391,          -18.7675,            3.3385,           12.3416,           -0.1776,           -0.4688,          -59.6829,
Ref 5,4.72010e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6266e-06,6.6232e-08,,,,,,,,,,,
Sam 5,4.70785e-08,1.20183e-02,4.2642e-03,4.9949e-05,4.7951e-06,6.5006e-08,,,,,,            6.4480,           18.3569,           24.4944,           36.4267,          -16.1208,            3.3389,           12.3540,           -0.3263,           -0.6017,          -57.1701,
Ref 6,4.66802e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6266e-06,6.5910e-08,,,,,,,,,,,
Sam 6,4.65924e-08,1.20181e-02,4.2641e-03,4.9952e-05,4.7977e-06,6.4756e-08,,,,,,            6.4399,           18.3320,           24.4634,           36.5866,          -10.6031,            3.3311,           12.3292,           -0.3242,           -0.3987,          -51.8289,
Ref 7,4.61722e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6303e-06,6.4985e-08,,,,,,,,,,,
Sam 7,4.61189e-08,1.20181e-02,4.2641e-03,4.9950e-05,4.7962e-06,6.4335e-08,,,,,,            6.4425,           18.3312,           24.3653,           36.1006,          -10.4284,            3.3339,           12.3285,           -0.4219,           -0.8658,          -51.6627,
Ref 8,4.56841e-08,,,,,,1.1941e-02,4.1873e-03,4.8760e-05,4.6279e-06,6.5041e-08,,,,,,,,,,,
Sam 8,4.56303e-08,1.20183e-02,4.2641e-03,4.9947e-05,4.7973e-06,6.2618e-08,,,,,,            6.4591,           18.3506,           24.3771,           36.6064,          -31.7567,            3.3509,           12.3476,           -0.4460,           -0.4160,          -72.1531,
Ref 9,4.51806e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6279e-06,6.4298e-08,,,,,,,,,,,
Sam 9,4.51711e-08,1.20180e-02,4.2641e-03,4.9949e-05,4.7963e-06,6.2364e-08,,,,,,            6.4358,           18.3405,           24.3839,           36.2680,          -23.0701,            3.3265,           12.3377,           -0.4058,           -0.7225,          -63.7877,
Ref 10,4.47022e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6289e-06,6.3370e-08,,,,,,,,,,,
Sam 10,4.47054e-08,1.20183e-02,4.2641e-03,4.9949e-05,4.7968e-06,6.3025e-08,,,,,,            6.4495,           18.3417,           24.3353,           36.5141,          -20.4765,            3.3409,           12.3389,           -0.4684,           -0.4876,          -61.3179,
Ref 11,4.42257e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6268e-06,6.5326e-08,,,,,,,,,,,
Sam 11,4.42643e-08,1.20183e-02,4.2641e-03,4.9953e-05,4.7973e-06,6.3294e-08,,,,,,            6.4459,           18.3326,           24.5098,           36.5565,          -32.3675,            3.3375,           12.3298,           -0.2857,           -0.4288,          -72.6933,
Ref 12,4.37612e-08,,,,,,1.1941e-02,4.1874e-03,4.8753e-05,4.6294e-06,6.5497e-08,,,,,,,,,,,
Sam 12,4.38130e-08,1.20182e-02,4.2641e-03,4.9951e-05,4.7989e-06,6.2770e-08,,,,,,            6.4455,           18.3391,           24.4731,           36.7050,          -38.0504,            3.3368,           12.3362,           -0.3273,           -0.2984,          -78.1504,
Ref 13,4.32874e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6286e-06,6.5007e-08,,,,,,,,,,,
Sam 13,4.33579e-08,1.20183e-02,4.2642e-03,4.9952e-05,4.7957e-06,6.4217e-08,,,,,,            6.4563,           18.3541,           24.4238,           36.0234,          -24.8944,            3.3478,           12.3512,           -0.4010,           -0.9852,          -65.5808,
Ref 14,4.28255e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6292e-06,6.6715e-08,,,,,,,,,,,
Sam 14,4.29315e-08,1.20183e-02,4.2642e-03,4.9950e-05,4.7976e-06,6.4417e-08,,,,,,            6.4570,           18.3398,           24.3937,           36.5153,          -11.0080,            3.3490,           12.3370,           -0.4173,           -0.4828,          -52.2484,
Ref 15,4.23860e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6280e-06,6.3538e-08,,,,,,,,,,,
Sam 15,4.24932e-08,1.20183e-02,4.2642e-03,4.9950e-05,4.7989e-06,6.4017e-08,,,,,,            6.4530,           18.3478,           24.3482,           37.1589,           -8.9150,            3.3445,           12.3449,           -0.4653,            0.1222,          -50.2532,
Ref 16,4.19452e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6259e-06,6.5659e-08,,,,,,,,,,,
Sam 16,4.20707e-08,1.20180e-02,4.2641e-03,4.9954e-05,4.7997e-06,6.4401e-08,,,,,,            6.4395,           18.3312,           24.4793,           37.3890,           -9.2082,            3.3307,           12.3285,           -0.3076,            0.3766,          -50.4903,
Ref 17,4.15040e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6275e-06,6.4332e-08,,,,,,,,,,,
Sam 17,4.16370e-08,1.20182e-02,4.2641e-03,4.9956e-05,4.7976e-06,6.4286e-08,,,,,,            6.4544,           18.3315,           24.5466,           36.6917,           -3.8892,            3.3465,           12.3287,           -0.2573,           -0.2963,          -45.4084,
Ref 18,4.10554e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6281e-06,6.4744e-08,,,,,,,,,,,
Sam 18,4.12225e-08,1.20180e-02,4.2641e-03,4.9944e-05,4.7958e-06,6.2533e-08,,,,,,            6.4390,           18.3293,           24.3714,           36.1623,          -35.9076,            3.3303,           12.3266,           -0.4105,           -0.8026,          -76.0734,
Ref 19,4.06512e-08,,,,,,1.1941e-02,4.1874e-03,4.8752e-05,4.6288e-06,6.4983e-08,,,,,,,,,,,
Sam 19,4.08040e-08,1.20180e-02,4.2641e-03,4.9950e-05,4.7952e-06,6.3762e-08,,,,,,            6.4453,           18.3219,           24.4751,           36.1859,          -25.3735,            3.3372,           12.3192,           -0.3086,           -0.7653,          -65.9709,
Ref 20,4.02391e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6267e-06,6.5866e-08,,,,,,,,,,,
Sam 20,4.04001e-08,1.20180e-02,4.2641e-03,4.9951e-05,4.7969e-06,6.3563e-08,,,,,,            6.4358,           18.3203,           24.3378,           36.8374,          -40.2880,            3.3271,           12.3176,           -0.4313,           -0.1338,          -80.2520,
Ref 21,3.97977e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6262e-06,6.6601e-08,,,,,,,,,,,


Ref 1,3.95928e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6277e-06,6.3373e-08,,,,,,,,,,,
Sam 1,3.97585e-08,1.20183e-02,4.2642e-03,4.9950e-05,4.7982e-06,6.2529e-08,,,,,,            6.4563,           18.3530,           24.2984,           36.6240,          -18.9409,            3.3479,           12.3500,           -0.5223,           -0.4037,          -59.8736,
Ref 2,3.91728e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6296e-06,6.4103e-08,,,,,,,,,,,
Sam 2,3.93506e-08,1.20184e-02,4.2643e-03,4.9956e-05,4.7976e-06,6.1682e-08,,,,,,            6.4646,           18.3453,           24.3974,           36.5855,          -42.1521,            3.3569,           12.3424,           -0.4267,           -0.4258,          -82.1107,
Ref 3,3.87684e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6268e-06,6.4693e-08,,,,,,,,,,,
Sam 3,3.89579e-08,1.20181e-02,4.2642e-03,4.9965e-05,4.7991e-06,6.3474e-08,,,,,,            6.4377,           18.3216,           24.5707,           37.2510,          -34.6983,            3.3291,           12.3189,           -0.2072,            0.2625,          -74.8993,
Ref 4,3.83718e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6267e-06,6.6830e-08,,,,,,,,,,,
Sam 4,3.85672e-08,1.20183e-02,4.2643e-03,4.9955e-05,4.7978e-06,6.1460e-08,,,,,,            6.4457,           18.3315,           24.3562,           36.8439,          -68.4329,            3.3373,           12.3287,           -0.4342,           -0.1495,         -107.2534,
Ref 5,3.79859e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6279e-06,6.5112e-08,,,,,,,,,,,
Sam 5,3.81871e-08,1.20182e-02,4.2643e-03,4.9955e-05,4.7990e-06,6.3749e-08,,,,,,            6.4311,           18.3364,           24.3992,           36.6486,          -40.3183,            3.3216,           12.3336,           -0.3822,           -0.3476,          -80.3052,
Ref 6,3.76052e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6307e-06,6.7755e-08,,,,,,,,,,,
Sam 6,3.78101e-08,1.20183e-02,4.2642e-03,4.9957e-05,4.7947e-06,6.3325e-08,,,,,,            6.4497,           18.3096,           24.4843,           35.7121,          -59.1407,            3.3423,           12.3069,           -0.2923,           -1.1980,          -98.3143,
Ref 7,3.72225e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6281e-06,6.6851e-08,,,,,,,,,,,
Sam 7,3.74430e-08,1.20181e-02,4.2641e-03,4.9955e-05,4.7970e-06,6.1281e-08,,,,,,            6.4464,           18.3008,           24.4185,           35.7760,          -80.1095,            3.3390,           12.2982,           -0.3446,           -1.1192,         -118.3920,
Ref 8,3.68475e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6345e-06,6.6382e-08,,,,,,,,,,,
Sam 8,3.70728e-08,1.20181e-02,4.2642e-03,4.9950e-05,4.7978e-06,6.4126e-08,,,,,,            6.4426,           18.3142,           24.3388,           35.9363,          -30.2007,            3.3346,           12.3115,           -0.4314,           -0.9909,          -70.5806,
Ref 9,3.64786e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6283e-06,6.5862e-08,,,,,,,,,,,
Sam 9,3.67016e-08,1.20182e-02,4.2642e-03,4.9952e-05,4.7967e-06,6.3245e-08,,,,,,            6.4504,           18.3108,           24.2852,           36.2844,          -47.3059,            3.3430,           12.3081,           -0.4883,           -0.6484,          -86.9750,
Ref 10,3.61297e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6292e-06,6.6914e-08,,,,,,,,,,,
Sam 10,3.63584e-08,1.20181e-02,4.2642e-03,4.9959e-05,4.7956e-06,6.2612e-08,,,,,,            6.4432,           18.3161,           24.4470,           36.1235,          -44.9408,            3.3351,           12.3134,           -0.3282,           -0.8141,          -84.7108,
Ref 11,3.57632e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6276e-06,6.4189e-08,,,,,,,,,,,
Sam 11,3.60048e-08,1.20181e-02,4.2641e-03,4.9951e-05,4.7979e-06,6.3257e-08,,,,,,            6.4395,           18.3104,           24.3668,           36.4604,          -21.7052,            3.3314,           12.3077,           -0.3972,           -0.4779,          -62.4288,
Ref 12,3.54218e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6307e-06,6.5136e-08,,,,,,,,,,,
Sam 12,3.56494e-08,1.20179e-02,4.2641e-03,4.9954e-05,4.7987e-06,6.4168e-08,,,,,,            6.4409,           18.3201,           24.3164,           36.6459,          -20.7323,            3.3326,           12.3174,           -0.4572,           -0.3182,          -61.5154,
Ref 13,3.50729e-08,,,,,,1.1941e-02,4.1874e-03,4.8770e-05,4.6275e-06,6.5922e-08,,,,,,,,,,,
Sam 13,3.53081e-08,1.20180e-02,4.2641e-03,4.9947e-05,4.7969e-06,6.2312e-08,,,,,,            6.4491,           18.3159,           24.2280,           36.7616,          -59.9165,            3.3415,           12.3131,           -0.5478,           -0.1982,          -99.0681,
Ref 14,3.47302e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6261e-06,6.6650e-08,,,,,,,,,,,
Sam 14,3.49530e-08,1.20180e-02,4.2641e-03,4.9955e-05,4.7978e-06,6.3329e-08,,,,,,            6.4451,           18.3099,           24.4901,           37.0525,          -65.7103,            3.3374,           12.3072,           -0.2822,            0.0941,         -104.6066,
Ref 15,3.43968e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6266e-06,6.8928e-08,,,,,,,,,,,
Sam 15,3.46251e-08,1.20179e-02,4.2641e-03,4.9956e-05,4.7974e-06,6.5953e-08,,,,,,            6.4504,           18.3131,           24.4474,           36.4736,          -25.1914,            3.3429,           12.3103,           -0.3323,           -0.4705,          -65.7854,
Ref 16,3.40551e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6305e-06,6.6375e-08,,,,,,,,,,,
Sam 16,3.42874e-08,1.20178e-02,4.2641e-03,4.9958e-05,4.7942e-06,6.4016e-08,,,,,,            6.4459,           18.3215,           24.5309,           35.4363,          -51.2399,            3.3378,           12.3187,           -0.2543,           -1.4873,          -90.7596,
Ref 17,3.37276e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6297e-06,6.8583e-08,,,,,,,,,,,
Sam 17,3.39378e-08,1.20179e-02,4.2640e-03,4.9955e-05,4.7960e-06,6.7384e-08,,,,,,            6.4586,           18.3116,           24.4815,           36.1846,          -14.5558,            3.3517,           12.3089,           -0.3060,           -0.7463,          -55.5983,
Ref 18,3.34006e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6274e-06,6.8173e-08,,,,,,,,,,,
Sam 18,3.36235e-08,1.20178e-02,4.2641e-03,4.9963e-05,4.7974e-06,6.4434e-08,,,,,,            6.4430,           18.3211,           24.5514,           36.1697,          -48.0307,            3.3348,           12.3184,           -0.2311,           -0.7794,          -87.6808,
Ref 19,3.30761e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6324e-06,6.7193e-08,,,,,,,,,,,
Sam 19,3.33014e-08,1.20178e-02,4.2640e-03,4.9946e-05,4.7990e-06,6.7694e-08,,,,,,            6.4366,           18.3066,           24.1343,           36.3698,           -7.0879,            3.3284,           12.3040,           -0.6174,           -0.5579,          -48.4102,
Ref 20,3.27609e-08,,,,,,1.1941e-02,4.1874e-03,4.8770e-05,4.6288e-06,6.9171e-08,,,,,,,,,,,
Sam 20,3.29557e-08,1.20178e-02,4.2641e-03,4.9956e-05,4.7971e-06,6.4834e-08,,,,,,            6.4415,           18.3337,           24.3373,           36.4116,          -57.9973,            3.3327,           12.3309,           -0.4505,           -0.5708,          -97.2526,
Ref 21,3.24377e-08,,,,,,1.1941e-02,4.1873e-03,4.8769e-05,4.6283e-06,6.8477e-08,,,,,,,,,,,


Ref 1,3.22854e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6266e-06,6.6457e-08,,,,,,,,,,,
Sam 1,3.24945e-08,1.20178e-02,4.2641e-03,4.9957e-05,4.7942e-06,6.4445e-08,,,,,,            6.4439,           18.3248,           24.4623,           35.9231,          -27.4927,            3.3356,           12.3220,           -0.3224,           -1.0243,          -68.0056,
Ref 2,3.19800e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6293e-06,6.6074e-08,,,,,,,,,,,
Sam 2,3.21847e-08,1.20178e-02,4.2641e-03,4.9954e-05,4.7977e-06,6.2548e-08,,,,,,            6.4540,           18.3393,           24.3609,           36.2700,          -40.3488,            3.3459,           12.3364,           -0.4457,           -0.7182,          -80.3617,
Ref 3,3.16796e-08,,,,,,1.1941e-02,4.1873e-03,4.8766e-05,4.6302e-06,6.4273e-08,,,,,,,,,,,
Sam 3,3.18848e-08,1.20178e-02,4.2640e-03,4.9960e-05,4.7968e-06,6.3658e-08,,,,,,            6.4520,           18.3302,           24.4780,           36.2087,           -6.5120,            3.3441,           12.3274,           -0.3207,           -0.7596,          -47.9172,
Ref 4,3.13762e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6281e-06,6.3875e-08,,,,,,,,,,,
Sam 4,3.15783e-08,1.20177e-02,4.2640e-03,4.9958e-05,4.8009e-06,6.2577e-08,,,,,,            6.4481,           18.3136,           24.4758,           37.2744,          -41.7887,            3.3405,           12.3109,           -0.3028,            0.3008,          -81.6903,
Ref 5,3.10798e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6286e-06,6.6751e-08,,,,,,,,,,,
Sam 5,3.12837e-08,1.20178e-02,4.2640e-03,4.9953e-05,4.7987e-06,6.4858e-08,,,,,,            6.4513,           18.3111,           24.4133,           36.9911,          -33.5769,            3.3439,           12.3084,           -0.3646,            0.0324,          -73.8191,
Ref 6,3.07856e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6264e-06,6.7476e-08,,,,,,,,,,,
Sam 6,3.09845e-08,1.20177e-02,4.2641e-03,4.9955e-05,4.7972e-06,6.5028e-08,,,,,,            6.4430,           18.3286,           24.4112,           36.5951,          -48.1154,            3.3345,           12.3259,           -0.3751,           -0.3839,          -87.7752,
Ref 7,3.05104e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6292e-06,6.9163e-08,,,,,,,,,,,
Sam 7,3.06938e-08,1.20176e-02,4.2640e-03,4.9945e-05,4.7973e-06,6.5831e-08,,,,,,            6.4301,           18.3030,           24.2148,           36.3572,          -42.1129,            3.3216,           12.3003,           -0.5287,           -0.5629,          -81.9647,
Ref 8,3.02121e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6288e-06,6.8283e-08,,,,,,,,,,,
Sam 8,3.04089e-08,1.20177e-02,4.2640e-03,4.9949e-05,4.7962e-06,6.5689e-08,,,,,,            6.4444,           18.2985,           24.3176,           36.1702,          -43.8123,            3.3370,           12.2959,           -0.4387,           -0.7345,          -83.5992,
Ref 9,2.99375e-08,,,,,,1.1941e-02,4.1873e-03,4.8765e-05,4.6287e-06,6.9118e-08,,,,,,,,,,,
Sam 9,3.01123e-08,1.20178e-02,4.2640e-03,4.9954e-05,4.7960e-06,6.3272e-08,,,,,,            5.8258,           16.5070,           21.2871,           31.9525,         -108.6457,            2.7403,           10.5145,           -1.0349,           -1.2911,         -142.2106,
Ref 10,3.01575e-08,,,,,,1.1956e-02,4.2022e-03,4.9060e-05,4.6661e-06,7.2836e-08,,,,,,,,,,,
Sam 10,2.99062e-08,1.20175e-02,4.2640e-03,4.9956e-05,4.7971e-06,6.2536e-08,,,,,,            5.8047,           16.4880,           21.3518,           32.5419,          -88.0922,            2.7185,           10.4955,           -0.9316,           -0.6832,         -122.3791,
Ref 11,2.94523e-08,,,,,,1.1940e-02,4.1872e-03,4.8760e-05,4.6253e-06,6.4216e-08,,,,,,,,,,,
Sam 11,2.96159e-08,1.20177e-02,4.2639e-03,4.9954e-05,4.7996e-06,6.3475e-08,,,,,,            6.4663,           18.3279,           24.4563,           37.4421,          -39.8307,            3.3593,           12.3251,           -0.3542,            0.4344,          -79.8569,
Ref 12,2.91839e-08,,,,,,1.1941e-02,4.1872e-03,4.8763e-05,4.6276e-06,6.8018e-08,,,,,,,,,,,
Sam 12,2.93423e-08,1.20175e-02,4.2639e-03,4.9946e-05,4.7981e-06,6.2562e-08,,,,,,            6.4564,           18.3267,           24.2572,           36.9112,          -70.9879,            3.3489,           12.3239,           -0.5372,           -0.0752,         -109.7038,
Ref 13,2.89089e-08,,,,,,1.1940e-02,4.1872e-03,4.8763e-05,4.6270e-06,6.6660e-08,,,,,,,,,,,
Sam 13,2.90583e-08,1.20175e-02,4.2639e-03,4.9959e-05,4.8005e-06,6.3733e-08,,,,,,            6.4598,           18.3385,           24.5565,           37.1811,          -53.2409,            3.3520,           12.3357,           -0.2601,            0.1618,          -92.7205,
Ref 14,2.86396e-08,,,,,,1.1940e-02,4.1872e-03,4.8760e-05,4.6298e-06,6.7980e-08,,,,,,,,,,,
Sam 14,2.87970e-08,1.20174e-02,4.2639e-03,4.9948e-05,4.7970e-06,6.4746e-08,,,,,,            6.4491,           18.3107,           24.3328,           36.4751,          -43.9769,            3.3416,           12.3080,           -0.4404,           -0.4643,          -83.7831,
Ref 15,2.83753e-08,,,,,,1.1940e-02,4.1872e-03,4.8764e-05,4.6265e-06,6.7467e-08,,,,,,,,,,,
Sam 15,2.85254e-08,1.20174e-02,4.2639e-03,4.9951e-05,4.7947e-06,6.5582e-08,,,,,,            6.4573,           18.3066,           24.3194,           36.1777,          -23.7881,            3.3504,           12.3039,           -0.4579,           -0.7431,          -64.4356,
Ref 16,2.81250e-08,,,,,,1.1940e-02,4.1872e-03,4.8766e-05,4.6282e-06,6.6891e-08,,,,,,,,,,,
Sam 16,2.82690e-08,1.20174e-02,4.2638e-03,4.9948e-05,4.7954e-06,6.7556e-08,,,,,,            6.4599,           18.3209,           24.3051,           36.3850,           -0.8665,            3.3528,           12.3182,           -0.4885,           -0.5713,          -42.4977,
Ref 17,2.78775e-08,,,,,,1.1940e-02,4.1871e-03,4.8759e-05,4.6259e-06,6.8344e-08,,,,,,,,,,,
Sam 17,2.80181e-08,1.20172e-02,4.2638e-03,4.9947e-05,4.7986e-06,6.4172e-08,,,,,,            6.4397,           18.3162,           24.3311,           37.2265,          -57.6452,            3.3314,           12.3135,           -0.4379,            0.2494,          -96.8831,
Ref 18,2.76199e-08,,,,,,1.1940e-02,4.1872e-03,4.8762e-05,4.6270e-06,6.7849e-08,,,,,,,,,,,
Sam 18,2.77391e-08,1.20175e-02,4.2639e-03,4.9947e-05,4.7968e-06,6.6751e-08,,,,,,            6.4604,           18.3193,           24.3351,           36.4411,          -31.1057,            3.3533,           12.3166,           -0.4581,           -0.5142,          -71.4746,
Ref 19,2.73602e-08,,,,,,1.1940e-02,4.1872e-03,4.8759e-05,4.6294e-06,6.9950e-08,,,,,,,,,,,
Sam 19,2.74869e-08,1.20175e-02,4.2639e-03,4.9952e-05,4.7991e-06,6.6277e-08,,,,,,            6.4544,           18.3197,           24.4614,           36.4485,          -45.2264,            3.3469,           12.3169,           -0.3291,           -0.5077,          -85.0017,
Ref 20,2.71160e-08,,,,,,1.1940e-02,4.1871e-03,4.8759e-05,4.6312e-06,6.8879e-08,,,,,,,,,,,
Sam 20,2.72340e-08,1.20173e-02,4.2638e-03,4.9946e-05,4.7985e-06,6.4851e-08,,,,,,            6.4436,           18.3153,           24.3573,           36.5098,          -66.5589,            3.3356,           12.3126,           -0.4154,           -0.4400,         -105.4277,
Ref 21,2.68771e-08,,,,,,1.1940e-02,4.1871e-03,4.8758e-05,4.6277e-06,7.0076e-08,,,,,,,,,,,


