Nu Stable Isotope Analysis Program
Data Collected on Monday, June 18, 2018 at 17:47 with Stable 1.69.5 on PS019,Reanalyzed on Monday, June 18, 2018 at 18:47 with Stable 1.69.5 on PS019

Data File = Data_6000 ETH-01.txt,         Sample Weight = 463,                      Vial Location = 49,                       Initial Sam Beam = 1.2574e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.2866e-08,                Max Ref Beam = 1.0643e-07,                
Analysis undertaken at mass 46.0149
Analysis undertaken at mass 46.0149
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.65678e-08,,,,,,1.1942e-02,4.1873e-03,4.8756e-05,4.6272e-06,6.2829e-08,,,,,,,,,,,
Sam 1,5.64060e-08,1.20035e-02,4.2392e-03,4.9572e-05,4.7430e-06,6.0492e-08,,,,,,            5.1882,           12.3723,           16.7608,           24.8779,          -45.1196,            2.2041,            6.4012,           -0.8123,           -0.0194,          -73.0546,
Ref 2,5.59244e-08,,,,,,1.1942e-02,4.1874e-03,4.8753e-05,4.6285e-06,6.3878e-08,,,,,,,,,,,
Sam 2,5.58472e-08,1.20036e-02,4.2392e-03,4.9575e-05,4.7445e-06,6.1674e-08,,,,,,            5.1925,           12.3527,           16.8239,           24.9054,          -30.4810,            2.2094,            6.3817,           -0.7356,            0.0462,          -58.8128,
Ref 3,5.53254e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6300e-06,6.3345e-08,,,,,,,,,,,
Sam 3,5.52380e-08,1.20037e-02,4.2393e-03,4.9579e-05,4.7412e-06,6.1341e-08,,,,,,            5.2097,           12.3892,           16.8836,           23.7440,          -30.2361,            2.2264,            6.4179,           -0.7300,           -1.1591,          -58.6589,
Ref 4,5.46965e-08,,,,,,1.1942e-02,4.1874e-03,4.8756e-05,4.6325e-06,6.3161e-08,,,,,,,,,,,
Sam 4,5.46521e-08,1.20036e-02,4.2392e-03,4.9581e-05,4.7410e-06,6.1547e-08,,,,,,            5.1922,           12.3626,           16.9195,           23.7736,          -20.2068,            2.2087,            6.3915,           -0.6510,           -1.0777,          -48.8568,
Ref 5,5.40472e-08,,,,,,1.1942e-02,4.1874e-03,4.8756e-05,4.6294e-06,6.2467e-08,,,,,,,,,,,
Sam 5,5.40749e-08,1.20036e-02,4.2393e-03,4.9575e-05,4.7413e-06,6.1245e-08,,,,,,            5.2021,           12.3889,           16.8091,           24.2185,          -23.7970,            2.2184,            6.4176,           -0.7952,           -0.6954,          -52.4004,
Ref 6,5.34499e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6290e-06,6.3012e-08,,,,,,,,,,,
Sam 6,5.35043e-08,1.20035e-02,4.2392e-03,4.9570e-05,4.7450e-06,6.1828e-08,,,,,,            5.1994,           12.3658,           16.7065,           25.0342,          -30.8639,            2.2162,            6.3946,           -0.8706,            0.1461,          -59.2152,
Ref 7,5.28487e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6292e-06,6.4591e-08,,,,,,,,,,,
Sam 7,5.29279e-08,1.20034e-02,4.2392e-03,4.9575e-05,4.7425e-06,6.0670e-08,,,,,,            5.1808,           12.3557,           16.8246,           24.3734,          -50.1350,            2.1968,            6.3846,           -0.7258,           -0.4787,          -77.8863,
Ref 8,5.22185e-08,,,,,,1.1942e-02,4.1875e-03,4.8753e-05,4.6302e-06,6.3145e-08,,,,,,,,,,,
Sam 8,5.23518e-08,1.20035e-02,4.2392e-03,4.9574e-05,4.7430e-06,6.0634e-08,,,,,,            5.1937,           12.3670,           16.7814,           24.0553,          -39.9785,            2.2101,            6.3958,           -0.7924,           -0.8114,          -68.0597,
Ref 9,5.16428e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6329e-06,6.3174e-08,,,,,,,,,,,
Sam 9,5.18244e-08,1.20033e-02,4.2391e-03,4.9570e-05,4.7432e-06,6.1638e-08,,,,,,            5.1806,           12.3470,           16.6900,           24.0096,          -19.2297,            2.1969,            6.3759,           -0.8494,           -0.8165,          -47.8677,
Ref 10,5.10430e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6310e-06,6.2515e-08,,,,,,,,,,,
Sam 10,5.12785e-08,1.20034e-02,4.2391e-03,4.9577e-05,4.7418e-06,6.1105e-08,,,,,,            5.1813,           12.3496,           16.8010,           24.0150,          -23.4996,            2.1975,            6.3786,           -0.7436,           -0.8165,          -52.0185,
Ref 11,5.04786e-08,,,,,,1.1942e-02,4.1874e-03,4.8760e-05,4.6301e-06,6.2636e-08,,,,,,,,,,,
Sam 11,5.07355e-08,1.20034e-02,4.2392e-03,4.9576e-05,4.7428e-06,6.1924e-08,,,,,,            5.1915,           12.3679,           16.7423,           24.3610,          -21.2574,            2.2078,            6.3967,           -0.8295,           -0.5149,          -49.8857,
Ref 12,4.99319e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6299e-06,6.3909e-08,,,,,,,,,,,
Sam 12,5.01820e-08,1.20034e-02,4.2392e-03,4.9572e-05,4.7435e-06,6.1742e-08,,,,,,            5.1869,           12.3749,           16.6714,           24.3249,          -30.3277,            2.2026,            6.4038,           -0.9012,           -0.5640,          -58.6989,
Ref 13,4.93653e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6319e-06,6.3433e-08,,,,,,,,,,,
Sam 13,4.96757e-08,1.20033e-02,4.2392e-03,4.9576e-05,4.7415e-06,6.3296e-08,,,,,,            5.1800,           12.3674,           16.7915,           23.7345,           -8.6408,            2.1955,            6.3963,           -0.7689,           -1.1252,          -37.6254,
Ref 14,4.88168e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6311e-06,6.4267e-08,,,,,,,,,,,
Sam 14,4.91290e-08,1.20034e-02,4.2393e-03,4.9575e-05,4.7430e-06,6.2533e-08,,,,,,            5.1899,           12.3776,           16.7712,           24.3454,          -23.7768,            2.2058,            6.4064,           -0.8089,           -0.5493,          -52.3477,
Ref 15,4.82857e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6294e-06,6.3844e-08,,,,,,,,,,,
Sam 15,4.86360e-08,1.20032e-02,4.2391e-03,4.9573e-05,4.7435e-06,6.2811e-08,,,,,,            5.1820,           12.3479,           16.6696,           24.6506,          -20.0206,            2.1983,            6.3769,           -0.8718,           -0.1928,          -48.6385,
Ref 16,4.77587e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6294e-06,6.4346e-08,,,,,,,,,,,
Sam 16,4.81160e-08,1.20035e-02,4.2392e-03,4.9573e-05,4.7436e-06,6.2129e-08,,,,,,            5.1986,           12.3635,           16.6977,           24.8053,          -29.9521,            2.2155,            6.3923,           -0.8763,           -0.0727,          -58.3251,
Ref 17,4.72382e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6282e-06,6.3746e-08,,,,,,,,,,,
Sam 17,4.76221e-08,1.20033e-02,4.2392e-03,4.9577e-05,4.7430e-06,6.1914e-08,,,,,,            5.1865,           12.3672,           16.7884,           24.7572,          -31.3609,            2.2025,            6.3961,           -0.7784,           -0.1270,          -59.6874,
Ref 18,4.67227e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6286e-06,6.4093e-08,,,,,,,,,,,
Sam 18,4.71070e-08,1.20034e-02,4.2392e-03,4.9572e-05,4.7412e-06,6.2568e-08,,,,,,            5.1939,           12.3581,           16.6325,           24.2215,          -35.5794,            2.2106,            6.3869,           -0.9303,           -0.6317,          -63.7733,
Ref 19,4.61954e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6297e-06,6.5668e-08,,,,,,,,,,,
Sam 19,4.66157e-08,1.20035e-02,4.2392e-03,4.9575e-05,4.7409e-06,6.2008e-08,,,,,,            5.1942,           12.3612,           16.6764,           23.9610,          -45.5802,            2.2109,            6.3900,           -0.8905,           -0.8920,          -73.4876,
Ref 20,4.57011e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6303e-06,6.4262e-08,,,,,,,,,,,
Sam 20,4.61364e-08,1.20032e-02,4.2391e-03,4.9579e-05,4.7414e-06,6.0819e-08,,,,,,            5.1841,           12.3341,           16.8358,           24.0395,          -47.2276,            2.2010,            6.3631,           -0.6971,           -0.7619,          -75.0282,
Ref 21,4.52253e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6298e-06,6.3400e-08,,,,,,,,,,,


Ref 1,4.49490e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6286e-06,6.2771e-08,,,,,,,,,,,
Sam 1,4.54034e-08,1.20033e-02,4.2392e-03,4.9576e-05,4.7429e-06,6.2179e-08,,,,,,            5.1908,           12.3586,           16.7175,           24.5035,          -18.8315,            2.2074,            6.3875,           -0.8441,           -0.3575,          -47.5129,
Ref 2,4.44864e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6303e-06,6.3979e-08,,,,,,,,,,,
Sam 2,4.49416e-08,1.20032e-02,4.2391e-03,4.9576e-05,4.7421e-06,6.1974e-08,,,,,,            5.1840,           12.3383,           16.7378,           24.1097,          -46.0329,            2.2008,            6.3673,           -0.7974,           -0.7017,          -73.8759,
Ref 3,4.40062e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6306e-06,6.5961e-08,,,,,,,,,,,
Sam 3,4.44697e-08,1.20031e-02,4.2391e-03,4.9582e-05,4.7437e-06,6.2889e-08,,,,,,            5.1779,           12.3495,           16.8386,           24.6213,          -30.3706,            2.1939,            6.3784,           -0.7030,           -0.2246,          -58.6850,
Ref 4,4.35499e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6288e-06,6.3745e-08,,,,,,,,,,,
Sam 4,4.40332e-08,1.20032e-02,4.2391e-03,4.9580e-05,4.7439e-06,6.2984e-08,,,,,,            5.1855,           12.3481,           16.7586,           24.6834,          -12.6224,            2.2020,            6.3770,           -0.7880,           -0.1611,          -41.4602,
Ref 5,4.30880e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6304e-06,6.3835e-08,,,,,,,,,,,
Sam 5,4.35775e-08,1.20031e-02,4.2391e-03,4.9581e-05,4.7443e-06,6.3159e-08,,,,,,            5.1837,           12.3489,           16.7180,           24.4716,           -8.9244,            2.2001,            6.3778,           -0.8269,           -0.3695,          -37.8700,
Ref 6,4.26242e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6315e-06,6.3619e-08,,,,,,,,,,,
Sam 6,4.31285e-08,1.20033e-02,4.2392e-03,4.9578e-05,4.7439e-06,6.0964e-08,,,,,,            5.1959,           12.3559,           16.6796,           24.2802,          -52.1582,            2.2128,            6.3847,           -0.8839,           -0.5700,          -79.8654,
Ref 7,4.21531e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6314e-06,6.5026e-08,,,,,,,,,,,
Sam 7,4.26927e-08,1.20031e-02,4.2392e-03,4.9576e-05,4.7431e-06,6.1737e-08,,,,,,            5.1837,           12.3379,           16.6998,           24.1235,          -47.2308,            2.2005,            6.3669,           -0.8342,           -0.6875,          -75.0379,
Ref 8,4.17411e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6313e-06,6.4567e-08,,,,,,,,,,,
Sam 8,4.22550e-08,1.20031e-02,4.2391e-03,4.9577e-05,4.7447e-06,6.0481e-08,,,,,,            5.1874,           12.3362,           16.7290,           24.5636,          -55.8126,            2.2045,            6.3652,           -0.8077,           -0.2547,          -83.3698,
Ref 9,4.13070e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6305e-06,6.3540e-08,,,,,,,,,,,
Sam 9,4.18414e-08,1.20031e-02,4.2392e-03,4.9575e-05,4.7432e-06,6.0677e-08,,,,,,            5.1834,           12.3444,           16.5895,           24.0835,          -29.9299,            2.2000,            6.3734,           -0.9485,           -0.7393,          -58.2534,
Ref 10,4.08689e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6329e-06,6.1547e-08,,,,,,,,,,,
Sam 10,4.14214e-08,1.20031e-02,4.2391e-03,4.9582e-05,4.7446e-06,6.0006e-08,,,,,,            5.1833,           12.3311,           16.7069,           24.1129,          -38.8855,            2.2003,            6.3601,           -0.8201,           -0.6843,          -66.9233,
Ref 11,4.04653e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6329e-06,6.3328e-08,,,,,,,,,,,
Sam 11,4.09893e-08,1.20032e-02,4.2391e-03,4.9578e-05,4.7417e-06,6.0189e-08,,,,,,            5.1833,           12.3268,           16.7086,           23.5428,          -61.7811,            2.2004,            6.3559,           -0.8143,           -1.2322,          -89.1434,
Ref 12,4.00304e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6323e-06,6.4985e-08,,,,,,,,,,,
Sam 12,4.05935e-08,1.20031e-02,4.2391e-03,4.9578e-05,4.7459e-06,6.1221e-08,,,,,,            5.1701,           12.3193,           16.6632,           24.6559,          -45.7925,            2.1867,            6.3484,           -0.8381,           -0.1312,          -73.5946,
Ref 13,3.96296e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6312e-06,6.3323e-08,,,,,,,,,,,
Sam 13,4.01371e-08,1.20032e-02,4.2392e-03,4.9583e-05,4.7440e-06,6.0251e-08,,,,,,            5.1841,           12.3536,           16.6751,           24.6826,          -36.9258,            2.2003,            6.3825,           -0.8740,           -0.1728,          -65.0624,
Ref 14,3.92181e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6282e-06,6.1790e-08,,,,,,,,,,,
Sam 14,3.97337e-08,1.20032e-02,4.2392e-03,4.9582e-05,4.7421e-06,6.0412e-08,,,,,,            5.1964,           12.3502,           16.6473,           24.3224,          -25.5393,            2.2136,            6.3791,           -0.9106,           -0.5177,          -54.0148,
Ref 15,3.88023e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6309e-06,6.2203e-08,,,,,,,,,,,
Sam 15,3.93361e-08,1.20032e-02,4.2392e-03,4.9583e-05,4.7464e-06,6.1855e-08,,,,,,            5.1848,           12.3366,           16.6027,           24.7366,          -21.5330,            2.2017,            6.3656,           -0.9293,           -0.0867,          -50.0887,
Ref 16,3.84133e-08,,,,,,1.1941e-02,4.1875e-03,4.8776e-05,4.6327e-06,6.4239e-08,,,,,,,,,,,
Sam 16,3.89289e-08,1.20032e-02,4.2392e-03,4.9582e-05,4.7429e-06,6.2373e-08,,,,,,            5.1912,           12.3431,           16.6003,           23.9544,          -29.4960,            2.2083,            6.3720,           -0.9447,           -0.8627,          -57.8375,
Ref 17,3.80217e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6312e-06,6.4299e-08,,,,,,,,,,,
Sam 17,3.85397e-08,1.20031e-02,4.2392e-03,4.9589e-05,4.7440e-06,6.2947e-08,,,,,,            5.1864,           12.3363,           16.8872,           24.2708,          -27.8161,            2.2034,            6.3653,           -0.6511,           -0.5406,          -56.1894,
Ref 18,3.76399e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6319e-06,6.5203e-08,,,,,,,,,,,
Sam 18,3.81664e-08,1.20030e-02,4.2393e-03,4.9578e-05,4.7445e-06,6.0457e-08,,,,,,            5.1762,           12.3494,           16.7571,           24.5113,          -62.9083,            2.1921,            6.3783,           -0.7813,           -0.3318,          -90.2708,
Ref 19,3.72584e-08,,,,,,1.1941e-02,4.1876e-03,4.8760e-05,4.6300e-06,6.3821e-08,,,,,,,,,,,
Sam 19,3.77779e-08,1.20030e-02,4.2392e-03,4.9586e-05,4.7459e-06,6.2427e-08,,,,,,            5.1731,           12.3406,           16.7959,           24.5102,          -27.0336,            2.1891,            6.3696,           -0.7314,           -0.3154,          -55.4244,
Ref 20,3.68848e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6347e-06,6.4506e-08,,,,,,,,,,,
Sam 20,3.74085e-08,1.20033e-02,4.2393e-03,4.9581e-05,4.7445e-06,6.2528e-08,,,,,,            5.1970,           12.3505,           16.5736,           24.0721,          -47.2495,            2.2142,            6.3794,           -0.9840,           -0.7625,          -75.0916,
Ref 21,3.65196e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6312e-06,6.6762e-08,,,,,,,,,,,


Ref 1,3.63292e-08,,,,,,1.1941e-02,4.1875e-03,4.8774e-05,4.6287e-06,6.5439e-08,,,,,,,,,,,
Sam 1,3.68539e-08,1.20032e-02,4.2392e-03,4.9585e-05,4.7443e-06,6.4415e-08,,,,,,            5.1992,           12.3476,           16.7118,           24.4404,          -28.2452,            2.2167,            6.3765,           -0.8476,           -0.3973,          -56.6395,
Ref 2,3.59791e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6336e-06,6.7144e-08,,,,,,,,,,,
Sam 2,3.64941e-08,1.20031e-02,4.2392e-03,4.9586e-05,4.7460e-06,6.2066e-08,,,,,,            5.1898,           12.3509,           16.8095,           24.5372,          -66.0330,            2.2065,            6.3799,           -0.7452,           -0.3095,          -93.3201,
Ref 3,3.56175e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6310e-06,6.5757e-08,,,,,,,,,,,
Sam 3,3.61380e-08,1.20032e-02,4.2392e-03,4.9584e-05,4.7419e-06,6.3543e-08,,,,,,            5.1876,           12.3462,           16.7364,           24.1071,          -35.5374,            2.2044,            6.3751,           -0.8102,           -0.7198,          -63.7046,
Ref 4,3.52626e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6295e-06,6.6013e-08,,,,,,,,,,,
Sam 4,3.57874e-08,1.20032e-02,4.2392e-03,4.9582e-05,4.7453e-06,6.1063e-08,,,,,,            5.1812,           12.3484,           16.6817,           24.8668,          -69.6226,            2.1975,            6.3774,           -0.8596,            0.0171,          -96.7922,
Ref 5,3.49307e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6308e-06,6.5248e-08,,,,,,,,,,,
Sam 5,3.54445e-08,1.20030e-02,4.2392e-03,4.9581e-05,4.7446e-06,6.1714e-08,,,,,,            5.1705,           12.3341,           16.6928,           24.5583,          -39.2838,            2.1866,            6.3631,           -0.8238,           -0.2556,          -67.3028,
Ref 6,3.45736e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6309e-06,6.3217e-08,,,,,,,,,,,
Sam 6,3.50811e-08,1.20032e-02,4.2393e-03,4.9579e-05,4.7444e-06,6.0111e-08,,,,,,            5.1973,           12.3508,           16.6636,           24.1413,          -47.4379,            2.2145,            6.3797,           -0.8962,           -0.6955,          -75.2754,
Ref 7,3.42580e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6342e-06,6.2991e-08,,,,,,,,,,,
Sam 7,3.47608e-08,1.20032e-02,4.2392e-03,4.9583e-05,4.7454e-06,6.1205e-08,,,,,,            5.1919,           12.3335,           16.7682,           24.2134,          -41.4129,            2.2094,            6.3625,           -0.7711,           -0.5909,          -69.3898,
Ref 8,3.39193e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6322e-06,6.4716e-08,,,,,,,,,,,
Sam 8,3.44066e-08,1.20031e-02,4.2392e-03,4.9576e-05,4.7435e-06,6.1487e-08,,,,,,            5.1909,           12.3458,           16.6030,           24.1141,          -41.8574,            2.2079,            6.3748,           -0.9443,           -0.7123,          -69.8426,
Ref 9,3.35850e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6314e-06,6.3625e-08,,,,,,,,,,,
Sam 9,3.40904e-08,1.20030e-02,4.2391e-03,4.9579e-05,4.7439e-06,5.9933e-08,,,,,,            5.1821,           12.3271,           16.6402,           24.1213,          -68.7628,            2.1991,            6.3561,           -0.8805,           -0.6682,          -95.9208,
Ref 10,3.32583e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6330e-06,6.5099e-08,,,,,,,,,,,
Sam 10,3.37560e-08,1.20030e-02,4.2391e-03,4.9585e-05,4.7475e-06,5.9515e-08,,,,,,            5.1798,           12.3090,           16.7721,           24.7808,          -88.2855,            2.1973,            6.3382,           -0.7311,            0.0110,         -114.8410,
Ref 11,3.29446e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6325e-06,6.5458e-08,,,,,,,,,,,
Sam 11,3.34355e-08,1.20030e-02,4.2392e-03,4.9584e-05,4.7436e-06,5.8989e-08,,,,,,            5.1842,           12.3311,           16.6767,           24.2809,          -92.1543,            2.2013,            6.3601,           -0.8507,           -0.5204,         -118.6390,
Ref 12,3.26293e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6298e-06,6.4491e-08,,,,,,,,,,,
Sam 12,3.30969e-08,1.20030e-02,4.2392e-03,4.9587e-05,4.7468e-06,5.8339e-08,,,,,,            5.1917,           12.3492,           16.7548,           25.4117,          -80.5857,            2.2086,            6.3781,           -0.7993,            0.5472,         -107.4463,
Ref 13,3.23220e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6285e-06,6.2404e-08,,,,,,,,,,,
Sam 13,3.27727e-08,1.20030e-02,4.2392e-03,4.9587e-05,4.7429e-06,6.1426e-08,,,,,,            5.1897,           12.3470,           16.7848,           24.0627,           -7.9625,            2.2065,            6.3760,           -0.7656,           -0.7648,          -36.9387,
Ref 14,3.20114e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6344e-06,6.1429e-08,,,,,,,,,,,
Sam 14,3.24710e-08,1.20029e-02,4.2391e-03,4.9579e-05,4.7446e-06,6.1347e-08,,,,,,            5.1812,           12.3218,           16.6209,           24.3162,           -5.9995,            2.1983,            6.3509,           -0.8934,           -0.4676,          -34.9771,
Ref 15,3.17095e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6295e-06,6.2008e-08,,,,,,,,,,,
Sam 15,3.21558e-08,1.20028e-02,4.2392e-03,4.9568e-05,4.7424e-06,5.7355e-08,,,,,,            5.1817,           12.3453,           16.4472,           24.1728,          -83.3204,            2.1981,            6.3743,           -1.0875,           -0.6540,         -110.0850,
Ref 16,3.13962e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6315e-06,6.3134e-08,,,,,,,,,,,
Sam 16,3.18629e-08,1.20028e-02,4.2391e-03,4.9583e-05,4.7446e-06,6.0458e-08,,,,,,            5.1864,           12.3356,           16.7285,           24.3599,          -32.5887,            2.2034,            6.3646,           -0.8065,           -0.4523,          -60.8215,
Ref 17,3.11026e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6319e-06,6.1850e-08,,,,,,,,,,,
Sam 17,3.15495e-08,1.20027e-02,4.2391e-03,4.9586e-05,4.7461e-06,5.9438e-08,,,,,,            5.1777,           12.3254,           16.7951,           24.7903,          -52.2177,            2.1946,            6.3544,           -0.7222,           -0.0120,          -79.8509,
Ref 18,3.08143e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6306e-06,6.3583e-08,,,,,,,,,,,
Sam 18,3.12477e-08,1.20027e-02,4.2391e-03,4.9581e-05,4.7398e-06,5.9800e-08,,,,,,            5.1745,           12.3418,           16.7325,           23.6666,          -68.2972,            2.1905,            6.3708,           -0.7963,           -1.1410,          -95.4873,
Ref 19,3.05275e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6299e-06,6.4790e-08,,,,,,,,,,,
Sam 19,3.09461e-08,1.20028e-02,4.2391e-03,4.9583e-05,4.7435e-06,6.2630e-08,,,,,,            5.1827,           12.3448,           16.6481,           24.3744,          -26.4873,            2.1992,            6.3737,           -0.8906,           -0.4562,          -54.9113,
Ref 20,3.02339e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6313e-06,6.3875e-08,,,,,,,,,,,
Sam 20,3.06527e-08,1.20028e-02,4.2391e-03,4.9591e-05,4.7457e-06,5.9759e-08,,,,,,            5.1905,           12.3329,           16.8438,           24.7027,          -62.9667,            2.2079,            6.3619,           -0.6947,           -0.1123,          -90.3121,
Ref 21,2.99619e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6313e-06,6.3673e-08,,,,,,,,,,,


