Nu Stable Isotope Analysis Program
Data Collected on Monday, June 18, 2018 at 19:10 with Stable 1.69.5 on PS019,Reanalyzed on Monday, June 18, 2018 at 19:10 with Stable 1.69.5 on PS019

Data File = Data_6001 ETH-03.txt,         Sample Weight = 437,                      Vial Location = 50,                       Initial Sam Beam = 1.1774e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.2303e-08,                Max Ref Beam = 1.0607e-07,                
Analysis undertaken at mass 46.0174
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.31105e-08,,,,,,1.1941e-02,4.1872e-03,4.8748e-05,4.6275e-06,6.2680e-08,,,,,,,,,,,
Sam 1,5.25804e-08,1.19999e-02,4.2412e-03,4.9602e-05,4.7469e-06,5.8231e-08,,,,,,            4.9030,           12.8750,           17.3849,           25.8152,          -67.6813,            1.8833,            6.9021,           -0.3950,           -0.0981,          -95.5669,
Ref 2,5.25569e-08,,,,,,1.1941e-02,4.1873e-03,4.8760e-05,4.6275e-06,6.2235e-08,,,,,,,,,,,
Sam 2,5.20762e-08,1.19998e-02,4.2410e-03,4.9602e-05,4.7454e-06,5.9770e-08,,,,,,            4.8953,           12.8447,           17.2881,           25.4109,          -34.0463,            1.8761,            6.8719,           -0.4528,           -0.4324,          -62.8752,
Ref 3,5.19478e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6281e-06,6.1515e-08,,,,,,,,,,,
Sam 3,5.15248e-08,1.20000e-02,4.2412e-03,4.9600e-05,4.7452e-06,6.0771e-08,,,,,,            4.9088,           12.8615,           17.3160,           25.3398,          -26.5555,            1.8898,            6.8886,           -0.4555,           -0.5348,          -55.6521,
Ref 4,5.13672e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6278e-06,6.3353e-08,,,,,,,,,,,
Sam 4,5.10275e-08,1.19999e-02,4.2412e-03,4.9600e-05,4.7471e-06,6.1118e-08,,,,,,            4.8981,           12.8609,           17.2863,           25.7876,          -29.8769,            1.8785,            6.8880,           -0.4732,           -0.0971,          -58.8626,
Ref 5,5.08006e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6278e-06,6.2644e-08,,,,,,,,,,,
Sam 5,5.05218e-08,1.19999e-02,4.2412e-03,4.9603e-05,4.7447e-06,6.1089e-08,,,,,,            4.8974,           12.8611,           17.3629,           25.1641,          -26.7694,            1.8778,            6.8882,           -0.3975,           -0.7053,          -55.8477,
Ref 6,5.02216e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6287e-06,6.2896e-08,,,,,,,,,,,
Sam 6,5.00075e-08,1.19999e-02,4.2412e-03,4.9612e-05,4.7487e-06,6.1900e-08,,,,,,            4.9039,           12.8575,           17.5573,           25.9198,          -17.2449,            1.8848,            6.8846,           -0.2096,            0.0384,          -46.6077,
Ref 7,4.96727e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6287e-06,6.3077e-08,,,,,,,,,,,
Sam 7,4.95046e-08,1.19999e-02,4.2411e-03,4.9603e-05,4.7453e-06,6.0358e-08,,,,,,            4.8971,           12.8528,           17.4236,           25.0322,          -49.9217,            1.8778,            6.8799,           -0.3293,           -0.8173,          -78.2929,
Ref 8,4.91225e-08,,,,,,1.1941e-02,4.1873e-03,4.8751e-05,4.6302e-06,6.3987e-08,,,,,,,,,,,
Sam 8,4.89979e-08,1.20000e-02,4.2412e-03,4.9604e-05,4.7458e-06,6.1894e-08,,,,,,            4.9084,           12.8614,           17.4599,           25.3302,          -23.5922,            1.8895,            6.8884,           -0.3136,           -0.5438,          -52.7768,
Ref 9,4.85810e-08,,,,,,1.1941e-02,4.1873e-03,4.8754e-05,4.6270e-06,6.2786e-08,,,,,,,,,,,
Sam 9,4.85141e-08,1.19999e-02,4.2412e-03,4.9601e-05,4.7471e-06,6.1155e-08,,,,,,            4.8992,           12.8626,           17.3466,           25.7023,          -21.1926,            1.8796,            6.8896,           -0.4166,           -0.1835,          -50.4419,
Ref 10,4.80565e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6292e-06,6.2169e-08,,,,,,,,,,,
Sam 10,4.80088e-08,1.19999e-02,4.2412e-03,4.9607e-05,4.7471e-06,6.0279e-08,,,,,,            4.9016,           12.8653,           17.3892,           25.5950,          -37.1767,            1.8821,            6.8923,           -0.3798,           -0.2935,          -65.9556,
Ref 11,4.75104e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6281e-06,6.3049e-08,,,,,,,,,,,
Sam 11,4.75335e-08,1.19998e-02,4.2411e-03,4.9607e-05,4.7459e-06,6.1224e-08,,,,,,            4.8991,           12.8446,           17.3429,           25.3440,          -34.2160,            1.8801,            6.8717,           -0.4027,           -0.4973,          -63.0432,
Ref 12,4.70089e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6291e-06,6.3741e-08,,,,,,,,,,,
Sam 12,4.70590e-08,1.19996e-02,4.2412e-03,4.9600e-05,4.7480e-06,6.0439e-08,,,,,,            4.8871,           12.8617,           17.2460,           25.6954,          -49.8419,            1.8668,            6.8888,           -0.5023,           -0.1885,          -78.2217,
Ref 13,4.64688e-08,,,,,,1.1941e-02,4.1873e-03,4.8759e-05,4.6290e-06,6.3477e-08,,,,,,,,,,,
Sam 13,4.65769e-08,1.19999e-02,4.2411e-03,4.9601e-05,4.7477e-06,5.9894e-08,,,,,,            4.9009,           12.8428,           17.2267,           25.6388,          -50.6798,            1.8821,            6.8699,           -0.5170,           -0.2063,          -79.0141,
Ref 14,4.59659e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6290e-06,6.2701e-08,,,,,,,,,,,
Sam 14,4.61097e-08,1.19997e-02,4.2411e-03,4.9606e-05,4.7467e-06,6.1121e-08,,,,,,            4.8874,           12.8263,           17.2976,           25.3008,          -19.2568,            1.8683,            6.8536,           -0.4175,           -0.5034,          -48.4851,
Ref 15,4.54849e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6302e-06,6.1937e-08,,,,,,,,,,,
Sam 15,4.56477e-08,1.19996e-02,4.2411e-03,4.9605e-05,4.7482e-06,5.9766e-08,,,,,,            4.8884,           12.8416,           17.2744,           25.6750,          -45.7612,            1.8688,            6.8688,           -0.4561,           -0.1687,          -74.2280,
Ref 16,4.49987e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6284e-06,6.3334e-08,,,,,,,,,,,
Sam 16,4.51900e-08,1.19997e-02,4.2411e-03,4.9608e-05,4.7468e-06,6.1265e-08,,,,,,            4.9032,           12.8523,           17.3968,           25.6370,          -33.5392,            1.8842,            6.8794,           -0.3614,           -0.2268,          -62.4047,
Ref 17,4.45361e-08,,,,,,1.1941e-02,4.1873e-03,4.8756e-05,4.6279e-06,6.3450e-08,,,,,,,,,,,
Sam 17,4.47323e-08,1.19997e-02,4.2411e-03,4.9603e-05,4.7483e-06,6.0137e-08,,,,,,            4.9144,           12.8493,           17.3619,           25.7767,          -45.2754,            1.8963,            6.8764,           -0.4043,           -0.0848,          -73.7961,
Ref 18,4.40433e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6301e-06,6.2523e-08,,,,,,,,,,,
Sam 18,4.42824e-08,1.19996e-02,4.2411e-03,4.9603e-05,4.7456e-06,5.9262e-08,,,,,,            4.8997,           12.8489,           17.3500,           25.1266,          -45.6858,            1.8807,            6.8760,           -0.4005,           -0.7177,          -74.1790,
Ref 19,4.35765e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6284e-06,6.1671e-08,,,,,,,,,,,
Sam 19,4.38057e-08,1.19998e-02,4.2412e-03,4.9600e-05,4.7481e-06,6.1601e-08,,,,,,            4.9171,           12.8729,           17.2931,           25.9200,           -0.9870,            1.8983,            6.8999,           -0.4976,            0.0082,          -30.8779,
Ref 20,4.31162e-08,,,,,,1.1941e-02,4.1873e-03,4.8757e-05,4.6278e-06,6.1653e-08,,,,,,,,,,,
Sam 20,4.33908e-08,1.19997e-02,4.2411e-03,4.9607e-05,4.7445e-06,6.0027e-08,,,,,,            4.8961,           12.8376,           17.3387,           25.3186,          -39.4338,            1.8772,            6.8648,           -0.3970,           -0.5082,          -68.0897,
Ref 21,4.26411e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6269e-06,6.3338e-08,,,,,,,,,,,


Ref 1,4.24186e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6295e-06,6.2688e-08,,,,,,,,,,,
Sam 1,4.27290e-08,1.19997e-02,4.2411e-03,4.9609e-05,4.7471e-06,6.1505e-08,,,,,,            4.9019,           12.8407,           17.2709,           25.1142,          -15.3479,            1.8832,            6.8679,           -0.4726,           -0.7137,          -44.7340,
Ref 2,4.19567e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6321e-06,6.2236e-08,,,,,,,,,,,
Sam 2,4.22967e-08,1.19998e-02,4.2411e-03,4.9605e-05,4.7478e-06,6.0265e-08,,,,,,            4.9107,           12.8282,           17.1632,           25.2522,          -35.0414,            1.8931,            6.8554,           -0.5753,           -0.5544,          -63.8258,
Ref 3,4.15594e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6297e-06,6.2672e-08,,,,,,,,,,,
Sam 3,4.18834e-08,1.19997e-02,4.2411e-03,4.9606e-05,4.7466e-06,6.1133e-08,,,,,,            4.9138,           12.8519,           17.1951,           25.5032,          -27.2425,            1.8955,            6.8790,           -0.5700,           -0.3565,          -56.3059,
Ref 4,4.11062e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6274e-06,6.3019e-08,,,,,,,,,,,
Sam 4,4.14581e-08,1.19998e-02,4.2412e-03,4.9601e-05,4.7474e-06,6.1570e-08,,,,,,            4.9021,           12.8321,           17.1871,           25.5292,          -23.3966,            1.8838,            6.8594,           -0.5469,           -0.2922,          -52.5270,
Ref 5,4.06529e-08,,,,,,1.1941e-02,4.1875e-03,4.8756e-05,4.6310e-06,6.3071e-08,,,,,,,,,,,
Sam 5,4.10377e-08,1.19997e-02,4.2412e-03,4.9606e-05,4.7466e-06,6.0501e-08,,,,,,            4.8940,           12.8243,           17.3057,           25.0752,          -48.4942,            1.8754,            6.8516,           -0.4145,           -0.7194,          -76.8541,
Ref 6,4.02516e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6299e-06,6.4104e-08,,,,,,,,,,,
Sam 6,4.06101e-08,1.19999e-02,4.2411e-03,4.9609e-05,4.7499e-06,6.3036e-08,,,,,,            4.9118,           12.8356,           17.2643,           25.7381,          -19.2009,            1.8939,            6.8627,           -0.4842,           -0.0953,          -48.4724,
Ref 7,3.98404e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6315e-06,6.4438e-08,,,,,,,,,,,
Sam 7,4.01994e-08,1.19997e-02,4.2412e-03,4.9606e-05,4.7496e-06,6.3249e-08,,,,,,            4.9027,           12.8415,           17.2559,           25.5481,          -23.4083,            1.8841,            6.8687,           -0.4889,           -0.2923,          -52.5562,
Ref 8,3.94163e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6311e-06,6.5095e-08,,,,,,,,,,,
Sam 8,3.97969e-08,1.19998e-02,4.2412e-03,4.9603e-05,4.7481e-06,6.1655e-08,,,,,,            4.9033,           12.8399,           17.1594,           25.2909,          -54.2384,            1.8848,            6.8670,           -0.5827,           -0.5397,          -82.4637,
Ref 9,3.90066e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6309e-06,6.5288e-08,,,,,,,,,,,
Sam 9,3.94037e-08,1.19996e-02,4.2412e-03,4.9615e-05,4.7498e-06,6.1944e-08,,,,,,            4.8949,           12.8370,           17.3496,           25.7860,          -36.2442,            1.8759,            6.8642,           -0.3844,           -0.0514,          -64.9930,
Ref 10,3.85970e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6300e-06,6.3248e-08,,,,,,,,,,,
Sam 10,3.89903e-08,1.19997e-02,4.2412e-03,4.9607e-05,4.7476e-06,6.3036e-08,,,,,,            4.9027,           12.8362,           17.2457,           25.3630,          -16.0711,            1.8843,            6.8634,           -0.4937,           -0.4621,          -45.4280,
Ref 11,3.82169e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6304e-06,6.4892e-08,,,,,,,,,,,
Sam 11,3.86142e-08,1.19997e-02,4.2413e-03,4.9609e-05,4.7475e-06,6.1048e-08,,,,,,            4.8976,           12.8492,           17.2932,           25.5281,          -62.7251,            1.8784,            6.8763,           -0.4546,           -0.3268,          -90.7081,
Ref 12,3.78297e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6284e-06,6.5377e-08,,,,,,,,,,,
Sam 12,3.82239e-08,1.19996e-02,4.2413e-03,4.9609e-05,4.7483e-06,6.1217e-08,,,,,,            4.8863,           12.8541,           17.2563,           25.6830,          -53.6259,            1.8661,            6.8813,           -0.4839,           -0.1857,          -81.8784,
Ref 13,3.74460e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6304e-06,6.3988e-08,,,,,,,,,,,
Sam 13,3.78578e-08,1.19997e-02,4.2412e-03,4.9609e-05,4.7475e-06,6.1790e-08,,,,,,            4.8951,           12.8273,           17.2121,           25.2613,          -39.2854,            1.8764,            6.8546,           -0.5103,           -0.5438,          -67.9261,
Ref 14,3.70550e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6306e-06,6.4649e-08,,,,,,,,,,,
Sam 14,3.74872e-08,1.19996e-02,4.2412e-03,4.9613e-05,4.7486e-06,6.1671e-08,,,,,,            4.8834,           12.8057,           17.3063,           25.4531,          -46.4574,            1.8648,            6.8331,           -0.3849,           -0.3141,          -74.8340,
Ref 15,3.67006e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6308e-06,6.4703e-08,,,,,,,,,,,
Sam 15,3.71105e-08,1.19998e-02,4.2413e-03,4.9618e-05,4.7508e-06,6.1714e-08,,,,,,            4.9059,           12.8398,           17.4215,           25.9831,          -38.3527,            1.8875,            6.8670,           -0.3278,            0.1351,          -67.0546,
Ref 16,3.63373e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6301e-06,6.3643e-08,,,,,,,,,,,
Sam 16,3.67546e-08,1.19997e-02,4.2412e-03,4.9614e-05,4.7461e-06,6.3450e-08,,,,,,            4.8942,           12.8363,           17.2877,           25.2248,          -13.1988,            1.8752,            6.8635,           -0.4439,           -0.5971,          -42.6331,
Ref 17,3.59848e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6285e-06,6.4962e-08,,,,,,,,,,,
Sam 17,3.63963e-08,1.19996e-02,4.2412e-03,4.9606e-05,4.7485e-06,6.3436e-08,,,,,,            4.8969,           12.8401,           17.1876,           25.5757,          -23.5220,            1.8780,            6.8673,           -0.5487,           -0.2624,          -52.6580,
Ref 18,3.56240e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6318e-06,6.4967e-08,,,,,,,,,,,
Sam 18,3.60442e-08,1.19997e-02,4.2413e-03,4.9612e-05,4.7488e-06,6.3867e-08,,,,,,            4.9020,           12.8518,           17.3117,           25.4966,          -27.9857,            1.8829,            6.8789,           -0.4433,           -0.3626,          -57.0150,
Ref 19,3.52716e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6296e-06,6.6453e-08,,,,,,,,,,,
Sam 19,3.56849e-08,1.19996e-02,4.2412e-03,4.9611e-05,4.7498e-06,6.5909e-08,,,,,,            4.8999,           12.8308,           17.3540,           25.8456,          -19.3270,            1.8815,            6.8580,           -0.3793,            0.0190,          -48.5740,
Ref 20,3.49423e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6307e-06,6.7970e-08,,,,,,,,,,,
Sam 20,3.53441e-08,1.19996e-02,4.2412e-03,4.9608e-05,4.7477e-06,6.2330e-08,,,,,,            4.9058,           12.8394,           17.3019,           25.3826,          -57.6517,            1.8875,            6.8666,           -0.4448,           -0.4494,          -85.7767,
Ref 21,3.45985e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6296e-06,6.4298e-08,,,,,,,,,,,


Ref 1,3.44183e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6285e-06,6.6957e-08,,,,,,,,,,,
Sam 1,3.48358e-08,1.19996e-02,4.2412e-03,4.9610e-05,4.7442e-06,6.4620e-08,,,,,,            4.8990,           12.8312,           17.2379,           25.0170,          -42.6996,            1.8805,            6.8584,           -0.4929,           -0.7897,          -71.2494,
Ref 2,3.40772e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6284e-06,6.8053e-08,,,,,,,,,,,
Sam 2,3.44905e-08,1.19996e-02,4.2411e-03,4.9606e-05,4.7491e-06,6.4287e-08,,,,,,            4.9019,           12.8150,           17.1589,           25.9247,          -53.6524,            1.8841,            6.8423,           -0.5576,            0.1272,          -81.8495,
Ref 3,3.37560e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6298e-06,6.7810e-08,,,,,,,,,,,
Sam 3,3.41641e-08,1.19996e-02,4.2412e-03,4.9609e-05,4.7464e-06,6.3975e-08,,,,,,            4.9120,           12.8284,           17.3116,           24.7461,          -54.7402,            1.8945,            6.8556,           -0.4310,           -1.0482,          -82.9385,
Ref 4,3.34395e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6337e-06,6.7548e-08,,,,,,,,,,,
Sam 4,3.38335e-08,1.19995e-02,4.2412e-03,4.9612e-05,4.7479e-06,6.3992e-08,,,,,,            4.9013,           12.8339,           17.3985,           25.0729,          -26.8261,            1.8828,            6.8611,           -0.3400,           -0.7404,          -55.8566,
Ref 5,3.31084e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6297e-06,6.3946e-08,,,,,,,,,,,
Sam 5,3.35085e-08,1.19994e-02,4.2412e-03,4.9614e-05,4.7474e-06,6.2452e-08,,,,,,            4.8956,           12.8335,           17.4306,           25.4323,          -53.7604,            1.8768,            6.8608,           -0.3023,           -0.3894,          -81.9812,
Ref 6,3.27930e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6296e-06,6.8073e-08,,,,,,,,,,,
Sam 6,3.31836e-08,1.19994e-02,4.2411e-03,4.9622e-05,4.7472e-06,6.4179e-08,,,,,,            4.8972,           12.8258,           17.5293,           25.5564,          -27.9048,            1.8787,            6.8531,           -0.1994,           -0.2532,          -56.8842,
Ref 7,3.24779e-08,,,,,,1.1941e-02,4.1874e-03,4.8773e-05,4.6282e-06,6.3949e-08,,,,,,,,,,,
Sam 7,3.28757e-08,1.19994e-02,4.2411e-03,4.9613e-05,4.7458e-06,6.4361e-08,,,,,,            4.9053,           12.8289,           17.2590,           25.4723,          -32.1026,            1.8873,            6.8561,           -0.4763,           -0.3412,          -60.9705,
Ref 8,3.21630e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6276e-06,6.9067e-08,,,,,,,,,,,
Sam 8,3.25723e-08,1.19993e-02,4.2411e-03,4.9608e-05,4.7471e-06,6.4862e-08,,,,,,            4.8981,           12.8295,           17.2284,           25.4335,          -53.3665,            1.8796,            6.8567,           -0.4995,           -0.3803,          -81.5943,
Ref 9,3.18615e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6310e-06,6.7964e-08,,,,,,,,,,,
Sam 9,3.22453e-08,1.19994e-02,4.2412e-03,4.9613e-05,4.7489e-06,6.3994e-08,,,,,,            4.9024,           12.8574,           17.3124,           25.7804,          -37.7975,            1.8832,            6.8845,           -0.4485,           -0.0973,          -66.5444,
Ref 10,3.15681e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6280e-06,6.5039e-08,,,,,,,,,,,
Sam 10,3.19459e-08,1.19994e-02,4.2411e-03,4.9609e-05,4.7461e-06,6.1661e-08,,,,,,            4.9056,           12.8261,           17.2300,           25.3460,          -74.8771,            1.8877,            6.8534,           -0.5024,           -0.4589,         -102.4647,
Ref 11,3.12553e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6295e-06,6.8281e-08,,,,,,,,,,,
Sam 11,3.16457e-08,1.19992e-02,4.2411e-03,4.9616e-05,4.7474e-06,6.5105e-08,,,,,,            4.8938,           12.8268,           17.3387,           25.5289,          -46.6477,            1.8751,            6.8541,           -0.3841,           -0.2819,          -75.0668,
Ref 12,3.09637e-08,,,,,,1.1941e-02,4.1873e-03,4.8773e-05,4.6288e-06,6.8300e-08,,,,,,,,,,,
Sam 12,3.13411e-08,1.19994e-02,4.2411e-03,4.9610e-05,4.7497e-06,6.2223e-08,,,,,,            4.8994,           12.8293,           17.1780,           25.9222,          -74.2127,            1.8810,            6.8566,           -0.5502,            0.0964,         -101.8198,
Ref 13,3.06715e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6305e-06,6.6112e-08,,,,,,,,,,,
Sam 13,3.10427e-08,1.19994e-02,4.2411e-03,4.9606e-05,4.7453e-06,6.4106e-08,,,,,,            4.9037,           12.8435,           17.2064,           24.7404,          -36.8693,            1.8851,            6.8706,           -0.5405,           -1.0835,          -65.6199,
Ref 14,3.03956e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6310e-06,6.7012e-08,,,,,,,,,,,
Sam 14,3.07639e-08,1.19992e-02,4.2409e-03,4.9600e-05,4.7497e-06,6.2118e-08,,,,,,            4.8916,           12.8034,           17.0983,           25.5712,          -65.8740,            1.8736,            6.8308,           -0.5954,           -0.1944,          -93.6766,
Ref 15,3.01017e-08,,,,,,1.1941e-02,4.1873e-03,4.8770e-05,4.6316e-06,6.5979e-08,,,,,,,,,,,
Sam 15,3.04719e-08,1.19992e-02,4.2410e-03,4.9610e-05,4.7493e-06,6.3511e-08,,,,,,            4.9025,           12.8134,           17.2430,           25.7819,          -49.3126,            1.8848,            6.8407,           -0.4741,           -0.0088,          -77.6367,


