Batch,201806018 clumped OmanSval KDB ABJ,Collected on,2018/06/18 21:49:18,Analysis Instrument,PS019,Acquisition Software,Stable 1.69.5,Reanalyzed  on,2018/06/18 22:49:22,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.69.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6002 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/18 21:49:18,491,1,1.3934e-07,2.837837E-10,CF,33.356,3.718e-02,1,3.8027e-02,15008, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9978e-08,1.0606e-07,6.4644e-08,6.4856e-08,6.4825e-08,6.4807e-08,0.96,2018/06/18 21:48:38,0.03,5991,8449,3.7181e-02,46.012,20,8,20,20,0.000,-1.0522e-13,-5.4359e-14,-5.7590e-14,-1.0296e-14,1.5278e-13,7.4565e-12,17.00,18.00,70.26,-1.95e02,-1.95e02,70.26,0.36,69.98,70.73,2018/06/18 20:55:08,2018/06/18 20:26:12,71,4.48723e-08,0.000,0,63,4.56026e-08,0.000,0,60,1.20033e-02,0.000,0,60,4.2387e-03,0.000,0,60,4.9572e-05,0.000,0,60,4.7391e-06,0.000,0,60,6.1282e-08,0.000,0,60,1.1942e-02,0.000,0,63,4.1876e-03,0.000,0,63,4.8762e-05,0.000,0,63,4.6270e-06,0.000,0,63,6.3520e-08,0.000,0,63,5.1755,0.001,0,60,12.2212,0.003,0,60,16.6162,0.010,0,60,24.2277,0.039,0,60,-34.8395,1.952,0,60,2.1958,0.001,0,60,6.2507,0.003,0,60,-0.7945,0.010,0,60,-0.3552,0.039,0,60,-62.7877,1.894,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6003 ETH-04.txt,ETH-04,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/18 23:12:30,412,2,1.1081e-07,2.689651E-10,CF,27.923,3.555e-02,1,3.5546e-02,14944, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9335e-08,1.0611e-07,5.2346e-08,5.2544e-08,5.2541e-08,5.2464e-08,0.96,2018/06/18 23:11:50,0.15,6845,8449,3.5546e-02,46.012,20,8,20,20,0.000,-1.0518e-13,-5.4411e-14,-5.7547e-14,-7.1758e-15,1.6032e-13,8.1164e-12,16.00,17.00,69.79,-1.95e02,-1.95e02,69.79,0.25,69.48,69.99,2018/06/18 22:11:34,2018/06/18 21:49:03,71,3.72186e-08,0.000,0,63,3.75832e-08,0.000,0,60,1.18592e-02,0.000,0,60,4.1684e-03,0.000,0,60,4.8175e-05,0.000,0,60,4.5857e-06,0.000,0,60,6.1632e-08,0.000,0,60,1.1941e-02,0.000,0,63,4.1874e-03,0.000,0,63,4.8764e-05,0.000,0,63,4.6283e-06,0.000,0,63,6.6195e-08,0.000,0,63,-6.8689,0.001,0,60,-4.5459,0.001,0,60,-12.0829,0.013,0,60,-9.2003,0.049,0,60,-69.1344,2.290,0,60,-10.0423,0.001,0,60,-10.4089,0.001,0,60,-0.5689,0.013,0,60,-0.1304,0.050,0,60,-53.8441,2.329,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6004 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/19 00:35:26,501,3,1.4474e-07,2.888928E-10,CF,34.546,3.476e-02,1,3.5546e-02,14976, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8789e-08,1.0617e-07,6.7215e-08,6.7369e-08,6.7352e-08,6.7249e-08,0.96,2018/06/19 00:34:46,0.15,5710,8449,3.4756e-02,46.015,20,8,20,20,0.000,-1.0501e-13,-5.4390e-14,-5.7475e-14,-5.9474e-15,1.6279e-13,8.3059e-12,17.00,18.00,69.99,-1.95e02,-1.95e02,69.99,0.00,69.99,69.99,2018/06/18 23:35:48,2018/06/18 22:53:25,70,4.63547e-08,0.000,0,63,4.71250e-08,0.000,0,60,1.20001e-02,0.000,0,60,4.2410e-03,0.000,0,60,4.9603e-05,0.000,0,60,4.7458e-06,0.000,0,60,6.1810e-08,0.000,0,60,1.1942e-02,0.000,0,63,4.1876e-03,0.000,0,63,4.8762e-05,0.000,0,63,4.6287e-06,0.000,0,63,6.3744e-08,0.000,0,63,4.8967,0.001,0,60,12.7546,0.003,0,60,17.2428,0.011,0,60,25.3022,0.037,0,60,-29.9277,2.071,0,60,1.8807,0.001,0,60,6.7822,0.003,0,60,-0.4112,0.010,0,60,-0.3604,0.036,0,60,-58.7163,2.008,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6005 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/19 01:58:23,440,4,1.2102e-07,2.750492E-10,CF,29.907,3.555e-02,1,3.5546e-02,14976, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8215e-08,1.0589e-07,5.6707e-08,5.6948e-08,5.6938e-08,5.6831e-08,0.96,2018/06/19 01:57:42,0.19,6335,8447,3.5546e-02,46.012,20,8,20,20,0.000,-1.0497e-13,-5.4378e-14,-5.7441e-14,-6.3497e-15,1.6193e-13,8.2022e-12,17.00,17.00,69.99,-1.95e02,-1.95e02,69.99,0.00,69.99,69.99,2018/06/19 00:57:45,2018/06/19 00:16:38,70,3.99698e-08,0.000,0,63,4.04844e-08,0.000,0,60,1.18602e-02,0.000,0,60,4.1688e-03,0.000,0,60,4.8171e-05,0.000,0,60,4.5860e-06,0.000,0,60,5.9141e-08,0.000,0,60,1.1941e-02,0.000,0,63,4.1875e-03,0.000,0,63,4.8763e-05,0.000,0,63,4.6283e-06,0.000,0,63,6.3933e-08,0.000,0,63,-6.7946,0.001,0,60,-4.4634,0.002,0,60,-12.1537,0.010,0,60,-9.1252,0.048,0,60,-74.7097,2.049,0,60,-9.9660,0.001,0,60,-10.3269,0.002,0,60,-0.7992,0.010,0,60,-0.2204,0.048,0,60,-59.7393,2.083,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6006 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/19 03:21:28,478,5,1.3568e-07,2.83841E-10,CF,33.081,3.555e-02,1,3.6354e-02,14944, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7614e-08,1.0649e-07,6.3160e-08,6.3358e-08,6.3325e-08,6.3279e-08,0.96,2018/06/19 03:20:48,0.07,5825,8447,3.5546e-02,46.015,20,8,20,20,0.000,-1.0504e-13,-5.4394e-14,-5.7405e-14,-5.7882e-15,1.6285e-13,8.2773e-12,17.00,18.00,69.99,-1.95e02,-1.95e02,69.99,0.00,69.99,69.99,2018/06/19 02:21:22,2018/06/19 01:39:33,70,4.39186e-08,0.000,0,63,4.46219e-08,0.000,0,60,1.20080e-02,0.000,0,60,4.2384e-03,0.000,0,60,4.9592e-05,0.000,0,60,4.7399e-06,0.000,0,60,6.1409e-08,0.000,0,60,1.1942e-02,0.000,0,63,4.1876e-03,0.000,0,63,4.8762e-05,0.000,0,63,4.6293e-06,0.000,0,63,6.3418e-08,0.000,0,63,5.5697,0.001,0,60,12.1301,0.002,0,60,17.0210,0.010,0,60,23.9116,0.048,0,60,-31.6570,2.617,0,60,2.6184,0.001,0,60,6.1592,0.002,0,60,-0.7119,0.010,0,60,-0.4839,0.046,0,60,-59.9227,2.539,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6007 KG92 94.txt,KG92 94,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/19 04:44:25,476,6,1.2075e-07,2.536696E-10,CF,29.877,3.555e-02,1,3.7181e-02,15008, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7067e-08,1.0584e-07,5.6671e-08,5.6886e-08,5.6858e-08,5.6757e-08,0.96,2018/06/19 04:43:45,0.18,6209,8446,3.5546e-02,46.015,20,8,20,20,0.000,-1.0511e-13,-5.4378e-14,-5.7416e-14,-6.2048e-15,1.6256e-13,8.2389e-12,17.00,17.00,69.99,-1.95e02,-1.95e02,69.99,0.00,69.99,69.99,2018/06/19 03:43:36,2018/06/19 03:02:29,70,3.99445e-08,0.000,0,63,4.04020e-08,0.000,0,60,1.19639e-02,0.000,0,60,4.2262e-03,0.000,0,60,4.9274e-05,0.000,0,60,4.7129e-06,0.000,0,60,6.1449e-08,0.000,0,60,1.1941e-02,0.000,0,63,4.1875e-03,0.000,0,63,4.8762e-05,0.000,0,63,4.6291e-06,0.000,0,63,6.4370e-08,0.000,0,63,1.8918,0.001,0,60,9.2306,0.002,0,60,10.4863,0.009,0,60,18.1294,0.051,0,60,-45.4098,2.158,0,60,-1.1957,0.001,0,60,3.2818,0.002,0,60,-0.5588,0.009,0,60,-0.4094,0.050,0,60,-64.3916,2.114,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6008 PK99 KT4CB.txt,PK99 KT4CB,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/19 06:05:20,420,7,9.8205e-08,2.338212E-10,CF,25.482,3.555e-02,0,3.8891e-02,15072, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6519e-08,1.0607e-07,9.4286e-08,9.5490e-08,9.5428e-08,9.5327e-08,0.96,2018/06/19 06:04:40,0.11,4382,8446,3.5546e-02,46.017,20,8,20,20,0.000,-1.0509e-13,-5.4291e-14,-5.7446e-14,-5.7167e-15,1.6353e-13,8.3077e-12,27.00,28.00,69.99,-1.95e02,-1.95e02,69.99,0.00,69.99,69.99,2018/06/19 05:06:35,2018/06/19 04:25:36,70,4.92711e-08,0.000,0,63,5.10087e-08,0.000,0,60,1.19431e-02,0.000,0,60,4.2257e-03,0.000,0,60,4.9183e-05,0.000,0,60,4.7104e-06,0.000,0,60,6.3845e-08,0.000,0,60,1.1942e-02,0.000,0,63,4.1875e-03,0.000,0,63,4.8765e-05,0.000,0,63,4.6269e-06,0.000,0,63,6.6184e-08,0.000,0,63,0.1193,0.001,0,60,9.1101,0.003,0,60,8.5568,0.012,0,60,18.0216,0.045,0,60,-34.5405,2.576,0,60,-3.0780,0.001,0,60,3.1658,0.003,0,60,-0.5279,0.010,0,60,-0.2766,0.045,0,60,-51.7329,2.528,0,60,
C:\Nu Stable\Results\2018\201806018 clumped OmanSval KDB ABJ,201806018 clumped OmanSval KDB ABJ,Data_6009 88KL 100.txt,88KL 100,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2018/06/18 21:49:18,2018/06/19 07:26:15,423,8,5.2232e-08,1.2348E-10,CF,15.015,3.555e-02,0,3.7181e-02,14976, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6025e-08,1.0600e-07,5.0151e-08,5.1222e-08,5.1188e-08,5.1109e-08,0.96,2018/06/19 07:25:35,0.16,6609,8446,3.5546e-02,46.015,20,8,20,20,0.000,-1.0491e-13,-5.4307e-14,-5.7366e-14,-6.8057e-15,1.6099e-13,8.0806e-12,25.00,25.00,69.99,-1.95e02,-1.95e02,69.99,0.00,69.99,69.99,2018/06/19 06:29:41,2018/06/19 05:48:33,70,2.96382e-08,0.000,0,63,2.98804e-08,0.000,0,60,1.19966e-02,0.000,0,60,4.2117e-03,0.000,0,60,4.9257e-05,0.000,0,60,4.6799e-06,0.000,0,60,6.2914e-08,0.000,0,60,1.1941e-02,0.000,0,63,4.1872e-03,0.000,0,63,4.8768e-05,0.000,0,63,4.6266e-06,0.000,0,63,6.6031e-08,0.000,0,63,4.6909,0.001,0,60,5.8623,0.002,0,60,10.0262,0.015,0,60,11.5185,0.063,0,60,-45.3836,3.275,0,60,1.8996,0.001,0,60,-0.0762,0.002,0,60,-0.5988,0.014,0,60,-0.2377,0.062,0,60,-60.9815,3.220,0,60,
