Nu Stable Isotope Analysis Program
Data Collected on Monday, June 18, 2018 at 23:12 with Stable 1.69.5 on PS019,Reanalyzed on Tuesday, June 19, 2018 at 00:12 with Stable 1.69.5 on PS019

Data File = Data_6003 ETH-04.txt,         Sample Weight = 412,                      Vial Location = 2,                        Initial Sam Beam = 1.1081e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9335e-08,                Max Ref Beam = 1.0611e-07,                
Analysis undertaken at mass 46.01242
Analysis undertaken at mass 46.01242
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.02775e-08,,,,,,1.1941e-02,4.1873e-03,4.8756e-05,4.6213e-06,6.2833e-08,,,,,,,,,,,
Sam 1,5.00705e-08,1.18594e-02,4.1683e-03,4.8170e-05,4.5816e-06,5.8733e-08,,,,,,           -6.8607,           -4.5368,          -12.0132,           -9.0177,          -68.8367,          -10.0339,          -10.3998,           -0.5159,            0.0356,          -53.5671,
Ref 2,4.97485e-08,,,,,,1.1941e-02,4.1873e-03,4.8755e-05,4.6253e-06,6.3318e-08,,,,,,,,,,,
Sam 2,4.95771e-08,1.18595e-02,4.1683e-03,4.8168e-05,4.5841e-06,5.9245e-08,,,,,,           -6.8580,           -4.5434,          -12.0403,           -9.0043,          -60.8978,          -10.0308,          -10.4064,           -0.5397,            0.0623,          -45.4883,
Ref 3,4.92119e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6263e-06,6.2853e-08,,,,,,,,,,,
Sam 3,4.90529e-08,1.18594e-02,4.1683e-03,4.8173e-05,4.5856e-06,5.9124e-08,,,,,,           -6.8683,           -4.5469,          -11.9283,           -8.6772,          -68.3913,          -10.0417,          -10.4099,           -0.4121,            0.3995,          -53.0876,
Ref 4,4.86620e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6250e-06,6.4082e-08,,,,,,,,,,,
Sam 4,4.85732e-08,1.18593e-02,4.1683e-03,4.8175e-05,4.5853e-06,5.9998e-08,,,,,,           -6.8786,           -4.5513,          -11.8623,           -8.9323,          -69.8902,          -10.0524,          -10.4142,           -0.3304,            0.1509,          -54.5926,
Ref 5,4.81286e-08,,,,,,1.1941e-02,4.1874e-03,4.8752e-05,4.6283e-06,6.4937e-08,,,,,,,,,,,
Sam 5,4.80615e-08,1.18594e-02,4.1683e-03,4.8173e-05,4.5861e-06,5.9796e-08,,,,,,           -6.8716,           -4.5618,          -11.9497,           -8.8190,          -61.0068,          -10.0447,          -10.4246,           -0.4157,            0.2862,          -45.5505,
Ref 6,4.75973e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6256e-06,6.2412e-08,,,,,,,,,,,
Sam 6,4.75718e-08,1.18593e-02,4.1683e-03,4.8170e-05,4.5843e-06,5.9160e-08,,,,,,           -6.8768,           -4.5594,          -12.0575,           -9.2971,          -61.7973,          -10.0502,          -10.4223,           -0.5218,           -0.2010,          -46.3532,
Ref 7,4.70943e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6291e-06,6.3709e-08,,,,,,,,,,,
Sam 7,4.70699e-08,1.18593e-02,4.1684e-03,4.8169e-05,4.5834e-06,6.1877e-08,,,,,,           -6.8741,           -4.5462,          -12.1563,           -9.8815,          -35.6751,          -10.0479,          -10.4092,           -0.6374,           -0.8172,          -19.8293,
Ref 8,4.65657e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6293e-06,6.4628e-08,,,,,,,,,,,
Sam 8,4.65897e-08,1.18593e-02,4.1683e-03,4.8169e-05,4.5843e-06,5.9536e-08,,,,,,           -6.8821,           -4.5577,          -12.1760,           -9.8638,          -74.6263,          -10.0559,          -10.4206,           -0.6379,           -0.7763,          -59.3913,
Ref 9,4.60747e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6308e-06,6.4044e-08,,,,,,,,,,,
Sam 9,4.61136e-08,1.18594e-02,4.1683e-03,4.8169e-05,4.5852e-06,5.9526e-08,,,,,,           -6.8710,           -4.5585,          -12.1746,           -9.6980,          -76.2289,          -10.0441,          -10.4214,           -0.6471,           -0.6073,          -61.0298,
Ref 10,4.55601e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6295e-06,6.4838e-08,,,,,,,,,,,
Sam 10,4.56266e-08,1.18594e-02,4.1684e-03,4.8164e-05,4.5876e-06,6.0526e-08,,,,,,           -6.8735,           -4.5293,          -12.3026,           -8.8049,          -60.7524,          -10.0478,          -10.3924,           -0.8028,            0.2354,          -45.3511,
Ref 11,4.50940e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6272e-06,6.4041e-08,,,,,,,,,,,
Sam 11,4.51695e-08,1.18594e-02,4.1684e-03,4.8173e-05,4.5861e-06,6.0078e-08,,,,,,           -6.8673,           -4.5315,          -12.0453,           -8.7910,          -69.3906,          -10.0411,          -10.3946,           -0.5468,            0.2538,          -54.1333,
Ref 12,4.46158e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6263e-06,6.5080e-08,,,,,,,,,,,
Sam 12,4.46924e-08,1.18596e-02,4.1684e-03,4.8167e-05,4.5855e-06,5.9283e-08,,,,,,           -6.8598,           -4.5365,          -12.1136,           -8.8356,          -74.6735,          -10.0330,          -10.3996,           -0.6186,            0.2188,          -59.5010,
Ref 13,4.41258e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6265e-06,6.3043e-08,,,,,,,,,,,
Sam 13,4.42494e-08,1.18594e-02,4.1683e-03,4.8171e-05,4.5847e-06,5.9731e-08,,,,,,           -6.8673,           -4.5581,          -12.0558,           -9.0669,          -60.2240,          -10.0402,          -10.4210,           -0.5311,            0.0287,          -44.7662,
Ref 14,4.36517e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6269e-06,6.4080e-08,,,,,,,,,,,
Sam 14,4.38013e-08,1.18594e-02,4.1684e-03,4.8163e-05,4.5847e-06,5.8619e-08,,,,,,           -6.8595,           -4.5446,          -12.2536,           -9.3655,          -73.2199,          -10.0324,          -10.4076,           -0.7527,           -0.2998,          -58.0088,
Ref 15,4.32022e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6291e-06,6.2412e-08,,,,,,,,,,,
Sam 15,4.33518e-08,1.18594e-02,4.1684e-03,4.8169e-05,4.5849e-06,6.0324e-08,,,,,,           -6.8649,           -4.5279,          -12.1380,           -9.4411,          -43.8452,          -10.0387,          -10.3910,           -0.6466,           -0.4095,          -28.1784,
Ref 16,4.27268e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6280e-06,6.3776e-08,,,,,,,,,,,
Sam 16,4.29138e-08,1.18591e-02,4.1683e-03,4.8173e-05,4.5860e-06,6.1119e-08,,,,,,           -6.8875,           -4.5526,          -12.0673,           -9.3151,          -61.7241,          -10.0619,          -10.4155,           -0.5272,           -0.2328,          -46.2807,
Ref 17,4.22749e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6302e-06,6.6518e-08,,,,,,,,,,,
Sam 17,4.24827e-08,1.18592e-02,4.1684e-03,4.8169e-05,4.5837e-06,6.1205e-08,,,,,,           -6.8755,           -4.5598,          -12.2027,           -9.8356,          -62.4928,          -10.0489,          -10.4227,           -0.6696,           -0.7437,          -47.0607,
Ref 18,4.18343e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6283e-06,6.4038e-08,,,,,,,,,,,
Sam 18,4.20432e-08,1.18592e-02,4.1684e-03,4.8169e-05,4.5853e-06,6.0530e-08,,,,,,           -6.8669,           -4.5531,          -12.1900,           -9.1580,          -75.7042,          -10.0399,          -10.4161,           -0.6723,           -0.0732,          -60.5106,
Ref 19,4.14156e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6271e-06,6.6952e-08,,,,,,,,,,,
Sam 19,4.15919e-08,1.18593e-02,4.1684e-03,4.8173e-05,4.5857e-06,6.0155e-08,,,,,,           -6.8600,           -4.5405,          -12.0331,           -9.0978,          -93.7659,          -10.0330,          -10.4035,           -0.5331,           -0.0379,          -78.8990,
Ref 20,4.09859e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6285e-06,6.5800e-08,,,,,,,,,,,
Sam 20,4.11762e-08,1.18593e-02,4.1685e-03,4.8172e-05,4.5860e-06,6.0437e-08,,,,,,           -6.8631,           -4.5273,          -11.9825,           -9.1408,          -65.5959,          -10.0368,          -10.3904,           -0.4917,           -0.1077,          -50.2885,
Ref 21,4.05594e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6282e-06,6.3547e-08,,,,,,,,,,,


Ref 1,4.03037e-08,,,,,,1.1942e-02,4.1875e-03,4.8766e-05,4.6307e-06,6.4522e-08,,,,,,,,,,,
Sam 1,4.05742e-08,1.18592e-02,4.1684e-03,4.8175e-05,4.5883e-06,6.0487e-08,,,,,,           -6.8798,           -4.5597,          -12.0478,           -9.1305,          -64.2795,          -10.0534,          -10.4226,           -0.5085,           -0.0322,          -48.8726,
Ref 2,3.99271e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6304e-06,6.4764e-08,,,,,,,,,,,
Sam 2,4.01528e-08,1.18594e-02,4.1684e-03,4.8172e-05,4.5857e-06,6.1732e-08,,,,,,           -6.8634,           -4.5533,          -12.0608,           -9.5870,          -50.7355,          -10.0362,          -10.4162,           -0.5449,           -0.5058,          -35.1348,
Ref 3,3.94855e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6298e-06,6.5302e-08,,,,,,,,,,,
Sam 3,3.97313e-08,1.18593e-02,4.1684e-03,4.8173e-05,4.5867e-06,6.3089e-08,,,,,,           -6.8783,           -4.5697,          -12.1392,           -9.1923,          -47.5401,          -10.0514,          -10.4326,           -0.5927,           -0.0744,          -31.8400,
Ref 4,3.90609e-08,,,,,,1.1942e-02,4.1876e-03,4.8769e-05,4.6287e-06,6.7184e-08,,,,,,,,,,,
Sam 4,3.93243e-08,1.18594e-02,4.1685e-03,4.8166e-05,4.5872e-06,6.2055e-08,,,,,,           -6.8688,           -4.5526,          -12.3209,           -8.8695,          -70.4237,          -10.0420,          -10.4156,           -0.8031,            0.2169,          -55.1424,
Ref 5,3.86750e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6278e-06,6.6324e-08,,,,,,,,,,,
Sam 5,3.89360e-08,1.18593e-02,4.1684e-03,4.8177e-05,4.5860e-06,6.1388e-08,,,,,,           -6.8779,           -4.5675,          -12.0430,           -9.1469,          -67.5748,          -10.0512,          -10.4304,           -0.4978,           -0.0330,          -52.2093,
Ref 6,3.82696e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6288e-06,6.5345e-08,,,,,,,,,,,
Sam 6,3.85442e-08,1.18593e-02,4.1684e-03,4.8183e-05,4.5881e-06,6.1766e-08,,,,,,           -6.8803,           -4.5629,          -11.8909,           -8.6468,          -67.5529,          -10.0539,          -10.4258,           -0.3460,            0.4624,          -52.1934,
Ref 7,3.78871e-08,,,,,,1.1942e-02,4.1875e-03,4.8764e-05,4.6275e-06,6.7147e-08,,,,,,,,,,,
Sam 7,3.81591e-08,1.18595e-02,4.1686e-03,4.8182e-05,4.5877e-06,6.1724e-08,,,,,,           -6.8628,           -4.5211,          -11.9006,           -8.7589,          -70.8737,          -10.0367,          -10.3842,           -0.4154,            0.2652,          -55.6646,
Ref 8,3.75091e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6289e-06,6.5711e-08,,,,,,,,,,,
Sam 8,3.77892e-08,1.18594e-02,4.1685e-03,4.8175e-05,4.5871e-06,6.1325e-08,,,,,,           -6.8665,           -4.5386,          -12.0297,           -8.7576,          -59.3122,          -10.0400,          -10.4016,           -0.5248,            0.3017,          -43.8770,
Ref 9,3.71249e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6263e-06,6.4667e-08,,,,,,,,,,,
Sam 9,3.74223e-08,1.18593e-02,4.1685e-03,4.8178e-05,4.5867e-06,6.1033e-08,,,,,,           -6.8729,           -4.5427,          -12.0582,           -8.8150,          -62.1022,          -10.0467,          -10.4057,           -0.5430,            0.2520,          -46.6985,
Ref 10,3.67565e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6286e-06,6.5486e-08,,,,,,,,,,,
Sam 10,3.70419e-08,1.18593e-02,4.1684e-03,4.8181e-05,4.5868e-06,5.8126e-08,,,,,,           -6.8693,           -4.5501,          -11.9633,           -9.2927,         -102.4461,          -10.0426,          -10.4130,           -0.4434,           -0.2153,          -87.6953,
Ref 11,3.63893e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6311e-06,6.4028e-08,,,,,,,,,,,
Sam 11,3.66880e-08,1.18592e-02,4.1685e-03,4.8186e-05,4.5872e-06,6.0217e-08,,,,,,           -6.8772,           -4.5401,          -11.8793,           -9.0898,          -62.4275,          -10.0513,          -10.4031,           -0.3602,           -0.0305,          -47.0297,
Ref 12,3.60309e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6274e-06,6.4427e-08,,,,,,,,,,,
Sam 12,3.63312e-08,1.18593e-02,4.1685e-03,4.8178e-05,4.5855e-06,5.9627e-08,,,,,,           -6.8611,           -4.5294,          -12.0763,           -9.4130,          -75.4359,          -10.0346,          -10.3925,           -0.5866,           -0.3781,          -60.2877,
Ref 13,3.56945e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6307e-06,6.4558e-08,,,,,,,,,,,
Sam 13,3.59849e-08,1.18592e-02,4.1684e-03,4.8176e-05,4.5875e-06,5.9491e-08,,,,,,           -6.8664,           -4.5524,          -12.0941,           -9.1154,          -79.4503,          -10.0394,          -10.4154,           -0.5764,           -0.0316,          -64.3201,
Ref 14,3.53358e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6286e-06,6.4692e-08,,,,,,,,,,,
Sam 14,3.56315e-08,1.18592e-02,4.1685e-03,4.8179e-05,4.5890e-06,6.0397e-08,,,,,,           -6.8623,           -4.5419,          -12.1090,           -9.3506,          -70.2032,          -10.0355,          -10.4049,           -0.6061,           -0.2902,          -54.9449,
Ref 15,3.49984e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6360e-06,6.5224e-08,,,,,,,,,,,
Sam 15,3.52775e-08,1.18592e-02,4.1684e-03,4.8181e-05,4.5846e-06,6.1145e-08,,,,,,           -6.8638,           -4.5440,          -12.1094,          -10.0270,          -86.6126,          -10.0370,          -10.4070,           -0.6029,           -0.9684,          -71.6181,
Ref 16,3.46624e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6260e-06,6.8678e-08,,,,,,,,,,,
Sam 16,3.49257e-08,1.18593e-02,4.1685e-03,4.8175e-05,4.5875e-06,6.0696e-08,,,,,,           -6.8576,           -4.5475,          -12.1382,           -8.4432,          -92.7026,          -10.0302,          -10.4105,           -0.6351,            0.6369,          -77.8079,
Ref 17,3.43056e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6270e-06,6.5098e-08,,,,,,,,,,,
Sam 17,3.45996e-08,1.18591e-02,4.1684e-03,4.8177e-05,4.5866e-06,6.2942e-08,,,,,,           -6.8784,           -4.5643,          -12.1226,           -8.7812,          -36.7410,          -10.0518,          -10.4272,           -0.5810,            0.3296,          -20.8733,
Ref 18,3.39849e-08,,,,,,1.1941e-02,4.1874e-03,4.8772e-05,4.6275e-06,6.5591e-08,,,,,,,,,,,
Sam 18,3.42628e-08,1.18592e-02,4.1685e-03,4.8175e-05,4.5853e-06,6.1588e-08,,,,,,           -6.8743,           -4.5357,          -12.1832,           -9.2477,          -74.1778,          -10.0484,          -10.3987,           -0.6749,           -0.1988,          -58.9841,
Ref 19,3.36563e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6287e-06,6.7464e-08,,,,,,,,,,,
Sam 19,3.39425e-08,1.18591e-02,4.1684e-03,4.8179e-05,4.5861e-06,6.2986e-08,,,,,,           -6.8835,           -4.5479,          -12.0515,           -9.1738,          -60.9396,          -10.0578,          -10.4108,           -0.5200,           -0.0997,          -45.4962,
Ref 20,3.33203e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6283e-06,6.6679e-08,,,,,,,,,,,
Sam 20,3.36055e-08,1.18593e-02,4.1685e-03,4.8170e-05,4.5851e-06,6.5288e-08,,,,,,           -6.8636,           -4.5520,          -12.2674,           -9.3260,          -28.7031,          -10.0364,          -10.4149,           -0.7552,           -0.2451,          -12.7428,
Ref 21,3.30017e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6282e-06,6.7762e-08,,,,,,,,,,,


Ref 1,3.28521e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6287e-06,6.6867e-08,,,,,,,,,,,
Sam 1,3.31171e-08,1.18593e-02,4.1685e-03,4.8177e-05,4.5852e-06,6.3794e-08,,,,,,           -6.8560,           -4.5315,          -12.0920,           -9.5100,          -43.9427,          -10.0291,          -10.3946,           -0.6058,           -0.4718,          -28.2800,
Ref 2,3.25351e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6298e-06,6.6584e-08,,,,,,,,,,,
Sam 2,3.27993e-08,1.18592e-02,4.1685e-03,4.8180e-05,4.5857e-06,6.3410e-08,,,,,,           -6.8616,           -4.5315,          -12.0919,           -9.2241,          -76.5739,          -10.0351,          -10.3946,           -0.5998,           -0.1833,          -61.4399,
Ref 3,3.22224e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6270e-06,7.0771e-08,,,,,,,,,,,
Sam 3,3.24894e-08,1.18589e-02,4.1684e-03,4.8180e-05,4.5860e-06,6.5258e-08,,,,,,           -6.8921,           -4.5495,          -12.1432,           -9.1198,          -73.2054,          -10.0669,          -10.4124,           -0.6023,           -0.0419,          -57.9521,
Ref 4,3.19054e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6294e-06,7.0051e-08,,,,,,,,,,,
Sam 4,3.21830e-08,1.18590e-02,4.1683e-03,4.8180e-05,4.5865e-06,6.3635e-08,,,,,,           -6.8809,           -4.5654,          -12.1184,           -8.8632,          -80.9485,          -10.0544,          -10.4282,           -0.5732,            0.2489,          -65.8045,
Ref 5,3.16225e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6256e-06,6.8421e-08,,,,,,,,,,,
Sam 5,3.18767e-08,1.18591e-02,4.1684e-03,4.8180e-05,4.5854e-06,6.4235e-08,,,,,,           -6.8702,           -4.5424,          -12.1310,           -8.9373,          -56.9787,          -10.0438,          -10.4054,           -0.6198,            0.1280,          -41.4943,
Ref 6,3.13308e-08,,,,,,1.1941e-02,4.1874e-03,4.8773e-05,4.6280e-06,6.7808e-08,,,,,,,,,,,
Sam 6,3.15796e-08,1.18591e-02,4.1684e-03,4.8178e-05,4.5879e-06,6.3395e-08,,,,,,           -6.8651,           -4.5486,          -12.1185,           -8.6125,          -72.9665,          -10.0382,          -10.4115,           -0.6063,            0.4681,          -57.7381,
Ref 7,3.10271e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6275e-06,6.8968e-08,,,,,,,,,,,
Sam 7,3.12776e-08,1.18590e-02,4.1684e-03,4.8184e-05,4.5863e-06,6.4448e-08,,,,,,           -6.8652,           -4.5471,          -12.0428,           -9.0197,          -61.4011,          -10.0383,          -10.4100,           -0.5311,            0.0542,          -45.9857,
Ref 8,3.07314e-08,,,,,,1.1941e-02,4.1874e-03,4.8777e-05,4.6286e-06,6.8357e-08,,,,,,,,,,,
Sam 8,3.09819e-08,1.18589e-02,4.1684e-03,4.8180e-05,4.5836e-06,6.2933e-08,,,,,,           -6.8695,           -4.5464,          -12.1257,           -9.9073,          -95.7064,          -10.0429,          -10.4094,           -0.6111,           -0.8429,          -80.8513,
Ref 9,3.04484e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6305e-06,7.0842e-08,,,,,,,,,,,
Sam 9,3.07001e-08,1.18589e-02,4.1683e-03,4.8181e-05,4.5858e-06,6.2730e-08,,,,,,           -6.8617,           -4.5386,          -11.9949,           -9.3505,         -102.3641,          -10.0349,          -10.4016,           -0.4946,           -0.2966,          -87.6400,
Ref 10,3.01729e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6277e-06,6.8917e-08,,,,,,,,,,,
Sam 10,3.04085e-08,1.18589e-02,4.1683e-03,4.8177e-05,4.5871e-06,6.4208e-08,,,,,,           -6.8613,           -4.5513,          -12.1180,           -8.6241,          -67.4985,          -10.0340,          -10.4143,           -0.6070,            0.4620,          -52.1791,
Ref 11,2.98968e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6263e-06,6.8794e-08,,,,,,,,,,,
Sam 11,3.01260e-08,1.18588e-02,4.1683e-03,4.8173e-05,4.5862e-06,6.3540e-08,,,,,,           -6.8743,           -4.5416,          -12.1456,           -8.9584,          -80.1863,          -10.0482,          -10.4045,           -0.6311,            0.1050,          -65.0803,
Ref 12,2.96164e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6291e-06,6.9367e-08,,,,,,,,,,,
Sam 12,2.98349e-08,1.18590e-02,4.1683e-03,4.8176e-05,4.5850e-06,6.1385e-08,,,,,,           -6.8635,           -4.5368,          -12.0668,           -9.5269,         -117.8899,          -10.0368,          -10.3999,           -0.5672,           -0.4781,         -103.4219,
Ref 13,2.93426e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6291e-06,6.9813e-08,,,,,,,,,,,
Sam 13,2.95576e-08,1.18587e-02,4.1683e-03,4.8172e-05,4.5827e-06,6.4471e-08,,,,,,           -6.8823,           -4.5465,          -12.2394,           -9.6586,          -70.2792,          -10.0565,          -10.4095,           -0.7128,           -0.5916,          -54.9932,
Ref 14,2.90785e-08,,,,,,1.1941e-02,4.1872e-03,4.8770e-05,4.6257e-06,6.8873e-08,,,,,,,,,,,
Sam 14,2.92840e-08,1.18590e-02,4.1683e-03,4.8182e-05,4.5825e-06,6.2503e-08,,,,,,           -6.8571,           -4.5284,          -12.0788,           -9.4729,          -89.1200,          -10.0304,          -10.3915,           -0.5943,           -0.4407,          -74.2019,
Ref 15,2.88016e-08,,,,,,1.1941e-02,4.1873e-03,4.8771e-05,4.6268e-06,6.8362e-08,,,,,,,,,,,
Sam 15,2.90069e-08,1.18589e-02,4.1682e-03,4.8181e-05,4.5850e-06,6.4339e-08,,,,,,           -6.8604,           -4.5581,          -12.1029,           -9.5547,          -40.7736,          -10.0328,          -10.4210,           -0.5860,           -0.4636,          -25.0032,
Ref 16,2.85450e-08,,,,,,1.1941e-02,4.1873e-03,4.8771e-05,4.6318e-06,6.5775e-08,,,,,,,,,,,
Sam 16,2.87448e-08,1.18587e-02,4.1682e-03,4.8179e-05,4.5848e-06,6.4478e-08,,,,,,           -6.8704,           -4.5431,          -12.0681,           -9.7734,          -46.2578,          -10.0440,          -10.4060,           -0.5553,           -0.7144,          -30.5959,
Ref 17,2.82822e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6284e-06,6.9453e-08,,,,,,,,,,,
Sam 17,2.84760e-08,1.18588e-02,4.1682e-03,4.8172e-05,4.5879e-06,6.4352e-08,,,,,,           -6.8627,           -4.5460,          -12.1058,           -8.8194,          -72.2527,          -10.0357,          -10.4090,           -0.5984,            0.2542,          -57.0199,
Ref 18,2.80196e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6290e-06,6.9274e-08,,,,,,,,,,,
Sam 18,2.82047e-08,1.18587e-02,4.1683e-03,4.8179e-05,4.5863e-06,6.1579e-08,,,,,,           -6.8647,           -4.5305,          -11.9218,           -9.4583,         -104.8287,          -10.0384,          -10.3935,           -0.4256,           -0.4217,          -90.1567,
Ref 19,2.77689e-08,,,,,,1.1941e-02,4.1872e-03,4.8760e-05,4.6312e-06,6.8302e-08,,,,,,,,,,,
Sam 19,2.79515e-08,1.18587e-02,4.1682e-03,4.8179e-05,4.5855e-06,6.5284e-08,,,,,,           -6.8595,           -4.5358,          -12.0275,           -9.6769,          -48.0879,          -10.0326,          -10.3988,           -0.5327,           -0.6317,          -32.4812,
Ref 20,2.75134e-08,,,,,,1.1941e-02,4.1872e-03,4.8771e-05,4.6293e-06,6.8865e-08,,,,,,,,,,,
Sam 20,2.76888e-08,1.18586e-02,4.1682e-03,4.8179e-05,4.5829e-06,6.1842e-08,,,,,,           -6.8620,           -4.5399,          -12.0110,           -9.7436,          -97.8278,          -10.0351,          -10.4029,           -0.5093,           -0.6907,          -83.0266,
Ref 21,2.72701e-08,,,,,,1.1941e-02,4.1872e-03,4.8759e-05,4.6266e-06,6.8227e-08,,,,,,,,,,,


