Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 19, 2018 at 00:35 with Stable 1.69.5 on PS019,Reanalyzed on Tuesday, June 19, 2018 at 01:35 with Stable 1.69.5 on PS019

Data File = Data_6004 ETH-03.txt,         Sample Weight = 501,                      Vial Location = 3,                        Initial Sam Beam = 1.4474e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8789e-08,                Max Ref Beam = 1.0617e-07,                
Analysis undertaken at mass 46.01491
Analysis undertaken at mass 46.01491
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.41221e-08,,,,,,1.1942e-02,4.1875e-03,4.8752e-05,4.6241e-06,6.2215e-08,,,,,,,,,,,
Sam 1,6.39440e-08,1.20005e-02,4.2410e-03,4.9599e-05,4.7422e-06,6.0786e-08,,,,,,            4.9097,           12.7864,           17.3337,           25.3638,          -32.6969,            1.8935,            6.8138,           -0.3661,           -0.3631,          -61.4741,
Ref 2,6.34286e-08,,,,,,1.1942e-02,4.1875e-03,4.8757e-05,4.6257e-06,6.3473e-08,,,,,,,,,,,
Sam 2,6.32609e-08,1.20005e-02,4.2410e-03,4.9602e-05,4.7440e-06,6.2375e-08,,,,,,            4.9075,           12.7863,           17.3288,           25.4289,          -14.9504,            1.8910,            6.8137,           -0.3685,           -0.2994,          -44.2530,
Ref 3,6.26729e-08,,,,,,1.1942e-02,4.1875e-03,4.8756e-05,4.6271e-06,6.3168e-08,,,,,,,,,,,
Sam 3,6.24871e-08,1.20008e-02,4.2411e-03,4.9598e-05,4.7448e-06,6.2103e-08,,,,,,            4.9202,           12.7949,           17.2701,           25.5653,          -20.5694,            1.9043,            6.8223,           -0.4477,           -0.1836,          -49.7336,
Ref 4,6.19021e-08,,,,,,1.1942e-02,4.1875e-03,4.8755e-05,4.6260e-06,6.3649e-08,,,,,,,,,,,
Sam 4,6.18725e-08,1.20005e-02,4.2410e-03,4.9598e-05,4.7455e-06,6.1564e-08,,,,,,            4.8999,           12.7561,           17.2884,           25.6073,          -25.4865,            1.8841,            6.7837,           -0.3711,           -0.0659,          -54.4126,
Ref 5,6.11628e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6282e-06,6.2693e-08,,,,,,,,,,,
Sam 5,6.11613e-08,1.20005e-02,4.2410e-03,4.9593e-05,4.7455e-06,6.1046e-08,,,,,,            4.9044,           12.7749,           17.1425,           25.5139,          -29.7737,            1.8882,            6.8024,           -0.5375,           -0.1941,          -58.6115,
Ref 6,6.04309e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6267e-06,6.3148e-08,,,,,,,,,,,
Sam 6,6.04554e-08,1.20005e-02,4.2411e-03,4.9601e-05,4.7451e-06,6.1484e-08,,,,,,            4.9016,           12.7849,           17.3121,           25.4662,          -24.7953,            1.8848,            6.8124,           -0.3776,           -0.2603,          -53.7967,
Ref 7,5.96770e-08,,,,,,1.1942e-02,4.1876e-03,4.8755e-05,4.6278e-06,6.2945e-08,,,,,,,,,,,
Sam 7,5.98201e-08,1.20005e-02,4.2411e-03,4.9598e-05,4.7461e-06,6.2678e-08,,,,,,            4.9019,           12.7795,           17.3223,           25.4635,           -3.6482,            1.8854,            6.8070,           -0.3626,           -0.2523,          -33.2686,
Ref 8,5.90178e-08,,,,,,1.1942e-02,4.1875e-03,4.8751e-05,4.6287e-06,6.2869e-08,,,,,,,,,,,
Sam 8,5.91202e-08,1.20005e-02,4.2411e-03,4.9604e-05,4.7455e-06,6.1708e-08,,,,,,            4.9146,           12.8001,           17.4468,           25.3808,          -24.7302,            1.8982,            6.8275,           -0.2733,           -0.3736,          -53.7744,
Ref 9,5.83191e-08,,,,,,1.1942e-02,4.1875e-03,4.8756e-05,4.6274e-06,6.3681e-08,,,,,,,,,,,
Sam 9,5.84974e-08,1.20004e-02,4.2410e-03,4.9606e-05,4.7450e-06,6.2074e-08,,,,,,            4.8973,           12.7511,           17.4460,           25.3585,          -29.7561,            1.8815,            6.7787,           -0.2088,           -0.2986,          -58.5438,
Ref 10,5.75980e-08,,,,,,1.1942e-02,4.1877e-03,4.8755e-05,4.6280e-06,6.4279e-08,,,,,,,,,,,
Sam 10,5.78649e-08,1.20004e-02,4.2410e-03,4.9599e-05,4.7467e-06,6.1826e-08,,,,,,            4.8943,           12.7550,           17.2692,           25.5888,          -34.9482,            1.8781,            6.7826,           -0.3832,           -0.0817,          -63.5859,
Ref 11,5.69230e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6285e-06,6.3848e-08,,,,,,,,,,,
Sam 11,5.72320e-08,1.20003e-02,4.2410e-03,4.9598e-05,4.7465e-06,6.0963e-08,,,,,,            4.8983,           12.7714,           17.2148,           25.7825,          -42.4178,            1.8818,            6.7989,           -0.4566,            0.0747,          -70.8674,
Ref 12,5.62893e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6258e-06,6.3477e-08,,,,,,,,,,,
Sam 12,5.65782e-08,1.20004e-02,4.2410e-03,4.9601e-05,4.7469e-06,6.3070e-08,,,,,,            4.9030,           12.7611,           17.2907,           25.9009,           -6.3837,            1.8872,            6.7887,           -0.3770,            0.2104,          -35.8894,
Ref 13,5.56096e-08,,,,,,1.1942e-02,4.1876e-03,4.8757e-05,4.6282e-06,6.3475e-08,,,,,,,,,,,
Sam 13,5.59519e-08,1.20005e-02,4.2411e-03,4.9598e-05,4.7457e-06,6.3310e-08,,,,,,            4.9067,           12.7691,           17.2286,           25.5525,           -1.5833,            1.8908,            6.7966,           -0.4495,           -0.1450,          -31.2504,
Ref 14,5.49835e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6267e-06,6.3345e-08,,,,,,,,,,,
Sam 14,5.53689e-08,1.20003e-02,4.2410e-03,4.9598e-05,4.7464e-06,6.2229e-08,,,,,,            4.8958,           12.7587,           17.1615,           25.6016,          -27.3517,            1.8796,            6.7863,           -0.4942,           -0.0765,          -56.2232,
Ref 15,5.43241e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6292e-06,6.4621e-08,,,,,,,,,,,
Sam 15,5.47668e-08,1.20002e-02,4.2410e-03,4.9597e-05,4.7442e-06,6.3181e-08,,,,,,            4.8815,           12.7402,           17.1992,           25.0160,           -7.3459,            1.8650,            6.7679,           -0.4245,           -0.6110,          -36.7621,
Ref 16,5.36885e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6277e-06,6.2665e-08,,,,,,,,,,,
Sam 16,5.41906e-08,1.20003e-02,4.2410e-03,4.9597e-05,4.7446e-06,6.2510e-08,,,,,,            4.8965,           12.7616,           17.2144,           25.2455,          -10.3042,            1.8802,            6.7892,           -0.4457,           -0.4295,          -39.6878,
Ref 17,5.31174e-08,,,,,,1.1942e-02,4.1875e-03,4.8760e-05,4.6278e-06,6.3662e-08,,,,,,,,,,,
Sam 17,5.35862e-08,1.20004e-02,4.2410e-03,4.9599e-05,4.7474e-06,6.1837e-08,,,,,,            4.9069,           12.7803,           17.1815,           25.8153,          -29.9214,            1.8907,            6.8078,           -0.5069,            0.0891,          -58.7671,
Ref 18,5.25202e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6280e-06,6.3827e-08,,,,,,,,,,,
Sam 18,5.30155e-08,1.20004e-02,4.2410e-03,4.9604e-05,4.7457e-06,6.2027e-08,,,,,,            4.9099,           12.7673,           17.3083,           25.4787,          -24.1312,            1.8943,            6.7948,           -0.3728,           -0.2134,          -53.1282,
Ref 19,5.19057e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6275e-06,6.3291e-08,,,,,,,,,,,
Sam 19,5.24300e-08,1.20003e-02,4.2410e-03,4.9600e-05,4.7434e-06,6.2372e-08,,,,,,            4.9051,           12.7751,           17.2912,           24.8143,          -11.0957,            1.8889,            6.8026,           -0.3921,           -0.8765,          -40.4896,
Ref 20,5.13316e-08,,,,,,1.1942e-02,4.1875e-03,4.8756e-05,4.6297e-06,6.2850e-08,,,,,,,,,,,
Sam 20,5.18748e-08,1.20002e-02,4.2410e-03,4.9600e-05,4.7438e-06,6.1388e-08,,,,,,            4.9010,           12.7679,           17.2387,           24.8522,          -28.0664,            1.8848,            6.7954,           -0.4325,           -0.8254,          -56.9387,
Ref 21,5.07547e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6278e-06,6.3476e-08,,,,,,,,,,,


Ref 1,5.04925e-08,,,,,,1.1942e-02,4.1875e-03,4.8753e-05,4.6282e-06,6.2913e-08,,,,,,,,,,,
Sam 1,5.10095e-08,1.20004e-02,4.2411e-03,4.9606e-05,4.7434e-06,6.1809e-08,,,,,,            4.9178,           12.8106,           17.5054,           24.8052,          -26.1710,            1.9012,            6.8379,           -0.2292,           -0.9555,          -55.1948,
Ref 2,4.99215e-08,,,,,,1.1942e-02,4.1875e-03,4.8753e-05,4.6290e-06,6.4034e-08,,,,,,,,,,,
Sam 2,5.04971e-08,1.20002e-02,4.2410e-03,4.9605e-05,4.7455e-06,6.1094e-08,,,,,,            4.8997,           12.7685,           17.4041,           25.1178,          -42.6014,            1.8834,            6.7960,           -0.2693,           -0.5675,          -71.0417,
Ref 3,4.93481e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6293e-06,6.3589e-08,,,,,,,,,,,
Sam 3,4.99541e-08,1.20001e-02,4.2410e-03,4.9599e-05,4.7456e-06,6.1590e-08,,,,,,            4.8899,           12.7497,           17.2590,           25.1800,          -31.3115,            1.8736,            6.7773,           -0.3835,           -0.4698,          -60.0431,
Ref 4,4.87930e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6287e-06,6.3572e-08,,,,,,,,,,,
Sam 4,4.94191e-08,1.20001e-02,4.2410e-03,4.9595e-05,4.7461e-06,6.3125e-08,,,,,,            4.8921,           12.7570,           17.1878,           25.3160,           -3.1010,            1.8757,            6.7846,           -0.4629,           -0.3518,          -32.6854,
Ref 5,4.82758e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6291e-06,6.3068e-08,,,,,,,,,,,
Sam 5,4.88977e-08,1.20001e-02,4.2410e-03,4.9599e-05,4.7463e-06,6.1644e-08,,,,,,            4.9003,           12.7564,           17.2491,           25.2430,          -25.1413,            1.8845,            6.7840,           -0.4104,           -0.4216,          -54.0787,
Ref 6,4.77254e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6297e-06,6.3402e-08,,,,,,,,,,,
Sam 6,4.83833e-08,1.20001e-02,4.2410e-03,4.9597e-05,4.7465e-06,6.1808e-08,,,,,,            4.8999,           12.7661,           17.1215,           25.3919,          -31.1434,            1.8837,            6.7937,           -0.5449,           -0.2956,          -59.9199,
Ref 7,4.72188e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6282e-06,6.4192e-08,,,,,,,,,,,
Sam 7,4.78780e-08,1.20000e-02,4.2410e-03,4.9603e-05,4.7462e-06,6.1747e-08,,,,,,            4.9028,           12.7646,           17.2388,           25.5274,          -46.0528,            1.8868,            6.7921,           -0.4311,           -0.1605,          -74.3865,
Ref 8,4.67104e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6280e-06,6.5270e-08,,,,,,,,,,,
Sam 8,4.73732e-08,1.19999e-02,4.2409e-03,4.9597e-05,4.7468e-06,6.1514e-08,,,,,,            4.8924,           12.7462,           17.1562,           25.3765,          -47.5745,            1.8764,            6.7738,           -0.4836,           -0.2713,          -75.8199,
Ref 9,4.61891e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6307e-06,6.3897e-08,,,,,,,,,,,
Sam 9,4.68819e-08,1.20000e-02,4.2410e-03,4.9605e-05,4.7469e-06,6.1747e-08,,,,,,            4.8956,           12.7510,           17.2855,           25.3006,          -33.4294,            1.8797,            6.7787,           -0.3647,           -0.3549,          -62.1064,
Ref 10,4.57027e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6289e-06,6.3868e-08,,,,,,,,,,,
Sam 10,4.63976e-08,1.20001e-02,4.2410e-03,4.9601e-05,4.7434e-06,6.2758e-08,,,,,,            4.9046,           12.7532,           17.2201,           24.7134,          -14.5882,            1.8891,            6.7808,           -0.4402,           -0.9318,          -43.8373,
Ref 11,4.52193e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6291e-06,6.3503e-08,,,,,,,,,,,
Sam 11,4.59170e-08,1.20000e-02,4.2409e-03,4.9604e-05,4.7464e-06,6.1249e-08,,,,,,            4.8969,           12.7413,           17.2457,           25.1239,          -36.7658,            1.8814,            6.7690,           -0.3957,           -0.5081,          -65.3274,
Ref 12,4.47231e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6311e-06,6.3672e-08,,,,,,,,,,,
Sam 12,4.54255e-08,1.20000e-02,4.2409e-03,4.9601e-05,4.7462e-06,6.3861e-08,,,,,,            4.8994,           12.7447,           17.1809,           25.2035,            7.3358,            1.8839,            6.7723,           -0.4651,           -0.4371,          -22.5424,
Ref 13,4.42530e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6279e-06,6.3116e-08,,,,,,,,,,,
Sam 13,4.49617e-08,1.20000e-02,4.2410e-03,4.9604e-05,4.7473e-06,6.1911e-08,,,,,,            4.9001,           12.7630,           17.2253,           25.4577,          -24.2005,            1.8840,            6.7905,           -0.4400,           -0.2253,          -53.1776,
Ref 14,4.37704e-08,,,,,,1.1942e-02,4.1875e-03,4.8767e-05,4.6309e-06,6.3779e-08,,,,,,,,,,,
Sam 14,4.44919e-08,1.19999e-02,4.2409e-03,4.9602e-05,4.7451e-06,6.0997e-08,,,,,,            4.8934,           12.7443,           17.1973,           24.7828,          -44.7238,            1.8776,            6.7719,           -0.4426,           -0.8464,          -73.0513,
Ref 15,4.33284e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6298e-06,6.3926e-08,,,,,,,,,,,
Sam 15,4.40298e-08,1.19998e-02,4.2410e-03,4.9603e-05,4.7467e-06,6.1970e-08,,,,,,            4.8916,           12.7514,           17.2182,           25.2603,          -30.9823,            1.8754,            6.7791,           -0.4271,           -0.3950,          -59.7286,
Ref 16,4.28389e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6297e-06,6.3977e-08,,,,,,,,,,,
Sam 16,4.35753e-08,1.19997e-02,4.2409e-03,4.9602e-05,4.7482e-06,6.1939e-08,,,,,,            4.8736,           12.7293,           17.1862,           25.6496,          -30.0814,            1.8570,            6.7570,           -0.4186,            0.0284,          -58.7959,
Ref 17,4.24040e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6293e-06,6.3743e-08,,,,,,,,,,,
Sam 17,4.31119e-08,1.19997e-02,4.2409e-03,4.9597e-05,4.7463e-06,6.2617e-08,,,,,,            4.8857,           12.7562,           17.1155,           25.2005,          -22.4157,            1.8689,            6.7838,           -0.5266,           -0.4627,          -51.4189,
Ref 18,4.19623e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6300e-06,6.4367e-08,,,,,,,,,,,
Sam 18,4.26702e-08,1.19998e-02,4.2409e-03,4.9600e-05,4.7474e-06,6.1145e-08,,,,,,            4.8974,           12.7541,           17.1317,           25.5881,          -58.7414,            1.8815,            6.7817,           -0.5206,           -0.0806,          -86.6745,
Ref 19,4.15252e-08,,,,,,1.1941e-02,4.1875e-03,4.8766e-05,4.6280e-06,6.5561e-08,,,,,,,,,,,
Sam 19,4.22323e-08,1.19999e-02,4.2409e-03,4.9605e-05,4.7457e-06,6.2838e-08,,,,,,            4.9014,           12.7407,           17.2739,           25.3318,          -47.3147,            1.8862,            6.7683,           -0.3720,           -0.3040,          -75.5668,
Ref 20,4.10847e-08,,,,,,1.1941e-02,4.1876e-03,4.8758e-05,4.6290e-06,6.6360e-08,,,,,,,,,,,
Sam 20,4.18068e-08,1.19999e-02,4.2409e-03,4.9608e-05,4.7459e-06,6.3533e-08,,,,,,            4.8986,           12.7215,           17.3220,           25.4056,          -53.5901,            1.8838,            6.7492,           -0.3031,           -0.1941,          -81.6189,
Ref 21,4.06318e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6277e-06,6.7909e-08,,,,,,,,,,,


Ref 1,4.04251e-08,,,,,,1.1941e-02,4.1876e-03,4.8760e-05,4.6319e-06,6.6271e-08,,,,,,,,,,,
Sam 1,4.11540e-08,1.19999e-02,4.2409e-03,4.9612e-05,4.7462e-06,6.2911e-08,,,,,,            4.8890,           12.7266,           17.4320,           25.1361,          -42.9671,            1.8734,            6.7543,           -0.1901,           -0.4670,          -71.3103,
Ref 2,4.00028e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6278e-06,6.5196e-08,,,,,,,,,,,
Sam 2,4.07249e-08,1.19998e-02,4.2410e-03,4.9603e-05,4.7467e-06,6.1541e-08,,,,,,            4.8832,           12.7310,           17.2055,           25.5017,          -51.3220,            1.8671,            6.7588,           -0.4111,           -0.1193,          -79.4201,
Ref 3,3.95961e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6295e-06,6.4542e-08,,,,,,,,,,,
Sam 3,4.03393e-08,1.19999e-02,4.2409e-03,4.9610e-05,4.7458e-06,6.2027e-08,,,,,,            4.8871,           12.7254,           17.3237,           25.1556,          -27.9169,            1.8715,            6.7531,           -0.2935,           -0.4456,          -56.7019,
Ref 4,3.91919e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6291e-06,6.3068e-08,,,,,,,,,,,
Sam 4,3.99168e-08,1.19999e-02,4.2410e-03,4.9603e-05,4.7483e-06,6.2720e-08,,,,,,            4.8836,           12.7307,           17.1333,           25.6975,          -30.0288,            1.8675,            6.7585,           -0.4822,            0.0721,          -58.7575,
Ref 5,3.87864e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6295e-06,6.6272e-08,,,,,,,,,,,
Sam 5,3.95008e-08,1.20000e-02,4.2411e-03,4.9609e-05,4.7485e-06,6.2466e-08,,,,,,            4.8928,           12.7559,           17.1963,           25.7221,          -51.4188,            1.8765,            6.7836,           -0.4543,            0.0463,          -79.5681,
Ref 6,3.83825e-08,,,,,,1.1942e-02,4.1877e-03,4.8772e-05,4.6293e-06,6.5427e-08,,,,,,,,,,,
Sam 6,3.90943e-08,1.20000e-02,4.2411e-03,4.9610e-05,4.7440e-06,6.1721e-08,,,,,,            4.8953,           12.7591,           17.2815,           24.7401,          -72.0839,            1.8791,            6.7867,           -0.3762,           -0.9173,          -99.6278,
Ref 7,3.80008e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6295e-06,6.7614e-08,,,,,,,,,,,
Sam 7,3.87153e-08,1.19999e-02,4.2410e-03,4.9607e-05,4.7448e-06,6.4011e-08,,,,,,            4.8830,           12.7475,           17.2488,           24.9191,          -33.9359,            1.8664,            6.7752,           -0.3844,           -0.7199,          -62.5789,
Ref 8,3.76224e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6293e-06,6.4891e-08,,,,,,,,,,,
Sam 8,3.83263e-08,1.19998e-02,4.2411e-03,4.9610e-05,4.7480e-06,6.4194e-08,,,,,,            4.8833,           12.7472,           17.2294,           25.6279,          -11.4898,            1.8667,            6.7748,           -0.4034,           -0.0282,          -40.7980,
Ref 9,3.72352e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6295e-06,6.4989e-08,,,,,,,,,,,
Sam 9,3.79280e-08,1.19999e-02,4.2410e-03,4.9609e-05,4.7446e-06,6.0568e-08,,,,,,            4.8936,           12.7471,           17.2270,           25.1899,          -43.3877,            1.8776,            6.7747,           -0.4162,           -0.4550,          -71.7600,
Ref 10,3.68631e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6266e-06,6.1624e-08,,,,,,,,,,,
Sam 10,3.75595e-08,1.19998e-02,4.2410e-03,4.9612e-05,4.7462e-06,6.0043e-08,,,,,,            4.8938,           12.7437,           17.3191,           25.3862,          -40.6471,            1.8780,            6.7714,           -0.3226,           -0.2570,          -69.0948,
Ref 11,3.65025e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6308e-06,6.3560e-08,,,,,,,,,,,
Sam 11,3.71884e-08,1.19999e-02,4.2410e-03,4.9609e-05,4.7464e-06,6.2311e-08,,,,,,            4.9006,           12.7410,           17.2242,           25.0735,          -22.0041,            1.8854,            6.7687,           -0.4203,           -0.5566,          -51.0066,
Ref 12,3.61338e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6298e-06,6.3867e-08,,,,,,,,,,,
Sam 12,3.68197e-08,1.19998e-02,4.2410e-03,4.9609e-05,4.7452e-06,6.0973e-08,,,,,,            4.8877,           12.7350,           17.1806,           25.1013,          -44.1089,            1.8717,            6.7627,           -0.4440,           -0.5176,          -72.4323,
Ref 13,3.57767e-08,,,,,,1.1941e-02,4.1877e-03,4.8772e-05,4.6282e-06,6.3705e-08,,,,,,,,,,,
Sam 13,3.64558e-08,1.19997e-02,4.2410e-03,4.9610e-05,4.7458e-06,6.2489e-08,,,,,,            4.8818,           12.7323,           17.1898,           25.1211,          -18.9924,            1.8656,            6.7600,           -0.4264,           -0.4929,          -48.0490,
Ref 14,3.54300e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6308e-06,6.3693e-08,,,,,,,,,,,
Sam 14,3.60966e-08,1.19998e-02,4.2410e-03,4.9606e-05,4.7448e-06,6.0451e-08,,,,,,            4.8974,           12.7592,           17.1222,           24.7359,          -33.1910,            1.8812,            6.7868,           -0.5349,           -0.9216,          -61.8915,
Ref 15,3.50734e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6297e-06,6.1348e-08,,,,,,,,,,,
Sam 15,3.57356e-08,1.19996e-02,4.2410e-03,4.9604e-05,4.7465e-06,5.8154e-08,,,,,,            4.8910,           12.7465,           17.1328,           25.0426,          -60.3572,            1.8749,            6.7742,           -0.5057,           -0.5976,          -88.2229,
Ref 16,3.47421e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6313e-06,6.2437e-08,,,,,,,,,,,
Sam 16,3.53934e-08,1.19998e-02,4.2410e-03,4.9604e-05,4.7487e-06,6.0242e-08,,,,,,            4.9046,           12.7453,           17.1189,           25.6278,          -23.8759,            1.8895,            6.7729,           -0.5320,           -0.0245,          -52.8347,
Ref 17,3.43952e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6287e-06,6.0987e-08,,,,,,,,,,,
Sam 17,3.50376e-08,1.19996e-02,4.2409e-03,4.9610e-05,4.7459e-06,6.0507e-08,,,,,,            4.8938,           12.7313,           17.2074,           25.1433,          -16.7433,            1.8784,            6.7590,           -0.4204,           -0.4693,          -45.8768,
Ref 18,3.40709e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6303e-06,6.2093e-08,,,,,,,,,,,
Sam 18,3.47184e-08,1.19995e-02,4.2408e-03,4.9612e-05,4.7462e-06,5.8586e-08,,,,,,            4.8836,           12.7164,           17.2997,           25.1391,          -57.5380,            1.8680,            6.7443,           -0.3048,           -0.4441,          -85.4265,
Ref 19,3.37294e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6293e-06,6.2234e-08,,,,,,,,,,,
Sam 19,3.43632e-08,1.19996e-02,4.2409e-03,4.9605e-05,4.7457e-06,6.1107e-08,,,,,,            4.8905,           12.7446,           17.1361,           25.0745,          -13.4212,            1.8745,            6.7723,           -0.5000,           -0.5627,          -42.6746,
Ref 20,3.34019e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6298e-06,6.1639e-08,,,,,,,,,,,
Sam 20,3.40408e-08,1.19996e-02,4.2409e-03,4.9607e-05,4.7455e-06,6.0125e-08,,,,,,            4.8961,           12.7186,           17.1493,           25.2221,          -27.6840,            1.8813,            6.7464,           -0.4676,           -0.3674,          -56.4725,
Ref 21,3.30869e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6276e-06,6.2037e-08,,,,,,,,,,,


