Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 19, 2018 at 07:26 with Stable 1.69.5 on PS019,Reanalyzed on Tuesday, June 19, 2018 at 08:26 with Stable 1.69.5 on PS019

Data File = Data_6009 88KL 100.txt,       Sample Weight = 423,                      Vial Location = 8,                        Initial Sam Beam = 5.2232e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.6025e-08,                Max Ref Beam = 1.0600e-07,                
Analysis undertaken at mass 46.0149
Analysis undertaken at mass 46.0149
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.75692e-08,,,,,,1.1941e-02,4.1872e-03,4.8762e-05,4.6239e-06,6.1934e-08,,,,,,,,,,,
Sam 1,4.73765e-08,1.19973e-02,4.2120e-03,4.9259e-05,4.6785e-06,6.1118e-08,,,,,,            4.6992,            5.8917,           10.1977,           11.3500,          -27.8925,            1.9075,           -0.0471,           -0.4662,           -0.4625,          -43.8391,
Ref 2,4.66967e-08,,,,,,1.1941e-02,4.1873e-03,4.8761e-05,4.6282e-06,6.3826e-08,,,,,,,,,,,
Sam 2,4.65201e-08,1.19976e-02,4.2121e-03,4.9257e-05,4.6793e-06,5.8918e-08,,,,,,            4.7083,            5.9039,           10.1962,           11.0680,          -76.5431,            1.9167,           -0.0349,           -0.4890,           -0.7655,          -91.7220,
Ref 3,4.58251e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6278e-06,6.3776e-08,,,,,,,,,,,
Sam 3,4.57074e-08,1.19974e-02,4.2120e-03,4.9257e-05,4.6810e-06,6.1839e-08,,,,,,            4.6859,            5.8753,           10.1776,           11.4829,          -21.9445,            1.8938,           -0.0634,           -0.4564,           -0.2985,          -37.9442,
Ref 4,4.49836e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6279e-06,6.2667e-08,,,,,,,,,,,
Sam 4,4.48957e-08,1.19974e-02,4.2120e-03,4.9256e-05,4.6812e-06,6.1054e-08,,,,,,            4.6862,            5.8798,           10.0713,           11.6673,          -34.7667,            1.8940,           -0.0588,           -0.5664,           -0.1254,          -50.5654,
Ref 5,4.41625e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6265e-06,6.3849e-08,,,,,,,,,,,
Sam 5,4.40844e-08,1.19974e-02,4.2120e-03,4.9254e-05,4.6806e-06,6.1540e-08,,,,,,            4.6923,            5.8717,           10.0417,           11.5614,          -27.4191,            1.9008,           -0.0669,           -0.5941,           -0.2139,          -43.3292,
Ref 6,4.33580e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6276e-06,6.2691e-08,,,,,,,,,,,
Sam 6,4.33047e-08,1.19974e-02,4.2120e-03,4.9254e-05,4.6809e-06,5.9733e-08,,,,,,            4.6893,            5.8730,           10.1444,           11.6826,          -41.0167,            1.8975,           -0.0656,           -0.4905,           -0.0968,          -56.7037,
Ref 7,4.25639e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6261e-06,6.1878e-08,,,,,,,,,,,
Sam 7,4.25518e-08,1.19973e-02,4.2120e-03,4.9254e-05,4.6811e-06,6.0958e-08,,,,,,            4.6829,            5.8568,           10.0621,           11.8321,          -25.8596,            1.8913,           -0.0817,           -0.5495,            0.0833,          -41.7576,
Ref 8,4.17763e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6266e-06,6.3288e-08,,,,,,,,,,,
Sam 8,4.17783e-08,1.19975e-02,4.2121e-03,4.9257e-05,4.6828e-06,6.1115e-08,,,,,,            4.7004,            5.8857,           10.0041,           12.1700,          -29.0243,            1.9089,           -0.0530,           -0.6532,            0.3597,          -44.9424,
Ref 9,4.10426e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6265e-06,6.2590e-08,,,,,,,,,,,
Sam 9,4.10528e-08,1.19975e-02,4.2122e-03,4.9262e-05,4.6830e-06,6.2744e-08,,,,,,            4.6982,            5.9026,           10.1515,           12.0101,           -8.4694,            1.9060,           -0.0362,           -0.5216,            0.1681,          -24.7544,
Ref 10,4.03083e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6284e-06,6.3983e-08,,,,,,,,,,,
Sam 10,4.03605e-08,1.19973e-02,4.2120e-03,4.9259e-05,4.6827e-06,6.2256e-08,,,,,,            4.6919,            5.8603,           10.0432,           12.0930,          -14.7919,            1.9007,           -0.0782,           -0.5809,            0.3340,          -30.8865,
Ref 11,3.95864e-08,,,,,,1.1941e-02,4.1875e-03,4.8774e-05,4.6251e-06,6.2385e-08,,,,,,,,,,,
Sam 11,3.96504e-08,1.19972e-02,4.2121e-03,4.9262e-05,4.6781e-06,6.1518e-08,,,,,,            4.6811,            5.8753,           10.0052,           11.2175,          -11.3313,            1.8887,           -0.0633,           -0.6221,           -0.5609,          -27.4997,
Ref 12,3.88647e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6274e-06,6.2057e-08,,,,,,,,,,,
Sam 12,3.89395e-08,1.19973e-02,4.2121e-03,4.9268e-05,4.6811e-06,6.1773e-08,,,,,,            4.6896,            5.8687,           10.1971,           11.7138,          -13.3729,            1.8980,           -0.0699,           -0.4345,           -0.0573,          -29.5043,
Ref 13,3.81842e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6265e-06,6.3173e-08,,,,,,,,,,,
Sam 13,3.82748e-08,1.19973e-02,4.2121e-03,4.9253e-05,4.6793e-06,6.3219e-08,,,,,,            4.6846,            5.8720,            9.8410,           11.5067,          -15.4010,            1.8925,           -0.0666,           -0.7849,           -0.2686,          -31.5002,
Ref 14,3.75208e-08,,,,,,1.1941e-02,4.1875e-03,4.8777e-05,4.6258e-06,6.5262e-08,,,,,,,,,,,
Sam 14,3.76210e-08,1.19973e-02,4.2121e-03,4.9264e-05,4.6792e-06,6.0981e-08,,,,,,            4.6879,            5.8761,           10.1158,           11.5424,          -51.2722,            1.8959,           -0.0625,           -0.5205,           -0.2414,          -66.7957,
Ref 15,3.68790e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6259e-06,6.3275e-08,,,,,,,,,,,
Sam 15,3.69864e-08,1.19972e-02,4.2121e-03,4.9263e-05,4.6808e-06,6.1684e-08,,,,,,            4.6891,            5.8827,           10.2039,           11.8306,          -27.2277,            1.8970,           -0.0560,           -0.4409,            0.0304,          -43.1580,
Ref 16,3.62472e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6264e-06,6.3549e-08,,,,,,,,,,,
Sam 16,3.63695e-08,1.19973e-02,4.2121e-03,4.9260e-05,4.6813e-06,5.9569e-08,,,,,,            4.6953,            5.8704,           10.0647,           11.6339,          -51.1512,            1.9040,           -0.0682,           -0.5730,           -0.1397,          -66.6736,
Ref 17,3.56222e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6286e-06,6.1999e-08,,,,,,,,,,,
Sam 17,3.57452e-08,1.19974e-02,4.2121e-03,4.9256e-05,4.6815e-06,6.1320e-08,,,,,,            4.6981,            5.8741,            9.9403,           11.5633,          -29.9965,            1.9069,           -0.0646,           -0.7026,           -0.2168,          -45.8747,
Ref 18,3.50306e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6275e-06,6.4455e-08,,,,,,,,,,,
Sam 18,3.51626e-08,1.19973e-02,4.2122e-03,4.9254e-05,4.6801e-06,6.3572e-08,,,,,,            4.6910,            5.8744,            9.9035,           11.2961,          -10.8109,            1.8993,           -0.0642,           -0.7320,           -0.4816,          -26.9964,
Ref 19,3.44341e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6281e-06,6.4076e-08,,,,,,,,,,,
Sam 19,3.45814e-08,1.19972e-02,4.2121e-03,4.9260e-05,4.6808e-06,6.2867e-08,,,,,,            4.6811,            5.8646,           10.1067,           11.6021,          -26.9273,            1.8891,           -0.0739,           -0.5113,           -0.1596,          -42.8207,
Ref 20,3.38545e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6262e-06,6.5146e-08,,,,,,,,,,,
Sam 20,3.39948e-08,1.19973e-02,4.2121e-03,4.9259e-05,4.6806e-06,6.1884e-08,,,,,,            4.7013,            5.8728,           10.1215,           11.4187,          -50.5153,            1.9103,           -0.0658,           -0.5253,           -0.3572,          -66.0584,
Ref 21,3.32986e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6294e-06,6.5208e-08,,,,,,,,,,,


Ref 1,3.30140e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6272e-06,6.5185e-08,,,,,,,,,,,
Sam 1,3.31618e-08,1.19970e-02,4.2120e-03,4.9255e-05,4.6823e-06,6.3277e-08,,,,,,            4.6917,            5.8603,            9.8966,           12.1919,          -12.8494,            1.9006,           -0.0783,           -0.7258,            0.4320,          -28.9754,
Ref 2,3.24880e-08,,,,,,1.1941e-02,4.1874e-03,4.8771e-05,4.6246e-06,6.2999e-08,,,,,,,,,,,
Sam 2,3.26086e-08,1.19969e-02,4.2120e-03,4.9260e-05,4.6839e-06,6.0282e-08,,,,,,            4.6904,            5.8727,            9.9989,           12.1226,          -54.5873,            1.8987,           -0.0659,           -0.6354,            0.3388,          -70.0528,
Ref 3,3.19511e-08,,,,,,1.1941e-02,4.1874e-03,4.8774e-05,4.6312e-06,6.4539e-08,,,,,,,,,,,
Sam 3,3.20862e-08,1.19969e-02,4.2120e-03,4.9258e-05,4.6813e-06,6.1860e-08,,,,,,            4.6915,            5.8613,            9.9595,           11.4310,          -50.2351,            1.9003,           -0.0772,           -0.6644,           -0.3222,          -65.7521,
Ref 4,3.14272e-08,,,,,,1.1941e-02,4.1874e-03,4.8770e-05,4.6256e-06,6.5734e-08,,,,,,,,,,,
Sam 4,3.15515e-08,1.19969e-02,4.2120e-03,4.9260e-05,4.6815e-06,6.1366e-08,,,,,,            4.7038,            5.8671,           10.1002,           11.6624,          -66.6250,            1.9132,           -0.0715,           -0.5434,           -0.1051,          -81.8966,
Ref 5,3.09201e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6296e-06,6.5760e-08,,,,,,,,,,,
Sam 5,3.10409e-08,1.19967e-02,4.2119e-03,4.9262e-05,4.6816e-06,6.3856e-08,,,,,,            4.6849,            5.8621,           10.1795,           11.2413,          -17.7887,            1.8932,           -0.0764,           -0.4407,           -0.5112,          -33.8306,
Ref 6,3.04177e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6295e-06,6.4253e-08,,,,,,,,,,,
Sam 6,3.05342e-08,1.19970e-02,4.2120e-03,4.9254e-05,4.6801e-06,6.3112e-08,,,,,,            4.7063,            5.8781,            9.9669,           11.3159,          -12.5493,            1.9154,           -0.0606,           -0.6886,           -0.4693,          -28.7291,
Ref 7,2.99348e-08,,,,,,1.1941e-02,4.1873e-03,4.8770e-05,4.6258e-06,6.3569e-08,,,,,,,,,,,
Sam 7,3.00519e-08,1.19967e-02,4.2118e-03,4.9260e-05,4.6801e-06,6.2215e-08,,,,,,            4.6822,            5.8589,           10.0866,           11.4892,          -37.4761,            1.8905,           -0.0796,           -0.5267,           -0.2600,          -53.1879,
Ref 8,2.94519e-08,,,,,,1.1941e-02,4.1873e-03,4.8765e-05,4.6282e-06,6.5723e-08,,,,,,,,,,,
Sam 8,2.95752e-08,1.19967e-02,4.2119e-03,4.9256e-05,4.6776e-06,6.2081e-08,,,,,,            4.6912,            5.8674,           10.0522,           10.7575,          -48.9580,            1.8998,           -0.0712,           -0.5783,           -0.9999,          -64.5067,
Ref 9,2.89942e-08,,,,,,1.1941e-02,4.1873e-03,4.8766e-05,4.6275e-06,6.4824e-08,,,,,,,,,,,
Sam 9,2.91051e-08,1.19968e-02,4.2118e-03,4.9254e-05,4.6796e-06,6.3016e-08,,,,,,            4.7008,            5.8645,            9.9967,           11.3980,          -32.4821,            1.9101,           -0.0741,           -0.6402,           -0.3610,          -48.3043,
Ref 10,2.85333e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6262e-06,6.5445e-08,,,,,,,,,,,
Sam 10,2.86457e-08,1.19967e-02,4.2118e-03,4.9257e-05,4.6822e-06,6.2547e-08,,,,,,            4.6974,            5.8588,           10.0211,           12.0564,          -49.1662,            1.9067,           -0.0797,           -0.6070,            0.3010,          -64.7020,
Ref 11,2.80861e-08,,,,,,1.1941e-02,4.1873e-03,4.8769e-05,4.6267e-06,6.6124e-08,,,,,,,,,,,
Sam 11,2.81843e-08,1.19966e-02,4.2118e-03,4.9256e-05,4.6797e-06,6.2633e-08,,,,,,            4.6880,            5.8669,           10.0274,           11.5642,          -54.3104,            1.8963,           -0.0717,           -0.5990,           -0.2017,          -69.7675,
Ref 12,2.76510e-08,,,,,,1.1941e-02,4.1872e-03,4.8765e-05,4.6256e-06,6.6337e-08,,,,,,,,,,,
Sam 12,2.77414e-08,1.19966e-02,4.2119e-03,4.9266e-05,4.6814e-06,6.3291e-08,,,,,,            4.6906,            5.8738,           10.2478,           11.6673,          -52.8022,            1.8989,           -0.0648,           -0.3904,           -0.1134,          -68.2992,
Ref 13,2.72197e-08,,,,,,1.1941e-02,4.1873e-03,4.8767e-05,4.6292e-06,6.7309e-08,,,,,,,,,,,
Sam 13,2.73127e-08,1.19963e-02,4.2118e-03,4.9254e-05,4.6774e-06,6.4271e-08,,,,,,            4.6830,            5.8621,            9.9446,           10.6763,          -25.8587,            1.8912,           -0.0765,           -0.6711,           -1.0696,          -41.7667,
Ref 14,2.68008e-08,,,,,,1.1940e-02,4.1872e-03,4.8771e-05,4.6268e-06,6.4625e-08,,,,,,,,,,,
Sam 14,2.68912e-08,1.19964e-02,4.2117e-03,4.9260e-05,4.6777e-06,6.1588e-08,,,,,,            4.6930,            5.8688,           10.1033,           11.0172,          -60.4828,            1.9016,           -0.0698,           -0.5309,           -0.7461,          -75.8474,
Ref 15,2.63964e-08,,,,,,1.1940e-02,4.1871e-03,4.8763e-05,4.6266e-06,6.6495e-08,,,,,,,,,,,
Sam 15,2.64769e-08,1.19962e-02,4.2117e-03,4.9258e-05,4.6817e-06,6.1707e-08,,,,,,            4.6813,            5.8801,           10.1041,           11.8239,          -62.4837,            1.8888,           -0.0586,           -0.5291,            0.0289,          -77.8245,
Ref 16,2.59953e-08,,,,,,1.1940e-02,4.1870e-03,4.8766e-05,4.6274e-06,6.5135e-08,,,,,,,,,,,
Sam 16,2.60684e-08,1.19962e-02,4.2115e-03,4.9263e-05,4.6814e-06,6.2983e-08,,,,,,            4.6812,            5.8404,           10.2379,           11.9183,          -48.0412,            1.8900,           -0.0981,           -0.3578,            0.2011,          -63.5455,
Ref 17,2.56043e-08,,,,,,1.1940e-02,4.1870e-03,4.8761e-05,4.6251e-06,6.7205e-08,,,,,,,,,,,
Sam 17,2.56687e-08,1.19962e-02,4.2116e-03,4.9253e-05,4.6815e-06,6.4904e-08,,,,,,            4.6799,            5.8631,            9.9753,           11.8903,          -30.1617,            1.8879,           -0.0754,           -0.6386,            0.1282,          -45.9983,
Ref 18,2.52187e-08,,,,,,1.1940e-02,4.1870e-03,4.8772e-05,4.6279e-06,6.6637e-08,,,,,,,,,,,
Sam 18,2.52760e-08,1.19962e-02,4.2115e-03,4.9264e-05,4.6760e-06,6.2736e-08,,,,,,            4.6952,            5.8478,           10.0333,           10.6412,          -50.4119,            1.9046,           -0.0907,           -0.5818,           -1.0759,          -65.9049,
Ref 19,2.48365e-08,,,,,,1.1940e-02,4.1869e-03,4.8778e-05,4.6257e-06,6.5488e-08,,,,,,,,,,,
Sam 19,2.48778e-08,1.19963e-02,4.2115e-03,4.9256e-05,4.6797e-06,6.3158e-08,,,,,,            4.7121,            5.8673,            9.9353,           11.9930,          -36.3752,            1.9220,           -0.0713,           -0.7152,            0.2213,          -52.1504,
Ref 20,2.44625e-08,,,,,,1.1940e-02,4.1870e-03,4.8765e-05,4.6229e-06,6.5598e-08,,,,,,,,,,,
Sam 20,2.44984e-08,1.19961e-02,4.2116e-03,4.9255e-05,4.6797e-06,6.4115e-08,,,,,,            4.6975,            5.8643,           10.0479,           12.1288,          -64.7141,            1.9065,           -0.0743,           -0.5859,            0.3616,          -80.0057,
Ref 21,2.40945e-08,,,,,,1.1940e-02,4.1870e-03,4.8765e-05,4.6243e-06,7.1549e-08,,,,,,,,,,,


Ref 1,2.39180e-08,,,,,,1.1940e-02,4.1870e-03,4.8766e-05,4.6253e-06,7.0522e-08,,,,,,,,,,,
Sam 1,2.39406e-08,1.19961e-02,4.2114e-03,4.9260e-05,4.6746e-06,6.3024e-08,,,,,,            4.6984,            5.8384,           10.1125,           10.7244,          -76.7953,            1.9084,           -0.1001,           -0.4975,           -0.9750,          -91.8442,
Ref 2,2.35603e-08,,,,,,1.1940e-02,4.1870e-03,4.8767e-05,4.6247e-06,6.5977e-08,,,,,,,,,,,
Sam 2,2.35656e-08,1.19963e-02,4.2116e-03,4.9249e-05,4.6810e-06,6.5241e-08,,,,,,            4.7100,            5.8630,            9.7764,           11.7603,          -27.8382,            1.9199,           -0.0756,           -0.8662,           -0.0001,          -43.7431,
Ref 3,2.32048e-08,,,,,,1.1940e-02,4.1870e-03,4.8776e-05,4.6285e-06,6.8259e-08,,,,,,,,,,,
Sam 3,2.32112e-08,1.19960e-02,4.2116e-03,4.9252e-05,4.6805e-06,6.3549e-08,,,,,,            4.6803,            5.8707,            9.8186,           11.5828,          -69.3015,            1.8880,           -0.0679,           -0.8014,           -0.1908,          -84.5129,
Ref 4,2.28706e-08,,,,,,1.1940e-02,4.1870e-03,4.8769e-05,4.6253e-06,6.8303e-08,,,,,,,,,,,
Sam 4,2.28671e-08,1.19960e-02,4.2114e-03,4.9254e-05,4.6851e-06,6.3152e-08,,,,,,            4.6898,            5.8492,            9.9541,           13.2321,          -54.7154,            1.8989,           -0.0893,           -0.6562,            1.4821,          -70.1355,
Ref 5,2.25373e-08,,,,,,1.1940e-02,4.1870e-03,4.8768e-05,4.6226e-06,6.5290e-08,,,,,,,,,,,
Sam 5,2.25241e-08,1.19958e-02,4.2114e-03,4.9253e-05,4.6766e-06,6.6233e-08,,,,,,            4.6800,            5.8397,           10.0041,           11.1440,            0.4261,            1.8887,           -0.0988,           -0.5872,           -0.5628,          -15.8649,
Ref 6,2.22114e-08,,,,,,1.1940e-02,4.1869e-03,4.8763e-05,4.6276e-06,6.7134e-08,,,,,,,,,,,
Sam 6,2.21876e-08,1.19957e-02,4.2114e-03,4.9254e-05,4.6805e-06,6.4796e-08,,,,,,            4.6787,            5.8388,           10.0546,           11.2310,          -26.7285,            1.8874,           -0.0996,           -0.5351,           -0.4752,          -42.5745,
Ref 7,2.18882e-08,,,,,,1.1940e-02,4.1869e-03,4.8764e-05,4.6295e-06,6.6009e-08,,,,,,,,,,,
Sam 7,2.18553e-08,1.19959e-02,4.2114e-03,4.9250e-05,4.6776e-06,6.5274e-08,,,,,,            4.6915,            5.8433,            9.9483,           10.6747,          -45.7076,            1.9009,           -0.0951,           -0.6578,           -1.0340,          -61.2656,
Ref 8,2.15735e-08,,,,,,1.1940e-02,4.1869e-03,4.8767e-05,4.6268e-06,7.0826e-08,,,,,,,,,,,
Sam 8,2.15300e-08,1.19957e-02,4.2114e-03,4.9249e-05,4.6766e-06,6.6127e-08,,,,,,            4.6747,            5.8554,            9.8907,           10.7527,          -43.5987,            1.8826,           -0.0831,           -0.7094,           -0.9809,          -59.1965,
Ref 9,2.12617e-08,,,,,,1.1940e-02,4.1869e-03,4.8766e-05,4.6269e-06,6.7433e-08,,,,,,,,,,,
Sam 9,2.12059e-08,1.19957e-02,4.2115e-03,4.9253e-05,4.6791e-06,6.2272e-08,,,,,,            4.6800,            5.8769,           10.0127,           11.2407,          -52.5364,            1.8875,           -0.0617,           -0.6152,           -0.5412,          -68.0329,
Ref 10,2.09542e-08,,,,,,1.1940e-02,4.1869e-03,4.8763e-05,4.6271e-06,6.3993e-08,,,,,,,,,,,
Sam 10,2.08877e-08,1.19959e-02,4.2114e-03,4.9257e-05,4.6755e-06,6.4616e-08,,,,,,            4.6937,            5.8535,           10.0026,           10.3450,          -50.1888,            1.9029,           -0.0850,           -0.6163,           -1.3800,          -65.6945,
Ref 11,2.06538e-08,,,,,,1.1940e-02,4.1869e-03,4.8776e-05,4.6281e-06,7.2127e-08,,,,,,,,,,,
Sam 11,2.05800e-08,1.19959e-02,4.2113e-03,4.9256e-05,4.6808e-06,6.4844e-08,,,,,,            4.6977,            5.8506,            9.9185,           11.3047,          -89.3984,            1.9072,           -0.0879,           -0.7008,           -0.4258,         -104.2627,
Ref 12,2.03621e-08,,,,,,1.1940e-02,4.1868e-03,4.8769e-05,4.6288e-06,7.0280e-08,,,,,,,,,,,
Sam 12,2.02780e-08,1.19958e-02,4.2113e-03,4.9256e-05,4.6801e-06,6.2909e-08,,,,,,            4.6887,            5.8494,           10.0032,           11.3703,          -99.9296,            1.8977,           -0.0891,           -0.6066,           -0.3584,         -114.6115,
Ref 13,2.00758e-08,,,,,,1.1940e-02,4.1869e-03,4.8767e-05,4.6261e-06,6.9501e-08,,,,,,,,,,,
Sam 13,1.99777e-08,1.19958e-02,4.2113e-03,4.9254e-05,4.6764e-06,6.2843e-08,,,,,,            4.6928,            5.8365,            9.9339,           10.7929,          -91.9272,            1.9025,           -0.1020,           -0.6666,           -0.9035,         -106.7208,
Ref 14,1.97904e-08,,,,,,1.1940e-02,4.1868e-03,4.8773e-05,4.6268e-06,6.8904e-08,,,,,,,,,,,
Sam 14,1.96835e-08,1.19957e-02,4.2113e-03,4.9265e-05,4.6813e-06,6.4045e-08,,,,,,            4.6832,            5.8479,           10.0940,           12.0673,          -77.3016,            1.8919,           -0.0905,           -0.5097,            0.3334,          -92.3447,
Ref 15,1.95141e-08,,,,,,1.1940e-02,4.1868e-03,4.8772e-05,4.6240e-06,6.9925e-08,,,,,,,,,,,
Sam 15,1.93943e-08,1.19957e-02,4.2113e-03,4.9257e-05,4.6777e-06,6.5646e-08,,,,,,            4.6763,            5.8293,            9.9682,           11.6834,          -47.6450,            1.8852,           -0.1090,           -0.6088,           -0.0091,          -63.1306,
Ref 16,1.92422e-08,,,,,,1.1940e-02,4.1869e-03,4.8770e-05,4.6233e-06,6.7921e-08,,,,,,,,,,,
Sam 16,1.91124e-08,1.19958e-02,4.2114e-03,4.9259e-05,4.6796e-06,5.9859e-08,,,,,,            4.6977,            5.8538,           10.0228,           11.7103,         -122.0022,            1.9071,           -0.0847,           -0.6007,           -0.0312,         -136.3397,
Ref 17,1.89745e-08,,,,,,1.1940e-02,4.1869e-03,4.8770e-05,4.6275e-06,6.8437e-08,,,,,,,,,,,
Sam 17,1.88341e-08,1.19958e-02,4.2112e-03,4.9251e-05,4.6787e-06,6.5025e-08,,,,,,            4.6999,            5.8220,            9.8931,           11.7049,          -68.9282,            1.9106,           -0.1164,           -0.7002,            0.0268,          -84.0775,
Ref 18,1.87090e-08,,,,,,1.1940e-02,4.1868e-03,4.8767e-05,4.6216e-06,7.1262e-08,,,,,,,,,,,
Sam 18,1.85580e-08,1.19957e-02,4.2113e-03,4.9255e-05,4.6774e-06,6.5405e-08,,,,,,            4.6843,            5.8485,           10.0268,           11.4158,          -73.7743,            1.8931,           -0.0900,           -0.5779,           -0.3117,          -88.8770,
Ref 19,1.84517e-08,,,,,,1.1940e-02,4.1868e-03,4.8765e-05,4.6277e-06,6.9959e-08,,,,,,,,,,,
Sam 19,1.82903e-08,1.19956e-02,4.2112e-03,4.9256e-05,4.6779e-06,6.5717e-08,,,,,,            4.6837,            5.8272,            9.9690,           11.4052,          -91.9121,            1.8932,           -0.1112,           -0.6136,           -0.2798,         -106.6812,
Ref 20,1.81988e-08,,,,,,1.1940e-02,4.1868e-03,4.8775e-05,4.6226e-06,7.4812e-08,,,,,,,,,,,
Sam 20,1.80260e-08,1.19957e-02,4.2112e-03,4.9243e-05,4.6780e-06,6.9577e-08,,,,,,            4.6955,            5.8294,            9.6612,           11.7406,          -49.1220,            1.9056,           -0.1090,           -0.9324,            0.0472,          -64.6028,
Ref 21,1.79492e-08,,,,,,1.1940e-02,4.1868e-03,4.8770e-05,4.6248e-06,7.1509e-08,,,,,,,,,,,


