Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 19, 2018 at 23:01 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, June 20, 2018 at 00:01 with Stable 1.69.5 on PS019

Data File = Data_6018 KG92 91.txt,        Sample Weight = 458,                      Vial Location = 17,                       Initial Sam Beam = 1.0305e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2063e-08,                Max Ref Beam = 1.0647e-07,                
Analysis undertaken at mass 46.01243
Analysis undertaken at mass 46.01243
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.08177e-08,,,,,,1.1943e-02,4.1877e-03,4.8756e-05,4.6247e-06,6.1643e-08,,,,,,,,,,,
Sam 1,9.08860e-08,1.19662e-02,4.2278e-03,4.9295e-05,4.7124e-06,6.0572e-08,,,,,,            1.9621,            9.5742,           11.0229,           18.8074,          -13.7835,           -1.1328,            3.6236,           -0.4353,           -0.4245,          -34.1132,
Ref 2,8.87544e-08,,,,,,1.1943e-02,4.1877e-03,4.8760e-05,4.6261e-06,6.1189e-08,,,,,,,,,,,
Sam 2,8.89288e-08,1.19663e-02,4.2278e-03,4.9291e-05,4.7142e-06,5.9754e-08,,,,,,            1.9647,            9.5845,           10.8631,           18.9667,          -26.2814,           -1.1304,            3.6339,           -0.6060,           -0.2886,          -46.3752,
Ref 3,8.66697e-08,,,,,,1.1943e-02,4.1877e-03,4.8763e-05,4.6269e-06,6.1548e-08,,,,,,,,,,,
Sam 3,8.70278e-08,1.19662e-02,4.2278e-03,4.9292e-05,4.7153e-06,6.0880e-08,,,,,,            1.9549,            9.5791,           10.8518,           19.0576,          -13.9039,           -1.1406,            3.6285,           -0.6019,           -0.1887,          -34.2329,
Ref 4,8.46212e-08,,,,,,1.1943e-02,4.1877e-03,4.8762e-05,4.6274e-06,6.1933e-08,,,,,,,,,,,
Sam 4,8.51295e-08,1.19663e-02,4.2278e-03,4.9298e-05,4.7137e-06,6.0532e-08,,,,,,            1.9593,            9.5674,           11.0024,           18.7603,          -28.0540,           -1.1355,            3.6169,           -0.4461,           -0.4572,          -48.0742,
Ref 5,8.26730e-08,,,,,,1.1943e-02,4.1877e-03,4.8762e-05,4.6263e-06,6.2634e-08,,,,,,,,,,,
Sam 5,8.32779e-08,1.19663e-02,4.2278e-03,4.9292e-05,4.7148e-06,5.9973e-08,,,,,,            1.9555,            9.5616,           10.8876,           18.8801,          -39.3050,           -1.1394,            3.6111,           -0.5501,           -0.3283,          -59.0790,
Ref 6,8.07478e-08,,,,,,1.1943e-02,4.1878e-03,4.8761e-05,4.6286e-06,6.2216e-08,,,,,,,,,,,
Sam 6,8.14602e-08,1.19663e-02,4.2279e-03,4.9297e-05,4.7140e-06,6.0225e-08,,,,,,            1.9596,            9.5727,           10.9937,           18.6775,          -25.7808,           -1.1355,            3.6221,           -0.4601,           -0.5489,          -45.8578,
Ref 7,7.89126e-08,,,,,,1.1943e-02,4.1878e-03,4.8760e-05,4.6266e-06,6.1413e-08,,,,,,,,,,,
Sam 7,7.97809e-08,1.19662e-02,4.2278e-03,4.9293e-05,4.7150e-06,6.0278e-08,,,,,,            1.9500,            9.5567,           10.8969,           19.0352,          -23.4080,           -1.1451,            3.6062,           -0.5303,           -0.1662,          -43.4944,
Ref 8,7.71141e-08,,,,,,1.1943e-02,4.1878e-03,4.8763e-05,4.6272e-06,6.2040e-08,,,,,,,,,,,
Sam 8,7.81218e-08,1.19662e-02,4.2278e-03,4.9296e-05,4.7170e-06,6.0535e-08,,,,,,            1.9507,            9.5509,           10.9493,           19.2347,          -19.4824,           -1.1441,            3.6005,           -0.4737,            0.0408,          -39.6395,
Ref 9,7.53699e-08,,,,,,1.1943e-02,4.1878e-03,4.8762e-05,4.6287e-06,6.1428e-08,,,,,,,,,,,
Sam 9,7.64792e-08,1.19661e-02,4.2278e-03,4.9296e-05,4.7158e-06,6.0617e-08,,,,,,            1.9577,            9.5693,           11.0075,           18.9027,          -23.5035,           -1.1374,            3.6188,           -0.4413,           -0.3213,          -43.6192,
Ref 10,7.37053e-08,,,,,,1.1943e-02,4.1877e-03,4.8758e-05,4.6280e-06,6.2738e-08,,,,,,,,,,,
Sam 10,7.48402e-08,1.19660e-02,4.2278e-03,4.9294e-05,4.7152e-06,6.0375e-08,,,,,,            1.9610,            9.5795,           10.9674,           18.9140,          -39.5961,           -1.1342,            3.6289,           -0.4942,           -0.3305,          -59.4023,
Ref 11,7.20708e-08,,,,,,1.1943e-02,4.1877e-03,4.8761e-05,4.6274e-06,6.2992e-08,,,,,,,,,,,
Sam 11,7.33329e-08,1.19659e-02,4.2278e-03,4.9294e-05,4.7140e-06,6.1130e-08,,,,,,            1.9598,            9.5724,           10.9594,           18.7425,          -23.6431,           -1.1351,            3.6218,           -0.4940,           -0.4846,          -43.7639,
Ref 12,7.04962e-08,,,,,,1.1942e-02,4.1877e-03,4.8759e-05,4.6270e-06,6.2221e-08,,,,,,,,,,,
Sam 12,7.18101e-08,1.19660e-02,4.2278e-03,4.9301e-05,4.7150e-06,6.1072e-08,,,,,,            1.9664,            9.5818,           11.0713,           19.0390,          -18.4071,           -1.1285,            3.6312,           -0.3992,           -0.2123,          -38.6601,
Ref 13,6.89658e-08,,,,,,1.1943e-02,4.1877e-03,4.8762e-05,4.6267e-06,6.2214e-08,,,,,,,,,,,
Sam 13,7.03967e-08,1.19658e-02,4.2278e-03,4.9296e-05,4.7145e-06,6.1666e-08,,,,,,            1.9553,            9.5671,           10.8739,           19.0277,          -12.8024,           -1.1398,            3.6166,           -0.5687,           -0.1944,          -33.1320,
Ref 14,6.74773e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6263e-06,6.2723e-08,,,,,,,,,,,
Sam 14,6.89767e-08,1.19658e-02,4.2278e-03,4.9297e-05,4.7150e-06,6.0929e-08,,,,,,            1.9570,            9.5667,           10.8850,           18.8576,          -18.5757,           -1.1380,            3.6162,           -0.5590,           -0.3604,          -38.7873,
Ref 15,6.60384e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6293e-06,6.1427e-08,,,,,,,,,,,
Sam 15,6.75962e-08,1.19658e-02,4.2278e-03,4.9298e-05,4.7150e-06,6.1168e-08,,,,,,            1.9633,            9.5768,           10.9632,           18.7258,           -7.3688,           -1.1316,            3.6262,           -0.4981,           -0.5097,          -27.8370,
Ref 16,6.46466e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6273e-06,6.1821e-08,,,,,,,,,,,
Sam 16,6.62635e-08,1.19657e-02,4.2278e-03,4.9301e-05,4.7162e-06,6.0730e-08,,,,,,            1.9532,            9.5641,           11.0106,           19.0800,          -10.2557,           -1.1420,            3.6136,           -0.4284,           -0.1369,          -30.6298,
Ref 17,6.32865e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6285e-06,6.0889e-08,,,,,,,,,,,
Sam 17,6.49514e-08,1.19658e-02,4.2278e-03,4.9301e-05,4.7164e-06,6.0171e-08,,,,,,            1.9643,            9.5711,           11.0165,           19.1021,          -21.4010,           -1.1303,            3.6206,           -0.4409,           -0.1293,          -41.5702,
Ref 18,6.19692e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6275e-06,6.2097e-08,,,,,,,,,,,
Sam 18,6.36403e-08,1.19657e-02,4.2278e-03,4.9295e-05,4.7157e-06,6.0410e-08,,,,,,            1.9617,            9.5712,           10.8940,           18.9923,          -22.5770,           -1.1332,            3.6207,           -0.5594,           -0.2372,          -42.7194,
Ref 19,6.06990e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6281e-06,6.1508e-08,,,,,,,,,,,
Sam 19,6.24195e-08,1.19656e-02,4.2277e-03,4.9294e-05,4.7145e-06,6.0729e-08,,,,,,            1.9590,            9.5593,           10.8730,           18.5630,          -17.6091,           -1.1356,            3.6088,           -0.5658,           -0.6348,          -37.8288,
Ref 20,5.94627e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6290e-06,6.2134e-08,,,,,,,,,,,
Sam 20,6.12230e-08,1.19655e-02,4.2277e-03,4.9297e-05,4.7153e-06,6.1160e-08,,,,,,            1.9589,            9.5641,           10.9586,           18.7954,          -18.3439,           -1.1358,            3.6135,           -0.4858,           -0.4162,          -38.5574,
Ref 21,5.82343e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6275e-06,6.2474e-08,,,,,,,,,,,


Ref 1,5.76648e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6240e-06,6.2158e-08,,,,,,,,,,,
Sam 1,5.94118e-08,1.19655e-02,4.2277e-03,4.9292e-05,4.7145e-06,6.1176e-08,,,,,,            1.9635,            9.5667,           10.6836,           18.8806,          -20.0974,           -1.1311,            3.6162,           -0.7649,           -0.3379,          -40.2843,
Ref 2,5.64909e-08,,,,,,1.1942e-02,4.1877e-03,4.8776e-05,4.6303e-06,6.2709e-08,,,,,,,,,,,
Sam 2,5.82881e-08,1.19654e-02,4.2277e-03,4.9299e-05,4.7165e-06,6.1003e-08,,,,,,            1.9527,            9.5453,           10.8339,           18.9083,          -25.3279,           -1.1418,            3.5949,           -0.5843,           -0.2682,          -45.3563,
Ref 3,5.53669e-08,,,,,,1.1942e-02,4.1877e-03,4.8766e-05,4.6276e-06,6.2464e-08,,,,,,,,,,,
Sam 3,5.71800e-08,1.19654e-02,4.2277e-03,4.9297e-05,4.7139e-06,6.1525e-08,,,,,,            1.9550,            9.5451,           10.8651,           18.4717,          -17.1432,           -1.1393,            3.5947,           -0.5558,           -0.6962,          -37.3418,
Ref 4,5.42616e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6292e-06,6.2735e-08,,,,,,,,,,,
Sam 4,5.60871e-08,1.19654e-02,4.2277e-03,4.9290e-05,4.7146e-06,6.0234e-08,,,,,,            1.9541,            9.5502,           10.7168,           18.5866,          -40.6228,           -1.1405,            3.5998,           -0.7064,           -0.5937,          -60.3474,
Ref 5,5.32162e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6279e-06,6.2835e-08,,,,,,,,,,,
Sam 5,5.49965e-08,1.19654e-02,4.2277e-03,4.9298e-05,4.7152e-06,6.0001e-08,,,,,,            1.9567,            9.5592,           10.9123,           18.9111,          -49.4926,           -1.1380,            3.6087,           -0.5245,           -0.2930,          -69.0537,
Ref 6,5.21517e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6275e-06,6.3421e-08,,,,,,,,,,,
Sam 6,5.39848e-08,1.19653e-02,4.2277e-03,4.9293e-05,4.7149e-06,6.0751e-08,,,,,,            1.9431,            9.5410,           10.8049,           18.8152,          -48.6316,           -1.1518,            3.5906,           -0.5990,           -0.3510,          -68.1639,
Ref 7,5.11469e-08,,,,,,1.1942e-02,4.1878e-03,4.8766e-05,4.6282e-06,6.4300e-08,,,,,,,,,,,
Sam 7,5.29499e-08,1.19654e-02,4.2277e-03,4.9301e-05,4.7156e-06,6.2941e-08,,,,,,            1.9586,            9.5469,           10.8780,           18.7665,          -22.0274,           -1.1356,            3.5965,           -0.5484,           -0.4106,          -42.1326,
Ref 8,5.01669e-08,,,,,,1.1942e-02,4.1878e-03,4.8776e-05,4.6292e-06,6.4419e-08,,,,,,,,,,,
Sam 8,5.19852e-08,1.19652e-02,4.2277e-03,4.9296e-05,4.7141e-06,6.0677e-08,,,,,,            1.9513,            9.5519,           10.7638,           18.4493,          -55.2443,           -1.1436,            3.6015,           -0.6586,           -0.7316,          -74.6685,
Ref 9,4.92206e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6281e-06,6.4026e-08,,,,,,,,,,,
Sam 9,5.10366e-08,1.19651e-02,4.2276e-03,4.9292e-05,4.7164e-06,6.1745e-08,,,,,,            1.9470,            9.5505,           10.8167,           19.0466,          -35.1514,           -1.1481,            3.6001,           -0.6005,           -0.1428,          -54.9818,
Ref 10,4.82754e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6285e-06,6.3961e-08,,,,,,,,,,,
Sam 10,5.00881e-08,1.19652e-02,4.2276e-03,4.9296e-05,4.7155e-06,6.1568e-08,,,,,,            1.9482,            9.5421,           10.8969,           18.8868,          -43.8288,           -1.1465,            3.5917,           -0.5144,           -0.2830,          -63.4668,
Ref 11,4.73546e-08,,,,,,1.1942e-02,4.1877e-03,4.8767e-05,4.6277e-06,6.4827e-08,,,,,,,,,,,
Sam 11,4.91847e-08,1.19650e-02,4.2276e-03,4.9302e-05,4.7172e-06,6.2306e-08,,,,,,            1.9363,            9.5318,           10.9777,           19.1190,          -25.8579,           -1.1588,            3.5815,           -0.4121,           -0.0348,          -45.8338,
Ref 12,4.64945e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6297e-06,6.3077e-08,,,,,,,,,,,
Sam 12,4.82880e-08,1.19650e-02,4.2276e-03,4.9297e-05,4.7152e-06,6.0679e-08,,,,,,            1.9449,            9.5235,           10.8660,           18.6268,          -40.0687,           -1.1493,            3.5732,           -0.5233,           -0.5013,          -59.7466,
Ref 13,4.56347e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6282e-06,6.3348e-08,,,,,,,,,,,
Sam 13,4.74232e-08,1.19649e-02,4.2276e-03,4.9296e-05,4.7157e-06,6.0454e-08,,,,,,            1.9460,            9.5393,           10.7626,           18.9912,          -59.6455,           -1.1487,            3.5889,           -0.6421,           -0.1750,          -78.9515,
Ref 14,4.47922e-08,,,,,,1.1942e-02,4.1876e-03,4.8773e-05,4.6274e-06,6.5247e-08,,,,,,,,,,,
Sam 14,4.65503e-08,1.19649e-02,4.2276e-03,4.9291e-05,4.7166e-06,6.2828e-08,,,,,,            1.9539,            9.5603,           10.6468,           19.1341,          -27.9347,           -1.1411,            3.6098,           -0.7852,           -0.0764,          -47.9386,
Ref 15,4.39897e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6287e-06,6.4010e-08,,,,,,,,,,,
Sam 15,4.56788e-08,1.19651e-02,4.2277e-03,4.9302e-05,4.7155e-06,6.3326e-08,,,,,,            1.9663,            9.5597,           10.9030,           18.7539,          -27.4247,           -1.1278,            3.6092,           -0.5440,           -0.4482,          -47.4506,
Ref 16,4.31653e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6287e-06,6.6235e-08,,,,,,,,,,,
Sam 16,4.48977e-08,1.19649e-02,4.2276e-03,4.9296e-05,4.7176e-06,6.2090e-08,,,,,,            1.9419,            9.5335,           10.8510,           19.2613,          -50.6619,           -1.1529,            3.5831,           -0.5449,            0.1015,          -70.1377,
Ref 17,4.23926e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6282e-06,6.4557e-08,,,,,,,,,,,
Sam 17,4.40884e-08,1.19648e-02,4.2276e-03,4.9302e-05,4.7134e-06,6.1782e-08,,,,,,            1.9438,            9.5289,           10.9783,           18.1985,          -39.1741,           -1.1507,            3.5786,           -0.4164,           -0.9321,          -58.8791,
Ref 18,4.16403e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6301e-06,6.4040e-08,,,,,,,,,,,
Sam 18,4.33063e-08,1.19649e-02,4.2276e-03,4.9297e-05,4.7145e-06,6.2225e-08,,,,,,            1.9489,            9.5326,           10.8294,           18.1135,          -43.0880,           -1.1454,            3.5822,           -0.5725,           -1.0229,          -62.7245,
Ref 19,4.08857e-08,,,,,,1.1942e-02,4.1876e-03,4.8769e-05,4.6312e-06,6.6031e-08,,,,,,,,,,,
Sam 19,4.25290e-08,1.19650e-02,4.2277e-03,4.9301e-05,4.7169e-06,6.2887e-08,,,,,,            1.9528,            9.5471,           10.8684,           18.5548,          -41.7317,           -1.1418,            3.5967,           -0.5521,           -0.6187,          -61.4264,
Ref 20,4.01569e-08,,,,,,1.1942e-02,4.1877e-03,4.8774e-05,4.6308e-06,6.5213e-08,,,,,,,,,,,
Sam 20,4.17882e-08,1.19648e-02,4.2276e-03,4.9299e-05,4.7138e-06,6.2637e-08,,,,,,            1.9375,            9.5269,           10.8045,           18.0758,          -42.4752,           -1.1574,            3.5766,           -0.5798,           -1.0486,          -62.1024,
Ref 21,3.94597e-08,,,,,,1.1942e-02,4.1876e-03,4.8770e-05,4.6294e-06,6.5622e-08,,,,,,,,,,,


Ref 1,3.90954e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6290e-06,6.4266e-08,,,,,,,,,,,
Sam 1,4.06849e-08,1.19648e-02,4.2276e-03,4.9302e-05,4.7152e-06,6.0885e-08,,,,,,            1.9370,            9.5178,           10.9050,           18.3906,          -53.6539,           -1.1576,            3.5676,           -0.4711,           -0.7219,          -73.0352,
Ref 2,3.84061e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6312e-06,6.4409e-08,,,,,,,,,,,
Sam 2,3.99623e-08,1.19650e-02,4.2277e-03,4.9309e-05,4.7170e-06,6.1700e-08,,,,,,            1.9510,            9.5382,           11.0423,           18.5254,          -35.0458,           -1.1434,            3.5879,           -0.3696,           -0.6299,          -54.8598,
Ref 3,3.77191e-08,,,,,,1.1942e-02,4.1878e-03,4.8772e-05,4.6313e-06,6.3463e-08,,,,,,,,,,,
Sam 3,3.92486e-08,1.19649e-02,4.2277e-03,4.9302e-05,4.7159e-06,6.1350e-08,,,,,,            1.9430,            9.5276,           10.8200,           18.3990,          -28.1029,           -1.1516,            3.5773,           -0.5708,           -0.7329,          -48.0316,
Ref 4,3.70622e-08,,,,,,1.1942e-02,4.1878e-03,4.8777e-05,4.6301e-06,6.2779e-08,,,,,,,,,,,
Sam 4,3.85730e-08,1.19650e-02,4.2276e-03,4.9299e-05,4.7152e-06,6.3027e-08,,,,,,            1.9458,            9.5149,           10.7430,           18.6507,          -14.7108,           -1.1482,            3.5647,           -0.6374,           -0.4609,          -34.8932,
Ref 5,3.64359e-08,,,,,,1.1942e-02,4.1878e-03,4.8773e-05,4.6277e-06,6.5178e-08,,,,,,,,,,,
Sam 5,3.79043e-08,1.19648e-02,4.2276e-03,4.9302e-05,4.7154e-06,6.1766e-08,,,,,,            1.9398,            9.5199,           10.8700,           18.8239,          -54.8092,           -1.1546,            3.5696,           -0.5106,           -0.3007,          -74.1734,
Ref 6,3.58169e-08,,,,,,1.1942e-02,4.1877e-03,4.8772e-05,4.6289e-06,6.5521e-08,,,,,,,,,,,
Sam 6,3.72580e-08,1.19648e-02,4.2276e-03,4.9300e-05,4.7164e-06,6.2070e-08,,,,,,            1.9486,            9.5270,           10.7711,           19.0156,          -42.8910,           -1.1456,            3.5767,           -0.6244,           -0.1268,          -62.5211,
Ref 7,3.52107e-08,,,,,,1.1942e-02,4.1878e-03,4.8777e-05,4.6279e-06,6.4171e-08,,,,,,,,,,,
Sam 7,3.66238e-08,1.19648e-02,4.2276e-03,4.9298e-05,4.7193e-06,6.2993e-08,,,,,,            1.9515,            9.5246,           10.6316,           19.5611,          -31.9085,           -1.1424,            3.5743,           -0.7629,            0.4134,          -51.7622,
Ref 8,3.46142e-08,,,,,,1.1941e-02,4.1877e-03,4.8782e-05,4.6295e-06,6.5984e-08,,,,,,,,,,,
Sam 8,3.60073e-08,1.19645e-02,4.2276e-03,4.9301e-05,4.7161e-06,6.2791e-08,,,,,,            1.9344,            9.5310,           10.7166,           18.7130,          -40.7821,           -1.1608,            3.5807,           -0.6675,           -0.4316,          -60.4485,
Ref 9,3.40483e-08,,,,,,1.1941e-02,4.1877e-03,4.8774e-05,4.6294e-06,6.4928e-08,,,,,,,,,,,
Sam 9,3.53892e-08,1.19645e-02,4.2276e-03,4.9298e-05,4.7174e-06,6.2058e-08,,,,,,            1.9313,            9.5352,           10.7155,           19.2842,          -52.3154,           -1.1642,            3.5849,           -0.6696,            0.1205,          -71.7500,
Ref 10,3.34862e-08,,,,,,1.1941e-02,4.1877e-03,4.8777e-05,4.6269e-06,6.6050e-08,,,,,,,,,,,
Sam 10,3.48088e-08,1.19647e-02,4.2276e-03,4.9299e-05,4.7185e-06,6.2014e-08,,,,,,            1.9506,            9.5184,           10.7538,           19.7706,          -63.8559,           -1.1432,            3.5681,           -0.6352,            0.6312,          -83.0424,
Ref 11,3.29195e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6270e-06,6.6442e-08,,,,,,,,,,,
Sam 11,3.42286e-08,1.19646e-02,4.2276e-03,4.9305e-05,4.7139e-06,6.4262e-08,,,,,,            1.9498,            9.5215,           10.9219,           18.6340,          -23.9258,           -1.1441,            3.5712,           -0.4711,           -0.4902,          -43.9356,
Ref 12,3.23924e-08,,,,,,1.1941e-02,4.1877e-03,4.8773e-05,4.6282e-06,6.5222e-08,,,,,,,,,,,
Sam 12,3.36432e-08,1.19646e-02,4.2276e-03,4.9309e-05,4.7173e-06,6.2882e-08,,,,,,            1.9543,            9.5413,           10.9964,           19.2436,          -46.6053,           -1.1399,            3.5909,           -0.4214,            0.0687,          -66.1908,
Ref 13,3.18611e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6282e-06,6.6702e-08,,,,,,,,,,,
Sam 13,3.31109e-08,1.19645e-02,4.2276e-03,4.9302e-05,4.7134e-06,6.2273e-08,,,,,,            1.9439,            9.5371,           10.8402,           18.5207,          -79.2895,           -1.1509,            3.5868,           -0.5610,           -0.6324,          -98.1863,
Ref 14,3.13386e-08,,,,,,1.1941e-02,4.1877e-03,4.8773e-05,4.6271e-06,6.8585e-08,,,,,,,,,,,
Sam 14,3.25318e-08,1.19646e-02,4.2275e-03,4.9311e-05,4.7173e-06,6.3700e-08,,,,,,            1.9550,            9.5291,           10.9995,           19.1955,          -49.6687,           -1.1388,            3.5787,           -0.4072,            0.0457,          -69.1698,
Ref 15,3.08323e-08,,,,,,1.1941e-02,4.1876e-03,4.8777e-05,4.6298e-06,6.5448e-08,,,,,,,,,,,
Sam 15,3.19952e-08,1.19645e-02,4.2275e-03,4.9304e-05,4.7154e-06,6.4808e-08,,,,,,            1.9504,            9.5372,           10.8216,           18.8552,          -11.3660,           -1.1440,            3.5868,           -0.5862,           -0.3042,          -31.6637,
Ref 16,3.03303e-08,,,,,,1.1941e-02,4.1876e-03,4.8776e-05,4.6264e-06,6.5659e-08,,,,,,,,,,,
Sam 16,3.14620e-08,1.19646e-02,4.2276e-03,4.9306e-05,4.7163e-06,6.1530e-08,,,,,,            1.9698,            9.5707,           10.9416,           19.3449,          -62.2516,           -1.1245,            3.6202,           -0.5202,            0.1097,          -81.5834,
Ref 17,2.98565e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6271e-06,6.5569e-08,,,,,,,,,,,
Sam 17,3.09549e-08,1.19643e-02,4.2275e-03,4.9305e-05,4.7146e-06,6.2815e-08,,,,,,            1.9498,            9.5460,           10.9360,           19.0382,          -47.3386,           -1.1449,            3.5956,           -0.4811,           -0.1422,          -66.9131,
Ref 18,2.93857e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6259e-06,6.6309e-08,,,,,,,,,,,
Sam 18,3.04538e-08,1.19644e-02,4.2275e-03,4.9304e-05,4.7125e-06,6.2944e-08,,,,,,            1.9477,            9.5266,           10.8284,           18.4624,          -26.1609,           -1.1465,            3.5763,           -0.5664,           -0.6689,          -46.1325,
Ref 19,2.89188e-08,,,,,,1.1941e-02,4.1876e-03,4.8777e-05,4.6283e-06,6.2934e-08,,,,,,,,,,,
Sam 19,2.99587e-08,1.19644e-02,4.2275e-03,4.9308e-05,4.7135e-06,6.0487e-08,,,,,,            1.9513,            9.5228,           10.9280,           19.0126,          -38.3360,           -1.1425,            3.5725,           -0.4679,           -0.1213,          -58.0545,
Ref 20,2.84599e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6228e-06,6.2862e-08,,,,,,,,,,,
Sam 20,2.94738e-08,1.19643e-02,4.2274e-03,4.9305e-05,4.7140e-06,6.2392e-08,,,,,,            1.9543,            9.5222,           10.8835,           19.4094,          -15.7758,           -1.1393,            3.5719,           -0.5144,            0.2693,          -35.9587,
Ref 21,2.80176e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6257e-06,6.3931e-08,,,,,,,,,,,


