Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 20, 2018 at 00:24 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, June 20, 2018 at 01:24 with Stable 1.69.5 on PS019

Data File = Data_6019 PK99 KT4CA.txt,     Sample Weight = 500,                      Vial Location = 18,                       Initial Sam Beam = 1.3155e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1517e-08,                Max Ref Beam = 1.0602e-07,                
Analysis undertaken at mass 46.01242
Analysis undertaken at mass 46.01242
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.84373e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6227e-06,6.3809e-08,,,,,,,,,,,
Sam 1,5.82598e-08,1.19415e-02,4.2255e-03,4.9166e-05,4.7095e-06,6.0925e-08,,,,,,           -0.0346,            9.0522,            8.3800,           18.3403,          -35.5526,           -3.2398,            3.1085,           -0.4881,            0.1513,          -52.4645,
Ref 2,5.78008e-08,,,,,,1.1942e-02,4.1877e-03,4.8757e-05,4.6267e-06,6.2525e-08,,,,,,,,,,,
Sam 2,5.76374e-08,1.19416e-02,4.2256e-03,4.9167e-05,4.7092e-06,6.0180e-08,,,,,,           -0.0308,            9.0577,            8.3667,           17.9330,          -33.2843,           -3.2360,            3.1140,           -0.5106,           -0.2597,          -50.2500,
Ref 3,5.71272e-08,,,,,,1.1942e-02,4.1877e-03,4.8761e-05,4.6257e-06,6.1976e-08,,,,,,,,,,,
Sam 3,5.70154e-08,1.19415e-02,4.2256e-03,4.9171e-05,4.7110e-06,5.9836e-08,,,,,,           -0.0291,            9.0689,            8.4042,           18.2702,          -42.2088,           -3.2346,            3.1251,           -0.4861,            0.0493,          -59.0401,
Ref 4,5.65070e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6273e-06,6.2976e-08,,,,,,,,,,,
Sam 4,5.64076e-08,1.19416e-02,4.2256e-03,4.9167e-05,4.7083e-06,6.0335e-08,,,,,,           -0.0201,            9.0808,            8.3174,           17.3689,          -28.7997,           -3.2254,            3.1370,           -0.5931,           -0.8596,          -45.8980,
Ref 5,5.58396e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6285e-06,6.1263e-08,,,,,,,,,,,
Sam 5,5.57610e-08,1.19417e-02,4.2257e-03,4.9168e-05,4.7105e-06,6.1413e-08,,,,,,           -0.0194,            9.0767,            8.3021,           17.9860,          -11.9455,           -3.2245,            3.1329,           -0.6049,           -0.2454,          -29.3335,
Ref 6,5.51844e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6261e-06,6.3060e-08,,,,,,,,,,,
Sam 6,5.51929e-08,1.19416e-02,4.2256e-03,4.9167e-05,4.7108e-06,6.0976e-08,,,,,,           -0.0314,            9.0416,            8.3666,           18.2322,          -33.4727,           -3.2361,            3.0980,           -0.4944,            0.0660,          -50.4047,
Ref 7,5.45591e-08,,,,,,1.1942e-02,4.1877e-03,4.8754e-05,4.6269e-06,6.3117e-08,,,,,,,,,,,
Sam 7,5.45270e-08,1.19417e-02,4.2257e-03,4.9171e-05,4.7095e-06,6.2256e-08,,,,,,           -0.0205,            9.0853,            8.4780,           17.8818,           -5.3561,           -3.2259,            3.1414,           -0.4378,           -0.3647,          -22.8752,
Ref 8,5.39594e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6266e-06,6.2059e-08,,,,,,,,,,,
Sam 8,5.39952e-08,1.19417e-02,4.2257e-03,4.9165e-05,4.7104e-06,6.0839e-08,,,,,,           -0.0229,            9.0750,            8.2753,           17.9494,          -29.2166,           -3.2282,            3.1312,           -0.6261,           -0.2779,          -46.2938,
Ref 9,5.33240e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6280e-06,6.3288e-08,,,,,,,,,,,
Sam 9,5.33851e-08,1.19417e-02,4.2257e-03,4.9169e-05,4.7100e-06,6.2137e-08,,,,,,           -0.0163,            9.0840,            8.3481,           18.0106,          -23.6037,           -3.2214,            3.1402,           -0.5697,           -0.2357,          -40.8034,
Ref 10,5.27187e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6254e-06,6.3994e-08,,,,,,,,,,,
Sam 10,5.28559e-08,1.19414e-02,4.2256e-03,4.9167e-05,4.7096e-06,6.3882e-08,,,,,,           -0.0450,            9.0497,            8.2527,           18.0856,           -2.9823,           -3.2508,            3.1061,           -0.6011,           -0.0940,          -20.4497,
Ref 11,5.21198e-08,,,,,,1.1942e-02,4.1877e-03,4.8767e-05,4.6266e-06,6.4153e-08,,,,,,,,,,,
Sam 11,5.22674e-08,1.19416e-02,4.2257e-03,4.9173e-05,4.7133e-06,6.3185e-08,,,,,,           -0.0353,            9.0841,            8.4154,           18.5235,          -13.3720,           -3.2416,            3.1403,           -0.4835,            0.2678,          -30.7325,
Ref 12,5.15366e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6285e-06,6.3928e-08,,,,,,,,,,,
Sam 12,5.17319e-08,1.19415e-02,4.2256e-03,4.9164e-05,4.7100e-06,6.2349e-08,,,,,,           -0.0288,            9.0621,            8.3499,           17.8505,          -16.3331,           -3.2340,            3.1184,           -0.5336,           -0.3496,          -33.6068,
Ref 13,5.09539e-08,,,,,,1.1942e-02,4.1877e-03,4.8756e-05,4.6262e-06,6.2835e-08,,,,,,,,,,,
Sam 13,5.11295e-08,1.19417e-02,4.2258e-03,4.9170e-05,4.7109e-06,6.0685e-08,,,,,,           -0.0119,            9.1060,            8.4522,           18.1214,          -26.7817,           -3.2175,            3.1620,           -0.4924,           -0.1704,          -43.9708,
Ref 14,5.03817e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6280e-06,6.1869e-08,,,,,,,,,,,
Sam 14,5.06413e-08,1.19415e-02,4.2257e-03,4.9174e-05,4.7082e-06,6.1517e-08,,,,,,           -0.0312,            9.0849,            8.4960,           17.1627,           -5.1502,           -3.2373,            3.1410,           -0.4084,           -1.0700,          -22.6610,
Ref 15,4.98212e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6296e-06,6.1801e-08,,,,,,,,,,,
Sam 15,5.01109e-08,1.19414e-02,4.2256e-03,4.9166e-05,4.7087e-06,6.0238e-08,,,,,,           -0.0246,            9.0760,            8.3684,           17.1839,          -35.5754,           -3.2300,            3.1322,           -0.5331,           -1.0316,          -52.5409,
Ref 16,4.92944e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6286e-06,6.3125e-08,,,,,,,,,,,
Sam 16,4.95886e-08,1.19414e-02,4.2257e-03,4.9175e-05,4.7092e-06,5.9574e-08,,,,,,           -0.0328,            9.0743,            8.5163,           17.4398,          -49.2049,           -3.2387,            3.1306,           -0.3765,           -0.7770,          -65.9195,
Ref 17,4.87157e-08,,,,,,1.1942e-02,4.1877e-03,4.8761e-05,4.6284e-06,6.2183e-08,,,,,,,,,,,
Sam 17,4.90470e-08,1.19415e-02,4.2256e-03,4.9168e-05,4.7091e-06,6.1194e-08,,,,,,           -0.0299,            9.0585,            8.2885,           17.4354,          -36.1146,           -3.2351,            3.1148,           -0.5898,           -0.7501,          -53.0330,
Ref 18,4.81818e-08,,,,,,1.1942e-02,4.1877e-03,4.8767e-05,4.6284e-06,6.4806e-08,,,,,,,,,,,
Sam 18,4.85326e-08,1.19414e-02,4.2256e-03,4.9172e-05,4.7103e-06,6.1331e-08,,,,,,           -0.0217,            9.0650,            8.3178,           17.8067,          -45.6150,           -3.2265,            3.1212,           -0.5756,           -0.3982,          -62.3867,
Ref 19,4.76670e-08,,,,,,1.1942e-02,4.1876e-03,4.8765e-05,4.6274e-06,6.3712e-08,,,,,,,,,,,
Sam 19,4.80321e-08,1.19415e-02,4.2256e-03,4.9173e-05,4.7092e-06,5.9256e-08,,,,,,           -0.0159,            9.0606,            8.3767,           17.7306,          -66.3332,           -3.2202,            3.1169,           -0.5190,           -0.4644,          -82.7388,
Ref 20,4.71302e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6270e-06,6.3216e-08,,,,,,,,,,,
Sam 20,4.75103e-08,1.19414e-02,4.2257e-03,4.9169e-05,4.7125e-06,6.0727e-08,,,,,,           -0.0267,            9.0824,            8.3505,           18.3534,          -37.2839,           -3.2324,            3.1386,           -0.5550,            0.1042,          -54.2292,
Ref 21,4.66157e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6282e-06,6.2940e-08,,,,,,,,,,,


Ref 1,4.63857e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6278e-06,6.2747e-08,,,,,,,,,,,
Sam 1,4.67575e-08,1.19413e-02,4.2256e-03,4.9174e-05,4.7103e-06,6.0382e-08,,,,,,           -0.0299,            9.0745,            8.4100,           17.8087,          -38.8577,           -3.2356,            3.1307,           -0.4850,           -0.4150,          -55.7574,
Ref 2,4.58751e-08,,,,,,1.1942e-02,4.1876e-03,4.8765e-05,4.6279e-06,6.2899e-08,,,,,,,,,,,
Sam 2,4.62731e-08,1.19414e-02,4.2257e-03,4.9174e-05,4.7112e-06,6.0349e-08,,,,,,           -0.0136,            9.0822,            8.3633,           18.1725,          -47.8498,           -3.2185,            3.1383,           -0.5556,           -0.0730,          -64.6217,
Ref 3,4.53771e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6263e-06,6.3870e-08,,,,,,,,,,,
Sam 3,4.58190e-08,1.19411e-02,4.2255e-03,4.9169e-05,4.7083e-06,6.0651e-08,,,,,,           -0.0407,            9.0343,            8.2999,           17.3722,          -52.3569,           -3.2457,            3.0907,           -0.5438,           -0.7642,          -68.9357,
Ref 4,4.48744e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6295e-06,6.4135e-08,,,,,,,,,,,
Sam 4,4.53147e-08,1.19413e-02,4.2256e-03,4.9167e-05,4.7112e-06,6.0836e-08,,,,,,           -0.0274,            9.0757,            8.2888,           17.7442,          -42.7989,           -3.2330,            3.1319,           -0.6088,           -0.4807,          -59.6339,
Ref 5,4.44112e-08,,,,,,1.1942e-02,4.1876e-03,4.8765e-05,4.6287e-06,6.2972e-08,,,,,,,,,,,
Sam 5,4.48647e-08,1.19414e-02,4.2256e-03,4.9174e-05,4.7125e-06,6.2060e-08,,,,,,           -0.0144,            9.0627,            8.3738,           17.9927,          -27.0357,           -3.2187,            3.1190,           -0.5253,           -0.2110,          -44.1371,
Ref 6,4.39239e-08,,,,,,1.1942e-02,4.1877e-03,4.8767e-05,4.6298e-06,6.4607e-08,,,,,,,,,,,
Sam 6,4.43910e-08,1.19414e-02,4.2256e-03,4.9167e-05,4.7089e-06,6.2432e-08,,,,,,           -0.0185,            9.0511,            8.2009,           17.4027,          -22.4227,           -3.2227,            3.1074,           -0.6811,           -0.7676,          -39.5793,
Ref 7,4.34638e-08,,,,,,1.1942e-02,4.1876e-03,4.8767e-05,4.6269e-06,6.3114e-08,,,,,,,,,,,
Sam 7,4.39419e-08,1.19413e-02,4.2256e-03,4.9171e-05,4.7109e-06,6.2375e-08,,,,,,           -0.0167,            9.0800,            8.2364,           18.0369,          -26.5771,           -3.2217,            3.1361,           -0.6759,           -0.2018,          -43.7163,
Ref 8,4.30164e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6279e-06,6.5051e-08,,,,,,,,,,,
Sam 8,4.35003e-08,1.19413e-02,4.2256e-03,4.9164e-05,4.7116e-06,6.2363e-08,,,,,,           -0.0229,            9.0527,            8.0535,           17.9700,          -38.7667,           -3.2274,            3.1090,           -0.8243,           -0.2135,          -55.6350,
Ref 9,4.25076e-08,,,,,,1.1942e-02,4.1877e-03,4.8772e-05,4.6289e-06,6.4702e-08,,,,,,,,,,,
Sam 9,4.30532e-08,1.19411e-02,4.2255e-03,4.9173e-05,4.7123e-06,6.2458e-08,,,,,,           -0.0511,            9.0359,            8.3200,           18.1365,          -39.0755,           -3.2568,            3.0924,           -0.5148,           -0.0167,          -55.8791,
Ref 10,4.21078e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6279e-06,6.5295e-08,,,,,,,,,,,
Sam 10,4.26163e-08,1.19412e-02,4.2256e-03,4.9168e-05,4.7114e-06,6.2217e-08,,,,,,           -0.0298,            9.0608,            8.2510,           17.9696,          -48.7632,           -3.2350,            3.1171,           -0.6293,           -0.2300,          -65.4640,
Ref 11,4.16671e-08,,,,,,1.1942e-02,4.1876e-03,4.8768e-05,4.6285e-06,6.5518e-08,,,,,,,,,,,
Sam 11,4.21930e-08,1.19411e-02,4.2256e-03,4.9169e-05,4.7099e-06,6.4583e-08,,,,,,           -0.0368,            9.0546,            8.3350,           17.4651,          -14.4334,           -3.2423,            3.1109,           -0.5328,           -0.7131,          -31.7178,
Ref 12,4.12363e-08,,,,,,1.1942e-02,4.1877e-03,4.8757e-05,4.6297e-06,6.5539e-08,,,,,,,,,,,
Sam 12,4.17547e-08,1.19411e-02,4.2255e-03,4.9175e-05,4.7107e-06,6.3467e-08,,,,,,           -0.0356,            9.0520,            8.5086,           17.9574,          -40.2653,           -3.2408,            3.1084,           -0.3595,           -0.2245,          -57.0933,
Ref 13,4.08114e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6254e-06,6.6725e-08,,,,,,,,,,,
Sam 13,4.13287e-08,1.19412e-02,4.2256e-03,4.9172e-05,4.7102e-06,6.3268e-08,,,,,,           -0.0238,            9.0585,            8.3686,           18.0191,          -51.6714,           -3.2286,            3.1148,           -0.5167,           -0.1768,          -68.3229,
Ref 14,4.03918e-08,,,,,,1.1941e-02,4.1877e-03,4.8765e-05,4.6282e-06,6.6706e-08,,,,,,,,,,,
Sam 14,4.08929e-08,1.19412e-02,4.2255e-03,4.9176e-05,4.7113e-06,6.2919e-08,,,,,,           -0.0252,            9.0525,            8.4026,           17.9513,          -47.6367,           -3.2298,            3.1088,           -0.4757,           -0.2315,          -64.3467,
Ref 15,3.99555e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6281e-06,6.5420e-08,,,,,,,,,,,
Sam 15,4.04810e-08,1.19411e-02,4.2256e-03,4.9174e-05,4.7116e-06,6.1581e-08,,,,,,           -0.0371,            9.0533,            8.3146,           18.2134,          -56.2313,           -3.2425,            3.1096,           -0.5514,            0.0244,          -72.7802,
Ref 16,3.95205e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6266e-06,6.5077e-08,,,,,,,,,,,
Sam 16,4.00721e-08,1.19408e-02,4.2255e-03,4.9173e-05,4.7123e-06,6.1772e-08,,,,,,           -0.0514,            9.0251,            8.2536,           18.2588,          -40.9837,           -3.2567,            3.0816,           -0.5697,            0.1248,          -57.7339,
Ref 17,3.91214e-08,,,,,,1.1941e-02,4.1877e-03,4.8773e-05,4.6290e-06,6.3739e-08,,,,,,,,,,,
Sam 17,3.96402e-08,1.19411e-02,4.2256e-03,4.9181e-05,4.7128e-06,6.2567e-08,,,,,,           -0.0203,            9.0587,            8.3721,           18.2430,          -22.3613,           -3.2248,            3.1150,           -0.5170,            0.0428,          -39.5313,
Ref 18,3.87272e-08,,,,,,1.1941e-02,4.1877e-03,4.8772e-05,4.6278e-06,6.4259e-08,,,,,,,,,,,
Sam 18,3.92387e-08,1.19411e-02,4.2256e-03,4.9172e-05,4.7117e-06,6.1986e-08,,,,,,           -0.0230,            9.0542,            8.2215,           18.0304,          -39.1892,           -3.2275,            3.1105,           -0.6592,           -0.1572,          -56.0528,
Ref 19,3.83322e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6286e-06,6.4772e-08,,,,,,,,,,,
Sam 19,3.88483e-08,1.19411e-02,4.2256e-03,4.9176e-05,4.7111e-06,6.1513e-08,,,,,,           -0.0287,            9.0620,            8.3046,           17.8982,          -42.8231,           -3.2339,            3.1183,           -0.5785,           -0.3025,          -59.6315,
Ref 20,3.79377e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6280e-06,6.3753e-08,,,,,,,,,,,
Sam 20,3.84568e-08,1.19412e-02,4.2256e-03,4.9180e-05,4.7108e-06,6.3088e-08,,,,,,           -0.0276,            9.0610,            8.4221,           17.7484,          -26.7268,           -3.2327,            3.1172,           -0.4621,           -0.4475,          -43.8169,
Ref 21,3.75547e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6294e-06,6.5898e-08,,,,,,,,,,,


Ref 1,3.73602e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6288e-06,6.4016e-08,,,,,,,,,,,
Sam 1,3.78795e-08,1.19410e-02,4.2256e-03,4.9179e-05,4.7116e-06,6.2595e-08,,,,,,           -0.0348,            9.0620,            8.4420,           17.8278,          -37.5550,           -3.2404,            3.1183,           -0.4360,           -0.3717,          -54.4497,
Ref 2,3.69916e-08,,,,,,1.1941e-02,4.1877e-03,4.8764e-05,4.6293e-06,6.6070e-08,,,,,,,,,,,
Sam 2,3.75045e-08,1.19411e-02,4.2257e-03,4.9178e-05,4.7097e-06,6.3521e-08,,,,,,           -0.0197,            9.0654,            8.4521,           17.6979,          -39.9936,           -3.2244,            3.1217,           -0.4449,           -0.5060,          -56.8670,
Ref 3,3.66174e-08,,,,,,1.1941e-02,4.1877e-03,4.8767e-05,4.6262e-06,6.6267e-08,,,,,,,,,,,
Sam 3,3.71290e-08,1.19412e-02,4.2256e-03,4.9181e-05,4.7111e-06,6.4674e-08,,,,,,           -0.0175,            9.0564,            8.4915,           18.3174,           -7.4916,           -3.2217,            3.1127,           -0.3994,            0.1203,          -24.9214,
Ref 4,3.62528e-08,,,,,,1.1941e-02,4.1877e-03,4.8766e-05,4.6266e-06,6.4048e-08,,,,,,,,,,,
Sam 4,3.67665e-08,1.19411e-02,4.2257e-03,4.9174e-05,4.7112e-06,6.1961e-08,,,,,,           -0.0208,            9.0710,            8.2751,           18.1801,          -41.6232,           -3.2258,            3.1272,           -0.6246,           -0.0434,          -58.4770,
Ref 5,3.58984e-08,,,,,,1.1941e-02,4.1877e-03,4.8774e-05,4.6276e-06,6.5263e-08,,,,,,,,,,,
Sam 5,3.64042e-08,1.19411e-02,4.2256e-03,4.9178e-05,4.7103e-06,6.1355e-08,,,,,,           -0.0281,            9.0466,            8.3701,           17.8521,          -54.6065,           -3.2327,            3.1030,           -0.4992,           -0.3172,          -71.1806,
Ref 6,3.55406e-08,,,,,,1.1941e-02,4.1878e-03,4.8765e-05,4.6278e-06,6.4531e-08,,,,,,,,,,,
Sam 6,3.60571e-08,1.19411e-02,4.2257e-03,4.9177e-05,4.7131e-06,6.2178e-08,,,,,,           -0.0257,            9.0532,            8.3885,           18.3667,          -21.5623,           -3.2303,            3.1095,           -0.4898,            0.1752,          -38.7305,
Ref 7,3.51960e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6284e-06,6.2557e-08,,,,,,,,,,,
Sam 7,3.56944e-08,1.19412e-02,4.2256e-03,4.9179e-05,4.7094e-06,6.2064e-08,,,,,,           -0.0156,            9.0426,            8.3775,           17.9400,          -19.8375,           -3.2193,            3.0989,           -0.5008,           -0.2229,          -37.0264,
Ref 8,3.48389e-08,,,,,,1.1941e-02,4.1877e-03,4.8770e-05,4.6245e-06,6.4091e-08,,,,,,,,,,,
Sam 8,3.53402e-08,1.19412e-02,4.2256e-03,4.9170e-05,4.7138e-06,6.0019e-08,,,,,,           -0.0135,            9.0615,            8.2272,           19.1742,          -66.0663,           -3.2176,            3.1177,           -0.6704,            0.9518,          -82.4804,
Ref 9,3.45165e-08,,,,,,1.1941e-02,4.1877e-03,4.8767e-05,4.6258e-06,6.4441e-08,,,,,,,,,,,
Sam 9,3.50006e-08,1.19409e-02,4.2255e-03,4.9174e-05,4.7126e-06,6.1552e-08,,,,,,           -0.0241,            9.0411,            8.3330,           18.6648,          -51.4532,           -3.2282,            3.0975,           -0.5348,            0.4919,          -68.0767,
Ref 10,3.41729e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6267e-06,6.5345e-08,,,,,,,,,,,
Sam 10,3.46723e-08,1.19408e-02,4.2254e-03,4.9172e-05,4.7105e-06,5.9927e-08,,,,,,           -0.0376,            9.0214,            8.2681,           18.0460,          -81.6072,           -3.2419,            3.0779,           -0.5660,           -0.0768,          -97.6546,
Ref 11,3.38288e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6274e-06,6.5159e-08,,,,,,,,,,,
Sam 11,3.43181e-08,1.19409e-02,4.2255e-03,4.9174e-05,4.7097e-06,6.1859e-08,,,,,,           -0.0260,            9.0404,            8.3580,           17.6078,          -39.6783,           -3.2303,            3.0968,           -0.5073,           -0.5449,          -56.5048,
Ref 12,3.35108e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6290e-06,6.3664e-08,,,,,,,,,,,
Sam 12,3.39914e-08,1.19409e-02,4.2256e-03,4.9174e-05,4.7112e-06,6.0207e-08,,,,,,           -0.0252,            9.0549,            8.3831,           17.9050,          -51.2759,           -3.2299,            3.1112,           -0.4974,           -0.2817,          -67.9264,
Ref 13,3.31838e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6276e-06,6.3257e-08,,,,,,,,,,,
Sam 13,3.36540e-08,1.19408e-02,4.2255e-03,4.9176e-05,4.7127e-06,6.0338e-08,,,,,,           -0.0341,            9.0513,            8.3426,           18.3682,          -44.8316,           -3.2393,            3.1076,           -0.5247,            0.1804,          -61.5796,
Ref 14,3.28730e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6277e-06,6.3082e-08,,,,,,,,,,,
Sam 14,3.33362e-08,1.19408e-02,4.2256e-03,4.9176e-05,4.7092e-06,6.1369e-08,,,,,,           -0.0277,            9.0712,            8.3910,           17.6101,           -5.5191,           -3.2331,            3.1274,           -0.5028,           -0.6035,          -23.0010,
Ref 15,3.25678e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6277e-06,6.0324e-08,,,,,,,,,,,
Sam 15,3.30061e-08,1.19409e-02,4.2255e-03,4.9176e-05,4.7118e-06,6.3316e-08,,,,,,           -0.0143,            9.0595,            8.4258,           18.4035,            2.3247,           -3.2185,            3.1157,           -0.4707,            0.1989,          -15.2866,
Ref 16,3.22476e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6257e-06,6.6041e-08,,,,,,,,,,,
Sam 16,3.26946e-08,1.19408e-02,4.2255e-03,4.9175e-05,4.7128e-06,6.1201e-08,,,,,,           -0.0260,            9.0406,            8.3205,           18.7018,          -61.7552,           -3.2303,            3.0970,           -0.5447,            0.5292,          -78.1953,
Ref 17,3.19353e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6269e-06,6.4408e-08,,,,,,,,,,,
Sam 17,3.23838e-08,1.19407e-02,4.2254e-03,4.9174e-05,4.7082e-06,6.2986e-08,,,,,,           -0.0307,            9.0185,            8.2868,           17.4125,          -32.1713,           -3.2345,            3.0750,           -0.5517,           -0.6933,          -49.0840,
Ref 18,3.16361e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6284e-06,6.5758e-08,,,,,,,,,,,
Sam 18,3.20697e-08,1.19407e-02,4.2255e-03,4.9170e-05,4.7132e-06,5.9879e-08,,,,,,           -0.0304,            9.0490,            8.3141,           18.4739,          -62.1413,           -3.2352,            3.1053,           -0.5547,            0.2888,          -78.5853,
Ref 19,3.13435e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6271e-06,6.1916e-08,,,,,,,,,,,
Sam 19,3.17601e-08,1.19408e-02,4.2254e-03,4.9171e-05,4.7100e-06,6.2517e-08,,,,,,           -0.0170,            9.0360,            8.2862,           17.9935,          -18.9893,           -3.2205,            3.0923,           -0.5835,           -0.1573,          -36.1793,
Ref 20,3.10378e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6264e-06,6.5556e-08,,,,,,,,,,,
Sam 20,3.14687e-08,1.19407e-02,4.2255e-03,4.9173e-05,4.7120e-06,6.2443e-08,,,,,,           -0.0334,            9.0426,            8.3012,           18.3807,          -33.6215,           -3.2382,            3.0989,           -0.5581,            0.2100,          -50.5507,
Ref 21,3.07355e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6275e-06,6.3665e-08,,,,,,,,,,,


