Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 20, 2018 at 11:21 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, June 20, 2018 at 12:21 with Stable 1.69.5 on PS019

Data File = Data_6027 PK99 KT4CB.txt,     Sample Weight = 447,                      Vial Location = 26,                       Initial Sam Beam = 1.1463e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7019e-08,                Max Ref Beam = 1.0654e-07,                
Analysis undertaken at mass 46.01243
Analysis undertaken at mass 46.01243
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.18376e-08,,,,,,1.1941e-02,4.1875e-03,4.8756e-05,4.6270e-06,6.3405e-08,,,,,,,,,,,
Sam 1,5.16563e-08,1.19417e-02,4.2250e-03,4.9164e-05,4.7097e-06,6.0395e-08,,,,,,            0.0195,            8.9505,            8.3244,           18.0711,          -43.5193,           -3.1787,            3.0072,           -0.4999,            0.0884,          -60.1593,
Ref 2,5.13032e-08,,,,,,1.1942e-02,4.1875e-03,4.8760e-05,4.6252e-06,6.2877e-08,,,,,,,,,,,
Sam 2,5.11265e-08,1.19419e-02,4.2251e-03,4.9163e-05,4.7064e-06,6.0360e-08,,,,,,            0.0292,            8.9698,            8.2623,           17.4058,          -36.0792,           -3.1691,            3.0264,           -0.5902,           -0.6035,          -52.8940,
Ref 3,5.07388e-08,,,,,,1.1942e-02,4.1875e-03,4.8760e-05,4.6266e-06,6.2357e-08,,,,,,,,,,,
Sam 3,5.05766e-08,1.19419e-02,4.2251e-03,4.9158e-05,4.7087e-06,5.8060e-08,,,,,,            0.0236,            8.9534,            8.2217,           17.7797,          -68.2685,           -3.1744,            3.0101,           -0.6087,           -0.2037,          -84.4871,
Ref 4,5.01633e-08,,,,,,1.1942e-02,4.1876e-03,4.8754e-05,4.6263e-06,6.2271e-08,,,,,,,,,,,
Sam 4,5.00638e-08,1.19418e-02,4.2251e-03,4.9166e-05,4.7076e-06,5.9066e-08,,,,,,            0.0149,            8.9456,            8.4135,           17.5938,          -40.1338,           -3.1834,            3.0023,           -0.4020,           -0.3708,          -56.8190,
Ref 5,4.96101e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6261e-06,6.0792e-08,,,,,,,,,,,
Sam 5,4.95406e-08,1.19419e-02,4.2251e-03,4.9168e-05,4.7091e-06,5.9296e-08,,,,,,            0.0122,            8.9453,            8.4024,           17.7024,          -28.0312,           -3.1863,            3.0020,           -0.4100,           -0.2635,          -44.9236,
Ref 6,4.90474e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6283e-06,6.1223e-08,,,,,,,,,,,
Sam 6,4.90314e-08,1.19418e-02,4.2250e-03,4.9167e-05,4.7084e-06,5.8114e-08,,,,,,            0.0086,            8.9259,            8.3376,           17.3602,          -57.0146,           -3.1895,            2.9827,           -0.4515,           -0.5612,          -73.3645,
Ref 7,4.85195e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6278e-06,6.2036e-08,,,,,,,,,,,
Sam 7,4.84891e-08,1.19418e-02,4.2251e-03,4.9166e-05,4.7083e-06,5.8439e-08,,,,,,            0.0162,            8.9521,            8.3004,           17.3949,          -41.4809,           -3.1823,            3.0088,           -0.5218,           -0.5792,          -58.1561,
Ref 8,4.79966e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6279e-06,5.9888e-08,,,,,,,,,,,
Sam 8,4.80064e-08,1.19417e-02,4.2250e-03,4.9165e-05,4.7101e-06,6.0036e-08,,,,,,            0.0090,            8.9362,            8.2812,           18.0000,          -20.1497,           -3.1895,            2.9930,           -0.5179,            0.0469,          -37.1586,
Ref 9,4.74795e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6258e-06,6.2668e-08,,,,,,,,,,,
Sam 9,4.74997e-08,1.19418e-02,4.2251e-03,4.9164e-05,4.7076e-06,5.9961e-08,,,,,,            0.0112,            8.9438,            8.2256,           17.6122,          -37.6672,           -3.1874,            3.0006,           -0.5827,           -0.3492,          -54.3883,
Ref 10,4.69519e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6265e-06,6.1944e-08,,,,,,,,,,,
Sam 10,4.70406e-08,1.19417e-02,4.2250e-03,4.9165e-05,4.7076e-06,6.0167e-08,,,,,,           -0.0002,            8.9007,            8.3402,           17.4906,          -26.0152,           -3.1980,            2.9577,           -0.4153,           -0.3832,          -42.8467,
Ref 11,4.64099e-08,,,,,,1.1942e-02,4.1878e-03,4.8755e-05,4.6269e-06,6.1601e-08,,,,,,,,,,,
Sam 11,4.65414e-08,1.19418e-02,4.2251e-03,4.9165e-05,4.7077e-06,5.8610e-08,,,,,,            0.0211,            8.9276,            8.3511,           17.6157,          -54.0504,           -3.1763,            2.9844,           -0.4527,           -0.3137,          -70.4672,
Ref 12,4.59418e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6255e-06,6.2322e-08,,,,,,,,,,,
Sam 12,4.60352e-08,1.19418e-02,4.2251e-03,4.9171e-05,4.7071e-06,5.7010e-08,,,,,,            0.0199,            8.9573,            8.4388,           17.5626,          -82.4206,           -3.1786,            3.0140,           -0.3935,           -0.4247,          -98.3962,
Ref 13,4.54332e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6262e-06,6.1937e-08,,,,,,,,,,,
Sam 13,4.55656e-08,1.19417e-02,4.2251e-03,4.9166e-05,4.7087e-06,5.9179e-08,,,,,,            0.0169,            8.9462,            8.2539,           17.5345,          -47.3604,           -3.1814,            3.0029,           -0.5629,           -0.4302,          -63.9231,
Ref 14,4.49542e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6290e-06,6.2307e-08,,,,,,,,,,,
Sam 14,4.50993e-08,1.19417e-02,4.2251e-03,4.9165e-05,4.7092e-06,5.9327e-08,,,,,,            0.0246,            8.9468,            8.1840,           17.7088,          -35.0318,           -3.1732,            3.0035,           -0.6406,           -0.2601,          -51.8177,
Ref 15,4.44753e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6254e-06,6.0646e-08,,,,,,,,,,,
Sam 15,4.46506e-08,1.19417e-02,4.2251e-03,4.9164e-05,4.7069e-06,5.9270e-08,,,,,,            0.0184,            8.9402,            8.1833,           17.0833,          -39.3914,           -3.1796,            2.9970,           -0.6285,           -0.8615,          -56.0831,
Ref 16,4.40150e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6304e-06,6.2767e-08,,,,,,,,,,,
Sam 16,4.42016e-08,1.19416e-02,4.2251e-03,4.9163e-05,4.7093e-06,6.0633e-08,,,,,,            0.0075,            8.9415,            8.1599,           17.4073,          -28.3670,           -3.1912,            2.9982,           -0.6417,           -0.5458,          -45.2416,
Ref 17,4.35310e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6271e-06,6.2035e-08,,,,,,,,,,,
Sam 17,4.37565e-08,1.19417e-02,4.2251e-03,4.9160e-05,4.7108e-06,5.9406e-08,,,,,,            0.0112,            8.9349,            8.1470,           18.2516,          -32.9595,           -3.1871,            2.9917,           -0.6519,            0.2966,          -49.7459,
Ref 18,4.30741e-08,,,,,,1.1942e-02,4.1877e-03,4.8761e-05,4.6256e-06,6.0821e-08,,,,,,,,,,,
Sam 18,4.32991e-08,1.19416e-02,4.2251e-03,4.9166e-05,4.7087e-06,5.8118e-08,,,,,,            0.0167,            8.9396,            8.3624,           17.9673,          -56.5815,           -3.1814,            2.9964,           -0.4487,            0.0080,          -72.9718,
Ref 19,4.26240e-08,,,,,,1.1941e-02,4.1876e-03,4.8756e-05,4.6256e-06,6.2394e-08,,,,,,,,,,,
Sam 19,4.28604e-08,1.19415e-02,4.2251e-03,4.9164e-05,4.7092e-06,5.8262e-08,,,,,,            0.0130,            8.9540,            8.2644,           17.6168,          -59.1559,           -3.1858,            3.0107,           -0.5561,           -0.3649,          -75.5238,
Ref 20,4.21809e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6297e-06,6.1452e-08,,,,,,,,,,,
Sam 20,4.24148e-08,1.19416e-02,4.2251e-03,4.9161e-05,4.7074e-06,5.9060e-08,,,,,,            0.0135,            8.9428,            8.1445,           16.8849,          -42.7585,           -3.1848,            2.9995,           -0.6645,           -1.0616,          -59.3917,
Ref 21,4.17255e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6288e-06,6.1947e-08,,,,,,,,,,,


Ref 1,4.15163e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6267e-06,6.0812e-08,,,,,,,,,,,
Sam 1,4.17779e-08,1.19417e-02,4.2251e-03,4.9167e-05,4.7075e-06,5.7974e-08,,,,,,            0.0194,            8.9377,            8.3518,           17.6232,          -48.6181,           -3.1784,            2.9944,           -0.4601,           -0.3262,          -65.1459,
Ref 2,4.10789e-08,,,,,,1.1941e-02,4.1877e-03,4.8760e-05,4.6253e-06,6.1063e-08,,,,,,,,,,,
Sam 2,4.13598e-08,1.19416e-02,4.2250e-03,4.9164e-05,4.7092e-06,5.7964e-08,,,,,,            0.0152,            8.9168,            8.2000,           18.1553,          -59.9691,           -3.1821,            2.9737,           -0.5859,            0.2378,          -76.2581,
Ref 3,4.06415e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6252e-06,6.2266e-08,,,,,,,,,,,
Sam 3,4.09391e-08,1.19415e-02,4.2250e-03,4.9164e-05,4.7093e-06,6.0472e-08,,,,,,            0.0018,            8.9132,            8.1862,           18.1036,          -33.8997,           -3.1963,            2.9701,           -0.5822,            0.1942,          -50.6201,
Ref 4,4.02122e-08,,,,,,1.1941e-02,4.1877e-03,4.8762e-05,4.6260e-06,6.2926e-08,,,,,,,,,,,
Sam 4,4.05329e-08,1.19415e-02,4.2250e-03,4.9168e-05,4.7081e-06,6.0351e-08,,,,,,            0.0098,            8.9182,            8.2918,           17.7106,          -49.1782,           -3.1880,            2.9751,           -0.4906,           -0.2017,          -65.6512,
Ref 5,3.98079e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6264e-06,6.4023e-08,,,,,,,,,,,
Sam 5,4.01327e-08,1.19414e-02,4.2251e-03,4.9171e-05,4.7090e-06,5.9749e-08,,,,,,            0.0024,            8.9343,            8.3252,           17.6793,          -63.8270,           -3.1964,            2.9911,           -0.4656,           -0.2643,          -80.0678,
Ref 6,3.93969e-08,,,,,,1.1941e-02,4.1877e-03,4.8766e-05,4.6280e-06,6.3620e-08,,,,,,,,,,,
Sam 6,3.97132e-08,1.19416e-02,4.2251e-03,4.9165e-05,4.7090e-06,5.8998e-08,,,,,,            0.0237,            8.9296,            8.1363,           17.4620,          -65.6604,           -3.1736,            2.9864,           -0.6702,           -0.4685,          -81.8819,
Ref 7,3.90027e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6283e-06,6.2663e-08,,,,,,,,,,,
Sam 7,3.93280e-08,1.19415e-02,4.2250e-03,4.9163e-05,4.7092e-06,5.7971e-08,,,,,,            0.0195,            8.9065,            8.0452,           17.4624,          -66.4215,           -3.1772,            2.9635,           -0.7337,           -0.4225,          -82.5844,
Ref 8,3.85986e-08,,,,,,1.1941e-02,4.1877e-03,4.8770e-05,4.6285e-06,6.1522e-08,,,,,,,,,,,
Sam 8,3.89296e-08,1.19415e-02,4.2251e-03,4.9163e-05,4.7090e-06,5.9607e-08,,,,,,            0.0138,            8.9222,            8.1203,           17.5167,          -39.0732,           -3.1838,            2.9790,           -0.6687,           -0.4001,          -55.7327,
Ref 9,3.81987e-08,,,,,,1.1941e-02,4.1878e-03,4.8765e-05,4.6273e-06,6.2545e-08,,,,,,,,,,,
Sam 9,3.85262e-08,1.19416e-02,4.2252e-03,4.9168e-05,4.7086e-06,5.9335e-08,,,,,,            0.0139,            8.9371,            8.2244,           17.4616,          -49.1471,           -3.1842,            2.9939,           -0.5802,           -0.4838,          -65.6593,
Ref 10,3.77975e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6283e-06,6.2258e-08,,,,,,,,,,,
Sam 10,3.81507e-08,1.19415e-02,4.2250e-03,4.9166e-05,4.7093e-06,5.7637e-08,,,,,,            0.0083,            8.9086,            8.1649,           17.5949,          -64.9795,           -3.1892,            2.9655,           -0.6056,           -0.2964,          -81.1601,
Ref 11,3.74214e-08,,,,,,1.1941e-02,4.1878e-03,4.8768e-05,4.6274e-06,6.1020e-08,,,,,,,,,,,
Sam 11,3.77773e-08,1.19416e-02,4.2251e-03,4.9170e-05,4.7087e-06,6.1420e-08,,,,,,            0.0225,            8.9300,            8.2888,           17.4346,           -4.0997,           -3.1748,            2.9868,           -0.5182,           -0.4963,          -21.3895,
Ref 12,3.70551e-08,,,,,,1.1941e-02,4.1877e-03,4.8765e-05,4.6286e-06,6.2333e-08,,,,,,,,,,,
Sam 12,3.74030e-08,1.19417e-02,4.2252e-03,4.9176e-05,4.7116e-06,5.9147e-08,,,,,,            0.0299,            8.9438,            8.4336,           18.0543,          -62.0818,           -3.1675,            3.0005,           -0.3957,            0.0851,          -78.3970,
Ref 13,3.66795e-08,,,,,,1.1941e-02,4.1877e-03,4.8764e-05,4.6275e-06,6.3800e-08,,,,,,,,,,,
Sam 13,3.70231e-08,1.19415e-02,4.2251e-03,4.9173e-05,4.7082e-06,5.9010e-08,,,,,,            0.0164,            8.9264,            8.3618,           17.7927,          -73.2675,           -3.1812,            2.9833,           -0.4361,           -0.1374,          -89.3442,
Ref 14,3.63112e-08,,,,,,1.1941e-02,4.1877e-03,4.8765e-05,4.6243e-06,6.3551e-08,,,,,,,,,,,
Sam 14,3.66602e-08,1.19414e-02,4.2250e-03,4.9168e-05,4.7091e-06,6.1550e-08,,,,,,            0.0108,            8.9119,            8.2531,           18.4184,          -13.6529,           -3.1867,            2.9688,           -0.5239,            0.5061,          -30.7306,
Ref 15,3.59452e-08,,,,,,1.1941e-02,4.1878e-03,4.8766e-05,4.6235e-06,6.1243e-08,,,,,,,,,,,
Sam 15,3.62964e-08,1.19412e-02,4.2251e-03,4.9169e-05,4.7060e-06,5.8960e-08,,,,,,           -0.0014,            8.9157,            8.3367,           17.5921,          -31.7073,           -3.1997,            2.9726,           -0.4321,           -0.3131,          -48.4670,
Ref 16,3.55999e-08,,,,,,1.1941e-02,4.1877e-03,4.8759e-05,4.6257e-06,6.0536e-08,,,,,,,,,,,
Sam 16,3.59326e-08,1.19413e-02,4.2251e-03,4.9165e-05,4.7073e-06,5.8194e-08,,,,,,            0.0155,            8.9398,            8.2852,           17.3214,          -56.3442,           -3.1826,            2.9966,           -0.5241,           -0.6269,          -72.7378,
Ref 17,3.52405e-08,,,,,,1.1941e-02,4.1877e-03,4.8763e-05,4.6285e-06,6.2812e-08,,,,,,,,,,,
Sam 17,3.55891e-08,1.19413e-02,4.2251e-03,4.9175e-05,4.7068e-06,5.8514e-08,,,,,,            0.0108,            8.9250,            8.4074,           17.2161,          -73.5300,           -3.1872,            2.9819,           -0.3837,           -0.7011,          -89.5942,
Ref 18,3.49055e-08,,,,,,1.1941e-02,4.1877e-03,4.8767e-05,4.6258e-06,6.3507e-08,,,,,,,,,,,
Sam 18,3.52497e-08,1.19414e-02,4.2250e-03,4.9164e-05,4.7061e-06,5.9950e-08,,,,,,            0.0246,            8.9145,            8.1292,           17.3418,          -40.3185,           -3.1721,            2.9714,           -0.6634,           -0.5567,          -56.9531,
Ref 19,3.45577e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6260e-06,6.1420e-08,,,,,,,,,,,
Sam 19,3.49015e-08,1.19412e-02,4.2251e-03,4.9159e-05,4.7052e-06,6.0307e-08,,,,,,            0.0073,            8.9427,            8.0067,           17.3318,          -21.9374,           -3.1914,            2.9994,           -0.7946,           -0.6224,          -38.9257,
Ref 20,3.42186e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6241e-06,6.1903e-08,,,,,,,,,,,
Sam 20,3.45443e-08,1.19412e-02,4.2250e-03,4.9168e-05,4.7076e-06,6.0004e-08,,,,,,            0.0161,            8.9294,            8.2814,           18.0390,          -16.3994,           -3.1816,            2.9863,           -0.5184,            0.0986,          -33.4680,
Ref 21,3.38952e-08,,,,,,1.1941e-02,4.1876e-03,4.8759e-05,4.6242e-06,6.0098e-08,,,,,,,,,,,


Ref 1,3.37209e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6251e-06,6.0817e-08,,,,,,,,,,,
Sam 1,3.40662e-08,1.19412e-02,4.2250e-03,4.9165e-05,4.7100e-06,5.9833e-08,,,,,,            0.0097,            8.9146,            8.1153,           18.0222,          -17.6597,           -3.1879,            2.9715,           -0.6621,            0.1115,          -34.6720,
Ref 2,3.33992e-08,,,,,,1.1941e-02,4.1877e-03,4.8770e-05,4.6281e-06,6.1002e-08,,,,,,,,,,,
Sam 2,3.37311e-08,1.19412e-02,4.2250e-03,4.9169e-05,4.7089e-06,5.9622e-08,,,,,,            0.0153,            8.9179,            8.2041,           18.0116,          -23.6532,           -3.1821,            2.9748,           -0.5830,            0.0945,          -40.5735,
Ref 3,3.30794e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6231e-06,6.1132e-08,,,,,,,,,,,
Sam 3,3.34084e-08,1.19412e-02,4.2251e-03,4.9166e-05,4.7102e-06,5.9293e-08,,,,,,            0.0138,            8.9154,            8.1971,           18.2705,          -32.7619,           -3.1836,            2.9723,           -0.5860,            0.3538,          -49.5183,
Ref 4,3.27561e-08,,,,,,1.1941e-02,4.1878e-03,4.8763e-05,4.6283e-06,6.1473e-08,,,,,,,,,,,
Sam 4,3.30885e-08,1.19414e-02,4.2250e-03,4.9160e-05,4.7101e-06,5.9499e-08,,,,,,            0.0255,            8.9161,            8.1041,           17.7094,          -20.1053,           -3.1711,            2.9730,           -0.6909,           -0.1988,          -37.0943,
Ref 5,3.24497e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6279e-06,5.9960e-08,,,,,,,,,,,
Sam 5,3.27671e-08,1.19412e-02,4.2251e-03,4.9174e-05,4.7081e-06,5.9510e-08,,,,,,            0.0091,            8.9225,            8.3020,           17.3316,          -31.2276,           -3.1888,            2.9794,           -0.4841,           -0.5827,          -48.0190,
Ref 6,3.21237e-08,,,,,,1.1941e-02,4.1877e-03,4.8770e-05,4.6279e-06,6.2912e-08,,,,,,,,,,,
Sam 6,3.24655e-08,1.19411e-02,4.2250e-03,4.9168e-05,4.7090e-06,5.9033e-08,,,,,,            0.0014,            8.9115,            8.2125,           17.6110,          -57.1218,           -3.1966,            2.9685,           -0.5541,           -0.2864,          -73.4369,
Ref 7,3.18230e-08,,,,,,1.1941e-02,4.1877e-03,4.8766e-05,4.6272e-06,6.2304e-08,,,,,,,,,,,
Sam 7,3.21502e-08,1.19412e-02,4.2251e-03,4.9166e-05,4.7083e-06,5.9589e-08,,,,,,            0.0171,            8.9331,            8.2302,           17.9390,          -32.9259,           -3.1807,            2.9899,           -0.5738,           -0.0068,          -49.7155,
Ref 8,3.15298e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6235e-06,6.0926e-08,,,,,,,,,,,
Sam 8,3.18437e-08,1.19411e-02,4.2250e-03,4.9166e-05,4.7088e-06,5.6844e-08,,,,,,            0.0100,            8.9342,            8.2791,           17.9698,          -71.6777,           -3.1882,            2.9910,           -0.5191,            0.0213,          -87.7896,
Ref 9,3.12343e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6279e-06,6.1543e-08,,,,,,,,,,,
Sam 9,3.15343e-08,1.19412e-02,4.2249e-03,4.9166e-05,4.7092e-06,6.1655e-08,,,,,,            0.0166,            8.9192,            8.2542,           17.6965,           -6.8256,           -3.1808,            2.9761,           -0.5359,           -0.2176,          -24.0413,
Ref 10,3.09373e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6267e-06,6.2619e-08,,,,,,,,,,,
Sam 10,3.12379e-08,1.19412e-02,4.2250e-03,4.9173e-05,4.7101e-06,6.1089e-08,,,,,,            0.0180,            8.9362,            8.2726,           18.0088,          -48.0702,           -3.1798,            2.9930,           -0.5357,            0.0554,          -64.6035,
Ref 11,3.06474e-08,,,,,,1.1941e-02,4.1876e-03,4.8773e-05,4.6268e-06,6.5744e-08,,,,,,,,,,,
Sam 11,3.09518e-08,1.19412e-02,4.2250e-03,4.9163e-05,4.7073e-06,5.9753e-08,,,,,,            0.0129,            8.9412,            8.0320,           17.2781,          -73.9401,           -3.1854,            2.9979,           -0.7738,           -0.6721,          -90.0279,
Ref 12,3.03648e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6279e-06,6.3294e-08,,,,,,,,,,,
Sam 12,3.06489e-08,1.19410e-02,4.2250e-03,4.9165e-05,4.7089e-06,5.8926e-08,,,,,,            0.0083,            8.9360,            8.1581,           17.7452,          -73.3083,           -3.1901,            2.9928,           -0.6390,           -0.2029,          -89.3934,
Ref 13,3.00783e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6257e-06,6.3884e-08,,,,,,,,,,,
Sam 13,3.03599e-08,1.19411e-02,4.2250e-03,4.9176e-05,4.7093e-06,5.8869e-08,,,,,,            0.0116,            8.9384,            8.4519,           17.7760,          -84.7276,           -3.1867,            2.9951,           -0.3535,           -0.1774,         -100.6218,
Ref 14,2.98006e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6283e-06,6.4756e-08,,,,,,,,,,,
Sam 14,3.00752e-08,1.19412e-02,4.2249e-03,4.9169e-05,4.7085e-06,6.0454e-08,,,,,,            0.0198,            8.9286,            8.2589,           17.3834,          -65.3603,           -3.1776,            2.9854,           -0.5437,           -0.5437,          -81.5813,
Ref 15,2.95340e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6277e-06,6.4608e-08,,,,,,,,,,,
Sam 15,2.97946e-08,1.19412e-02,4.2250e-03,4.9169e-05,4.7088e-06,6.2452e-08,,,,,,            0.0203,            8.9209,            8.2092,           18.1197,          -20.0150,           -3.1768,            2.9778,           -0.5861,            0.1947,          -37.0092,
Ref 16,2.92470e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6222e-06,6.2839e-08,,,,,,,,,,,
Sam 16,2.95163e-08,1.19411e-02,4.2249e-03,4.9174e-05,4.7086e-06,5.8576e-08,,,,,,            0.0141,            8.9195,            8.3099,           17.9170,          -71.2140,           -3.1834,            2.9763,           -0.4784,           -0.0015,          -87.3117,
Ref 17,2.89868e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6292e-06,6.3298e-08,,,,,,,,,,,
Sam 17,2.92434e-08,1.19409e-02,4.2248e-03,4.9166e-05,4.7061e-06,6.2461e-08,,,,,,            0.0107,            8.9130,            8.1415,           17.1437,          -22.6364,           -3.1868,            2.9699,           -0.6355,           -0.7485,          -39.5605,
Ref 18,2.87217e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6243e-06,6.4524e-08,,,,,,,,,,,
Sam 18,2.89701e-08,1.19409e-02,4.2249e-03,4.9165e-05,4.7053e-06,6.1230e-08,,,,,,            0.0177,            8.9233,            8.1604,           17.1195,          -30.5008,           -3.1797,            2.9801,           -0.6340,           -0.7925,          -47.3148,
Ref 19,2.84593e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6281e-06,6.1776e-08,,,,,,,,,,,
Sam 19,2.86934e-08,1.19409e-02,4.2249e-03,4.9180e-05,4.7069e-06,5.9689e-08,,,,,,            0.0210,            8.9396,            8.5001,           17.1232,          -45.3341,           -3.1767,            2.9964,           -0.3166,           -0.8212,          -61.9241,
Ref 20,2.81992e-08,,,,,,1.1941e-02,4.1874e-03,4.8766e-05,4.6272e-06,6.3278e-08,,,,,,,,,,,
Sam 20,2.84272e-08,1.19409e-02,4.2249e-03,4.9170e-05,4.7092e-06,6.1355e-08,,,,,,            0.0275,            8.9400,            8.3144,           17.8479,          -38.0921,           -3.1699,            2.9967,           -0.5077,           -0.1100,          -54.8151,
Ref 21,2.79361e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6261e-06,6.4296e-08,,,,,,,,,,,


