Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 20, 2018 at 14:04 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, June 20, 2018 at 15:05 with Stable 1.69.5 on PS019

Data File = Data_6029 KG92 91.txt,        Sample Weight = 466,                      Vial Location = 28,                       Initial Sam Beam = 1.0250e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5969e-08,                Max Ref Beam = 1.0600e-07,                
Analysis undertaken at mass 46.01491
Analysis undertaken at mass 46.01491
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.99854e-08,,,,,,1.1943e-02,4.1877e-03,4.8758e-05,4.6253e-06,6.0401e-08,,,,,,,,,,,
Sam 1,8.99636e-08,1.19659e-02,4.2278e-03,4.9292e-05,4.7123e-06,5.9351e-08,,,,,,            1.9384,            9.5756,           10.9093,           18.7856,          -15.4491,           -1.1581,            3.6250,           -0.5246,           -0.4486,          -35.7228,
Ref 2,8.79541e-08,,,,,,1.1943e-02,4.1877e-03,4.8761e-05,4.6255e-06,6.0160e-08,,,,,,,,,,,
Sam 2,8.80537e-08,1.19657e-02,4.2278e-03,4.9290e-05,4.7134e-06,5.9200e-08,,,,,,            1.9219,            9.5713,           10.8986,           19.0528,          -20.6627,           -1.1755,            3.6208,           -0.5140,           -0.1780,          -40.8043,
Ref 3,8.58870e-08,,,,,,1.1943e-02,4.1877e-03,4.8756e-05,4.6251e-06,6.0746e-08,,,,,,,,,,,
Sam 3,8.61993e-08,1.19657e-02,4.2277e-03,4.9290e-05,4.7133e-06,5.9007e-08,,,,,,            1.9205,            9.5526,           10.8977,           18.9386,          -26.3485,           -1.1764,            3.6022,           -0.4952,           -0.2530,          -46.3369,
Ref 4,8.38663e-08,,,,,,1.1943e-02,4.1877e-03,4.8760e-05,4.6263e-06,6.0459e-08,,,,,,,,,,,
Sam 4,8.43556e-08,1.19658e-02,4.2278e-03,4.9295e-05,4.7138e-06,5.9294e-08,,,,,,            1.9308,            9.5608,           10.9364,           18.6482,          -19.8205,           -1.1657,            3.6104,           -0.4756,           -0.5542,          -39.9688,
Ref 5,8.19355e-08,,,,,,1.1943e-02,4.1877e-03,4.8763e-05,4.6287e-06,6.0528e-08,,,,,,,,,,,
Sam 5,8.25501e-08,1.19657e-02,4.2277e-03,4.9292e-05,4.7142e-06,5.9761e-08,,,,,,            1.9311,            9.5534,           10.8831,           18.6157,          -10.8472,           -1.1650,            3.6030,           -0.5215,           -0.5714,          -31.1664,
Ref 6,8.00362e-08,,,,,,1.1943e-02,4.1877e-03,4.8760e-05,4.6274e-06,6.0302e-08,,,,,,,,,,,
Sam 6,8.07828e-08,1.19657e-02,4.2278e-03,4.9291e-05,4.7146e-06,6.0077e-08,,,,,,            1.9320,            9.5652,           10.9105,           18.9820,          -12.1417,           -1.1645,            3.6148,           -0.5067,           -0.2354,          -32.4575,
Ref 7,7.82005e-08,,,,,,1.1943e-02,4.1878e-03,4.8758e-05,4.6262e-06,6.1341e-08,,,,,,,,,,,
Sam 7,7.91127e-08,1.19656e-02,4.2278e-03,4.9289e-05,4.7150e-06,6.0043e-08,,,,,,            1.9229,            9.5459,           10.8760,           18.9458,          -16.4184,           -1.1736,            3.5956,           -0.5127,           -0.2327,          -36.6006,
Ref 8,7.64077e-08,,,,,,1.1943e-02,4.1878e-03,4.8760e-05,4.6285e-06,6.0744e-08,,,,,,,,,,,
Sam 8,7.74513e-08,1.19656e-02,4.2278e-03,4.9288e-05,4.7143e-06,5.9882e-08,,,,,,            1.9148,            9.5513,           10.8036,           18.7662,           -8.5120,           -1.1824,            3.6010,           -0.5811,           -0.4196,          -28.8583,
Ref 9,7.47041e-08,,,,,,1.1943e-02,4.1878e-03,4.8762e-05,4.6264e-06,6.0039e-08,,,,,,,,,,,
Sam 9,7.58464e-08,1.19657e-02,4.2278e-03,4.9292e-05,4.7160e-06,5.9776e-08,,,,,,            1.9311,            9.5552,           10.8828,           19.1363,           -2.9422,           -1.1652,            3.6048,           -0.5235,           -0.0642,          -23.4271,
Ref 10,7.30468e-08,,,,,,1.1943e-02,4.1878e-03,4.8760e-05,4.6284e-06,5.9864e-08,,,,,,,,,,,
Sam 10,7.42689e-08,1.19657e-02,4.2278e-03,4.9293e-05,4.7144e-06,5.9558e-08,,,,,,            1.9354,            9.5578,           10.9196,           18.6403,          -11.8587,           -1.1607,            3.6074,           -0.4940,           -0.5560,          -32.1698,
Ref 11,7.14304e-08,,,,,,1.1943e-02,4.1877e-03,4.8760e-05,4.6277e-06,6.0691e-08,,,,,,,,,,,
Sam 11,7.27588e-08,1.19656e-02,4.2278e-03,4.9293e-05,4.7143e-06,5.9885e-08,,,,,,            1.9344,            9.5586,           10.9498,           18.7581,          -15.7441,           -1.1618,            3.6082,           -0.4640,           -0.4420,          -35.9758,
Ref 12,6.98624e-08,,,,,,1.1942e-02,4.1878e-03,4.8757e-05,4.6273e-06,6.0998e-08,,,,,,,,,,,
Sam 12,7.12487e-08,1.19655e-02,4.2278e-03,4.9292e-05,4.7137e-06,5.9849e-08,,,,,,            1.9383,            9.5604,           10.9750,           18.6566,          -12.7746,           -1.1577,            3.6100,           -0.4448,           -0.5452,          -33.0747,
Ref 13,6.83606e-08,,,,,,1.1942e-02,4.1877e-03,4.8757e-05,4.6276e-06,6.0241e-08,,,,,,,,,,,
Sam 13,6.98403e-08,1.19654e-02,4.2278e-03,4.9290e-05,4.7135e-06,5.7702e-08,,,,,,            1.9356,            9.5601,           10.9097,           18.5471,          -47.2628,           -1.1606,            3.6096,           -0.5062,           -0.6519,          -66.8504,
Ref 14,6.68913e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6279e-06,6.0896e-08,,,,,,,,,,,
Sam 14,6.84534e-08,1.19653e-02,4.2277e-03,4.9291e-05,4.7147e-06,5.7899e-08,,,,,,            1.9238,            9.5475,           10.9228,           18.6982,          -38.1260,           -1.1727,            3.5972,           -0.4689,           -0.4788,          -57.8667,
Ref 15,6.54671e-08,,,,,,1.1942e-02,4.1877e-03,4.8757e-05,4.6284e-06,5.9478e-08,,,,,,,,,,,
Sam 15,6.70501e-08,1.19653e-02,4.2277e-03,4.9290e-05,4.7150e-06,5.8698e-08,,,,,,            1.9289,            9.5573,           10.8757,           18.6309,          -10.7009,           -1.1676,            3.6069,           -0.5303,           -0.5643,          -31.0282,
Ref 16,6.40758e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6291e-06,5.9184e-08,,,,,,,,,,,
Sam 16,6.57438e-08,1.19652e-02,4.2277e-03,4.9292e-05,4.7148e-06,5.8240e-08,,,,,,            1.9196,            9.5484,           10.8183,           18.6667,          -25.4937,           -1.1772,            3.5981,           -0.5688,           -0.5115,          -45.4910,
Ref 17,6.27342e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6277e-06,6.0356e-08,,,,,,,,,,,
Sam 17,6.44241e-08,1.19652e-02,4.2277e-03,4.9289e-05,4.7157e-06,5.7915e-08,,,,,,            1.9289,            9.5625,           10.7366,           18.8783,          -31.5791,           -1.1678,            3.6121,           -0.6728,           -0.3318,          -51.4870,
Ref 18,6.14261e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6290e-06,5.9240e-08,,,,,,,,,,,
Sam 18,6.31802e-08,1.19652e-02,4.2277e-03,4.9292e-05,4.7145e-06,5.8215e-08,,,,,,            1.9291,            9.5550,           10.8650,           18.5736,          -21.1561,           -1.1673,            3.6046,           -0.5388,           -0.6159,          -41.2645,
Ref 19,6.01684e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6280e-06,5.9711e-08,,,,,,,,,,,
Sam 19,6.19103e-08,1.19652e-02,4.2278e-03,4.9294e-05,4.7152e-06,5.9039e-08,,,,,,            1.9337,            9.5779,           10.9461,           18.9246,          -16.0286,           -1.1632,            3.6274,           -0.4857,           -0.3169,          -36.2900,
Ref 20,5.89466e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6272e-06,6.0297e-08,,,,,,,,,,,
Sam 20,6.07497e-08,1.19653e-02,4.2277e-03,4.9294e-05,4.7163e-06,5.7895e-08,,,,,,            1.9475,            9.5557,           10.9579,           19.0371,          -37.7595,           -1.1477,            3.6053,           -0.4665,           -0.1626,          -57.5465,
Ref 21,5.77512e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6291e-06,6.0034e-08,,,,,,,,,,,


Ref 1,5.71743e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6274e-06,5.9245e-08,,,,,,,,,,,
Sam 1,5.89784e-08,1.19651e-02,4.2277e-03,4.9294e-05,4.7153e-06,5.8582e-08,,,,,,            1.9400,            9.5764,           10.9978,           18.9695,          -12.0179,           -1.1564,            3.6259,           -0.4396,           -0.2698,          -32.3655,
Ref 2,5.60234e-08,,,,,,1.1942e-02,4.1877e-03,4.8759e-05,4.6277e-06,5.9345e-08,,,,,,,,,,,
Sam 2,5.78505e-08,1.19651e-02,4.2277e-03,4.9289e-05,4.7140e-06,5.7183e-08,,,,,,            1.9392,            9.5674,           10.8200,           18.8348,          -45.6834,           -1.1569,            3.6169,           -0.6058,           -0.3841,          -65.3205,
Ref 3,5.48842e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6259e-06,6.0508e-08,,,,,,,,,,,
Sam 3,5.67635e-08,1.19650e-02,4.2276e-03,4.9288e-05,4.7153e-06,6.0304e-08,,,,,,            1.9338,            9.5385,           10.7670,           19.0759,           -9.1288,           -1.1617,            3.5882,           -0.6244,           -0.0904,          -29.4578,
Ref 4,5.37867e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6282e-06,6.1217e-08,,,,,,,,,,,
Sam 4,5.56667e-08,1.19650e-02,4.2277e-03,4.9292e-05,4.7159e-06,5.9041e-08,,,,,,            1.9329,            9.5451,           10.8893,           18.9471,          -25.7633,           -1.1629,            3.5947,           -0.5090,           -0.2298,          -45.7623,
Ref 5,5.27339e-08,,,,,,1.1942e-02,4.1877e-03,4.8759e-05,4.6281e-06,5.9974e-08,,,,,,,,,,,
Sam 5,5.46434e-08,1.19648e-02,4.2276e-03,4.9289e-05,4.7130e-06,5.9783e-08,,,,,,            1.9220,            9.5338,           10.9061,           18.3766,           -7.3930,           -1.1741,            3.5836,           -0.4702,           -0.7672,          -27.7366,
Ref 6,5.17458e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6277e-06,6.0487e-08,,,,,,,,,,,
Sam 6,5.36030e-08,1.19649e-02,4.2276e-03,4.9295e-05,4.7146e-06,5.9616e-08,,,,,,            1.9332,            9.5491,           10.9867,           18.8220,           -9.6456,           -1.1627,            3.5988,           -0.4170,           -0.3606,          -29.9835,
Ref 7,5.07219e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6273e-06,5.9900e-08,,,,,,,,,,,
Sam 7,5.26141e-08,1.19649e-02,4.2277e-03,4.9293e-05,4.7146e-06,5.8745e-08,,,,,,            1.9385,            9.5584,           10.8682,           18.9337,          -17.4015,           -1.1574,            3.6079,           -0.5486,           -0.2692,          -37.6028,
Ref 8,4.97770e-08,,,,,,1.1942e-02,4.1876e-03,4.8764e-05,4.6268e-06,5.9668e-08,,,,,,,,,,,
Sam 8,5.16447e-08,1.19647e-02,4.2276e-03,4.9292e-05,4.7168e-06,5.9858e-08,,,,,,            1.9341,            9.5440,           10.8919,           19.4701,           -0.2184,           -1.1616,            3.5937,           -0.5066,            0.2854,          -20.7411,
Ref 9,4.88126e-08,,,,,,1.1942e-02,4.1876e-03,4.8757e-05,4.6265e-06,6.0078e-08,,,,,,,,,,,
Sam 9,5.06647e-08,1.19648e-02,4.2276e-03,4.9292e-05,4.7155e-06,5.9357e-08,,,,,,            1.9500,            9.5579,           10.8830,           19.0842,           -9.3094,           -1.1451,            3.6074,           -0.5453,           -0.1206,          -29.6881,
Ref 10,4.79026e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6278e-06,5.9748e-08,,,,,,,,,,,
Sam 10,4.97351e-08,1.19646e-02,4.2276e-03,4.9291e-05,4.7150e-06,5.8963e-08,,,,,,            1.9345,            9.5524,           10.8261,           18.7370,          -21.6671,           -1.1614,            3.6020,           -0.5803,           -0.4504,          -41.7656,
Ref 11,4.69974e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6288e-06,6.0800e-08,,,,,,,,,,,
Sam 11,4.88301e-08,1.19646e-02,4.2276e-03,4.9294e-05,4.7153e-06,5.8353e-08,,,,,,            1.9346,            9.5530,           10.9765,           18.8722,          -46.7486,           -1.1614,            3.6026,           -0.4322,           -0.3189,          -66.3329,
Ref 12,4.61411e-08,,,,,,1.1941e-02,4.1876e-03,4.8757e-05,4.6271e-06,6.1638e-08,,,,,,,,,,,
Sam 12,4.79660e-08,1.19646e-02,4.2276e-03,4.9292e-05,4.7159e-06,5.9177e-08,,,,,,            1.9384,            9.5547,           10.9686,           19.1942,          -44.4243,           -1.1573,            3.6043,           -0.4456,           -0.0063,          -64.0632,
Ref 13,4.52721e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6271e-06,6.2225e-08,,,,,,,,,,,
Sam 13,4.70960e-08,1.19646e-02,4.2275e-03,4.9293e-05,4.7162e-06,5.7981e-08,,,,,,            1.9345,            9.5380,           10.8866,           19.2221,          -60.1069,           -1.1609,            3.5876,           -0.5064,            0.0541,          -79.3898,
Ref 14,4.44467e-08,,,,,,1.1942e-02,4.1876e-03,4.8765e-05,4.6274e-06,6.1143e-08,,,,,,,,,,,
Sam 14,4.62490e-08,1.19646e-02,4.2275e-03,4.9294e-05,4.7149e-06,5.9379e-08,,,,,,            1.9293,            9.5270,           10.8882,           18.9300,          -27.3172,           -1.1661,            3.5767,           -0.4887,           -0.2107,          -47.2471,
Ref 15,4.36235e-08,,,,,,1.1942e-02,4.1877e-03,4.8761e-05,4.6272e-06,6.0949e-08,,,,,,,,,,,
Sam 15,4.54135e-08,1.19646e-02,4.2276e-03,4.9291e-05,4.7126e-06,5.8192e-08,,,,,,            1.9326,            9.5344,           10.8082,           18.5112,          -41.1427,           -1.1628,            3.5841,           -0.5785,           -0.6363,          -60.8063,
Ref 16,4.28332e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6268e-06,6.0424e-08,,,,,,,,,,,
Sam 16,4.45955e-08,1.19646e-02,4.2275e-03,4.9296e-05,4.7160e-06,5.9019e-08,,,,,,            1.9361,            9.5432,           10.8905,           19.1784,          -33.7315,           -1.1594,            3.5929,           -0.5093,            0.0008,          -53.5668,
Ref 17,4.20582e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6278e-06,6.1746e-08,,,,,,,,,,,
Sam 17,4.38256e-08,1.19643e-02,4.2275e-03,4.9295e-05,4.7118e-06,5.9260e-08,,,,,,            1.9155,            9.5237,           10.8246,           18.4229,          -30.4809,           -1.1807,            3.5735,           -0.5343,           -0.7018,          -50.3260,
Ref 18,4.13035e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6253e-06,6.0489e-08,,,,,,,,,,,
Sam 18,4.30596e-08,1.19643e-02,4.2275e-03,4.9292e-05,4.7150e-06,5.9944e-08,,,,,,            1.9134,            9.5083,           10.8085,           19.0277,          -20.3927,           -1.1824,            3.5582,           -0.5330,           -0.0779,          -40.4134,
Ref 19,4.05639e-08,,,,,,1.1941e-02,4.1877e-03,4.8759e-05,4.6287e-06,6.1909e-08,,,,,,,,,,,
Sam 19,4.22865e-08,1.19643e-02,4.2275e-03,4.9296e-05,4.7140e-06,5.9218e-08,,,,,,            1.9164,            9.5130,           10.9224,           18.4363,          -37.0767,           -1.1793,            3.5628,           -0.4281,           -0.6674,          -56.7680,
Ref 20,3.98499e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6287e-06,6.1080e-08,,,,,,,,,,,
Sam 20,4.15604e-08,1.19643e-02,4.2274e-03,4.9292e-05,4.7149e-06,5.8092e-08,,,,,,            1.9097,            9.4885,           10.7292,           18.7827,          -47.5142,           -1.1856,            3.5385,           -0.5883,           -0.2790,          -66.9409,
Ref 21,3.91280e-08,,,,,,1.1942e-02,4.1877e-03,4.8770e-05,4.6272e-06,6.0899e-08,,,,,,,,,,,


Ref 1,3.87838e-08,,,,,,1.1942e-02,4.1876e-03,4.8771e-05,4.6243e-06,6.0523e-08,,,,,,,,,,,
Sam 1,4.04747e-08,1.19643e-02,4.2274e-03,4.9292e-05,4.7157e-06,5.8723e-08,,,,,,            1.9087,            9.4871,           10.6828,           19.4411,          -36.8349,           -1.1867,            3.5370,           -0.6318,            0.3699,          -56.4758,
Ref 2,3.81104e-08,,,,,,1.1941e-02,4.1878e-03,4.8770e-05,4.6273e-06,6.1423e-08,,,,,,,,,,,
Sam 2,3.97470e-08,1.19643e-02,4.2276e-03,4.9295e-05,4.7137e-06,5.8804e-08,,,,,,            1.9114,            9.5064,           10.6807,           18.3910,          -22.4100,           -1.1845,            3.5563,           -0.6555,           -0.6988,          -42.3839,
Ref 3,3.74380e-08,,,,,,1.1942e-02,4.1878e-03,4.8778e-05,4.6299e-06,5.8858e-08,,,,,,,,,,,
Sam 3,3.90658e-08,1.19644e-02,4.2275e-03,4.9295e-05,4.7146e-06,5.8378e-08,,,,,,            1.9151,            9.5039,           10.6675,           18.4481,          -28.4912,           -1.1804,            3.5538,           -0.6699,           -0.6378,          -48.3399,
Ref 4,3.67981e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6285e-06,6.1344e-08,,,,,,,,,,,
Sam 4,3.83855e-08,1.19643e-02,4.2276e-03,4.9296e-05,4.7147e-06,5.8640e-08,,,,,,            1.9196,            9.5169,           10.7890,           18.4947,          -39.3156,           -1.1761,            3.5667,           -0.5670,           -0.6177,          -58.9714,
Ref 5,3.61695e-08,,,,,,1.1941e-02,4.1878e-03,4.8769e-05,4.6297e-06,6.0729e-08,,,,,,,,,,,
Sam 5,3.77233e-08,1.19645e-02,4.2276e-03,4.9295e-05,4.7144e-06,5.9024e-08,,,,,,            1.9280,            9.5025,           10.7712,           18.5485,          -31.5493,           -1.1666,            3.5524,           -0.5793,           -0.5365,          -51.3460,
Ref 6,3.55501e-08,,,,,,1.1941e-02,4.1878e-03,4.8770e-05,4.6274e-06,6.1169e-08,,,,,,,,,,,
Sam 6,3.70783e-08,1.19643e-02,4.2276e-03,4.9299e-05,4.7148e-06,5.9400e-08,,,,,,            1.9177,            9.5077,           10.8582,           18.7206,          -39.3866,           -1.1777,            3.5576,           -0.4877,           -0.3780,          -59.0223,
Ref 7,3.49571e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6289e-06,6.2513e-08,,,,,,,,,,,
Sam 7,3.64467e-08,1.19643e-02,4.2276e-03,4.9294e-05,4.7157e-06,5.9218e-08,,,,,,            1.9271,            9.5112,           10.7267,           18.8843,          -34.3857,           -1.1679,            3.5610,           -0.6308,           -0.2241,          -54.1394,
Ref 8,3.43655e-08,,,,,,1.1941e-02,4.1877e-03,4.8773e-05,4.6278e-06,6.0119e-08,,,,,,,,,,,
Sam 8,3.58319e-08,1.19643e-02,4.2275e-03,4.9293e-05,4.7148e-06,5.8103e-08,,,,,,            1.9284,            9.5053,           10.6623,           18.7876,          -36.1910,           -1.1663,            3.5552,           -0.6901,           -0.3075,          -55.8984,
Ref 9,3.37942e-08,,,,,,1.1941e-02,4.1877e-03,4.8774e-05,4.6280e-06,6.0453e-08,,,,,,,,,,,
Sam 9,3.52224e-08,1.19643e-02,4.2276e-03,4.9299e-05,4.7138e-06,5.8529e-08,,,,,,            1.9362,            9.5169,           10.7680,           18.4089,          -30.3846,           -1.1584,            3.5667,           -0.6049,           -0.7021,          -50.2399,
Ref 10,3.32245e-08,,,,,,1.1941e-02,4.1877e-03,4.8774e-05,4.6293e-06,6.0273e-08,,,,,,,,,,,
Sam 10,3.46302e-08,1.19643e-02,4.2275e-03,4.9302e-05,4.7137e-06,5.9339e-08,,,,,,            1.9322,            9.5201,           10.8454,           18.2843,          -17.3547,           -1.1627,            3.5699,           -0.5274,           -0.8307,          -37.4788,
Ref 11,3.26900e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6289e-06,6.0504e-08,,,,,,,,,,,
Sam 11,3.40604e-08,1.19642e-02,4.2276e-03,4.9296e-05,4.7156e-06,5.7796e-08,,,,,,            1.9289,            9.5384,           10.7332,           19.1547,          -38.5656,           -1.1669,            3.5881,           -0.6529,           -0.0129,          -58.2858,
Ref 12,3.21582e-08,,,,,,1.1941e-02,4.1876e-03,4.8773e-05,4.6250e-06,5.9719e-08,,,,,,,,,,,
Sam 12,3.34975e-08,1.19641e-02,4.2275e-03,4.9296e-05,4.7153e-06,5.6088e-08,,,,,,            1.9322,            9.5273,           10.6955,           19.1850,          -84.6507,           -1.1630,            3.5770,           -0.6826,            0.0389,         -103.4092,
Ref 13,3.16285e-08,,,,,,1.1941e-02,4.1876e-03,4.8775e-05,4.6281e-06,6.2856e-08,,,,,,,,,,,
Sam 13,3.29313e-08,1.19641e-02,4.2276e-03,4.9297e-05,4.7157e-06,5.8942e-08,,,,,,            1.9387,            9.5488,           10.7919,           19.0836,          -58.4267,           -1.1569,            3.5984,           -0.6148,           -0.1031,          -77.7675,
Ref 14,3.11342e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6267e-06,6.2338e-08,,,,,,,,,,,
Sam 14,3.23956e-08,1.19639e-02,4.2274e-03,4.9297e-05,4.7144e-06,5.9177e-08,,,,,,            1.9223,            9.5160,           10.8187,           18.9847,          -69.3363,           -1.1731,            3.5658,           -0.5396,           -0.1352,          -88.3790,
Ref 15,3.06101e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6265e-06,6.4854e-08,,,,,,,,,,,
Sam 15,3.18715e-08,1.19640e-02,4.2274e-03,4.9301e-05,4.7124e-06,6.0290e-08,,,,,,            1.9293,            9.5133,           10.8113,           18.6307,          -58.4061,           -1.1656,            3.5631,           -0.5514,           -0.4772,          -77.6745,
Ref 16,3.01333e-08,,,,,,1.1941e-02,4.1876e-03,4.8775e-05,4.6258e-06,6.3192e-08,,,,,,,,,,,
Sam 16,3.13424e-08,1.19641e-02,4.2275e-03,4.9295e-05,4.7142e-06,5.9876e-08,,,,,,            1.9378,            9.5207,           10.6509,           19.0102,          -58.2782,           -1.1569,            3.5704,           -0.7260,           -0.1195,          -77.5707,
Ref 17,2.96493e-08,,,,,,1.1941e-02,4.1876e-03,4.8775e-05,4.6267e-06,6.3977e-08,,,,,,,,,,,
Sam 17,3.08330e-08,1.19640e-02,4.2275e-03,4.9294e-05,4.7141e-06,6.0940e-08,,,,,,            1.9293,            9.5107,           10.6580,           18.7722,          -29.9440,           -1.1656,            3.5605,           -0.7005,           -0.3333,          -49.7899,
Ref 18,2.91854e-08,,,,,,1.1941e-02,4.1876e-03,4.8773e-05,4.6277e-06,6.1648e-08,,,,,,,,,,,
Sam 18,3.03318e-08,1.19639e-02,4.2275e-03,4.9295e-05,4.7111e-06,6.0951e-08,,,,,,            1.9160,            9.5209,           10.7219,           17.9429,          -18.9118,           -1.1800,            3.5707,           -0.6335,           -1.1672,          -38.9890,
Ref 19,2.87161e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6285e-06,6.2612e-08,,,,,,,,,,,
Sam 19,2.98550e-08,1.19640e-02,4.2274e-03,4.9298e-05,4.7153e-06,5.8409e-08,,,,,,            1.9192,            9.5015,           10.8230,           19.0883,          -68.0588,           -1.1760,            3.5514,           -0.5180,           -0.0050,          -87.0989,
Ref 20,2.82625e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6254e-06,6.2737e-08,,,,,,,,,,,
Sam 20,2.93647e-08,1.19640e-02,4.2274e-03,4.9296e-05,4.7143e-06,5.9147e-08,,,,,,            1.9219,            9.5130,           10.7680,           19.4335,          -56.7831,           -1.1735,            3.5628,           -0.5865,            0.3110,          -76.0769,
Ref 21,2.78335e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6235e-06,6.2677e-08,,,,,,,,,,,


