Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 20, 2018 at 18:49 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, June 20, 2018 at 19:50 with Stable 1.69.5 on PS019

Data File = Data_6032 IAEA-C2.txt,        Sample Weight = 404,                      Vial Location = 31,                       Initial Sam Beam = 1.0544e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4268e-08,                Max Ref Beam = 1.0633e-07,                
Analysis undertaken at mass 46.0174
Analysis undertaken at mass 46.0174
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.28145e-08,,,,,,1.1943e-02,4.1878e-03,4.8758e-05,4.6247e-06,6.1026e-08,,,,,,,,,,,
Sam 1,9.28880e-08,1.18877e-02,4.2102e-03,4.8765e-05,4.6733e-06,5.9403e-08,,,,,,           -4.6307,            5.3573,            0.1166,           10.3154,          -29.6623,           -8.0036,           -0.5584,           -0.3587,           -0.4234,          -35.0576,
Ref 2,9.06931e-08,,,,,,1.1943e-02,4.1877e-03,4.8760e-05,4.6264e-06,6.1417e-08,,,,,,,,,,,
Sam 2,9.08486e-08,1.18877e-02,4.2102e-03,4.8764e-05,4.6740e-06,5.8772e-08,,,,,,           -4.6404,            5.3645,            0.0978,           10.4318,          -38.2934,           -8.0142,           -0.5512,           -0.3744,           -0.3226,          -43.6442,
Ref 3,8.84645e-08,,,,,,1.1943e-02,4.1878e-03,4.8759e-05,4.6250e-06,6.0801e-08,,,,,,,,,,,
Sam 3,8.88926e-08,1.18877e-02,4.2102e-03,4.8765e-05,4.6740e-06,5.9197e-08,,,,,,           -4.6302,            5.3463,            0.1193,           10.4562,          -26.9359,           -8.0027,           -0.5694,           -0.3457,           -0.2621,          -32.3259,
Ref 4,8.64512e-08,,,,,,1.1943e-02,4.1878e-03,4.8760e-05,4.6264e-06,6.0870e-08,,,,,,,,,,,
Sam 4,8.70461e-08,1.18875e-02,4.2101e-03,4.8769e-05,4.6748e-06,5.9261e-08,,,,,,           -4.6398,            5.3346,            0.1993,           10.4674,          -25.2224,           -8.0125,           -0.5810,           -0.2443,           -0.2278,          -30.5898,
Ref 5,8.43972e-08,,,,,,1.1943e-02,4.1878e-03,4.8758e-05,4.6264e-06,6.0716e-08,,,,,,,,,,,
Sam 5,8.51094e-08,1.18876e-02,4.2102e-03,4.8768e-05,4.6760e-06,5.9051e-08,,,,,,           -4.6324,            5.3618,            0.2378,           10.6618,          -34.2981,           -8.0056,           -0.5539,           -0.2401,           -0.0897,          -39.6743,
Ref 6,8.24398e-08,,,,,,1.1943e-02,4.1878e-03,4.8754e-05,4.6269e-06,6.1590e-08,,,,,,,,,,,
Sam 6,8.33484e-08,1.18874e-02,4.2101e-03,4.8764e-05,4.6750e-06,5.9766e-08,,,,,,           -4.6369,            5.3361,            0.1499,           10.4417,          -24.4436,           -8.0095,           -0.5796,           -0.2981,           -0.2562,          -29.8211,
Ref 7,8.05502e-08,,,,,,1.1943e-02,4.1877e-03,4.8759e-05,4.6264e-06,6.0930e-08,,,,,,,,,,,
Sam 7,8.15194e-08,1.18876e-02,4.2102e-03,4.8764e-05,4.6747e-06,5.9749e-08,,,,,,           -4.6220,            5.3685,            0.0906,           10.2494,          -25.8604,           -7.9947,           -0.5473,           -0.4046,           -0.5111,          -31.3071,
Ref 8,7.86922e-08,,,,,,1.1943e-02,4.1877e-03,4.8760e-05,4.6282e-06,6.1750e-08,,,,,,,,,,,
Sam 8,7.98327e-08,1.18875e-02,4.2102e-03,4.8767e-05,4.6763e-06,5.9309e-08,,,,,,           -4.6317,            5.3607,            0.1198,           10.5665,          -34.4196,           -8.0048,           -0.5551,           -0.3577,           -0.1817,          -39.7937,
Ref 9,7.68955e-08,,,,,,1.1943e-02,4.1877e-03,4.8763e-05,4.6266e-06,6.1089e-08,,,,,,,,,,,
Sam 9,7.81909e-08,1.18873e-02,4.2101e-03,4.8767e-05,4.6760e-06,5.9901e-08,,,,,,           -4.6441,            5.3488,            0.0973,           10.5303,          -23.3976,           -8.0175,           -0.5669,           -0.3558,           -0.1938,          -28.7976,
Ref 10,7.51598e-08,,,,,,1.1943e-02,4.1877e-03,4.8762e-05,4.6279e-06,6.1588e-08,,,,,,,,,,,
Sam 10,7.65602e-08,1.18873e-02,4.2101e-03,4.8765e-05,4.6761e-06,5.9215e-08,,,,,,           -4.6396,            5.3435,            0.0738,           10.4910,          -42.0821,           -8.0126,           -0.5721,           -0.3787,           -0.2223,          -47.3736,
Ref 11,7.35013e-08,,,,,,1.1943e-02,4.1877e-03,4.8761e-05,4.6272e-06,6.2049e-08,,,,,,,,,,,
Sam 11,7.49586e-08,1.18874e-02,4.2101e-03,4.8763e-05,4.6756e-06,5.9337e-08,,,,,,           -4.6284,            5.3512,            0.0095,           10.3548,          -30.6335,           -8.0009,           -0.5645,           -0.4621,           -0.3723,          -36.0142,
Ref 12,7.18673e-08,,,,,,1.1943e-02,4.1877e-03,4.8764e-05,4.6282e-06,6.0357e-08,,,,,,,,,,,
Sam 12,7.34491e-08,1.18872e-02,4.2101e-03,4.8765e-05,4.6773e-06,5.9490e-08,,,,,,           -4.6428,            5.3466,            0.0544,           10.6353,          -28.0043,           -8.0161,           -0.5691,           -0.3978,           -0.0856,          -33.3760,
Ref 13,7.02686e-08,,,,,,1.1943e-02,4.1878e-03,4.8761e-05,4.6280e-06,6.2071e-08,,,,,,,,,,,
Sam 13,7.19411e-08,1.18871e-02,4.2100e-03,4.8766e-05,4.6753e-06,6.0494e-08,,,,,,           -4.6422,            5.3379,            0.0741,           10.3367,          -19.3826,           -8.0152,           -0.5777,           -0.3702,           -0.3638,          -24.7859,
Ref 14,6.87668e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6269e-06,6.1299e-08,,,,,,,,,,,
Sam 14,7.04729e-08,1.18872e-02,4.2101e-03,4.8765e-05,4.6776e-06,6.0437e-08,,,,,,           -4.6276,            5.3636,            0.0649,           10.9225,          -17.4064,           -8.0005,           -0.5522,           -0.4197,            0.1648,          -22.8850,
Ref 15,6.72894e-08,,,,,,1.1943e-02,4.1877e-03,4.8761e-05,4.6272e-06,6.1720e-08,,,,,,,,,,,
Sam 15,6.90163e-08,1.18873e-02,4.2102e-03,4.8764e-05,4.6766e-06,6.0285e-08,,,,,,           -4.6221,            5.3676,            0.0594,           10.7628,          -16.9888,           -7.9949,           -0.5482,           -0.4348,           -0.0013,          -22.4831,
Ref 16,6.58439e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6264e-06,6.0925e-08,,,,,,,,,,,
Sam 16,6.76675e-08,1.18872e-02,4.2101e-03,4.8770e-05,4.6745e-06,5.9510e-08,,,,,,           -4.6216,            5.3544,            0.0822,           10.4003,          -28.1216,           -7.9938,           -0.5614,           -0.3996,           -0.3336,          -33.5292,
Ref 17,6.44557e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6264e-06,6.1546e-08,,,,,,,,,,,
Sam 17,6.62881e-08,1.18872e-02,4.2102e-03,4.8765e-05,4.6763e-06,5.9564e-08,,,,,,           -4.6125,            5.3809,           -0.0063,           10.5205,          -28.3400,           -7.9850,           -0.5350,           -0.5234,           -0.2675,          -33.8061,
Ref 18,6.31060e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6289e-06,6.1052e-08,,,,,,,,,,,
Sam 18,6.50104e-08,1.18871e-02,4.2101e-03,4.8765e-05,4.6763e-06,6.0248e-08,,,,,,           -4.6245,            5.3549,            0.1039,           10.4172,          -17.1176,           -7.9969,           -0.5608,           -0.3754,           -0.3180,          -22.5845,
Ref 19,6.17836e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6272e-06,6.1548e-08,,,,,,,,,,,
Sam 19,6.36736e-08,1.18870e-02,4.2101e-03,4.8768e-05,4.6755e-06,5.9738e-08,,,,,,           -4.6367,            5.3560,            0.2080,           10.3132,          -32.3761,           -8.0100,           -0.5598,           -0.2597,           -0.4229,          -37.7475,
Ref 20,6.04471e-08,,,,,,1.1942e-02,4.1878e-03,4.8756e-05,4.6283e-06,6.1930e-08,,,,,,,,,,,
Sam 20,6.24681e-08,1.18868e-02,4.2100e-03,4.8767e-05,4.6769e-06,5.8461e-08,,,,,,           -4.6427,            5.3390,            0.1877,           10.4697,          -50.9122,           -8.0158,           -0.5766,           -0.2572,           -0.2344,          -56.1433,
Ref 21,5.92749e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6286e-06,6.1257e-08,,,,,,,,,,,


Ref 1,5.86724e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6278e-06,6.0527e-08,,,,,,,,,,,
Sam 1,6.06083e-08,1.18869e-02,4.2101e-03,4.8769e-05,4.6735e-06,5.9697e-08,,,,,,           -4.6216,            5.3645,            0.1685,            9.6969,          -17.8176,           -7.9941,           -0.5513,           -0.3233,           -1.0497,          -23.3020,
Ref 2,5.74689e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6295e-06,6.1038e-08,,,,,,,,,,,
Sam 2,5.94555e-08,1.18869e-02,4.2100e-03,4.8762e-05,4.6751e-06,6.0301e-08,,,,,,           -4.6248,            5.3467,            0.0179,            9.9983,          -25.6436,           -7.9969,           -0.5690,           -0.4530,           -0.7161,          -31.0472,
Ref 3,5.63385e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6281e-06,6.2755e-08,,,,,,,,,,,
Sam 3,5.83133e-08,1.18867e-02,4.2100e-03,4.8767e-05,4.6762e-06,5.9839e-08,,,,,,           -4.6410,            5.3238,            0.0939,           10.3105,          -53.9791,           -8.0134,           -0.5918,           -0.3379,           -0.3616,          -59.1671,
Ref 4,5.52026e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6289e-06,6.3761e-08,,,,,,,,,,,
Sam 4,5.71931e-08,1.18866e-02,4.2100e-03,4.8768e-05,4.6775e-06,5.8994e-08,,,,,,           -4.6488,            5.3224,            0.1389,           10.4526,          -53.7571,           -8.0217,           -0.5931,           -0.2835,           -0.2183,          -58.9359,
Ref 5,5.40871e-08,,,,,,1.1942e-02,4.1877e-03,4.8759e-05,4.6293e-06,6.0901e-08,,,,,,,,,,,
Sam 5,5.60930e-08,1.18868e-02,4.2100e-03,4.8764e-05,4.6781e-06,6.0090e-08,,,,,,           -4.6291,            5.3408,            0.0906,           10.7009,          -29.2018,           -8.0013,           -0.5748,           -0.3702,           -0.0092,          -34.5702,
Ref 6,5.30375e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6278e-06,6.2915e-08,,,,,,,,,,,
Sam 6,5.50394e-08,1.18866e-02,4.2100e-03,4.8768e-05,4.6753e-06,5.9879e-08,,,,,,           -4.6377,            5.3303,            0.1172,           10.1214,          -44.7362,           -8.0101,           -0.5853,           -0.3243,           -0.5617,          -49.9903,
Ref 7,5.19714e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6292e-06,6.2447e-08,,,,,,,,,,,
Sam 7,5.39832e-08,1.18867e-02,4.2100e-03,4.8771e-05,4.6769e-06,5.9640e-08,,,,,,           -4.6273,            5.3343,            0.0974,           10.3844,          -46.2010,           -7.9992,           -0.5813,           -0.3588,           -0.3094,          -51.4650,
Ref 8,5.09724e-08,,,,,,1.1942e-02,4.1876e-03,4.8769e-05,4.6285e-06,6.2612e-08,,,,,,,,,,,
Sam 8,5.29969e-08,1.18865e-02,4.2099e-03,4.8765e-05,4.6758e-06,6.1333e-08,,,,,,           -4.6377,            5.3234,           -0.0167,           10.3826,          -21.5648,           -8.0099,           -0.5921,           -0.4515,           -0.2895,          -26.9333,
Ref 9,5.00085e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6270e-06,6.2760e-08,,,,,,,,,,,
Sam 9,5.19820e-08,1.18865e-02,4.2100e-03,4.8771e-05,4.6761e-06,6.0498e-08,,,,,,           -4.6278,            5.3484,            0.2090,           10.5086,          -25.9080,           -8.0002,           -0.5673,           -0.2606,           -0.2146,          -31.3103,
Ref 10,4.90708e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6279e-06,6.1441e-08,,,,,,,,,,,
Sam 10,5.10387e-08,1.18865e-02,4.2100e-03,4.8765e-05,4.6773e-06,5.9388e-08,,,,,,           -4.6268,            5.3501,            0.0996,           10.4053,          -34.2024,           -7.9992,           -0.5656,           -0.3726,           -0.3203,          -39.5630,
Ref 11,4.81426e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6305e-06,6.1542e-08,,,,,,,,,,,
Sam 11,5.00954e-08,1.18865e-02,4.2099e-03,4.8767e-05,4.6782e-06,6.1288e-08,,,,,,           -4.6231,            5.3377,            0.0924,           10.5870,           -9.7132,           -7.9948,           -0.5780,           -0.3715,           -0.1157,          -15.1896,
Ref 12,4.72264e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6280e-06,6.2243e-08,,,,,,,,,,,
Sam 12,4.91887e-08,1.18865e-02,4.2099e-03,4.8767e-05,4.6778e-06,5.8790e-08,,,,,,           -4.6274,            5.3275,            0.1055,           10.7923,          -62.3850,           -7.9991,           -0.5882,           -0.3439,            0.1078,          -67.5470,
Ref 13,4.63485e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6278e-06,6.3168e-08,,,,,,,,,,,
Sam 13,4.82928e-08,1.18865e-02,4.2099e-03,4.8760e-05,4.6758e-06,5.9721e-08,,,,,,           -4.6232,            5.3373,           -0.0670,           10.4589,          -59.0694,           -7.9949,           -0.5784,           -0.5303,           -0.2416,          -64.2720,
Ref 14,4.54927e-08,,,,,,1.1942e-02,4.1876e-03,4.8767e-05,4.6269e-06,6.3778e-08,,,,,,,,,,,
Sam 14,4.74283e-08,1.18863e-02,4.2098e-03,4.8767e-05,4.6760e-06,6.0859e-08,,,,,,           -4.6326,            5.3204,            0.0041,           10.4522,          -48.9089,           -8.0043,           -0.5951,           -0.4331,           -0.2148,          -54.1270,
Ref 15,4.46549e-08,,,,,,1.1942e-02,4.1876e-03,4.8768e-05,4.6283e-06,6.4202e-08,,,,,,,,,,,
Sam 15,4.65735e-08,1.18862e-02,4.2099e-03,4.8765e-05,4.6739e-06,5.9365e-08,,,,,,           -4.6404,            5.3296,           -0.0084,            9.7751,          -79.7271,           -8.0130,           -0.5860,           -0.4463,           -0.9029,          -84.7848,
Ref 16,4.38433e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6291e-06,6.4819e-08,,,,,,,,,,,
Sam 16,4.57171e-08,1.18863e-02,4.2100e-03,4.8763e-05,4.6762e-06,6.2206e-08,,,,,,           -4.6249,            5.3600,            0.0129,            9.9866,          -41.4294,           -7.9976,           -0.5558,           -0.4709,           -0.7541,          -46.7700,
Ref 17,4.30726e-08,,,,,,1.1942e-02,4.1875e-03,4.8762e-05,4.6308e-06,6.4970e-08,,,,,,,,,,,
Sam 17,4.48791e-08,1.18862e-02,4.2099e-03,4.8769e-05,4.6744e-06,6.0546e-08,,,,,,           -4.6335,            5.3366,            0.1316,            9.7132,          -61.1387,           -8.0058,           -0.5791,           -0.3205,           -0.9780,          -66.3183,
Ref 18,4.22904e-08,,,,,,1.1942e-02,4.1876e-03,4.8764e-05,4.6280e-06,6.3999e-08,,,,,,,,,,,
Sam 18,4.41109e-08,1.18861e-02,4.2098e-03,4.8765e-05,4.6767e-06,6.2245e-08,,,,,,           -4.6455,            5.3164,           -0.0185,           10.5398,          -45.1756,           -8.0179,           -0.5991,           -0.4384,           -0.1201,          -50.3936,
Ref 19,4.15209e-08,,,,,,1.1942e-02,4.1876e-03,4.8767e-05,4.6278e-06,6.6404e-08,,,,,,,,,,,
Sam 19,4.33110e-08,1.18863e-02,4.2099e-03,4.8764e-05,4.6757e-06,6.1921e-08,,,,,,           -4.6281,            5.3344,           -0.0859,           10.2792,          -45.5212,           -8.0001,           -0.5812,           -0.5413,           -0.4137,          -50.7884,
Ref 20,4.07831e-08,,,,,,1.1942e-02,4.1876e-03,4.8768e-05,4.6285e-06,6.3317e-08,,,,,,,,,,,
Sam 20,4.25344e-08,1.18863e-02,4.2099e-03,4.8771e-05,4.6768e-06,6.0714e-08,,,,,,           -4.6224,            5.3349,            0.0720,           10.1282,          -59.0773,           -7.9940,           -0.5808,           -0.3898,           -0.5640,          -64.2761,
Ref 21,4.00609e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6313e-06,6.5757e-08,,,,,,,,,,,


Ref 1,3.96778e-08,,,,,,1.1942e-02,4.1877e-03,4.8759e-05,4.6270e-06,6.3783e-08,,,,,,,,,,,
Sam 1,4.14279e-08,1.18863e-02,4.2099e-03,4.8768e-05,4.6755e-06,6.1036e-08,,,,,,           -4.6395,            5.3153,            0.0317,           10.3614,          -49.5483,           -8.0115,           -0.6002,           -0.3932,           -0.2943,          -54.7464,
Ref 2,3.89725e-08,,,,,,1.1942e-02,4.1876e-03,4.8775e-05,4.6280e-06,6.4662e-08,,,,,,,,,,,
Sam 2,4.06725e-08,1.18861e-02,4.2099e-03,4.8769e-05,4.6771e-06,6.0416e-08,,,,,,           -4.6468,            5.3177,           -0.0155,           10.5956,          -64.2654,           -8.0193,           -0.5978,           -0.4354,           -0.0675,          -69.3802,
Ref 3,3.82969e-08,,,,,,1.1942e-02,4.1877e-03,4.8764e-05,4.6282e-06,6.4467e-08,,,,,,,,,,,
Sam 3,3.99610e-08,1.18861e-02,4.2099e-03,4.8762e-05,4.6749e-06,6.0932e-08,,,,,,           -4.6333,            5.3145,           -0.1125,            9.8750,          -44.4852,           -8.0049,           -0.6010,           -0.5432,           -0.7741,          -49.7159,
Ref 4,3.76296e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6302e-06,6.3058e-08,,,,,,,,,,,
Sam 4,3.92495e-08,1.18861e-02,4.2099e-03,4.8781e-05,4.6787e-06,6.0246e-08,,,,,,           -4.6350,            5.3240,            0.1655,           10.6225,          -48.1160,           -8.0070,           -0.5916,           -0.2728,           -0.0533,          -53.3425,
Ref 5,3.69849e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6288e-06,6.3529e-08,,,,,,,,,,,
Sam 5,3.85836e-08,1.18861e-02,4.2099e-03,4.8772e-05,4.6740e-06,5.9882e-08,,,,,,           -4.6368,            5.3051,            0.0457,           10.2118,          -63.0671,           -8.0083,           -0.6104,           -0.3721,           -0.4222,          -68.1754,
Ref 6,3.63480e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6248e-06,6.4303e-08,,,,,,,,,,,
Sam 6,3.79239e-08,1.18861e-02,4.2099e-03,4.8768e-05,4.6767e-06,6.0471e-08,,,,,,           -4.6332,            5.3130,            0.0340,           10.8354,          -56.1248,           -8.0047,           -0.6025,           -0.3953,            0.1792,          -61.2890,
Ref 7,3.57118e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6284e-06,6.3826e-08,,,,,,,,,,,
Sam 7,3.72629e-08,1.18862e-02,4.2099e-03,4.8776e-05,4.6751e-06,6.1654e-08,,,,,,           -4.6300,            5.3179,            0.1460,           10.0513,          -34.7465,           -8.0015,           -0.5977,           -0.2914,           -0.6063,          -40.0401,
Ref 8,3.51075e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6288e-06,6.3921e-08,,,,,,,,,,,
Sam 8,3.66281e-08,1.18860e-02,4.2099e-03,4.8769e-05,4.6762e-06,6.3640e-08,,,,,,           -4.6378,            5.3212,            0.0014,           10.1466,           -4.5771,           -8.0099,           -0.5944,           -0.4311,           -0.5186,          -10.0344,
Ref 9,3.45213e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6296e-06,6.3945e-08,,,,,,,,,,,
Sam 9,3.60041e-08,1.18859e-02,4.2099e-03,4.8766e-05,4.6773e-06,6.2399e-08,,,,,,           -4.6418,            5.3220,           -0.0207,           10.2767,          -30.9283,           -8.0142,           -0.5936,           -0.4498,           -0.3915,          -36.2385,
Ref 10,3.39379e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6298e-06,6.4844e-08,,,,,,,,,,,
Sam 10,3.53911e-08,1.18859e-02,4.2099e-03,4.8762e-05,4.6767e-06,6.3439e-08,,,,,,           -4.6326,            5.3303,           -0.1207,           10.4510,          -21.9030,           -8.0047,           -0.5853,           -0.5675,           -0.2356,          -27.2881,
Ref 11,3.33779e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6269e-06,6.4877e-08,,,,,,,,,,,
Sam 11,3.48042e-08,1.18859e-02,4.2099e-03,4.8770e-05,4.6755e-06,5.8786e-08,,,,,,           -4.6284,            5.3277,           -0.0124,           10.5000,          -89.2861,           -8.0001,           -0.5879,           -0.4610,           -0.1819,          -94.2995,
Ref 12,3.28412e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6270e-06,6.4216e-08,,,,,,,,,,,
Sam 12,3.42207e-08,1.18859e-02,4.2099e-03,4.8764e-05,4.6782e-06,6.0886e-08,,,,,,           -4.6270,            5.3408,           -0.1219,           10.9079,          -50.5982,           -7.9991,           -0.5749,           -0.5846,            0.1957,          -55.8502,
Ref 13,3.22960e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6284e-06,6.4043e-08,,,,,,,,,,,
Sam 13,3.36307e-08,1.18858e-02,4.2099e-03,4.8767e-05,4.6744e-06,5.8173e-08,,,,,,           -4.6266,            5.3412,           -0.0386,           10.2536,          -84.5722,           -7.9987,           -0.5745,           -0.5022,           -0.4526,          -89.6374,
Ref 14,3.17700e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6255e-06,6.3044e-08,,,,,,,,,,,
Sam 14,3.30775e-08,1.18858e-02,4.2098e-03,4.8763e-05,4.6796e-06,5.8762e-08,,,,,,           -4.6240,            5.3318,           -0.1598,           11.4728,          -81.7023,           -7.9956,           -0.5839,           -0.6169,            0.7725,          -86.7691,
Ref 15,3.12545e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6276e-06,6.4953e-08,,,,,,,,,,,
Sam 15,3.25323e-08,1.18859e-02,4.2099e-03,4.8772e-05,4.6767e-06,6.0863e-08,,,,,,           -4.6123,            5.3474,            0.0962,           10.5519,          -36.5245,           -7.9837,           -0.5683,           -0.3883,           -0.1698,          -41.8819,
Ref 16,3.07542e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6281e-06,6.1358e-08,,,,,,,,,,,
Sam 16,3.19978e-08,1.18859e-02,4.2099e-03,4.8772e-05,4.6777e-06,5.8007e-08,,,,,,           -4.6158,            5.3569,            0.1861,           10.6740,          -54.8784,           -7.9878,           -0.5589,           -0.3042,           -0.0678,          -60.1476,
Ref 17,3.02509e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6286e-06,6.1392e-08,,,,,,,,,,,
Sam 17,3.14691e-08,1.18860e-02,4.2099e-03,4.8770e-05,4.6778e-06,6.0743e-08,,,,,,           -4.6123,            5.3569,            0.1340,           10.8162,          -24.7783,           -7.9841,           -0.5589,           -0.3598,            0.0729,          -30.2189,
Ref 18,2.97700e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6269e-06,6.3195e-08,,,,,,,,,,,
Sam 18,3.09570e-08,1.18857e-02,4.2099e-03,4.8774e-05,4.6758e-06,6.0529e-08,,,,,,           -4.6306,            5.3366,            0.2100,           10.5116,          -71.6325,           -8.0028,           -0.5791,           -0.2451,           -0.1881,          -76.7570,
Ref 19,2.92997e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6275e-06,6.7236e-08,,,,,,,,,,,
Sam 19,3.04457e-08,1.18858e-02,4.2099e-03,4.8770e-05,4.6750e-06,6.2902e-08,,,,,,           -4.6203,            5.3364,            0.1074,           10.1801,          -48.7740,           -7.9918,           -0.5793,           -0.3581,           -0.5156,          -54.0348,
Ref 20,2.88381e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6283e-06,6.5001e-08,,,,,,,,,,,
Sam 20,2.99595e-08,1.18858e-02,4.2099e-03,4.8776e-05,4.6748e-06,6.2323e-08,,,,,,           -4.6303,            5.3376,            0.1945,            9.7373,          -52.0789,           -8.0025,           -0.5780,           -0.2619,           -0.9563,          -57.3136,
Ref 21,2.83792e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6312e-06,6.6506e-08,,,,,,,,,,,


