Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 21, 2018 at 05:45 with Stable 1.69.5 on PS019,Reanalyzed on Thursday, June 21, 2018 at 06:45 with Stable 1.69.5 on PS019

Data File = Data_6039 KG92 94.txt,        Sample Weight = 432,                      Vial Location = 38,                       Initial Sam Beam = 1.1056e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9889e-08,                Max Ref Beam = 1.0658e-07,                
Analysis undertaken at mass 46.0149
Analysis undertaken at mass 46.0149
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.99848e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6236e-06,6.2286e-08,,,,,,,,,,,
Sam 1,4.97905e-08,1.19636e-02,4.2259e-03,4.9266e-05,4.7108e-06,6.1146e-08,,,,,,            1.8327,            9.1708,           10.4050,           18.5658,          -25.9087,           -1.2567,            3.2225,           -0.5201,            0.1376,          -45.1070,
Ref 2,4.94689e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6263e-06,6.3264e-08,,,,,,,,,,,
Sam 2,4.92791e-08,1.19639e-02,4.2261e-03,4.9264e-05,4.7120e-06,6.2568e-08,,,,,,            1.8490,            9.1753,           10.3714,           18.3194,          -25.5715,           -1.2395,            3.2269,           -0.5745,           -0.1133,          -44.8013,
Ref 3,4.89306e-08,,,,,,1.1942e-02,4.1877e-03,4.8757e-05,4.6283e-06,6.5166e-08,,,,,,,,,,,
Sam 3,4.87623e-08,1.19637e-02,4.2260e-03,4.9268e-05,4.7135e-06,6.1317e-08,,,,,,            1.8337,            9.1597,           10.4267,           18.5783,          -53.4659,           -1.2552,            3.2114,           -0.4889,            0.1719,          -72.1020,
Ref 4,4.83760e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6268e-06,6.4390e-08,,,,,,,,,,,
Sam 4,4.82578e-08,1.19638e-02,4.2260e-03,4.9265e-05,4.7119e-06,6.2028e-08,,,,,,            1.8439,            9.1652,           10.3177,           18.0814,          -30.3183,           -1.2445,            3.2168,           -0.6126,           -0.3269,          -49.4305,
Ref 5,4.78745e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6297e-06,6.3541e-08,,,,,,,,,,,
Sam 5,4.77519e-08,1.19638e-02,4.2260e-03,4.9266e-05,4.7105e-06,6.2442e-08,,,,,,            1.8528,            9.1736,           10.3782,           17.6899,          -15.8591,           -1.2353,            3.2252,           -0.5702,           -0.7281,          -35.2814,
Ref 6,4.73405e-08,,,,,,1.1942e-02,4.1876e-03,4.8757e-05,4.6275e-06,6.3355e-08,,,,,,,,,,,
Sam 6,4.72657e-08,1.19638e-02,4.2261e-03,4.9268e-05,4.7125e-06,6.2767e-08,,,,,,            1.8563,            9.1851,           10.4627,           18.3303,          -26.0606,           -1.2320,            3.2366,           -0.5012,           -0.1219,          -45.3063,
Ref 7,4.68499e-08,,,,,,1.1942e-02,4.1876e-03,4.8759e-05,4.6279e-06,6.5549e-08,,,,,,,,,,,
Sam 7,4.67611e-08,1.19637e-02,4.2260e-03,4.9268e-05,4.7113e-06,6.1161e-08,,,,,,            1.8506,            9.1839,           10.4158,           18.0380,          -46.6120,           -1.2381,            3.2355,           -0.5406,           -0.4067,          -65.4439,
Ref 8,4.63325e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6278e-06,6.2738e-08,,,,,,,,,,,
Sam 8,4.63062e-08,1.19637e-02,4.2260e-03,4.9268e-05,4.7121e-06,6.0460e-08,,,,,,            1.8498,            9.1746,           10.4247,           18.2557,          -38.5298,           -1.2386,            3.2262,           -0.5219,           -0.1744,          -57.5033,
Ref 9,4.58311e-08,,,,,,1.1942e-02,4.1876e-03,4.8758e-05,4.6274e-06,6.3030e-08,,,,,,,,,,,
Sam 9,4.58048e-08,1.19636e-02,4.2261e-03,4.9264e-05,4.7127e-06,6.3207e-08,,,,,,            1.8440,            9.1948,           10.3279,           18.0247,            3.6134,           -1.2454,            3.2463,           -0.6315,           -0.4413,          -16.2246,
Ref 10,4.53457e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6311e-06,6.2928e-08,,,,,,,,,,,
Sam 10,4.53585e-08,1.19636e-02,4.2260e-03,4.9269e-05,4.7122e-06,6.1743e-08,,,,,,            1.8381,            9.1741,           10.4238,           17.8174,          -14.5079,           -1.2510,            3.2258,           -0.5104,           -0.6039,          -33.9427,
Ref 11,4.48458e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6283e-06,6.2374e-08,,,,,,,,,,,
Sam 11,4.48950e-08,1.19636e-02,4.2260e-03,4.9267e-05,4.7096e-06,6.0668e-08,,,,,,            1.8399,            9.1773,           10.3545,           17.4728,          -38.3969,           -1.2492,            3.2289,           -0.5838,           -0.9484,          -57.3682,
Ref 12,4.43621e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6292e-06,6.3815e-08,,,,,,,,,,,
Sam 12,4.44360e-08,1.19635e-02,4.2260e-03,4.9268e-05,4.7131e-06,6.0108e-08,,,,,,            1.8345,            9.1562,           10.3632,           18.2836,          -55.1474,           -1.2542,            3.2080,           -0.5491,           -0.1107,          -73.7449,
Ref 13,4.38926e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6278e-06,6.3414e-08,,,,,,,,,,,
Sam 13,4.39835e-08,1.19636e-02,4.2261e-03,4.9268e-05,4.7113e-06,6.1027e-08,,,,,,            1.8393,            9.1730,           10.3647,           18.0158,          -26.6345,           -1.2497,            3.2246,           -0.5690,           -0.4068,          -45.8292,
Ref 14,4.34256e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6281e-06,6.1972e-08,,,,,,,,,,,
Sam 14,4.35326e-08,1.19636e-02,4.2261e-03,4.9269e-05,4.7117e-06,6.1536e-08,,,,,,            1.8393,            9.1747,           10.3808,           18.4523,          -14.2326,           -1.2497,            3.2263,           -0.5547,            0.0184,          -33.6751,
Ref 15,4.29676e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6246e-06,6.2882e-08,,,,,,,,,,,
Sam 15,4.31067e-08,1.19636e-02,4.2260e-03,4.9270e-05,4.7122e-06,6.1704e-08,,,,,,            1.8349,            9.1555,           10.4375,           18.1214,          -23.8060,           -1.2537,            3.2072,           -0.4755,           -0.2684,          -43.0194,
Ref 16,4.25202e-08,,,,,,1.1942e-02,4.1877e-03,4.8758e-05,4.6322e-06,6.3539e-08,,,,,,,,,,,
Sam 16,4.26590e-08,1.19637e-02,4.2261e-03,4.9269e-05,4.7139e-06,6.0587e-08,,,,,,            1.8410,            9.1760,           10.3547,           17.8822,          -44.5091,           -1.2479,            3.2276,           -0.5836,           -0.5440,          -63.3586,
Ref 17,4.20882e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6300e-06,6.3278e-08,,,,,,,,,,,
Sam 17,4.22358e-08,1.19638e-02,4.2261e-03,4.9271e-05,4.7124e-06,6.1025e-08,,,,,,            1.8536,            9.1729,           10.3268,           17.9172,          -39.7636,           -1.2345,            3.2245,           -0.6211,           -0.5035,          -58.7136,
Ref 18,4.16468e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6289e-06,6.3828e-08,,,,,,,,,,,
Sam 18,4.18058e-08,1.19635e-02,4.2260e-03,4.9265e-05,4.7126e-06,6.1524e-08,,,,,,            1.8435,            9.1643,           10.2804,           18.1362,          -35.2003,           -1.2449,            3.2160,           -0.6483,           -0.2715,          -54.2145,
Ref 19,4.12060e-08,,,,,,1.1942e-02,4.1876e-03,4.8765e-05,4.6284e-06,6.3709e-08,,,,,,,,,,,
Sam 19,4.13708e-08,1.19635e-02,4.2260e-03,4.9270e-05,4.7118e-06,6.1717e-08,,,,,,            1.8400,            9.1610,           10.4100,           18.0975,          -27.7346,           -1.2485,            3.2127,           -0.5132,           -0.3028,          -46.8860,
Ref 20,4.07760e-08,,,,,,1.1942e-02,4.1877e-03,4.8761e-05,4.6277e-06,6.3244e-08,,,,,,,,,,,
Sam 20,4.09565e-08,1.19637e-02,4.2261e-03,4.9276e-05,4.7134e-06,6.2656e-08,,,,,,            1.8543,            9.1722,           10.5210,           18.5382,          -24.1293,           -1.2337,            3.2238,           -0.4290,            0.1077,          -43.3872,
Ref 21,4.03275e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6275e-06,6.5176e-08,,,,,,,,,,,


Ref 1,4.01331e-08,,,,,,1.1942e-02,4.1876e-03,4.8768e-05,4.6282e-06,6.4235e-08,,,,,,,,,,,
Sam 1,4.03228e-08,1.19635e-02,4.2260e-03,4.9282e-05,4.7133e-06,6.3516e-08,,,,,,            1.8456,            9.1565,           10.5071,           18.3775,          -23.8548,           -1.2424,            3.2082,           -0.4186,           -0.0190,          -43.0800,
Ref 2,3.97237e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6282e-06,6.5910e-08,,,,,,,,,,,
Sam 2,3.99058e-08,1.19636e-02,4.2261e-03,4.9274e-05,4.7119e-06,6.2451e-08,,,,,,            1.8511,            9.1766,           10.4098,           17.9982,          -53.4718,           -1.2372,            3.2282,           -0.5400,           -0.4312,          -72.1555,
Ref 3,3.93190e-08,,,,,,1.1942e-02,4.1877e-03,4.8761e-05,4.6290e-06,6.6047e-08,,,,,,,,,,,
Sam 3,3.95153e-08,1.19635e-02,4.2260e-03,4.9277e-05,4.7134e-06,6.5154e-08,,,,,,            1.8384,            9.1559,           10.5895,           18.1939,          -19.6285,           -1.2500,            3.2077,           -0.3291,           -0.1982,          -38.9285,
Ref 4,3.89003e-08,,,,,,1.1942e-02,4.1876e-03,4.8760e-05,4.6294e-06,6.6873e-08,,,,,,,,,,,
Sam 4,3.91244e-08,1.19636e-02,4.2261e-03,4.9266e-05,4.7104e-06,6.3753e-08,,,,,,            1.8401,            9.1737,           10.2655,           17.6948,          -41.2146,           -1.2488,            3.2253,           -0.6686,           -0.7234,          -60.1240,
Ref 5,3.85034e-08,,,,,,1.1942e-02,4.1876e-03,4.8771e-05,4.6275e-06,6.6109e-08,,,,,,,,,,,
Sam 5,3.87385e-08,1.19636e-02,4.2261e-03,4.9276e-05,4.7114e-06,6.6340e-08,,,,,,            1.8389,            9.1649,           10.4305,           17.9283,          -10.8655,           -1.2498,            3.2166,           -0.4956,           -0.4767,          -30.3556,
Ref 6,3.80998e-08,,,,,,1.1942e-02,4.1878e-03,4.8764e-05,4.6293e-06,6.8039e-08,,,,,,,,,,,
Sam 6,3.83579e-08,1.19634e-02,4.2260e-03,4.9278e-05,4.7115e-06,6.3367e-08,,,,,,            1.8242,            9.1448,           10.5212,           17.6948,          -53.1388,           -1.2648,            3.1966,           -0.3712,           -0.6662,          -71.7451,
Ref 7,3.77323e-08,,,,,,1.1942e-02,4.1877e-03,4.8766e-05,4.6299e-06,6.5797e-08,,,,,,,,,,,
Sam 7,3.79710e-08,1.19636e-02,4.2261e-03,4.9276e-05,4.7101e-06,6.2374e-08,,,,,,            1.8411,            9.1437,           10.4373,           17.3816,          -53.1558,           -1.2467,            3.1955,           -0.4705,           -0.9716,          -71.7764,
Ref 8,3.73299e-08,,,,,,1.1942e-02,4.1878e-03,4.8768e-05,4.6294e-06,6.5955e-08,,,,,,,,,,,
Sam 8,3.75866e-08,1.19635e-02,4.2261e-03,4.9272e-05,4.7119e-06,6.3583e-08,,,,,,            1.8311,            9.1425,           10.3852,           17.9854,          -32.6993,           -1.2574,            3.1943,           -0.5105,           -0.3763,          -51.7099,
Ref 9,3.69576e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6278e-06,6.5507e-08,,,,,,,,,,,
Sam 9,3.71961e-08,1.19636e-02,4.2261e-03,4.9281e-05,4.7137e-06,6.4966e-08,,,,,,            1.8486,            9.1572,           10.5067,           18.4470,          -25.7167,           -1.2392,            3.2089,           -0.4227,            0.0478,          -44.9097,
Ref 10,3.65941e-08,,,,,,1.1942e-02,4.1877e-03,4.8774e-05,4.6289e-06,6.7868e-08,,,,,,,,,,,
Sam 10,3.68495e-08,1.19635e-02,4.2261e-03,4.9276e-05,4.7122e-06,6.2685e-08,,,,,,            1.8380,            9.1603,           10.3528,           17.9693,          -57.0569,           -1.2505,            3.2120,           -0.5671,           -0.4274,          -75.6277,
Ref 11,3.62218e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6292e-06,6.5075e-08,,,,,,,,,,,
Sam 11,3.64751e-08,1.19635e-02,4.2261e-03,4.9279e-05,4.7125e-06,6.2927e-08,,,,,,            1.8392,            9.1668,           10.4935,           17.9250,          -42.9116,           -1.2495,            3.2185,           -0.4355,           -0.4837,          -61.7740,
Ref 12,3.58716e-08,,,,,,1.1942e-02,4.1878e-03,4.8767e-05,4.6298e-06,6.6428e-08,,,,,,,,,,,
Sam 12,3.61295e-08,1.19635e-02,4.2261e-03,4.9272e-05,4.7161e-06,6.1890e-08,,,,,,            1.8349,            9.1666,           10.3567,           18.6434,          -46.2329,           -1.2541,            3.2183,           -0.5662,            0.2221,          -65.0252,
Ref 13,3.55185e-08,,,,,,1.1942e-02,4.1878e-03,4.8768e-05,4.6296e-06,6.3338e-08,,,,,,,,,,,
Sam 13,3.57830e-08,1.19636e-02,4.2261e-03,4.9275e-05,4.7117e-06,6.3564e-08,,,,,,            1.8461,            9.1547,           10.3629,           17.4468,          -13.9070,           -1.2417,            3.2064,           -0.5600,           -0.9294,          -33.3253,
Ref 14,3.51744e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6322e-06,6.5594e-08,,,,,,,,,,,
Sam 14,3.54255e-08,1.19635e-02,4.2261e-03,4.9272e-05,4.7127e-06,6.1465e-08,,,,,,            1.8373,            9.1607,           10.2938,           17.8806,          -48.7319,           -1.2514,            3.2125,           -0.6251,           -0.5153,          -67.4667,
Ref 15,3.48143e-08,,,,,,1.1942e-02,4.1877e-03,4.8768e-05,4.6276e-06,6.3622e-08,,,,,,,,,,,
Sam 15,3.50844e-08,1.19635e-02,4.2261e-03,4.9270e-05,4.7117e-06,6.2363e-08,,,,,,            1.8384,            9.1692,           10.3128,           18.1247,          -31.5763,           -1.2505,            3.2208,           -0.6157,           -0.2923,          -50.6656,
Ref 16,3.44884e-08,,,,,,1.1941e-02,4.1877e-03,4.8766e-05,4.6282e-06,6.5178e-08,,,,,,,,,,,
Sam 16,3.47473e-08,1.19634e-02,4.2261e-03,4.9265e-05,4.7140e-06,6.4327e-08,,,,,,            1.8423,            9.1696,           10.2294,           18.4245,           -6.4136,           -1.2463,            3.2212,           -0.7026,            0.0013,          -26.0038,
Ref 17,3.41516e-08,,,,,,1.1941e-02,4.1877e-03,4.8767e-05,4.6292e-06,6.4302e-08,,,,,,,,,,,
Sam 17,3.43920e-08,1.19634e-02,4.2260e-03,4.9270e-05,4.7125e-06,6.3354e-08,,,,,,            1.8426,            9.1575,           10.2121,           17.8146,          -23.0591,           -1.2456,            3.2093,           -0.7083,           -0.5738,          -42.2988,
Ref 18,3.38044e-08,,,,,,1.1941e-02,4.1877e-03,4.8777e-05,4.6308e-06,6.5401e-08,,,,,,,,,,,
Sam 18,3.40559e-08,1.19633e-02,4.2261e-03,4.9275e-05,4.7127e-06,6.3238e-08,,,,,,            1.8372,            9.1727,           10.3284,           18.2649,          -46.1440,           -1.2518,            3.2244,           -0.6025,           -0.1616,          -64.9515,
Ref 19,3.34812e-08,,,,,,1.1941e-02,4.1877e-03,4.8765e-05,4.6254e-06,6.7202e-08,,,,,,,,,,,
Sam 19,3.37379e-08,1.19633e-02,4.2260e-03,4.9274e-05,4.7141e-06,6.4030e-08,,,,,,            1.8403,            9.1425,           10.4311,           19.0214,          -46.0622,           -1.2475,            3.1943,           -0.4746,            0.6411,          -64.8192,
Ref 20,3.31670e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6268e-06,6.7041e-08,,,,,,,,,,,
Sam 20,3.34092e-08,1.19633e-02,4.2260e-03,4.9276e-05,4.7147e-06,6.3660e-08,,,,,,            1.8416,            9.1610,           10.4690,           18.5469,          -45.2343,           -1.2468,            3.2127,           -0.4565,            0.1384,          -64.0427,
Ref 21,3.28441e-08,,,,,,1.1941e-02,4.1877e-03,4.8765e-05,4.6309e-06,6.6307e-08,,,,,,,,,,,


Ref 1,3.26845e-08,,,,,,1.1941e-02,4.1877e-03,4.8773e-05,4.6272e-06,6.5071e-08,,,,,,,,,,,
Sam 1,3.29389e-08,1.19632e-02,4.2260e-03,4.9273e-05,4.7130e-06,6.3168e-08,,,,,,            1.8352,            9.1425,           10.2698,           18.2605,          -29.0217,           -1.2529,            3.1943,           -0.6289,           -0.1061,          -48.1087,
Ref 2,3.23589e-08,,,,,,1.1941e-02,4.1878e-03,4.8771e-05,4.6297e-06,6.5041e-08,,,,,,,,,,,
Sam 2,3.26124e-08,1.19633e-02,4.2260e-03,4.9275e-05,4.7131e-06,6.4880e-08,,,,,,            1.8458,            9.1508,           10.3594,           18.2116,          -14.8261,           -1.2420,            3.2026,           -0.5593,           -0.1707,          -34.2186,
Ref 3,3.20619e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6279e-06,6.6681e-08,,,,,,,,,,,
Sam 3,3.23051e-08,1.19634e-02,4.2260e-03,4.9276e-05,4.7136e-06,6.4286e-08,,,,,,            1.8532,            9.1555,           10.4059,           18.4971,          -22.8147,           -1.2343,            3.2072,           -0.5255,            0.1005,          -42.0662,
Ref 4,3.17619e-08,,,,,,1.1941e-02,4.1877e-03,4.8767e-05,4.6281e-06,6.4884e-08,,,,,,,,,,,
Sam 4,3.20059e-08,1.19632e-02,4.2260e-03,4.9272e-05,4.7133e-06,6.5529e-08,,,,,,            1.8291,            9.1628,           10.3572,           18.1595,            4.0140,           -1.2602,            3.2145,           -0.5560,           -0.2454,          -15.7549,
Ref 5,3.14576e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6305e-06,6.5654e-08,,,,,,,,,,,
Sam 5,3.16980e-08,1.19632e-02,4.2260e-03,4.9283e-05,4.7112e-06,6.4259e-08,,,,,,            1.8422,            9.1579,           10.5769,           17.3756,          -23.2424,           -1.2461,            3.2096,           -0.3474,           -1.0057,          -42.4789,
Ref 6,3.11527e-08,,,,,,1.1941e-02,4.1877e-03,4.8768e-05,4.6311e-06,6.5923e-08,,,,,,,,,,,
Sam 6,3.13919e-08,1.19632e-02,4.2260e-03,4.9268e-05,4.7104e-06,6.3199e-08,,,,,,            1.8431,            9.1571,           10.2480,           17.2590,          -57.0663,           -1.2450,            3.2088,           -0.6728,           -1.1184,          -75.6360,
Ref 7,3.08603e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6299e-06,6.8135e-08,,,,,,,,,,,
Sam 7,3.11014e-08,1.19632e-02,4.2260e-03,4.9272e-05,4.7154e-06,6.5399e-08,,,,,,            1.8396,            9.1725,           10.2586,           18.5864,          -22.7983,           -1.2493,            3.2241,           -0.6738,            0.1545,          -42.0681,
Ref 8,3.05816e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6289e-06,6.5704e-08,,,,,,,,,,,
Sam 8,3.08098e-08,1.19632e-02,4.2259e-03,4.9277e-05,4.7114e-06,6.4051e-08,,,,,,            1.8461,            9.1542,           10.3142,           17.8598,          -37.0131,           -1.2418,            3.2060,           -0.6076,           -0.5228,          -55.9755,
Ref 9,3.02949e-08,,,,,,1.1941e-02,4.1876e-03,4.8773e-05,4.6287e-06,6.7329e-08,,,,,,,,,,,
Sam 9,3.05238e-08,1.19631e-02,4.2260e-03,4.9272e-05,4.7144e-06,6.2981e-08,,,,,,            1.8399,            9.1592,           10.2307,           18.5936,          -60.8053,           -1.2485,            3.2109,           -0.6887,            0.1879,          -79.3020,
Ref 10,3.00113e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6280e-06,6.6786e-08,,,,,,,,,,,
Sam 10,3.02266e-08,1.19632e-02,4.2261e-03,4.9273e-05,4.7112e-06,6.4535e-08,,,,,,            1.8372,            9.1725,           10.3113,           18.0377,          -34.5833,           -1.2518,            3.2242,           -0.6192,           -0.3843,          -53.6184,
Ref 11,2.97315e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6273e-06,6.6909e-08,,,,,,,,,,,
Sam 11,2.99412e-08,1.19632e-02,4.2260e-03,4.9276e-05,4.7141e-06,6.3747e-08,,,,,,            1.8436,            9.1503,           10.3348,           18.5404,          -45.1783,           -1.2443,            3.2020,           -0.5809,            0.1533,          -63.9702,
Ref 12,2.94569e-08,,,,,,1.1941e-02,4.1876e-03,4.8778e-05,4.6293e-06,6.6616e-08,,,,,,,,,,,
Sam 12,2.96617e-08,1.19631e-02,4.2259e-03,4.9275e-05,4.7137e-06,6.3407e-08,,,,,,            1.8335,            9.1354,           10.2548,           17.7077,          -47.0207,           -1.2545,            3.1872,           -0.6350,           -0.6349,          -65.7392,
Ref 13,2.91815e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6340e-06,6.6454e-08,,,,,,,,,,,
Sam 13,2.93783e-08,1.19630e-02,4.2260e-03,4.9276e-05,4.7145e-06,6.1663e-08,,,,,,            1.8351,            9.1654,           10.4148,           17.7064,          -83.7493,           -1.2539,            3.2171,           -0.5077,           -0.6956,         -101.8004,
Ref 14,2.89215e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6309e-06,6.8152e-08,,,,,,,,,,,
Sam 14,2.91188e-08,1.19631e-02,4.2259e-03,4.9272e-05,4.7129e-06,6.5769e-08,,,,,,            1.8493,            9.1534,           10.3655,           18.0268,          -57.3304,           -1.2383,            3.2051,           -0.5594,           -0.3572,          -75.8944,
Ref 15,2.86531e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6280e-06,7.1400e-08,,,,,,,,,,,
Sam 15,2.88513e-08,1.19630e-02,4.2259e-03,4.9275e-05,4.7117e-06,6.4438e-08,,,,,,            1.8448,            9.1467,           10.3715,           17.8727,          -70.9798,           -1.2429,            3.1984,           -0.5422,           -0.4952,          -89.2587,
Ref 16,2.83904e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6300e-06,6.7305e-08,,,,,,,,,,,
Sam 16,2.85705e-08,1.19630e-02,4.2258e-03,4.9274e-05,4.7141e-06,6.3401e-08,,,,,,            1.8469,            9.1420,           10.3381,           18.1488,          -67.0645,           -1.2405,            3.1937,           -0.5728,           -0.2147,          -85.4140,
Ref 17,2.81366e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6301e-06,6.8617e-08,,,,,,,,,,,
Sam 17,2.83063e-08,1.19629e-02,4.2259e-03,4.9277e-05,4.7114e-06,6.2009e-08,,,,,,            1.8468,            9.1667,           10.3446,           17.8896,          -99.3174,           -1.2414,            3.2184,           -0.5905,           -0.5183,         -117.0751,
Ref 18,2.78792e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6270e-06,6.9078e-08,,,,,,,,,,,
Sam 18,2.80428e-08,1.19631e-02,4.2259e-03,4.9271e-05,4.7135e-06,6.4740e-08,,,,,,            1.8595,            9.1639,           10.1961,           18.5652,          -69.5073,           -1.2278,            3.2155,           -0.7477,            0.1507,          -87.8600,
Ref 19,2.76286e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6282e-06,7.0080e-08,,,,,,,,,,,
Sam 19,2.77834e-08,1.19629e-02,4.2258e-03,4.9276e-05,4.7118e-06,6.5976e-08,,,,,,            1.8443,            9.1601,           10.3921,           18.0443,          -45.2765,           -1.2439,            3.2118,           -0.5344,           -0.3534,          -64.0852,
Ref 20,2.73889e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6285e-06,6.8121e-08,,,,,,,,,,,
Sam 20,2.75385e-08,1.19628e-02,4.2257e-03,4.9271e-05,4.7137e-06,6.6809e-08,,,,,,            1.8345,            9.1195,           10.2980,           18.3625,          -22.7750,           -1.2529,            3.1714,           -0.5780,            0.0396,          -41.9412,
Ref 21,2.71242e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6288e-06,6.8614e-08,,,,,,,,,,,


