Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 21, 2018 at 09:52 with Stable 1.69.5 on PS019,Reanalyzed on Thursday, June 21, 2018 at 10:52 with Stable 1.69.5 on PS019

Data File = Data_6042 88WI 68B.txt,       Sample Weight = 432,                      Vial Location = 41,                       Initial Sam Beam = 5.1376e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.8257e-08,                Max Ref Beam = 1.0611e-07,                
Analysis undertaken at mass 46.01239
Analysis undertaken at mass 46.01239
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.67760e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6262e-06,6.4333e-08,,,,,,,,,,,
Sam 1,4.65961e-08,1.20289e-02,4.2158e-03,4.9428e-05,4.6894e-06,6.2678e-08,,,,,,            7.3279,            6.7784,           13.5738,           13.3769,          -20.7104,            4.6744,            0.8296,           -0.6890,           -0.2227,          -41.1096,
Ref 2,4.59361e-08,,,,,,1.1942e-02,4.1875e-03,4.8768e-05,4.6288e-06,6.3669e-08,,,,,,,,,,,
Sam 2,4.57567e-08,1.20291e-02,4.2159e-03,4.9429e-05,4.6893e-06,6.2292e-08,,,,,,            7.3273,            6.7802,           13.5907,           13.2269,          -25.4606,            4.6737,            0.8314,           -0.6735,           -0.3743,          -45.7637,
Ref 3,4.50768e-08,,,,,,1.1942e-02,4.1876e-03,4.8765e-05,4.6273e-06,6.4176e-08,,,,,,,,,,,
Sam 3,4.49493e-08,1.20290e-02,4.2160e-03,4.9434e-05,4.6876e-06,6.3447e-08,,,,,,            7.3165,            6.7749,           13.7081,           12.9716,          -22.1885,            4.6624,            0.8262,           -0.5416,           -0.6157,          -42.5389,
Ref 4,4.42627e-08,,,,,,1.1942e-02,4.1876e-03,4.8767e-05,4.6278e-06,6.5611e-08,,,,,,,,,,,
Sam 4,4.41647e-08,1.20290e-02,4.2159e-03,4.9438e-05,4.6898e-06,6.1615e-08,,,,,,            7.3178,            6.7519,           13.7778,           13.5124,          -54.7097,            4.6646,            0.8033,           -0.4518,           -0.0366,          -74.3431,
Ref 5,4.34590e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6268e-06,6.4742e-08,,,,,,,,,,,
Sam 5,4.33901e-08,1.20290e-02,4.2159e-03,4.9433e-05,4.6898e-06,6.0955e-08,,,,,,            7.3137,            6.7673,           13.6424,           13.5360,          -43.6786,            4.6597,            0.8186,           -0.5961,           -0.0438,          -63.5652,
Ref 6,4.26755e-08,,,,,,1.1942e-02,4.1876e-03,4.8770e-05,4.6275e-06,6.2717e-08,,,,,,,,,,,
Sam 6,4.26207e-08,1.20289e-02,4.2160e-03,4.9436e-05,4.6891e-06,6.2362e-08,,,,,,            7.3171,            6.7789,           13.7135,           13.7006,          -15.0378,            4.6629,            0.8302,           -0.5408,            0.0955,          -35.5452,
Ref 7,4.18997e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6240e-06,6.3921e-08,,,,,,,,,,,
Sam 7,4.18688e-08,1.20288e-02,4.2159e-03,4.9434e-05,4.6907e-06,6.1269e-08,,,,,,            7.3217,            6.7492,           13.6730,           14.0297,          -32.5603,            4.6688,            0.8006,           -0.5563,            0.4793,          -52.6525,
Ref 8,4.11385e-08,,,,,,1.1941e-02,4.1877e-03,4.8769e-05,4.6277e-06,6.2731e-08,,,,,,,,,,,
Sam 8,4.11383e-08,1.20289e-02,4.2159e-03,4.9436e-05,4.6876e-06,5.9949e-08,,,,,,            7.3255,            6.7478,           13.6408,           12.6641,          -59.6657,            4.6729,            0.7992,           -0.5907,           -0.8653,          -79.1961,
Ref 9,4.04025e-08,,,,,,1.1941e-02,4.1877e-03,4.8773e-05,4.6303e-06,6.4794e-08,,,,,,,,,,,
Sam 9,4.03976e-08,1.20290e-02,4.2160e-03,4.9443e-05,4.6887e-06,6.3217e-08,,,,,,            7.3275,            6.7704,           13.7880,           12.6544,          -17.8622,            4.6742,            0.8217,           -0.4696,           -0.9197,          -38.3054,
Ref 10,3.96941e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6299e-06,6.3932e-08,,,,,,,,,,,
Sam 10,3.97270e-08,1.20289e-02,4.2159e-03,4.9434e-05,4.6892e-06,6.2493e-08,,,,,,            7.3147,            6.7542,           13.6765,           12.7264,          -14.1232,            4.6612,            0.8056,           -0.5507,           -0.8165,          -34.6006,
Ref 11,3.89792e-08,,,,,,1.1942e-02,4.1877e-03,4.8766e-05,4.6307e-06,6.2834e-08,,,,,,,,,,,
Sam 11,3.90441e-08,1.20288e-02,4.2159e-03,4.9436e-05,4.6908e-06,6.2423e-08,,,,,,            7.3005,            6.7334,           13.6950,           13.0228,           -8.2072,            4.6468,            0.7850,           -0.4976,           -0.4828,          -28.7535,
Ref 12,3.82778e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6302e-06,6.3046e-08,,,,,,,,,,,
Sam 12,3.83769e-08,1.20289e-02,4.2159e-03,4.9441e-05,4.6906e-06,6.3131e-08,,,,,,            7.3146,            6.7423,           13.7892,           13.4515,           -6.0553,            4.6615,            0.7938,           -0.4278,           -0.0775,          -26.6776,
Ref 13,3.76227e-08,,,,,,1.1942e-02,4.1877e-03,4.8766e-05,4.6265e-06,6.3992e-08,,,,,,,,,,,
Sam 13,3.77140e-08,1.20290e-02,4.2159e-03,4.9441e-05,4.6873e-06,6.3434e-08,,,,,,            7.3210,            6.7441,           13.8066,           12.9081,          -14.4591,            4.6682,            0.7955,           -0.4189,           -0.6171,          -34.9169,
Ref 14,3.69619e-08,,,,,,1.1942e-02,4.1877e-03,4.8770e-05,4.6286e-06,6.4744e-08,,,,,,,,,,,
Sam 14,3.70780e-08,1.20288e-02,4.2159e-03,4.9434e-05,4.6907e-06,6.1923e-08,,,,,,            7.3146,            6.7294,           13.5782,           13.7847,          -36.6773,            4.6619,            0.7809,           -0.6233,            0.2768,          -56.6405,
Ref 15,3.63324e-08,,,,,,1.1941e-02,4.1878e-03,4.8774e-05,4.6252e-06,6.3809e-08,,,,,,,,,,,
Sam 15,3.64410e-08,1.20288e-02,4.2160e-03,4.9444e-05,4.6917e-06,6.0719e-08,,,,,,            7.3271,            6.7467,           13.6667,           13.9334,          -41.2324,            4.6747,            0.7981,           -0.5658,            0.3892,          -61.1454,
Ref 16,3.57017e-08,,,,,,1.1941e-02,4.1877e-03,4.8780e-05,4.6293e-06,6.2842e-08,,,,,,,,,,,
Sam 16,3.58246e-08,1.20288e-02,4.2160e-03,4.9441e-05,4.6911e-06,6.2178e-08,,,,,,            7.3265,            6.7547,           13.6536,           13.5946,           -2.3143,            4.6737,            0.8061,           -0.5859,            0.0390,          -23.0502,
Ref 17,3.50931e-08,,,,,,1.1941e-02,4.1877e-03,4.8771e-05,4.6270e-06,6.1792e-08,,,,,,,,,,,
Sam 17,3.52226e-08,1.20289e-02,4.2160e-03,4.9440e-05,4.6905e-06,6.0849e-08,,,,,,            7.3240,            6.7554,           13.6858,           13.6313,          -25.3566,            4.6710,            0.8067,           -0.5522,            0.0739,          -45.6123,
Ref 18,3.45110e-08,,,,,,1.1941e-02,4.1877e-03,4.8775e-05,4.6278e-06,6.3083e-08,,,,,,,,,,,
Sam 18,3.46421e-08,1.20288e-02,4.2159e-03,4.9438e-05,4.6940e-06,6.3113e-08,,,,,,            7.3142,            6.7325,           13.5911,           13.9571,           -6.6751,            4.6615,            0.7840,           -0.6132,            0.4409,          -27.2655,
Ref 19,3.39391e-08,,,,,,1.1941e-02,4.1877e-03,4.8775e-05,4.6310e-06,6.3999e-08,,,,,,,,,,,
Sam 19,3.40737e-08,1.20285e-02,4.2159e-03,4.9442e-05,4.6925e-06,5.9038e-08,,,,,,            7.2976,            6.7267,           13.6824,           13.5687,          -71.6982,            4.6439,            0.7783,           -0.5005,            0.0692,          -90.9145,
Ref 20,3.33626e-08,,,,,,1.1941e-02,4.1877e-03,4.8775e-05,4.6284e-06,6.3191e-08,,,,,,,,,,,
Sam 20,3.35046e-08,1.20286e-02,4.2159e-03,4.9440e-05,4.6922e-06,6.2427e-08,,,,,,            7.3095,            6.7346,           13.6639,           13.9963,          -21.3891,            4.6563,            0.7861,           -0.5386,            0.4755,          -41.6736,
Ref 21,3.28188e-08,,,,,,1.1941e-02,4.1877e-03,4.8772e-05,4.6265e-06,6.4402e-08,,,,,,,,,,,


Ref 1,3.25465e-08,,,,,,1.1941e-02,4.1876e-03,4.8777e-05,4.6287e-06,6.5523e-08,,,,,,,,,,,
Sam 1,3.26695e-08,1.20287e-02,4.2159e-03,4.9442e-05,4.6885e-06,6.0635e-08,,,,,,            7.3333,            6.7558,           13.6481,           13.1284,          -62.3864,            4.6810,            0.8072,           -0.5994,           -0.4231,          -81.8824,
Ref 2,3.20205e-08,,,,,,1.1941e-02,4.1876e-03,4.8776e-05,4.6267e-06,6.3801e-08,,,,,,,,,,,
Sam 2,3.21482e-08,1.20285e-02,4.2159e-03,4.9438e-05,4.6898e-06,6.0361e-08,,,,,,            7.3251,            6.7533,           13.6454,           13.4284,          -46.8495,            4.6723,            0.8046,           -0.5911,           -0.1220,          -66.6558,
Ref 3,3.14916e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6287e-06,6.2846e-08,,,,,,,,,,,
Sam 3,3.16141e-08,1.20286e-02,4.2159e-03,4.9437e-05,4.6925e-06,6.2608e-08,,,,,,            7.3306,            6.7601,           13.7003,           13.6861,          -12.5095,            4.6779,            0.8114,           -0.5492,            0.1187,          -33.0477,
Ref 4,3.09682e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6295e-06,6.3966e-08,,,,,,,,,,,
Sam 4,3.11053e-08,1.20287e-02,4.2158e-03,4.9439e-05,4.6898e-06,5.9637e-08,,,,,,            7.3292,            6.7406,           13.7180,           12.8022,          -48.1374,            4.6771,            0.7920,           -0.5113,           -0.7147,          -67.8978,
Ref 5,3.04853e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6316e-06,6.1319e-08,,,,,,,,,,,
Sam 5,3.06017e-08,1.20287e-02,4.2159e-03,4.9438e-05,4.6878e-06,6.1021e-08,,,,,,            7.3274,            6.7565,           13.6425,           12.4567,          -18.2187,            4.6746,            0.8079,           -0.5994,           -1.0872,          -38.6283,
Ref 6,2.99885e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6285e-06,6.3003e-08,,,,,,,,,,,
Sam 6,3.01187e-08,1.20286e-02,4.2158e-03,4.9441e-05,4.6906e-06,6.0332e-08,,,,,,            7.3142,            6.7396,           13.6749,           13.1775,          -25.8621,            4.6612,            0.7910,           -0.5375,           -0.3424,          -46.0680,
Ref 7,2.95052e-08,,,,,,1.1941e-02,4.1876e-03,4.8773e-05,4.6306e-06,6.0847e-08,,,,,,,,,,,
Sam 7,2.96192e-08,1.20285e-02,4.2158e-03,4.9445e-05,4.6912e-06,5.9025e-08,,,,,,            7.3152,            6.7474,           13.7671,           13.3183,          -33.7077,            4.6620,            0.7989,           -0.4553,           -0.2191,          -53.7664,
Ref 8,2.90420e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6285e-06,6.1325e-08,,,,,,,,,,,
Sam 8,2.91493e-08,1.20283e-02,4.2158e-03,4.9433e-05,4.6932e-06,5.9633e-08,,,,,,            7.3181,            6.7533,           13.6293,           13.8836,          -38.7513,            4.6648,            0.8047,           -0.5998,            0.3271,          -58.7189,
Ref 9,2.85828e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6294e-06,6.2760e-08,,,,,,,,,,,
Sam 9,2.86810e-08,1.20283e-02,4.2158e-03,4.9436e-05,4.6902e-06,6.2464e-08,,,,,,            7.3220,            6.7645,           13.6689,           13.0553,           -0.0584,            4.6686,            0.8158,           -0.5757,           -0.5124,          -20.8552,
Ref 10,2.81318e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6301e-06,6.2171e-08,,,,,,,,,,,
Sam 10,2.82309e-08,1.20282e-02,4.2157e-03,4.9435e-05,4.6900e-06,5.7044e-08,,,,,,            7.3137,            6.7378,           13.5879,           12.9020,          -84.1668,            4.6607,            0.7893,           -0.6210,           -0.6107,         -103.1597,
Ref 11,2.76947e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6303e-06,6.2403e-08,,,,,,,,,,,
Sam 11,2.78028e-08,1.20281e-02,4.2157e-03,4.9428e-05,4.6845e-06,6.0366e-08,,,,,,            7.3136,            6.7606,           13.4999,           12.0275,          -27.4703,            4.6598,            0.8120,           -0.7300,           -1.5187,          -47.6814,
Ref 12,2.72793e-08,,,,,,1.1941e-02,4.1873e-03,4.8770e-05,4.6274e-06,6.1734e-08,,,,,,,,,,,
Sam 12,2.73827e-08,1.20280e-02,4.2156e-03,4.9433e-05,4.6891e-06,5.9901e-08,,,,,,            7.2955,            6.7311,           13.5429,           13.1032,          -30.0366,            4.6415,            0.7826,           -0.6401,           -0.3988,          -50.1213,
Ref 13,2.68430e-08,,,,,,1.1941e-02,4.1875e-03,4.8775e-05,4.6296e-06,6.1779e-08,,,,,,,,,,,
Sam 13,2.69420e-08,1.20282e-02,4.2157e-03,4.9435e-05,4.6883e-06,5.9926e-08,,,,,,            7.3168,            6.7390,           13.5472,           12.5568,          -50.5761,            4.6639,            0.7904,           -0.6654,           -0.9535,          -70.2708,
Ref 14,2.64462e-08,,,,,,1.1941e-02,4.1874e-03,4.8773e-05,4.6308e-06,6.4477e-08,,,,,,,,,,,
Sam 14,2.65319e-08,1.20281e-02,4.2155e-03,4.9431e-05,4.6886e-06,6.1533e-08,,,,,,            7.3273,            6.7216,           13.5902,           12.8313,          -60.8173,            4.6757,            0.7732,           -0.6169,           -0.6484,          -80.2786,
Ref 15,2.60514e-08,,,,,,1.1941e-02,4.1873e-03,4.8763e-05,4.6276e-06,6.6573e-08,,,,,,,,,,,
Sam 15,2.61258e-08,1.20279e-02,4.2156e-03,4.9435e-05,4.6939e-06,6.1435e-08,,,,,,            7.3173,            6.7437,           13.6518,           14.3598,          -63.3311,            4.6643,            0.7951,           -0.5675,            0.8160,          -82.7702,
Ref 16,2.56638e-08,,,,,,1.1940e-02,4.1873e-03,4.8775e-05,4.6273e-06,6.4589e-08,,,,,,,,,,,
Sam 16,2.57253e-08,1.20280e-02,4.2154e-03,4.9436e-05,4.6924e-06,5.9243e-08,,,,,,            7.3360,            6.7220,           13.5591,           13.9041,          -84.1050,            4.6850,            0.7735,           -0.6568,            0.4094,         -103.0927,
Ref 17,2.52746e-08,,,,,,1.1940e-02,4.1872e-03,4.8775e-05,4.6288e-06,6.4778e-08,,,,,,,,,,,
Sam 17,2.53265e-08,1.20277e-02,4.2154e-03,4.9437e-05,4.6924e-06,6.2759e-08,,,,,,            7.3123,            6.7339,           13.6375,           13.8936,          -27.1536,            4.6593,            0.7854,           -0.5668,            0.3755,          -47.3201,
Ref 18,2.48929e-08,,,,,,1.1940e-02,4.1872e-03,4.8768e-05,4.6273e-06,6.4241e-08,,,,,,,,,,,
Sam 18,2.49346e-08,1.20277e-02,4.2154e-03,4.9434e-05,4.6912e-06,6.0770e-08,,,,,,            7.3083,            6.7179,           13.6501,           13.9442,          -52.4416,            4.6557,            0.7695,           -0.5347,            0.4571,          -72.0511,
Ref 19,2.45192e-08,,,,,,1.1940e-02,4.1872e-03,4.8769e-05,4.6262e-06,6.4024e-08,,,,,,,,,,,
Sam 19,2.45410e-08,1.20279e-02,4.2155e-03,4.9436e-05,4.6871e-06,6.1307e-08,,,,,,            7.3248,            6.7590,           13.7327,           13.2795,          -55.4560,            4.6718,            0.8104,           -0.5103,           -0.2804,          -75.0935,
Ref 20,2.41494e-08,,,,,,1.1940e-02,4.1871e-03,4.8763e-05,4.6252e-06,6.5804e-08,,,,,,,,,,,
Sam 20,2.41445e-08,1.20281e-02,4.2156e-03,4.9432e-05,4.6944e-06,6.0292e-08,,,,,,            7.3433,            6.7737,           13.5466,           14.5442,          -53.2285,            4.6910,            0.8249,           -0.7271,            0.9383,          -72.9570,
Ref 21,2.37679e-08,,,,,,1.1941e-02,4.1874e-03,4.8780e-05,4.6291e-06,6.1526e-08,,,,,,,,,,,


Ref 1,2.35945e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6315e-06,6.1152e-08,,,,,,,,,,,
Sam 1,2.36031e-08,1.20279e-02,4.2155e-03,4.9431e-05,4.6904e-06,6.2327e-08,,,,,,            7.3145,            6.7209,           13.5272,           13.1148,            3.7450,            4.6621,            0.7725,           -0.6652,           -0.3672,          -17.0394,
Ref 2,2.32500e-08,,,,,,1.1941e-02,4.1873e-03,4.8774e-05,4.6279e-06,6.3050e-08,,,,,,,,,,,
Sam 2,2.32388e-08,1.20280e-02,4.2155e-03,4.9428e-05,4.6910e-06,6.4542e-08,,,,,,            7.3268,            6.7331,           13.4338,           14.0401,           10.3375,            4.6748,            0.7846,           -0.7818,            0.5215,          -10.6199,
Ref 3,2.29076e-08,,,,,,1.1941e-02,4.1873e-03,4.8771e-05,4.6242e-06,6.4726e-08,,,,,,,,,,,
Sam 3,2.28933e-08,1.20278e-02,4.2155e-03,4.9431e-05,4.6883e-06,6.1447e-08,,,,,,            7.3180,            6.7464,           13.5179,           13.9284,          -55.6024,            4.6650,            0.7978,           -0.7028,            0.3850,          -75.2074,
Ref 4,2.25757e-08,,,,,,1.1940e-02,4.1872e-03,4.8773e-05,4.6237e-06,6.5409e-08,,,,,,,,,,,
Sam 4,2.25489e-08,1.20278e-02,4.2155e-03,4.9443e-05,4.6900e-06,6.1466e-08,,,,,,            7.3244,            6.7502,           13.7546,           13.7916,          -34.2485,            4.6716,            0.8016,           -0.4797,            0.2424,          -54.3103,
Ref 5,2.22475e-08,,,,,,1.1940e-02,4.1872e-03,4.8771e-05,4.6288e-06,6.1857e-08,,,,,,,,,,,
Sam 5,2.22126e-08,1.20277e-02,4.2154e-03,4.9437e-05,4.6837e-06,6.2260e-08,,,,,,            7.3191,            6.7263,           13.6203,           12.5302,            1.3929,            4.6668,            0.7778,           -0.5833,           -0.9548,          -19.3579,
Ref 6,2.19261e-08,,,,,,1.1940e-02,4.1873e-03,4.8773e-05,4.6226e-06,6.2494e-08,,,,,,,,,,,
Sam 6,2.18805e-08,1.20278e-02,4.2154e-03,4.9428e-05,4.6838e-06,6.1774e-08,,,,,,            7.3274,            6.7360,           13.4265,           12.6058,          -17.3679,            4.6754,            0.7874,           -0.7924,           -0.8993,          -37.7567,
Ref 7,2.16096e-08,,,,,,1.1940e-02,4.1871e-03,4.8773e-05,4.6283e-06,6.3244e-08,,,,,,,,,,,
Sam 7,2.15501e-08,1.20277e-02,4.2153e-03,4.9438e-05,4.6885e-06,6.1510e-08,,,,,,            7.3155,            6.7430,           13.6478,           13.4070,          -48.0740,            4.6625,            0.7944,           -0.5689,           -0.1227,          -67.8266,
Ref 8,2.12948e-08,,,,,,1.1940e-02,4.1872e-03,4.8772e-05,4.6245e-06,6.6009e-08,,,,,,,,,,,
Sam 8,2.12265e-08,1.20276e-02,4.2152e-03,4.9438e-05,4.6913e-06,5.9862e-08,,,,,,            7.3029,            6.7013,           13.6910,           14.0217,         -105.9380,            4.6504,            0.7529,           -0.4726,            0.5668,         -124.4069,
Ref 9,2.09900e-08,,,,,,1.1940e-02,4.1872e-03,4.8769e-05,4.6284e-06,6.7914e-08,,,,,,,,,,,
Sam 9,2.09083e-08,1.20276e-02,4.2153e-03,4.9437e-05,4.6866e-06,5.7660e-08,,,,,,            7.3155,            6.7246,           13.8180,           12.8922,         -119.4611,            4.6631,            0.7762,           -0.3831,           -0.5942,         -137.7016,
Ref 10,2.06892e-08,,,,,,1.1940e-02,4.1871e-03,4.8757e-05,4.6256e-06,6.3015e-08,,,,,,,,,,,
Sam 10,2.05998e-08,1.20275e-02,4.2152e-03,4.9433e-05,4.6902e-06,6.0372e-08,,,,,,            7.3081,            6.7200,           13.6937,           13.3465,          -50.9565,            4.6553,            0.7715,           -0.4935,           -0.1368,          -70.6003,
Ref 11,2.03956e-08,,,,,,1.1940e-02,4.1871e-03,4.8773e-05,4.6313e-06,6.4220e-08,,,,,,,,,,,
Sam 11,2.02905e-08,1.20275e-02,4.2153e-03,4.9434e-05,4.6915e-06,5.8763e-08,,,,,,            7.3119,            6.7407,           13.4520,           13.5717,          -91.9676,            4.6587,            0.7921,           -0.7560,            0.0444,         -110.8020,
Ref 12,2.01062e-08,,,,,,1.1940e-02,4.1870e-03,4.8784e-05,4.6261e-06,6.5216e-08,,,,,,,,,,,
Sam 12,1.99909e-08,1.20278e-02,4.2153e-03,4.9433e-05,4.6904e-06,5.8919e-08,,,,,,            7.3446,            6.7414,           13.3357,           13.1516,         -110.7043,            4.6934,            0.7928,           -0.9048,           -0.3716,         -129.1814,
Ref 13,1.98244e-08,,,,,,1.1940e-02,4.1871e-03,4.8781e-05,4.6330e-06,6.7307e-08,,,,,,,,,,,
Sam 13,1.96970e-08,1.20274e-02,4.2153e-03,4.9426e-05,4.6881e-06,5.8300e-08,,,,,,            7.3121,            6.7340,           13.3252,           12.2856,         -101.0832,            4.6591,            0.7855,           -0.8747,           -1.2113,         -119.7173,
Ref 14,1.95467e-08,,,,,,1.1940e-02,4.1871e-03,4.8770e-05,4.6294e-06,6.2371e-08,,,,,,,,,,,
Sam 14,1.94039e-08,1.20274e-02,4.2152e-03,4.9434e-05,4.6916e-06,6.0554e-08,,,,,,            7.3155,            6.7186,           13.5649,           13.5861,          -56.4017,            4.6633,            0.7701,           -0.6267,            0.1026,          -75.9374,
Ref 15,1.92708e-08,,,,,,1.1940e-02,4.1871e-03,4.8774e-05,4.6281e-06,6.6002e-08,,,,,,,,,,,
Sam 15,1.91161e-08,1.20277e-02,4.2153e-03,4.9429e-05,4.6933e-06,6.5451e-08,,,,,,            7.3283,            6.7517,           13.4392,           14.0374,          -21.3292,            4.6758,            0.8030,           -0.7961,            0.4820,          -41.6661,
Ref 16,1.90016e-08,,,,,,1.1940e-02,4.1871e-03,4.8774e-05,4.6286e-06,6.7765e-08,,,,,,,,,,,
Sam 16,1.88360e-08,1.20275e-02,4.2153e-03,4.9433e-05,4.6884e-06,6.6519e-08,,,,,,            7.3138,            6.7306,           13.5141,           13.2622,            1.8574,            4.6610,            0.7821,           -0.6868,           -0.2410,          -18.9057,
Ref 17,1.87378e-08,,,,,,1.1940e-02,4.1871e-03,4.8775e-05,4.6253e-06,6.5007e-08,,,,,,,,,,,
Sam 17,1.85585e-08,1.20273e-02,4.2152e-03,4.9426e-05,4.6903e-06,6.5616e-08,,,,,,            7.2961,            6.7217,           13.3979,           13.4866,            5.6420,            4.6425,            0.7733,           -0.7746,           -0.0019,          -15.1640,
Ref 18,1.84789e-08,,,,,,1.1940e-02,4.1871e-03,4.8770e-05,4.6304e-06,6.5492e-08,,,,,,,,,,,
Sam 18,1.82891e-08,1.20276e-02,4.2152e-03,4.9439e-05,4.6883e-06,5.9533e-08,,,,,,            7.3252,            6.7282,           13.6332,           13.0179,          -93.2960,            4.6733,            0.7797,           -0.5787,           -0.4772,         -112.0937,
Ref 19,1.82243e-08,,,,,,1.1940e-02,4.1871e-03,4.8778e-05,4.6257e-06,6.5828e-08,,,,,,,,,,,
Sam 19,1.80240e-08,1.20275e-02,4.2152e-03,4.9429e-05,4.6857e-06,6.5577e-08,,,,,,            7.3286,            6.7251,           13.4946,           12.7882,          -30.1695,            4.6770,            0.7766,           -0.7158,           -0.6977,          -50.2736,
Ref 20,1.79738e-08,,,,,,1.1940e-02,4.1870e-03,4.8763e-05,4.6275e-06,6.9431e-08,,,,,,,,,,,
Sam 20,1.77590e-08,1.20272e-02,4.2152e-03,4.9437e-05,4.6891e-06,6.6516e-08,,,,,,            7.2988,            6.7133,           13.7670,           13.5638,          -40.5615,            4.6456,            0.7649,           -0.4052,            0.0910,          -60.3989,
Ref 21,1.77258e-08,,,,,,1.1940e-02,4.1871e-03,4.8767e-05,4.6252e-06,6.9222e-08,,,,,,,,,,,


