Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 21, 2018 at 11:13 with Stable 1.69.5 on PS019,Reanalyzed on Thursday, June 21, 2018 at 12:14 with Stable 1.69.5 on PS019

Data File = Data_6043 PK99 KT4CB.txt,     Sample Weight = 416,                      Vial Location = 42,                       Initial Sam Beam = 1.0530e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7911e-08,                Max Ref Beam = 1.0604e-07,                
Analysis undertaken at mass 46.01487
Analysis undertaken at mass 46.01487
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.25018e-08,,,,,,1.1943e-02,4.1877e-03,4.8757e-05,4.6240e-06,6.1335e-08,,,,,,,,,,,
Sam 1,9.24203e-08,1.19438e-02,4.2258e-03,4.9174e-05,4.7082e-06,5.9518e-08,,,,,,            0.0765,            9.0967,            8.5508,           18.0842,          -21.8553,           -3.1231,            3.1526,           -0.4767,           -0.1885,          -39.2043,
Ref 2,9.03914e-08,,,,,,1.1943e-02,4.1878e-03,4.8756e-05,4.6252e-06,6.0350e-08,,,,,,,,,,,
Sam 2,9.04403e-08,1.19437e-02,4.2258e-03,4.9174e-05,4.7086e-06,5.9429e-08,,,,,,            0.0576,            9.0839,            8.5378,           17.9481,          -15.4457,           -3.1428,            3.1398,           -0.4575,           -0.2968,          -32.8647,
Ref 3,8.82493e-08,,,,,,1.1943e-02,4.1878e-03,4.8758e-05,4.6260e-06,6.0374e-08,,,,,,,,,,,
Sam 3,8.85235e-08,1.19437e-02,4.2257e-03,4.9170e-05,4.7088e-06,6.0268e-08,,,,,,            0.0526,            9.0635,            8.4344,           17.8358,          -10.0157,           -3.1474,            3.1196,           -0.5351,           -0.3668,          -27.4871,
Ref 4,8.61580e-08,,,,,,1.1943e-02,4.1878e-03,4.8760e-05,4.6266e-06,6.1393e-08,,,,,,,,,,,
Sam 4,8.66152e-08,1.19437e-02,4.2258e-03,4.9175e-05,4.7090e-06,5.9194e-08,,,,,,            0.0595,            9.0819,            8.5016,           17.9646,          -35.1678,           -3.1407,            3.1379,           -0.4935,           -0.2766,          -52.2362,
Ref 5,8.41542e-08,,,,,,1.1943e-02,4.1878e-03,4.8761e-05,4.6251e-06,6.1310e-08,,,,,,,,,,,
Sam 5,8.46865e-08,1.19438e-02,4.2259e-03,4.9177e-05,4.7083e-06,5.9497e-08,,,,,,            0.0656,            9.1048,            8.5560,           17.7871,          -34.3300,           -3.1350,            3.1607,           -0.4682,           -0.4964,          -51.4617,
Ref 6,8.21787e-08,,,,,,1.1943e-02,4.1878e-03,4.8758e-05,4.6268e-06,6.1922e-08,,,,,,,,,,,
Sam 6,8.28871e-08,1.19439e-02,4.2259e-03,4.9175e-05,4.7097e-06,5.9546e-08,,,,,,            0.0761,            9.0993,            8.5251,           17.9859,          -35.3788,           -3.1236,            3.1552,           -0.5042,           -0.2902,          -52.4923,
Ref 7,8.02826e-08,,,,,,1.1943e-02,4.1878e-03,4.8761e-05,4.6260e-06,6.1534e-08,,,,,,,,,,,
Sam 7,8.11976e-08,1.19436e-02,4.2258e-03,4.9178e-05,4.7100e-06,6.0246e-08,,,,,,            0.0624,            9.0734,            8.5917,           18.0979,          -15.3656,           -3.1374,            3.1294,           -0.3988,           -0.1288,          -32.7712,
Ref 8,7.84572e-08,,,,,,1.1943e-02,4.1878e-03,4.8756e-05,4.6266e-06,6.0830e-08,,,,,,,,,,,
Sam 8,7.94661e-08,1.19437e-02,4.2258e-03,4.9174e-05,4.7092e-06,5.8820e-08,,,,,,            0.0698,            9.0804,            8.5464,           18.0491,          -42.1063,           -3.1297,            3.1364,           -0.4583,           -0.1907,          -59.0596,
Ref 9,7.66543e-08,,,,,,1.1943e-02,4.1878e-03,4.8758e-05,4.6248e-06,6.1995e-08,,,,,,,,,,,
Sam 9,7.78178e-08,1.19436e-02,4.2258e-03,4.9177e-05,4.7090e-06,6.0126e-08,,,,,,            0.0619,            9.0668,            8.5660,           18.1980,          -30.2048,           -3.1376,            3.1228,           -0.4175,           -0.0175,          -47.3354,
Ref 10,7.49206e-08,,,,,,1.1943e-02,4.1879e-03,4.8760e-05,4.6249e-06,6.2002e-08,,,,,,,,,,,
Sam 10,7.61995e-08,1.19435e-02,4.2258e-03,4.9176e-05,4.7091e-06,5.9331e-08,,,,,,            0.0575,            9.0716,            8.5078,           17.9650,          -28.1236,           -3.1425,            3.1277,           -0.4752,           -0.2559,          -45.2954,
Ref 11,7.32803e-08,,,,,,1.1943e-02,4.1878e-03,4.8761e-05,4.6272e-06,6.0071e-08,,,,,,,,,,,
Sam 11,7.45749e-08,1.19435e-02,4.2259e-03,4.9176e-05,4.7077e-06,6.0290e-08,,,,,,            0.0642,            9.0997,            8.5211,           17.4122,           -2.0320,           -3.1363,            3.1556,           -0.4964,           -0.8544,          -19.7256,
Ref 12,7.16534e-08,,,,,,1.1943e-02,4.1877e-03,4.8759e-05,4.6271e-06,6.0761e-08,,,,,,,,,,,
Sam 12,7.30975e-08,1.19434e-02,4.2257e-03,4.9176e-05,4.7094e-06,5.9679e-08,,,,,,            0.0599,            9.0746,            8.5493,           17.8141,          -24.7358,           -3.1400,            3.1306,           -0.4395,           -0.4100,          -41.9755,
Ref 13,7.00837e-08,,,,,,1.1943e-02,4.1877e-03,4.8759e-05,4.6268e-06,6.1632e-08,,,,,,,,,,,
Sam 13,7.15630e-08,1.19435e-02,4.2259e-03,4.9173e-05,4.7110e-06,6.0231e-08,,,,,,            0.0798,            9.1018,            8.5112,           18.2631,          -18.9160,           -3.1198,            3.1576,           -0.5242,           -0.0229,          -36.3300,
Ref 14,6.85611e-08,,,,,,1.1943e-02,4.1877e-03,4.8758e-05,4.6262e-06,6.1147e-08,,,,,,,,,,,
Sam 14,7.01552e-08,1.19432e-02,4.2257e-03,4.9170e-05,4.7102e-06,5.9533e-08,,,,,,            0.0518,            9.0589,            8.4072,           18.0659,          -29.6206,           -3.1481,            3.1150,           -0.5567,           -0.1316,          -46.7366,
Ref 15,6.70219e-08,,,,,,1.1943e-02,4.1878e-03,4.8763e-05,4.6271e-06,6.1559e-08,,,,,,,,,,,
Sam 15,6.87272e-08,1.19433e-02,4.2257e-03,4.9173e-05,4.7076e-06,6.0367e-08,,,,,,            0.0606,            9.0583,            8.4509,           17.3559,          -20.1156,           -3.1387,            3.1144,           -0.5218,           -0.8277,          -37.4071,
Ref 16,6.56358e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6275e-06,6.1655e-08,,,,,,,,,,,
Sam 16,6.73818e-08,1.19431e-02,4.2257e-03,4.9174e-05,4.7105e-06,5.9274e-08,,,,,,            0.0548,            9.0566,            8.4738,           17.6847,          -41.3746,           -3.1448,            3.1127,           -0.4916,           -0.5014,          -58.2821,
Ref 17,6.42462e-08,,,,,,1.1942e-02,4.1877e-03,4.8762e-05,4.6297e-06,6.2014e-08,,,,,,,,,,,
Sam 17,6.59549e-08,1.19433e-02,4.2258e-03,4.9174e-05,4.7098e-06,6.0120e-08,,,,,,            0.0810,            9.1025,            8.4646,           17.6659,          -32.8564,           -3.1185,            3.1583,           -0.5724,           -0.6108,          -50.0256,
Ref 18,6.29154e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6264e-06,6.2314e-08,,,,,,,,,,,
Sam 18,6.47211e-08,1.19430e-02,4.2257e-03,4.9172e-05,4.7099e-06,6.2860e-08,,,,,,            0.0618,            9.0688,            8.4212,           18.0336,            1.2681,           -3.1378,            3.1249,           -0.5628,           -0.1830,          -16.4222,
Ref 19,6.16125e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6266e-06,6.3257e-08,,,,,,,,,,,
Sam 19,6.34125e-08,1.19431e-02,4.2257e-03,4.9181e-05,4.7084e-06,6.1357e-08,,,,,,            0.0721,            9.0932,            8.5846,           17.6495,          -24.8388,           -3.1277,            3.1491,           -0.4351,           -0.6084,          -42.1237,
Ref 20,6.03430e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6269e-06,6.2576e-08,,,,,,,,,,,
Sam 20,6.22005e-08,1.19430e-02,4.2257e-03,4.9173e-05,4.7096e-06,5.9172e-08,,,,,,            0.0602,            9.0707,            8.4326,           17.6901,          -48.9231,           -3.1396,            3.1267,           -0.5516,           -0.5240,          -65.7284,
Ref 21,5.90409e-08,,,,,,1.1942e-02,4.1878e-03,4.8760e-05,4.6285e-06,6.1848e-08,,,,,,,,,,,


Ref 1,5.85145e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6279e-06,6.1078e-08,,,,,,,,,,,
Sam 1,6.04017e-08,1.19430e-02,4.2257e-03,4.9179e-05,4.7094e-06,5.9635e-08,,,,,,            0.0750,            9.0750,            8.5408,           17.5753,          -31.3798,           -3.1239,            3.1310,           -0.4640,           -0.6454,          -48.5181,
Ref 2,5.73276e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6283e-06,6.2065e-08,,,,,,,,,,,
Sam 2,5.92290e-08,1.19430e-02,4.2257e-03,4.9177e-05,4.7113e-06,6.0640e-08,,,,,,            0.0658,            9.0722,            8.4382,           18.2640,          -16.6656,           -3.1336,            3.1282,           -0.5534,            0.0367,          -34.0495,
Ref 3,5.61464e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6253e-06,6.1262e-08,,,,,,,,,,,
Sam 3,5.81048e-08,1.19429e-02,4.2256e-03,4.9174e-05,4.7082e-06,6.1684e-08,,,,,,            0.0590,            9.0593,            8.4625,           17.8383,            0.7809,           -3.1405,            3.1154,           -0.5097,           -0.3560,          -16.8796,
Ref 4,5.50305e-08,,,,,,1.1942e-02,4.1877e-03,4.8758e-05,4.6261e-06,6.2017e-08,,,,,,,,,,,
Sam 4,5.69919e-08,1.19429e-02,4.2257e-03,4.9178e-05,4.7097e-06,6.0476e-08,,,,,,            0.0689,            9.0800,            8.5288,           17.7950,          -19.9004,           -3.1307,            3.1360,           -0.4743,           -0.4395,          -37.2449,
Ref 5,5.39754e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6287e-06,6.1384e-08,,,,,,,,,,,
Sam 5,5.59200e-08,1.19428e-02,4.2256e-03,4.9176e-05,4.7099e-06,6.0622e-08,,,,,,            0.0744,            9.0670,            8.4699,           17.7172,          -25.2315,           -3.1243,            3.1230,           -0.5257,           -0.4900,          -42.4630,
Ref 6,5.28919e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6271e-06,6.3014e-08,,,,,,,,,,,
Sam 6,5.48425e-08,1.19429e-02,4.2256e-03,4.9175e-05,4.7095e-06,6.1845e-08,,,,,,            0.0817,            9.0648,            8.4904,           17.7365,          -13.3220,           -3.1164,            3.1208,           -0.5108,           -0.4668,          -30.7675,
Ref 7,5.18798e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6277e-06,6.2340e-08,,,,,,,,,,,
Sam 7,5.38292e-08,1.19426e-02,4.2256e-03,4.9173e-05,4.7103e-06,6.0800e-08,,,,,,            0.0669,            9.0718,            8.4285,           17.8704,          -27.5188,           -3.1325,            3.1278,           -0.5638,           -0.3492,          -44.7112,
Ref 8,5.08739e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6274e-06,6.2705e-08,,,,,,,,,,,
Sam 8,5.28223e-08,1.19426e-02,4.2256e-03,4.9179e-05,4.7116e-06,6.1553e-08,,,,,,            0.0584,            9.0638,            8.5549,           18.2556,          -21.1541,           -3.1413,            3.1198,           -0.4218,            0.0451,          -38.4352,
Ref 9,4.98772e-08,,,,,,1.1942e-02,4.1876e-03,4.8762e-05,4.6268e-06,6.3065e-08,,,,,,,,,,,
Sam 9,5.18209e-08,1.19427e-02,4.2256e-03,4.9173e-05,4.7089e-06,5.9972e-08,,,,,,            0.0650,            9.0636,            8.3782,           17.8886,          -51.5926,           -3.1342,            3.1196,           -0.6036,           -0.3150,          -68.3426,
Ref 10,4.89351e-08,,,,,,1.1942e-02,4.1877e-03,4.8767e-05,4.6256e-06,6.3406e-08,,,,,,,,,,,
Sam 10,5.08584e-08,1.19427e-02,4.2257e-03,4.9178e-05,4.7084e-06,5.9795e-08,,,,,,            0.0671,            9.0640,            8.4223,           17.7917,          -53.0130,           -3.1320,            3.1201,           -0.5624,           -0.4110,          -69.7408,
Ref 11,4.79699e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6266e-06,6.2874e-08,,,,,,,,,,,
Sam 11,4.99607e-08,1.19425e-02,4.2255e-03,4.9180e-05,4.7110e-06,5.9585e-08,,,,,,            0.0561,            9.0338,            8.5344,           18.4283,          -33.8189,           -3.1426,            3.0900,           -0.4106,            0.2741,          -50.8188,
Ref 12,4.71080e-08,,,,,,1.1942e-02,4.1877e-03,4.8759e-05,4.6249e-06,6.0445e-08,,,,,,,,,,,
Sam 12,4.90523e-08,1.19425e-02,4.2255e-03,4.9178e-05,4.7095e-06,5.9602e-08,,,,,,            0.0605,            9.0449,            8.5248,           17.8082,          -17.5507,           -3.1383,            3.1011,           -0.4355,           -0.3569,          -34.8623,
Ref 13,4.62447e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6294e-06,6.0893e-08,,,,,,,,,,,
Sam 13,4.81616e-08,1.19424e-02,4.2255e-03,4.9175e-05,4.7096e-06,5.9282e-08,,,,,,            0.0668,            9.0419,            8.3875,           17.6567,          -23.0285,           -3.1315,            3.0981,           -0.5752,           -0.4998,          -40.2443,
Ref 14,4.53938e-08,,,,,,1.1942e-02,4.1876e-03,4.8767e-05,4.6264e-06,6.0462e-08,,,,,,,,,,,
Sam 14,4.72748e-08,1.19425e-02,4.2256e-03,4.9173e-05,4.7094e-06,5.8828e-08,,,,,,            0.0691,            9.0619,            8.3605,           17.9187,          -30.4698,           -3.1298,            3.1180,           -0.6237,           -0.2822,          -47.5940,
Ref 15,4.45538e-08,,,,,,1.1942e-02,4.1877e-03,4.8765e-05,4.6266e-06,6.0896e-08,,,,,,,,,,,
Sam 15,4.64421e-08,1.19424e-02,4.2255e-03,4.9184e-05,4.7082e-06,5.9941e-08,,,,,,            0.0513,            9.0243,            8.5515,           17.6353,          -31.5503,           -3.1475,            3.0805,           -0.3794,           -0.4858,          -48.5675,
Ref 16,4.37386e-08,,,,,,1.1942e-02,4.1877e-03,4.8769e-05,4.6265e-06,6.2910e-08,,,,,,,,,,,
Sam 16,4.55973e-08,1.19424e-02,4.2255e-03,4.9176e-05,4.7122e-06,5.9867e-08,,,,,,            0.0666,            9.0455,            8.3771,           18.3498,          -30.5746,           -3.1318,            3.1017,           -0.5888,            0.1737,          -47.6640,
Ref 17,4.29564e-08,,,,,,1.1942e-02,4.1876e-03,4.8766e-05,4.6281e-06,6.0580e-08,,,,,,,,,,,
Sam 17,4.47770e-08,1.19423e-02,4.2255e-03,4.9179e-05,4.7112e-06,6.0117e-08,,,,,,            0.0541,            9.0457,            8.5177,           18.1682,          -15.6149,           -3.1452,            3.1019,           -0.4367,           -0.0050,          -32.9554,
Ref 18,4.21745e-08,,,,,,1.1942e-02,4.1877e-03,4.8760e-05,4.6260e-06,6.1571e-08,,,,,,,,,,,
Sam 18,4.39829e-08,1.19423e-02,4.2255e-03,4.9181e-05,4.7112e-06,5.9174e-08,,,,,,            0.0515,            9.0300,            8.6056,           18.4154,          -42.6414,           -3.1474,            3.0862,           -0.3316,            0.2690,          -59.4744,
Ref 19,4.14126e-08,,,,,,1.1942e-02,4.1877e-03,4.8763e-05,4.6260e-06,6.2052e-08,,,,,,,,,,,
Sam 19,4.32017e-08,1.19423e-02,4.2255e-03,4.9178e-05,4.7075e-06,6.0381e-08,,,,,,            0.0590,            9.0150,            8.4342,           17.3578,          -42.6917,           -3.1389,            3.0713,           -0.4946,           -0.7401,          -59.5038,
Ref 20,4.06501e-08,,,,,,1.1942e-02,4.1878e-03,4.8770e-05,4.6285e-06,6.4113e-08,,,,,,,,,,,
Sam 20,4.24498e-08,1.19422e-02,4.2255e-03,4.9179e-05,4.7096e-06,5.9971e-08,,,,,,            0.0537,            8.9935,            8.4175,           17.8445,          -66.8745,           -3.1438,            3.0499,           -0.4847,           -0.2194,          -83.2183,
Ref 21,3.99325e-08,,,,,,1.1942e-02,4.1878e-03,4.8768e-05,4.6255e-06,6.4428e-08,,,,,,,,,,,


Ref 1,3.95861e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6282e-06,6.4210e-08,,,,,,,,,,,
Sam 1,4.13217e-08,1.19422e-02,4.2255e-03,4.9171e-05,4.7095e-06,5.9371e-08,,,,,,            0.0524,            9.0279,            8.2415,           17.7118,          -77.8000,           -3.1464,            3.0841,           -0.6913,           -0.4179,          -94.0119,
Ref 2,3.88746e-08,,,,,,1.1942e-02,4.1877e-03,4.8766e-05,4.6269e-06,6.4553e-08,,,,,,,,,,,
Sam 2,4.06036e-08,1.19421e-02,4.2255e-03,4.9177e-05,4.7093e-06,5.9052e-08,,,,,,            0.0467,            9.0307,            8.3438,           18.0283,          -63.4189,           -3.1526,            3.0870,           -0.5868,           -0.1128,          -79.8832,
Ref 3,3.82262e-08,,,,,,1.1942e-02,4.1877e-03,4.8774e-05,4.6249e-06,6.1522e-08,,,,,,,,,,,
Sam 3,3.98762e-08,1.19422e-02,4.2256e-03,4.9182e-05,4.7050e-06,5.9178e-08,,,,,,            0.0554,            9.0342,            8.4049,           17.3985,          -53.0828,           -3.1434,            3.0904,           -0.5385,           -0.7380,          -69.7436,
Ref 4,3.75475e-08,,,,,,1.1942e-02,4.1878e-03,4.8771e-05,4.6241e-06,6.3487e-08,,,,,,,,,,,
Sam 4,3.91974e-08,1.19421e-02,4.2255e-03,4.9183e-05,4.7086e-06,6.0367e-08,,,,,,            0.0551,            9.0090,            8.4114,           17.9865,          -50.7774,           -3.1428,            3.0653,           -0.5073,           -0.1106,          -67.4328,
Ref 5,3.69005e-08,,,,,,1.1941e-02,4.1877e-03,4.8775e-05,4.6267e-06,6.3708e-08,,,,,,,,,,,
Sam 5,3.84844e-08,1.19422e-02,4.2255e-03,4.9179e-05,4.7095e-06,5.8103e-08,,,,,,            0.0615,            9.0344,            8.3351,           17.6046,          -74.2596,           -3.1370,            3.0906,           -0.6143,           -0.5361,          -90.5542,
Ref 6,3.62614e-08,,,,,,1.1942e-02,4.1877e-03,4.8771e-05,4.6293e-06,6.1803e-08,,,,,,,,,,,
Sam 6,3.78316e-08,1.19423e-02,4.2255e-03,4.9178e-05,4.7090e-06,6.0599e-08,,,,,,            0.0603,            9.0320,            8.3453,           17.4399,          -25.5582,           -3.1381,            3.0883,           -0.6007,           -0.6932,          -42.7044,
Ref 7,3.56364e-08,,,,,,1.1942e-02,4.1878e-03,4.8771e-05,4.6273e-06,6.2581e-08,,,,,,,,,,,
Sam 7,3.71746e-08,1.19423e-02,4.2256e-03,4.9186e-05,4.7103e-06,5.9251e-08,,,,,,            0.0610,            9.0297,            8.5142,           17.8317,          -42.0261,           -3.1373,            3.0859,           -0.4316,           -0.3038,          -58.8789,
Ref 8,3.50301e-08,,,,,,1.1942e-02,4.1877e-03,4.8770e-05,4.6283e-06,6.1107e-08,,,,,,,,,,,
Sam 8,3.65427e-08,1.19421e-02,4.2256e-03,4.9179e-05,4.7126e-06,5.9928e-08,,,,,,            0.0510,            9.0363,            8.3547,           18.3159,          -32.8846,           -3.1481,            3.0925,           -0.5859,            0.1588,          -49.9003,
Ref 9,3.44456e-08,,,,,,1.1941e-02,4.1877e-03,4.8774e-05,4.6275e-06,6.2839e-08,,,,,,,,,,,
Sam 9,3.59190e-08,1.19422e-02,4.2256e-03,4.9182e-05,4.7115e-06,5.9784e-08,,,,,,            0.0618,            9.0384,            8.3807,           18.0129,          -47.6009,           -3.1368,            3.0946,           -0.5733,           -0.1431,          -64.3724,
Ref 10,3.38760e-08,,,,,,1.1941e-02,4.1877e-03,4.8772e-05,4.6289e-06,6.2703e-08,,,,,,,,,,,
Sam 10,3.53070e-08,1.19421e-02,4.2256e-03,4.9185e-05,4.7112e-06,5.9898e-08,,,,,,            0.0506,            9.0411,            8.4007,           17.9336,          -31.8789,           -3.1488,            3.0973,           -0.5445,           -0.2262,          -48.9208,
Ref 11,3.32934e-08,,,,,,1.1942e-02,4.1877e-03,4.8778e-05,4.6276e-06,6.1024e-08,,,,,,,,,,,
Sam 11,3.46980e-08,1.19422e-02,4.2256e-03,4.9178e-05,4.7105e-06,6.0156e-08,,,,,,            0.0594,            9.0371,            8.2055,           18.1269,          -20.8609,           -3.1393,            3.0933,           -0.7432,           -0.0284,          -38.0982,
Ref 12,3.27574e-08,,,,,,1.1941e-02,4.1877e-03,4.8777e-05,4.6258e-06,6.1858e-08,,,,,,,,,,,
Sam 12,3.41181e-08,1.19421e-02,4.2256e-03,4.9186e-05,4.7104e-06,5.9302e-08,,,,,,            0.0541,            9.0342,            8.4153,           18.0111,          -37.9910,           -3.1448,            3.0905,           -0.5269,           -0.1365,          -54.9162,
Ref 13,3.22077e-08,,,,,,1.1942e-02,4.1878e-03,4.8775e-05,4.6284e-06,6.1426e-08,,,,,,,,,,,
Sam 13,3.35356e-08,1.19421e-02,4.2256e-03,4.9189e-05,4.7089e-06,5.9586e-08,,,,,,            0.0538,            9.0385,            8.4514,           17.3694,          -40.2468,           -3.1452,            3.0947,           -0.4950,           -0.7752,          -57.1398,
Ref 14,3.16803e-08,,,,,,1.1941e-02,4.1877e-03,4.8778e-05,4.6286e-06,6.2754e-08,,,,,,,,,,,
Sam 14,3.29764e-08,1.19420e-02,4.2255e-03,4.9179e-05,4.7099e-06,5.9837e-08,,,,,,            0.0543,            9.0462,            8.3031,           17.5247,          -47.4338,           -3.1450,            3.1023,           -0.6500,           -0.6379,          -64.2148,
Ref 15,3.11869e-08,,,,,,1.1941e-02,4.1876e-03,4.8771e-05,4.6289e-06,6.2881e-08,,,,,,,,,,,
Sam 15,3.24253e-08,1.19422e-02,4.2256e-03,4.9175e-05,4.7105e-06,5.7457e-08,,,,,,            0.0720,            9.0644,            8.1898,           18.0389,          -79.2045,           -3.1268,            3.1204,           -0.7983,           -0.1690,          -95.4750,
Ref 16,3.06651e-08,,,,,,1.1941e-02,4.1877e-03,4.8780e-05,4.6251e-06,6.1910e-08,,,,,,,,,,,
Sam 16,3.19018e-08,1.19420e-02,4.2255e-03,4.9184e-05,4.7121e-06,6.0973e-08,,,,,,            0.0622,            9.0338,            8.3289,           18.4975,          -27.1319,           -3.1362,            3.0900,           -0.6205,            0.3420,          -44.2555,
Ref 17,3.01862e-08,,,,,,1.1941e-02,4.1876e-03,4.8774e-05,4.6279e-06,6.3449e-08,,,,,,,,,,,
Sam 17,3.13701e-08,1.19418e-02,4.2254e-03,4.9182e-05,4.7069e-06,6.1339e-08,,,,,,            0.0572,            9.0376,            8.3886,           16.9429,          -29.1467,           -3.1417,            3.0938,           -0.5599,           -1.1923,          -46.2368,
Ref 18,2.97036e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6291e-06,6.2908e-08,,,,,,,,,,,
Sam 18,3.08486e-08,1.19418e-02,4.2255e-03,4.9185e-05,4.7074e-06,6.0626e-08,,,,,,            0.0606,            9.0557,            8.4158,           17.3374,          -68.1299,           -3.1387,            3.1118,           -0.5541,           -0.8407,          -84.5695,
Ref 19,2.92305e-08,,,,,,1.1941e-02,4.1876e-03,4.8777e-05,4.6251e-06,6.7242e-08,,,,,,,,,,,
Sam 19,3.03499e-08,1.19419e-02,4.2254e-03,4.9180e-05,4.7066e-06,6.0208e-08,,,,,,            0.0660,            9.0301,            8.2633,           17.5628,          -91.3235,           -3.1320,            3.0863,           -0.6858,           -0.5686,         -107.3145,
Ref 20,2.87677e-08,,,,,,1.1941e-02,4.1875e-03,4.8778e-05,4.6256e-06,6.5260e-08,,,,,,,,,,,
Sam 20,2.98549e-08,1.19418e-02,4.2255e-03,4.9183e-05,4.7113e-06,6.1200e-08,,,,,,            0.0592,            9.0534,            8.3233,           18.4605,          -63.7568,           -3.1400,            3.1096,           -0.6421,            0.2668,          -80.2681,
Ref 21,2.83142e-08,,,,,,1.1941e-02,4.1876e-03,4.8776e-05,4.6262e-06,6.5478e-08,,,,,,,,,,,


