Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 21, 2018 at 15:22 with Stable 1.69.5 on PS019,Reanalyzed on Thursday, June 21, 2018 at 16:22 with Stable 1.69.5 on PS019

Data File = Data_6046 ETH-02.txt,         Sample Weight = 447,                      Vial Location = 45,                       Initial Sam Beam = 1.0913e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6217e-08,                Max Ref Beam = 1.0582e-07,                
Analysis undertaken at mass 46.01237
Analysis undertaken at mass 46.01237
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.96277e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6249e-06,6.2410e-08,,,,,,,,,,,
Sam 1,4.94353e-08,1.18609e-02,4.1712e-03,4.8194e-05,4.5868e-06,5.8847e-08,,,,,,           -6.7468,           -3.8793,          -11.6352,           -8.2713,          -48.4616,           -9.9355,           -9.7458,           -0.9011,           -0.5319,          -34.2311,
Ref 2,4.91123e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6253e-06,6.1273e-08,,,,,,,,,,,
Sam 2,4.89269e-08,1.18611e-02,4.1713e-03,4.8201e-05,4.5872e-06,5.7884e-08,,,,,,           -6.7407,           -3.8767,          -11.4734,           -8.2869,          -66.5486,           -9.9291,           -9.7432,           -0.7466,           -0.5528,          -52.5997,
Ref 3,4.85590e-08,,,,,,1.1942e-02,4.1875e-03,4.8760e-05,4.6259e-06,6.2756e-08,,,,,,,,,,,
Sam 3,4.84158e-08,1.18610e-02,4.1712e-03,4.8194e-05,4.5861e-06,5.9145e-08,,,,,,           -6.7413,           -3.8859,          -11.6235,           -8.6332,          -60.5851,           -9.9294,           -9.7523,           -0.8886,           -0.8835,          -46.5292,
Ref 4,4.80494e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6262e-06,6.3164e-08,,,,,,,,,,,
Sam 4,4.79210e-08,1.18608e-02,4.1711e-03,4.8197e-05,4.5866e-06,5.9098e-08,,,,,,           -6.7526,           -3.8943,          -11.5979,           -8.4354,          -57.1716,           -9.9412,           -9.7606,           -0.8427,           -0.6672,          -43.0371,
Ref 5,4.75251e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6250e-06,6.2195e-08,,,,,,,,,,,
Sam 5,4.74240e-08,1.18609e-02,4.1712e-03,4.8200e-05,4.5892e-06,5.9382e-08,,,,,,           -6.7497,           -3.8762,          -11.5078,           -7.7204,          -49.1122,           -9.9387,           -9.7427,           -0.7724,            0.0171,          -34.8943,
Ref 6,4.70086e-08,,,,,,1.1942e-02,4.1874e-03,4.8759e-05,4.6248e-06,6.2707e-08,,,,,,,,,,,
Sam 6,4.69282e-08,1.18610e-02,4.1712e-03,4.8201e-05,4.5893e-06,5.9152e-08,,,,,,           -6.7480,           -3.8663,          -11.4273,           -7.6946,          -47.8712,           -9.9373,           -9.7328,           -0.7026,            0.0233,          -33.6554,
Ref 7,4.64967e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6250e-06,6.1540e-08,,,,,,,,,,,
Sam 7,4.64535e-08,1.18609e-02,4.1712e-03,4.8193e-05,4.5897e-06,5.8748e-08,,,,,,           -6.7549,           -3.8854,          -11.6048,           -7.7040,          -57.2267,           -9.9439,           -9.7518,           -0.8561,            0.0520,          -43.1076,
Ref 8,4.59603e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6257e-06,6.3098e-08,,,,,,,,,,,
Sam 8,4.59595e-08,1.18609e-02,4.1712e-03,4.8191e-05,4.5860e-06,5.9247e-08,,,,,,           -6.7556,           -3.8834,          -11.6599,           -8.6334,          -61.8264,           -9.9447,           -9.7498,           -0.9131,           -0.8887,          -47.7791,
Ref 9,4.54858e-08,,,,,,1.1942e-02,4.1875e-03,4.8757e-05,4.6261e-06,6.3206e-08,,,,,,,,,,,
Sam 9,4.54634e-08,1.18609e-02,4.1713e-03,4.8197e-05,4.5890e-06,5.8981e-08,,,,,,           -6.7538,           -3.8738,          -11.5590,           -7.7825,          -70.3502,           -9.9431,           -9.7402,           -0.8224,           -0.0505,          -56.4503,
Ref 10,4.49941e-08,,,,,,1.1942e-02,4.1875e-03,4.8764e-05,4.6239e-06,6.3686e-08,,,,,,,,,,,
Sam 10,4.50080e-08,1.18609e-02,4.1712e-03,4.8201e-05,4.5907e-06,5.9129e-08,,,,,,           -6.7517,           -3.8939,          -11.5256,           -7.3213,          -75.7682,           -9.9403,           -9.7603,           -0.7709,            0.4548,          -61.9142,
Ref 11,4.44959e-08,,,,,,1.1942e-02,4.1876e-03,4.8761e-05,4.6251e-06,6.4271e-08,,,,,,,,,,,
Sam 11,4.45633e-08,1.18609e-02,4.1712e-03,4.8200e-05,4.5877e-06,5.8275e-08,,,,,,           -6.7516,           -3.9061,          -11.4734,           -8.1552,          -92.7024,           -9.9397,           -9.7725,           -0.7061,           -0.3611,          -79.0799,
Ref 12,4.40104e-08,,,,,,1.1942e-02,4.1876e-03,4.8757e-05,4.6257e-06,6.4187e-08,,,,,,,,,,,
Sam 12,4.41253e-08,1.18608e-02,4.1712e-03,4.8196e-05,4.5902e-06,5.9076e-08,,,,,,           -6.7594,           -3.9053,          -11.5350,           -7.6769,          -77.4844,           -9.9480,           -9.7716,           -0.7612,            0.1193,          -63.6274,
Ref 13,4.35704e-08,,,,,,1.1942e-02,4.1875e-03,4.8761e-05,4.6258e-06,6.3887e-08,,,,,,,,,,,
Sam 13,4.36664e-08,1.18608e-02,4.1712e-03,4.8201e-05,4.5863e-06,6.0647e-08,,,,,,           -6.7598,           -3.8955,          -11.4860,           -8.3147,          -42.4675,           -9.9488,           -9.7618,           -0.7209,           -0.5432,          -28.1028,
Ref 14,4.31084e-08,,,,,,1.1942e-02,4.1875e-03,4.8762e-05,4.6238e-06,6.2780e-08,,,,,,,,,,,
Sam 14,4.32421e-08,1.18608e-02,4.1712e-03,4.8195e-05,4.5896e-06,5.9662e-08,,,,,,           -6.7570,           -3.9021,          -11.5769,           -7.6776,          -62.7620,           -9.9455,           -9.7684,           -0.8092,            0.1121,          -48.6922,
Ref 15,4.26642e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6265e-06,6.4544e-08,,,,,,,,,,,
Sam 15,4.27931e-08,1.18608e-02,4.1712e-03,4.8194e-05,4.5884e-06,5.9043e-08,,,,,,           -6.7559,           -3.8884,          -11.5510,           -8.0481,          -82.8106,           -9.9449,           -9.7548,           -0.7976,           -0.2887,          -69.0680,
Ref 16,4.22123e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6247e-06,6.4202e-08,,,,,,,,,,,
Sam 16,4.23583e-08,1.18609e-02,4.1712e-03,4.8196e-05,4.5889e-06,6.1042e-08,,,,,,           -6.7436,           -3.8884,          -11.5562,           -7.7346,          -51.2392,           -9.9318,           -9.7548,           -0.8157,            0.0273,          -37.0362,
Ref 17,4.17766e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6245e-06,6.4478e-08,,,,,,,,,,,
Sam 17,4.19359e-08,1.18608e-02,4.1712e-03,4.8203e-05,4.5894e-06,6.0152e-08,,,,,,           -6.7454,           -3.8874,          -11.5583,           -7.8643,          -71.7139,           -9.9338,           -9.7538,           -0.8169,           -0.1055,          -57.8174,
Ref 18,4.13318e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6270e-06,6.5124e-08,,,,,,,,,,,
Sam 18,4.14909e-08,1.18607e-02,4.1712e-03,4.8209e-05,4.5879e-06,5.9862e-08,,,,,,           -6.7414,           -3.8812,          -11.4258,           -8.4447,          -83.0481,           -9.9297,           -9.7477,           -0.6933,           -0.7029,          -69.3367,
Ref 19,4.09185e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6268e-06,6.5445e-08,,,,,,,,,,,
Sam 19,4.10952e-08,1.18607e-02,4.1712e-03,4.8201e-05,4.5883e-06,6.0852e-08,,,,,,           -6.7478,           -3.8895,          -11.5612,           -8.1922,          -68.2390,           -9.9363,           -9.7560,           -0.8152,           -0.4317,          -54.2841,
Ref 20,4.04878e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6256e-06,6.5170e-08,,,,,,,,,,,
Sam 20,4.06635e-08,1.18607e-02,4.1711e-03,4.8201e-05,4.5903e-06,5.9493e-08,,,,,,           -6.7532,           -3.8995,          -11.5516,           -7.6289,          -69.0928,           -9.9417,           -9.7659,           -0.7901,            0.1562,          -55.1266,
Ref 21,4.00410e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6255e-06,6.2632e-08,,,,,,,,,,,


Ref 1,3.98052e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6254e-06,6.3013e-08,,,,,,,,,,,
Sam 1,4.00325e-08,1.18608e-02,4.1713e-03,4.8202e-05,4.5889e-06,5.9850e-08,,,,,,           -6.7558,           -3.9009,          -11.6188,           -8.2845,          -66.3306,           -9.9443,           -9.7672,           -0.8540,           -0.5020,          -52.3178,
Ref 2,3.93760e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6292e-06,6.5203e-08,,,,,,,,,,,
Sam 2,3.96092e-08,1.18607e-02,4.1712e-03,4.8201e-05,4.5901e-06,6.0679e-08,,,,,,           -6.7549,           -3.9036,          -11.6361,           -7.8082,          -76.7153,           -9.9433,           -9.7699,           -0.8697,           -0.0165,          -62.8542,
Ref 3,3.89782e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6233e-06,6.6244e-08,,,,,,,,,,,
Sam 3,3.92052e-08,1.18607e-02,4.1712e-03,4.8203e-05,4.5872e-06,6.1140e-08,,,,,,           -6.7545,           -3.9076,          -11.5474,           -7.6385,          -62.7455,           -9.9428,           -9.7739,           -0.7765,            0.1627,          -48.6675,
Ref 4,3.85665e-08,,,,,,1.1941e-02,4.1876e-03,4.8764e-05,4.6216e-06,6.4211e-08,,,,,,,,,,,
Sam 4,3.88127e-08,1.18607e-02,4.1713e-03,4.8203e-05,4.5892e-06,6.0104e-08,,,,,,           -6.7593,           -3.8964,          -11.5080,           -7.3420,          -72.6023,           -9.9483,           -9.7627,           -0.7428,            0.4389,          -58.6884,
Ref 5,3.81935e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6247e-06,6.5414e-08,,,,,,,,,,,
Sam 5,3.84291e-08,1.18608e-02,4.1713e-03,4.8206e-05,4.5908e-06,6.1263e-08,,,,,,           -6.7528,           -3.8879,          -11.4279,           -7.7352,          -69.8904,           -9.9416,           -9.7543,           -0.6770,            0.0257,          -55.9583,
Ref 6,3.77914e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6284e-06,6.6323e-08,,,,,,,,,,,
Sam 6,3.80226e-08,1.18609e-02,4.1714e-03,4.8206e-05,4.5888e-06,6.1856e-08,,,,,,           -6.7475,           -3.8722,          -11.4665,           -8.2318,          -59.5695,           -9.9365,           -9.7387,           -0.7369,           -0.5063,          -45.5177,
Ref 7,3.74022e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6254e-06,6.5220e-08,,,,,,,,,,,
Sam 7,3.76472e-08,1.18610e-02,4.1714e-03,4.8202e-05,4.5889e-06,6.2407e-08,,,,,,           -6.7447,           -3.8860,          -11.5485,           -7.9136,          -66.9088,           -9.9331,           -9.7524,           -0.8091,           -0.1581,          -52.9438,
Ref 8,3.70305e-08,,,,,,1.1942e-02,4.1876e-03,4.8763e-05,4.6256e-06,6.8560e-08,,,,,,,,,,,
Sam 8,3.72806e-08,1.18608e-02,4.1713e-03,4.8203e-05,4.5901e-06,6.2104e-08,,,,,,           -6.7673,           -3.9007,          -11.5638,           -7.8015,          -69.6276,           -9.9566,           -9.7670,           -0.7867,           -0.0155,          -55.6530,
Ref 9,3.66520e-08,,,,,,1.1942e-02,4.1876e-03,4.8771e-05,4.6266e-06,6.4926e-08,,,,,,,,,,,
Sam 9,3.69214e-08,1.18607e-02,4.1713e-03,4.8207e-05,4.5867e-06,6.1285e-08,,,,,,           -6.7611,           -3.8880,          -11.5401,           -8.7086,          -35.4376,           -9.9504,           -9.7544,           -0.7817,           -0.9552,          -20.9806,
Ref 10,3.62964e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6274e-06,6.2133e-08,,,,,,,,,,,
Sam 10,3.65524e-08,1.18609e-02,4.1714e-03,4.8199e-05,4.5903e-06,5.8635e-08,,,,,,           -6.7461,           -3.8803,          -11.6860,           -7.8454,          -74.5138,           -9.9347,           -9.7468,           -0.9524,           -0.1007,          -60.6718,
Ref 11,3.59333e-08,,,,,,1.1941e-02,4.1876e-03,4.8770e-05,4.6258e-06,6.4592e-08,,,,,,,,,,,
Sam 11,3.61931e-08,1.18608e-02,4.1713e-03,4.8204e-05,4.5864e-06,5.9776e-08,,,,,,           -6.7466,           -3.8896,          -11.5890,           -8.8064,          -83.8764,           -9.9350,           -9.7560,           -0.8444,           -1.0505,          -70.1567,
Ref 12,3.55692e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6285e-06,6.5912e-08,,,,,,,,,,,
Sam 12,3.58464e-08,1.18608e-02,4.1713e-03,4.8204e-05,4.5912e-06,5.9925e-08,,,,,,           -6.7420,           -3.8927,          -11.5585,           -8.0163,          -80.9445,           -9.9299,           -9.7591,           -0.8155,           -0.2481,          -67.1800,
Ref 13,3.52240e-08,,,,,,1.1941e-02,4.1876e-03,4.8768e-05,4.6281e-06,6.4487e-08,,,,,,,,,,,
Sam 13,3.55005e-08,1.18608e-02,4.1713e-03,4.8207e-05,4.5865e-06,6.0126e-08,,,,,,           -6.7442,           -3.9042,          -11.4860,           -8.7986,          -65.0792,           -9.9319,           -9.7706,           -0.7285,           -1.0133,          -51.0531,
Ref 14,3.48822e-08,,,,,,1.1941e-02,4.1877e-03,4.8766e-05,4.6263e-06,6.4134e-08,,,,,,,,,,,
Sam 14,3.51566e-08,1.18607e-02,4.1713e-03,4.8205e-05,4.5892e-06,5.9305e-08,,,,,,           -6.7531,           -3.8939,          -11.4654,           -8.1894,          -81.6474,           -9.9417,           -9.7603,           -0.7086,           -0.4201,          -67.8800,
Ref 15,3.45246e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6278e-06,6.5026e-08,,,,,,,,,,,
Sam 15,3.48263e-08,1.18607e-02,4.1713e-03,4.8196e-05,4.5894e-06,5.8558e-08,,,,,,           -6.7519,           -3.9032,          -11.6456,           -8.0149,          -96.1365,           -9.9401,           -9.7695,           -0.8828,           -0.2256,          -82.5706,
Ref 16,3.41976e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6250e-06,6.4545e-08,,,,,,,,,,,
Sam 16,3.44841e-08,1.18606e-02,4.1713e-03,4.8208e-05,4.5876e-06,5.9430e-08,,,,,,           -6.7505,           -3.8999,          -11.5100,           -8.0844,          -87.1951,           -9.9387,           -9.7662,           -0.7505,           -0.3023,          -73.5026,
Ref 17,3.38709e-08,,,,,,1.1941e-02,4.1876e-03,4.8772e-05,4.6249e-06,6.5674e-08,,,,,,,,,,,
Sam 17,3.41679e-08,1.18605e-02,4.1712e-03,4.8210e-05,4.5904e-06,6.1351e-08,,,,,,           -6.7586,           -3.9079,          -11.4456,           -7.5534,          -58.9556,           -9.9471,           -9.7742,           -0.6690,            0.2489,          -44.8161,
Ref 18,3.35409e-08,,,,,,1.1941e-02,4.1876e-03,4.8765e-05,4.6258e-06,6.4711e-08,,,,,,,,,,,
Sam 18,3.38374e-08,1.18606e-02,4.1712e-03,4.8200e-05,4.5881e-06,6.1845e-08,,,,,,           -6.7479,           -3.9007,          -11.5522,           -8.3243,          -48.2593,           -9.9359,           -9.7670,           -0.7951,           -0.5424,          -33.9839,
Ref 19,3.32291e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6274e-06,6.5253e-08,,,,,,,,,,,
Sam 19,3.35062e-08,1.18606e-02,4.1713e-03,4.8214e-05,4.5906e-06,5.9777e-08,,,,,,           -6.7470,           -3.8828,          -11.3075,           -7.9115,          -73.8032,           -9.9356,           -9.7493,           -0.5662,           -0.1622,          -59.9450,
Ref 20,3.28992e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6269e-06,6.3820e-08,,,,,,,,,,,
Sam 20,3.31972e-08,1.18607e-02,4.1713e-03,4.8207e-05,4.5864e-06,6.0506e-08,,,,,,           -6.7466,           -3.8886,          -11.4599,           -8.8442,          -67.6972,           -9.9350,           -9.7550,           -0.7150,           -1.0907,          -53.7372,
Ref 21,3.25768e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6277e-06,6.5989e-08,,,,,,,,,,,


Ref 1,3.24375e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6230e-06,6.3477e-08,,,,,,,,,,,
Sam 1,3.27367e-08,1.18607e-02,4.1713e-03,4.8207e-05,4.5905e-06,5.8183e-08,,,,,,           -6.7493,           -3.8896,          -11.4083,           -7.2390,          -80.8291,           -9.9378,           -9.7560,           -0.6590,            0.5292,          -67.0611,
Ref 2,3.21251e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6250e-06,6.3120e-08,,,,,,,,,,,
Sam 2,3.24172e-08,1.18606e-02,4.1713e-03,4.8200e-05,4.5865e-06,6.0279e-08,,,,,,           -6.7522,           -3.8905,          -11.7087,           -8.5701,          -66.6094,           -9.9409,           -9.7569,           -0.9588,           -0.8106,          -52.6239,
Ref 3,3.18074e-08,,,,,,1.1941e-02,4.1876e-03,4.8777e-05,4.6272e-06,6.6056e-08,,,,,,,,,,,
Sam 3,3.21213e-08,1.18606e-02,4.1712e-03,4.8203e-05,4.5890e-06,5.9793e-08,,,,,,           -6.7520,           -3.9050,          -11.6664,           -8.1940,          -93.0225,           -9.9402,           -9.7713,           -0.9020,           -0.4025,          -79.4066,
Ref 4,3.15123e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6266e-06,6.5795e-08,,,,,,,,,,,
Sam 4,3.18105e-08,1.18605e-02,4.1712e-03,4.8203e-05,4.5885e-06,6.2317e-08,,,,,,           -6.7584,           -3.8843,          -11.5753,           -7.7163,          -54.4228,           -9.9476,           -9.7508,           -0.8237,            0.0375,          -40.2600,
Ref 5,3.12213e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6217e-06,6.6013e-08,,,,,,,,,,,
Sam 5,3.15126e-08,1.18605e-02,4.1713e-03,4.8209e-05,4.5875e-06,6.1017e-08,,,,,,           -6.7549,           -3.8643,          -11.4874,           -7.8168,          -83.0610,           -9.9447,           -9.7308,           -0.7582,           -0.1039,          -69.3674,
Ref 6,3.09248e-08,,,,,,1.1941e-02,4.1875e-03,4.8772e-05,4.6257e-06,6.7080e-08,,,,,,,,,,,
Sam 6,3.12192e-08,1.18604e-02,4.1713e-03,4.8209e-05,4.5894e-06,6.3056e-08,,,,,,           -6.7562,           -3.8779,          -11.5057,           -7.7872,          -69.2582,           -9.9456,           -9.7444,           -0.7620,           -0.0468,          -55.3318,
Ref 7,3.06442e-08,,,,,,1.1941e-02,4.1875e-03,4.8768e-05,4.6252e-06,6.8423e-08,,,,,,,,,,,
Sam 7,3.09208e-08,1.18606e-02,4.1712e-03,4.8206e-05,4.5892e-06,6.1999e-08,,,,,,           -6.7296,           -3.8875,          -11.5313,           -7.7124,          -85.6337,           -9.9169,           -9.7540,           -0.8058,            0.0479,          -71.9611,
Ref 8,3.03452e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6244e-06,6.7182e-08,,,,,,,,,,,
Sam 8,3.06306e-08,1.18603e-02,4.1712e-03,4.8199e-05,4.5907e-06,6.1431e-08,,,,,,           -6.7506,           -3.8794,          -11.6733,           -7.5131,          -77.7949,           -9.9395,           -9.7459,           -0.9357,            0.2325,          -63.9991,
Ref 9,3.00639e-08,,,,,,1.1941e-02,4.1874e-03,4.8767e-05,4.6265e-06,6.6038e-08,,,,,,,,,,,
Sam 9,3.03549e-08,1.18603e-02,4.1712e-03,4.8208e-05,4.5883e-06,6.1712e-08,,,,,,           -6.7461,           -3.8918,          -11.5251,           -8.3122,          -69.4080,           -9.9343,           -9.7582,           -0.7783,           -0.5482,          -55.4683,
Ref 10,2.97891e-08,,,,,,1.1941e-02,4.1875e-03,4.8773e-05,4.6270e-06,6.6594e-08,,,,,,,,,,,
Sam 10,3.00693e-08,1.18603e-02,4.1712e-03,4.8209e-05,4.5860e-06,6.1400e-08,,,,,,           -6.7416,           -3.8756,          -11.4372,           -8.4461,          -78.1499,           -9.9301,           -9.7421,           -0.7102,           -0.7156,          -64.3755,
Ref 11,2.95155e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6232e-06,6.6617e-08,,,,,,,,,,,
Sam 11,2.97842e-08,1.18603e-02,4.1712e-03,4.8211e-05,4.5899e-06,6.3501e-08,,,,,,           -6.7467,           -3.8771,          -11.3057,           -7.4239,          -47.6101,           -9.9355,           -9.7436,           -0.5704,            0.3177,          -33.3712,
Ref 12,2.92523e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6252e-06,6.6734e-08,,,,,,,,,,,
Sam 12,2.95229e-08,1.18601e-02,4.1711e-03,4.8199e-05,4.5883e-06,6.3342e-08,,,,,,           -6.7563,           -3.8917,          -11.6316,           -7.7657,          -62.9731,           -9.9452,           -9.7581,           -0.8755,            0.0025,          -48.9267,
Ref 13,2.89824e-08,,,,,,1.1941e-02,4.1874e-03,4.8769e-05,4.6232e-06,6.8472e-08,,,,,,,,,,,
Sam 13,2.92479e-08,1.18603e-02,4.1711e-03,4.8200e-05,4.5902e-06,6.1462e-08,,,,,,           -6.7362,           -3.8870,          -11.6735,           -7.6172,          -96.6201,           -9.9240,           -9.7535,           -0.9433,            0.1428,          -83.1063,
Ref 14,2.87132e-08,,,,,,1.1941e-02,4.1875e-03,4.8770e-05,4.6277e-06,6.7594e-08,,,,,,,,,,,
Sam 14,2.89718e-08,1.18603e-02,4.1712e-03,4.8203e-05,4.5877e-06,6.1232e-08,,,,,,           -6.7340,           -3.8858,          -11.6880,           -8.5059,          -91.0250,           -9.9217,           -9.7522,           -0.9614,           -0.7553,          -77.4319,
Ref 15,2.84501e-08,,,,,,1.1941e-02,4.1874e-03,4.8775e-05,4.6263e-06,6.7132e-08,,,,,,,,,,,
Sam 15,2.87050e-08,1.18602e-02,4.1711e-03,4.8210e-05,4.5904e-06,6.3160e-08,,,,,,           -6.7478,           -3.8801,          -11.4829,           -7.9471,          -53.9740,           -9.9365,           -9.7465,           -0.7455,           -0.2037,          -39.8235,
Ref 16,2.81995e-08,,,,,,1.1941e-02,4.1873e-03,4.8764e-05,4.6280e-06,6.6391e-08,,,,,,,,,,,
Sam 16,2.84508e-08,1.18601e-02,4.1711e-03,4.8205e-05,4.5890e-06,6.2693e-08,,,,,,           -6.7544,           -3.8607,          -11.5427,           -8.1953,          -67.7283,           -9.9442,           -9.7272,           -0.8182,           -0.4926,          -53.8130,
Ref 17,2.79433e-08,,,,,,1.1941e-02,4.1872e-03,4.8773e-05,4.6258e-06,6.8113e-08,,,,,,,,,,,
Sam 17,2.81827e-08,1.18601e-02,4.1711e-03,4.8201e-05,4.5866e-06,6.4305e-08,,,,,,           -6.7478,           -3.8632,          -11.7557,           -8.6766,          -52.1856,           -9.9372,           -9.7297,           -1.0379,           -0.9727,          -38.0403,
Ref 18,2.76972e-08,,,,,,1.1941e-02,4.1873e-03,4.8776e-05,4.6276e-06,6.7575e-08,,,,,,,,,,,
Sam 18,2.79310e-08,1.18601e-02,4.1711e-03,4.8205e-05,4.5880e-06,6.3034e-08,,,,,,           -6.7506,           -3.8725,          -11.6752,           -8.4314,          -63.5131,           -9.9398,           -9.7390,           -0.9444,           -0.7068,          -49.5166,
Ref 19,2.74434e-08,,,,,,1.1941e-02,4.1873e-03,4.8774e-05,4.6264e-06,6.7040e-08,,,,,,,,,,,
Sam 19,2.76778e-08,1.18601e-02,4.1710e-03,4.8205e-05,4.5908e-06,6.0129e-08,,,,,,           -6.7440,           -3.9031,          -11.7243,           -7.5800,         -101.2775,           -9.9317,           -9.7695,           -0.9706,            0.2127,          -87.7967,
Ref 20,2.72049e-08,,,,,,1.1941e-02,4.1873e-03,4.8779e-05,4.6254e-06,6.6767e-08,,,,,,,,,,,
Sam 20,2.74391e-08,1.18599e-02,4.1710e-03,4.8202e-05,4.5877e-06,6.0671e-08,,,,,,           -6.7554,           -3.8890,          -11.6941,           -8.1661,          -94.9394,           -9.9444,           -9.7554,           -0.9422,           -0.4064,          -81.3778,
Ref 21,2.69712e-08,,,,,,1.1940e-02,4.1872e-03,4.8766e-05,4.6256e-06,6.7306e-08,,,,,,,,,,,


