Nu Stable Isotope Analysis Program
Data Collected on Friday, June 29, 2018 at 03:36 with Stable 1.69.5 on PS019,Reanalyzed on Friday, June 29, 2018 at 04:36 with Stable 1.69.5 on PS019

Data File = Data_6156 88KL 100.txt,       Sample Weight = 813,                      Vial Location = 8,                        Initial Sam Beam = 1.0523e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5777e-08,                Max Ref Beam = 1.0608e-07,                
Analysis undertaken at mass 46.0172
Analysis undertaken at mass 46.0172
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.20562e-08,,,,,,1.1942e-02,4.1876e-03,4.8752e-05,4.6242e-06,5.9416e-08,,,,,,,,,,,
Sam 1,9.21071e-08,1.19984e-02,4.2119e-03,4.9240e-05,4.6772e-06,5.8245e-08,,,,,,            4.6853,            5.8206,           10.0461,           11.4448,          -23.2394,            1.8951,           -0.1178,           -0.5324,           -0.2275,          -39.1146,
Ref 2,8.99520e-08,,,,,,1.1943e-02,4.1875e-03,4.8749e-05,4.6245e-06,5.9851e-08,,,,,,,,,,,
Sam 2,9.01690e-08,1.19984e-02,4.2119e-03,4.9239e-05,4.6790e-06,5.8063e-08,,,,,,            4.6794,            5.8150,           10.0284,           11.5638,          -29.2934,            1.8890,           -0.1233,           -0.5384,           -0.0988,          -45.0538,
Ref 3,8.78506e-08,,,,,,1.1942e-02,4.1875e-03,4.8753e-05,4.6265e-06,5.9779e-08,,,,,,,,,,,
Sam 3,8.82083e-08,1.19983e-02,4.2119e-03,4.9242e-05,4.6791e-06,5.8521e-08,,,,,,            4.6756,            5.8088,           10.0052,           11.4938,          -15.7688,            1.8852,           -0.1294,           -0.5515,           -0.1558,          -31.7333,
Ref 4,8.57991e-08,,,,,,1.1942e-02,4.1875e-03,4.8755e-05,4.6254e-06,5.9130e-08,,,,,,,,,,,
Sam 4,8.62776e-08,1.19983e-02,4.2119e-03,4.9245e-05,4.6785e-06,5.9188e-08,,,,,,            4.6826,            5.8219,           10.0661,           11.3840,           -5.2493,            1.8921,           -0.1164,           -0.5111,           -0.2903,          -21.4166,
Ref 5,8.37798e-08,,,,,,1.1942e-02,4.1876e-03,4.8754e-05,4.6262e-06,5.9879e-08,,,,,,,,,,,
Sam 5,8.44449e-08,1.19983e-02,4.2119e-03,4.9246e-05,4.6795e-06,5.9551e-08,,,,,,            4.6762,            5.7967,           10.0868,           11.4993,           -1.4555,            1.8863,           -0.1415,           -0.4596,           -0.1263,          -17.6295,
Ref 6,8.18389e-08,,,,,,1.1942e-02,4.1876e-03,4.8754e-05,4.6263e-06,5.9391e-08,,,,,,,,,,,
Sam 6,8.26428e-08,1.19981e-02,4.2119e-03,4.9243e-05,4.6785e-06,5.9095e-08,,,,,,            4.6672,            5.8022,            9.9935,           11.2380,           -9.6887,            1.8764,           -0.1360,           -0.5480,           -0.3954,          -25.7304,
Ref 7,7.99544e-08,,,,,,1.1942e-02,4.1875e-03,4.8757e-05,4.6268e-06,5.9962e-08,,,,,,,,,,,
Sam 7,8.09061e-08,1.19981e-02,4.2119e-03,4.9247e-05,4.6785e-06,5.9179e-08,,,,,,            4.6719,            5.8033,           10.0878,           11.0817,          -15.5621,            1.8815,           -0.1350,           -0.4605,           -0.5520,          -31.5156,
Ref 8,7.81051e-08,,,,,,1.1942e-02,4.1876e-03,4.8753e-05,4.6277e-06,6.0271e-08,,,,,,,,,,,
Sam 8,7.91757e-08,1.19980e-02,4.2118e-03,4.9248e-05,4.6776e-06,5.9325e-08,,,,,,            4.6666,            5.7991,           10.1723,           10.9645,          -13.6183,            1.8759,           -0.1391,           -0.3674,           -0.6596,          -29.5899,
Ref 9,7.63505e-08,,,,,,1.1942e-02,4.1875e-03,4.8751e-05,4.6260e-06,6.0014e-08,,,,,,,,,,,
Sam 9,7.74781e-08,1.19981e-02,4.2118e-03,4.9241e-05,4.6792e-06,5.9189e-08,,,,,,            4.6801,            5.8138,           10.0430,           11.4816,          -10.0155,            1.8898,           -0.1245,           -0.5235,           -0.1776,          -26.0872,
Ref 10,7.46221e-08,,,,,,1.1942e-02,4.1875e-03,4.8753e-05,4.6262e-06,5.9557e-08,,,,,,,,,,,
Sam 10,7.58775e-08,1.19980e-02,4.2118e-03,4.9245e-05,4.6797e-06,5.8175e-08,,,,,,            4.6746,            5.8014,           10.1274,           11.4654,          -25.4581,            1.8844,           -0.1369,           -0.4222,           -0.1690,          -41.2504,
Ref 11,7.29610e-08,,,,,,1.1942e-02,4.1876e-03,4.8751e-05,4.6271e-06,5.9837e-08,,,,,,,,,,,
Sam 11,7.43005e-08,1.19980e-02,4.2118e-03,4.9243e-05,4.6793e-06,5.7656e-08,,,,,,            4.6839,            5.8006,           10.0604,           11.3749,          -33.4325,            1.8942,           -0.1377,           -0.4973,           -0.2569,          -49.1034,
Ref 12,7.13615e-08,,,,,,1.1942e-02,4.1875e-03,4.8754e-05,4.6262e-06,5.9459e-08,,,,,,,,,,,
Sam 12,7.27486e-08,1.19981e-02,4.2119e-03,4.9241e-05,4.6773e-06,5.8625e-08,,,,,,            4.6869,            5.8249,            9.9830,           11.1332,          -21.2548,            1.8967,           -0.1135,           -0.6008,           -0.5442,          -37.1720,
Ref 13,6.97833e-08,,,,,,1.1942e-02,4.1876e-03,4.8756e-05,4.6254e-06,6.0348e-08,,,,,,,,,,,
Sam 13,7.12743e-08,1.19980e-02,4.2119e-03,4.9245e-05,4.6790e-06,5.8370e-08,,,,,,            4.6793,            5.8103,           10.0123,           11.5334,          -24.8596,            1.8890,           -0.1280,           -0.5497,           -0.1195,          -40.6830,
Ref 14,6.82837e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6260e-06,5.9358e-08,,,,,,,,,,,
Sam 14,6.98318e-08,1.19978e-02,4.2118e-03,4.9240e-05,4.6813e-06,5.8467e-08,,,,,,            4.6712,            5.7867,            9.8719,           11.8314,          -22.8805,            1.8812,           -0.1514,           -0.6572,            0.2219,          -38.6835,
Ref 15,6.68158e-08,,,,,,1.1942e-02,4.1875e-03,4.8760e-05,4.6272e-06,6.0325e-08,,,,,,,,,,,
Sam 15,6.84476e-08,1.19978e-02,4.2118e-03,4.9241e-05,4.6803e-06,5.8994e-08,,,,,,            4.6696,            5.7910,            9.8895,           11.4219,          -20.8197,            1.8794,           -0.1472,           -0.6424,           -0.1913,          -36.6625,
Ref 16,6.53803e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6277e-06,6.0170e-08,,,,,,,,,,,
Sam 16,6.70675e-08,1.19977e-02,4.2118e-03,4.9242e-05,4.6803e-06,5.8544e-08,,,,,,            4.6738,            5.7926,            9.9581,           11.3304,          -33.7567,            1.8838,           -0.1456,           -0.5804,           -0.2850,          -49.3974,
Ref 17,6.40113e-08,,,,,,1.1942e-02,4.1875e-03,4.8755e-05,4.6280e-06,6.1018e-08,,,,,,,,,,,
Sam 17,6.57337e-08,1.19977e-02,4.2117e-03,4.9241e-05,4.6791e-06,5.8875e-08,,,,,,            4.6806,            5.7898,            9.9658,           11.1311,          -29.7898,            1.8912,           -0.1484,           -0.5771,           -0.4765,          -45.4964,
Ref 18,6.26735e-08,,,,,,1.1942e-02,4.1875e-03,4.8755e-05,4.6271e-06,6.0340e-08,,,,,,,,,,,
Sam 18,6.44441e-08,1.19976e-02,4.2117e-03,4.9240e-05,4.6794e-06,5.9545e-08,,,,,,            4.6781,            5.7833,            9.9811,           11.1229,           -7.9975,            1.8887,           -0.1549,           -0.5528,           -0.4717,          -24.0418,
Ref 19,6.13797e-08,,,,,,1.1942e-02,4.1875e-03,4.8752e-05,4.6287e-06,5.9704e-08,,,,,,,,,,,
Sam 19,6.31062e-08,1.19978e-02,4.2119e-03,4.9241e-05,4.6799e-06,5.9128e-08,,,,,,            4.6941,            5.8366,           10.0175,           11.1782,          -11.5837,            1.9039,           -0.1019,           -0.5854,           -0.5229,          -27.6878,
Ref 20,6.01004e-08,,,,,,1.1942e-02,4.1875e-03,4.8753e-05,4.6276e-06,5.9940e-08,,,,,,,,,,,
Sam 20,6.18896e-08,1.19976e-02,4.2119e-03,4.9245e-05,4.6796e-06,5.9443e-08,,,,,,            4.6835,            5.8230,            9.9959,           11.1670,          -11.3082,            1.8931,           -0.1153,           -0.5827,           -0.5071,          -27.3801,
Ref 21,5.88767e-08,,,,,,1.1942e-02,4.1875e-03,4.8763e-05,4.6283e-06,6.0311e-08,,,,,,,,,,,


Ref 1,5.82889e-08,,,,,,1.1942e-02,4.1874e-03,4.8755e-05,4.6275e-06,6.0407e-08,,,,,,,,,,,
Sam 1,6.01150e-08,1.19976e-02,4.2118e-03,4.9245e-05,4.6803e-06,5.8084e-08,,,,,,            4.6939,            5.8245,           10.0230,           11.5723,          -30.5642,            1.9041,           -0.1139,           -0.5679,           -0.1092,          -46.3363,
Ref 2,5.71054e-08,,,,,,1.1942e-02,4.1875e-03,4.8758e-05,4.6260e-06,5.9413e-08,,,,,,,,,,,
Sam 2,5.89387e-08,1.19975e-02,4.2118e-03,4.9241e-05,4.6819e-06,5.8594e-08,,,,,,            4.6869,            5.8203,            9.9096,           11.8857,          -16.0521,            1.8968,           -0.1180,           -0.6689,            0.2087,          -32.0453,
Ref 3,5.59221e-08,,,,,,1.1942e-02,4.1875e-03,4.8759e-05,4.6279e-06,5.9689e-08,,,,,,,,,,,
Sam 3,5.78534e-08,1.19973e-02,4.2117e-03,4.9243e-05,4.6789e-06,5.8664e-08,,,,,,            4.6651,            5.7767,            9.9856,           11.0908,          -16.4294,            1.8751,           -0.1614,           -0.5286,           -0.4902,          -32.3114,
Ref 4,5.48106e-08,,,,,,1.1942e-02,4.1875e-03,4.8754e-05,4.6273e-06,5.9598e-08,,,,,,,,,,,
Sam 4,5.67072e-08,1.19974e-02,4.2118e-03,4.9245e-05,4.6796e-06,5.8093e-08,,,,,,            4.6848,            5.8152,           10.0636,           11.4065,          -14.7647,            1.8947,           -0.1232,           -0.5093,           -0.2546,          -30.7669,
Ref 5,5.37692e-08,,,,,,1.1941e-02,4.1873e-03,4.8756e-05,4.6264e-06,5.8317e-08,,,,,,,,,,,
Sam 5,5.56649e-08,1.19974e-02,4.2117e-03,4.9245e-05,4.6791e-06,5.7311e-08,,,,,,            4.6962,            5.8089,           10.0526,           11.2720,          -23.0985,            1.9071,           -0.1294,           -0.5258,           -0.3751,          -38.9651,
Ref 6,5.27182e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6276e-06,5.9022e-08,,,,,,,,,,,
Sam 6,5.45797e-08,1.19973e-02,4.2117e-03,4.9245e-05,4.6807e-06,5.8405e-08,,,,,,            4.6861,            5.8149,           10.0557,           11.2995,          -18.1857,            1.8962,           -0.1234,           -0.5182,           -0.3599,          -34.1331,
Ref 7,5.16815e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6293e-06,5.9961e-08,,,,,,,,,,,
Sam 7,5.35650e-08,1.19973e-02,4.2117e-03,4.9243e-05,4.6810e-06,5.7522e-08,,,,,,            4.6820,            5.8124,           10.0042,           11.2431,          -42.3085,            1.8919,           -0.1259,           -0.5626,           -0.4107,          -57.8555,
Ref 8,5.06869e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6286e-06,6.0167e-08,,,,,,,,,,,
Sam 8,5.25987e-08,1.19971e-02,4.2116e-03,4.9240e-05,4.6816e-06,5.8272e-08,,,,,,            4.6701,            5.7778,            9.9475,           11.5631,          -24.5614,            1.8804,           -0.1603,           -0.5727,           -0.0256,          -40.3195,
Ref 9,4.96938e-08,,,,,,1.1941e-02,4.1875e-03,4.8756e-05,4.6275e-06,5.9304e-08,,,,,,,,,,,
Sam 9,5.16109e-08,1.19970e-02,4.2116e-03,4.9246e-05,4.6804e-06,5.7780e-08,,,,,,            4.6613,            5.7743,           10.1085,           11.2710,          -26.1627,            1.8712,           -0.1638,           -0.4008,           -0.3072,          -41.8793,
Ref 10,4.87600e-08,,,,,,1.1941e-02,4.1874e-03,4.8750e-05,4.6289e-06,5.9361e-08,,,,,,,,,,,
Sam 10,5.06277e-08,1.19972e-02,4.2117e-03,4.9244e-05,4.6795e-06,5.7090e-08,,,,,,            4.6796,            5.8159,           10.0529,           11.0247,          -43.6806,            1.8892,           -0.1224,           -0.5153,           -0.6335,          -59.2093,
Ref 11,4.78478e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6281e-06,6.0041e-08,,,,,,,,,,,
Sam 11,4.97396e-08,1.19971e-02,4.2116e-03,4.9244e-05,4.6802e-06,5.7570e-08,,,,,,            4.6785,            5.7929,            9.9818,           11.1912,          -34.8490,            1.8888,           -0.1453,           -0.5621,           -0.4233,          -50.4773,
Ref 12,4.69685e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6288e-06,5.9250e-08,,,,,,,,,,,
Sam 12,4.87914e-08,1.19971e-02,4.2117e-03,4.9241e-05,4.6805e-06,5.8154e-08,,,,,,            4.6854,            5.8128,            9.9545,           11.1585,           -9.5009,            1.8955,           -0.1255,           -0.6157,           -0.4951,          -25.5848,
Ref 13,4.60751e-08,,,,,,1.1941e-02,4.1874e-03,4.8755e-05,4.6289e-06,5.8163e-08,,,,,,,,,,,
Sam 13,4.79183e-08,1.19971e-02,4.2117e-03,4.9249e-05,4.6796e-06,5.6867e-08,,,,,,            4.6801,            5.8063,           10.1215,           10.9074,          -26.7199,            1.8900,           -0.1320,           -0.4385,           -0.7304,          -42.5065,
Ref 14,4.52023e-08,,,,,,1.1941e-02,4.1874e-03,4.8757e-05,4.6293e-06,5.8697e-08,,,,,,,,,,,
Sam 14,4.70605e-08,1.19972e-02,4.2117e-03,4.9243e-05,4.6808e-06,5.6752e-08,,,,,,            4.6855,            5.7958,            9.9421,           11.4510,          -35.0387,            1.8962,           -0.1424,           -0.6113,           -0.1721,          -50.6763,
Ref 15,4.43955e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6264e-06,5.8930e-08,,,,,,,,,,,
Sam 15,4.62371e-08,1.19970e-02,4.2116e-03,4.9247e-05,4.6804e-06,5.7906e-08,,,,,,            4.6741,            5.7871,            9.9822,           11.5873,           -9.1697,            1.8843,           -0.1511,           -0.5514,           -0.0201,          -25.1981,
Ref 16,4.35683e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6272e-06,5.7943e-08,,,,,,,,,,,
Sam 16,4.54027e-08,1.19968e-02,4.2116e-03,4.9247e-05,4.6806e-06,5.4748e-08,,,,,,            4.6569,            5.7734,            9.9845,           11.4946,          -71.7459,            1.8665,           -0.1647,           -0.5182,           -0.0845,          -86.7210,
Ref 17,4.27838e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6276e-06,6.0034e-08,,,,,,,,,,,
Sam 17,4.45754e-08,1.19970e-02,4.2117e-03,4.9244e-05,4.6812e-06,5.8343e-08,,,,,,            4.6789,            5.7887,            9.8025,           11.1514,          -25.2711,            1.8894,           -0.1494,           -0.7359,           -0.4543,          -41.0471,
Ref 18,4.19991e-08,,,,,,1.1941e-02,4.1875e-03,4.8771e-05,4.6316e-06,5.9674e-08,,,,,,,,,,,
Sam 18,4.38080e-08,1.19967e-02,4.2115e-03,4.9240e-05,4.6819e-06,5.8876e-08,,,,,,            4.6573,            5.7650,            9.7771,           11.1059,          -16.1909,            1.8672,           -0.1730,           -0.7156,           -0.4521,          -32.0468,
Ref 19,4.12760e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6294e-06,6.0018e-08,,,,,,,,,,,
Sam 19,4.29943e-08,1.19970e-02,4.2117e-03,4.9244e-05,4.6810e-06,5.6596e-08,,,,,,            4.6891,            5.8132,            9.9762,           11.6063,          -59.5555,            1.8994,           -0.1252,           -0.5982,           -0.0532,          -74.8307,
Ref 20,4.05453e-08,,,,,,1.1941e-02,4.1873e-03,4.8758e-05,4.6251e-06,6.0345e-08,,,,,,,,,,,
Sam 20,4.22339e-08,1.19970e-02,4.2116e-03,4.9248e-05,4.6817e-06,5.6616e-08,,,,,,            4.6924,            5.7883,            9.9949,           12.1653,          -60.9045,            1.9037,           -0.1499,           -0.5588,            0.5489,          -76.1161,
Ref 21,3.98102e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6257e-06,6.0229e-08,,,,,,,,,,,


Ref 1,3.94546e-08,,,,,,1.1941e-02,4.1874e-03,4.8762e-05,4.6279e-06,5.9797e-08,,,,,,,,,,,
Sam 1,4.11247e-08,1.19969e-02,4.2117e-03,4.9244e-05,4.6810e-06,5.7782e-08,,,,,,            4.6726,            5.7941,            9.8291,           11.3680,          -39.4701,            1.8825,           -0.1441,           -0.7083,           -0.2509,          -55.0199,
Ref 2,3.87548e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6289e-06,6.0522e-08,,,,,,,,,,,
Sam 2,4.04117e-08,1.19968e-02,4.2116e-03,4.9246e-05,4.6779e-06,5.7319e-08,,,,,,            4.6702,            5.7632,            9.8366,           10.5808,          -38.1516,            1.8810,           -0.1748,           -0.6682,           -0.9676,          -53.6631,
Ref 3,3.80547e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6289e-06,5.8647e-08,,,,,,,,,,,
Sam 3,3.97212e-08,1.19967e-02,4.2116e-03,4.9243e-05,4.6814e-06,5.5349e-08,,,,,,            4.6638,            5.7523,            9.8130,           11.7065,          -52.9774,            1.8746,           -0.1857,           -0.6743,            0.1670,          -68.2236,
Ref 4,3.74146e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6256e-06,5.8240e-08,,,,,,,,,,,
Sam 4,3.90234e-08,1.19968e-02,4.2117e-03,4.9243e-05,4.6813e-06,5.6577e-08,,,,,,            4.6681,            5.7652,            9.8489,           11.6603,          -28.9035,            1.8787,           -0.1728,           -0.6558,            0.0956,          -44.5657,
Ref 5,3.67650e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6291e-06,5.8282e-08,,,,,,,,,,,
Sam 5,3.83335e-08,1.19968e-02,4.2116e-03,4.9247e-05,4.6796e-06,5.5673e-08,,,,,,            4.6604,            5.7526,            9.9561,           10.9852,          -44.5352,            1.8709,           -0.1854,           -0.5294,           -0.5466,          -59.9144,
Ref 6,3.61286e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6284e-06,5.8254e-08,,,,,,,,,,,
Sam 6,3.76630e-08,1.19969e-02,4.2116e-03,4.9249e-05,4.6826e-06,5.7562e-08,,,,,,            4.6781,            5.7607,            9.9469,           11.8922,          -24.9328,            1.8895,           -0.1773,           -0.5648,            0.3337,          -40.6608,
Ref 7,3.55352e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6267e-06,5.9826e-08,,,,,,,,,,,
Sam 7,3.70259e-08,1.19968e-02,4.2116e-03,4.9248e-05,4.6831e-06,5.6582e-08,,,,,,            4.6708,            5.7659,            9.9066,           12.1204,          -44.8107,            1.8815,           -0.1721,           -0.6022,            0.5490,          -60.2204,
Ref 8,3.49054e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6274e-06,5.8636e-08,,,,,,,,,,,
Sam 8,3.63920e-08,1.19968e-02,4.2117e-03,4.9253e-05,4.6811e-06,5.8948e-08,,,,,,            4.6683,            5.7703,           10.0811,           11.5447,            2.1257,            1.8787,           -0.1678,           -0.4312,           -0.0288,          -14.0470,
Ref 9,3.43338e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6279e-06,5.9013e-08,,,,,,,,,,,
Sam 9,3.57790e-08,1.19966e-02,4.2116e-03,4.9249e-05,4.6812e-06,5.4600e-08,,,,,,            4.6566,            5.7545,            9.9377,           11.6097,          -62.5817,            1.8668,           -0.1835,           -0.5456,            0.0669,          -77.6702,
Ref 10,3.37590e-08,,,,,,1.1941e-02,4.1875e-03,4.8769e-05,4.6272e-06,5.7465e-08,,,,,,,,,,,
Sam 10,3.51703e-08,1.19967e-02,4.2116e-03,4.9245e-05,4.6822e-06,5.5520e-08,,,,,,            4.6792,            5.7752,            9.8491,           11.7140,          -49.7142,            1.8902,           -0.1629,           -0.6768,            0.1288,          -65.0701,
Ref 11,3.32070e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6289e-06,5.9400e-08,,,,,,,,,,,
Sam 11,3.45701e-08,1.19967e-02,4.2117e-03,4.9244e-05,4.6794e-06,5.5579e-08,,,,,,            4.6789,            5.7991,            9.9173,           10.8620,          -44.1215,            1.8890,           -0.1391,           -0.6323,           -0.7610,          -59.6114,
Ref 12,3.26581e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6293e-06,5.6867e-08,,,,,,,,,,,
Sam 12,3.40041e-08,1.19966e-02,4.2116e-03,4.9242e-05,4.6811e-06,5.6409e-08,,,,,,            4.6764,            5.7710,            9.8336,           11.2821,          -13.4796,            1.8873,           -0.1671,           -0.6850,           -0.2898,          -29.4101,
Ref 13,3.21160e-08,,,,,,1.1941e-02,4.1874e-03,4.8763e-05,4.6285e-06,5.7498e-08,,,,,,,,,,,
Sam 13,3.34156e-08,1.19966e-02,4.2117e-03,4.9247e-05,4.6798e-06,5.6803e-08,,,,,,            4.6846,            5.8017,            9.8756,           11.0897,          -24.5515,            1.8950,           -0.1366,           -0.6819,           -0.5410,          -40.3691,
Ref 14,3.15974e-08,,,,,,1.1941e-02,4.1874e-03,4.8768e-05,4.6284e-06,5.8980e-08,,,,,,,,,,,
Sam 14,3.28847e-08,1.19965e-02,4.2115e-03,4.9245e-05,4.6810e-06,5.3849e-08,,,,,,            4.6806,            5.7611,            9.8213,           11.0904,          -82.9760,            1.8921,           -0.1769,           -0.6919,           -0.4596,          -97.7709,
Ref 15,3.10807e-08,,,,,,1.1941e-02,4.1874e-03,4.8765e-05,4.6311e-06,5.8458e-08,,,,,,,,,,,
Sam 15,3.23280e-08,1.19965e-02,4.2116e-03,4.9251e-05,4.6818e-06,5.6590e-08,,,,,,            4.6860,            5.7849,           10.0549,           11.3298,          -36.7038,            1.8970,           -0.1533,           -0.4896,           -0.2703,          -52.2947,
Ref 16,3.05782e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6276e-06,5.9039e-08,,,,,,,,,,,
Sam 16,3.18028e-08,1.19963e-02,4.2115e-03,4.9245e-05,4.6801e-06,5.5815e-08,,,,,,            4.6667,            5.7615,            9.9541,           11.4493,          -25.9758,            1.8773,           -0.1765,           -0.5466,           -0.1057,          -41.6770,
Ref 17,3.00896e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6265e-06,5.5541e-08,,,,,,,,,,,
Sam 17,3.12820e-08,1.19963e-02,4.2115e-03,4.9246e-05,4.6796e-06,5.5824e-08,,,,,,            4.6661,            5.7613,            9.8911,           11.0402,          -22.2138,            1.8767,           -0.1767,           -0.6081,           -0.5096,          -37.9745,
Ref 18,2.96062e-08,,,,,,1.1941e-02,4.1874e-03,4.8764e-05,4.6304e-06,5.8670e-08,,,,,,,,,,,
Sam 18,3.07687e-08,1.19964e-02,4.2115e-03,4.9246e-05,4.6786e-06,5.6442e-08,,,,,,            4.6753,            5.7673,            9.9141,           10.4796,          -36.8564,            1.8863,           -0.1708,           -0.6007,           -1.0757,          -52.4015,
Ref 19,2.91383e-08,,,,,,1.1941e-02,4.1874e-03,4.8761e-05,4.6298e-06,5.8532e-08,,,,,,,,,,,
Sam 19,3.02668e-08,1.19964e-02,4.2115e-03,4.9242e-05,4.6782e-06,5.2740e-08,,,,,,            4.6738,            5.7619,            9.8139,           10.5088,          -86.1418,            1.8848,           -0.1762,           -0.6930,           -1.0361,         -100.8804,
Ref 20,2.86843e-08,,,,,,1.1941e-02,4.1873e-03,4.8765e-05,4.6294e-06,5.6878e-08,,,,,,,,,,,
Sam 20,2.97661e-08,1.19964e-02,4.2115e-03,4.9248e-05,4.6790e-06,5.6084e-08,,,,,,            4.6740,            5.7688,            9.9693,           10.7874,           -2.4773,            1.8848,           -0.1692,           -0.5462,           -0.7745,          -18.5788,
Ref 21,2.82325e-08,,,,,,1.1941e-02,4.1874e-03,4.8759e-05,4.6287e-06,5.5558e-08,,,,,,,,,,,


