Nu Stable Isotope Analysis Program
Data Collected on Friday, June 29, 2018 at 04:59 with Stable 1.69.5 on PS019,Reanalyzed on Friday, June 29, 2018 at 05:59 with Stable 1.69.5 on PS019

Data File = Data_6157 88 WI 68B.txt,      Sample Weight = 804,                      Vial Location = 9,                        Initial Sam Beam = 1.1187e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5241e-08,                Max Ref Beam = 1.0624e-07,                
Analysis undertaken at mass 46.01222
Analysis undertaken at mass 46.01222
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.06218e-08,,,,,,1.1941e-02,4.1874e-03,4.8753e-05,4.6236e-06,6.2229e-08,,,,,,,,,,,
Sam 1,5.04423e-08,1.20290e-02,4.2161e-03,4.9426e-05,4.6868e-06,6.0101e-08,,,,,,            7.3687,            6.8517,           13.7931,           13.3719,          -33.9626,            4.7152,            0.9025,           -0.5862,           -0.3734,          -54.2622,
Ref 2,5.01189e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6264e-06,6.2197e-08,,,,,,,,,,,
Sam 2,4.98760e-08,1.20292e-02,4.2162e-03,4.9426e-05,4.6881e-06,5.9650e-08,,,,,,            7.3825,            6.8755,           13.8398,           13.3090,          -36.6601,            4.7292,            0.9261,           -0.5775,           -0.4826,          -56.9605,
Ref 3,4.95743e-08,,,,,,1.1941e-02,4.1874e-03,4.8748e-05,4.6266e-06,6.1640e-08,,,,,,,,,,,
Sam 3,4.94168e-08,1.20289e-02,4.2160e-03,4.9424e-05,4.6888e-06,5.7733e-08,,,,,,            7.3536,            6.8398,           13.7778,           13.4564,          -53.3397,            4.6997,            0.8907,           -0.5743,           -0.2663,          -73.1957,
Ref 4,4.90395e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6266e-06,6.0325e-08,,,,,,,,,,,
Sam 4,4.88862e-08,1.20290e-02,4.2161e-03,4.9424e-05,4.6877e-06,5.8747e-08,,,,,,            7.3643,            6.8532,           13.7158,           13.3345,          -22.3100,            4.7106,            0.9040,           -0.6594,           -0.4132,          -42.8527,
Ref 5,4.84920e-08,,,,,,1.1941e-02,4.1874e-03,4.8754e-05,4.6254e-06,5.9848e-08,,,,,,,,,,,
Sam 5,4.83878e-08,1.20290e-02,4.2161e-03,4.9426e-05,4.6884e-06,5.8369e-08,,,,,,            7.3498,            6.8398,           13.8970,           13.6704,          -35.9853,            4.6956,            0.8907,           -0.4529,           -0.0552,          -56.2015,
Ref 6,4.79551e-08,,,,,,1.1941e-02,4.1874e-03,4.8744e-05,4.6250e-06,6.1256e-08,,,,,,,,,,,
Sam 6,4.78581e-08,1.20291e-02,4.2161e-03,4.9430e-05,4.6885e-06,5.9983e-08,,,,,,            7.3609,            6.8568,           13.9881,           13.5952,          -33.7622,            4.7069,            0.9076,           -0.3910,           -0.1631,          -54.0676,
Ref 7,4.74244e-08,,,,,,1.1941e-02,4.1874e-03,4.8751e-05,4.6261e-06,6.2911e-08,,,,,,,,,,,
Sam 7,4.73859e-08,1.20289e-02,4.2160e-03,4.9419e-05,4.6906e-06,6.0490e-08,,,,,,            7.3505,            6.8333,           13.6788,           14.0233,          -18.7451,            4.6965,            0.8842,           -0.6622,            0.3059,          -39.3113,
Ref 8,4.69372e-08,,,,,,1.1941e-02,4.1874e-03,4.8752e-05,4.6254e-06,6.0368e-08,,,,,,,,,,,
Sam 8,4.68967e-08,1.20289e-02,4.2161e-03,4.9428e-05,4.6864e-06,5.7450e-08,,,,,,            7.3622,            6.8368,           13.8322,           13.2199,          -48.7885,            4.7089,            0.8877,           -0.5264,           -0.4936,          -68.7429,
Ref 9,4.63984e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6251e-06,6.0425e-08,,,,,,,,,,,
Sam 9,4.64062e-08,1.20290e-02,4.2161e-03,4.9426e-05,4.6867e-06,5.9378e-08,,,,,,            7.3649,            6.8328,           13.7833,           13.0828,          -24.6427,            4.7119,            0.8837,           -0.5735,           -0.6209,          -45.0989,
Ref 10,4.59127e-08,,,,,,1.1941e-02,4.1875e-03,4.8754e-05,4.6273e-06,6.1337e-08,,,,,,,,,,,
Sam 10,4.59307e-08,1.20290e-02,4.2161e-03,4.9420e-05,4.6878e-06,5.9105e-08,,,,,,            7.3624,            6.8487,           13.6199,           13.2867,          -33.3008,            4.7087,            0.8995,           -0.7476,           -0.4513,          -53.6023,
Ref 11,4.54252e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6254e-06,6.0944e-08,,,,,,,,,,,
Sam 11,4.54182e-08,1.20291e-02,4.2162e-03,4.9430e-05,4.6891e-06,6.0690e-08,,,,,,            7.3669,            6.8546,           13.8201,           13.6392,           -6.6779,            4.7133,            0.9054,           -0.5606,           -0.1153,          -27.5543,
Ref 12,4.49246e-08,,,,,,1.1941e-02,4.1875e-03,4.8753e-05,4.6267e-06,6.1253e-08,,,,,,,,,,,
Sam 12,4.49988e-08,1.20291e-02,4.2161e-03,4.9429e-05,4.6899e-06,6.1065e-08,,,,,,            7.3691,            6.8367,           13.8388,           13.7714,          -20.5207,            4.7162,            0.8876,           -0.5269,            0.0506,          -41.0750,
Ref 13,4.44424e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6257e-06,6.3447e-08,,,,,,,,,,,
Sam 13,4.45243e-08,1.20290e-02,4.2161e-03,4.9430e-05,4.6889e-06,6.1940e-08,,,,,,            7.3566,            6.8264,           13.7816,           13.5443,          -16.9410,            4.7033,            0.8774,           -0.5605,           -0.1531,          -37.5383,
Ref 14,4.39406e-08,,,,,,1.1941e-02,4.1875e-03,4.8758e-05,4.6267e-06,6.2564e-08,,,,,,,,,,,
Sam 14,4.40767e-08,1.20288e-02,4.2161e-03,4.9429e-05,4.6894e-06,6.1721e-08,,,,,,            7.3459,            6.8253,           13.7789,           13.8789,          -15.7495,            4.6919,            0.8763,           -0.5511,            0.1793,          -36.3587,
Ref 15,4.35087e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6237e-06,6.2856e-08,,,,,,,,,,,
Sam 15,4.36207e-08,1.20289e-02,4.2161e-03,4.9429e-05,4.6884e-06,6.1600e-08,,,,,,            7.3518,            6.8202,           13.7508,           13.5481,          -20.1327,            4.6984,            0.8712,           -0.5798,           -0.1369,          -40.6466,
Ref 16,4.29718e-08,,,,,,1.1941e-02,4.1876e-03,4.8760e-05,4.6278e-06,6.2876e-08,,,,,,,,,,,
Sam 16,4.31816e-08,1.20287e-02,4.2160e-03,4.9431e-05,4.6875e-06,6.2082e-08,,,,,,            7.3373,            6.8013,           13.8106,           12.8801,          -18.7425,            4.6836,            0.8524,           -0.4877,           -0.7584,          -39.2354,
Ref 17,4.25867e-08,,,,,,1.1941e-02,4.1874e-03,4.8756e-05,4.6280e-06,6.3663e-08,,,,,,,,,,,
Sam 17,4.27306e-08,1.20288e-02,4.2161e-03,4.9428e-05,4.6874e-06,6.3067e-08,,,,,,            7.3515,            6.8480,           13.7965,           13.1044,          -15.0205,            4.6971,            0.8988,           -0.5615,           -0.6297,          -35.6934,
Ref 18,4.21216e-08,,,,,,1.1941e-02,4.1875e-03,4.8754e-05,4.6255e-06,6.4400e-08,,,,,,,,,,,
Sam 18,4.23056e-08,1.20289e-02,4.2161e-03,4.9430e-05,4.6867e-06,6.1055e-08,,,,,,            7.3495,            6.8292,           13.8373,           13.1459,          -36.3120,            4.6956,            0.8802,           -0.5010,           -0.5517,          -56.5016,
Ref 19,4.16666e-08,,,,,,1.1941e-02,4.1876e-03,4.8756e-05,4.6263e-06,6.2300e-08,,,,,,,,,,,
Sam 19,4.18957e-08,1.20288e-02,4.2161e-03,4.9430e-05,4.6878e-06,6.0782e-08,,,,,,            7.3453,            6.8144,           13.7776,           13.1114,          -28.8140,            4.6917,            0.8655,           -0.5412,           -0.5562,          -49.1290,
Ref 20,4.12562e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6279e-06,6.2872e-08,,,,,,,,,,,
Sam 20,4.14597e-08,1.20289e-02,4.2161e-03,4.9424e-05,4.6881e-06,6.1408e-08,,,,,,            7.3574,            6.8317,           13.6520,           13.2896,          -19.6605,            4.7040,            0.8827,           -0.6943,           -0.4148,          -40.2116,
Ref 21,4.08295e-08,,,,,,1.1941e-02,4.1875e-03,4.8758e-05,4.6253e-06,6.2404e-08,,,,,,,,,,,


Ref 1,4.05927e-08,,,,,,1.1941e-02,4.1875e-03,4.8752e-05,4.6245e-06,6.2292e-08,,,,,,,,,,,
Sam 1,4.08346e-08,1.20287e-02,4.2161e-03,4.9430e-05,4.6882e-06,6.0334e-08,,,,,,            7.3478,            6.8474,           13.8451,           13.6351,          -46.3265,            4.6932,            0.8982,           -0.5094,           -0.1050,          -66.3377,
Ref 2,4.02043e-08,,,,,,1.1941e-02,4.1874e-03,4.8758e-05,4.6259e-06,6.4246e-08,,,,,,,,,,,
Sam 2,4.04259e-08,1.20288e-02,4.2160e-03,4.9423e-05,4.6870e-06,6.0121e-08,,,,,,            7.3599,            6.8188,           13.6608,           13.1413,          -52.8883,            4.7071,            0.8698,           -0.6756,           -0.5355,          -72.7219,
Ref 3,3.97603e-08,,,,,,1.1941e-02,4.1875e-03,4.8756e-05,4.6266e-06,6.2701e-08,,,,,,,,,,,
Sam 3,4.00042e-08,1.20288e-02,4.2161e-03,4.9435e-05,4.6868e-06,6.0781e-08,,,,,,            7.3627,            6.8339,           13.8661,           13.1970,          -22.1174,            4.7095,            0.8848,           -0.4907,           -0.5106,          -42.6265,
Ref 4,3.93646e-08,,,,,,1.1941e-02,4.1875e-03,4.8761e-05,4.6248e-06,6.1606e-08,,,,,,,,,,,
Sam 4,3.96021e-08,1.20288e-02,4.2161e-03,4.9426e-05,4.6888e-06,6.1787e-08,,,,,,            7.3556,            6.8287,           13.6851,           13.6852,           -2.5939,            4.7022,            0.8796,           -0.6568,           -0.0185,          -23.4951,
Ref 5,3.89444e-08,,,,,,1.1941e-02,4.1876e-03,4.8756e-05,4.6261e-06,6.2293e-08,,,,,,,,,,,
Sam 5,3.91769e-08,1.20289e-02,4.2162e-03,4.9425e-05,4.6898e-06,5.9742e-08,,,,,,            7.3677,            6.8379,           13.6413,           13.7510,          -35.9077,            4.7147,            0.8888,           -0.7214,            0.0281,          -56.1399,
Ref 6,3.85495e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6262e-06,6.1637e-08,,,,,,,,,,,
Sam 6,3.87933e-08,1.20287e-02,4.2161e-03,4.9436e-05,4.6872e-06,6.1522e-08,,,,,,            7.3554,            6.8262,           13.7858,           13.1941,          -21.7169,            4.7020,            0.8772,           -0.5549,           -0.4980,          -42.2126,
Ref 7,3.81284e-08,,,,,,1.1941e-02,4.1875e-03,4.8764e-05,4.6262e-06,6.4152e-08,,,,,,,,,,,
Sam 7,3.84331e-08,1.20286e-02,4.2161e-03,4.9430e-05,4.6823e-06,6.0596e-08,,,,,,            7.3470,            6.8207,           13.6922,           12.1998,          -56.4196,            4.6933,            0.8717,           -0.6332,           -1.4679,          -76.1700,
Ref 8,3.77618e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6256e-06,6.4287e-08,,,,,,,,,,,
Sam 8,3.80248e-08,1.20289e-02,4.2162e-03,4.9442e-05,4.6896e-06,6.1030e-08,,,,,,            7.3624,            6.8365,           14.0277,           13.9115,          -39.2715,            4.7091,            0.8873,           -0.3336,            0.1893,          -59.4251,
Ref 9,3.73645e-08,,,,,,1.1941e-02,4.1876e-03,4.8756e-05,4.6250e-06,6.2754e-08,,,,,,,,,,,
Sam 9,3.76669e-08,1.20288e-02,4.2162e-03,4.9431e-05,4.6891e-06,5.9886e-08,,,,,,            7.3568,            6.8360,           13.7882,           13.8776,          -48.4781,            4.7032,            0.8869,           -0.5636,            0.1569,          -68.4323,
Ref 10,3.70049e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6249e-06,6.3123e-08,,,,,,,,,,,
Sam 10,3.72810e-08,1.20287e-02,4.2161e-03,4.9430e-05,4.6908e-06,5.9969e-08,,,,,,            7.3521,            6.8178,           13.7179,           14.1357,          -50.0058,            4.6988,            0.8688,           -0.6103,            0.4474,          -69.8904,
Ref 11,3.66129e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6259e-06,6.3129e-08,,,,,,,,,,,
Sam 11,3.69228e-08,1.20287e-02,4.2161e-03,4.9429e-05,4.6877e-06,5.9500e-08,,,,,,            7.3485,            6.8089,           13.8137,           13.3223,          -53.7461,            4.6953,            0.8599,           -0.5034,           -0.3371,          -73.5326,
Ref 12,3.62611e-08,,,,,,1.1941e-02,4.1876e-03,4.8750e-05,4.6262e-06,6.2627e-08,,,,,,,,,,,
Sam 12,3.65557e-08,1.20289e-02,4.2162e-03,4.9430e-05,4.6888e-06,6.1120e-08,,,,,,            7.3664,            6.8318,           13.8923,           13.4604,          -34.3485,            4.7135,            0.8827,           -0.4665,           -0.2464,          -54.6008,
Ref 13,3.58984e-08,,,,,,1.1941e-02,4.1876e-03,4.8756e-05,4.6268e-06,6.3967e-08,,,,,,,,,,,
Sam 13,3.62129e-08,1.20288e-02,4.2161e-03,4.9433e-05,4.6867e-06,6.0049e-08,,,,,,            7.3572,            6.8118,           13.9167,           13.0490,          -43.8664,            4.7045,            0.8628,           -0.4137,           -0.6126,          -63.8735,
Ref 14,3.55512e-08,,,,,,1.1941e-02,4.1876e-03,4.8754e-05,4.6257e-06,6.1630e-08,,,,,,,,,,,
Sam 14,3.58615e-08,1.20288e-02,4.2162e-03,4.9424e-05,4.6909e-06,6.0762e-08,,,,,,            7.3603,            6.8198,           13.7270,           14.2657,          -34.7337,            4.7074,            0.8708,           -0.6116,            0.5717,          -54.9498,
Ref 15,3.52089e-08,,,,,,1.1941e-02,4.1876e-03,4.8756e-05,4.6241e-06,6.4281e-08,,,,,,,,,,,
Sam 15,3.55119e-08,1.20289e-02,4.2162e-03,4.9429e-05,4.6875e-06,6.0953e-08,,,,,,            7.3709,            6.8350,           13.7601,           13.6939,          -31.7131,            4.7182,            0.8859,           -0.6047,           -0.0224,          -52.0310,
Ref 16,3.48549e-08,,,,,,1.1941e-02,4.1876e-03,4.8761e-05,4.6243e-06,6.1604e-08,,,,,,,,,,,
Sam 16,3.51683e-08,1.20288e-02,4.2162e-03,4.9434e-05,4.6875e-06,6.0374e-08,,,,,,            7.3554,            6.8343,           13.7742,           13.6158,          -29.8029,            4.7018,            0.8852,           -0.5742,           -0.0980,          -50.1442,
Ref 17,3.45118e-08,,,,,,1.1941e-02,4.1876e-03,4.8763e-05,4.6247e-06,6.2859e-08,,,,,,,,,,,
Sam 17,3.48149e-08,1.20289e-02,4.2162e-03,4.9435e-05,4.6896e-06,5.9189e-08,,,,,,            7.3593,            6.8363,           13.7860,           14.2569,          -67.1721,            4.7058,            0.8872,           -0.5685,            0.5304,          -86.7371,
Ref 18,3.41777e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6226e-06,6.4049e-08,,,,,,,,,,,
Sam 18,3.44830e-08,1.20287e-02,4.2162e-03,4.9436e-05,4.6872e-06,5.9924e-08,,,,,,            7.3484,            6.8175,           13.7779,           13.4427,          -55.9062,            4.6948,            0.8685,           -0.5470,           -0.2355,          -75.6630,
Ref 19,3.38428e-08,,,,,,1.1941e-02,4.1876e-03,4.8766e-05,4.6274e-06,6.2891e-08,,,,,,,,,,,
Sam 19,3.41396e-08,1.20288e-02,4.2162e-03,4.9428e-05,4.6894e-06,6.1418e-08,,,,,,            7.3493,            6.8275,           13.6770,           13.7012,          -25.5495,            4.6955,            0.8784,           -0.6571,           -0.0004,          -45.9611,
Ref 20,3.35174e-08,,,,,,1.1941e-02,4.1876e-03,4.8757e-05,4.6246e-06,6.3166e-08,,,,,,,,,,,
Sam 20,3.38133e-08,1.20289e-02,4.2162e-03,4.9434e-05,4.6874e-06,5.9361e-08,,,,,,            7.3556,            6.8262,           13.8127,           13.3613,          -49.8267,            4.7022,            0.8771,           -0.5285,           -0.3330,          -69.7335,
Ref 21,3.31753e-08,,,,,,1.1941e-02,4.1877e-03,4.8764e-05,4.6266e-06,6.1774e-08,,,,,,,,,,,


Ref 1,3.30317e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6272e-06,6.2947e-08,,,,,,,,,,,
Sam 1,3.33224e-08,1.20287e-02,4.2161e-03,4.9428e-05,4.6877e-06,6.2398e-08,,,,,,            7.3479,            6.8245,           13.6416,           13.4092,           -7.9731,            4.6941,            0.8755,           -0.6877,           -0.2825,          -28.7457,
Ref 2,3.27149e-08,,,,,,1.1941e-02,4.1876e-03,4.8760e-05,4.6242e-06,6.2852e-08,,,,,,,,,,,
Sam 2,3.30154e-08,1.20286e-02,4.2161e-03,4.9436e-05,4.6896e-06,6.1684e-08,,,,,,            7.3430,            6.8007,           13.7676,           13.9813,          -21.7815,            4.6897,            0.8518,           -0.5353,            0.3292,          -42.2156,
Ref 3,3.23993e-08,,,,,,1.1941e-02,4.1876e-03,4.8769e-05,4.6257e-06,6.3265e-08,,,,,,,,,,,
Sam 3,3.26853e-08,1.20288e-02,4.2161e-03,4.9426e-05,4.6881e-06,6.1185e-08,,,,,,            7.3562,            6.8112,           13.6509,           13.5543,          -48.7735,            4.7034,            0.8623,           -0.6741,           -0.1130,          -68.6759,
Ref 4,3.20819e-08,,,,,,1.1941e-02,4.1876e-03,4.8752e-05,4.6252e-06,6.5390e-08,,,,,,,,,,,
Sam 4,3.23710e-08,1.20287e-02,4.2162e-03,4.9431e-05,4.6828e-06,6.0757e-08,,,,,,            7.3501,            6.8283,           13.7646,           12.0888,          -72.4870,            4.6963,            0.8792,           -0.5724,           -1.5925,          -91.9176,
Ref 5,3.17860e-08,,,,,,1.1941e-02,4.1876e-03,4.8767e-05,4.6286e-06,6.5622e-08,,,,,,,,,,,
Sam 5,3.20589e-08,1.20287e-02,4.2161e-03,4.9438e-05,4.6894e-06,6.2068e-08,,,,,,            7.3581,            6.8333,           13.7809,           13.2554,          -34.1951,            4.7047,            0.8842,           -0.5695,           -0.4517,          -54.4451,
Ref 6,3.14749e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6274e-06,6.2896e-08,,,,,,,,,,,
Sam 6,3.17583e-08,1.20287e-02,4.2161e-03,4.9433e-05,4.6894e-06,5.8923e-08,,,,,,            7.3610,            6.8273,           13.7157,           13.1480,          -68.9546,            4.7079,            0.8782,           -0.6308,           -0.5456,          -88.4678,
Ref 7,3.11854e-08,,,,,,1.1941e-02,4.1876e-03,4.8762e-05,4.6296e-06,6.3681e-08,,,,,,,,,,,
Sam 7,3.14585e-08,1.20285e-02,4.2161e-03,4.9432e-05,4.6881e-06,5.9354e-08,,,,,,            7.3496,            6.8130,           13.7911,           13.2480,          -62.0141,            4.6963,            0.8640,           -0.5309,           -0.4187,          -81.6362,
Ref 8,3.08875e-08,,,,,,1.1941e-02,4.1875e-03,4.8757e-05,4.6239e-06,6.2871e-08,,,,,,,,,,,
Sam 8,3.11490e-08,1.20286e-02,4.2161e-03,4.9429e-05,4.6882e-06,5.8904e-08,,,,,,            7.3655,            6.8259,           13.7345,           13.6859,          -67.3572,            4.7128,            0.8769,           -0.6156,           -0.0123,          -86.9060,
Ref 9,3.06145e-08,,,,,,1.1941e-02,4.1875e-03,4.8763e-05,4.6258e-06,6.3449e-08,,,,,,,,,,,
Sam 9,3.08618e-08,1.20285e-02,4.2161e-03,4.9432e-05,4.6899e-06,6.0327e-08,,,,,,            7.3592,            6.8344,           13.7706,           14.2520,          -48.2940,            4.7057,            0.8853,           -0.5817,            0.5292,          -68.2515,
Ref 10,3.03143e-08,,,,,,1.1941e-02,4.1875e-03,4.8759e-05,4.6221e-06,6.3328e-08,,,,,,,,,,,
Sam 10,3.05655e-08,1.20283e-02,4.2161e-03,4.9433e-05,4.6897e-06,6.2287e-08,,,,,,            7.3421,            6.8364,           13.7365,           14.3923,          -16.4610,            4.6875,            0.8873,           -0.5998,            0.6638,          -37.0723,
Ref 11,3.00249e-08,,,,,,1.1941e-02,4.1875e-03,4.8767e-05,4.6243e-06,6.3331e-08,,,,,,,,,,,
Sam 11,3.02917e-08,1.20284e-02,4.2160e-03,4.9425e-05,4.6883e-06,6.0158e-08,,,,,,            7.3450,            6.8169,           13.6040,           13.7666,          -51.2311,            4.6913,            0.8679,           -0.7143,            0.0853,          -71.0812,
Ref 12,2.97503e-08,,,,,,1.1941e-02,4.1875e-03,4.8758e-05,4.6250e-06,6.3483e-08,,,,,,,,,,,
Sam 12,2.99951e-08,1.20284e-02,4.2160e-03,4.9433e-05,4.6811e-06,6.0103e-08,,,,,,            7.3512,            6.8162,           13.8781,           12.0375,          -41.7656,            4.6979,            0.8672,           -0.4498,           -1.6191,          -61.8187,
Ref 13,2.94847e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6259e-06,6.1956e-08,,,,,,,,,,,
Sam 13,2.97170e-08,1.20285e-02,4.2160e-03,4.9428e-05,4.6845e-06,5.9685e-08,,,,,,            7.3567,            6.8205,           13.7383,           12.5862,          -48.1032,            4.7036,            0.8715,           -0.5974,           -1.0864,          -68.0369,
Ref 14,2.92035e-08,,,,,,1.1941e-02,4.1875e-03,4.8762e-05,4.6266e-06,6.3453e-08,,,,,,,,,,,
Sam 14,2.94373e-08,1.20284e-02,4.2160e-03,4.9430e-05,4.6898e-06,5.9560e-08,,,,,,            7.3490,            6.8020,           13.7209,           13.7384,          -68.4009,            4.6961,            0.8531,           -0.5887,            0.0871,          -87.8692,
Ref 15,2.89415e-08,,,,,,1.1941e-02,4.1875e-03,4.8760e-05,4.6259e-06,6.4417e-08,,,,,,,,,,,
Sam 15,2.91510e-08,1.20285e-02,4.2161e-03,4.9435e-05,4.6850e-06,6.0445e-08,,,,,,            7.3583,            6.8308,           13.8957,           13.0210,          -57.6343,            4.7050,            0.8817,           -0.4540,           -0.6779,          -77.3886,
Ref 16,2.86681e-08,,,,,,1.1941e-02,4.1875e-03,4.8755e-05,4.6237e-06,6.3865e-08,,,,,,,,,,,
Sam 16,2.88963e-08,1.20284e-02,4.2160e-03,4.9427e-05,4.6848e-06,5.9394e-08,,,,,,            7.3499,            6.8126,           13.6833,           13.0048,          -52.8900,            4.6966,            0.8636,           -0.6371,           -0.6578,          -72.7026,
Ref 17,2.84060e-08,,,,,,1.1941e-02,4.1875e-03,4.8765e-05,4.6256e-06,6.1546e-08,,,,,,,,,,,
Sam 17,2.86215e-08,1.20284e-02,4.2159e-03,4.9427e-05,4.6864e-06,5.5328e-08,,,,,,            7.3466,            6.8101,           13.6051,           13.0124,         -112.1955,            4.6933,            0.8611,           -0.7083,           -0.6452,         -130.7601,
Ref 18,2.81704e-08,,,,,,1.1941e-02,4.1873e-03,4.8762e-05,4.6269e-06,6.3101e-08,,,,,,,,,,,
Sam 18,2.83584e-08,1.20284e-02,4.2160e-03,4.9436e-05,4.6879e-06,5.8521e-08,,,,,,            7.3538,            6.8250,           13.8374,           13.0474,          -56.2603,            4.7004,            0.8759,           -0.5013,           -0.6403,          -76.0285,
Ref 19,2.78989e-08,,,,,,1.1941e-02,4.1874e-03,4.8760e-05,4.6281e-06,6.0908e-08,,,,,,,,,,,
Sam 19,2.80810e-08,1.20286e-02,4.2160e-03,4.9432e-05,4.6864e-06,6.1691e-08,,,,,,            7.3650,            6.8213,           13.7989,           13.1298,           15.3351,            4.7124,            0.8722,           -0.5470,           -0.5517,           -5.9373,
Ref 20,2.76351e-08,,,,,,1.1941e-02,4.1875e-03,4.8758e-05,4.6233e-06,6.0609e-08,,,,,,,,,,,
Sam 20,2.78289e-08,1.20285e-02,4.2160e-03,4.9434e-05,4.6856e-06,6.0110e-08,,,,,,            7.3636,            6.8112,           13.8969,           13.2216,          -17.5621,            4.7113,            0.8622,           -0.4391,           -0.4411,          -38.1249,
Ref 21,2.73987e-08,,,,,,1.1940e-02,4.1874e-03,4.8756e-05,4.6256e-06,6.1765e-08,,,,,,,,,,,


