Nu Stable Isotope Analysis Program
Data Collected on Monday, June 27, 2022 at 20:52 with Stable 1.71.5 on PS019,Reanalyzed on Monday, June 27, 2022 at 21:51 with Stable 1.71.5 on PS019

Data File = Data_17420 ETH-3.txt,         Sample Weight = 487,                      Vial Location = 3,                        Initial Sam Beam = 1.5529e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7331e-08,                Max Ref Beam = 1.0645e-07,                

Analysis undertaken at mass 46.02641
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.07189e-08,,,,,,1.1973e-02,4.2056e-03,4.8927e-05,4.6469e-06,5.6178e-08,
Sam 1,6.01570e-08,1.20268e-02,4.2553e-03,4.9715e-05,4.7557e-06,5.6869e-08,,,,,,            4.5049,           11.7834,           16.0445,           23.2418,           22.3062,            1.4972,            5.8166,           -0.2439,           -0.4531,           -5.7464,
Ref 2,5.96625e-08,,,,,,1.1973e-02,4.2059e-03,4.8934e-05,4.6486e-06,5.5069e-08,,,,,,,,,,,
Sam 2,5.91127e-08,1.20268e-02,4.2554e-03,4.9722e-05,4.7564e-06,6.0914e-08,,,,,,            4.4959,           11.7657,           16.0440,           22.8351,           74.4090,            1.4882,            5.7990,           -0.2179,           -0.8155,           44.9726,
Ref 3,5.86582e-08,,,,,,1.1973e-02,4.2059e-03,4.8939e-05,4.6519e-06,5.8350e-08,,,,,,,,,,,
Sam 3,5.81055e-08,1.20270e-02,4.2555e-03,4.9722e-05,4.7622e-06,6.0283e-08,,,,,,            4.5068,           11.7845,           15.9908,           23.9939,           36.9815,            1.4992,            5.8177,           -0.2998,            0.2794,            8.5221,
Ref 4,5.76856e-08,,,,,,1.1973e-02,4.2060e-03,4.8939e-05,4.6493e-06,5.7914e-08,,,,,,,,,,,
Sam 4,5.71232e-08,1.20271e-02,4.2556e-03,4.9728e-05,4.7607e-06,6.0021e-08,,,,,,            4.4968,           11.7817,           16.1216,           23.6284,           22.1695,            1.4887,            5.8149,           -0.1581,           -0.0722,           -5.8675,
Ref 5,5.67244e-08,,,,,,1.1973e-02,4.2061e-03,4.8939e-05,4.6524e-06,5.9538e-08,,,,,,,,,,,
Sam 5,5.61636e-08,1.20272e-02,4.2557e-03,4.9724e-05,4.7585e-06,6.1639e-08,,,,,,            4.4963,           11.7828,           16.0532,           22.8830,           49.4025,            1.4880,            5.8160,           -0.2259,           -0.8025,           20.6169,
Ref 6,5.57910e-08,,,,,,1.1973e-02,4.2062e-03,4.8939e-05,4.6516e-06,5.7922e-08,,,,,,,,,,,
Sam 6,5.52281e-08,1.20273e-02,4.2558e-03,4.9728e-05,4.7620e-06,6.0339e-08,,,,,,            4.4980,           11.7683,           16.0898,           23.6578,           34.2102,            1.4904,            5.8015,           -0.1775,           -0.0168,            5.8679,
Ref 7,5.48825e-08,,,,,,1.1973e-02,4.2063e-03,4.8942e-05,4.6522e-06,5.8770e-08,,,,,,,,,,,
Sam 7,5.43156e-08,1.20272e-02,4.2558e-03,4.9731e-05,4.7614e-06,6.0572e-08,,,,,,            4.5006,           11.7743,           16.1183,           23.5886,           30.9368,            1.4929,            5.8075,           -0.1580,           -0.0962,            2.6699,
Ref 8,5.39868e-08,,,,,,1.1973e-02,4.2062e-03,4.8943e-05,4.6511e-06,5.8738e-08,,,,,,,,,,,
Sam 8,5.34132e-08,1.20272e-02,4.2558e-03,4.9727e-05,4.7610e-06,5.7139e-08,,,,,,            4.5110,           11.7969,           16.0086,           23.3954,            2.1965,            1.5032,            5.8300,           -0.2986,           -0.3297,          -25.3360,
Ref 9,5.31150e-08,,,,,,1.1973e-02,4.2063e-03,4.8945e-05,4.6533e-06,5.5262e-08,,,,,,,,,,,
Sam 9,5.25434e-08,1.20271e-02,4.2558e-03,4.9731e-05,4.7626e-06,5.7309e-08,,,,,,            4.4974,           11.7652,           16.0885,           23.4850,           21.2962,            1.4898,            5.7984,           -0.1751,           -0.1795,           -6.6854,
Ref 10,5.22498e-08,,,,,,1.1973e-02,4.2063e-03,4.8943e-05,4.6533e-06,5.6981e-08,,,,,,,,,,,
Sam 10,5.16821e-08,1.20272e-02,4.2559e-03,4.9729e-05,4.7617e-06,5.8527e-08,,,,,,            4.4980,           11.7789,           16.0131,           23.2360,           -2.3198,            1.4901,            5.8121,           -0.2634,           -0.4499,          -29.6810,
Ref 11,5.14112e-08,,,,,,1.1973e-02,4.2063e-03,4.8947e-05,4.6539e-06,6.0373e-08,,,,,,,,,,,
Sam 11,5.08440e-08,1.20272e-02,4.2559e-03,4.9734e-05,4.7609e-06,6.0315e-08,,,,,,            4.5043,           11.7725,           16.0754,           22.8694,            6.7329,            1.4970,            5.8058,           -0.2024,           -0.7954,          -20.8710,
Ref 12,5.05943e-08,,,,,,1.1973e-02,4.2063e-03,4.8947e-05,4.6550e-06,5.9443e-08,,,,,,,,,,,
Sam 12,5.00304e-08,1.20272e-02,4.2560e-03,4.9731e-05,4.7629e-06,6.2672e-08,,,,,,            4.5040,           11.7971,           15.9582,           23.2760,           71.5748,            1.4958,            5.8302,           -0.3412,           -0.4467,           42.1436,
Ref 13,4.97890e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6541e-06,5.7513e-08,,,,,,,,,,,
Sam 13,4.92300e-08,1.20273e-02,4.2559e-03,4.9736e-05,4.7636e-06,6.0447e-08,,,,,,            4.5096,           11.7742,           16.0766,           23.7118,           48.4899,            1.5025,            5.8074,           -0.2082,            0.0242,           19.7320,
Ref 14,4.90037e-08,,,,,,1.1973e-02,4.2064e-03,4.8947e-05,4.6525e-06,5.7793e-08,,,,,,,,,,,
Sam 14,4.84437e-08,1.20270e-02,4.2559e-03,4.9735e-05,4.7629e-06,5.9690e-08,,,,,,            4.4913,           11.7744,           16.0412,           23.3491,           21.1737,            1.4830,            5.8076,           -0.2244,           -0.3305,           -6.8160,
Ref 15,4.82343e-08,,,,,,1.1973e-02,4.2063e-03,4.8953e-05,4.6560e-06,5.9122e-08,,,,,,,,,,,
Sam 15,4.76740e-08,1.20270e-02,4.2558e-03,4.9745e-05,4.7618e-06,6.0170e-08,,,,,,            4.5068,           11.7632,           16.1896,           22.4803,           35.2810,            1.4999,            5.7965,           -0.0835,           -1.1571,            6.9100,
Ref 16,4.74716e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6583e-06,5.7100e-08,,,,,,,,,,,
Sam 16,4.69180e-08,1.20269e-02,4.2559e-03,4.9732e-05,4.7641e-06,6.1242e-08,,,,,,            4.4937,           11.7726,           15.8647,           22.9555,           82.8480,            1.4856,            5.8059,           -0.3989,           -0.7114,           53.1688,
Ref 17,4.67370e-08,,,,,,1.1973e-02,4.2064e-03,4.8958e-05,4.6561e-06,5.6004e-08,,,,,,,,,,,
Sam 17,4.61830e-08,1.20270e-02,4.2559e-03,4.9738e-05,4.7672e-06,6.2643e-08,,,,,,            4.5053,           11.7744,           15.9495,           23.5898,           97.5334,            1.4979,            5.8076,           -0.3290,           -0.0953,           67.4350,
Ref 18,4.60128e-08,,,,,,1.1973e-02,4.2063e-03,4.8956e-05,4.6585e-06,5.8165e-08,,,,,,,,,,,
Sam 18,4.54710e-08,1.20269e-02,4.2558e-03,4.9739e-05,4.7670e-06,5.9208e-08,,,,,,            4.5022,           11.7618,           16.0256,           23.6726,           11.0870,            1.4950,            5.7951,           -0.2387,            0.0103,          -16.6135,
Ref 19,4.53052e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6550e-06,5.8959e-08,,,,,,,,,,,
Sam 19,4.47576e-08,1.20269e-02,4.2558e-03,4.9743e-05,4.7642e-06,5.9820e-08,,,,,,            4.5023,           11.7765,           16.1356,           23.0948,           -8.2349,            1.4946,            5.8097,           -0.1448,           -0.5831,          -35.4337,
Ref 20,4.46082e-08,,,,,,1.1973e-02,4.2063e-03,4.8954e-05,4.6584e-06,6.1696e-08,,,,,,,,,,,
Sam 20,4.40645e-08,1.20269e-02,4.2559e-03,4.9739e-05,4.7667e-06,6.5030e-08,,,,,,            4.5088,           11.7893,           16.0431,           23.7510,           37.9491,            1.5011,            5.8224,           -0.2549,            0.0327,            9.4517,
Ref 21,4.39283e-08,,,,,,1.1973e-02,4.2063e-03,4.8954e-05,4.6538e-06,6.3623e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.35884e-08,,,,,,1.1973e-02,4.2062e-03,4.8956e-05,4.6569e-06,6.2290e-08,
Sam 1,4.30398e-08,1.20267e-02,4.2558e-03,4.9742e-05,4.7632e-06,6.3728e-08,,,,,,            4.4926,           11.7726,           16.0617,           22.9423,           29.0638,            1.4844,            5.8058,           -0.2038,           -0.7243,            0.8600,
Ref 2,4.29286e-08,,,,,,1.1973e-02,4.2062e-03,4.8955e-05,4.6559e-06,6.1560e-08,,,,,,,,,,,
Sam 2,4.23819e-08,1.20266e-02,4.2558e-03,4.9738e-05,4.7643e-06,6.7388e-08,,,,,,            4.4946,           11.7725,           15.9659,           23.0278,           87.3038,            1.4866,            5.8058,           -0.3000,           -0.6407,           57.5016,
Ref 3,4.22849e-08,,,,,,1.1973e-02,4.2062e-03,4.8957e-05,4.6583e-06,6.2400e-08,,,,,,,,,,,
Sam 3,4.17321e-08,1.20265e-02,4.2557e-03,4.9736e-05,4.7647e-06,6.4701e-08,,,,,,            4.4900,           11.7555,           15.8871,           23.0875,           37.7907,            1.4823,            5.7889,           -0.3563,           -0.5488,            9.3839,
Ref 4,4.16404e-08,,,,,,1.1973e-02,4.2062e-03,4.8960e-05,4.6561e-06,6.2288e-08,,,,,,,,,,,
Sam 4,4.10840e-08,1.20266e-02,4.2557e-03,4.9739e-05,4.7676e-06,6.7201e-08,,,,,,            4.5010,           11.7644,           15.9699,           23.9488,           34.1042,            1.4937,            5.7977,           -0.2949,            0.2751,            5.7691,
Ref 5,4.10157e-08,,,,,,1.1973e-02,4.2062e-03,4.8955e-05,4.6561e-06,6.7723e-08,,,,,,,,,,,
Sam 5,4.04583e-08,1.20265e-02,4.2556e-03,4.9746e-05,4.7652e-06,6.8333e-08,,,,,,            4.5011,           11.7631,           16.0634,           23.4043,           -2.9115,            1.4938,            5.7963,           -0.2015,           -0.2542,          -30.2296,
Ref 6,4.03957e-08,,,,,,1.1973e-02,4.2061e-03,4.8965e-05,4.6563e-06,6.9355e-08,,,,,,,,,,,
Sam 6,3.98482e-08,1.20265e-02,4.2557e-03,4.9747e-05,4.7670e-06,6.6871e-08,,,,,,            4.5075,           11.7865,           16.0665,           23.4598,          -15.8206,            1.4998,            5.8196,           -0.2278,           -0.2462,          -42.8352,
Ref 7,3.97872e-08,,,,,,1.1973e-02,4.2061e-03,4.8957e-05,4.6591e-06,6.6515e-08,,,,,,,,,,,
Sam 7,3.92364e-08,1.20264e-02,4.2557e-03,4.9750e-05,4.7649e-06,6.8046e-08,,,,,,            4.5067,           11.7991,           16.1913,           23.1331,          -14.0117,            1.4986,            5.8322,           -0.1166,           -0.5903,          -41.0987,
Ref 8,3.91900e-08,,,,,,1.1972e-02,4.2060e-03,4.8957e-05,4.6552e-06,7.1549e-08,,,,,,,,,,,
Sam 8,3.86404e-08,1.20262e-02,4.2555e-03,4.9735e-05,4.7617e-06,6.9197e-08,,,,,,            4.4963,           11.7762,           15.8893,           22.7207,           17.6540,            1.4883,            5.8095,           -0.3808,           -0.9480,          -10.2480,
Ref 9,3.86109e-08,,,,,,1.1972e-02,4.2060e-03,4.8957e-05,4.6567e-06,6.4392e-08,,,,,,,,,,,
Sam 9,3.80638e-08,1.20262e-02,4.2555e-03,4.9741e-05,4.7672e-06,6.5036e-08,,,,,,            4.4946,           11.7774,           15.9977,           23.6944,           21.4976,            1.4864,            5.8106,           -0.2735,            0.0010,           -6.5101,
Ref 10,3.80412e-08,,,,,,1.1972e-02,4.2059e-03,4.8959e-05,4.6569e-06,6.2931e-08,,,,,,,,,,,
Sam 10,3.75004e-08,1.20260e-02,4.2555e-03,4.9742e-05,4.7659e-06,6.4391e-08,,,,,,            4.4937,           11.7739,           16.0182,           23.1870,          -22.0151,            1.4856,            5.8072,           -0.2492,           -0.4879,          -48.8226,
Ref 11,3.75028e-08,,,,,,1.1972e-02,4.2060e-03,4.8955e-05,4.6589e-06,6.8793e-08,,,,,,,,,,,
Sam 11,3.69479e-08,1.20259e-02,4.2555e-03,4.9748e-05,4.7668e-06,7.1055e-08,,,,,,            4.4936,           11.7945,           16.2093,           23.4002,           35.5577,            1.4848,            5.8276,           -0.0809,           -0.3203,            7.1319,
Ref 12,3.69460e-08,,,,,,1.1972e-02,4.2059e-03,4.8953e-05,4.6566e-06,6.8436e-08,,,,,,,,,,,
Sam 12,3.64037e-08,1.20260e-02,4.2555e-03,4.9742e-05,4.7704e-06,6.6872e-08,,,,,,            4.5066,           11.7903,           16.0617,           24.3278,           -2.7222,            1.4988,            5.8235,           -0.2355,            0.5941,          -30.1027,
Ref 13,3.64097e-08,,,,,,1.1972e-02,4.2059e-03,4.8958e-05,4.6576e-06,6.5652e-08,,,,,,,,,,,
Sam 13,3.58579e-08,1.20258e-02,4.2554e-03,4.9741e-05,4.7687e-06,6.7870e-08,,,,,,            4.5031,           11.7726,           16.0315,           23.9433,            3.7196,            1.4956,            5.8058,           -0.2443,            0.2535,          -23.8005,
Ref 14,3.58928e-08,,,,,,1.1972e-02,4.2058e-03,4.8954e-05,4.6568e-06,6.9612e-08,,,,,,,,,,,
Sam 14,3.53606e-08,1.20257e-02,4.2553e-03,4.9745e-05,4.7690e-06,7.1322e-08,,,,,,            4.5010,           11.7754,           16.1424,           24.2145,           11.0812,            1.4933,            5.8086,           -0.1357,            0.5130,          -16.6438,
Ref 15,3.53816e-08,,,,,,1.1972e-02,4.2058e-03,4.8954e-05,4.6556e-06,7.1482e-08,,,,,,,,,,,
Sam 15,3.48415e-08,1.20255e-02,4.2552e-03,4.9743e-05,4.7614e-06,6.9269e-08,,,,,,            4.4862,           11.7547,           16.0334,           22.2048,           -8.6188,            1.4782,            5.7880,           -0.2077,           -1.4094,          -35.7497,
Ref 16,3.48757e-08,,,,,,1.1972e-02,4.2058e-03,4.8961e-05,4.6603e-06,6.8238e-08,,,,,,,,,,,
Sam 16,3.43350e-08,1.20256e-02,4.2552e-03,4.9740e-05,4.7655e-06,7.1026e-08,,,,,,            4.4971,           11.7577,           15.9240,           22.6025,           37.0807,            1.4898,            5.7910,           -0.3295,           -1.0269,            8.6815,
Ref 17,3.43981e-08,,,,,,1.1972e-02,4.2057e-03,4.8960e-05,4.6601e-06,6.8738e-08,,,,,,,,,,,
Sam 17,3.38460e-08,1.20256e-02,4.2552e-03,4.9747e-05,4.7587e-06,7.2681e-08,,,,,,            4.5009,           11.7673,           16.1441,           21.5279,           53.9009,            1.4935,            5.8005,           -0.1261,           -2.0955,           25.0179,
Ref 18,3.39037e-08,,,,,,1.1972e-02,4.2057e-03,4.8954e-05,4.6567e-06,6.9192e-08,,,,,,,,,,,
Sam 18,3.33568e-08,1.20254e-02,4.2552e-03,4.9746e-05,4.7652e-06,7.1361e-08,,,,,,            4.4981,           11.7659,           16.0775,           22.9927,            9.7729,            1.4906,            5.7992,           -0.1875,           -0.6619,          -17.8952,
Ref 19,3.34239e-08,,,,,,1.1972e-02,4.2057e-03,4.8964e-05,4.6595e-06,7.2170e-08,,,,,,,,,,,
Sam 19,3.28752e-08,1.20253e-02,4.2551e-03,4.9743e-05,4.7662e-06,7.1830e-08,,,,,,            4.4909,           11.7482,           15.9575,           22.8920,           13.4987,            1.4835,            5.7815,           -0.2809,           -0.7252,          -14.2299,
Ref 20,3.29567e-08,,,,,,1.1972e-02,4.2057e-03,4.8959e-05,4.6595e-06,6.9558e-08,,,,,,,,,,,
Sam 20,3.24120e-08,1.20252e-02,4.2552e-03,4.9744e-05,4.7646e-06,7.5885e-08,,,,,,            4.4846,           11.7745,           16.0014,           22.4038,           59.4323,            1.4759,            5.8078,           -0.2569,           -1.2542,           30.4009,
Ref 21,3.24945e-08,,,,,,1.1972e-02,4.2056e-03,4.8961e-05,4.6610e-06,7.3728e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.22676e-08,,,,,,1.1971e-02,4.2056e-03,4.8958e-05,4.6586e-06,7.2163e-08,
Sam 1,3.17016e-08,1.20253e-02,4.2551e-03,4.9749e-05,4.7614e-06,7.5493e-08,,,,,,            4.4907,           11.7578,           16.0584,           22.2533,           47.4033,            1.4829,            5.7911,           -0.1907,           -1.3682,           18.7282,
Ref 2,3.18042e-08,,,,,,1.1972e-02,4.2057e-03,4.8968e-05,4.6570e-06,7.1989e-08,,,,,,,,,,,
Sam 2,3.12599e-08,1.20253e-02,4.2551e-03,4.9741e-05,4.7669e-06,7.1806e-08,,,,,,            4.4910,           11.7711,           15.8777,           23.0765,            8.8348,            1.4828,            5.8043,           -0.3818,           -0.5901,          -18.8100,
Ref 3,3.13661e-08,,,,,,1.1971e-02,4.2056e-03,4.8960e-05,4.6619e-06,7.0355e-08,,,,,,,,,,,
Sam 3,3.08284e-08,1.20251e-02,4.2550e-03,4.9741e-05,4.7647e-06,7.3153e-08,,,,,,            4.4885,           11.7566,           15.9455,           22.1476,           31.1092,            1.4807,            5.7899,           -0.2984,           -1.4690,            2.8849,
Ref 4,3.09412e-08,,,,,,1.1971e-02,4.2055e-03,4.8961e-05,4.6609e-06,7.1546e-08,,,,,,,,,,,
Sam 4,3.03917e-08,1.20249e-02,4.2549e-03,4.9742e-05,4.7668e-06,6.8809e-08,,,,,,            4.4856,           11.7416,           15.9857,           23.0831,          -52.6115,            1.4781,            5.7750,           -0.2413,           -0.5255,          -78.5144,
Ref 5,3.05341e-08,,,,,,1.1971e-02,4.2055e-03,4.8957e-05,4.6575e-06,7.3730e-08,,,,,,,,,,,
Sam 5,2.99788e-08,1.20250e-02,4.2550e-03,4.9747e-05,4.7624e-06,7.5280e-08,,,,,,            4.4992,           11.7691,           16.0841,           22.9198,           56.7988,            1.4916,            5.8023,           -0.1851,           -0.7393,           27.8346,
Ref 6,3.01054e-08,,,,,,1.1971e-02,4.2055e-03,4.8961e-05,4.6538e-06,6.8703e-08,,,,,,,,,,,
Sam 6,2.95588e-08,1.20249e-02,4.2550e-03,4.9743e-05,4.7626e-06,6.8038e-08,,,,,,            4.4828,           11.7548,           15.9664,           22.7896,           -2.7232,            1.4747,            5.7882,           -0.2703,           -0.8384,          -30.0123,
Ref 7,2.96978e-08,,,,,,1.1971e-02,4.2055e-03,4.8961e-05,4.6591e-06,6.7738e-08,,,,,,,,,,,
Sam 7,2.91478e-08,1.20250e-02,4.2549e-03,4.9743e-05,4.7672e-06,6.9132e-08,,,,,,            4.4959,           11.7480,           15.9817,           24.0845,           31.4255,            1.4888,            5.7814,           -0.2620,            0.4401,            3.2014,
Ref 8,2.92906e-08,,,,,,1.1971e-02,4.2055e-03,4.8960e-05,4.6510e-06,6.6305e-08,,,,,,,,,,,
Sam 8,2.87455e-08,1.20249e-02,4.2549e-03,4.9753e-05,4.7649e-06,7.1076e-08,,,,,,            4.4953,           11.7722,           16.2193,           23.5106,           38.5907,            1.4874,            5.8054,           -0.0511,           -0.1683,           10.1236,
Ref 9,2.89036e-08,,,,,,1.1971e-02,4.2054e-03,4.8958e-05,4.6601e-06,7.0595e-08,,,,,,,,,,,
Sam 9,2.83540e-08,1.20248e-02,4.2549e-03,4.9742e-05,4.7608e-06,7.2828e-08,,,,,,            4.4993,           11.7651,           15.9823,           21.9047,           73.2655,            1.4919,            5.7984,           -0.2815,           -1.7231,           43.8580,
Ref 10,2.85070e-08,,,,,,1.1971e-02,4.2054e-03,4.8961e-05,4.6574e-06,6.5079e-08,,,,,,,,,,,
Sam 10,2.79666e-08,1.20247e-02,4.2549e-03,4.9744e-05,4.7652e-06,6.4322e-08,,,,,,            4.4946,           11.7638,           15.9939,           22.9775,           23.2325,            1.4869,            5.7971,           -0.2641,           -0.6725,           -4.7966,
Ref 11,2.81313e-08,,,,,,1.1971e-02,4.2054e-03,4.8961e-05,4.6589e-06,6.0615e-08,,,,,,,,,,,
Sam 11,2.75815e-08,1.20245e-02,4.2548e-03,4.9746e-05,4.7615e-06,6.4481e-08,,,,,,            4.4832,           11.7604,           16.0496,           22.8181,           59.9563,            1.4749,            5.7937,           -0.1943,           -0.8215,           30.9404,
Ref 12,2.77787e-08,,,,,,1.1971e-02,4.2053e-03,4.8959e-05,4.6516e-06,6.1056e-08,,,,,,,,,,,
Sam 12,2.72160e-08,1.20247e-02,4.2549e-03,4.9742e-05,4.7647e-06,6.2660e-08,,,,,,            4.5000,           11.7775,           15.9901,           24.0121,           50.7912,            1.4922,            5.8107,           -0.2867,            0.3110,           21.9740,
Ref 13,2.73816e-08,,,,,,1.1971e-02,4.2054e-03,4.8959e-05,4.6543e-06,5.8186e-08,,,,,,,,,,,
Sam 13,2.68450e-08,1.20248e-02,4.2548e-03,4.9748e-05,4.7621e-06,6.5544e-08,,,,,,            4.5030,           11.7523,           16.0660,           22.7536,           73.2333,            1.4963,            5.7856,           -0.1906,           -0.8685,           43.8485,
Ref 14,2.70253e-08,,,,,,1.1971e-02,4.2054e-03,4.8964e-05,4.6580e-06,6.3995e-08,,,,,,,,,,,
Sam 14,2.64881e-08,1.20247e-02,4.2548e-03,4.9741e-05,4.7626e-06,6.5111e-08,,,,,,            4.5048,           11.7476,           15.9598,           23.5668,           57.4780,            1.4983,            5.7809,           -0.2923,           -0.0649,           28.5321,
Ref 15,2.66726e-08,,,,,,1.1971e-02,4.2053e-03,4.8955e-05,4.6479e-06,5.9116e-08,,,,,,,,,,,
Sam 15,2.61320e-08,1.20245e-02,4.2548e-03,4.9748e-05,4.7605e-06,6.2194e-08,,,,,,            4.4910,           11.7532,           16.1466,           23.4276,           15.6272,            1.4835,            5.7866,           -0.0998,           -0.2119,          -12.1696,
Ref 16,2.63205e-08,,,,,,1.1971e-02,4.2054e-03,4.8960e-05,4.6553e-06,6.3385e-08,,,,,,,,,,,
Sam 16,2.57851e-08,1.20247e-02,4.2548e-03,4.9740e-05,4.7625e-06,6.1310e-08,,,,,,            4.5056,           11.7737,           15.9187,           23.0118,          -22.7738,            1.4982,            5.8069,           -0.3589,           -0.6586,          -49.5720,
Ref 17,2.59791e-08,,,,,,1.1971e-02,4.2052e-03,4.8960e-05,4.6554e-06,6.2085e-08,,,,,,,,,,,
Sam 17,2.54439e-08,1.20247e-02,4.2548e-03,4.9743e-05,4.7594e-06,5.9181e-08,,,,,,            4.5103,           11.7761,           16.0323,           22.3866,          -24.8759,            1.5032,            5.8093,           -0.2543,           -1.2740,          -51.6256,
Ref 18,2.56522e-08,,,,,,1.1971e-02,4.2053e-03,4.8956e-05,4.6549e-06,5.9279e-08,,,,,,,,,,,
Sam 18,2.51054e-08,1.20244e-02,4.2547e-03,4.9743e-05,4.7613e-06,6.0834e-08,,,,,,            4.4870,           11.7591,           16.0814,           22.8821,           26.3406,            1.4789,            5.7924,           -0.1656,           -0.7564,           -1.7565,
Ref 19,2.53109e-08,,,,,,1.1971e-02,4.2052e-03,4.8956e-05,4.6548e-06,5.9266e-08,,,,,,,,,,,
Sam 19,2.47729e-08,1.20243e-02,4.2547e-03,4.9743e-05,4.7603e-06,6.0337e-08,,,,,,            4.4935,           11.7651,           16.0591,           22.9497,           26.2806,            1.4856,            5.7983,           -0.2000,           -0.7021,           -1.8332,
Ref 20,2.49923e-08,,,,,,1.1971e-02,4.2052e-03,4.8958e-05,4.6522e-06,5.8311e-08,,,,,,,,,,,
Sam 20,2.44490e-08,1.20242e-02,4.2547e-03,4.9742e-05,4.7627e-06,5.7654e-08,,,,,,            4.4841,           11.7744,           16.0674,           23.8073,          -22.2527,            1.4754,            5.8077,           -0.1913,            0.1170,          -49.0449,
Ref 21,2.46645e-08,,,,,,1.1971e-02,4.2051e-03,4.8952e-05,4.6517e-06,5.9630e-08,,,,,,,,,,,


