Nu Stable Isotope Analysis Program
Data Collected on Monday, June 27, 2022 at 23:37 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 00:36 with Stable 1.71.5 on PS019

Data File = Data_17422 IAEA-C1.txt,       Sample Weight = 447,                      Vial Location = 5,                        Initial Sam Beam = 1.4619e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5746e-08,                Max Ref Beam = 1.0631e-07,                

Analysis undertaken at mass 46.02641
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.66531e-08,,,,,,1.1973e-02,4.2060e-03,4.8935e-05,4.6463e-06,5.6453e-08,
Sam 1,5.60547e-08,1.20351e-02,4.2532e-03,4.9716e-05,4.7499e-06,5.6026e-08,,,,,,            5.1746,           11.1968,           15.8542,           22.2898,            4.6377,            2.2302,            5.2314,           -0.5471,           -0.2242,          -22.5074,
Ref 2,5.56587e-08,,,,,,1.1973e-02,4.2062e-03,4.8946e-05,4.6465e-06,5.5069e-08,,,,,,,,,,,
Sam 2,5.50939e-08,1.20351e-02,4.2533e-03,4.9725e-05,4.7504e-06,5.8535e-08,,,,,,            5.1545,           11.1841,           15.8656,           22.2994,           55.0500,            2.2092,            5.2188,           -0.5030,           -0.1896,           26.5899,
Ref 3,5.47355e-08,,,,,,1.1973e-02,4.2062e-03,4.8951e-05,4.6471e-06,5.5900e-08,,,,,,,,,,,
Sam 3,5.41725e-08,1.20353e-02,4.2533e-03,4.9724e-05,4.7496e-06,5.9428e-08,,,,,,            5.1620,           11.1694,           15.7766,           22.2228,           40.9065,            2.2176,            5.2041,           -0.5838,           -0.2355,           12.8489,
Ref 4,5.38386e-08,,,,,,1.1974e-02,4.2064e-03,4.8953e-05,4.6456e-06,5.8305e-08,,,,,,,,,,,
Sam 4,5.32698e-08,1.20353e-02,4.2533e-03,4.9726e-05,4.7497e-06,6.1922e-08,,,,,,            5.1547,           11.1564,           15.8393,           22.0654,           53.7487,            2.2104,            5.1912,           -0.5021,           -0.3637,           25.3787,
Ref 5,5.29624e-08,,,,,,1.1974e-02,4.2064e-03,4.8947e-05,4.6487e-06,5.9229e-08,,,,,,,,,,,
Sam 5,5.23886e-08,1.20353e-02,4.2534e-03,4.9722e-05,4.7517e-06,5.8216e-08,,,,,,            5.1617,           11.1718,           15.7815,           22.1122,          -11.0602,            2.2173,            5.2065,           -0.5811,           -0.3483,          -37.7212,
Ref 6,5.20988e-08,,,,,,1.1973e-02,4.2064e-03,4.8951e-05,4.6490e-06,5.8499e-08,,,,,,,,,,,
Sam 6,5.15167e-08,1.20352e-02,4.2533e-03,4.9726e-05,4.7515e-06,6.0104e-08,,,,,,            5.1554,           11.1642,           15.7871,           22.2909,           54.9711,            2.2109,            5.1990,           -0.5618,           -0.1586,           26.5518,
Ref 7,5.12534e-08,,,,,,1.1974e-02,4.2064e-03,4.8954e-05,4.6467e-06,5.5420e-08,,,,,,,,,,,
Sam 7,5.06810e-08,1.20354e-02,4.2534e-03,4.9726e-05,4.7502e-06,5.9479e-08,,,,,,            5.1692,           11.1783,           15.6995,           22.1961,           44.1916,            2.2251,            5.2130,           -0.6758,           -0.2792,           16.0200,
Ref 8,5.04378e-08,,,,,,1.1973e-02,4.2064e-03,4.8961e-05,4.6475e-06,5.8528e-08,,,,,,,,,,,
Sam 8,4.98609e-08,1.20351e-02,4.2533e-03,4.9720e-05,4.7506e-06,5.6641e-08,,,,,,            5.1561,           11.1560,           15.5781,           22.1051,          -11.1555,            2.2118,            5.1907,           -0.7600,           -0.3240,          -37.7786,
Ref 9,4.96387e-08,,,,,,1.1973e-02,4.2064e-03,4.8954e-05,4.6483e-06,5.6012e-08,,,,,,,,,,,
Sam 9,4.90685e-08,1.20352e-02,4.2533e-03,4.9728e-05,4.7528e-06,5.7122e-08,,,,,,            5.1628,           11.1598,           15.8040,           22.3701,           11.1422,            2.2189,            5.1945,           -0.5483,           -0.0723,          -16.0955,
Ref 10,4.88574e-08,,,,,,1.1973e-02,4.2064e-03,4.8954e-05,4.6494e-06,5.6981e-08,,,,,,,,,,,
Sam 10,4.82863e-08,1.20352e-02,4.2534e-03,4.9733e-05,4.7519e-06,5.8740e-08,,,,,,            5.1690,           11.1741,           15.9056,           22.1492,           16.4933,            2.2250,            5.2088,           -0.4688,           -0.3167,          -10.9226,
Ref 11,4.80826e-08,,,,,,1.1973e-02,4.2064e-03,4.8954e-05,4.6485e-06,5.8606e-08,,,,,,,,,,,
Sam 11,4.75160e-08,1.20352e-02,4.2534e-03,4.9726e-05,4.7502e-06,5.7999e-08,,,,,,            5.1690,           11.1756,           15.7923,           21.9149,            4.5577,            2.2249,            5.2103,           -0.5816,           -0.5489,          -22.5392,
Ref 12,4.73484e-08,,,,,,1.1973e-02,4.2064e-03,4.8952e-05,4.6482e-06,5.6852e-08,,,,,,,,,,,
Sam 12,4.67729e-08,1.20351e-02,4.2534e-03,4.9727e-05,4.7522e-06,5.7143e-08,,,,,,            5.1649,           11.1782,           15.7842,           22.1592,            6.5543,            2.2205,            5.2129,           -0.5879,           -0.3150,          -20.5971,
Ref 13,4.65995e-08,,,,,,1.1973e-02,4.2064e-03,4.8956e-05,4.6502e-06,5.6688e-08,,,,,,,,,,,
Sam 13,4.60261e-08,1.20349e-02,4.2534e-03,4.9730e-05,4.7529e-06,5.6702e-08,,,,,,            5.1538,           11.1637,           15.7899,           22.1412,           10.2415,            2.2091,            5.1984,           -0.5568,           -0.3040,          -16.9700,
Ref 14,4.58761e-08,,,,,,1.1973e-02,4.2064e-03,4.8959e-05,4.6496e-06,5.5559e-08,,,,,,,,,,,
Sam 14,4.53157e-08,1.20349e-02,4.2534e-03,4.9729e-05,4.7542e-06,5.8416e-08,,,,,,            5.1581,           11.1663,           15.7898,           22.1991,           32.2704,            2.2136,            5.2010,           -0.5639,           -0.2526,            4.4558,
Ref 15,4.51617e-08,,,,,,1.1973e-02,4.2063e-03,4.8953e-05,4.6522e-06,5.7637e-08,,,,,,,,,,,
Sam 15,4.46097e-08,1.20348e-02,4.2533e-03,4.9731e-05,4.7510e-06,5.9068e-08,,,,,,            5.1605,           11.1630,           15.8534,           21.3319,           30.7082,            2.2164,            5.1977,           -0.5006,           -1.0941,            2.9396,
Ref 16,4.44730e-08,,,,,,1.1973e-02,4.2063e-03,4.8958e-05,4.6514e-06,5.6974e-08,,,,,,,,,,,
Sam 16,4.39235e-08,1.20350e-02,4.2533e-03,4.9735e-05,4.7483e-06,5.8277e-08,,,,,,            5.1727,           11.1758,           15.8461,           21.0253,           22.7566,            2.2289,            5.2104,           -0.5327,           -1.4192,           -4.8354,
Ref 17,4.38009e-08,,,,,,1.1973e-02,4.2064e-03,4.8961e-05,4.6497e-06,5.6987e-08,,,,,,,,,,,
Sam 17,4.32438e-08,1.20349e-02,4.2533e-03,4.9730e-05,4.7527e-06,6.0342e-08,,,,,,            5.1644,           11.1656,           15.7480,           22.3461,           41.2187,            2.2204,            5.2004,           -0.6108,           -0.1074,           13.1575,
Ref 18,4.31291e-08,,,,,,1.1973e-02,4.2064e-03,4.8958e-05,4.6480e-06,5.8936e-08,,,,,,,,,,,
Sam 18,4.25766e-08,1.20348e-02,4.2533e-03,4.9727e-05,4.7535e-06,6.2896e-08,,,,,,            5.1564,           11.1540,           15.7452,           22.7009,           57.9114,            2.2122,            5.1888,           -0.5940,            0.2626,           29.4324,
Ref 19,4.24860e-08,,,,,,1.1973e-02,4.2063e-03,4.8954e-05,4.6480e-06,5.9979e-08,,,,,,,,,,,
Sam 19,4.19287e-08,1.20348e-02,4.2533e-03,4.9731e-05,4.7533e-06,6.1015e-08,,,,,,            5.1648,           11.1651,           15.8656,           22.3251,           37.6357,            2.2208,            5.1999,           -0.4950,           -0.1270,            9.6717,
Ref 20,4.18363e-08,,,,,,1.1973e-02,4.2063e-03,4.8955e-05,4.6510e-06,5.7607e-08,,,,,,,,,,,
Sam 20,4.12909e-08,1.20348e-02,4.2533e-03,4.9737e-05,4.7530e-06,5.9736e-08,,,,,,            5.1733,           11.1612,           15.9450,           22.0039,           33.1616,            2.2300,            5.1959,           -0.4218,           -0.4333,            5.3168,
Ref 21,4.12109e-08,,,,,,1.1973e-02,4.2063e-03,4.8958e-05,4.6503e-06,5.8034e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.09031e-08,,,,,,1.1973e-02,4.2063e-03,4.8959e-05,4.6496e-06,5.7019e-08,
Sam 1,4.03487e-08,1.20346e-02,4.2532e-03,4.9732e-05,4.7509e-06,5.9810e-08,,,,,,            5.1543,           11.1698,           15.7641,           22.0267,           36.2705,            2.2095,            5.2045,           -0.5887,           -0.4280,            8.3454,
Ref 2,4.02893e-08,,,,,,1.1973e-02,4.2062e-03,4.8961e-05,4.6474e-06,5.8425e-08,,,,,,,,,,,
Sam 2,3.97357e-08,1.20345e-02,4.2531e-03,4.9733e-05,4.7521e-06,5.8051e-08,,,,,,            5.1553,           11.1629,           15.7919,           22.4168,            6.2183,            2.2108,            5.1977,           -0.5556,           -0.0329,          -20.8849,
Ref 3,3.96886e-08,,,,,,1.1973e-02,4.2062e-03,4.8960e-05,4.6483e-06,5.6948e-08,,,,,,,,,,,
Sam 3,3.91393e-08,1.20344e-02,4.2532e-03,4.9739e-05,4.7519e-06,6.1814e-08,,,,,,            5.1565,           11.1615,           15.8543,           22.6778,           39.2038,            2.2121,            5.1963,           -0.4941,            0.2251,           11.2135,
Ref 4,3.91034e-08,,,,,,1.1973e-02,4.2062e-03,4.8966e-05,4.6447e-06,6.2054e-08,,,,,,,,,,,
Sam 4,3.85530e-08,1.20344e-02,4.2531e-03,4.9734e-05,4.7503e-06,6.1348e-08,,,,,,            5.1516,           11.1394,           15.7349,           22.1517,           -2.1880,            2.2077,            5.1743,           -0.5851,           -0.2456,          -29.0166,
Ref 5,3.85262e-08,,,,,,1.1973e-02,4.2063e-03,4.8962e-05,4.6501e-06,6.0904e-08,,,,,,,,,,,
Sam 5,3.79757e-08,1.20342e-02,4.2531e-03,4.9738e-05,4.7519e-06,5.7144e-08,,,,,,            5.1456,           11.1473,           15.8375,           21.9846,          -34.9187,            2.2010,            5.1822,           -0.4857,           -0.4248,          -60.8758,
Ref 6,3.79653e-08,,,,,,1.1973e-02,4.2061e-03,4.8962e-05,4.6493e-06,5.7494e-08,,,,,,,,,,,
Sam 6,3.74148e-08,1.20343e-02,4.2530e-03,4.9731e-05,4.7445e-06,5.6930e-08,,,,,,            5.1628,           11.1576,           15.6496,           20.7335,           -3.2800,            2.2190,            5.1923,           -0.6982,           -1.6687,          -30.1250,
Ref 7,3.74140e-08,,,,,,1.1972e-02,4.2061e-03,4.8968e-05,4.6470e-06,5.6735e-08,,,,,,,,,,,
Sam 7,3.68599e-08,1.20341e-02,4.2530e-03,4.9738e-05,4.7509e-06,5.9199e-08,,,,,,            5.1594,           11.1636,           15.8377,           22.1458,           27.1024,            2.2151,            5.1983,           -0.5153,           -0.2992,           -0.5690,
Ref 8,3.68642e-08,,,,,,1.1972e-02,4.2061e-03,4.8957e-05,4.6489e-06,5.8552e-08,,,,,,,,,,,
Sam 8,3.63044e-08,1.20342e-02,4.2529e-03,4.9730e-05,4.7511e-06,5.7110e-08,,,,,,            5.1621,           11.1424,           15.8171,           22.2102,            4.1806,            2.2187,            5.1772,           -0.5178,           -0.1944,          -22.8358,
Ref 9,3.63216e-08,,,,,,1.1972e-02,4.2060e-03,4.8953e-05,4.6468e-06,5.5168e-08,,,,,,,,,,,
Sam 9,3.57760e-08,1.20340e-02,4.2529e-03,4.9728e-05,4.7491e-06,5.7314e-08,,,,,,            5.1515,           11.1444,           15.8025,           21.8041,           45.7756,            2.2073,            5.1793,           -0.5233,           -0.5956,           17.6475,
Ref 10,3.57976e-08,,,,,,1.1972e-02,4.2061e-03,4.8956e-05,4.6486e-06,5.4437e-08,,,,,,,,,,,
Sam 10,3.52617e-08,1.20340e-02,4.2530e-03,4.9733e-05,4.7510e-06,5.8768e-08,,,,,,            5.1629,           11.1514,           15.8079,           22.1208,           68.4061,            2.2192,            5.1862,           -0.5364,           -0.2997,           39.6426,
Ref 11,3.52880e-08,,,,,,1.1972e-02,4.2060e-03,4.8962e-05,4.6478e-06,5.5583e-08,,,,,,,,,,,
Sam 11,3.47470e-08,1.20340e-02,4.2529e-03,4.9733e-05,4.7484e-06,5.5064e-08,,,,,,            5.1675,           11.1494,           15.8082,           21.4163,          -17.3190,            2.2242,            5.1842,           -0.5389,           -0.9847,          -43.7755,
Ref 12,3.47832e-08,,,,,,1.1972e-02,4.2060e-03,4.8956e-05,4.6500e-06,5.6493e-08,,,,,,,,,,,
Sam 12,3.42414e-08,1.20339e-02,4.2529e-03,4.9725e-05,4.7472e-06,5.3417e-08,,,,,,            5.1648,           11.1714,           15.6170,           21.1879,          -42.1915,            2.2206,            5.2061,           -0.7457,           -1.2516,          -68.0157,
Ref 13,3.42986e-08,,,,,,1.1972e-02,4.2059e-03,4.8965e-05,4.6475e-06,5.5038e-08,,,,,,,,,,,
Sam 13,3.37546e-08,1.20340e-02,4.2529e-03,4.9737e-05,4.7485e-06,5.5856e-08,,,,,,            5.1725,           11.1693,           15.8352,           21.9962,           63.4787,            2.2289,            5.2040,           -0.5370,           -0.4570,           34.8012,
Ref 14,3.38054e-08,,,,,,1.1972e-02,4.2060e-03,4.8958e-05,4.6450e-06,4.9970e-08,,,,,,,,,,,
Sam 14,3.32701e-08,1.20339e-02,4.2529e-03,4.9728e-05,4.7493e-06,5.0097e-08,,,,,,            5.1667,           11.1663,           15.7091,           23.2790,           15.0035,            2.2228,            5.2011,           -0.6521,            0.8037,          -12.3549,
Ref 15,3.33307e-08,,,,,,1.1972e-02,4.2059e-03,4.8960e-05,4.6375e-06,4.8734e-08,,,,,,,,,,,
Sam 15,3.27940e-08,1.20337e-02,4.2529e-03,4.9731e-05,4.7483e-06,5.2324e-08,,,,,,            5.1590,           11.1702,           15.7430,           22.8339,           74.5508,            2.2145,            5.2049,           -0.6146,            0.3607,           45.5880,
Ref 16,3.28870e-08,,,,,,1.1972e-02,4.2059e-03,4.8960e-05,4.6473e-06,4.8652e-08,,,,,,,,,,,
Sam 16,3.23322e-08,1.20337e-02,4.2528e-03,4.9733e-05,4.7459e-06,4.5101e-08,,,,,,            5.1587,           11.1554,           15.8175,           21.7765,          -40.6841,            2.2147,            5.1902,           -0.5267,           -0.6443,          -66.5138,
Ref 17,3.24137e-08,,,,,,1.1972e-02,4.2059e-03,4.8959e-05,4.6421e-06,4.5352e-08,,,,,,,,,,,
Sam 17,3.18677e-08,1.20337e-02,4.2528e-03,4.9735e-05,4.7463e-06,4.5366e-08,,,,,,            5.1612,           11.1585,           15.9079,           22.3475,           13.2227,            2.2173,            5.1933,           -0.4433,           -0.0920,          -14.0669,
Ref 18,3.19606e-08,,,,,,1.1972e-02,4.2059e-03,4.8954e-05,4.6430e-06,4.4188e-08,,,,,,,,,,,
Sam 18,3.14158e-08,1.20336e-02,4.2527e-03,4.9731e-05,4.7429e-06,4.4254e-08,,,,,,            5.1529,           11.1413,           15.8379,           21.3100,           27.1854,            2.2090,            5.1762,           -0.4869,           -1.0728,           -0.4382,
Ref 19,3.15168e-08,,,,,,1.1972e-02,4.2059e-03,4.8958e-05,4.6450e-06,4.1962e-08,,,,,,,,,,,
Sam 19,3.09699e-08,1.20335e-02,4.2527e-03,4.9729e-05,4.7502e-06,4.5971e-08,,,,,,            5.1569,           11.1467,           15.6560,           22.7764,          103.9219,            2.2130,            5.1815,           -0.6752,            0.3509,           74.2190,
Ref 20,3.10759e-08,,,,,,1.1972e-02,4.2057e-03,4.8966e-05,4.6439e-06,4.1320e-08,,,,,,,,,,,
Sam 20,3.05461e-08,1.20334e-02,4.2527e-03,4.9731e-05,4.7453e-06,4.7850e-08,,,,,,            5.1541,           11.1587,           15.6643,           21.9012,          145.3023,            2.2097,            5.1935,           -0.6759,           -0.5289,          114.4631,
Ref 21,3.06624e-08,,,,,,1.1972e-02,4.2058e-03,4.8962e-05,4.6433e-06,4.2245e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.04501e-08,,,,,,1.1972e-02,4.2057e-03,4.8960e-05,4.6436e-06,4.0737e-08,
Sam 1,2.99014e-08,1.20334e-02,4.2526e-03,4.9731e-05,4.7474e-06,4.4408e-08,,,,,,            5.1546,           11.1467,           15.8356,           22.6076,           86.0263,            2.2106,            5.1816,           -0.4962,            0.1858,           56.8073,
Ref 2,3.00282e-08,,,,,,1.1972e-02,4.2057e-03,4.8952e-05,4.6412e-06,4.1047e-08,,,,,,,,,,,
Sam 2,2.94854e-08,1.20333e-02,4.2527e-03,4.9729e-05,4.7426e-06,3.6714e-08,,,,,,            5.1452,           11.1708,           15.9272,           21.5532,          -92.9327,            2.1998,            5.2056,           -0.4199,           -0.8932,         -117.3695,
Ref 3,2.96384e-08,,,,,,1.1972e-02,4.2057e-03,4.8947e-05,4.6439e-06,3.9897e-08,,,,,,,,,,,
Sam 3,2.90811e-08,1.20334e-02,4.2526e-03,4.9731e-05,4.7441e-06,3.8774e-08,,,,,,            5.1589,           11.1523,           15.9126,           21.8992,           43.7136,            2.2150,            5.1871,           -0.4303,           -0.5181,           15.6175,
Ref 4,2.92179e-08,,,,,,1.1972e-02,4.2057e-03,4.8956e-05,4.6409e-06,3.4364e-08,,,,,,,,,,,
Sam 4,2.86754e-08,1.20334e-02,4.2526e-03,4.9726e-05,4.7452e-06,3.3262e-08,,,,,,            5.1641,           11.1417,           15.7455,           22.5125,          -16.8167,            2.2208,            5.1766,           -0.5897,            0.1027,          -43.2690,
Ref 5,2.88227e-08,,,,,,1.1971e-02,4.2057e-03,4.8953e-05,4.6405e-06,3.3290e-08,,,,,,,,,,,
Sam 5,2.82798e-08,1.20332e-02,4.2526e-03,4.9729e-05,4.7439e-06,3.4934e-08,,,,,,            5.1575,           11.1569,           15.8061,           22.2474,           -8.8344,            2.2133,            5.1917,           -0.5381,           -0.1867,          -35.5233,
Ref 6,2.84346e-08,,,,,,1.1971e-02,4.2057e-03,4.8958e-05,4.6408e-06,3.7228e-08,,,,,,,,,,,
Sam 6,2.78946e-08,1.20331e-02,4.2525e-03,4.9731e-05,4.7432e-06,3.4026e-08,,,,,,            5.1598,           11.1413,           15.8041,           22.2257,          -25.5594,            2.2164,            5.1762,           -0.5273,           -0.1770,          -51.7714,
Ref 7,2.80538e-08,,,,,,1.1971e-02,4.2056e-03,4.8956e-05,4.6392e-06,3.2577e-08,,,,,,,,,,,
Sam 7,2.75151e-08,1.20331e-02,4.2525e-03,4.9724e-05,4.7389e-06,3.7465e-08,,,,,,            5.1638,           11.1598,           15.6724,           21.4096,          240.1680,            2.2199,            5.1945,           -0.6788,           -1.0118,          206.7596,
Ref 8,2.77038e-08,,,,,,1.1971e-02,4.2055e-03,4.8957e-05,4.6398e-06,2.7812e-08,,,,,,,,,,,
Sam 8,2.71566e-08,1.20331e-02,4.2525e-03,4.9720e-05,4.7404e-06,3.2804e-08,,,,,,            5.1648,           11.1590,           15.6427,           21.5277,           59.4340,            2.2210,            5.1938,           -0.7083,           -0.8948,           30.8948,
Ref 9,2.73196e-08,,,,,,1.1971e-02,4.2055e-03,4.8951e-05,4.6413e-06,3.4160e-08,,,,,,,,,,,
Sam 9,2.67841e-08,1.20331e-02,4.2525e-03,4.9727e-05,4.7387e-06,3.3581e-08,,,,,,            5.1578,           11.1618,           15.7813,           21.6055,           28.6418,            2.2134,            5.1966,           -0.5675,           -0.8242,            0.9341,
Ref 10,2.69504e-08,,,,,,1.1971e-02,4.2056e-03,4.8957e-05,4.6356e-06,3.1111e-08,,,,,,,,,,,
Sam 10,2.64175e-08,1.20331e-02,4.2524e-03,4.9724e-05,4.7379e-06,2.7366e-08,,,,,,            5.1570,           11.1527,           15.7018,           21.7465,          -69.3655,            2.2129,            5.1875,           -0.6361,           -0.6684,          -94.4165,
Ref 11,2.65983e-08,,,,,,1.1971e-02,4.2055e-03,4.8954e-05,4.6385e-06,2.7677e-08,,,,,,,,,,,
Sam 11,2.60627e-08,1.20329e-02,4.2523e-03,4.9722e-05,4.7414e-06,2.9268e-08,,,,,,            5.1475,           11.1332,           15.7088,           22.4834,           85.7473,            2.2036,            5.1681,           -0.6005,            0.0911,           56.5716,
Ref 12,2.62422e-08,,,,,,1.1971e-02,4.2055e-03,4.8953e-05,4.6358e-06,2.6227e-08,,,,,,,,,,,
Sam 12,2.57145e-08,1.20329e-02,4.2525e-03,4.9716e-05,4.7326e-06,2.5486e-08,,,,,,            5.1628,           11.1747,           15.6121,           20.5569,          -34.1666,            2.2183,            5.2094,           -0.7517,           -1.8753,          -60.2111,
Ref 13,2.59028e-08,,,,,,1.1971e-02,4.2055e-03,4.8952e-05,4.6389e-06,2.6550e-08,,,,,,,,,,,
Sam 13,2.53745e-08,1.20327e-02,4.2524e-03,4.9731e-05,4.7387e-06,2.2465e-08,,,,,,            5.1522,           11.1714,           15.9909,           22.0825,         -147.0920,            2.2071,            5.2062,           -0.3650,           -0.3767,         -170.0767,
Ref 14,2.55693e-08,,,,,,1.1971e-02,4.2054e-03,4.8945e-05,4.6338e-06,2.6127e-08,,,,,,,,,,,
Sam 14,2.50435e-08,1.20327e-02,4.2524e-03,4.9721e-05,4.7370e-06,1.8821e-08,,,,,,            5.1489,           11.1636,           15.9207,           22.1669,         -169.5421,            2.2039,            5.1984,           -0.4231,           -0.2786,         -191.9067,
Ref 15,2.52489e-08,,,,,,1.1971e-02,4.2054e-03,4.8939e-05,4.6348e-06,1.9157e-08,,,,,,,,,,,
Sam 15,2.47200e-08,1.20328e-02,4.2523e-03,4.9723e-05,4.7358e-06,1.9907e-08,,,,,,            5.1671,           11.1575,           15.9606,           22.0102,           68.1423,            2.2235,            5.1923,           -0.3965,           -0.4199,           39.3689,
Ref 16,2.49206e-08,,,,,,1.1971e-02,4.2054e-03,4.8946e-05,4.6328e-06,1.8110e-08,,,,,,,,,,,
Sam 16,2.44003e-08,1.20325e-02,4.2523e-03,4.9705e-05,4.7371e-06,1.5572e-08,,,,,,            5.1401,           11.1412,           15.5351,           22.4285,          -88.3870,            2.1953,            5.1761,           -0.7716,            0.0214,         -112.8903,
Ref 17,2.46015e-08,,,,,,1.1971e-02,4.2055e-03,4.8944e-05,4.6335e-06,1.6041e-08,,,,,,,,,,,
Sam 17,2.40730e-08,1.20328e-02,4.2523e-03,4.9712e-05,4.7363e-06,1.5324e-08,,,,,,            5.1668,           11.1561,           15.7635,           21.8497,         -121.3053,            2.2233,            5.1908,           -0.5887,           -0.5740,         -144.9726,
Ref 18,2.42870e-08,,,,,,1.1971e-02,4.2054e-03,4.8937e-05,4.6366e-06,1.8855e-08,,,,,,,,,,,
Sam 18,2.37622e-08,1.20327e-02,4.2523e-03,4.9719e-05,4.7389e-06,1.8752e-08,,,,,,            5.1559,           11.1419,           15.8584,           22.5796,            5.8826,            2.2121,            5.1767,           -0.4703,            0.1679,          -21.1722,
Ref 19,2.39775e-08,,,,,,1.1971e-02,4.2055e-03,4.8948e-05,4.6320e-06,1.8428e-08,,,,,,,,,,,
Sam 19,2.34598e-08,1.20326e-02,4.2523e-03,4.9718e-05,4.7337e-06,1.5237e-08,,,,,,            5.1431,           11.1185,           15.6863,           21.6751,          -97.8420,            2.1993,            5.1534,           -0.6038,           -0.6704,         -122.0551,
Ref 20,2.36768e-08,,,,,,1.1971e-02,4.2055e-03,4.8952e-05,4.6346e-06,1.5331e-08,,,,,,,,,,,
Sam 20,2.31628e-08,1.20327e-02,4.2523e-03,4.9708e-05,4.7351e-06,1.9963e-08,,,,,,            5.1611,           11.1437,           15.5146,           22.1509,          132.4541,            2.2177,            5.1785,           -0.8158,           -0.2549,          101.9850,
Ref 21,2.33781e-08,,,,,,1.1971e-02,4.2054e-03,4.8944e-05,4.6304e-06,1.9955e-08,,,,,,,,,,,


