Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 28, 2022 at 01:00 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 01:58 with Stable 1.71.5 on PS019

Data File = Data_17423 BDK-A.txt,         Sample Weight = 511,                      Vial Location = 6,                        Initial Sam Beam = 1.4813e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5071e-08,                Max Ref Beam = 1.0610e-07,                

Analysis undertaken at mass 46.02146
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.74884e-08,,,,,,1.1973e-02,4.2058e-03,4.8934e-05,4.6456e-06,5.4115e-08,
Sam 1,5.69295e-08,1.19375e-02,4.2264e-03,4.9011e-05,4.6910e-06,5.4562e-08,,,,,,           -2.9542,            4.8745,            1.5455,            9.6319,           18.1533,           -6.2026,           -1.0425,           -0.1928,           -0.1396,           11.6371,
Ref 2,5.65055e-08,,,,,,1.1973e-02,4.2060e-03,4.8937e-05,4.6468e-06,5.3054e-08,,,,,,,,,,,
Sam 2,5.59634e-08,1.19376e-02,4.2265e-03,4.9014e-05,4.6927e-06,5.5092e-08,,,,,,           -2.9619,            4.8546,            1.4951,            9.9882,           18.7352,           -6.2102,           -1.0624,           -0.2154,            0.2530,           12.2632,
Ref 3,5.55642e-08,,,,,,1.1973e-02,4.2061e-03,4.8945e-05,4.6458e-06,5.5121e-08,,,,,,,,,,,
Sam 3,5.50230e-08,1.19377e-02,4.2265e-03,4.9017e-05,4.6924e-06,5.5741e-08,,,,,,           -2.9684,            4.8456,            1.4294,            9.8711,           13.8130,           -6.2168,           -1.0713,           -0.2656,            0.1548,            7.3969,
Ref 4,5.46620e-08,,,,,,1.1973e-02,4.2062e-03,4.8949e-05,4.6473e-06,5.4840e-08,,,,,,,,,,,
Sam 4,5.41170e-08,1.19378e-02,4.2267e-03,4.9015e-05,4.6906e-06,5.5415e-08,,,,,,           -2.9534,            4.8707,            1.4469,            9.4360,           11.0559,           -6.2016,           -1.0464,           -0.2882,           -0.3260,            4.5918,
Ref 5,5.37736e-08,,,,,,1.1973e-02,4.2062e-03,4.8940e-05,4.6462e-06,5.4778e-08,,,,,,,,,,,
Sam 5,5.32248e-08,1.19378e-02,4.2267e-03,4.9011e-05,4.6931e-06,5.4248e-08,,,,,,           -2.9499,            4.8737,            1.3868,            9.8037,           -6.2048,           -6.1980,           -1.0434,           -0.3548,            0.0321,          -12.5681,
Ref 6,5.29033e-08,,,,,,1.1973e-02,4.2062e-03,4.8947e-05,4.6489e-06,5.4391e-08,,,,,,,,,,,
Sam 6,5.23522e-08,1.19376e-02,4.2266e-03,4.9019e-05,4.6948e-06,5.4831e-08,,,,,,           -2.9671,            4.8533,            1.4736,            9.8122,            4.4938,           -6.2156,           -1.0636,           -0.2304,            0.0811,           -1.8798,
Ref 7,5.20490e-08,,,,,,1.1973e-02,4.2062e-03,4.8947e-05,4.6496e-06,5.4782e-08,,,,,,,,,,,
Sam 7,5.14943e-08,1.19378e-02,4.2267e-03,4.9013e-05,4.6929e-06,5.4834e-08,,,,,,           -2.9580,            4.8541,            1.3908,            9.4326,          -12.8032,           -6.2060,           -1.0629,           -0.3232,           -0.2963,          -19.0780,
Ref 8,5.12080e-08,,,,,,1.1973e-02,4.2063e-03,4.8943e-05,4.6486e-06,5.6321e-08,,,,,,,,,,,
Sam 8,5.06610e-08,1.19379e-02,4.2268e-03,4.9020e-05,4.6938e-06,5.6128e-08,,,,,,           -2.9554,            4.8699,            1.5413,           10.3088,           -9.3704,           -6.2038,           -1.0471,           -0.1911,            0.5399,          -15.7003,
Ref 9,5.03891e-08,,,,,,1.1973e-02,4.2063e-03,4.8945e-05,4.6431e-06,5.7002e-08,,,,,,,,,,,
Sam 9,4.98460e-08,1.19379e-02,4.2268e-03,4.9022e-05,4.6918e-06,5.3684e-08,,,,,,           -2.9538,            4.8678,            1.5594,            9.9594,          -25.1331,           -6.2020,           -1.0492,           -0.1727,            0.1981,          -31.3599,
Ref 10,4.95935e-08,,,,,,1.1973e-02,4.2063e-03,4.8947e-05,4.6480e-06,5.3103e-08,,,,,,,,,,,
Sam 10,4.90483e-08,1.19378e-02,4.2267e-03,4.9020e-05,4.6945e-06,5.4127e-08,,,,,,           -2.9619,            4.8581,            1.4389,           10.0846,           23.5717,           -6.2103,           -1.0589,           -0.2750,            0.3414,           17.0620,
Ref 11,4.88103e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6471e-06,5.2655e-08,,,,,,,,,,,
Sam 11,4.82667e-08,1.19377e-02,4.2268e-03,4.9021e-05,4.6918e-06,5.4908e-08,,,,,,           -2.9585,            4.8666,            1.4439,            9.4305,           29.8016,           -6.2069,           -1.0504,           -0.2820,           -0.3233,           23.2314,
Ref 12,4.80409e-08,,,,,,1.1973e-02,4.2063e-03,4.8948e-05,4.6487e-06,5.3993e-08,,,,,,,,,,,
Sam 12,4.75051e-08,1.19376e-02,4.2267e-03,4.9022e-05,4.6915e-06,5.4403e-08,,,,,,           -2.9620,            4.8597,            1.4656,            9.6309,           -2.0130,           -6.2104,           -1.0573,           -0.2498,           -0.1110,           -8.3629,
Ref 13,4.72864e-08,,,,,,1.1973e-02,4.2063e-03,4.8953e-05,4.6447e-06,5.5040e-08,,,,,,,,,,,
Sam 13,4.67592e-08,1.19376e-02,4.2268e-03,4.9022e-05,4.6924e-06,5.4215e-08,,,,,,           -2.9663,            4.8655,            1.4928,            9.7305,          -28.6674,           -6.2153,           -1.0515,           -0.2239,           -0.0240,          -34.8544,
Ref 14,4.65499e-08,,,,,,1.1973e-02,4.2063e-03,4.8945e-05,4.6496e-06,5.6602e-08,,,,,,,,,,,
Sam 14,4.60242e-08,1.19376e-02,4.2267e-03,4.9017e-05,4.6903e-06,5.6417e-08,,,,,,           -2.9665,            4.8455,            1.3761,            8.6204,           18.4221,           -6.2147,           -1.0714,           -0.3206,           -1.0835,           11.9751,
Ref 15,4.58321e-08,,,,,,1.1973e-02,4.2064e-03,4.8955e-05,4.6507e-06,5.4172e-08,,,,,,,,,,,
Sam 15,4.53073e-08,1.19375e-02,4.2268e-03,4.9023e-05,4.6918e-06,5.7207e-08,,,,,,           -2.9682,            4.8562,            1.3668,            9.2320,           40.0980,           -6.2169,           -1.0607,           -0.3387,           -0.4992,           33.4939,
Ref 16,4.51290e-08,,,,,,1.1973e-02,4.2063e-03,4.8957e-05,4.6470e-06,5.5845e-08,,,,,,,,,,,
Sam 16,4.46031e-08,1.19376e-02,4.2268e-03,4.9023e-05,4.6901e-06,5.4843e-08,,,,,,           -2.9534,            4.8612,            1.3114,            9.1085,          -13.2192,           -6.2013,           -1.0558,           -0.4141,           -0.6315,          -19.5099,
Ref 17,4.44296e-08,,,,,,1.1973e-02,4.2063e-03,4.8960e-05,4.6486e-06,5.5307e-08,,,,,,,,,,,
Sam 17,4.39131e-08,1.19375e-02,4.2267e-03,4.9022e-05,4.6906e-06,5.4528e-08,,,,,,           -2.9608,            4.8506,            1.3130,            9.7430,          -17.4000,           -6.2089,           -1.0664,           -0.3944,            0.0182,          -23.6359,
Ref 18,4.37503e-08,,,,,,1.1973e-02,4.2063e-03,4.8956e-05,4.6421e-06,5.5683e-08,,,,,,,,,,,
Sam 18,4.32301e-08,1.19373e-02,4.2267e-03,4.9025e-05,4.6903e-06,5.3508e-08,,,,,,           -2.9704,            4.8526,            1.4105,            9.7680,          -27.8140,           -6.2192,           -1.0644,           -0.2891,            0.0389,          -33.9777,
Ref 19,4.30862e-08,,,,,,1.1973e-02,4.2063e-03,4.8956e-05,4.6478e-06,5.4383e-08,,,,,,,,,,,
Sam 19,4.25774e-08,1.19373e-02,4.2267e-03,4.9020e-05,4.6915e-06,5.5991e-08,,,,,,           -2.9702,            4.8518,            1.2810,            9.4201,            5.5513,           -6.2189,           -1.0651,           -0.4180,           -0.3042,           -0.8227,
Ref 20,4.24319e-08,,,,,,1.1973e-02,4.2063e-03,4.8958e-05,4.6476e-06,5.7000e-08,,,,,,,,,,,
Sam 20,4.19265e-08,1.19373e-02,4.2267e-03,4.9027e-05,4.6915e-06,5.7820e-08,,,,,,           -2.9641,            4.8541,            1.4685,            9.6915,           31.9420,           -6.2125,           -1.0629,           -0.2393,           -0.0399,           25.3895,
Ref 21,4.17954e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6453e-06,5.5045e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.14815e-08,,,,,,1.1973e-02,4.2062e-03,4.8961e-05,4.6479e-06,5.4543e-08,
Sam 1,4.09694e-08,1.19373e-02,4.2266e-03,4.9029e-05,4.6936e-06,5.4278e-08,,,,,,           -2.9593,            4.8606,            1.4297,           10.2673,           -6.0168,           -6.2076,           -1.0564,           -0.2894,            0.5174,          -12.3460,
Ref 2,4.08582e-08,,,,,,1.1973e-02,4.2062e-03,4.8956e-05,4.6439e-06,5.4671e-08,,,,,,,,,,,
Sam 2,4.03444e-08,1.19371e-02,4.2266e-03,4.9024e-05,4.6920e-06,5.9383e-08,,,,,,           -2.9656,            4.8637,            1.3929,            9.9276,           63.1428,           -6.2144,           -1.0533,           -0.3226,            0.1748,           56.3740,
Ref 3,4.02484e-08,,,,,,1.1973e-02,4.2061e-03,4.8957e-05,4.6478e-06,5.7058e-08,,,,,,,,,,,
Sam 3,3.97363e-08,1.19370e-02,4.2265e-03,4.9019e-05,4.6921e-06,5.8010e-08,,,,,,           -2.9631,            4.8576,            1.2847,            9.1794,           36.8928,           -6.2116,           -1.0593,           -0.4272,           -0.5541,           30.3007,
Ref 4,3.96502e-08,,,,,,1.1972e-02,4.2061e-03,4.8955e-05,4.6510e-06,5.4817e-08,,,,,,,,,,,
Sam 4,3.91307e-08,1.19369e-02,4.2265e-03,4.9025e-05,4.6923e-06,5.8711e-08,,,,,,           -2.9664,            4.8459,            1.4503,            9.2051,           35.4098,           -6.2147,           -1.0710,           -0.2471,           -0.5054,           28.8542,
Ref 5,3.90678e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6481e-06,5.8618e-08,,,,,,,,,,,
Sam 5,3.85491e-08,1.19369e-02,4.2265e-03,4.9022e-05,4.6929e-06,5.8465e-08,,,,,,           -2.9550,            4.8606,            1.4195,            9.8376,           17.2277,           -6.2030,           -1.0564,           -0.3040,            0.0918,           10.7458,
Ref 6,3.84844e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6463e-06,5.6314e-08,,,,,,,,,,,
Sam 6,3.79701e-08,1.19369e-02,4.2265e-03,4.9023e-05,4.6914e-06,5.4737e-08,,,,,,           -2.9579,            4.8546,            1.4420,            9.0262,           -0.9507,           -6.2059,           -1.0624,           -0.2726,           -0.6997,           -7.3018,
Ref 7,3.79220e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6525e-06,5.3241e-08,,,,,,,,,,,
Sam 7,3.74090e-08,1.19369e-02,4.2265e-03,4.9024e-05,4.6932e-06,5.6743e-08,,,,,,           -2.9536,            4.8591,            1.4625,            9.3527,           45.4914,           -6.2015,           -1.0579,           -0.2611,           -0.3854,           38.8311,
Ref 8,3.73639e-08,,,,,,1.1972e-02,4.2060e-03,4.8953e-05,4.6469e-06,5.5323e-08,,,,,,,,,,,
Sam 8,3.68501e-08,1.19367e-02,4.2264e-03,4.9019e-05,4.6917e-06,5.3130e-08,,,,,,           -2.9601,            4.8426,            1.3263,            9.2970,          -48.3364,           -6.2078,           -1.0743,           -0.3742,           -0.4078,          -54.3619,
Ref 9,3.68287e-08,,,,,,1.1972e-02,4.2060e-03,4.8955e-05,4.6502e-06,5.6341e-08,,,,,,,,,,,
Sam 9,3.63097e-08,1.19366e-02,4.2264e-03,4.9023e-05,4.6934e-06,5.4531e-08,,,,,,           -2.9670,            4.8510,            1.3738,            9.5419,          -24.8574,           -6.2155,           -1.0659,           -0.3278,           -0.1820,          -31.0405,
Ref 10,3.62719e-08,,,,,,1.1972e-02,4.2060e-03,4.8957e-05,4.6479e-06,5.5495e-08,,,,,,,,,,,
Sam 10,3.57599e-08,1.19366e-02,4.2263e-03,4.9026e-05,4.6948e-06,5.9555e-08,,,,,,           -2.9615,            4.8548,            1.3725,           10.4516,           61.8971,           -6.2097,           -1.0621,           -0.3386,            0.7114,           55.1499,
Ref 11,3.57467e-08,,,,,,1.1972e-02,4.2059e-03,4.8960e-05,4.6446e-06,5.6681e-08,,,,,,,,,,,
Sam 11,3.52415e-08,1.19367e-02,4.2264e-03,4.9029e-05,4.6917e-06,6.0147e-08,,,,,,           -2.9566,            4.8713,            1.4231,            9.6794,           26.4337,           -6.2051,           -1.0458,           -0.3092,           -0.0861,           19.8738,
Ref 12,3.52323e-08,,,,,,1.1972e-02,4.2059e-03,4.8959e-05,4.6489e-06,6.0543e-08,,,,,,,,,,,
Sam 12,3.47310e-08,1.19366e-02,4.2263e-03,4.9023e-05,4.6907e-06,5.5898e-08,,,,,,           -2.9617,            4.8398,            1.3579,            9.2132,          -57.3035,           -6.2094,           -1.0771,           -0.3383,           -0.4852,          -63.2656,
Ref 13,3.47275e-08,,,,,,1.1972e-02,4.2060e-03,4.8953e-05,4.6469e-06,5.8030e-08,,,,,,,,,,,
Sam 13,3.42289e-08,1.19365e-02,4.2263e-03,4.9020e-05,4.6916e-06,5.6232e-08,,,,,,           -2.9597,            4.8479,            1.4143,            9.4323,           -7.4955,           -6.2076,           -1.0690,           -0.2919,           -0.2843,          -13.7903,
Ref 14,3.42398e-08,,,,,,1.1972e-02,4.2059e-03,4.8949e-05,4.6486e-06,5.5264e-08,,,,,,,,,,,
Sam 14,3.37503e-08,1.19363e-02,4.2262e-03,4.9023e-05,4.6923e-06,5.8407e-08,,,,,,           -2.9658,            4.8422,            1.3699,            9.1800,           39.9490,           -6.2138,           -1.0747,           -0.3244,           -0.5229,           33.3715,
Ref 15,3.37573e-08,,,,,,1.1972e-02,4.2059e-03,4.8962e-05,4.6506e-06,5.7076e-08,,,,,,,,,,,
Sam 15,3.32520e-08,1.19363e-02,4.2262e-03,4.9021e-05,4.6960e-06,5.9062e-08,,,,,,           -2.9602,            4.8588,            1.2536,           10.2438,           34.1691,           -6.2086,           -1.0582,           -0.4624,            0.4977,           27.5887,
Ref 16,3.32782e-08,,,,,,1.1972e-02,4.2057e-03,4.8957e-05,4.6460e-06,5.7145e-08,,,,,,,,,,,
Sam 16,3.27737e-08,1.19361e-02,4.2261e-03,4.9022e-05,4.6935e-06,5.9842e-08,,,,,,           -2.9690,            4.8426,            1.3142,            9.9041,           35.4393,           -6.2174,           -1.0743,           -0.3770,            0.1935,           28.8931,
Ref 17,3.28132e-08,,,,,,1.1972e-02,4.2057e-03,4.8958e-05,4.6489e-06,5.8451e-08,,,,,,,,,,,
Sam 17,3.23070e-08,1.19362e-02,4.2261e-03,4.9017e-05,4.6937e-06,6.0706e-08,,,,,,           -2.9543,            4.8409,            1.2746,            9.3898,           43.9311,           -6.2016,           -1.0760,           -0.4301,           -0.3124,           37.3184,
Ref 18,3.23609e-08,,,,,,1.1972e-02,4.2058e-03,4.8951e-05,4.6512e-06,5.7848e-08,,,,,,,,,,,
Sam 18,3.18460e-08,1.19360e-02,4.2261e-03,4.9029e-05,4.6912e-06,5.9137e-08,,,,,,           -2.9630,            4.8566,            1.4912,            9.2631,           11.1137,           -6.2114,           -1.0603,           -0.2203,           -0.4692,            4.6873,
Ref 19,3.19043e-08,,,,,,1.1971e-02,4.2056e-03,4.8960e-05,4.6450e-06,5.9135e-08,,,,,,,,,,,
Sam 19,3.13975e-08,1.19360e-02,4.2261e-03,4.9019e-05,4.6947e-06,6.3182e-08,,,,,,           -2.9504,            4.8643,            1.2218,           10.4895,           56.1276,           -6.1983,           -1.0528,           -0.5097,            0.7301,           49.3853,
Ref 20,3.14860e-08,,,,,,1.1971e-02,4.2056e-03,4.8959e-05,4.6468e-06,6.0523e-08,,,,,,,,,,,
Sam 20,3.09592e-08,1.19358e-02,4.2260e-03,4.9025e-05,4.6921e-06,6.0369e-08,,,,,,           -2.9646,            4.8480,            1.3381,            9.3712,           42.8206,           -6.2128,           -1.0689,           -0.3630,           -0.3450,           36.2119,
Ref 21,3.10358e-08,,,,,,1.1971e-02,4.2057e-03,4.8960e-05,4.6503e-06,5.5219e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.08199e-08,,,,,,1.1971e-02,4.2056e-03,4.8950e-05,4.6532e-06,5.6952e-08,
Sam 1,3.03107e-08,1.19358e-02,4.2260e-03,4.9016e-05,4.6888e-06,5.7100e-08,,,,,,           -2.9660,            4.8607,            1.3514,            8.0160,          -27.3461,           -6.2147,           -1.0563,           -0.3608,           -1.7124,          -33.5328,
Ref 2,3.03978e-08,,,,,,1.1971e-02,4.2056e-03,4.8949e-05,4.6499e-06,6.0484e-08,,,,,,,,,,,
Sam 2,2.98860e-08,1.19358e-02,4.2260e-03,4.9018e-05,4.6933e-06,5.6194e-08,,,,,,           -2.9664,            4.8512,            1.3669,            9.4386,          -26.8412,           -6.2148,           -1.0657,           -0.3355,           -0.2847,          -33.0126,
Ref 3,2.99809e-08,,,,,,1.1971e-02,4.2056e-03,4.8954e-05,4.6489e-06,5.4967e-08,,,,,,,,,,,
Sam 3,2.94697e-08,1.19358e-02,4.2259e-03,4.9027e-05,4.6950e-06,6.0392e-08,,,,,,           -2.9590,            4.8383,            1.4545,           10.0478,           55.5507,           -6.2065,           -1.0786,           -0.2431,            0.3445,           48.8750,
Ref 4,2.95762e-08,,,,,,1.1971e-02,4.2055e-03,4.8959e-05,4.6478e-06,5.9492e-08,,,,,,,,,,,
Sam 4,2.90664e-08,1.19357e-02,4.2260e-03,4.9029e-05,4.6945e-06,6.1267e-08,,,,,,           -2.9596,            4.8590,            1.4660,            9.6373,           10.0279,           -6.2079,           -1.0580,           -0.2513,           -0.1034,            3.6000,
Ref 5,2.91779e-08,,,,,,1.1971e-02,4.2056e-03,4.8955e-05,4.6517e-06,6.1842e-08,,,,,,,,,,,
Sam 5,2.86660e-08,1.19356e-02,4.2260e-03,4.9027e-05,4.6936e-06,5.6945e-08,,,,,,           -2.9638,            4.8699,            1.4651,            9.2704,          -43.6097,           -6.2128,           -1.0472,           -0.2584,           -0.4883,          -49.7121,
Ref 6,2.87953e-08,,,,,,1.1971e-02,4.2055e-03,4.8956e-05,4.6492e-06,5.7211e-08,,,,,,,,,,,
Sam 6,2.82783e-08,1.19356e-02,4.2260e-03,4.9028e-05,4.6920e-06,5.6898e-08,,,,,,           -2.9621,            4.8832,            1.4918,            9.4969,          -22.4322,           -6.2113,           -1.0339,           -0.2467,           -0.2907,          -28.6970,
Ref 7,2.84006e-08,,,,,,1.1971e-02,4.2055e-03,4.8953e-05,4.6466e-06,5.9209e-08,,,,,,,,,,,
Sam 7,2.78885e-08,1.19355e-02,4.2259e-03,4.9022e-05,4.6923e-06,5.9616e-08,,,,,,           -2.9672,            4.8391,            1.3974,            9.8416,           20.8183,           -6.2153,           -1.0778,           -0.2924,            0.1386,           14.3695,
Ref 8,2.80235e-08,,,,,,1.1971e-02,4.2056e-03,4.8955e-05,4.6466e-06,5.7581e-08,,,,,,,,,,,
Sam 8,2.75121e-08,1.19357e-02,4.2259e-03,4.9019e-05,4.6944e-06,5.8164e-08,,,,,,           -2.9473,            4.8480,            1.3144,            9.8204,          -31.6786,           -6.1944,           -1.0690,           -0.4045,            0.1000,          -37.8328,
Ref 9,2.76421e-08,,,,,,1.1971e-02,4.2054e-03,4.8955e-05,4.6508e-06,6.2587e-08,,,,,,,,,,,
Sam 9,2.71411e-08,1.19354e-02,4.2259e-03,4.9024e-05,4.6928e-06,5.7417e-08,,,,,,           -2.9659,            4.8657,            1.3036,            8.9209,          -43.4527,           -6.2148,           -1.0513,           -0.4135,           -0.8262,          -49.5464,
Ref 10,2.72811e-08,,,,,,1.1971e-02,4.2054e-03,4.8965e-05,4.6518e-06,5.7431e-08,,,,,,,,,,,
Sam 10,2.67729e-08,1.19353e-02,4.2258e-03,4.9017e-05,4.6931e-06,6.1413e-08,,,,,,           -2.9709,            4.8417,            1.2138,            8.5551,           48.7606,           -6.2193,           -1.0752,           -0.4744,           -1.1407,           42.1342,
Ref 11,2.69184e-08,,,,,,1.1971e-02,4.2054e-03,4.8951e-05,4.6547e-06,5.9699e-08,,,,,,,,,,,
Sam 11,2.64163e-08,1.19354e-02,4.2258e-03,4.9027e-05,4.6941e-06,5.8492e-08,,,,,,           -2.9526,            4.8554,            1.4415,            9.1694,          -32.1058,           -6.2004,           -1.0616,           -0.2793,           -0.5595,          -38.2659,
Ref 12,2.65674e-08,,,,,,1.1971e-02,4.2054e-03,4.8962e-05,4.6481e-06,6.1174e-08,,,,,,,,,,,
Sam 12,2.60611e-08,1.19353e-02,4.2258e-03,4.9025e-05,4.6955e-06,6.1526e-08,,,,,,           -2.9637,            4.8589,            1.3834,            9.9319,           44.6378,           -6.2123,           -1.0581,           -0.3293,            0.1887,           37.9945,
Ref 13,2.62205e-08,,,,,,1.1971e-02,4.2053e-03,4.8952e-05,4.6506e-06,5.6589e-08,,,,,,,,,,,
Sam 13,2.57145e-08,1.19354e-02,4.2257e-03,4.9024e-05,4.6963e-06,5.4038e-08,,,,,,           -2.9626,            4.8413,            1.4000,            9.8111,            4.3363,           -6.2104,           -1.0755,           -0.2968,            0.1039,           -2.0177,
Ref 14,2.58766e-08,,,,,,1.1971e-02,4.2054e-03,4.8959e-05,4.6508e-06,5.0984e-08,,,,,,,,,,,
Sam 14,2.53715e-08,1.19353e-02,4.2257e-03,4.9025e-05,4.6946e-06,5.9653e-08,,,,,,           -2.9601,            4.8419,            1.3703,            9.8617,          103.1003,           -6.2078,           -1.0750,           -0.3296,            0.1529,           96.1173,
Ref 15,2.55381e-08,,,,,,1.1971e-02,4.2053e-03,4.8956e-05,4.6466e-06,5.7212e-08,,,,,,,,,,,
Sam 15,2.50373e-08,1.19352e-02,4.2257e-03,4.9030e-05,4.6966e-06,5.7149e-08,,,,,,           -2.9576,            4.8579,            1.5107,           10.4973,           33.8693,           -6.2058,           -1.0591,           -0.2076,            0.7506,           27.2898,
Ref 16,2.52105e-08,,,,,,1.1971e-02,4.2053e-03,4.8955e-05,4.6490e-06,5.3317e-08,,,,,,,,,,,
Sam 16,2.47025e-08,1.19352e-02,4.2257e-03,4.9026e-05,4.6956e-06,5.3147e-08,,,,,,           -2.9497,            4.8776,            1.4174,            9.6018,          -53.7037,           -6.1980,           -1.0395,           -0.3281,           -0.1754,          -59.7700,
Ref 17,2.49288e-08,,,,,,1.1970e-02,4.2052e-03,4.8958e-05,4.6529e-06,5.9041e-08,,,,,,,,,,,
Sam 17,2.43917e-08,1.19350e-02,4.2256e-03,4.9029e-05,4.6974e-06,6.2145e-08,,,,,,           -2.9573,            4.8379,            1.4464,            9.8932,           18.2433,           -6.2047,           -1.0790,           -0.2525,            0.1922,           11.8026,
Ref 18,2.45597e-08,,,,,,1.1970e-02,4.2052e-03,4.8959e-05,4.6499e-06,6.3052e-08,,,,,,,,,,,
Sam 18,2.40582e-08,1.19351e-02,4.2257e-03,4.9025e-05,4.6949e-06,6.3452e-08,,,,,,           -2.9669,            4.8596,            1.3071,            9.3440,           40.5471,           -6.2156,           -1.0574,           -0.4030,           -0.3950,           33.9318,
Ref 19,2.42468e-08,,,,,,1.1971e-02,4.2053e-03,4.8963e-05,4.6531e-06,5.8880e-08,,,,,,,,,,,
Sam 19,2.37441e-08,1.19350e-02,4.2257e-03,4.9027e-05,4.6986e-06,6.0541e-08,,,,,,           -2.9696,            4.8754,            1.2395,           10.1476,          -24.5512,           -6.2191,           -1.0417,           -0.4830,            0.3695,          -30.7797,
Ref 20,2.39366e-08,,,,,,1.1970e-02,4.2052e-03,4.8969e-05,4.6497e-06,6.5291e-08,,,,,,,,,,,
Sam 20,2.34377e-08,1.19351e-02,4.2257e-03,4.9034e-05,4.6978e-06,6.4399e-08,,,,,,           -2.9529,            4.8703,            1.2930,           10.1708,           -8.1010,           -6.2011,           -1.0468,           -0.4419,            0.4026,          -14.4423,
Ref 21,2.36469e-08,,,,,,1.1970e-02,4.2052e-03,4.8972e-05,4.6514e-06,6.4556e-08,,,,,,,,,,,


