Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 28, 2022 at 07:57 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 08:56 with Stable 1.71.5 on PS019

Data File = Data_17428 WBT-6-B.txt,       Sample Weight = 588,                      Vial Location = 11,                       Initial Sam Beam = 1.7900e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1877e-08,                Max Ref Beam = 1.0663e-07,                

Analysis undertaken at mass 46.02392
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.00172e-08,,,,,,1.1971e-02,4.2045e-03,4.8901e-05,4.6397e-06,5.3031e-08,
Sam 1,6.94074e-08,1.19361e-02,4.2239e-03,4.8968e-05,4.6835e-06,5.3079e-08,,,,,,           -2.9689,            4.5754,            1.2244,            9.2440,           18.0276,           -6.2080,           -1.3402,           -0.2051,            0.0716,           12.1208,
Ref 2,6.87588e-08,,,,,,1.1972e-02,4.2049e-03,4.8915e-05,4.6415e-06,5.1232e-08,,,,,,,,,,,
Sam 2,6.81680e-08,1.19365e-02,4.2242e-03,4.8969e-05,4.6838e-06,5.3407e-08,,,,,,           -2.9758,            4.5597,            1.0964,            8.9705,           43.5222,           -6.2147,           -1.3558,           -0.3105,           -0.1682,           37.5069,
Ref 3,6.75504e-08,,,,,,1.1972e-02,4.2052e-03,4.8916e-05,4.6428e-06,5.1127e-08,,,,,,,,,,,
Sam 3,6.69706e-08,1.19368e-02,4.2244e-03,4.8972e-05,4.6842e-06,5.3940e-08,,,,,,           -2.9682,            4.5534,            1.1351,            8.9300,           41.6600,           -6.2064,           -1.3621,           -0.2736,           -0.1959,           35.6597,
Ref 4,6.63734e-08,,,,,,1.1972e-02,4.2053e-03,4.8918e-05,4.6428e-06,5.2451e-08,,,,,,,,,,,
Sam 4,6.57951e-08,1.19372e-02,4.2246e-03,4.8981e-05,4.6836e-06,5.5589e-08,,,,,,           -2.9640,            4.5649,            1.1733,            8.5703,           44.0174,           -6.2024,           -1.3507,           -0.2509,           -0.5751,           37.9757,
Ref 5,6.52361e-08,,,,,,1.1973e-02,4.2055e-03,4.8929e-05,4.6449e-06,5.4053e-08,,,,,,,,,,,
Sam 5,6.46496e-08,1.19374e-02,4.2248e-03,4.8981e-05,4.6856e-06,5.3985e-08,,,,,,           -2.9661,            4.5676,            0.9798,            9.0353,           -7.2242,           -6.2047,           -1.3480,           -0.4446,           -0.1196,          -12.9723,
Ref 6,6.41123e-08,,,,,,1.1973e-02,4.2057e-03,4.8936e-05,4.6423e-06,5.4708e-08,,,,,,,,,,,
Sam 6,6.35244e-08,1.19374e-02,4.2250e-03,4.8984e-05,4.6847e-06,5.3742e-08,,,,,,           -2.9795,            4.5666,            1.0022,            8.8530,          -11.1375,           -6.2190,           -1.3490,           -0.4073,           -0.2983,          -16.8470,
Ref 7,6.30154e-08,,,,,,1.1973e-02,4.2058e-03,4.8933e-05,4.6449e-06,5.3980e-08,,,,,,,,,,,
Sam 7,6.24269e-08,1.19377e-02,4.2251e-03,4.8993e-05,4.6850e-06,5.4079e-08,,,,,,           -2.9741,            4.5568,            1.1263,            8.5625,           22.0859,           -6.2129,           -1.3587,           -0.2794,           -0.5666,           16.1983,
Ref 8,6.19497e-08,,,,,,1.1974e-02,4.2060e-03,4.8942e-05,4.6456e-06,5.1823e-08,,,,,,,,,,,
Sam 8,6.13669e-08,1.19378e-02,4.2252e-03,4.8994e-05,4.6869e-06,5.2082e-08,,,,,,           -2.9804,            4.5538,            1.0489,            8.9788,            1.3876,           -6.2195,           -1.3616,           -0.3473,           -0.1483,           -4.3685,
Ref 9,6.09028e-08,,,,,,1.1974e-02,4.2061e-03,4.8943e-05,4.6448e-06,5.2200e-08,,,,,,,,,,,
Sam 9,6.03233e-08,1.19380e-02,4.2254e-03,4.8992e-05,4.6870e-06,5.3366e-08,,,,,,           -2.9719,            4.5722,            0.9940,            8.8978,            9.5101,           -6.2111,           -1.3433,           -0.4290,           -0.2651,            3.6622,
Ref 10,5.98899e-08,,,,,,1.1974e-02,4.2062e-03,4.8945e-05,4.6466e-06,5.3537e-08,,,,,,,,,,,
Sam 10,5.93117e-08,1.19382e-02,4.2255e-03,4.9003e-05,4.6853e-06,5.3715e-08,,,,,,           -2.9708,            4.5807,            1.2184,            8.2775,            3.9946,           -6.2102,           -1.3349,           -0.2144,           -0.8967,           -1.8392,
Ref 11,5.88864e-08,,,,,,1.1974e-02,4.2063e-03,4.8943e-05,4.6471e-06,5.3465e-08,,,,,,,,,,,
Sam 11,5.83155e-08,1.19382e-02,4.2255e-03,4.8999e-05,4.6874e-06,5.1481e-08,,,,,,           -2.9710,            4.5711,            1.1342,            8.9276,          -24.6188,           -6.2101,           -1.3444,           -0.2888,           -0.2335,          -30.2680,
Ref 12,5.78987e-08,,,,,,1.1974e-02,4.2063e-03,4.8944e-05,4.6448e-06,5.2083e-08,,,,,,,,,,,
Sam 12,5.73306e-08,1.19382e-02,4.2256e-03,4.8997e-05,4.6882e-06,5.1673e-08,,,,,,           -2.9795,            4.5577,            1.0793,            9.2663,            3.9498,           -6.2186,           -1.3578,           -0.3218,            0.1289,           -1.8295,
Ref 13,5.69444e-08,,,,,,1.1974e-02,4.2064e-03,4.8945e-05,4.6456e-06,5.0845e-08,,,,,,,,,,,
Sam 13,5.63832e-08,1.19382e-02,4.2256e-03,4.8999e-05,4.6881e-06,5.2214e-08,,,,,,           -2.9759,            4.5672,            1.1235,            9.3350,           13.2143,           -6.2151,           -1.3484,           -0.2906,            0.1781,            7.3591,
Ref 14,5.60003e-08,,,,,,1.1974e-02,4.2064e-03,4.8943e-05,4.6439e-06,5.2233e-08,,,,,,,,,,,
Sam 14,5.54548e-08,1.19383e-02,4.2257e-03,4.9002e-05,4.6876e-06,4.9854e-08,,,,,,           -2.9684,            4.5731,            1.1737,            9.2167,          -23.1869,           -6.2074,           -1.3425,           -0.2540,            0.0491,          -28.8507,
Ref 15,5.50985e-08,,,,,,1.1974e-02,4.2065e-03,4.8946e-05,4.6456e-06,4.9823e-08,,,,,,,,,,,
Sam 15,5.45429e-08,1.19382e-02,4.2257e-03,4.9002e-05,4.6898e-06,5.0265e-08,,,,,,           -2.9821,            4.5577,            1.0369,            9.3383,           24.3974,           -6.2214,           -1.3578,           -0.3614,            0.2003,           18.5032,
Ref 16,5.41924e-08,,,,,,1.1974e-02,4.2066e-03,4.8956e-05,4.6471e-06,4.8300e-08,,,,,,,,,,,
Sam 16,5.36459e-08,1.19383e-02,4.2258e-03,4.9004e-05,4.6881e-06,5.0489e-08,,,,,,           -2.9784,            4.5723,            1.0248,            9.1416,           17.7537,           -6.2180,           -1.3433,           -0.3916,           -0.0236,           11.8649,
Ref 17,5.33172e-08,,,,,,1.1974e-02,4.2065e-03,4.8953e-05,4.6442e-06,5.0937e-08,,,,,,,,,,,
Sam 17,5.27704e-08,1.19383e-02,4.2258e-03,4.9005e-05,4.6870e-06,4.9235e-08,,,,,,           -2.9725,            4.5737,            1.0639,            9.2091,          -24.7493,           -6.2118,           -1.3418,           -0.3600,            0.0403,          -30.4010,
Ref 18,5.24557e-08,,,,,,1.1974e-02,4.2066e-03,4.8952e-05,4.6442e-06,5.0025e-08,,,,,,,,,,,
Sam 18,5.19181e-08,1.19383e-02,4.2258e-03,4.9006e-05,4.6885e-06,4.9431e-08,,,,,,           -2.9721,            4.5670,            1.1014,            9.4690,           15.3969,           -6.2110,           -1.3485,           -0.3164,            0.3113,            9.5253,
Ref 19,5.16166e-08,,,,,,1.1974e-02,4.2066e-03,4.8951e-05,4.6448e-06,4.7315e-08,,,,,,,,,,,
Sam 19,5.10777e-08,1.19382e-02,4.2258e-03,4.9006e-05,4.6865e-06,4.8479e-08,,,,,,           -2.9789,            4.5690,            1.1721,            8.5618,            1.1556,           -6.2184,           -1.3465,           -0.2407,           -0.5917,           -4.6303,
Ref 20,5.07862e-08,,,,,,1.1974e-02,4.2066e-03,4.8946e-05,4.6486e-06,4.9550e-08,,,,,,,,,,,
Sam 20,5.02517e-08,1.19382e-02,4.2258e-03,4.9008e-05,4.6887e-06,5.0511e-08,,,,,,           -2.9801,            4.5536,            1.2241,            8.8306,            9.4766,           -6.2191,           -1.3618,           -0.1725,           -0.2948,            3.6741,
Ref 21,4.99764e-08,,,,,,1.1974e-02,4.2066e-03,4.8950e-05,4.6468e-06,5.0532e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.95806e-08,,,,,,1.1974e-02,4.2067e-03,4.8958e-05,4.6482e-06,4.9493e-08,
Sam 1,4.90454e-08,1.19383e-02,4.2258e-03,4.9012e-05,4.6899e-06,4.8859e-08,,,,,,           -2.9749,            4.5579,            1.1519,            8.7707,            6.2760,           -6.2138,           -1.3576,           -0.2541,           -0.3625,            0.4781,
Ref 2,4.87760e-08,,,,,,1.1974e-02,4.2066e-03,4.8953e-05,4.6501e-06,4.7600e-08,,,,,,,,,,,
Sam 2,4.82498e-08,1.19382e-02,4.2258e-03,4.9005e-05,4.6888e-06,4.8360e-08,,,,,,           -2.9757,            4.5629,            1.0202,            8.8146,           -0.3852,           -6.2148,           -1.3526,           -0.3898,           -0.3291,           -6.1538,
Ref 3,4.80189e-08,,,,,,1.1974e-02,4.2067e-03,4.8958e-05,4.6455e-06,4.9169e-08,,,,,,,,,,,
Sam 3,4.74814e-08,1.19381e-02,4.2258e-03,4.9014e-05,4.6856e-06,4.9598e-08,,,,,,           -2.9807,            4.5515,            1.1255,            8.3612,           24.2071,           -6.2197,           -1.3639,           -0.2683,           -0.7556,           18.3247,
Ref 4,4.72671e-08,,,,,,1.1974e-02,4.2066e-03,4.8959e-05,4.6480e-06,4.7670e-08,,,,,,,,,,,
Sam 4,4.67246e-08,1.19380e-02,4.2258e-03,4.9012e-05,4.6874e-06,4.8955e-08,,,,,,           -2.9797,            4.5588,            1.1055,            8.5514,            3.9337,           -6.2188,           -1.3567,           -0.2965,           -0.5817,           -1.8475,
Ref 5,4.65238e-08,,,,,,1.1974e-02,4.2066e-03,4.8957e-05,4.6473e-06,4.9873e-08,,,,,,,,,,,
Sam 5,4.59846e-08,1.19382e-02,4.2259e-03,4.9010e-05,4.6866e-06,4.7604e-08,,,,,,           -2.9642,            4.5718,            1.1266,            8.6268,          -36.9120,           -6.2028,           -1.3438,           -0.3041,           -0.5329,          -42.4982,
Ref 6,4.57986e-08,,,,,,1.1974e-02,4.2067e-03,4.8953e-05,4.6457e-06,4.8976e-08,,,,,,,,,,,
Sam 6,4.52594e-08,1.19380e-02,4.2258e-03,4.9015e-05,4.6884e-06,4.8849e-08,,,,,,           -2.9842,            4.5479,            1.2652,            9.1144,          -11.1998,           -6.2233,           -1.3675,           -0.1217,           -0.0021,          -16.8681,
Ref 7,4.50891e-08,,,,,,1.1974e-02,4.2067e-03,4.8953e-05,4.6464e-06,4.9834e-08,,,,,,,,,,,
Sam 7,4.45574e-08,1.19381e-02,4.2259e-03,4.9013e-05,4.6894e-06,4.9153e-08,,,,,,           -2.9716,            4.5730,            1.1910,            9.4417,          -15.3426,           -6.2108,           -1.3426,           -0.2333,            0.2723,          -21.0484,
Ref 8,4.43959e-08,,,,,,1.1974e-02,4.2066e-03,4.8957e-05,4.6446e-06,5.0004e-08,,,,,,,,,,,
Sam 8,4.38551e-08,1.19380e-02,4.2258e-03,4.9012e-05,4.6885e-06,4.8280e-08,,,,,,           -2.9730,            4.5612,            1.1435,            9.0993,           -2.6652,           -6.2119,           -1.3543,           -0.2678,           -0.0436,           -8.4201,
Ref 9,4.37121e-08,,,,,,1.1974e-02,4.2066e-03,4.8955e-05,4.6479e-06,4.6790e-08,,,,,,,,,,,
Sam 9,4.31722e-08,1.19378e-02,4.2258e-03,4.9010e-05,4.6879e-06,4.6754e-08,,,,,,           -2.9882,            4.5787,            1.0548,            8.6932,            4.1521,           -6.2286,           -1.3368,           -0.3579,           -0.4808,           -1.6603,
Ref 10,4.30522e-08,,,,,,1.1974e-02,4.2066e-03,4.8962e-05,4.6471e-06,4.6327e-08,,,,,,,,,,,
Sam 10,4.25085e-08,1.19379e-02,4.2257e-03,4.9009e-05,4.6912e-06,4.9566e-08,,,,,,           -2.9788,            4.5542,            0.9700,            9.5020,           24.6570,           -6.2178,           -1.3613,           -0.4282,            0.3695,           18.7647,
Ref 11,4.23903e-08,,,,,,1.1973e-02,4.2066e-03,4.8961e-05,4.6470e-06,5.0451e-08,,,,,,,,,,,
Sam 11,4.18591e-08,1.19378e-02,4.2257e-03,4.9004e-05,4.6937e-06,4.8908e-08,,,,,,           -2.9786,            4.5637,            0.9264,           10.2044,           -9.7872,           -6.2179,           -1.3518,           -0.4813,            1.0466,          -15.4999,
Ref 12,4.17393e-08,,,,,,1.1973e-02,4.2065e-03,4.8956e-05,4.6456e-06,4.8316e-08,,,,,,,,,,,
Sam 12,4.12020e-08,1.19377e-02,4.2257e-03,4.9017e-05,4.6905e-06,5.0022e-08,,,,,,           -2.9797,            4.5668,            1.1377,            9.5865,           51.4889,           -6.2192,           -1.3487,           -0.2721,            0.4280,           45.4175,
Ref 13,4.11075e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6463e-06,4.6818e-08,,,,,,,,,,,
Sam 13,4.05778e-08,1.19376e-02,4.2257e-03,4.9013e-05,4.6873e-06,4.6685e-08,,,,,,           -2.9755,            4.5684,            1.0008,            8.8424,           11.2743,           -6.2148,           -1.3471,           -0.4147,           -0.3124,            5.4275,
Ref 14,4.04905e-08,,,,,,1.1973e-02,4.2064e-03,4.8962e-05,4.6460e-06,4.5500e-08,,,,,,,,,,,
Sam 14,3.99620e-08,1.19376e-02,4.2256e-03,4.9008e-05,4.6904e-06,5.1091e-08,,,,,,           -2.9624,            4.5729,            0.9842,            9.2380,          102.4684,           -6.2010,           -1.3427,           -0.4493,            0.0706,           96.0694,
Ref 15,3.98869e-08,,,,,,1.1973e-02,4.2064e-03,4.8957e-05,4.6489e-06,4.7197e-08,,,,,,,,,,,
Sam 15,3.93557e-08,1.19375e-02,4.2255e-03,4.9017e-05,4.6885e-06,4.7235e-08,,,,,,           -2.9626,            4.5423,            1.2474,            8.7542,           22.1524,           -6.2001,           -1.3732,           -0.1563,           -0.3478,           16.2807,
Ref 16,3.92951e-08,,,,,,1.1973e-02,4.2064e-03,4.8955e-05,4.6467e-06,4.5210e-08,,,,,,,,,,,
Sam 16,3.87627e-08,1.19372e-02,4.2255e-03,4.9006e-05,4.6887e-06,4.5010e-08,,,,,,           -2.9740,            4.5573,            0.9707,            9.1171,          -12.5696,           -6.2128,           -1.3582,           -0.4355,           -0.0182,          -18.2588,
Ref 17,3.87268e-08,,,,,,1.1973e-02,4.2063e-03,4.8962e-05,4.6460e-06,4.5961e-08,,,,,,,,,,,
Sam 17,3.81874e-08,1.19372e-02,4.2254e-03,4.9012e-05,4.6913e-06,4.6446e-08,,,,,,           -2.9737,            4.5588,            1.0143,            9.8547,            1.6708,           -6.2125,           -1.3567,           -0.3938,            0.7097,           -4.1037,
Ref 18,3.81536e-08,,,,,,1.1973e-02,4.2062e-03,4.8963e-05,4.6450e-06,4.6783e-08,,,,,,,,,,,
Sam 18,3.76161e-08,1.19371e-02,4.2254e-03,4.9015e-05,4.6875e-06,4.8326e-08,,,,,,           -2.9794,            4.5583,            1.1188,            8.6075,           -8.0349,           -6.2186,           -1.3572,           -0.2830,           -0.5252,          -13.7465,
Ref 19,3.76082e-08,,,,,,1.1973e-02,4.2063e-03,4.8958e-05,4.6500e-06,5.0680e-08,,,,,,,,,,,
Sam 19,3.70573e-08,1.19369e-02,4.2254e-03,4.9008e-05,4.6863e-06,4.6338e-08,,,,,,           -2.9810,            4.5469,            0.9450,            8.1201,          -58.5372,           -6.2199,           -1.3685,           -0.4437,           -0.9854,          -63.9355,
Ref 20,3.70470e-08,,,,,,1.1973e-02,4.2062e-03,4.8966e-05,4.6471e-06,4.7736e-08,,,,,,,,,,,
Sam 20,3.65114e-08,1.19368e-02,4.2254e-03,4.9010e-05,4.6883e-06,4.8706e-08,,,,,,           -2.9786,            4.5620,            0.9232,            8.8572,           17.3792,           -6.2178,           -1.3535,           -0.4827,           -0.2850,           11.5131,
Ref 21,3.65053e-08,,,,,,1.1972e-02,4.2061e-03,4.8963e-05,4.6472e-06,4.8013e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.62388e-08,,,,,,1.1973e-02,4.2062e-03,4.8953e-05,4.6468e-06,5.0005e-08,
Sam 1,3.56953e-08,1.19369e-02,4.2254e-03,4.9007e-05,4.6885e-06,4.9619e-08,,,,,,           -2.9784,            4.5634,            1.1060,            8.5310,           14.2876,           -6.2176,           -1.3522,           -0.3017,           -0.6110,            8.4364,
Ref 2,3.57185e-08,,,,,,1.1972e-02,4.2062e-03,4.8954e-05,4.6508e-06,4.7819e-08,,,,,,,,,,,
Sam 2,3.51697e-08,1.19369e-02,4.2252e-03,4.9007e-05,4.6868e-06,4.6944e-08,,,,,,           -2.9617,            4.5419,            1.0141,            8.2979,          -28.6092,           -6.1992,           -1.3736,           -0.3897,           -0.7992,          -34.1894,
Ref 3,3.51985e-08,,,,,,1.1972e-02,4.2061e-03,4.8961e-05,4.6457e-06,4.8841e-08,,,,,,,,,,,
Sam 3,3.46565e-08,1.19367e-02,4.2252e-03,4.9009e-05,4.6914e-06,4.9383e-08,,,,,,           -2.9723,            4.5441,            0.9737,            9.6051,          -23.0775,           -6.2104,           -1.3714,           -0.4213,            0.4918,          -28.6828,
Ref 4,3.46976e-08,,,,,,1.1972e-02,4.2060e-03,4.8961e-05,4.6478e-06,5.2282e-08,,,,,,,,,,,
Sam 4,3.41516e-08,1.19366e-02,4.2252e-03,4.9008e-05,4.6921e-06,4.8071e-08,,,,,,           -2.9771,            4.5689,            1.0011,            9.7085,          -86.9956,           -6.2164,           -1.3466,           -0.4133,            0.5448,          -92.2737,
Ref 5,3.42082e-08,,,,,,1.1972e-02,4.2060e-03,4.8958e-05,4.6462e-06,5.3025e-08,,,,,,,,,,,
Sam 5,3.36488e-08,1.19365e-02,4.2251e-03,4.9014e-05,4.6892e-06,5.5772e-08,,,,,,           -2.9837,            4.5544,            1.1808,            9.2367,           37.8442,           -6.2229,           -1.3611,           -0.2128,            0.1062,           31.8811,
Ref 6,3.37163e-08,,,,,,1.1972e-02,4.2060e-03,4.8954e-05,4.6464e-06,5.4462e-08,,,,,,,,,,,
Sam 6,3.31751e-08,1.19363e-02,4.2251e-03,4.9009e-05,4.6850e-06,5.5749e-08,,,,,,           -2.9818,            4.5623,            1.1437,            7.8971,           -3.0755,           -6.2213,           -1.3532,           -0.2595,           -1.2369,           -8.8207,
Ref 7,3.32516e-08,,,,,,1.1972e-02,4.2060e-03,4.8953e-05,4.6501e-06,5.7401e-08,,,,,,,,,,,
Sam 7,3.27027e-08,1.19364e-02,4.2251e-03,4.9011e-05,4.6907e-06,5.4564e-08,,,,,,           -2.9690,            4.5554,            1.1158,            9.0364,          -56.6958,           -6.2073,           -1.3601,           -0.2940,           -0.0944,          -62.1324,
Ref 8,3.28011e-08,,,,,,1.1972e-02,4.2059e-03,4.8960e-05,4.6472e-06,5.8293e-08,,,,,,,,,,,
Sam 8,3.22406e-08,1.19364e-02,4.2251e-03,4.9015e-05,4.6937e-06,5.6378e-08,,,,,,           -2.9717,            4.5686,            1.0569,            9.4553,           -9.1847,           -6.2107,           -1.3470,           -0.3628,            0.2945,          -14.9177,
Ref 9,3.23167e-08,,,,,,1.1972e-02,4.2059e-03,4.8966e-05,4.6523e-06,5.5487e-08,,,,,,,,,,,
Sam 9,3.17766e-08,1.19362e-02,4.2251e-03,4.9006e-05,4.6895e-06,5.5012e-08,,,,,,           -2.9794,            4.5699,            0.9227,            8.5122,           11.1040,           -6.2189,           -1.3456,           -0.4902,           -0.6428,            5.2593,
Ref 10,3.18666e-08,,,,,,1.1972e-02,4.2058e-03,4.8956e-05,4.6476e-06,5.3314e-08,,,,,,,,,,,
Sam 10,3.13217e-08,1.19362e-02,4.2250e-03,4.9017e-05,4.6904e-06,5.5080e-08,,,,,,           -2.9689,            4.5642,            1.2317,            9.0203,           42.3306,           -6.2076,           -1.3513,           -0.1869,           -0.1279,           36.3054,
Ref 11,3.14221e-08,,,,,,1.1972e-02,4.2058e-03,4.8959e-05,4.6494e-06,5.2366e-08,,,,,,,,,,,
Sam 11,3.08809e-08,1.19361e-02,4.2250e-03,4.9011e-05,4.6941e-06,5.3614e-08,,,,,,           -2.9785,            4.5589,            1.0828,            9.4562,           20.3886,           -6.2176,           -1.3566,           -0.3204,            0.3147,           14.5112,
Ref 12,3.09866e-08,,,,,,1.1972e-02,4.2058e-03,4.8957e-05,4.6508e-06,5.2721e-08,,,,,,,,,,,
Sam 12,3.04486e-08,1.19362e-02,4.2251e-03,4.9009e-05,4.6912e-06,5.2836e-08,,,,,,           -2.9638,            4.5771,            1.0222,            8.9960,           -8.7653,           -6.2026,           -1.3385,           -0.4140,           -0.1775,          -14.5254,
Ref 13,3.05744e-08,,,,,,1.1972e-02,4.2058e-03,4.8961e-05,4.6479e-06,5.3894e-08,,,,,,,,,,,
Sam 13,3.00263e-08,1.19360e-02,4.2250e-03,4.9008e-05,4.6911e-06,5.8302e-08,,,,,,           -2.9803,            4.5581,            1.0707,            9.3341,           34.2515,           -6.2195,           -1.3573,           -0.3299,            0.1952,           28.2978,
Ref 14,3.01424e-08,,,,,,1.1972e-02,4.2058e-03,4.8950e-05,4.6475e-06,5.8884e-08,,,,,,,,,,,
Sam 14,2.96046e-08,1.19362e-02,4.2249e-03,4.9014e-05,4.6903e-06,5.9894e-08,,,,,,           -2.9634,            4.5589,            1.1824,            8.7940,            8.6751,           -6.2016,           -1.3566,           -0.2366,           -0.3415,            2.8490,
Ref 15,2.97399e-08,,,,,,1.1972e-02,4.2058e-03,4.8961e-05,4.6513e-06,5.9880e-08,,,,,,,,,,,
Sam 15,2.91977e-08,1.19357e-02,4.2248e-03,4.9011e-05,4.6916e-06,6.1959e-08,,,,,,           -2.9925,            4.5371,            1.0847,            9.2862,           52.7605,           -6.2317,           -1.3782,           -0.2828,            0.1896,           46.7569,
Ref 16,2.93301e-08,,,,,,1.1971e-02,4.2057e-03,4.8955e-05,4.6456e-06,5.7814e-08,,,,,,,,,,,
Sam 16,2.87943e-08,1.19359e-02,4.2248e-03,4.9014e-05,4.6908e-06,6.1387e-08,,,,,,           -2.9780,            4.5467,            1.1929,            9.5389,           44.2008,           -6.2166,           -1.3687,           -0.1992,            0.4209,           38.2104,
Ref 17,2.89362e-08,,,,,,1.1972e-02,4.2057e-03,4.8957e-05,4.6475e-06,5.9775e-08,,,,,,,,,,,
Sam 17,2.83919e-08,1.19359e-02,4.2248e-03,4.9008e-05,4.6895e-06,6.2257e-08,,,,,,           -2.9811,            4.5460,            1.0107,            8.8211,            2.4741,           -6.2200,           -1.3695,           -0.3770,           -0.2889,           -3.2721,
Ref 18,2.85292e-08,,,,,,1.1971e-02,4.2056e-03,4.8960e-05,4.6495e-06,6.4464e-08,,,,,,,,,,,
Sam 18,2.80117e-08,1.19360e-02,4.2248e-03,4.9014e-05,4.6934e-06,5.9335e-08,,,,,,           -2.9703,            4.5656,            1.1093,            9.1439,          -29.2353,           -6.2091,           -1.3500,           -0.3090,           -0.0080,          -34.8479,
Ref 19,2.81675e-08,,,,,,1.1972e-02,4.2057e-03,4.8961e-05,4.6522e-06,5.7737e-08,,,,,,,,,,,
Sam 19,2.76318e-08,1.19358e-02,4.2248e-03,4.9003e-05,4.6898e-06,5.3486e-08,,,,,,           -2.9852,            4.5424,            0.9264,            8.4361,          -33.0197,           -6.2241,           -1.3730,           -0.4536,           -0.6633,          -38.5516,
Ref 20,2.78089e-08,,,,,,1.1972e-02,4.2056e-03,4.8955e-05,4.6490e-06,5.2855e-08,,,,,,,,,,,
Sam 20,2.72582e-08,1.19359e-02,4.2248e-03,4.9010e-05,4.6907e-06,5.6128e-08,,,,,,           -2.9826,            4.5557,            1.0175,            8.7973,            9.1884,           -6.2219,           -1.3597,           -0.3783,           -0.3319,            3.3862,
Ref 21,2.74237e-08,,,,,,1.1972e-02,4.2056e-03,4.8965e-05,4.6505e-06,5.8417e-08,,,,,,,,,,,


