Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 28, 2022 at 09:20 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 10:19 with Stable 1.71.5 on PS019

Data File = Data_17429 KDW-131_8H-A.txt,  Sample Weight = 507,                      Vial Location = 12,                       Initial Sam Beam = 1.4150e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1020e-08,                Max Ref Beam = 1.0620e-07,                

Analysis undertaken at mass 46.02392
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.41792e-08,,,,,,1.1973e-02,4.2063e-03,4.8945e-05,4.6457e-06,5.4724e-08,
Sam 1,5.36168e-08,1.20047e-02,4.2463e-03,4.9520e-05,4.7348e-06,5.4088e-08,,,,,,            2.5931,            9.4723,           11.6594,           19.1103,           11.5849,           -0.4577,            3.5208,           -0.3555,            0.0746,           -9.7340,
Ref 2,5.32496e-08,,,,,,1.1974e-02,4.2065e-03,4.8954e-05,4.6463e-06,5.2191e-08,,,,,,,,,,,
Sam 2,5.26882e-08,1.20048e-02,4.2463e-03,4.9520e-05,4.7339e-06,5.5791e-08,,,,,,            2.5930,            9.4503,           11.5088,           18.6929,           82.8837,           -0.4571,            3.4990,           -0.4827,           -0.2915,           60.1076,
Ref 3,5.23714e-08,,,,,,1.1974e-02,4.2066e-03,4.8959e-05,4.6478e-06,5.0840e-08,,,,,,,,,,,
Sam 3,5.18158e-08,1.20048e-02,4.2464e-03,4.9522e-05,4.7329e-06,5.3938e-08,,,,,,            2.5928,            9.4632,           11.5542,           18.3073,           58.4020,           -0.4578,            3.5118,           -0.4501,           -0.6954,           36.1151,
Ref 4,5.15266e-08,,,,,,1.1974e-02,4.2065e-03,4.8953e-05,4.6477e-06,5.1087e-08,,,,,,,,,,,
Sam 4,5.09609e-08,1.20047e-02,4.2464e-03,4.9520e-05,4.7328e-06,5.3345e-08,,,,,,            2.5927,            9.4793,           11.6132,           18.5369,           16.1162,           -0.4584,            3.5278,           -0.4074,           -0.5020,           -5.3114,
Ref 5,5.06958e-08,,,,,,1.1974e-02,4.2065e-03,4.8951e-05,4.6456e-06,5.3934e-08,,,,,,,,,,,
Sam 5,5.01377e-08,1.20047e-02,4.2464e-03,4.9520e-05,4.7349e-06,5.3675e-08,,,,,,            2.5933,            9.4606,           11.6439,           19.1110,           11.2577,           -0.4571,            3.5092,           -0.3595,            0.0983,          -10.0320,
Ref 6,4.98897e-08,,,,,,1.1974e-02,4.2066e-03,4.8949e-05,4.6466e-06,5.2207e-08,,,,,,,,,,,
Sam 6,4.93148e-08,1.20046e-02,4.2463e-03,4.9518e-05,4.7332e-06,5.6765e-08,,,,,,            2.5805,            9.4405,           11.5565,           18.8003,           94.3226,           -0.4700,            3.4892,           -0.4131,           -0.1666,           71.3408,
Ref 7,4.90903e-08,,,,,,1.1974e-02,4.2065e-03,4.8955e-05,4.6451e-06,5.1531e-08,,,,,,,,,,,
Sam 7,4.85429e-08,1.20045e-02,4.2464e-03,4.9524e-05,4.7317e-06,5.2856e-08,,,,,,            2.5863,            9.4655,           11.5786,           18.4014,           30.2380,           -0.4648,            3.5141,           -0.4216,           -0.6076,            8.5466,
Ref 8,4.83241e-08,,,,,,1.1974e-02,4.2066e-03,4.8959e-05,4.6472e-06,5.1075e-08,,,,,,,,,,,
Sam 8,4.77662e-08,1.20046e-02,4.2463e-03,4.9527e-05,4.7328e-06,5.0395e-08,,,,,,            2.5939,            9.4536,           11.6223,           18.6605,          -16.1097,           -0.4563,            3.5022,           -0.3747,           -0.3298,          -36.8107,
Ref 9,4.75683e-08,,,,,,1.1974e-02,4.2066e-03,4.8957e-05,4.6450e-06,5.1368e-08,,,,,,,,,,,
Sam 9,4.70087e-08,1.20045e-02,4.2465e-03,4.9532e-05,4.7332e-06,5.3691e-08,,,,,,            2.5926,            9.4927,           11.7025,           18.7158,           31.9324,           -0.4590,            3.5411,           -0.3321,           -0.3530,           10.1450,
Ref 10,4.68257e-08,,,,,,1.1973e-02,4.2066e-03,4.8962e-05,4.6476e-06,5.2702e-08,,,,,,,,,,,
Sam 10,4.62647e-08,1.20044e-02,4.2464e-03,4.9526e-05,4.7364e-06,5.2665e-08,,,,,,            2.5838,            9.4619,           11.5890,           19.1115,          -21.3733,           -0.4673,            3.5105,           -0.4052,            0.0964,          -41.9687,
Ref 11,4.60953e-08,,,,,,1.1973e-02,4.2066e-03,4.8956e-05,4.6477e-06,5.4945e-08,,,,,,,,,,,
Sam 11,4.55289e-08,1.20044e-02,4.2463e-03,4.9531e-05,4.7324e-06,5.5134e-08,,,,,,            2.5921,            9.4509,           11.7086,           18.3537,           26.2884,           -0.4581,            3.4995,           -0.2848,           -0.6254,            4.7027,
Ref 12,4.53826e-08,,,,,,1.1973e-02,4.2065e-03,4.8958e-05,4.6466e-06,5.2479e-08,,,,,,,,,,,
Sam 12,4.48330e-08,1.20044e-02,4.2464e-03,4.9529e-05,4.7338e-06,5.4383e-08,,,,,,            2.5951,            9.4730,           11.6401,           18.7387,           23.1231,           -0.4556,            3.5215,           -0.3773,           -0.2914,            1.5575,
Ref 13,4.46882e-08,,,,,,1.1973e-02,4.2065e-03,4.8960e-05,4.6469e-06,5.3839e-08,,,,,,,,,,,
Sam 13,4.41169e-08,1.20044e-02,4.2463e-03,4.9530e-05,4.7325e-06,5.4191e-08,,,,,,            2.5870,            9.4473,           11.6131,           18.3948,           16.3244,           -0.4633,            3.4960,           -0.3705,           -0.5782,           -5.0396,
Ref 14,4.39767e-08,,,,,,1.1973e-02,4.2065e-03,4.8963e-05,4.6471e-06,5.2794e-08,,,,,,,,,,,
Sam 14,4.34395e-08,1.20043e-02,4.2463e-03,4.9528e-05,4.7323e-06,5.4250e-08,,,,,,            2.5896,            9.4716,           11.6440,           18.5702,           37.8123,           -0.4615,            3.5201,           -0.3663,           -0.4540,           15.9459,
Ref 15,4.33003e-08,,,,,,1.1973e-02,4.2065e-03,4.8952e-05,4.6449e-06,5.1744e-08,,,,,,,,,,,
Sam 15,4.31664e-08,1.20042e-02,4.2463e-03,4.9527e-05,4.7320e-06,5.3599e-08,,,,,,            2.5853,            9.4764,           11.6602,           18.5023,           23.6490,           -0.4662,            3.5250,           -0.3506,           -0.5302,            2.0760,
Ref 16,4.27177e-08,,,,,,1.1973e-02,4.2065e-03,4.8960e-05,4.6470e-06,5.2986e-08,,,,,,,,,,,
Sam 16,4.21740e-08,1.20043e-02,4.2463e-03,4.9524e-05,4.7313e-06,4.9370e-08,,,,,,            2.5887,            9.4778,           11.5401,           18.1188,          -26.2937,           -0.4626,            3.5263,           -0.4741,           -0.9093,          -46.8201,
Ref 17,4.20646e-08,,,,,,1.1973e-02,4.2065e-03,4.8958e-05,4.6472e-06,4.8384e-08,,,,,,,,,,,
Sam 17,4.15383e-08,1.20043e-02,4.2463e-03,4.9532e-05,4.7339e-06,5.1261e-08,,,,,,            2.5990,            9.4610,           11.7778,           18.8825,           12.7486,           -0.4511,            3.5096,           -0.2334,           -0.1266,           -8.5792,
Ref 18,4.14389e-08,,,,,,1.1973e-02,4.2065e-03,4.8953e-05,4.6452e-06,5.2882e-08,,,,,,,,,,,
Sam 18,4.09059e-08,1.20043e-02,4.2463e-03,4.9535e-05,4.7335e-06,5.2015e-08,,,,,,            2.6001,            9.4551,           11.8578,           18.9320,          -16.9443,           -0.4497,            3.5037,           -0.1498,           -0.0663,          -37.6369,
Ref 19,4.08149e-08,,,,,,1.1973e-02,4.2065e-03,4.8956e-05,4.6460e-06,5.2941e-08,,,,,,,,,,,
Sam 19,4.02833e-08,1.20042e-02,4.2463e-03,4.9531e-05,4.7313e-06,5.1807e-08,,,,,,            2.5935,            9.4598,           11.7159,           18.1465,           -9.7636,           -0.4569,            3.5084,           -0.2877,           -0.8464,          -30.6093,
Ref 20,4.02024e-08,,,,,,1.1973e-02,4.2064e-03,4.8959e-05,4.6480e-06,5.1684e-08,,,,,,,,,,,
Sam 20,3.96749e-08,1.20040e-02,4.2462e-03,4.9521e-05,4.7331e-06,5.0902e-08,,,,,,            2.5891,            9.4526,           11.4407,           18.9200,          -18.4487,           -0.4614,            3.5012,           -0.5481,           -0.0731,          -39.0937,
Ref 21,3.96078e-08,,,,,,1.1973e-02,4.2064e-03,4.8962e-05,4.6424e-06,5.2036e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.93144e-08,,,,,,1.1973e-02,4.2064e-03,4.8957e-05,4.6439e-06,4.9477e-08,
Sam 1,3.87799e-08,1.20038e-02,4.2461e-03,4.9529e-05,4.7327e-06,4.7977e-08,,,,,,            2.5775,            9.4399,           11.6970,           18.8000,          -10.0509,           -0.4732,            3.4886,           -0.2706,           -0.1657,          -30.8366,
Ref 2,3.87203e-08,,,,,,1.1973e-02,4.2064e-03,4.8956e-05,4.6469e-06,4.7437e-08,,,,,,,,,,,
Sam 2,3.81787e-08,1.20038e-02,4.2461e-03,4.9530e-05,4.7338e-06,4.6457e-08,,,,,,            2.5875,            9.4428,           11.7608,           19.0821,          -42.5140,           -0.4627,            3.4915,           -0.2207,            0.1054,          -62.6334,
Ref 3,3.81500e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6434e-06,4.9618e-08,,,,,,,,,,,
Sam 3,3.76177e-08,1.20039e-02,4.2461e-03,4.9531e-05,4.7300e-06,4.9626e-08,,,,,,            2.5959,            9.4598,           11.7962,           18.7654,           33.7287,           -0.4543,            3.5084,           -0.2110,           -0.2392,           11.9647,
Ref 4,3.76005e-08,,,,,,1.1973e-02,4.2063e-03,4.8955e-05,4.6422e-06,4.6372e-08,,,,,,,,,,,
Sam 4,3.70671e-08,1.20038e-02,4.2461e-03,4.9528e-05,4.7299e-06,4.7329e-08,,,,,,            2.5985,            9.4518,           11.7400,           18.8939,           40.9624,           -0.4513,            3.5004,           -0.2612,           -0.0973,           19.0592,
Ref 5,3.70495e-08,,,,,,1.1973e-02,4.2063e-03,4.8952e-05,4.6421e-06,4.4547e-08,,,,,,,,,,,
Sam 5,3.65102e-08,1.20035e-02,4.2460e-03,4.9525e-05,4.7305e-06,4.4662e-08,,,,,,            2.5915,            9.4512,           11.6400,           19.0687,          -31.0427,           -0.4587,            3.4999,           -0.3524,            0.0756,          -51.4226,
Ref 6,3.65092e-08,,,,,,1.1972e-02,4.2062e-03,4.8959e-05,4.6418e-06,4.7660e-08,,,,,,,,,,,
Sam 6,3.59780e-08,1.20036e-02,4.2460e-03,4.9525e-05,4.7317e-06,4.5735e-08,,,,,,            2.5990,            9.4667,           11.5465,           19.0903,          -19.5963,           -0.4512,            3.5152,           -0.4676,            0.0661,          -40.2536,
Ref 7,3.59839e-08,,,,,,1.1973e-02,4.2062e-03,4.8959e-05,4.6444e-06,4.5623e-08,,,,,,,,,,,
Sam 7,3.54509e-08,1.20035e-02,4.2460e-03,4.9528e-05,4.7286e-06,4.3701e-08,,,,,,            2.5959,            9.4744,           11.6535,           18.0517,          -24.8104,           -0.4548,            3.5230,           -0.3662,           -0.9685,          -45.3691,
Ref 8,3.54649e-08,,,,,,1.1972e-02,4.2061e-03,4.8956e-05,4.6452e-06,4.3991e-08,,,,,,,,,,,
Sam 8,3.49262e-08,1.20034e-02,4.2459e-03,4.9523e-05,4.7313e-06,4.5766e-08,,,,,,            2.5941,            9.4617,           11.6319,           18.5902,           20.8963,           -0.4564,            3.5103,           -0.3732,           -0.4148,           -0.5993,
Ref 9,3.49616e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6447e-06,4.5678e-08,,,,,,,,,,,
Sam 9,3.44190e-08,1.20031e-02,4.2458e-03,4.9522e-05,4.7334e-06,4.4855e-08,,,,,,            2.5787,            9.4263,           11.5382,           19.1877,           15.1127,           -0.4715,            3.4751,           -0.4155,            0.2416,           -6.1764,
Ref 10,3.44475e-08,,,,,,1.1972e-02,4.2061e-03,4.8963e-05,4.6438e-06,4.2675e-08,,,,,,,,,,,
Sam 10,3.39278e-08,1.20033e-02,4.2458e-03,4.9522e-05,4.7312e-06,4.8662e-08,,,,,,            2.6023,            9.4604,           11.5865,           18.8402,          144.1823,           -0.4475,            3.5089,           -0.4253,           -0.1669,          120.0840,
Ref 11,3.39630e-08,,,,,,1.1972e-02,4.2060e-03,4.8948e-05,4.6437e-06,4.2383e-08,,,,,,,,,,,
Sam 11,3.34403e-08,1.20029e-02,4.2458e-03,4.9521e-05,4.7304e-06,4.6147e-08,,,,,,            2.5794,            9.4461,           11.7609,           19.0313,           61.1644,           -0.4714,            3.4948,           -0.2155,            0.0489,           38.8686,
Ref 12,3.34801e-08,,,,,,1.1972e-02,4.2060e-03,4.8943e-05,4.6405e-06,4.4607e-08,,,,,,,,,,,
Sam 12,3.29615e-08,1.20030e-02,4.2457e-03,4.9521e-05,4.7283e-06,4.7962e-08,,,,,,            2.5886,            9.4382,           11.7466,           19.2220,           74.7710,           -0.4614,            3.4869,           -0.2314,            0.2518,           52.1953,
Ref 13,3.30124e-08,,,,,,1.1972e-02,4.2060e-03,4.8950e-05,4.6377e-06,4.4643e-08,,,,,,,,,,,
Sam 13,3.25062e-08,1.20029e-02,4.2457e-03,4.9515e-05,4.7261e-06,4.3523e-08,,,,,,            2.5859,            9.4549,           11.5686,           18.6312,          -16.6617,           -0.4648,            3.5036,           -0.4208,           -0.3612,          -37.3455,
Ref 14,3.25612e-08,,,,,,1.1972e-02,4.2059e-03,4.8946e-05,4.6415e-06,4.3873e-08,,,,,,,,,,,
Sam 14,3.20351e-08,1.20030e-02,4.2457e-03,4.9522e-05,4.7283e-06,4.4716e-08,,,,,,            2.5979,            9.4663,           11.7348,           18.8088,           -3.1614,           -0.4525,            3.5149,           -0.2800,           -0.2095,          -24.1632,
Ref 15,3.21116e-08,,,,,,1.1972e-02,4.2059e-03,4.8949e-05,4.6405e-06,4.5857e-08,,,,,,,,,,,
Sam 15,3.15840e-08,1.20028e-02,4.2457e-03,4.9510e-05,4.7261e-06,4.6753e-08,,,,,,            2.5870,            9.4615,           11.4618,           18.1410,            9.5591,           -0.4639,            3.5101,           -0.5338,           -0.8552,          -11.6899,
Ref 16,3.16603e-08,,,,,,1.1972e-02,4.2059e-03,4.8949e-05,4.6434e-06,4.6770e-08,,,,,,,,,,,
Sam 16,3.11285e-08,1.20027e-02,4.2456e-03,4.9511e-05,4.7285e-06,4.6874e-08,,,,,,            2.5732,            9.4407,           11.4146,           19.2386,           33.7634,           -0.4778,            3.4894,           -0.5461,            0.2632,           12.0607,
Ref 17,3.12199e-08,,,,,,1.1972e-02,4.2058e-03,4.8955e-05,4.6350e-06,4.3896e-08,,,,,,,,,,,
Sam 17,3.06968e-08,1.20028e-02,4.2456e-03,4.9511e-05,4.7275e-06,4.2605e-08,,,,,,            2.5964,            9.4522,           11.3599,           19.4076,          -35.7768,           -0.4535,            3.5009,           -0.6353,            0.4061,          -56.0641,
Ref 18,3.08100e-08,,,,,,1.1972e-02,4.2059e-03,4.8954e-05,4.6401e-06,4.4480e-08,,,,,,,,,,,
Sam 18,3.02701e-08,1.20025e-02,4.2456e-03,4.9518e-05,4.7261e-06,3.9331e-08,,,,,,            2.5818,            9.4628,           11.5543,           18.5770,         -117.7956,           -0.4694,            3.5114,           -0.4385,           -0.4300,         -136.3616,
Ref 19,3.03638e-08,,,,,,1.1972e-02,4.2058e-03,4.8950e-05,4.6397e-06,4.4686e-08,,,,,,,,,,,
Sam 19,2.98379e-08,1.20025e-02,4.2455e-03,4.9518e-05,4.7266e-06,4.3448e-08,,,,,,            2.5924,            9.4490,           11.6665,           18.6774,           -2.7077,           -0.4576,            3.4976,           -0.3250,           -0.3040,          -23.6803,
Ref 20,2.99510e-08,,,,,,1.1971e-02,4.2057e-03,4.8944e-05,4.6402e-06,4.2430e-08,,,,,,,,,,,
Sam 20,2.94302e-08,1.20026e-02,4.2456e-03,4.9515e-05,4.7309e-06,4.4755e-08,,,,,,            2.6075,            9.4858,           11.6607,           19.6843,           88.1438,           -0.4429,            3.5342,           -0.3821,            0.6110,           65.1671,
Ref 21,2.95499e-08,,,,,,1.1971e-02,4.2057e-03,4.8945e-05,4.6389e-06,3.9811e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.93452e-08,,,,,,1.1971e-02,4.2056e-03,4.8941e-05,4.6400e-06,3.8590e-08,
Sam 1,2.88172e-08,1.20023e-02,4.2455e-03,4.9513e-05,4.7286e-06,3.5555e-08,,,,,,            2.5857,            9.4785,           11.6531,           19.1664,          -98.1699,           -0.4658,            3.5270,           -0.3600,            0.1174,         -117.1795,
Ref 2,2.89445e-08,,,,,,1.1971e-02,4.2057e-03,4.8944e-05,4.6393e-06,4.0273e-08,,,,,,,,,,,
Sam 2,2.84243e-08,1.20023e-02,4.2454e-03,4.9510e-05,4.7207e-06,3.9261e-08,,,,,,            2.5871,            9.4473,           11.5214,           17.3697,           59.3478,           -0.4632,            3.4960,           -0.4612,           -1.5841,           37.0794,
Ref 3,2.85664e-08,,,,,,1.1971e-02,4.2057e-03,4.8948e-05,4.6408e-06,3.3808e-08,,,,,,,,,,,
Sam 3,2.80372e-08,1.20024e-02,4.2455e-03,4.9511e-05,4.7274e-06,3.6296e-08,,,,,,            2.5931,            9.4585,           11.6114,           18.9757,           60.3013,           -0.4573,            3.5071,           -0.3894,           -0.0301,           37.9836,
Ref 4,2.81783e-08,,,,,,1.1971e-02,4.2057e-03,4.8938e-05,4.6379e-06,3.4661e-08,,,,,,,,,,,
Sam 4,2.76460e-08,1.20023e-02,4.2453e-03,4.9519e-05,4.7254e-06,3.0490e-08,,,,,,            2.5884,            9.4348,           11.7519,           19.0788,         -132.4677,           -0.4614,            3.4836,           -0.2226,            0.1179,         -150.6845,
Ref 5,2.78130e-08,,,,,,1.1971e-02,4.2056e-03,4.8950e-05,4.6360e-06,3.5637e-08,,,,,,,,,,,
Sam 5,2.72830e-08,1.20022e-02,4.2454e-03,4.9519e-05,4.7262e-06,3.3839e-08,,,,,,            2.5818,            9.4634,           11.6908,           18.9290,          -90.3388,           -0.4694,            3.5120,           -0.3041,           -0.0857,         -109.4837,
Ref 6,2.74478e-08,,,,,,1.1971e-02,4.2057e-03,4.8944e-05,4.6408e-06,3.8782e-08,,,,,,,,,,,
Sam 6,2.69132e-08,1.20021e-02,4.2453e-03,4.9513e-05,4.7251e-06,3.7034e-08,,,,,,            2.5765,            9.4385,           11.6910,           18.3761,          -22.9354,           -0.4742,            3.4872,           -0.2742,           -0.5789,          -43.4470,
Ref 7,2.70737e-08,,,,,,1.1971e-02,4.2056e-03,4.8937e-05,4.6389e-06,3.7013e-08,,,,,,,,,,,
Sam 7,2.65510e-08,1.20020e-02,4.2453e-03,4.9515e-05,4.7189e-06,3.8671e-08,,,,,,            2.5865,            9.4459,           11.8262,           17.2324,           45.2845,           -0.4638,            3.4946,           -0.1580,           -1.7160,           23.3152,
Ref 8,2.67172e-08,,,,,,1.1971e-02,4.2056e-03,4.8937e-05,4.6389e-06,3.6978e-08,,,,,,,,,,,
Sam 8,2.61919e-08,1.20020e-02,4.2453e-03,4.9522e-05,4.7214e-06,3.7597e-08,,,,,,            2.5877,            9.4626,           11.8901,           17.9071,           20.6336,           -0.4631,            3.5112,           -0.1125,           -1.0870,           -0.8515,
Ref 9,2.63685e-08,,,,,,1.1971e-02,4.2055e-03,4.8944e-05,4.6378e-06,3.6694e-08,,,,,,,,,,,
Sam 9,2.58485e-08,1.20020e-02,4.2453e-03,4.9509e-05,4.7235e-06,4.0773e-08,,,,,,            2.5855,            9.4566,           11.5265,           18.5511,          157.0072,           -0.4653,            3.5053,           -0.4636,           -0.4432,          132.6672,
Ref 10,2.60220e-08,,,,,,1.1971e-02,4.2056e-03,4.8946e-05,4.6373e-06,3.3767e-08,,,,,,,,,,,
Sam 10,2.55127e-08,1.20019e-02,4.2452e-03,4.9520e-05,4.7197e-06,3.6089e-08,,,,,,            2.5878,            9.4385,           11.7805,           18.1548,          105.7476,           -0.4622,            3.4873,           -0.1974,           -0.7963,           82.5215,
Ref 11,2.56873e-08,,,,,,1.1971e-02,4.2055e-03,4.8940e-05,4.6338e-06,3.1492e-08,,,,,,,,,,,
Sam 11,2.51711e-08,1.20020e-02,4.2453e-03,4.9513e-05,4.7237e-06,3.4234e-08,,,,,,            2.5944,            9.4613,           11.6230,           19.2771,           59.8545,           -0.4560,            3.5099,           -0.3819,            0.2601,           37.5392,
Ref 12,2.53483e-08,,,,,,1.1971e-02,4.2055e-03,4.8948e-05,4.6350e-06,3.3120e-08,,,,,,,,,,,
Sam 12,2.48353e-08,1.20020e-02,4.2452e-03,4.9508e-05,4.7252e-06,3.1234e-08,,,,,,            2.6048,            9.4631,           11.3694,           19.3340,           14.4695,           -0.4450,            3.5116,           -0.6450,            0.3124,           -6.9047,
Ref 13,2.50466e-08,,,,,,1.1971e-02,4.2054e-03,4.8956e-05,4.6361e-06,2.8429e-08,,,,,,,,,,,
Sam 13,2.45225e-08,1.20018e-02,4.2451e-03,4.9513e-05,4.7222e-06,3.0589e-08,,,,,,            2.5869,            9.4437,           11.5066,           19.0681,           57.3811,           -0.4633,            3.4924,           -0.4722,            0.0899,           35.1614,
Ref 14,2.47110e-08,,,,,,1.1971e-02,4.2054e-03,4.8943e-05,4.6316e-06,2.9437e-08,,,,,,,,,,,
Sam 14,2.41957e-08,1.20020e-02,4.2452e-03,4.9501e-05,4.7256e-06,3.0271e-08,,,,,,            2.5990,            9.4518,           11.3686,           19.9047,          -82.3933,           -0.4507,            3.5005,           -0.6289,            0.8946,         -101.7015,
Ref 15,2.43979e-08,,,,,,1.1971e-02,4.2055e-03,4.8946e-05,4.6352e-06,3.6587e-08,,,,,,,,,,,
Sam 15,2.38821e-08,1.20017e-02,4.2452e-03,4.9519e-05,4.7190e-06,3.4120e-08,,,,,,            2.5753,            9.4355,           11.6597,           17.9480,           20.7632,           -0.4754,            3.4842,           -0.3009,           -0.9931,           -0.6586,
Ref 16,2.40852e-08,,,,,,1.1971e-02,4.2055e-03,4.8952e-05,4.6363e-06,3.0224e-08,,,,,,,,,,,
Sam 16,2.35729e-08,1.20018e-02,4.2452e-03,4.9510e-05,4.7261e-06,3.2747e-08,,,,,,            2.5820,            9.4437,           11.4745,           19.3258,           32.7179,           -0.4686,            3.4924,           -0.4988,            0.3428,           11.0219,
Ref 17,2.37800e-08,,,,,,1.1971e-02,4.2054e-03,4.8946e-05,4.6367e-06,3.3214e-08,,,,,,,,,,,
Sam 17,2.32661e-08,1.20017e-02,4.2452e-03,4.9509e-05,4.7224e-06,3.5915e-08,,,,,,            2.5745,            9.4568,           11.3931,           18.5347,           35.0297,           -0.4770,            3.5055,           -0.5843,           -0.4596,           13.2671,
Ref 18,2.35010e-08,,,,,,1.1971e-02,4.2054e-03,4.8958e-05,4.6361e-06,3.6203e-08,,,,,,,,,,,
Sam 18,2.29755e-08,1.20017e-02,4.2451e-03,4.9509e-05,4.7235e-06,3.2524e-08,,,,,,            2.5801,            9.4558,           11.3264,           18.7193,          -22.2588,           -0.4710,            3.5044,           -0.6550,           -0.2764,          -42.8205,
Ref 19,2.31903e-08,,,,,,1.1971e-02,4.2054e-03,4.8952e-05,4.6373e-06,3.0288e-08,,,,,,,,,,,
Sam 19,2.26757e-08,1.20017e-02,4.2452e-03,4.9512e-05,4.7169e-06,2.9532e-08,,,,,,            2.5919,            9.4776,           11.5547,           17.4998,           77.5845,           -0.4592,            3.5261,           -0.4628,           -1.5163,           54.8651,
Ref 20,2.29131e-08,,,,,,1.1971e-02,4.2054e-03,4.8941e-05,4.6342e-06,2.4489e-08,,,,,,,,,,,
Sam 20,2.23891e-08,1.20016e-02,4.2451e-03,4.9508e-05,4.7245e-06,2.2834e-08,,,,,,            2.5846,            9.4615,           11.5101,           19.4177,          -34.4476,           -0.4665,            3.5101,           -0.4836,            0.3977,          -54.7679,
Ref 21,2.26140e-08,,,,,,1.1971e-02,4.2054e-03,4.8948e-05,4.6347e-06,2.2797e-08,,,,,,,,,,,


