Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 28, 2022 at 13:25 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 14:24 with Stable 1.71.5 on PS019

Data File = Data_17432 ETH-1.txt,         Sample Weight = 393,                      Vial Location = 15,                       Initial Sam Beam = 7.7599e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.8917e-08,                Max Ref Beam = 1.0655e-07,                

Analysis undertaken at mass 46.02145
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.96057e-08,,,,,,1.1971e-02,4.2044e-03,4.8915e-05,4.6371e-06,5.5834e-08,
Sam 1,6.85373e-08,1.20286e-02,4.2521e-03,4.9668e-05,4.7430e-06,5.7844e-08,,,,,,            4.7438,           11.2604,           15.2866,           22.2589,           36.5646,            1.7695,            5.2956,           -0.7261,           -0.3801,            8.8916,
Ref 2,6.74822e-08,,,,,,1.1972e-02,4.2051e-03,4.8926e-05,4.6423e-06,5.5773e-08,,,,,,,,,,,
Sam 2,6.63457e-08,1.20293e-02,4.2526e-03,4.9682e-05,4.7455e-06,5.9572e-08,,,,,,            4.7492,           11.2522,           15.4154,           22.1418,           61.5853,            1.7755,            5.2874,           -0.5969,           -0.4784,           33.2550,
Ref 3,6.54499e-08,,,,,,1.1973e-02,4.2054e-03,4.8929e-05,4.6431e-06,5.6469e-08,,,,,,,,,,,
Sam 3,6.42297e-08,1.20297e-02,4.2529e-03,4.9688e-05,4.7492e-06,5.9928e-08,,,,,,            4.7587,           11.2623,           15.3782,           23.1162,           34.9120,            1.7852,            5.2975,           -0.6531,            0.4545,            7.2636,
Ref 4,6.35325e-08,,,,,,1.1973e-02,4.2057e-03,4.8942e-05,4.6407e-06,5.9387e-08,,,,,,,,,,,
Sam 4,6.21876e-08,1.20299e-02,4.2531e-03,4.9697e-05,4.7482e-06,5.9429e-08,,,,,,            4.7446,           11.2422,           15.4076,           22.8297,           23.9368,            1.7710,            5.2774,           -0.5901,            0.2142,           -3.3644,
Ref 5,6.16786e-08,,,,,,1.1973e-02,4.2060e-03,4.8943e-05,4.6438e-06,5.6652e-08,,,,,,,,,,,
Sam 5,6.02564e-08,1.20305e-02,4.2535e-03,4.9704e-05,4.7469e-06,5.9206e-08,,,,,,            4.7672,           11.2632,           15.5042,           21.9582,           18.3093,            1.7943,            5.2983,           -0.5386,           -0.6796,           -8.9062,
Ref 6,5.99058e-08,,,,,,1.1974e-02,4.2062e-03,4.8947e-05,4.6460e-06,5.9674e-08,,,,,,,,,,,
Sam 6,5.83860e-08,1.20304e-02,4.2536e-03,4.9701e-05,4.7476e-06,5.9923e-08,,,,,,            4.7498,           11.2640,           15.4145,           21.8542,            8.1227,            1.7757,            5.2992,           -0.6098,           -0.7830,          -18.8040,
Ref 7,5.81877e-08,,,,,,1.1973e-02,4.2062e-03,4.8947e-05,4.6460e-06,5.9199e-08,,,,,,,,,,,
Sam 7,5.66031e-08,1.20304e-02,4.2536e-03,4.9709e-05,4.7496e-06,5.8917e-08,,,,,,            4.7474,           11.2514,           15.5196,           22.2314,            3.9508,            1.7737,            5.2866,           -0.4917,           -0.3892,          -22.8380,
Ref 8,5.65323e-08,,,,,,1.1974e-02,4.2064e-03,4.8953e-05,4.6465e-06,5.8156e-08,,,,,,,,,,,
Sam 8,5.48915e-08,1.20304e-02,4.2537e-03,4.9709e-05,4.7495e-06,5.9510e-08,,,,,,            4.7367,           11.2441,           15.4637,           22.1148,           19.5101,            1.7625,            5.2793,           -0.5286,           -0.4887,           -7.6685,
Ref 9,5.49547e-08,,,,,,1.1974e-02,4.2065e-03,4.8951e-05,4.6470e-06,5.8592e-08,,,,,,,,,,,
Sam 9,5.32484e-08,1.20305e-02,4.2538e-03,4.9713e-05,4.7483e-06,5.9489e-08,,,,,,            4.7440,           11.2314,           15.4684,           21.7604,           10.2316,            1.7707,            5.2667,           -0.5191,           -0.8102,          -16.6830,
Ref 10,5.34274e-08,,,,,,1.1974e-02,4.2066e-03,4.8961e-05,4.6474e-06,5.9189e-08,,,,,,,,,,,
Sam 10,5.16743e-08,1.20306e-02,4.2539e-03,4.9718e-05,4.7505e-06,6.0872e-08,,,,,,            4.7506,           11.2431,           15.4460,           22.1592,           32.2032,            1.7773,            5.2783,           -0.5593,           -0.4434,            4.6733,
Ref 11,5.19487e-08,,,,,,1.1974e-02,4.2066e-03,4.8963e-05,4.6477e-06,5.8750e-08,,,,,,,,,,,
Sam 11,5.01539e-08,1.20306e-02,4.2539e-03,4.9717e-05,4.7494e-06,5.8678e-08,,,,,,            4.7499,           11.2497,           15.4257,           22.3239,           17.5108,            1.7763,            5.2849,           -0.5850,           -0.2954,           -9.6392,
Ref 12,5.05249e-08,,,,,,1.1974e-02,4.2067e-03,4.8960e-05,4.6436e-06,5.6555e-08,,,,,,,,,,,
Sam 12,4.86945e-08,1.20304e-02,4.2539e-03,4.9717e-05,4.7510e-06,5.9860e-08,,,,,,            4.7351,           11.2450,           15.4268,           22.6790,           40.4859,            1.7607,            5.2803,           -0.5641,            0.0611,           12.7479,
Ref 13,4.91566e-08,,,,,,1.1974e-02,4.2066e-03,4.8963e-05,4.6476e-06,5.8533e-08,,,,,,,,,,,
Sam 13,4.72911e-08,1.20304e-02,4.2539e-03,4.9720e-05,4.7531e-06,6.0540e-08,,,,,,            4.7387,           11.2483,           15.4285,           22.7001,           44.6309,            1.7644,            5.2836,           -0.5694,            0.0753,           16.7720,
Ref 14,4.78233e-08,,,,,,1.1974e-02,4.2066e-03,4.8965e-05,4.6476e-06,5.7357e-08,,,,,,,,,,,
Sam 14,4.59308e-08,1.20304e-02,4.2539e-03,4.9710e-05,4.7521e-06,5.8046e-08,,,,,,            4.7481,           11.2445,           15.2222,           22.5269,            9.4831,            1.7746,            5.2798,           -0.7784,           -0.0866,          -17.4409,
Ref 15,4.65391e-08,,,,,,1.1974e-02,4.2067e-03,4.8966e-05,4.6471e-06,5.7649e-08,,,,,,,,,,,
Sam 15,4.46256e-08,1.20304e-02,4.2539e-03,4.9722e-05,4.7507e-06,6.0341e-08,,,,,,            4.7516,           11.2419,           15.4314,           22.0895,           59.6836,            1.7784,            5.2772,           -0.5736,           -0.5092,           31.4221,
Ref 16,4.53007e-08,,,,,,1.1973e-02,4.2066e-03,4.8967e-05,4.6490e-06,5.6217e-08,,,,,,,,,,,
Sam 16,4.33629e-08,1.20302e-02,4.2539e-03,4.9711e-05,4.7524e-06,6.0519e-08,,,,,,            4.7390,           11.2360,           15.2087,           22.4369,           39.8781,            1.7652,            5.2713,           -0.7740,           -0.1578,           12.1699,
Ref 17,4.41030e-08,,,,,,1.1973e-02,4.2066e-03,4.8965e-05,4.6471e-06,6.0233e-08,,,,,,,,,,,
Sam 17,4.21551e-08,1.20301e-02,4.2538e-03,4.9719e-05,4.7503e-06,6.4883e-08,,,,,,            4.7307,           11.2330,           15.3644,           22.2462,           61.6462,            1.7565,            5.2683,           -0.6094,           -0.3383,           33.3731,
Ref 18,4.29383e-08,,,,,,1.1973e-02,4.2065e-03,4.8968e-05,4.6468e-06,6.2021e-08,,,,,,,,,,,
Sam 18,4.09843e-08,1.20300e-02,4.2537e-03,4.9723e-05,4.7509e-06,6.0776e-08,,,,,,            4.7300,           11.2125,           15.3097,           22.1899,            2.2309,            1.7564,            5.2479,           -0.6425,           -0.3528,          -24.4202,
Ref 19,4.18287e-08,,,,,,1.1973e-02,4.2065e-03,4.8978e-05,4.6487e-06,5.9225e-08,,,,,,,,,,,
Sam 19,3.98634e-08,1.20298e-02,4.2537e-03,4.9722e-05,4.7510e-06,5.6219e-08,,,,,,            4.7335,           11.2053,           15.2425,           22.0998,          -24.5471,            1.7604,            5.2407,           -0.7053,           -0.4266,          -50.4763,
Ref 20,4.07438e-08,,,,,,1.1973e-02,4.2065e-03,4.8974e-05,4.6478e-06,5.6000e-08,,,,,,,,,,,
Sam 20,3.87502e-08,1.20298e-02,4.2536e-03,4.9718e-05,4.7503e-06,5.9726e-08,,,,,,            4.7382,           11.2042,           15.2428,           22.1655,           21.3981,            1.7655,            5.2397,           -0.7088,           -0.3603,           -5.7554,
Ref 21,3.96810e-08,,,,,,1.1973e-02,4.2065e-03,4.8968e-05,4.6467e-06,6.1015e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.91799e-08,,,,,,1.1973e-02,4.2064e-03,4.8970e-05,4.6476e-06,6.2786e-08,
Sam 1,3.72064e-08,1.20296e-02,4.2535e-03,4.9713e-05,4.7502e-06,6.7952e-08,,,,,,            4.7387,           11.2132,           15.2085,           22.4344,           91.2486,            1.7657,            5.2486,           -0.7518,           -0.1151,           62.2191,
Ref 2,3.82095e-08,,,,,,1.1973e-02,4.2063e-03,4.8966e-05,4.6443e-06,6.1741e-08,,,,,,,,,,,
Sam 2,3.62173e-08,1.20293e-02,4.2534e-03,4.9714e-05,4.7527e-06,6.3844e-08,,,,,,            4.7273,           11.1972,           15.2454,           22.7639,           29.8322,            1.7541,            5.2327,           -0.6882,            0.2387,            2.4797,
Ref 3,3.72484e-08,,,,,,1.1973e-02,4.2063e-03,4.8969e-05,4.6496e-06,6.2254e-08,,,,,,,,,,,
Sam 3,3.52559e-08,1.20292e-02,4.2535e-03,4.9716e-05,4.7519e-06,6.6284e-08,,,,,,            4.7309,           11.2140,           15.2700,           22.1111,           43.6899,            1.7573,            5.2495,           -0.6840,           -0.4329,           15.9323,
Ref 4,3.63272e-08,,,,,,1.1973e-02,4.2063e-03,4.8968e-05,4.6486e-06,6.4797e-08,,,,,,,,,,,
Sam 4,3.43270e-08,1.20291e-02,4.2533e-03,4.9714e-05,4.7545e-06,6.4697e-08,,,,,,            4.7322,           11.1963,           15.2998,           23.1317,           -3.3858,            1.7593,            5.2318,           -0.6388,            0.6003,          -29.8593,
Ref 5,3.54273e-08,,,,,,1.1972e-02,4.2062e-03,4.8961e-05,4.6453e-06,6.5040e-08,,,,,,,,,,,
Sam 5,3.34322e-08,1.20290e-02,4.2533e-03,4.9717e-05,4.7526e-06,6.4209e-08,,,,,,            4.7311,           11.2187,           15.3964,           22.6781,          -30.1297,            1.7574,            5.2541,           -0.5644,            0.1123,          -55.9329,
Ref 6,3.45761e-08,,,,,,1.1972e-02,4.2061e-03,4.8965e-05,4.6493e-06,6.7396e-08,,,,,,,,,,,
Sam 6,3.25684e-08,1.20289e-02,4.2532e-03,4.9716e-05,4.7521e-06,6.7378e-08,,,,,,            4.7367,           11.2179,           15.3815,           22.0753,           15.3202,            1.7634,            5.2533,           -0.5841,           -0.4756,          -11.6965,
Ref 7,3.37223e-08,,,,,,1.1972e-02,4.2060e-03,4.8961e-05,4.6497e-06,6.5301e-08,,,,,,,,,,,
Sam 7,3.17268e-08,1.20287e-02,4.2532e-03,4.9717e-05,4.7454e-06,6.4690e-08,,,,,,            4.7372,           11.2118,           15.3881,           20.8689,           27.5662,            1.7641,            5.2472,           -0.5721,           -1.6434,            0.2351,
Ref 8,3.29094e-08,,,,,,1.1972e-02,4.2060e-03,4.8967e-05,4.6471e-06,6.0551e-08,,,,,,,,,,,
Sam 8,3.09235e-08,1.20286e-02,4.2531e-03,4.9711e-05,4.7475e-06,6.0404e-08,,,,,,            4.7342,           11.2029,           15.3155,           21.2486,          -11.7835,            1.7613,            5.2384,           -0.6319,           -1.2544,          -38.0483,
Ref 9,3.21231e-08,,,,,,1.1972e-02,4.2060e-03,4.8955e-05,4.6504e-06,6.1711e-08,,,,,,,,,,,
Sam 9,3.01400e-08,1.20285e-02,4.2531e-03,4.9717e-05,4.7476e-06,6.4003e-08,,,,,,            4.7290,           11.2067,           15.4523,           20.9055,           57.7163,            1.7556,            5.2421,           -0.4955,           -1.5974,           29.6025,
Ref 10,3.13553e-08,,,,,,1.1972e-02,4.2059e-03,4.8966e-05,4.6505e-06,5.9281e-08,,,,,,,,,,,
Sam 10,2.93693e-08,1.20285e-02,4.2530e-03,4.9713e-05,4.7520e-06,5.7828e-08,,,,,,            4.7351,           11.2103,           15.2704,           21.9952,          -64.8256,            1.7620,            5.2458,           -0.6843,           -0.5390,          -89.6946,
Ref 11,3.06167e-08,,,,,,1.1972e-02,4.2059e-03,4.8965e-05,4.6490e-06,6.4455e-08,,,,,,,,,,,
Sam 11,2.86402e-08,1.20284e-02,4.2530e-03,4.9717e-05,4.7517e-06,6.0050e-08,,,,,,            4.7322,           11.2003,           15.2751,           22.3361,          -29.3132,            1.7592,            5.2357,           -0.6670,           -0.1857,          -55.1052,
Ref 12,2.98870e-08,,,,,,1.1972e-02,4.2058e-03,4.8974e-05,4.6468e-06,5.9208e-08,,,,,,,,,,,
Sam 12,2.79298e-08,1.20282e-02,4.2529e-03,4.9716e-05,4.7528e-06,6.2973e-08,,,,,,            4.7249,           11.1985,           15.2912,           22.5571,           36.6635,            1.7515,            5.2340,           -0.6419,            0.0340,            9.1297,
Ref 13,2.91924e-08,,,,,,1.1972e-02,4.2059e-03,4.8960e-05,4.6491e-06,6.2319e-08,,,,,,,,,,,
Sam 13,2.72376e-08,1.20281e-02,4.2529e-03,4.9711e-05,4.7523e-06,6.3326e-08,,,,,,            4.7296,           11.1969,           15.3068,           22.1875,           17.7315,            1.7565,            5.2324,           -0.6298,           -0.3242,           -9.3013,
Ref 14,2.85104e-08,,,,,,1.1971e-02,4.2057e-03,4.8963e-05,4.6492e-06,6.2123e-08,,,,,,,,,,,
Sam 14,2.65672e-08,1.20279e-02,4.2527e-03,4.9714e-05,4.7515e-06,6.2204e-08,,,,,,            4.7245,           11.1828,           15.2831,           21.9846,          -30.3286,            1.7516,            5.2184,           -0.6342,           -0.4949,          -56.0538,
Ref 15,2.78682e-08,,,,,,1.1971e-02,4.2057e-03,4.8969e-05,4.6493e-06,6.6224e-08,,,,,,,,,,,
Sam 15,2.59122e-08,1.20277e-02,4.2527e-03,4.9710e-05,4.7516e-06,6.2583e-08,,,,,,            4.7117,           11.2032,           15.1907,           22.1570,          -57.7943,            1.7373,            5.2388,           -0.7319,           -0.3667,          -82.8149,
Ref 16,2.72525e-08,,,,,,1.1971e-02,4.2056e-03,4.8963e-05,4.6478e-06,6.6624e-08,,,,,,,,,,,
Sam 16,2.53187e-08,1.20278e-02,4.2528e-03,4.9715e-05,4.7495e-06,6.4707e-08,,,,,,            4.7223,           11.2152,           15.2923,           21.9801,            8.7932,            1.7481,            5.2507,           -0.6544,           -0.5634,          -18.0296,
Ref 17,2.66207e-08,,,,,,1.1971e-02,4.2056e-03,4.8970e-05,4.6469e-06,6.1603e-08,,,,,,,,,,,
Sam 17,2.47120e-08,1.20279e-02,4.2527e-03,4.9710e-05,4.7507e-06,6.5051e-08,,,,,,            4.7287,           11.1939,           15.2531,           21.8636,           35.4711,            1.7557,            5.2294,           -0.6788,           -0.6352,            7.9740,
Ref 18,2.60280e-08,,,,,,1.1971e-02,4.2057e-03,4.8956e-05,4.6513e-06,6.4070e-08,,,,,,,,,,,
Sam 18,2.41300e-08,1.20278e-02,4.2527e-03,4.9708e-05,4.7549e-06,6.7109e-08,,,,,,            4.7174,           11.1891,           15.3231,           22.3586,           85.4245,            1.7438,            5.2247,           -0.5937,           -0.1417,           56.6232,
Ref 19,2.54492e-08,,,,,,1.1971e-02,4.2056e-03,4.8960e-05,4.6506e-06,5.9534e-08,,,,,,,,,,,
Sam 19,2.35597e-08,1.20277e-02,4.2527e-03,4.9722e-05,4.7546e-06,6.5849e-08,,,,,,            4.7198,           11.1981,           15.5885,           22.3214,           77.7935,            1.7461,            5.2336,           -0.3437,           -0.1957,           49.1737,
Ref 20,2.48912e-08,,,,,,1.1971e-02,4.2056e-03,4.8957e-05,4.6511e-06,6.2693e-08,,,,,,,,,,,
Sam 20,2.30138e-08,1.20278e-02,4.2527e-03,4.9711e-05,4.7518e-06,6.5065e-08,,,,,,            4.7315,           11.1966,           15.3523,           21.7188,            9.0896,            1.7586,            5.2321,           -0.5868,           -0.7820,          -17.7151,
Ref 21,2.43366e-08,,,,,,1.1971e-02,4.2056e-03,4.8962e-05,4.6505e-06,6.6304e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.40669e-08,,,,,,1.1971e-02,4.2055e-03,4.8964e-05,4.6456e-06,7.1037e-08,
Sam 1,2.22179e-08,1.20277e-02,4.2527e-03,4.9720e-05,4.7479e-06,6.6551e-08,,,,,,            4.7378,           11.2139,           15.4402,           21.5671,            2.6245,            1.7647,            5.2493,           -0.5235,           -0.9646,          -24.0477,
Ref 2,2.35485e-08,,,,,,1.1971e-02,4.2055e-03,4.8964e-05,4.6499e-06,6.1613e-08,,,,,,,,,,,
Sam 2,2.17090e-08,1.20276e-02,4.2525e-03,4.9719e-05,4.7517e-06,6.6949e-08,,,,,,            4.7345,           11.1892,           15.4093,           21.8629,           42.1864,            1.7621,            5.2248,           -0.5266,           -0.6267,           14.5138,
Ref 3,2.30511e-08,,,,,,1.1971e-02,4.2055e-03,4.8965e-05,4.6501e-06,6.6922e-08,,,,,,,,,,,
Sam 3,2.12230e-08,1.20275e-02,4.2526e-03,4.9716e-05,4.7434e-06,7.0858e-08,,,,,,            4.7376,           11.2138,           15.3734,           20.6485,           88.8856,            1.7645,            5.2492,           -0.5890,           -1.8628,           59.9189,
Ref 4,2.25576e-08,,,,,,1.1971e-02,4.2054e-03,4.8962e-05,4.6447e-06,6.3186e-08,,,,,,,,,,,
Sam 4,2.07479e-08,1.20274e-02,4.2526e-03,4.9715e-05,4.7464e-06,6.7663e-08,,,,,,            4.7334,           11.2041,           15.3304,           21.2602,           72.9386,            1.7604,            5.2396,           -0.6175,           -1.2454,           44.4205,
Ref 5,2.20812e-08,,,,,,1.1971e-02,4.2054e-03,4.8967e-05,4.6506e-06,6.2938e-08,,,,,,,,,,,
Sam 5,2.02838e-08,1.20276e-02,4.2526e-03,4.9704e-05,4.7488e-06,6.8268e-08,,,,,,            4.7496,           11.2129,           14.9746,           21.0623,           61.2300,            1.7773,            5.2483,           -0.9929,           -1.4563,           32.9877,
Ref 6,2.16347e-08,,,,,,1.1971e-02,4.2054e-03,4.8975e-05,4.6512e-06,6.5749e-08,,,,,,,,,,,
Sam 6,1.98427e-08,1.20275e-02,4.2526e-03,4.9716e-05,4.7537e-06,7.1876e-08,,,,,,            4.7393,           11.2282,           15.2417,           22.4830,           30.9511,            1.7657,            5.2636,           -0.7343,           -0.0972,            3.4958,
Ref 7,2.11693e-08,,,,,,1.1971e-02,4.2054e-03,4.8964e-05,4.6471e-06,7.3775e-08,,,,,,,,,,,
Sam 7,1.94055e-08,1.20274e-02,4.2526e-03,4.9714e-05,4.7542e-06,6.9294e-08,,,,,,            4.7370,           11.2309,           15.3552,           23.0671,          -14.4248,            1.7632,            5.2662,           -0.6228,            0.4687,          -40.6744,
Ref 8,2.07618e-08,,,,,,1.1971e-02,4.2053e-03,4.8960e-05,4.6469e-06,6.6774e-08,,,,,,,,,,,
Sam 8,1.90000e-08,1.20275e-02,4.2525e-03,4.9712e-05,4.7462e-06,6.9991e-08,,,,,,            4.7552,           11.2205,           15.3112,           21.5549,           60.0300,            1.7830,            5.2558,           -0.6747,           -0.9896,           31.7982,
Ref 9,2.03129e-08,,,,,,1.1971e-02,4.2053e-03,4.8966e-05,4.6453e-06,6.5265e-08,,,,,,,,,,,
Sam 9,1.85777e-08,1.20274e-02,4.2524e-03,4.9712e-05,4.7427e-06,6.4239e-08,,,,,,            4.7378,           11.1969,           15.1741,           20.7861,           80.6057,            1.7653,            5.2324,           -0.7688,           -1.6949,           51.8936,
Ref 10,1.98975e-08,,,,,,1.1971e-02,4.2053e-03,4.8971e-05,4.6470e-06,5.3507e-08,,,,,,,,,,,
Sam 10,1.81819e-08,1.20275e-02,4.2526e-03,4.9714e-05,4.7465e-06,6.0493e-08,,,,,,            4.7449,           11.2339,           15.2231,           22.3930,          110.0358,            1.7715,            5.2692,           -0.7639,           -0.1965,           80.4560,
Ref 11,1.94931e-08,,,,,,1.1971e-02,4.2053e-03,4.8965e-05,4.6379e-06,5.5507e-08,,,,,,,,,,,
Sam 11,1.77944e-08,1.20274e-02,4.2525e-03,4.9717e-05,4.7487e-06,5.8394e-08,,,,,,            4.7458,           11.2189,           15.3391,           23.0603,            3.0758,            1.7730,            5.2543,           -0.6360,            0.4857,          -23.6262,
Ref 12,1.91171e-08,,,,,,1.1971e-02,4.2054e-03,4.8967e-05,4.6454e-06,6.0977e-08,,,,,,,,,,,
Sam 12,1.74238e-08,1.20273e-02,4.2525e-03,4.9719e-05,4.7447e-06,5.7357e-08,,,,,,            4.7337,           11.2024,           15.2176,           21.8450,           -9.9324,            1.7607,            5.2378,           -0.7272,           -0.6701,          -36.2449,
Ref 13,1.87306e-08,,,,,,1.1971e-02,4.2054e-03,4.8979e-05,4.6412e-06,5.4826e-08,,,,,,,,,,,
Sam 13,1.70555e-08,1.20272e-02,4.2525e-03,4.9714e-05,4.7433e-06,5.6132e-08,,,,,,            4.7278,           11.2036,           15.1652,           21.5417,           22.3954,            1.7545,            5.2391,           -0.7740,           -0.9692,           -4.7725,
Ref 14,1.83592e-08,,,,,,1.1971e-02,4.2054e-03,4.8962e-05,4.6454e-06,5.4981e-08,,,,,,,,,,,
Sam 14,1.66997e-08,1.20272e-02,4.2525e-03,4.9706e-05,4.7441e-06,5.6205e-08,,,,,,            4.7277,           11.1908,           15.1604,           21.5977,          -18.1807,            1.7547,            5.2264,           -0.7661,           -0.8892,          -44.2465,
Ref 15,1.79969e-08,,,,,,1.1971e-02,4.2054e-03,4.8966e-05,4.6421e-06,5.9555e-08,,,,,,,,,,,
Sam 15,1.63530e-08,1.20275e-02,4.2525e-03,4.9720e-05,4.7495e-06,5.9397e-08,,,,,,            4.7535,           11.2197,           15.3816,           22.6622,           50.1628,            1.7813,            5.2550,           -0.6029,            0.0948,           22.1973,
Ref 16,1.76713e-08,,,,,,1.1971e-02,4.2053e-03,4.8968e-05,4.6463e-06,5.3509e-08,,,,,,,,,,,
Sam 16,1.60331e-08,1.20271e-02,4.2524e-03,4.9718e-05,4.7430e-06,4.3061e-08,,,,,,            4.7256,           11.2027,           15.3603,           20.8945,         -205.7126,            1.7521,            5.2382,           -0.5787,           -1.6002,         -226.8157,
Ref 17,1.73206e-08,,,,,,1.1970e-02,4.2053e-03,4.8964e-05,4.6456e-06,5.4933e-08,,,,,,,,,,,
Sam 17,1.56999e-08,1.20273e-02,4.2526e-03,4.9706e-05,4.7498e-06,5.6549e-08,,,,,,            4.7502,           11.2364,           15.1114,           22.5531,           37.5445,            1.7772,            5.2717,           -0.8817,           -0.0449,            9.8857,
Ref 18,1.69905e-08,,,,,,1.1970e-02,4.2054e-03,4.8968e-05,4.6445e-06,5.4064e-08,,,,,,,,,,,
Sam 18,1.53808e-08,1.20273e-02,4.2525e-03,4.9703e-05,4.7347e-06,4.8805e-08,,,,,,            4.7485,           11.2216,           15.0558,           19.5503,          -71.1259,            1.7758,            5.2569,           -0.9202,           -2.9521,          -95.8600,
Ref 19,1.66608e-08,,,,,,1.1971e-02,4.2053e-03,4.8965e-05,4.6433e-06,5.0991e-08,,,,,,,,,,,
Sam 19,1.50675e-08,1.20274e-02,4.2524e-03,4.9707e-05,4.7399e-06,5.3143e-08,,,,,,            4.7427,           11.1953,           15.1822,           21.1260,           64.1115,            1.7705,            5.2308,           -0.7643,           -1.3593,           35.8356,
Ref 20,1.63478e-08,,,,,,1.1971e-02,4.2055e-03,4.8962e-05,4.6403e-06,4.8871e-08,,,,,,,,,,,
Sam 20,1.47660e-08,1.20275e-02,4.2525e-03,4.9721e-05,4.7461e-06,4.6889e-08,,,,,,            4.7427,           11.1984,           15.5181,           23.2702,          -48.5812,            1.7704,            5.2339,           -0.4368,            0.7316,          -73.8682,
Ref 21,1.60380e-08,,,,,,1.1971e-02,4.2054e-03,4.8960e-05,4.6359e-06,4.9704e-08,,,,,,,,,,,


