Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 28, 2022 at 16:10 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 17:09 with Stable 1.71.5 on PS019

Data File = Data_17434 BD4-30-35_1-B.txt, Sample Weight = 533,                      Vial Location = 17,                       Initial Sam Beam = 1.6757e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7493e-08,                Max Ref Beam = 1.0598e-07,                

Analysis undertaken at mass 46.02392
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.56145e-08,,,,,,1.1972e-02,4.2053e-03,4.8922e-05,4.6414e-06,5.6224e-08,
Sam 1,6.48533e-08,1.19562e-02,4.2211e-03,4.9016e-05,4.6770e-06,5.6490e-08,,,,,,           -1.3776,            3.7017,            1.8054,            7.2339,            1.4400,           -4.4842,           -2.2131,           -0.4121,           -0.1819,           -4.3548,
Ref 2,6.44308e-08,,,,,,1.1973e-02,4.2056e-03,4.8933e-05,4.6454e-06,5.6596e-08,,,,,,,,,,,
Sam 2,6.37039e-08,1.19565e-02,4.2213e-03,4.9027e-05,4.6782e-06,5.8542e-08,,,,,,           -1.3848,            3.7122,            1.9367,            7.0687,           21.2363,           -4.4922,           -2.2027,           -0.2840,           -0.3668,           15.3139,
Ref 3,6.33180e-08,,,,,,1.1973e-02,4.2058e-03,4.8932e-05,4.6453e-06,5.8066e-08,,,,,,,,,,,
Sam 3,6.25967e-08,1.19568e-02,4.2214e-03,4.9024e-05,4.6773e-06,5.6666e-08,,,,,,           -1.3704,            3.6944,            1.8157,            6.9630,           -5.9261,           -4.4762,           -2.2204,           -0.4022,           -0.4363,          -11.6718,
Ref 4,6.22409e-08,,,,,,1.1973e-02,4.2060e-03,4.8938e-05,4.6447e-06,5.5925e-08,,,,,,,,,,,
Sam 4,6.15195e-08,1.19569e-02,4.2215e-03,4.9030e-05,4.6797e-06,5.6127e-08,,,,,,           -1.3756,            3.6896,            1.8267,            7.5262,          -18.1063,           -4.4816,           -2.2252,           -0.3810,            0.1324,          -23.7667,
Ref 5,6.11886e-08,,,,,,1.1973e-02,4.2061e-03,4.8942e-05,4.6448e-06,5.8420e-08,,,,,,,,,,,
Sam 5,6.04630e-08,1.19570e-02,4.2217e-03,4.9034e-05,4.6790e-06,5.6729e-08,,,,,,           -1.3741,            3.6969,            1.8529,            7.2800,          -13.1580,           -4.4802,           -2.2179,           -0.3637,           -0.1266,          -18.8627,
Ref 6,6.01650e-08,,,,,,1.1974e-02,4.2062e-03,4.8945e-05,4.6455e-06,5.6535e-08,,,,,,,,,,,
Sam 6,5.94389e-08,1.19570e-02,4.2217e-03,4.9035e-05,4.6778e-06,6.0600e-08,,,,,,           -1.3826,            3.6879,            1.8558,            7.0496,           81.5077,           -4.4890,           -2.2269,           -0.3431,           -0.3373,           75.2845,
Ref 7,5.91607e-08,,,,,,1.1974e-02,4.2062e-03,4.8944e-05,4.6445e-06,5.5524e-08,,,,,,,,,,,
Sam 7,5.84367e-08,1.19571e-02,4.2218e-03,4.9028e-05,4.6781e-06,5.8249e-08,,,,,,           -1.3783,            3.6813,            1.6471,            7.0590,           17.3171,           -4.4842,           -2.2334,           -0.5493,           -0.3149,           11.4716,
Ref 8,5.81690e-08,,,,,,1.1974e-02,4.2064e-03,4.8951e-05,4.6462e-06,5.9022e-08,,,,,,,,,,,
Sam 8,5.74569e-08,1.19572e-02,4.2219e-03,4.9033e-05,4.6786e-06,5.8592e-08,,,,,,           -1.3730,            3.6774,            1.6806,            6.9271,          -18.8324,           -4.4784,           -2.2373,           -0.5176,           -0.4381,          -24.4682,
Ref 9,5.72129e-08,,,,,,1.1974e-02,4.2064e-03,4.8951e-05,4.6467e-06,6.0424e-08,,,,,,,,,,,
Sam 9,5.64997e-08,1.19572e-02,4.2219e-03,4.9036e-05,4.6808e-06,6.0082e-08,,,,,,           -1.3798,            3.6906,            1.7283,            7.3444,           18.4929,           -4.4861,           -2.2242,           -0.4760,           -0.0501,           12.6238,
Ref 10,5.62696e-08,,,,,,1.1974e-02,4.2064e-03,4.8953e-05,4.6466e-06,5.7534e-08,,,,,,,,,,,
Sam 10,5.55607e-08,1.19572e-02,4.2221e-03,4.9037e-05,4.6798e-06,5.8651e-08,,,,,,           -1.3865,            3.7122,            1.7320,            7.0182,            6.6586,           -4.4940,           -2.2027,           -0.4864,           -0.4169,            0.8226,
Ref 11,5.53464e-08,,,,,,1.1974e-02,4.2065e-03,4.8952e-05,4.6478e-06,5.9004e-08,,,,,,,,,,,
Sam 11,5.46450e-08,1.19573e-02,4.2220e-03,4.9035e-05,4.6808e-06,6.1149e-08,,,,,,           -1.3832,            3.6789,            1.6991,            6.9921,           36.3142,           -4.4893,           -2.2358,           -0.4900,           -0.3765,           30.3699,
Ref 12,5.44488e-08,,,,,,1.1974e-02,4.2066e-03,4.8951e-05,4.6488e-06,5.9008e-08,,,,,,,,,,,
Sam 12,5.37501e-08,1.19572e-02,4.2220e-03,4.9043e-05,4.6751e-06,6.1116e-08,,,,,,           -1.3836,            3.6788,            1.8080,            5.8068,           28.1297,           -4.4897,           -2.2359,           -0.3809,           -1.5529,           22.2329,
Ref 13,5.35575e-08,,,,,,1.1974e-02,4.2065e-03,4.8958e-05,4.6475e-06,5.9887e-08,,,,,,,,,,,
Sam 13,5.28702e-08,1.19572e-02,4.2221e-03,4.9042e-05,4.6802e-06,6.2086e-08,,,,,,           -1.3771,            3.7018,            1.7656,            7.0080,            3.5124,           -4.4836,           -2.2130,           -0.4524,           -0.4064,           -2.2951,
Ref 14,5.26960e-08,,,,,,1.1974e-02,4.2065e-03,4.8954e-05,4.6476e-06,6.3882e-08,,,,,,,,,,,
Sam 14,5.20099e-08,1.19573e-02,4.2221e-03,4.9044e-05,4.6824e-06,6.3549e-08,,,,,,           -1.3785,            3.6940,            1.8044,            7.4000,            3.6191,           -4.4849,           -2.2208,           -0.4046,           -0.0017,           -2.1723,
Ref 15,5.18443e-08,,,,,,1.1974e-02,4.2067e-03,4.8958e-05,4.6485e-06,6.2749e-08,,,,,,,,,,,
Sam 15,5.11692e-08,1.19573e-02,4.2222e-03,4.9046e-05,4.6811e-06,6.1773e-08,,,,,,           -1.3799,            3.6925,            1.8667,            6.5770,           11.0417,           -4.4863,           -2.2223,           -0.3395,           -0.8157,            5.2119,
Ref 16,5.10153e-08,,,,,,1.1974e-02,4.2066e-03,4.8952e-05,4.6527e-06,5.9422e-08,,,,,,,,,,,
Sam 16,5.03473e-08,1.19573e-02,4.2222e-03,4.9044e-05,4.6816e-06,6.2459e-08,,,,,,           -1.3772,            3.6969,            1.8396,            6.5754,           26.6050,           -4.4836,           -2.2179,           -0.3737,           -0.8260,           20.6738,
Ref 17,5.02068e-08,,,,,,1.1974e-02,4.2067e-03,4.8956e-05,4.6493e-06,6.2281e-08,,,,,,,,,,,
Sam 17,4.95386e-08,1.19573e-02,4.2221e-03,4.9044e-05,4.6816e-06,6.0648e-08,,,,,,           -1.3830,            3.6747,            1.7421,            6.9744,          -10.5074,           -4.4890,           -2.2400,           -0.4432,           -0.3857,          -16.1753,
Ref 18,4.94047e-08,,,,,,1.1974e-02,4.2067e-03,4.8960e-05,4.6490e-06,6.0288e-08,,,,,,,,,,,
Sam 18,4.87476e-08,1.19573e-02,4.2221e-03,4.9044e-05,4.6823e-06,5.7873e-08,,,,,,           -1.3804,            3.6800,            1.7141,            7.0973,           -6.5531,           -4.4864,           -2.2347,           -0.4791,           -0.2742,          -12.2566,
Ref 19,4.86304e-08,,,,,,1.1974e-02,4.2066e-03,4.8961e-05,4.6496e-06,5.6188e-08,,,,,,,,,,,
Sam 19,4.79715e-08,1.19573e-02,4.2222e-03,4.9052e-05,4.6828e-06,5.5204e-08,,,,,,           -1.3757,            3.6875,            1.8523,            7.0334,          -40.5329,           -4.4817,           -2.2273,           -0.3533,           -0.3526,          -46.0600,
Ref 20,4.78617e-08,,,,,,1.1974e-02,4.2067e-03,4.8963e-05,4.6507e-06,5.8906e-08,,,,,,,,,,,
Sam 20,4.72089e-08,1.19573e-02,4.2222e-03,4.9054e-05,4.6820e-06,5.9444e-08,,,,,,           -1.3833,            3.6854,            1.8408,            6.7931,            2.8308,           -4.4897,           -2.2294,           -0.3548,           -0.5870,           -2.9341,
Ref 21,4.71130e-08,,,,,,1.1974e-02,4.2067e-03,4.8965e-05,4.6502e-06,5.9653e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.67414e-08,,,,,,1.1974e-02,4.2067e-03,4.8963e-05,4.6486e-06,5.7346e-08,
Sam 1,4.60914e-08,1.19573e-02,4.2223e-03,4.9053e-05,4.6826e-06,5.8120e-08,,,,,,           -1.3818,            3.7055,            1.7979,            7.0587,           -1.0705,           -4.4888,           -2.2094,           -0.4189,           -0.3633,           -6.8536,
Ref 2,4.60126e-08,,,,,,1.1974e-02,4.2067e-03,4.8968e-05,4.6510e-06,5.9031e-08,,,,,,,,,,,
Sam 2,4.53573e-08,1.19573e-02,4.2222e-03,4.9054e-05,4.6848e-06,5.9738e-08,,,,,,           -1.3715,            3.6987,            1.7832,            7.4802,            5.4253,           -4.4776,           -2.2161,           -0.4376,            0.0686,           -0.3931,
Ref 3,4.52995e-08,,,,,,1.1974e-02,4.2067e-03,4.8965e-05,4.6490e-06,5.9807e-08,,,,,,,,,,,
Sam 3,4.46486e-08,1.19570e-02,4.2221e-03,4.9055e-05,4.6834e-06,6.0170e-08,,,,,,           -1.3872,            3.6696,            1.8264,            7.1733,           -1.9106,           -4.4933,           -2.2451,           -0.3497,           -0.1781,           -7.6134,
Ref 4,4.46044e-08,,,,,,1.1974e-02,4.2067e-03,4.8966e-05,4.6510e-06,6.0771e-08,,,,,,,,,,,
Sam 4,4.39508e-08,1.19569e-02,4.2221e-03,4.9057e-05,4.6862e-06,6.2480e-08,,,,,,           -1.3884,            3.6744,            1.8479,            7.6022,           57.8543,           -4.4948,           -2.2403,           -0.3317,            0.2382,           51.8016,
Ref 5,4.39143e-08,,,,,,1.1973e-02,4.2066e-03,4.8967e-05,4.6506e-06,5.7328e-08,,,,,,,,,,,
Sam 5,4.32675e-08,1.19571e-02,4.2221e-03,4.9058e-05,4.6831e-06,5.6172e-08,,,,,,           -1.3749,            3.6794,            1.8318,            7.0499,          -13.9449,           -4.4805,           -2.2353,           -0.3667,           -0.3202,          -19.6107,
Ref 6,4.32470e-08,,,,,,1.1974e-02,4.2067e-03,4.8969e-05,4.6500e-06,5.6600e-08,,,,,,,,,,,
Sam 6,4.25963e-08,1.19569e-02,4.2221e-03,4.9057e-05,4.6833e-06,5.5521e-08,,,,,,           -1.3883,            3.6744,            1.7830,            6.8490,          -39.0307,           -4.4946,           -2.2403,           -0.3967,           -0.5095,          -44.5293,
Ref 7,4.25697e-08,,,,,,1.1974e-02,4.2067e-03,4.8969e-05,4.6530e-06,5.8971e-08,,,,,,,,,,,
Sam 7,4.19284e-08,1.19569e-02,4.2221e-03,4.9056e-05,4.6825e-06,5.6738e-08,,,,,,           -1.3770,            3.6875,            1.7545,            6.7160,          -39.4402,           -4.4830,           -2.2273,           -0.4495,           -0.6676,          -44.9724,
Ref 8,4.19302e-08,,,,,,1.1973e-02,4.2066e-03,4.8970e-05,4.6496e-06,5.9167e-08,,,,,,,,,,,
Sam 8,4.12837e-08,1.19567e-02,4.2220e-03,4.9053e-05,4.6871e-06,6.1436e-08,,,,,,           -1.3829,            3.6794,            1.7360,            7.6401,           38.9229,           -4.4891,           -2.2353,           -0.4540,            0.2657,           32.9622,
Ref 9,4.12928e-08,,,,,,1.1973e-02,4.2066e-03,4.8965e-05,4.6537e-06,5.9101e-08,,,,,,,,,,,
Sam 9,4.06523e-08,1.19566e-02,4.2220e-03,4.9055e-05,4.6811e-06,6.2205e-08,,,,,,           -1.3894,            3.6751,            1.7996,            5.9642,            0.7688,           -4.4958,           -2.2396,           -0.3796,           -1.3892,           -4.9576,
Ref 10,4.06728e-08,,,,,,1.1973e-02,4.2065e-03,4.8969e-05,4.6530e-06,6.5260e-08,,,,,,,,,,,
Sam 10,4.00388e-08,1.19567e-02,4.2220e-03,4.9059e-05,4.6854e-06,6.2908e-08,,,,,,           -1.3701,            3.6972,            1.7845,            6.8527,          -36.8087,           -4.4760,           -2.2177,           -0.4363,           -0.5513,          -42.3813,
Ref 11,4.00657e-08,,,,,,1.1973e-02,4.2065e-03,4.8975e-05,4.6540e-06,6.5365e-08,,,,,,,,,,,
Sam 11,3.94353e-08,1.19566e-02,4.2219e-03,4.9061e-05,4.6820e-06,6.5408e-08,,,,,,           -1.3733,            3.6773,            1.8173,            5.9786,          -16.3655,           -4.4788,           -2.2374,           -0.3807,           -1.3795,          -22.0149,
Ref 12,3.94690e-08,,,,,,1.1973e-02,4.2065e-03,4.8969e-05,4.6543e-06,6.7645e-08,,,,,,,,,,,
Sam 12,3.88414e-08,1.19565e-02,4.2220e-03,4.9053e-05,4.6849e-06,6.7974e-08,,,,,,           -1.3789,            3.6783,            1.7896,            6.7101,           -0.3298,           -4.4847,           -2.2364,           -0.4037,           -0.6552,           -6.0673,
Ref 13,3.88825e-08,,,,,,1.1973e-02,4.2065e-03,4.8962e-05,4.6530e-06,6.8352e-08,,,,,,,,,,,
Sam 13,3.82621e-08,1.19565e-02,4.2220e-03,4.9062e-05,4.6852e-06,7.0629e-08,,,,,,           -1.3723,            3.6907,            1.9853,            7.1355,           -4.4210,           -4.4782,           -2.2241,           -0.2272,           -0.2576,          -10.1660,
Ref 14,3.83064e-08,,,,,,1.1973e-02,4.2064e-03,4.8967e-05,4.6510e-06,7.3572e-08,,,,,,,,,,,
Sam 14,3.76918e-08,1.19564e-02,4.2218e-03,4.9059e-05,4.6870e-06,7.1242e-08,,,,,,           -1.3776,            3.6727,            1.8027,            7.6077,           -3.7480,           -4.4832,           -2.2421,           -0.3863,            0.2470,           -9.4563,
Ref 15,3.77499e-08,,,,,,1.1973e-02,4.2064e-03,4.8975e-05,4.6522e-06,6.9418e-08,,,,,,,,,,,
Sam 15,3.71346e-08,1.19562e-02,4.2218e-03,4.9059e-05,4.6871e-06,6.9263e-08,,,,,,           -1.3759,            3.6666,            1.7459,            7.5329,          -18.6289,           -4.4812,           -2.2481,           -0.4388,            0.1848,          -24.2422,
Ref 16,3.72031e-08,,,,,,1.1973e-02,4.2063e-03,4.8972e-05,4.6519e-06,7.1755e-08,,,,,,,,,,,
Sam 16,3.65754e-08,1.19561e-02,4.2218e-03,4.9059e-05,4.6870e-06,7.2952e-08,,,,,,           -1.3862,            3.6834,            1.8073,            7.7649,           -3.3369,           -4.4927,           -2.2313,           -0.3834,            0.3816,           -9.0594,
Ref 17,3.66783e-08,,,,,,1.1973e-02,4.2063e-03,4.8969e-05,4.6499e-06,7.4659e-08,,,,,,,,,,,
Sam 17,3.60550e-08,1.19561e-02,4.2217e-03,4.9061e-05,4.6852e-06,7.4447e-08,,,,,,           -1.3814,            3.6667,            1.8424,            7.3145,            6.9635,           -4.4870,           -2.2480,           -0.3369,           -0.0320,            1.2096,
Ref 18,3.61395e-08,,,,,,1.1973e-02,4.2063e-03,4.8973e-05,4.6524e-06,7.3194e-08,,,,,,,,,,,
Sam 18,3.55153e-08,1.19560e-02,4.2218e-03,4.9059e-05,4.6859e-06,7.1681e-08,,,,,,           -1.3840,            3.6840,            1.8050,            6.9427,          -24.9860,           -4.4904,           -2.2308,           -0.3885,           -0.4356,          -30.5875,
Ref 19,3.56264e-08,,,,,,1.1973e-02,4.2062e-03,4.8969e-05,4.6549e-06,7.3847e-08,,,,,,,,,,,
Sam 19,3.49969e-08,1.19560e-02,4.2217e-03,4.9053e-05,4.6853e-06,7.6345e-08,,,,,,           -1.3730,            3.6770,            1.6856,            7.0008,           26.3330,           -4.4784,           -2.2377,           -0.5122,           -0.3640,           20.4386,
Ref 20,3.51025e-08,,,,,,1.1972e-02,4.2062e-03,4.8971e-05,4.6506e-06,7.4934e-08,,,,,,,,,,,
Sam 20,3.44846e-08,1.19559e-02,4.2217e-03,4.9062e-05,4.6900e-06,7.2678e-08,,,,,,           -1.3825,            3.6824,            1.8102,            7.9871,          -43.2736,           -4.4887,           -2.2323,           -0.3834,            0.6043,          -48.7688,
Ref 21,3.46014e-08,,,,,,1.1972e-02,4.2061e-03,4.8975e-05,4.6552e-06,7.7011e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.43519e-08,,,,,,1.1972e-02,4.2062e-03,4.8973e-05,4.6559e-06,7.8341e-08,
Sam 1,3.37356e-08,1.19559e-02,4.2216e-03,4.9059e-05,4.6876e-06,7.9247e-08,,,,,,           -1.3738,            3.6812,            1.7636,            7.2069,           19.8437,           -4.4794,           -2.2336,           -0.4377,           -0.1678,           13.9791,
Ref 2,3.38620e-08,,,,,,1.1972e-02,4.2061e-03,4.8973e-05,4.6522e-06,7.7061e-08,,,,,,,,,,,
Sam 2,3.32477e-08,1.19557e-02,4.2216e-03,4.9061e-05,4.6881e-06,7.9243e-08,,,,,,           -1.3848,            3.6761,            1.7083,            7.3689,           31.3990,           -4.4909,           -2.2386,           -0.4764,            0.0032,           25.4903,
Ref 3,3.33900e-08,,,,,,1.1972e-02,4.2061e-03,4.8981e-05,4.6554e-06,7.6597e-08,,,,,,,,,,,
Sam 3,3.27720e-08,1.19556e-02,4.2215e-03,4.9065e-05,4.6920e-06,7.7239e-08,,,,,,           -1.3813,            3.6574,            1.7717,            7.7422,          -10.7417,           -4.4866,           -2.2572,           -0.3985,            0.4110,          -16.3766,
Ref 4,3.29089e-08,,,,,,1.1972e-02,4.2061e-03,4.8974e-05,4.6566e-06,7.9581e-08,,,,,,,,,,,
Sam 4,3.22976e-08,1.19555e-02,4.2215e-03,4.9059e-05,4.6897e-06,7.7599e-08,,,,,,           -1.3894,            3.6750,            1.6949,            6.9974,          -19.9767,           -4.4958,           -2.2397,           -0.4839,           -0.3633,          -25.5842,
Ref 5,3.24488e-08,,,,,,1.1972e-02,4.2060e-03,4.8978e-05,4.6576e-06,7.8775e-08,,,,,,,,,,,
Sam 5,3.18360e-08,1.19554e-02,4.2215e-03,4.9062e-05,4.6911e-06,7.7893e-08,,,,,,           -1.3832,            3.6853,            1.8079,            7.3522,          -23.2980,           -4.4895,           -2.2294,           -0.3878,           -0.0319,          -28.9126,
Ref 6,3.19933e-08,,,,,,1.1972e-02,4.2060e-03,4.8969e-05,4.6562e-06,8.0740e-08,,,,,,,,,,,
Sam 6,3.13911e-08,1.19555e-02,4.2215e-03,4.9058e-05,4.6906e-06,7.9988e-08,,,,,,           -1.3759,            3.6852,            1.7850,            7.0547,          -10.7708,           -4.4818,           -2.2296,           -0.4180,           -0.3269,          -16.4648,
Ref 7,3.15656e-08,,,,,,1.1972e-02,4.2060e-03,4.8973e-05,4.6594e-06,8.0979e-08,,,,,,,,,,,
Sam 7,3.09575e-08,1.19554e-02,4.2215e-03,4.9068e-05,4.6895e-06,8.0531e-08,,,,,,           -1.3812,            3.6827,            1.9164,            6.4897,           12.3444,           -4.4873,           -2.2320,           -0.2791,           -0.8828,            6.5279,
Ref 8,3.11204e-08,,,,,,1.1972e-02,4.2060e-03,4.8975e-05,4.6591e-06,7.8098e-08,,,,,,,,,,,
Sam 8,3.05176e-08,1.19552e-02,4.2213e-03,4.9058e-05,4.6926e-06,8.0022e-08,,,,,,           -1.3823,            3.6629,            1.7311,            7.3631,            2.6656,           -4.4878,           -2.2518,           -0.4433,            0.0238,           -3.0553,
Ref 9,3.06913e-08,,,,,,1.1972e-02,4.2059e-03,4.8972e-05,4.6575e-06,8.1544e-08,,,,,,,,,,,
Sam 9,3.00914e-08,1.19552e-02,4.2213e-03,4.9067e-05,4.6917e-06,8.5879e-08,,,,,,           -1.3702,            3.6725,            1.9695,            7.4006,           24.5164,           -4.4752,           -2.2422,           -0.2274,            0.0417,           18.6383,
Ref 10,3.02845e-08,,,,,,1.1972e-02,4.2058e-03,4.8969e-05,4.6568e-06,8.6134e-08,,,,,,,,,,,
Sam 10,2.96789e-08,1.19552e-02,4.2213e-03,4.9065e-05,4.6934e-06,8.9193e-08,,,,,,           -1.3704,            3.6813,            1.9270,            7.8349,           40.8385,           -4.4758,           -2.2335,           -0.2782,            0.4555,           34.8493,
Ref 11,2.98594e-08,,,,,,1.1972e-02,4.2059e-03,4.8972e-05,4.6571e-06,8.5247e-08,,,,,,,,,,,
Sam 11,2.92646e-08,1.19551e-02,4.2213e-03,4.9060e-05,4.6898e-06,9.1024e-08,,,,,,           -1.3701,            3.6804,            1.7169,            6.7401,           54.7651,           -4.4754,           -2.2344,           -0.4872,           -0.6296,           48.6972,
Ref 12,2.94716e-08,,,,,,1.1971e-02,4.2058e-03,4.8979e-05,4.6597e-06,8.7363e-08,,,,,,,,,,,
Sam 12,2.88643e-08,1.19550e-02,4.2213e-03,4.9061e-05,4.6953e-06,8.8347e-08,,,,,,           -1.3795,            3.6816,            1.6665,            7.6192,            5.0291,           -4.4855,           -2.2331,           -0.5290,            0.2405,           -0.7450,
Ref 13,2.90558e-08,,,,,,1.1971e-02,4.2058e-03,4.8979e-05,4.6600e-06,8.8454e-08,,,,,,,,,,,
Sam 13,2.84625e-08,1.19550e-02,4.2213e-03,4.9060e-05,4.6949e-06,8.7182e-08,,,,,,           -1.3822,            3.6749,            1.7046,            7.1039,          -33.2968,           -4.4881,           -2.2398,           -0.4817,           -0.2576,          -38.8354,
Ref 14,2.86702e-08,,,,,,1.1972e-02,4.2058e-03,4.8974e-05,4.6636e-06,9.1939e-08,,,,,,,,,,,
Sam 14,2.80783e-08,1.19550e-02,4.2213e-03,4.9063e-05,4.6954e-06,9.5514e-08,,,,,,           -1.3757,            3.6824,            1.8061,            7.4400,           18.3174,           -4.4815,           -2.2323,           -0.3944,            0.0612,           12.4613,
Ref 15,2.82824e-08,,,,,,1.1971e-02,4.2058e-03,4.8975e-05,4.6579e-06,9.5678e-08,,,,,,,,,,,
Sam 15,2.76955e-08,1.19549e-02,4.2213e-03,4.9062e-05,4.6945e-06,9.7531e-08,,,,,,           -1.3854,            3.6878,            1.7511,            7.4623,           12.0923,           -4.4919,           -2.2269,           -0.4447,            0.0725,            6.2716,
Ref 16,2.79047e-08,,,,,,1.1971e-02,4.2057e-03,4.8978e-05,4.6616e-06,9.7062e-08,,,,,,,,,,,
Sam 16,2.73206e-08,1.19548e-02,4.2212e-03,4.9060e-05,4.6903e-06,9.8666e-08,,,,,,           -1.3817,            3.6657,            1.6170,            6.6045,           10.1088,           -4.4873,           -2.2489,           -0.5606,           -0.7350,            4.3391,
Ref 17,2.75434e-08,,,,,,1.1971e-02,4.2057e-03,4.8984e-05,4.6574e-06,9.8303e-08,,,,,,,,,,,
Sam 17,2.69525e-08,1.19549e-02,4.2212e-03,4.9057e-05,4.6984e-06,9.8130e-08,,,,,,           -1.3723,            3.6839,            1.5218,            8.1662,           33.9459,           -4.4779,           -2.2309,           -0.6831,            0.7791,           27.9932,
Ref 18,2.71741e-08,,,,,,1.1971e-02,4.2057e-03,4.8981e-05,4.6633e-06,9.1466e-08,,,,,,,,,,,
Sam 18,2.65876e-08,1.19549e-02,4.2212e-03,4.9061e-05,4.6921e-06,9.3800e-08,,,,,,           -1.3726,            3.6876,            1.6651,            6.0549,            4.5089,           -4.4784,           -2.2272,           -0.5434,           -1.3240,           -1.2812,
Ref 19,2.68152e-08,,,,,,1.1971e-02,4.2057e-03,4.8979e-05,4.6643e-06,9.5318e-08,,,,,,,,,,,
Sam 19,2.62276e-08,1.19549e-02,4.2212e-03,4.9065e-05,4.6960e-06,9.4235e-08,,,,,,           -1.3764,            3.6851,            1.7110,            6.6900,            0.4154,           -4.4823,           -2.2297,           -0.4912,           -0.6886,           -5.3423,
Ref 20,2.64612e-08,,,,,,1.1971e-02,4.2057e-03,4.8984e-05,4.6653e-06,9.3059e-08,,,,,,,,,,,
Sam 20,2.58783e-08,1.19548e-02,4.2212e-03,4.9070e-05,4.6973e-06,1.0148e-07,,,,,,           -1.3774,            3.6956,            1.7376,            6.9291,           65.9222,           -4.4838,           -2.2193,           -0.4739,           -0.4722,           59.7669,
Ref 21,2.61474e-08,,,,,,1.1971e-02,4.2057e-03,4.8986e-05,4.6646e-06,9.7369e-08,,,,,,,,,,,


