Nu Stable Isotope Analysis Program
Data Collected on Tuesday, June 28, 2022 at 21:47 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, June 28, 2022 at 22:46 with Stable 1.71.5 on PS019

Data File = Data_17438 KDW-131_8-A.txt,   Sample Weight = 564,                      Vial Location = 21,                       Initial Sam Beam = 1.5629e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2492e-08,                Max Ref Beam = 1.0638e-07,                

Analysis undertaken at mass 46.02392
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.01904e-08,,,,,,1.1974e-02,4.2065e-03,4.8949e-05,4.6448e-06,5.6448e-08,
Sam 1,5.95788e-08,1.19856e-02,4.2367e-03,4.9333e-05,4.7108e-06,5.7571e-08,,,,,,            0.9877,            7.1587,            7.7782,           14.1665,           23.8936,           -2.0864,            1.2219,           -0.2897,           -0.1993,            8.5666,
Ref 2,5.91589e-08,,,,,,1.1974e-02,4.2067e-03,4.8955e-05,4.6451e-06,5.6003e-08,,,,,,,,,,,
Sam 2,5.85539e-08,1.19859e-02,4.2368e-03,4.9334e-05,4.7131e-06,5.9525e-08,,,,,,            0.9925,            7.1483,            7.7355,           14.6579,           63.6079,           -2.0810,            1.2116,           -0.3268,            0.3058,           47.7023,
Ref 3,5.81547e-08,,,,,,1.1974e-02,4.2067e-03,4.8956e-05,4.6450e-06,5.5928e-08,,,,,,,,,,,
Sam 3,5.75514e-08,1.19858e-02,4.2368e-03,4.9338e-05,4.7122e-06,5.4227e-08,,,,,,            0.9779,            7.1446,            7.8362,           14.2435,          -40.9005,           -2.0964,            1.2079,           -0.2083,           -0.0954,          -55.2217,
Ref 4,5.71834e-08,,,,,,1.1974e-02,4.2068e-03,4.8954e-05,4.6471e-06,5.7162e-08,,,,,,,,,,,
Sam 4,5.65787e-08,1.19859e-02,4.2370e-03,4.9344e-05,4.7135e-06,5.5769e-08,,,,,,            0.9826,            7.1683,            7.9367,           14.4758,           -6.4971,           -2.0922,            1.2315,           -0.1365,            0.0866,          -21.3821,
Ref 5,5.62359e-08,,,,,,1.1974e-02,4.2068e-03,4.8957e-05,4.6452e-06,5.5089e-08,,,,,,,,,,,
Sam 5,5.56309e-08,1.19860e-02,4.2369e-03,4.9340e-05,4.7118e-06,5.6048e-08,,,,,,            0.9810,            7.1442,            7.7933,           14.4170,           23.9069,           -2.0931,            1.2075,           -0.2536,            0.0765,            8.6155,
Ref 6,5.53111e-08,,,,,,1.1974e-02,4.2069e-03,4.8960e-05,4.6445e-06,5.4383e-08,,,,,,,,,,,
Sam 6,5.47015e-08,1.19861e-02,4.2371e-03,4.9339e-05,4.7135e-06,5.4921e-08,,,,,,            0.9826,            7.1499,            7.7388,           14.6367,           -4.7774,           -2.0915,            1.2132,           -0.3149,            0.2818,          -19.6530,
Ref 7,5.44052e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6465e-06,5.5999e-08,,,,,,,,,,,
Sam 7,5.37970e-08,1.19861e-02,4.2371e-03,4.9343e-05,4.7117e-06,5.7277e-08,,,,,,            0.9802,            7.1465,            7.9118,           14.1997,           17.3202,           -2.0940,            1.2098,           -0.1375,           -0.1424,            2.1235,
Ref 8,5.35184e-08,,,,,,1.1974e-02,4.2070e-03,4.8952e-05,4.6450e-06,5.6609e-08,,,,,,,,,,,
Sam 8,5.29128e-08,1.19860e-02,4.2371e-03,4.9341e-05,4.7144e-06,5.5672e-08,,,,,,            0.9739,            7.1439,            7.9033,           14.6433,           -5.4017,           -2.1005,            1.2072,           -0.1369,            0.3002,          -20.2475,
Ref 9,5.26522e-08,,,,,,1.1974e-02,4.2070e-03,4.8956e-05,4.6477e-06,5.5330e-08,,,,,,,,,,,
Sam 9,5.20478e-08,1.19860e-02,4.2371e-03,4.9344e-05,4.7137e-06,5.6869e-08,,,,,,            0.9823,            7.1490,            7.8307,           14.1978,           35.7465,           -2.0918,            1.2124,           -0.2226,           -0.1493,           20.2672,
Ref 10,5.18067e-08,,,,,,1.1974e-02,4.2070e-03,4.8964e-05,4.6478e-06,5.4476e-08,,,,,,,,,,,
Sam 10,5.12003e-08,1.19862e-02,4.2371e-03,4.9345e-05,4.7133e-06,5.6466e-08,,,,,,            0.9975,            7.1416,            7.7541,           13.8681,            9.0843,           -2.0754,            1.2049,           -0.3069,           -0.4595,           -5.9980,
Ref 11,5.09743e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6499e-06,5.7463e-08,,,,,,,,,,,
Sam 11,5.03737e-08,1.19859e-02,4.2372e-03,4.9341e-05,4.7117e-06,5.6036e-08,,,,,,            0.9746,            7.1592,            7.6509,           13.3474,           -9.4870,           -2.1003,            1.2225,           -0.4030,           -1.0079,          -24.3018,
Ref 12,5.01577e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6495e-06,5.5668e-08,,,,,,,,,,,
Sam 12,4.95595e-08,1.19861e-02,4.2372e-03,4.9348e-05,4.7129e-06,6.0388e-08,,,,,,            0.9884,            7.1552,            7.8543,           13.5722,           74.1046,           -2.0856,            1.2184,           -0.2114,           -0.7781,           58.0325,
Ref 13,4.93636e-08,,,,,,1.1974e-02,4.2071e-03,4.8960e-05,4.6500e-06,5.6785e-08,,,,,,,,,,,
Sam 13,4.87658e-08,1.19859e-02,4.2371e-03,4.9343e-05,4.7146e-06,5.7910e-08,,,,,,            0.9807,            7.1512,            7.7313,           13.9690,           16.2732,           -2.0936,            1.2145,           -0.3217,           -0.3791,            1.0824,
Ref 14,4.85817e-08,,,,,,1.1974e-02,4.2070e-03,4.8969e-05,4.6493e-06,5.7183e-08,,,,,,,,,,,
Sam 14,4.79914e-08,1.19859e-02,4.2371e-03,4.9343e-05,4.7160e-06,5.6247e-08,,,,,,            0.9895,            7.1465,            7.6228,           14.4341,          -11.8560,           -2.0840,            1.2098,           -0.4338,            0.0887,          -26.6266,
Ref 15,4.78181e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6485e-06,5.6657e-08,,,,,,,,,,,
Sam 15,4.72254e-08,1.19859e-02,4.2371e-03,4.9352e-05,4.7165e-06,5.7068e-08,,,,,,            1.0011,            7.1467,            7.7866,           14.6226,          -18.3491,           -2.0717,            1.2100,           -0.2835,            0.2742,          -33.0349,
Ref 16,4.70651e-08,,,,,,1.1974e-02,4.2070e-03,4.8972e-05,4.6485e-06,5.9637e-08,,,,,,,,,,,
Sam 16,4.64827e-08,1.19859e-02,4.2371e-03,4.9350e-05,4.7167e-06,6.0400e-08,,,,,,            0.9952,            7.1444,            7.7867,           14.6688,           12.4065,           -2.0779,            1.2077,           -0.2751,            0.3243,           -2.7288,
Ref 17,4.63403e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6484e-06,5.9683e-08,,,,,,,,,,,
Sam 17,4.57555e-08,1.19858e-02,4.2371e-03,4.9351e-05,4.7175e-06,5.6975e-08,,,,,,            0.9792,            7.1399,            7.8673,           14.7163,          -33.0451,           -2.0949,            1.2033,           -0.1742,            0.3801,          -47.4762,
Ref 18,4.56184e-08,,,,,,1.1974e-02,4.2070e-03,4.8966e-05,4.6497e-06,5.8150e-08,,,,,,,,,,,
Sam 18,4.50436e-08,1.19859e-02,4.2371e-03,4.9348e-05,4.7158e-06,6.0230e-08,,,,,,            0.9950,            7.1537,            7.8061,           13.9855,           28.9138,           -2.0785,            1.2169,           -0.2646,           -0.3678,           13.5137,
Ref 19,4.49078e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6517e-06,5.8931e-08,,,,,,,,,,,
Sam 19,4.43375e-08,1.19858e-02,4.2371e-03,4.9346e-05,4.7180e-06,6.0693e-08,,,,,,            0.9854,            7.1328,            7.7529,           13.9991,           14.1741,           -2.0880,            1.1962,           -0.2870,           -0.3128,           -0.9543,
Ref 20,4.42202e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6540e-06,6.0773e-08,,,,,,,,,,,
Sam 20,4.36307e-08,1.19856e-02,4.2371e-03,4.9351e-05,4.7163e-06,6.0992e-08,,,,,,            0.9779,            7.1541,            7.8089,           13.4398,           -7.7700,           -2.0967,            1.2174,           -0.2446,           -0.9065,          -22.6040,
Ref 21,4.35298e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6535e-06,6.2177e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.31981e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6494e-06,6.4248e-08,
Sam 1,4.26125e-08,1.19857e-02,4.2371e-03,4.9348e-05,4.7192e-06,6.3859e-08,,,,,,            0.9817,            7.1438,            7.7723,           14.6905,           -0.5080,           -2.0923,            1.2071,           -0.2747,            0.3469,          -15.4347,
Ref 2,4.25432e-08,,,,,,1.1974e-02,4.2069e-03,4.8969e-05,4.6524e-06,6.3530e-08,,,,,,,,,,,
Sam 2,4.19610e-08,1.19854e-02,4.2370e-03,4.9351e-05,4.7173e-06,6.0312e-08,,,,,,            0.9734,            7.1467,            7.7971,           13.9429,          -35.1687,           -2.1012,            1.2100,           -0.2444,           -0.3958,          -49.5748,
Ref 3,4.19029e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6526e-06,6.1475e-08,,,,,,,,,,,
Sam 3,4.13169e-08,1.19856e-02,4.2370e-03,4.9353e-05,4.7184e-06,6.2490e-08,,,,,,            0.9892,            7.1422,            7.8100,           14.1372,           -5.7583,           -2.0843,            1.2055,           -0.2435,           -0.1953,          -20.6113,
Ref 4,4.12679e-08,,,,,,1.1974e-02,4.2069e-03,4.8971e-05,4.6527e-06,6.4250e-08,,,,,,,,,,,
Sam 4,4.06807e-08,1.19853e-02,4.2370e-03,4.9350e-05,4.7193e-06,6.2601e-08,,,,,,            0.9830,            7.1725,            7.7418,           13.7896,          -19.2322,           -2.0919,            1.2357,           -0.3344,           -0.5982,          -33.9348,
Ref 5,4.06215e-08,,,,,,1.1973e-02,4.2068e-03,4.8970e-05,4.6576e-06,6.3401e-08,,,,,,,,,,,
Sam 5,4.00535e-08,1.19853e-02,4.2369e-03,4.9348e-05,4.7198e-06,6.4149e-08,,,,,,            0.9939,            7.1440,            7.6871,           13.5819,           18.4971,           -2.0793,            1.2073,           -0.3721,           -0.7464,            3.2731,
Ref 6,4.00304e-08,,,,,,1.1973e-02,4.2069e-03,4.8973e-05,4.6555e-06,6.2560e-08,,,,,,,,,,,
Sam 6,3.94449e-08,1.19852e-02,4.2369e-03,4.9350e-05,4.7195e-06,6.6526e-08,,,,,,            0.9791,            7.1386,            7.6463,           14.0415,           92.0288,           -2.0948,            1.2019,           -0.3920,           -0.2826,           75.7340,
Ref 7,3.94330e-08,,,,,,1.1974e-02,4.2069e-03,4.8978e-05,4.6528e-06,5.9254e-08,,,,,,,,,,,
Sam 7,3.88487e-08,1.19854e-02,4.2370e-03,4.9355e-05,4.7192e-06,6.0550e-08,,,,,,            0.9876,            7.1478,            7.6372,           14.2596,           10.3842,           -2.0862,            1.2112,           -0.4188,           -0.0859,           -4.7193,
Ref 8,3.88595e-08,,,,,,1.1973e-02,4.2069e-03,4.8983e-05,4.6528e-06,6.0612e-08,,,,,,,,,,,
Sam 8,3.82875e-08,1.19852e-02,4.2369e-03,4.9354e-05,4.7197e-06,6.1550e-08,,,,,,            0.9847,            7.1243,            7.6828,           14.1980,          -13.9710,           -2.0884,            1.1877,           -0.3476,           -0.0999,          -28.6628,
Ref 9,3.82901e-08,,,,,,1.1973e-02,4.2069e-03,4.8972e-05,4.6543e-06,6.4259e-08,,,,,,,,,,,
Sam 9,3.77240e-08,1.19851e-02,4.2369e-03,4.9354e-05,4.7181e-06,6.4598e-08,,,,,,            0.9789,            7.1299,            7.8334,           13.7767,           -8.6331,           -2.0948,            1.1933,           -0.1976,           -0.5264,          -23.4090,
Ref 10,3.77277e-08,,,,,,1.1973e-02,4.2069e-03,4.8969e-05,4.6537e-06,6.6075e-08,,,,,,,,,,,
Sam 10,3.71526e-08,1.19850e-02,4.2368e-03,4.9352e-05,4.7192e-06,6.4094e-08,,,,,,            0.9826,            7.1226,            7.7681,           13.9481,            3.8942,           -2.0906,            1.1860,           -0.2591,           -0.3430,          -11.0583,
Ref 11,3.71777e-08,,,,,,1.1973e-02,4.2068e-03,4.8974e-05,4.6549e-06,6.1584e-08,,,,,,,,,,,
Sam 11,3.66056e-08,1.19850e-02,4.2369e-03,4.9354e-05,4.7215e-06,6.7138e-08,,,,,,            0.9905,            7.1471,            7.6746,           14.3392,           43.7190,           -2.0831,            1.2104,           -0.3840,           -0.0061,           28.1155,
Ref 12,3.66436e-08,,,,,,1.1973e-02,4.2068e-03,4.8983e-05,4.6547e-06,6.7107e-08,,,,,,,,,,,
Sam 12,3.60708e-08,1.19850e-02,4.2367e-03,4.9363e-05,4.7203e-06,6.6438e-08,,,,,,            0.9924,            7.1276,            7.8083,           14.3395,            1.4316,           -2.0804,            1.1910,           -0.2342,            0.0330,          -13.5041,
Ref 13,3.61135e-08,,,,,,1.1973e-02,4.2068e-03,4.8978e-05,4.6524e-06,6.5567e-08,,,,,,,,,,,
Sam 13,3.55407e-08,1.19850e-02,4.2368e-03,4.9352e-05,4.7192e-06,6.5930e-08,,,,,,            0.9874,            7.1331,            7.6392,           14.0031,          -15.1188,           -2.0858,            1.1965,           -0.4023,           -0.3096,          -29.8131,
Ref 14,3.55974e-08,,,,,,1.1973e-02,4.2068e-03,4.8977e-05,4.6555e-06,6.8336e-08,,,,,,,,,,,
Sam 14,3.50259e-08,1.19849e-02,4.2368e-03,4.9348e-05,4.7220e-06,6.7705e-08,,,,,,            0.9774,            7.1293,            7.5106,           14.5074,           15.3826,           -2.0964,            1.1927,           -0.5157,            0.1952,            0.2515,
Ref 15,3.50895e-08,,,,,,1.1973e-02,4.2067e-03,4.8984e-05,4.6533e-06,6.4999e-08,,,,,,,,,,,
Sam 15,3.45045e-08,1.19847e-02,4.2367e-03,4.9359e-05,4.7204e-06,6.5018e-08,,,,,,            0.9764,            7.1291,            7.7134,           13.9926,          -31.4177,           -2.0974,            1.1926,           -0.3135,           -0.3120,          -45.8502,
Ref 16,3.45936e-08,,,,,,1.1973e-02,4.2067e-03,4.8978e-05,4.6572e-06,6.9285e-08,,,,,,,,,,,
Sam 16,3.40124e-08,1.19848e-02,4.2367e-03,4.9358e-05,4.7211e-06,6.8587e-08,,,,,,            0.9873,            7.1226,            7.7558,           13.5711,           26.3810,           -2.0855,            1.1861,           -0.2764,           -0.7147,           11.0884,
Ref 17,3.41206e-08,,,,,,1.1973e-02,4.2067e-03,4.8979e-05,4.6587e-06,6.4329e-08,,,,,,,,,,,
Sam 17,3.35296e-08,1.19847e-02,4.2367e-03,4.9362e-05,4.7187e-06,7.1095e-08,,,,,,            0.9825,            7.1260,            7.8347,           13.5820,           56.5990,           -2.0908,            1.1894,           -0.1963,           -0.7106,           40.8547,
Ref 18,3.36221e-08,,,,,,1.1973e-02,4.2067e-03,4.8976e-05,4.6522e-06,7.0287e-08,,,,,,,,,,,
Sam 18,3.30373e-08,1.19847e-02,4.2366e-03,4.9357e-05,4.7241e-06,7.2116e-08,,,,,,            0.9916,            7.1282,            7.7383,           15.0456,           10.6743,           -2.0812,            1.1916,           -0.3034,            0.7279,           -4.3996,
Ref 19,3.31378e-08,,,,,,1.1973e-02,4.2065e-03,4.8980e-05,4.6561e-06,7.2437e-08,,,,,,,,,,,
Sam 19,3.25602e-08,1.19846e-02,4.2365e-03,4.9359e-05,4.7214e-06,7.4002e-08,,,,,,            0.9835,            7.1400,            7.6879,           14.0343,           24.1767,           -2.0903,            1.2034,           -0.3566,           -0.2925,            8.8868,
Ref 20,3.26833e-08,,,,,,1.1973e-02,4.2065e-03,4.8984e-05,4.6560e-06,7.2071e-08,,,,,,,,,,,
Sam 20,3.20940e-08,1.19845e-02,4.2365e-03,4.9354e-05,4.7231e-06,7.1940e-08,,,,,,            0.9799,            7.1558,            7.6355,           14.2324,            0.4114,           -2.0946,            1.2191,           -0.4204,           -0.1286,          -14.5505,
Ref 21,3.22669e-08,,,,,,1.1973e-02,4.2064e-03,4.8976e-05,4.6576e-06,7.1749e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.20026e-08,,,,,,1.1973e-02,4.2065e-03,4.8980e-05,4.6596e-06,7.3800e-08,
Sam 1,3.14164e-08,1.19845e-02,4.2366e-03,4.9351e-05,4.7236e-06,7.2559e-08,,,,,,            0.9843,            7.1550,            7.6205,           14.2019,          -34.4765,           -2.0899,            1.2183,           -0.4389,           -0.1571,          -48.9194,
Ref 2,3.15478e-08,,,,,,1.1973e-02,4.2064e-03,4.8975e-05,4.6553e-06,7.6519e-08,,,,,,,,,,,
Sam 2,3.09683e-08,1.19844e-02,4.2365e-03,4.9353e-05,4.7244e-06,8.3869e-08,,,,,,            0.9949,            7.1576,            7.6500,           14.1929,           60.2980,           -2.0787,            1.2208,           -0.4232,           -0.1710,           44.4203,
Ref 3,3.11101e-08,,,,,,1.1972e-02,4.2063e-03,4.8980e-05,4.6614e-06,8.1716e-08,,,,,,,,,,,
Sam 3,3.05310e-08,1.19840e-02,4.2364e-03,4.9348e-05,4.7243e-06,8.3108e-08,,,,,,            0.9753,            7.1514,            7.5049,           14.1054,           27.6219,           -2.0994,            1.2148,           -0.5409,           -0.2451,           12.2668,
Ref 4,3.06813e-08,,,,,,1.1972e-02,4.2064e-03,4.8981e-05,4.6558e-06,8.0020e-08,,,,,,,,,,,
Sam 4,3.01108e-08,1.19841e-02,4.2364e-03,4.9364e-05,4.7248e-06,8.0360e-08,,,,,,            0.8041,            6.7038,            9.3069,           14.7899,          -17.6427,           -2.2661,            0.7697,            1.8614,            1.3196,          -31.2986,
Ref 5,3.11470e-08,,,,,,1.1977e-02,4.2100e-03,4.8837e-05,4.6560e-06,8.3560e-08,,,,,,,,,,,
Sam 5,2.98098e-08,1.19842e-02,4.2364e-03,4.9356e-05,4.7224e-06,8.3307e-08,,,,,,            0.8011,            6.6846,            9.1674,           13.8590,          -19.9214,           -2.2687,            0.7506,            1.7448,            0.4391,          -33.5064,
Ref 6,2.99651e-08,,,,,,1.1972e-02,4.2064e-03,4.8982e-05,4.6598e-06,8.6498e-08,,,,,,,,,,,
Sam 6,2.93877e-08,1.19840e-02,4.2363e-03,4.9359e-05,4.7222e-06,8.5526e-08,,,,,,            0.9763,            7.1188,            7.7785,           13.6833,            1.6136,           -2.0971,            1.1823,           -0.2388,           -0.5965,          -13.2912,
Ref 7,2.95689e-08,,,,,,1.1972e-02,4.2063e-03,4.8975e-05,4.6571e-06,8.4264e-08,,,,,,,,,,,
Sam 7,2.89934e-08,1.19840e-02,4.2364e-03,4.9351e-05,4.7209e-06,8.5363e-08,,,,,,            0.9881,            7.1538,            7.5869,           13.2111,           13.0329,           -2.0859,            1.2171,           -0.4750,           -1.1314,           -2.1223,
Ref 8,2.91630e-08,,,,,,1.1972e-02,4.2063e-03,4.8984e-05,4.6616e-06,8.4266e-08,,,,,,,,,,,
Sam 8,2.85934e-08,1.19839e-02,4.2363e-03,4.9359e-05,4.7247e-06,8.4888e-08,,,,,,            0.9787,            7.1049,            7.5814,           13.8117,           15.3586,           -2.0941,            1.1684,           -0.4230,           -0.4422,            0.2740,
Ref 9,2.87717e-08,,,,,,1.1972e-02,4.2065e-03,4.8991e-05,4.6591e-06,8.2932e-08,,,,,,,,,,,
Sam 9,2.81985e-08,1.19840e-02,4.2363e-03,4.9362e-05,4.7286e-06,8.2937e-08,,,,,,            0.9870,            7.1207,            7.7413,           15.1405,           -6.4445,           -2.0858,            1.1841,           -0.2885,            0.8364,          -21.2440,
Ref 10,2.83843e-08,,,,,,1.1972e-02,4.2062e-03,4.8974e-05,4.6570e-06,8.4026e-08,,,,,,,,,,,
Sam 10,2.78226e-08,1.19839e-02,4.2363e-03,4.9364e-05,4.7220e-06,8.6192e-08,,,,,,            0.9781,            7.1518,            7.8217,           13.5625,           26.0721,           -2.0963,            1.2151,           -0.2299,           -0.7810,           10.7364,
Ref 11,2.80113e-08,,,,,,1.1972e-02,4.2062e-03,4.8986e-05,4.6607e-06,8.3977e-08,,,,,,,,,,,
Sam 11,2.74394e-08,1.19838e-02,4.2362e-03,4.9355e-05,4.7280e-06,9.0360e-08,,,,,,            0.9767,            7.1344,            7.5867,           14.1822,           61.9544,           -2.0972,            1.1978,           -0.4446,           -0.1355,           46.1195,
Ref 12,2.76365e-08,,,,,,1.1972e-02,4.2062e-03,4.8979e-05,4.6632e-06,8.6216e-08,,,,,,,,,,,
Sam 12,2.70686e-08,1.19838e-02,4.2363e-03,4.9362e-05,4.7252e-06,8.7958e-08,,,,,,            0.9796,            7.1538,            7.7759,           13.5252,            2.9901,           -2.0949,            1.2171,           -0.2788,           -0.8217,          -12.0060,
Ref 13,2.72824e-08,,,,,,1.1972e-02,4.2061e-03,4.8982e-05,4.6611e-06,8.9196e-08,,,,,,,,,,,
Sam 13,2.67060e-08,1.19838e-02,4.2362e-03,4.9357e-05,4.7319e-06,8.7378e-08,,,,,,            0.9843,            7.1572,            7.6539,           14.7200,          -15.0069,           -2.0900,            1.2204,           -0.4080,            0.3494,          -29.7451,
Ref 14,2.69224e-08,,,,,,1.1972e-02,4.2061e-03,4.8983e-05,4.6654e-06,8.8217e-08,,,,,,,,,,,
Sam 14,2.63504e-08,1.19837e-02,4.2362e-03,4.9361e-05,4.7286e-06,8.7920e-08,,,,,,            0.9888,            7.1507,            7.7423,           14.0501,          -10.9967,           -2.0850,            1.2140,           -0.3186,           -0.2982,          -25.7874,
Ref 15,2.65626e-08,,,,,,1.1972e-02,4.2061e-03,4.8981e-05,4.6608e-06,8.9587e-08,,,,,,,,,,,
Sam 15,2.59944e-08,1.19837e-02,4.2361e-03,4.9363e-05,4.7268e-06,8.8863e-08,,,,,,            0.9864,            7.1370,            7.7573,           13.8028,           -7.8131,           -2.0870,            1.2004,           -0.2878,           -0.5148,          -22.6227,
Ref 16,2.62098e-08,,,,,,1.1972e-02,4.2061e-03,4.8984e-05,4.6642e-06,8.9538e-08,,,,,,,,,,,
Sam 16,2.56436e-08,1.19835e-02,4.2361e-03,4.9358e-05,4.7345e-06,8.7282e-08,,,,,,            0.9745,            7.1340,            7.6031,           15.3563,           -0.2328,           -2.0996,            1.1974,           -0.4256,            1.0228,          -15.1372,
Ref 17,2.58665e-08,,,,,,1.1972e-02,4.2061e-03,4.8987e-05,4.6616e-06,8.5036e-08,,,,,,,,,,,
Sam 17,2.53019e-08,1.19835e-02,4.2361e-03,4.9362e-05,4.7276e-06,8.8446e-08,,,,,,            0.9824,            7.1428,            7.5886,           13.4982,           52.1532,           -2.0915,            1.2061,           -0.4567,           -0.8265,           36.4412,
Ref 18,2.55300e-08,,,,,,1.1972e-02,4.2060e-03,4.8992e-05,4.6678e-06,8.3075e-08,,,,,,,,,,,
Sam 18,2.49735e-08,1.19836e-02,4.2361e-03,4.9361e-05,4.7267e-06,9.0261e-08,,,,,,            0.9844,            7.1423,            7.6209,           13.2156,           34.0246,           -2.0893,            1.2057,           -0.4264,           -1.1042,           18.5821,
Ref 19,2.51987e-08,,,,,,1.1972e-02,4.2061e-03,4.8983e-05,4.6623e-06,9.1562e-08,,,,,,,,,,,
Sam 19,2.46715e-08,1.19834e-02,4.2360e-03,4.9358e-05,4.7325e-06,9.0779e-08,,,,,,            0.9729,            7.1177,            7.6609,           14.1780,           14.9191,           -2.1008,            1.1812,           -0.3507,           -0.1065,           -0.1777,
Ref 20,2.48985e-08,,,,,,1.1972e-02,4.2060e-03,4.8983e-05,4.6704e-06,8.7301e-08,,,,,,,,,,,
Sam 20,2.43276e-08,1.19835e-02,4.2360e-03,4.9365e-05,4.7297e-06,9.3723e-08,,,,,,            0.9854,            7.1404,            7.7530,           13.0974,           32.9977,           -2.0882,            1.2038,           -0.2945,           -1.2170,           17.5732,
Ref 21,2.45681e-08,,,,,,1.1972e-02,4.2060e-03,4.8987e-05,4.6667e-06,9.4203e-08,,,,,,,,,,,


