Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 00:32 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, June 29, 2022 at 01:31 with Stable 1.71.5 on PS019

Data File = Data_17440 KDW-131_8--J-A.txt,Sample Weight = 518,                      Vial Location = 23,                       Initial Sam Beam = 1.4873e-08,            ColdFinger Status = CF,                   Min Ref Beam = 4.1110e-08,                Max Ref Beam = 1.0596e-07,                

Analysis undertaken at mass 46.02392
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.87590e-08,,,,,,1.1973e-02,4.2066e-03,4.8972e-05,4.6465e-06,5.6294e-08,
Sam 1,1.32594e-08,1.20055e-02,4.2487e-03,4.9616e-05,4.7410e-06,7.2486e-08,,,,,,            2.7036,           10.0099,           13.1275,           20.4796,          271.4585,           -0.3587,            4.0556,            0.4573,            0.3525,          243.2142,
Ref 2,3.77500e-08,,,,,,1.1973e-02,4.2066e-03,4.8974e-05,4.6451e-06,5.7746e-08,,,,,,,,,,,
Sam 2,1.29911e-08,1.20055e-02,4.2488e-03,4.9606e-05,4.7536e-06,7.3337e-08,,,,,,            2.7114,           10.0234,           12.8544,           22.6383,          249.4936,           -0.3509,            4.0690,            0.1664,            2.4418,          221.6949,
Ref 3,3.68002e-08,,,,,,1.1973e-02,4.2066e-03,4.8979e-05,4.6516e-06,5.9664e-08,,,,,,,,,,,
Sam 3,1.27327e-08,1.20055e-02,4.2488e-03,4.9607e-05,4.7534e-06,7.2957e-08,,,,,,            2.7154,           10.0428,           12.9703,           21.9424,          213.9380,           -0.3473,            4.0883,            0.2578,            1.7212,          186.8806,
Ref 4,3.58865e-08,,,,,,1.1973e-02,4.2065e-03,4.8964e-05,4.6511e-06,6.0546e-08,,,,,,,,,,,
Sam 4,1.24836e-08,1.20053e-02,4.2486e-03,4.9601e-05,4.7581e-06,8.3838e-08,,,,,,            2.7199,           10.0158,           12.9100,           23.1549,          378.3543,           -0.3415,            4.0615,            0.2199,            2.9633,          347.6964,
Ref 5,3.50016e-08,,,,,,1.1973e-02,4.2065e-03,4.8974e-05,4.6496e-06,6.1111e-08,,,,,,,,,,,
Sam 5,1.22410e-08,1.20051e-02,4.2486e-03,4.9615e-05,4.7521e-06,7.5668e-08,,,,,,            2.7146,           10.0273,           13.0987,           22.1371,          247.0561,           -0.3476,            4.0729,            0.4006,            1.9428,          219.2983,
Ref 6,3.41429e-08,,,,,,1.1972e-02,4.2064e-03,4.8974e-05,4.6487e-06,6.0233e-08,,,,,,,,,,,
Sam 6,1.20059e-08,1.20050e-02,4.2487e-03,4.9616e-05,4.7536e-06,7.3456e-08,,,,,,            2.7151,           10.0632,           13.1052,           22.1392,          225.2414,           -0.3483,            4.1086,            0.3714,            1.8738,          197.8848,
Ref 7,3.33087e-08,,,,,,1.1973e-02,4.2064e-03,4.8975e-05,4.6526e-06,5.9664e-08,,,,,,,,,,,
Sam 7,1.17839e-08,1.20051e-02,4.2488e-03,4.9598e-05,4.7584e-06,5.9348e-08,,,,,,            2.7303,           10.0888,           12.7989,           23.0734,           -5.5104,           -0.3330,            4.1341,            0.0284,            2.7384,          -27.7791,
Ref 8,3.25193e-08,,,,,,1.1972e-02,4.2062e-03,4.8967e-05,4.6496e-06,5.9689e-08,,,,,,,,,,,
Sam 8,1.15559e-08,1.20051e-02,4.2485e-03,4.9609e-05,4.7445e-06,6.7481e-08,,,,,,            2.7486,           10.0544,           13.0979,           20.0245,          148.1079,           -0.3124,            4.0998,            0.3383,           -0.1818,          122.4527,
Ref 9,3.17339e-08,,,,,,1.1972e-02,4.2062e-03,4.8968e-05,4.6532e-06,5.7841e-08,,,,,,,,,,,
Sam 9,1.13394e-08,1.20050e-02,4.2486e-03,4.9612e-05,4.7536e-06,6.4765e-08,,,,,,            2.7403,           10.0849,           13.0405,           21.8897,           86.5302,           -0.3223,            4.1302,            0.2605,            1.5860,           62.1974,
Ref 10,3.09788e-08,,,,,,1.1972e-02,4.2062e-03,4.8978e-05,4.6504e-06,6.1415e-08,,,,,,,,,,,
Sam 10,1.11243e-08,1.20050e-02,4.2485e-03,4.9615e-05,4.7558e-06,8.0692e-08,,,,,,            2.7430,           10.0569,           13.0344,           22.6379,          308.5487,           -0.3184,            4.1023,            0.2789,            2.3749,          279.3097,
Ref 11,3.02463e-08,,,,,,1.1972e-02,4.2062e-03,4.8975e-05,4.6507e-06,6.1922e-08,,,,,,,,,,,
Sam 11,1.09210e-08,1.20051e-02,4.2485e-03,4.9611e-05,4.7551e-06,7.9428e-08,,,,,,            2.7583,           10.0646,           12.9717,           22.5678,          252.8145,           -0.3024,            4.1099,            0.1939,            2.2910,          224.7828,
Ref 12,2.95411e-08,,,,,,1.1972e-02,4.2062e-03,4.8976e-05,4.6495e-06,6.4913e-08,,,,,,,,,,,
Sam 12,1.07190e-08,1.20052e-02,4.2486e-03,4.9611e-05,4.7609e-06,6.7245e-08,,,,,,            2.7742,           10.1019,           12.9960,           23.7469,           74.1489,           -0.2868,            4.1470,            0.1652,            3.3727,           50.0210,
Ref 13,2.88816e-08,,,,,,1.1972e-02,4.2061e-03,4.8973e-05,4.6515e-06,6.0241e-08,,,,,,,,,,,
Sam 13,1.05279e-08,1.20051e-02,4.2486e-03,4.9623e-05,4.7588e-06,7.7536e-08,,,,,,            2.7652,           10.0902,           13.2599,           23.1390,          259.9827,           -0.2959,            4.1354,            0.4462,            2.7999,          231.7200,
Ref 14,2.82025e-08,,,,,,1.1972e-02,4.2061e-03,4.8973e-05,4.6508e-06,6.2865e-08,,,,,,,,,,,
Sam 14,1.03358e-08,1.20053e-02,4.2486e-03,4.9619e-05,4.7565e-06,8.7229e-08,,,,,,            2.7613,           10.0669,           12.9968,           23.0715,          364.6673,           -0.2993,            4.1122,            0.2132,            2.7800,          334.1226,
Ref 15,2.75487e-08,,,,,,1.1972e-02,4.2063e-03,4.8992e-05,4.6477e-06,6.4999e-08,,,,,,,,,,,
Sam 15,1.01480e-08,1.20050e-02,4.2486e-03,4.9626e-05,4.7508e-06,8.0932e-08,,,,,,            2.7440,           10.0721,           13.0909,           21.9900,          241.3590,           -0.3178,            4.1174,            0.3189,            1.7097,          213.5842,
Ref 16,2.69297e-08,,,,,,1.1972e-02,4.2061e-03,4.8977e-05,4.6494e-06,6.5398e-08,,,,,,,,,,,
Sam 16,9.95621e-09,1.20053e-02,4.2486e-03,4.9627e-05,4.7510e-06,9.1040e-08,,,,,,            2.8044,           10.1344,           13.2806,           21.5887,          393.5496,           -0.2558,            4.1793,            0.3834,            1.1929,          362.1172,
Ref 17,2.63209e-08,,,,,,1.1972e-02,4.2060e-03,4.8976e-05,4.6518e-06,6.5260e-08,,,,,,,,,,,
Sam 17,9.82537e-09,1.20052e-02,4.2484e-03,4.9619e-05,4.7607e-06,9.5546e-08,,,,,,            2.8013,           10.0875,           13.1966,           23.4439,          399.8252,           -0.2574,            4.1326,            0.3494,            3.1041,          368.3807,
Ref 18,2.57522e-08,,,,,,1.1972e-02,4.2060e-03,4.8970e-05,4.6515e-06,7.1318e-08,,,,,,,,,,,
Sam 18,9.61618e-09,1.20051e-02,4.2485e-03,4.9618e-05,4.7645e-06,1.0144e-07,,,,,,            2.7944,           10.1083,           13.2069,           24.9087,          427.3551,           -0.2654,            4.1534,            0.3463,            4.4984,          395.2456,
Ref 19,2.51723e-08,,,,,,1.1972e-02,4.2060e-03,4.8973e-05,4.6458e-06,7.0809e-08,,,,,,,,,,,
Sam 19,9.43481e-09,1.20047e-02,4.2484e-03,4.9629e-05,4.7660e-06,1.0136e-07,,,,,,            2.7805,           10.0975,           13.4284,           25.2085,          413.2437,           -0.2798,            4.1427,            0.5898,            4.8138,          381.5010,
Ref 20,2.46021e-08,,,,,,1.1971e-02,4.2057e-03,4.8969e-05,4.6519e-06,7.2653e-08,,,,,,,,,,,
Sam 20,9.26773e-09,1.20051e-02,4.2484e-03,4.9611e-05,4.7579e-06,1.1606e-07,,,,,,            2.8327,           10.1476,           13.0884,           22.7378,          591.4882,           -0.2261,            4.1924,            0.1517,            2.2929,          555.5044,
Ref 21,2.40651e-08,,,,,,1.1971e-02,4.2058e-03,4.8971e-05,4.6524e-06,7.3197e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.37910e-08,,,,,,1.1971e-02,4.2058e-03,4.8969e-05,4.6575e-06,7.4386e-08,
Sam 1,9.02086e-09,1.20051e-02,4.2483e-03,4.9639e-05,4.7608e-06,1.1091e-07,,,,,,            2.8232,           10.1167,           13.6557,           22.6553,          446.1603,           -0.2351,            4.1617,            0.7517,            2.2733,          413.5616,
Ref 2,2.32851e-08,,,,,,1.1971e-02,4.2058e-03,4.8971e-05,4.6531e-06,7.9044e-08,,,,,,,,,,,
Sam 2,8.86261e-09,1.20048e-02,4.2485e-03,4.9608e-05,4.7632e-06,1.3298e-07,,,,,,            2.8022,           10.1703,           13.0043,           23.2813,          670.5887,           -0.2593,            4.2150,            0.0779,            2.7804,          632.7970,
Ref 3,2.27922e-08,,,,,,1.1971e-02,4.2057e-03,4.8971e-05,4.6566e-06,8.0172e-08,,,,,,,,,,,
Sam 3,8.71157e-09,1.20050e-02,4.2484e-03,4.9606e-05,4.7705e-06,1.1353e-07,,,,,,            2.8141,           10.1378,           12.8926,           24.2065,          448.3685,           -0.2455,            4.1827,           -0.0130,            3.7516,          415.6755,
Ref 4,2.23308e-08,,,,,,1.1971e-02,4.2058e-03,4.8979e-05,4.6589e-06,7.6560e-08,,,,,,,,,,,
Sam 4,8.57552e-09,1.20051e-02,4.2486e-03,4.9622e-05,4.7709e-06,1.2686e-07,,,,,,            2.8164,           10.1750,           13.1528,           24.3862,          626.6516,           -0.2443,            4.2196,            0.2054,            3.8539,          589.8155,
Ref 5,2.18926e-08,,,,,,1.1971e-02,4.2058e-03,4.8976e-05,4.6557e-06,7.9448e-08,,,,,,,,,,,
Sam 5,8.42478e-09,1.20050e-02,4.2486e-03,4.9610e-05,4.7728e-06,1.2372e-07,,,,,,            2.8162,           10.1780,           12.7643,           25.1430,          526.3150,           -0.2447,            4.2226,           -0.1808,            4.5896,          491.7427,
Ref 6,2.14159e-08,,,,,,1.1971e-02,4.2058e-03,4.8995e-05,4.6559e-06,8.2703e-08,,,,,,,,,,,
Sam 6,8.27394e-09,1.20050e-02,4.2484e-03,4.9625e-05,4.7608e-06,1.2639e-07,,,,,,            2.8124,           10.1043,           12.9577,           22.0669,          512.4936,           -0.2462,            4.1494,            0.0857,            1.7212,          478.4522,
Ref 7,2.09694e-08,,,,,,1.1971e-02,4.2059e-03,4.8985e-05,4.6602e-06,8.4438e-08,,,,,,,,,,,
Sam 7,8.13646e-09,1.20051e-02,4.2486e-03,4.9621e-05,4.7762e-06,1.4577e-07,,,,,,            2.8226,           10.1477,           12.9944,           24.8728,          713.0653,           -0.2368,            4.1925,            0.0691,            4.3849,          674.3500,
Ref 8,2.05491e-08,,,,,,1.1971e-02,4.2059e-03,4.8985e-05,4.6604e-06,8.5765e-08,,,,,,,,,,,
Sam 8,7.99421e-09,1.20049e-02,4.2484e-03,4.9641e-05,4.7662e-06,1.3662e-07,,,,,,            2.8176,           10.1237,           13.3743,           22.7225,          564.9469,           -0.2413,            4.1686,            0.4727,            2.3253,          529.6587,
Ref 9,2.01223e-08,,,,,,1.1971e-02,4.2059e-03,4.8987e-05,4.6601e-06,8.8873e-08,,,,,,,,,,,
Sam 9,7.85506e-09,1.20049e-02,4.2486e-03,4.9636e-05,4.7658e-06,1.4168e-07,,,,,,            2.8161,           10.1651,           13.3131,           22.7918,          662.1993,           -0.2443,            4.2098,            0.3736,            2.3111,          624.5899,
Ref 10,1.97107e-08,,,,,,1.1971e-02,4.2058e-03,4.8981e-05,4.6591e-06,8.1530e-08,,,,,,,,,,,
Sam 10,7.72092e-09,1.20049e-02,4.2484e-03,4.9621e-05,4.7708e-06,1.3229e-07,,,,,,            2.8091,           10.1384,           12.9767,           23.8159,          574.4718,           -0.2509,            4.1833,            0.0746,            3.3676,          538.9387,
Ref 11,1.93144e-08,,,,,,1.1971e-02,4.2057e-03,4.8991e-05,4.6605e-06,8.6563e-08,,,,,,,,,,,
Sam 11,7.59016e-09,1.20049e-02,4.2484e-03,4.9634e-05,4.7538e-06,1.4555e-07,,,,,,            2.7873,           10.1101,           13.1510,           19.7813,          663.0020,           -0.2731,            4.1551,            0.2967,           -0.5303,          625.5982,
Ref 12,1.89146e-08,,,,,,1.1972e-02,4.2061e-03,4.8989e-05,4.6627e-06,8.8497e-08,,,,,,,,,,,
Sam 12,7.46266e-09,1.20050e-02,4.2486e-03,4.9634e-05,4.7645e-06,1.2196e-07,,,,,,            2.7913,           10.1359,           13.1713,           22.1944,          389.5250,           -0.2697,            4.1808,            0.2875,            1.7835,          358.1981,
Ref 13,1.85565e-08,,,,,,1.1971e-02,4.2059e-03,4.8988e-05,4.6595e-06,8.7034e-08,,,,,,,,,,,
Sam 13,7.33788e-09,1.20050e-02,4.2484e-03,4.9643e-05,4.7491e-06,1.4972e-07,,,,,,            2.8053,           10.1123,           13.2354,           18.9307,          636.4514,           -0.2540,            4.1573,            0.3594,           -1.3684,          599.6072,
Ref 14,1.81870e-08,,,,,,1.1971e-02,4.2059e-03,4.9001e-05,4.6623e-06,9.6039e-08,,,,,,,,,,,
Sam 14,7.21545e-09,1.20051e-02,4.2484e-03,4.9631e-05,4.7911e-06,1.7186e-07,,,,,,            2.7973,           10.0972,           13.0319,           27.4184,          788.6684,           -0.2619,            4.1423,            0.1814,            6.9803,          748.4633,
Ref 15,1.78513e-08,,,,,,1.1972e-02,4.2060e-03,4.8984e-05,4.6641e-06,9.6132e-08,,,,,,,,,,,
Sam 15,7.09993e-09,1.20051e-02,4.2484e-03,4.9641e-05,4.7903e-06,1.6184e-07,,,,,,            2.8160,           10.1071,           13.2645,           27.2916,          665.2080,           -0.2425,            4.1521,            0.3823,            6.8363,          627.7146,
Ref 16,1.75104e-08,,,,,,1.1971e-02,4.2058e-03,4.8997e-05,4.6619e-06,9.8269e-08,,,,,,,,,,,
Sam 16,6.98086e-09,1.20053e-02,4.2484e-03,4.9658e-05,4.7881e-06,1.7185e-07,,,,,,            2.8618,           10.1392,           13.5194,           26.8850,          745.7501,           -0.1948,            4.1839,            0.5555,            6.3740,          706.2538,
Ref 17,1.71716e-08,,,,,,1.1971e-02,4.2058e-03,4.8994e-05,4.6636e-06,9.8614e-08,,,,,,,,,,,
Sam 17,6.86418e-09,1.20050e-02,4.2484e-03,4.9645e-05,4.7862e-06,1.6193e-07,,,,,,            2.8326,           10.1313,           13.2572,           26.2077,          614.7275,           -0.2256,            4.1762,            0.3344,            5.7258,          578.2685,
Ref 18,1.68428e-08,,,,,,1.1971e-02,4.2058e-03,4.8996e-05,4.6644e-06,1.0198e-07,,,,,,,,,,,
Sam 18,6.74947e-09,1.20050e-02,4.2482e-03,4.9650e-05,4.7615e-06,1.8021e-07,,,,,,            2.8400,           10.0971,           13.4058,           21.4069,          761.8110,           -0.2165,            4.1421,            0.5067,            1.0887,          722.1321,
Ref 19,1.65234e-08,,,,,,1.1971e-02,4.2057e-03,4.8990e-05,4.6591e-06,1.0259e-07,,,,,,,,,,,
Sam 19,6.63905e-09,1.20051e-02,4.2483e-03,4.9642e-05,4.7702e-06,1.7523e-07,,,,,,            2.8408,           10.1148,           13.3070,           23.4789,          723.1256,           -0.2163,            4.1597,            0.3912,            3.0843,          684.2584,
Ref 20,1.62120e-08,,,,,,1.1971e-02,4.2058e-03,4.8991e-05,4.6624e-06,1.0078e-07,,,,,,,,,,,
Sam 20,6.53004e-09,1.20052e-02,4.2483e-03,4.9680e-05,4.7907e-06,1.6496e-07,,,,,,            2.8210,           10.0856,           13.9050,           26.4107,          651.1288,           -0.2363,            4.1306,            1.0304,            6.0159,          614.0115,
Ref 21,1.58904e-08,,,,,,1.1972e-02,4.2060e-03,4.9007e-05,4.6725e-06,9.9015e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.57477e-08,,,,,,1.1971e-02,4.2057e-03,4.9004e-05,4.6707e-06,9.5212e-08,
Sam 1,6.37667e-09,1.20050e-02,4.2484e-03,4.9642e-05,4.7779e-06,1.5235e-07,,,,,,            2.8266,           10.1224,           13.0515,           23.2161,          608.9364,           -0.2317,            4.1673,            0.1461,            2.8115,          572.6453,
Ref 2,1.54788e-08,,,,,,1.1971e-02,4.2058e-03,4.9001e-05,4.6682e-06,9.4162e-08,,,,,,,,,,,
Sam 2,6.26898e-09,1.20048e-02,4.2484e-03,4.9669e-05,4.7792e-06,1.4958e-07,,,,,,            2.8074,           10.1158,           13.6669,           23.6030,          537.2404,           -0.2519,            4.1608,            0.7798,            3.2039,          502.6165,
Ref 3,1.51869e-08,,,,,,1.1971e-02,4.2058e-03,4.8998e-05,4.6697e-06,1.0050e-07,,,,,,,,,,,
Sam 3,6.16566e-09,1.20052e-02,4.2484e-03,4.9674e-05,4.8010e-06,1.5275e-07,,,,,,            2.8273,           10.1387,           13.7616,           28.8930,          547.8411,           -0.2315,            4.1836,            0.8305,            8.3427,          512.8789,
Ref 4,1.49057e-08,,,,,,1.1971e-02,4.2058e-03,4.9000e-05,4.6627e-06,9.6835e-08,,,,,,,,,,,
Sam 4,6.07221e-09,1.20049e-02,4.2484e-03,4.9675e-05,4.7871e-06,1.4618e-07,,,,,,            2.8115,           10.1254,           13.7505,           26.7327,          573.0985,           -0.2479,            4.1703,            0.8489,            6.2522,          537.6316,
Ref 5,1.46532e-08,,,,,,1.1971e-02,4.2058e-03,4.9002e-05,4.6622e-06,8.8948e-08,,,,,,,,,,,
Sam 5,5.97376e-09,1.20048e-02,4.2484e-03,4.9667e-05,4.7926e-06,1.5404e-07,,,,,,            2.7905,           10.1099,           13.4445,           27.9940,          735.6696,           -0.2697,            4.1549,            0.5834,            7.5192,          696.6262,
Ref 6,1.43709e-08,,,,,,1.1972e-02,4.2060e-03,4.9014e-05,4.6620e-06,8.8543e-08,,,,,,,,,,,
Sam 6,5.87589e-09,1.20050e-02,4.2484e-03,4.9670e-05,4.7975e-06,1.3256e-07,,,,,,            2.8068,           10.1045,           13.5717,           29.0950,          481.5306,           -0.2522,            4.1495,            0.6975,            8.6090,          448.1944,
Ref 7,1.41151e-08,,,,,,1.1971e-02,4.2057e-03,4.8996e-05,4.6617e-06,9.0426e-08,,,,,,,,,,,
Sam 7,5.77912e-09,1.20051e-02,4.2485e-03,4.9671e-05,4.7916e-06,1.3784e-07,,,,,,            2.8302,           10.1491,           13.6603,           27.6922,          570.8300,           -0.2288,            4.1938,            0.7175,            7.1453,          535.3129,
Ref 8,1.38586e-08,,,,,,1.1971e-02,4.2058e-03,4.9008e-05,4.6633e-06,8.5029e-08,,,,,,,,,,,
Sam 8,5.68687e-09,1.20047e-02,4.2483e-03,4.9665e-05,4.7767e-06,1.4543e-07,,,,,,            2.7962,           10.1139,           13.4923,           23.9946,          725.4204,           -0.2637,            4.1589,            0.6207,            3.5914,          686.5840,
Ref 9,1.36050e-08,,,,,,1.1971e-02,4.2057e-03,4.8999e-05,4.6663e-06,8.3525e-08,,,,,,,,,,,
Sam 9,5.59521e-09,1.20048e-02,4.2483e-03,4.9658e-05,4.7971e-06,1.2371e-07,,,,,,            2.8124,           10.1107,           13.4261,           27.7446,          381.9152,           -0.2464,            4.1557,            0.5419,            7.2731,          350.7960,
Ref 10,1.33625e-08,,,,,,1.1971e-02,4.2059e-03,4.9001e-05,4.6689e-06,9.5626e-08,,,,,,,,,,,
Sam 10,5.50796e-09,1.20049e-02,4.2483e-03,4.9651e-05,4.7961e-06,1.2129e-07,,,,,,            2.8064,           10.1000,           13.3372,           27.3515,          357.6811,           -0.2523,            4.1450,            0.4707,            6.9092,          327.1437,
Ref 11,1.31571e-08,,,,,,1.1971e-02,4.2057e-03,4.8994e-05,4.6679e-06,8.2944e-08,,,,,,,,,,,
Sam 11,5.42839e-09,1.20051e-02,4.2482e-03,4.9681e-05,4.8069e-06,1.5551e-07,,,,,,            2.8252,           10.0836,           13.8887,           30.6900,          912.3566,           -0.2319,            4.1287,            1.0119,           10.2140,          869.3656,
Ref 12,1.29175e-08,,,,,,1.1971e-02,4.2058e-03,4.9006e-05,4.6596e-06,7.9665e-08,,,,,,,,,,,
Sam 12,5.34101e-09,1.20048e-02,4.2482e-03,4.9665e-05,4.7994e-06,1.2176e-07,,,,,,            2.8178,           10.0877,           13.4274,           29.4269,          515.9658,           -0.2399,            4.1328,            0.5601,            8.9679,          481.8859,
Ref 13,1.26819e-08,,,,,,1.1971e-02,4.2058e-03,4.9008e-05,4.6650e-06,8.0990e-08,,,,,,,,,,,
Sam 13,5.25600e-09,1.20050e-02,4.2482e-03,4.9683e-05,4.7943e-06,1.0849e-07,,,,,,            2.8270,           10.0876,           13.8012,           26.9230,          310.8581,           -0.2300,            4.1326,            0.9197,            6.5140,          281.3769,
Ref 14,1.24642e-08,,,,,,1.1971e-02,4.2057e-03,4.9005e-05,4.6724e-06,8.4572e-08,,,,,,,,,,,
Sam 14,5.17329e-09,1.20049e-02,4.2483e-03,4.9645e-05,4.7780e-06,1.3632e-07,,,,,,            2.8282,           10.1250,           12.9140,           22.8633,          583.7414,           -0.2300,            4.1699,            0.0061,            2.4606,          548.0081,
Ref 15,1.22482e-08,,,,,,1.1971e-02,4.2057e-03,4.9019e-05,4.6701e-06,8.7610e-08,,,,,,,,,,,
Sam 15,5.09125e-09,1.20052e-02,4.2483e-03,4.9681e-05,4.7916e-06,1.5499e-07,,,,,,            2.8610,           10.1447,           13.6361,           26.8550,          702.9400,           -0.1958,            4.1894,            0.6661,            6.3335,          664.3957,
Ref 16,1.20390e-08,,,,,,1.1971e-02,4.2056e-03,4.9005e-05,4.6625e-06,9.4480e-08,,,,,,,,,,,
Sam 16,5.01448e-09,1.20048e-02,4.2482e-03,4.9692e-05,4.7776e-06,1.6025e-07,,,,,,            2.8161,           10.1090,           14.0368,           24.6715,          648.9485,           -0.2424,            4.1539,            1.1428,            4.2647,          611.8151,
Ref 17,1.18340e-08,,,,,,1.1971e-02,4.2057e-03,4.9002e-05,4.6626e-06,9.9939e-08,,,,,,,,,,,
Sam 17,4.93611e-09,1.20050e-02,4.2480e-03,4.9643e-05,4.7873e-06,1.5251e-07,,,,,,            2.8272,           10.0587,           13.0037,           27.0469,          556.2886,           -0.2288,            4.1039,            0.1603,            6.6930,          521.3727,
Ref 18,1.16317e-08,,,,,,1.1971e-02,4.2058e-03,4.9008e-05,4.6598e-06,9.6020e-08,,,,,,,,,,,
Sam 18,4.85904e-09,1.20050e-02,4.2480e-03,4.9642e-05,4.7778e-06,1.5982e-07,,,,,,            2.8256,           10.0550,           13.0824,           23.6701,          543.6530,           -0.2304,            4.1002,            0.2433,            3.3905,          509.0343,
Ref 19,1.14351e-08,,,,,,1.1971e-02,4.2057e-03,4.8994e-05,4.6750e-06,1.1118e-07,,,,,,,,,,,
Sam 19,4.78821e-09,1.20051e-02,4.2481e-03,4.9680e-05,4.7730e-06,1.4546e-07,,,,,,            2.8482,           10.0864,           13.7666,           22.2234,          423.6975,           -0.2075,            4.1314,            0.8650,            1.9101,          391.6504,
Ref 20,1.12507e-08,,,,,,1.1971e-02,4.2057e-03,4.9016e-05,4.6633e-06,9.3009e-08,,,,,,,,,,,
Sam 20,4.71275e-09,1.20050e-02,4.2482e-03,4.9664e-05,4.7895e-06,1.4885e-07,,,,,,            2.8346,           10.1016,           13.4210,           27.2963,          598.8869,           -0.2224,            4.1465,            0.5230,            6.8520,          562.8727,
Ref 21,1.10570e-08,,,,,,1.1971e-02,4.2057e-03,4.8995e-05,4.6611e-06,9.3183e-08,,,,,,,,,,,


