Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 11:27 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, June 29, 2022 at 12:26 with Stable 1.71.5 on PS019

Data File = Data_17447 ETH-2.txt,         Sample Weight = 474,                      Vial Location = 30,                       Initial Sam Beam = 1.7100e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7599e-08,                Max Ref Beam = 1.0627e-07,                

Analysis undertaken at mass 46.02639
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.65603e-08,,,,,,1.1973e-02,4.2056e-03,4.8931e-05,4.6412e-06,5.4528e-08,
Sam 1,6.58915e-08,1.18880e-02,4.1835e-03,4.8295e-05,4.5928e-06,5.5000e-08,,,,,,           -7.0961,           -5.3124,          -13.1423,          -10.9177,           14.8068,          -10.2574,          -11.1711,           -0.6480,           -0.3247,           33.2912,
Ref 2,6.53397e-08,,,,,,1.1973e-02,4.2060e-03,4.8944e-05,4.6459e-06,5.3861e-08,,,,,,,,,,,
Sam 2,6.47306e-08,1.18883e-02,4.1837e-03,4.8297e-05,4.5955e-06,5.5017e-08,,,,,,           -7.1045,           -5.3084,          -13.2219,          -10.6264,           10.8177,          -10.2666,          -11.1671,           -0.7238,           -0.0383,           29.2305,
Ref 3,6.42310e-08,,,,,,1.1973e-02,4.2061e-03,4.8944e-05,4.6437e-06,5.5005e-08,,,,,,,,,,,
Sam 3,6.36058e-08,1.18885e-02,4.1838e-03,4.8301e-05,4.5942e-06,5.3358e-08,,,,,,           -7.1062,           -5.3079,          -13.1506,          -10.6281,            3.2597,          -10.2683,          -11.1666,           -0.6503,           -0.0410,           21.5357,
Ref 4,6.31398e-08,,,,,,1.1974e-02,4.2062e-03,4.8946e-05,4.6434e-06,5.1333e-08,,,,,,,,,,,
Sam 4,6.25184e-08,1.18887e-02,4.1840e-03,4.8303e-05,4.5950e-06,5.3234e-08,,,,,,           -7.1043,           -5.3086,          -13.1711,          -10.8619,            4.8753,          -10.2663,          -11.1674,           -0.6723,           -0.2758,           23.1802,
Ref 5,6.20812e-08,,,,,,1.1974e-02,4.2064e-03,4.8949e-05,4.6477e-06,5.4646e-08,,,,,,,,,,,
Sam 5,6.14640e-08,1.18890e-02,4.1842e-03,4.8304e-05,4.5932e-06,5.4208e-08,,,,,,           -7.1026,           -5.3002,          -13.1682,          -11.6930,          -14.7759,          -10.2648,          -11.1590,           -0.6794,           -1.1326,            3.1527,
Ref 6,6.10419e-08,,,,,,1.1974e-02,4.2065e-03,4.8949e-05,4.6473e-06,5.5403e-08,,,,,,,,,,,
Sam 6,6.04247e-08,1.18889e-02,4.1842e-03,4.8308e-05,4.5958e-06,5.1429e-08,,,,,,           -7.1133,           -5.3107,          -13.1520,          -10.7353,          -71.7179,          -10.2758,          -11.1694,           -0.6416,           -0.1436,          -54.7952,
Ref 7,6.00161e-08,,,,,,1.1974e-02,4.2066e-03,4.8954e-05,4.6439e-06,5.5403e-08,,,,,,,,,,,
Sam 7,5.94076e-08,1.18890e-02,4.1843e-03,4.8305e-05,4.5968e-06,5.6476e-08,,,,,,           -7.1125,           -5.3034,          -13.2275,          -10.2195,            7.3140,          -10.2752,          -11.1622,           -0.7261,            0.3629,           25.6617,
Ref 8,5.90142e-08,,,,,,1.1974e-02,4.2066e-03,4.8951e-05,4.6447e-06,5.6740e-08,,,,,,,,,,,
Sam 8,5.84167e-08,1.18891e-02,4.1843e-03,4.8309e-05,4.5956e-06,5.6558e-08,,,,,,           -7.1021,           -5.3077,          -13.1795,          -11.1645,           -1.6372,          -10.2640,          -11.1665,           -0.6840,           -0.5835,           16.5449,
Ref 9,5.80320e-08,,,,,,1.1974e-02,4.2067e-03,4.8957e-05,4.6502e-06,5.6560e-08,,,,,,,,,,,
Sam 9,5.74419e-08,1.18891e-02,4.1844e-03,4.8313e-05,4.5979e-06,5.6195e-08,,,,,,           -7.1064,           -5.3146,          -13.0894,          -10.9513,           -4.5497,          -10.2683,          -11.1734,           -0.5815,           -0.3542,           13.5978,
Ref 10,5.70800e-08,,,,,,1.1974e-02,4.2068e-03,4.8950e-05,4.6473e-06,5.6342e-08,,,,,,,,,,,
Sam 10,5.65054e-08,1.18893e-02,4.1846e-03,4.8311e-05,4.5961e-06,5.7313e-08,,,,,,           -7.0936,           -5.2944,          -13.1289,          -11.2126,           15.6486,          -10.2554,          -11.1533,           -0.6547,           -0.6588,           34.1088,
Ref 11,5.61496e-08,,,,,,1.1974e-02,4.2069e-03,4.8956e-05,4.6492e-06,5.6520e-08,,,,,,,,,,,
Sam 11,5.55730e-08,1.18893e-02,4.1845e-03,4.8313e-05,4.5979e-06,5.6656e-08,,,,,,           -7.0988,           -5.3218,          -13.1353,          -10.9047,           -7.0102,          -10.2600,          -11.1806,           -0.6286,           -0.2925,           11.0987,
Ref 12,5.52295e-08,,,,,,1.1974e-02,4.2069e-03,4.8956e-05,4.6479e-06,5.7601e-08,,,,,,,,,,,
Sam 12,5.46647e-08,1.18892e-02,4.1845e-03,4.8317e-05,4.5983e-06,5.6057e-08,,,,,,           -7.1134,           -5.3160,          -13.1156,          -10.5221,          -22.7068,          -10.2757,          -11.1747,           -0.5995,            0.0824,           -4.8801,
Ref 13,5.43297e-08,,,,,,1.1974e-02,4.2069e-03,4.8962e-05,4.6465e-06,5.7114e-08,,,,,,,,,,,
Sam 13,5.37418e-08,1.18892e-02,4.1847e-03,4.8325e-05,4.5983e-06,5.9342e-08,,,,,,           -7.1112,           -5.2740,          -13.0201,          -10.6386,           13.6255,          -10.2748,          -11.1329,           -0.5464,           -0.1197,           32.0267,
Ref 14,5.34424e-08,,,,,,1.1974e-02,4.2069e-03,4.8964e-05,4.6490e-06,5.9999e-08,,,,,,,,,,,
Sam 14,5.28942e-08,1.18891e-02,4.1846e-03,4.8321e-05,4.5968e-06,5.8200e-08,,,,,,           -7.1161,           -5.3069,          -13.1394,          -11.1437,          -39.4915,          -10.2789,          -11.1656,           -0.6297,           -0.5641,          -21.9858,
Ref 15,5.25802e-08,,,,,,1.1974e-02,4.2069e-03,4.8964e-05,4.6482e-06,6.1197e-08,,,,,,,,,,,
Sam 15,5.20426e-08,1.18892e-02,4.1846e-03,4.8317e-05,4.5989e-06,5.8888e-08,,,,,,           -7.1090,           -5.3051,          -13.2320,          -10.8711,          -35.0667,          -10.2714,          -11.1639,           -0.7326,           -0.2921,          -17.4913,
Ref 16,5.17343e-08,,,,,,1.1974e-02,4.2069e-03,4.8966e-05,4.6507e-06,6.0857e-08,,,,,,,,,,,
Sam 16,5.12069e-08,1.18890e-02,4.1846e-03,4.8320e-05,4.5991e-06,5.7569e-08,,,,,,           -7.1166,           -5.3046,          -13.1523,          -11.0409,          -54.2353,          -10.2796,          -11.1634,           -0.6444,           -0.4647,          -37.0020,
Ref 17,5.09094e-08,,,,,,1.1974e-02,4.2068e-03,4.8962e-05,4.6501e-06,6.0884e-08,,,,,,,,,,,
Sam 17,5.03866e-08,1.18891e-02,4.1846e-03,4.8317e-05,4.6002e-06,6.0951e-08,,,,,,           -7.1072,           -5.2881,          -13.1843,          -10.8763,           -5.6891,          -10.2702,          -11.1470,           -0.7029,           -0.3316,           12.3856,
Ref 18,5.00986e-08,,,,,,1.1974e-02,4.2069e-03,4.8964e-05,4.6515e-06,6.1723e-08,,,,,,,,,,,
Sam 18,4.95854e-08,1.18891e-02,4.1846e-03,4.8321e-05,4.5995e-06,6.0757e-08,,,,,,           -7.1064,           -5.3044,          -13.1340,          -11.1142,            8.1176,          -10.2687,          -11.1632,           -0.6366,           -0.5392,           26.4754,
Ref 19,4.93047e-08,,,,,,1.1974e-02,4.2069e-03,4.8964e-05,4.6508e-06,5.8789e-08,,,,,,,,,,,
Sam 19,4.87984e-08,1.18890e-02,4.1846e-03,4.8327e-05,4.6014e-06,5.8084e-08,,,,,,           -7.1086,           -5.2933,          -13.0342,          -10.5559,          -33.8023,          -10.2714,          -11.1522,           -0.5443,            0.0027,          -16.2271,
Ref 20,4.85209e-08,,,,,,1.1974e-02,4.2069e-03,4.8966e-05,4.6502e-06,6.1463e-08,,,,,,,,,,,
Sam 20,4.80144e-08,1.18889e-02,4.1846e-03,4.8323e-05,4.5992e-06,6.0540e-08,,,,,,           -7.1200,           -5.3080,          -13.1112,          -11.1439,          -19.4499,          -10.2830,          -11.1667,           -0.5960,           -0.5621,           -1.5727,
Ref 21,4.77661e-08,,,,,,1.1974e-02,4.2070e-03,4.8964e-05,4.6519e-06,6.2023e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.73957e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6501e-06,5.8026e-08,
Sam 1,4.68900e-08,1.18889e-02,4.1846e-03,4.8318e-05,4.6015e-06,5.8228e-08,,,,,,           -7.1225,           -5.3275,          -13.2942,          -10.5107,          -18.9360,          -10.2851,          -11.1862,           -0.7593,            0.1172,           -1.0080,
Ref 2,4.66543e-08,,,,,,1.1974e-02,4.2069e-03,4.8972e-05,4.6505e-06,6.0699e-08,,,,,,,,,,,
Sam 2,4.61536e-08,1.18889e-02,4.1846e-03,4.8320e-05,4.6006e-06,5.9730e-08,,,,,,           -7.1144,           -5.2849,          -13.2851,          -10.6090,          -55.1005,          -10.2779,          -11.1438,           -0.8007,           -0.0679,          -37.9227,
Ref 3,4.59302e-08,,,,,,1.1974e-02,4.2069e-03,4.8970e-05,4.6493e-06,6.5768e-08,,,,,,,,,,,
Sam 3,4.54308e-08,1.18889e-02,4.1846e-03,4.8326e-05,4.6021e-06,6.2173e-08,,,,,,           -7.0980,           -5.2866,          -13.1190,          -10.2554,          -28.0525,          -10.2604,          -11.1455,           -0.6477,            0.2930,          -10.3970,
Ref 4,4.52228e-08,,,,,,1.1974e-02,4.2068e-03,4.8968e-05,4.6503e-06,6.2138e-08,,,,,,,,,,,
Sam 4,4.47276e-08,1.18886e-02,4.1845e-03,4.8328e-05,4.6021e-06,6.0216e-08,,,,,,           -7.1247,           -5.3018,          -13.1257,          -10.5551,          -29.9860,          -10.2883,          -11.1606,           -0.6119,            0.0206,          -12.3078,
Ref 5,4.45256e-08,,,,,,1.1974e-02,4.2069e-03,4.8974e-05,4.6521e-06,6.2015e-08,,,,,,,,,,,
Sam 5,4.40272e-08,1.18889e-02,4.1846e-03,4.8330e-05,4.6016e-06,6.2940e-08,,,,,,           -7.1051,           -5.2954,          -13.1216,          -10.9495,          -16.1323,          -10.2676,          -11.1542,           -0.6345,           -0.3909,            1.7645,
Ref 6,4.38301e-08,,,,,,1.1974e-02,4.2069e-03,4.8971e-05,4.6531e-06,6.5961e-08,,,,,,,,,,,
Sam 6,4.33372e-08,1.18887e-02,4.1845e-03,4.8327e-05,4.6041e-06,6.0184e-08,,,,,,           -7.1074,           -5.3084,          -13.2604,          -10.8068,          -70.8484,          -10.2696,          -11.1672,           -0.7597,           -0.2205,          -53.9201,
Ref 7,4.31663e-08,,,,,,1.1974e-02,4.2068e-03,4.8983e-05,4.6557e-06,6.3566e-08,,,,,,,,,,,
Sam 7,4.26691e-08,1.18887e-02,4.1845e-03,4.8327e-05,4.6073e-06,6.1281e-08,,,,,,           -7.1027,           -5.3093,          -13.2560,          -10.4200,          -25.2247,          -10.2646,          -11.1681,           -0.7591,            0.1723,           -7.4683,
Ref 8,4.25109e-08,,,,,,1.1974e-02,4.2068e-03,4.8970e-05,4.6559e-06,6.2157e-08,,,,,,,,,,,
Sam 8,4.20152e-08,1.18887e-02,4.1845e-03,4.8329e-05,4.6066e-06,6.1643e-08,,,,,,           -7.1015,           -5.2986,          -13.1412,          -10.5516,          -16.5606,          -10.2637,          -11.1574,           -0.6549,            0.0176,            1.3310,
Ref 9,4.18425e-08,,,,,,1.1974e-02,4.2068e-03,4.8975e-05,4.6557e-06,6.3214e-08,,,,,,,,,,,
Sam 9,4.13660e-08,1.18886e-02,4.1845e-03,4.8328e-05,4.6031e-06,6.6505e-08,,,,,,           -7.1028,           -5.2862,          -13.2565,          -10.5844,           33.0076,          -10.2655,          -11.1450,           -0.7826,           -0.0405,           51.7765,
Ref 10,4.12318e-08,,,,,,1.1974e-02,4.2068e-03,4.8980e-05,4.6489e-06,6.5564e-08,,,,,,,,,,,
Sam 10,4.07489e-08,1.18883e-02,4.1844e-03,4.8334e-05,4.6047e-06,6.5217e-08,,,,,,           -7.1216,           -5.3081,          -13.1992,          -10.1958,           19.2625,          -10.2848,          -11.1669,           -0.6833,            0.3964,           37.8477,
Ref 11,4.06202e-08,,,,,,1.1974e-02,4.2067e-03,4.8981e-05,4.6555e-06,6.2382e-08,,,,,,,,,,,
Sam 11,4.01355e-08,1.18884e-02,4.1844e-03,4.8329e-05,4.6041e-06,6.5412e-08,,,,,,           -7.1087,           -5.2969,          -13.2841,          -10.8704,           39.8951,          -10.2714,          -11.1557,           -0.7937,           -0.3079,           58.8184,
Ref 12,4.00162e-08,,,,,,1.1974e-02,4.2067e-03,4.8978e-05,4.6539e-06,6.3431e-08,,,,,,,,,,,
Sam 12,3.95323e-08,1.18885e-02,4.1845e-03,4.8330e-05,4.6056e-06,6.4954e-08,,,,,,           -7.1014,           -5.2861,          -13.2439,          -10.3368,           23.5626,          -10.2640,          -11.1450,           -0.7713,            0.2096,           42.1582,
Ref 13,3.94319e-08,,,,,,1.1973e-02,4.2067e-03,4.8980e-05,4.6534e-06,6.3487e-08,,,,,,,,,,,
Sam 13,3.89429e-08,1.18883e-02,4.1843e-03,4.8334e-05,4.6022e-06,6.2589e-08,,,,,,           -7.1162,           -5.3206,          -13.1469,          -11.0757,          -56.7848,          -10.2785,          -11.1793,           -0.6236,           -0.4678,          -39.5681,
Ref 14,3.88386e-08,,,,,,1.1973e-02,4.2067e-03,4.8975e-05,4.6541e-06,6.9272e-08,,,,,,,,,,,
Sam 14,3.83636e-08,1.18882e-02,4.1843e-03,4.8337e-05,4.6088e-06,6.5301e-08,,,,,,           -7.1126,           -5.3227,          -13.0337,           -9.9152,          -40.6188,          -10.2747,          -11.1814,           -0.5105,            0.7093,          -23.1066,
Ref 15,3.82715e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6560e-06,6.6841e-08,,,,,,,,,,,
Sam 15,3.77957e-08,1.18881e-02,4.1843e-03,4.8333e-05,4.6063e-06,6.5033e-08,,,,,,           -7.1133,           -5.3112,          -13.1693,          -10.4460,           10.0784,          -10.2758,          -11.1699,           -0.6586,            0.1496,           28.4931,
Ref 16,3.77124e-08,,,,,,1.1973e-02,4.2066e-03,4.8978e-05,4.6539e-06,6.1891e-08,,,,,,,,,,,
Sam 16,3.72360e-08,1.18880e-02,4.1843e-03,4.8336e-05,4.6052e-06,5.6776e-08,,,,,,           -7.1156,           -5.3142,          -13.0493,          -10.6977,          -68.8720,          -10.2781,          -11.1729,           -0.5317,           -0.0986,          -51.8885,
Ref 17,3.71701e-08,,,,,,1.1973e-02,4.2066e-03,4.8972e-05,4.6561e-06,6.0047e-08,,,,,,,,,,,
Sam 17,3.66822e-08,1.18880e-02,4.1844e-03,4.8339e-05,4.6062e-06,6.3210e-08,,,,,,           -7.1071,           -5.2782,          -12.9825,          -10.3940,            2.9879,          -10.2704,          -11.1371,           -0.5084,            0.1360,           21.2001,
Ref 18,3.66262e-08,,,,,,1.1973e-02,4.2065e-03,4.8977e-05,4.6530e-06,6.6041e-08,,,,,,,,,,,
Sam 18,3.61419e-08,1.18881e-02,4.1842e-03,4.8334e-05,4.6049e-06,6.6327e-08,,,,,,           -7.0958,           -5.2918,          -13.1835,          -10.8085,            1.3824,          -10.2579,          -11.1507,           -0.7102,           -0.2556,           19.5806,
Ref 19,3.60949e-08,,,,,,1.1973e-02,4.2065e-03,4.8983e-05,4.6575e-06,6.6433e-08,,,,,,,,,,,
Sam 19,3.56150e-08,1.18881e-02,4.1843e-03,4.8334e-05,4.6053e-06,6.5305e-08,,,,,,           -7.0959,           -5.2838,          -13.1819,          -10.9648,          -30.8080,          -10.2583,          -11.1427,           -0.7164,           -0.4297,          -13.2103,
Ref 20,3.55784e-08,,,,,,1.1973e-02,4.2065e-03,4.8975e-05,4.6552e-06,6.8342e-08,,,,,,,,,,,
Sam 20,3.50899e-08,1.18878e-02,4.1843e-03,4.8334e-05,4.6063e-06,6.8866e-08,,,,,,           -7.1114,           -5.2786,          -13.2619,          -10.9564,            8.0705,          -10.2749,          -11.1375,           -0.7865,           -0.4316,           26.3804,
Ref 21,3.50762e-08,,,,,,1.1973e-02,4.2065e-03,4.8991e-05,4.6596e-06,6.8286e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.48208e-08,,,,,,1.1973e-02,4.2064e-03,4.8976e-05,4.6559e-06,6.6897e-08,
Sam 1,3.43318e-08,1.18876e-02,4.1842e-03,4.8336e-05,4.6087e-06,6.8168e-08,,,,,,           -7.1202,           -5.2844,          -13.1227,          -10.3391,           -0.7047,          -10.2841,          -11.1433,           -0.6307,            0.2039,           17.4672,
Ref 2,3.43264e-08,,,,,,1.1973e-02,4.2064e-03,4.8981e-05,4.6578e-06,6.9554e-08,,,,,,,,,,,
Sam 2,3.38400e-08,1.18876e-02,4.1841e-03,4.8335e-05,4.6058e-06,7.3121e-08,,,,,,           -7.1132,           -5.3055,          -13.1972,          -11.2229,           29.9036,          -10.2759,          -11.1643,           -0.6925,           -0.6468,           48.6680,
Ref 3,3.38413e-08,,,,,,1.1973e-02,4.2064e-03,4.8981e-05,4.6585e-06,7.2464e-08,,,,,,,,,,,
Sam 3,3.33540e-08,1.18876e-02,4.1840e-03,4.8334e-05,4.6064e-06,6.7352e-08,,,,,,           -7.1076,           -5.3035,          -13.2206,          -11.0066,          -41.5303,          -10.2700,          -11.1623,           -0.7241,           -0.4324,          -24.0772,
Ref 4,3.33637e-08,,,,,,1.1973e-02,4.2063e-03,4.8981e-05,4.6568e-06,6.8045e-08,,,,,,,,,,,
Sam 4,3.28786e-08,1.18876e-02,4.1839e-03,4.8336e-05,4.6074e-06,6.8994e-08,,,,,,           -7.0992,           -5.3236,          -13.2201,          -10.5588,           -8.9267,          -10.2604,          -11.1823,           -0.7124,            0.0607,            9.1512,
Ref 5,3.28981e-08,,,,,,1.1973e-02,4.2063e-03,4.8986e-05,4.6564e-06,7.1209e-08,,,,,,,,,,,
Sam 5,3.24001e-08,1.18875e-02,4.1840e-03,4.8337e-05,4.6069e-06,7.1950e-08,,,,,,           -7.0999,           -5.2881,          -13.1094,          -10.8922,           15.8481,          -10.2624,          -11.1470,           -0.6346,           -0.3477,           34.3061,
Ref 6,3.24342e-08,,,,,,1.1973e-02,4.2062e-03,4.8972e-05,4.6590e-06,7.0441e-08,,,,,,,,,,,
Sam 6,3.19477e-08,1.18874e-02,4.1840e-03,4.8341e-05,4.6102e-06,6.9141e-08,,,,,,           -7.1087,           -5.2688,          -12.9900,          -10.4077,          -19.6013,          -10.2723,          -11.1278,           -0.5238,            0.1032,           -1.8162,
Ref 7,3.19786e-08,,,,,,1.1973e-02,4.2062e-03,4.8983e-05,4.6584e-06,7.0606e-08,,,,,,,,,,,
Sam 7,3.14966e-08,1.18873e-02,4.1839e-03,4.8335e-05,4.6097e-06,7.2669e-08,,,,,,           -7.1164,           -5.2905,          -13.2323,          -10.7917,           19.4334,          -10.2798,          -11.1494,           -0.7396,           -0.2412,           37.9798,
Ref 8,3.15339e-08,,,,,,1.1972e-02,4.2062e-03,4.8984e-05,4.6617e-06,7.1970e-08,,,,,,,,,,,
Sam 8,3.10483e-08,1.18875e-02,4.1840e-03,4.8335e-05,4.6113e-06,7.0631e-08,,,,,,           -7.0964,           -5.2762,          -13.2048,          -10.1432,            5.3161,          -10.2590,          -11.1352,           -0.7466,            0.3854,           23.5548,
Ref 9,3.10963e-08,,,,,,1.1972e-02,4.2062e-03,4.8979e-05,4.6554e-06,6.8521e-08,,,,,,,,,,,
Sam 9,3.06134e-08,1.18872e-02,4.1839e-03,4.8327e-05,4.6039e-06,7.0998e-08,,,,,,           -7.1106,           -5.2966,          -13.2554,          -11.7356,           26.0286,          -10.2734,          -11.1554,           -0.7631,           -1.1831,           44.7008,
Ref 10,3.06724e-08,,,,,,1.1972e-02,4.2061e-03,4.8973e-05,4.6619e-06,6.9882e-08,,,,,,,,,,,
Sam 10,3.01945e-08,1.18871e-02,4.1838e-03,4.8340e-05,4.6103e-06,7.2676e-08,,,,,,           -7.1073,           -5.3073,          -12.9405,          -11.4580,           37.5563,          -10.2696,          -11.1660,           -0.4370,           -0.8810,           56.4571,
Ref 11,3.02666e-08,,,,,,1.1972e-02,4.2061e-03,4.8975e-05,4.6656e-06,7.0211e-08,,,,,,,,,,,
Sam 11,2.97780e-08,1.18870e-02,4.1839e-03,4.8335e-05,4.6112e-06,6.6132e-08,,,,,,           -7.1126,           -5.3000,          -13.0923,          -11.1814,          -51.1368,          -10.2755,          -11.1588,           -0.5924,           -0.6160,          -33.8600,
Ref 12,2.98459e-08,,,,,,1.1972e-02,4.2062e-03,4.8978e-05,4.6610e-06,6.9175e-08,,,,,,,,,,,
Sam 12,2.93628e-08,1.18871e-02,4.1838e-03,4.8330e-05,4.6103e-06,6.9162e-08,,,,,,           -7.1015,           -5.2970,          -13.2420,          -10.8047,          -35.9865,          -10.2637,          -11.1558,           -0.7584,           -0.2414,          -18.4515,
Ref 13,2.94406e-08,,,,,,1.1972e-02,4.2061e-03,4.8980e-05,4.6604e-06,7.4349e-08,,,,,,,,,,,
Sam 13,2.89620e-08,1.18871e-02,4.1838e-03,4.8334e-05,4.6141e-06,7.9158e-08,,,,,,           -7.0944,           -5.3050,          -13.2229,           -9.5641,           72.9409,          -10.2559,          -11.1638,           -0.7386,            1.0285,           92.4661,
Ref 14,2.90463e-08,,,,,,1.1972e-02,4.2061e-03,4.8983e-05,4.6568e-06,7.3197e-08,,,,,,,,,,,
Sam 14,2.85657e-08,1.18869e-02,4.1838e-03,4.8339e-05,4.6127e-06,7.5518e-08,,,,,,           -7.1105,           -5.2958,          -13.1541,           -9.9030,          -27.4270,          -10.2734,          -11.1546,           -0.6614,            0.6675,           -9.7291,
Ref 15,2.86576e-08,,,,,,1.1972e-02,4.2060e-03,4.8984e-05,4.6609e-06,8.2158e-08,,,,,,,,,,,
Sam 15,2.81781e-08,1.18868e-02,4.1837e-03,4.8337e-05,4.6136e-06,7.9076e-08,,,,,,           -7.1055,           -5.2930,          -13.1896,          -10.2473,          -44.6103,          -10.2681,          -11.1518,           -0.7053,            0.3138,          -27.2357,
Ref 16,2.82912e-08,,,,,,1.1972e-02,4.2060e-03,4.8982e-05,4.6617e-06,8.3386e-08,,,,,,,,,,,
Sam 16,2.77988e-08,1.18867e-02,4.1837e-03,4.8342e-05,4.6088e-06,7.9505e-08,,,,,,           -7.1089,           -5.3145,          -13.0522,          -11.4259,          -32.3691,          -10.2710,          -11.1733,           -0.5413,           -0.8340,          -14.7262,
Ref 17,2.79008e-08,,,,,,1.1972e-02,4.2061e-03,4.8981e-05,4.6623e-06,8.0926e-08,,,,,,,,,,,
Sam 17,2.74164e-08,1.18868e-02,4.1837e-03,4.8332e-05,4.6142e-06,7.9884e-08,,,,,,           -7.1083,           -5.2985,          -13.2761,          -10.2187,          -15.1055,          -10.2710,          -11.1573,           -0.7844,            0.3540,            2.8198,
Ref 18,2.75301e-08,,,,,,1.1972e-02,4.2060e-03,4.8984e-05,4.6613e-06,8.1294e-08,,,,,,,,,,,
Sam 18,2.70406e-08,1.18867e-02,4.1837e-03,4.8341e-05,4.6106e-06,7.6028e-08,,,,,,           -7.1223,           -5.3002,          -13.0857,          -11.0904,          -55.6802,          -10.2858,          -11.1590,           -0.5753,           -0.5237,          -38.4757,
Ref 19,2.71689e-08,,,,,,1.1972e-02,4.2060e-03,4.8980e-05,4.6634e-06,7.9716e-08,,,,,,,,,,,
Sam 19,2.66832e-08,1.18868e-02,4.1837e-03,4.8335e-05,4.6130e-06,7.6449e-08,,,,,,           -7.1188,           -5.3013,          -13.3012,          -10.4072,          -40.5544,          -10.2820,          -11.1600,           -0.7963,            0.1689,          -23.0760,
Ref 20,2.68093e-08,,,,,,1.1972e-02,4.2060e-03,4.8993e-05,4.6597e-06,7.9645e-08,,,,,,,,,,,
