Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 12:56 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, June 29, 2022 at 13:55 with Stable 1.71.5 on PS019

Data File = Data_17448 RM-4-A.txt,        Sample Weight = 590,                      Vial Location = 31,                       Initial Sam Beam = 2.1324e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1809e-08,                Max Ref Beam = 1.0655e-07,                

Analysis undertaken at mass 46.02641
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.36004e-08,,,,,,1.1967e-02,4.2015e-03,4.8842e-05,4.6291e-06,5.0072e-08,
Sam 1,8.27421e-08,1.18986e-02,4.2228e-03,4.8787e-05,4.6764e-06,5.0875e-08,,,,,,           -5.7859,            5.0027,           -1.2625,            9.9210,            6.8458,           -9.2208,           -0.9088,           -0.1945,           -0.1084,            3.1809,
Ref 2,8.20470e-08,,,,,,1.1968e-02,4.2021e-03,4.8857e-05,4.6319e-06,5.0994e-08,,,,,,,,,,,
Sam 2,8.12269e-08,1.18992e-02,4.2233e-03,4.8797e-05,4.6789e-06,5.0936e-08,,,,,,           -5.8119,            4.9766,           -1.3855,            9.9287,           -1.9837,           -9.2476,           -0.9347,           -0.2652,           -0.0489,           -5.5381,
Ref 3,8.05719e-08,,,,,,1.1969e-02,4.2027e-03,4.8872e-05,4.6338e-06,5.1082e-08,,,,,,,,,,,
Sam 3,7.97329e-08,1.18999e-02,4.2238e-03,4.8801e-05,4.6801e-06,5.0960e-08,,,,,,           -5.8179,            4.9828,           -1.4735,            9.8314,            6.1861,           -9.2541,           -0.9286,           -0.3531,           -0.1574,            2.5970,
Ref 4,7.91000e-08,,,,,,1.1970e-02,4.2030e-03,4.8875e-05,4.6353e-06,5.0204e-08,,,,,,,,,,,
Sam 4,7.82813e-08,1.19004e-02,4.2242e-03,4.8811e-05,4.6803e-06,5.0692e-08,,,,,,           -5.8097,            4.9888,           -1.4226,            9.7835,           -1.3263,           -9.2457,           -0.9226,           -0.3165,           -0.2169,           -4.9090,
Ref 5,7.76813e-08,,,,,,1.1970e-02,4.2035e-03,4.8886e-05,4.6346e-06,5.1325e-08,,,,,,,,,,,
Sam 5,7.68716e-08,1.19010e-02,4.2246e-03,4.8819e-05,4.6797e-06,5.2124e-08,,,,,,           -5.8078,            4.9769,           -1.4348,            9.5534,           28.0293,           -9.2432,           -0.9344,           -0.3190,           -0.4210,           24.3631,
Ref 6,7.62943e-08,,,,,,1.1971e-02,4.2039e-03,4.8894e-05,4.6362e-06,5.0069e-08,,,,,,,,,,,
Sam 6,7.54881e-08,1.19014e-02,4.2250e-03,4.8825e-05,4.6816e-06,5.1142e-08,,,,,,           -5.8138,            4.9899,           -1.5091,            9.9573,            6.3649,           -9.2500,           -0.9215,           -0.3999,           -0.0469,            2.7569,
Ref 7,7.49391e-08,,,,,,1.1971e-02,4.2042e-03,4.8903e-05,4.6346e-06,5.1581e-08,,,,,,,,,,,
Sam 7,7.41369e-08,1.19019e-02,4.2253e-03,4.8833e-05,4.6815e-06,5.0434e-08,,,,,,           -5.8126,            4.9913,           -1.4551,            9.7669,           -4.1910,           -9.2488,           -0.9201,           -0.3485,           -0.2383,           -7.7653,
Ref 8,7.36135e-08,,,,,,1.1972e-02,4.2045e-03,4.8906e-05,4.6378e-06,4.9694e-08,,,,,,,,,,,
Sam 8,7.28211e-08,1.19024e-02,4.2257e-03,4.8837e-05,4.6830e-06,5.1603e-08,,,,,,           -5.8041,            4.9854,           -1.4898,            9.8359,           41.7713,           -9.2395,           -0.9260,           -0.3862,           -0.1581,           38.0346,
Ref 9,7.23184e-08,,,,,,1.1972e-02,4.2049e-03,4.8913e-05,4.6371e-06,4.9370e-08,,,,,,,,,,,
Sam 9,7.15297e-08,1.19027e-02,4.2260e-03,4.8845e-05,4.6842e-06,4.8002e-08,,,,,,           -5.8083,            4.9754,           -1.4559,            9.9673,          -19.0323,           -9.2436,           -0.9359,           -0.3382,           -0.0083,          -22.5274,
Ref 10,7.10476e-08,,,,,,1.1972e-02,4.2052e-03,4.8918e-05,4.6389e-06,4.8489e-08,,,,,,,,,,,
Sam 10,7.02639e-08,1.19030e-02,4.2262e-03,4.8851e-05,4.6840e-06,4.8327e-08,,,,,,           -5.8074,            4.9695,           -1.4575,            9.6326,            3.1338,           -9.2425,           -0.9418,           -0.3350,           -0.3279,           -0.4297,
Ref 11,6.97945e-08,,,,,,1.1973e-02,4.2054e-03,4.8927e-05,4.6397e-06,4.7858e-08,,,,,,,,,,,
Sam 11,6.90246e-08,1.19034e-02,4.2264e-03,4.8856e-05,4.6851e-06,4.7682e-08,,,,,,           -5.8049,            4.9851,           -1.4194,            9.6011,           -5.9846,           -9.2404,           -0.9263,           -0.3147,           -0.3902,           -9.5486,
Ref 12,6.85767e-08,,,,,,1.1973e-02,4.2056e-03,4.8923e-05,4.6414e-06,4.8082e-08,,,,,,,,,,,
Sam 12,6.78261e-08,1.19036e-02,4.2267e-03,4.8856e-05,4.6837e-06,4.7679e-08,,,,,,           -5.8051,            4.9974,           -1.4427,            9.4054,            4.1437,           -9.2411,           -0.9141,           -0.3498,           -0.6083,            0.5196,
Ref 13,6.73891e-08,,,,,,1.1973e-02,4.2058e-03,4.8929e-05,4.6387e-06,4.6871e-08,,,,,,,,,,,
Sam 13,6.66469e-08,1.19038e-02,4.2268e-03,4.8862e-05,4.6864e-06,4.7242e-08,,,,,,           -5.8043,            4.9822,           -1.3994,           10.0404,           10.7848,           -9.2396,           -0.9291,           -0.2925,            0.0506,            7.1656,
Ref 14,6.62291e-08,,,,,,1.1973e-02,4.2060e-03,4.8932e-05,4.6409e-06,4.6604e-08,,,,,,,,,,,
Sam 14,6.54936e-08,1.19040e-02,4.2270e-03,4.8865e-05,4.6846e-06,4.5366e-08,,,,,,           -5.8015,            4.9972,           -1.3662,            9.3332,          -21.9310,           -9.2372,           -0.9142,           -0.2768,           -0.6795,          -25.4645,
Ref 15,6.50891e-08,,,,,,1.1974e-02,4.2061e-03,4.8932e-05,4.6417e-06,4.6159e-08,,,,,,,,,,,
Sam 15,6.43719e-08,1.19042e-02,4.2271e-03,4.8860e-05,4.6867e-06,4.5184e-08,,,,,,           -5.8014,            4.9832,           -1.5211,            9.7331,           19.2232,           -9.2366,           -0.9281,           -0.4183,           -0.2557,           15.5687,
Ref 16,6.39875e-08,,,,,,1.1974e-02,4.2062e-03,4.8938e-05,4.6414e-06,4.2474e-08,,,,,,,,,,,
Sam 16,6.32740e-08,1.19043e-02,4.2272e-03,4.8869e-05,4.6855e-06,4.5457e-08,,,,,,           -5.8118,            4.9753,           -1.4052,            9.5877,           51.5268,           -9.2474,           -0.9361,           -0.2837,           -0.3838,           47.7845,
Ref 17,6.28972e-08,,,,,,1.1974e-02,4.2064e-03,4.8938e-05,4.6406e-06,4.3998e-08,,,,,,,,,,,
Sam 17,6.21977e-08,1.19044e-02,4.2274e-03,4.8876e-05,4.6878e-06,4.3705e-08,,,,,,           -5.8084,            4.9734,           -1.3144,           10.0957,           -2.2991,           -9.2437,           -0.9379,           -0.1945,            0.1227,           -5.8499,
Ref 18,6.18368e-08,,,,,,1.1974e-02,4.2065e-03,4.8943e-05,4.6413e-06,4.3610e-08,,,,,,,,,,,
Sam 18,6.11461e-08,1.19045e-02,4.2275e-03,4.8875e-05,4.6864e-06,4.3322e-08,,,,,,           -5.8101,            4.9797,           -1.4061,            9.8133,            3.0178,           -9.2458,           -0.9316,           -0.2907,           -0.1693,           -0.5624,
Ref 19,6.07872e-08,,,,,,1.1974e-02,4.2066e-03,4.8944e-05,4.6405e-06,4.2766e-08,,,,,,,,,,,
Sam 19,6.01096e-08,1.19047e-02,4.2276e-03,4.8873e-05,4.6858e-06,4.2171e-08,,,,,,           -5.8086,            4.9716,           -1.4653,            9.7888,            8.3647,           -9.2439,           -0.9397,           -0.3435,           -0.1775,            4.7797,
Ref 20,5.97746e-08,,,,,,1.1974e-02,4.2067e-03,4.8946e-05,4.6404e-06,4.0861e-08,,,,,,,,,,,
Sam 20,5.90991e-08,1.19048e-02,4.2277e-03,4.8884e-05,4.6870e-06,3.9612e-08,,,,,,           -5.8066,            4.9790,           -1.2875,            9.9634,           -7.3000,           -9.2420,           -0.9323,           -0.1749,           -0.0194,          -10.8457,
Ref 21,5.87751e-08,,,,,,1.1974e-02,4.2067e-03,4.8948e-05,4.6411e-06,3.8930e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.82881e-08,,,,,,1.1974e-02,4.2068e-03,4.8951e-05,4.6413e-06,3.8737e-08,
Sam 1,5.76187e-08,1.19048e-02,4.2278e-03,4.8880e-05,4.6883e-06,3.8603e-08,,,,,,           -5.8095,            4.9723,           -1.4164,           10.0015,          -12.4522,           -9.2449,           -0.9390,           -0.2944,            0.0318,          -15.9634,
Ref 2,5.73213e-08,,,,,,1.1974e-02,4.2069e-03,4.8949e-05,4.6423e-06,3.9449e-08,,,,,,,,,,,
Sam 2,5.66531e-08,1.19049e-02,4.2279e-03,4.8880e-05,4.6886e-06,4.0615e-08,,,,,,           -5.8068,            4.9843,           -1.4496,           10.0204,           -1.4579,           -9.2424,           -0.9271,           -0.3421,            0.0267,           -5.0345,
Ref 3,5.63780e-08,,,,,,1.1974e-02,4.2069e-03,4.8953e-05,4.6418e-06,4.1920e-08,,,,,,,,,,,
Sam 3,5.57184e-08,1.19049e-02,4.2279e-03,4.8885e-05,4.6876e-06,4.1778e-08,,,,,,           -5.8142,            4.9732,           -1.4020,            9.9035,            0.6225,           -9.2498,           -0.9381,           -0.2760,           -0.0671,           -2.9322,
Ref 4,5.54622e-08,,,,,,1.1975e-02,4.2070e-03,4.8955e-05,4.6416e-06,4.1581e-08,,,,,,,,,,,
Sam 4,5.47972e-08,1.19048e-02,4.2279e-03,4.8885e-05,4.6854e-06,4.1384e-08,,,,,,           -5.8227,            4.9673,           -1.4440,            9.4641,            2.8731,           -9.2587,           -0.9440,           -0.3034,           -0.4904,           -0.6688,
Ref 5,5.45554e-08,,,,,,1.1974e-02,4.2069e-03,4.8956e-05,4.6414e-06,4.0945e-08,,,,,,,,,,,
Sam 5,5.38911e-08,1.19049e-02,4.2279e-03,4.8881e-05,4.6877e-06,3.9601e-08,,,,,,           -5.8035,            4.9706,           -1.5403,           10.1369,           -4.8847,           -9.2384,           -0.9407,           -0.4230,            0.1692,           -8.4260,
Ref 6,5.36711e-08,,,,,,1.1974e-02,4.2070e-03,4.8956e-05,4.6399e-06,3.8627e-08,,,,,,,,,,,
Sam 6,5.30127e-08,1.19049e-02,4.2279e-03,4.8885e-05,4.6862e-06,3.8105e-08,,,,,,           -5.8095,            4.9681,           -1.4716,            9.9957,           10.5086,           -9.2447,           -0.9432,           -0.3456,            0.0343,            6.9239,
Ref 7,5.28047e-08,,,,,,1.1975e-02,4.2071e-03,4.8959e-05,4.6397e-06,3.6776e-08,,,,,,,,,,,
Sam 7,5.21452e-08,1.19049e-02,4.2280e-03,4.8887e-05,4.6866e-06,3.5145e-08,,,,,,           -5.8132,            4.9727,           -1.4656,           10.1069,          -17.3735,           -9.2488,           -0.9386,           -0.3401,            0.1353,          -20.8642,
Ref 8,5.19485e-08,,,,,,1.1975e-02,4.2070e-03,4.8959e-05,4.6397e-06,3.4742e-08,,,,,,,,,,,
Sam 8,5.13026e-08,1.19048e-02,4.2280e-03,4.8889e-05,4.6867e-06,3.4670e-08,,,,,,           -5.8179,            4.9789,           -1.4342,            9.9082,           -1.1843,           -9.2541,           -0.9324,           -0.3100,           -0.0738,           -4.7396,
Ref 9,5.11223e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6417e-06,3.4680e-08,,,,,,,,,,,
Sam 9,5.04770e-08,1.19048e-02,4.2279e-03,4.8886e-05,4.6875e-06,3.4642e-08,,,,,,           -5.8107,            4.9684,           -1.4974,           10.0362,          -17.5898,           -9.2460,           -0.9428,           -0.3704,            0.0739,          -21.0742,
Ref 10,5.03074e-08,,,,,,1.1974e-02,4.2070e-03,4.8959e-05,4.6402e-06,3.5854e-08,,,,,,,,,,,
Sam 10,4.96627e-08,1.19049e-02,4.2279e-03,4.8887e-05,4.6862e-06,3.4209e-08,,,,,,           -5.8019,            4.9611,           -1.4862,            9.7202,          -45.7569,           -9.2364,           -0.9501,           -0.3612,           -0.2246,          -49.1368,
Ref 11,4.95058e-08,,,,,,1.1974e-02,4.2071e-03,4.8961e-05,4.6420e-06,3.5845e-08,,,,,,,,,,,
Sam 11,4.88675e-08,1.19048e-02,4.2280e-03,4.8887e-05,4.6854e-06,3.8359e-08,,,,,,           -5.8023,            4.9701,           -1.5030,            9.4154,           42.7939,           -9.2371,           -0.9412,           -0.3864,           -0.5441,           39.0826,
Ref 12,4.87224e-08,,,,,,1.1974e-02,4.2071e-03,4.8960e-05,4.6414e-06,3.7739e-08,,,,,,,,,,,
Sam 12,4.80941e-08,1.19047e-02,4.2279e-03,4.8884e-05,4.6844e-06,3.7660e-08,,,,,,           -5.8098,            4.9703,           -1.5675,            9.6180,           -8.8939,           -9.2451,           -0.9410,           -0.4433,           -0.3439,          -12.4136,
Ref 13,4.79654e-08,,,,,,1.1974e-02,4.2070e-03,4.8962e-05,4.6380e-06,3.8260e-08,,,,,,,,,,,
Sam 13,4.73290e-08,1.19046e-02,4.2279e-03,4.8892e-05,4.6851e-06,3.3965e-08,,,,,,           -5.8074,            4.9733,           -1.4624,            9.9086,          -59.7592,           -9.2427,           -0.9380,           -0.3436,           -0.0623,          -63.1063,
Ref 14,4.72131e-08,,,,,,1.1974e-02,4.2070e-03,4.8966e-05,4.6402e-06,3.3954e-08,,,,,,,,,,,
Sam 14,4.65849e-08,1.19045e-02,4.2279e-03,4.8887e-05,4.6847e-06,3.3763e-08,,,,,,           -5.8086,            4.9716,           -1.5751,            9.5497,            2.1795,           -9.2439,           -0.9397,           -0.4535,           -0.4142,           -1.3834,
Ref 15,4.64780e-08,,,,,,1.1974e-02,4.2070e-03,4.8963e-05,4.6404e-06,3.3421e-08,,,,,,,,,,,
Sam 15,4.58572e-08,1.19045e-02,4.2280e-03,4.8885e-05,4.6821e-06,3.2720e-08,,,,,,           -5.8123,            4.9801,           -1.5559,            9.0960,          -46.5683,           -9.2481,           -0.9312,           -0.4389,           -0.8804,          -49.9701,
Ref 16,4.57540e-08,,,,,,1.1974e-02,4.2071e-03,4.8959e-05,4.6395e-06,3.5228e-08,,,,,,,,,,,
Sam 16,4.51368e-08,1.19045e-02,4.2279e-03,4.8885e-05,4.6816e-06,3.3250e-08,,,,,,           -5.8073,            4.9728,           -1.5314,            9.2177,          -17.4818,           -9.2425,           -0.9386,           -0.4122,           -0.7452,          -20.9784,
Ref 17,4.50603e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6382e-06,3.2433e-08,,,,,,,,,,,
Sam 17,4.44250e-08,1.19045e-02,4.2279e-03,4.8889e-05,4.6832e-06,3.3774e-08,,,,,,           -5.7994,            4.9727,           -1.5328,            9.5064,           35.7731,           -9.2341,           -0.9387,           -0.4217,           -0.4592,           32.0784,
Ref 18,4.43471e-08,,,,,,1.1974e-02,4.2069e-03,4.8966e-05,4.6401e-06,3.2786e-08,,,,,,,,,,,
Sam 18,4.37218e-08,1.19045e-02,4.2279e-03,4.8889e-05,4.6852e-06,3.1986e-08,,,,,,           -5.8065,            4.9806,           -1.5138,            9.9502,           -3.3390,           -9.2419,           -0.9308,           -0.4031,           -0.0354,           -6.9020,
Ref 19,4.36684e-08,,,,,,1.1974e-02,4.2070e-03,4.8960e-05,4.6380e-06,3.1391e-08,,,,,,,,,,,
Sam 19,4.30434e-08,1.19044e-02,4.2279e-03,4.8892e-05,4.6833e-06,3.0742e-08,,,,,,           -5.8122,            4.9756,           -1.4181,            9.6024,          -22.9887,           -9.2479,           -0.9357,           -0.2964,           -0.3699,          -26.4660,
Ref 20,4.30027e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6397e-06,3.1540e-08,,,,,,,,,,,
Sam 20,4.23698e-08,1.19042e-02,4.2278e-03,4.8892e-05,4.6867e-06,3.1547e-08,,,,,,           -5.8161,            4.9695,           -1.4303,           10.5024,           11.8767,           -9.2518,           -0.9418,           -0.2987,            0.5333,            8.2915,
Ref 21,4.23591e-08,,,,,,1.1974e-02,4.2069e-03,4.8960e-05,4.6362e-06,3.0808e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.20329e-08,,,,,,1.1974e-02,4.2069e-03,4.8961e-05,4.6409e-06,3.1302e-08,
Sam 1,4.13885e-08,1.19041e-02,4.2278e-03,4.8894e-05,4.6829e-06,2.9495e-08,,,,,,           -5.8179,            4.9711,           -1.3581,            9.1370,          -49.7053,           -9.2538,           -0.9402,           -0.2261,           -0.8218,          -53.0735,
Ref 2,4.13825e-08,,,,,,1.1974e-02,4.2068e-03,4.8959e-05,4.6401e-06,3.0770e-08,,,,,,,,,,,
Sam 2,4.07763e-08,1.19042e-02,4.2278e-03,4.8886e-05,4.6829e-06,2.9166e-08,,,,,,           -5.8026,            4.9760,           -1.5102,            9.6072,          -36.7360,           -9.2377,           -0.9353,           -0.3990,           -0.3660,          -40.1749,
Ref 3,4.07944e-08,,,,,,1.1974e-02,4.2068e-03,4.8962e-05,4.6365e-06,2.9780e-08,,,,,,,,,,,
Sam 3,4.01629e-08,1.19041e-02,4.2277e-03,4.8894e-05,4.6841e-06,3.1451e-08,,,,,,           -5.8060,            4.9598,           -1.3153,            9.9337,           15.6720,           -9.2407,           -0.9514,           -0.1846,           -0.0105,           12.0816,
Ref 4,4.01722e-08,,,,,,1.1974e-02,4.2068e-03,4.8955e-05,4.6396e-06,3.2169e-08,,,,,,,,,,,
Sam 4,3.95491e-08,1.19039e-02,4.2276e-03,4.8893e-05,4.6850e-06,3.1089e-08,,,,,,           -5.8297,            4.9386,           -1.3025,           10.0988,          -45.7300,           -9.2652,           -0.9725,           -0.1265,            0.1951,          -49.0398,
Ref 5,3.95736e-08,,,,,,1.1974e-02,4.2069e-03,4.8958e-05,4.6367e-06,3.2994e-08,,,,,,,,,,,
Sam 5,3.89561e-08,1.19039e-02,4.2276e-03,4.8893e-05,4.6841e-06,3.2081e-08,,,,,,           -5.8247,            4.9436,           -1.3323,           10.1159,           88.3313,           -9.2601,           -0.9675,           -0.1663,            0.2022,           84.5402,
Ref 6,3.89905e-08,,,,,,1.1974e-02,4.2068e-03,4.8959e-05,4.6377e-06,2.5907e-08,,,,,,,,,,,
Sam 6,3.83716e-08,1.19038e-02,4.2277e-03,4.8901e-05,4.6808e-06,2.9866e-08,,,,,,           -5.8237,            4.9723,           -1.2213,            9.5196,          136.6689,           -9.2600,           -0.9390,           -0.0843,           -0.4454,          132.6446,
Ref 7,3.84142e-08,,,,,,1.1973e-02,4.2067e-03,4.8963e-05,4.6355e-06,2.6649e-08,,,,,,,,,,,
Sam 7,3.77988e-08,1.19037e-02,4.2276e-03,4.8888e-05,4.6803e-06,2.8706e-08,,,,,,           -5.8135,            4.9716,           -1.4952,            9.5203,           18.7791,           -9.2491,           -0.9397,           -0.3684,           -0.4432,           15.1625,
Ref 8,3.78416e-08,,,,,,1.1973e-02,4.2066e-03,4.8960e-05,4.6369e-06,2.9727e-08,,,,,,,,,,,
Sam 8,3.72403e-08,1.19037e-02,4.2275e-03,4.8882e-05,4.6819e-06,3.0279e-08,,,,,,           -5.8091,            4.9635,           -1.5892,            9.8645,          -19.9121,           -9.2441,           -0.9478,           -0.4591,           -0.0863,          -23.3804,
Ref 9,3.72969e-08,,,,,,1.1973e-02,4.2067e-03,4.8960e-05,4.6355e-06,3.2079e-08,,,,,,,,,,,
Sam 9,3.66808e-08,1.19037e-02,4.2276e-03,4.8888e-05,4.6853e-06,3.0083e-08,,,,,,           -5.8055,            4.9880,           -1.5161,           10.8571,          -57.6586,           -9.2411,           -0.9234,           -0.4138,            0.8476,          -61.0422,
Ref 10,3.67582e-08,,,,,,1.1973e-02,4.2066e-03,4.8965e-05,4.6344e-06,3.1766e-08,,,,,,,,,,,
Sam 10,3.61473e-08,1.19036e-02,4.2275e-03,4.8887e-05,4.6842e-06,3.1506e-08,,,,,,           -5.8147,            4.9718,           -1.5527,           10.5027,           53.3375,           -9.2504,           -0.9395,           -0.4249,            0.5291,           49.5992,
Ref 11,3.62240e-08,,,,,,1.1973e-02,4.2066e-03,4.8961e-05,4.6367e-06,2.8029e-08,,,,,,,,,,,
Sam 11,3.56146e-08,1.19035e-02,4.2275e-03,4.8891e-05,4.6796e-06,2.7414e-08,,,,,,           -5.8128,            4.9694,           -1.4334,            9.4361,          -48.3069,           -9.2482,           -0.9419,           -0.3052,           -0.5222,          -51.6820,
Ref 12,3.57114e-08,,,,,,1.1973e-02,4.2066e-03,4.8961e-05,4.6351e-06,2.9593e-08,,,,,,,,,,,
Sam 12,3.50991e-08,1.19035e-02,4.2274e-03,4.8887e-05,4.6813e-06,2.8142e-08,,,,,,           -5.8058,            4.9585,           -1.4882,            9.7615,            4.1428,           -9.2404,           -0.9527,           -0.3567,           -0.1784,            0.5954,
Ref 13,3.51920e-08,,,,,,1.1973e-02,4.2065e-03,4.8958e-05,4.6370e-06,2.6437e-08,,,,,,,,,,,
Sam 13,3.45883e-08,1.19033e-02,4.2274e-03,4.8892e-05,4.6808e-06,2.8517e-08,,,,,,           -5.8112,            4.9592,           -1.4058,            9.7822,           85.5159,           -9.2462,           -0.9521,           -0.2692,           -0.1593,           81.6859,
Ref 14,3.46863e-08,,,,,,1.1973e-02,4.2065e-03,4.8963e-05,4.6339e-06,2.6101e-08,,,,,,,,,,,
Sam 14,3.40875e-08,1.19033e-02,4.2274e-03,4.8890e-05,4.6790e-06,2.4167e-08,,,,,,           -5.8113,            4.9714,           -1.4572,            9.7410,         -114.0473,           -9.2468,           -0.9399,           -0.3324,           -0.2243,         -117.1941,
Ref 15,3.42024e-08,,,,,,1.1973e-02,4.2065e-03,4.8960e-05,4.6338e-06,2.8472e-08,,,,,,,,,,,
Sam 15,3.35961e-08,1.19032e-02,4.2274e-03,4.8896e-05,4.6820e-06,2.4159e-08,,,,,,           -5.8198,            4.9761,           -1.3699,           10.2171,         -105.1234,           -9.2559,           -0.9352,           -0.2409,            0.2377,         -108.3020,
Ref 16,3.37088e-08,,,,,,1.1973e-02,4.2064e-03,4.8966e-05,4.6356e-06,2.5500e-08,,,,,,,,,,,
Sam 16,3.31132e-08,1.19032e-02,4.2273e-03,4.8888e-05,4.6843e-06,2.3771e-08,,,,,,           -5.8148,            4.9771,           -1.6428,           10.6644,         -102.1840,           -9.2507,           -0.9342,           -0.5202,            0.6787,         -105.3795,
Ref 17,3.32400e-08,,,,,,1.1973e-02,4.2064e-03,4.8971e-05,4.6341e-06,2.7468e-08,,,,,,,,,,,
Sam 17,3.26436e-08,1.19030e-02,4.2273e-03,4.8886e-05,4.6789e-06,2.6452e-08,,,,,,           -5.8146,            4.9804,           -1.6471,            9.3265,          -87.8602,           -9.2506,           -0.9310,           -0.5279,           -0.6526,          -91.1127,
Ref 18,3.27421e-08,,,,,,1.1973e-02,4.2063e-03,4.8963e-05,4.6372e-06,3.0556e-08,,,,,,,,,,,
Sam 18,3.21465e-08,1.19027e-02,4.2271e-03,4.8893e-05,4.6817e-06,2.8030e-08,,,,,,           -5.8281,            4.9645,           -1.3387,            9.9819,          -54.6349,           -9.2643,           -0.9468,           -0.1897,            0.0280,          -57.9631,
Ref 19,3.22837e-08,,,,,,1.1972e-02,4.2061e-03,4.8955e-05,4.6337e-06,2.8730e-08,,,,,,,,,,,
Sam 19,3.16996e-08,1.19027e-02,4.2271e-03,4.8888e-05,4.6807e-06,2.6067e-08,,,,,,           -5.8210,            4.9710,           -1.4719,           10.0403,         -116.9129,           -9.2570,           -0.9403,           -0.3367,            0.0728,         -120.0397,
Ref 20,3.18634e-08,,,,,,1.1972e-02,4.2063e-03,4.8966e-05,4.6347e-06,3.0316e-08,,,,,,,,,,,
Sam 20,3.12804e-08,1.19031e-02,4.2273e-03,4.8891e-05,4.6813e-06,2.8051e-08,,,,,,           -5.7915,            4.9877,           -1.4743,           10.1698,          -45.8775,           -9.2262,           -0.9237,           -0.3861,            0.1678,          -49.3169,
