Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 15:41 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, June 29, 2022 at 16:40 with Stable 1.71.5 on PS019

Data File = Data_17450 RM-4-C.txt,        Sample Weight = 613,                      Vial Location = 33,                       Initial Sam Beam = 1.5482e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0127e-08,                Max Ref Beam = 1.0624e-07,                

Analysis undertaken at mass 46.02143
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.97155e-08,,,,,,1.1974e-02,4.2064e-03,4.8953e-05,4.6434e-06,5.3175e-08,
Sam 1,5.90696e-08,1.19358e-02,4.2264e-03,4.9003e-05,4.6904e-06,5.4193e-08,,,,,,           -3.1753,            4.7392,            1.0511,           10.0252,           18.9790,           -6.4333,           -1.1767,           -0.3253,            0.5193,           12.9646,
Ref 2,5.86820e-08,,,,,,1.1974e-02,4.2066e-03,4.8950e-05,4.6443e-06,5.3191e-08,,,,,,,,,,,
Sam 2,5.80496e-08,1.19360e-02,4.2266e-03,4.9007e-05,4.6877e-06,5.4110e-08,,,,,,           -3.1798,            4.7293,            1.0645,            9.3511,           26.8278,           -6.4378,           -1.1866,           -0.2975,           -0.1286,           20.7920,
Ref 3,5.77019e-08,,,,,,1.1974e-02,4.2067e-03,4.8959e-05,4.6443e-06,5.2192e-08,,,,,,,,,,,
Sam 3,5.70654e-08,1.19360e-02,4.2266e-03,4.9007e-05,4.6899e-06,5.5657e-08,,,,,,           -3.1854,            4.7223,            1.0204,            9.9535,           51.6530,           -6.4435,           -1.1936,           -0.3289,            0.4820,           45.4919,
Ref 4,5.67492e-08,,,,,,1.1974e-02,4.2068e-03,4.8955e-05,4.6431e-06,5.3667e-08,,,,,,,,,,,
Sam 4,5.61043e-08,1.19360e-02,4.2267e-03,4.9013e-05,4.6888e-06,5.5556e-08,,,,,,           -3.1936,            4.7170,            1.1753,            9.6820,           25.3105,           -6.4520,           -1.1988,           -0.1605,            0.2236,           19.3231,
Ref 5,5.58210e-08,,,,,,1.1974e-02,4.2068e-03,4.8956e-05,4.6445e-06,5.4710e-08,,,,,,,,,,,
Sam 5,5.51734e-08,1.19360e-02,4.2267e-03,4.9011e-05,4.6879e-06,5.4062e-08,,,,,,           -3.1861,            4.7323,            1.0647,            9.3506,          -23.9607,           -6.4446,           -1.1836,           -0.2938,           -0.1350,          -29.6971,
Ref 6,5.49100e-08,,,,,,1.1974e-02,4.2068e-03,4.8962e-05,4.6445e-06,5.6080e-08,,,,,,,,,,,
Sam 6,5.42558e-08,1.19361e-02,4.2267e-03,4.9013e-05,4.6845e-06,5.5939e-08,,,,,,           -3.1669,            4.7270,            1.1201,            8.8154,            6.0798,           -6.4239,           -1.1889,           -0.2531,           -0.6548,            0.1565,
Ref 7,5.40201e-08,,,,,,1.1974e-02,4.2069e-03,4.8954e-05,4.6427e-06,5.5114e-08,,,,,,,,,,,
Sam 7,5.33685e-08,1.19360e-02,4.2268e-03,4.9009e-05,4.6877e-06,5.2929e-08,,,,,,           -3.1823,            4.7248,            1.0099,            9.3618,          -29.2850,           -6.4402,           -1.1911,           -0.3451,           -0.1090,          -34.9800,
Ref 8,5.31494e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6458e-06,5.3927e-08,,,,,,,,,,,
Sam 8,5.24976e-08,1.19360e-02,4.2268e-03,4.9015e-05,4.6862e-06,5.3085e-08,,,,,,           -3.1734,            4.7252,            1.1076,            8.9900,           -5.5971,           -6.4308,           -1.1907,           -0.2571,           -0.4782,          -11.4412,
Ref 9,5.22967e-08,,,,,,1.1974e-02,4.2068e-03,4.8957e-05,4.6431e-06,5.2830e-08,,,,,,,,,,,
Sam 9,5.16421e-08,1.19357e-02,4.2267e-03,4.9007e-05,4.6893e-06,5.1821e-08,,,,,,           -3.1883,            4.7176,            0.9681,            9.9281,            2.0759,           -6.4464,           -1.1982,           -0.3736,            0.4662,           -3.7827,
Ref 10,5.14577e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6432e-06,5.0578e-08,,,,,,,,,,,
Sam 10,5.08107e-08,1.19357e-02,4.2268e-03,4.9014e-05,4.6879e-06,5.2373e-08,,,,,,           -3.1858,            4.7247,            1.0759,            9.5298,           15.7123,           -6.4439,           -1.1911,           -0.2755,            0.0574,            9.7572,
Ref 11,5.06402e-08,,,,,,1.1974e-02,4.2069e-03,4.8959e-05,4.6440e-06,5.2563e-08,,,,,,,,,,,
Sam 11,4.99925e-08,1.19358e-02,4.2268e-03,4.9014e-05,4.6893e-06,5.2922e-08,,,,,,           -3.1788,            4.7353,            1.1352,            9.5633,           20.5097,           -6.4369,           -1.1806,           -0.2339,            0.0696,           14.4980,
Ref 12,4.98370e-08,,,,,,1.1974e-02,4.2069e-03,4.8958e-05,4.6457e-06,5.1143e-08,,,,,,,,,,,
Sam 12,4.91943e-08,1.19357e-02,4.2268e-03,4.9011e-05,4.6846e-06,5.2807e-08,,,,,,           -3.1831,            4.7166,            1.0700,            8.9330,           52.1423,           -6.4408,           -1.1992,           -0.2763,           -0.5176,           45.9872,
Ref 13,4.90465e-08,,,,,,1.1974e-02,4.2069e-03,4.8959e-05,4.6406e-06,4.9222e-08,,,,,,,,,,,
Sam 13,4.84063e-08,1.19357e-02,4.2268e-03,4.9012e-05,4.6852e-06,4.8706e-08,,,,,,           -3.1840,            4.7260,            1.0781,            9.6760,          -23.5990,           -6.4421,           -1.1898,           -0.2764,            0.1996,          -29.3278,
Ref 14,4.82774e-08,,,,,,1.1974e-02,4.2069e-03,4.8959e-05,4.6400e-06,5.0554e-08,,,,,,,,,,,
Sam 14,4.76434e-08,1.19357e-02,4.2268e-03,4.9013e-05,4.6865e-06,4.8840e-08,,,,,,           -3.1846,            4.7287,            1.0824,            9.7657,            4.0127,           -6.4429,           -1.1872,           -0.2741,            0.2833,           -1.8827,
Ref 15,4.75278e-08,,,,,,1.1974e-02,4.2069e-03,4.8962e-05,4.6424e-06,4.6705e-08,,,,,,,,,,,
Sam 15,4.68895e-08,1.19356e-02,4.2267e-03,4.9011e-05,4.6869e-06,5.0567e-08,,,,,,           -3.1845,            4.7081,            1.0695,            9.5593,           47.1663,           -6.4420,           -1.2077,           -0.2670,            0.1198,           41.0593,
Ref 16,4.67826e-08,,,,,,1.1974e-02,4.2069e-03,4.8955e-05,4.6425e-06,4.9899e-08,,,,,,,,,,,
Sam 16,4.61525e-08,1.19357e-02,4.2268e-03,4.9017e-05,4.6890e-06,4.9317e-08,,,,,,           -3.1826,            4.7286,            1.2394,           10.2282,           10.2576,           -6.4407,           -1.1873,           -0.1193,            0.7416,            4.3235,
Ref 17,4.60591e-08,,,,,,1.1974e-02,4.2069e-03,4.8957e-05,4.6405e-06,4.7717e-08,,,,,,,,,,,
Sam 17,4.54334e-08,1.19357e-02,4.2268e-03,4.9010e-05,4.6866e-06,4.6520e-08,,,,,,           -3.1786,            4.7181,            1.0718,            9.6011,            7.2664,           -6.4361,           -1.1978,           -0.2805,            0.1413,            1.3663,
Ref 18,4.53479e-08,,,,,,1.1974e-02,4.2069e-03,4.8958e-05,4.6436e-06,4.4628e-08,,,,,,,,,,,
Sam 18,4.47347e-08,1.19356e-02,4.2268e-03,4.9020e-05,4.6855e-06,4.5972e-08,,,,,,           -3.1772,            4.7229,            1.2604,            8.9673,           18.6030,           -6.4348,           -1.1930,           -0.0983,           -0.4961,           12.6254,
Ref 19,4.46528e-08,,,,,,1.1974e-02,4.2069e-03,4.8958e-05,4.6441e-06,4.5644e-08,,,,,,,,,,,
Sam 19,4.40337e-08,1.19355e-02,4.2268e-03,4.9015e-05,4.6867e-06,4.5201e-08,,,,,,           -3.1860,            4.7347,            1.0885,            9.5486,           23.3375,           -6.4445,           -1.1812,           -0.2724,            0.0562,           17.3182,
Ref 20,4.39682e-08,,,,,,1.1974e-02,4.2069e-03,4.8965e-05,4.6405e-06,4.2674e-08,,,,,,,,,,,
Sam 20,4.33498e-08,1.19354e-02,4.2267e-03,4.9012e-05,4.6841e-06,4.4722e-08,,,,,,           -3.1874,            4.7290,            0.9642,            9.2218,           16.0676,           -6.4459,           -1.1869,           -0.3895,           -0.2561,           10.1038,
Ref 21,4.32998e-08,,,,,,1.1973e-02,4.2068e-03,4.8964e-05,4.6421e-06,4.5377e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.29720e-08,,,,,,1.1974e-02,4.2068e-03,4.8964e-05,4.6444e-06,4.3784e-08,
Sam 1,4.23483e-08,1.19354e-02,4.2267e-03,4.9007e-05,4.6842e-06,4.3597e-08,,,,,,           -3.1856,            4.7135,            0.9254,            8.7787,            2.3456,           -6.4433,           -1.2023,           -0.4151,           -0.6643,           -3.5094,
Ref 2,4.23219e-08,,,,,,1.1974e-02,4.2068e-03,4.8959e-05,4.6425e-06,4.3201e-08,,,,,,,,,,,
Sam 2,4.16966e-08,1.19354e-02,4.2266e-03,4.9012e-05,4.6872e-06,4.6118e-08,,,,,,           -3.1806,            4.7124,            1.0307,            9.8667,           58.7304,           -6.4380,           -1.2034,           -0.3139,            0.4158,           52.5427,
Ref 3,4.16791e-08,,,,,,1.1973e-02,4.2068e-03,4.8963e-05,4.6402e-06,4.3924e-08,,,,,,,,,,,
Sam 3,4.10628e-08,1.19353e-02,4.2267e-03,4.9007e-05,4.6867e-06,4.5262e-08,,,,,,           -3.1729,            4.7348,            0.9033,           10.2243,           38.3001,           -6.4306,           -1.1811,           -0.4711,            0.7253,           32.1780,
Ref 4,4.10526e-08,,,,,,1.1973e-02,4.2067e-03,4.8962e-05,4.6383e-06,4.3257e-08,,,,,,,,,,,
Sam 4,4.04356e-08,1.19351e-02,4.2266e-03,4.9010e-05,4.6835e-06,4.3280e-08,,,,,,           -3.1874,            4.7194,            0.9783,            9.2297,          -49.2927,           -6.4455,           -1.1964,           -0.3661,           -0.2293,          -54.8552,
Ref 5,4.04279e-08,,,,,,1.1973e-02,4.2067e-03,4.8962e-05,4.6431e-06,4.7826e-08,,,,,,,,,,,
Sam 5,3.98319e-08,1.19351e-02,4.2265e-03,4.9013e-05,4.6827e-06,4.5871e-08,,,,,,           -3.1802,            4.7146,            1.0035,            8.6167,           -9.9420,           -6.4377,           -1.2012,           -0.3437,           -0.8270,          -15.7331,
Ref 6,3.98334e-08,,,,,,1.1973e-02,4.2067e-03,4.8966e-05,4.6422e-06,4.4814e-08,,,,,,,,,,,
Sam 6,3.92155e-08,1.19350e-02,4.2265e-03,4.9009e-05,4.6848e-06,4.5338e-08,,,,,,           -3.1816,            4.7152,            0.9112,            9.3455,            5.4656,           -6.4392,           -1.2006,           -0.4351,           -0.1063,           -0.4153,
Ref 7,3.92364e-08,,,,,,1.1973e-02,4.2067e-03,4.8963e-05,4.6406e-06,4.5373e-08,,,,,,,,,,,
Sam 7,3.86230e-08,1.19350e-02,4.2265e-03,4.9014e-05,4.6848e-06,4.3066e-08,,,,,,           -3.1787,            4.7173,            1.0303,            9.4773,          -20.1979,           -6.4361,           -1.1985,           -0.3212,            0.0202,          -25.9357,
Ref 8,3.86545e-08,,,,,,1.1973e-02,4.2067e-03,4.8963e-05,4.6410e-06,4.2512e-08,,,,,,,,,,,
Sam 8,3.80237e-08,1.19348e-02,4.2264e-03,4.9016e-05,4.6865e-06,4.3580e-08,,,,,,           -3.1808,            4.6953,            1.0769,            9.7144,           -0.2582,           -6.4376,           -1.2204,           -0.2508,            0.2990,           -6.0676,
Ref 9,3.80870e-08,,,,,,1.1973e-02,4.2066e-03,4.8964e-05,4.6418e-06,4.4686e-08,,,,,,,,,,,
Sam 9,3.74971e-08,1.19347e-02,4.2265e-03,4.9010e-05,4.6814e-06,4.3295e-08,,,,,,           -3.1822,            4.7202,            1.0049,            8.6177,           15.7967,           -6.4400,           -1.1957,           -0.3457,           -0.8370,            9.8463,
Ref 10,3.75340e-08,,,,,,1.1973e-02,4.2066e-03,4.8956e-05,4.6411e-06,4.0528e-08,,,,,,,,,,,
Sam 10,3.69319e-08,1.19349e-02,4.2264e-03,4.9011e-05,4.6810e-06,4.0510e-08,,,,,,           -3.1723,            4.7202,            1.0723,            8.5472,           13.4305,           -6.4294,           -1.1957,           -0.2886,           -0.9069,            7.4832,
Ref 11,3.69866e-08,,,,,,1.1973e-02,4.2065e-03,4.8961e-05,4.6416e-06,3.9411e-08,,,,,,,,,,,
Sam 11,3.63881e-08,1.19346e-02,4.2264e-03,4.9003e-05,4.6814e-06,4.1362e-08,,,,,,           -3.1959,            4.7189,            0.8885,            8.6929,           27.7205,           -6.4545,           -1.1969,           -0.4465,           -0.7601,           21.7177,
Ref 12,3.64520e-08,,,,,,1.1973e-02,4.2065e-03,4.8958e-05,4.6404e-06,4.1093e-08,,,,,,,,,,,
Sam 12,3.58566e-08,1.19346e-02,4.2263e-03,4.9012e-05,4.6847e-06,4.2828e-08,,,,,,           -3.1872,            4.7113,            1.1037,            9.8135,           16.4289,           -6.4449,           -1.2044,           -0.2332,            0.3651,           10.4976,
Ref 13,3.59256e-08,,,,,,1.1973e-02,4.2065e-03,4.8958e-05,4.6379e-06,4.3193e-08,,,,,,,,,,,
Sam 13,3.53333e-08,1.19346e-02,4.2264e-03,4.9007e-05,4.6834e-06,4.0825e-08,,,,,,           -3.1826,            4.7243,            1.0166,            9.2728,            0.0850,           -6.4405,           -1.1916,           -0.3376,           -0.1962,           -5.7810,
Ref 14,3.54303e-08,,,,,,1.1973e-02,4.2065e-03,4.8957e-05,4.6428e-06,3.8417e-08,,,,,,,,,,,
Sam 14,3.48284e-08,1.19345e-02,4.2264e-03,4.9006e-05,4.6810e-06,4.3460e-08,,,,,,           -3.1770,            4.7298,            0.9674,            8.6503,           65.0505,           -6.4348,           -1.1861,           -0.3980,           -0.8239,           58.7857,
Ref 15,3.49324e-08,,,,,,1.1973e-02,4.2064e-03,4.8961e-05,4.6390e-06,4.3229e-08,,,,,,,,,,,
Sam 15,3.43236e-08,1.19343e-02,4.2263e-03,4.9001e-05,4.6822e-06,4.3896e-08,,,,,,           -3.1919,            4.7360,            0.8526,            9.6226,           -2.6385,           -6.4509,           -1.1799,           -0.5031,            0.1269,           -8.5013,
Ref 16,3.44195e-08,,,,,,1.1973e-02,4.2064e-03,4.8957e-05,4.6361e-06,4.4808e-08,,,,,,,,,,,
Sam 16,3.38240e-08,1.19345e-02,4.2263e-03,4.9005e-05,4.6850e-06,4.0458e-08,,,,,,           -3.1768,            4.7175,            0.9027,           10.2281,          -50.9156,           -6.4342,           -1.1983,           -0.4507,            0.7635,          -56.4757,
Ref 17,3.39288e-08,,,,,,1.1972e-02,4.2064e-03,4.8964e-05,4.6391e-06,4.0418e-08,,,,,,,,,,,
Sam 17,3.33375e-08,1.19343e-02,4.2262e-03,4.9008e-05,4.6775e-06,4.0641e-08,,,,,,           -3.1914,            4.7129,            1.0219,            8.1166,            1.2426,           -6.4495,           -1.2029,           -0.3121,           -1.3190,           -4.5986,
Ref 18,3.34547e-08,,,,,,1.1972e-02,4.2064e-03,4.8952e-05,4.6406e-06,4.0766e-08,,,,,,,,,,,
Sam 18,3.28570e-08,1.19343e-02,4.2262e-03,4.9008e-05,4.6791e-06,4.0506e-08,,,,,,           -3.1840,            4.7217,            1.1032,            8.5369,           12.5927,           -6.4419,           -1.1941,           -0.2472,           -0.9201,            6.6599,
Ref 19,3.29795e-08,,,,,,1.1972e-02,4.2064e-03,4.8955e-05,4.6383e-06,3.9228e-08,,,,,,,,,,,
Sam 19,3.23877e-08,1.19341e-02,4.2261e-03,4.9007e-05,4.6788e-06,3.9299e-08,,,,,,           -3.1967,            4.6983,            1.0658,            9.2744,           29.5484,           -6.4547,           -1.2174,           -0.2485,           -0.1430,           23.5771,
Ref 20,3.25199e-08,,,,,,1.1972e-02,4.2064e-03,4.8955e-05,4.6333e-06,3.7099e-08,,,,,,,,,,,
Sam 20,3.19281e-08,1.19341e-02,4.2262e-03,4.9007e-05,4.6814e-06,3.8761e-08,,,,,,           -3.1860,            4.7395,            1.0612,            9.9637,           42.9828,           -6.4447,           -1.1764,           -0.3044,            0.4578,           36.8381,
Ref 21,3.20649e-08,,,,,,1.1972e-02,4.2062e-03,4.8955e-05,4.6371e-06,3.7229e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.18366e-08,,,,,,1.1972e-02,4.2062e-03,4.8955e-05,4.6373e-06,3.9434e-08,
Sam 1,3.12694e-08,1.19340e-02,4.2260e-03,4.9007e-05,4.6776e-06,3.7502e-08,,,,,,           -3.1871,            4.7118,            1.0680,            8.5113,          -33.2819,           -6.4449,           -1.2040,           -0.2694,           -0.9258,          -38.9239,
Ref 2,3.14142e-08,,,,,,1.1972e-02,4.2062e-03,4.8954e-05,4.6390e-06,3.8143e-08,,,,,,,,,,,
Sam 2,3.08218e-08,1.19339e-02,4.2261e-03,4.9002e-05,4.6806e-06,3.2831e-08,,,,,,           -3.1927,            4.7171,            1.0611,            9.4470,          -99.3210,           -6.4511,           -1.1987,           -0.2756,           -0.0093,         -104.5816,
Ref 3,3.09797e-08,,,,,,1.1972e-02,4.2063e-03,4.8947e-05,4.6346e-06,3.4736e-08,,,,,,,,,,,
Sam 3,3.03833e-08,1.19339e-02,4.2260e-03,4.9002e-05,4.6780e-06,3.2022e-08,,,,,,           -3.1860,            4.7085,            1.0670,            9.4391,          -66.8699,           -6.4437,           -1.2073,           -0.2682,            0.0000,          -72.3110,
Ref 4,3.05747e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6339e-06,3.3892e-08,,,,,,,,,,,
Sam 4,2.99762e-08,1.19337e-02,4.2259e-03,4.9004e-05,4.6787e-06,2.9402e-08,,,,,,           -3.1849,            4.7093,            1.0238,            9.7554,         -139.5064,           -6.4425,           -1.2065,           -0.3133,            0.3116,         -144.5264,
Ref 5,3.01403e-08,,,,,,1.1972e-02,4.2062e-03,4.8955e-05,4.6332e-06,3.4451e-08,,,,,,,,,,,
Sam 5,2.95480e-08,1.19339e-02,4.2260e-03,4.8998e-05,4.6806e-06,3.5662e-08,,,,,,           -3.1742,            4.7212,            0.9711,           10.1454,           33.3220,           -6.4315,           -1.1947,           -0.3887,            0.6744,           27.2582,
Ref 6,2.97280e-08,,,,,,1.1972e-02,4.2061e-03,4.8945e-05,4.6340e-06,3.4574e-08,,,,,,,,,,,
Sam 6,2.91389e-08,1.19338e-02,4.2259e-03,4.9006e-05,4.6753e-06,3.1536e-08,,,,,,           -3.1815,            4.7135,            1.1613,            9.1075,         -150.3238,           -6.4390,           -1.2023,           -0.1835,           -0.3384,         -155.2905,
Ref 7,2.93189e-08,,,,,,1.1972e-02,4.2061e-03,4.8953e-05,4.6322e-06,3.9692e-08,,,,,,,,,,,
Sam 7,2.87352e-08,1.19339e-02,4.2260e-03,4.9001e-05,4.6734e-06,3.8314e-08,,,,,,           -3.1716,            4.7303,            1.0395,            8.5171,          -18.1933,           -6.4291,           -1.1856,           -0.3319,           -0.9570,          -23.9750,
Ref 8,2.89249e-08,,,,,,1.1972e-02,4.2061e-03,4.8947e-05,4.6357e-06,3.8347e-08,,,,,,,,,,,
Sam 8,2.83447e-08,1.19338e-02,4.2259e-03,4.9001e-05,4.6741e-06,3.4741e-08,,,,,,           -3.1745,            4.7237,            1.0856,            8.4778,          -70.8323,           -6.4319,           -1.1921,           -0.2765,           -0.9827,          -76.2893,
Ref 9,2.85507e-08,,,,,,1.1972e-02,4.2060e-03,4.8948e-05,4.6340e-06,3.6419e-08,,,,,,,,,,,
Sam 9,2.79630e-08,1.19337e-02,4.2259e-03,4.8999e-05,4.6770e-06,3.4205e-08,,,,,,           -3.1863,            4.7263,            1.0598,            9.1111,          -48.5300,           -6.4446,           -1.1895,           -0.2927,           -0.3606,          -54.1109,
Ref 10,2.81629e-08,,,,,,1.1972e-02,4.2060e-03,4.8945e-05,4.6356e-06,3.5473e-08,,,,,,,,,,,
Sam 10,2.75816e-08,1.19336e-02,4.2259e-03,4.8996e-05,4.6729e-06,3.3524e-08,,,,,,           -3.1917,            4.7306,            1.0224,            7.9423,          -81.7913,           -6.4504,           -1.1852,           -0.3286,           -1.5270,          -87.1796,
Ref 11,2.78316e-08,,,,,,1.1972e-02,4.2060e-03,4.8946e-05,4.6365e-06,3.7560e-08,,,,,,,,,,,
Sam 11,2.72150e-08,1.19335e-02,4.2258e-03,4.8998e-05,4.6761e-06,3.6426e-08,,,,,,           -3.1923,            4.6963,            0.9908,            8.3858,          -23.5828,           -6.4499,           -1.2194,           -0.3260,           -1.0193,          -29.2468,
Ref 12,2.74189e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6379e-06,3.7049e-08,,,,,,,,,,,
Sam 12,2.68426e-08,1.19337e-02,4.2259e-03,4.9008e-05,4.6771e-06,3.4634e-08,,,,,,           -3.1773,            4.7151,            1.1071,            8.8960,          -18.6857,           -6.4345,           -1.2007,           -0.2437,           -0.5512,          -24.4295,
Ref 13,2.70564e-08,,,,,,1.1972e-02,4.2060e-03,4.8956e-05,4.6338e-06,3.3514e-08,,,,,,,,,,,
Sam 13,2.64813e-08,1.19335e-02,4.2258e-03,4.8999e-05,4.6746e-06,3.6078e-08,,,,,,           -3.1858,            4.7130,            0.9596,            8.9218,           43.6008,           -6.4436,           -1.2027,           -0.3802,           -0.5216,           37.5059,
Ref 14,2.66999e-08,,,,,,1.1972e-02,4.2060e-03,4.8949e-05,4.6328e-06,3.5642e-08,,,,,,,,,,,
Sam 14,2.61268e-08,1.19335e-02,4.2259e-03,4.9001e-05,4.6788e-06,3.1572e-08,,,,,,           -3.1871,            4.7321,            1.0359,            9.5940,         -100.9274,           -6.4456,           -1.1837,           -0.3214,            0.1063,         -106.2104,
Ref 15,2.63496e-08,,,,,,1.1972e-02,4.2059e-03,4.8951e-05,4.6359e-06,3.4582e-08,,,,,,,,,,,
Sam 15,2.57797e-08,1.19334e-02,4.2258e-03,4.8999e-05,4.6766e-06,2.9125e-08,,,,,,           -3.1865,            4.7252,            1.0364,            9.2763,         -107.5729,           -6.4447,           -1.1907,           -0.3146,           -0.1946,         -112.8052,
Ref 16,2.60080e-08,,,,,,1.1972e-02,4.2059e-03,4.8945e-05,4.6312e-06,3.0664e-08,,,,,,,,,,,
Sam 16,2.54459e-08,1.19332e-02,4.2257e-03,4.9002e-05,4.6729e-06,2.7167e-08,,,,,,           -3.1924,            4.7173,            1.0755,            8.6916,         -116.1007,           -6.4507,           -1.1985,           -0.2619,           -0.7582,         -121.2641,
Ref 17,2.56775e-08,,,,,,1.1971e-02,4.2058e-03,4.8953e-05,4.6341e-06,3.0808e-08,,,,,,,,,,,
Sam 17,2.51057e-08,1.19332e-02,4.2257e-03,4.8994e-05,4.6783e-06,2.7628e-08,,,,,,           -3.1908,            4.7164,            0.8334,            9.5601,         -111.7434,           -6.4490,           -1.1994,           -0.5043,            0.1041,         -116.9320,
Ref 18,2.53505e-08,,,,,,1.1971e-02,4.2059e-03,4.8953e-05,4.6338e-06,3.1403e-08,,,,,,,,,,,
Sam 18,2.47750e-08,1.19332e-02,4.2257e-03,4.8998e-05,4.6769e-06,2.9765e-08,,,,,,           -3.1888,            4.7122,            0.9154,            9.3492,          -56.6608,           -6.4467,           -1.2036,           -0.4204,           -0.0965,          -62.1655,
Ref 19,2.50192e-08,,,,,,1.1971e-02,4.2059e-03,4.8953e-05,4.6332e-06,3.1704e-08,,,,,,,,,,,
Sam 19,2.44480e-08,1.19330e-02,4.2256e-03,4.8996e-05,4.6754e-06,2.9900e-08,,,,,,           -3.1880,            4.7068,            0.9576,            9.3598,          -38.5764,           -6.4457,           -1.2090,           -0.3738,           -0.0752,          -44.1773,
Ref 20,2.46987e-08,,,,,,1.1971e-02,4.2058e-03,4.8946e-05,4.6309e-06,3.0487e-08,,,,,,,,,,,
Sam 20,2.41293e-08,1.19330e-02,4.2256e-03,4.9005e-05,4.6787e-06,3.1139e-08,,,,,,           -3.1795,            4.7297,            1.2679,           10.0731,           -0.3440,           -6.4374,           -1.1862,           -0.0951,            0.5858,           -6.2213,
Ref 21,2.44159e-08,,,,,,1.1971e-02,4.2057e-03,4.8940e-05,4.6331e-06,3.1821e-08,,,,,,,,,,,


