Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 21:10 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, June 29, 2022 at 22:09 with Stable 1.71.5 on PS019

Data File = Data_17454 BD-4-0-33-B.txt,   Sample Weight = 603,                      Vial Location = 37,                       Initial Sam Beam = 2.0619e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7282e-08,                Max Ref Beam = 1.0649e-07,                

Analysis undertaken at mass 46.02639
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.01612e-08,,,,,,1.1969e-02,4.2026e-03,4.8871e-05,4.6332e-06,5.3055e-08,
Sam 1,7.92261e-08,1.19052e-02,4.2252e-03,4.8849e-05,4.6805e-06,5.3046e-08,,,,,,           -5.3654,            5.2911,           -0.5709,           10.1655,           -8.8595,           -8.7832,           -0.6227,           -0.2205,           -0.4400,          -13.4683,
Ref 2,7.86314e-08,,,,,,1.1970e-02,4.2033e-03,4.8882e-05,4.6335e-06,5.3996e-08,,,,,,,,,,,
Sam 2,7.77667e-08,1.19057e-02,4.2255e-03,4.8850e-05,4.6807e-06,5.3605e-08,,,,,,           -5.4031,            5.2221,           -0.7367,           10.0577,           -2.1282,           -8.8210,           -0.6913,           -0.2798,           -0.4096,           -6.5941,
Ref 3,7.71898e-08,,,,,,1.1971e-02,4.2038e-03,4.8891e-05,4.6348e-06,5.3438e-08,,,,,,,,,,,
Sam 3,7.63242e-08,1.19063e-02,4.2260e-03,4.8861e-05,4.6833e-06,5.2653e-08,,,,,,           -5.3991,            5.2338,           -0.6720,           10.5984,           -2.2885,           -8.8171,           -0.6797,           -0.2306,            0.1022,           -6.7807,
Ref 4,7.58208e-08,,,,,,1.1971e-02,4.2041e-03,4.8897e-05,4.6335e-06,5.2096e-08,,,,,,,,,,,
Sam 4,7.49624e-08,1.19068e-02,4.2263e-03,4.8863e-05,4.6834e-06,5.3795e-08,,,,,,           -5.3970,            5.2241,           -0.8319,           10.5569,           18.0536,           -8.8145,           -0.6893,           -0.3834,            0.0805,           13.4866,
Ref 5,7.44317e-08,,,,,,1.1972e-02,4.2046e-03,4.8910e-05,4.6355e-06,5.3600e-08,,,,,,,,,,,
Sam 5,7.35447e-08,1.19075e-02,4.2269e-03,4.8876e-05,4.6854e-06,5.1963e-08,,,,,,           -5.3786,            5.2697,           -0.7661,           10.6291,          -11.8164,           -8.7965,           -0.6440,           -0.3811,            0.0612,          -16.3564,
Ref 6,7.31404e-08,,,,,,1.1972e-02,4.2049e-03,4.8916e-05,4.6368e-06,5.1551e-08,,,,,,,,,,,
Sam 6,7.22951e-08,1.19078e-02,4.2270e-03,4.8879e-05,4.6817e-06,4.9985e-08,,,,,,           -5.3920,            5.2410,           -0.7665,            9.6105,          -11.3062,           -8.8099,           -0.6725,           -0.3396,           -0.8897,          -15.7791,
Ref 7,7.18596e-08,,,,,,1.1973e-02,4.2051e-03,4.8918e-05,4.6376e-06,4.9544e-08,,,,,,,,,,,
Sam 7,7.09999e-08,1.19079e-02,4.2272e-03,4.8881e-05,4.6850e-06,4.9214e-08,,,,,,           -5.4076,            5.2152,           -0.7664,           10.2455,          -10.6184,           -8.8255,           -0.6982,           -0.2980,           -0.2099,          -15.0282,
Ref 8,7.06024e-08,,,,,,1.1973e-02,4.2054e-03,4.8920e-05,4.6374e-06,4.9945e-08,,,,,,,,,,,
Sam 8,6.97480e-08,1.19083e-02,4.2275e-03,4.8883e-05,4.6872e-06,4.9121e-08,,,,,,           -5.3967,            5.2244,           -0.8354,           10.6074,           -8.9917,           -8.8143,           -0.6891,           -0.3874,            0.1300,          -13.4380,
Ref 9,6.93672e-08,,,,,,1.1973e-02,4.2056e-03,4.8929e-05,4.6386e-06,4.9182e-08,,,,,,,,,,,
Sam 9,6.85335e-08,1.19085e-02,4.2277e-03,4.8893e-05,4.6857e-06,4.8528e-08,,,,,,           -5.3955,            5.2261,           -0.7592,           10.2891,          -13.2590,           -8.8130,           -0.6873,           -0.3141,           -0.1886,          -17.6909,
Ref 10,6.81731e-08,,,,,,1.1973e-02,4.2058e-03,4.8932e-05,4.6373e-06,4.9178e-08,,,,,,,,,,,
Sam 10,6.73484e-08,1.19087e-02,4.2279e-03,4.8891e-05,4.6869e-06,5.1649e-08,,,,,,           -5.4018,            5.2256,           -0.8867,           10.5238,           22.9572,           -8.8197,           -0.6878,           -0.4346,            0.0448,           18.3707,
Ref 11,6.70024e-08,,,,,,1.1973e-02,4.2060e-03,4.8937e-05,4.6389e-06,5.1825e-08,,,,,,,,,,,
Sam 11,6.61675e-08,1.19087e-02,4.2281e-03,4.8899e-05,4.6877e-06,5.2852e-08,,,,,,           -5.4126,            5.2134,           -0.8256,           10.6193,           27.7322,           -8.8307,           -0.7000,           -0.3503,            0.1636,           23.1605,
Ref 12,6.58313e-08,,,,,,1.1974e-02,4.2063e-03,4.8941e-05,4.6380e-06,5.1019e-08,,,,,,,,,,,
Sam 12,6.50315e-08,1.19091e-02,4.2282e-03,4.8898e-05,4.6897e-06,4.9827e-08,,,,,,           -5.3983,            5.1893,           -0.9016,           10.9292,          -12.8182,           -8.8147,           -0.7240,           -0.4177,            0.5182,          -17.1783,
Ref 13,6.46936e-08,,,,,,1.1974e-02,4.2064e-03,4.8942e-05,4.6400e-06,4.9918e-08,,,,,,,,,,,
Sam 13,6.39155e-08,1.19092e-02,4.2283e-03,4.8907e-05,4.6874e-06,4.8861e-08,,,,,,           -5.4042,            5.2104,           -0.7626,           10.2204,          -18.7818,           -8.8218,           -0.7030,           -0.2931,           -0.2253,          -23.1496,
Ref 14,6.36164e-08,,,,,,1.1974e-02,4.2064e-03,4.8946e-05,4.6399e-06,4.9673e-08,,,,,,,,,,,
Sam 14,6.28155e-08,1.19093e-02,4.2284e-03,4.8904e-05,4.6888e-06,4.9959e-08,,,,,,           -5.4010,            5.2186,           -0.8676,           10.4321,            6.6753,           -8.8186,           -0.6948,           -0.4095,           -0.0320,            2.1747,
Ref 15,6.25397e-08,,,,,,1.1974e-02,4.2065e-03,4.8946e-05,4.6408e-06,4.9582e-08,,,,,,,,,,,
Sam 15,6.17380e-08,1.19094e-02,4.2286e-03,4.8914e-05,4.6877e-06,4.9382e-08,,,,,,           -5.4088,            5.2239,           -0.6822,           10.1286,          -11.1224,           -8.8271,           -0.6895,           -0.2211,           -0.3430,          -15.5455,
Ref 16,6.14824e-08,,,,,,1.1974e-02,4.2067e-03,4.8948e-05,4.6405e-06,5.0300e-08,,,,,,,,,,,
Sam 16,6.07014e-08,1.19096e-02,4.2286e-03,4.8908e-05,4.6878e-06,4.7975e-08,,,,,,           -5.3974,            5.2110,           -0.8323,           10.1418,          -33.9215,           -8.8145,           -0.7023,           -0.3705,           -0.3043,          -38.2302,
Ref 17,6.04475e-08,,,,,,1.1974e-02,4.2067e-03,4.8949e-05,4.6410e-06,4.9008e-08,,,,,,,,,,,
Sam 17,5.96782e-08,1.19097e-02,4.2288e-03,4.8911e-05,4.6879e-06,4.8690e-08,,,,,,           -5.3980,            5.2372,           -0.8213,            9.9244,            2.0348,           -8.8160,           -0.6763,           -0.3845,           -0.5715,           -2.4847,
Ref 18,5.94389e-08,,,,,,1.1974e-02,4.2068e-03,4.8954e-05,4.6426e-06,4.8167e-08,,,,,,,,,,,
Sam 18,5.86764e-08,1.19097e-02,4.2288e-03,4.8916e-05,4.6882e-06,4.7266e-08,,,,,,           -5.4085,            5.2209,           -0.8063,            9.9676,          -10.3405,           -8.8267,           -0.6925,           -0.3426,           -0.4963,          -14.7615,
Ref 19,5.84524e-08,,,,,,1.1975e-02,4.2069e-03,4.8956e-05,4.6413e-06,4.7346e-08,,,,,,,,,,,
Sam 19,5.76846e-08,1.19098e-02,4.2289e-03,4.8916e-05,4.6884e-06,4.5943e-08,,,,,,           -5.4023,            5.2347,           -0.8200,           10.2937,          -24.4019,           -8.8205,           -0.6788,           -0.3763,           -0.2011,          -28.7930,
Ref 20,5.74810e-08,,,,,,1.1974e-02,4.2069e-03,4.8956e-05,4.6399e-06,4.6834e-08,,,,,,,,,,,
Sam 20,5.67262e-08,1.19098e-02,4.2289e-03,4.8917e-05,4.6885e-06,4.7148e-08,,,,,,           -5.3979,            5.2151,           -0.7680,           10.3617,           27.8660,           -8.8152,           -0.6983,           -0.3096,           -0.0947,           23.2742,
Ref 21,5.65249e-08,,,,,,1.1974e-02,4.2070e-03,4.8953e-05,4.6410e-06,4.4889e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.60637e-08,,,,,,1.1975e-02,4.2070e-03,4.8955e-05,4.6407e-06,4.6767e-08,
Sam 1,5.53091e-08,1.19098e-02,4.2289e-03,4.8920e-05,4.6882e-06,4.6009e-08,,,,,,           -5.4093,            5.2178,           -0.7388,           10.0653,           18.1263,           -8.8274,           -0.6956,           -0.2712,           -0.3935,           13.5850,
Ref 2,5.51392e-08,,,,,,1.1975e-02,4.2070e-03,4.8958e-05,4.6422e-06,4.3585e-08,,,,,,,,,,,
Sam 2,5.43924e-08,1.19098e-02,4.2290e-03,4.8921e-05,4.6909e-06,4.6929e-08,,,,,,           -5.4091,            5.2258,           -0.7878,           10.4322,           50.4020,           -8.8275,           -0.6876,           -0.3283,           -0.0464,           45.7001,
Ref 3,5.42577e-08,,,,,,1.1975e-02,4.2070e-03,4.8962e-05,4.6427e-06,4.5786e-08,,,,,,,,,,,
Sam 3,5.35087e-08,1.19098e-02,4.2290e-03,4.8923e-05,4.6896e-06,4.6721e-08,,,,,,           -5.4064,            5.2228,           -0.7620,           10.2930,           11.8060,           -8.8245,           -0.6906,           -0.3023,           -0.1780,            7.2799,
Ref 4,5.33687e-08,,,,,,1.1975e-02,4.2071e-03,4.8959e-05,4.6410e-06,4.6573e-08,,,,,,,,,,,
Sam 4,5.25994e-08,1.19097e-02,4.2292e-03,4.8925e-05,4.6868e-06,4.7090e-08,,,,,,           -5.4113,            5.2582,           -0.7191,            9.8170,            5.8108,           -8.8310,           -0.6553,           -0.2890,           -0.7196,            1.2474,
Ref 5,5.25064e-08,,,,,,1.1974e-02,4.2071e-03,4.8961e-05,4.6415e-06,4.7068e-08,,,,,,,,,,,
Sam 5,5.17300e-08,1.19102e-02,4.2293e-03,4.8925e-05,4.6869e-06,4.4674e-08,,,,,,           -5.3711,            5.2827,           -0.7877,            9.6993,          -46.7549,           -8.7891,           -0.6311,           -0.4231,           -0.8847,          -51.1660,
Ref 6,5.16641e-08,,,,,,1.1975e-02,4.2071e-03,4.8967e-05,4.6423e-06,4.6659e-08,,,,,,,,,,,
Sam 6,5.09304e-08,1.19097e-02,4.2290e-03,4.8926e-05,4.6892e-06,4.7963e-08,,,,,,           -5.4087,            5.2105,           -0.7673,           10.1481,           45.4297,           -8.8265,           -0.7028,           -0.2933,           -0.2971,           40.7807,
Ref 7,5.08330e-08,,,,,,1.1974e-02,4.2071e-03,4.8960e-05,4.6419e-06,4.5086e-08,,,,,,,,,,,
Sam 7,5.01096e-08,1.19098e-02,4.2291e-03,4.8925e-05,4.6883e-06,4.6768e-08,,,,,,           -5.3983,            5.2232,           -0.8226,           10.3293,           38.2318,           -8.8159,           -0.6902,           -0.3717,           -0.1429,           33.5778,
Ref 8,5.00262e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6388e-06,4.5005e-08,,,,,,,,,,,
Sam 8,4.93069e-08,1.19097e-02,4.2291e-03,4.8929e-05,4.6896e-06,4.3638e-08,,,,,,           -5.4001,            5.2274,           -0.7226,           10.5407,          -43.3643,           -8.8180,           -0.6860,           -0.2739,            0.0579,          -47.6587,
Ref 9,4.92310e-08,,,,,,1.1974e-02,4.2071e-03,4.8959e-05,4.6426e-06,4.6237e-08,,,,,,,,,,,
Sam 9,4.85171e-08,1.19096e-02,4.2290e-03,4.8926e-05,4.6880e-06,4.5488e-08,,,,,,           -5.4039,            5.2131,           -0.7364,            9.7801,          -29.1705,           -8.8215,           -0.7003,           -0.2698,           -0.6664,          -33.4976,
Ref 10,4.84571e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6426e-06,4.7481e-08,,,,,,,,,,,
Sam 10,4.77444e-08,1.19096e-02,4.2290e-03,4.8935e-05,4.6887e-06,4.7587e-08,,,,,,           -5.4052,            5.1974,           -0.6584,           10.1058,           -4.7748,           -8.8224,           -0.7158,           -0.1751,           -0.3129,           -9.1789,
Ref 11,4.76941e-08,,,,,,1.1974e-02,4.2072e-03,4.8969e-05,4.6411e-06,4.8154e-08,,,,,,,,,,,
Sam 11,4.69893e-08,1.19095e-02,4.2290e-03,4.8930e-05,4.6879e-06,5.0060e-08,,,,,,           -5.4086,            5.2050,           -0.6499,           10.0781,           33.8512,           -8.8262,           -0.7083,           -0.1705,           -0.3554,           29.2647,
Ref 12,4.69435e-08,,,,,,1.1974e-02,4.2070e-03,4.8954e-05,4.6412e-06,4.8692e-08,,,,,,,,,,,
Sam 12,4.62391e-08,1.19096e-02,4.2291e-03,4.8930e-05,4.6905e-06,4.5930e-08,,,,,,           -5.3982,            5.2380,           -0.5698,           10.4135,          -33.1000,           -8.8163,           -0.6755,           -0.1334,           -0.0890,          -37.4623,
Ref 13,4.62041e-08,,,,,,1.1974e-02,4.2071e-03,4.8961e-05,4.6432e-06,4.6294e-08,,,,,,,,,,,
Sam 13,4.55163e-08,1.19096e-02,4.2290e-03,4.8925e-05,4.6858e-06,4.2967e-08,,,,,,           -5.4027,            5.2165,           -0.7886,            9.3170,          -52.9760,           -8.8204,           -0.6969,           -0.3266,           -1.1314,          -57.2044,
Ref 14,4.54921e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6419e-06,4.4432e-08,,,,,,,,,,,
Sam 14,4.47722e-08,1.19095e-02,4.2291e-03,4.8931e-05,4.6892e-06,4.5861e-08,,,,,,           -5.4092,            5.1871,           -0.6494,           10.5357,           30.0426,           -8.8262,           -0.7261,           -0.1518,            0.1331,           25.5095,
Ref 15,4.47787e-08,,,,,,1.1974e-02,4.2074e-03,4.8958e-05,4.6388e-06,4.4617e-08,,,,,,,,,,,
Sam 15,4.41021e-08,1.19093e-02,4.2290e-03,4.8928e-05,4.6878e-06,4.2407e-08,,,,,,           -5.4094,            5.1712,           -0.6975,           10.2861,          -18.0633,           -8.8259,           -0.7419,           -0.1843,           -0.0823,          -22.3540,
Ref 16,4.41053e-08,,,,,,1.1974e-02,4.2072e-03,4.8967e-05,4.6415e-06,4.1734e-08,,,,,,,,,,,
Sam 16,4.34217e-08,1.19093e-02,4.2290e-03,4.8923e-05,4.6895e-06,4.3104e-08,,,,,,           -5.4020,            5.2009,           -0.8383,           10.4638,           14.1260,           -8.8191,           -0.7124,           -0.3618,            0.0346,            9.6281,
Ref 17,4.34429e-08,,,,,,1.1974e-02,4.2070e-03,4.8962e-05,4.6404e-06,4.3285e-08,,,,,,,,,,,
Sam 17,4.27362e-08,1.19093e-02,4.2290e-03,4.8927e-05,4.6886e-06,4.1038e-08,,,,,,           -5.4006,            5.2381,           -0.7408,           10.4074,          -31.8380,           -8.8189,           -0.6753,           -0.3021,           -0.0954,          -36.2037,
Ref 18,4.27801e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6403e-06,4.1476e-08,,,,,,,,,,,
Sam 18,4.20909e-08,1.19092e-02,4.2289e-03,4.8927e-05,4.6878e-06,4.4862e-08,,,,,,           -5.4020,            5.2034,           -0.7204,           10.1903,           64.8747,           -8.8191,           -0.7100,           -0.2463,           -0.2411,           60.1465,
Ref 19,4.21346e-08,,,,,,1.1974e-02,4.2070e-03,4.8959e-05,4.6407e-06,4.2791e-08,,,,,,,,,,,
Sam 19,4.14354e-08,1.19092e-02,4.2290e-03,4.8928e-05,4.6893e-06,4.5196e-08,,,,,,           -5.4005,            5.2163,           -0.7838,           10.5975,            8.7212,           -8.8180,           -0.6971,           -0.3239,            0.1363,            4.2154,
Ref 20,4.14949e-08,,,,,,1.1974e-02,4.2070e-03,4.8974e-05,4.6396e-06,4.6851e-08,,,,,,,,,,,
Sam 20,4.08047e-08,1.19092e-02,4.2289e-03,4.8924e-05,4.6915e-06,4.4799e-08,,,,,,           -5.4015,            5.2089,           -0.9530,           10.9700,          -46.0825,           -8.8188,           -0.7044,           -0.4849,            0.5196,          -50.3288,
Ref 21,4.08770e-08,,,,,,1.1974e-02,4.2070e-03,4.8968e-05,4.6415e-06,4.7078e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.05642e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6399e-06,4.5162e-08,
Sam 1,3.98785e-08,1.19090e-02,4.2289e-03,4.8927e-05,4.6900e-06,4.6230e-08,,,,,,           -5.4084,            5.2158,           -0.8177,           10.5921,            5.3450,           -8.8264,           -0.6976,           -0.3491,            0.1319,            0.8637,
Ref 2,3.99574e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6418e-06,4.6819e-08,,,,,,,,,,,
Sam 2,3.92362e-08,1.19093e-02,4.2291e-03,4.8930e-05,4.6896e-06,4.5856e-08,,,,,,           -5.3746,            5.2834,           -0.7033,           10.2860,            2.6655,           -8.7928,           -0.6303,           -0.3359,           -0.3055,           -1.9721,
Ref 3,3.93770e-08,,,,,,1.1974e-02,4.2068e-03,4.8965e-05,4.6418e-06,4.4634e-08,,,,,,,,,,,
Sam 3,3.86937e-08,1.19089e-02,4.2288e-03,4.8924e-05,4.6887e-06,4.8394e-08,,,,,,           -5.4114,            5.2176,           -0.8565,           10.3483,           26.6288,           -8.8297,           -0.6958,           -0.3865,           -0.1129,           22.0524,
Ref 4,3.87889e-08,,,,,,1.1974e-02,4.2069e-03,4.8968e-05,4.6395e-06,4.9681e-08,,,,,,,,,,,
Sam 4,3.81200e-08,1.19088e-02,4.2287e-03,4.8928e-05,4.6907e-06,4.9488e-08,,,,,,           -5.4057,            5.1794,           -0.8600,           11.0225,           -7.8940,           -8.8223,           -0.7338,           -0.3586,            0.6302,          -12.2487,
Ref 5,3.81972e-08,,,,,,1.1973e-02,4.2069e-03,4.8973e-05,4.6396e-06,5.0086e-08,,,,,,,,,,,
Sam 5,3.75286e-08,1.19088e-02,4.2288e-03,4.8933e-05,4.6885e-06,5.0583e-08,,,,,,           -5.3909,            5.2199,           -0.8120,           10.3895,           21.8159,           -8.8079,           -0.6936,           -0.3655,           -0.0767,           17.2340,
Ref 6,3.76485e-08,,,,,,1.1973e-02,4.2068e-03,4.8973e-05,4.6410e-06,4.8911e-08,,,,,,,,,,,
Sam 6,3.69849e-08,1.19088e-02,4.2287e-03,4.8926e-05,4.6908e-06,4.8672e-08,,,,,,           -5.3890,            5.2064,           -0.9184,           10.3189,           23.5085,           -8.8054,           -0.7070,           -0.4608,           -0.1199,           18.9438,
Ref 7,3.71051e-08,,,,,,1.1973e-02,4.2068e-03,4.8969e-05,4.6448e-06,4.6177e-08,,,,,,,,,,,
Sam 7,3.64375e-08,1.19087e-02,4.2287e-03,4.8934e-05,4.6909e-06,4.4132e-08,,,,,,           -5.4030,            5.1893,           -0.7026,           10.4250,          -57.8714,           -8.8197,           -0.7239,           -0.2137,            0.0192,          -62.0277,
Ref 8,3.65571e-08,,,,,,1.1973e-02,4.2069e-03,4.8967e-05,4.6402e-06,4.7520e-08,,,,,,,,,,,
Sam 8,3.59004e-08,1.19087e-02,4.2288e-03,4.8928e-05,4.6925e-06,4.5420e-08,,,,,,           -5.3945,            5.2249,           -0.7900,           10.9051,          -64.5724,           -8.8119,           -0.6885,           -0.3447,            0.4234,          -68.7726,
Ref 9,3.60395e-08,,,,,,1.1973e-02,4.2067e-03,4.8966e-05,4.6436e-06,4.9606e-08,,,,,,,,,,,
Sam 9,3.53687e-08,1.19086e-02,4.2286e-03,4.8928e-05,4.6868e-06,5.0476e-08,,,,,,           -5.4031,            5.2091,           -0.8481,            9.5038,           69.3894,           -8.8205,           -0.7042,           -0.3785,           -0.9320,           64.6304,
Ref 10,3.55264e-08,,,,,,1.1973e-02,4.2067e-03,4.8973e-05,4.6417e-06,4.4761e-08,,,,,,,,,,,
Sam 10,3.48597e-08,1.19085e-02,4.2287e-03,4.8933e-05,4.6888e-06,4.6402e-08,,,,,,           -5.4049,            5.2333,           -0.8113,            9.9803,           11.8420,           -8.8233,           -0.6801,           -0.3635,           -0.5085,            7.2934,
Ref 11,3.50146e-08,,,,,,1.1973e-02,4.2067e-03,4.8972e-05,4.6432e-06,4.6973e-08,,,,,,,,,,,
Sam 11,3.43572e-08,1.19085e-02,4.2285e-03,4.8926e-05,4.6930e-06,4.2032e-08,,,,,,           -5.4014,            5.1869,           -0.9478,           10.8350,          -94.0875,           -8.8180,           -0.7263,           -0.4582,            0.4297,          -98.0814,
Ref 12,3.45107e-08,,,,,,1.1973e-02,4.2067e-03,4.8973e-05,4.6422e-06,4.5814e-08,,,,,,,,,,,
Sam 12,3.38616e-08,1.19083e-02,4.2285e-03,4.8929e-05,4.6907e-06,4.6555e-08,,,,,,           -5.4101,            5.2010,           -0.8660,           10.3642,           53.2939,           -8.8277,           -0.7123,           -0.3811,           -0.0642,           48.6312,
Ref 13,3.40383e-08,,,,,,1.1973e-02,4.2066e-03,4.8969e-05,4.6429e-06,4.2562e-08,,,,,,,,,,,
Sam 13,3.33814e-08,1.19083e-02,4.2285e-03,4.8934e-05,4.6890e-06,4.2152e-08,,,,,,           -5.4094,            5.2020,           -0.6869,            9.9703,           -4.6265,           -8.8270,           -0.7113,           -0.2038,           -0.4560,           -9.0356,
Ref 14,3.35434e-08,,,,,,1.1973e-02,4.2066e-03,4.8966e-05,4.6425e-06,4.2130e-08,,,,,,,,,,,
Sam 14,3.29023e-08,1.19083e-02,4.2284e-03,4.8921e-05,4.6928e-06,4.4032e-08,,,,,,           -5.3962,            5.1948,           -0.9385,           10.8326,          -35.1754,           -8.8126,           -0.7184,           -0.4622,            0.4116,          -39.4493,
Ref 15,3.30693e-08,,,,,,1.1973e-02,4.2066e-03,4.8969e-05,4.6425e-06,4.9195e-08,,,,,,,,,,,
Sam 15,3.24297e-08,1.19082e-02,4.2284e-03,4.8921e-05,4.6902e-06,4.2495e-08,,,,,,           -5.4014,            5.2045,           -0.9564,           10.0750,         -128.5412,           -8.8186,           -0.7088,           -0.4841,           -0.3575,         -132.4130,
Ref 16,3.26094e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6444e-06,4.8326e-08,,,,,,,,,,,
Sam 16,3.19711e-08,1.19081e-02,4.2284e-03,4.8926e-05,4.6843e-06,4.7524e-08,,,,,,           -5.4047,            5.2001,           -0.8562,            8.6345,          -27.2704,           -8.8219,           -0.7132,           -0.3761,           -1.7742,          -31.5804,
Ref 17,3.21765e-08,,,,,,1.1973e-02,4.2065e-03,4.8969e-05,4.6441e-06,4.9393e-08,,,,,,,,,,,
Sam 17,3.15282e-08,1.19080e-02,4.2284e-03,4.8925e-05,4.6904e-06,5.1946e-08,,,,,,           -5.4027,            5.2047,           -0.8171,           10.1414,          -12.7628,           -8.8200,           -0.7086,           -0.3435,           -0.2921,          -17.1480,
Ref 18,3.17164e-08,,,,,,1.1973e-02,4.2065e-03,4.8962e-05,4.6426e-06,5.5889e-08,,,,,,,,,,,
Sam 18,3.10504e-08,1.19083e-02,4.2285e-03,4.8935e-05,4.6881e-06,4.7384e-08,,,,,,           -5.3702,            5.2536,           -0.6109,            9.6942,         -100.7179,           -8.7871,           -0.6600,           -0.2188,           -0.8319,         -104.8292,
Ref 19,3.12869e-08,,,,,,1.1973e-02,4.2064e-03,4.8968e-05,4.6436e-06,4.9449e-08,,,,,,,,,,,
Sam 19,3.06453e-08,1.19078e-02,4.2283e-03,4.8929e-05,4.6927e-06,5.1937e-08,,,,,,           -5.4112,            5.2062,           -0.8211,           10.6096,            5.3344,           -8.8290,           -0.7071,           -0.3403,            0.1683,            0.8749,
Ref 20,3.08466e-08,,,,,,1.1973e-02,4.2064e-03,4.8972e-05,4.6432e-06,5.3905e-08,,,,,,,,,,,
Sam 20,3.02111e-08,1.19077e-02,4.2282e-03,4.8921e-05,4.6888e-06,5.2026e-08,,,,,,           -5.4115,            5.1725,           -1.0060,            9.8706,          -36.7612,           -8.8281,           -0.7406,           -0.4920,           -0.4961,          -40.9705,
